ko:K19744	paeu:BN889_04293
ko:K09773	paeu:BN889_01894
ko:K02553	paeu:BN889_01897
ko:K16074	paeu:BN889_01898
ko:K03088	paeu:BN889_01901
ko:K03286	paeu:BN889_01902
ko:K02303	paeu:BN889_01903
ko:K00363	paeu:BN889_01905
ko:K00362	paeu:BN889_01906
ko:K00275	paeu:BN889_01111
ko:K02647	paeu:BN889_01112
ko:K03299	paeu:BN889_01113
ko:K00865	paeu:BN889_01114
ko:K05559	paeu:BN889_01117
ko:K05560	paeu:BN889_01118
ko:K05561	paeu:BN889_01119
ko:K05562	paeu:BN889_01120
ko:K05563	paeu:BN889_01121
ko:K05564	paeu:BN889_01122
ko:K01738	paeu:BN889_01124
ko:K08985	paeu:BN889_01127
ko:K04079	paeu:BN889_01131
ko:K01996	paeu:BN889_01133
ko:K01995	paeu:BN889_01134
ko:K01998	paeu:BN889_01136
ko:K01997	paeu:BN889_01137
ko:K01999	paeu:BN889_01138
ko:K02387	paeu:BN889_01141
ko:K02388	paeu:BN889_01142
ko:K02389	paeu:BN889_01143
ko:K02390	paeu:BN889_01144
ko:K02391	paeu:BN889_01145
ko:K02392	paeu:BN889_01146
ko:K02393	paeu:BN889_01147
ko:K02394	paeu:BN889_01148
ko:K02395	paeu:BN889_01149
ko:K02396	paeu:BN889_01151
ko:K02397	paeu:BN889_01152
ko:K00817	paeu:BN889_04944
ko:K00013	paeu:BN889_04945
ko:K00765	paeu:BN889_04946
ko:K00790	paeu:BN889_04947
ko:K07122	paeu:BN889_04949
ko:K07323	paeu:BN889_04950
ko:K02067	paeu:BN889_04951
ko:K02066	paeu:BN889_04952
ko:K02065	paeu:BN889_04953
ko:K06041	paeu:BN889_04955
ko:K03270	paeu:BN889_04956
ko:K11719	paeu:BN889_04957
ko:K09774	paeu:BN889_04958
ko:K06861	paeu:BN889_04959
ko:K03092	paeu:BN889_04960
ko:K05808	paeu:BN889_04961
ko:K02806	paeu:BN889_04962
ko:K06958	paeu:BN889_04963
ko:K11189	paeu:BN889_04964
ko:K14682	paeu:BN889_05789
ko:K05595	paeu:BN889_05790
ko:K01438	paeu:BN889_05791
ko:K03306	paeu:BN889_05793
ko:K07220	paeu:BN889_05794
ko:K02454	paeu:BN889_05796
ko:K07340	paeu:BN889_05797
ko:K00281	paeu:BN889_05799
ko:K02437	paeu:BN889_05801
ko:K00605	paeu:BN889_05802
ko:K02011	paeu:BN889_05804
ko:K02012	paeu:BN889_05805
ko:K03185	paeu:BN889_05811
ko:K01262	paeu:BN889_05812
ko:K09895	paeu:BN889_05813
ko:K09888	paeu:BN889_05815
ko:K01934	paeu:BN889_05816
ko:K01992	paeu:BN889_05819
ko:K13926	paeu:BN889_05820
ko:K01993	paeu:BN889_05821
ko:K02415	paeu:BN889_05822
ko:K02445	paeu:BN889_05824
ko:K00523	paeu:BN889_05825
ko:K03182	paeu:BN889_05826
ko:K03628	paeu:BN889_05828
ko:K03671	paeu:BN889_05829
ko:K01524	paeu:BN889_05830
ko:K00937	paeu:BN889_05831
ko:K01698	paeu:BN889_05832
ko:K09768	paeu:BN889_05836
ko:K07243	paeu:BN889_05837
ko:K07243	paeu:BN889_05838
ko:K05834	paeu:BN889_05839
ko:K01826	paeu:BN889_06660
ko:K03321	paeu:BN889_06673
ko:K07240	paeu:BN889_06675
ko:K06131	paeu:BN889_06687
ko:K03798	paeu:BN889_06688
ko:K13993	paeu:BN889_06689
ko:K00004	paeu:BN889_06697
ko:K02031	paeu:BN889_06706
ko:K02032	paeu:BN889_06706
ko:K02035	paeu:BN889_06708
ko:K02033	paeu:BN889_06709
ko:K02034	paeu:BN889_06710
ko:K02742	paeu:BN889_01269
ko:K14058	paeu:BN889_01272
ko:K03758	paeu:BN889_01274
ko:K01482	paeu:BN889_01275
ko:K06714	paeu:BN889_01276
ko:K12410	paeu:BN889_01277
ko:K07397	paeu:BN889_01283
ko:K06911	paeu:BN889_01285
ko:K11747	paeu:BN889_01287
ko:K06911	paeu:BN889_01290
ko:K01649	paeu:BN889_01297
ko:K08304	paeu:BN889_01302
ko:K00355	paeu:BN889_01304
ko:K00355	paeu:BN889_01305
ko:K00432	paeu:BN889_01373
ko:K01011	paeu:BN889_01378
ko:K01483	paeu:BN889_01387
ko:K01477	paeu:BN889_01388
ko:K07127	paeu:BN889_01392
ko:K06901	paeu:BN889_01393
ko:K03684	paeu:BN889_01396
ko:K09902	paeu:BN889_01397
ko:K09160	paeu:BN889_01401
ko:K03088	paeu:BN889_01402
ko:K16087	paeu:BN889_01404
ko:K03100	paeu:BN889_01405
ko:K01354	paeu:BN889_01406
ko:K03430	paeu:BN889_01412
ko:K05306	paeu:BN889_01413
ko:K02297	paeu:BN889_01421
ko:K02298	paeu:BN889_01422
ko:K02299	paeu:BN889_01423
ko:K06969	paeu:BN889_01490
ko:K11073	paeu:BN889_01493
ko:K01652	paeu:BN889_01503
ko:K12255	paeu:BN889_01508
ko:K03406	paeu:BN889_01510
ko:K03827	paeu:BN889_01515
ko:K07665	paeu:BN889_01525
ko:K07644	paeu:BN889_01526
ko:K09790	paeu:BN889_01527
ko:K07039	paeu:BN889_01528
ko:K02414	paeu:BN889_01529
ko:K02415	paeu:BN889_01530
ko:K02048	paeu:BN889_01586
ko:K10716	paeu:BN889_01589
ko:K08717	paeu:BN889_01590
ko:K00873	paeu:BN889_01591
ko:K01608	paeu:BN889_01596
ko:K03639	paeu:BN889_01599
ko:K09458	paeu:BN889_01610
ko:K03473	paeu:BN889_01612
ko:K00906	paeu:BN889_01613
ko:K03825	paeu:BN889_01614
ko:K01487	paeu:BN889_01615
ko:K07402	paeu:BN889_01616
ko:K07402	paeu:BN889_01617
ko:K13482	paeu:BN889_01618
ko:K13481	paeu:BN889_01619
ko:K00496	paeu:BN889_01620
ko:K03529	paeu:BN889_01622
ko:K03528	paeu:BN889_01624
ko:K01972	paeu:BN889_01626
ko:K09747	paeu:BN889_01638
ko:K06446	paeu:BN889_01745
ko:K01545	paeu:BN889_01746
ko:K01546	paeu:BN889_01747
ko:K01547	paeu:BN889_01748
ko:K01548	paeu:BN889_01749
ko:K07646	paeu:BN889_01750
ko:K01425	paeu:BN889_01753
ko:K07001	paeu:BN889_01755
ko:K01008	paeu:BN889_01757
ko:K06917	paeu:BN889_01758
ko:K03406	paeu:BN889_01762
ko:K03453	paeu:BN889_01766
ko:K05782	paeu:BN889_01767
ko:K00799	paeu:BN889_01771
ko:K11910	paeu:BN889_01772
ko:K11901	paeu:BN889_01773
ko:K11900	paeu:BN889_01774
ko:K11905	paeu:BN889_01775
ko:K11896	paeu:BN889_01778
ko:K11895	paeu:BN889_01779
ko:K11907	paeu:BN889_01780
ko:K11906	paeu:BN889_01784
ko:K11893	paeu:BN889_01786
ko:K11892	paeu:BN889_01787
ko:K11891	paeu:BN889_01788
ko:K11915	paeu:BN889_01789
ko:K06996	paeu:BN889_01791
ko:K01495	paeu:BN889_01794
ko:K07320	paeu:BN889_01798
ko:K02575	paeu:BN889_01908
ko:K01682	paeu:BN889_01913
ko:K06938	paeu:BN889_01914
ko:K06169	paeu:BN889_01916
ko:K03269	paeu:BN889_01919
ko:K03768	paeu:BN889_01920
ko:K01886	paeu:BN889_01921
ko:K01883	paeu:BN889_01922
ko:K01491	paeu:BN889_01923
ko:K03545	paeu:BN889_01934
ko:K01358	paeu:BN889_01935
ko:K03544	paeu:BN889_01936
ko:K01338	paeu:BN889_01937
ko:K03530	paeu:BN889_01939
ko:K03770	paeu:BN889_01941
ko:K00208	paeu:BN889_01942
ko:K13895	paeu:BN889_01946
ko:K13893	paeu:BN889_01949
ko:K13893	paeu:BN889_01950
ko:K08307	paeu:BN889_01952
ko:K01069	paeu:BN889_01953
ko:K03469	paeu:BN889_01955
ko:K02342	paeu:BN889_01956
ko:K01584	paeu:BN889_01958
ko:K03294	paeu:BN889_01959
ko:K03314	paeu:BN889_01960
ko:K02020	paeu:BN889_02014
ko:K02452	paeu:BN889_02019
ko:K02453	paeu:BN889_02020
ko:K16074	paeu:BN889_02025
ko:K12543	paeu:BN889_02030
ko:K12541	paeu:BN889_02031
ko:K12542	paeu:BN889_02032
ko:K07023	paeu:BN889_02033
ko:K07303	paeu:BN889_02035
ko:K07302	paeu:BN889_02036
ko:K00330	paeu:BN889_02038
ko:K02336	paeu:BN889_02041
ko:K01714	paeu:BN889_02043
ko:K00799	paeu:BN889_02046
ko:K01434	paeu:BN889_02050
ko:K07782	paeu:BN889_02056
ko:K06153	paeu:BN889_02121
ko:K01118	paeu:BN889_02124
ko:K06135	paeu:BN889_02161
ko:K06136	paeu:BN889_02162
ko:K06137	paeu:BN889_02163
ko:K06138	paeu:BN889_02164
ko:K06139	paeu:BN889_02165
ko:K09957	paeu:BN889_02170
ko:K03769	paeu:BN889_02172
ko:K01907	paeu:BN889_02174
ko:K01561	paeu:BN889_02282
ko:K02014	paeu:BN889_02285
ko:K03088	paeu:BN889_02291
ko:K01738	paeu:BN889_02303
ko:K00640	paeu:BN889_02304
ko:K00156	paeu:BN889_02307
ko:K07160	paeu:BN889_02311
ko:K10778	paeu:BN889_02317
ko:K07345	paeu:BN889_02331
ko:K07346	paeu:BN889_02332
ko:K07347	paeu:BN889_02333
ko:K03168	paeu:BN889_02447
ko:K00166	paeu:BN889_02451
ko:K00167	paeu:BN889_02452
ko:K09699	paeu:BN889_02454
ko:K00382	paeu:BN889_02455
ko:K03310	paeu:BN889_02457
ko:K01424	paeu:BN889_02458
ko:K02525	paeu:BN889_02466
ko:K11441	paeu:BN889_02468
ko:K00032	paeu:BN889_02470
ko:K06152	paeu:BN889_02471
ko:K06151	paeu:BN889_02472
ko:K03587	paeu:BN889_02480
ko:K13639	paeu:BN889_02481
ko:K13979	paeu:BN889_02483
ko:K03893	paeu:BN889_02486
ko:K02014	paeu:BN889_02497
ko:K00117	paeu:BN889_02498
ko:K07302	paeu:BN889_02606
ko:K00101	paeu:BN889_02610
ko:K07116	paeu:BN889_02613
ko:K10531	paeu:BN889_02614
ko:K03088	paeu:BN889_02616
ko:K13888	paeu:BN889_02618
ko:K05685	paeu:BN889_02619
ko:K06160	paeu:BN889_02628
ko:K16088	paeu:BN889_02629
ko:K00836	paeu:BN889_02634
ko:K01194	paeu:BN889_02638
ko:K06911	paeu:BN889_02640
ko:K03088	paeu:BN889_02652
ko:K06187	paeu:BN889_01639
ko:K09925	paeu:BN889_01641
ko:K11742	paeu:BN889_01645
ko:K11743	paeu:BN889_01646
ko:K07044	paeu:BN889_01647
ko:K00759	paeu:BN889_01648
ko:K09792	paeu:BN889_01652
ko:K01533	paeu:BN889_01654
ko:K09926	paeu:BN889_01655
ko:K00407	paeu:BN889_01660
ko:K00405	paeu:BN889_01661
ko:K00404	paeu:BN889_01662
ko:K00406	paeu:BN889_01663
ko:K00407	paeu:BN889_01664
ko:K00405	paeu:BN889_01665
ko:K07020	paeu:BN889_01668
ko:K03776	paeu:BN889_01671
ko:K01681	paeu:BN889_01673
ko:K06968	paeu:BN889_01674
ko:K04085	paeu:BN889_01675
ko:K00970	paeu:BN889_05264
ko:K00950	paeu:BN889_05265
ko:K00606	paeu:BN889_05266
ko:K01918	paeu:BN889_05267
ko:K01579	paeu:BN889_05268
ko:K01810	paeu:BN889_05269
ko:K01895	paeu:BN889_05270
ko:K00962	paeu:BN889_05277
ko:K02956	paeu:BN889_05278
ko:K03177	paeu:BN889_05279
ko:K02834	paeu:BN889_05280
ko:K02519	paeu:BN889_05281
ko:K02600	paeu:BN889_05283
ko:K09748	paeu:BN889_05284
ko:K01803	paeu:BN889_05287
ko:K03431	paeu:BN889_05288
ko:K00796	paeu:BN889_05289
ko:K03798	paeu:BN889_05291
ko:K02427	paeu:BN889_05292
ko:K07574	paeu:BN889_05293
ko:K03624	paeu:BN889_05295
ko:K01955	paeu:BN889_05296
ko:K11250	paeu:BN889_05297
ko:K01956	paeu:BN889_05298
ko:K00215	paeu:BN889_05299
ko:K03686	paeu:BN889_05300
ko:K04043	paeu:BN889_05301
ko:K03687	paeu:BN889_05302
ko:K03631	paeu:BN889_05303
ko:K03711	paeu:BN889_05304
ko:K06186	paeu:BN889_05305
ko:K03664	paeu:BN889_05307
ko:K03303	paeu:BN889_05309
ko:K00101	paeu:BN889_05310
ko:K00797	paeu:BN889_05313
ko:K02204	paeu:BN889_06105
ko:K09815	paeu:BN889_06108
ko:K09823	paeu:BN889_06109
ko:K09817	paeu:BN889_06110
ko:K09816	paeu:BN889_06111
ko:K02071	paeu:BN889_06113
ko:K02072	paeu:BN889_06114
ko:K02073	paeu:BN889_06115
ko:K01915	paeu:BN889_06119
ko:K10126	paeu:BN889_06122
ko:K00868	paeu:BN889_06128
ko:K03455	paeu:BN889_06131
ko:K01915	paeu:BN889_06137
ko:K01845	paeu:BN889_06138
ko:K00059	paeu:BN889_06139
ko:K03455	paeu:BN889_06144
ko:K03832	paeu:BN889_06146
ko:K06204	paeu:BN889_06151
ko:K01448	paeu:BN889_06153
ko:K09007	paeu:BN889_06154
ko:K01465	paeu:BN889_06156
ko:K01975	paeu:BN889_06997
ko:K04760	paeu:BN889_06999
ko:K02004	paeu:BN889_07000
ko:K15725	paeu:BN889_07031
ko:K15727	paeu:BN889_07033
ko:K15726	paeu:BN889_07034
ko:K07238	paeu:BN889_05006
ko:K04564	paeu:BN889_05007
ko:K01679	paeu:BN889_05009
ko:K03592	paeu:BN889_05011
ko:K09889	paeu:BN889_05013
ko:K03568	paeu:BN889_05014
ko:K08301	paeu:BN889_05017
ko:K06287	paeu:BN889_05018
ko:K03571	paeu:BN889_05019
ko:K12368	paeu:BN889_05023
ko:K12368	paeu:BN889_05025
ko:K12369	paeu:BN889_05026
ko:K12370	paeu:BN889_05027
ko:K12371	paeu:BN889_05028
ko:K12372	paeu:BN889_05030
ko:K03719	paeu:BN889_05032
ko:K07160	paeu:BN889_05035
ko:K00380	paeu:BN889_05037
ko:K16090	paeu:BN889_05038
ko:K07126	paeu:BN889_05041
ko:K03695	paeu:BN889_05047
ko:K05810	paeu:BN889_05049
ko:K06180	paeu:BN889_05050
ko:K05807	paeu:BN889_05051
ko:K06950	paeu:BN889_05052
ko:K06158	paeu:BN889_05842
ko:K03773	paeu:BN889_05844
ko:K07740	paeu:BN889_05845
ko:K03611	paeu:BN889_05846
ko:K02498	paeu:BN889_05848
ko:K02496	paeu:BN889_05849
ko:K01719	paeu:BN889_05851
ko:K01749	paeu:BN889_05852
ko:K08083	paeu:BN889_05853
ko:K08082	paeu:BN889_05854
ko:K01755	paeu:BN889_05855
ko:K03284	paeu:BN889_05861
ko:K02030	paeu:BN889_05863
ko:K05851	paeu:BN889_05865
ko:K02168	paeu:BN889_05868
ko:K03656	paeu:BN889_05873
ko:K00156	paeu:BN889_05874
ko:K03816	paeu:BN889_05875
ko:K01775	paeu:BN889_05879
ko:K00285	paeu:BN889_05881
ko:K09978	paeu:BN889_05882
ko:K03719	paeu:BN889_05886
ko:K12254	paeu:BN889_05891
ko:K01999	paeu:BN889_06712
ko:K02343	paeu:BN889_06721
ko:K03543	paeu:BN889_06725
ko:K03446	paeu:BN889_06727
ko:K03702	paeu:BN889_06728
ko:K00832	paeu:BN889_06729
ko:K02237	paeu:BN889_06731
ko:K13007	paeu:BN889_06733
ko:K01791	paeu:BN889_06736
ko:K17716	paeu:BN889_06738
ko:K02500	paeu:BN889_06739
ko:K02501	paeu:BN889_06740
ko:K01915	paeu:BN889_01677
ko:K09974	paeu:BN889_01685
ko:K09913	paeu:BN889_01686
ko:K09922	paeu:BN889_01689
ko:K06940	paeu:BN889_01691
ko:K06889	paeu:BN889_01801
ko:K01736	paeu:BN889_01802
ko:K05820	paeu:BN889_01803
ko:K08964	paeu:BN889_01804
ko:K08967	paeu:BN889_01805
ko:K09880	paeu:BN889_01806
ko:K00797	paeu:BN889_01808
ko:K03229	paeu:BN889_01812
ko:K03228	paeu:BN889_01813
ko:K03227	paeu:BN889_01814
ko:K03226	paeu:BN889_01815
ko:K03225	paeu:BN889_01816
ko:K03224	paeu:BN889_01819
ko:K04058	paeu:BN889_01820
ko:K03230	paeu:BN889_01825
ko:K03219	paeu:BN889_01838
ko:K03220	paeu:BN889_01839
ko:K03221	paeu:BN889_01841
ko:K03222	paeu:BN889_01845
ko:K03223	paeu:BN889_01847
ko:K05349	paeu:BN889_01848
ko:K01692	paeu:BN889_01962
ko:K03426	paeu:BN889_01966
ko:K07090	paeu:BN889_01967
ko:K00059	paeu:BN889_01970
ko:K04774	paeu:BN889_01975
ko:K00381	paeu:BN889_01982
ko:K06941	paeu:BN889_01985
ko:K00548	paeu:BN889_01989
ko:K07400	paeu:BN889_01993
ko:K09984	paeu:BN889_01995
ko:K07168	paeu:BN889_02001
ko:K00404	paeu:BN889_02003
ko:K09781	paeu:BN889_02004
ko:K02017	paeu:BN889_02011
ko:K02018	paeu:BN889_02013
ko:K02014	paeu:BN889_02068
ko:K03088	paeu:BN889_02070
ko:K09684	paeu:BN889_02073
ko:K06995	paeu:BN889_02075
ko:K16089	paeu:BN889_02082
ko:K16089	paeu:BN889_02083
ko:K09136	paeu:BN889_02090
ko:K00549	paeu:BN889_02092
ko:K03790	paeu:BN889_02093
ko:K03406	paeu:BN889_02095
ko:K13483	paeu:BN889_02096
ko:K11178	paeu:BN889_02097
ko:K11177	paeu:BN889_02098
ko:K11177	paeu:BN889_02099
ko:K10439	paeu:BN889_02108
ko:K10441	paeu:BN889_02109
ko:K10440	paeu:BN889_02110
ko:K02529	paeu:BN889_02111
ko:K00852	paeu:BN889_02112
ko:K03811	paeu:BN889_02120
ko:K17737	paeu:BN889_02175
ko:K01028	paeu:BN889_02176
ko:K01029	paeu:BN889_02177
ko:K00626	paeu:BN889_02178
ko:K02106	paeu:BN889_02179
ko:K00019	paeu:BN889_02180
ko:K08195	paeu:BN889_02184
ko:K01555	paeu:BN889_02186
ko:K00451	paeu:BN889_02187
ko:K01640	paeu:BN889_02189
ko:K01968	paeu:BN889_02190
ko:K13766	paeu:BN889_02191
ko:K01969	paeu:BN889_02193
ko:K00253	paeu:BN889_02194
ko:K18095	paeu:BN889_02198
ko:K18094	paeu:BN889_02201
ko:K18129	paeu:BN889_02202
ko:K00012	paeu:BN889_02205
ko:K00963	paeu:BN889_02206
ko:K00383	paeu:BN889_02208
ko:K14347	paeu:BN889_02209
ko:K05800	paeu:BN889_02211
ko:K15256	paeu:BN889_02218
ko:K01652	paeu:BN889_02219
ko:K01915	paeu:BN889_02222
ko:K12251	paeu:BN889_02225
ko:K10536	paeu:BN889_02226
ko:K08995	paeu:BN889_02337
ko:K00688	paeu:BN889_02350
ko:K03781	paeu:BN889_02354
ko:K07507	paeu:BN889_02356
ko:K10979	paeu:BN889_02359
ko:K16147	paeu:BN889_02360
ko:K05343	paeu:BN889_02361
ko:K00700	paeu:BN889_02363
ko:K07027	paeu:BN889_02364
ko:K06044	paeu:BN889_02371
ko:K00705	paeu:BN889_02372
ko:K01236	paeu:BN889_02373
ko:K00703	paeu:BN889_02374
ko:K06889	paeu:BN889_02378
ko:K02049	paeu:BN889_02503
ko:K02050	paeu:BN889_02504
ko:K02051	paeu:BN889_02505
ko:K03710	paeu:BN889_02508
ko:K02050	paeu:BN889_02521
ko:K02049	paeu:BN889_02522
ko:K02051	paeu:BN889_02524
ko:K03119	paeu:BN889_02525
ko:K09471	paeu:BN889_02533
ko:K06995	paeu:BN889_02534
ko:K06145	paeu:BN889_02535
ko:K00851	paeu:BN889_02536
ko:K03299	paeu:BN889_02537
ko:K00131	paeu:BN889_02539
ko:K02050	paeu:BN889_02544
ko:K02051	paeu:BN889_02545
ko:K02049	paeu:BN889_02546
ko:K04087	paeu:BN889_02665
ko:K00605	paeu:BN889_02669
ko:K01752	paeu:BN889_02670
ko:K00281	paeu:BN889_02672
ko:K02437	paeu:BN889_02673
ko:K07214	paeu:BN889_02678
ko:K15125	paeu:BN889_02687
ko:K02014	paeu:BN889_02693
ko:K03088	paeu:BN889_02695
ko:K00450	paeu:BN889_02697
ko:K08195	paeu:BN889_02700
ko:K03805	paeu:BN889_02705
ko:K04084	paeu:BN889_02707
ko:K00981	paeu:BN889_02766
ko:K00995	paeu:BN889_02771
ko:K09800	paeu:BN889_02772
ko:K07278	paeu:BN889_02773
ko:K01142	paeu:BN889_02776
ko:K02040	paeu:BN889_02779
ko:K05794	paeu:BN889_02781
ko:K00626	paeu:BN889_02786
ko:K01895	paeu:BN889_02790
ko:K00666	paeu:BN889_02792
ko:K07507	paeu:BN889_02793
ko:K03406	paeu:BN889_02798
ko:K03321	paeu:BN889_02800
ko:K00598	paeu:BN889_02801
ko:K17218	paeu:BN889_02803
ko:K03630	paeu:BN889_02811
ko:K07234	paeu:BN889_02935
ko:K05916	paeu:BN889_02937
ko:K12266	paeu:BN889_02938
ko:K01737	paeu:BN889_02939
ko:K02459	paeu:BN889_02946
ko:K02458	paeu:BN889_02947
ko:K02456	paeu:BN889_02948
ko:K02456	paeu:BN889_02949
ko:K02455	paeu:BN889_02950
ko:K02454	paeu:BN889_02951
ko:K01061	paeu:BN889_02956
ko:K07017	paeu:BN889_02964
ko:K03885	paeu:BN889_02965
ko:K03671	paeu:BN889_02968
ko:K07727	paeu:BN889_03091
ko:K01295	paeu:BN889_03093
ko:K05539	paeu:BN889_03104
ko:K00616	paeu:BN889_03105
ko:K04754	paeu:BN889_03109
ko:K07107	paeu:BN889_03110
ko:K06879	paeu:BN889_03115
ko:K07644	paeu:BN889_03119
ko:K01992	paeu:BN889_03120
ko:K01990	paeu:BN889_03121
ko:K06445	paeu:BN889_03125
ko:K07733	paeu:BN889_03132
ko:K12055	paeu:BN889_03133
ko:K07798	paeu:BN889_03139
ko:K07787	paeu:BN889_03140
ko:K02188	paeu:BN889_03249
ko:K05895	paeu:BN889_03250
ko:K02014	paeu:BN889_03252
ko:K02013	paeu:BN889_03253
ko:K02016	paeu:BN889_03254
ko:K02015	paeu:BN889_03255
ko:K03406	paeu:BN889_03261
ko:K10014	paeu:BN889_03264
ko:K10016	paeu:BN889_03265
ko:K10015	paeu:BN889_03266
ko:K10017	paeu:BN889_03267
ko:K10680	paeu:BN889_03275
ko:K13580	paeu:BN889_03285
ko:K03405	paeu:BN889_03286
ko:K01626	paeu:BN889_03288
ko:K02230	paeu:BN889_03290
ko:K02234	paeu:BN889_03291
ko:K02189	paeu:BN889_03294
ko:K05936	paeu:BN889_03295
ko:K00209	paeu:BN889_03298
ko:K03522	paeu:BN889_03299
ko:K03521	paeu:BN889_03300
ko:K00311	paeu:BN889_03301
ko:K09986	paeu:BN889_03302
ko:K00254	paeu:BN889_03405
ko:K15371	paeu:BN889_03426
ko:K03924	paeu:BN889_03428
ko:K07114	paeu:BN889_03432
ko:K07003	paeu:BN889_03438
ko:K01256	paeu:BN889_03442
ko:K09916	paeu:BN889_03444
ko:K02441	paeu:BN889_03445
ko:K09962	paeu:BN889_05318
ko:K15268	paeu:BN889_05319
ko:K07178	paeu:BN889_05320
ko:K07814	paeu:BN889_05321
ko:K03719	paeu:BN889_05324
ko:K00626	paeu:BN889_05325
ko:K00626	paeu:BN889_05326
ko:K00059	paeu:BN889_05327
ko:K06219	paeu:BN889_05332
ko:K01126	paeu:BN889_05334
ko:K03833	paeu:BN889_05350
ko:K02380	paeu:BN889_05352
ko:K00127	paeu:BN889_05353
ko:K00124	paeu:BN889_05354
ko:K00123	paeu:BN889_05355
ko:K00123	paeu:BN889_05356
ko:K00219	paeu:BN889_05359
ko:K09936	paeu:BN889_05360
ko:K06940	paeu:BN889_05362
ko:K03327	paeu:BN889_05367
ko:K07080	paeu:BN889_06161
ko:K00574	paeu:BN889_06162
ko:K03569	paeu:BN889_06165
ko:K02435	paeu:BN889_06167
ko:K02433	paeu:BN889_06168
ko:K02434	paeu:BN889_06169
ko:K03642	paeu:BN889_06170
ko:K01607	paeu:BN889_06171
ko:K06894	paeu:BN889_06175
ko:K09934	paeu:BN889_06176
ko:K02030	paeu:BN889_06194
ko:K06140	paeu:BN889_06208
ko:K06202	paeu:BN889_06210
ko:K01992	paeu:BN889_07060
ko:K03630	paeu:BN889_07061
ko:K03630	paeu:BN889_07091
ko:K00858	paeu:BN889_03448
ko:K09977	paeu:BN889_03449
ko:K00219	paeu:BN889_03453
ko:K14052	paeu:BN889_02228
ko:K07862	paeu:BN889_02230
ko:K06177	paeu:BN889_02231
ko:K08998	paeu:BN889_02233
ko:K01725	paeu:BN889_02241
ko:K01673	paeu:BN889_02243
ko:K11921	paeu:BN889_02244
ko:K11921	paeu:BN889_02245
ko:K13893	paeu:BN889_02250
ko:K13894	paeu:BN889_02251
ko:K13896	paeu:BN889_02254
ko:K04487	paeu:BN889_02255
ko:K07233	paeu:BN889_02257
ko:K05820	paeu:BN889_02261
ko:K00612	paeu:BN889_02262
ko:K02014	paeu:BN889_02263
ko:K02355	paeu:BN889_02264
ko:K01556	paeu:BN889_02276
ko:K07130	paeu:BN889_02277
ko:K01953	paeu:BN889_02280
ko:K06048	paeu:BN889_02393
ko:K07217	paeu:BN889_02397
ko:K16137	paeu:BN889_02409
ko:K02029	paeu:BN889_02416
ko:K02029	paeu:BN889_02417
ko:K02030	paeu:BN889_02418
ko:K08194	paeu:BN889_02423
ko:K00097	paeu:BN889_02425
ko:K12992	paeu:BN889_02435
ko:K10227	paeu:BN889_02556
ko:K10228	paeu:BN889_02557
ko:K10229	paeu:BN889_02558
ko:K10111	paeu:BN889_02559
ko:K00045	paeu:BN889_02562
ko:K00854	paeu:BN889_02563
ko:K00847	paeu:BN889_02565
ko:K17218	paeu:BN889_02566
ko:K02073	paeu:BN889_02571
ko:K02072	paeu:BN889_02575
ko:K01126	paeu:BN889_02576
ko:K06916	paeu:BN889_02577
ko:K00299	paeu:BN889_02581
ko:K11902	paeu:BN889_02584
ko:K11891	paeu:BN889_02585
ko:K11892	paeu:BN889_02586
ko:K11893	paeu:BN889_02587
ko:K11901	paeu:BN889_02589
ko:K11900	paeu:BN889_02590
ko:K11903	paeu:BN889_02591
ko:K11896	paeu:BN889_02593
ko:K11895	paeu:BN889_02594
ko:K11907	paeu:BN889_02596
ko:K07303	paeu:BN889_02605
ko:K03449	paeu:BN889_02724
ko:K03381	paeu:BN889_02731
ko:K03464	paeu:BN889_02732
ko:K05600	paeu:BN889_02737
ko:K11311	paeu:BN889_02738
ko:K05783	paeu:BN889_02739
ko:K05784	paeu:BN889_02740
ko:K05550	paeu:BN889_02741
ko:K05549	paeu:BN889_02742
ko:K15727	paeu:BN889_02746
ko:K15725	paeu:BN889_02747
ko:K07665	paeu:BN889_02748
ko:K07644	paeu:BN889_02749
ko:K07789	paeu:BN889_02753
ko:K07788	paeu:BN889_02755
ko:K07799	paeu:BN889_02757
ko:K00817	paeu:BN889_02760
ko:K11065	paeu:BN889_02761
ko:K03310	paeu:BN889_02762
ko:K03406	paeu:BN889_02833
ko:K00496	paeu:BN889_02835
ko:K07078	paeu:BN889_02836
ko:K03719	paeu:BN889_02838
ko:K00453	paeu:BN889_02840
ko:K03923	paeu:BN889_02841
ko:K03607	paeu:BN889_02844
ko:K07679	paeu:BN889_02845
ko:K03703	paeu:BN889_02849
ko:K11073	paeu:BN889_02857
ko:K15553	paeu:BN889_02859
ko:K15553	paeu:BN889_02860
ko:K15553	paeu:BN889_02861
ko:K04091	paeu:BN889_02863
ko:K02051	paeu:BN889_02864
ko:K04091	paeu:BN889_02865
ko:K07235	paeu:BN889_02872
ko:K09989	paeu:BN889_02980
ko:K01738	paeu:BN889_02984
ko:K11073	paeu:BN889_02986
ko:K05524	paeu:BN889_02990
ko:K09760	paeu:BN889_02999
ko:K03630	paeu:BN889_03016
ko:K07733	paeu:BN889_03017
ko:K04764	paeu:BN889_03027
ko:K01890	paeu:BN889_03028
