ko:K19079	saut:SAI1T1_2005110
ko:K01752	saut:SAI1T1_2018860
ko:K00158	saut:SAI1T1_2018910
ko:K00054	saut:SAI1T1_2018940
ko:K01641	saut:SAI1T1_2018950
ko:K00567	saut:SAI1T1_2018960
ko:K04086	saut:SAI1T1_2018970
ko:K04759	saut:SAI1T1_2018980
ko:K06994	saut:SAI1T1_2018990
ko:K00294	saut:SAI1T1_2019010
ko:K17686	saut:SAI1T1_2019030
ko:K03778	saut:SAI1T1_2019040
ko:K10209	saut:SAI1T1_2019060
ko:K10208	saut:SAI1T1_2019070
ko:K10211	saut:SAI1T1_2019080
ko:K10210	saut:SAI1T1_2019090
ko:K10212	saut:SAI1T1_2019100
ko:K07035	saut:SAI1T1_2019150
ko:K07045	saut:SAI1T1_2019210
ko:K01875	saut:SAI1T1_2000080
ko:K00641	saut:SAI1T1_2000100
ko:K01939	saut:SAI1T1_2000140
ko:K07668	saut:SAI1T1_2000170
ko:K07652	saut:SAI1T1_2000180
ko:K00783	saut:SAI1T1_2000240
ko:K01126	saut:SAI1T1_2000260
ko:K02545	saut:SAI1T1_2000270
ko:K02828	saut:SAI1T1_2007490
ko:K02827	saut:SAI1T1_2007500
ko:K02826	saut:SAI1T1_2007510
ko:K01491	saut:SAI1T1_2007520
ko:K01588	saut:SAI1T1_2007530
ko:K01589	saut:SAI1T1_2007540
ko:K01923	saut:SAI1T1_2007550
ko:K01952	saut:SAI1T1_2007560
ko:K01952	saut:SAI1T1_2007570
ko:K00764	saut:SAI1T1_2007580
ko:K01933	saut:SAI1T1_2007590
ko:K11175	saut:SAI1T1_2007600
ko:K00602	saut:SAI1T1_2007610
ko:K01945	saut:SAI1T1_2007620
ko:K16785	saut:SAI1T1_2007630
ko:K16786	saut:SAI1T1_2007640
ko:K16787	saut:SAI1T1_2007640
ko:K16925	saut:SAI1T1_2007650
ko:K06969	saut:SAI1T1_2007670
ko:K08483	saut:SAI1T1_2007690
ko:K00425	saut:SAI1T1_2007700
ko:K00426	saut:SAI1T1_2007710
ko:K03499	saut:SAI1T1_2007720
ko:K12574	saut:SAI1T1_2007730
ko:K01462	saut:SAI1T1_2007740
ko:K00161	saut:SAI1T1_2007760
ko:K00162	saut:SAI1T1_2007770
ko:K00627	saut:SAI1T1_2007780
ko:K00382	saut:SAI1T1_2007790
ko:K11072	saut:SAI1T1_2007810
ko:K11071	saut:SAI1T1_2007820
ko:K11070	saut:SAI1T1_2007830
ko:K11069	saut:SAI1T1_2007840
ko:K03322	saut:SAI1T1_2007860
ko:K01092	saut:SAI1T1_2007880
ko:K06207	saut:SAI1T1_2007890
ko:K03588	saut:SAI1T1_2007910
ko:K01958	saut:SAI1T1_2007920
ko:K02259	saut:SAI1T1_2007930
ko:K04077	saut:SAI1T1_2014890
ko:K07052	saut:SAI1T1_2014900
ko:K07078	saut:SAI1T1_2014920
ko:K07813	saut:SAI1T1_2014940
ko:K07706	saut:SAI1T1_2014950
ko:K07707	saut:SAI1T1_2014960
ko:K00847	saut:SAI1T1_2014970
ko:K01193	saut:SAI1T1_2014980
ko:K03484	saut:SAI1T1_2014990
ko:K03320	saut:SAI1T1_2015000
ko:K07112	saut:SAI1T1_2015010
ko:K01926	saut:SAI1T1_2015020
ko:K06158	saut:SAI1T1_2015030
ko:K01409	saut:SAI1T1_2015050
ko:K06925	saut:SAI1T1_2015070
ko:K01687	saut:SAI1T1_2015080
ko:K01652	saut:SAI1T1_2015090
ko:K00053	saut:SAI1T1_2015100
ko:K01649	saut:SAI1T1_2015110
ko:K00052	saut:SAI1T1_2015120
ko:K01703	saut:SAI1T1_2015130
ko:K01704	saut:SAI1T1_2015140
ko:K01754	saut:SAI1T1_2015150
ko:K06959	saut:SAI1T1_2015200
ko:K03090	saut:SAI1T1_2015210
ko:K04757	saut:SAI1T1_2015220
ko:K07315	saut:SAI1T1_2015230
ko:K01775	saut:SAI1T1_2015240
ko:K09167	saut:SAI1T1_2015250
ko:K08981	saut:SAI1T1_2015260
ko:K01548	saut:SAI1T1_2015280
ko:K01547	saut:SAI1T1_2015290
ko:K01546	saut:SAI1T1_2015300
ko:K07646	saut:SAI1T1_2015310
ko:K07667	saut:SAI1T1_2015320
ko:K00626	saut:SAI1T1_2004450
ko:K00868	saut:SAI1T1_2004460
ko:K03648	saut:SAI1T1_2004480
ko:K00625	saut:SAI1T1_2004520
ko:K16869	saut:SAI1T1_2004530
ko:K00869	saut:SAI1T1_2004540
ko:K01597	saut:SAI1T1_2004550
ko:K00938	saut:SAI1T1_2004560
ko:K06885	saut:SAI1T1_2004650
ko:K13953	saut:SAI1T1_2004670
ko:K01887	saut:SAI1T1_2004680
ko:K07457	saut:SAI1T1_2004690
ko:K02016	saut:SAI1T1_2004700
ko:K02015	saut:SAI1T1_2004710
ko:K07025	saut:SAI1T1_2004720
ko:K09936	saut:SAI1T1_2004770
ko:K05565	saut:SAI1T1_2004790
ko:K05568	saut:SAI1T1_2004800
ko:K05569	saut:SAI1T1_2004810
ko:K05571	saut:SAI1T1_2004820
ko:K03316	saut:SAI1T1_2004830
ko:K03709	saut:SAI1T1_2004880
ko:K05946	saut:SAI1T1_2004900
ko:K09693	saut:SAI1T1_2004910
ko:K07258	saut:SAI1T1_2004950
ko:K18104	saut:SAI1T1_2004960
ko:K00773	saut:SAI1T1_2011900
ko:K07568	saut:SAI1T1_2011910
ko:K03551	saut:SAI1T1_2011920
ko:K03550	saut:SAI1T1_2011930
ko:K03979	saut:SAI1T1_2011940
ko:K03571	saut:SAI1T1_2011950
ko:K03570	saut:SAI1T1_2011960
ko:K04763	saut:SAI1T1_2012020
ko:K03630	saut:SAI1T1_2012030
ko:K02236	saut:SAI1T1_2012040
ko:K11754	saut:SAI1T1_2012050
ko:K01873	saut:SAI1T1_2012060
ko:K01246	saut:SAI1T1_2012070
ko:K07120	saut:SAI1T1_2012080
ko:K01845	saut:SAI1T1_2012100
ko:K01698	saut:SAI1T1_2012110
ko:K01719	saut:SAI1T1_2012120
ko:K01749	saut:SAI1T1_2012130
ko:K02497	saut:SAI1T1_2012140
ko:K02492	saut:SAI1T1_2012150
ko:K03978	saut:SAI1T1_2012160
ko:K03544	saut:SAI1T1_2012170
ko:K03545	saut:SAI1T1_2012180
ko:K02520	saut:SAI1T1_2012210
ko:K11733	saut:SAI1T1_2012220
ko:K01868	saut:SAI1T1_2012230
ko:K11144	saut:SAI1T1_2012240
ko:K03346	saut:SAI1T1_2012250
ko:K07738	saut:SAI1T1_2012260
ko:K00134	saut:SAI1T1_2012270
ko:K00859	saut:SAI1T1_2012280
ko:K10563	saut:SAI1T1_2012290
ko:K07636	saut:SAI1T1_2012320
ko:K07658	saut:SAI1T1_2012330
ko:K00031	saut:SAI1T1_2012340
ko:K01647	saut:SAI1T1_2012350
ko:K00226	saut:SAI1T1_2019270
ko:K09765	saut:SAI1T1_2019280
ko:K06978	saut:SAI1T1_2019300
ko:K04763	saut:SAI1T1_2019370
ko:K01918	saut:SAI1T1_2019390
ko:K00606	saut:SAI1T1_2019400
ko:K00077	saut:SAI1T1_2019410
ko:K01575	saut:SAI1T1_2019420
ko:K00016	saut:SAI1T1_2019430
ko:K03294	saut:SAI1T1_2019440
ko:K00823	saut:SAI1T1_2019450
ko:K01623	saut:SAI1T1_2019460
ko:K00116	saut:SAI1T1_2019470
ko:K01895	saut:SAI1T1_2019480
ko:K03451	saut:SAI1T1_2019530
ko:K03300	saut:SAI1T1_2019560
ko:K02304	saut:SAI1T1_2019570
ko:K00380	saut:SAI1T1_2019580
ko:K00432	saut:SAI1T1_2019590
ko:K01077	saut:SAI1T1_2019640
ko:K14192	saut:SAI1T1_2019670
ko:K01126	saut:SAI1T1_2007960
ko:K16323	saut:SAI1T1_2004970
ko:K02013	saut:SAI1T1_2004990
ko:K02015	saut:SAI1T1_2005000
ko:K02015	saut:SAI1T1_2005010
ko:K05878	saut:SAI1T1_2005020
ko:K05879	saut:SAI1T1_2005030
ko:K07220	saut:SAI1T1_2005130
ko:K03306	saut:SAI1T1_2005140
ko:K06890	saut:SAI1T1_2005160
ko:K09705	saut:SAI1T1_2005190
ko:K09793	saut:SAI1T1_2005230
ko:K06966	saut:SAI1T1_2005260
ko:K09768	saut:SAI1T1_2005270
ko:K06153	saut:SAI1T1_2005290
ko:K16013	saut:SAI1T1_2005300
ko:K16012	saut:SAI1T1_2005310
ko:K01669	saut:SAI1T1_2005350
ko:K03436	saut:SAI1T1_2005380
ko:K00882	saut:SAI1T1_2005390
ko:K02768	saut:SAI1T1_2005400
ko:K02769	saut:SAI1T1_2005400
ko:K02770	saut:SAI1T1_2005400
ko:K01443	saut:SAI1T1_2005410
ko:K10681	saut:SAI1T1_2005450
ko:K10682	saut:SAI1T1_2005460
ko:K16937	saut:SAI1T1_2005470
ko:K11737	saut:SAI1T1_2012360
ko:K00873	saut:SAI1T1_2012370
ko:K00850	saut:SAI1T1_2012380
ko:K01962	saut:SAI1T1_2012390
ko:K01963	saut:SAI1T1_2012400
ko:K00027	saut:SAI1T1_2012410
ko:K02337	saut:SAI1T1_2012420
ko:K00259	saut:SAI1T1_2012470
ko:K00925	saut:SAI1T1_2012490
ko:K11065	saut:SAI1T1_2012510
ko:K07090	saut:SAI1T1_2012520
ko:K03151	saut:SAI1T1_2012530
ko:K04487	saut:SAI1T1_2012540
ko:K06286	saut:SAI1T1_2012550
ko:K02986	saut:SAI1T1_2012560
ko:K01126	saut:SAI1T1_2012580
ko:K00058	saut:SAI1T1_2012610
ko:K02803	saut:SAI1T1_2012630
ko:K02804	saut:SAI1T1_2012630
ko:K00655	saut:SAI1T1_2012640
ko:K01866	saut:SAI1T1_2012660
ko:K12551	saut:SAI1T1_2012670
ko:K01938	saut:SAI1T1_2012690
ko:K01895	saut:SAI1T1_2012700
ko:K04766	saut:SAI1T1_2012710
ko:K04768	saut:SAI1T1_2012720
ko:K02529	saut:SAI1T1_2012730
ko:K13853	saut:SAI1T1_2012740
ko:K01924	saut:SAI1T1_2012770
ko:K03466	saut:SAI1T1_2012780
ko:K06878	saut:SAI1T1_2012790
ko:K01261	saut:SAI1T1_2012810
ko:K03439	saut:SAI1T1_2012830
ko:K00926	saut:SAI1T1_2019690
ko:K03758	saut:SAI1T1_2019700
ko:K00611	saut:SAI1T1_2019710
ko:K01478	saut:SAI1T1_2019720
ko:K01401	saut:SAI1T1_2019740
ko:K02768	saut:SAI1T1_2019780
ko:K02769	saut:SAI1T1_2019780
ko:K02770	saut:SAI1T1_2019780
ko:K01809	saut:SAI1T1_2019790
ko:K01421	saut:SAI1T1_2019800
ko:K03070	saut:SAI1T1_2019860
ko:K12270	saut:SAI1T1_2019870
ko:K12269	saut:SAI1T1_2019880
ko:K12268	saut:SAI1T1_2019890
ko:K03076	saut:SAI1T1_2019900
ko:K07304	saut:SAI1T1_2019940
ko:K01104	saut:SAI1T1_2019960
ko:K11936	saut:SAI1T1_2020000
ko:K11755	saut:SAI1T1_2020040
ko:K02500	saut:SAI1T1_2020050
ko:K01814	saut:SAI1T1_2020060
ko:K02501	saut:SAI1T1_2020070
ko:K01693	saut:SAI1T1_2020080
ko:K00817	saut:SAI1T1_2020090
ko:K00013	saut:SAI1T1_2020100
ko:K00765	saut:SAI1T1_2020110
ko:K16785	saut:SAI1T1_2020150
ko:K07090	saut:SAI1T1_2000380
ko:K00712	saut:SAI1T1_2000400
ko:K01929	saut:SAI1T1_2000420
ko:K07090	saut:SAI1T1_2000440
ko:K17218	saut:SAI1T1_2000470
ko:K01771	saut:SAI1T1_2000520
ko:K08170	saut:SAI1T1_2000600
ko:K03324	saut:SAI1T1_2000610
ko:K10254	saut:SAI1T1_2000620
ko:K03303	saut:SAI1T1_2000660
ko:K14196	saut:SAI1T1_2000670
ko:K02015	saut:SAI1T1_2000690
ko:K02015	saut:SAI1T1_2000700
ko:K02016	saut:SAI1T1_2000710
ko:K01586	saut:SAI1T1_2000790
ko:K03366	saut:SAI1T1_2000820
ko:K01784	saut:SAI1T1_2000830
ko:K00954	saut:SAI1T1_2007980
ko:K07040	saut:SAI1T1_2008000
ko:K14193	saut:SAI1T1_2008020
ko:K02016	saut:SAI1T1_2008050
ko:K02015	saut:SAI1T1_2008060
ko:K08600	saut:SAI1T1_2008070
ko:K03437	saut:SAI1T1_2008080
ko:K01889	saut:SAI1T1_2008090
ko:K01890	saut:SAI1T1_2008100
ko:K03471	saut:SAI1T1_2008110
ko:K02347	saut:SAI1T1_2008130
ko:K07456	saut:SAI1T1_2008140
ko:K03703	saut:SAI1T1_2008150
ko:K00241	saut:SAI1T1_2008160
ko:K00239	saut:SAI1T1_2008170
ko:K00240	saut:SAI1T1_2008180
ko:K01776	saut:SAI1T1_2008190
ko:K02428	saut:SAI1T1_2008200
ko:K07095	saut:SAI1T1_2008210
ko:K14200	saut:SAI1T1_2008230
ko:K11032	saut:SAI1T1_2008250
ko:K00611	saut:SAI1T1_2008290
ko:K00926	saut:SAI1T1_2008300
ko:K11041	saut:SAI1T1_2008320
ko:K07025	saut:SAI1T1_2008340
ko:K03438	saut:SAI1T1_2008360
ko:K12552	saut:SAI1T1_2008370
ko:K01000	saut:SAI1T1_2008380
ko:K01925	saut:SAI1T1_2008390
ko:K03589	saut:SAI1T1_2008400
ko:K03590	saut:SAI1T1_2008410
ko:K03531	saut:SAI1T1_2008420
ko:K05810	saut:SAI1T1_2008430
ko:K06997	saut:SAI1T1_2008440
ko:K09772	saut:SAI1T1_2008450
ko:K04074	saut:SAI1T1_2008470
ko:K01929	saut:SAI1T1_2015350
ko:K01921	saut:SAI1T1_2015360
ko:K05837	saut:SAI1T1_2015370
ko:K06131	saut:SAI1T1_2015380
ko:K06950	saut:SAI1T1_2015390
ko:K03217	saut:SAI1T1_2015400
ko:K00788	saut:SAI1T1_2015410
ko:K00878	saut:SAI1T1_2015420
ko:K00941	saut:SAI1T1_2015430
ko:K03707	saut:SAI1T1_2015440
ko:K00790	saut:SAI1T1_2015470
ko:K02112	saut:SAI1T1_2015480
ko:K02115	saut:SAI1T1_2015490
ko:K02111	saut:SAI1T1_2015500
ko:K02113	saut:SAI1T1_2015510
ko:K02109	saut:SAI1T1_2015520
ko:K02108	saut:SAI1T1_2015530
ko:K01791	saut:SAI1T1_2015540
ko:K00761	saut:SAI1T1_2015550
ko:K00600	saut:SAI1T1_2015560
ko:K07566	saut:SAI1T1_2015580
ko:K02493	saut:SAI1T1_2015590
ko:K02835	saut:SAI1T1_2015600
ko:K03628	saut:SAI1T1_2015620
ko:K00128	saut:SAI1T1_2015630
ko:K00790	saut:SAI1T1_2015640
ko:K01624	saut:SAI1T1_2015650
ko:K01937	saut:SAI1T1_2015670
ko:K03048	saut:SAI1T1_2015680
ko:K09680	saut:SAI1T1_2015700
ko:K07173	saut:SAI1T1_2015740
ko:K00756	saut:SAI1T1_2015750
ko:K01619	saut:SAI1T1_2015760
ko:K03784	saut:SAI1T1_2015770
ko:K01809	saut:SAI1T1_2015790
ko:K16264	saut:SAI1T1_2015810
ko:K10026	saut:SAI1T1_2005490
ko:K06920	saut:SAI1T1_2005500
ko:K01664	saut:SAI1T1_2005510
ko:K01665	saut:SAI1T1_2005520
ko:K02619	saut:SAI1T1_2005530
ko:K15738	saut:SAI1T1_2005570
ko:K03654	saut:SAI1T1_2005580
ko:K05847	saut:SAI1T1_2005590
ko:K05845	saut:SAI1T1_2005600
ko:K05846	saut:SAI1T1_2005600
ko:K00817	saut:SAI1T1_2005610
ko:K03305	saut:SAI1T1_2005640
ko:K09457	saut:SAI1T1_2005650
ko:K02015	saut:SAI1T1_2005690
ko:K02015	saut:SAI1T1_2005700
ko:K02013	saut:SAI1T1_2005710
ko:K02016	saut:SAI1T1_2005720
ko:K00075	saut:SAI1T1_2005730
ko:K00865	saut:SAI1T1_2005760
ko:K01258	saut:SAI1T1_2005770
ko:K02851	saut:SAI1T1_2005810
ko:K02240	saut:SAI1T1_2005840
ko:K02242	saut:SAI1T1_2005850
ko:K03070	saut:SAI1T1_2005870
ko:K02836	saut:SAI1T1_2005880
ko:K07023	saut:SAI1T1_2005900
ko:K03702	saut:SAI1T1_2005910
ko:K03701	saut:SAI1T1_2005920
ko:K06023	saut:SAI1T1_2005930
ko:K13292	saut:SAI1T1_2005940
ko:K00384	saut:SAI1T1_2005970
ko:K00824	saut:SAI1T1_2012850
ko:K01439	saut:SAI1T1_2012860
ko:K06183	saut:SAI1T1_2012870
ko:K07007	saut:SAI1T1_2012890
ko:K01869	saut:SAI1T1_2012910
ko:K07139	saut:SAI1T1_2012930
ko:K00318	saut:SAI1T1_2012970
ko:K14652	saut:SAI1T1_2012980
ko:K00793	saut:SAI1T1_2012990
ko:K11752	saut:SAI1T1_2013000
ko:K03893	saut:SAI1T1_2013020
ko:K07052	saut:SAI1T1_2013060
ko:K00616	saut:SAI1T1_2013070
ko:K00789	saut:SAI1T1_2013110
ko:K01610	saut:SAI1T1_2013120
ko:K02549	saut:SAI1T1_2013150
ko:K01911	saut:SAI1T1_2013160
ko:K01154	saut:SAI1T1_2013240
ko:K01154	saut:SAI1T1_2013250
ko:K03427	saut:SAI1T1_2013260
ko:K16786	saut:SAI1T1_2020160
ko:K16787	saut:SAI1T1_2020160
ko:K16924	saut:SAI1T1_2020170
ko:K02352	saut:SAI1T1_2020200
ko:K07146	saut:SAI1T1_2020210
ko:K01304	saut:SAI1T1_2020220
ko:K03319	saut:SAI1T1_2020250
ko:K05786	saut:SAI1T1_2020260
ko:K07241	saut:SAI1T1_2020280
ko:K11631	saut:SAI1T1_2020310
ko:K11632	saut:SAI1T1_2020320
ko:K03501	saut:SAI1T1_2020350
ko:K03495	saut:SAI1T1_2020360
ko:K03650	saut:SAI1T1_2020370
ko:K01534	saut:SAI1T1_10020
ko:K08167	saut:SAI1T1_10080
ko:K00383	saut:SAI1T1_10220
ko:K04564	saut:SAI1T1_2000880
ko:K03784	saut:SAI1T1_2000910
ko:K01619	saut:SAI1T1_2000930
ko:K01839	saut:SAI1T1_2000940
ko:K02042	saut:SAI1T1_2000950
ko:K02042	saut:SAI1T1_2000960
ko:K02041	saut:SAI1T1_2000970
ko:K02044	saut:SAI1T1_2000980
ko:K04072	saut:SAI1T1_2001030
ko:K01104	saut:SAI1T1_2001060
ko:K17716	saut:SAI1T1_2001080
ko:K01791	saut:SAI1T1_2001100
ko:K13012	saut:SAI1T1_2001160
ko:K01784	saut:SAI1T1_2001170
ko:K02472	saut:SAI1T1_2001180
ko:K01791	saut:SAI1T1_2001190
ko:K00128	saut:SAI1T1_2001200
ko:K16264	saut:SAI1T1_2001210
ko:K02049	saut:SAI1T1_2001230
ko:K02051	saut:SAI1T1_2001240
ko:K02050	saut:SAI1T1_2001250
ko:K00122	saut:SAI1T1_2001270
ko:K08996	saut:SAI1T1_2001310
ko:K00930	saut:SAI1T1_2001320
ko:K00620	saut:SAI1T1_2001330
ko:K00145	saut:SAI1T1_2001340
ko:K00819	saut:SAI1T1_2001350
ko:K01870	saut:SAI1T1_2008480
ko:K03101	saut:SAI1T1_2008490
ko:K06180	saut:SAI1T1_2008500
ko:K02825	saut:SAI1T1_2008510
ko:K02824	saut:SAI1T1_2008520
ko:K00609	saut:SAI1T1_2008530
ko:K01465	saut:SAI1T1_2008540
ko:K01956	saut:SAI1T1_2008550
ko:K01955	saut:SAI1T1_2008560
ko:K01591	saut:SAI1T1_2008570
ko:K00762	saut:SAI1T1_2008580
ko:K00942	saut:SAI1T1_2008600
ko:K13038	saut:SAI1T1_2008610
ko:K04066	saut:SAI1T1_2008620
ko:K01462	saut:SAI1T1_2008640
ko:K00604	saut:SAI1T1_2008650
ko:K03500	saut:SAI1T1_2008660
ko:K06941	saut:SAI1T1_2008670
ko:K06949	saut:SAI1T1_2008700
ko:K01783	saut:SAI1T1_2008710
ko:K07030	saut:SAI1T1_2008730
ko:K03655	saut:SAI1T1_2008740
ko:K03621	saut:SAI1T1_2008760
ko:K00645	saut:SAI1T1_2008770
ko:K00059	saut:SAI1T1_2008780
ko:K09762	saut:SAI1T1_2006000
ko:K01358	saut:SAI1T1_2006020
ko:K07071	saut:SAI1T1_2006030
ko:K05311	saut:SAI1T1_2006050
ko:K00134	saut:SAI1T1_2006060
ko:K00927	saut:SAI1T1_2006070
ko:K01803	saut:SAI1T1_2006080
ko:K15633	saut:SAI1T1_2006090
ko:K01689	saut:SAI1T1_2006100
ko:K03928	saut:SAI1T1_2006120
ko:K12573	saut:SAI1T1_2006130
ko:K06895	saut:SAI1T1_2006250
ko:K03785	saut:SAI1T1_2006270
ko:K04763	saut:SAI1T1_2006300
ko:K02071	saut:SAI1T1_2006350
ko:K02072	saut:SAI1T1_2006360
ko:K02073	saut:SAI1T1_2006370
ko:K08974	saut:SAI1T1_2006380
ko:K09013	saut:SAI1T1_2006390
ko:K09015	saut:SAI1T1_2006400
ko:K01980	saut:SAI1T1_2003940
ko:K01980	saut:SAI1T1_2016060
ko:K01980	saut:SAI1T1_2015160
ko:K00681	saut:SAI1T1_2001560
ko:K14221	saut:SAI1T1_2000160
ko:K14221	saut:SAI1T1_2013500
ko:K14221	saut:SAI1T1_2013910
ko:K14221	saut:SAI1T1_2013880
ko:K14233	saut:SAI1T1_2003470
ko:K14233	saut:SAI1T1_2013920
ko:K14233	saut:SAI1T1_2013900
ko:K14233	saut:SAI1T1_2007260
ko:K14233	saut:SAI1T1_2013440
ko:K14227	saut:SAI1T1_2003550
ko:K14227	saut:SAI1T1_2003930
ko:K14227	saut:SAI1T1_2014060
ko:K14218	saut:SAI1T1_2003560
ko:K14218	saut:SAI1T1_2013950
ko:K14218	saut:SAI1T1_2014050
ko:K14218	saut:SAI1T1_2003910
ko:K14237	saut:SAI1T1_2003840
ko:K14237	saut:SAI1T1_2016030
ko:K14237	saut:SAI1T1_2014030
ko:K14234	saut:SAI1T1_2003850
ko:K14234	saut:SAI1T1_2013860
ko:K14234	saut:SAI1T1_2014020
ko:K14225	saut:SAI1T1_2003870
ko:K14225	saut:SAI1T1_2013990
ko:K14224	saut:SAI1T1_2000150
ko:K14224	saut:SAI1T1_2016040
ko:K14224	saut:SAI1T1_2013450
ko:K14225	saut:SAI1T1_2013790
ko:K14225	saut:SAI1T1_2013800
ko:K14228	saut:SAI1T1_2013780
ko:K14219	saut:SAI1T1_2003890
ko:K14219	saut:SAI1T1_2013970
ko:K14219	saut:SAI1T1_2006010
ko:K14219	saut:SAI1T1_2008330
ko:K14220	saut:SAI1T1_2007270
ko:K14220	saut:SAI1T1_2016050
ko:K14220	saut:SAI1T1_2013460
ko:K14225	saut:SAI1T1_2013470
ko:K14225	saut:SAI1T1_2015180
ko:K14235	saut:SAI1T1_2013840
ko:K14236	saut:SAI1T1_2013850
ko:K14236	saut:SAI1T1_2016020
ko:K14228	saut:SAI1T1_2014000
ko:K14232	saut:SAI1T1_2003900
ko:K14232	saut:SAI1T1_2013960
ko:K14228	saut:SAI1T1_2003880
ko:K14228	saut:SAI1T1_2013980
ko:K14231	saut:SAI1T1_2013490
ko:K14231	saut:SAI1T1_2013870
ko:K14230	saut:SAI1T1_2013510
ko:K14230	saut:SAI1T1_2013890
ko:K14230	saut:SAI1T1_2013940
ko:K14222	saut:SAI1T1_2013810
ko:K14230	saut:SAI1T1_2013930
ko:K14223	saut:SAI1T1_2013820
ko:K14223	saut:SAI1T1_2016010
ko:K01977	saut:SAI1T1_2003920
ko:K01977	saut:SAI1T1_2016070
ko:K01977	saut:SAI1T1_2014070
ko:K01977	saut:SAI1T1_2015170
ko:K01977	saut:SAI1T1_2003540
ko:K14229	saut:SAI1T1_2003860
ko:K14229	saut:SAI1T1_2016000
ko:K14229	saut:SAI1T1_2014010
ko:K14226	saut:SAI1T1_2013480
ko:K14226	saut:SAI1T1_2013830
ko:K14228	saut:SAI1T1_2015190
ko:K01980	saut:SAI1T1_2014040
ko:K01980	saut:SAI1T1_2003570
ko:K07705	saut:SAI1T1_2002020
ko:K18707	saut:SAI1T1_2011440
ko:K02547	saut:SAI1T1_2000280
ko:K18766	saut:SAI1T1_10030
ko:K05592	saut:SAI1T1_2015340
ko:K18672	saut:SAI1T1_2015980
ko:K18704	saut:SAI1T1_2001940
ko:K18682	saut:SAI1T1_2009250
ko:K18692	saut:SAI1T1_2011300
ko:K09692	saut:SAI1T1_2004920
ko:K19279	saut:SAI1T1_2019350
ko:K09692	saut:SAI1T1_2014160
ko:K18941	saut:SAI1T1_2010230
ko:K18908	saut:SAI1T1_2002560
ko:K04940	saut:SAI1T1_2016990
ko:K18907	saut:SAI1T1_2000640
ko:K03169	saut:SAI1T1_2016650
ko:K03502	saut:SAI1T1_2009800
ko:K03497	saut:SAI1T1_2002780
ko:K03111	saut:SAI1T1_2002810
ko:K03497	saut:SAI1T1_2020340
ko:K02172	saut:SAI1T1_10040
ko:K00520	saut:SAI1T1_10190
ko:K14201	saut:SAI1T1_2006180
ko:K11040	saut:SAI1T1_2013390
ko:K11040	saut:SAI1T1_2013400
ko:K11040	saut:SAI1T1_2013410
ko:K11040	saut:SAI1T1_2013420
ko:K11040	saut:SAI1T1_2013430
ko:K11040	saut:SAI1T1_2014730
ko:K09145	saut:SAI1T1_2005200
ko:K00221	saut:SAI1T1_10180
ko:K07029	saut:SAI1T1_2014390
ko:K07498	saut:SAI1T1_10160
ko:K01271	saut:SAI1T1_2012460
ko:K18979	saut:SAI1T1_2013730
ko:K00949	saut:SAI1T1_2008720
ko:K01318	saut:SAI1T1_2007410
ko:K07498	saut:SAI1T1_10130
ko:K07816	saut:SAI1T1_2018660
ko:K03429	saut:SAI1T1_2007190
ko:K02755	saut:SAI1T1_2002050
ko:K03293	saut:SAI1T1_2017110
ko:K19077	saut:SAI1T1_2005100
ko:K01174	saut:SAI1T1_2009500
ko:K19078	saut:SAI1T1_2005090
ko:K01239	saut:SAI1T1_2016860
ko:K19225	saut:SAI1T1_2011230
ko:K02777	saut:SAI1T1_2010280
ko:K14198	saut:SAI1T1_2014710
ko:K19068	saut:SAI1T1_2001090
ko:K19081	saut:SAI1T1_2019620
ko:K19082	saut:SAI1T1_2019630
ko:K19083	saut:SAI1T1_2019610
ko:K19084	saut:SAI1T1_2019600
ko:K08259	saut:SAI1T1_2002140
ko:K02031	saut:SAI1T1_2006970
ko:K14195	saut:SAI1T1_2018570
ko:K14195	saut:SAI1T1_2018580
ko:K02032	saut:SAI1T1_2009940
ko:K07485	saut:SAI1T1_2002910
ko:K07485	saut:SAI1T1_2004360
ko:K07485	saut:SAI1T1_2004840
ko:K07485	saut:SAI1T1_2006510
ko:K07485	saut:SAI1T1_2008240
ko:K07485	saut:SAI1T1_2012570
ko:K07485	saut:SAI1T1_2013770
ko:K07485	saut:SAI1T1_2015330
ko:K03722	saut:SAI1T1_2010500
ko:K01992	saut:SAI1T1_2018720
ko:K19411	saut:SAI1T1_2004000
ko:K01046	saut:SAI1T1_2002460
ko:K19302	saut:SAI1T1_2010240
ko:K19405	saut:SAI1T1_2004010
ko:K03574	saut:SAI1T1_2013140
ko:K19279	saut:SAI1T1_2006320
ko:K07498	saut:SAI1T1_10010
ko:K00561	saut:SAI1T1_2019340
ko:K19576	saut:SAI1T1_2005370
ko:K03483	saut:SAI1T1_2015930
ko:K06881	saut:SAI1T1_2012430
ko:K01906	saut:SAI1T1_2017980
ko:K19689	saut:SAI1T1_2014230
ko:K01258	saut:SAI1T1_2010990
ko:K07119	saut:SAI1T1_2016280
ko:K00547	saut:SAI1T1_2002750
ko:K00297	saut:SAI1T1_2002750
ko:K02538	saut:SAI1T1_2019770
ko:K21636	saut:SAI1T1_2019550
ko:K19976	saut:SAI1T1_2004860
ko:K12132	saut:SAI1T1_2008690
ko:K20074	saut:SAI1T1_2008680
ko:K20116	saut:SAI1T1_2001390
ko:K20117	saut:SAI1T1_2001390
