ko:K07489	ypl:CH46_4177
ko:K12152	ypl:CH46_3486
ko:K03497	ypl:CH46_4303
ko:K03497	ypl:CH46_4312
ko:K07491	ypl:CH46_4318
ko:K07347	ypl:CH46_4328
ko:K00773	ypl:CH46_1911
ko:K03210	ypl:CH46_1912
ko:K03072	ypl:CH46_1913
ko:K03074	ypl:CH46_1914
ko:K07738	ypl:CH46_1917
ko:K11752	ypl:CH46_1918
ko:K00794	ypl:CH46_1919
ko:K10680	ypl:CH46_2728
ko:K16137	ypl:CH46_2729
ko:K03760	ypl:CH46_2730
ko:K06938	ypl:CH46_2731
ko:K06075	ypl:CH46_2733
ko:K06077	ypl:CH46_2734
ko:K09001	ypl:CH46_2735
ko:K00275	ypl:CH46_2737
ko:K01866	ypl:CH46_2738
ko:K00868	ypl:CH46_2739
ko:K00799	ypl:CH46_2740
ko:K03305	ypl:CH46_2744
ko:K19230	ypl:CH46_2747
ko:K19229	ypl:CH46_2748
ko:K19228	ypl:CH46_2749
ko:K19227	ypl:CH46_2750
ko:K19226	ypl:CH46_2751
ko:K07491	ypl:CH46_2752
ko:K03974	ypl:CH46_2753
ko:K03969	ypl:CH46_2754
ko:K03970	ypl:CH46_2755
ko:K03971	ypl:CH46_2757
ko:K06918	ypl:CH46_2758
ko:K08990	ypl:CH46_2759
ko:K03721	ypl:CH46_2762
ko:K07491	ypl:CH46_2763
ko:K11065	ypl:CH46_2764
ko:K14054	ypl:CH46_2766
ko:K15580	ypl:CH46_2767
ko:K16074	ypl:CH46_2768
ko:K14058	ypl:CH46_2772
ko:K03737	ypl:CH46_2773
ko:K03297	ypl:CH46_2774
ko:K07507	ypl:CH46_2775
ko:K03668	ypl:CH46_2777
ko:K03778	ypl:CH46_2778
ko:K09978	ypl:CH46_2781
ko:K00007	ypl:CH46_2782
ko:K02015	ypl:CH46_3591
ko:K02015	ypl:CH46_3592
ko:K02013	ypl:CH46_3593
ko:K03897	ypl:CH46_3596
ko:K13745	ypl:CH46_3597
ko:K13255	ypl:CH46_3598
ko:K07289	ypl:CH46_3600
ko:K01494	ypl:CH46_3601
ko:K00876	ypl:CH46_3602
ko:K03593	ypl:CH46_3603
ko:K01874	ypl:CH46_3604
ko:K07491	ypl:CH46_3605
ko:K02058	ypl:CH46_3609
ko:K06518	ypl:CH46_3612
ko:K01489	ypl:CH46_3614
ko:K00027	ypl:CH46_3615
ko:K03748	ypl:CH46_3616
ko:K10541	ypl:CH46_3617
ko:K10542	ypl:CH46_3618
ko:K10540	ypl:CH46_3619
ko:K07148	ypl:CH46_3620
ko:K01495	ypl:CH46_3621
ko:K00121	ypl:CH46_3624
ko:K01070	ypl:CH46_3625
ko:K02004	ypl:CH46_3627
ko:K02005	ypl:CH46_3628
ko:K02003	ypl:CH46_3629
ko:K06871	ypl:CH46_3630
ko:K03750	ypl:CH46_3631
ko:K11911	ypl:CH46_3637
ko:K11905	ypl:CH46_3638
ko:K11906	ypl:CH46_3639
ko:K11895	ypl:CH46_3640
ko:K11896	ypl:CH46_3641
ko:K11910	ypl:CH46_3644
ko:K15771	ypl:CH46_62
ko:K15772	ypl:CH46_63
ko:K01224	ypl:CH46_64
ko:K12308	ypl:CH46_65
ko:K02778	ypl:CH46_66
ko:K02024	ypl:CH46_67
ko:K01187	ypl:CH46_69
ko:K08191	ypl:CH46_70
ko:K08302	ypl:CH46_74
ko:K06871	ypl:CH46_77
ko:K00065	ypl:CH46_79
ko:K02079	ypl:CH46_80
ko:K02744	ypl:CH46_81
ko:K02747	ypl:CH46_82
ko:K02746	ypl:CH46_83
ko:K02745	ypl:CH46_84
ko:K02082	ypl:CH46_85
ko:K16371	ypl:CH46_86
ko:K07491	ypl:CH46_89
ko:K08961	ypl:CH46_92
ko:K01673	ypl:CH46_96
ko:K02452	ypl:CH46_98
ko:K02453	ypl:CH46_99
ko:K02454	ypl:CH46_100
ko:K02455	ypl:CH46_102
ko:K02456	ypl:CH46_103
ko:K02457	ypl:CH46_104
ko:K02458	ypl:CH46_105
ko:K02459	ypl:CH46_106
ko:K02460	ypl:CH46_107
ko:K02461	ypl:CH46_108
ko:K02465	ypl:CH46_111
ko:K07396	ypl:CH46_114
ko:K02029	ypl:CH46_938
ko:K02029	ypl:CH46_939
ko:K06901	ypl:CH46_941
ko:K00209	ypl:CH46_944
ko:K03650	ypl:CH46_945
ko:K03217	ypl:CH46_946
ko:K08998	ypl:CH46_947
ko:K03536	ypl:CH46_948
ko:K02914	ypl:CH46_949
ko:K02313	ypl:CH46_951
ko:K02338	ypl:CH46_952
ko:K03629	ypl:CH46_953
ko:K02470	ypl:CH46_954
ko:K07483	ypl:CH46_960
ko:K01754	ypl:CH46_962
ko:K04080	ypl:CH46_966
ko:K04081	ypl:CH46_967
ko:K07085	ypl:CH46_968
ko:K00835	ypl:CH46_969
ko:K01176	ypl:CH46_971
ko:K00090	ypl:CH46_972
ko:K03826	ypl:CH46_975
ko:K01246	ypl:CH46_976
ko:K01878	ypl:CH46_978
ko:K01879	ypl:CH46_979
ko:K02798	ypl:CH46_981
ko:K02799	ypl:CH46_981
ko:K02800	ypl:CH46_981
ko:K00009	ypl:CH46_982
ko:K02562	ypl:CH46_983
ko:K14762	ypl:CH46_985
ko:K04564	ypl:CH46_990
ko:K07792	ypl:CH46_1812
ko:K02477	ypl:CH46_1813
ko:K01626	ypl:CH46_1814
ko:K14187	ypl:CH46_1815
ko:K14170	ypl:CH46_1816
ko:K14170	ypl:CH46_1820
ko:K07491	ypl:CH46_1821
ko:K05809	ypl:CH46_1822
ko:K05807	ypl:CH46_1823
ko:K06180	ypl:CH46_1824
ko:K05810	ypl:CH46_1825
ko:K03695	ypl:CH46_1826
ko:K05811	ypl:CH46_1833
ko:K00998	ypl:CH46_1834
ko:K05812	ypl:CH46_1836
ko:K03672	ypl:CH46_1837
ko:K03214	ypl:CH46_1838
ko:K03446	ypl:CH46_1839
ko:K03543	ypl:CH46_1840
ko:K15974	ypl:CH46_1841
ko:K02030	ypl:CH46_1849
ko:K02029	ypl:CH46_1850
ko:K02029	ypl:CH46_1851
ko:K02028	ypl:CH46_1852
ko:K02083	ypl:CH46_1858
ko:K06445	ypl:CH46_1863
ko:K03271	ypl:CH46_1864
ko:K01868	ypl:CH46_2672
ko:K02520	ypl:CH46_2673
ko:K02916	ypl:CH46_2674
ko:K02887	ypl:CH46_2675
ko:K01889	ypl:CH46_2676
ko:K01890	ypl:CH46_2677
ko:K04764	ypl:CH46_2678
ko:K06073	ypl:CH46_2680
ko:K00432	ypl:CH46_2681
ko:K06074	ypl:CH46_2682
ko:K07806	ypl:CH46_2683
ko:K10012	ypl:CH46_2684
ko:K10011	ypl:CH46_2685
ko:K13014	ypl:CH46_2686
ko:K07264	ypl:CH46_2687
ko:K12962	ypl:CH46_2688
ko:K12963	ypl:CH46_2689
ko:K03800	ypl:CH46_2691
ko:K08997	ypl:CH46_2692
ko:K08997	ypl:CH46_2693
ko:K01626	ypl:CH46_2694
ko:K09773	ypl:CH46_2695
ko:K19222	ypl:CH46_2699
ko:K05997	ypl:CH46_2700
ko:K09014	ypl:CH46_2701
ko:K09013	ypl:CH46_2702
ko:K09015	ypl:CH46_2703
ko:K11717	ypl:CH46_2704
ko:K02426	ypl:CH46_2705
ko:K19236	ypl:CH46_2706
ko:K07491	ypl:CH46_2708
ko:K06078	ypl:CH46_2709
ko:K00873	ypl:CH46_2710
ko:K03327	ypl:CH46_2713
ko:K00793	ypl:CH46_2714
ko:K03604	ypl:CH46_2719
ko:K04564	ypl:CH46_2721
ko:K07390	ypl:CH46_2724
ko:K03683	ypl:CH46_2725
ko:K01759	ypl:CH46_2726
ko:K11021	ypl:CH46_2727
ko:K12148	ypl:CH46_3540
ko:K02532	ypl:CH46_3541
ko:K07407	ypl:CH46_3542
ko:K09912	ypl:CH46_3551
ko:K01940	ypl:CH46_3556
ko:K00101	ypl:CH46_3557
ko:K18334	ypl:CH46_3559
ko:K18335	ypl:CH46_3561
ko:K09802	ypl:CH46_3566
ko:K01141	ypl:CH46_3568
ko:K08317	ypl:CH46_3571
ko:K02056	ypl:CH46_3572
ko:K02056	ypl:CH46_3573
ko:K02057	ypl:CH46_3574
ko:K00765	ypl:CH46_3577
ko:K00013	ypl:CH46_3578
ko:K00817	ypl:CH46_3579
ko:K01089	ypl:CH46_3580
ko:K02501	ypl:CH46_3581
ko:K01814	ypl:CH46_3582
ko:K02500	ypl:CH46_3583
ko:K11755	ypl:CH46_3584
ko:K00033	ypl:CH46_3585
ko:K00963	ypl:CH46_3586
ko:K00963	ypl:CH46_3587
ko:K16088	ypl:CH46_3589
ko:K02016	ypl:CH46_3590
ko:K07746	ypl:CH46_4411
ko:K03497	ypl:CH46_4413
ko:K03496	ypl:CH46_4414
ko:K07483	ypl:CH46_4417
ko:K08599	ypl:CH46_4420
ko:K02414	ypl:CH46_173
ko:K02422	ypl:CH46_175
ko:K02407	ypl:CH46_176
ko:K02406	ypl:CH46_177
ko:K02406	ypl:CH46_178
ko:K02406	ypl:CH46_179
ko:K02397	ypl:CH46_183
ko:K02396	ypl:CH46_184
ko:K02395	ypl:CH46_185
ko:K02394	ypl:CH46_186
ko:K02393	ypl:CH46_187
ko:K02392	ypl:CH46_188
ko:K02391	ypl:CH46_189
ko:K07491	ypl:CH46_190
ko:K02390	ypl:CH46_192
ko:K02389	ypl:CH46_193
ko:K02388	ypl:CH46_194
ko:K02387	ypl:CH46_195
ko:K02386	ypl:CH46_196
ko:K02398	ypl:CH46_197
ko:K02399	ypl:CH46_198
ko:K02412	ypl:CH46_200
ko:K02411	ypl:CH46_201
ko:K02410	ypl:CH46_202
ko:K02409	ypl:CH46_203
ko:K02408	ypl:CH46_204
ko:K02416	ypl:CH46_206
ko:K02417	ypl:CH46_207
ko:K02419	ypl:CH46_208
ko:K02420	ypl:CH46_209
ko:K02421	ypl:CH46_210
ko:K02401	ypl:CH46_211
ko:K02400	ypl:CH46_212
ko:K02400	ypl:CH46_213
ko:K02016	ypl:CH46_216
ko:K07491	ypl:CH46_220
ko:K07491	ypl:CH46_221
ko:K02278	ypl:CH46_222
ko:K02279	ypl:CH46_223
ko:K02280	ypl:CH46_224
ko:K02282	ypl:CH46_227
ko:K02283	ypl:CH46_228
ko:K07675	ypl:CH46_1047
ko:K07783	ypl:CH46_1048
ko:K12368	ypl:CH46_1054
ko:K12369	ypl:CH46_1055
ko:K12370	ypl:CH46_1056
ko:K12371	ypl:CH46_1057
ko:K12372	ypl:CH46_1058
ko:K01728	ypl:CH46_1062
ko:K11103	ypl:CH46_1064
ko:K00874	ypl:CH46_1067
ko:K01821	ypl:CH46_1068
ko:K07290	ypl:CH46_1071
ko:K01521	ypl:CH46_1070
ko:K07058	ypl:CH46_1072
ko:K00865	ypl:CH46_1077
ko:K03299	ypl:CH46_1078
ko:K02647	ypl:CH46_1079
ko:K00383	ypl:CH46_1080
ko:K07115	ypl:CH46_1081
ko:K01414	ypl:CH46_1082
ko:K15984	ypl:CH46_1083
ko:K00262	ypl:CH46_1085
ko:K06149	ypl:CH46_1086
ko:K06144	ypl:CH46_1087
ko:K07491	ypl:CH46_1088
ko:K16322	ypl:CH46_1089
ko:K07007	ypl:CH46_1090
ko:K10441	ypl:CH46_1092
ko:K10440	ypl:CH46_1093
ko:K10439	ypl:CH46_1094
ko:K09988	ypl:CH46_1095
ko:K01624	ypl:CH46_1096
ko:K06911	ypl:CH46_1100
ko:K06145	ypl:CH46_1101
ko:K06155	ypl:CH46_1102
ko:K03625	ypl:CH46_1920
ko:K00946	ypl:CH46_1921
ko:K01095	ypl:CH46_1922
ko:K07491	ypl:CH46_1923
ko:K01662	ypl:CH46_1924
ko:K00795	ypl:CH46_1925
ko:K03602	ypl:CH46_1926
ko:K03151	ypl:CH46_1927
ko:K03152	ypl:CH46_1928
ko:K00077	ypl:CH46_1929
ko:K09767	ypl:CH46_1930
ko:K02300	ypl:CH46_1933
ko:K02299	ypl:CH46_1934
ko:K02298	ypl:CH46_1935
ko:K02297	ypl:CH46_1936
ko:K08218	ypl:CH46_1938
ko:K07286	ypl:CH46_1939
ko:K05527	ypl:CH46_1940
ko:K03545	ypl:CH46_1942
ko:K01358	ypl:CH46_1943
ko:K03544	ypl:CH46_1944
ko:K01338	ypl:CH46_1945
ko:K03530	ypl:CH46_1946
ko:K03770	ypl:CH46_1947
ko:K02237	ypl:CH46_1948
ko:K12500	ypl:CH46_1949
ko:K06920	ypl:CH46_1950
ko:K11938	ypl:CH46_1952
ko:K01738	ypl:CH46_1953
ko:K05800	ypl:CH46_1954
ko:K18889	ypl:CH46_1955
ko:K18890	ypl:CH46_1956
ko:K04752	ypl:CH46_1957
ko:K03320	ypl:CH46_1958
ko:K10805	ypl:CH46_1959
ko:K09914	ypl:CH46_1960
ko:K07443	ypl:CH46_1961
ko:K05839	ypl:CH46_1962
ko:K19162	ypl:CH46_1963
ko:K02919	ypl:CH46_1965
ko:K02909	ypl:CH46_1966
ko:K18138	ypl:CH46_1967
ko:K03585	ypl:CH46_1968
ko:K03577	ypl:CH46_1969
ko:K06039	ypl:CH46_1970
ko:K05802	ypl:CH46_1971
ko:K01118	ypl:CH46_2784
ko:K03578	ypl:CH46_2785
ko:K04775	ypl:CH46_2788
ko:K11021	ypl:CH46_2793
ko:K07491	ypl:CH46_2794
ko:K01299	ypl:CH46_2795
ko:K07639	ypl:CH46_2796
ko:K07661	ypl:CH46_2797
ko:K03758	ypl:CH46_2799
ko:K00324	ypl:CH46_2801
ko:K00325	ypl:CH46_2802
ko:K14055	ypl:CH46_2803
ko:K00567	ypl:CH46_2805
ko:K01077	ypl:CH46_2806
ko:K01653	ypl:CH46_2810
ko:K01652	ypl:CH46_2811
ko:K01241	ypl:CH46_2816
ko:K02050	ypl:CH46_2817
ko:K02051	ypl:CH46_2818
ko:K17202	ypl:CH46_2819
ko:K02529	ypl:CH46_2821
ko:K11891	ypl:CH46_3645
ko:K11907	ypl:CH46_3654
ko:K11903	ypl:CH46_3655
ko:K11892	ypl:CH46_3657
ko:K11893	ypl:CH46_3658
ko:K11900	ypl:CH46_3659
ko:K11901	ypl:CH46_3660
ko:K00645	ypl:CH46_3662
ko:K01641	ypl:CH46_3668
ko:K00059	ypl:CH46_3669
ko:K00647	ypl:CH46_3670
ko:K02372	ypl:CH46_3671
ko:K11179	ypl:CH46_3680
ko:K01512	ypl:CH46_3681
ko:K06969	ypl:CH46_3682
ko:K11940	ypl:CH46_3683
ko:K06929	ypl:CH46_3684
ko:K09909	ypl:CH46_3685
ko:K01734	ypl:CH46_3686
ko:K03658	ypl:CH46_3687
ko:K07343	ypl:CH46_3690
ko:K13053	ypl:CH46_3691
ko:K03286	ypl:CH46_3692
ko:K07491	ypl:CH46_3693
ko:K09911	ypl:CH46_3694
ko:K04770	ypl:CH46_3695
ko:K01716	ypl:CH46_3696
ko:K09908	ypl:CH46_1525
ko:K06916	ypl:CH46_1526
ko:K02871	ypl:CH46_1527
ko:K02996	ypl:CH46_1528
ko:K03599	ypl:CH46_1529
ko:K03600	ypl:CH46_1530
ko:K00266	ypl:CH46_1532
ko:K00265	ypl:CH46_1533
ko:K07139	ypl:CH46_1534
ko:K07648	ypl:CH46_1535
ko:K03814	ypl:CH46_1537
ko:K12961	ypl:CH46_1539
ko:K07460	ypl:CH46_1540
ko:K07121	ypl:CH46_1541
ko:K07056	ypl:CH46_1542
ko:K06911	ypl:CH46_1543
ko:K08296	ypl:CH46_2353
ko:K01782	ypl:CH46_2354
ko:K06076	ypl:CH46_2357
ko:K04754	ypl:CH46_2358
ko:K02200	ypl:CH46_2360
ko:K02199	ypl:CH46_2361
ko:K02198	ypl:CH46_2362
ko:K02197	ypl:CH46_2363
ko:K02196	ypl:CH46_2364
ko:K02195	ypl:CH46_2365
ko:K02194	ypl:CH46_2366
ko:K02193	ypl:CH46_2367
ko:K03744	ypl:CH46_2370
ko:K06193	ypl:CH46_2372
ko:K11897	ypl:CH46_2374
ko:K11898	ypl:CH46_2375
ko:K11904	ypl:CH46_2378
ko:K11891	ypl:CH46_2379
ko:K11892	ypl:CH46_2380
ko:K03584	ypl:CH46_2384
ko:K03685	ypl:CH46_2386
ko:K03100	ypl:CH46_2387
ko:K03596	ypl:CH46_2388
ko:K03803	ypl:CH46_2390
ko:K03598	ypl:CH46_2391
ko:K03597	ypl:CH46_2392
ko:K03088	ypl:CH46_2393
ko:K00278	ypl:CH46_2394
ko:K15460	ypl:CH46_2395
ko:K05590	ypl:CH46_2396
ko:K03648	ypl:CH46_2402
ko:K01304	ypl:CH46_2403
ko:K10111	ypl:CH46_3222
ko:K10111	ypl:CH46_3223
ko:K02026	ypl:CH46_3224
ko:K02025	ypl:CH46_3225
ko:K02027	ypl:CH46_3226
ko:K03710	ypl:CH46_3228
ko:K09803	ypl:CH46_3238
ko:K06887	ypl:CH46_3247
ko:K00995	ypl:CH46_3256
ko:K03703	ypl:CH46_3257
ko:K07689	ypl:CH46_3258
ko:K11737	ypl:CH46_3264
ko:K17948	ypl:CH46_3265
ko:K03809	ypl:CH46_3266
ko:K16301	ypl:CH46_3267
ko:K07224	ypl:CH46_3268
ko:K07243	ypl:CH46_3269
ko:K11928	ypl:CH46_3270
ko:K13821	ypl:CH46_3272
ko:K03273	ypl:CH46_4069
ko:K02071	ypl:CH46_4070
ko:K02072	ypl:CH46_4071
ko:K02073	ypl:CH46_4072
ko:K06080	ypl:CH46_4073
ko:K01881	ypl:CH46_4075
ko:K06079	ypl:CH46_4076
ko:K15034	ypl:CH46_4077
ko:K19000	ypl:CH46_4080
ko:K04075	ypl:CH46_4082
ko:K08234	ypl:CH46_4083
ko:K01962	ypl:CH46_4084
ko:K02337	ypl:CH46_4085
ko:K03470	ypl:CH46_4086
ko:K00748	ypl:CH46_4087
ko:K00677	ypl:CH46_4088
ko:K02372	ypl:CH46_4089
ko:K02536	ypl:CH46_4090
ko:K06142	ypl:CH46_4091
ko:K07277	ypl:CH46_4092
ko:K11749	ypl:CH46_4093
ko:K00981	ypl:CH46_4094
ko:K00806	ypl:CH46_4095
ko:K00099	ypl:CH46_4096
ko:K02838	ypl:CH46_4097
ko:K09903	ypl:CH46_4098
ko:K02357	ypl:CH46_4099
ko:K02967	ypl:CH46_4100
ko:K01265	ypl:CH46_4101
ko:K00990	ypl:CH46_4102
ko:K00674	ypl:CH46_4103
ko:K06175	ypl:CH46_4106
ko:K07491	ypl:CH46_4108
ko:K15723	ypl:CH46_4109
ko:K06879	ypl:CH46_4110
ko:K06966	ypl:CH46_4111
ko:K01146	ypl:CH46_4112
ko:K06968	ypl:CH46_4113
ko:K03566	ypl:CH46_4115
ko:K01766	ypl:CH46_4117
ko:K02426	ypl:CH46_4118
ko:K15977	ypl:CH46_348
ko:K03574	ypl:CH46_352
ko:K03070	ypl:CH46_353
ko:K13301	ypl:CH46_354
ko:K02535	ypl:CH46_356
ko:K03531	ypl:CH46_357
ko:K03590	ypl:CH46_358
ko:K03589	ypl:CH46_359
ko:K01921	ypl:CH46_360
ko:K01924	ypl:CH46_361
ko:K02563	ypl:CH46_362
ko:K03588	ypl:CH46_363
ko:K01925	ypl:CH46_364
ko:K01000	ypl:CH46_365
ko:K01929	ypl:CH46_366
ko:K01928	ypl:CH46_367
ko:K03587	ypl:CH46_368
ko:K03586	ypl:CH46_369
ko:K03438	ypl:CH46_370
ko:K03925	ypl:CH46_371
ko:K03435	ypl:CH46_373
ko:K07491	ypl:CH46_374
ko:K01653	ypl:CH46_375
ko:K01652	ypl:CH46_376
ko:K01897	ypl:CH46_377
ko:K05798	ypl:CH46_378
ko:K07491	ypl:CH46_380
ko:K01649	ypl:CH46_381
ko:K00052	ypl:CH46_382
ko:K01703	ypl:CH46_383
ko:K01704	ypl:CH46_384
ko:K03291	ypl:CH46_385
ko:K03291	ypl:CH46_388
ko:K11925	ypl:CH46_389
ko:K02064	ypl:CH46_391
ko:K02063	ypl:CH46_392
ko:K01719	ypl:CH46_1216
ko:K01749	ypl:CH46_1217
ko:K05851	ypl:CH46_1218
ko:K06202	ypl:CH46_1219
ko:K01778	ypl:CH46_1221
ko:K09921	ypl:CH46_1222
ko:K03733	ypl:CH46_1223
ko:K03657	ypl:CH46_1225
ko:K03284	ypl:CH46_1229
ko:K05786	ypl:CH46_1230
ko:K01058	ypl:CH46_1232
ko:K03654	ypl:CH46_1233
ko:K05835	ypl:CH46_1234
ko:K05834	ypl:CH46_1235
ko:K01048	ypl:CH46_1236
ko:K01126	ypl:CH46_1239
ko:K00111	ypl:CH46_1240
ko:K00112	ypl:CH46_1241
ko:K00113	ypl:CH46_1242
ko:K09125	ypl:CH46_1244
ko:K04085	ypl:CH46_1245
ko:K01534	ypl:CH46_1246
ko:K08993	ypl:CH46_1250
ko:K08316	ypl:CH46_1251
ko:K03110	ypl:CH46_1252
ko:K09812	ypl:CH46_1253
ko:K09811	ypl:CH46_1254
ko:K03089	ypl:CH46_1255
ko:K07491	ypl:CH46_1256
ko:K01999	ypl:CH46_1258
ko:K01997	ypl:CH46_1259
ko:K01998	ypl:CH46_1260
ko:K01995	ypl:CH46_1261
ko:K01996	ypl:CH46_1262
ko:K00885	ypl:CH46_2079
ko:K03290	ypl:CH46_2082
ko:K02048	ypl:CH46_2083
ko:K02046	ypl:CH46_2084
ko:K02047	ypl:CH46_2085
ko:K02045	ypl:CH46_2086
ko:K12339	ypl:CH46_2087
ko:K07114	ypl:CH46_2091
ko:K14155	ypl:CH46_2092
ko:K03307	ypl:CH46_2096
ko:K05685	ypl:CH46_2098
ko:K13888	ypl:CH46_2099
ko:K02484	ypl:CH46_2102
ko:K07491	ypl:CH46_2106
ko:K02777	ypl:CH46_2107
ko:K08483	ypl:CH46_2108
ko:K02784	ypl:CH46_2109
ko:K01738	ypl:CH46_2110
ko:K06203	ypl:CH46_2111
ko:K03528	ypl:CH46_2112
ko:K01972	ypl:CH46_2113
ko:K09954	ypl:CH46_2114
ko:K09962	ypl:CH46_2116
ko:K07491	ypl:CH46_2119
ko:K01885	ypl:CH46_2120
ko:K11535	ypl:CH46_2124
ko:K03322	ypl:CH46_2125
ko:K00845	ypl:CH46_2130
ko:K14261	ypl:CH46_2132
ko:K18843	ypl:CH46_2134
ko:K08320	ypl:CH46_2946
ko:K03169	ypl:CH46_2948
ko:K01008	ypl:CH46_2949
ko:K04773	ypl:CH46_2951
ko:K01424	ypl:CH46_2952
ko:K08281	ypl:CH46_2953
ko:K09916	ypl:CH46_2954
ko:K07305	ypl:CH46_2955
ko:K00134	ypl:CH46_2956
ko:K01792	ypl:CH46_2957
ko:K07180	ypl:CH46_2959
ko:K09786	ypl:CH46_2960
ko:K06911	ypl:CH46_2963
ko:K07552	ypl:CH46_2964
ko:K00285	ypl:CH46_2965
ko:K03603	ypl:CH46_2967
ko:K03314	ypl:CH46_2968
ko:K03611	ypl:CH46_2969
ko:K04487	ypl:CH46_2972
ko:K07491	ypl:CH46_2990
ko:K03674	ypl:CH46_3802
ko:K07085	ypl:CH46_3803
ko:K01619	ypl:CH46_3806
ko:K11534	ypl:CH46_3807
ko:K03837	ypl:CH46_3808
ko:K07258	ypl:CH46_3809
ko:K02072	ypl:CH46_3810
ko:K02071	ypl:CH46_3811
ko:K02073	ypl:CH46_3812
ko:K16089	ypl:CH46_3816
ko:K02013	ypl:CH46_3817
ko:K02015	ypl:CH46_3818
ko:K02016	ypl:CH46_3819
ko:K11733	ypl:CH46_3820
ko:K01151	ypl:CH46_3824
ko:K07347	ypl:CH46_3825
ko:K02769	ypl:CH46_3830
ko:K02770	ypl:CH46_3830
ko:K00882	ypl:CH46_3831
ko:K02768	ypl:CH46_3832
ko:K11183	ypl:CH46_3832
ko:K02057	ypl:CH46_3834
ko:K02056	ypl:CH46_3835
ko:K02058	ypl:CH46_3836
ko:K01807	ypl:CH46_3837
ko:K00854	ypl:CH46_3838
ko:K00135	ypl:CH46_3839
ko:K00058	ypl:CH46_3841
ko:K06940	ypl:CH46_3843
ko:K03835	ypl:CH46_3844
ko:K02356	ypl:CH46_3845
ko:K01686	ypl:CH46_3846
ko:K00040	ypl:CH46_3847
ko:K13637	ypl:CH46_3848
ko:K13694	ypl:CH46_3852
ko:K00014	ypl:CH46_670
ko:K07566	ypl:CH46_671
ko:K07479	ypl:CH46_672
ko:K03747	ypl:CH46_673
ko:K04096	ypl:CH46_674
ko:K02062	ypl:CH46_393
ko:K02336	ypl:CH46_395
ko:K03580	ypl:CH46_396
ko:K11891	ypl:CH46_398
ko:K11892	ypl:CH46_399
ko:K11893	ypl:CH46_400
ko:K11906	ypl:CH46_401
ko:K11904	ypl:CH46_407
ko:K11907	ypl:CH46_408
ko:K11895	ypl:CH46_409
ko:K11896	ypl:CH46_410
ko:K11897	ypl:CH46_411
ko:K11903	ypl:CH46_412
ko:K11900	ypl:CH46_413
ko:K11901	ypl:CH46_414
ko:K11902	ypl:CH46_415
ko:K06177	ypl:CH46_417
ko:K05801	ypl:CH46_418
ko:K04744	ypl:CH46_419
ko:K03771	ypl:CH46_420
ko:K00097	ypl:CH46_421
ko:K02528	ypl:CH46_422
ko:K06195	ypl:CH46_423
ko:K01525	ypl:CH46_424
ko:K07491	ypl:CH46_426
ko:K01955	ypl:CH46_431
ko:K01956	ypl:CH46_432
ko:K00215	ypl:CH46_433
ko:K07491	ypl:CH46_434
ko:K03527	ypl:CH46_435
ko:K03774	ypl:CH46_436
ko:K03101	ypl:CH46_437
ko:K01870	ypl:CH46_438
ko:K11753	ypl:CH46_439
ko:K02968	ypl:CH46_440
ko:K03717	ypl:CH46_441
ko:K03313	ypl:CH46_442
ko:K03686	ypl:CH46_443
ko:K04043	ypl:CH46_444
ko:K07034	ypl:CH46_445
ko:K05813	ypl:CH46_1270
ko:K05814	ypl:CH46_1271
ko:K05815	ypl:CH46_1272
ko:K05816	ypl:CH46_1273
ko:K01126	ypl:CH46_1274
ko:K07088	ypl:CH46_1275
ko:K03576	ypl:CH46_1276
ko:K00549	ypl:CH46_1278
ko:K01061	ypl:CH46_1279
ko:K00757	ypl:CH46_1280
ko:K06200	ypl:CH46_1282
ko:K09760	ypl:CH46_1284
ko:K03183	ypl:CH46_1285
ko:K03690	ypl:CH46_1286
ko:K03688	ypl:CH46_1287
ko:K03116	ypl:CH46_1288
ko:K03117	ypl:CH46_1289
ko:K03118	ypl:CH46_1290
ko:K03424	ypl:CH46_1291
ko:K01698	ypl:CH46_1295
ko:K05785	ypl:CH46_1296
ko:K03182	ypl:CH46_1297
ko:K05368	ypl:CH46_1298
ko:K01825	ypl:CH46_1300
ko:K07491	ypl:CH46_1303
ko:K03498	ypl:CH46_1305
ko:K00230	ypl:CH46_1306
ko:K00075	ypl:CH46_1313
ko:K03524	ypl:CH46_1314
ko:K00867	ypl:CH46_1315
ko:K02358	ypl:CH46_1323
ko:K03073	ypl:CH46_1324
ko:K07308	ypl:CH46_2140
ko:K07307	ypl:CH46_2141
ko:K07306	ypl:CH46_2142
ko:K06887	ypl:CH46_2144
ko:K02010	ypl:CH46_2146
ko:K02011	ypl:CH46_2147
ko:K02012	ypl:CH46_2148
ko:K08305	ypl:CH46_2149
ko:K11902	ypl:CH46_2156
ko:K11895	ypl:CH46_2157
ko:K11896	ypl:CH46_2158
ko:K11907	ypl:CH46_2159
ko:K07345	ypl:CH46_2160
ko:K07347	ypl:CH46_2162
ko:K11901	ypl:CH46_2166
ko:K11900	ypl:CH46_2167
ko:K11903	ypl:CH46_2168
ko:K11906	ypl:CH46_2169
ko:K11893	ypl:CH46_2170
ko:K03474	ypl:CH46_2174
ko:K00997	ypl:CH46_2175
ko:K07491	ypl:CH46_2176
ko:K07106	ypl:CH46_2179
ko:K18697	ypl:CH46_2180
ko:K11991	ypl:CH46_2181
ko:K18691	ypl:CH46_2182
