ko:K03638	lmox:AX24_02635
ko:K02759	lmox:AX24_14295
ko:K03707	lmox:AX24_14350
ko:K00878	lmox:AX24_14355
ko:K00941	lmox:AX24_14360
ko:K00788	lmox:AX24_14365
ko:K01223	lmox:AX24_14370
ko:K03338	lmox:AX24_14685
ko:K03336	lmox:AX24_14690
ko:K05937	lmox:AX24_14695
ko:K03648	lmox:AX24_14710
ko:K00286	lmox:AX24_14740
ko:K02003	lmox:AX24_14785
ko:K02004	lmox:AX24_14790
ko:K02768	lmox:AX24_14810
ko:K02769	lmox:AX24_14815
ko:K02770	lmox:AX24_14820
ko:K15524	lmox:AX24_14825
ko:K03306	lmox:AX24_14845
ko:K01759	lmox:AX24_14850
ko:K07729	lmox:AX24_14900
ko:K05340	lmox:AX24_14925
ko:K02768	lmox:AX24_14935
ko:K02769	lmox:AX24_14940
ko:K02770	lmox:AX24_14945
ko:K09022	lmox:AX24_01540
ko:K02029	lmox:AX24_01560
ko:K02030	lmox:AX24_01560
ko:K02028	lmox:AX24_01565
ko:K01426	lmox:AX24_01570
ko:K01921	lmox:AX24_01610
ko:K01929	lmox:AX24_01615
ko:K02529	lmox:AX24_01625
ko:K02027	lmox:AX24_01630
ko:K02025	lmox:AX24_01635
ko:K02026	lmox:AX24_01640
ko:K01226	lmox:AX24_01645
ko:K03652	lmox:AX24_02015
ko:K07284	lmox:AX24_02020
ko:K03800	lmox:AX24_02030
ko:K03216	lmox:AX24_02055
ko:K01104	lmox:AX24_02070
ko:K08325	lmox:AX24_00050
ko:K03305	lmox:AX24_00055
ko:K07404	lmox:AX24_00070
ko:K00262	lmox:AX24_00080
ko:K01523	lmox:AX24_00085
ko:K01496	lmox:AX24_00090
ko:K05592	lmox:AX24_01670
ko:K07045	lmox:AX24_01690
ko:K02759	lmox:AX24_01715
ko:K02760	lmox:AX24_01720
ko:K02761	lmox:AX24_01725
ko:K09167	lmox:AX24_01755
ko:K08981	lmox:AX24_01760
ko:K00231	lmox:AX24_01765
ko:K00997	lmox:AX24_01770
ko:K01775	lmox:AX24_01775
ko:K07723	lmox:AX24_01780
ko:K17763	lmox:AX24_01790
ko:K17762	lmox:AX24_01795
ko:K17752	lmox:AX24_01800
ko:K07315	lmox:AX24_01805
ko:K04757	lmox:AX24_01815
ko:K03090	lmox:AX24_01820
ko:K05518	lmox:AX24_01825
ko:K03321	lmox:AX24_01830
ko:K06959	lmox:AX24_01835
ko:K03095	lmox:AX24_01840
ko:K02761	lmox:AX24_01870
ko:K03492	lmox:AX24_01875
ko:K00383	lmox:AX24_01910
ko:K01814	lmox:AX24_00100
ko:K02501	lmox:AX24_00105
ko:K01693	lmox:AX24_00110
ko:K00013	lmox:AX24_00115
ko:K00765	lmox:AX24_00120
ko:K02502	lmox:AX24_00125
ko:K04486	lmox:AX24_00130
ko:K07443	lmox:AX24_00135
ko:K06901	lmox:AX24_00145
ko:K01223	lmox:AX24_00150
ko:K03492	lmox:AX24_00155
ko:K06999	lmox:AX24_00180
ko:K06969	lmox:AX24_00185
ko:K03070	lmox:AX24_00195
ko:K01669	lmox:AX24_00220
ko:K07030	lmox:AX24_00230
ko:K00641	lmox:AX24_00250
ko:K01740	lmox:AX24_00255
ko:K03523	lmox:AX24_00270
ko:K10947	lmox:AX24_00275
ko:K06147	lmox:AX24_00315
ko:K06147	lmox:AX24_00320
ko:K01118	lmox:AX24_00335
ko:K01126	lmox:AX24_00360
ko:K07090	lmox:AX24_00385
ko:K02768	lmox:AX24_00440
ko:K11203	lmox:AX24_00445
ko:K11202	lmox:AX24_00450
ko:K07025	lmox:AX24_00460
ko:K01534	lmox:AX24_00505
ko:K03294	lmox:AX24_00530
ko:K07104	lmox:AX24_00535
ko:K03284	lmox:AX24_00545
ko:K01421	lmox:AX24_00555
ko:K02388	lmox:AX24_00915
ko:K02408	lmox:AX24_00920
ko:K02409	lmox:AX24_00925
ko:K02410	lmox:AX24_00930
ko:K02411	lmox:AX24_00935
ko:K02412	lmox:AX24_00940
ko:K10947	lmox:AX24_00955
ko:K00158	lmox:AX24_00970
ko:K03406	lmox:AX24_00975
ko:K00820	lmox:AX24_01000
ko:K07726	lmox:AX24_01035
ko:K01990	lmox:AX24_01055
ko:K08976	lmox:AX24_00590
ko:K07457	lmox:AX24_00600
ko:K00868	lmox:AX24_00640
ko:K00661	lmox:AX24_00655
ko:K01990	lmox:AX24_00670
ko:K01992	lmox:AX24_00675
ko:K02419	lmox:AX24_00740
ko:K02420	lmox:AX24_00745
ko:K02421	lmox:AX24_00750
ko:K02401	lmox:AX24_00755
ko:K02400	lmox:AX24_00760
ko:K02404	lmox:AX24_00765
ko:K02392	lmox:AX24_00770
ko:K00575	lmox:AX24_00775
ko:K02556	lmox:AX24_00785
ko:K02557	lmox:AX24_00790
ko:K03415	lmox:AX24_00805
ko:K02406	lmox:AX24_00810
ko:K03413	lmox:AX24_00815
ko:K03407	lmox:AX24_00820
ko:K02417	lmox:AX24_00825
ko:K02389	lmox:AX24_00840
ko:K02390	lmox:AX24_00845
ko:K02417	lmox:AX24_00850
ko:K02416	lmox:AX24_00855
ko:K02417	lmox:AX24_00860
ko:K09770	lmox:AX24_00875
ko:K02396	lmox:AX24_00885
ko:K02397	lmox:AX24_00890
ko:K02407	lmox:AX24_00895
ko:K02422	lmox:AX24_00900
ko:K02387	lmox:AX24_00910
ko:K15975	lmox:AX24_01115
ko:K06999	lmox:AX24_01120
ko:K03665	lmox:AX24_01130
ko:K07098	lmox:AX24_01135
ko:K03800	lmox:AX24_01140
ko:K02795	lmox:AX24_01200
ko:K02794	lmox:AX24_01205
ko:K02793	lmox:AX24_01210
ko:K01118	lmox:AX24_01220
ko:K11737	lmox:AX24_01225
ko:K03976	lmox:AX24_01245
ko:K07150	lmox:AX24_01260
ko:K07118	lmox:AX24_01265
ko:K05786	lmox:AX24_01270
ko:K11733	lmox:AX24_01285
ko:K03316	lmox:AX24_01310
ko:K11072	lmox:AX24_01330
ko:K11071	lmox:AX24_01335
ko:K11070	lmox:AX24_01340
ko:K11069	lmox:AX24_01345
ko:K01674	lmox:AX24_01350
ko:K00847	lmox:AX24_01360
ko:K02371	lmox:AX24_01365
ko:K00054	lmox:AX24_01440
ko:K03324	lmox:AX24_01445
ko:K03737	lmox:AX24_01450
ko:K04041	lmox:AX24_01455
ko:K07088	lmox:AX24_01460
ko:K13256	lmox:AX24_01485
ko:K06147	lmox:AX24_01495
ko:K07784	lmox:AX24_01505
ko:K01840	lmox:AX24_01660
ko:K00135	lmox:AX24_01945
ko:K02760	lmox:AX24_01950
ko:K07738	lmox:AX24_05330
ko:K00859	lmox:AX24_05335
ko:K10563	lmox:AX24_05340
ko:K00031	lmox:AX24_05350
ko:K01647	lmox:AX24_05355
ko:K07113	lmox:AX24_05365
ko:K00873	lmox:AX24_05370
ko:K00850	lmox:AX24_05375
ko:K01962	lmox:AX24_05385
ko:K01963	lmox:AX24_05390
ko:K02337	lmox:AX24_05395
ko:K00259	lmox:AX24_05420
ko:K00925	lmox:AX24_05430
ko:K11065	lmox:AX24_05445
ko:K04773	lmox:AX24_05455
ko:K00858	lmox:AX24_05460
ko:K00611	lmox:AX24_05465
ko:K00930	lmox:AX24_05475
ko:K00620	lmox:AX24_05480
ko:K00145	lmox:AX24_05485
ko:K03151	lmox:AX24_05490
ko:K04487	lmox:AX24_05495
ko:K02986	lmox:AX24_05520
ko:K01866	lmox:AX24_05525
ko:K02529	lmox:AX24_05530
ko:K13853	lmox:AX24_05535
ko:K01924	lmox:AX24_05565
ko:K03466	lmox:AX24_05570
ko:K06878	lmox:AX24_05575
ko:K02761	lmox:AX24_01955
ko:K02759	lmox:AX24_01960
ko:K01223	lmox:AX24_01965
ko:K03491	lmox:AX24_01970
ko:K08986	lmox:AX24_01985
ko:K00867	lmox:AX24_01990
ko:K06885	lmox:AX24_15270
ko:K10254	lmox:AX24_15300
ko:K06941	lmox:AX24_15305
ko:K13653	lmox:AX24_15310
ko:K07145	lmox:AX24_15315
ko:K03924	lmox:AX24_15175
ko:K10974	lmox:AX24_15185
ko:K09703	lmox:AX24_15190
ko:K07166	lmox:AX24_15590
ko:K09157	lmox:AX24_15595
ko:K01222	lmox:AX24_15605
ko:K02083	lmox:AX24_15610
ko:K01635	lmox:AX24_15620
ko:K02016	lmox:AX24_15630
ko:K02781	lmox:AX24_15635
ko:K02782	lmox:AX24_15640
ko:K02783	lmox:AX24_15640
ko:K02783	lmox:AX24_15645
ko:K07282	lmox:AX24_15505
ko:K08987	lmox:AX24_15515
ko:K01222	lmox:AX24_15530
ko:K02911	lmox:AX24_15350
ko:K00014	lmox:AX24_15370
ko:K03785	lmox:AX24_15375
ko:K06978	lmox:AX24_15385
ko:K01808	lmox:AX24_15405
ko:K01783	lmox:AX24_15410
ko:K02773	lmox:AX24_15430
ko:K01783	lmox:AX24_15440
ko:K00008	lmox:AX24_15445
ko:K02774	lmox:AX24_15450
ko:K02775	lmox:AX24_15455
ko:K00948	lmox:AX24_15460
ko:K02996	lmox:AX24_10990
ko:K02871	lmox:AX24_10995
ko:K06173	lmox:AX24_11000
ko:K16785	lmox:AX24_11005
ko:K16787	lmox:AX24_11010
ko:K16786	lmox:AX24_11015
ko:K07507	lmox:AX24_11020
ko:K01426	lmox:AX24_11025
ko:K02879	lmox:AX24_11035
ko:K03040	lmox:AX24_11040
ko:K02948	lmox:AX24_11045
ko:K02952	lmox:AX24_11050
ko:K01940	lmox:AX24_08305
ko:K01755	lmox:AX24_08310
ko:K05020	lmox:AX24_08315
ko:K01628	lmox:AX24_08325
ko:K00882	lmox:AX24_08330
ko:K02775	lmox:AX24_08335
ko:K02774	lmox:AX24_08340
ko:K02773	lmox:AX24_08345
ko:K06215	lmox:AX24_08365
ko:K08681	lmox:AX24_08370
ko:K00625	lmox:AX24_08375
ko:K04758	lmox:AX24_08380
ko:K04759	lmox:AX24_08385
ko:K02919	lmox:AX24_11055
ko:K02518	lmox:AX24_11060
ko:K00939	lmox:AX24_11070
ko:K03076	lmox:AX24_11075
ko:K02876	lmox:AX24_11080
ko:K02907	lmox:AX24_11085
ko:K02988	lmox:AX24_11090
ko:K02881	lmox:AX24_11095
ko:K02933	lmox:AX24_11100
ko:K02994	lmox:AX24_11105
ko:K02954	lmox:AX24_11110
ko:K02931	lmox:AX24_11115
ko:K02895	lmox:AX24_11120
ko:K02874	lmox:AX24_11125
ko:K02961	lmox:AX24_11130
ko:K02904	lmox:AX24_11135
ko:K02878	lmox:AX24_11140
ko:K02982	lmox:AX24_11145
ko:K02890	lmox:AX24_11150
ko:K02965	lmox:AX24_11155
ko:K02886	lmox:AX24_11160
ko:K02892	lmox:AX24_11165
ko:K02926	lmox:AX24_11170
ko:K02906	lmox:AX24_11175
ko:K02946	lmox:AX24_11180
ko:K16785	lmox:AX24_11190
ko:K03734	lmox:AX24_11200
ko:K03885	lmox:AX24_11210
ko:K00805	lmox:AX24_11220
ko:K00805	lmox:AX24_11225
ko:K01470	lmox:AX24_11250
ko:K00945	lmox:AX24_07475
ko:K01424	lmox:AX24_07480
ko:K03654	lmox:AX24_07490
ko:K05337	lmox:AX24_07500
ko:K07651	lmox:AX24_07520
ko:K07775	lmox:AX24_07525
ko:K06178	lmox:AX24_07530
ko:K06024	lmox:AX24_07535
ko:K05896	lmox:AX24_07540
ko:K01586	lmox:AX24_07545
ko:K03783	lmox:AX24_07550
ko:K01839	lmox:AX24_07555
ko:K04763	lmox:AX24_07560
ko:K03711	lmox:AX24_07565
ko:K02015	lmox:AX24_07570
ko:K02015	lmox:AX24_07575
ko:K02016	lmox:AX24_07580
ko:K02013	lmox:AX24_07590
ko:K01992	lmox:AX24_07605
ko:K01990	lmox:AX24_07610
ko:K01515	lmox:AX24_07615
ko:K02346	lmox:AX24_07630
ko:K07124	lmox:AX24_07635
ko:K00784	lmox:AX24_07640
ko:K00036	lmox:AX24_07645
ko:K01687	lmox:AX24_07675
ko:K01652	lmox:AX24_07680
ko:K01653	lmox:AX24_07685
ko:K00053	lmox:AX24_07695
ko:K01649	lmox:AX24_07700
ko:K00052	lmox:AX24_07705
ko:K01703	lmox:AX24_07710
ko:K01704	lmox:AX24_07715
ko:K01754	lmox:AX24_07720
ko:K01575	lmox:AX24_07725
ko:K01652	lmox:AX24_07800
ko:K17318	lmox:AX24_07805
ko:K17320	lmox:AX24_07810
ko:K17319	lmox:AX24_07815
ko:K07720	lmox:AX24_07820
ko:K07718	lmox:AX24_07825
ko:K09704	lmox:AX24_07835
ko:K01191	lmox:AX24_07840
ko:K01191	lmox:AX24_07850
ko:K03704	lmox:AX24_07855
ko:K01778	lmox:AX24_07865
ko:K01870	lmox:AX24_07870
ko:K04074	lmox:AX24_07875
ko:K07105	lmox:AX24_07880
ko:K04487	lmox:AX24_07885
ko:K00278	lmox:AX24_07890
ko:K00767	lmox:AX24_07895
ko:K03517	lmox:AX24_07900
ko:K02221	lmox:AX24_07960
ko:K09772	lmox:AX24_07965
ko:K06997	lmox:AX24_07970
ko:K03531	lmox:AX24_07975
ko:K03590	lmox:AX24_07980
ko:K03589	lmox:AX24_07985
ko:K02563	lmox:AX24_07990
ko:K01925	lmox:AX24_07995
ko:K01000	lmox:AX24_08005
ko:K01928	lmox:AX24_08010
ko:K08724	lmox:AX24_08015
ko:K03438	lmox:AX24_08025
ko:K03925	lmox:AX24_08030
ko:K08152	lmox:AX24_08040
ko:K00077	lmox:AX24_08055
ko:K02911	lmox:AX24_08065
ko:K07040	lmox:AX24_08070
ko:K07177	lmox:AX24_08085
ko:K00954	lmox:AX24_08090
ko:K07098	lmox:AX24_08395
ko:K01443	lmox:AX24_08405
ko:K01809	lmox:AX24_08415
ko:K02003	lmox:AX24_08435
ko:K02004	lmox:AX24_08440
ko:K03431	lmox:AX24_08455
ko:K00691	lmox:AX24_08480
ko:K08600	lmox:AX24_08815
ko:K02013	lmox:AX24_08820
ko:K02015	lmox:AX24_08825
ko:K02016	lmox:AX24_08830
ko:K00756	lmox:AX24_07730
ko:K02529	lmox:AX24_07735
ko:K01619	lmox:AX24_07740
ko:K05346	lmox:AX24_07745
ko:K02793	lmox:AX24_07750
ko:K02259	lmox:AX24_08120
ko:K10716	lmox:AX24_08125
ko:K14166	lmox:AX24_08140
ko:K03282	lmox:AX24_08150
ko:K01442	lmox:AX24_08170
ko:K04077	lmox:AX24_08175
ko:K04078	lmox:AX24_08180
ko:K07052	lmox:AX24_08190
ko:K01926	lmox:AX24_08200
ko:K06158	lmox:AX24_08205
ko:K06889	lmox:AX24_08210
ko:K01409	lmox:AX24_08220
ko:K03789	lmox:AX24_08225
ko:K06925	lmox:AX24_08235
ko:K06199	lmox:AX24_08250
ko:K06199	lmox:AX24_08255
ko:K15772	lmox:AX24_08490
ko:K15771	lmox:AX24_08495
ko:K15770	lmox:AX24_08500
ko:K07052	lmox:AX24_08510
ko:K01624	lmox:AX24_08565
ko:K01624	lmox:AX24_08570
ko:K02770	lmox:AX24_08575
ko:K02769	lmox:AX24_08580
ko:K02768	lmox:AX24_08585
ko:K01990	lmox:AX24_08595
ko:K01992	lmox:AX24_08600
ko:K03710	lmox:AX24_08620
ko:K07035	lmox:AX24_08625
ko:K03671	lmox:AX24_08660
ko:K01759	lmox:AX24_08745
ko:K08177	lmox:AX24_08760
ko:K01026	lmox:AX24_08765
ko:K08602	lmox:AX24_08850
ko:K06198	lmox:AX24_08855
ko:K16511	lmox:AX24_08860
ko:K16509	lmox:AX24_08865
ko:K10823	lmox:AX24_08870
ko:K15583	lmox:AX24_08875
ko:K15582	lmox:AX24_08880
ko:K15581	lmox:AX24_08885
ko:K15580	lmox:AX24_08890
ko:K01867	lmox:AX24_08900
ko:K09458	lmox:AX24_08915
ko:K00648	lmox:AX24_08920
ko:K01834	lmox:AX24_08935
ko:K03695	lmox:AX24_08940
ko:K06890	lmox:AX24_08945
ko:K06976	lmox:AX24_08955
ko:K01772	lmox:AX24_08965
ko:K01599	lmox:AX24_08970
ko:K01992	lmox:AX24_08980
ko:K01990	lmox:AX24_08985
ko:K02503	lmox:AX24_08990
ko:K07533	lmox:AX24_09005
ko:K03698	lmox:AX24_09010
ko:K01551	lmox:AX24_09070
ko:K01551	lmox:AX24_09090
ko:K03325	lmox:AX24_09095
ko:K03325	lmox:AX24_09100
ko:K01990	lmox:AX24_09115
ko:K00014	lmox:AX24_09280
ko:K01992	lmox:AX24_09295
ko:K01990	lmox:AX24_09300
ko:K07979	lmox:AX24_09305
ko:K13531	lmox:AX24_09310
ko:K13530	lmox:AX24_09315
ko:K06180	lmox:AX24_09320
ko:K07220	lmox:AX24_09345
ko:K03306	lmox:AX24_09350
ko:K02029	lmox:AX24_09355
ko:K02030	lmox:AX24_09355
ko:K02028	lmox:AX24_09360
ko:K06901	lmox:AX24_09375
ko:K05520	lmox:AX24_09385
ko:K02759	lmox:AX24_09400
ko:K06889	lmox:AX24_09415
ko:K16898	lmox:AX24_09440
ko:K16899	lmox:AX24_09445
ko:K02250	lmox:AX24_09455
ko:K02768	lmox:AX24_09465
ko:K02769	lmox:AX24_09465
ko:K02770	lmox:AX24_09465
ko:K01534	lmox:AX24_09135
ko:K01679	lmox:AX24_09225
ko:K01992	lmox:AX24_09230
ko:K01990	lmox:AX24_09235
ko:K12555	lmox:AX24_09245
ko:K01992	lmox:AX24_09120
ko:K03436	lmox:AX24_09475
ko:K01372	lmox:AX24_09480
ko:K16329	lmox:AX24_09490
ko:K06183	lmox:AX24_09500
ko:K16959	lmox:AX24_09525
ko:K16958	lmox:AX24_09530
ko:K16957	lmox:AX24_09535
ko:K00299	lmox:AX24_09545
ko:K02564	lmox:AX24_09585
ko:K01421	lmox:AX24_09595
ko:K01580	lmox:AX24_09615
ko:K01810	lmox:AX24_09730
ko:K03574	lmox:AX24_09735
ko:K07570	lmox:AX24_09740
ko:K14155	lmox:AX24_09745
ko:K02004	lmox:AX24_09750
ko:K02003	lmox:AX24_09755
ko:K02760	lmox:AX24_09760
ko:K00928	lmox:AX24_09765
ko:K00882	lmox:AX24_09470
ko:K03768	lmox:AX24_09785
ko:K05565	lmox:AX24_09795
ko:K05566	lmox:AX24_09800
ko:K05567	lmox:AX24_09805
ko:K05568	lmox:AX24_09810
ko:K05569	lmox:AX24_09815
ko:K05570	lmox:AX24_09820
ko:K05571	lmox:AX24_09825
ko:K09775	lmox:AX24_09835
ko:K03885	lmox:AX24_09855
ko:K00657	lmox:AX24_09910
ko:K07090	lmox:AX24_09930
ko:K09014	lmox:AX24_09955
ko:K04488	lmox:AX24_09960
ko:K11717	lmox:AX24_09965
ko:K09015	lmox:AX24_09970
ko:K09013	lmox:AX24_09975
ko:K02073	lmox:AX24_09985
ko:K02072	lmox:AX24_09990
ko:K02071	lmox:AX24_09995
ko:K02437	lmox:AX24_10030
ko:K00537	lmox:AX24_10035
ko:K05837	lmox:AX24_10040
ko:K05837	lmox:AX24_10045
ko:K02013	lmox:AX24_10050
ko:K02015	lmox:AX24_10055
ko:K01689	lmox:AX24_10195
ko:K15633	lmox:AX24_10200
ko:K01803	lmox:AX24_10205
ko:K00927	lmox:AX24_10210
ko:K00134	lmox:AX24_10215
ko:K05311	lmox:AX24_10220
ko:K03092	lmox:AX24_10225
ko:K01273	lmox:AX24_10230
ko:K06994	lmox:AX24_10235
ko:K01358	lmox:AX24_10265
ko:K09762	lmox:AX24_10285
ko:K06958	lmox:AX24_10295
ko:K01835	lmox:AX24_10300
ko:K01785	lmox:AX24_10305
ko:K01784	lmox:AX24_10310
ko:K00384	lmox:AX24_10315
ko:K02016	lmox:AX24_10060
ko:K01580	lmox:AX24_10075
ko:K03488	lmox:AX24_10085
ko:K07032	lmox:AX24_10095
ko:K03664	lmox:AX24_10160
ko:K12573	lmox:AX24_10165
ko:K03928	lmox:AX24_10170
ko:K03075	lmox:AX24_10175
ko:K06019	lmox:AX24_10330
ko:K13292	lmox:AX24_10335
ko:K06023	lmox:AX24_10340
ko:K08972	lmox:AX24_10345
ko:K03701	lmox:AX24_10365
ko:K03702	lmox:AX24_10370
ko:K07023	lmox:AX24_10385
ko:K02039	lmox:AX24_10400
ko:K02036	lmox:AX24_10405
ko:K02036	lmox:AX24_10410
ko:K02038	lmox:AX24_10415
ko:K02037	lmox:AX24_10420
ko:K02040	lmox:AX24_10425
ko:K07636	lmox:AX24_10430
ko:K07658	lmox:AX24_10435
ko:K06131	lmox:AX24_10445
ko:K09811	lmox:AX24_10460
ko:K09812	lmox:AX24_10465
ko:K02836	lmox:AX24_10475
ko:K03070	lmox:AX24_10485
ko:K02242	lmox:AX24_10495
ko:K02240	lmox:AX24_10500
ko:K07692	lmox:AX24_10515
ko:K02851	lmox:AX24_10535
ko:K02549	lmox:AX24_10540
ko:K05946	lmox:AX24_10545
ko:K02372	lmox:AX24_10565
ko:K03569	lmox:AX24_10570
ko:K00790	lmox:AX24_10575
ko:K02114	lmox:AX24_10585
ko:K02112	lmox:AX24_10590
ko:K02115	lmox:AX24_10595
ko:K02111	lmox:AX24_10600
ko:K02109	lmox:AX24_10610
ko:K02110	lmox:AX24_10615
ko:K02108	lmox:AX24_10620
ko:K02116	lmox:AX24_10625
ko:K01791	lmox:AX24_10640
ko:K00761	lmox:AX24_10645
ko:K00600	lmox:AX24_10650
ko:K07566	lmox:AX24_10660
ko:K02493	lmox:AX24_10665
ko:K02835	lmox:AX24_10670
ko:K00872	lmox:AX24_10680
ko:K01733	lmox:AX24_10685
ko:K00003	lmox:AX24_10690
ko:K02909	lmox:AX24_10695
ko:K03628	lmox:AX24_10705
ko:K00790	lmox:AX24_10710
ko:K07027	lmox:AX24_10715
ko:K13678	lmox:AX24_10720
ko:K01937	lmox:AX24_10745
ko:K03048	lmox:AX24_10755
ko:K01887	lmox:AX24_10765
ko:K01821	lmox:AX24_10780
ko:K06885	lmox:AX24_10785
ko:K02035	lmox:AX24_10810
ko:K08281	lmox:AX24_10825
ko:K16264	lmox:AX24_10845
ko:K02003	lmox:AX24_10875
ko:K02004	lmox:AX24_10880
ko:K02379	lmox:AX24_10895
ko:K00123	lmox:AX24_10905
ko:K02113	lmox:AX24_10605
ko:K03593	lmox:AX24_10960
ko:K00858	lmox:AX24_02220
ko:K06180	lmox:AX24_02225
ko:K00208	lmox:AX24_02230
ko:K03740	lmox:AX24_02235
ko:K14188	lmox:AX24_02240
ko:K03739	lmox:AX24_02245
ko:K03367	lmox:AX24_02250
ko:K01807	lmox:AX24_02260
ko:K00826	lmox:AX24_02275
ko:K01990	lmox:AX24_02280
ko:K01992	lmox:AX24_02285
ko:K00432	lmox:AX24_02300
ko:K11050	lmox:AX24_02315
ko:K11051	lmox:AX24_02320
ko:K02837	lmox:AX24_02325
ko:K00567	lmox:AX24_02365
ko:K03697	lmox:AX24_02370
ko:K07052	lmox:AX24_02375
ko:K10027	lmox:AX24_02385
ko:K11189	lmox:AX24_02400
ko:K08483	lmox:AX24_02405
ko:K00841	lmox:AX24_02420
ko:K05822	lmox:AX24_02445
ko:K05823	lmox:AX24_02450
ko:K02000	lmox:AX24_02465
ko:K02001	lmox:AX24_02470
ko:K02002	lmox:AX24_02475
ko:K06201	lmox:AX24_02485
ko:K00243	lmox:AX24_02490
ko:K11622	lmox:AX24_02495
ko:K11617	lmox:AX24_02500
ko:K11618	lmox:AX24_02505
ko:K03499	lmox:AX24_02510
ko:K04079	lmox:AX24_02085
ko:K04047	lmox:AX24_02090
ko:K03449	lmox:AX24_02115
ko:K01443	lmox:AX24_02160
ko:K02564	lmox:AX24_02165
ko:K03710	lmox:AX24_02170
ko:K02851	lmox:AX24_02175
ko:K08303	lmox:AX24_02185
ko:K03744	lmox:AX24_02190
ko:K03799	lmox:AX24_02195
ko:K07816	lmox:AX24_02215
ko:K01462	lmox:AX24_02650
ko:K00161	lmox:AX24_02660
ko:K00162	lmox:AX24_02665
ko:K00627	lmox:AX24_02670
ko:K00382	lmox:AX24_02675
ko:K03284	lmox:AX24_02710
ko:K01092	lmox:AX24_02720
ko:K06207	lmox:AX24_02725
ko:K03588	lmox:AX24_02750
ko:K01958	lmox:AX24_02755
ko:K02016	lmox:AX24_02765
ko:K09693	lmox:AX24_02775
ko:K00963	lmox:AX24_02815
ko:K00763	lmox:AX24_02850
ko:K01916	lmox:AX24_02855
ko:K02760	lmox:AX24_02865
ko:K01951	lmox:AX24_02870
ko:K01990	lmox:AX24_02885
ko:K01992	lmox:AX24_02890
ko:K07048	lmox:AX24_11255
ko:K00864	lmox:AX24_02565
ko:K00615	lmox:AX24_02560
ko:K12574	lmox:AX24_02530
ko:K02755	lmox:AX24_02570
ko:K02756	lmox:AX24_02570
ko:K02757	lmox:AX24_02570
ko:K02529	lmox:AX24_02545
ko:K00615	lmox:AX24_02555
ko:K03752	lmox:AX24_02585
ko:K02017	lmox:AX24_02590
ko:K02018	lmox:AX24_02595
ko:K02020	lmox:AX24_02600
ko:K03750	lmox:AX24_02605
ko:K03753	lmox:AX24_02610
ko:K03635	lmox:AX24_02615
ko:K03636	lmox:AX24_02620
ko:K03637	lmox:AX24_02625
ko:K02945	lmox:AX24_07470
ko:K14234	lmox:AX24_06080
ko:K14234	lmox:AX24_13795
ko:K14234	lmox:AX24_08535
ko:K14234	lmox:AX24_10925
ko:K14237	lmox:AX24_12410
ko:K01985	lmox:AX24_06090
ko:K01985	lmox:AX24_13845
ko:K01985	lmox:AX24_06615
ko:K01985	lmox:AX24_13785
ko:K01985	lmox:AX24_09695
ko:K01985	lmox:AX24_10935
ko:K01978	lmox:AX24_15655
ko:K14236	lmox:AX24_08540
ko:K14236	lmox:AX24_09655
ko:K14223	lmox:AX24_08545
ko:K14223	lmox:AX24_09640
ko:K14233	lmox:AX24_00475
ko:K14233	lmox:AX24_05990
ko:K14220	lmox:AX24_01845
ko:K14220	lmox:AX24_10930
ko:K14220	lmox:AX24_09690
ko:K14220	lmox:AX24_05995
ko:K14221	lmox:AX24_01885
ko:K14221	lmox:AX24_09665
ko:K14221	lmox:AX24_06020
ko:K14228	lmox:AX24_06060
ko:K14228	lmox:AX24_13815
ko:K14229	lmox:AX24_06075
ko:K14229	lmox:AX24_08550
ko:K14229	lmox:AX24_13800
ko:K14229	lmox:AX24_12995
ko:K14233	lmox:AX24_01850
ko:K14233	lmox:AX24_06030
ko:K14233	lmox:AX24_09685
ko:K14225	lmox:AX24_02045
ko:K14225	lmox:AX24_06005
ko:K14225	lmox:AX24_13810
ko:K14225	lmox:AX24_09635
ko:K14219	lmox:AX24_03595
ko:K14219	lmox:AX24_06055
ko:K14219	lmox:AX24_13820
ko:K14219	lmox:AX24_06285
ko:K14219	lmox:AX24_10255
ko:K14227	lmox:AX24_06000
ko:K14227	lmox:AX24_09710
ko:K14227	lmox:AX24_10950
ko:K14226	lmox:AX24_06010
ko:K14226	lmox:AX24_09645
ko:K14231	lmox:AX24_06015
ko:K14231	lmox:AX24_09660
ko:K14230	lmox:AX24_06035
ko:K14230	lmox:AX24_06040
ko:K14232	lmox:AX24_06050
ko:K14232	lmox:AX24_13825
ko:K03799	lmox:AX24_14340
ko:K14224	lmox:AX24_01880
ko:K14224	lmox:AX24_09680
ko:K14224	lmox:AX24_08530
ko:K14224	lmox:AX24_05985
ko:K14225	lmox:AX24_06065
ko:K14230	lmox:AX24_06025
ko:K14230	lmox:AX24_09670
ko:K14218	lmox:AX24_09705
ko:K14218	lmox:AX24_10945
ko:K14218	lmox:AX24_13830
ko:K14218	lmox:AX24_06045
ko:K04749	lmox:AX24_01810
ko:K01977	lmox:AX24_06625
ko:K01977	lmox:AX24_09715
ko:K01977	lmox:AX24_06100
ko:K01977	lmox:AX24_13835
ko:K01977	lmox:AX24_13775
ko:K01977	lmox:AX24_10955
ko:K14228	lmox:AX24_06070
ko:K14228	lmox:AX24_13805
