ko:K19302	hpye:HPOKI154_04350
ko:K03075	hpye:HPOKI154_06345
ko:K02838	hpye:HPOKI154_06350
ko:K00762	hpye:HPOKI154_06355
ko:K12410	hpye:HPOKI154_06365
ko:K00330	hpye:HPOKI154_06370
ko:K00331	hpye:HPOKI154_06375
ko:K00332	hpye:HPOKI154_06380
ko:K00333	hpye:HPOKI154_06385
ko:K00334	hpye:HPOKI154_06390
ko:K00335	hpye:HPOKI154_06395
ko:K00336	hpye:HPOKI154_06400
ko:K02836	hpye:HPOKI154_00930
ko:K03750	hpye:HPOKI154_00935
ko:K02421	hpye:HPOKI154_00940
ko:K01624	hpye:HPOKI154_00960
ko:K02356	hpye:HPOKI154_00965
ko:K15898	hpye:HPOKI154_00970
ko:K02003	hpye:HPOKI154_00975
ko:K03820	hpye:HPOKI154_00980
ko:K03558	hpye:HPOKI154_00985
ko:K04567	hpye:HPOKI154_00990
ko:K00600	hpye:HPOKI154_00995
ko:K00245	hpye:HPOKI154_01030
ko:K00244	hpye:HPOKI154_01035
ko:K00246	hpye:HPOKI154_01040
ko:K01803	hpye:HPOKI154_01045
ko:K00208	hpye:HPOKI154_01050
ko:K02536	hpye:HPOKI154_01055
ko:K00789	hpye:HPOKI154_01060
ko:K00940	hpye:HPOKI154_01065
ko:K02911	hpye:HPOKI154_01075
ko:K03621	hpye:HPOKI154_01080
ko:K00648	hpye:HPOKI154_01085
ko:K19157	hpye:HPOKI154_01100
ko:K03593	hpye:HPOKI154_01115
ko:K04079	hpye:HPOKI154_01140
ko:K01439	hpye:HPOKI154_01160
ko:K03495	hpye:HPOKI154_01165
ko:K14445	hpye:HPOKI154_01170
ko:K00981	hpye:HPOKI154_01175
ko:K00099	hpye:HPOKI154_01180
ko:K06910	hpye:HPOKI154_01190
ko:K04487	hpye:HPOKI154_01200
ko:K01772	hpye:HPOKI154_05360
ko:K09761	hpye:HPOKI154_05370
ko:K01494	hpye:HPOKI154_05380
ko:K02160	hpye:HPOKI154_05385
ko:K01961	hpye:HPOKI154_05390
ko:K15895	hpye:HPOKI154_05410
ko:K00573	hpye:HPOKI154_05425
ko:K07091	hpye:HPOKI154_05430
ko:K06173	hpye:HPOKI154_05435
ko:K01784	hpye:HPOKI154_05440
ko:K07126	hpye:HPOKI154_05465
ko:K01625	hpye:HPOKI154_05470
ko:K01690	hpye:HPOKI154_05475
ko:K00036	hpye:HPOKI154_05480
ko:K01057	hpye:HPOKI154_05485
ko:K00845	hpye:HPOKI154_05490
ko:K13979	hpye:HPOKI154_05495
ko:K00172	hpye:HPOKI154_05520
ko:K00171	hpye:HPOKI154_05525
ko:K00169	hpye:HPOKI154_05530
ko:K00170	hpye:HPOKI154_05535
ko:K01756	hpye:HPOKI154_05540
ko:K03702	hpye:HPOKI154_05550
ko:K07126	hpye:HPOKI154_05565
ko:K00681	hpye:HPOKI154_05570
ko:K02396	hpye:HPOKI154_05575
ko:K03775	hpye:HPOKI154_05600
ko:K01682	hpye:HPOKI154_03965
ko:K03634	hpye:HPOKI154_03990
ko:K03070	hpye:HPOKI154_03995
ko:K02004	hpye:HPOKI154_04000
ko:K01534	hpye:HPOKI154_04020
ko:K07391	hpye:HPOKI154_04025
ko:K01462	hpye:HPOKI154_04030
ko:K01358	hpye:HPOKI154_04035
ko:K03545	hpye:HPOKI154_04040
ko:K15846	hpye:HPOKI154_04050
ko:K03637	hpye:HPOKI154_04060
ko:K03831	hpye:HPOKI154_04065
ko:K03635	hpye:HPOKI154_04070
ko:K03636	hpye:HPOKI154_04075
ko:K01497	hpye:HPOKI154_04080
ko:K14652	hpye:HPOKI154_04090
ko:K07270	hpye:HPOKI154_04100
ko:K07043	hpye:HPOKI154_04105
ko:K00997	hpye:HPOKI154_04110
ko:K02415	hpye:HPOKI154_04115
ko:K02556	hpye:HPOKI154_04145
ko:K02557	hpye:HPOKI154_04150
ko:K05845	hpye:HPOKI154_04170
ko:K05846	hpye:HPOKI154_04170
ko:K05847	hpye:HPOKI154_04175
ko:K03703	hpye:HPOKI154_04190
ko:K00003	hpye:HPOKI154_04195
ko:K07460	hpye:HPOKI154_04200
ko:K03671	hpye:HPOKI154_04205
ko:K00384	hpye:HPOKI154_04210
ko:K07270	hpye:HPOKI154_04220
ko:K01154	hpye:HPOKI154_02305
ko:K03427	hpye:HPOKI154_02310
ko:K08602	hpye:HPOKI154_02345
ko:K03455	hpye:HPOKI154_02350
ko:K02020	hpye:HPOKI154_02365
ko:K02018	hpye:HPOKI154_02370
ko:K02017	hpye:HPOKI154_02375
ko:K01885	hpye:HPOKI154_02380
ko:K06207	hpye:HPOKI154_02400
ko:K03496	hpye:HPOKI154_02485
ko:K03205	hpye:HPOKI154_02530
ko:K03196	hpye:HPOKI154_02545
ko:K12048	hpye:HPOKI154_02565
ko:K12049	hpye:HPOKI154_02570
ko:K02886	hpye:HPOKI154_06660
ko:K02892	hpye:HPOKI154_06665
ko:K02926	hpye:HPOKI154_06670
ko:K02906	hpye:HPOKI154_06675
ko:K02946	hpye:HPOKI154_06680
ko:K07133	hpye:HPOKI154_06685
ko:K03470	hpye:HPOKI154_06695
ko:K01679	hpye:HPOKI154_06710
ko:K07787	hpye:HPOKI154_06730
ko:K03686	hpye:HPOKI154_06745
ko:K00566	hpye:HPOKI154_06755
ko:K00969	hpye:HPOKI154_06765
ko:K07722	hpye:HPOKI154_06770
ko:K03561	hpye:HPOKI154_06775
ko:K03559	hpye:HPOKI154_06780
ko:K03832	hpye:HPOKI154_06785
ko:K03284	hpye:HPOKI154_06805
ko:K00927	hpye:HPOKI154_06810
ko:K00134	hpye:HPOKI154_06815
ko:K03648	hpye:HPOKI154_06820
ko:K00655	hpye:HPOKI154_06825
ko:K03797	hpye:HPOKI154_06835
ko:K00767	hpye:HPOKI154_06855
ko:K03517	hpye:HPOKI154_06860
ko:K01613	hpye:HPOKI154_06865
ko:K03179	hpye:HPOKI154_06880
ko:K02238	hpye:HPOKI154_06885
ko:K02484	hpye:HPOKI154_06900
ko:K03570	hpye:HPOKI154_06915
ko:K03569	hpye:HPOKI154_06920
ko:K02078	hpye:HPOKI154_02875
ko:K00059	hpye:HPOKI154_02880
ko:K02970	hpye:HPOKI154_02885
ko:K01778	hpye:HPOKI154_02905
ko:K06942	hpye:HPOKI154_02920
ko:K01255	hpye:HPOKI154_02925
ko:K00759	hpye:HPOKI154_02935
ko:K01808	hpye:HPOKI154_02945
ko:K03100	hpye:HPOKI154_02955
ko:K01491	hpye:HPOKI154_02960
ko:K01465	hpye:HPOKI154_02980
ko:K02417	hpye:HPOKI154_02995
ko:K10773	hpye:HPOKI154_03000
ko:K07082	hpye:HPOKI154_03015
ko:K00176	hpye:HPOKI154_03020
ko:K00174	hpye:HPOKI154_03025
ko:K00175	hpye:HPOKI154_03030
ko:K00177	hpye:HPOKI154_03035
ko:K03611	hpye:HPOKI154_03050
ko:K05366	hpye:HPOKI154_03065
ko:K00652	hpye:HPOKI154_03070
ko:K02406	hpye:HPOKI154_03085
ko:K07457	hpye:HPOKI154_03090
ko:K01599	hpye:HPOKI154_03100
ko:K01992	hpye:HPOKI154_03130
ko:K03768	hpye:HPOKI154_07205
ko:K03563	hpye:HPOKI154_07210
ko:K00919	hpye:HPOKI154_07215
ko:K03664	hpye:HPOKI154_07220
ko:K03561	hpye:HPOKI154_07225
ko:K03559	hpye:HPOKI154_07230
ko:K03536	hpye:HPOKI154_07235
ko:K03217	hpye:HPOKI154_07245
ko:K06346	hpye:HPOKI154_07250
ko:K03650	hpye:HPOKI154_07255
ko:K07337	hpye:HPOKI154_07285
ko:K06178	hpye:HPOKI154_07295
ko:K02337	hpye:HPOKI154_07300
ko:K00428	hpye:HPOKI154_07305
ko:K18480	hpye:HPOKI154_07320
ko:K02067	hpye:HPOKI154_07325
ko:K02065	hpye:HPOKI154_07330
ko:K02066	hpye:HPOKI154_07335
ko:K00826	hpye:HPOKI154_07345
ko:K02242	hpye:HPOKI154_07370
ko:K00943	hpye:HPOKI154_07375
ko:K00954	hpye:HPOKI154_07380
ko:K03186	hpye:HPOKI154_07385
ko:K02386	hpye:HPOKI154_07390
ko:K03657	hpye:HPOKI154_07395
ko:K01875	hpye:HPOKI154_07405
ko:K03602	hpye:HPOKI154_07415
ko:K03183	hpye:HPOKI154_07420
ko:K08973	hpye:HPOKI154_07425
ko:K01992	hpye:HPOKI154_07440
ko:K01993	hpye:HPOKI154_07445
ko:K00812	hpye:HPOKI154_03425
ko:K04763	hpye:HPOKI154_03435
ko:K00567	hpye:HPOKI154_03440
ko:K07090	hpye:HPOKI154_03445
ko:K13016	hpye:HPOKI154_03450
ko:K04042	hpye:HPOKI154_03470
ko:K02419	hpye:HPOKI154_03480
ko:K16091	hpye:HPOKI154_03485
ko:K04759	hpye:HPOKI154_03490
ko:K07501	hpye:HPOKI154_03495
ko:K07501	hpye:HPOKI154_03510
ko:K00626	hpye:HPOKI154_03515
ko:K01028	hpye:HPOKI154_03520
ko:K01029	hpye:HPOKI154_03525
ko:K02106	hpye:HPOKI154_03530
ko:K10856	hpye:HPOKI154_03550
ko:K00901	hpye:HPOKI154_03560
ko:K02469	hpye:HPOKI154_03565
ko:K03701	hpye:HPOKI154_03580
ko:K03438	hpye:HPOKI154_03590
ko:K07448	hpye:HPOKI154_01945
ko:K00525	hpye:HPOKI154_03455
ko:K04771	hpye:HPOKI154_02255
ko:K07317	hpye:HPOKI154_04630
ko:K01992	hpye:HPOKI154_07435
ko:K07496	hpye:HPOKI154_06500
ko:K07496	hpye:HPOKI154_00295
ko:K07496	hpye:HPOKI154_00465
ko:K19416	hpye:HPOKI154_04675
ko:K12053	hpye:HPOKI154_02585
ko:K12053	hpye:HPOKI154_07950
ko:K12052	hpye:HPOKI154_07850
ko:K14229	hpye:HPOKI154_08005
ko:K14224	hpye:HPOKI154_08010
ko:K14221	hpye:HPOKI154_08020
ko:K14237	hpye:HPOKI154_08015
ko:K14237	hpye:HPOKI154_00430
ko:K20151	hpye:HPOKI154_05345
ko:K20810	hpye:HPOKI154_01460
ko:K20151	hpye:HPOKI154_03330
ko:K14218	hpye:HPOKI154_05450
ko:K14235	hpye:HPOKI154_06040
ko:K14233	hpye:HPOKI154_02020
ko:K01980	hpye:HPOKI154_05075
ko:K01985	hpye:HPOKI154_05070
ko:K01985	hpye:HPOKI154_07000
ko:K01978	hpye:HPOKI154_03055
ko:K14218	hpye:HPOKI154_01380
ko:K14219	hpye:HPOKI154_01780
ko:K14223	hpye:HPOKI154_04565
ko:K14222	hpye:HPOKI154_04810
ko:K14226	hpye:HPOKI154_05165
ko:K14227	hpye:HPOKI154_05445
ko:K14234	hpye:HPOKI154_06070
ko:K14224	hpye:HPOKI154_08025
ko:K01980	hpye:HPOKI154_07005
ko:K12052	hpye:HPOKI154_02460
ko:K01977	hpye:HPOKI154_05705
ko:K01977	hpye:HPOKI154_07195
ko:K14219	hpye:HPOKI154_05160
ko:K11028	hpye:HPOKI154_04515
ko:K07100	hpye:HPOKI154_06120
ko:K02335	hpye:HPOKI154_07355
ko:K02335	hpye:HPOKI154_02235
ko:K06223	hpye:HPOKI154_02405
ko:K00558	hpye:HPOKI154_02415
ko:K02314	hpye:HPOKI154_06890
ko:K06223	hpye:HPOKI154_07505
ko:K03465	hpye:HPOKI154_07675
ko:K00558	hpye:HPOKI154_07785
ko:K02316	hpye:HPOKI154_07975
ko:K01520	hpye:HPOKI154_04410
ko:K00558	hpye:HPOKI154_00305
ko:K03553	hpye:HPOKI154_00845
ko:K00558	hpye:HPOKI154_05585
ko:K07097	hpye:HPOKI154_02135
ko:K02483	hpye:HPOKI154_06905
ko:K00526	hpye:HPOKI154_05420
ko:K02481	hpye:HPOKI154_03575
ko:K01139	hpye:HPOKI154_03945
ko:K02483	hpye:HPOKI154_02130
ko:K10026	hpye:HPOKI154_04740
ko:K21929	hpye:HPOKI154_03325
ko:K03595	hpye:HPOKI154_02805
ko:K22278	hpye:HPOKI154_01675
ko:K14441	hpye:HPOKI154_03725
ko:K22391	hpye:HPOKI154_04890
ko:K17758	hpye:HPOKI154_06895
ko:K17759	hpye:HPOKI154_06895
ko:K00590	hpye:HPOKI154_03500
ko:K00571	hpye:HPOKI154_06845
ko:K01007	hpye:HPOKI154_00680
