ko:K11720	sys:SYNPCCN_2878
ko:K01491	sys:SYNPCCN_2173
ko:K02067	sys:SYNPCCN_2174
ko:K09919	sys:SYNPCCN_2969
ko:K00928	sys:SYNPCCN_2970
ko:K00817	sys:SYNPCCN_1284
ko:K06188	sys:SYNPCCN_1286
ko:K03168	sys:SYNPCCN_1287
ko:K02687	sys:SYNPCCN_1300
ko:K01414	sys:SYNPCCN_2972
ko:K00286	sys:SYNPCCN_2973
ko:K01585	sys:SYNPCCN_2977
ko:K00058	sys:SYNPCCN_1301
ko:K03517	sys:SYNPCCN_2979
ko:K06196	sys:SYNPCCN_2980
ko:K01682	sys:SYNPCCN_2983
ko:K03778	sys:SYNPCCN_2988
ko:K03307	sys:SYNPCCN_1770
ko:K00111	sys:SYNPCCN_1775
ko:K00864	sys:SYNPCCN_1778
ko:K03437	sys:SYNPCCN_1779
ko:K00005	sys:SYNPCCN_1764
ko:K04651	sys:SYNPCCN_1781
ko:K00748	sys:SYNPCCN_1783
ko:K02888	sys:SYNPCCN_1784
ko:K02899	sys:SYNPCCN_1785
ko:K08641	sys:SYNPCCN_1786
ko:K01649	sys:SYNPCCN_1787
ko:K13821	sys:SYNPCCN_1793
ko:K05928	sys:SYNPCCN_2598
ko:K00457	sys:SYNPCCN_2599
ko:K05516	sys:SYNPCCN_2602
ko:K03321	sys:SYNPCCN_2604
ko:K01693	sys:SYNPCCN_2607
ko:K08481	sys:SYNPCCN_2610
ko:K02003	sys:SYNPCCN_2612
ko:K02234	sys:SYNPCCN_2613
ko:K10206	sys:SYNPCCN_2619
ko:K03561	sys:SYNPCCN_2626
ko:K02012	sys:SYNPCCN_2627
ko:K02051	sys:SYNPCCN_2631
ko:K01952	sys:SYNPCCN_2634
ko:K01952	sys:SYNPCCN_2635
ko:K00948	sys:SYNPCCN_2640
ko:K01935	sys:SYNPCCN_2641
ko:K07568	sys:SYNPCCN_2642
ko:K01470	sys:SYNPCCN_2644
ko:K00845	sys:SYNPCCN_2647
ko:K09774	sys:SYNPCCN_0140
ko:K06861	sys:SYNPCCN_0141
ko:K05895	sys:SYNPCCN_0142
ko:K02698	sys:SYNPCCN_0143
ko:K05573	sys:SYNPCCN_0145
ko:K03689	sys:SYNPCCN_0148
ko:K03564	sys:SYNPCCN_0150
ko:K00820	sys:SYNPCCN_0151
ko:K03797	sys:SYNPCCN_0155
ko:K15736	sys:SYNPCCN_2992
ko:K01956	sys:SYNPCCN_2989
ko:K00014	sys:SYNPCCN_2993
ko:K02502	sys:SYNPCCN_2994
ko:K03090	sys:SYNPCCN_2997
ko:K06898	sys:SYNPCCN_3003
ko:K05810	sys:SYNPCCN_3008
ko:K09777	sys:SYNPCCN_3009
ko:K06024	sys:SYNPCCN_3012
ko:K03885	sys:SYNPCCN_3016
ko:K02004	sys:SYNPCCN_3018
ko:K02005	sys:SYNPCCN_3019
ko:K09121	sys:SYNPCCN_0157
ko:K02115	sys:SYNPCCN_0158
ko:K02111	sys:SYNPCCN_0159
ko:K02113	sys:SYNPCCN_0160
ko:K02109	sys:SYNPCCN_0161
ko:K02109	sys:SYNPCCN_0162
ko:K02110	sys:SYNPCCN_0163
ko:K02108	sys:SYNPCCN_0164
ko:K02116	sys:SYNPCCN_0165
ko:K03924	sys:SYNPCCN_0169
ko:K13628	sys:SYNPCCN_0170
ko:K02065	sys:SYNPCCN_0173
ko:K00950	sys:SYNPCCN_0175
ko:K00382	sys:SYNPCCN_0179
ko:K03186	sys:SYNPCCN_0182
ko:K06207	sys:SYNPCCN_0188
ko:K07080	sys:SYNPCCN_0189
ko:K00761	sys:SYNPCCN_0192
ko:K01012	sys:SYNPCCN_1003
ko:K00684	sys:SYNPCCN_1036
ko:K03644	sys:SYNPCCN_1037
ko:K07079	sys:SYNPCCN_1038
ko:K00059	sys:SYNPCCN_1039
ko:K02619	sys:SYNPCCN_1040
ko:K03703	sys:SYNPCCN_1045
ko:K01448	sys:SYNPCCN_1046
ko:K03523	sys:SYNPCCN_1004
ko:K03101	sys:SYNPCCN_1005
ko:K00688	sys:SYNPCCN_1011
ko:K02191	sys:SYNPCCN_1012
ko:K00981	sys:SYNPCCN_1013
ko:K03282	sys:SYNPCCN_1018
ko:K07106	sys:SYNPCCN_1050
ko:K02634	sys:SYNPCCN_1052
ko:K02709	sys:SYNPCCN_1054
ko:K09780	sys:SYNPCCN_1056
ko:K05584	sys:SYNPCCN_1857
ko:K05349	sys:SYNPCCN_1859
ko:K01633	sys:SYNPCCN_1861
ko:K03550	sys:SYNPCCN_1019
ko:K02433	sys:SYNPCCN_1023
ko:K02437	sys:SYNPCCN_1025
ko:K13747	sys:SYNPCCN_1027
ko:K00134	sys:SYNPCCN_1034
ko:K03182	sys:SYNPCCN_0301
ko:K13541	sys:SYNPCCN_0302
ko:K03856	sys:SYNPCCN_0304
ko:K02956	sys:SYNPCCN_0306
ko:K07089	sys:SYNPCCN_0307
ko:K00789	sys:SYNPCCN_0311
ko:K05539	sys:SYNPCCN_0312
ko:K02520	sys:SYNPCCN_0314
ko:K00978	sys:SYNPCCN_0325
ko:K01709	sys:SYNPCCN_0326
ko:K01790	sys:SYNPCCN_0327
ko:K01955	sys:SYNPCCN_0334
ko:K01784	sys:SYNPCCN_0343
ko:K01711	sys:SYNPCCN_0348
ko:K02035	sys:SYNPCCN_1163
ko:K01733	sys:SYNPCCN_1181
ko:K10773	sys:SYNPCCN_1185
ko:K01669	sys:SYNPCCN_1189
ko:K01356	sys:SYNPCCN_1193
ko:K00240	sys:SYNPCCN_1194
ko:K09833	sys:SYNPCCN_1197
ko:K09834	sys:SYNPCCN_1198
ko:K09825	sys:SYNPCCN_1200
ko:K02035	sys:SYNPCCN_1203
ko:K07009	sys:SYNPCCN_1205
ko:K03885	sys:SYNPCCN_1206
ko:K01448	sys:SYNPCCN_1207
ko:K01776	sys:SYNPCCN_1208
ko:K03885	sys:SYNPCCN_1210
ko:K03789	sys:SYNPCCN_1212
ko:K01669	sys:SYNPCCN_1213
ko:K01790	sys:SYNPCCN_2017
ko:K00161	sys:SYNPCCN_2019
ko:K01142	sys:SYNPCCN_2021
ko:K00940	sys:SYNPCCN_2023
ko:K08963	sys:SYNPCCN_2028
ko:K00655	sys:SYNPCCN_2029
ko:K09966	sys:SYNPCCN_1864
ko:K06180	sys:SYNPCCN_1865
ko:K02669	sys:SYNPCCN_1868
ko:K03060	sys:SYNPCCN_1871
ko:K09763	sys:SYNPCCN_1872
ko:K03664	sys:SYNPCCN_1874
ko:K03695	sys:SYNPCCN_1880
ko:K00855	sys:SYNPCCN_1882
ko:K02641	sys:SYNPCCN_1883
ko:K08902	sys:SYNPCCN_1886
ko:K03685	sys:SYNPCCN_1887
ko:K02069	sys:SYNPCCN_1888
ko:K00995	sys:SYNPCCN_1892
ko:K03631	sys:SYNPCCN_1894
ko:K09803	sys:SYNPCCN_1898
ko:K02716	sys:SYNPCCN_1901
ko:K00800	sys:SYNPCCN_1904
ko:K01424	sys:SYNPCCN_1907
ko:K01756	sys:SYNPCCN_1908
ko:K06915	sys:SYNPCCN_2710
ko:K02480	sys:SYNPCCN_2716
ko:K01265	sys:SYNPCCN_2726
ko:K06042	sys:SYNPCCN_2738
ko:K01534	sys:SYNPCCN_2739
ko:K09771	sys:SYNPCCN_2740
ko:K01534	sys:SYNPCCN_2742
ko:K07123	sys:SYNPCCN_2749
ko:K01502	sys:SYNPCCN_2752
ko:K09958	sys:SYNPCCN_2756
ko:K03801	sys:SYNPCCN_2050
ko:K00703	sys:SYNPCCN_2052
ko:K03087	sys:SYNPCCN_2055
ko:K01191	sys:SYNPCCN_2058
ko:K08482	sys:SYNPCCN_2034
ko:K02034	sys:SYNPCCN_2059
ko:K00793	sys:SYNPCCN_2062
ko:K02011	sys:SYNPCCN_2064
ko:K01104	sys:SYNPCCN_2065
ko:K00845	sys:SYNPCCN_2066
ko:K09928	sys:SYNPCCN_2067
ko:K06962	sys:SYNPCCN_2068
ko:K01586	sys:SYNPCCN_2866
ko:K06883	sys:SYNPCCN_2867
ko:K01887	sys:SYNPCCN_2868
ko:K01358	sys:SYNPCCN_2871
ko:K01696	sys:SYNPCCN_2872
ko:K02003	sys:SYNPCCN_2874
ko:K01893	sys:SYNPCCN_2879
ko:K03499	sys:SYNPCCN_2881
ko:K00611	sys:SYNPCCN_2882
ko:K01588	sys:SYNPCCN_2883
ko:K03179	sys:SYNPCCN_2885
ko:K15633	sys:SYNPCCN_2038
ko:K03075	sys:SYNPCCN_2039
ko:K00627	sys:SYNPCCN_2041
ko:K06923	sys:SYNPCCN_2888
ko:K00765	sys:SYNPCCN_2890
ko:K04042	sys:SYNPCCN_2891
ko:K06949	sys:SYNPCCN_2893
ko:K03216	sys:SYNPCCN_2047
ko:K03686	sys:SYNPCCN_2895
ko:K01159	sys:SYNPCCN_2896
ko:K01082	sys:SYNPCCN_2897
ko:K01609	sys:SYNPCCN_2898
ko:K03320	sys:SYNPCCN_2899
ko:K10716	sys:SYNPCCN_2900
ko:K03544	sys:SYNPCCN_2901
ko:K01358	sys:SYNPCCN_2902
ko:K05808	sys:SYNPCCN_2049
ko:K03545	sys:SYNPCCN_2903
ko:K00133	sys:SYNPCCN_2904
ko:K03100	sys:SYNPCCN_0084
ko:K00027	sys:SYNPCCN_0085
ko:K01738	sys:SYNPCCN_0086
ko:K00919	sys:SYNPCCN_0087
ko:K02528	sys:SYNPCCN_0090
ko:K09761	sys:SYNPCCN_0091
ko:K04487	sys:SYNPCCN_0100
ko:K03733	sys:SYNPCCN_0105
ko:K07769	sys:SYNPCCN_0110
ko:K02692	sys:SYNPCCN_0111
ko:K01657	sys:SYNPCCN_0112
ko:K13789	sys:SYNPCCN_0113
ko:K07052	sys:SYNPCCN_0115
ko:K00859	sys:SYNPCCN_2908
ko:K06997	sys:SYNPCCN_2912
ko:K01873	sys:SYNPCCN_2916
ko:K01714	sys:SYNPCCN_2905
ko:K02039	sys:SYNPCCN_0116
ko:K09748	sys:SYNPCCN_0117
ko:K02600	sys:SYNPCCN_0118
ko:K07742	sys:SYNPCCN_0119
ko:K02519	sys:SYNPCCN_0120
ko:K05936	sys:SYNPCCN_0125
ko:K03564	sys:SYNPCCN_0128
ko:K01480	sys:SYNPCCN_0134
ko:K03768	sys:SYNPCCN_0135
ko:K01920	sys:SYNPCCN_0958
ko:K01661	sys:SYNPCCN_0960
ko:K02724	sys:SYNPCCN_0993
ko:K02945	sys:SYNPCCN_0995
ko:K03629	sys:SYNPCCN_0997
ko:K06147	sys:SYNPCCN_0998
ko:K00873	sys:SYNPCCN_0999
ko:K00324	sys:SYNPCCN_0961
ko:K07075	sys:SYNPCCN_0963
ko:K00325	sys:SYNPCCN_0965
ko:K00966	sys:SYNPCCN_1803
ko:K01902	sys:SYNPCCN_1804
ko:K01823	sys:SYNPCCN_1805
ko:K03592	sys:SYNPCCN_0966
ko:K02693	sys:SYNPCCN_1807
ko:K10563	sys:SYNPCCN_1808
ko:K01950	sys:SYNPCCN_1810
ko:K01890	sys:SYNPCCN_1814
ko:K01595	sys:SYNPCCN_1817
ko:K00767	sys:SYNPCCN_1820
ko:K01870	sys:SYNPCCN_0970
ko:K02343	sys:SYNPCCN_0972
ko:K06042	sys:SYNPCCN_1823
ko:K00514	sys:SYNPCCN_1825
ko:K06991	sys:SYNPCCN_0973
ko:K01569	sys:SYNPCCN_0975
ko:K00688	sys:SYNPCCN_0976
ko:K07462	sys:SYNPCCN_0983
ko:K00847	sys:SYNPCCN_0986
ko:K01091	sys:SYNPCCN_0990
ko:K00794	sys:SYNPCCN_0992
ko:K08696	sys:SYNPCCN_0199
ko:K08696	sys:SYNPCCN_0200
ko:K00266	sys:SYNPCCN_0201
ko:K01442	sys:SYNPCCN_0204
ko:K03404	sys:SYNPCCN_0211
ko:K00259	sys:SYNPCCN_0214
ko:K03474	sys:SYNPCCN_0215
ko:K07305	sys:SYNPCCN_0218
ko:K00214	sys:SYNPCCN_0221
ko:K06374	sys:SYNPCCN_0222
ko:K06373	sys:SYNPCCN_0223
ko:K00705	sys:SYNPCCN_0224
ko:K08234	sys:SYNPCCN_0225
ko:K00946	sys:SYNPCCN_0226
ko:K03830	sys:SYNPCCN_0231
ko:K08973	sys:SYNPCCN_0232
ko:K00390	sys:SYNPCCN_0233
ko:K03705	sys:SYNPCCN_0234
ko:K00891	sys:SYNPCCN_0235
ko:K00616	sys:SYNPCCN_0236
ko:K07304	sys:SYNPCCN_0239
ko:K01607	sys:SYNPCCN_1073
ko:K04518	sys:SYNPCCN_0247
ko:K11781	sys:SYNPCCN_0250
ko:K03524	sys:SYNPCCN_0255
ko:K03183	sys:SYNPCCN_0257
ko:K00031	sys:SYNPCCN_0259
ko:K05575	sys:SYNPCCN_0262
ko:K02221	sys:SYNPCCN_0265
ko:K02012	sys:SYNPCCN_0266
ko:K00554	sys:SYNPCCN_0267
ko:K02719	sys:SYNPCCN_0271
ko:K00012	sys:SYNPCCN_0273
ko:K03185	sys:SYNPCCN_0274
ko:K01623	sys:SYNPCCN_1828
ko:K15738	sys:SYNPCCN_1836
ko:K06442	sys:SYNPCCN_1838
ko:K00991	sys:SYNPCCN_1842
ko:K03841	sys:SYNPCCN_1843
ko:K11145	sys:SYNPCCN_1846
ko:K03218	sys:SYNPCCN_1847
ko:K01883	sys:SYNPCCN_1849
ko:K06287	sys:SYNPCCN_1850
ko:K07052	sys:SYNPCCN_1851
ko:K00464	sys:SYNPCCN_1853
ko:K06891	sys:SYNPCCN_1854
ko:K00721	sys:SYNPCCN_1855
ko:K01507	sys:SYNPCCN_1856
ko:K02232	sys:SYNPCCN_2653
ko:K00873	sys:SYNPCCN_2657
ko:K07007	sys:SYNPCCN_2658
ko:K03671	sys:SYNPCCN_2659
ko:K01424	sys:SYNPCCN_2660
ko:K03325	sys:SYNPCCN_1830
ko:K03312	sys:SYNPCCN_2663
ko:K06208	sys:SYNPCCN_2664
ko:K01625	sys:SYNPCCN_2668
ko:K07037	sys:SYNPCCN_2670
ko:K07114	sys:SYNPCCN_2671
ko:K00595	sys:SYNPCCN_2677
ko:K06941	sys:SYNPCCN_2678
ko:K10697	sys:SYNPCCN_2688
ko:K03147	sys:SYNPCCN_2692
ko:K07058	sys:SYNPCCN_2693
ko:K02533	sys:SYNPCCN_2694
ko:K00937	sys:SYNPCCN_2696
ko:K03608	sys:SYNPCCN_2697
ko:K03609	sys:SYNPCCN_2698
ko:K03610	sys:SYNPCCN_2699
ko:K11329	sys:SYNPCCN_1833
ko:K01784	sys:SYNPCCN_0356
ko:K03818	sys:SYNPCCN_0362
ko:K01903	sys:SYNPCCN_0368
ko:K03979	sys:SYNPCCN_0372
ko:K01465	sys:SYNPCCN_0375
ko:K02990	sys:SYNPCCN_1104
ko:K02288	sys:SYNPCCN_1106
ko:K06871	sys:SYNPCCN_1107
ko:K01429	sys:SYNPCCN_1910
ko:K02341	sys:SYNPCCN_1913
ko:K04485	sys:SYNPCCN_1915
ko:K03316	sys:SYNPCCN_1917
ko:K03625	sys:SYNPCCN_1919
ko:K07315	sys:SYNPCCN_1079
ko:K07088	sys:SYNPCCN_1082
ko:K00766	sys:SYNPCCN_1085
ko:K04066	sys:SYNPCCN_1921
ko:K00508	sys:SYNPCCN_1929
ko:K08972	sys:SYNPCCN_1931
ko:K02959	sys:SYNPCCN_1935
ko:K06960	sys:SYNPCCN_1936
ko:K01915	sys:SYNPCCN_1937
ko:K02720	sys:SYNPCCN_1939
ko:K06925	sys:SYNPCCN_1942
ko:K00281	sys:SYNPCCN_1943
ko:K00927	sys:SYNPCCN_1948
ko:K01872	sys:SYNPCCN_1950
ko:K01619	sys:SYNPCCN_1086
ko:K07052	sys:SYNPCCN_1952
ko:K06911	sys:SYNPCCN_1091
ko:K00858	sys:SYNPCCN_1957
ko:K07456	sys:SYNPCCN_1093
ko:K02428	sys:SYNPCCN_1959
ko:K04751	sys:SYNPCCN_1960
ko:K02033	sys:SYNPCCN_1099
ko:K01469	sys:SYNPCCN_2764
ko:K03284	sys:SYNPCCN_2780
ko:K00262	sys:SYNPCCN_2791
ko:K09457	sys:SYNPCCN_2792
ko:K07027	sys:SYNPCCN_2793
ko:K01921	sys:SYNPCCN_1100
ko:K06891	sys:SYNPCCN_1102
ko:K05337	sys:SYNPCCN_2794
ko:K00097	sys:SYNPCCN_2797
ko:K00773	sys:SYNPCCN_2799
ko:K01000	sys:SYNPCCN_2803
ko:K03737	sys:SYNPCCN_2809
ko:K02020	sys:SYNPCCN_2812
ko:K02902	sys:SYNPCCN_0290
ko:K07243	sys:SYNPCCN_0294
ko:K02338	sys:SYNPCCN_0295
ko:K01695	sys:SYNPCCN_0296
ko:K06199	sys:SYNPCCN_0275
ko:K03394	sys:SYNPCCN_1112
ko:K00872	sys:SYNPCCN_1114
ko:K03431	sys:SYNPCCN_1116
ko:K11753	sys:SYNPCCN_1119
ko:K01867	sys:SYNPCCN_1123
ko:K09710	sys:SYNPCCN_1126
ko:K01749	sys:SYNPCCN_1128
ko:K13788	sys:SYNPCCN_1130
ko:K06206	sys:SYNPCCN_1132
ko:K03087	sys:SYNPCCN_1134
ko:K01925	sys:SYNPCCN_1136
ko:K11472	sys:SYNPCCN_0281
ko:K03192	sys:SYNPCCN_1139
ko:K03526	sys:SYNPCCN_1140
ko:K02470	sys:SYNPCCN_1143
ko:K06883	sys:SYNPCCN_0283
ko:K00297	sys:SYNPCCN_1146
ko:K11325	sys:SYNPCCN_1148
ko:K04773	sys:SYNPCCN_1158
ko:K02492	sys:SYNPCCN_1161
ko:K01817	sys:SYNPCCN_1963
ko:K01465	sys:SYNPCCN_1966
ko:K09705	sys:SYNPCCN_0284
ko:K13292	sys:SYNPCCN_0285
ko:K02639	sys:SYNPCCN_1977
ko:K14605	sys:SYNPCCN_1982
ko:K02838	sys:SYNPCCN_1984
ko:K00228	sys:SYNPCCN_0287
ko:K09903	sys:SYNPCCN_1985
ko:K03695	sys:SYNPCCN_1987
ko:K02669	sys:SYNPCCN_1991
ko:K02653	sys:SYNPCCN_1992
ko:K03320	sys:SYNPCCN_0376
ko:K07004	sys:SYNPCCN_0379
ko:K01649	sys:SYNPCCN_2114
ko:K06901	sys:SYNPCCN_2116
ko:K06178	sys:SYNPCCN_2117
ko:K07015	sys:SYNPCCN_2118
ko:K00860	sys:SYNPCCN_0381
ko:K03561	sys:SYNPCCN_0382
ko:K03500	sys:SYNPCCN_0384
ko:K07301	sys:SYNPCCN_0386
ko:K00013	sys:SYNPCCN_0387
ko:K09940	sys:SYNPCCN_0396
ko:K03189	sys:SYNPCCN_0397
ko:K00788	sys:SYNPCCN_0407
ko:K06971	sys:SYNPCCN_0408
ko:K03088	sys:SYNPCCN_1216
ko:K03281	sys:SYNPCCN_1217
ko:K02705	sys:SYNPCCN_1222
ko:K02313	sys:SYNPCCN_1224
ko:K00389	sys:SYNPCCN_1225
ko:K08289	sys:SYNPCCN_1226
ko:K07031	sys:SYNPCCN_1228
ko:K03568	sys:SYNPCCN_1229
ko:K00566	sys:SYNPCCN_1230
ko:K06158	sys:SYNPCCN_1233
ko:K01591	sys:SYNPCCN_1236
ko:K03555	sys:SYNPCCN_1244
ko:K02040	sys:SYNPCCN_1260
ko:K02037	sys:SYNPCCN_1261
ko:K02038	sys:SYNPCCN_1262
ko:K02036	sys:SYNPCCN_1263
ko:K01724	sys:SYNPCCN_1265
ko:K06890	sys:SYNPCCN_1268
ko:K02691	sys:SYNPCCN_2071
ko:K05575	sys:SYNPCCN_2072
ko:K07137	sys:SYNPCCN_2089
ko:K02030	sys:SYNPCCN_2090
ko:K00605	sys:SYNPCCN_2093
ko:K04043	sys:SYNPCCN_2094
ko:K13542	sys:SYNPCCN_2098
ko:K03584	sys:SYNPCCN_2105
ko:K00700	sys:SYNPCCN_2108
ko:K00762	sys:SYNPCCN_2112
ko:K01358	sys:SYNPCCN_1994
ko:K01262	sys:SYNPCCN_1995
ko:K00772	sys:SYNPCCN_1996
ko:K02227	sys:SYNPCCN_2003
ko:K02836	sys:SYNPCCN_2004
ko:K03281	sys:SYNPCCN_2005
ko:K06940	sys:SYNPCCN_2816
ko:K00696	sys:SYNPCCN_2817
ko:K03408	sys:SYNPCCN_2819
ko:K00826	sys:SYNPCCN_2827
ko:K02435	sys:SYNPCCN_2828
ko:K09835	sys:SYNPCCN_2833
ko:K06873	sys:SYNPCCN_2836
ko:K05575	sys:SYNPCCN_2843
ko:K01358	sys:SYNPCCN_1993
ko:K05577	sys:SYNPCCN_2844
ko:K03428	sys:SYNPCCN_2847
ko:K00606	sys:SYNPCCN_2848
ko:K06920	sys:SYNPCCN_2849
ko:K01928	sys:SYNPCCN_2850
ko:K10232	sys:SYNPCCN_2852
ko:K10233	sys:SYNPCCN_2853
ko:K10234	sys:SYNPCCN_2854
ko:K00801	sys:SYNPCCN_2855
ko:K08309	sys:SYNPCCN_2857
ko:K14645	sys:SYNPCCN_2858
ko:K01599	sys:SYNPCCN_2859
ko:K03284	sys:SYNPCCN_2863
ko:K00806	sys:SYNPCCN_2864
ko:K05580	sys:SYNPCCN_2919
ko:K05572	sys:SYNPCCN_2920
ko:K02710	sys:SYNPCCN_2120
ko:K02426	sys:SYNPCCN_2922
ko:K01256	sys:SYNPCCN_2926
ko:K00150	sys:SYNPCCN_2927
ko:K01924	sys:SYNPCCN_2928
ko:K00075	sys:SYNPCCN_2929
ko:K03594	sys:SYNPCCN_2931
ko:K06187	sys:SYNPCCN_2933
ko:K06946	sys:SYNPCCN_2936
ko:K01092	sys:SYNPCCN_2942
ko:K02048	sys:SYNPCCN_2945
ko:K02046	sys:SYNPCCN_2947
ko:K02047	sys:SYNPCCN_2948
ko:K02045	sys:SYNPCCN_2949
ko:K07240	sys:SYNPCCN_2951
ko:K06883	sys:SYNPCCN_2956
ko:K02355	sys:SYNPCCN_2957
ko:K00053	sys:SYNPCCN_2960
ko:K01814	sys:SYNPCCN_2962
ko:K00278	sys:SYNPCCN_2963
ko:K02698	sys:SYNPCCN_2965
ko:K03086	sys:SYNPCCN_2966
ko:K06180	sys:SYNPCCN_0412
ko:K13993	sys:SYNPCCN_0420
ko:K03644	sys:SYNPCCN_0423
ko:K02535	sys:SYNPCCN_0431
ko:K03798	sys:SYNPCCN_0434
ko:K07075	sys:SYNPCCN_0440
ko:K02224	sys:SYNPCCN_0446
ko:K02657	sys:SYNPCCN_0449
ko:K02658	sys:SYNPCCN_0450
ko:K02659	sys:SYNPCCN_0451
ko:K02660	sys:SYNPCCN_0452
ko:K02066	sys:SYNPCCN_0453
ko:K03116	sys:SYNPCCN_0454
ko:K02911	sys:SYNPCCN_0458
ko:K00208	sys:SYNPCCN_0460
ko:K02293	sys:SYNPCCN_1270
ko:K10716	sys:SYNPCCN_0583
ko:K14232	sys:SYNPCCN_t0016
ko:K14232	sys:SYNPCCN_t0005
ko:K05574	sys:SYNPCCN_1707
ko:K05578	sys:SYNPCCN_2918
ko:K05576	sys:SYNPCCN_2917
ko:K11523	sys:SYNPCCN_2824
ko:K11522	sys:SYNPCCN_2825
ko:K05570	sys:SYNPCCN_0680
ko:K02643	sys:SYNPCCN_2798
ko:K11950	sys:SYNPCCN_2838
ko:K11951	sys:SYNPCCN_2839
ko:K11952	sys:SYNPCCN_2841
ko:K11953	sys:SYNPCCN_2842
ko:K14222	sys:SYNPCCN_t0036
ko:K02096	sys:SYNPCCN_2077
ko:K14231	sys:SYNPCCN_t0017
ko:K11601	sys:SYNPCCN_1342
ko:K11603	sys:SYNPCCN_1341
ko:K11602	sys:SYNPCCN_1340
ko:K02714	sys:SYNPCCN_0132
ko:K03699	sys:SYNPCCN_1934
ko:K00974	sys:SYNPCCN_1583
ko:K11525	sys:SYNPCCN_2822
ko:K02097	sys:SYNPCCN_2952
ko:K07346	sys:SYNPCCN_3083
ko:K14224	sys:SYNPCCN_t0015
ko:K02480	sys:SYNPCCN_1350
ko:K01069	sys:SYNPCCN_0374
ko:K01977	sys:SYNPCCN_r0004
ko:K01977	sys:SYNPCCN_r0005
ko:K00392	sys:SYNPCCN_0293
ko:K02092	sys:SYNPCCN_1297
ko:K02287	sys:SYNPCCN_0653
ko:K08480	sys:SYNPCCN_3052
ko:K14220	sys:SYNPCCN_t0025
ko:K02018	sys:SYNPCCN_2811
ko:K02017	sys:SYNPCCN_2811
ko:K05569	sys:SYNPCCN_0679
ko:K05571	sys:SYNPCCN_0681
ko:K14221	sys:SYNPCCN_t0014
ko:K14223	sys:SYNPCCN_t0024
ko:K02093	sys:SYNPCCN_1298
ko:K02094	sys:SYNPCCN_1299
ko:K02095	sys:SYNPCCN_0310
ko:K05568	sys:SYNPCCN_0676
ko:K14225	sys:SYNPCCN_t0018
ko:K14219	sys:SYNPCCN_t0020
ko:K00974	sys:SYNPCCN_2564
ko:K02700	sys:SYNPCCN_0429
ko:K15579	sys:SYNPCCN_0914
ko:K01533	sys:SYNPCCN_2043
ko:K00284	sys:SYNPCCN_0442
ko:K00284	sys:SYNPCCN_2987
ko:K14233	sys:SYNPCCN_t0021
ko:K02289	sys:SYNPCCN_0076
ko:K14228	sys:SYNPCCN_t0040
ko:K14227	sys:SYNPCCN_t0030
ko:K14229	sys:SYNPCCN_t0028
ko:K14226	sys:SYNPCCN_t0023
ko:K14236	sys:SYNPCCN_t0038
ko:K14235	sys:SYNPCCN_t0010
ko:K14218	sys:SYNPCCN_t0029
ko:K03321	sys:SYNPCCN_0939
ko:K11960	sys:SYNPCCN_0806
ko:K11954	sys:SYNPCCN_2511
ko:K11957	sys:SYNPCCN_2337
ko:K11961	sys:SYNPCCN_0807
ko:K11958	sys:SYNPCCN_1118
ko:K11959	sys:SYNPCCN_1914
ko:K11962	sys:SYNPCCN_2160
ko:K18828	sys:SYNPCCN_2365
ko:K11963	sys:SYNPCCN_2433
ko:K11956	sys:SYNPCCN_1837
ko:K11955	sys:SYNPCCN_1983
ko:K02642	sys:SYNPCCN_1491
ko:K14228	sys:SYNPCCN_t0011
ko:K14230	sys:SYNPCCN_t0019
ko:K14233	sys:SYNPCCN_t0022
ko:K14234	sys:SYNPCCN_t0026
ko:K14218	sys:SYNPCCN_t0027
ko:K01980	sys:SYNPCCN_r0003
ko:K01980	sys:SYNPCCN_r0006
ko:K14225	sys:SYNPCCN_t0031
ko:K14233	sys:SYNPCCN_t0032
ko:K14218	sys:SYNPCCN_t0033
ko:K14219	sys:SYNPCCN_t0034
ko:K14225	sys:SYNPCCN_t0037
ko:K14230	sys:SYNPCCN_t0035
ko:K14227	sys:SYNPCCN_t0041
ko:K04034	sys:SYNPCCN_2492
ko:K07785	sys:SYNPCCN_2737
ko:K11526	sys:SYNPCCN_2820
ko:K11524	sys:SYNPCCN_2823
ko:K08904	sys:SYNPCCN_1202
ko:K01985	sys:SYNPCCN_r0002
ko:K01985	sys:SYNPCCN_r0007
ko:K02292	sys:SYNPCCN_2597
ko:K08699	sys:SYNPCCN_0196
ko:K08697	sys:SYNPCCN_0198
ko:K05587	sys:SYNPCCN_1521
ko:K16787	sys:SYNPCCN_2201
ko:K16785	sys:SYNPCCN_1639
ko:K02030	sys:SYNPCCN_1741
ko:K02030	sys:SYNPCCN_0138
ko:K02008	sys:SYNPCCN_2418
ko:K02030	sys:SYNPCCN_1111
ko:K02030	sys:SYNPCCN_2180
ko:K02030	sys:SYNPCCN_2316
ko:K01978	sys:SYNPCCN_nc0002
ko:K00034	sys:SYNPCCN_1153
ko:K14232	sys:SYNPCCN_t0002
ko:K14233	sys:SYNPCCN_t0003
ko:K14234	sys:SYNPCCN_t0004
ko:K14237	sys:SYNPCCN_t0006
ko:K14219	sys:SYNPCCN_t0007
ko:K14219	sys:SYNPCCN_t0009
ko:K14228	sys:SYNPCCN_t0013
ko:K14234	sys:SYNPCCN_t0039
