ko:K19743	apw:APA42C_08140
ko:K01443	apw:APA42C_00490
ko:K02343	apw:APA42C_00520
ko:K09747	apw:APA42C_00530
ko:K06187	apw:APA42C_00540
ko:K01633	apw:APA42C_00560
ko:K00800	apw:APA42C_00580
ko:K00945	apw:APA42C_00590
ko:K02945	apw:APA42C_00600
ko:K00989	apw:APA42C_00630
ko:K03705	apw:APA42C_00640
ko:K05366	apw:APA42C_00650
ko:K02836	apw:APA42C_00660
ko:K03832	apw:APA42C_00670
ko:K03561	apw:APA42C_00680
ko:K05837	apw:APA42C_00720
ko:K05515	apw:APA42C_00730
ko:K03571	apw:APA42C_00740
ko:K03570	apw:APA42C_00750
ko:K09768	apw:APA42C_00030
ko:K07552	apw:APA42C_00050
ko:K09791	apw:APA42C_00070
ko:K07157	apw:APA42C_00080
ko:K05838	apw:APA42C_00090
ko:K00948	apw:APA42C_04120
ko:K02016	apw:APA42C_04240
ko:K02015	apw:APA42C_04250
ko:K02013	apw:APA42C_04260
ko:K07106	apw:APA42C_04290
ko:K01669	apw:APA42C_04380
ko:K09758	apw:APA42C_04430
ko:K04047	apw:APA42C_04480
ko:K00057	apw:APA42C_04490
ko:K15229	apw:APA42C_04540
ko:K15228	apw:APA42C_04570
ko:K07248	apw:APA42C_04640
ko:K13481	apw:APA42C_12900
ko:K07127	apw:APA42C_12920
ko:K03832	apw:APA42C_13020
ko:K01993	apw:APA42C_13030
ko:K13926	apw:APA42C_13040
ko:K03313	apw:APA42C_13140
ko:K10680	apw:APA42C_13160
ko:K03781	apw:APA42C_13180
ko:K15034	apw:APA42C_13190
ko:K13688	apw:APA42C_13220
ko:K00941	apw:APA42C_13250
ko:K02471	apw:APA42C_13300
ko:K04046	apw:APA42C_13330
ko:K07290	apw:APA42C_13400
ko:K00137	apw:APA42C_22210
ko:K03561	apw:APA42C_22290
ko:K03832	apw:APA42C_22310
ko:K11103	apw:APA42C_22340
ko:K02231	apw:APA42C_22420
ko:K00768	apw:APA42C_22430
ko:K02233	apw:APA42C_22440
ko:K02225	apw:APA42C_22460
ko:K02227	apw:APA42C_22450
ko:K04719	apw:APA42C_22470
ko:K02232	apw:APA42C_22480
ko:K02224	apw:APA42C_22510
ko:K02230	apw:APA42C_22520
ko:K02234	apw:APA42C_22530
ko:K09024	apw:APA42C_22600
ko:K09823	apw:APA42C_22640
ko:K08963	apw:APA42C_22670
ko:K01738	apw:APA42C_22700
ko:K01951	apw:APA42C_22710
ko:K07726	apw:APA42C_43930
ko:K02429	apw:APA42C_05830
ko:K07267	apw:APA42C_05850
ko:K03306	apw:APA42C_05920
ko:K00627	apw:APA42C_05960
ko:K13993	apw:APA42C_05970
ko:K03885	apw:APA42C_05990
ko:K07137	apw:APA42C_06050
ko:K00873	apw:APA42C_06160
ko:K01053	apw:APA42C_06170
ko:K06207	apw:APA42C_06200
ko:K00285	apw:APA42C_06230
ko:K00384	apw:APA42C_06240
ko:K00031	apw:APA42C_06250
ko:K04751	apw:APA42C_06300
ko:K01915	apw:APA42C_06310
ko:K00117	apw:APA42C_06330
ko:K03596	apw:APA42C_06360
ko:K00641	apw:APA42C_06370
ko:K11927	apw:APA42C_06390
ko:K15549	apw:APA42C_15280
ko:K15547	apw:APA42C_15290
ko:K08995	apw:APA42C_15320
ko:K00426	apw:APA42C_15380
ko:K00425	apw:APA42C_15390
ko:K09758	apw:APA42C_15490
ko:K13979	apw:APA42C_15620
ko:K09958	apw:APA42C_15640
ko:K07507	apw:APA42C_15670
ko:K08679	apw:APA42C_24140
ko:K09005	apw:APA42C_24150
ko:K07402	apw:APA42C_24180
ko:K07141	apw:APA42C_24190
ko:K00281	apw:APA42C_24220
ko:K02437	apw:APA42C_24230
ko:K00605	apw:APA42C_24240
ko:K00797	apw:APA42C_24250
ko:K01611	apw:APA42C_24260
ko:K00954	apw:APA42C_24310
ko:K02469	apw:APA42C_24320
ko:K00962	apw:APA42C_24350
ko:K12573	apw:APA42C_07520
ko:K03168	apw:APA42C_07530
ko:K04096	apw:APA42C_07580
ko:K08591	apw:APA42C_07590
ko:K01465	apw:APA42C_07600
ko:K00609	apw:APA42C_07610
ko:K06916	apw:APA42C_07650
ko:K00164	apw:APA42C_07660
ko:K00658	apw:APA42C_07670
ko:K00382	apw:APA42C_07680
ko:K01251	apw:APA42C_07710
ko:K00655	apw:APA42C_07720
ko:K01613	apw:APA42C_07830
ko:K01872	apw:APA42C_07840
ko:K13829	apw:APA42C_07870
ko:K01962	apw:APA42C_07900
ko:K04566	apw:APA42C_07920
ko:K07115	apw:APA42C_07950
ko:K01749	apw:APA42C_07970
ko:K03071	apw:APA42C_07990
ko:K00428	apw:APA42C_08030
ko:K00228	apw:APA42C_08060
ko:K01920	apw:APA42C_16860
ko:K00384	apw:APA42C_16900
ko:K05788	apw:APA42C_16930
ko:K03980	apw:APA42C_16950
ko:K04764	apw:APA42C_16990
ko:K00648	apw:APA42C_17000
ko:K03621	apw:APA42C_17010
ko:K02911	apw:APA42C_17020
ko:K07638	apw:APA42C_17050
ko:K07659	apw:APA42C_17060
ko:K01462	apw:APA42C_17090
ko:K02970	apw:APA42C_17100
ko:K00052	apw:APA42C_17110
ko:K01704	apw:APA42C_17120
ko:K01703	apw:APA42C_17130
ko:K02884	apw:APA42C_17140
ko:K00554	apw:APA42C_17150
ko:K02860	apw:APA42C_17160
ko:K02959	apw:APA42C_17170
ko:K03106	apw:APA42C_17180
ko:K06006	apw:APA42C_17190
ko:K07289	apw:APA42C_17210
ko:K07478	apw:APA42C_17230
ko:K03179	apw:APA42C_17250
ko:K09761	apw:APA42C_17260
ko:K01919	apw:APA42C_17270
ko:K08169	apw:APA42C_17280
ko:K03977	apw:APA42C_17300
ko:K03575	apw:APA42C_25430
ko:K01869	apw:APA42C_25480
ko:K03643	apw:APA42C_25490
ko:K02340	apw:APA42C_25500
ko:K03522	apw:APA42C_25590
ko:K03521	apw:APA42C_25600
ko:K00311	apw:APA42C_25610
ko:K07275	apw:APA42C_25640
ko:K07010	apw:APA42C_25690
ko:K06178	apw:APA42C_25700
ko:K06204	apw:APA42C_25740
ko:K01866	apw:APA42C_25860
ko:K03568	apw:APA42C_25870
ko:K00973	apw:APA42C_25910
ko:K01790	apw:APA42C_25920
ko:K00067	apw:APA42C_25930
ko:K03466	apw:APA42C_25950
ko:K00759	apw:APA42C_00820
ko:K01975	apw:APA42C_00880
ko:K06890	apw:APA42C_00890
ko:K02297	apw:APA42C_00900
ko:K02298	apw:APA42C_00910
ko:K02299	apw:APA42C_00920
ko:K02300	apw:APA42C_00930
ko:K01255	apw:APA42C_00970
ko:K13013	apw:APA42C_01000
ko:K01465	apw:APA42C_01040
ko:K00528	apw:APA42C_01060
ko:K00029	apw:APA42C_01110
ko:K02601	apw:APA42C_01120
ko:K03073	apw:APA42C_01130
ko:K02113	apw:APA42C_01170
ko:K02111	apw:APA42C_01180
ko:K02115	apw:APA42C_01190
ko:K02112	apw:APA42C_01200
ko:K02114	apw:APA42C_01210
ko:K09457	apw:APA42C_01220
ko:K03684	apw:APA42C_01230
ko:K13583	apw:APA42C_01260
ko:K11738	apw:APA42C_01270
ko:K02047	apw:APA42C_01290
ko:K02046	apw:APA42C_01300
ko:K02048	apw:APA42C_01350
ko:K03735	apw:APA42C_01370
ko:K03736	apw:APA42C_01380
ko:K03585	apw:APA42C_01400
ko:K03704	apw:APA42C_01430
ko:K02045	apw:APA42C_01280
ko:K01649	apw:APA42C_00770
ko:K02259	apw:APA42C_00780
ko:K07552	apw:APA42C_00800
ko:K01879	apw:APA42C_03000
ko:K01878	apw:APA42C_03010
ko:K09945	apw:APA42C_03020
ko:K03820	apw:APA42C_03040
ko:K03628	apw:APA42C_03080
ko:K03284	apw:APA42C_03100
ko:K01696	apw:APA42C_03110
ko:K01695	apw:APA42C_03120
ko:K07007	apw:APA42C_03130
ko:K06915	apw:APA42C_03140
ko:K02502	apw:APA42C_03150
ko:K01939	apw:APA42C_03160
ko:K07636	apw:APA42C_03180
ko:K02040	apw:APA42C_03190
ko:K02867	apw:APA42C_09230
ko:K02863	apw:APA42C_09240
ko:K02864	apw:APA42C_09250
ko:K02935	apw:APA42C_09260
ko:K03043	apw:APA42C_09270
ko:K03046	apw:APA42C_09280
ko:K02950	apw:APA42C_09290
ko:K02992	apw:APA42C_09300
ko:K02358	apw:APA42C_09310
ko:K02946	apw:APA42C_09315
ko:K02906	apw:APA42C_09320
ko:K02926	apw:APA42C_09330
ko:K02892	apw:APA42C_09340
ko:K02886	apw:APA42C_09350
ko:K02965	apw:APA42C_09355
ko:K02890	apw:APA42C_09360
ko:K02982	apw:APA42C_09370
ko:K02878	apw:APA42C_09380
ko:K02904	apw:APA42C_09390
ko:K02961	apw:APA42C_09400
ko:K02874	apw:APA42C_09410
ko:K02895	apw:APA42C_09420
ko:K02931	apw:APA42C_09430
ko:K02954	apw:APA42C_09440
ko:K02994	apw:APA42C_09450
ko:K02933	apw:APA42C_09460
ko:K02881	apw:APA42C_09470
ko:K02988	apw:APA42C_09480
ko:K02907	apw:APA42C_09490
ko:K02876	apw:APA42C_09500
ko:K03076	apw:APA42C_09510
ko:K02952	apw:APA42C_09530
ko:K02948	apw:APA42C_09540
ko:K03040	apw:APA42C_09550
ko:K02879	apw:APA42C_09560
ko:K07789	apw:APA42C_09630
ko:K07788	apw:APA42C_09640
ko:K07799	apw:APA42C_09650
ko:K03470	apw:APA42C_09680
ko:K03417	apw:APA42C_03610
ko:K05524	apw:APA42C_00950
ko:K00383	apw:APA42C_01050
ko:K01455	apw:APA42C_01550
ko:K03561	apw:APA42C_13010
ko:K03559	apw:APA42C_13000
ko:K03559	apw:APA42C_12990
ko:K15726	apw:APA42C_42190
ko:K01546	apw:APA42C_43100
ko:K01547	apw:APA42C_43110
ko:K01548	apw:APA42C_43120
ko:K07646	apw:APA42C_43130
ko:K07667	apw:APA42C_43140
ko:K07726	apw:APA42C_44140
ko:K00570	apw:APA42C_16840
ko:K07267	apw:APA42C_22350
ko:K05372	apw:APA42C_40590
ko:K16092	apw:APA42C_04230
ko:K16090	apw:APA42C_15440
ko:K16090	apw:APA42C_22280
ko:K16137	apw:APA42C_20520
ko:K16137	apw:APA42C_40420
ko:K02014	apw:APA42C_04950
ko:K02014	apw:APA42C_15330
ko:K02014	apw:APA42C_41360
ko:K00939	apw:APA42C_09520
ko:K02051	apw:APA42C_09570
ko:K02050	apw:APA42C_09580
ko:K02049	apw:APA42C_09590
ko:K00135	apw:APA42C_40440
ko:K03316	apw:APA42C_40550
ko:K03711	apw:APA42C_03060
ko:K07657	apw:APA42C_03170
ko:K07221	apw:APA42C_03200
ko:K04765	apw:APA42C_03320
ko:K04518	apw:APA42C_11870
ko:K08738	apw:APA42C_11890
ko:K00058	apw:APA42C_11910
ko:K01760	apw:APA42C_11930
ko:K01011	apw:APA42C_11940
ko:K03743	apw:APA42C_12110
ko:K10563	apw:APA42C_12340
ko:K03316	apw:APA42C_05450
ko:K07386	apw:APA42C_05620
ko:K00625	apw:APA42C_14710
ko:K00799	apw:APA42C_14780
ko:K00124	apw:APA42C_14850
ko:K02427	apw:APA42C_14890
ko:K00088	apw:APA42C_15080
ko:K02035	apw:APA42C_15090
ko:K02033	apw:APA42C_15110
ko:K02014	apw:APA42C_15190
ko:K03386	apw:APA42C_23580
ko:K01885	apw:APA42C_07620
ko:K02238	apw:APA42C_07630
ko:K04763	apw:APA42C_07890
ko:K05595	apw:APA42C_07940
ko:K01409	apw:APA42C_07960
ko:K01719	apw:APA42C_07980
ko:K00721	apw:APA42C_16880
ko:K06179	apw:APA42C_17220
ko:K00970	apw:APA42C_09760
ko:K11085	apw:APA42C_09770
ko:K06147	apw:APA42C_10030
ko:K00799	apw:APA42C_10080
ko:K01006	apw:APA42C_19100
ko:K06177	apw:APA42C_25960
ko:K01885	apw:APA42C_19180
ko:K03294	apw:APA42C_19370
ko:K08178	apw:APA42C_03630
ko:K01011	apw:APA42C_03780
ko:K02050	apw:APA42C_12380
ko:K02049	apw:APA42C_12390
ko:K07304	apw:APA42C_12400
ko:K00121	apw:APA42C_12700
ko:K02051	apw:APA42C_12760
ko:K02049	apw:APA42C_12780
ko:K02050	apw:APA42C_12790
ko:K02433	apw:APA42C_12870
ko:K03307	apw:APA42C_21840
ko:K00059	apw:APA42C_22030
ko:K02055	apw:APA42C_22190
ko:K03442	apw:APA42C_15340
ko:K07126	apw:APA42C_15450
ko:K01424	apw:APA42C_15480
ko:K02014	apw:APA42C_15610
ko:K01577	apw:APA42C_15720
ko:K00772	apw:APA42C_08090
ko:K13953	apw:APA42C_08590
ko:K01784	apw:APA42C_08610
ko:K01496	apw:APA42C_17380
ko:K01854	apw:APA42C_17590
ko:K00769	apw:APA42C_17640
ko:K01092	apw:APA42C_17820
ko:K02533	apw:APA42C_26040
ko:K03769	apw:APA42C_26300
ko:K03316	apw:APA42C_04220
ko:K12373	apw:APA42C_04270
ko:K07305	apw:APA42C_04400
ko:K06045	apw:APA42C_13100
ko:K00135	apw:APA42C_13150
ko:K02014	apw:APA42C_13280
ko:K02052	apw:APA42C_22200
ko:K09949	apw:APA42C_06610
ko:K01759	apw:APA42C_06620
ko:K00674	apw:APA42C_06690
ko:K01439	apw:APA42C_06700
ko:K01835	apw:APA42C_15810
ko:K09702	apw:APA42C_15830
ko:K00666	apw:APA42C_16040
ko:K00652	apw:APA42C_16060
ko:K03177	apw:APA42C_24370
ko:K07126	apw:APA42C_24450
ko:K00548	apw:APA42C_24490
ko:K00721	apw:APA42C_24580
ko:K02116	apw:APA42C_24630
ko:K01759	apw:APA42C_24670
ko:K00135	apw:APA42C_22400
ko:K02074	apw:APA42C_22620
ko:K02077	apw:APA42C_22630
ko:K07034	apw:APA42C_22580
ko:K01692	apw:APA42C_22590
ko:K02055	apw:APA42C_01860
ko:K02052	apw:APA42C_01870
ko:K00045	apw:APA42C_10290
ko:K02035	apw:APA42C_10350
ko:K03316	apw:APA42C_10370
ko:K00030	apw:APA42C_10420
ko:K01262	apw:APA42C_10430
ko:K07213	apw:APA42C_19580
ko:K03469	apw:APA42C_19750
ko:K10254	apw:APA42C_41290
ko:K07123	apw:APA42C_41630
ko:K00059	apw:APA42C_11750
ko:K02014	apw:APA42C_20650
ko:K02433	apw:APA42C_20770
ko:K00700	apw:APA42C_20810
ko:K02014	apw:APA42C_20920
ko:K07263	apw:APA42C_02420
ko:K01934	apw:APA42C_02560
ko:K02067	apw:APA42C_11370
ko:K03294	apw:APA42C_11390
ko:K08305	apw:APA42C_11420
ko:K07258	apw:APA42C_11440
ko:K04063	apw:APA42C_11540
ko:K01092	apw:APA42C_11700
ko:K02342	apw:APA42C_08710
ko:K02067	apw:APA42C_08850
ko:K02200	apw:APA42C_08930
ko:K02200	apw:APA42C_08940
ko:K01259	apw:APA42C_18310
ko:K01523	apw:APA42C_26560
ko:K00799	apw:APA42C_26620
ko:K00567	apw:APA42C_26690
ko:K02014	apw:APA42C_13620
ko:K00595	apw:APA42C_14510
ko:K01679	apw:APA42C_14580
ko:K00033	apw:APA42C_23130
ko:K00851	apw:APA42C_23170
ko:K01082	apw:APA42C_07200
ko:K08964	apw:APA42C_07340
ko:K06147	apw:APA42C_25400
ko:K13628	apw:APA42C_16560
ko:K04488	apw:APA42C_16580
ko:K06147	apw:APA42C_16700
ko:K03593	apw:APA42C_24890
ko:K02193	apw:APA42C_25130
ko:K07250	apw:APA42C_25330
ko:K02433	apw:APA42C_25370
ko:K06045	apw:APA42C_01950
ko:K03386	apw:APA42C_02050
ko:K01507	apw:APA42C_02100
ko:K06910	apw:APA42C_02220
ko:K02067	apw:APA42C_02300
ko:K03635	apw:APA42C_10890
ko:K00652	apw:APA42C_10910
ko:K03153	apw:APA42C_11000
ko:K00568	apw:APA42C_11260
ko:K02371	apw:APA42C_11280
ko:K00135	apw:APA42C_20540
ko:K14235	apw:APA42C_01140
ko:K19164	apw:APA42C_43300
ko:K07267	apw:APA42C_40870
ko:K16074	apw:APA42C_23070
ko:K11645	apw:APA42C_02600
ko:K07165	apw:APA42C_13600
ko:K03699	apw:APA42C_03990
ko:K01840	apw:APA42C_11180
ko:K01659	apw:APA42C_03600
ko:K16264	apw:APA42C_06040
ko:K01069	apw:APA42C_07740
ko:K00146	apw:APA42C_22090
ko:K11735	apw:APA42C_07030
ko:K02054	apw:APA42C_22150
ko:K02054	apw:APA42C_22180
ko:K02014	apw:APA42C_01490
ko:K13472	apw:APA42C_40580
ko:K07749	apw:APA42C_15730
ko:K14223	apw:APA42C_26430
ko:K14233	apw:APA42C_25390
ko:K14233	apw:APA42C_18800
ko:K16066	apw:APA42C_05540
ko:K14224	apw:APA42C_21950
ko:K03321	apw:APA42C_17400
ko:K11959	apw:APA42C_23330
ko:K11959	apw:APA42C_01580
ko:K11960	apw:APA42C_23320
ko:K11960	apw:APA42C_01590
ko:K11961	apw:APA42C_01600
ko:K07323	apw:APA42C_02140
ko:K03457	apw:APA42C_21700
ko:K12205	apw:APA42C_42780
ko:K12218	apw:APA42C_42730
ko:K11961	apw:APA42C_23310
ko:K01980	apw:APA42C_25530
ko:K01977	apw:APA42C_25560
ko:K01985	apw:APA42C_25520
ko:K02075	apw:APA42C_22610
ko:K11962	apw:APA42C_23300
ko:K11962	apw:APA42C_01610
ko:K11963	apw:APA42C_23290
ko:K18828	apw:APA42C_43270
ko:K07012	apw:APA42C_41030
ko:K11963	apw:APA42C_01620
ko:K01980	apw:APA42C_24100
ko:K14218	apw:APA42C_24100
ko:K14227	apw:APA42C_24100
ko:K01980	apw:APA42C_20990
ko:K14218	apw:APA42C_20990
ko:K14227	apw:APA42C_20990
ko:K14233	apw:APA42C_17800
ko:K14234	apw:APA42C_26060
ko:K06016	apw:APA42C_21600
ko:K02226	apw:APA42C_22500
ko:K14228	apw:APA42C_01820
ko:K06075	apw:APA42C_01900
ko:K15555	apw:APA42C_13680
ko:K03559	apw:APA42C_00690
ko:K03559	apw:APA42C_00700
ko:K03559	apw:APA42C_22300
ko:K03559	apw:APA42C_13500
ko:K00114	apw:APA42C_22100
ko:K01487	apw:APA42C_12970
ko:K02051	apw:APA42C_19520
ko:K09810	apw:APA42C_16250
ko:K13485	apw:APA42C_12930
ko:K02196	apw:APA42C_08980
ko:K01980	apw:APA42C_15990
ko:K14228	apw:APA42C_00220
ko:K14228	apw:APA42C_11160
ko:K14218	apw:APA42C_15990
ko:K14227	apw:APA42C_15990
ko:K14225	apw:APA42C_01150
ko:K14221	apw:APA42C_02070
ko:K14230	apw:APA42C_02110
ko:K01977	apw:APA42C_21020
ko:K01977	apw:APA42C_16020
ko:K01977	apw:APA42C_24130
ko:K14229	apw:APA42C_24290
ko:K07091	apw:APA42C_16100
ko:K14234	apw:APA42C_24560
ko:K07323	apw:APA42C_03960
ko:K02029	apw:APA42C_25100
ko:K02030	apw:APA42C_25100
ko:K03457	apw:APA42C_41980
ko:K14229	apw:APA42C_26630
ko:K02066	apw:APA42C_08830
ko:K02065	apw:APA42C_08840
ko:K14237	apw:APA42C_16440
ko:K14237	apw:APA42C_16450
ko:K14220	apw:APA42C_19510
ko:K02028	apw:APA42C_25110
ko:K06218	apw:APA42C_41270
ko:K00951	apw:APA42C_06450
ko:K00040	apw:APA42C_40070
ko:K00265	apw:APA42C_19810
ko:K17218	apw:APA42C_18520
ko:K02484	apw:APA42C_15910
ko:K02484	apw:APA42C_42170
ko:K11532	apw:APA42C_21350
ko:K00681	apw:APA42C_00430
ko:K14234	apw:APA42C_25750
ko:K14218	apw:APA42C_26810
ko:K14222	apw:APA42C_12450
ko:K08316	apw:APA42C_25710
ko:K04084	apw:APA42C_21100
ko:K00102	apw:APA42C_21930
ko:K14236	apw:APA42C_08550
ko:K17686	apw:APA42C_19210
ko:K14237	apw:APA42C_03360
ko:K14225	apw:APA42C_06990
ko:K14237	apw:APA42C_15030
ko:K14231	apw:APA42C_19940
ko:K14219	apw:APA42C_22730
ko:K17675	apw:APA42C_01070
ko:K17675	apw:APA42C_00960
ko:K17723	apw:APA42C_21610
ko:K03292	apw:APA42C_43350
ko:K00226	apw:APA42C_14720
ko:K14223	apw:APA42C_14870
ko:K14219	apw:APA42C_21070
ko:K19745	apw:APA42C_03250
ko:K00537	apw:APA42C_42360
ko:K00537	apw:APA42C_42450
ko:K14230	apw:APA42C_11360
ko:K14230	apw:APA42C_15970
ko:K14230	apw:APA42C_24080
ko:K14230	apw:APA42C_25510
ko:K14230	apw:APA42C_20970
ko:K14228	apw:APA42C_16510
ko:K14225	apw:APA42C_26500
ko:K01658	apw:APA42C_12220
ko:K01843	apw:APA42C_02760
ko:K00661	apw:APA42C_15820
ko:K14233	apw:APA42C_21720
ko:K14232	apw:APA42C_16970
ko:K14219	apw:APA42C_17610
ko:K00128	apw:APA42C_20430
ko:K12574	apw:APA42C_16280
ko:K18139	apw:APA42C_01420
ko:K07506	apw:APA42C_40700
ko:K12979	apw:APA42C_02500
ko:K00127	apw:APA42C_14840
ko:K18028	apw:APA42C_23760
ko:K13995	apw:APA42C_23750
ko:K18030	apw:APA42C_23770
ko:K18029	apw:APA42C_23780
ko:K01985	apw:APA42C_15980
ko:K01985	apw:APA42C_20980
ko:K01985	apw:APA42C_24090
ko:K03074	apw:APA42C_10570
ko:K00329	apw:APA42C_19830
ko:K00356	apw:APA42C_19830
ko:K07003	apw:APA42C_18530
ko:K07222	apw:APA42C_41610
ko:K07222	apw:APA42C_42010
ko:K09017	apw:APA42C_21710
ko:K00091	apw:APA42C_02000
ko:K01286	apw:APA42C_02790
ko:K04771	apw:APA42C_24860
ko:K02169	apw:APA42C_10930
ko:K01935	apw:APA42C_10930
ko:K16011	apw:APA42C_18380
ko:K18118	apw:APA42C_10710
ko:K21678	apw:APA42C_01970
ko:K18138	apw:APA42C_01410
ko:K07165	apw:APA42C_13630
ko:K07165	apw:APA42C_15870
ko:K09691	apw:APA42C_04100
ko:K09712	apw:APA42C_11600
ko:K02160	apw:APA42C_20720
ko:K03893	apw:APA42C_42460
ko:K03549	apw:APA42C_42630
ko:K03071	apw:APA42C_21766
ko:K01669	apw:APA42C_04390
ko:K02221	apw:APA42C_04790
ko:K00537	apw:APA42C_23620
ko:K11927	apw:APA42C_19320
ko:K03559	apw:APA42C_20610
ko:K03559	apw:APA42C_20620
ko:K02575	apw:APA42C_42140
ko:K14228	apw:APA42C_19840
ko:K00681	apw:APA42C_02770
ko:K00681	apw:APA42C_12980
ko:K18588	apw:APA42C_12130
ko:K18587	apw:APA42C_17080
ko:K09691	apw:APA42C_23050
ko:K09690	apw:APA42C_04110
ko:K18707	apw:APA42C_24650
ko:K18702	apw:APA42C_15690
ko:K01568	apw:APA42C_23490
ko:K07172	apw:APA42C_41500
ko:K18829	apw:APA42C_41520
ko:K07171	apw:APA42C_41490
ko:K21677	apw:APA42C_01960
ko:K18829	apw:APA42C_43260
ko:K18831	apw:APA42C_23920
ko:K18918	apw:APA42C_41260
ko:K18918	apw:APA42C_42790
ko:K18928	apw:APA42C_03840
ko:K18929	apw:APA42C_03850
ko:K11811	apw:APA42C_42340
ko:K18828	apw:APA42C_42550
ko:K12217	apw:APA42C_42710
ko:K12203	apw:APA42C_42760
ko:K12204	apw:APA42C_42770
ko:K06218	apw:APA42C_42800
ko:K12206	apw:APA42C_42810
ko:K03496	apw:APA42C_43720
ko:K03496	apw:APA42C_43920
ko:K03496	apw:APA42C_44150
ko:K03111	apw:APA42C_25720
ko:K03497	apw:APA42C_26640
ko:K03496	apw:APA42C_26650
ko:K03497	apw:APA42C_40300
ko:K14161	apw:APA42C_41300
ko:K18828	apw:APA42C_41510
ko:K16898	apw:APA42C_26100
ko:K07484	apw:APA42C_01790
ko:K07484	apw:APA42C_08380
ko:K07484	apw:APA42C_17900
ko:K07484	apw:APA42C_18230
ko:K07484	apw:APA42C_21640
ko:K03761	apw:APA42C_09150
ko:K16899	apw:APA42C_26110
ko:K07483	apw:APA42C_42470
ko:K07483	apw:APA42C_42520
ko:K07483	apw:APA42C_21650
ko:K07483	apw:APA42C_42890
ko:K07483	apw:APA42C_43360
ko:K07483	apw:APA42C_43580
ko:K07483	apw:APA42C_23970
ko:K07483	apw:APA42C_08370
ko:K07483	apw:APA42C_17890
ko:K07483	apw:APA42C_18240
ko:K07483	apw:APA42C_01800
ko:K07063	apw:APA42C_43550
ko:K07497	apw:APA42C_40180
ko:K07497	apw:APA42C_41240
ko:K07497	apw:APA42C_42430
ko:K07497	apw:APA42C_42620
ko:K07497	apw:APA42C_43980
ko:K07497	apw:APA42C_44110
ko:K03976	apw:APA42C_22680
ko:K00335	apw:APA42C_16380
ko:K18979	apw:APA42C_02180
ko:K03526	apw:APA42C_11300
ko:K02483	apw:APA42C_19640
ko:K09472	apw:APA42C_42000
ko:K00611	apw:APA42C_07290
ko:K18996	apw:APA42C_40640
ko:K19046	apw:APA42C_41050
ko:K07497	apw:APA42C_17940
ko:K07497	apw:APA42C_08400
ko:K07497	apw:APA42C_42980
ko:K07497	apw:APA42C_20950
ko:K07497	apw:APA42C_15860
ko:K07497	apw:APA42C_40010
ko:K07497	apw:APA42C_42030
ko:K07497	apw:APA42C_42580
ko:K07497	apw:APA42C_42820
ko:K07497	apw:APA42C_42990
ko:K07497	apw:APA42C_43660
ko:K07497	apw:APA42C_08170
ko:K07497	apw:APA42C_08410
ko:K07497	apw:APA42C_17950
ko:K16238	apw:APA42C_01390
ko:K19155	apw:APA42C_40790
ko:K19156	apw:APA42C_40780
ko:K19123	apw:APA42C_41040
ko:K19163	apw:APA42C_43310
ko:K01710	apw:APA42C_25900
ko:K01710	apw:APA42C_18080
ko:K00571	apw:APA42C_08020
ko:K13581	apw:APA42C_09690
ko:K19124	apw:APA42C_41060
ko:K22468	apw:APA42C_05910
ko:K03446	apw:APA42C_23670
ko:K19125	apw:APA42C_41070
ko:K19126	apw:APA42C_41080
ko:K09951	apw:APA42C_41100
ko:K19221	apw:APA42C_22490
ko:K00798	apw:APA42C_07140
ko:K00336	apw:APA42C_16370
ko:K03722	apw:APA42C_17830
ko:K07496	apw:APA42C_17700
ko:K01992	apw:APA42C_13050
ko:K07497	apw:APA42C_11810
ko:K07497	apw:APA42C_20880
ko:K07497	apw:APA42C_20890
ko:K07497	apw:APA42C_20960
ko:K07497	apw:APA42C_42420
ko:K07497	apw:APA42C_42530
ko:K07497	apw:APA42C_42590
ko:K07497	apw:APA42C_42610
ko:K07497	apw:APA42C_42830
ko:K07497	apw:APA42C_43650
ko:K07497	apw:APA42C_43690
ko:K07497	apw:APA42C_43970
ko:K07497	apw:APA42C_44120
ko:K07497	apw:APA42C_23380
ko:K07497	apw:APA42C_15850
ko:K07497	apw:APA42C_08180
ko:K07497	apw:APA42C_40012
ko:K07497	apw:APA42C_18770
ko:K07497	apw:APA42C_18780
ko:K07497	apw:APA42C_40190
ko:K07497	apw:APA42C_41230
ko:K07497	apw:APA42C_41530
ko:K07497	apw:APA42C_42040
ko:K19338	apw:APA42C_20760
ko:K00839	apw:APA42C_12840
ko:K04771	apw:APA42C_25660
ko:K02022	apw:APA42C_24460
ko:K00059	apw:APA42C_03300
ko:K19336	apw:APA42C_15750
ko:K06867	apw:APA42C_23100
ko:K02031	apw:APA42C_15120
ko:K01066	apw:APA42C_18890
ko:K06075	apw:APA42C_22560
ko:K07344	apw:APA42C_23890
ko:K04771	apw:APA42C_07240
ko:K04096	apw:APA42C_07540
ko:K14205	apw:APA42C_07930
ko:K03574	apw:APA42C_18370
ko:K00362	apw:APA42C_42120
ko:K19577	apw:APA42C_20550
ko:K02032	apw:APA42C_15130
ko:K17722	apw:APA42C_21620
ko:K00799	apw:APA42C_25980
ko:K19784	apw:APA42C_20570
ko:K08744	apw:APA42C_10860
ko:K07483	apw:APA42C_23860
