ko:K01175	hiw:NTHI477_01224
ko:K04088	hiw:NTHI477_01184
ko:K06133	hiw:NTHI477_01185
ko:K07792	hiw:NTHI477_01186
ko:K02078	hiw:NTHI477_01187
ko:K00059	hiw:NTHI477_01188
ko:K00645	hiw:NTHI477_01189
ko:K00648	hiw:NTHI477_01190
ko:K02911	hiw:NTHI477_01191
ko:K07040	hiw:NTHI477_01192
ko:K01613	hiw:NTHI477_01193
ko:K00383	hiw:NTHI477_01194
ko:K07286	hiw:NTHI477_01195
ko:K05527	hiw:NTHI477_01196
ko:K00346	hiw:NTHI477_01197
ko:K00347	hiw:NTHI477_01198
ko:K00348	hiw:NTHI477_01199
ko:K00349	hiw:NTHI477_01200
ko:K00350	hiw:NTHI477_01201
ko:K00351	hiw:NTHI477_01202
ko:K03734	hiw:NTHI477_01203
ko:K05952	hiw:NTHI477_01204
ko:K00566	hiw:NTHI477_01205
ko:K05810	hiw:NTHI477_01206
ko:K06180	hiw:NTHI477_01207
ko:K05807	hiw:NTHI477_01208
ko:K00147	hiw:NTHI477_00414
ko:K03686	hiw:NTHI477_00415
ko:K04043	hiw:NTHI477_00416
ko:K01734	hiw:NTHI477_00418
ko:K00163	hiw:NTHI477_00419
ko:K00627	hiw:NTHI477_00420
ko:K00382	hiw:NTHI477_00421
ko:K00759	hiw:NTHI477_00422
ko:K02343	hiw:NTHI477_00423
ko:K00761	hiw:NTHI477_00424
ko:K02824	hiw:NTHI477_00425
ko:K10763	hiw:NTHI477_00426
ko:K03113	hiw:NTHI477_00427
ko:K01591	hiw:NTHI477_00428
ko:K08992	hiw:NTHI477_00430
ko:K05788	hiw:NTHI477_00431
ko:K02945	hiw:NTHI477_00432
ko:K00945	hiw:NTHI477_00433
ko:K06215	hiw:NTHI477_00434
ko:K08681	hiw:NTHI477_00435
ko:K03777	hiw:NTHI477_00436
ko:K13694	hiw:NTHI477_00437
ko:K03568	hiw:NTHI477_00438
ko:K07056	hiw:NTHI477_00439
ko:K07121	hiw:NTHI477_00440
ko:K07460	hiw:NTHI477_00441
ko:K03271	hiw:NTHI477_00442
ko:K00658	hiw:NTHI477_00446
ko:K00164	hiw:NTHI477_00447
ko:K03424	hiw:NTHI477_00449
ko:K03797	hiw:NTHI477_00452
ko:K03607	hiw:NTHI477_00453
ko:K03808	hiw:NTHI477_00455
ko:K03635	hiw:NTHI477_00457
ko:K03636	hiw:NTHI477_00458
ko:K03637	hiw:NTHI477_00459
ko:K03639	hiw:NTHI477_00460
ko:K04069	hiw:NTHI477_01210
ko:K00656	hiw:NTHI477_01211
ko:K06212	hiw:NTHI477_01212
ko:K00884	hiw:NTHI477_01213
ko:K03310	hiw:NTHI477_01214
ko:K01070	hiw:NTHI477_01215
ko:K00121	hiw:NTHI477_01216
ko:K03116	hiw:NTHI477_01218
ko:K03117	hiw:NTHI477_01219
ko:K03118	hiw:NTHI477_01220
ko:K00262	hiw:NTHI477_01221
ko:K03711	hiw:NTHI477_01222
ko:K03839	hiw:NTHI477_01223
ko:K03645	hiw:NTHI477_01225
ko:K01911	hiw:NTHI477_01226
ko:K05802	hiw:NTHI477_01227
ko:K01736	hiw:NTHI477_01228
ko:K07261	hiw:NTHI477_01229
ko:K07090	hiw:NTHI477_01230
ko:K02560	hiw:NTHI477_01231
ko:K01008	hiw:NTHI477_01232
ko:K02884	hiw:NTHI477_01233
ko:K00554	hiw:NTHI477_01234
ko:K02860	hiw:NTHI477_01235
ko:K02959	hiw:NTHI477_01236
ko:K00891	hiw:NTHI477_01239
ko:K01735	hiw:NTHI477_01240
ko:K01497	hiw:NTHI477_01243
ko:K02035	hiw:NTHI477_01244
ko:K09790	hiw:NTHI477_01245
ko:K01414	hiw:NTHI477_01246
ko:K03427	hiw:NTHI477_01247
ko:K01154	hiw:NTHI477_01248
ko:K01153	hiw:NTHI477_01252
ko:K07648	hiw:NTHI477_01254
ko:K03524	hiw:NTHI477_01260
ko:K07322	hiw:NTHI477_00461
ko:K06041	hiw:NTHI477_00462
ko:K03270	hiw:NTHI477_00463
ko:K09929	hiw:NTHI477_00468
ko:K09930	hiw:NTHI477_00469
ko:K15977	hiw:NTHI477_00471
ko:K07220	hiw:NTHI477_00472
ko:K03306	hiw:NTHI477_00473
ko:K07184	hiw:NTHI477_00474
ko:K00974	hiw:NTHI477_00475
ko:K02494	hiw:NTHI477_00476
ko:K00919	hiw:NTHI477_00477
ko:K00948	hiw:NTHI477_00478
ko:K01866	hiw:NTHI477_00479
ko:K06206	hiw:NTHI477_00480
ko:K03327	hiw:NTHI477_00481
ko:K00793	hiw:NTHI477_00482
ko:K01256	hiw:NTHI477_00483
ko:K01588	hiw:NTHI477_00486
ko:K01589	hiw:NTHI477_00487
ko:K00813	hiw:NTHI477_00488
ko:K02006	hiw:NTHI477_00489
ko:K00425	hiw:NTHI477_00658
ko:K00426	hiw:NTHI477_00659
ko:K03578	hiw:NTHI477_00663
ko:K03385	hiw:NTHI477_00664
ko:K04013	hiw:NTHI477_00665
ko:K04014	hiw:NTHI477_00666
ko:K04015	hiw:NTHI477_00667
ko:K09903	hiw:NTHI477_00668
ko:K02372	hiw:NTHI477_00670
ko:K00677	hiw:NTHI477_00671
ko:K00748	hiw:NTHI477_00672
ko:K03470	hiw:NTHI477_00673
ko:K07316	hiw:NTHI477_00674
ko:K01156	hiw:NTHI477_00676
ko:K18991	hiw:NTHI477_00678
ko:K18893	hiw:NTHI477_00679
ko:K08364	hiw:NTHI477_00680
ko:K08363	hiw:NTHI477_00681
ko:K07306	hiw:NTHI477_00683
ko:K07308	hiw:NTHI477_00686
ko:K07133	hiw:NTHI477_00692
ko:K02221	hiw:NTHI477_00694
ko:K03284	hiw:NTHI477_00695
ko:K09767	hiw:NTHI477_00696
ko:K01079	hiw:NTHI477_00697
ko:K00615	hiw:NTHI477_00698
ko:K01012	hiw:NTHI477_00699
ko:K02062	hiw:NTHI477_00700
ko:K02063	hiw:NTHI477_00701
ko:K02064	hiw:NTHI477_00702
ko:K02237	hiw:NTHI477_00703
ko:K03527	hiw:NTHI477_00704
ko:K03101	hiw:NTHI477_00705
ko:K03770	hiw:NTHI477_00707
ko:K03650	hiw:NTHI477_00708
ko:K03217	hiw:NTHI477_00709
ko:K08998	hiw:NTHI477_00710
ko:K03111	hiw:NTHI477_01484
ko:K03554	hiw:NTHI477_01486
ko:K03640	hiw:NTHI477_01495
ko:K03641	hiw:NTHI477_01496
ko:K03646	hiw:NTHI477_01497
ko:K03560	hiw:NTHI477_01498
ko:K03562	hiw:NTHI477_01499
ko:K07107	hiw:NTHI477_01500
ko:K14742	hiw:NTHI477_01502
ko:K07285	hiw:NTHI477_01503
ko:K01897	hiw:NTHI477_01504
ko:K03684	hiw:NTHI477_01505
ko:K06942	hiw:NTHI477_01507
ko:K01056	hiw:NTHI477_01508
ko:K09801	hiw:NTHI477_01509
ko:K18850	hiw:NTHI477_01510
ko:K03601	hiw:NTHI477_01511
ko:K01515	hiw:NTHI477_01512
ko:K03651	hiw:NTHI477_01513
ko:K06076	hiw:NTHI477_01515
ko:K02008	hiw:NTHI477_00490
ko:K02007	hiw:NTHI477_00491
ko:K16915	hiw:NTHI477_00492
ko:K07126	hiw:NTHI477_00495
ko:K09908	hiw:NTHI477_00498
ko:K02897	hiw:NTHI477_00500
ko:K01939	hiw:NTHI477_00506
ko:K00674	hiw:NTHI477_00507
ko:K03604	hiw:NTHI477_00508
ko:K01595	hiw:NTHI477_00509
ko:K06918	hiw:NTHI477_00510
ko:K19226	hiw:NTHI477_00511
ko:K00088	hiw:NTHI477_01261
ko:K01951	hiw:NTHI477_01262
ko:K05786	hiw:NTHI477_01263
ko:K03719	hiw:NTHI477_01264
ko:K03313	hiw:NTHI477_01265
ko:K03311	hiw:NTHI477_01266
ko:K00962	hiw:NTHI477_01269
ko:K05803	hiw:NTHI477_01270
ko:K05592	hiw:NTHI477_01271
ko:K18691	hiw:NTHI477_01272
ko:K09890	hiw:NTHI477_01275
ko:K00537	hiw:NTHI477_01276
ko:K03548	hiw:NTHI477_01277
ko:K03074	hiw:NTHI477_01278
ko:K03072	hiw:NTHI477_01279
ko:K03210	hiw:NTHI477_01280
ko:K00773	hiw:NTHI477_01283
ko:K07568	hiw:NTHI477_01284
ko:K01347	hiw:NTHI477_01286
ko:K03701	hiw:NTHI477_01287
ko:K03111	hiw:NTHI477_01288
ko:K03832	hiw:NTHI477_01289
ko:K03559	hiw:NTHI477_01290
ko:K03561	hiw:NTHI477_01291
ko:K03564	hiw:NTHI477_01292
ko:K01714	hiw:NTHI477_01293
ko:K07287	hiw:NTHI477_01294
ko:K05809	hiw:NTHI477_01295
ko:K02428	hiw:NTHI477_01299
ko:K11211	hiw:NTHI477_01300
ko:K12982	hiw:NTHI477_01301
ko:K16087	hiw:NTHI477_01302
ko:K01633	hiw:NTHI477_01305
ko:K08591	hiw:NTHI477_01306
ko:K07674	hiw:NTHI477_01307
ko:K00075	hiw:NTHI477_01308
ko:K03089	hiw:NTHI477_01310
ko:K03536	hiw:NTHI477_00711
ko:K02914	hiw:NTHI477_00712
ko:K16087	hiw:NTHI477_00715
ko:K02313	hiw:NTHI477_00716
ko:K02338	hiw:NTHI477_00717
ko:K03629	hiw:NTHI477_00718
ko:K01347	hiw:NTHI477_00719
ko:K01704	hiw:NTHI477_00720
ko:K01703	hiw:NTHI477_00721
ko:K00052	hiw:NTHI477_00722
ko:K01649	hiw:NTHI477_00723
ko:K04096	hiw:NTHI477_00724
ko:K09861	hiw:NTHI477_00725
ko:K00850	hiw:NTHI477_00727
ko:K03664	hiw:NTHI477_00728
ko:K03557	hiw:NTHI477_00729
ko:K05540	hiw:NTHI477_00730
ko:K02687	hiw:NTHI477_00731
ko:K04095	hiw:NTHI477_00732
ko:K14392	hiw:NTHI477_00734
ko:K01961	hiw:NTHI477_00736
ko:K02160	hiw:NTHI477_00737
ko:K03786	hiw:NTHI477_00738
ko:K02549	hiw:NTHI477_00739
ko:K01661	hiw:NTHI477_00740
ko:K02968	hiw:NTHI477_00742
ko:K03980	hiw:NTHI477_00743
ko:K11753	hiw:NTHI477_00744
ko:K01870	hiw:NTHI477_00745
ko:K02503	hiw:NTHI477_00746
ko:K01207	hiw:NTHI477_00748
ko:K03212	hiw:NTHI477_00749
ko:K10914	hiw:NTHI477_00750
ko:K09898	hiw:NTHI477_00751
ko:K05501	hiw:NTHI477_00752
ko:K13038	hiw:NTHI477_00754
ko:K03630	hiw:NTHI477_00755
ko:K02902	hiw:NTHI477_00756
ko:K02913	hiw:NTHI477_00757
ko:K00836	hiw:NTHI477_00758
ko:K18829	hiw:NTHI477_00759
ko:K02339	hiw:NTHI477_00261
ko:K09900	hiw:NTHI477_00264
ko:K01873	hiw:NTHI477_00266
ko:K04653	hiw:NTHI477_00267
ko:K13498	hiw:NTHI477_00268
ko:K00766	hiw:NTHI477_00269
ko:K01658	hiw:NTHI477_00271
ko:K01657	hiw:NTHI477_00272
ko:K02217	hiw:NTHI477_00274
ko:K02217	hiw:NTHI477_00275
ko:K02040	hiw:NTHI477_00276
ko:K02037	hiw:NTHI477_00277
ko:K02038	hiw:NTHI477_00278
ko:K02036	hiw:NTHI477_00279
ko:K07657	hiw:NTHI477_00280
ko:K07636	hiw:NTHI477_00281
ko:K01141	hiw:NTHI477_00282
ko:K03632	hiw:NTHI477_00285
ko:K03804	hiw:NTHI477_00286
ko:K03633	hiw:NTHI477_00289
ko:K14058	hiw:NTHI477_00290
ko:K11179	hiw:NTHI477_00291
ko:K07263	hiw:NTHI477_00294
ko:K01868	hiw:NTHI477_00295
ko:K01118	hiw:NTHI477_00296
ko:K03168	hiw:NTHI477_00297
ko:K00325	hiw:NTHI477_00299
ko:K00324	hiw:NTHI477_00300
ko:K00688	hiw:NTHI477_00301
ko:K00703	hiw:NTHI477_00302
ko:K00975	hiw:NTHI477_00303
ko:K00700	hiw:NTHI477_00305
ko:K00705	hiw:NTHI477_00306
ko:K09160	hiw:NTHI477_00307
ko:K00783	hiw:NTHI477_01061
ko:K09710	hiw:NTHI477_01062
ko:K07085	hiw:NTHI477_01063
ko:K02471	hiw:NTHI477_01064
ko:K03569	hiw:NTHI477_01065
ko:K03570	hiw:NTHI477_01066
ko:K03571	hiw:NTHI477_01067
ko:K01142	hiw:NTHI477_01069
ko:K06177	hiw:NTHI477_01070
ko:K08990	hiw:NTHI477_01071
ko:K07109	hiw:NTHI477_01074
ko:K06193	hiw:NTHI477_01075
ko:K01625	hiw:NTHI477_01076
ko:K00874	hiw:NTHI477_01078
ko:K13637	hiw:NTHI477_01083
ko:K01686	hiw:NTHI477_01084
ko:K03703	hiw:NTHI477_01086
ko:K00979	hiw:NTHI477_01087
ko:K00912	hiw:NTHI477_01088
ko:K11085	hiw:NTHI477_01089
ko:K02238	hiw:NTHI477_01090
ko:K06204	hiw:NTHI477_01091
ko:K00970	hiw:NTHI477_01092
ko:K00950	hiw:NTHI477_01093
ko:K06925	hiw:NTHI477_01094
ko:K01448	hiw:NTHI477_01095
ko:K03572	hiw:NTHI477_01096
ko:K00791	hiw:NTHI477_01097
ko:K00982	hiw:NTHI477_01098
ko:K03631	hiw:NTHI477_01099
ko:K00858	hiw:NTHI477_01100
ko:K03687	hiw:NTHI477_01101
ko:K10805	hiw:NTHI477_01105
ko:K01883	hiw:NTHI477_01106
ko:K03768	hiw:NTHI477_01107
ko:K03424	hiw:NTHI477_01109
ko:K04754	hiw:NTHI477_01816
ko:K09022	hiw:NTHI477_01817
ko:K03799	hiw:NTHI477_01818
ko:K04085	hiw:NTHI477_01819
ko:K03498	hiw:NTHI477_01821
ko:K19227	hiw:NTHI477_00512
ko:K19228	hiw:NTHI477_00513
ko:K19229	hiw:NTHI477_00514
ko:K19230	hiw:NTHI477_00515
ko:K06173	hiw:NTHI477_00517
ko:K03841	hiw:NTHI477_00518
ko:K00945	hiw:NTHI477_00519
ko:K03303	hiw:NTHI477_00520
ko:K16087	hiw:NTHI477_00521
ko:K01243	hiw:NTHI477_00522
ko:K03673	hiw:NTHI477_00523
ko:K07462	hiw:NTHI477_00524
ko:K03981	hiw:NTHI477_00525
ko:K02836	hiw:NTHI477_00526
ko:K04567	hiw:NTHI477_00527
ko:K00024	hiw:NTHI477_00528
ko:K03402	hiw:NTHI477_00529
ko:K07071	hiw:NTHI477_00530
ko:K00764	hiw:NTHI477_00531
ko:K03558	hiw:NTHI477_00532
ko:K09899	hiw:NTHI477_00533
ko:K00925	hiw:NTHI477_00534
ko:K13788	hiw:NTHI477_00535
ko:K07320	hiw:NTHI477_00537
ko:K13634	hiw:NTHI477_00538
ko:K06178	hiw:NTHI477_00539
ko:K01902	hiw:NTHI477_00541
ko:K01903	hiw:NTHI477_00542
ko:K06968	hiw:NTHI477_00543
ko:K03566	hiw:NTHI477_00544
ko:K00826	hiw:NTHI477_00545
ko:K06920	hiw:NTHI477_00547
ko:K01737	hiw:NTHI477_00548
ko:K03657	hiw:NTHI477_00550
ko:K12369	hiw:NTHI477_00551
ko:K12370	hiw:NTHI477_00552
ko:K12371	hiw:NTHI477_00553
ko:K12372	hiw:NTHI477_00554
ko:K03271	hiw:NTHI477_00556
ko:K10000	hiw:NTHI477_00557
ko:K09997	hiw:NTHI477_00558
ko:K09999	hiw:NTHI477_00559
ko:K05541	hiw:NTHI477_01311
ko:K05801	hiw:NTHI477_01312
ko:K00762	hiw:NTHI477_01313
ko:K00989	hiw:NTHI477_01314
ko:K01885	hiw:NTHI477_01316
ko:K07058	hiw:NTHI477_01322
ko:K09858	hiw:NTHI477_01323
ko:K00757	hiw:NTHI477_01325
ko:K08680	hiw:NTHI477_01327
ko:K02551	hiw:NTHI477_01328
ko:K02552	hiw:NTHI477_01329
ko:K14260	hiw:NTHI477_01330
ko:K03835	hiw:NTHI477_01331
ko:K01752	hiw:NTHI477_01332
ko:K03837	hiw:NTHI477_01333
ko:K17686	hiw:NTHI477_01334
ko:K07213	hiw:NTHI477_01335
ko:K07213	hiw:NTHI477_01336
ko:K07213	hiw:NTHI477_01337
ko:K07213	hiw:NTHI477_01338
ko:K03764	hiw:NTHI477_01340
ko:K03628	hiw:NTHI477_01341
ko:K02506	hiw:NTHI477_01342
ko:K02505	hiw:NTHI477_01343
ko:K02504	hiw:NTHI477_01344
ko:K02682	hiw:NTHI477_01345
ko:K03806	hiw:NTHI477_01346
ko:K06189	hiw:NTHI477_01347
ko:K03820	hiw:NTHI477_01348
ko:K09761	hiw:NTHI477_01349
ko:K07735	hiw:NTHI477_01350
ko:K07447	hiw:NTHI477_01351
ko:K03554	hiw:NTHI477_01352
ko:K00286	hiw:NTHI477_01353
ko:K05820	hiw:NTHI477_01354
ko:K04763	hiw:NTHI477_01355
ko:K03551	hiw:NTHI477_01357
ko:K03550	hiw:NTHI477_01358
ko:K01159	hiw:NTHI477_01359
ko:K01886	hiw:NTHI477_00308
ko:K08301	hiw:NTHI477_00309
ko:K11928	hiw:NTHI477_00310
ko:K15257	hiw:NTHI477_00311
ko:K01489	hiw:NTHI477_00312
ko:K04047	hiw:NTHI477_00313
ko:K11072	hiw:NTHI477_00316
ko:K11071	hiw:NTHI477_00317
ko:K11070	hiw:NTHI477_00318
ko:K11069	hiw:NTHI477_00319
ko:K15738	hiw:NTHI477_00320
ko:K01129	hiw:NTHI477_00321
ko:K06518	hiw:NTHI477_00323
ko:K01766	hiw:NTHI477_00325
ko:K02426	hiw:NTHI477_00326
ko:K06879	hiw:NTHI477_00328
ko:K14187	hiw:NTHI477_00329
ko:K03177	hiw:NTHI477_00330
ko:K02834	hiw:NTHI477_00331
ko:K03427	hiw:NTHI477_00332
ko:K01154	hiw:NTHI477_00333
ko:K01153	hiw:NTHI477_00335
ko:K02519	hiw:NTHI477_00336
ko:K02600	hiw:NTHI477_00337
ko:K09748	hiw:NTHI477_00338
ko:K03671	hiw:NTHI477_01110
ko:K03778	hiw:NTHI477_01111
ko:K01739	hiw:NTHI477_01112
ko:K01733	hiw:NTHI477_01117
ko:K00872	hiw:NTHI477_01118
ko:K12524	hiw:NTHI477_01119
ko:K06997	hiw:NTHI477_01120
ko:K02012	hiw:NTHI477_01122
ko:K02011	hiw:NTHI477_01123
ko:K02010	hiw:NTHI477_01124
ko:K01439	hiw:NTHI477_01126
ko:K04079	hiw:NTHI477_01128
ko:K03427	hiw:NTHI477_01130
ko:K03655	hiw:NTHI477_01131
ko:K01154	hiw:NTHI477_01132
ko:K01153	hiw:NTHI477_01133
ko:K03106	hiw:NTHI477_01134
ko:K01875	hiw:NTHI477_01138
ko:K00799	hiw:NTHI477_01139
ko:K16087	hiw:NTHI477_01140
ko:K12297	hiw:NTHI477_01148
ko:K08304	hiw:NTHI477_01150
ko:K09815	hiw:NTHI477_01152
ko:K02558	hiw:NTHI477_01154
ko:K01760	hiw:NTHI477_01155
ko:K03386	hiw:NTHI477_01156
ko:K00995	hiw:NTHI477_01157
ko:K01507	hiw:NTHI477_01161
ko:K09998	hiw:NTHI477_00560
ko:K02742	hiw:NTHI477_00563
ko:K00789	hiw:NTHI477_00564
ko:K01664	hiw:NTHI477_00565
ko:K01665	hiw:NTHI477_00566
ko:K02619	hiw:NTHI477_00567
ko:K09802	hiw:NTHI477_00568
ko:K00831	hiw:NTHI477_00569
ko:K00817	hiw:NTHI477_00570
ko:K07390	hiw:NTHI477_00571
ko:K03286	hiw:NTHI477_00572
ko:K01772	hiw:NTHI477_00577
ko:K05838	hiw:NTHI477_00578
ko:K00384	hiw:NTHI477_00579
ko:K16013	hiw:NTHI477_00580
ko:K16012	hiw:NTHI477_00581
ko:K06956	hiw:NTHI477_00583
ko:K00760	hiw:NTHI477_00584
ko:K03592	hiw:NTHI477_00585
ko:K09889	hiw:NTHI477_00586
ko:K11719	hiw:NTHI477_00587
ko:K09774	hiw:NTHI477_00588
ko:K06861	hiw:NTHI477_00589
ko:K02806	hiw:NTHI477_00590
ko:K06958	hiw:NTHI477_00591
ko:K14170	hiw:NTHI477_00592
ko:K02535	hiw:NTHI477_00593
ko:K03531	hiw:NTHI477_00594
ko:K03590	hiw:NTHI477_00595
ko:K03589	hiw:NTHI477_00596
ko:K01921	hiw:NTHI477_00597
ko:K01924	hiw:NTHI477_00598
ko:K02563	hiw:NTHI477_00599
ko:K03588	hiw:NTHI477_00600
ko:K01925	hiw:NTHI477_00601
ko:K01000	hiw:NTHI477_00602
ko:K01929	hiw:NTHI477_00603
ko:K01928	hiw:NTHI477_00604
ko:K03587	hiw:NTHI477_00605
ko:K03586	hiw:NTHI477_00606
ko:K03438	hiw:NTHI477_00607
ko:K03925	hiw:NTHI477_00608
ko:K08310	hiw:NTHI477_01361
ko:K01876	hiw:NTHI477_01362
ko:K15256	hiw:NTHI477_01364
ko:K18829	hiw:NTHI477_01365
ko:K18828	hiw:NTHI477_01366
ko:K01759	hiw:NTHI477_01367
ko:K03683	hiw:NTHI477_01368
ko:K07084	hiw:NTHI477_01369
ko:K04067	hiw:NTHI477_01370
ko:K02356	hiw:NTHI477_01372
ko:K03584	hiw:NTHI477_01376
ko:K03215	hiw:NTHI477_01377
ko:K00951	hiw:NTHI477_01378
ko:K00901	hiw:NTHI477_01379
ko:K03831	hiw:NTHI477_01380
ko:K04751	hiw:NTHI477_01381
ko:K04066	hiw:NTHI477_01383
ko:K03439	hiw:NTHI477_01384
ko:K09923	hiw:NTHI477_01385
ko:K02572	hiw:NTHI477_01386
ko:K02570	hiw:NTHI477_01387
ko:K02567	hiw:NTHI477_01388
ko:K02573	hiw:NTHI477_01389
ko:K02574	hiw:NTHI477_01390
ko:K02568	hiw:NTHI477_01391
ko:K02569	hiw:NTHI477_01392
ko:K00939	hiw:NTHI477_01393
ko:K08218	hiw:NTHI477_01394
ko:K01784	hiw:NTHI477_01395
ko:K15600	hiw:NTHI477_01397
ko:K15599	hiw:NTHI477_01398
ko:K15598	hiw:NTHI477_01399
ko:K03707	hiw:NTHI477_01400
ko:K11606	hiw:NTHI477_01401
ko:K11605	hiw:NTHI477_01402
ko:K11607	hiw:NTHI477_01403
ko:K11604	hiw:NTHI477_01404
ko:K07262	hiw:NTHI477_01406
ko:K06941	hiw:NTHI477_01407
ko:K02656	hiw:NTHI477_01408
ko:K15539	hiw:NTHI477_01409
ko:K10094	hiw:NTHI477_00493
ko:K07268	hiw:NTHI477_01374
ko:K14226	hiw:NTHI477_01146
ko:K03722	hiw:NTHI477_01501
ko:K07149	hiw:NTHI477_01631
ko:K19416	hiw:NTHI477_01072
ko:K01096	hiw:NTHI477_01242
ko:K00525	hiw:NTHI477_00444
ko:K14218	hiw:NTHI477_00986
ko:K14237	hiw:NTHI477_01317
ko:K14237	hiw:NTHI477_00084
ko:K01980	hiw:NTHI477_01142
ko:K01980	hiw:NTHI477_00985
ko:K14232	hiw:NTHI477_01004
ko:K01985	hiw:NTHI477_01141
ko:K14224	hiw:NTHI477_01143
ko:K14225	hiw:NTHI477_01726
ko:K14234	hiw:NTHI477_01727
ko:K01977	hiw:NTHI477_01021
ko:K01985	hiw:NTHI477_00002
ko:K01977	hiw:NTHI477_00988
ko:K14235	hiw:NTHI477_01014
ko:K14231	hiw:NTHI477_00946
ko:K14225	hiw:NTHI477_00022
ko:K14219	hiw:NTHI477_01147
ko:K14219	hiw:NTHI477_01003
ko:K14220	hiw:NTHI477_00945
ko:K14222	hiw:NTHI477_01114
ko:K14236	hiw:NTHI477_01725
ko:K15035	hiw:NTHI477_00340
ko:K19804	hiw:NTHI477_00429
ko:K07662	hiw:NTHI477_00867
ko:K19810	hiw:NTHI477_01373
ko:K21636	hiw:NTHI477_01104
ko:K11751	hiw:NTHI477_01238
ko:K16066	hiw:NTHI477_00212
ko:K20074	hiw:NTHI477_00153
ko:K14230	hiw:NTHI477_01149
ko:K14230	hiw:NTHI477_00339
ko:K14234	hiw:NTHI477_01724
ko:K01985	hiw:NTHI477_00984
ko:K01985	hiw:NTHI477_01017
ko:K01985	hiw:NTHI477_01711
ko:K01985	hiw:NTHI477_01256
ko:K01980	hiw:NTHI477_00001
ko:K01980	hiw:NTHI477_01018
ko:K01980	hiw:NTHI477_01710
ko:K01985	hiw:NTHI477_01016
ko:K01139	hiw:NTHI477_01025
ko:K14233	hiw:NTHI477_01073
ko:K14233	hiw:NTHI477_01371
ko:K14233	hiw:NTHI477_01296
ko:K14233	hiw:NTHI477_01742
ko:K14228	hiw:NTHI477_01115
ko:K14228	hiw:NTHI477_01159
ko:K14228	hiw:NTHI477_00219
ko:K14228	hiw:NTHI477_00503
ko:K14228	hiw:NTHI477_01559
ko:K14229	hiw:NTHI477_01116
ko:K14229	hiw:NTHI477_01160
ko:K14229	hiw:NTHI477_01494
ko:K14218	hiw:NTHI477_01019
ko:K14218	hiw:NTHI477_01824
ko:K14218	hiw:NTHI477_01315
ko:K14227	hiw:NTHI477_00987
ko:K14227	hiw:NTHI477_01020
ko:K14227	hiw:NTHI477_01823
ko:K14230	hiw:NTHI477_00504
ko:K14230	hiw:NTHI477_00787
ko:K14232	hiw:NTHI477_01145
ko:K14224	hiw:NTHI477_01709
ko:K14224	hiw:NTHI477_01258
ko:K14220	hiw:NTHI477_00404
ko:K14223	hiw:NTHI477_00501
ko:K14223	hiw:NTHI477_00502
ko:K14221	hiw:NTHI477_01015
ko:K14221	hiw:NTHI477_01168
ko:K14221	hiw:NTHI477_01169
ko:K14229	hiw:NTHI477_01493
ko:K14219	hiw:NTHI477_01740
ko:K14219	hiw:NTHI477_01741
ko:K00983	hiw:NTHI477_00380
ko:K14225	hiw:NTHI477_01158
ko:K14225	hiw:NTHI477_01113
ko:K14225	hiw:NTHI477_00023
ko:K07126	hiw:NTHI477_00090
ko:K02438	hiw:NTHI477_00304
ko:K14235	hiw:NTHI477_01455
ko:K01977	hiw:NTHI477_01144
ko:K01977	hiw:NTHI477_01259
ko:K14238	hiw:NTHI477_01803
ko:K14237	hiw:NTHI477_01318
ko:K14237	hiw:NTHI477_01320
ko:K14237	hiw:NTHI477_01319
ko:K01977	hiw:NTHI477_01708
ko:K01977	hiw:NTHI477_01822
ko:K21029	hiw:NTHI477_00190
ko:K00560	hiw:NTHI477_00806
ko:K00287	hiw:NTHI477_00811
ko:K02314	hiw:NTHI477_00082
ko:K00857	hiw:NTHI477_01638
ko:K02316	hiw:NTHI477_01641
ko:K03553	hiw:NTHI477_01706
ko:K03791	hiw:NTHI477_00247
ko:K06909	hiw:NTHI477_00251
ko:K09961	hiw:NTHI477_00252
ko:K06866	hiw:NTHI477_01045
ko:K00558	hiw:NTHI477_00288
ko:K06903	hiw:NTHI477_00352
ko:K01185	hiw:NTHI477_00371
ko:K06223	hiw:NTHI477_01241
ko:K10747	hiw:NTHI477_00555
ko:K04068	hiw:NTHI477_00582
ko:K09960	hiw:NTHI477_01445
ko:K09961	hiw:NTHI477_01447
ko:K06909	hiw:NTHI477_01448
ko:K01185	hiw:NTHI477_01453
ko:K07455	hiw:NTHI477_01481
ko:K00558	hiw:NTHI477_01489
ko:K01520	hiw:NTHI477_00753
ko:K02335	hiw:NTHI477_00848
ko:K00526	hiw:NTHI477_00445
ko:K07741	hiw:NTHI477_00222
ko:K07741	hiw:NTHI477_01477
ko:K07741	hiw:NTHI477_01482
ko:K21394	hiw:NTHI477_01080
ko:K21395	hiw:NTHI477_01081
ko:K21393	hiw:NTHI477_01079
ko:K13695	hiw:NTHI477_00144
ko:K21470	hiw:NTHI477_00451
ko:K01420	hiw:NTHI477_00217
ko:K07334	hiw:NTHI477_00401
ko:K10026	hiw:NTHI477_00549
ko:K19591	hiw:NTHI477_01339
ko:K22132	hiw:NTHI477_01151
ko:K22105	hiw:NTHI477_01680
ko:K03595	hiw:NTHI477_01041
ko:K18446	hiw:NTHI477_00063
ko:K22302	hiw:NTHI477_01468
