ko:K02345	ypq:DJ40_564
ko:K02852	ypq:DJ40_2245
ko:K02853	ypq:DJ40_2246
ko:K12582	ypq:DJ40_2247
ko:K16693	ypq:DJ40_2248
ko:K02805	ypq:DJ40_2249
ko:K16704	ypq:DJ40_2250
ko:K00973	ypq:DJ40_2251
ko:K02472	ypq:DJ40_2253
ko:K01791	ypq:DJ40_2254
ko:K05790	ypq:DJ40_2255
ko:K02851	ypq:DJ40_2256
ko:K03628	ypq:DJ40_2257
ko:K03671	ypq:DJ40_2258
ko:K03732	ypq:DJ40_2259
ko:K01524	ypq:DJ40_2260
ko:K11747	ypq:DJ40_2683
ko:K07070	ypq:DJ40_2684
ko:K03775	ypq:DJ40_2685
ko:K03745	ypq:DJ40_2686
ko:K03772	ypq:DJ40_2687
ko:K07235	ypq:DJ40_2689
ko:K07236	ypq:DJ40_2690
ko:K07237	ypq:DJ40_2691
ko:K02950	ypq:DJ40_2692
ko:K02992	ypq:DJ40_2693
ko:K02355	ypq:DJ40_2694
ko:K02358	ypq:DJ40_2695
ko:K02192	ypq:DJ40_2696
ko:K03594	ypq:DJ40_2697
ko:K02946	ypq:DJ40_2698
ko:K02906	ypq:DJ40_2699
ko:K01641	ypq:DJ40_746
ko:K00059	ypq:DJ40_747
ko:K00647	ypq:DJ40_748
ko:K02372	ypq:DJ40_749
ko:K11179	ypq:DJ40_759
ko:K01512	ypq:DJ40_760
ko:K06969	ypq:DJ40_761
ko:K11940	ypq:DJ40_762
ko:K06929	ypq:DJ40_763
ko:K09909	ypq:DJ40_764
ko:K01734	ypq:DJ40_765
ko:K03658	ypq:DJ40_766
ko:K07343	ypq:DJ40_769
ko:K13053	ypq:DJ40_770
ko:K03286	ypq:DJ40_771
ko:K09911	ypq:DJ40_772
ko:K04770	ypq:DJ40_773
ko:K01716	ypq:DJ40_774
ko:K09458	ypq:DJ40_776
ko:K09857	ypq:DJ40_777
ko:K06192	ypq:DJ40_778
ko:K03808	ypq:DJ40_779
ko:K15738	ypq:DJ40_780
ko:K12297	ypq:DJ40_781
ko:K07140	ypq:DJ40_782
ko:K00254	ypq:DJ40_784
ko:K01256	ypq:DJ40_785
ko:K00763	ypq:DJ40_786
ko:K01893	ypq:DJ40_787
ko:K09476	ypq:DJ40_788
ko:K02800	ypq:DJ40_2488
ko:K00009	ypq:DJ40_2489
ko:K02562	ypq:DJ40_2490
ko:K14762	ypq:DJ40_2492
ko:K04564	ypq:DJ40_2496
ko:K02379	ypq:DJ40_2497
ko:K00123	ypq:DJ40_2498
ko:K00123	ypq:DJ40_2499
ko:K00124	ypq:DJ40_2500
ko:K00127	ypq:DJ40_2501
ko:K02380	ypq:DJ40_2502
ko:K01042	ypq:DJ40_2503
ko:K03833	ypq:DJ40_2504
ko:K08160	ypq:DJ40_2508
ko:K00041	ypq:DJ40_2943
ko:K01685	ypq:DJ40_2944
ko:K07862	ypq:DJ40_2946
ko:K07043	ypq:DJ40_2948
ko:K00219	ypq:DJ40_2951
ko:K15125	ypq:DJ40_2960
ko:K15125	ypq:DJ40_2963
ko:K15125	ypq:DJ40_2971
ko:K02082	ypq:DJ40_3402
ko:K16371	ypq:DJ40_3403
ko:K01673	ypq:DJ40_3410
ko:K02452	ypq:DJ40_3412
ko:K02453	ypq:DJ40_3413
ko:K02454	ypq:DJ40_3414
ko:K02455	ypq:DJ40_3415
ko:K02456	ypq:DJ40_3416
ko:K02457	ypq:DJ40_3417
ko:K02458	ypq:DJ40_3418
ko:K02459	ypq:DJ40_3419
ko:K02460	ypq:DJ40_3420
ko:K02461	ypq:DJ40_3421
ko:K02465	ypq:DJ40_3423
ko:K07396	ypq:DJ40_3427
ko:K07308	ypq:DJ40_3852
ko:K07307	ypq:DJ40_3853
ko:K07306	ypq:DJ40_3854
ko:K06887	ypq:DJ40_3856
ko:K02010	ypq:DJ40_3859
ko:K02011	ypq:DJ40_3860
ko:K02012	ypq:DJ40_3861
ko:K08305	ypq:DJ40_3862
ko:K11902	ypq:DJ40_3869
ko:K11895	ypq:DJ40_3870
ko:K11896	ypq:DJ40_3871
ko:K11907	ypq:DJ40_3872
ko:K07345	ypq:DJ40_3873
ko:K02926	ypq:DJ40_2700
ko:K02892	ypq:DJ40_2701
ko:K02886	ypq:DJ40_2702
ko:K02965	ypq:DJ40_2703
ko:K02890	ypq:DJ40_2704
ko:K02982	ypq:DJ40_2705
ko:K02878	ypq:DJ40_2706
ko:K02904	ypq:DJ40_2707
ko:K02961	ypq:DJ40_2708
ko:K02874	ypq:DJ40_2709
ko:K02895	ypq:DJ40_2710
ko:K02931	ypq:DJ40_2711
ko:K06147	ypq:DJ40_3150
ko:K06147	ypq:DJ40_3151
ko:K16321	ypq:DJ40_3155
ko:K11904	ypq:DJ40_3158
ko:K14445	ypq:DJ40_3166
ko:K02529	ypq:DJ40_3167
ko:K02014	ypq:DJ40_3170
ko:K03897	ypq:DJ40_3171
ko:K15460	ypq:DJ40_3593
ko:K00278	ypq:DJ40_3594
ko:K03088	ypq:DJ40_3595
ko:K03597	ypq:DJ40_3596
ko:K03598	ypq:DJ40_3597
ko:K03803	ypq:DJ40_3598
ko:K03596	ypq:DJ40_3600
ko:K03100	ypq:DJ40_3601
ko:K03685	ypq:DJ40_3602
ko:K03584	ypq:DJ40_3604
ko:K03474	ypq:DJ40_3605
ko:K00997	ypq:DJ40_3606
ko:K11105	ypq:DJ40_4046
ko:K03669	ypq:DJ40_4050
ko:K03305	ypq:DJ40_4052
ko:K02517	ypq:DJ40_4053
ko:K07146	ypq:DJ40_4055
ko:K11744	ypq:DJ40_4056
ko:K02846	ypq:DJ40_4058
ko:K12148	ypq:DJ40_4059
ko:K12149	ypq:DJ40_4060
ko:K01465	ypq:DJ40_4061
ko:K08300	ypq:DJ40_4063
ko:K06179	ypq:DJ40_4064
ko:K07040	ypq:DJ40_4066
ko:K02911	ypq:DJ40_4067
ko:K03621	ypq:DJ40_4068
ko:K00648	ypq:DJ40_4069
ko:K00645	ypq:DJ40_4070
ko:K07491	ypq:DJ40_789
ko:K07491	ypq:DJ40_790
ko:K00813	ypq:DJ40_791
ko:K03632	ypq:DJ40_795
ko:K03804	ypq:DJ40_796
ko:K03633	ypq:DJ40_797
ko:K06219	ypq:DJ40_798
ko:K03695	ypq:DJ40_1520
ko:K05810	ypq:DJ40_1521
ko:K06180	ypq:DJ40_1522
ko:K05807	ypq:DJ40_1523
ko:K05809	ypq:DJ40_1524
ko:K14170	ypq:DJ40_1525
ko:K14187	ypq:DJ40_1526
ko:K01626	ypq:DJ40_1527
ko:K02477	ypq:DJ40_1528
ko:K07792	ypq:DJ40_1529
ko:K07283	ypq:DJ40_1530
ko:K02884	ypq:DJ40_1531
ko:K00554	ypq:DJ40_1532
ko:K02860	ypq:DJ40_1533
ko:K02959	ypq:DJ40_1534
ko:K03106	ypq:DJ40_1535
ko:K07173	ypq:DJ40_1538
ko:K01919	ypq:DJ40_1539
ko:K13771	ypq:DJ40_1972
ko:K01939	ypq:DJ40_1973
ko:K09937	ypq:DJ40_1974
ko:K04087	ypq:DJ40_1975
ko:K04088	ypq:DJ40_1976
ko:K03665	ypq:DJ40_1977
ko:K03666	ypq:DJ40_1978
ko:K00791	ypq:DJ40_1979
ko:K03572	ypq:DJ40_1980
ko:K01448	ypq:DJ40_1981
ko:K06925	ypq:DJ40_1982
ko:K17758	ypq:DJ40_1983
ko:K17759	ypq:DJ40_1983
ko:K13288	ypq:DJ40_1989
ko:K06949	ypq:DJ40_1990
ko:K01613	ypq:DJ40_1991
ko:K04568	ypq:DJ40_1993
ko:K00244	ypq:DJ40_1994
ko:K00245	ypq:DJ40_1995
ko:K00246	ypq:DJ40_1996
ko:K00247	ypq:DJ40_1997
ko:K02356	ypq:DJ40_1999
ko:K02108	ypq:DJ40_2430
ko:K02110	ypq:DJ40_2431
ko:K02109	ypq:DJ40_2432
ko:K02113	ypq:DJ40_2433
ko:K02111	ypq:DJ40_2434
ko:K02115	ypq:DJ40_2435
ko:K02112	ypq:DJ40_2436
ko:K02114	ypq:DJ40_2437
ko:K04042	ypq:DJ40_2438
ko:K00820	ypq:DJ40_2439
ko:K02040	ypq:DJ40_2441
ko:K02037	ypq:DJ40_2442
ko:K02038	ypq:DJ40_2443
ko:K02036	ypq:DJ40_2444
ko:K02039	ypq:DJ40_2445
ko:K02030	ypq:DJ40_2447
ko:K02029	ypq:DJ40_2448
ko:K02029	ypq:DJ40_2449
ko:K06901	ypq:DJ40_2451
ko:K00209	ypq:DJ40_2454
ko:K03650	ypq:DJ40_2455
ko:K03217	ypq:DJ40_2456
ko:K08998	ypq:DJ40_2457
ko:K03536	ypq:DJ40_2458
ko:K00610	ypq:DJ40_2886
ko:K00609	ypq:DJ40_2887
ko:K08485	ypq:DJ40_2888
ko:K06958	ypq:DJ40_2889
ko:K02806	ypq:DJ40_2890
ko:K05808	ypq:DJ40_2891
ko:K03092	ypq:DJ40_2892
ko:K06861	ypq:DJ40_2893
ko:K09774	ypq:DJ40_2894
ko:K11719	ypq:DJ40_2895
ko:K06041	ypq:DJ40_2897
ko:K07301	ypq:DJ40_2898
ko:K02065	ypq:DJ40_2899
ko:K02066	ypq:DJ40_2900
ko:K02067	ypq:DJ40_2901
ko:K07323	ypq:DJ40_2902
ko:K07122	ypq:DJ40_2903
ko:K00790	ypq:DJ40_2905
ko:K04691	ypq:DJ40_2906
ko:K09908	ypq:DJ40_2908
ko:K06916	ypq:DJ40_2910
ko:K02871	ypq:DJ40_2911
ko:K02996	ypq:DJ40_2912
ko:K03599	ypq:DJ40_2913
ko:K03600	ypq:DJ40_2914
ko:K00266	ypq:DJ40_2916
ko:K04567	ypq:DJ40_3347
ko:K13651	ypq:DJ40_3353
ko:K13655	ypq:DJ40_3354
ko:K07733	ypq:DJ40_3357
ko:K17205	ypq:DJ40_3373
ko:K17206	ypq:DJ40_3374
ko:K09768	ypq:DJ40_3786
ko:K00228	ypq:DJ40_3787
ko:K07223	ypq:DJ40_3793
ko:K01639	ypq:DJ40_3794
ko:K01788	ypq:DJ40_3795
ko:K00885	ypq:DJ40_3797
ko:K03290	ypq:DJ40_3800
ko:K02048	ypq:DJ40_3801
ko:K02046	ypq:DJ40_3802
ko:K02047	ypq:DJ40_3803
ko:K02045	ypq:DJ40_3804
ko:K12339	ypq:DJ40_3805
ko:K07114	ypq:DJ40_3808
ko:K14155	ypq:DJ40_3809
ko:K03307	ypq:DJ40_3812
ko:K05685	ypq:DJ40_3814
ko:K13888	ypq:DJ40_3815
ko:K05595	ypq:DJ40_4241
ko:K01868	ypq:DJ40_4244
ko:K02520	ypq:DJ40_4245
ko:K02916	ypq:DJ40_4246
ko:K02887	ypq:DJ40_4247
ko:K01889	ypq:DJ40_4248
ko:K01890	ypq:DJ40_4249
ko:K04764	ypq:DJ40_4250
ko:K06073	ypq:DJ40_4252
ko:K00432	ypq:DJ40_4253
ko:K06074	ypq:DJ40_4254
ko:K04487	ypq:DJ40_239
ko:K09160	ypq:DJ40_241
ko:K08305	ypq:DJ40_243
ko:K09902	ypq:DJ40_244
ko:K03609	ypq:DJ40_247
ko:K03608	ypq:DJ40_248
ko:K03684	ypq:DJ40_249
ko:K01897	ypq:DJ40_250
ko:K07285	ypq:DJ40_251
ko:K11742	ypq:DJ40_255
ko:K11743	ypq:DJ40_256
ko:K01625	ypq:DJ40_257
ko:K00036	ypq:DJ40_259
ko:K00873	ypq:DJ40_261
ko:K02560	ypq:DJ40_262
ko:K09815	ypq:DJ40_264
ko:K09817	ypq:DJ40_265
ko:K09816	ypq:DJ40_266
ko:K03551	ypq:DJ40_267
ko:K03550	ypq:DJ40_268
ko:K01159	ypq:DJ40_269
ko:K08310	ypq:DJ40_271
ko:K01876	ypq:DJ40_272
ko:K07136	ypq:DJ40_274
ko:K15256	ypq:DJ40_275
ko:K15257	ypq:DJ40_276
ko:K06201	ypq:DJ40_277
ko:K09907	ypq:DJ40_278
ko:K01887	ypq:DJ40_279
ko:K11017	ypq:DJ40_282
ko:K03980	ypq:DJ40_283
ko:K03790	ypq:DJ40_286
ko:K08162	ypq:DJ40_287
ko:K04477	ypq:DJ40_290
ko:K07733	ypq:DJ40_1133
ko:K03839	ypq:DJ40_1141
ko:K03711	ypq:DJ40_1142
ko:K12373	ypq:DJ40_1143
ko:K01886	ypq:DJ40_1145
ko:K07491	ypq:DJ40_1146
ko:K02802	ypq:DJ40_1147
ko:K02803	ypq:DJ40_1147
ko:K02804	ypq:DJ40_1147
ko:K02564	ypq:DJ40_1148
ko:K01443	ypq:DJ40_1149
ko:K02565	ypq:DJ40_1150
ko:K02566	ypq:DJ40_1151
ko:K01953	ypq:DJ40_1152
ko:K03184	ypq:DJ40_1159
ko:K06168	ypq:DJ40_1160
ko:K07042	ypq:DJ40_1162
ko:K06189	ypq:DJ40_1163
ko:K03820	ypq:DJ40_1164
ko:K10001	ypq:DJ40_1165
ko:K10003	ypq:DJ40_1166
ko:K10002	ypq:DJ40_1167
ko:K10004	ypq:DJ40_1168
ko:K01869	ypq:DJ40_1170
ko:K03643	ypq:DJ40_1171
ko:K02340	ypq:DJ40_1172
ko:K00969	ypq:DJ40_1173
ko:K09710	ypq:DJ40_1174
ko:K00783	ypq:DJ40_1175
ko:K05515	ypq:DJ40_1176
ko:K05837	ypq:DJ40_1177
ko:K03642	ypq:DJ40_1178
ko:K03580	ypq:DJ40_1711
ko:K11891	ypq:DJ40_1713
ko:K11892	ypq:DJ40_1714
ko:K11893	ypq:DJ40_1715
ko:K11906	ypq:DJ40_1716
ko:K11904	ypq:DJ40_1721
ko:K11907	ypq:DJ40_1722
ko:K11895	ypq:DJ40_1723
ko:K11896	ypq:DJ40_1724
ko:K11897	ypq:DJ40_1725
ko:K11903	ypq:DJ40_1726
ko:K11900	ypq:DJ40_1727
ko:K11901	ypq:DJ40_1728
ko:K11902	ypq:DJ40_1729
ko:K06177	ypq:DJ40_1731
ko:K05801	ypq:DJ40_1732
ko:K04744	ypq:DJ40_1733
ko:K03771	ypq:DJ40_1734
ko:K00097	ypq:DJ40_1735
ko:K02528	ypq:DJ40_1736
ko:K06195	ypq:DJ40_1737
ko:K01525	ypq:DJ40_1738
ko:K03576	ypq:DJ40_2175
ko:K07088	ypq:DJ40_2176
ko:K01126	ypq:DJ40_2177
ko:K05816	ypq:DJ40_2178
ko:K05816	ypq:DJ40_2179
ko:K05815	ypq:DJ40_2180
ko:K05814	ypq:DJ40_2181
ko:K05813	ypq:DJ40_2182
ko:K01996	ypq:DJ40_2190
ko:K01995	ypq:DJ40_2191
ko:K01998	ypq:DJ40_2192
ko:K01997	ypq:DJ40_2193
ko:K01999	ypq:DJ40_2194
ko:K03089	ypq:DJ40_2196
ko:K09811	ypq:DJ40_2197
ko:K09812	ypq:DJ40_2198
ko:K03110	ypq:DJ40_2199
ko:K08993	ypq:DJ40_2201
ko:K07490	ypq:DJ40_2626
ko:K04759	ypq:DJ40_2627
ko:K04758	ypq:DJ40_2628
ko:K06959	ypq:DJ40_2629
ko:K04760	ypq:DJ40_2630
ko:K07659	ypq:DJ40_2631
ko:K07638	ypq:DJ40_2632
ko:K01610	ypq:DJ40_2633
ko:K04083	ypq:DJ40_2634
ko:K04762	ypq:DJ40_2635
ko:K08312	ypq:DJ40_2639
ko:K05366	ypq:DJ40_2640
ko:K12288	ypq:DJ40_2641
ko:K12289	ypq:DJ40_2642
ko:K12290	ypq:DJ40_2643
ko:K07806	ypq:DJ40_4255
ko:K10012	ypq:DJ40_4256
ko:K10011	ypq:DJ40_4257
ko:K13014	ypq:DJ40_4258
ko:K07264	ypq:DJ40_4259
ko:K12962	ypq:DJ40_4260
ko:K03800	ypq:DJ40_4263
ko:K08997	ypq:DJ40_4264
ko:K01626	ypq:DJ40_4265
ko:K09773	ypq:DJ40_4266
ko:K12291	ypq:DJ40_2644
ko:K02507	ypq:DJ40_2645
ko:K00891	ypq:DJ40_2646
ko:K01735	ypq:DJ40_2647
ko:K03112	ypq:DJ40_2648
ko:K01783	ypq:DJ40_2650
ko:K01091	ypq:DJ40_2651
ko:K01867	ypq:DJ40_2652
ko:K02302	ypq:DJ40_2653
ko:K02399	ypq:DJ40_3087
ko:K02398	ypq:DJ40_3088
ko:K02386	ypq:DJ40_3089
ko:K02387	ypq:DJ40_3090
ko:K02388	ypq:DJ40_3091
ko:K02389	ypq:DJ40_3092
ko:K02390	ypq:DJ40_3093
ko:K02391	ypq:DJ40_3094
ko:K02392	ypq:DJ40_3095
ko:K02393	ypq:DJ40_3096
ko:K02394	ypq:DJ40_3097
ko:K02395	ypq:DJ40_3098
ko:K02396	ypq:DJ40_3099
ko:K02397	ypq:DJ40_3100
ko:K02406	ypq:DJ40_3104
ko:K02414	ypq:DJ40_3105
ko:K02415	ypq:DJ40_3106
ko:K02405	ypq:DJ40_3107
ko:K02556	ypq:DJ40_3108
ko:K02557	ypq:DJ40_3109
ko:K06077	ypq:DJ40_3113
ko:K03469	ypq:DJ40_3522
ko:K03704	ypq:DJ40_3538
ko:K02035	ypq:DJ40_3539
ko:K02033	ypq:DJ40_3540
ko:K02034	ypq:DJ40_3541
ko:K01430	ypq:DJ40_3545
ko:K01429	ypq:DJ40_3546
ko:K01428	ypq:DJ40_3547
ko:K03187	ypq:DJ40_3548
ko:K03188	ypq:DJ40_3549
ko:K03189	ypq:DJ40_3550
ko:K03190	ypq:DJ40_3551
ko:K08717	ypq:DJ40_3552
ko:K07241	ypq:DJ40_3553
ko:K10716	ypq:DJ40_3555
ko:K06199	ypq:DJ40_3556
ko:K06199	ypq:DJ40_3557
ko:K02760	ypq:DJ40_3558
ko:K02761	ypq:DJ40_3559
ko:K02759	ypq:DJ40_3560
ko:K03490	ypq:DJ40_3561
ko:K03478	ypq:DJ40_3562
ko:K02549	ypq:DJ40_3986
ko:K01911	ypq:DJ40_3987
ko:K06970	ypq:DJ40_3990
ko:K03406	ypq:DJ40_3991
ko:K10038	ypq:DJ40_3992
ko:K10037	ypq:DJ40_3993
ko:K10036	ypq:DJ40_3994
ko:K04047	ypq:DJ40_3996
ko:K00598	ypq:DJ40_3997
ko:K11939	ypq:DJ40_3999
ko:K11934	ypq:DJ40_4000
ko:K00008	ypq:DJ40_4004
ko:K10439	ypq:DJ40_4005
ko:K10441	ypq:DJ40_4006
ko:K10440	ypq:DJ40_4007
ko:K02529	ypq:DJ40_4008
ko:K16135	ypq:DJ40_4009
ko:K07246	ypq:DJ40_4010
ko:K03451	ypq:DJ40_4011
ko:K14347	ypq:DJ40_125
ko:K02099	ypq:DJ40_127
ko:K10538	ypq:DJ40_128
ko:K10539	ypq:DJ40_129
ko:K10537	ypq:DJ40_130
ko:K00853	ypq:DJ40_131
ko:K01804	ypq:DJ40_132
ko:K12531	ypq:DJ40_133
ko:K12532	ypq:DJ40_134
ko:K12530	ypq:DJ40_135
ko:K03617	ypq:DJ40_137
ko:K03616	ypq:DJ40_138
ko:K03615	ypq:DJ40_139
ko:K03614	ypq:DJ40_141
ko:K03612	ypq:DJ40_142
ko:K03613	ypq:DJ40_143
ko:K10773	ypq:DJ40_144
ko:K01147	ypq:DJ40_147
ko:K06200	ypq:DJ40_148
ko:K08313	ypq:DJ40_150
ko:K04062	ypq:DJ40_153
ko:K03113	ypq:DJ40_154
ko:K01591	ypq:DJ40_155
ko:K08992	ypq:DJ40_158
ko:K01497	ypq:DJ40_160
ko:K01681	ypq:DJ40_161
ko:K13634	ypq:DJ40_163
ko:K03168	ypq:DJ40_164
ko:K04774	ypq:DJ40_167
ko:K06178	ypq:DJ40_170
ko:K07053	ypq:DJ40_172
ko:K01657	ypq:DJ40_173
ko:K01658	ypq:DJ40_174
ko:K00766	ypq:DJ40_175
ko:K13498	ypq:DJ40_176
ko:K01696	ypq:DJ40_177
ko:K05873	ypq:DJ40_1019
ko:K03777	ypq:DJ40_1020
ko:K07262	ypq:DJ40_1021
ko:K05541	ypq:DJ40_1023
ko:K11927	ypq:DJ40_1027
ko:K01993	ypq:DJ40_1029
ko:K07709	ypq:DJ40_1037
ko:K07803	ypq:DJ40_1038
ko:K11537	ypq:DJ40_1039
ko:K03815	ypq:DJ40_1040
ko:K02168	ypq:DJ40_1043
ko:K02167	ypq:DJ40_1044
ko:K06890	ypq:DJ40_1047
ko:K03635	ypq:DJ40_1048
ko:K03636	ypq:DJ40_1049
ko:K03637	ypq:DJ40_1050
ko:K03639	ypq:DJ40_1051
ko:K03702	ypq:DJ40_1055
ko:K01935	ypq:DJ40_1057
ko:K02169	ypq:DJ40_1058
ko:K00652	ypq:DJ40_1059
ko:K01012	ypq:DJ40_1060
ko:K00833	ypq:DJ40_1061
ko:K07404	ypq:DJ40_1062
ko:K02017	ypq:DJ40_1064
ko:K02018	ypq:DJ40_1065
ko:K02020	ypq:DJ40_1066
ko:K02019	ypq:DJ40_1068
ko:K00382	ypq:DJ40_1657
ko:K00627	ypq:DJ40_1658
ko:K00163	ypq:DJ40_1659
ko:K11734	ypq:DJ40_1661
ko:K03806	ypq:DJ40_1663
ko:K00767	ypq:DJ40_1664
ko:K02682	ypq:DJ40_1665
ko:K02504	ypq:DJ40_1666
ko:K02505	ypq:DJ40_1667
ko:K00364	ypq:DJ40_1668
ko:K00859	ypq:DJ40_1669
ko:K09862	ypq:DJ40_1671
ko:K03574	ypq:DJ40_1672
ko:K03070	ypq:DJ40_1673
ko:K13301	ypq:DJ40_1674
ko:K02535	ypq:DJ40_1676
ko:K03531	ypq:DJ40_1677
ko:K03590	ypq:DJ40_1678
ko:K03589	ypq:DJ40_1679
ko:K01921	ypq:DJ40_1680
ko:K01924	ypq:DJ40_1681
ko:K02563	ypq:DJ40_1682
ko:K03588	ypq:DJ40_1683
ko:K05982	ypq:DJ40_2116
ko:K01599	ypq:DJ40_2117
ko:K03426	ypq:DJ40_2119
ko:K07740	ypq:DJ40_2120
ko:K03147	ypq:DJ40_2121
ko:K00788	ypq:DJ40_2122
ko:K03148	ypq:DJ40_2123
ko:K03154	ypq:DJ40_2124
ko:K03149	ypq:DJ40_2125
ko:K03150	ypq:DJ40_2126
ko:K03046	ypq:DJ40_2127
ko:K03043	ypq:DJ40_2128
ko:K02935	ypq:DJ40_2130
ko:K02864	ypq:DJ40_2131
ko:K02863	ypq:DJ40_2132
ko:K02867	ypq:DJ40_2133
ko:K02601	ypq:DJ40_2134
ko:K03073	ypq:DJ40_2135
ko:K02358	ypq:DJ40_2136
ko:K00867	ypq:DJ40_2142
ko:K03524	ypq:DJ40_2143
ko:K00075	ypq:DJ40_2144
ko:K00865	ypq:DJ40_2574
ko:K03299	ypq:DJ40_2575
ko:K02647	ypq:DJ40_2576
ko:K00383	ypq:DJ40_2577
ko:K07115	ypq:DJ40_2578
ko:K01414	ypq:DJ40_2579
ko:K15984	ypq:DJ40_2580
ko:K00262	ypq:DJ40_2582
ko:K06149	ypq:DJ40_2583
ko:K06144	ypq:DJ40_2584
ko:K16322	ypq:DJ40_2585
ko:K07007	ypq:DJ40_2586
ko:K10441	ypq:DJ40_2588
ko:K10440	ypq:DJ40_2589
ko:K10439	ypq:DJ40_2590
ko:K09988	ypq:DJ40_2591
ko:K01624	ypq:DJ40_2592
ko:K06911	ypq:DJ40_2595
ko:K06145	ypq:DJ40_2596
ko:K06155	ypq:DJ40_2597
ko:K03923	ypq:DJ40_3032
ko:K02621	ypq:DJ40_3033
ko:K00655	ypq:DJ40_3034
ko:K06221	ypq:DJ40_3039
ko:K08325	ypq:DJ40_3040
ko:K01760	ypq:DJ40_3043
ko:K03561	ypq:DJ40_3044
ko:K03559	ypq:DJ40_3045
ko:K12515	ypq:DJ40_3046
ko:K12514	ypq:DJ40_3047
ko:K12513	ypq:DJ40_3048
ko:K12512	ypq:DJ40_3049
ko:K12511	ypq:DJ40_3050
ko:K12510	ypq:DJ40_3051
ko:K02283	ypq:DJ40_3052
ko:K02282	ypq:DJ40_3053
ko:K02280	ypq:DJ40_3055
ko:K02279	ypq:DJ40_3056
ko:K02278	ypq:DJ40_3057
ko:K02426	ypq:DJ40_3461
ko:K02536	ypq:DJ40_3488
ko:K02372	ypq:DJ40_3489
ko:K00677	ypq:DJ40_3490
ko:K00748	ypq:DJ40_3491
ko:K03470	ypq:DJ40_3492
ko:K02337	ypq:DJ40_3493
ko:K01962	ypq:DJ40_3494
ko:K08234	ypq:DJ40_3495
ko:K04075	ypq:DJ40_3496
ko:K15034	ypq:DJ40_3501
ko:K06079	ypq:DJ40_3502
ko:K01881	ypq:DJ40_3503
ko:K06080	ypq:DJ40_3505
ko:K02073	ypq:DJ40_3506
ko:K02072	ypq:DJ40_3507
ko:K00764	ypq:DJ40_3932
ko:K03186	ypq:DJ40_3933
ko:K10016	ypq:DJ40_3935
ko:K10015	ypq:DJ40_3936
ko:K10017	ypq:DJ40_3937
ko:K07071	ypq:DJ40_3938
ko:K07095	ypq:DJ40_3940
ko:K03475	ypq:DJ40_3942
ko:K02822	ypq:DJ40_3943
ko:K02821	ypq:DJ40_3944
ko:K13788	ypq:DJ40_3946
ko:K00925	ypq:DJ40_3947
ko:K09899	ypq:DJ40_3948
ko:K09161	ypq:DJ40_3949
ko:K14260	ypq:DJ40_3954
ko:K00330	ypq:DJ40_3956
ko:K00331	ypq:DJ40_3957
ko:K13378	ypq:DJ40_3958
ko:K00334	ypq:DJ40_3959
ko:K07390	ypq:DJ40_8
ko:K03683	ypq:DJ40_9
ko:K01759	ypq:DJ40_10
ko:K11021	ypq:DJ40_11
ko:K10680	ypq:DJ40_12
ko:K16137	ypq:DJ40_13
ko:K03760	ypq:DJ40_14
ko:K06938	ypq:DJ40_15
ko:K06075	ypq:DJ40_17
ko:K06077	ypq:DJ40_18
ko:K09001	ypq:DJ40_19
ko:K00275	ypq:DJ40_21
ko:K01866	ypq:DJ40_22
ko:K00868	ypq:DJ40_23
ko:K00799	ypq:DJ40_24
ko:K03305	ypq:DJ40_27
ko:K03974	ypq:DJ40_35
ko:K03969	ypq:DJ40_36
ko:K03970	ypq:DJ40_37
ko:K03971	ypq:DJ40_39
ko:K06918	ypq:DJ40_40
ko:K08990	ypq:DJ40_41
ko:K03721	ypq:DJ40_44
ko:K11065	ypq:DJ40_45
ko:K14054	ypq:DJ40_47
ko:K15580	ypq:DJ40_48
ko:K16074	ypq:DJ40_49
ko:K14058	ypq:DJ40_54
ko:K03737	ypq:DJ40_55
ko:K07507	ypq:DJ40_57
ko:K03778	ypq:DJ40_60
ko:K09978	ypq:DJ40_63
ko:K00007	ypq:DJ40_64
ko:K01118	ypq:DJ40_66
ko:K03578	ypq:DJ40_67
ko:K00135	ypq:DJ40_907
ko:K00058	ypq:DJ40_909
ko:K06940	ypq:DJ40_911
ko:K03835	ypq:DJ40_912
ko:K02356	ypq:DJ40_913
ko:K01686	ypq:DJ40_914
ko:K00040	ypq:DJ40_915
ko:K13637	ypq:DJ40_916
ko:K13694	ypq:DJ40_920
ko:K13893	ypq:DJ40_922
ko:K13894	ypq:DJ40_923
ko:K13895	ypq:DJ40_924
ko:K13896	ypq:DJ40_925
ko:K07552	ypq:DJ40_927
ko:K06183	ypq:DJ40_928
ko:K02897	ypq:DJ40_930
ko:K07491	ypq:DJ40_931
ko:K06899	ypq:DJ40_932
ko:K09904	ypq:DJ40_933
ko:K07014	ypq:DJ40_934
ko:K01223	ypq:DJ40_943
ko:K01770	ypq:DJ40_1601
ko:K00991	ypq:DJ40_1602
ko:K05589	ypq:DJ40_1603
ko:K00860	ypq:DJ40_1605
ko:K00956	ypq:DJ40_1606
ko:K00957	ypq:DJ40_1607
ko:K02302	ypq:DJ40_1608
ko:K07491	ypq:DJ40_1611
ko:K00390	ypq:DJ40_1612
ko:K00381	ypq:DJ40_1613
ko:K00380	ypq:DJ40_1614
ko:K01737	ypq:DJ40_1615
