ko:K06896	sagi:MSA_20550
ko:K04485	sagi:MSA_1740
ko:K01673	sagi:MSA_1750
ko:K09698	sagi:MSA_1770
ko:K10439	sagi:MSA_1780
ko:K10440	sagi:MSA_1790
ko:K10441	sagi:MSA_1800
ko:K06726	sagi:MSA_1810
ko:K00852	sagi:MSA_1820
ko:K02529	sagi:MSA_1830
ko:K02004	sagi:MSA_1850
ko:K02003	sagi:MSA_1860
ko:K01940	sagi:MSA_1890
ko:K01755	sagi:MSA_1900
ko:K01624	sagi:MSA_1910
ko:K00016	sagi:MSA_1920
ko:K02902	sagi:MSA_1930
ko:K07030	sagi:MSA_1950
ko:K17076	sagi:MSA_1990
ko:K17073	sagi:MSA_2000
ko:K17074	sagi:MSA_2000
ko:K06153	sagi:MSA_2020
ko:K16511	sagi:MSA_2040
ko:K09013	sagi:MSA_2060
ko:K09015	sagi:MSA_2070
ko:K11717	sagi:MSA_2080
ko:K04488	sagi:MSA_2090
ko:K09014	sagi:MSA_2100
ko:K07258	sagi:MSA_2120
ko:K15580	sagi:MSA_2130
ko:K15581	sagi:MSA_2140
ko:K15582	sagi:MSA_2150
ko:K15583	sagi:MSA_2160
ko:K10823	sagi:MSA_2170
ko:K00919	sagi:MSA_2230
ko:K09817	sagi:MSA_2250
ko:K09816	sagi:MSA_2260
ko:K15051	sagi:MSA_2270
ko:K01866	sagi:MSA_2280
ko:K03693	sagi:MSA_2290
ko:K03043	sagi:MSA_2300
ko:K03046	sagi:MSA_2310
ko:K02243	sagi:MSA_2340
ko:K02244	sagi:MSA_2350
ko:K02871	sagi:MSA_2810
ko:K02996	sagi:MSA_2820
ko:K05846	sagi:MSA_2960
ko:K05845	sagi:MSA_2970
ko:K05846	sagi:MSA_2980
ko:K05847	sagi:MSA_2990
ko:K03088	sagi:MSA_3240
ko:K10947	sagi:MSA_3300
ko:K01443	sagi:MSA_3320
ko:K01878	sagi:MSA_3340
ko:K01118	sagi:MSA_3350
ko:K01879	sagi:MSA_3360
ko:K00864	sagi:MSA_3390
ko:K02440	sagi:MSA_3410
ko:K00615	sagi:MSA_3440
ko:K00931	sagi:MSA_3490
ko:K00147	sagi:MSA_3500
ko:K03438	sagi:MSA_3510
ko:K12556	sagi:MSA_3530
ko:K01000	sagi:MSA_3540
ko:K02030	sagi:MSA_3560
ko:K02029	sagi:MSA_3570
ko:K02028	sagi:MSA_3580
ko:K00384	sagi:MSA_3600
ko:K00763	sagi:MSA_3610
ko:K01916	sagi:MSA_3620
ko:K01372	sagi:MSA_3630
ko:K05366	sagi:MSA_3640
ko:K03700	sagi:MSA_3650
ko:K07444	sagi:MSA_3690
ko:K07173	sagi:MSA_3710
ko:K07778	sagi:MSA_3780
ko:K00942	sagi:MSA_3810
ko:K03060	sagi:MSA_3820
ko:K04066	sagi:MSA_3830
ko:K00604	sagi:MSA_3840
ko:K03500	sagi:MSA_3850
ko:K11617	sagi:MSA_3890
ko:K11618	sagi:MSA_3900
ko:K03768	sagi:MSA_3910
ko:K07570	sagi:MSA_3920
ko:K04069	sagi:MSA_3930
ko:K02986	sagi:MSA_22150
ko:K02939	sagi:MSA_22180
ko:K03495	sagi:MSA_22200
ko:K05595	sagi:MSA_22210
ko:K00566	sagi:MSA_22220
ko:K01752	sagi:MSA_22230
ko:K01752	sagi:MSA_22240
ko:K16785	sagi:MSA_22270
ko:K16787	sagi:MSA_22280
ko:K16786	sagi:MSA_22290
ko:K00995	sagi:MSA_22300
ko:K03629	sagi:MSA_22340
ko:K05340	sagi:MSA_22350
ko:K00088	sagi:MSA_22370
ko:K03402	sagi:MSA_22380
ko:K01478	sagi:MSA_22410
ko:K00611	sagi:MSA_22430
ko:K03758	sagi:MSA_22440
ko:K00926	sagi:MSA_22450
ko:K01867	sagi:MSA_22460
ko:K00783	sagi:MSA_22540
ko:K02759	sagi:MSA_3960
ko:K02760	sagi:MSA_3970
ko:K02761	sagi:MSA_3980
ko:K00656	sagi:MSA_3990
ko:K00005	sagi:MSA_4010
ko:K01738	sagi:MSA_4020
ko:K02240	sagi:MSA_4040
ko:K02242	sagi:MSA_4050
ko:K05808	sagi:MSA_4060
ko:K00928	sagi:MSA_4120
ko:K00648	sagi:MSA_4160
ko:K02078	sagi:MSA_4170
ko:K02371	sagi:MSA_4180
ko:K00645	sagi:MSA_4190
ko:K00059	sagi:MSA_4200
ko:K09458	sagi:MSA_4210
ko:K02160	sagi:MSA_4220
ko:K02372	sagi:MSA_4230
ko:K01961	sagi:MSA_4240
ko:K01963	sagi:MSA_4250
ko:K01962	sagi:MSA_4260
ko:K01875	sagi:MSA_4280
ko:K02795	sagi:MSA_4320
ko:K02793	sagi:MSA_4330
ko:K02794	sagi:MSA_4330
ko:K06901	sagi:MSA_4370
ko:K06925	sagi:MSA_4380
ko:K02503	sagi:MSA_4420
ko:K03439	sagi:MSA_4470
ko:K09748	sagi:MSA_4490
ko:K02600	sagi:MSA_4500
ko:K07742	sagi:MSA_4510
ko:K02519	sagi:MSA_4530
ko:K02834	sagi:MSA_4540
ko:K06929	sagi:MSA_4620
ko:K09825	sagi:MSA_4630
ko:K10682	sagi:MSA_4650
ko:K10681	sagi:MSA_4660
ko:K00773	sagi:MSA_4680
ko:K03523	sagi:MSA_4700
ko:K11991	sagi:MSA_4720
ko:K01810	sagi:MSA_4740
ko:K01934	sagi:MSA_4750
ko:K07335	sagi:MSA_4770
ko:K00963	sagi:MSA_4780
ko:K00057	sagi:MSA_4790
ko:K03536	sagi:MSA_4800
ko:K03217	sagi:MSA_4810
ko:K06346	sagi:MSA_4820
ko:K07586	sagi:MSA_4910
ko:K03565	sagi:MSA_4920
ko:K02348	sagi:MSA_4980
ko:K03647	sagi:MSA_5020
ko:K07006	sagi:MSA_5050
ko:K16264	sagi:MSA_5110
ko:K02773	sagi:MSA_5200
ko:K02774	sagi:MSA_5210
ko:K02775	sagi:MSA_5220
ko:K01629	sagi:MSA_5230
ko:K02773	sagi:MSA_5240
ko:K02775	sagi:MSA_5250
ko:K02774	sagi:MSA_5260
ko:K02025	sagi:MSA_5300
ko:K07407	sagi:MSA_5320
ko:K00849	sagi:MSA_5330
ko:K00965	sagi:MSA_5340
ko:K01784	sagi:MSA_5350
ko:K01785	sagi:MSA_5360
ko:K01873	sagi:MSA_5410
ko:K15342	sagi:MSA_5490
ko:K01914	sagi:MSA_5540
ko:K00954	sagi:MSA_5590
ko:K07177	sagi:MSA_5600
ko:K06941	sagi:MSA_5630
ko:K03523	sagi:MSA_5680
ko:K01012	sagi:MSA_5690
ko:K00626	sagi:MSA_5710
ko:K10773	sagi:MSA_5730
ko:K02236	sagi:MSA_5740
ko:K00845	sagi:MSA_5760
ko:K06207	sagi:MSA_5780
ko:K01925	sagi:MSA_5800
ko:K02563	sagi:MSA_5810
ko:K03589	sagi:MSA_5820
ko:K03590	sagi:MSA_5830
ko:K03531	sagi:MSA_5840
ko:K06997	sagi:MSA_5850
ko:K09772	sagi:MSA_5860
ko:K04074	sagi:MSA_5880
ko:K01870	sagi:MSA_5890
ko:K03574	sagi:MSA_5910
ko:K03697	sagi:MSA_5920
ko:K02029	sagi:MSA_5940
ko:K02028	sagi:MSA_5950
ko:K01491	sagi:MSA_5970
ko:K03601	sagi:MSA_5990
ko:K03602	sagi:MSA_6000
ko:K13789	sagi:MSA_6010
ko:K06442	sagi:MSA_6020
ko:K03402	sagi:MSA_6030
ko:K03631	sagi:MSA_6040
ko:K03530	sagi:MSA_6080
ko:K12554	sagi:MSA_6110
ko:K05363	sagi:MSA_6120
ko:K05363	sagi:MSA_6130
ko:K06885	sagi:MSA_6150
ko:K01537	sagi:MSA_6170
ko:K04041	sagi:MSA_6190
ko:K02836	sagi:MSA_6210
ko:K09812	sagi:MSA_6220
ko:K09811	sagi:MSA_6230
ko:K01893	sagi:MSA_6290
ko:K16923	sagi:MSA_6300
ko:K06958	sagi:MSA_6330
ko:K09762	sagi:MSA_6350
ko:K01834	sagi:MSA_6490
ko:K03817	sagi:MSA_6540
ko:K03655	sagi:MSA_6600
ko:K08659	sagi:MSA_6770
ko:K09815	sagi:MSA_6780
ko:K02909	sagi:MSA_6790
ko:K01488	sagi:MSA_6810
ko:K04516	sagi:MSA_6850
ko:K02884	sagi:MSA_6870
ko:K05837	sagi:MSA_6890
ko:K02470	sagi:MSA_6910
ko:K06286	sagi:MSA_6920
ko:K01079	sagi:MSA_6930
ko:K01689	sagi:MSA_6960
ko:K15051	sagi:MSA_6970
ko:K00800	sagi:MSA_6990
ko:K00891	sagi:MSA_7000
ko:K03215	sagi:MSA_7020
ko:K12296	sagi:MSA_7070
ko:K02248	sagi:MSA_2360
ko:K00925	sagi:MSA_2390
ko:K07729	sagi:MSA_2400
ko:K07052	sagi:MSA_2420
ko:K00286	sagi:MSA_2430
ko:K01261	sagi:MSA_2440
ko:K06878	sagi:MSA_2480
ko:K07704	sagi:MSA_2520
ko:K05338	sagi:MSA_2540
ko:K05339	sagi:MSA_2550
ko:K02035	sagi:MSA_2560
ko:K02033	sagi:MSA_2570
ko:K02034	sagi:MSA_2580
ko:K02817	sagi:MSA_2610
ko:K02818	sagi:MSA_2610
ko:K02819	sagi:MSA_2610
ko:K01226	sagi:MSA_2620
ko:K02822	sagi:MSA_2640
ko:K03475	sagi:MSA_2650
ko:K00615	sagi:MSA_2660
ko:K00615	sagi:MSA_2670
ko:K02956	sagi:MSA_2690
ko:K00962	sagi:MSA_2700
ko:K00640	sagi:MSA_2720
ko:K07729	sagi:MSA_2800
ko:K01883	sagi:MSA_2740
ko:K11145	sagi:MSA_2750
ko:K03218	sagi:MSA_2760
ko:K06962	sagi:MSA_2770
ko:K09946	sagi:MSA_7940
ko:K06287	sagi:MSA_8030
ko:K07025	sagi:MSA_8040
ko:K02078	sagi:MSA_8110
ko:K02372	sagi:MSA_8120
ko:K11050	sagi:MSA_8130
ko:K11051	sagi:MSA_8140
ko:K02004	sagi:MSA_8260
ko:K02003	sagi:MSA_8280
ko:K07035	sagi:MSA_8360
ko:K15051	sagi:MSA_8300
ko:K03975	sagi:MSA_8310
ko:K02068	sagi:MSA_8320
ko:K02069	sagi:MSA_8330
ko:K03778	sagi:MSA_8370
ko:K00874	sagi:MSA_8390
ko:K01195	sagi:MSA_8400
ko:K01625	sagi:MSA_8420
ko:K01812	sagi:MSA_8430
ko:K01686	sagi:MSA_8440
ko:K01207	sagi:MSA_8470
ko:K02529	sagi:MSA_8490
ko:K01176	sagi:MSA_8500
ko:K01868	sagi:MSA_8530
ko:K10040	sagi:MSA_8570
ko:K10040	sagi:MSA_8580
ko:K10039	sagi:MSA_8590
ko:K10041	sagi:MSA_8600
ko:K07668	sagi:MSA_8610
ko:K07652	sagi:MSA_8620
ko:K09790	sagi:MSA_8640
ko:K03685	sagi:MSA_8650
ko:K03529	sagi:MSA_8660
ko:K03110	sagi:MSA_8690
ko:K07089	sagi:MSA_8710
ko:K06959	sagi:MSA_8740
ko:K03095	sagi:MSA_8750
ko:K06023	sagi:MSA_8780
ko:K13292	sagi:MSA_8790
ko:K01992	sagi:MSA_3740
ko:K14230	sagi:MSA_1380
ko:K14230	sagi:MSA_460
ko:K14230	sagi:MSA_3090
ko:K14221	sagi:MSA_1310
ko:K14221	sagi:MSA_220
ko:K14221	sagi:MSA_350
ko:K01985	sagi:MSA_1290
ko:K01985	sagi:MSA_330
ko:K01985	sagi:MSA_200
ko:K01985	sagi:MSA_3030
ko:K01985	sagi:MSA_2210
ko:K01985	sagi:MSA_4100
ko:K01985	sagi:MSA_4860
ko:K14229	sagi:MSA_1320
ko:K14229	sagi:MSA_360
ko:K14229	sagi:MSA_230
ko:K14228	sagi:MSA_1330
ko:K14228	sagi:MSA_240
ko:K14228	sagi:MSA_370
ko:K14228	sagi:MSA_270
ko:K14228	sagi:MSA_400
ko:K14234	sagi:MSA_1340
ko:K14234	sagi:MSA_380
ko:K14234	sagi:MSA_250
ko:K14225	sagi:MSA_260
ko:K14225	sagi:MSA_390
ko:K14225	sagi:MSA_3050
ko:K14225	sagi:MSA_4880
ko:K14225	sagi:MSA_480
ko:K14219	sagi:MSA_280
ko:K14219	sagi:MSA_410
ko:K14232	sagi:MSA_290
ko:K14232	sagi:MSA_420
ko:K14230	sagi:MSA_430
ko:K14230	sagi:MSA_440
ko:K14233	sagi:MSA_1370
ko:K14233	sagi:MSA_450
ko:K14233	sagi:MSA_3080
ko:K14231	sagi:MSA_1390
ko:K14231	sagi:MSA_3100
ko:K14231	sagi:MSA_470
ko:K14227	sagi:MSA_1350
ko:K14227	sagi:MSA_4890
ko:K14227	sagi:MSA_490
ko:K14227	sagi:MSA_3060
ko:K14224	sagi:MSA_1360
ko:K14224	sagi:MSA_22520
ko:K14224	sagi:MSA_14770
ko:K14224	sagi:MSA_4900
ko:K14224	sagi:MSA_3070
ko:K14223	sagi:MSA_12670
ko:K14223	sagi:MSA_3140
ko:K14223	sagi:MSA_1430
ko:K14223	sagi:MSA_14780
ko:K14228	sagi:MSA_1720
ko:K14234	sagi:MSA_5150
ko:K14219	sagi:MSA_6880
ko:K14219	sagi:MSA_12650
ko:K14219	sagi:MSA_22530
ko:K14233	sagi:MSA_4480
ko:K01980	sagi:MSA_4850
ko:K01980	sagi:MSA_1280
ko:K01980	sagi:MSA_4090
ko:K01980	sagi:MSA_190
ko:K01980	sagi:MSA_3020
ko:K01980	sagi:MSA_2200
ko:K01980	sagi:MSA_320
ko:K17686	sagi:MSA_4570
ko:K00131	sagi:MSA_9670
ko:K01101	sagi:MSA_10400
ko:K02027	sagi:MSA_5290
ko:K00226	sagi:MSA_6100
ko:K06518	sagi:MSA_12620
ko:K03767	sagi:MSA_16490
ko:K01658	sagi:MSA_5670
ko:K07284	sagi:MSA_10840
ko:K02768	sagi:MSA_13770
ko:K02026	sagi:MSA_720
ko:K02026	sagi:MSA_5310
ko:K02027	sagi:MSA_700
ko:K01467	sagi:MSA_130
ko:K00537	sagi:MSA_13040
ko:K00661	sagi:MSA_11330
ko:K12574	sagi:MSA_13090
ko:K07284	sagi:MSA_15270
ko:K07284	sagi:MSA_15290
ko:K01071	sagi:MSA_10390
ko:K02614	sagi:MSA_12580
ko:K02809	sagi:MSA_3480
ko:K02810	sagi:MSA_3480
ko:K03366	sagi:MSA_6260
ko:K06148	sagi:MSA_11900
ko:K02794	sagi:MSA_20400
ko:K15580	sagi:MSA_11000
ko:K12554	sagi:MSA_14700
ko:K01426	sagi:MSA_15980
ko:K00567	sagi:MSA_16950
ko:K01006	sagi:MSA_17950
ko:K01952	sagi:MSA_600
ko:K01060	sagi:MSA_770
ko:K01589	sagi:MSA_830
ko:K06153	sagi:MSA_2030
ko:K03367	sagi:MSA_6560
ko:K01361	sagi:MSA_8210
ko:K02004	sagi:MSA_8270
ko:K18369	sagi:MSA_17630
ko:K07260	sagi:MSA_1560
ko:K02032	sagi:MSA_2600
ko:K03742	sagi:MSA_21500
ko:K18474	sagi:MSA_4140
ko:K16235	sagi:MSA_14270
ko:K02001	sagi:MSA_19330
ko:K02002	sagi:MSA_19330
ko:K02031	sagi:MSA_2590
ko:K07705	sagi:MSA_2530
ko:K18581	sagi:MSA_19870
ko:K00983	sagi:MSA_12780
ko:K18682	sagi:MSA_3720
ko:K18672	sagi:MSA_10330
ko:K18692	sagi:MSA_3550
ko:K18888	sagi:MSA_14580
ko:K03790	sagi:MSA_9910
ko:K18887	sagi:MSA_14590
ko:K03502	sagi:MSA_13940
ko:K03205	sagi:MSA_13990
ko:K03111	sagi:MSA_14170
ko:K03111	sagi:MSA_18360
ko:K05593	sagi:MSA_20880
ko:K03111	sagi:MSA_2500
ko:K03111	sagi:MSA_7410
ko:K03497	sagi:MSA_22560
ko:K07029	sagi:MSA_9980
ko:K03790	sagi:MSA_3210
ko:K19002	sagi:MSA_8520
ko:K07483	sagi:MSA_9790
ko:K07483	sagi:MSA_10560
ko:K07483	sagi:MSA_12890
ko:K07483	sagi:MSA_13220
ko:K07483	sagi:MSA_13850
ko:K07483	sagi:MSA_14210
ko:K07483	sagi:MSA_16250
ko:K07483	sagi:MSA_16790
ko:K07483	sagi:MSA_16860
ko:K07483	sagi:MSA_5070
ko:K07483	sagi:MSA_7560
ko:K19055	sagi:MSA_16730
ko:K18979	sagi:MSA_6200
ko:K13052	sagi:MSA_110
ko:K19005	sagi:MSA_15040
ko:K19119	sagi:MSA_5450
ko:K11054	sagi:MSA_8170
ko:K11049	sagi:MSA_8100
ko:K11048	sagi:MSA_8090
ko:K08652	sagi:MSA_4990
ko:K02476	sagi:MSA_20070
ko:K09951	sagi:MSA_5500
ko:K11052	sagi:MSA_8150
ko:K11047	sagi:MSA_8080
ko:K01621	sagi:MSA_19360
ko:K01897	sagi:MSA_5720
ko:K01239	sagi:MSA_6310
ko:K11056	sagi:MSA_8190
ko:K11055	sagi:MSA_8180
ko:K01710	sagi:MSA_13240
ko:K05881	sagi:MSA_17760
ko:K09951	sagi:MSA_10440
ko:K19117	sagi:MSA_5460
ko:K19118	sagi:MSA_5470
ko:K19137	sagi:MSA_10450
ko:K03722	sagi:MSA_6270
ko:K01992	sagi:MSA_3270
ko:K19302	sagi:MSA_15250
ko:K04771	sagi:MSA_22550
ko:K06881	sagi:MSA_6800
ko:K01654	sagi:MSA_12810
ko:K02796	sagi:MSA_20380
ko:K00887	sagi:MSA_16200
ko:K02796	sagi:MSA_4310
ko:K11045	sagi:MSA_21020
ko:K01271	sagi:MSA_8480
ko:K00526	sagi:MSA_9620
ko:K19689	sagi:MSA_15950
ko:K00547	sagi:MSA_21060
ko:K00297	sagi:MSA_21060
ko:K21636	sagi:MSA_21420
ko:K11706	sagi:MSA_16510
ko:K20074	sagi:MSA_3860
ko:K12132	sagi:MSA_3870
ko:K20073	sagi:MSA_3700
ko:K20112	sagi:MSA_20210
ko:K02777	sagi:MSA_20560
ko:K20107	sagi:MSA_20560
ko:K20108	sagi:MSA_20560
ko:K20114	sagi:MSA_20190
ko:K20113	sagi:MSA_20200
ko:K20342	sagi:MSA_880
ko:K20343	sagi:MSA_20510
ko:K20373	sagi:MSA_16130
ko:K00525	sagi:MSA_9630
ko:K00526	sagi:MSA_5010
ko:K20344	sagi:MSA_20500
ko:K18889	sagi:MSA_5650
ko:K18890	sagi:MSA_5660
ko:K12990	sagi:MSA_15360
ko:K02525	sagi:MSA_19450
ko:K01200	sagi:MSA_9990
ko:K21064	sagi:MSA_4340
ko:K08968	sagi:MSA_9710
ko:K00525	sagi:MSA_5030
ko:K06919	sagi:MSA_22020
ko:K02314	sagi:MSA_22170
ko:K06191	sagi:MSA_9640
ko:K00857	sagi:MSA_11970
ko:K00287	sagi:MSA_14350
ko:K00560	sagi:MSA_14360
ko:K02316	sagi:MSA_15520
ko:K06217	sagi:MSA_16290
ko:K01493	sagi:MSA_18280
ko:K04068	sagi:MSA_21380
ko:K03553	sagi:MSA_21490
ko:K01520	sagi:MSA_1730
ko:K01286	sagi:MSA_2110
ko:K00558	sagi:MSA_7030
ko:K02315	sagi:MSA_7320
ko:K07474	sagi:MSA_7520
ko:K02335	sagi:MSA_4610
ko:K00571	sagi:MSA_2380
ko:K01759	sagi:MSA_16590
ko:K07741	sagi:MSA_7880
ko:K02004	sagi:MSA_8250
ko:K21471	sagi:MSA_510
ko:K00863	sagi:MSA_17710
ko:K21567	sagi:MSA_14740
ko:K21828	sagi:MSA_22390
ko:K21977	sagi:MSA_11850
ko:K22044	sagi:MSA_1670
ko:K00015	sagi:MSA_19430
ko:K03595	sagi:MSA_16190
ko:K03077	sagi:MSA_19480
ko:K03078	sagi:MSA_19500
ko:K22278	sagi:MSA_9680
ko:K17758	sagi:MSA_5980
ko:K03079	sagi:MSA_19490
ko:K22441	sagi:MSA_10170
ko:K22457	sagi:MSA_6280
