ko:K13628	lpa:lpa_02528
ko:K01056	lpa:lpa_03881
ko:K06942	lpa:lpa_03883
ko:K02523	lpa:lpa_03885
ko:K04759	lpa:lpa_03889
ko:K04758	lpa:lpa_03890
ko:K06916	lpa:lpa_03891
ko:K07018	lpa:lpa_03892
ko:K00606	lpa:lpa_03893
ko:K01918	lpa:lpa_03894
ko:K03089	lpa:lpa_03899
ko:K09811	lpa:lpa_03900
ko:K09812	lpa:lpa_03901
ko:K03110	lpa:lpa_03902
ko:K08316	lpa:lpa_03905
ko:K01666	lpa:lpa_03915
ko:K03695	lpa:lpa_02537
ko:K02558	lpa:lpa_02540
ko:K02413	lpa:lpa_02544
ko:K02412	lpa:lpa_02545
ko:K02411	lpa:lpa_02546
ko:K02410	lpa:lpa_02547
ko:K02409	lpa:lpa_02549
ko:K02408	lpa:lpa_02550
ko:K10943	lpa:lpa_02551
ko:K10942	lpa:lpa_02552
ko:K07478	lpa:lpa_02554
ko:K03634	lpa:lpa_02555
ko:K03466	lpa:lpa_02556
ko:K00384	lpa:lpa_02558
ko:K00684	lpa:lpa_02560
ko:K02518	lpa:lpa_02563
ko:K03592	lpa:lpa_02564
ko:K00525	lpa:lpa_02568
ko:K00526	lpa:lpa_02569
ko:K04567	lpa:lpa_02571
ko:K02836	lpa:lpa_02572
ko:K02557	lpa:lpa_02574
ko:K02556	lpa:lpa_02575
ko:K02405	lpa:lpa_02577
ko:K04562	lpa:lpa_02578
ko:K02404	lpa:lpa_02579
ko:K02400	lpa:lpa_02580
ko:K02401	lpa:lpa_02582
ko:K02421	lpa:lpa_02584
ko:K02420	lpa:lpa_02586
ko:K02419	lpa:lpa_02587
ko:K02418	lpa:lpa_02589
ko:K02417	lpa:lpa_02590
ko:K02416	lpa:lpa_02591
ko:K01872	lpa:lpa_02602
ko:K03565	lpa:lpa_02603
ko:K00252	lpa:lpa_03772
ko:K11381	lpa:lpa_03775
ko:K04061	lpa:lpa_03777
ko:K08641	lpa:lpa_03780
ko:K07259	lpa:lpa_03787
ko:K03497	lpa:lpa_03788
ko:K03500	lpa:lpa_03796
ko:K00604	lpa:lpa_03797
ko:K01462	lpa:lpa_03798
ko:K04096	lpa:lpa_03800
ko:K03168	lpa:lpa_03803
ko:K06889	lpa:lpa_03809
ko:K07386	lpa:lpa_03813
ko:K02535	lpa:lpa_03814
ko:K03531	lpa:lpa_03817
ko:K03590	lpa:lpa_03819
ko:K03589	lpa:lpa_03820
ko:K01921	lpa:lpa_03822
ko:K00075	lpa:lpa_03823
ko:K01924	lpa:lpa_03824
ko:K03588	lpa:lpa_03825
ko:K01925	lpa:lpa_03827
ko:K01000	lpa:lpa_03828
ko:K01929	lpa:lpa_03831
ko:K03528	lpa:lpa_03832
ko:K03529	lpa:lpa_03833
ko:K03624	lpa:lpa_03839
ko:K01955	lpa:lpa_03840
ko:K07007	lpa:lpa_03842
ko:K11720	lpa:lpa_03847
ko:K02003	lpa:lpa_00309
ko:K01265	lpa:lpa_00316
ko:K06889	lpa:lpa_00327
ko:K07397	lpa:lpa_00327
ko:K09781	lpa:lpa_00329
ko:K09857	lpa:lpa_00333
ko:K03799	lpa:lpa_00353
ko:K03782	lpa:lpa_00367
ko:K00425	lpa:lpa_00371
ko:K00426	lpa:lpa_00373
ko:K03563	lpa:lpa_01531
ko:K01534	lpa:lpa_01540
ko:K07798	lpa:lpa_01553
ko:K07787	lpa:lpa_01555
ko:K07576	lpa:lpa_01556
ko:K00948	lpa:lpa_01559
ko:K07787	lpa:lpa_01577
ko:K07798	lpa:lpa_01578
ko:K00208	lpa:lpa_02680
ko:K03770	lpa:lpa_02682
ko:K03530	lpa:lpa_02684
ko:K01338	lpa:lpa_02685
ko:K03544	lpa:lpa_02686
ko:K01358	lpa:lpa_02687
ko:K03545	lpa:lpa_02688
ko:K06158	lpa:lpa_02691
ko:K03685	lpa:lpa_02692
ko:K03100	lpa:lpa_02694
ko:K03596	lpa:lpa_02696
ko:K02461	lpa:lpa_02700
ko:K02462	lpa:lpa_02701
ko:K01129	lpa:lpa_02703
ko:K01194	lpa:lpa_02708
ko:K01512	lpa:lpa_02719
ko:K06131	lpa:lpa_02723
ko:K09858	lpa:lpa_02737
ko:K03924	lpa:lpa_02742
ko:K01533	lpa:lpa_03928
ko:K12982	lpa:lpa_03933
ko:K00791	lpa:lpa_03935
ko:K03572	lpa:lpa_03937
ko:K09996	lpa:lpa_00048
ko:K08994	lpa:lpa_00058
ko:K03294	lpa:lpa_00066
ko:K01626	lpa:lpa_00098
ko:K07002	lpa:lpa_00105
ko:K00812	lpa:lpa_00114
ko:K03702	lpa:lpa_00115
ko:K11719	lpa:lpa_01271
ko:K03270	lpa:lpa_01272
ko:K06041	lpa:lpa_01273
ko:K02065	lpa:lpa_01275
ko:K02066	lpa:lpa_01276
ko:K02067	lpa:lpa_01277
ko:K07323	lpa:lpa_01278
ko:K00790	lpa:lpa_01282
ko:K09808	lpa:lpa_01286
ko:K10941	lpa:lpa_01290
ko:K04774	lpa:lpa_01294
ko:K02193	lpa:lpa_01295
ko:K02194	lpa:lpa_01296
ko:K02195	lpa:lpa_01298
ko:K02196	lpa:lpa_01299
ko:K02197	lpa:lpa_01300
ko:K02198	lpa:lpa_01302
ko:K02199	lpa:lpa_01303
ko:K02200	lpa:lpa_01304
ko:K09165	lpa:lpa_01307
ko:K03652	lpa:lpa_01309
ko:K03654	lpa:lpa_01310
ko:K02837	lpa:lpa_01319
ko:K00325	lpa:lpa_01322
ko:K00324	lpa:lpa_01323
ko:K00324	lpa:lpa_01324
ko:K01439	lpa:lpa_01341
ko:K01484	lpa:lpa_02463
ko:K02838	lpa:lpa_02466
ko:K09903	lpa:lpa_02467
ko:K02357	lpa:lpa_02468
ko:K02967	lpa:lpa_02470
ko:K01265	lpa:lpa_02485
ko:K00990	lpa:lpa_02488
ko:K11991	lpa:lpa_02489
ko:K01951	lpa:lpa_02490
ko:K00088	lpa:lpa_02491
ko:K03609	lpa:lpa_02498
ko:K03608	lpa:lpa_02499
ko:K06445	lpa:lpa_02501
ko:K05816	lpa:lpa_02506
ko:K05815	lpa:lpa_02508
ko:K05814	lpa:lpa_02509
ko:K03281	lpa:lpa_02514
ko:K13503	lpa:lpa_02515
ko:K02435	lpa:lpa_02517
ko:K02433	lpa:lpa_02519
ko:K02434	lpa:lpa_02520
ko:K03557	lpa:lpa_02526
ko:K04488	lpa:lpa_02529
ko:K04487	lpa:lpa_02530
ko:K01092	lpa:lpa_02534
ko:K04773	lpa:lpa_02535
ko:K01626	lpa:lpa_03695
ko:K06886	lpa:lpa_03701
ko:K03282	lpa:lpa_03708
ko:K06878	lpa:lpa_03728
ko:K07783	lpa:lpa_03739
ko:K03642	lpa:lpa_03741
ko:K09888	lpa:lpa_00118
ko:K09895	lpa:lpa_00119
ko:K01262	lpa:lpa_00120
ko:K03185	lpa:lpa_00121
ko:K09768	lpa:lpa_00131
ko:K12573	lpa:lpa_00138
ko:K03218	lpa:lpa_00140
ko:K01807	lpa:lpa_00141
ko:K06193	lpa:lpa_00146
ko:K02335	lpa:lpa_00148
ko:K02536	lpa:lpa_00149
ko:K07304	lpa:lpa_00154
ko:K06901	lpa:lpa_00158
ko:K00283	lpa:lpa_00168
ko:K00282	lpa:lpa_00170
ko:K02437	lpa:lpa_00171
ko:K00605	lpa:lpa_00172
ko:K02050	lpa:lpa_00178
ko:K02049	lpa:lpa_00179
ko:K03673	lpa:lpa_00180
ko:K03978	lpa:lpa_00184
ko:K01895	lpa:lpa_00186
ko:K00140	lpa:lpa_00191
ko:K00215	lpa:lpa_00195
ko:K00486	lpa:lpa_01349
ko:K02452	lpa:lpa_01353
ko:K07301	lpa:lpa_01355
ko:K03575	lpa:lpa_01362
ko:K02399	lpa:lpa_01371
ko:K02398	lpa:lpa_01372
ko:K02386	lpa:lpa_01373
ko:K03525	lpa:lpa_01378
ko:K03925	lpa:lpa_01380
ko:K03438	lpa:lpa_01381
ko:K03586	lpa:lpa_01382
ko:K03587	lpa:lpa_01385
ko:K01928	lpa:lpa_01386
ko:K03473	lpa:lpa_01387
ko:K03521	lpa:lpa_01393
ko:K03522	lpa:lpa_01394
ko:K00259	lpa:lpa_01395
ko:K05366	lpa:lpa_01396
ko:K02662	lpa:lpa_01398
ko:K02663	lpa:lpa_01400
ko:K02664	lpa:lpa_01401
ko:K02665	lpa:lpa_01402
ko:K02666	lpa:lpa_01404
ko:K00891	lpa:lpa_01405
ko:K03607	lpa:lpa_00201
ko:K00873	lpa:lpa_00206
ko:K00927	lpa:lpa_00207
ko:K00134	lpa:lpa_00210
ko:K00615	lpa:lpa_00211
ko:K01414	lpa:lpa_00215
ko:K03563	lpa:lpa_00223
ko:K07344	lpa:lpa_00238
ko:K03205	lpa:lpa_00239
ko:K03595	lpa:lpa_01418
ko:K03584	lpa:lpa_01420
ko:K03474	lpa:lpa_01425
ko:K00174	lpa:lpa_01426
ko:K00175	lpa:lpa_01427
ko:K03568	lpa:lpa_01435
ko:K07001	lpa:lpa_01436
ko:K03723	lpa:lpa_01440
ko:K09760	lpa:lpa_01442
ko:K01972	lpa:lpa_01446
ko:K02033	lpa:lpa_01448
ko:K02034	lpa:lpa_01450
ko:K02337	lpa:lpa_01451
ko:K03503	lpa:lpa_01469
ko:K03502	lpa:lpa_01470
ko:K07344	lpa:lpa_00814
ko:K03205	lpa:lpa_00815
ko:K03427	lpa:lpa_00829
ko:K01154	lpa:lpa_00830
ko:K01153	lpa:lpa_00832
ko:K00241	lpa:lpa_00845
ko:K00242	lpa:lpa_00846
ko:K00239	lpa:lpa_00848
ko:K00240	lpa:lpa_00849
ko:K00164	lpa:lpa_00850
ko:K00658	lpa:lpa_00851
ko:K01903	lpa:lpa_00852
ko:K01902	lpa:lpa_00853
ko:K00275	lpa:lpa_00854
ko:K03557	lpa:lpa_00860
ko:K00948	lpa:lpa_00861
ko:K02494	lpa:lpa_00864
ko:K00954	lpa:lpa_00866
ko:K00681	lpa:lpa_00867
ko:K00655	lpa:lpa_00869
ko:K02346	lpa:lpa_00876
ko:K00566	lpa:lpa_02044
ko:K07040	lpa:lpa_02046
ko:K02911	lpa:lpa_02048
ko:K03621	lpa:lpa_02049
ko:K00648	lpa:lpa_02050
ko:K00645	lpa:lpa_02051
ko:K00059	lpa:lpa_02052
ko:K02078	lpa:lpa_02053
ko:K09458	lpa:lpa_02054
ko:K07082	lpa:lpa_02055
ko:K00943	lpa:lpa_02057
ko:K02341	lpa:lpa_02058
ko:K02676	lpa:lpa_02059
ko:K03424	lpa:lpa_02060
ko:K09001	lpa:lpa_02062
ko:K08160	lpa:lpa_02066
ko:K07501	lpa:lpa_02072
ko:K00939	lpa:lpa_02074
ko:K00111	lpa:lpa_02076
ko:K00864	lpa:lpa_02077
ko:K01647	lpa:lpa_02078
ko:K00757	lpa:lpa_02079
ko:K02469	lpa:lpa_02080
ko:K00831	lpa:lpa_02081
ko:K00800	lpa:lpa_02083
ko:K00945	lpa:lpa_02084
ko:K02945	lpa:lpa_02085
ko:K13017	lpa:lpa_02088
ko:K01591	lpa:lpa_02089
ko:K07124	lpa:lpa_02091
ko:K03179	lpa:lpa_02095
ko:K01619	lpa:lpa_02099
ko:K03815	lpa:lpa_02100
ko:K01489	lpa:lpa_02101
ko:K07640	lpa:lpa_02103
ko:K07001	lpa:lpa_03221
ko:K00761	lpa:lpa_03230
ko:K11103	lpa:lpa_03233
ko:K03975	lpa:lpa_03236
ko:K01915	lpa:lpa_03243
ko:K09930	lpa:lpa_03245
ko:K07576	lpa:lpa_03249
ko:K03821	lpa:lpa_03254
ko:K00925	lpa:lpa_03257
ko:K05516	lpa:lpa_03258
ko:K09941	lpa:lpa_03261
ko:K05813	lpa:lpa_03271
ko:K01126	lpa:lpa_03272
ko:K00263	lpa:lpa_03275
ko:K00457	lpa:lpa_03277
ko:K01893	lpa:lpa_03281
ko:K09808	lpa:lpa_03284
ko:K01091	lpa:lpa_03287
ko:K06179	lpa:lpa_03288
ko:K02313	lpa:lpa_00001
ko:K02338	lpa:lpa_00002
ko:K03629	lpa:lpa_00003
ko:K02470	lpa:lpa_00004
ko:K10536	lpa:lpa_00005
ko:K01585	lpa:lpa_00006
ko:K03666	lpa:lpa_00012
ko:K03665	lpa:lpa_00013
ko:K06911	lpa:lpa_00017
ko:K09889	lpa:lpa_00030
ko:K12297	lpa:lpa_00031
ko:K12973	lpa:lpa_00034
ko:K03294	lpa:lpa_00036
ko:K03306	lpa:lpa_00037
ko:K06134	lpa:lpa_00038
ko:K03563	lpa:lpa_01193
ko:K03524	lpa:lpa_01197
ko:K01962	lpa:lpa_01199
ko:K04075	lpa:lpa_01200
ko:K01752	lpa:lpa_01207
ko:K03773	lpa:lpa_01210
ko:K08218	lpa:lpa_01212
ko:K03517	lpa:lpa_01216
ko:K00278	lpa:lpa_01217
ko:K01756	lpa:lpa_01218
ko:K03321	lpa:lpa_01219
ko:K01442	lpa:lpa_01222
ko:K01007	lpa:lpa_01225
ko:K00767	lpa:lpa_01232
ko:K02563	lpa:lpa_01233
ko:K02237	lpa:lpa_01235
ko:K03569	lpa:lpa_01236
ko:K03570	lpa:lpa_01237
ko:K06181	lpa:lpa_01241
ko:K00031	lpa:lpa_01245
ko:K06891	lpa:lpa_01247
ko:K03694	lpa:lpa_01248
ko:K03601	lpa:lpa_01255
ko:K01609	lpa:lpa_01266
ko:K00766	lpa:lpa_01267
ko:K01658	lpa:lpa_01268
ko:K06861	lpa:lpa_01269
ko:K09774	lpa:lpa_01270
ko:K01482	lpa:lpa_02394
ko:K05367	lpa:lpa_02404
ko:K06894	lpa:lpa_02406
ko:K11175	lpa:lpa_02415
ko:K01945	lpa:lpa_02416
ko:K00764	lpa:lpa_02417
ko:K01923	lpa:lpa_02418
ko:K01952	lpa:lpa_02421
ko:K01933	lpa:lpa_02422
ko:K01952	lpa:lpa_02423
ko:K04084	lpa:lpa_02428
ko:K01681	lpa:lpa_02440
ko:K03607	lpa:lpa_02450
ko:K03648	lpa:lpa_02452
ko:K03502	lpa:lpa_02457
ko:K03503	lpa:lpa_02458
ko:K01295	lpa:lpa_02459
ko:K00673	lpa:lpa_02460
ko:K06447	lpa:lpa_02461
ko:K04652	lpa:lpa_03605
ko:K04651	lpa:lpa_03606
ko:K01520	lpa:lpa_03624
ko:K13038	lpa:lpa_03625
ko:K03630	lpa:lpa_03626
ko:K00808	lpa:lpa_03638
ko:K03216	lpa:lpa_03640
ko:K06966	lpa:lpa_03655
ko:K01673	lpa:lpa_03656
ko:K01735	lpa:lpa_01407
ko:K06149	lpa:lpa_01409
ko:K11753	lpa:lpa_01410
ko:K01870	lpa:lpa_01412
ko:K03101	lpa:lpa_01413
ko:K05520	lpa:lpa_02891
ko:K00600	lpa:lpa_01124
ko:K07738	lpa:lpa_01125
ko:K03625	lpa:lpa_01127
ko:K00946	lpa:lpa_01128
ko:K01095	lpa:lpa_01129
ko:K01950	lpa:lpa_01137
ko:K02314	lpa:lpa_01140
ko:K01775	lpa:lpa_01141
ko:K03644	lpa:lpa_01148
ko:K07461	lpa:lpa_01149
ko:K03305	lpa:lpa_01150
ko:K02500	lpa:lpa_01156
ko:K02501	lpa:lpa_01157
ko:K01790	lpa:lpa_01164
ko:K00067	lpa:lpa_01165
ko:K01710	lpa:lpa_01166
ko:K01810	lpa:lpa_01167
ko:K00973	lpa:lpa_01168
ko:K09690	lpa:lpa_01184
ko:K09691	lpa:lpa_01186
ko:K01782	lpa:lpa_02315
ko:K00626	lpa:lpa_02316
ko:K01595	lpa:lpa_02324
ko:K00147	lpa:lpa_02330
ko:K00931	lpa:lpa_02331
ko:K06176	lpa:lpa_02348
ko:K07019	lpa:lpa_02349
ko:K00648	lpa:lpa_02357
ko:K01061	lpa:lpa_02362
ko:K01733	lpa:lpa_02372
ko:K03335	lpa:lpa_02384
ko:K03336	lpa:lpa_02385
ko:K03338	lpa:lpa_02387
ko:K00010	lpa:lpa_02388
ko:K07552	lpa:lpa_03554
ko:K07393	lpa:lpa_03558
ko:K08641	lpa:lpa_03568
ko:K07238	lpa:lpa_03569
ko:K00675	lpa:lpa_03572
ko:K02348	lpa:lpa_03578
ko:K12979	lpa:lpa_03593
ko:K04655	lpa:lpa_03601
ko:K04654	lpa:lpa_03602
ko:K07001	lpa:lpa_01050
ko:K03885	lpa:lpa_01051
ko:K09930	lpa:lpa_01056
ko:K00982	lpa:lpa_01062
ko:K04084	lpa:lpa_01069
ko:K04078	lpa:lpa_01070
ko:K04077	lpa:lpa_01071
ko:K04047	lpa:lpa_01072
ko:K02622	lpa:lpa_01075
ko:K01881	lpa:lpa_01081
ko:K01673	lpa:lpa_01085
ko:K00573	lpa:lpa_01088
ko:K00639	lpa:lpa_01089
ko:K00060	lpa:lpa_01090
ko:K07112	lpa:lpa_01093
ko:K07112	lpa:lpa_01094
ko:K04653	lpa:lpa_03603
ko:K04656	lpa:lpa_03604
ko:K12218	lpa:lpa_00686
ko:K12217	lpa:lpa_00687
ko:K10907	lpa:lpa_03402
ko:K14228	lpa:lpa_05022
ko:K02004	lpa:lpa_00311
ko:K06186	lpa:lpa_00588
ko:K00020	lpa:lpa_00189
ko:K03417	lpa:lpa_00070
ko:K02004	lpa:lpa_04274
ko:K00568	lpa:lpa_02451
ko:K14231	lpa:lpa_05045
ko:K11085	lpa:lpa_02631
ko:K04750	lpa:lpa_03561
ko:K12215	lpa:lpa_00689
ko:K12210	lpa:lpa_00704
ko:K12207	lpa:lpa_00698
ko:K14228	lpa:lpa_05038
ko:K00632	lpa:lpa_01997
ko:K07483	lpa:lpa_01708
ko:K07250	lpa:lpa_00427
ko:K01768	lpa:lpa_01760
ko:K14234	lpa:lpa_05007
ko:K01934	lpa:lpa_00928
ko:K01977	lpa:lpa_05016
ko:K01977	lpa:lpa_0503
ko:K01977	lpa:lpa_05061
ko:K08305	lpa:lpa_02697
ko:K12262	lpa:lpa_02296
ko:K14225	lpa:lpa_05009
ko:K14225	lpa:lpa_05015
ko:K14232	lpa:lpa_05041
ko:K02673	lpa:lpa_00989
ko:K01760	lpa:lpa_01344
ko:K13771	lpa:lpa_03700
ko:K01759	lpa:lpa_02710
ko:K13766	lpa:lpa_02641
ko:K00951	lpa:lpa_02124
ko:K07394	lpa:lpa_00614
ko:K14221	lpa:lpa_05036
ko:K11189	lpa:lpa_00730
ko:K14230	lpa:lpa_05030
ko:K03762	lpa:lpa_01651
ko:K00537	lpa:lpa_00439
ko:K03762	lpa:lpa_03052
ko:K14153	lpa:lpa_02278
ko:K10780	lpa:lpa_00572
ko:K07045	lpa:lpa_03704
ko:K11072	lpa:lpa_01782
ko:K14236	lpa:lpa_05008
ko:K14237	lpa:lpa_05057
ko:K21147	lpa:lpa_02280
ko:K01139	lpa:lpa_02927
ko:K00128	lpa:lpa_01995
ko:K00758	lpa:lpa_01558
ko:K14232	lpa:lpa_05055
ko:K14228	lpa:lpa_05066
ko:K14234	lpa:lpa_05010
ko:K14233	lpa:lpa_05025
ko:K01768	lpa:lpa_02522
ko:K14234	lpa:lpa_05026
ko:K14218	lpa:lpa_05004
ko:K14218	lpa:lpa_05060
ko:K02005	lpa:lpa_00312
ko:K01912	lpa:lpa_02877
ko:K14233	lpa:lpa_05032
ko:K14233	lpa:lpa_05028
ko:K14218	lpa:lpa_05044
ko:K14228	lpa:lpa_05050
ko:K00674	lpa:lpa_01342
ko:K14224	lpa:lpa_05042
ko:K14224	lpa:lpa_05043
ko:K13993	lpa:lpa_03635
ko:K00253	lpa:lpa_02636
ko:K03821	lpa:lpa_02999
ko:K01897	lpa:lpa_02256
ko:K11749	lpa:lpa_03342
ko:K03293	lpa:lpa_01462
ko:K11745	lpa:lpa_02739
ko:K07011	lpa:lpa_01189
ko:K04518	lpa:lpa_03696
ko:K09810	lpa:lpa_01284
ko:K01980	lpa:lpa_05005
ko:K01980	lpa:lpa_05018
ko:K01980	lpa:lpa_05059
ko:K06445	lpa:lpa_00506
ko:K12226	lpa:lpa_00703
ko:K14219	lpa:lpa_05048
ko:K01286	lpa:lpa_01741
ko:K00459	lpa:lpa_01770
ko:K14441	lpa:lpa_01067
ko:K09810	lpa:lpa_03283
ko:K14225	lpa:lpa_05052
ko:K05994	lpa:lpa_04088
ko:K15035	lpa:lpa_05002
ko:K07733	lpa:lpa_00278
ko:K03574	lpa:lpa_03505
ko:K12204	lpa:lpa_03908
ko:K01768	lpa:lpa_01951
ko:K01426	lpa:lpa_04148
ko:K08992	lpa:lpa_02086
ko:K14623	lpa:lpa_00272
ko:K14652	lpa:lpa_01835
ko:K14219	lpa:lpa_05040
ko:K14235	lpa:lpa_05011
ko:K19546	lpa:lpa_03409
ko:K19547	lpa:lpa_03408
ko:K14237	lpa:lpa_05037
ko:K07689	lpa:lpa_03874
ko:K08305	lpa:lpa_04272
ko:K13930	lpa:lpa_03543
ko:K00949	lpa:lpa_03642
ko:K03719	lpa:lpa_03677
ko:K14220	lpa:lpa_05000
ko:K01800	lpa:lpa_03279
ko:K16291	lpa:lpa_02313
ko:K14230	lpa:lpa_05064
ko:K06133	lpa:lpa_01198
ko:K14230	lpa:lpa_05053
ko:K14261	lpa:lpa_02126
ko:K14228	lpa:lpa_05065
ko:K01840	lpa:lpa_03622
ko:K00103	lpa:lpa_03330
ko:K01178	lpa:lpa_00657
ko:K01069	lpa:lpa_01928
ko:K14219	lpa:lpa_05033
ko:K01537	lpa:lpa_01551
ko:K01985	lpa:lpa_05019
ko:K01985	lpa:lpa_05058
ko:K14226	lpa:lpa_05039
ko:K14742	lpa:lpa_02778
ko:K02358	lpa:lpa_00536
ko:K01467	lpa:lpa_03517
ko:K08365	lpa:lpa_00083
ko:K01176	lpa:lpa_02412
ko:K01176	lpa:lpa_02414
ko:K00122	lpa:lpa_00489
ko:K01505	lpa:lpa_02014
ko:K01897	lpa:lpa_03204
ko:K01510	lpa:lpa_01464
ko:K01626	lpa:lpa_03410
ko:K04771	lpa:lpa_01964
ko:K12202	lpa:lpa_03922
ko:K03563	lpa:lpa_00796
ko:K14229	lpa:lpa_05049
ko:K16329	lpa:lpa_02787
ko:K06919	lpa:lpa_00279
ko:K01081	lpa:lpa_03910
ko:K01487	lpa:lpa_02897
ko:K01768	lpa:lpa_01054
ko:K01120	lpa:lpa_02830
ko:K12526	lpa:lpa_02617
ko:K01426	lpa:lpa_03372
ko:K00799	lpa:lpa_02763
ko:K01286	lpa:lpa_02765
ko:K04065	lpa:lpa_00604
ko:K06148	lpa:lpa_04315
ko:K14645	lpa:lpa_02945
ko:K03767	lpa:lpa_02861
ko:K12205	lpa:lpa_03907
ko:K02030	lpa:lpa_01060
ko:K02028	lpa:lpa_00749
ko:K08154	lpa:lpa_03212
ko:K03296	lpa:lpa_03670
ko:K15484	lpa:lpa_03779
ko:K15726	lpa:lpa_01601
ko:K15383	lpa:lpa_03644
ko:K14475	lpa:lpa_01910
ko:K15476	lpa:lpa_00613
ko:K15479	lpa:lpa_02838
ko:K15481	lpa:lpa_01415
ko:K15482	lpa:lpa_03669
ko:K15724	lpa:lpa_02042
ko:K15483	lpa:lpa_03668
ko:K15490	lpa:lpa_02017
ko:K15490	lpa:lpa_02168
ko:K15475	lpa:lpa_03191
ko:K15726	lpa:lpa_01539
ko:K07278	lpa:lpa_02611
ko:K14232	lpa:lpa_05013
ko:K03574	lpa:lpa_02133
ko:K19550	lpa:lpa_03407
ko:K15396	lpa:lpa_02531
ko:K15474	lpa:lpa_03863
ko:K15492	lpa:lpa_03628
ko:K15633	lpa:lpa_00757
ko:K15738	lpa:lpa_02923
ko:K15727	lpa:lpa_01538
ko:K02428	lpa:lpa_03619
ko:K14415	lpa:lpa_03159
ko:K15371	lpa:lpa_00434
ko:K15725	lpa:lpa_03058
ko:K11741	lpa:lpa_00870
ko:K15461	lpa:lpa_02229
ko:K15725	lpa:lpa_01537
ko:K08086	lpa:lpa_01936
ko:K15342	lpa:lpa_01472
ko:K15268	lpa:lpa_03613
ko:K12542	lpa:lpa_02211
ko:K15977	lpa:lpa_01044
ko:K12541	lpa:lpa_02208
ko:K15984	lpa:lpa_02655
ko:K12543	lpa:lpa_01256
ko:K01985	lpa:lpa_05006
ko:K14223	lpa:lpa_05014
ko:K14219	lpa:lpa_05029
ko:K14229	lpa:lpa_05046
ko:K14229	lpa:lpa_05047
ko:K14227	lpa:lpa_05017
ko:K01207	lpa:lpa_01337
ko:K00570	lpa:lpa_03098
ko:K12251	lpa:lpa_00008
ko:K16137	lpa:lpa_02870
ko:K07241	lpa:lpa_03607
ko:K15725	lpa:lpa_01567
ko:K15725	lpa:lpa_01598
ko:K15727	lpa:lpa_01599
ko:K02487	lpa:lpa_01530
ko:K01715	lpa:lpa_01312
ko:K07038	lpa:lpa_00052
ko:K16264	lpa:lpa_03997
ko:K08604	lpa:lpa_00026
ko:K01990	lpa:lpa_01034
ko:K01990	lpa:lpa_01065
ko:K03321	lpa:lpa_04392
ko:K16171	lpa:lpa_03278
ko:K07122	lpa:lpa_01279
ko:K01166	lpa:lpa_04141
ko:K02030	lpa:lpa_00746
ko:K16868	lpa:lpa_03699
ko:K16011	lpa:lpa_04197
ko:K14998	lpa:lpa_00643
ko:K02029	lpa:lpa_00747
ko:K17713	lpa:lpa_02243
ko:K14222	lpa:lpa_05051
ko:K01990	lpa:lpa_00611
ko:K03671	lpa:lpa_02075
ko:K01992	lpa:lpa_00610
ko:K01992	lpa:lpa_01066
ko:K00821	lpa:lpa_04351
ko:K17686	lpa:lpa_02351
ko:K17686	lpa:lpa_01563
ko:K00254	lpa:lpa_02633
ko:K07263	lpa:lpa_03903
ko:K17758	lpa:lpa_03940
ko:K17759	lpa:lpa_03940
ko:K18138	lpa:lpa_01118
ko:K00663	lpa:lpa_03495
ko:K03585	lpa:lpa_01120
ko:K21480	lpa:lpa_00413
ko:K02031	lpa:lpa_01077
ko:K02032	lpa:lpa_01077
ko:K01838	lpa:lpa_01699
ko:K01768	lpa:lpa_02172
ko:K07090	lpa:lpa_04172
ko:K00523	lpa:lpa_04289
ko:K18429	lpa:lpa_01161
ko:K18431	lpa:lpa_01159
ko:K09458	lpa:lpa_00151
ko:K18430	lpa:lpa_01160
ko:K18480	lpa:lpa_02982
ko:K08744	lpa:lpa_04072
ko:K01971	lpa:lpa_03649
ko:K18800	lpa:lpa_00123
ko:K18778	lpa:lpa_02135
ko:K06147	lpa:lpa_03219
ko:K06147	lpa:lpa_01908
ko:K18844	lpa:lpa_02176
ko:K18850	lpa:lpa_02747
ko:K19055	lpa:lpa_01870
ko:K18997	lpa:lpa_03259
ko:K00986	lpa:lpa_01676
ko:K00812	lpa:lpa_03698
ko:K00499	lpa:lpa_03183
ko:K19130	lpa:lpa_01476
ko:K07012	lpa:lpa_01473
ko:K07448	lpa:lpa_00288
ko:K19416	lpa:lpa_01432
ko:K01992	lpa:lpa_01035
ko:K01992	lpa:lpa_01038
ko:K01399	lpa:lpa_04362
ko:K01399	lpa:lpa_04363
ko:K01399	lpa:lpa_02392
ko:K01399	lpa:lpa_00713
ko:K00638	lpa:lpa_00064
ko:K19294	lpa:lpa_03164
ko:K11209	lpa:lpa_02881
ko:K00992	lpa:lpa_00509
ko:K07666	lpa:lpa_01924
ko:K00995	lpa:lpa_03285
ko:K19784	lpa:lpa_03557
ko:K19804	lpa:lpa_02087
ko:K19810	lpa:lpa_00499
ko:K05770	lpa:lpa_00389
ko:K01568	lpa:lpa_01798
ko:K20265	lpa:lpa_02441
ko:K20266	lpa:lpa_00811
ko:K20265	lpa:lpa_00632
ko:K20265	lpa:lpa_02773
ko:K20530	lpa:lpa_00803
ko:K20529	lpa:lpa_00800
ko:K20527	lpa:lpa_00797
ko:K20527	lpa:lpa_00224
ko:K20531	lpa:lpa_00805
