ko:K07498	babc:DO78_1705
ko:K02529	babc:DO78_1887
ko:K01989	babc:DO78_1890
ko:K05832	babc:DO78_1891
ko:K05833	babc:DO78_1892
ko:K02340	babc:DO78_1893
ko:K03497	babc:DO78_1894
ko:K03496	babc:DO78_1895
ko:K03501	babc:DO78_1896
ko:K03495	babc:DO78_1897
ko:K03650	babc:DO78_1898
ko:K06888	babc:DO78_1900
ko:K03628	babc:DO78_1901
ko:K08973	babc:DO78_1903
ko:K01599	babc:DO78_1904
ko:K09773	babc:DO78_1905
ko:K06287	babc:DO78_1906
ko:K00014	babc:DO78_1907
ko:K00859	babc:DO78_1908
ko:K02342	babc:DO78_1909
ko:K03071	babc:DO78_1910
ko:K07113	babc:DO78_1911
ko:K08304	babc:DO78_1913
ko:K03667	babc:DO78_1917
ko:K01419	babc:DO78_1918
ko:K01693	babc:DO78_1919
ko:K02501	babc:DO78_1921
ko:K01814	babc:DO78_1922
ko:K02500	babc:DO78_1923
ko:K01523	babc:DO78_1924
ko:K00867	babc:DO78_1925
ko:K15034	babc:DO78_1926
ko:K01610	babc:DO78_1928
ko:K07157	babc:DO78_2715
ko:K05838	babc:DO78_2716
ko:K19055	babc:DO78_2717
ko:K06886	babc:DO78_2720
ko:K01476	babc:DO78_2722
ko:K10680	babc:DO78_2724
ko:K06959	babc:DO78_2727
ko:K00128	babc:DO78_2732
ko:K01433	babc:DO78_2733
ko:K01443	babc:DO78_2735
ko:K00820	babc:DO78_2736
ko:K03710	babc:DO78_2737
ko:K00101	babc:DO78_2743
ko:K01775	babc:DO78_2746
ko:K00285	babc:DO78_2747
ko:K00822	babc:DO78_2749
ko:K05836	babc:DO78_2750
ko:K01468	babc:DO78_2752
ko:K01745	babc:DO78_2753
ko:K01479	babc:DO78_2754
ko:K01712	babc:DO78_2755
ko:K09975	babc:DO78_2756
ko:K00824	babc:DO78_2757
ko:K10547	babc:DO78_2758
ko:K10548	babc:DO78_2759
ko:K10546	babc:DO78_2760
ko:K10546	babc:DO78_2761
ko:K01631	babc:DO78_2762
ko:K00883	babc:DO78_2763
ko:K01687	babc:DO78_2764
ko:K01940	babc:DO78_3
ko:K06941	babc:DO78_6
ko:K01724	babc:DO78_10
ko:K01104	babc:DO78_13
ko:K01975	babc:DO78_12
ko:K10804	babc:DO78_14
ko:K02003	babc:DO78_15
ko:K02004	babc:DO78_16
ko:K06890	babc:DO78_17
ko:K03823	babc:DO78_19
ko:K01681	babc:DO78_22
ko:K02193	babc:DO78_23
ko:K02194	babc:DO78_24
ko:K02195	babc:DO78_25
ko:K02196	babc:DO78_26
ko:K02199	babc:DO78_27
ko:K01687	babc:DO78_28
ko:K02048	babc:DO78_36
ko:K02046	babc:DO78_37
ko:K02047	babc:DO78_38
ko:K02045	babc:DO78_39
ko:K13688	babc:DO78_40
ko:K00763	babc:DO78_41
ko:K00847	babc:DO78_44
ko:K05366	babc:DO78_46
ko:K16079	babc:DO78_47
ko:K16079	babc:DO78_48
ko:K03684	babc:DO78_49
ko:K16079	babc:DO78_884
ko:K16079	babc:DO78_885
ko:K09803	babc:DO78_888
ko:K00773	babc:DO78_889
ko:K00537	babc:DO78_902
ko:K03642	babc:DO78_903
ko:K07258	babc:DO78_904
ko:K00943	babc:DO78_905
ko:K02341	babc:DO78_906
ko:K01874	babc:DO78_907
ko:K03424	babc:DO78_908
ko:K06167	babc:DO78_909
ko:K06147	babc:DO78_910
ko:K06179	babc:DO78_911
ko:K01091	babc:DO78_913
ko:K01915	babc:DO78_915
ko:K04751	babc:DO78_916
ko:K01091	babc:DO78_919
ko:K01807	babc:DO78_920
ko:K09924	babc:DO78_921
ko:K00383	babc:DO78_922
ko:K01626	babc:DO78_923
ko:K00901	babc:DO78_924
ko:K01916	babc:DO78_925
ko:K01885	babc:DO78_927
ko:K00029	babc:DO78_928
ko:K02066	babc:DO78_930
ko:K02065	babc:DO78_931
ko:K02067	babc:DO78_932
ko:K18480	babc:DO78_933
ko:K04755	babc:DO78_935
ko:K00928	babc:DO78_1721
ko:K00568	babc:DO78_1723
ko:K02498	babc:DO78_1732
ko:K01719	babc:DO78_1734
ko:K01749	babc:DO78_1735
ko:K01409	babc:DO78_1736
ko:K00057	babc:DO78_1737
ko:K09780	babc:DO78_1738
ko:K03466	babc:DO78_1743
ko:K03320	babc:DO78_1744
ko:K10805	babc:DO78_1745
ko:K03185	babc:DO78_1746
ko:K00240	babc:DO78_1748
ko:K00239	babc:DO78_1749
ko:K00242	babc:DO78_1750
ko:K00241	babc:DO78_1751
ko:K01703	babc:DO78_1753
ko:K02884	babc:DO78_1754
ko:K07090	babc:DO78_1757
ko:K00554	babc:DO78_1762
ko:K02860	babc:DO78_1763
ko:K03733	babc:DO78_1764
ko:K09973	babc:DO78_1765
ko:K00382	babc:DO78_1766
ko:K00658	babc:DO78_1770
ko:K00164	babc:DO78_1771
ko:K01902	babc:DO78_1772
ko:K02012	babc:DO78_2557
ko:K13821	babc:DO78_2558
ko:K03719	babc:DO78_2559
ko:K00281	babc:DO78_2560
ko:K02437	babc:DO78_2561
ko:K00605	babc:DO78_2562
ko:K01915	babc:DO78_2567
ko:K02002	babc:DO78_2571
ko:K02001	babc:DO78_2572
ko:K02000	babc:DO78_2573
ko:K10112	babc:DO78_2578
ko:K02027	babc:DO78_2580
ko:K02025	babc:DO78_2581
ko:K02026	babc:DO78_2582
ko:K02013	babc:DO78_2585
ko:K02015	babc:DO78_2586
ko:K02016	babc:DO78_2587
ko:K06075	babc:DO78_2591
ko:K09761	babc:DO78_2592
ko:K01919	babc:DO78_2593
ko:K03601	babc:DO78_2594
ko:K01915	babc:DO78_2598
ko:K09471	babc:DO78_2600
ko:K00059	babc:DO78_2607
ko:K00036	babc:DO78_2608
ko:K01057	babc:DO78_2609
ko:K00330	babc:DO78_724
ko:K00331	babc:DO78_725
ko:K00332	babc:DO78_726
ko:K00333	babc:DO78_727
ko:K00334	babc:DO78_728
ko:K00335	babc:DO78_729
ko:K00337	babc:DO78_731
ko:K00338	babc:DO78_732
ko:K00339	babc:DO78_733
ko:K00340	babc:DO78_734
ko:K00341	babc:DO78_735
ko:K00342	babc:DO78_736
ko:K00343	babc:DO78_737
ko:K03524	babc:DO78_738
ko:K12574	babc:DO78_739
ko:K03190	babc:DO78_223
ko:K01430	babc:DO78_224
ko:K01429	babc:DO78_226
ko:K01428	babc:DO78_227
ko:K03187	babc:DO78_228
ko:K03188	babc:DO78_229
ko:K03189	babc:DO78_230
ko:K01464	babc:DO78_236
ko:K06016	babc:DO78_237
ko:K17723	babc:DO78_239
ko:K01810	babc:DO78_243
ko:K06987	babc:DO78_244
ko:K01091	babc:DO78_246
ko:K01897	babc:DO78_247
ko:K03577	babc:DO78_248
ko:K03585	babc:DO78_249
ko:K18138	babc:DO78_250
ko:K02030	babc:DO78_252
ko:K07636	babc:DO78_255
ko:K13583	babc:DO78_256
ko:K00611	babc:DO78_258
ko:K04083	babc:DO78_259
ko:K06195	babc:DO78_260
ko:K10764	babc:DO78_261
ko:K01494	babc:DO78_262
ko:K00254	babc:DO78_267
ko:K01259	babc:DO78_270
ko:K03282	babc:DO78_273
ko:K01965	babc:DO78_1094
ko:K01965	babc:DO78_1095
ko:K01847	babc:DO78_1096
ko:K07080	babc:DO78_1099
ko:K01776	babc:DO78_1100
ko:K02533	babc:DO78_1101
ko:K05520	babc:DO78_1102
ko:K00031	babc:DO78_1104
ko:K01077	babc:DO78_1105
ko:K01872	babc:DO78_1106
ko:K07478	babc:DO78_1110
ko:K02879	babc:DO78_1112
ko:K03040	babc:DO78_1113
ko:K02948	babc:DO78_1114
ko:K02952	babc:DO78_1115
ko:K00939	babc:DO78_1116
ko:K03076	babc:DO78_1117
ko:K02876	babc:DO78_1118
ko:K02907	babc:DO78_1119
ko:K02988	babc:DO78_1120
ko:K02881	babc:DO78_1121
ko:K02933	babc:DO78_1122
ko:K02994	babc:DO78_1123
ko:K02954	babc:DO78_1124
ko:K02931	babc:DO78_1125
ko:K02895	babc:DO78_1126
ko:K02874	babc:DO78_1127
ko:K02961	babc:DO78_1128
ko:K02904	babc:DO78_1129
ko:K02878	babc:DO78_1130
ko:K02982	babc:DO78_1131
ko:K02890	babc:DO78_1132
ko:K02965	babc:DO78_1133
ko:K02886	babc:DO78_1134
ko:K02892	babc:DO78_1135
ko:K02926	babc:DO78_1136
ko:K02906	babc:DO78_1137
ko:K02946	babc:DO78_1138
ko:K02358	babc:DO78_1139
ko:K02355	babc:DO78_1140
ko:K02992	babc:DO78_1141
ko:K02950	babc:DO78_1142
ko:K03046	babc:DO78_1144
ko:K03043	babc:DO78_1145
ko:K14981	babc:DO78_1929
ko:K14980	babc:DO78_1930
ko:K02793	babc:DO78_1932
ko:K11189	babc:DO78_1933
ko:K01251	babc:DO78_1934
ko:K16899	babc:DO78_1938
ko:K16898	babc:DO78_1939
ko:K03671	babc:DO78_1940
ko:K11754	babc:DO78_1941
ko:K01963	babc:DO78_1942
ko:K01695	babc:DO78_1943
ko:K01696	babc:DO78_1945
ko:K01817	babc:DO78_1946
ko:K07043	babc:DO78_1948
ko:K05782	babc:DO78_1950
ko:K05782	babc:DO78_1951
ko:K02520	babc:DO78_1954
ko:K02916	babc:DO78_1956
ko:K02887	babc:DO78_1957
ko:K01889	babc:DO78_1959
ko:K01890	babc:DO78_1960
ko:K04043	babc:DO78_1962
ko:K03686	babc:DO78_1963
ko:K00570	babc:DO78_1964
ko:K01591	babc:DO78_1965
ko:K01920	babc:DO78_1968
ko:K07391	babc:DO78_1969
ko:K03642	babc:DO78_1971
ko:K09790	babc:DO78_1972
ko:K02040	babc:DO78_1973
ko:K02037	babc:DO78_1974
ko:K02038	babc:DO78_1975
ko:K02036	babc:DO78_1976
ko:K02039	babc:DO78_1977
ko:K07657	babc:DO78_1978
ko:K01652	babc:DO78_2768
ko:K01266	babc:DO78_2770
ko:K09969	babc:DO78_2771
ko:K01999	babc:DO78_2776
ko:K01995	babc:DO78_2777
ko:K01996	babc:DO78_2778
ko:K01997	babc:DO78_2779
ko:K01998	babc:DO78_2780
ko:K02073	babc:DO78_2782
ko:K02071	babc:DO78_2783
ko:K02072	babc:DO78_2784
ko:K02970	babc:DO78_2787
ko:K00325	babc:DO78_2793
ko:K00324	babc:DO78_2794
ko:K00324	babc:DO78_2795
ko:K07010	babc:DO78_2801
ko:K01470	babc:DO78_2806
ko:K06999	babc:DO78_2810
ko:K17247	babc:DO78_2812
ko:K05606	babc:DO78_740
ko:K01881	babc:DO78_742
ko:K09808	babc:DO78_743
ko:K09810	babc:DO78_744
ko:K02337	babc:DO78_745
ko:K02986	babc:DO78_749
ko:K14058	babc:DO78_750
ko:K07552	babc:DO78_753
ko:K07390	babc:DO78_754
ko:K01952	babc:DO78_756
ko:K01952	babc:DO78_759
ko:K01952	babc:DO78_760
ko:K01923	babc:DO78_761
ko:K02510	babc:DO78_763
ko:K07002	babc:DO78_764
ko:K07104	babc:DO78_765
ko:K01756	babc:DO78_766
ko:K01783	babc:DO78_767
ko:K03641	babc:DO78_1566
ko:K03560	babc:DO78_1568
ko:K03562	babc:DO78_1569
ko:K07107	babc:DO78_1570
ko:K03551	babc:DO78_1571
ko:K03550	babc:DO78_1572
ko:K01159	babc:DO78_1573
ko:K13592	babc:DO78_1574
ko:K00788	babc:DO78_1576
ko:K07126	babc:DO78_1577
ko:K02356	babc:DO78_1578
ko:K01092	babc:DO78_1579
ko:K02557	babc:DO78_1581
ko:K06147	babc:DO78_1582
ko:K02909	babc:DO78_1583
ko:K03523	babc:DO78_1586
ko:K09706	babc:DO78_1587
ko:K09769	babc:DO78_1589
ko:K01934	babc:DO78_1590
ko:K09888	babc:DO78_1591
ko:K00615	babc:DO78_1593
ko:K00134	babc:DO78_1594
ko:K00927	babc:DO78_1595
ko:K01908	babc:DO78_1597
ko:K09987	babc:DO78_1602
ko:K01588	babc:DO78_1609
ko:K01589	babc:DO78_1610
ko:K02919	babc:DO78_1611
ko:K00873	babc:DO78_1613
ko:K15738	babc:DO78_1617
ko:K07483	babc:DO78_2401
ko:K13772	babc:DO78_2405
ko:K03594	babc:DO78_2408
ko:K14441	babc:DO78_2409
ko:K02058	babc:DO78_2410
ko:K02057	babc:DO78_2411
ko:K02057	babc:DO78_2412
ko:K02056	babc:DO78_2413
ko:K01004	babc:DO78_2416
ko:K03185	babc:DO78_2417
ko:K11940	babc:DO78_2418
ko:K02035	babc:DO78_2420
ko:K03723	babc:DO78_2423
ko:K09159	babc:DO78_2424
ko:K03655	babc:DO78_2425
ko:K00820	babc:DO78_2426
ko:K04042	babc:DO78_2427
ko:K06196	babc:DO78_2428
ko:K14205	babc:DO78_2429
ko:K03801	babc:DO78_2434
ko:K02622	babc:DO78_2436
ko:K02433	babc:DO78_2438
ko:K02435	babc:DO78_2439
ko:K07447	babc:DO78_2442
ko:K09456	babc:DO78_2441
ko:K00609	babc:DO78_2443
ko:K01465	babc:DO78_2444
ko:K08591	babc:DO78_2445
ko:K04096	babc:DO78_2446
ko:K03168	babc:DO78_2448
ko:K12573	babc:DO78_2449
ko:K10440	babc:DO78_2814
ko:K10440	babc:DO78_2815
ko:K10441	babc:DO78_2816
ko:K10439	babc:DO78_2817
ko:K05592	babc:DO78_52
ko:K02470	babc:DO78_53
ko:K01070	babc:DO78_54
ko:K02348	babc:DO78_57
ko:K00121	babc:DO78_58
ko:K03579	babc:DO78_62
ko:K15011	babc:DO78_63
ko:K15012	babc:DO78_66
ko:K01867	babc:DO78_71
ko:K03980	babc:DO78_72
ko:K00990	babc:DO78_73
ko:K00029	babc:DO78_74
ko:K00029	babc:DO78_75
ko:K03555	babc:DO78_76
ko:K03101	babc:DO78_78
ko:K03437	babc:DO78_79
ko:K06969	babc:DO78_80
ko:K05788	babc:DO78_82
ko:K04773	babc:DO78_83
ko:K11719	babc:DO78_84
ko:K09774	babc:DO78_85
ko:K06861	babc:DO78_86
ko:K03092	babc:DO78_87
ko:K02806	babc:DO78_89
ko:K10773	babc:DO78_93
ko:K06203	babc:DO78_94
ko:K03687	babc:DO78_97
ko:K03705	babc:DO78_98
ko:K00989	babc:DO78_99
ko:K02428	babc:DO78_102
ko:K07056	babc:DO78_104
ko:K07460	babc:DO78_105
ko:K02302	babc:DO78_106
ko:K00384	babc:DO78_936
ko:K00384	babc:DO78_937
ko:K00796	babc:DO78_939
ko:K01633	babc:DO78_940
ko:K00950	babc:DO78_941
ko:K08990	babc:DO78_943
ko:K06918	babc:DO78_944
ko:K08296	babc:DO78_945
ko:K06204	babc:DO78_946
ko:K13587	babc:DO78_949
ko:K07007	babc:DO78_950
ko:K16053	babc:DO78_951
ko:K00769	babc:DO78_955
ko:K03809	babc:DO78_958
ko:K01754	babc:DO78_960
ko:K11927	babc:DO78_961
ko:K01738	babc:DO78_962
ko:K07050	babc:DO78_963
ko:K01011	babc:DO78_964
ko:K18118	babc:DO78_967
ko:K03543	babc:DO78_970
ko:K13953	babc:DO78_973
ko:K13953	babc:DO78_974
ko:K14347	babc:DO78_976
ko:K01784	babc:DO78_977
ko:K04765	babc:DO78_978
ko:K01868	babc:DO78_982
ko:K08998	babc:DO78_984
ko:K01495	babc:DO78_986
ko:K01496	babc:DO78_987
ko:K07001	babc:DO78_988
ko:K01903	babc:DO78_1773
ko:K00024	babc:DO78_1774
ko:K06916	babc:DO78_1775
ko:K01778	babc:DO78_1777
ko:K18707	babc:DO78_1778
ko:K03110	babc:DO78_1779
ko:K06190	babc:DO78_1780
ko:K01069	babc:DO78_1781
ko:K03574	babc:DO78_1784
ko:K00620	babc:DO78_1786
ko:K03769	babc:DO78_1787
ko:K03070	babc:DO78_1788
ko:K03760	babc:DO78_1790
ko:K03760	babc:DO78_1791
ko:K02030	babc:DO78_1795
ko:K02029	babc:DO78_1796
ko:K02029	babc:DO78_1797
ko:K02028	babc:DO78_1798
ko:K01480	babc:DO78_1799
ko:K01744	babc:DO78_1800
ko:K09972	babc:DO78_1801
ko:K01424	babc:DO78_1802
ko:K01424	babc:DO78_1804
ko:K01761	babc:DO78_1806
ko:K01738	babc:DO78_1808
ko:K00074	babc:DO78_1809
ko:K03522	babc:DO78_1810
ko:K03521	babc:DO78_1811
ko:K06920	babc:DO78_1812
ko:K01737	babc:DO78_1813
ko:K10026	babc:DO78_1814
ko:K07058	babc:DO78_1818
ko:K09768	babc:DO78_1819
ko:K01755	babc:DO78_1821
ko:K01586	babc:DO78_1823
ko:K01690	babc:DO78_2610
ko:K01491	babc:DO78_2611
ko:K00286	babc:DO78_2612
ko:K02034	babc:DO78_2615
ko:K02033	babc:DO78_2616
ko:K02035	babc:DO78_2617
ko:K01673	babc:DO78_2619
ko:K04566	babc:DO78_2621
ko:K01782	babc:DO78_2624
ko:K00626	babc:DO78_2625
ko:K10824	babc:DO78_2629
ko:K15587	babc:DO78_2630
ko:K15586	babc:DO78_2631
ko:K15585	babc:DO78_2632
ko:K15584	babc:DO78_2633
ko:K15584	babc:DO78_2634
ko:K07722	babc:DO78_2635
ko:K01708	babc:DO78_2636
ko:K02053	babc:DO78_2637
ko:K02054	babc:DO78_2638
ko:K02052	babc:DO78_2639
ko:K02055	babc:DO78_2640
ko:K00040	babc:DO78_2641
ko:K01812	babc:DO78_2642
ko:K01812	babc:DO78_2643
ko:K01686	babc:DO78_2645
ko:K06199	babc:DO78_2650
ko:K06199	babc:DO78_2651
ko:K09137	babc:DO78_2652
ko:K13582	babc:DO78_2654
ko:K07090	babc:DO78_2655
ko:K06953	babc:DO78_2657
ko:K03724	babc:DO78_2658
ko:K00459	babc:DO78_2661
ko:K02517	babc:DO78_768
ko:K09458	babc:DO78_770
ko:K09458	babc:DO78_771
ko:K01785	babc:DO78_775
ko:K00874	babc:DO78_774
ko:K06162	babc:DO78_778
ko:K02030	babc:DO78_779
ko:K05539	babc:DO78_781
ko:K06985	babc:DO78_780
ko:K02233	babc:DO78_782
ko:K00768	babc:DO78_783
ko:K05800	babc:DO78_784
ko:K07126	babc:DO78_787
ko:K01142	babc:DO78_788
ko:K01129	babc:DO78_791
ko:K01887	babc:DO78_792
ko:K01207	babc:DO78_794
ko:K05896	babc:DO78_795
ko:K06024	babc:DO78_796
ko:K03116	babc:DO78_797
ko:K03117	babc:DO78_798
ko:K03118	babc:DO78_799
ko:K01875	babc:DO78_800
ko:K03787	babc:DO78_801
ko:K00573	babc:DO78_802
ko:K06923	babc:DO78_804
ko:K03210	babc:DO78_805
ko:K12257	babc:DO78_806
ko:K02291	babc:DO78_808
ko:K04094	babc:DO78_809
ko:K03545	babc:DO78_814
ko:K02434	babc:DO78_815
ko:K00684	babc:DO78_819
ko:K01961	babc:DO78_820
ko:K02160	babc:DO78_821
ko:K00949	babc:DO78_1619
ko:K02064	babc:DO78_1620
ko:K02063	babc:DO78_1621
ko:K02062	babc:DO78_1622
ko:K03089	babc:DO78_1625
ko:K07736	babc:DO78_1626
ko:K05524	babc:DO78_1627
ko:K04762	babc:DO78_1628
ko:K17675	babc:DO78_1629
ko:K00626	babc:DO78_1630
ko:K02911	babc:DO78_1632
ko:K03814	babc:DO78_1633
ko:K00795	babc:DO78_1634
ko:K03526	babc:DO78_1635
ko:K00019	babc:DO78_1636
ko:K01958	babc:DO78_1638
ko:K01999	babc:DO78_1639
ko:K01999	babc:DO78_1641
ko:K01996	babc:DO78_1643
ko:K01995	babc:DO78_1644
ko:K01998	babc:DO78_1645
ko:K01997	babc:DO78_1646
ko:K12658	babc:DO78_1647
ko:K00285	babc:DO78_1648
ko:K06075	babc:DO78_1650
ko:K02114	babc:DO78_1651
ko:K02112	babc:DO78_1652
ko:K02115	babc:DO78_1653
ko:K02111	babc:DO78_1654
ko:K02113	babc:DO78_1655
ko:K04066	babc:DO78_1657
ko:K00616	babc:DO78_1658
ko:K03643	babc:DO78_1659
ko:K01869	babc:DO78_1660
ko:K06997	babc:DO78_1661
ko:K01895	babc:DO78_1664
ko:K03799	babc:DO78_1666
ko:K03500	babc:DO78_1667
ko:K02913	babc:DO78_2453
ko:K02488	babc:DO78_2454
ko:K11443	babc:DO78_2455
ko:K06140	babc:DO78_2457
ko:K02346	babc:DO78_2458
ko:K02342	babc:DO78_2466
ko:K00285	babc:DO78_2470
ko:K02030	babc:DO78_2471
ko:K02030	babc:DO78_2472
ko:K01032	babc:DO78_2478
ko:K01031	babc:DO78_2479
ko:K02624	babc:DO78_2480
ko:K18954	babc:DO78_2481
ko:K00481	babc:DO78_2482
ko:K02623	babc:DO78_2483
ko:K01055	babc:DO78_2484
ko:K01607	babc:DO78_2485
ko:K00449	babc:DO78_2487
ko:K00448	babc:DO78_2488
ko:K01857	babc:DO78_2489
ko:K01999	babc:DO78_2490
ko:K01997	babc:DO78_2491
ko:K01998	babc:DO78_2492
ko:K01995	babc:DO78_2493
ko:K01996	babc:DO78_2494
ko:K01486	babc:DO78_2495
ko:K01273	babc:DO78_2496
ko:K05813	babc:DO78_2497
ko:K05814	babc:DO78_2498
ko:K05815	babc:DO78_2499
ko:K05816	babc:DO78_2500
ko:K06901	babc:DO78_2503
ko:K00643	babc:DO78_274
ko:K06518	babc:DO78_280
ko:K01918	babc:DO78_283
ko:K00606	babc:DO78_284
ko:K00528	babc:DO78_285
ko:K13747	babc:DO78_287
ko:K03327	babc:DO78_291
ko:K02480	babc:DO78_293
ko:K14977	babc:DO78_298
ko:K13481	babc:DO78_301
ko:K13482	babc:DO78_302
ko:K07402	babc:DO78_303
ko:K01487	babc:DO78_306
ko:K01533	babc:DO78_309
ko:K00406	babc:DO78_312
ko:K00407	babc:DO78_313
ko:K00405	babc:DO78_314
ko:K00404	babc:DO78_315
ko:K10778	babc:DO78_320
ko:K17938	babc:DO78_324
ko:K02935	babc:DO78_1146
ko:K02864	babc:DO78_1147
ko:K02863	babc:DO78_1148
ko:K02867	babc:DO78_1149
ko:K02601	babc:DO78_1150
ko:K03073	babc:DO78_1151
ko:K02358	babc:DO78_1153
ko:K03218	babc:DO78_1156
ko:K00640	babc:DO78_1164
ko:K09005	babc:DO78_1166
ko:K03704	babc:DO78_1167
ko:K01759	babc:DO78_1168
ko:K07462	babc:DO78_1171
ko:K01921	babc:DO78_1172
ko:K11532	babc:DO78_1173
ko:K00003	babc:DO78_1174
ko:K14261	babc:DO78_1175
ko:K09956	babc:DO78_1180
ko:K06206	babc:DO78_1181
ko:K01265	babc:DO78_1182
ko:K03630	babc:DO78_1183
ko:K16079	babc:DO78_1184
ko:K00595	babc:DO78_1185
ko:K02229	babc:DO78_1186
ko:K06042	babc:DO78_1187
ko:K03394	babc:DO78_1188
ko:K13541	babc:DO78_1189
ko:K13786	babc:DO78_1192
ko:K01999	babc:DO78_1194
ko:K02227	babc:DO78_1193
ko:K02225	babc:DO78_1195
ko:K02224	babc:DO78_1196
ko:K02303	babc:DO78_1197
ko:K04047	babc:DO78_1982
ko:K03789	babc:DO78_1984
ko:K06168	babc:DO78_1986
ko:K07042	babc:DO78_1988
ko:K03820	babc:DO78_1990
ko:K00789	babc:DO78_1992
ko:K03439	babc:DO78_1993
ko:K09748	babc:DO78_1994
ko:K02600	babc:DO78_1995
ko:K07742	babc:DO78_1996
ko:K02519	babc:DO78_1997
ko:K02834	babc:DO78_1998
ko:K03177	babc:DO78_1999
ko:K02956	babc:DO78_2000
ko:K00962	babc:DO78_2001
ko:K00564	babc:DO78_2002
ko:K00564	babc:DO78_2003
ko:K00208	babc:DO78_2004
ko:K00647	babc:DO78_2005
ko:K01716	babc:DO78_2006
ko:K09826	babc:DO78_2007
ko:K02073	babc:DO78_2008
ko:K01255	babc:DO78_2015
ko:K10563	babc:DO78_2017
ko:K01692	babc:DO78_2018
ko:K02968	babc:DO78_2019
ko:K02313	babc:DO78_2020
ko:K02338	babc:DO78_2021
ko:K03629	babc:DO78_2022
ko:K12972	babc:DO78_2024
ko:K13896	babc:DO78_2025
ko:K13895	babc:DO78_2026
ko:K13894	babc:DO78_2027
ko:K13893	babc:DO78_2028
ko:K13893	babc:DO78_2029
ko:K01999	babc:DO78_2031
ko:K02014	babc:DO78_2820
ko:K00799	babc:DO78_2823
ko:K15736	babc:DO78_2827
ko:K02342	babc:DO78_2828
ko:K02433	babc:DO78_2829
ko:K02433	babc:DO78_2830
ko:K02034	babc:DO78_2833
ko:K02033	babc:DO78_2834
ko:K02035	babc:DO78_2835
ko:K00059	babc:DO78_2836
ko:K00128	babc:DO78_2837
ko:K08169	babc:DO78_2839
ko:K03536	babc:DO78_2844
ko:K03217	babc:DO78_2845
ko:K03978	babc:DO78_2846
ko:K00930	babc:DO78_2847
ko:K07025	babc:DO78_2848
ko:K06966	babc:DO78_2849
ko:K00674	babc:DO78_2850
ko:K01439	babc:DO78_2852
ko:K06173	babc:DO78_2854
ko:K00604	babc:DO78_2855
ko:K01462	babc:DO78_2856
ko:K09760	babc:DO78_2857
ko:K07401	babc:DO78_2858
ko:K07461	babc:DO78_2859
ko:K03596	babc:DO78_2860
ko:K00329	babc:DO78_2861
ko:K00356	babc:DO78_2861
ko:K06153	babc:DO78_2862
ko:K00799	babc:DO78_2863
ko:K18979	babc:DO78_2864
ko:K07261	babc:DO78_2866
ko:K01734	babc:DO78_2867
ko:K00845	babc:DO78_2868
ko:K06147	babc:DO78_2869
ko:K00215	babc:DO78_2870
ko:K01834	babc:DO78_2871
ko:K01649	babc:DO78_604
ko:K05786	babc:DO78_605
ko:K02528	babc:DO78_607
ko:K00097	babc:DO78_608
ko:K03771	babc:DO78_609
ko:K04744	babc:DO78_610
ko:K11720	babc:DO78_611
ko:K07091	babc:DO78_612
ko:K01255	babc:DO78_613
ko:K02339	babc:DO78_614
ko:K06158	babc:DO78_616
ko:K00940	babc:DO78_618
ko:K09914	babc:DO78_619
ko:K03635	babc:DO78_620
ko:K03636	babc:DO78_621
ko:K03703	babc:DO78_623
ko:K16079	babc:DO78_625
ko:K00799	babc:DO78_626
ko:K01166	babc:DO78_627
ko:K07115	babc:DO78_629
ko:K11175	babc:DO78_633
ko:K01933	babc:DO78_634
ko:K01784	babc:DO78_637
ko:K03303	babc:DO78_641
ko:K00939	babc:DO78_647
ko:K00566	babc:DO78_1463
ko:K06975	babc:DO78_1466
ko:K13588	babc:DO78_1469
ko:K13584	babc:DO78_1470
ko:K07270	babc:DO78_1475
ko:K07289	babc:DO78_1478
ko:K11074	babc:DO78_1479
ko:K11075	babc:DO78_1481
ko:K11076	babc:DO78_1482
ko:K11073	babc:DO78_1483
ko:K07110	babc:DO78_1484
ko:K01637	babc:DO78_1486
ko:K00076	babc:DO78_1490
ko:K16079	babc:DO78_1495
ko:K05879	babc:DO78_1498
ko:K05878	babc:DO78_1499
ko:K05878	babc:DO78_1500
ko:K05879	babc:DO78_1501
ko:K05878	babc:DO78_1502
ko:K17205	babc:DO78_1504
ko:K17206	babc:DO78_1505
ko:K17207	babc:DO78_1506
ko:K00864	babc:DO78_2298
ko:K08224	babc:DO78_2300
ko:K07305	babc:DO78_2303
ko:K00626	babc:DO78_2304
ko:K01895	babc:DO78_2306
ko:K01895	babc:DO78_2307
ko:K00058	babc:DO78_2309
ko:K01462	babc:DO78_2310
ko:K09781	babc:DO78_2311
ko:K07112	babc:DO78_2313
ko:K07112	babc:DO78_2314
ko:K01993	babc:DO78_2318
ko:K01990	babc:DO78_2319
ko:K01990	babc:DO78_2320
ko:K02050	babc:DO78_2323
ko:K02049	babc:DO78_2324
ko:K02051	babc:DO78_2325
ko:K03885	babc:DO78_2334
ko:K06996	babc:DO78_2336
ko:K03310	babc:DO78_2338
ko:K07273	babc:DO78_2339
ko:K00651	babc:DO78_2340
ko:K00648	babc:DO78_2342
ko:K00833	babc:DO78_2343
ko:K01935	babc:DO78_2344
ko:K00652	babc:DO78_2345
ko:K01012	babc:DO78_2346
ko:K02053	babc:DO78_3132
