ko:K07050	bsui:BSSP1_I0647
ko:K01609	bsui:BSSP1_I0558
ko:K00766	bsui:BSSP1_I0559
ko:K03770	bsui:BSSP1_I0560
ko:K01803	bsui:BSSP1_I0561
ko:K03075	bsui:BSSP1_I0562
ko:K01937	bsui:BSSP1_I0564
ko:K01627	bsui:BSSP1_I0565
ko:K17938	bsui:BSSP1_I1325
ko:K10778	bsui:BSSP1_I1329
ko:K00404	bsui:BSSP1_I1334
ko:K00405	bsui:BSSP1_I1335
ko:K00407	bsui:BSSP1_I1336
ko:K00406	bsui:BSSP1_I1337
ko:K01533	bsui:BSSP1_I1340
ko:K01487	bsui:BSSP1_I1343
ko:K07402	bsui:BSSP1_I1346
ko:K13482	bsui:BSSP1_I1347
ko:K13481	bsui:BSSP1_I1348
ko:K13481	bsui:BSSP1_I1349
ko:K14977	bsui:BSSP1_I1352
ko:K02431	bsui:BSSP1_I1359
ko:K02056	bsui:BSSP1_I1361
ko:K02057	bsui:BSSP1_I1362
ko:K02058	bsui:BSSP1_I1364
ko:K02013	bsui:BSSP1_I1366
ko:K02015	bsui:BSSP1_I1367
ko:K02016	bsui:BSSP1_I1368
ko:K16092	bsui:BSSP1_I1369
ko:K13926	bsui:BSSP1_I1371
ko:K00033	bsui:BSSP1_II0076
ko:K02052	bsui:BSSP1_II0077
ko:K02053	bsui:BSSP1_II0078
ko:K02054	bsui:BSSP1_II0079
ko:K02055	bsui:BSSP1_II0081
ko:K03543	bsui:BSSP1_II0084
ko:K02401	bsui:BSSP1_II0089
ko:K02410	bsui:BSSP1_II0090
ko:K02410	bsui:BSSP1_II0091
ko:K02417	bsui:BSSP1_II0092
ko:K02416	bsui:BSSP1_II0094
ko:K02556	bsui:BSSP1_II0095
ko:K02391	bsui:BSSP1_II0097
ko:K02412	bsui:BSSP1_II0098
ko:K02387	bsui:BSSP1_II0112
ko:K02388	bsui:BSSP1_II0113
ko:K02408	bsui:BSSP1_II0114
ko:K02392	bsui:BSSP1_II0115
ko:K02386	bsui:BSSP1_II0116
ko:K02394	bsui:BSSP1_II0117
ko:K02393	bsui:BSSP1_II0119
ko:K02415	bsui:BSSP1_II0120
ko:K02415	bsui:BSSP1_II0121
ko:K02419	bsui:BSSP1_II0122
ko:K01624	bsui:BSSP1_II0816
ko:K03841	bsui:BSSP1_II0817
ko:K03092	bsui:BSSP1_I0155
ko:K02806	bsui:BSSP1_I0159
ko:K10773	bsui:BSSP1_I0163
ko:K06203	bsui:BSSP1_I0164
ko:K03687	bsui:BSSP1_I0168
ko:K03705	bsui:BSSP1_I0169
ko:K00989	bsui:BSSP1_I0171
ko:K02428	bsui:BSSP1_I0173
ko:K07056	bsui:BSSP1_I0175
ko:K07460	bsui:BSSP1_I0176
ko:K02302	bsui:BSSP1_I0178
ko:K00381	bsui:BSSP1_I0180
ko:K00390	bsui:BSSP1_I0181
ko:K00567	bsui:BSSP1_I0184
ko:K00548	bsui:BSSP1_I0187
ko:K07782	bsui:BSSP1_I0188
ko:K16871	bsui:BSSP1_I0189
ko:K00957	bsui:BSSP1_I0190
ko:K00955	bsui:BSSP1_I0191
ko:K01082	bsui:BSSP1_I0192
ko:K02444	bsui:BSSP1_I0196
ko:K00111	bsui:BSSP1_I0197
ko:K00138	bsui:BSSP1_I0199
ko:K13953	bsui:BSSP1_I0200
ko:K09959	bsui:BSSP1_I0201
ko:K02529	bsui:BSSP1_I0202
ko:K06147	bsui:BSSP1_I0203
ko:K00939	bsui:BSSP1_I0979
ko:K03303	bsui:BSSP1_I0984
ko:K01784	bsui:BSSP1_I0989
ko:K01933	bsui:BSSP1_I0993
ko:K11175	bsui:BSSP1_I0994
ko:K07115	bsui:BSSP1_I1001
ko:K01166	bsui:BSSP1_I1004
ko:K00799	bsui:BSSP1_I1005
ko:K16079	bsui:BSSP1_I1006
ko:K03703	bsui:BSSP1_I1009
ko:K03636	bsui:BSSP1_I1011
ko:K03635	bsui:BSSP1_I1012
ko:K09914	bsui:BSSP1_I1013
ko:K00940	bsui:BSSP1_I1014
ko:K06158	bsui:BSSP1_I1016
ko:K02339	bsui:BSSP1_I1018
ko:K01255	bsui:BSSP1_I1019
ko:K00164	bsui:BSSP1_I1725
ko:K01902	bsui:BSSP1_I1727
ko:K01903	bsui:BSSP1_I1728
ko:K00024	bsui:BSSP1_I1729
ko:K06916	bsui:BSSP1_I1730
ko:K01778	bsui:BSSP1_I1733
ko:K03110	bsui:BSSP1_I1735
ko:K06190	bsui:BSSP1_I1736
ko:K01069	bsui:BSSP1_I1737
ko:K03574	bsui:BSSP1_I1740
ko:K00620	bsui:BSSP1_I1742
ko:K03769	bsui:BSSP1_I1744
ko:K03070	bsui:BSSP1_I1746
ko:K03760	bsui:BSSP1_I1749
ko:K02030	bsui:BSSP1_I1753
ko:K02029	bsui:BSSP1_I1754
ko:K02029	bsui:BSSP1_I1755
ko:K02028	bsui:BSSP1_I1756
ko:K01480	bsui:BSSP1_I1757
ko:K01744	bsui:BSSP1_I1758
ko:K09972	bsui:BSSP1_I1759
ko:K01424	bsui:BSSP1_I1760
ko:K01424	bsui:BSSP1_I1762
ko:K01761	bsui:BSSP1_I1766
ko:K01738	bsui:BSSP1_I1768
ko:K00074	bsui:BSSP1_I1770
ko:K03522	bsui:BSSP1_I1771
ko:K03521	bsui:BSSP1_I1772
ko:K06920	bsui:BSSP1_I1773
ko:K01737	bsui:BSSP1_I1774
ko:K10026	bsui:BSSP1_I1775
ko:K18676	bsui:BSSP1_II0471
ko:K10117	bsui:BSSP1_II0472
ko:K10118	bsui:BSSP1_II0474
ko:K10119	bsui:BSSP1_II0475
ko:K10111	bsui:BSSP1_II0477
ko:K00166	bsui:BSSP1_II0478
ko:K00167	bsui:BSSP1_II0479
ko:K09699	bsui:BSSP1_II0480
ko:K00382	bsui:BSSP1_II0481
ko:K14998	bsui:BSSP1_II0482
ko:K03466	bsui:BSSP1_II0483
ko:K01266	bsui:BSSP1_II0484
ko:K08369	bsui:BSSP1_II0485
ko:K03919	bsui:BSSP1_II0486
ko:K10823	bsui:BSSP1_II0487
ko:K15583	bsui:BSSP1_II0487
ko:K15582	bsui:BSSP1_II0488
ko:K15581	bsui:BSSP1_II0489
ko:K15580	bsui:BSSP1_II0490
ko:K15580	bsui:BSSP1_II0491
ko:K00012	bsui:BSSP1_II0497
ko:K07039	bsui:BSSP1_II0508
ko:K13772	bsui:BSSP1_II0516
ko:K03594	bsui:BSSP1_II0518
ko:K07736	bsui:BSSP1_II1206
ko:K05524	bsui:BSSP1_II1207
ko:K04762	bsui:BSSP1_II1209
ko:K06207	bsui:BSSP1_II0819
ko:K06213	bsui:BSSP1_II0820
ko:K01284	bsui:BSSP1_II0821
ko:K01644	bsui:BSSP1_II0824
ko:K01644	bsui:BSSP1_II0825
ko:K01704	bsui:BSSP1_II0826
ko:K00133	bsui:BSSP1_II0830
ko:K10778	bsui:BSSP1_II0833
ko:K00052	bsui:BSSP1_II0834
ko:K09791	bsui:BSSP1_II0836
ko:K07157	bsui:BSSP1_II0837
ko:K05838	bsui:BSSP1_II0838
ko:K06886	bsui:BSSP1_II0843
ko:K01476	bsui:BSSP1_II0845
ko:K10680	bsui:BSSP1_II0847
ko:K10680	bsui:BSSP1_II0848
ko:K06959	bsui:BSSP1_II0850
ko:K00128	bsui:BSSP1_II0855
ko:K01433	bsui:BSSP1_II0856
ko:K01443	bsui:BSSP1_II0858
ko:K00820	bsui:BSSP1_II0859
ko:K03710	bsui:BSSP1_II0860
ko:K17675	bsui:BSSP1_II1210
ko:K00626	bsui:BSSP1_II1212
ko:K02911	bsui:BSSP1_II1215
ko:K03814	bsui:BSSP1_II1216
ko:K00795	bsui:BSSP1_II1217
ko:K00019	bsui:BSSP1_II1219
ko:K01958	bsui:BSSP1_II1221
ko:K01999	bsui:BSSP1_II1222
ko:K01999	bsui:BSSP1_II1225
ko:K01996	bsui:BSSP1_II1227
ko:K01996	bsui:BSSP1_II1228
ko:K01995	bsui:BSSP1_II1229
ko:K01998	bsui:BSSP1_II1230
ko:K01997	bsui:BSSP1_II1231
ko:K12658	bsui:BSSP1_II1232
ko:K00285	bsui:BSSP1_II1233
ko:K06075	bsui:BSSP1_II1235
ko:K02114	bsui:BSSP1_II1236
ko:K02112	bsui:BSSP1_II1237
ko:K02115	bsui:BSSP1_II1238
ko:K02111	bsui:BSSP1_II1239
ko:K02113	bsui:BSSP1_II1240
ko:K04066	bsui:BSSP1_II1242
ko:K00616	bsui:BSSP1_II1243
ko:K03643	bsui:BSSP1_II1244
ko:K01869	bsui:BSSP1_II1245
ko:K06997	bsui:BSSP1_II1246
ko:K01895	bsui:BSSP1_II1249
ko:K03799	bsui:BSSP1_II1252
ko:K01689	bsui:BSSP1_I0566
ko:K00161	bsui:BSSP1_I0569
ko:K00162	bsui:BSSP1_I0570
ko:K00627	bsui:BSSP1_I0571
ko:K00382	bsui:BSSP1_I0572
ko:K03644	bsui:BSSP1_I0574
ko:K18588	bsui:BSSP1_I0575
ko:K03743	bsui:BSSP1_I0577
ko:K12506	bsui:BSSP1_I0578
ko:K07708	bsui:BSSP1_I0580
ko:K07708	bsui:BSSP1_I0581
ko:K07712	bsui:BSSP1_I0583
ko:K13598	bsui:BSSP1_I0584
ko:K13599	bsui:BSSP1_I0585
ko:K03499	bsui:BSSP1_I0586
ko:K03499	bsui:BSSP1_I0587
ko:K03666	bsui:BSSP1_I0589
ko:K03665	bsui:BSSP1_I0590
ko:K01358	bsui:BSSP1_I0591
ko:K03544	bsui:BSSP1_I0592
ko:K01338	bsui:BSSP1_I0593
ko:K03530	bsui:BSSP1_I0594
ko:K03701	bsui:BSSP1_I0595
ko:K02043	bsui:BSSP1_I0597
ko:K05774	bsui:BSSP1_I0599
ko:K05595	bsui:BSSP1_I0600
ko:K02469	bsui:BSSP1_I0601
ko:K00954	bsui:BSSP1_I0603
ko:K07568	bsui:BSSP1_I0606
ko:K00773	bsui:BSSP1_I0607
ko:K03585	bsui:BSSP1_I0609
ko:K18138	bsui:BSSP1_I0610
ko:K00252	bsui:BSSP1_I0613
ko:K01993	bsui:BSSP1_I1372
ko:K01430	bsui:BSSP1_I1375
ko:K01429	bsui:BSSP1_I1376
ko:K01428	bsui:BSSP1_I1377
ko:K03187	bsui:BSSP1_I1378
ko:K03188	bsui:BSSP1_I1379
ko:K03189	bsui:BSSP1_I1380
ko:K03190	bsui:BSSP1_I1381
ko:K08717	bsui:BSSP1_I1382
ko:K02009	bsui:BSSP1_I1383
ko:K02007	bsui:BSSP1_I1384
ko:K16915	bsui:BSSP1_I1385
ko:K02008	bsui:BSSP1_I1386
ko:K02006	bsui:BSSP1_I1387
ko:K06199	bsui:BSSP1_I1389
ko:K06998	bsui:BSSP1_I1392
ko:K00053	bsui:BSSP1_I1398
ko:K03549	bsui:BSSP1_I1400
ko:K03474	bsui:BSSP1_I1401
ko:K01653	bsui:BSSP1_I1405
ko:K01652	bsui:BSSP1_I1406
ko:K00791	bsui:BSSP1_I1408
ko:K01079	bsui:BSSP1_I1409
ko:K07007	bsui:BSSP1_I1410
ko:K09937	bsui:BSSP1_I1412
ko:K04087	bsui:BSSP1_I1413
ko:K04088	bsui:BSSP1_I1414
ko:K07552	bsui:BSSP1_I1419
ko:K09985	bsui:BSSP1_I1422
ko:K09709	bsui:BSSP1_II0127
ko:K01644	bsui:BSSP1_II0128
ko:K08738	bsui:BSSP1_II0134
ko:K09794	bsui:BSSP1_II0135
ko:K00104	bsui:BSSP1_II0140
ko:K11472	bsui:BSSP1_II0141
ko:K11473	bsui:BSSP1_II0142
ko:K06221	bsui:BSSP1_II0143
ko:K01246	bsui:BSSP1_II0146
ko:K01892	bsui:BSSP1_II0148
ko:K02502	bsui:BSSP1_II0149
ko:K00765	bsui:BSSP1_II0150
ko:K02429	bsui:BSSP1_II0151
ko:K02429	bsui:BSSP1_II0152
ko:K15977	bsui:BSSP1_II0153
ko:K01679	bsui:BSSP1_II0154
ko:K04077	bsui:BSSP1_II0156
ko:K04078	bsui:BSSP1_II0157
ko:K11753	bsui:BSSP1_II0160
ko:K01870	bsui:BSSP1_II0161
ko:K12262	bsui:BSSP1_II0163
ko:K06178	bsui:BSSP1_II0165
ko:K08316	bsui:BSSP1_II0166
ko:K07263	bsui:BSSP1_II0167
ko:K15599	bsui:BSSP1_I0206
ko:K03707	bsui:BSSP1_I0207
ko:K15598	bsui:BSSP1_I0208
ko:K00788	bsui:BSSP1_I0209
ko:K03149	bsui:BSSP1_I0210
ko:K03154	bsui:BSSP1_I0211
ko:K03153	bsui:BSSP1_I0212
ko:K00941	bsui:BSSP1_I0213
ko:K05846	bsui:BSSP1_I0218
ko:K05847	bsui:BSSP1_I0219
ko:K05846	bsui:BSSP1_I0220
ko:K05845	bsui:BSSP1_I0221
ko:K00262	bsui:BSSP1_I0223
ko:K00303	bsui:BSSP1_I0224
ko:K02027	bsui:BSSP1_I0230
ko:K02025	bsui:BSSP1_I0231
ko:K02026	bsui:BSSP1_I0232
ko:K10112	bsui:BSSP1_I0233
ko:K03534	bsui:BSSP1_I0235
ko:K18335	bsui:BSSP1_I0237
ko:K18334	bsui:BSSP1_I0239
ko:K02395	bsui:BSSP1_I0251
ko:K07091	bsui:BSSP1_I1021
ko:K11720	bsui:BSSP1_I1022
ko:K04744	bsui:BSSP1_I1023
ko:K03771	bsui:BSSP1_I1024
ko:K00097	bsui:BSSP1_I1025
ko:K02528	bsui:BSSP1_I1026
ko:K05786	bsui:BSSP1_I1028
ko:K01649	bsui:BSSP1_I1029
ko:K01883	bsui:BSSP1_I1031
ko:K06895	bsui:BSSP1_I1034
ko:K01465	bsui:BSSP1_I1040
ko:K06980	bsui:BSSP1_I1041
ko:K03584	bsui:BSSP1_I1044
ko:K03685	bsui:BSSP1_I1046
ko:K03100	bsui:BSSP1_I1047
ko:K00997	bsui:BSSP1_I1048
ko:K09928	bsui:BSSP1_I1049
ko:K08223	bsui:BSSP1_I1051
ko:K00762	bsui:BSSP1_I1054
ko:K03060	bsui:BSSP1_I1056
ko:K03664	bsui:BSSP1_I1060
ko:K01714	bsui:BSSP1_I1061
ko:K08309	bsui:BSSP1_I1064
ko:K07058	bsui:BSSP1_I1779
ko:K09768	bsui:BSSP1_I1780
ko:K01755	bsui:BSSP1_I1782
ko:K01586	bsui:BSSP1_I1784
ko:K00760	bsui:BSSP1_I1786
ko:K00817	bsui:BSSP1_I1788
ko:K00220	bsui:BSSP1_I1789
ko:K07232	bsui:BSSP1_I1791
ko:K02221	bsui:BSSP1_I1794
ko:K01507	bsui:BSSP1_I1795
ko:K00655	bsui:BSSP1_I1797
ko:K09811	bsui:BSSP1_I1799
ko:K09812	bsui:BSSP1_I1800
ko:K06188	bsui:BSSP1_I1802
ko:K01142	bsui:BSSP1_I1804
ko:K09125	bsui:BSSP1_I1814
ko:K02902	bsui:BSSP1_I1815
ko:K01534	bsui:BSSP1_I1818
ko:K09883	bsui:BSSP1_I1821
ko:K05527	bsui:BSSP1_I1825
ko:K14441	bsui:BSSP1_II0520
ko:K02058	bsui:BSSP1_II0521
ko:K02057	bsui:BSSP1_II0522
ko:K02057	bsui:BSSP1_II0523
ko:K02057	bsui:BSSP1_II0524
ko:K02056	bsui:BSSP1_II0525
ko:K01004	bsui:BSSP1_II0527
ko:K03185	bsui:BSSP1_II0528
ko:K11940	bsui:BSSP1_II0529
ko:K02035	bsui:BSSP1_II0531
ko:K03723	bsui:BSSP1_II0534
ko:K09159	bsui:BSSP1_II0535
ko:K03655	bsui:BSSP1_II0536
ko:K00820	bsui:BSSP1_II0537
ko:K04042	bsui:BSSP1_II0538
ko:K06196	bsui:BSSP1_II0539
ko:K14205	bsui:BSSP1_II0540
ko:K03801	bsui:BSSP1_II0546
ko:K02622	bsui:BSSP1_II0548
ko:K02433	bsui:BSSP1_II0551
ko:K02435	bsui:BSSP1_II0552
ko:K07447	bsui:BSSP1_II0555
ko:K07263	bsui:BSSP1_II0168
ko:K07263	bsui:BSSP1_II0169
ko:K07001	bsui:BSSP1_II0170
ko:K03455	bsui:BSSP1_II0171
ko:K03592	bsui:BSSP1_II0172
ko:K01092	bsui:BSSP1_II0173
ko:K00101	bsui:BSSP1_II0867
ko:K01775	bsui:BSSP1_II0870
ko:K00285	bsui:BSSP1_II0871
ko:K00822	bsui:BSSP1_II0873
ko:K05836	bsui:BSSP1_II0874
ko:K01468	bsui:BSSP1_II0877
ko:K01745	bsui:BSSP1_II0878
ko:K01479	bsui:BSSP1_II0879
ko:K01712	bsui:BSSP1_II0880
ko:K09975	bsui:BSSP1_II0881
ko:K00824	bsui:BSSP1_II0882
ko:K10547	bsui:BSSP1_II0883
ko:K10548	bsui:BSSP1_II0884
ko:K10546	bsui:BSSP1_II0886
ko:K01631	bsui:BSSP1_II0887
ko:K00883	bsui:BSSP1_II0888
ko:K01687	bsui:BSSP1_II0889
ko:K01652	bsui:BSSP1_II0893
ko:K01652	bsui:BSSP1_II0894
ko:K01266	bsui:BSSP1_II0898
ko:K09969	bsui:BSSP1_II0899
ko:K01999	bsui:BSSP1_II0905
ko:K01995	bsui:BSSP1_II0906
ko:K01996	bsui:BSSP1_II0907
ko:K01997	bsui:BSSP1_II0908
ko:K01998	bsui:BSSP1_II0909
ko:K09456	bsui:BSSP1_II0556
ko:K00609	bsui:BSSP1_II0557
ko:K01465	bsui:BSSP1_II0558
ko:K08591	bsui:BSSP1_II0559
ko:K04096	bsui:BSSP1_II0560
ko:K03168	bsui:BSSP1_II0561
ko:K12573	bsui:BSSP1_II0562
ko:K02913	bsui:BSSP1_II0566
ko:K02488	bsui:BSSP1_II0567
ko:K03500	bsui:BSSP1_II1253
ko:K00602	bsui:BSSP1_II1257
ko:K06902	bsui:BSSP1_II1258
ko:K15371	bsui:BSSP1_II1259
ko:K08988	bsui:BSSP1_II1260
ko:K06872	bsui:BSSP1_II1261
ko:K03744	bsui:BSSP1_II1262
ko:K02959	bsui:BSSP1_II1264
ko:K04092	bsui:BSSP1_II1265
ko:K03106	bsui:BSSP1_II1266
ko:K01673	bsui:BSSP1_II1268
ko:K00868	bsui:BSSP1_II1269
ko:K00140	bsui:BSSP1_II1271
ko:K08311	bsui:BSSP1_II1276
ko:K03797	bsui:BSSP1_II1277
ko:K00783	bsui:BSSP1_II1280
ko:K09710	bsui:BSSP1_II1281
ko:K00969	bsui:BSSP1_II1283
ko:K00147	bsui:BSSP1_II1284
ko:K00931	bsui:BSSP1_II1285
ko:K03979	bsui:BSSP1_II1286
ko:K02899	bsui:BSSP1_II1290
ko:K02888	bsui:BSSP1_II1291
ko:K07001	bsui:BSSP1_I0622
ko:K01496	bsui:BSSP1_I0623
ko:K01495	bsui:BSSP1_I0624
ko:K08998	bsui:BSSP1_I0626
ko:K01868	bsui:BSSP1_I0629
ko:K04765	bsui:BSSP1_I0633
ko:K04765	bsui:BSSP1_I0634
ko:K01784	bsui:BSSP1_I0635
ko:K14347	bsui:BSSP1_I0637
ko:K13953	bsui:BSSP1_I0640
ko:K03543	bsui:BSSP1_I0641
ko:K03446	bsui:BSSP1_I0642
ko:K18118	bsui:BSSP1_I0643
ko:K01011	bsui:BSSP1_I0646
ko:K01738	bsui:BSSP1_I0648
ko:K11927	bsui:BSSP1_I0649
ko:K01754	bsui:BSSP1_I0650
ko:K03809	bsui:BSSP1_I0652
ko:K00769	bsui:BSSP1_I0655
ko:K16053	bsui:BSSP1_I0660
ko:K16053	bsui:BSSP1_I0661
ko:K07007	bsui:BSSP1_I0663
ko:K13587	bsui:BSSP1_I0664
ko:K06204	bsui:BSSP1_I0666
ko:K03657	bsui:BSSP1_I1431
ko:K05805	bsui:BSSP1_I1432
ko:K07152	bsui:BSSP1_I1434
ko:K02687	bsui:BSSP1_I1435
ko:K01262	bsui:BSSP1_I1436
ko:K01972	bsui:BSSP1_I1438
ko:K03631	bsui:BSSP1_I1439
ko:K05807	bsui:BSSP1_I1440
ko:K02535	bsui:BSSP1_I1441
ko:K03531	bsui:BSSP1_I1443
ko:K03590	bsui:BSSP1_I1444
ko:K03589	bsui:BSSP1_I1445
ko:K01921	bsui:BSSP1_I1446
ko:K00075	bsui:BSSP1_I1447
ko:K01924	bsui:BSSP1_I1448
ko:K02563	bsui:BSSP1_I1449
ko:K03588	bsui:BSSP1_I1450
ko:K01925	bsui:BSSP1_I1451
ko:K01000	bsui:BSSP1_I1452
ko:K01929	bsui:BSSP1_I1453
ko:K01928	bsui:BSSP1_I1454
ko:K03587	bsui:BSSP1_I1455
ko:K03438	bsui:BSSP1_I1457
ko:K03322	bsui:BSSP1_I1459
ko:K05801	bsui:BSSP1_I1462
ko:K07273	bsui:BSSP1_I1464
ko:K07088	bsui:BSSP1_I1467
ko:K00297	bsui:BSSP1_I1469
ko:K09778	bsui:BSSP1_II0175
ko:K02527	bsui:BSSP1_II0176
ko:K00912	bsui:BSSP1_II0177
ko:K03572	bsui:BSSP1_II0179
ko:K01977	bsui:BSSP1_I1664
ko:K01977	bsui:BSSP1_II1082
ko:K01977	bsui:BSSP1_II1307
ko:K09862	bsui:BSSP1_I0268
ko:K06287	bsui:BSSP1_I0269
ko:K02518	bsui:BSSP1_I0270
ko:K00013	bsui:BSSP1_I0273
ko:K00790	bsui:BSSP1_I0275
ko:K03190	bsui:BSSP1_I0284
ko:K01430	bsui:BSSP1_I0285
ko:K01429	bsui:BSSP1_I0287
ko:K01428	bsui:BSSP1_I0288
ko:K03187	bsui:BSSP1_I0289
ko:K03188	bsui:BSSP1_I0290
ko:K03189	bsui:BSSP1_I0291
ko:K01464	bsui:BSSP1_I0295
ko:K06016	bsui:BSSP1_I0296
ko:K17723	bsui:BSSP1_I0299
ko:K01810	bsui:BSSP1_I0302
ko:K06987	bsui:BSSP1_I0303
ko:K01091	bsui:BSSP1_I0304
ko:K01897	bsui:BSSP1_I0306
ko:K03577	bsui:BSSP1_I0307
ko:K00817	bsui:BSSP1_I1073
ko:K07126	bsui:BSSP1_I1077
ko:K01241	bsui:BSSP1_I1083
ko:K00311	bsui:BSSP1_I1085
ko:K01256	bsui:BSSP1_I1089
ko:K07716	bsui:BSSP1_I1091
ko:K00982	bsui:BSSP1_I1093
ko:K02200	bsui:BSSP1_I1097
ko:K02198	bsui:BSSP1_I1098
ko:K02197	bsui:BSSP1_I1099
ko:K02200	bsui:BSSP1_I1100
ko:K01735	bsui:BSSP1_I1827
ko:K00891	bsui:BSSP1_I1828
ko:K04763	bsui:BSSP1_I1830
ko:K01962	bsui:BSSP1_I1831
ko:K04085	bsui:BSSP1_I1833
ko:K00059	bsui:BSSP1_I1839
ko:K02529	bsui:BSSP1_I1849
ko:K01989	bsui:BSSP1_I1852
ko:K05832	bsui:BSSP1_I1853
ko:K05833	bsui:BSSP1_I1854
ko:K02340	bsui:BSSP1_I1855
ko:K03501	bsui:BSSP1_I1858
ko:K03495	bsui:BSSP1_I1859
ko:K03650	bsui:BSSP1_I1860
ko:K06888	bsui:BSSP1_I1861
ko:K03628	bsui:BSSP1_I1862
ko:K08973	bsui:BSSP1_I1863
ko:K01599	bsui:BSSP1_I1864
ko:K09773	bsui:BSSP1_I1865
ko:K06287	bsui:BSSP1_I1866
ko:K00014	bsui:BSSP1_I1867
ko:K00859	bsui:BSSP1_I1868
ko:K02342	bsui:BSSP1_I1869
ko:K03071	bsui:BSSP1_I1870
ko:K07113	bsui:BSSP1_I1871
ko:K11443	bsui:BSSP1_II0568
ko:K06140	bsui:BSSP1_II0570
ko:K02346	bsui:BSSP1_II0572
ko:K02342	bsui:BSSP1_II0580
ko:K00285	bsui:BSSP1_II0584
ko:K02030	bsui:BSSP1_II0585
ko:K02030	bsui:BSSP1_II0586
ko:K08196	bsui:BSSP1_II0180
ko:K06446	bsui:BSSP1_II0181
ko:K00074	bsui:BSSP1_II0184
ko:K02484	bsui:BSSP1_II0192
ko:K00380	bsui:BSSP1_II0197
ko:K03734	bsui:BSSP1_II0198
ko:K02164	bsui:BSSP1_II0209
ko:K02305	bsui:BSSP1_II0211
ko:K04561	bsui:BSSP1_II0212
ko:K04748	bsui:BSSP1_II0213
ko:K02448	bsui:BSSP1_II0214
ko:K00368	bsui:BSSP1_II0222
ko:K02073	bsui:BSSP1_II0912
ko:K02071	bsui:BSSP1_II0913
ko:K02072	bsui:BSSP1_II0914
ko:K02970	bsui:BSSP1_II0917
ko:K00325	bsui:BSSP1_II0922
ko:K00324	bsui:BSSP1_II0923
ko:K00324	bsui:BSSP1_II0924
ko:K07010	bsui:BSSP1_II0934
ko:K01470	bsui:BSSP1_II0940
ko:K06999	bsui:BSSP1_II0943
ko:K17247	bsui:BSSP1_II0945
ko:K10440	bsui:BSSP1_II0947
ko:K10440	bsui:BSSP1_II0948
ko:K10441	bsui:BSSP1_II0949
ko:K10439	bsui:BSSP1_II0950
ko:K02014	bsui:BSSP1_II0953
ko:K00799	bsui:BSSP1_II0956
ko:K14228	bsui:BSSP1_II1007
ko:K14223	bsui:BSSP1_I1638
ko:K11717	bsui:BSSP1_I0769
ko:K09015	bsui:BSSP1_I0770
ko:K09013	bsui:BSSP1_I0771
ko:K09014	bsui:BSSP1_I0772
ko:K04487	bsui:BSSP1_I0773
ko:K07018	bsui:BSSP1_I0774
ko:K09001	bsui:BSSP1_I0776
ko:K01866	bsui:BSSP1_I0777
ko:K03564	bsui:BSSP1_I0779
ko:K02836	bsui:BSSP1_I0784
ko:K05366	bsui:BSSP1_I0786
ko:K01448	bsui:BSSP1_I0787
ko:K08300	bsui:BSSP1_I0789
ko:K03786	bsui:BSSP1_I0795
ko:K02160	bsui:BSSP1_I0796
ko:K01961	bsui:BSSP1_I0798
ko:K00684	bsui:BSSP1_I0799
ko:K00684	bsui:BSSP1_I0800
ko:K02434	bsui:BSSP1_I0806
ko:K03545	bsui:BSSP1_I0807
ko:K04094	bsui:BSSP1_I0812
ko:K02291	bsui:BSSP1_I0813
ko:K12257	bsui:BSSP1_I0815
ko:K03210	bsui:BSSP1_I0816
ko:K06923	bsui:BSSP1_I0817
ko:K09922	bsui:BSSP1_I1525
ko:K10806	bsui:BSSP1_I1527
ko:K03702	bsui:BSSP1_I1529
ko:K03704	bsui:BSSP1_I1531
ko:K07659	bsui:BSSP1_I1538
ko:K07638	bsui:BSSP1_I1540
ko:K06878	bsui:BSSP1_I1542
ko:K13292	bsui:BSSP1_I1546
ko:K05810	bsui:BSSP1_I1548
ko:K00948	bsui:BSSP1_I1551
ko:K06915	bsui:BSSP1_I1552
ko:K02897	bsui:BSSP1_I1553
ko:K01056	bsui:BSSP1_I1554
ko:K06942	bsui:BSSP1_I1555
ko:K00759	bsui:BSSP1_I1558
ko:K00413	bsui:BSSP1_I1560
ko:K00412	bsui:BSSP1_I1561
ko:K00411	bsui:BSSP1_I1562
ko:K03216	bsui:BSSP1_I1566
ko:K00228	bsui:BSSP1_I1570
ko:K03824	bsui:BSSP1_I1571
ko:K00970	bsui:BSSP1_I1574
ko:K03647	bsui:BSSP1_II0276
ko:K03610	bsui:BSSP1_II0280
ko:K03609	bsui:BSSP1_II0281
ko:K03608	bsui:BSSP1_II0282
ko:K02055	bsui:BSSP1_II0286
ko:K02052	bsui:BSSP1_II0287
ko:K02054	bsui:BSSP1_II0288
ko:K02053	bsui:BSSP1_II0289
ko:K03585	bsui:BSSP1_II0295
ko:K01580	bsui:BSSP1_II0297
ko:K01425	bsui:BSSP1_II0301
ko:K01840	bsui:BSSP1_II0306
ko:K00088	bsui:BSSP1_II0310
ko:K04761	bsui:BSSP1_II0312
ko:K03781	bsui:BSSP1_II0313
ko:K03500	bsui:BSSP1_II0316
ko:K01243	bsui:BSSP1_II0318
ko:K01951	bsui:BSSP1_II0319
ko:K04719	bsui:BSSP1_II1009
ko:K00154	bsui:BSSP1_II1012
