ko:K19744	pap:PSPA7_1243
ko:K03088	pap:PSPA7_0578
ko:K01638	pap:PSPA7_0585
ko:K05786	pap:PSPA7_0588
ko:K02019	pap:PSPA7_0590
ko:K05811	pap:PSPA7_0591
ko:K07160	pap:PSPA7_0595
ko:K01265	pap:PSPA7_1482
ko:K09131	pap:PSPA7_0491
ko:K00286	pap:PSPA7_0493
ko:K06997	pap:PSPA7_0494
ko:K07735	pap:PSPA7_0505
ko:K03832	pap:PSPA7_0506
ko:K01920	pap:PSPA7_0507
ko:K02658	pap:PSPA7_0509
ko:K06151	pap:PSPA7_2975
ko:K03406	pap:PSPA7_4141
ko:K03612	pap:PSPA7_1636
ko:K02670	pap:PSPA7_0496
ko:K03719	pap:PSPA7_6082
ko:K01996	pap:PSPA7_4307
ko:K03594	pap:PSPA7_5602
ko:K02379	pap:PSPA7_5920
ko:K02193	pap:PSPA7_3852
ko:K10806	pap:PSPA7_6156
ko:K00558	pap:PSPA7_2521
ko:K03615	pap:PSPA7_1638
ko:K09007	pap:PSPA7_6341
ko:K01465	pap:PSPA7_0501
ko:K02657	pap:PSPA7_0508
ko:K02660	pap:PSPA7_0511
ko:K03190	pap:PSPA7_5585
ko:K03118	pap:PSPA7_5809
ko:K02500	pap:PSPA7_5875
ko:K01419	pap:PSPA7_5790
ko:K03667	pap:PSPA7_5791
ko:K03590	pap:PSPA7_4980
ko:K06178	pap:PSPA7_1951
ko:K01039	pap:PSPA7_0312
ko:K03592	pap:PSPA7_5086
ko:K10979	pap:PSPA7_3156
ko:K03413	pap:PSPA7_0259
ko:K00982	pap:PSPA7_5749
ko:K02655	pap:PSPA7_5196
ko:K02600	pap:PSPA7_5463
ko:K01673	pap:PSPA7_5382
ko:K07345	pap:PSPA7_1014
ko:K06180	pap:PSPA7_5183
ko:K07023	pap:PSPA7_3408
ko:K15555	pap:PSPA7_1685
ko:K00254	pap:PSPA7_2087
ko:K04047	pap:PSPA7_4546
ko:K00948	pap:PSPA7_5320
ko:K01933	pap:PSPA7_4564
ko:K00355	pap:PSPA7_5708
ko:K02652	pap:PSPA7_5162
ko:K01903	pap:PSPA7_3686
ko:K06603	pap:PSPA7_4278
ko:K01993	pap:PSPA7_5975
ko:K02116	pap:PSPA7_6363
ko:K01679	pap:PSPA7_5084
ko:K01959	pap:PSPA7_6224
ko:K07677	pap:PSPA7_3015
ko:K07638	pap:PSPA7_5943
ko:K02410	pap:PSPA7_4269
ko:K02386	pap:PSPA7_1780
ko:K02398	pap:PSPA7_1779
ko:K00374	pap:PSPA7_1237
ko:K01902	pap:PSPA7_3685
ko:K06891	pap:PSPA7_2586
ko:K08084	pap:PSPA7_5189
ko:K08085	pap:PSPA7_5190
ko:K02665	pap:PSPA7_5778
ko:K02664	pap:PSPA7_5779
ko:K00449	pap:PSPA7_0231
ko:K03735	pap:PSPA7_1082
ko:K07458	pap:PSPA7_2517
ko:K10941	pap:PSPA7_4274
ko:K03786	pap:PSPA7_5566
ko:K02392	pap:PSPA7_4295
ko:K01892	pap:PSPA7_1312
ko:K08086	pap:PSPA7_2018
ko:K02390	pap:PSPA7_4297
ko:K02417	pap:PSPA7_3883
ko:K02418	pap:PSPA7_3882
ko:K02420	pap:PSPA7_3880
ko:K02274	pap:PSPA7_0181
ko:K01428	pap:PSPA7_5589
ko:K01429	pap:PSPA7_5588
ko:K02396	pap:PSPA7_4291
ko:K02397	pap:PSPA7_4290
ko:K02407	pap:PSPA7_4277
ko:K02556	pap:PSPA7_5683
ko:K10804	pap:PSPA7_2298
ko:K03046	pap:PSPA7_0831
ko:K03786	pap:PSPA7_0330
ko:K02115	pap:PSPA7_6357
ko:K00426	pap:PSPA7_1178
ko:K00425	pap:PSPA7_1177
ko:K02391	pap:PSPA7_4296
ko:K13541	pap:PSPA7_2251
ko:K00793	pap:PSPA7_1046
ko:K02557	pap:PSPA7_5682
ko:K02387	pap:PSPA7_4300
ko:K00242	pap:PSPA7_3692
ko:K02411	pap:PSPA7_4268
ko:K02414	pap:PSPA7_3888
ko:K02415	pap:PSPA7_3885
ko:K02204	pap:PSPA7_6296
ko:K00161	pap:PSPA7_1709
ko:K00448	pap:PSPA7_0232
ko:K03043	pap:PSPA7_0830
ko:K02341	pap:PSPA7_2200
ko:K02343	pap:PSPA7_3801
ko:K10943	pap:PSPA7_4272
ko:K04067	pap:PSPA7_2528
ko:K01447	pap:PSPA7_4711
ko:K01447	pap:PSPA7_0905
ko:K00124	pap:PSPA7_5530
ko:K02409	pap:PSPA7_4270
ko:K02557	pap:PSPA7_3865
ko:K01696	pap:PSPA7_0038
ko:K02687	pap:PSPA7_5570
ko:K02229	pap:PSPA7_2248
ko:K03724	pap:PSPA7_1849
ko:K02339	pap:PSPA7_1281
ko:K00647	pap:PSPA7_3665
ko:K03722	pap:PSPA7_4334
ko:K03723	pap:PSPA7_2157
ko:K02452	pap:PSPA7_2029
ko:K02462	pap:PSPA7_2038
ko:K02945	pap:PSPA7_1967
ko:K00800	pap:PSPA7_1965
ko:K03553	pap:PSPA7_1523
ko:K04066	pap:PSPA7_5787
ko:K00575	pap:PSPA7_1782
ko:K02959	pap:PSPA7_1374
ko:K10440	pap:PSPA7_3344
ko:K10439	pap:PSPA7_3346
ko:K03775	pap:PSPA7_4683
ko:K02416	pap:PSPA7_3884
ko:K02413	pap:PSPA7_4266
ko:K02408	pap:PSPA7_4271
ko:K07649	pap:PSPA7_4763
ko:K02234	pap:PSPA7_2218
ko:K03303	pap:PSPA7_5490
ko:K02233	pap:PSPA7_4108
ko:K03572	pap:PSPA7_5675
ko:K05365	pap:PSPA7_5415
ko:K08300	pap:PSPA7_2185
ko:K02520	pap:PSPA7_2505
ko:K02342	pap:PSPA7_3480
ko:K02338	pap:PSPA7_0002
ko:K03646	pap:PSPA7_4537
ko:K03616	pap:PSPA7_1639
ko:K00239	pap:PSPA7_3691
ko:K00346	pap:PSPA7_2160
ko:K07708	pap:PSPA7_5858
ko:K00347	pap:PSPA7_2161
ko:K00348	pap:PSPA7_2162
ko:K00349	pap:PSPA7_2163
ko:K02337	pap:PSPA7_1499
ko:K03060	pap:PSPA7_6113
ko:K02335	pap:PSPA7_6293
ko:K01673	pap:PSPA7_0176
ko:K07221	pap:PSPA7_1841
ko:K02460	pap:PSPA7_2036
ko:K02045	pap:PSPA7_0371
ko:K02047	pap:PSPA7_0372
ko:K02046	pap:PSPA7_0373
ko:K02048	pap:PSPA7_0374
ko:K10536	pap:PSPA7_0383
ko:K05846	pap:PSPA7_1216
ko:K05846	pap:PSPA7_1218
ko:K02575	pap:PSPA7_1232
ko:K02575	pap:PSPA7_1233
ko:K00373	pap:PSPA7_1236
ko:K03639	pap:PSPA7_1239
ko:K03732	pap:PSPA7_1244
ko:K06999	pap:PSPA7_1246
ko:K02509	pap:PSPA7_0965
ko:K06152	pap:PSPA7_2976
ko:K07396	pap:PSPA7_2620
ko:K03607	pap:PSPA7_2621
ko:K05350	pap:PSPA7_2629
ko:K00453	pap:PSPA7_2637
ko:K07078	pap:PSPA7_2641
ko:K00496	pap:PSPA7_2642
ko:K03088	pap:PSPA7_0227
ko:K02014	pap:PSPA7_0229
ko:K02623	pap:PSPA7_0230
ko:K00681	pap:PSPA7_0244
ko:K03411	pap:PSPA7_0254
ko:K03408	pap:PSPA7_0257
ko:K00067	pap:PSPA7_1032
ko:K07275	pap:PSPA7_1035
ko:K09950	pap:PSPA7_1036
ko:K06906	pap:PSPA7_0770
ko:K01609	pap:PSPA7_0792
ko:K01611	pap:PSPA7_0795
ko:K06134	pap:PSPA7_0796
ko:K00145	pap:PSPA7_0803
ko:K01866	pap:PSPA7_0809
ko:K03525	pap:PSPA7_0817
ko:K02003	pap:PSPA7_1038
ko:K05838	pap:PSPA7_1041
ko:K07738	pap:PSPA7_1044
ko:K00946	pap:PSPA7_1050
ko:K06985	pap:PSPA7_1053
ko:K01662	pap:PSPA7_1057
ko:K00375	pap:PSPA7_1062
ko:K06188	pap:PSPA7_1071
ko:K01507	pap:PSPA7_1074
ko:K09933	pap:PSPA7_1075
ko:K00817	pap:PSPA7_1964
ko:K00945	pap:PSPA7_1966
ko:K02863	pap:PSPA7_0827
ko:K02355	pap:PSPA7_0834
ko:K09918	pap:PSPA7_1714
ko:K03088	pap:PSPA7_1717
ko:K01993	pap:PSPA7_1728
ko:K07218	pap:PSPA7_1737
ko:K00376	pap:PSPA7_1738
ko:K02044	pap:PSPA7_1746
ko:K02042	pap:PSPA7_1747
ko:K02043	pap:PSPA7_1748
ko:K06166	pap:PSPA7_1749
ko:K06165	pap:PSPA7_1750
ko:K06164	pap:PSPA7_1751
ko:K06163	pap:PSPA7_1752
ko:K05781	pap:PSPA7_1753
ko:K05780	pap:PSPA7_1754
ko:K06162	pap:PSPA7_1755
ko:K05774	pap:PSPA7_1756
ko:K03543	pap:PSPA7_1992
ko:K01885	pap:PSPA7_1994
ko:K07107	pap:PSPA7_2002
ko:K05541	pap:PSPA7_2003
ko:K04080	pap:PSPA7_2006
ko:K00052	pap:PSPA7_2015
ko:K00133	pap:PSPA7_2016
ko:K01817	pap:PSPA7_2020
ko:K03749	pap:PSPA7_2023
ko:K03558	pap:PSPA7_2024
ko:K00764	pap:PSPA7_2025
ko:K00058	pap:PSPA7_0409
ko:K00658	pap:PSPA7_3688
ko:K06167	pap:PSPA7_1757
ko:K01999	pap:PSPA7_1766
ko:K06995	pap:PSPA7_2474
ko:K08276	pap:PSPA7_2482
ko:K07058	pap:PSPA7_2488
ko:K01265	pap:PSPA7_2495
ko:K01868	pap:PSPA7_2504
ko:K02003	pap:PSPA7_0144
ko:K02259	pap:PSPA7_0187
ko:K07152	pap:PSPA7_0189
ko:K02348	pap:PSPA7_0190
ko:K04774	pap:PSPA7_3463
ko:K02824	pap:PSPA7_5296
ko:K03587	pap:PSPA7_2968
ko:K02659	pap:PSPA7_0510
ko:K10126	pap:PSPA7_6313
ko:K10125	pap:PSPA7_6314
ko:K05783	pap:PSPA7_2722
ko:K04068	pap:PSPA7_2529
ko:K01737	pap:PSPA7_2533
ko:K05916	pap:PSPA7_2535
ko:K02892	pap:PSPA7_0839
ko:K02982	pap:PSPA7_0843
ko:K02954	pap:PSPA7_0850
ko:K02988	pap:PSPA7_0854
ko:K02876	pap:PSPA7_0856
ko:K02952	pap:PSPA7_0859
ko:K03781	pap:PSPA7_0864
ko:K03594	pap:PSPA7_0865
ko:K02558	pap:PSPA7_1089
ko:K07157	pap:PSPA7_1097
ko:K00147	pap:PSPA7_1102
ko:K00969	pap:PSPA7_1103
ko:K09710	pap:PSPA7_1104
ko:K00783	pap:PSPA7_1105
ko:K05837	pap:PSPA7_1107
ko:K03642	pap:PSPA7_1109
ko:K09158	pap:PSPA7_1111
ko:K09890	pap:PSPA7_1118
ko:K03643	pap:PSPA7_1120
ko:K01869	pap:PSPA7_1121
ko:K06217	pap:PSPA7_1127
ko:K01845	pap:PSPA7_1131
ko:K00788	pap:PSPA7_1132
ko:K09456	pap:PSPA7_1136
ko:K01241	pap:PSPA7_1138
ko:K01626	pap:PSPA7_0887
ko:K01921	pap:PSPA7_0897
ko:K01753	pap:PSPA7_1773
ko:K01057	pap:PSPA7_1948
ko:K03312	pap:PSPA7_1953
ko:K00831	pap:PSPA7_1962
ko:K06193	pap:PSPA7_0204
ko:K00140	pap:PSPA7_0206
ko:K00822	pap:PSPA7_0208
ko:K01754	pap:PSPA7_4376
ko:K01750	pap:PSPA7_4377
ko:K01923	pap:PSPA7_4384
ko:K07287	pap:PSPA7_4386
ko:K01714	pap:PSPA7_4387
ko:K03567	pap:PSPA7_4388
ko:K03564	pap:PSPA7_4389
ko:K03548	pap:PSPA7_4390
ko:K03517	pap:PSPA7_4393
ko:K01658	pap:PSPA7_4395
ko:K02314	pap:PSPA7_4444
ko:K09801	pap:PSPA7_5486
ko:K03088	pap:PSPA7_3372
ko:K02014	pap:PSPA7_3374
ko:K00330	pap:PSPA7_3402
ko:K07302	pap:PSPA7_3405
ko:K07303	pap:PSPA7_3406
ko:K02453	pap:PSPA7_3420
ko:K02669	pap:PSPA7_4477
ko:K01756	pap:PSPA7_1631
ko:K01775	pap:PSPA7_5657
ko:K02990	pap:PSPA7_5662
ko:K03218	pap:PSPA7_5663
ko:K01939	pap:PSPA7_5667
ko:K09937	pap:PSPA7_5669
ko:K00791	pap:PSPA7_5674
ko:K05782	pap:PSPA7_3621
ko:K03453	pap:PSPA7_3622
ko:K07119	pap:PSPA7_3624
ko:K01008	pap:PSPA7_3631
ko:K01425	pap:PSPA7_3635
ko:K01693	pap:PSPA7_5879
ko:K03543	pap:PSPA7_5897
ko:K00067	pap:PSPA7_5901
ko:K00973	pap:PSPA7_5902
ko:K01790	pap:PSPA7_5903
ko:K03758	pap:PSPA7_5910
ko:K01478	pap:PSPA7_5911
ko:K00611	pap:PSPA7_5912
ko:K00926	pap:PSPA7_5913
ko:K08312	pap:PSPA7_5916
ko:K00847	pap:PSPA7_2919
ko:K10229	pap:PSPA7_2923
ko:K10228	pap:PSPA7_2924
ko:K10227	pap:PSPA7_2925
ko:K02049	pap:PSPA7_2930
ko:K02051	pap:PSPA7_2931
ko:K07160	pap:PSPA7_5125
ko:K00380	pap:PSPA7_5127
ko:K07336	pap:PSPA7_5129
ko:K07032	pap:PSPA7_5132
ko:K01581	pap:PSPA7_5135
ko:K03807	pap:PSPA7_5138
ko:K03806	pap:PSPA7_5139
ko:K00767	pap:PSPA7_5142
ko:K06904	pap:PSPA7_5151
ko:K09862	pap:PSPA7_5166
ko:K01999	pap:PSPA7_4303
ko:K04079	pap:PSPA7_4309
ko:K01738	pap:PSPA7_4317
ko:K05563	pap:PSPA7_4320
ko:K05562	pap:PSPA7_4321
ko:K05561	pap:PSPA7_4322
ko:K05560	pap:PSPA7_4323
ko:K06077	pap:PSPA7_4325
ko:K00865	pap:PSPA7_4326
ko:K02647	pap:PSPA7_4330
ko:K00275	pap:PSPA7_4331
ko:K00057	pap:PSPA7_3659
ko:K02014	pap:PSPA7_3661
ko:K01716	pap:PSPA7_3664
ko:K07559	pap:PSPA7_0054
ko:K07396	pap:PSPA7_0058
ko:K07734	pap:PSPA7_0910
ko:K01142	pap:PSPA7_0921
ko:K07184	pap:PSPA7_0933
ko:K01866	pap:PSPA7_0952
ko:K07552	pap:PSPA7_0954
ko:K00404	pap:PSPA7_0958
ko:K00381	pap:PSPA7_0962
ko:K09929	pap:PSPA7_1838
ko:K09771	pap:PSPA7_1846
ko:K03704	pap:PSPA7_1855
ko:K03453	pap:PSPA7_1857
ko:K03797	pap:PSPA7_1868
ko:K02517	pap:PSPA7_1883
ko:K07001	pap:PSPA7_1884
ko:K06911	pap:PSPA7_1885
ko:K02342	pap:PSPA7_1893
ko:K09919	pap:PSPA7_1896
ko:K01414	pap:PSPA7_0067
ko:K07070	pap:PSPA7_0068
ko:K08363	pap:PSPA7_0102
ko:K08363	pap:PSPA7_0114
ko:K03676	pap:PSPA7_0120
ko:K03284	pap:PSPA7_0126
ko:K00151	pap:PSPA7_0969
ko:K06966	pap:PSPA7_0977
ko:K08159	pap:PSPA7_0980
ko:K09930	pap:PSPA7_0989
ko:K09929	pap:PSPA7_0990
ko:K09956	pap:PSPA7_1009
ko:K01845	pap:PSPA7_1011
ko:K07347	pap:PSPA7_1016
ko:K01118	pap:PSPA7_1903
ko:K06878	pap:PSPA7_1905
ko:K02067	pap:PSPA7_1913
ko:K02065	pap:PSPA7_1914
ko:K06940	pap:PSPA7_1917
ko:K09780	pap:PSPA7_1924
ko:K06190	pap:PSPA7_1925
ko:K03832	pap:PSPA7_0279
ko:K07002	pap:PSPA7_0284
ko:K09472	pap:PSPA7_0305
ko:K01714	pap:PSPA7_0309
ko:K01857	pap:PSPA7_0316
ko:K03933	pap:PSPA7_4667
ko:K01114	pap:PSPA7_4676
ko:K00432	pap:PSPA7_4682
ko:K00925	pap:PSPA7_4684
ko:K07044	pap:PSPA7_4691
ko:K03299	pap:PSPA7_2938
ko:K00851	pap:PSPA7_2939
ko:K06145	pap:PSPA7_2940
ko:K06995	pap:PSPA7_2942
ko:K09471	pap:PSPA7_2943
ko:K02014	pap:PSPA7_2952
ko:K03893	pap:PSPA7_2963
ko:K04061	pap:PSPA7_3854
ko:K05810	pap:PSPA7_3857
ko:K03408	pap:PSPA7_3862
ko:K03408	pap:PSPA7_3863
ko:K01142	pap:PSPA7_6108
ko:K09940	pap:PSPA7_6109
ko:K00989	pap:PSPA7_6110
ko:K00942	pap:PSPA7_6112
ko:K04761	pap:PSPA7_6121
ko:K05787	pap:PSPA7_6125
ko:K03181	pap:PSPA7_6134
ko:K02039	pap:PSPA7_6144
ko:K02036	pap:PSPA7_6145
ko:K02038	pap:PSPA7_6146
ko:K02037	pap:PSPA7_6147
ko:K02040	pap:PSPA7_6148
ko:K02167	pap:PSPA7_6159
ko:K02168	pap:PSPA7_6160
ko:K08993	pap:PSPA7_4337
ko:K09858	pap:PSPA7_4340
ko:K03561	pap:PSPA7_4817
ko:K00564	pap:PSPA7_5273
ko:K03088	pap:PSPA7_1206
ko:K09923	pap:PSPA7_2092
ko:K01129	pap:PSPA7_2095
ko:K07006	pap:PSPA7_2103
ko:K03543	pap:PSPA7_2114
ko:K01649	pap:PSPA7_2117
ko:K03752	pap:PSPA7_2128
ko:K03750	pap:PSPA7_2130
ko:K00803	pap:PSPA7_2132
ko:K00111	pap:PSPA7_2133
ko:K07140	pap:PSPA7_2136
ko:K08309	pap:PSPA7_2138
ko:K02168	pap:PSPA7_1174
ko:K02073	pap:PSPA7_1176
ko:K03556	pap:PSPA7_1186
ko:K07175	pap:PSPA7_1189
ko:K03637	pap:PSPA7_1190
ko:K03635	pap:PSPA7_1192
ko:K03638	pap:PSPA7_1193
ko:K03750	pap:PSPA7_1194
ko:K08303	pap:PSPA7_1195
ko:K07004	pap:PSPA7_1201
ko:K06995	pap:PSPA7_1701
ko:K00263	pap:PSPA7_1708
ko:K07393	pap:PSPA7_2598
ko:K11179	pap:PSPA7_2600
ko:K07237	pap:PSPA7_2601
ko:K07236	pap:PSPA7_2602
ko:K07053	pap:PSPA7_1926
ko:K00134	pap:PSPA7_1932
ko:K01690	pap:PSPA7_1934
ko:K00845	pap:PSPA7_1935
ko:K07267	pap:PSPA7_1943
ko:K00036	pap:PSPA7_1947
ko:K01989	pap:PSPA7_1277
ko:K01873	pap:PSPA7_1279
ko:K01255	pap:PSPA7_1282
ko:K00773	pap:PSPA7_1290
ko:K03210	pap:PSPA7_1291
ko:K03072	pap:PSPA7_1292
ko:K03074	pap:PSPA7_1293
ko:K00640	pap:PSPA7_1297
ko:K03498	pap:PSPA7_3433
ko:K09781	pap:PSPA7_3434
ko:K00404	pap:PSPA7_3436
ko:K09984	pap:PSPA7_3443
ko:K07400	pap:PSPA7_3445
ko:K00548	pap:PSPA7_3449
ko:K06941	pap:PSPA7_3453
ko:K00381	pap:PSPA7_3457
ko:K03314	pap:PSPA7_3477
ko:K01584	pap:PSPA7_3478
ko:K08307	pap:PSPA7_3484
ko:K04488	pap:PSPA7_1300
ko:K04082	pap:PSPA7_1302
ko:K00940	pap:PSPA7_1307
ko:K06941	pap:PSPA7_1308
ko:K02656	pap:PSPA7_1309
ko:K01649	pap:PSPA7_1323
ko:K02014	pap:PSPA7_1325
ko:K08641	pap:PSPA7_1333
ko:K09760	pap:PSPA7_4351
ko:K06920	pap:PSPA7_4532
ko:K03664	pap:PSPA7_5488
ko:K00101	pap:PSPA7_5491
ko:K09001	pap:PSPA7_0807
ko:K03466	pap:PSPA7_2593
ko:K02887	pap:PSPA7_2507
ko:K11688	pap:PSPA7_5906
ko:K08167	pap:PSPA7_4109
ko:K01611	pap:PSPA7_5494
ko:K00797	pap:PSPA7_5495
ko:K09962	pap:PSPA7_5499
ko:K07178	pap:PSPA7_5502
ko:K07814	pap:PSPA7_5503
ko:K03464	pap:PSPA7_2731
ko:K03449	pap:PSPA7_2739
ko:K04084	pap:PSPA7_2760
ko:K03805	pap:PSPA7_2762
ko:K00450	pap:PSPA7_2768
ko:K03088	pap:PSPA7_2770
ko:K02014	pap:PSPA7_2772
ko:K07323	pap:PSPA7_5025
ko:K02067	pap:PSPA7_5026
ko:K02066	pap:PSPA7_5027
ko:K02065	pap:PSPA7_5028
ko:K06041	pap:PSPA7_5030
ko:K03270	pap:PSPA7_5031
ko:K09774	pap:PSPA7_5033
ko:K06861	pap:PSPA7_5034
ko:K05808	pap:PSPA7_5036
ko:K03671	pap:PSPA7_5983
ko:K00937	pap:PSPA7_5985
ko:K01698	pap:PSPA7_5987
ko:K09768	pap:PSPA7_5991
ko:K07243	pap:PSPA7_5993
ko:K06158	pap:PSPA7_5997
ko:K07740	pap:PSPA7_6001
ko:K03611	pap:PSPA7_6002
ko:K02496	pap:PSPA7_6004
ko:K01719	pap:PSPA7_6005
ko:K01749	pap:PSPA7_6006
ko:K01755	pap:PSPA7_6009
ko:K03284	pap:PSPA7_6010
ko:K06140	pap:PSPA7_6016
ko:K06202	pap:PSPA7_6018
ko:K01586	pap:PSPA7_6020
ko:K02571	pap:PSPA7_4202
ko:K02572	pap:PSPA7_4203
ko:K02568	pap:PSPA7_4206
ko:K01439	pap:PSPA7_4217
ko:K00563	pap:PSPA7_4218
ko:K03704	pap:PSPA7_4220
ko:K07639	pap:PSPA7_4221
ko:K06200	pap:PSPA7_5246
ko:K09794	pap:PSPA7_5251
ko:K03781	pap:PSPA7_5253
ko:K03282	pap:PSPA7_5255
ko:K09690	pap:PSPA7_6241
ko:K01711	pap:PSPA7_6243
ko:K09775	pap:PSPA7_6245
ko:K11688	pap:PSPA7_4630
ko:K03474	pap:PSPA7_4746
ko:K03595	pap:PSPA7_4748
ko:K03100	pap:PSPA7_4751
ko:K03803	pap:PSPA7_4754
ko:K03598	pap:PSPA7_4755
ko:K03597	pap:PSPA7_4756
ko:K03088	pap:PSPA7_4757
ko:K00278	pap:PSPA7_4759
ko:K09159	pap:PSPA7_4760
ko:K06980	pap:PSPA7_4761
ko:K07795	pap:PSPA7_4766
ko:K07120	pap:PSPA7_4769
ko:K00140	pap:PSPA7_4773
ko:K07118	pap:PSPA7_4779
ko:K01126	pap:PSPA7_2910
ko:K01652	pap:PSPA7_3922
ko:K11073	pap:PSPA7_3929
ko:K06969	pap:PSPA7_3932
ko:K00305	pap:PSPA7_6207
ko:K01433	pap:PSPA7_6208
ko:K09950	pap:PSPA7_6211
ko:K01588	pap:PSPA7_6214
ko:K01744	pap:PSPA7_6217
ko:K07112	pap:PSPA7_6218
ko:K00036	pap:PSPA7_6228
ko:K03527	pap:PSPA7_3192
ko:K07160	pap:PSPA7_3199
ko:K06991	pap:PSPA7_4701
ko:K06925	pap:PSPA7_5677
ko:K06949	pap:PSPA7_5681
ko:K01613	pap:PSPA7_5686
ko:K06985	pap:PSPA7_5694
ko:K07000	pap:PSPA7_5697
ko:K03651	pap:PSPA7_5698
ko:K09920	pap:PSPA7_5699
ko:K03414	pap:PSPA7_3870
ko:K06872	pap:PSPA7_3876
ko:K06872	pap:PSPA7_3877
ko:K07039	pap:PSPA7_3889
ko:K09790	pap:PSPA7_3890
ko:K07644	pap:PSPA7_3891
ko:K09780	pap:PSPA7_3906
ko:K07490	pap:PSPA7_4928
ko:K04759	pap:PSPA7_4929
ko:K01752	pap:PSPA7_6165
ko:K06048	pap:PSPA7_3119
ko:K01236	pap:PSPA7_3142
ko:K00705	pap:PSPA7_3143
ko:K06044	pap:PSPA7_3144
ko:K00700	pap:PSPA7_3153
ko:K07507	pap:PSPA7_3158
ko:K02848	pap:PSPA7_5744
ko:K02844	pap:PSPA7_5745
ko:K02841	pap:PSPA7_5746
ko:K02843	pap:PSPA7_5747
ko:K00826	pap:PSPA7_5748
ko:K07115	pap:PSPA7_5756
ko:K01599	pap:PSPA7_5771
ko:K03112	pap:PSPA7_5774
ko:K01735	pap:PSPA7_5775
ko:K00891	pap:PSPA7_5776
ko:K01887	pap:PSPA7_5788
ko:K03821	pap:PSPA7_5794
ko:K03885	pap:PSPA7_3966
ko:K03671	pap:PSPA7_3969
ko:K03588	pap:PSPA7_4985
ko:K01925	pap:PSPA7_4986
ko:K01000	pap:PSPA7_4987
ko:K01929	pap:PSPA7_4988
ko:K01928	pap:PSPA7_4989
ko:K03586	pap:PSPA7_4991
ko:K03438	pap:PSPA7_4992
ko:K07056	pap:PSPA7_4994
ko:K07121	pap:PSPA7_4995
ko:K07460	pap:PSPA7_4996
ko:K03600	pap:PSPA7_4999
ko:K03599	pap:PSPA7_5000
ko:K00413	pap:PSPA7_5001
ko:K00412	pap:PSPA7_5002
ko:K02996	pap:PSPA7_5004
ko:K01867	pap:PSPA7_5011
ko:K07018	pap:PSPA7_5012
ko:K09908	pap:PSPA7_5013
ko:K00817	pap:PSPA7_5019
ko:K00765	pap:PSPA7_5021
ko:K00790	pap:PSPA7_5022
ko:K00156	pap:PSPA7_3203
ko:K01556	pap:PSPA7_3208
ko:K08984	pap:PSPA7_3222
ko:K02355	pap:PSPA7_3223
ko:K01821	pap:PSPA7_3224
ko:K05820	pap:PSPA7_3228
ko:K07233	pap:PSPA7_3232
ko:K08304	pap:PSPA7_4166
ko:K06911	pap:PSPA7_4168
ko:K01482	pap:PSPA7_4183
ko:K03758	pap:PSPA7_4184
ko:K02742	pap:PSPA7_4190
ko:K00208	pap:PSPA7_3490
ko:K03770	pap:PSPA7_3491
ko:K01338	pap:PSPA7_3494
ko:K03544	pap:PSPA7_3495
ko:K06219	pap:PSPA7_5512
ko:K01126	pap:PSPA7_5513
ko:K01042	pap:PSPA7_5527
ko:K06940	pap:PSPA7_5536
ko:K03327	pap:PSPA7_5540
ko:K01531	pap:PSPA7_5544
ko:K08983	pap:PSPA7_5547
ko:K09913	pap:PSPA7_3754
ko:K01915	pap:PSPA7_3764
ko:K03776	pap:PSPA7_3770
ko:K07020	pap:PSPA7_3772
ko:K00405	pap:PSPA7_3774
ko:K00406	pap:PSPA7_3776
ko:K00404	pap:PSPA7_3777
ko:K09926	pap:PSPA7_3782
ko:K01778	pap:PSPA7_6021
ko:K09921	pap:PSPA7_6022
ko:K04752	pap:PSPA7_6030
ko:K03310	pap:PSPA7_2989
ko:K00528	pap:PSPA7_5259
ko:K07141	pap:PSPA7_5262
ko:K07402	pap:PSPA7_5263
ko:K07507	pap:PSPA7_5281
ko:K07286	pap:PSPA7_5287
ko:K00116	pap:PSPA7_5289
ko:K00761	pap:PSPA7_5295
ko:K09691	pap:PSPA7_6240
ko:K11189	pap:PSPA7_1358
ko:K07054	pap:PSPA7_5433
ko:K06901	pap:PSPA7_5435
ko:K00950	pap:PSPA7_5445
ko:K00606	pap:PSPA7_5446
ko:K01918	pap:PSPA7_5447
ko:K01579	pap:PSPA7_5448
ko:K01810	pap:PSPA7_5449
ko:K00962	pap:PSPA7_5457
ko:K02519	pap:PSPA7_5462
ko:K01803	pap:PSPA7_5468
ko:K03431	pap:PSPA7_5469
ko:K00796	pap:PSPA7_5470
ko:K03798	pap:PSPA7_5471
ko:K02427	pap:PSPA7_5472
ko:K07574	pap:PSPA7_5473
ko:K06186	pap:PSPA7_5485
ko:K06182	pap:PSPA7_4261
ko:K01356	pap:PSPA7_2152
ko:K00457	pap:PSPA7_0327
ko:K00014	pap:PSPA7_0329
ko:K00481	pap:PSPA7_0332
ko:K00375	pap:PSPA7_0346
ko:K07387	pap:PSPA7_0353
ko:K06179	pap:PSPA7_2186
ko:K00338	pap:PSPA7_2562
ko:K00337	pap:PSPA7_2563
ko:K00626	pap:PSPA7_3569
ko:K01907	pap:PSPA7_3297
ko:K00666	pap:PSPA7_1245
ko:K01802	pap:PSPA7_1404
ko:K01802	pap:PSPA7_4811
ko:K01574	pap:PSPA7_3628
