ko:K03457	abn:AB57_1559
ko:K02014	abn:AB57_3790
ko:K00762	abn:AB57_3791
ko:K01142	abn:AB57_3792
ko:K04084	abn:AB57_3796
ko:K07127	abn:AB57_3803
ko:K08218	abn:AB57_2856
ko:K06194	abn:AB57_2859
ko:K03787	abn:AB57_2860
ko:K07258	abn:AB57_2863
ko:K00566	abn:AB57_2866
ko:K07153	abn:AB57_2867
ko:K01756	abn:AB57_2868
ko:K08984	abn:AB57_2869
ko:K02036	abn:AB57_2872
ko:K02038	abn:AB57_2873
ko:K02037	abn:AB57_2874
ko:K02040	abn:AB57_2875
ko:K00836	abn:AB57_2881
ko:K03580	abn:AB57_2892
ko:K07636	abn:AB57_3828
ko:K01613	abn:AB57_3830
ko:K00763	abn:AB57_3832
ko:K07560	abn:AB57_3833
ko:K00794	abn:AB57_3839
ko:K03625	abn:AB57_3840
ko:K00946	abn:AB57_3841
ko:K04042	abn:AB57_3844
ko:K00820	abn:AB57_3845
ko:K06181	abn:AB57_2920
ko:K07258	abn:AB57_2923
ko:K03885	abn:AB57_2924
ko:K03775	abn:AB57_2925
ko:K06596	abn:AB57_3311
ko:K03154	abn:AB57_2622
ko:K03149	abn:AB57_2623
ko:K09861	abn:AB57_2625
ko:K07018	abn:AB57_2626
ko:K00784	abn:AB57_2627
ko:K11103	abn:AB57_2634
ko:K02339	abn:AB57_0317
ko:K01255	abn:AB57_0318
ko:K07091	abn:AB57_0319
ko:K03797	abn:AB57_0322
ko:K02667	abn:AB57_0323
ko:K02668	abn:AB57_0324
ko:K07262	abn:AB57_0326
ko:K01733	abn:AB57_0327
ko:K00003	abn:AB57_0328
ko:K03981	abn:AB57_0329
ko:K04763	abn:AB57_0330
ko:K04758	abn:AB57_0331
ko:K04759	abn:AB57_0332
ko:K01925	abn:AB57_0334
ko:K03588	abn:AB57_0335
ko:K06204	abn:AB57_0337
ko:K03651	abn:AB57_0338
ko:K03147	abn:AB57_0340
ko:K02039	abn:AB57_0345
ko:K01755	abn:AB57_0347
ko:K08082	abn:AB57_0348
ko:K08083	abn:AB57_0349
ko:K01749	abn:AB57_0350
ko:K01719	abn:AB57_0351
ko:K07107	abn:AB57_0354
ko:K03746	abn:AB57_0355
ko:K02452	abn:AB57_0357
ko:K02453	abn:AB57_0358
ko:K01091	abn:AB57_0360
ko:K01657	abn:AB57_0361
ko:K02358	abn:AB57_0362
ko:K03073	abn:AB57_0363
ko:K02601	abn:AB57_0364
ko:K02867	abn:AB57_0365
ko:K02863	abn:AB57_0366
ko:K02864	abn:AB57_0367
ko:K02935	abn:AB57_0368
ko:K03046	abn:AB57_0370
ko:K00135	abn:AB57_0901
ko:K06911	abn:AB57_0907
ko:K08973	abn:AB57_0908
ko:K02950	abn:AB57_0911
ko:K02992	abn:AB57_0912
ko:K07044	abn:AB57_0915
ko:K07044	abn:AB57_0918
ko:K03789	abn:AB57_0919
ko:K00684	abn:AB57_0921
ko:K00384	abn:AB57_0922
ko:K03608	abn:AB57_0927
ko:K03609	abn:AB57_0928
ko:K03610	abn:AB57_0929
ko:K03656	abn:AB57_0933
ko:K01520	abn:AB57_0934
ko:K00930	abn:AB57_0936
ko:K09801	abn:AB57_0941
ko:K06186	abn:AB57_0942
ko:K06911	abn:AB57_1213
ko:K06901	abn:AB57_1218
ko:K03470	abn:AB57_1222
ko:K03563	abn:AB57_1223
ko:K00928	abn:AB57_1224
ko:K10857	abn:AB57_1232
ko:K07275	abn:AB57_0376
ko:K04079	abn:AB57_0378
ko:K07002	abn:AB57_0384
ko:K03703	abn:AB57_0391
ko:K00995	abn:AB57_0393
ko:K07447	abn:AB57_0400
ko:K07735	abn:AB57_0401
ko:K03631	abn:AB57_0402
ko:K09913	abn:AB57_0404
ko:K03218	abn:AB57_0405
ko:K00859	abn:AB57_0406
ko:K02654	abn:AB57_0408
ko:K02653	abn:AB57_0409
ko:K02652	abn:AB57_0410
ko:K01803	abn:AB57_0411
ko:K03075	abn:AB57_0412
ko:K09748	abn:AB57_0413
ko:K02600	abn:AB57_0414
ko:K02519	abn:AB57_0415
ko:K02834	abn:AB57_0416
ko:K05563	abn:AB57_0418
ko:K05562	abn:AB57_0419
ko:K05561	abn:AB57_0420
ko:K05560	abn:AB57_0421
ko:K06177	abn:AB57_0132
ko:K02014	abn:AB57_0135
ko:K00285	abn:AB57_0138
ko:K01775	abn:AB57_0139
ko:K00140	abn:AB57_0144
ko:K02837	abn:AB57_0631
ko:K03424	abn:AB57_0635
ko:K01681	abn:AB57_0636
ko:K05539	abn:AB57_0641
ko:K07156	abn:AB57_0658
ko:K07644	abn:AB57_0660
ko:K07233	abn:AB57_0664
ko:K00324	abn:AB57_0670
ko:K00324	abn:AB57_0671
ko:K00325	abn:AB57_0672
ko:K09710	abn:AB57_0674
ko:K01816	abn:AB57_0675
ko:K07501	abn:AB57_0681
ko:K03215	abn:AB57_0682
ko:K00950	abn:AB57_0688
ko:K00606	abn:AB57_0689
ko:K01918	abn:AB57_0690
ko:K09889	abn:AB57_0693
ko:K00919	abn:AB57_0883
ko:K02494	abn:AB57_0884
ko:K02492	abn:AB57_0887
ko:K00931	abn:AB57_2940
ko:K03979	abn:AB57_2941
ko:K00134	abn:AB57_2944
ko:K05786	abn:AB57_2945
ko:K03098	abn:AB57_2946
ko:K03702	abn:AB57_2947
ko:K07462	abn:AB57_3767
ko:K01483	abn:AB57_3808
ko:K02622	abn:AB57_3809
ko:K07000	abn:AB57_3810
ko:K03611	abn:AB57_3818
ko:K01919	abn:AB57_3819
ko:K07657	abn:AB57_3827
ko:K01776	abn:AB57_3853
ko:K01091	abn:AB57_3854
ko:K01468	abn:AB57_3857
ko:K01745	abn:AB57_3859
ko:K01712	abn:AB57_3860
ko:K09975	abn:AB57_3861
ko:K05836	abn:AB57_3862
ko:K00457	abn:AB57_3871
ko:K03453	abn:AB57_3874
ko:K01714	abn:AB57_3876
ko:K01923	abn:AB57_3878
ko:K07478	abn:AB57_3881
ko:K09160	abn:AB57_3883
ko:K03575	abn:AB57_3887
ko:K01770	abn:AB57_2327
ko:K00285	abn:AB57_2330
ko:K01679	abn:AB57_2334
ko:K07235	abn:AB57_2336
ko:K11179	abn:AB57_2339
ko:K03750	abn:AB57_2344
ko:K03635	abn:AB57_2346
ko:K02316	abn:AB57_0886
ko:K05807	abn:AB57_0888
ko:K06180	abn:AB57_0889
ko:K05810	abn:AB57_0890
ko:K03664	abn:AB57_0892
ko:K00954	abn:AB57_0893
ko:K03451	abn:AB57_0898
ko:K00031	abn:AB57_2919
ko:K00031	abn:AB57_2921
ko:K07639	abn:AB57_0797
ko:K00330	abn:AB57_0800
ko:K00331	abn:AB57_0801
ko:K00334	abn:AB57_0803
ko:K00335	abn:AB57_0804
ko:K00336	abn:AB57_0805
ko:K00337	abn:AB57_0806
ko:K00338	abn:AB57_0807
ko:K00339	abn:AB57_0808
ko:K00340	abn:AB57_0809
ko:K00341	abn:AB57_0810
ko:K00342	abn:AB57_0811
ko:K00343	abn:AB57_0812
ko:K00761	abn:AB57_0813
ko:K00528	abn:AB57_0817
ko:K02051	abn:AB57_1473
ko:K02049	abn:AB57_1474
ko:K02050	abn:AB57_1475
ko:K01868	abn:AB57_0695
ko:K02916	abn:AB57_0700
ko:K02887	abn:AB57_0701
ko:K01889	abn:AB57_0704
ko:K04764	abn:AB57_0706
ko:K03628	abn:AB57_0708
ko:K03671	abn:AB57_0709
ko:K01962	abn:AB57_0711
ko:K04075	abn:AB57_0712
ko:K00286	abn:AB57_0713
ko:K02221	abn:AB57_0714
ko:K02335	abn:AB57_0715
ko:K02454	abn:AB57_0719
ko:K04754	abn:AB57_0727
ko:K03092	abn:AB57_0729
ko:K05808	abn:AB57_0730
ko:K00790	abn:AB57_0732
ko:K00765	abn:AB57_0733
ko:K00817	abn:AB57_0737
ko:K01866	abn:AB57_0001
ko:K02670	abn:AB57_0944
ko:K02669	abn:AB57_0945
ko:K06997	abn:AB57_0946
ko:K03546	abn:AB57_0947
ko:K03547	abn:AB57_0948
ko:K07071	abn:AB57_0953
ko:K03153	abn:AB57_0952
ko:K03449	abn:AB57_1499
ko:K09927	abn:AB57_1500
ko:K09765	abn:AB57_1502
ko:K09712	abn:AB57_1504
ko:K01752	abn:AB57_1517
ko:K02618	abn:AB57_1518
ko:K02609	abn:AB57_1519
ko:K02610	abn:AB57_1520
ko:K02611	abn:AB57_1521
ko:K02612	abn:AB57_1522
ko:K02613	abn:AB57_1523
ko:K01912	abn:AB57_1528
ko:K02616	abn:AB57_1529
ko:K09956	abn:AB57_0752
ko:K01783	abn:AB57_0753
ko:K07233	abn:AB57_0757
ko:K03781	abn:AB57_1617
ko:K03503	abn:AB57_1623
ko:K06975	abn:AB57_1630
ko:K00640	abn:AB57_1640
ko:K01640	abn:AB57_1597
ko:K01968	abn:AB57_1598
ko:K00053	abn:AB57_0626
ko:K07007	abn:AB57_0822
ko:K03593	abn:AB57_0831
ko:K09928	abn:AB57_0833
ko:K01494	abn:AB57_0835
ko:K05541	abn:AB57_0842
ko:K03106	abn:AB57_0844
ko:K03525	abn:AB57_0845
ko:K03529	abn:AB57_0849
ko:K03528	abn:AB57_0850
ko:K01972	abn:AB57_0851
ko:K03594	abn:AB57_0852
ko:K00697	abn:AB57_0854
ko:K02170	abn:AB57_0856
ko:K00833	abn:AB57_0857
ko:K02169	abn:AB57_0860
ko:K01935	abn:AB57_0861
ko:K06178	abn:AB57_0862
ko:K06024	abn:AB57_0863
ko:K05896	abn:AB57_0864
ko:K09906	abn:AB57_0866
ko:K02911	abn:AB57_0869
ko:K00645	abn:AB57_0870
ko:K06173	abn:AB57_0502
ko:K00133	abn:AB57_0507
ko:K11102	abn:AB57_0509
ko:K02517	abn:AB57_0511
ko:K03745	abn:AB57_0517
ko:K03168	abn:AB57_0521
ko:K03657	abn:AB57_0524
ko:K03455	abn:AB57_0529
ko:K02913	abn:AB57_0530
ko:K02078	abn:AB57_0872
ko:K01091	abn:AB57_0875
ko:K02858	abn:AB57_0876
ko:K01579	abn:AB57_0879
ko:K01056	abn:AB57_0880
ko:K02897	abn:AB57_0881
ko:K00948	abn:AB57_0882
ko:K02902	abn:AB57_0531
ko:K00154	abn:AB57_0532
ko:K01433	abn:AB57_0534
ko:K03832	abn:AB57_0535
ko:K03561	abn:AB57_0536
ko:K03559	abn:AB57_0537
ko:K00287	abn:AB57_0540
ko:K00560	abn:AB57_0541
ko:K07093	abn:AB57_0546
ko:K03581	abn:AB57_0436
ko:K02956	abn:AB57_0438
ko:K00962	abn:AB57_0439
ko:K05516	abn:AB57_0442
ko:K04083	abn:AB57_0444
ko:K04066	abn:AB57_0446
ko:K02456	abn:AB57_0448
ko:K06878	abn:AB57_0450
ko:K03820	abn:AB57_0451
ko:K06189	abn:AB57_0452
ko:K00311	abn:AB57_0455
ko:K11475	abn:AB57_1198
ko:K06138	abn:AB57_1991
ko:K00253	abn:AB57_1601
ko:K00647	abn:AB57_0909
ko:K01759	abn:AB57_2855
ko:K03286	abn:AB57_3344
ko:K11811	abn:AB57_0251
ko:K11755	abn:AB57_0425
ko:K00228	abn:AB57_3560
ko:K11936	abn:AB57_2496
ko:K07126	abn:AB57_1458
ko:K12979	abn:AB57_0389
ko:K02458	abn:AB57_1808
ko:K02671	abn:AB57_3624
ko:K09946	abn:AB57_3320
ko:K13292	abn:AB57_0544
ko:K03892	abn:AB57_1686
ko:K02517	abn:AB57_1430
ko:K00840	abn:AB57_1173
ko:K05819	abn:AB57_1196
ko:K03446	abn:AB57_0957
ko:K11754	abn:AB57_3371
ko:K00558	abn:AB57_1246
ko:K00558	abn:AB57_3851
ko:K11209	abn:AB57_1644
ko:K02483	abn:AB57_2644
ko:K11746	abn:AB57_1468
ko:K05597	abn:AB57_1697
ko:K00117	abn:AB57_3351
ko:K09470	abn:AB57_2469
ko:K01243	abn:AB57_0832
ko:K07659	abn:AB57_3677
ko:K07124	abn:AB57_2159
ko:K00059	abn:AB57_2193
ko:K02624	abn:AB57_2209
ko:K07124	abn:AB57_3059
ko:K02624	abn:AB57_1565
ko:K05564	abn:AB57_0417
ko:K00602	abn:AB57_2525
ko:K00059	abn:AB57_1642
ko:K01207	abn:AB57_0595
ko:K07665	abn:AB57_0661
ko:K11931	abn:AB57_1014
ko:K00059	abn:AB57_2382
ko:K03769	abn:AB57_3333
ko:K08195	abn:AB57_2221
ko:K11749	abn:AB57_2315
ko:K08195	abn:AB57_1432
ko:K12410	abn:AB57_1773
ko:K00823	abn:AB57_3728
ko:K05794	abn:AB57_0037
ko:K10804	abn:AB57_1064
ko:K01760	abn:AB57_3533
ko:K04091	abn:AB57_0068
ko:K01069	abn:AB57_2530
ko:K00748	abn:AB57_1894
ko:K09810	abn:AB57_3021
ko:K09017	abn:AB57_0065
ko:K00666	abn:AB57_0694
ko:K00666	abn:AB57_1603
ko:K01497	abn:AB57_3559
ko:K03719	abn:AB57_0137
ko:K03719	abn:AB57_1771
ko:K06889	abn:AB57_2092
ko:K01491	abn:AB57_3091
ko:K01628	abn:AB57_0241
ko:K00219	abn:AB57_1153
ko:K01665	abn:AB57_0738
ko:K03333	abn:AB57_1203
ko:K07215	abn:AB57_0991
ko:K00626	abn:AB57_2383
ko:K11896	abn:AB57_1483
ko:K11719	abn:AB57_1411
ko:K03760	abn:AB57_3174
ko:K01061	abn:AB57_1970
ko:K02914	abn:AB57_0021
ko:K03536	abn:AB57_0022
ko:K08998	abn:AB57_0023
ko:K03217	abn:AB57_0024
ko:K03650	abn:AB57_0026
ko:K03981	abn:AB57_0029
ko:K00760	abn:AB57_0031
ko:K03673	abn:AB57_0077
ko:K00989	abn:AB57_0082
ko:K01114	abn:AB57_0084
ko:K00767	abn:AB57_0085
ko:K03806	abn:AB57_0087
ko:K00101	abn:AB57_0118
ko:K03777	abn:AB57_0119
ko:K04567	abn:AB57_1077
ko:K00957	abn:AB57_1080
ko:K03325	abn:AB57_0252
ko:K02017	abn:AB57_1982
ko:K11893	abn:AB57_1492
ko:K01785	abn:AB57_1041
ko:K11907	abn:AB57_1490
ko:K11891	abn:AB57_1486
ko:K11892	abn:AB57_1493
ko:K03496	abn:AB57_3596
ko:K03574	abn:AB57_2641
ko:K03496	abn:AB57_0164
ko:K11901	abn:AB57_1479
ko:K11897	abn:AB57_1482
ko:K11900	abn:AB57_1480
ko:K03417	abn:AB57_0122
ko:K00130	abn:AB57_1171
ko:K11903	abn:AB57_1481
ko:K01477	abn:AB57_3807
ko:K10026	abn:AB57_2981
ko:K03381	abn:AB57_2181
ko:K02659	abn:AB57_3313
ko:K00074	abn:AB57_1583
ko:K05548	abn:AB57_1345
ko:K00074	abn:AB57_1526
ko:K00426	abn:AB57_1666
ko:K00425	abn:AB57_1667
ko:K03325	abn:AB57_1687
ko:K07240	abn:AB57_1689
ko:K07240	abn:AB57_1690
ko:K03387	abn:AB57_1691
ko:K00640	abn:AB57_1694
ko:K02337	abn:AB57_1696
ko:K07305	abn:AB57_1700
ko:K00432	abn:AB57_1701
ko:K00375	abn:AB57_1649
ko:K07734	abn:AB57_1650
ko:K04487	abn:AB57_1856
ko:K03524	abn:AB57_0846
ko:K02110	abn:AB57_0188
ko:K02109	abn:AB57_0189
ko:K02113	abn:AB57_0190
ko:K02111	abn:AB57_0191
ko:K00615	abn:AB57_1046
ko:K00615	abn:AB57_1047
ko:K00548	abn:AB57_1048
ko:K03306	abn:AB57_1050
ko:K01753	abn:AB57_1052
ko:K07400	abn:AB57_1058
ko:K01673	abn:AB57_1063
ko:K02003	abn:AB57_1065
ko:K03814	abn:AB57_1068
ko:K00937	abn:AB57_1069
ko:K04761	abn:AB57_1071
ko:K02115	abn:AB57_0192
ko:K02112	abn:AB57_0193
ko:K02114	abn:AB57_0194
ko:K00432	abn:AB57_0196
ko:K07566	abn:AB57_0201
ko:K04096	abn:AB57_0202
ko:K01462	abn:AB57_0204
ko:K02014	abn:AB57_0206
ko:K01738	abn:AB57_0213
ko:K02346	abn:AB57_0223
ko:K06966	abn:AB57_0227
ko:K09858	abn:AB57_0229
ko:K08369	abn:AB57_0231
ko:K01507	abn:AB57_0236
ko:K01714	abn:AB57_0240
ko:K00375	abn:AB57_0242
ko:K00059	abn:AB57_0871
ko:K06168	abn:AB57_3477
ko:K11717	abn:AB57_1638
ko:K03830	abn:AB57_0292
ko:K00984	abn:AB57_0293
ko:K07391	abn:AB57_0307
ko:K04752	abn:AB57_0309
ko:K03320	abn:AB57_0310
ko:K07738	abn:AB57_0311
ko:K00793	abn:AB57_0314
ko:K02558	abn:AB57_0040
ko:K09922	abn:AB57_0041
ko:K01588	abn:AB57_0042
ko:K01589	abn:AB57_0043
ko:K04043	abn:AB57_0048
ko:K03687	abn:AB57_0049
ko:K03774	abn:AB57_0059
ko:K03101	abn:AB57_0060
ko:K01870	abn:AB57_0061
ko:K11103	abn:AB57_1011
ko:K03811	abn:AB57_1018
ko:K06989	abn:AB57_1031
ko:K01652	abn:AB57_1033
ko:K01462	abn:AB57_1037
ko:K01425	abn:AB57_1038
ko:K08223	abn:AB57_1040
ko:K03502	abn:AB57_1305
ko:K03503	abn:AB57_1306
ko:K01872	abn:AB57_1311
ko:K00134	abn:AB57_1312
ko:K02502	abn:AB57_1314
ko:K01939	abn:AB57_1315
ko:K10914	abn:AB57_1318
ko:K03695	abn:AB57_1322
ko:K00609	abn:AB57_1327
ko:K01465	abn:AB57_1328
ko:K03439	abn:AB57_1333
ko:K07004	abn:AB57_1334
ko:K03387	abn:AB57_1337
ko:K09001	abn:AB57_0002
ko:K06158	abn:AB57_0014
ko:K03629	abn:AB57_0018
ko:K02338	abn:AB57_0019
ko:K02313	abn:AB57_0020
ko:K01243	abn:AB57_0064
ko:K00042	abn:AB57_2118
ko:K00130	abn:AB57_1003
ko:K00299	abn:AB57_3752
ko:K03386	abn:AB57_1341
ko:K01659	abn:AB57_0123
ko:K03762	abn:AB57_2561
ko:K01358	abn:AB57_0580
ko:K11936	abn:AB57_1015
ko:K04755	abn:AB57_1851
ko:K03743	abn:AB57_1323
ko:K03743	abn:AB57_1615
ko:K11895	abn:AB57_1484
ko:K11263	abn:AB57_1456
ko:K00568	abn:AB57_0076
ko:K01784	abn:AB57_2335
ko:K03119	abn:AB57_1677
ko:K11752	abn:AB57_0312
ko:K11753	abn:AB57_0062
ko:K07090	abn:AB57_3611
ko:K07090	abn:AB57_1890
ko:K06001	abn:AB57_1921
ko:K07098	abn:AB57_3441
ko:K01185	abn:AB57_2671
ko:K11720	abn:AB57_0320
ko:K03496	abn:AB57_1795
ko:K12262	abn:AB57_1220
ko:K00974	abn:AB57_2774
ko:K11747	abn:AB57_0445
ko:K07304	abn:AB57_0538
ko:K06895	abn:AB57_1126
ko:K01058	abn:AB57_2255
ko:K01487	abn:AB57_0033
ko:K00956	abn:AB57_1081
ko:K01897	abn:AB57_0233
ko:K01607	abn:AB57_2765
ko:K01434	abn:AB57_2186
ko:K00004	abn:AB57_1933
ko:K02503	abn:AB57_1899
ko:K05685	abn:AB57_0618
ko:K01961	abn:AB57_2360
ko:K12957	abn:AB57_3891
ko:K00537	abn:AB57_1685
ko:K01424	abn:AB57_0503
ko:K00215	abn:AB57_3899
ko:K06183	abn:AB57_2452
ko:K07216	abn:AB57_0939
ko:K13038	abn:AB57_3419
ko:K13288	abn:AB57_0614
ko:K02116	abn:AB57_0186
ko:K06879	abn:AB57_2746
ko:K08995	abn:AB57_1377
ko:K13378	abn:AB57_0802
ko:K00297	abn:AB57_2768
ko:K06867	abn:AB57_1497
ko:K02462	abn:AB57_2610
ko:K07246	abn:AB57_0897
ko:K13482	abn:AB57_2793
ko:K01079	abn:AB57_3836
ko:K13795	abn:AB57_0769
ko:K13788	abn:AB57_0585
ko:K02664	abn:AB57_3646
ko:K02657	abn:AB57_3315
ko:K07270	abn:AB57_3402
ko:K12339	abn:AB57_0680
ko:K00951	abn:AB57_0683
ko:K04030	abn:AB57_2837
ko:K09806	abn:AB57_0308
ko:K01087	abn:AB57_0855
ko:K12658	abn:AB57_1509
ko:K00019	abn:AB57_1967
ko:K03719	abn:AB57_2414
ko:K00620	abn:AB57_0761
ko:K01607	abn:AB57_1562
ko:K00557	abn:AB57_1768
ko:K00146	abn:AB57_2187
ko:K00219	abn:AB57_2239
ko:K07017	abn:AB57_2632
ko:K01708	abn:AB57_1181
ko:K12573	abn:AB57_3493
ko:K00529	abn:AB57_1026
ko:K03296	abn:AB57_3318
ko:K01055	abn:AB57_2185
ko:K20319	abn:AB57_2796
ko:K20319	abn:AB57_0009
ko:K14052	abn:AB57_1167
ko:K13930	abn:AB57_1655
ko:K13934	abn:AB57_1659
ko:K13935	abn:AB57_1660
ko:K14058	abn:AB57_3071
ko:K13954	abn:AB57_2430
ko:K05834	abn:AB57_0181
ko:K01779	abn:AB57_2538
ko:K01802	abn:AB57_1013
ko:K13928	abn:AB57_1663
ko:K13929	abn:AB57_1654
ko:K13932	abn:AB57_1657
ko:K13933	abn:AB57_1658
ko:K01934	abn:AB57_1112
ko:K02004	abn:AB57_1066
ko:K01826	abn:AB57_2428
ko:K13794	abn:AB57_0771
ko:K13796	abn:AB57_0770
ko:K00799	abn:AB57_1332
ko:K01825	abn:AB57_0387
ko:K01782	abn:AB57_3357
ko:K12508	abn:AB57_1193
ko:K07245	abn:AB57_0657
ko:K05524	abn:AB57_1422
ko:K08369	abn:AB57_0982
ko:K04691	abn:AB57_2775
ko:K07782	abn:AB57_0153
ko:K06956	abn:AB57_2913
ko:K01479	abn:AB57_3856
ko:K04774	abn:AB57_2871
ko:K03574	abn:AB57_3546
ko:K02614	abn:AB57_1531
ko:K00632	abn:AB57_0386
ko:K02663	abn:AB57_3647
ko:K13895	abn:AB57_1139
ko:K04085	abn:AB57_0453
ko:K09961	abn:AB57_1389
ko:K07459	abn:AB57_1532
ko:K03657	abn:AB57_1533
ko:K02203	abn:AB57_3275
ko:K01555	abn:AB57_3867
ko:K06518	abn:AB57_1647
ko:K08305	abn:AB57_2749
ko:K01791	abn:AB57_2933
ko:K00276	abn:AB57_2189
ko:K11085	abn:AB57_1799
ko:K01488	abn:AB57_0763
ko:K02314	abn:AB57_2722
ko:K01130	abn:AB57_1056
ko:K07397	abn:AB57_0175
ko:K01515	abn:AB57_0339
ko:K07397	abn:AB57_1319
ko:K02655	abn:AB57_3620
ko:K13888	abn:AB57_0619
ko:K02650	abn:AB57_3634
ko:K05540	abn:AB57_2937
ko:K01273	abn:AB57_1993
ko:K03782	abn:AB57_0488
ko:K13643	abn:AB57_1857
ko:K13774	abn:AB57_3460
ko:K13776	abn:AB57_0477
ko:K13777	abn:AB57_3456
ko:K13778	abn:AB57_3459
ko:K13779	abn:AB57_3457
ko:K10778	abn:AB57_0394
ko:K00024	abn:AB57_3474
ko:K05297	abn:AB57_1073
ko:K05297	abn:AB57_2839
ko:K07276	abn:AB57_3408
ko:K13481	abn:AB57_2794
ko:K06133	abn:AB57_0609
ko:K18138	abn:AB57_3157
ko:K13821	abn:AB57_1770
ko:K00058	abn:AB57_3607
ko:K06972	abn:AB57_2256
ko:K07346	abn:AB57_2422
ko:K03457	abn:AB57_1679
ko:K00020	abn:AB57_0145
ko:K13893	abn:AB57_1137
ko:K13745	abn:AB57_2880
ko:K03288	abn:AB57_0773
ko:K02315	abn:AB57_1248
ko:K11890	abn:AB57_1487
ko:K01574	abn:AB57_2158
ko:K13931	abn:AB57_1656
ko:K03297	abn:AB57_2654
ko:K03297	abn:AB57_3348
ko:K13896	abn:AB57_1140
ko:K13894	abn:AB57_1138
ko:K13639	abn:AB57_1503
ko:K00121	abn:AB57_2002
ko:K09024	abn:AB57_0783
ko:K13628	abn:AB57_1854
ko:K00459	abn:AB57_1579
ko:K08997	abn:AB57_3386
ko:K18145	abn:AB57_2082
ko:K03892	abn:AB57_0254
ko:K01113	abn:AB57_3092
ko:K01977	abn:AB57_4865
ko:K01977	abn:AB57_4867
ko:K01977	abn:AB57_4874
ko:K01977	abn:AB57_4866
ko:K01977	abn:AB57_4869
ko:K01977	abn:AB57_4873
ko:K14228	abn:AB57_4793
ko:K14228	abn:AB57_4796
ko:K14237	abn:AB57_4849
ko:K14237	abn:AB57_4850
ko:K14237	abn:AB57_4851
ko:K01969	abn:AB57_1600
ko:K08281	abn:AB57_3875
ko:K13635	abn:AB57_2978
ko:K05520	abn:AB57_3287
ko:K07088	abn:AB57_0571
ko:K01070	abn:AB57_0751
ko:K13771	abn:AB57_3536
ko:K13766	abn:AB57_1599
ko:K01011	abn:AB57_3831
ko:K14231	abn:AB57_4839
ko:K14231	abn:AB57_4840
ko:K02463	abn:AB57_0356
ko:K14220	abn:AB57_4807
ko:K14220	abn:AB57_4809
ko:K14220	abn:AB57_4808
ko:K14220	abn:AB57_4806
ko:K14287	abn:AB57_3823
ko:K14236	abn:AB57_4841
ko:K14219	abn:AB57_4816
ko:K00128	abn:AB57_1557
ko:K14223	abn:AB57_4801
ko:K14223	abn:AB57_4804
ko:K14223	abn:AB57_4803
ko:K14223	abn:AB57_4802
ko:K14347	abn:AB57_2854
ko:K02029	abn:AB57_1631
ko:K14233	abn:AB57_4810
ko:K14233	abn:AB57_4811
ko:K14228	abn:AB57_4791
ko:K14260	abn:AB57_1699
ko:K14219	abn:AB57_4818
ko:K14219	abn:AB57_4819
ko:K14219	abn:AB57_4820
ko:K00508	abn:AB57_2885
ko:K14221	abn:AB57_4832
ko:K14221	abn:AB57_4834
ko:K14221	abn:AB57_4833
ko:K07003	abn:AB57_0158
ko:K03897	abn:AB57_2812
ko:K01856	abn:AB57_2179
ko:K14234	abn:AB57_4853
ko:K03457	abn:AB57_1739
ko:K18146	abn:AB57_2081
ko:K07213	abn:AB57_1352
ko:K01392	abn:AB57_1834
ko:K14228	abn:AB57_4794
ko:K14228	abn:AB57_4795
ko:K21029	abn:AB57_2478
ko:K14227	abn:AB57_4857
ko:K14227	abn:AB57_4860
ko:K14227	abn:AB57_4862
ko:K14227	abn:AB57_4858
ko:K14227	abn:AB57_4859
ko:K14227	abn:AB57_4861
ko:K14232	abn:AB57_4855
ko:K14232	abn:AB57_4856
ko:K14348	abn:AB57_0117
ko:K14230	abn:AB57_4844
ko:K14230	abn:AB57_4845
ko:K00433	abn:AB57_2170
ko:K11737	abn:AB57_0141
ko:K11737	abn:AB57_0142
ko:K11737	abn:AB57_3046
ko:K01505	abn:AB57_0823
ko:K00459	abn:AB57_2936
ko:K02010	abn:AB57_1569
ko:K14393	abn:AB57_3747
ko:K14225	abn:AB57_4837
ko:K00941	abn:AB57_0874
ko:K14224	abn:AB57_4797
ko:K14224	abn:AB57_4798
ko:K14224	abn:AB57_4799
ko:K14224	abn:AB57_4800
ko:K00674	abn:AB57_2980
ko:K02358	abn:AB57_0914
ko:K03772	abn:AB57_0090
ko:K11735	abn:AB57_2592
ko:K14237	abn:AB57_4848
ko:K14233	abn:AB57_4812
ko:K02442	abn:AB57_3738
ko:K15396	abn:AB57_1695
ko:K14235	abn:AB57_4828
ko:K01046	abn:AB57_3614
ko:K14234	abn:AB57_4852
ko:K14234	abn:AB57_4854
ko:K14267	abn:AB57_1704
ko:K01985	abn:AB57_4875
ko:K01985	abn:AB57_4876
ko:K01985	abn:AB57_4877
ko:K01985	abn:AB57_4878
ko:K01985	abn:AB57_4879
ko:K01985	abn:AB57_4880
ko:K19302	abn:AB57_0038
ko:K14170	abn:AB57_2631
ko:K01607	abn:AB57_2220
ko:K07346	abn:AB57_2567
ko:K14219	abn:AB57_4814
ko:K14441	abn:AB57_2321
ko:K14225	abn:AB57_4835
ko:K14225	abn:AB57_4838
ko:K08196	abn:AB57_1574
ko:K05817	abn:AB57_0486
ko:K00001	abn:AB57_3141
ko:K00090	abn:AB57_2604
ko:K00064	abn:AB57_2577
