ko:K19168	ahj:V469_19090
ko:K03502	ahj:V469_11020
ko:K03503	ahj:V469_11025
ko:K02345	ahj:V469_11035
ko:K03746	ahj:V469_11040
ko:K18927	ahj:V469_13345
ko:K07261	ahj:V469_13390
ko:K03744	ahj:V469_13395
ko:K06872	ahj:V469_13400
ko:K08988	ahj:V469_13405
ko:K02556	ahj:V469_13415
ko:K02557	ahj:V469_13420
ko:K00330	ahj:V469_13425
ko:K00331	ahj:V469_13430
ko:K13378	ahj:V469_13435
ko:K00334	ahj:V469_13440
ko:K00337	ahj:V469_13455
ko:K00338	ahj:V469_13460
ko:K00339	ahj:V469_13465
ko:K00340	ahj:V469_13470
ko:K00341	ahj:V469_13475
ko:K00342	ahj:V469_13480
ko:K00343	ahj:V469_13485
ko:K01952	ahj:V469_13495
ko:K18691	ahj:V469_13500
ko:K03977	ahj:V469_13510
ko:K17713	ahj:V469_13515
ko:K01892	ahj:V469_13525
ko:K03526	ahj:V469_13530
ko:K15539	ahj:V469_13535
ko:K02656	ahj:V469_13540
ko:K06941	ahj:V469_13545
ko:K00940	ahj:V469_13550
ko:K07751	ahj:V469_13555
ko:K07751	ahj:V469_13560
ko:K04755	ahj:V469_13565
ko:K04044	ahj:V469_13570
ko:K04082	ahj:V469_13575
ko:K13628	ahj:V469_13580
ko:K04488	ahj:V469_13585
ko:K04487	ahj:V469_13590
ko:K13643	ahj:V469_13595
ko:K15396	ahj:V469_13600
ko:K08303	ahj:V469_13615
ko:K05803	ahj:V469_13625
ko:K01972	ahj:V469_16615
ko:K03528	ahj:V469_16620
ko:K03529	ahj:V469_16625
ko:K06203	ahj:V469_16630
ko:K02030	ahj:V469_16655
ko:K01176	ahj:V469_16680
ko:K07001	ahj:V469_16705
ko:K03455	ahj:V469_16710
ko:K04075	ahj:V469_16720
ko:K03790	ahj:V469_16740
ko:K16263	ahj:V469_16745
ko:K00784	ahj:V469_16755
ko:K03837	ahj:V469_16760
ko:K00868	ahj:V469_16775
ko:K03757	ahj:V469_16785
ko:K03765	ahj:V469_16790
ko:K01962	ahj:V469_16795
ko:K02337	ahj:V469_16800
ko:K03470	ahj:V469_16805
ko:K00748	ahj:V469_16810
ko:K00677	ahj:V469_16815
ko:K02372	ahj:V469_16820
ko:K02536	ahj:V469_16825
ko:K06142	ahj:V469_16830
ko:K07277	ahj:V469_16835
ko:K11749	ahj:V469_16840
ko:K00099	ahj:V469_16850
ko:K00981	ahj:V469_16855
ko:K00806	ahj:V469_16860
ko:K02837	ahj:V469_19425
ko:K03924	ahj:V469_19445
ko:K02344	ahj:V469_19450
ko:K03789	ahj:V469_19455
ko:K01897	ahj:V469_19465
ko:K01919	ahj:V469_19475
ko:K07263	ahj:V469_19480
ko:K00528	ahj:V469_19510
ko:K02939	ahj:V469_19515
ko:K02963	ahj:V469_19520
ko:K02990	ahj:V469_19525
ko:K03322	ahj:V469_19530
ko:K02348	ahj:V469_19550
ko:K03218	ahj:V469_19560
ko:K12573	ahj:V469_19565
ko:K13590	ahj:V469_19570
ko:K07173	ahj:V469_19575
ko:K04751	ahj:V469_19585
ko:K01950	ahj:V469_19590
ko:K08084	ahj:V469_19610
ko:K02655	ahj:V469_19615
ko:K02655	ahj:V469_19620
ko:K02674	ahj:V469_19625
ko:K02673	ahj:V469_19630
ko:K02672	ahj:V469_19635
ko:K02671	ahj:V469_19640
ko:K08084	ahj:V469_19645
ko:K03527	ahj:V469_19650
ko:K03774	ahj:V469_19655
ko:K03101	ahj:V469_19660
ko:K01870	ahj:V469_19665
ko:K11753	ahj:V469_19670
ko:K03980	ahj:V469_19675
ko:K02968	ahj:V469_19680
ko:K03717	ahj:V469_19690
ko:K03313	ahj:V469_19700
ko:K03071	ahj:V469_21755
ko:K15633	ahj:V469_21765
ko:K18555	ahj:V469_21775
ko:K06145	ahj:V469_21780
ko:K01625	ahj:V469_21785
ko:K01690	ahj:V469_21790
ko:K00851	ahj:V469_21795
ko:K06156	ahj:V469_21800
ko:K00998	ahj:V469_21805
ko:K03655	ahj:V469_21810
ko:K07560	ahj:V469_21830
ko:K07058	ahj:V469_21835
ko:K06207	ahj:V469_21840
ko:K01915	ahj:V469_21845
ko:K07708	ahj:V469_21855
ko:K07712	ahj:V469_21860
ko:K01488	ahj:V469_21865
ko:K09894	ahj:V469_21880
ko:K03978	ahj:V469_21895
ko:K00014	ahj:V469_21905
ko:K00228	ahj:V469_21910
ko:K07566	ahj:V469_21915
ko:K01588	ahj:V469_21920
ko:K07479	ahj:V469_21925
ko:K03747	ahj:V469_21930
ko:K04096	ahj:V469_21935
ko:K01462	ahj:V469_21945
ko:K00604	ahj:V469_21950
ko:K03500	ahj:V469_21955
ko:K03499	ahj:V469_21960
ko:K03498	ahj:V469_21965
ko:K13771	ahj:V469_21985
ko:K00259	ahj:V469_21995
ko:K00140	ahj:V469_22005
ko:K00822	ahj:V469_22010
ko:K12254	ahj:V469_22020
ko:K05786	ahj:V469_22030
ko:K00425	ahj:V469_03300
ko:K00426	ahj:V469_03305
ko:K07107	ahj:V469_03320
ko:K03562	ahj:V469_03325
ko:K03560	ahj:V469_03330
ko:K03646	ahj:V469_03335
ko:K03641	ahj:V469_03340
ko:K03640	ahj:V469_03345
ko:K03406	ahj:V469_03385
ko:K03517	ahj:V469_03390
ko:K01792	ahj:V469_03395
ko:K00134	ahj:V469_03400
ko:K00705	ahj:V469_03405
ko:K00700	ahj:V469_03410
ko:K07305	ahj:V469_03420
ko:K07240	ahj:V469_03425
ko:K03719	ahj:V469_03460
ko:K03308	ahj:V469_03490
ko:K03308	ahj:V469_03500
ko:K01779	ahj:V469_03540
ko:K14588	ahj:V469_03545
ko:K00925	ahj:V469_03560
ko:K16053	ahj:V469_03565
ko:K11928	ahj:V469_03575
ko:K04069	ahj:V469_07215
ko:K08313	ahj:V469_07220
ko:K06183	ahj:V469_07235
ko:K07095	ahj:V469_07250
ko:K02399	ahj:V469_07255
ko:K02398	ahj:V469_07260
ko:K02386	ahj:V469_07265
ko:K03415	ahj:V469_07270
ko:K00575	ahj:V469_07275
ko:K02387	ahj:V469_07280
ko:K02388	ahj:V469_07285
ko:K02389	ahj:V469_07290
ko:K02390	ahj:V469_07295
ko:K02391	ahj:V469_07300
ko:K02392	ahj:V469_07305
ko:K02393	ahj:V469_07310
ko:K02394	ahj:V469_07315
ko:K02395	ahj:V469_07320
ko:K02396	ahj:V469_07325
ko:K02397	ahj:V469_07330
ko:K06213	ahj:V469_07335
ko:K01524	ahj:V469_07340
ko:K00937	ahj:V469_07345
ko:K10941	ahj:V469_07360
ko:K10942	ahj:V469_07365
ko:K10943	ahj:V469_07370
ko:K11175	ahj:V469_07380
ko:K01933	ahj:V469_07385
ko:K00761	ahj:V469_07390
ko:K09938	ahj:V469_07395
ko:K10763	ahj:V469_07400
ko:K01637	ahj:V469_07405
ko:K01638	ahj:V469_07410
ko:K11991	ahj:V469_07425
ko:K02037	ahj:V469_07430
ko:K02038	ahj:V469_07435
ko:K02036	ahj:V469_07440
ko:K02039	ahj:V469_07450
ko:K03758	ahj:V469_07470
ko:K02028	ahj:V469_07485
ko:K02030	ahj:V469_07495
ko:K07783	ahj:V469_07505
ko:K07814	ahj:V469_11230
ko:K06917	ahj:V469_11240
ko:K01008	ahj:V469_11245
ko:K00799	ahj:V469_11265
ko:K06969	ahj:V469_11270
ko:K03406	ahj:V469_11275
ko:K01512	ahj:V469_11280
ko:K00799	ahj:V469_11285
ko:K01874	ahj:V469_11290
ko:K03593	ahj:V469_11295
ko:K00876	ahj:V469_11300
ko:K01494	ahj:V469_11305
ko:K16322	ahj:V469_11310
ko:K08300	ahj:V469_11315
ko:K06179	ahj:V469_11320
ko:K08163	ahj:V469_11335
ko:K07040	ahj:V469_11350
ko:K02911	ahj:V469_11355
ko:K03621	ahj:V469_11360
ko:K00648	ahj:V469_11365
ko:K00645	ahj:V469_11370
ko:K00059	ahj:V469_11375
ko:K02078	ahj:V469_11380
ko:K09458	ahj:V469_11385
ko:K02619	ahj:V469_11390
ko:K07082	ahj:V469_11395
ko:K00943	ahj:V469_11400
ko:K02341	ahj:V469_11405
ko:K03424	ahj:V469_11410
ko:K11392	ahj:V469_11425
ko:K03808	ahj:V469_11435
ko:K03808	ahj:V469_11440
ko:K03417	ahj:V469_11445
ko:K01659	ahj:V469_11450
ko:K01720	ahj:V469_11455
ko:K09918	ahj:V469_11505
ko:K03578	ahj:V469_11210
ko:K03074	ahj:V469_13635
ko:K03072	ahj:V469_13640
ko:K03210	ahj:V469_13645
ko:K00773	ahj:V469_13650
ko:K07568	ahj:V469_13655
ko:K03386	ahj:V469_13665
ko:K03387	ahj:V469_13670
ko:K00537	ahj:V469_13690
ko:K03325	ahj:V469_13695
ko:K00281	ahj:V469_13705
ko:K02437	ahj:V469_13710
ko:K00605	ahj:V469_13715
ko:K18800	ahj:V469_13720
ko:K03185	ahj:V469_13725
ko:K09895	ahj:V469_13730
ko:K08154	ahj:V469_13740
ko:K01092	ahj:V469_13755
ko:K03406	ahj:V469_13760
ko:K07238	ahj:V469_13765
ko:K01243	ahj:V469_13775
ko:K02227	ahj:V469_13780
ko:K06858	ahj:V469_13785
ko:K15894	ahj:V469_13790
ko:K07257	ahj:V469_13805
ko:K01845	ahj:V469_13810
ko:K02422	ahj:V469_13850
ko:K02407	ahj:V469_13855
ko:K06603	ahj:V469_13860
ko:K02406	ahj:V469_13865
ko:K02406	ahj:V469_13880
ko:K02406	ahj:V469_13885
ko:K03151	ahj:V469_13900
ko:K05367	ahj:V469_13910
ko:K06894	ahj:V469_13915
ko:K02838	ahj:V469_16865
ko:K09903	ahj:V469_16870
ko:K02357	ahj:V469_16875
ko:K02967	ahj:V469_16880
ko:K01265	ahj:V469_16885
ko:K00990	ahj:V469_16890
ko:K00674	ahj:V469_16895
ko:K02778	ahj:V469_16905
ko:K02779	ahj:V469_16905
ko:K05775	ahj:V469_16910
ko:K02024	ahj:V469_16915
ko:K06175	ahj:V469_16925
ko:K15723	ahj:V469_16960
ko:K06879	ahj:V469_16965
ko:K06966	ahj:V469_16980
ko:K01146	ahj:V469_16985
ko:K00030	ahj:V469_16990
ko:K06968	ahj:V469_17000
ko:K07020	ahj:V469_17010
ko:K03566	ahj:V469_17015
ko:K03406	ahj:V469_17020
ko:K02346	ahj:V469_17025
ko:K05952	ahj:V469_17035
ko:K03734	ahj:V469_17040
ko:K00351	ahj:V469_17045
ko:K00350	ahj:V469_17050
ko:K00349	ahj:V469_17055
ko:K00348	ahj:V469_17060
ko:K00347	ahj:V469_17065
ko:K00346	ahj:V469_17070
ko:K05527	ahj:V469_17075
ko:K11391	ahj:V469_17080
ko:K07286	ahj:V469_17085
ko:K03767	ahj:V469_17090
ko:K08218	ahj:V469_17100
ko:K05517	ahj:V469_17105
ko:K09767	ahj:V469_17110
ko:K00077	ahj:V469_17115
ko:K03152	ahj:V469_17120
ko:K01652	ahj:V469_17125
ko:K01575	ahj:V469_17130
ko:K13292	ahj:V469_19710
ko:K08484	ahj:V469_19715
ko:K08311	ahj:V469_19720
ko:K03573	ahj:V469_19725
ko:K02884	ahj:V469_19735
ko:K00554	ahj:V469_19740
ko:K02860	ahj:V469_19745
ko:K02959	ahj:V469_19750
ko:K03106	ahj:V469_19755
ko:K13771	ahj:V469_19770
ko:K05916	ahj:V469_19775
ko:K00024	ahj:V469_19785
ko:K09998	ahj:V469_19790
ko:K09999	ahj:V469_19795
ko:K09997	ahj:V469_19800
ko:K10000	ahj:V469_19805
ko:K03402	ahj:V469_19810
ko:K07223	ahj:V469_19815
ko:K02010	ahj:V469_19820
ko:K02011	ahj:V469_19825
ko:K02012	ahj:V469_19830
ko:K04752	ahj:V469_19835
ko:K15034	ahj:V469_19840
ko:K00567	ahj:V469_19845
ko:K03317	ahj:V469_19850
ko:K00432	ahj:V469_19860
ko:K00865	ahj:V469_19870
ko:K03299	ahj:V469_19875
ko:K02647	ahj:V469_19880
ko:K09910	ahj:V469_19890
ko:K07052	ahj:V469_19900
ko:K03406	ahj:V469_19905
ko:K02030	ahj:V469_19930
ko:K11065	ahj:V469_19935
ko:K01534	ahj:V469_19940
ko:K00832	ahj:V469_19965
ko:K01531	ahj:V469_22045
ko:K07112	ahj:V469_22050
ko:K05834	ahj:V469_22055
ko:K09983	ahj:V469_22085
ko:K07491	ahj:V469_22105
ko:K03657	ahj:V469_22115
ko:K07335	ahj:V469_22120
ko:K02056	ahj:V469_22125
ko:K02057	ahj:V469_22135
ko:K02057	ahj:V469_22140
ko:K00121	ahj:V469_22150
ko:K01070	ahj:V469_22155
ko:K14347	ahj:V469_22170
ko:K06878	ahj:V469_22180
ko:K12112	ahj:V469_22190
ko:K12111	ahj:V469_22195
ko:K12113	ahj:V469_22200
ko:K09892	ahj:V469_22250
ko:K00640	ahj:V469_22260
ko:K13283	ahj:V469_22265
ko:K07640	ahj:V469_22275
ko:K03216	ahj:V469_22280
ko:K03327	ahj:V469_22285
ko:K07152	ahj:V469_22290
ko:K01356	ahj:V469_22300
ko:K00631	ahj:V469_22305
ko:K03179	ahj:V469_22310
ko:K03181	ahj:V469_22315
ko:K02415	ahj:V469_22320
ko:K01118	ahj:V469_03610
ko:K07115	ahj:V469_03620
ko:K02313	ahj:V469_00005
ko:K02338	ahj:V469_00010
ko:K03629	ahj:V469_00015
ko:K02470	ahj:V469_00020
ko:K04080	ahj:V469_00035
ko:K04080	ahj:V469_00040
ko:K00835	ahj:V469_00045
ko:K07667	ahj:V469_00065
ko:K07646	ahj:V469_00070
ko:K01548	ahj:V469_00075
ko:K01547	ahj:V469_00085
ko:K01546	ahj:V469_00090
ko:K00383	ahj:V469_00095
ko:K18138	ahj:V469_00105
ko:K03585	ahj:V469_00110
ko:K18136	ahj:V469_00115
ko:K00873	ahj:V469_00145
ko:K07783	ahj:V469_00150
ko:K08478	ahj:V469_00155
ko:K08475	ahj:V469_00160
ko:K08476	ahj:V469_00165
ko:K01048	ahj:V469_00180
ko:K03060	ahj:V469_00200
ko:K00942	ahj:V469_00205
ko:K12982	ahj:V469_00210
ko:K11211	ahj:V469_00215
ko:K01867	ahj:V469_00250
ko:K06149	ahj:V469_00255
ko:K00209	ahj:V469_00260
ko:K02217	ahj:V469_00270
ko:K07007	ahj:V469_00275
ko:K08223	ahj:V469_00280
ko:K11250	ahj:V469_00285
ko:K06158	ahj:V469_03630
ko:K04767	ahj:V469_03635
ko:K07340	ahj:V469_03640
ko:K02302	ahj:V469_03650
ko:K00957	ahj:V469_03655
ko:K00956	ahj:V469_03660
ko:K00860	ahj:V469_03670
ko:K03406	ahj:V469_03690
ko:K09950	ahj:V469_03700
ko:K02004	ahj:V469_03705
ko:K02003	ahj:V469_03710
ko:K07109	ahj:V469_03725
ko:K01507	ahj:V469_03740
ko:K02558	ahj:V469_03745
ko:K03186	ahj:V469_03750
ko:K00760	ahj:V469_03760
ko:K01990	ahj:V469_03765
ko:K01992	ahj:V469_03770
ko:K01918	ahj:V469_03800
ko:K00606	ahj:V469_03805
ko:K00950	ahj:V469_03810
ko:K00970	ahj:V469_03815
ko:K01894	ahj:V469_03820
ko:K06204	ahj:V469_03825
ko:K06206	ahj:V469_03830
ko:K01975	ahj:V469_03835
ko:K03579	ahj:V469_03840
ko:K05365	ahj:V469_03845
ko:K08234	ahj:V469_03850
ko:K11742	ahj:V469_03855
ko:K11743	ahj:V469_03860
ko:K07675	ahj:V469_07510
ko:K06140	ahj:V469_07520
ko:K02030	ahj:V469_07530
ko:K01077	ahj:V469_07540
ko:K01077	ahj:V469_07545
ko:K14540	ahj:V469_07550
ko:K08219	ahj:V469_07555
ko:K09909	ahj:V469_07565
ko:K00813	ahj:V469_07585
ko:K06915	ahj:V469_07590
ko:K09928	ahj:V469_07600
ko:K02238	ahj:V469_07605
ko:K03746	ahj:V469_07700
ko:K11085	ahj:V469_07740
ko:K00912	ahj:V469_07745
ko:K09791	ahj:V469_07750
ko:K00979	ahj:V469_07755
ko:K07689	ahj:V469_07760
ko:K03703	ahj:V469_07765
ko:K00140	ahj:V469_07825
ko:K03336	ahj:V469_07835
ko:K00010	ahj:V469_07850
ko:K04770	ahj:V469_11515
ko:K01716	ahj:V469_11520
ko:K03812	ahj:V469_11525
ko:K15738	ahj:V469_11535
ko:K12297	ahj:V469_11545
ko:K18657	ahj:V469_11550
ko:K00254	ahj:V469_11555
ko:K15371	ahj:V469_11560
ko:K01256	ahj:V469_11570
ko:K03797	ahj:V469_11575
ko:K03607	ahj:V469_11580
ko:K00404	ahj:V469_11595
ko:K00405	ahj:V469_11600
ko:K00407	ahj:V469_11605
ko:K00406	ahj:V469_11610
ko:K09926	ahj:V469_11615
ko:K01533	ahj:V469_11620
ko:K09792	ahj:V469_11630
ko:K14055	ahj:V469_11640
ko:K14058	ahj:V469_11645
ko:K00799	ahj:V469_11660
ko:K06726	ahj:V469_11665
ko:K10441	ahj:V469_11670
ko:K10440	ahj:V469_11675
ko:K10439	ahj:V469_11680
ko:K00852	ahj:V469_11685
ko:K02529	ahj:V469_11690
ko:K12410	ahj:V469_11705
ko:K04764	ahj:V469_11725
ko:K01890	ahj:V469_11730
ko:K01889	ahj:V469_11735
ko:K02887	ahj:V469_11740
ko:K02916	ahj:V469_11745
ko:K02520	ahj:V469_11750
ko:K01868	ahj:V469_11755
ko:K02469	ahj:V469_11775
ko:K00568	ahj:V469_11780
ko:K04069	ahj:V469_13960
ko:K10023	ahj:V469_13970
ko:K10022	ahj:V469_13980
ko:K10025	ahj:V469_13985
ko:K01305	ahj:V469_13995
ko:K01442	ahj:V469_14005
ko:K00537	ahj:V469_14020
ko:K03548	ahj:V469_14040
ko:K10111	ahj:V469_14060
ko:K10110	ahj:V469_14065
ko:K10109	ahj:V469_14070
ko:K10108	ahj:V469_14075
ko:K06899	ahj:V469_14080
ko:K09904	ahj:V469_14085
ko:K07014	ahj:V469_14090
ko:K02014	ahj:V469_14095
ko:K01354	ahj:V469_14100
ko:K08276	ahj:V469_14120
ko:K09897	ahj:V469_14125
ko:K14187	ahj:V469_14135
ko:K01626	ahj:V469_14140
ko:K01126	ahj:V469_14145
ko:K00111	ahj:V469_14150
ko:K02444	ahj:V469_14155
ko:K02445	ahj:V469_14160
ko:K02440	ahj:V469_14165
ko:K00864	ahj:V469_14170
ko:K06996	ahj:V469_14185
ko:K06222	ahj:V469_14195
ko:K00426	ahj:V469_14210
ko:K00425	ahj:V469_14215
ko:K11904	ahj:V469_17155
ko:K11903	ahj:V469_17160
ko:K01784	ahj:V469_17180
ko:K11933	ahj:V469_17185
ko:K05601	ahj:V469_17190
ko:K04047	ahj:V469_17195
ko:K00574	ahj:V469_17220
ko:K01669	ahj:V469_17245
ko:K07025	ahj:V469_17280
ko:K14170	ahj:V469_17285
ko:K09860	ahj:V469_17290
ko:K03630	ahj:V469_17360
ko:K10026	ahj:V469_17370
ko:K06920	ahj:V469_17375
ko:K03580	ahj:V469_17420
ko:K08676	ahj:V469_20005
ko:K03406	ahj:V469_20035
ko:K13635	ahj:V469_20045
ko:K02045	ahj:V469_20055
ko:K02047	ahj:V469_20060
ko:K02046	ahj:V469_20065
ko:K07002	ahj:V469_20070
ko:K02048	ahj:V469_20075
ko:K00661	ahj:V469_20085
ko:K07734	ahj:V469_20105
ko:K01755	ahj:V469_20110
ko:K01940	ahj:V469_20115
ko:K00611	ahj:V469_20120
ko:K00930	ahj:V469_20125
ko:K00145	ahj:V469_20130
ko:K01438	ahj:V469_20135
ko:K01595	ahj:V469_20140
ko:K12525	ahj:V469_20150
ko:K01739	ahj:V469_20155
ko:K03764	ahj:V469_20160
ko:K06878	ahj:V469_20170
ko:K03837	ahj:V469_20175
ko:K01082	ahj:V469_20180
ko:K08312	ahj:V469_20185
ko:K01866	ahj:V469_20195
ko:K02463	ahj:V469_20205
ko:K02462	ahj:V469_20210
ko:K02461	ahj:V469_20215
ko:K02460	ahj:V469_20220
ko:K02459	ahj:V469_20225
ko:K02458	ahj:V469_20230
ko:K02457	ahj:V469_20235
ko:K02456	ahj:V469_20245
ko:K02455	ahj:V469_20250
ko:K02454	ahj:V469_20255
ko:K02453	ahj:V469_20260
ko:K02452	ahj:V469_20265
ko:K04762	ahj:V469_20270
ko:K02821	ahj:V469_22350
ko:K02822	ahj:V469_22355
ko:K03475	ahj:V469_22360
ko:K02527	ahj:V469_22365
ko:K02843	ahj:V469_22370
ko:K12984	ahj:V469_22375
ko:K00954	ahj:V469_22385
ko:K09824	ahj:V469_22390
ko:K10563	ahj:V469_22395
ko:K02913	ahj:V469_22405
ko:K02902	ahj:V469_22410
ko:K03630	ahj:V469_22415
ko:K13038	ahj:V469_22420
ko:K05501	ahj:V469_22430
ko:K03442	ahj:V469_22435
ko:K01810	ahj:V469_22445
ko:K00053	ahj:V469_22450
ko:K02521	ahj:V469_22455
ko:K00230	ahj:V469_22500
ko:K03498	ahj:V469_22505
ko:K01907	ahj:V469_22520
ko:K01825	ahj:V469_22525
ko:K17315	ahj:V469_22545
ko:K04085	ahj:V469_22555
ko:K01246	ahj:V469_22575
ko:K01878	ahj:V469_22580
ko:K01879	ahj:V469_22585
ko:K07690	ahj:V469_00315
ko:K07679	ahj:V469_00320
ko:K02478	ahj:V469_00330
ko:K02477	ahj:V469_00335
ko:K08177	ahj:V469_00340
ko:K01589	ahj:V469_00345
ko:K01588	ahj:V469_00350
ko:K07086	ahj:V469_00360
ko:K03717	ahj:V469_00365
ko:K16092	ahj:V469_00370
ko:K01776	ahj:V469_00375
ko:K02426	ahj:V469_00420
ko:K11717	ahj:V469_00425
ko:K03656	ahj:V469_00430
ko:K00060	ahj:V469_00445
ko:K00639	ahj:V469_00450
ko:K03274	ahj:V469_00460
ko:K02847	ahj:V469_00470
ko:K07270	ahj:V469_00475
ko:K02843	ahj:V469_00490
ko:K00989	ahj:V469_00500
ko:K00762	ahj:V469_00505
ko:K17686	ahj:V469_00515
ko:K09896	ahj:V469_00530
ko:K03673	ahj:V469_00545
ko:K02042	ahj:V469_00550
ko:K02041	ahj:V469_00555
ko:K02044	ahj:V469_00560
ko:K00763	ahj:V469_00565
ko:K08281	ahj:V469_00570
ko:K07391	ahj:V469_00595
ko:K01652	ahj:V469_00600
ko:K11258	ahj:V469_00605
ko:K00826	ahj:V469_00610
ko:K07269	ahj:V469_04210
ko:K03406	ahj:V469_04215
ko:K01885	ahj:V469_04220
ko:K03832	ahj:V469_04270
ko:K03559	ahj:V469_04275
ko:K03561	ahj:V469_04280
ko:K03561	ahj:V469_04285
ko:K02014	ahj:V469_04295
ko:K13894	ahj:V469_04300
ko:K13895	ahj:V469_04305
ko:K13893	ahj:V469_04310
ko:K01270	ahj:V469_04330
ko:K00769	ahj:V469_04335
ko:K11750	ahj:V469_04340
ko:K11926	ahj:V469_04345
ko:K00931	ahj:V469_04350
ko:K00147	ahj:V469_04355
ko:K06149	ahj:V469_04365
ko:K00372	ahj:V469_04380
ko:K02303	ahj:V469_04385
ko:K15576	ahj:V469_04395
ko:K15577	ahj:V469_04400
ko:K15578	ahj:V469_04405
ko:K00362	ahj:V469_04410
ko:K16328	ahj:V469_04420
ko:K16329	ahj:V469_04425
ko:K01674	ahj:V469_04430
ko:K00428	ahj:V469_04435
ko:K01173	ahj:V469_04440
ko:K02078	ahj:V469_04470
ko:K02078	ahj:V469_04475
ko:K01745	ahj:V469_04500
ko:K07107	ahj:V469_04505
ko:K01845	ahj:V469_03895
ko:K03281	ahj:V469_03900
ko:K15724	ahj:V469_03910
ko:K03557	ahj:V469_03940
ko:K05540	ahj:V469_03945
ko:K01993	ahj:V469_03955
ko:K01992	ahj:V469_03960
ko:K03305	ahj:V469_03990
ko:K00963	ahj:V469_03995
ko:K02237	ahj:V469_04000
ko:K01082	ahj:V469_04005
ko:K09780	ahj:V469_04010
ko:K06190	ahj:V469_04015
ko:K01580	ahj:V469_04020
ko:K11068	ahj:V469_04025
ko:K07085	ahj:V469_04030
ko:K03415	ahj:V469_04045
ko:K10804	ahj:V469_04050
ko:K02003	ahj:V469_04055
ko:K02004	ahj:V469_04060
ko:K07071	ahj:V469_04065
ko:K05825	ahj:V469_04075
ko:K03439	ahj:V469_04085
ko:K09923	ahj:V469_04090
ko:K01425	ahj:V469_04095
ko:K09607	ahj:V469_04140
ko:K09893	ahj:V469_04145
ko:K01613	ahj:V469_04175
ko:K06949	ahj:V469_04180
ko:K13288	ahj:V469_04185
ko:K03704	ahj:V469_04205
ko:K17208	ahj:V469_07855
ko:K17210	ahj:V469_07860
ko:K17209	ahj:V469_07865
ko:K03338	ahj:V469_07875
ko:K03335	ahj:V469_07880
ko:K03337	ahj:V469_07885
ko:K04013	ahj:V469_07965
ko:K04014	ahj:V469_07970
ko:K04015	ahj:V469_07975
ko:K03269	ahj:V469_07980
ko:K03768	ahj:V469_07990
ko:K01883	ahj:V469_07995
ko:K13069	ahj:V469_08015
ko:K03113	ahj:V469_08050
ko:K04758	ahj:V469_08055
ko:K04759	ahj:V469_08060
ko:K00975	ahj:V469_08075
ko:K02670	ahj:V469_08080
ko:K09922	ahj:V469_08085
ko:K02030	ahj:V469_08090
ko:K06073	ahj:V469_08095
ko:K06074	ahj:V469_08100
ko:K01626	ahj:V469_08110
ko:K00901	ahj:V469_08115
ko:K00058	ahj:V469_08120
ko:K01807	ahj:V469_08130
ko:K01934	ahj:V469_08135
ko:K00215	ahj:V469_08145
ko:K11107	ahj:V469_11800
ko:K08304	ahj:V469_11805
ko:K06938	ahj:V469_11810
ko:K02795	ahj:V469_11825
ko:K02794	ahj:V469_11830
ko:K02793	ahj:V469_11835
ko:K02529	ahj:V469_11845
ko:K06859	ahj:V469_11850
ko:K02769	ahj:V469_11855
ko:K02770	ahj:V469_11855
ko:K00882	ahj:V469_11860
ko:K02768	ahj:V469_11865
ko:K11183	ahj:V469_11865
ko:K03435	ahj:V469_11870
ko:K03834	ahj:V469_11875
ko:K11927	ahj:V469_11890
ko:K01736	ahj:V469_11900
ko:K07320	ahj:V469_11905
ko:K06193	ahj:V469_11955
ko:K01462	ahj:V469_11990
ko:K03642	ahj:V469_12005
ko:K03632	ahj:V469_12010
ko:K03804	ahj:V469_12015
ko:K03633	ahj:V469_12020
ko:K06219	ahj:V469_12025
ko:K01803	ahj:V469_12035
ko:K00850	ahj:V469_12040
ko:K12940	ahj:V469_12045
ko:K01255	ahj:V469_12055
ko:K07459	ahj:V469_12090
ko:K03449	ahj:V469_14270
ko:K06182	ahj:V469_14275
ko:K00262	ahj:V469_14285
ko:K03406	ahj:V469_14335
ko:K01585	ahj:V469_14350
ko:K01258	ahj:V469_14355
ko:K07401	ahj:V469_14365
ko:K01251	ahj:V469_14370
ko:K01938	ahj:V469_14395
ko:K03406	ahj:V469_14400
ko:K01495	ahj:V469_14405
ko:K03750	ahj:V469_14410
ko:K02017	ahj:V469_14425
ko:K02018	ahj:V469_14430
ko:K02020	ahj:V469_14435
ko:K01687	ahj:V469_00615
ko:K01754	ahj:V469_00620
ko:K03286	ahj:V469_00625
ko:K04066	ahj:V469_00635
ko:K02909	ahj:V469_00640
ko:K00029	ahj:V469_00650
ko:K07639	ahj:V469_00660
ko:K07661	ahj:V469_00665
ko:K01187	ahj:V469_00685
ko:K04046	ahj:V469_00700
ko:K03778	ahj:V469_00705
ko:K05805	ahj:V469_00710
ko:K06204	ahj:V469_00725
ko:K01915	ahj:V469_00730
ko:K12256	ahj:V469_00735
ko:K11073	ahj:V469_00740
ko:K11073	ahj:V469_00745
ko:K11076	ahj:V469_00750
ko:K11075	ahj:V469_00755
ko:K11074	ahj:V469_00760
ko:K03654	ahj:V469_00785
ko:K08997	ahj:V469_00795
ko:K09125	ahj:V469_00805
ko:K02553	ahj:V469_00810
ko:K03406	ahj:V469_00815
ko:K06213	ahj:V469_00820
