ko:K01006	sags:SaSA20_1383
ko:K09153	sags:SaSA20_1162
ko:K12997	sags:SaSA20_1164
ko:K12996	sags:SaSA20_1165
ko:K03574	sags:SaSA20_1186
ko:K12270	sags:SaSA20_1191
ko:K12269	sags:SaSA20_1192
ko:K12268	sags:SaSA20_1193
ko:K15051	sags:SaSA20_0569
ko:K07035	sags:SaSA20_0575
ko:K10041	sags:SaSA20_0595
ko:K07668	sags:SaSA20_0596
ko:K07652	sags:SaSA20_0597
ko:K03095	sags:SaSA20_0609
ko:K06023	sags:SaSA20_0612
ko:K02808	sags:SaSA20_1403
ko:K02809	sags:SaSA20_1403
ko:K02810	sags:SaSA20_1403
ko:K01262	sags:SaSA20_1414
ko:K03471	sags:SaSA20_1430
ko:K00805	sags:SaSA20_1446
ko:K16012	sags:SaSA20_1447
ko:K16013	sags:SaSA20_1448
ko:K12296	sags:SaSA20_0089
ko:K03048	sags:SaSA20_0104
ko:K06889	sags:SaSA20_0106
ko:K09698	sags:SaSA20_0111
ko:K10439	sags:SaSA20_0112
ko:K10440	sags:SaSA20_0113
ko:K00852	sags:SaSA20_0116
ko:K02004	sags:SaSA20_0118
ko:K07030	sags:SaSA20_0128
ko:K05020	sags:SaSA20_0947
ko:K02824	sags:SaSA20_0966
ko:K01478	sags:SaSA20_1760
ko:K07025	sags:SaSA20_0627
ko:K03976	sags:SaSA20_0629
ko:K07273	sags:SaSA20_0631
ko:K03488	sags:SaSA20_0663
ko:K02755	sags:SaSA20_0664
ko:K02756	sags:SaSA20_0664
ko:K02757	sags:SaSA20_0664
ko:K03299	sags:SaSA20_0668
ko:K02342	sags:SaSA20_1458
ko:K01409	sags:SaSA20_1464
ko:K03713	sags:SaSA20_1471
ko:K09685	sags:SaSA20_1479
ko:K03698	sags:SaSA20_1480
ko:K00949	sags:SaSA20_1482
ko:K09825	sags:SaSA20_0358
ko:K01934	sags:SaSA20_0369
ko:K06346	sags:SaSA20_0376
ko:K07586	sags:SaSA20_0377
ko:K02348	sags:SaSA20_0381
ko:K03647	sags:SaSA20_0385
ko:K06183	sags:SaSA20_1210
ko:K01759	sags:SaSA20_1213
ko:K12999	sags:SaSA20_1214
ko:K10563	sags:SaSA20_1223
ko:K10254	sags:SaSA20_1237
ko:K07304	sags:SaSA20_1239
ko:K02564	sags:SaSA20_0674
ko:K07393	sags:SaSA20_0675
ko:K06183	sags:SaSA20_0676
ko:K06198	sags:SaSA20_0678
ko:K07533	sags:SaSA20_0682
ko:K07729	sags:SaSA20_0689
ko:K11189	sags:SaSA20_0695
ko:K08483	sags:SaSA20_0696
ko:K03476	sags:SaSA20_1508
ko:K03493	sags:SaSA20_1509
ko:K02775	sags:SaSA20_1513
ko:K00616	sags:SaSA20_1517
ko:K02821	sags:SaSA20_1521
ko:K02822	sags:SaSA20_1522
ko:K03475	sags:SaSA20_1523
ko:K03708	sags:SaSA20_1537
ko:K03386	sags:SaSA20_1541
ko:K03316	sags:SaSA20_1543
ko:K07386	sags:SaSA20_1546
ko:K02745	sags:SaSA20_1555
ko:K00867	sags:SaSA20_0799
ko:K00564	sags:SaSA20_0800
ko:K02056	sags:SaSA20_0802
ko:K00016	sags:SaSA20_0806
ko:K08234	sags:SaSA20_0809
ko:K02004	sags:SaSA20_0820
ko:K09787	sags:SaSA20_0828
ko:K14982	sags:SaSA20_0829
ko:K14983	sags:SaSA20_0830
ko:K02793	sags:SaSA20_1607
ko:K07706	sags:SaSA20_1614
ko:K07658	sags:SaSA20_1620
ko:K07729	sags:SaSA20_1636
ko:K01607	sags:SaSA20_0391
ko:K02775	sags:SaSA20_0406
ko:K01629	sags:SaSA20_0407
ko:K02775	sags:SaSA20_0409
ko:K02025	sags:SaSA20_0413
ko:K01784	sags:SaSA20_0418
ko:K07177	sags:SaSA20_0443
ko:K03342	sags:SaSA20_1254
ko:K03709	sags:SaSA20_1260
ko:K01243	sags:SaSA20_1261
ko:K01515	sags:SaSA20_1263
ko:K04750	sags:SaSA20_1265
ko:K00059	sags:SaSA20_1269
ko:K00567	sags:SaSA20_1286
ko:K00058	sags:SaSA20_1287
ko:K06201	sags:SaSA20_1290
ko:K04767	sags:SaSA20_1296
ko:K11050	sags:SaSA20_0555
ko:K04488	sags:SaSA20_0140
ko:K07258	sags:SaSA20_0143
ko:K15582	sags:SaSA20_0146
ko:K15583	sags:SaSA20_0147
ko:K10823	sags:SaSA20_0148
ko:K15051	sags:SaSA20_0153
ko:K03693	sags:SaSA20_0155
ko:K02243	sags:SaSA20_0159
ko:K02244	sags:SaSA20_0160
ko:K02248	sags:SaSA20_0161
ko:K07729	sags:SaSA20_0165
ko:K01261	sags:SaSA20_0170
ko:K02035	sags:SaSA20_0182
ko:K02033	sags:SaSA20_0183
ko:K01226	sags:SaSA20_0188
ko:K01104	sags:SaSA20_0994
ko:K03930	sags:SaSA20_1004
ko:K05833	sags:SaSA20_1006
ko:K05832	sags:SaSA20_1007
ko:K01989	sags:SaSA20_1008
ko:K01727	sags:SaSA20_1016
ko:K02086	sags:SaSA20_1023
ko:K00784	sags:SaSA20_1028
ko:K00841	sags:SaSA20_0018
ko:K01788	sags:SaSA20_0032
ko:K01639	sags:SaSA20_0038
ko:K01092	sags:SaSA20_0839
ko:K16509	sags:SaSA20_0841
ko:K03177	sags:SaSA20_0843
ko:K07052	sags:SaSA20_0847
ko:K12555	sags:SaSA20_1677
ko:K01619	sags:SaSA20_1681
ko:K03317	sags:SaSA20_1682
ko:K05833	sags:SaSA20_1688
ko:K05832	sags:SaSA20_1689
ko:K07104	sags:SaSA20_1692
ko:K03810	sags:SaSA20_1696
ko:K08152	sags:SaSA20_1708
ko:K11051	sags:SaSA20_0556
ko:K09762	sags:SaSA20_0517
ko:K01488	sags:SaSA20_0522
ko:K04516	sags:SaSA20_0524
ko:K06286	sags:SaSA20_0530
ko:K15051	sags:SaSA20_0535
ko:K01439	sags:SaSA20_1356
ko:K06948	sags:SaSA20_1377
ko:K02433	sags:SaSA20_1381
ko:K01424	sags:SaSA20_1392
ko:K11704	sags:SaSA20_1259
ko:K11705	sags:SaSA20_1257
ko:K14224	sags:SaSA20_t73
ko:K14228	sags:SaSA20_t15
ko:K01977	sags:SaSA20_r04
ko:K01977	sags:SaSA20_r07
ko:K01977	sags:SaSA20_r13
ko:K01980	sags:SaSA20_r05
ko:K01980	sags:SaSA20_r14
ko:K14235	sags:SaSA20_t40
ko:K14225	sags:SaSA20_t49
ko:K14233	sags:SaSA20_t62
ko:K14223	sags:SaSA20_t71
ko:K14229	sags:SaSA20_t76
ko:K14224	sags:SaSA20_t78
ko:K01834	sags:SaSA20_0639
ko:K10009	sags:SaSA20_1327
ko:K02424	sags:SaSA20_1328
ko:K02028	sags:SaSA20_0477
ko:K14223	sags:SaSA20_t42
ko:K02030	sags:SaSA20_0262
ko:K02030	sags:SaSA20_0797
ko:K02030	sags:SaSA20_1358
ko:K11991	sags:SaSA20_0366
ko:K09951	sags:SaSA20_0771
ko:K14228	sags:SaSA20_t43
ko:K14218	sags:SaSA20_t11
ko:K14237	sags:SaSA20_t48
ko:K16786	sags:SaSA20_1349
ko:K16787	sags:SaSA20_1349
ko:K01426	sags:SaSA20_1329
ko:K16923	sags:SaSA20_0512
ko:K14219	sags:SaSA20_t79
ko:K14228	sags:SaSA20_t18
ko:K14228	sags:SaSA20_t44
ko:K01980	sags:SaSA20_r20
ko:K08986	sags:SaSA20_0604
ko:K00951	sags:SaSA20_1596
ko:K01598	sags:SaSA20_0888
ko:K16916	sags:SaSA20_1641
ko:K16917	sags:SaSA20_1642
ko:K16925	sags:SaSA20_0711
ko:K16924	sags:SaSA20_1350
ko:K16785	sags:SaSA20_0713
ko:K16786	sags:SaSA20_0712
ko:K16787	sags:SaSA20_0712
ko:K14227	sags:SaSA20_t27
ko:K14226	sags:SaSA20_t41
ko:K16898	sags:SaSA20_0749
ko:K14225	sags:SaSA20_t26
ko:K14231	sags:SaSA20_t38
ko:K16899	sags:SaSA20_0748
ko:K14222	sags:SaSA20_t75
ko:K14228	sags:SaSA20_t59
ko:K01977	sags:SaSA20_r10
ko:K01977	sags:SaSA20_r19
ko:K01977	sags:SaSA20_r16
ko:K01980	sags:SaSA20_r08
ko:K01980	sags:SaSA20_r11
ko:K01980	sags:SaSA20_r17
ko:K14237	sags:SaSA20_t12
ko:K14221	sags:SaSA20_t13
ko:K14229	sags:SaSA20_t14
ko:K14234	sags:SaSA20_t16
ko:K14225	sags:SaSA20_t17
ko:K14219	sags:SaSA20_t19
ko:K14232	sags:SaSA20_t20
ko:K14230	sags:SaSA20_t21
ko:K14230	sags:SaSA20_t37
ko:K14230	sags:SaSA20_t53
ko:K14231	sags:SaSA20_t54
ko:K14218	sags:SaSA20_t28
ko:K14218	sags:SaSA20_t45
ko:K14218	sags:SaSA20_t47
ko:K14218	sags:SaSA20_t60
ko:K14218	sags:SaSA20_t63
ko:K14237	sags:SaSA20_t29
ko:K14227	sags:SaSA20_t34
ko:K14224	sags:SaSA20_t35
ko:K14224	sags:SaSA20_t51
ko:K14233	sags:SaSA20_t36
ko:K14236	sags:SaSA20_t39
ko:K14220	sags:SaSA20_t46
ko:K14220	sags:SaSA20_t61
ko:K14220	sags:SaSA20_t77
ko:K14225	sags:SaSA20_t65
ko:K14227	sags:SaSA20_t50
ko:K14227	sags:SaSA20_t66
ko:K14233	sags:SaSA20_t52
ko:K14236	sags:SaSA20_t55
ko:K14235	sags:SaSA20_t56
ko:K14226	sags:SaSA20_t57
ko:K14223	sags:SaSA20_t58
ko:K14237	sags:SaSA20_t64
ko:K14224	sags:SaSA20_t67
ko:K14234	sags:SaSA20_t68
ko:K14219	sags:SaSA20_t69
ko:K14219	sags:SaSA20_t70
ko:K14236	sags:SaSA20_t72
ko:K14223	sags:SaSA20_t74
ko:K01985	sags:SaSA20_r21
ko:K01985	sags:SaSA20_r06
ko:K01985	sags:SaSA20_r09
ko:K01985	sags:SaSA20_r12
ko:K01985	sags:SaSA20_r15
ko:K01985	sags:SaSA20_r18
ko:K11070	sags:SaSA20_0934
ko:K02851	sags:SaSA20_0136
ko:K02029	sags:SaSA20_1201
ko:K02030	sags:SaSA20_1201
ko:K01992	sags:SaSA20_0253
ko:K01992	sags:SaSA20_0341
ko:K01990	sags:SaSA20_0786
ko:K01992	sags:SaSA20_1649
ko:K01992	sags:SaSA20_0554
ko:K01990	sags:SaSA20_0340
ko:K01990	sags:SaSA20_0252
ko:K01990	sags:SaSA20_1221
ko:K01990	sags:SaSA20_1650
ko:K02028	sags:SaSA20_0264
ko:K02028	sags:SaSA20_0796
ko:K03574	sags:SaSA20_1015
ko:K03574	sags:SaSA20_1632
ko:K02028	sags:SaSA20_1202
ko:K01537	sags:SaSA20_0499
ko:K02030	sags:SaSA20_1173
ko:K17076	sags:SaSA20_0131
ko:K02029	sags:SaSA20_0476
ko:K17073	sags:SaSA20_0132
ko:K17074	sags:SaSA20_0132
ko:K10947	sags:SaSA20_0236
ko:K07271	sags:SaSA20_1160
ko:K01990	sags:SaSA20_0279
ko:K10112	sags:SaSA20_1581
ko:K01992	sags:SaSA20_0280
ko:K17686	sags:SaSA20_0352
ko:K00131	sags:SaSA20_0697
ko:K01101	sags:SaSA20_0767
ko:K02027	sags:SaSA20_0412
ko:K00226	sags:SaSA20_0492
ko:K06518	sags:SaSA20_0969
ko:K03767	sags:SaSA20_1256
ko:K02026	sags:SaSA20_0035
ko:K02026	sags:SaSA20_0414
ko:K07284	sags:SaSA20_0808
ko:K01658	sags:SaSA20_0449
ko:K02027	sags:SaSA20_0033
ko:K12574	sags:SaSA20_1468
ko:K01467	sags:SaSA20_0012
ko:K00537	sags:SaSA20_1000
ko:K00661	sags:SaSA20_0856
ko:K12574	sags:SaSA20_1005
ko:K01791	sags:SaSA20_0982
ko:K01071	sags:SaSA20_0766
ko:K02614	sags:SaSA20_0965
ko:K02809	sags:SaSA20_0254
ko:K02810	sags:SaSA20_0254
ko:K03366	sags:SaSA20_0508
ko:K06148	sags:SaSA20_0892
ko:K02794	sags:SaSA20_1606
ko:K07335	sags:SaSA20_0801
ko:K06147	sags:SaSA20_1075
ko:K12554	sags:SaSA20_1089
ko:K07260	sags:SaSA20_0091
ko:K02032	sags:SaSA20_0186
ko:K03742	sags:SaSA20_1705
ko:K18474	sags:SaSA20_0310
ko:K16235	sags:SaSA20_1052
ko:K02001	sags:SaSA20_1504
ko:K02002	sags:SaSA20_1504
ko:K02031	sags:SaSA20_0185
ko:K18581	sags:SaSA20_1556
ko:K00983	sags:SaSA20_0980
ko:K18682	sags:SaSA20_0278
ko:K18672	sags:SaSA20_0760
ko:K18692	sags:SaSA20_0261
ko:K07012	sags:SaSA20_0427
ko:K18888	sags:SaSA20_1077
ko:K03790	sags:SaSA20_0719
ko:K18887	sags:SaSA20_1078
ko:K03111	sags:SaSA20_1421
ko:K05593	sags:SaSA20_1644
ko:K03497	sags:SaSA20_1772
ko:K03111	sags:SaSA20_0176
ko:K07029	sags:SaSA20_0726
ko:K03790	sags:SaSA20_0230
ko:K19002	sags:SaSA20_0587
ko:K18979	sags:SaSA20_0502
ko:K13052	sags:SaSA20_0010
ko:K19005	sags:SaSA20_1121
ko:K19119	sags:SaSA20_0428
ko:K08652	sags:SaSA20_0382
ko:K02476	sags:SaSA20_1577
ko:K02475	sags:SaSA20_1578
ko:K09951	sags:SaSA20_0433
ko:K01710	sags:SaSA20_1017
ko:K05881	sags:SaSA20_1365
ko:K01897	sags:SaSA20_0454
ko:K01239	sags:SaSA20_0513
ko:K19118	sags:SaSA20_0430
ko:K19137	sags:SaSA20_0772
ko:K03722	sags:SaSA20_0509
ko:K01992	sags:SaSA20_0233
ko:K19302	sags:SaSA20_1142
ko:K04771	sags:SaSA20_1771
ko:K06881	sags:SaSA20_0521
ko:K01654	sags:SaSA20_0983
ko:K02796	sags:SaSA20_1604
ko:K00887	sags:SaSA20_1231
ko:K02796	sags:SaSA20_0327
ko:K11045	sags:SaSA20_1659
ko:K00526	sags:SaSA20_0692
ko:K19689	sags:SaSA20_1207
ko:K00297	sags:SaSA20_1663
ko:K00547	sags:SaSA20_1663
ko:K21636	sags:SaSA20_1697
ko:K11706	sags:SaSA20_1258
ko:K20074	sags:SaSA20_0289
ko:K12132	sags:SaSA20_0290
ko:K20073	sags:SaSA20_0276
ko:K20112	sags:SaSA20_1591
ko:K02777	sags:SaSA20_1618
ko:K20107	sags:SaSA20_1618
ko:K20108	sags:SaSA20_1618
ko:K20114	sags:SaSA20_1589
ko:K20113	sags:SaSA20_1590
ko:K20342	sags:SaSA20_0048
ko:K20373	sags:SaSA20_1224
ko:K00525	sags:SaSA20_0693
ko:K00526	sags:SaSA20_0384
ko:K20344	sags:SaSA20_1613
ko:K18890	sags:SaSA20_0448
ko:K02525	sags:SaSA20_1516
ko:K12990	sags:SaSA20_1153
ko:K01200	sags:SaSA20_0727
ko:K21064	sags:SaSA20_0330
ko:K08968	sags:SaSA20_0701
ko:K00525	sags:SaSA20_0386
ko:K01493	sags:SaSA20_1413
ko:K06191	sags:SaSA20_0694
ko:K04068	sags:SaSA20_1694
ko:K03553	sags:SaSA20_1704
ko:K00857	sags:SaSA20_0899
ko:K02314	sags:SaSA20_1736
ko:K01520	sags:SaSA20_0107
ko:K01286	sags:SaSA20_0142
ko:K00287	sags:SaSA20_1059
ko:K00560	sags:SaSA20_1060
ko:K02316	sags:SaSA20_1169
ko:K06217	sags:SaSA20_1236
ko:K00558	sags:SaSA20_0540
ko:K02335	sags:SaSA20_0356
ko:K00571	sags:SaSA20_0163
ko:K01759	sags:SaSA20_1266
ko:K21471	sags:SaSA20_0016
ko:K00863	sags:SaSA20_1361
ko:K21567	sags:SaSA20_1093
ko:K02954	sags:SaSA20_0070a
ko:K07052	sags:SaSA20_0167a
ko:K04763	sags:SaSA20_0549c
ko:K00600	sags:SaSA20_0549d
ko:K01195	sags:SaSA20_0579
ko:K02372	sags:SaSA20_0923a
ko:K01839	sags:SaSA20_1680
ko:K21828	sags:SaSA20_1758
ko:K21977	sags:SaSA20_0887
ko:K22044	sags:SaSA20_0102
ko:K00015	sags:SaSA20_1514
ko:K03595	sags:SaSA20_1230
ko:K03078	sags:SaSA20_1520
ko:K22278	sags:SaSA20_0698
ko:K17758	sags:SaSA20_0480
ko:K03077	sags:SaSA20_1518
ko:K03079	sags:SaSA20_1519
ko:K22441	sags:SaSA20_0745
ko:K22457	sags:SaSA20_0510
