ko:K04042	cbk:CLL_A0148
ko:K03308	cbk:CLL_A2912
ko:K00651	cbk:CLL_A2913
ko:K02232	cbk:CLL_A2917
ko:K01952	cbk:CLL_A1102
ko:K01588	cbk:CLL_A1103
ko:K01923	cbk:CLL_A1104
ko:K00764	cbk:CLL_A1105
ko:K01945	cbk:CLL_A1109
ko:K02003	cbk:CLL_A1122
ko:K02012	cbk:CLL_A1133
ko:K07784	cbk:CLL_A1134
ko:K07035	cbk:CLL_A1137
ko:K00068	cbk:CLL_A0401
ko:K01810	cbk:CLL_A0403
ko:K09768	cbk:CLL_A0404
ko:K01305	cbk:CLL_A0290
ko:K07137	cbk:CLL_A0295
ko:K00929	cbk:CLL_A0297
ko:K03431	cbk:CLL_A0300
ko:K01653	cbk:CLL_A0321
ko:K00052	cbk:CLL_A0324
ko:K01687	cbk:CLL_A0325
ko:K01652	cbk:CLL_A0326
ko:K00053	cbk:CLL_A0327
ko:K00820	cbk:CLL_A0338
ko:K01740	cbk:CLL_A0347
ko:K01868	cbk:CLL_A0348
ko:K00762	cbk:CLL_A2575
ko:K00926	cbk:CLL_A0624
ko:K01751	cbk:CLL_A0625
ko:K01464	cbk:CLL_A0634
ko:K02016	cbk:CLL_A0640
ko:K02015	cbk:CLL_A0641
ko:K02013	cbk:CLL_A0642
ko:K07402	cbk:CLL_A0644
ko:K01008	cbk:CLL_A0646
ko:K07141	cbk:CLL_A0650
ko:K07402	cbk:CLL_A0651
ko:K02008	cbk:CLL_A0652
ko:K02006	cbk:CLL_A0653
ko:K02007	cbk:CLL_A0654
ko:K00656	cbk:CLL_A1513
ko:K03704	cbk:CLL_A1515
ko:K03488	cbk:CLL_A1520
ko:K00852	cbk:CLL_A1527
ko:K06726	cbk:CLL_A1528
ko:K10441	cbk:CLL_A1529
ko:K10440	cbk:CLL_A1530
ko:K10439	cbk:CLL_A1531
ko:K02529	cbk:CLL_A1532
ko:K01304	cbk:CLL_A1534
ko:K09936	cbk:CLL_A1558
ko:K07301	cbk:CLL_A1561
ko:K03415	cbk:CLL_A1563
ko:K01738	cbk:CLL_A1571
ko:K01775	cbk:CLL_A1573
ko:K03980	cbk:CLL_A2458
ko:K03437	cbk:CLL_A2474
ko:K03499	cbk:CLL_A2475
ko:K02887	cbk:CLL_A2477
ko:K02916	cbk:CLL_A2478
ko:K02520	cbk:CLL_A2479
ko:K04083	cbk:CLL_A2482
ko:K00133	cbk:CLL_A2485
ko:K01714	cbk:CLL_A2486
ko:K06373	cbk:CLL_A0098
ko:K06374	cbk:CLL_A0099
ko:K03688	cbk:CLL_A0101
ko:K01262	cbk:CLL_A0103
ko:K02440	cbk:CLL_A0108
ko:K05878	cbk:CLL_A0109
ko:K05879	cbk:CLL_A0110
ko:K03424	cbk:CLL_A0113
ko:K05985	cbk:CLL_A0115
ko:K02528	cbk:CLL_A0116
ko:K04068	cbk:CLL_A0131
ko:K07282	cbk:CLL_A0140
ko:K07238	cbk:CLL_A0141
ko:K01924	cbk:CLL_A0145
ko:K09685	cbk:CLL_A0146
ko:K06412	cbk:CLL_A0147
ko:K00948	cbk:CLL_A0149
ko:K03723	cbk:CLL_A0152
ko:K07533	cbk:CLL_A0153
ko:K04769	cbk:CLL_A0154
ko:K03530	cbk:CLL_A0157
ko:K00969	cbk:CLL_A0583
ko:K06180	cbk:CLL_A0586
ko:K09764	cbk:CLL_A1576
ko:K00757	cbk:CLL_A1580
ko:K01839	cbk:CLL_A1582
ko:K00616	cbk:CLL_A1586
ko:K06182	cbk:CLL_A2511
ko:K10540	cbk:CLL_A2524
ko:K03565	cbk:CLL_A2529
ko:K03671	cbk:CLL_A2536
ko:K02049	cbk:CLL_A2539
ko:K02050	cbk:CLL_A2540
ko:K02051	cbk:CLL_A2541
ko:K09770	cbk:CLL_A2542
ko:K00243	cbk:CLL_A2546
ko:K09779	cbk:CLL_A2551
ko:K01885	cbk:CLL_A2555
ko:K04758	cbk:CLL_A2558
ko:K04759	cbk:CLL_A2559
ko:K01887	cbk:CLL_A2562
ko:K01790	cbk:CLL_A3435
ko:K06317	cbk:CLL_A3443
ko:K09747	cbk:CLL_A3446
ko:K00560	cbk:CLL_A3448
ko:K00287	cbk:CLL_A3449
ko:K00847	cbk:CLL_A3455
ko:K02003	cbk:CLL_A3461
ko:K00655	cbk:CLL_A3469
ko:K01714	cbk:CLL_A3477
ko:K01653	cbk:CLL_A0726
ko:K03311	cbk:CLL_A0731
ko:K01619	cbk:CLL_A0734
ko:K00756	cbk:CLL_A0735
ko:K07813	cbk:CLL_A0739
ko:K02071	cbk:CLL_A0743
ko:K02072	cbk:CLL_A0744
ko:K02073	cbk:CLL_A0745
ko:K03695	cbk:CLL_A0752
ko:K06158	cbk:CLL_A0764
ko:K09816	cbk:CLL_A0772
ko:K09817	cbk:CLL_A0773
ko:K08602	cbk:CLL_A0776
ko:K03152	cbk:CLL_A0783
ko:K07462	cbk:CLL_A0784
ko:K00948	cbk:CLL_A1659
ko:K01919	cbk:CLL_A1666
ko:K05896	cbk:CLL_A2366
ko:K07571	cbk:CLL_A0161
ko:K06382	cbk:CLL_A0169
ko:K03798	cbk:CLL_A0172
ko:K01938	cbk:CLL_A0173
ko:K03525	cbk:CLL_A0174
ko:K01880	cbk:CLL_A0182
ko:K01925	cbk:CLL_A0183
ko:K03284	cbk:CLL_A0194
ko:K00943	cbk:CLL_A0198
ko:K02341	cbk:CLL_A0200
ko:K03708	cbk:CLL_A0204
ko:K03696	cbk:CLL_A0207
ko:K00384	cbk:CLL_A0208
ko:K07067	cbk:CLL_A0213
ko:K00991	cbk:CLL_A0216
ko:K01881	cbk:CLL_A0217
ko:K11145	cbk:CLL_A0219
ko:K01873	cbk:CLL_A2505
ko:K03111	cbk:CLL_A3368
ko:K07058	cbk:CLL_A3369
ko:K07056	cbk:CLL_A3374
ko:K03800	cbk:CLL_A3388
ko:K00382	cbk:CLL_A3389
ko:K00845	cbk:CLL_A3397
ko:K02355	cbk:CLL_A3399
ko:K00975	cbk:CLL_A3412
ko:K00975	cbk:CLL_A3413
ko:K00688	cbk:CLL_A3415
ko:K00700	cbk:CLL_A3417
ko:K03790	cbk:CLL_A3425
ko:K03169	cbk:CLL_A1688
ko:K03722	cbk:CLL_A1693
ko:K01866	cbk:CLL_A1702
ko:K00656	cbk:CLL_A2573
ko:K01591	cbk:CLL_A2578
ko:K01465	cbk:CLL_A2579
ko:K00610	cbk:CLL_A2580
ko:K06153	cbk:CLL_A2582
ko:K07009	cbk:CLL_A2586
ko:K03975	cbk:CLL_A2592
ko:K03218	cbk:CLL_A0220
ko:K06962	cbk:CLL_A0221
ko:K02358	cbk:CLL_A0224
ko:K03073	cbk:CLL_A0225
ko:K02601	cbk:CLL_A0226
ko:K02189	cbk:CLL_A2931
ko:K03399	cbk:CLL_A2935
ko:K02188	cbk:CLL_A2936
ko:K06042	cbk:CLL_A2937
ko:K02190	cbk:CLL_A2939
ko:K06897	cbk:CLL_A2950
ko:K07238	cbk:CLL_A2958
ko:K08974	cbk:CLL_A2966
ko:K03784	cbk:CLL_A2969
ko:K01489	cbk:CLL_A2970
ko:K07010	cbk:CLL_A2614
ko:K01442	cbk:CLL_A2615
ko:K06901	cbk:CLL_A2616
ko:K07001	cbk:CLL_A3503
ko:K09773	cbk:CLL_A3504
ko:K03101	cbk:CLL_A3505
ko:K02557	cbk:CLL_A3509
ko:K02003	cbk:CLL_A3520
ko:K03475	cbk:CLL_A3530
ko:K02821	cbk:CLL_A3532
ko:K03088	cbk:CLL_A3537
ko:K03306	cbk:CLL_A3538
ko:K07220	cbk:CLL_A3539
ko:K01126	cbk:CLL_A3544
ko:K00783	cbk:CLL_A3548
ko:K00648	cbk:CLL_A0673
ko:K03740	cbk:CLL_A0685
ko:K03367	cbk:CLL_A0687
ko:K03739	cbk:CLL_A0688
ko:K01151	cbk:CLL_A0712
ko:K03710	cbk:CLL_A0715
ko:K01443	cbk:CLL_A0716
ko:K06201	cbk:CLL_A0719
ko:K03523	cbk:CLL_A0720
ko:K01012	cbk:CLL_A0721
ko:K01935	cbk:CLL_A0722
ko:K03783	cbk:CLL_A1703
ko:K07166	cbk:CLL_A1717
ko:K09157	cbk:CLL_A1718
ko:K06958	cbk:CLL_A3342
ko:K00027	cbk:CLL_A3577
ko:K11031	cbk:CLL_A2808
ko:K02316	cbk:CLL_A0913
ko:K03648	cbk:CLL_A3379
ko:K02113	cbk:CLL_A0495
ko:K02795	cbk:CLL_A1374
ko:K03168	cbk:CLL_A1256
ko:K03652	cbk:CLL_A0132
ko:K06187	cbk:CLL_A3445
ko:K01953	cbk:CLL_A1395
ko:K01953	cbk:CLL_A2544
ko:K03076	cbk:CLL_A0258
ko:K01710	cbk:CLL_A3251
ko:K02416	cbk:CLL_A0804
ko:K02410	cbk:CLL_A0841
ko:K02419	cbk:CLL_A0855
ko:K02768	cbk:CLL_A2296
ko:K02769	cbk:CLL_A2296
ko:K02770	cbk:CLL_A2296
ko:K01448	cbk:CLL_A0613
ko:K02417	cbk:CLL_A0805
ko:K02687	cbk:CLL_A0895
ko:K03092	cbk:CLL_A3068
ko:K02890	cbk:CLL_A0243
ko:K02982	cbk:CLL_A0244
ko:K02878	cbk:CLL_A0245
ko:K02904	cbk:CLL_A0246
ko:K02961	cbk:CLL_A0247
ko:K02874	cbk:CLL_A0248
ko:K02895	cbk:CLL_A0249
ko:K02931	cbk:CLL_A0250
ko:K02954	cbk:CLL_A0251
ko:K02994	cbk:CLL_A0252
ko:K02933	cbk:CLL_A0253
ko:K02881	cbk:CLL_A0254
ko:K02988	cbk:CLL_A0255
ko:K02907	cbk:CLL_A0256
ko:K02876	cbk:CLL_A0257
ko:K00939	cbk:CLL_A0259
ko:K01265	cbk:CLL_A0260
ko:K02518	cbk:CLL_A0262
ko:K02919	cbk:CLL_A0263
ko:K02952	cbk:CLL_A0264
ko:K02948	cbk:CLL_A0265
ko:K02986	cbk:CLL_A0266
ko:K02879	cbk:CLL_A0268
ko:K06173	cbk:CLL_A0272
ko:K02871	cbk:CLL_A0273
ko:K02996	cbk:CLL_A0274
ko:K00526	cbk:CLL_A0285
ko:K08483	cbk:CLL_A0286
ko:K07240	cbk:CLL_A0287
ko:K07240	cbk:CLL_A0288
ko:K02396	cbk:CLL_A0808
ko:K02760	cbk:CLL_A1499
ko:K07568	cbk:CLL_A1024
ko:K03551	cbk:CLL_A1023
ko:K04485	cbk:CLL_A0212
ko:K03496	cbk:CLL_A3596
ko:K11175	cbk:CLL_A1107
ko:K02112	cbk:CLL_A0498
ko:K02356	cbk:CLL_A2417
ko:K00876	cbk:CLL_A1056
ko:K01951	cbk:CLL_A0389
ko:K07636	cbk:CLL_A1196
ko:K04075	cbk:CLL_A0170
ko:K00074	cbk:CLL_A0377
ko:K00088	cbk:CLL_A0388
ko:K00857	cbk:CLL_A0480
ko:K03655	cbk:CLL_A1228
ko:K09167	cbk:CLL_A0065
ko:K01677	cbk:CLL_A0278
ko:K01678	cbk:CLL_A0279
ko:K00760	cbk:CLL_A1003
ko:K02745	cbk:CLL_A3133
ko:K11068	cbk:CLL_A0056
ko:K02747	cbk:CLL_A3131
ko:K03340	cbk:CLL_A3000
ko:K02755	cbk:CLL_A1518
ko:K02756	cbk:CLL_A1518
ko:K02757	cbk:CLL_A1518
ko:K06121	cbk:CLL_A2104
ko:K01424	cbk:CLL_A1207
ko:K03497	cbk:CLL_A2276
ko:K03497	cbk:CLL_A3597
ko:K02818	cbk:CLL_A1821
ko:K02819	cbk:CLL_A1821
ko:K02809	cbk:CLL_A3060
ko:K02810	cbk:CLL_A3060
ko:K02761	cbk:CLL_A2095
ko:K01520	cbk:CLL_A0763
ko:K01755	cbk:CLL_A3115
ko:K01681	cbk:CLL_A0129
ko:K03654	cbk:CLL_A2347
ko:K01114	cbk:CLL_A2118
ko:K01338	cbk:CLL_A2887
ko:K01652	cbk:CLL_A0727
ko:K03303	cbk:CLL_A1363
ko:K05936	cbk:CLL_A2932
ko:K04041	cbk:CLL_A2533
ko:K01153	cbk:CLL_A2083
ko:K01387	cbk:CLL_A1484
ko:K00760	cbk:CLL_A0171
ko:K00768	cbk:CLL_A2928
ko:K03718	cbk:CLL_A2550
ko:K04763	cbk:CLL_A2368
ko:K01673	cbk:CLL_A0345
ko:K06122	cbk:CLL_A2103
ko:K00609	cbk:CLL_A2581
ko:K02805	cbk:CLL_A3243
ko:K02824	cbk:CLL_A2948
ko:K00016	cbk:CLL_A2569
ko:K00016	cbk:CLL_A3511
ko:K01091	cbk:CLL_A3032
ko:K06436	cbk:CLL_A0466
ko:K03737	cbk:CLL_A2353
ko:K00703	cbk:CLL_A3416
ko:K00031	cbk:CLL_A2649
ko:K01809	cbk:CLL_A2057
ko:K01183	cbk:CLL_A3146
ko:K12574	cbk:CLL_A1179
ko:K00602	cbk:CLL_A1108
ko:K01182	cbk:CLL_A0135
ko:K01784	cbk:CLL_A1708
ko:K00262	cbk:CLL_A0779
ko:K11928	cbk:CLL_A3148
ko:K01890	cbk:CLL_A2472
ko:K11927	cbk:CLL_A3545
ko:K08314	cbk:CLL_A0402
ko:K12992	cbk:CLL_A3237
ko:K00297	cbk:CLL_A2856
ko:K03769	cbk:CLL_A3378
ko:K04477	cbk:CLL_A0988
ko:K00059	cbk:CLL_A1150
ko:K00059	cbk:CLL_A1087
ko:K04045	cbk:CLL_A1656
ko:K06131	cbk:CLL_A2311
ko:K07271	cbk:CLL_A3188
ko:K02503	cbk:CLL_A0898
ko:K00657	cbk:CLL_A2178
ko:K00657	cbk:CLL_A2145
ko:K03574	cbk:CLL_A2065
ko:K01297	cbk:CLL_A2470
ko:K00010	cbk:CLL_A1305
ko:K00558	cbk:CLL_A0608
ko:K01187	cbk:CLL_A0330
ko:K00274	cbk:CLL_A2339
ko:K11752	cbk:CLL_A1295
ko:K01809	cbk:CLL_A3124
ko:K07124	cbk:CLL_A0067
ko:K12410	cbk:CLL_A3387
ko:K12452	cbk:CLL_A2328
ko:K03484	cbk:CLL_A3457
ko:K02598	cbk:CLL_A3042
ko:K03657	cbk:CLL_A3281
ko:K03711	cbk:CLL_A1178
ko:K11072	cbk:CLL_A0996
ko:K06889	cbk:CLL_A2169
ko:K01491	cbk:CLL_A2405
ko:K00863	cbk:CLL_A0538
ko:K01654	cbk:CLL_A1556
ko:K06334	cbk:CLL_A3038
ko:K06333	cbk:CLL_A3037
ko:K09759	cbk:CLL_A2506
ko:K12257	cbk:CLL_A1028
ko:K03657	cbk:CLL_A2877
ko:K02035	cbk:CLL_A0414
ko:K08309	cbk:CLL_A2643
ko:K06928	cbk:CLL_A0631
ko:K01034	cbk:CLL_A0698
ko:K01034	cbk:CLL_A2133
ko:K13019	cbk:CLL_A3182
ko:K13281	cbk:CLL_A2513
ko:K06889	cbk:CLL_A1683
ko:K00626	cbk:CLL_A0490
ko:K07658	cbk:CLL_A1195
ko:K06168	cbk:CLL_A1808
ko:K03768	cbk:CLL_A0075
ko:K03524	cbk:CLL_A2567
ko:K00853	cbk:CLL_A2955
ko:K00661	cbk:CLL_A1995
ko:K00661	cbk:CLL_A2165
ko:K00661	cbk:CLL_A2989
ko:K00058	cbk:CLL_A3438
ko:K01243	cbk:CLL_A3431
ko:K04487	cbk:CLL_A1169
ko:K03458	cbk:CLL_A1696
ko:K03458	cbk:CLL_A1433
ko:K03458	cbk:CLL_A0639
ko:K01358	cbk:CLL_A2889
ko:K03743	cbk:CLL_A3395
ko:K02237	cbk:CLL_A0589
ko:K03496	cbk:CLL_A2277
ko:K07105	cbk:CLL_A0015
ko:K07098	cbk:CLL_A2152
ko:K01950	cbk:CLL_A1089
ko:K11534	cbk:CLL_A0733
ko:K07098	cbk:CLL_A1324
ko:K02242	cbk:CLL_A0518
ko:K03657	cbk:CLL_A2851
ko:K07979	cbk:CLL_A1672
ko:K07025	cbk:CLL_A0825
ko:K03442	cbk:CLL_A2469
ko:K01654	cbk:CLL_A2336
ko:K00951	cbk:CLL_A1031
ko:K06409	cbk:CLL_A2871
ko:K06409	cbk:CLL_A2872
ko:K06395	cbk:CLL_A2410
ko:K10797	cbk:CLL_A1978
ko:K11754	cbk:CLL_A2503
ko:K00615	cbk:CLL_A3528
ko:K00615	cbk:CLL_A1583
ko:K00615	cbk:CLL_A3529
ko:K06183	cbk:CLL_A0407
ko:K07729	cbk:CLL_A2186
ko:K03321	cbk:CLL_A3476
ko:K13282	cbk:CLL_A0469
ko:K01715	cbk:CLL_A0373
ko:K01119	cbk:CLL_A0092
ko:K05979	cbk:CLL_A0084
ko:K13747	cbk:CLL_A1015
ko:K03518	cbk:CLL_A0638
ko:K13653	cbk:CLL_A0703
ko:K02823	cbk:CLL_A2577
ko:K09963	cbk:CLL_A1502
ko:K09963	cbk:CLL_A3061
ko:K00634	cbk:CLL_A0296
ko:K06409	cbk:CLL_A0155
ko:K07729	cbk:CLL_A2604
ko:K06378	cbk:CLL_A0874
ko:K01193	cbk:CLL_A3456
ko:K00917	cbk:CLL_A3126
ko:K00854	cbk:CLL_A3333
ko:K04030	cbk:CLL_A1463
ko:K19405	cbk:CLL_A0206
ko:K02793	cbk:CLL_A3360
ko:K02664	cbk:CLL_A3297
ko:K03410	cbk:CLL_A0801
ko:K00248	cbk:CLL_A0374
ko:K02018	cbk:CLL_A1390
ko:K12573	cbk:CLL_A3051
ko:K07069	cbk:CLL_A1997
ko:K01534	cbk:CLL_A0371
ko:K13542	cbk:CLL_A2906
ko:K03406	cbk:CLL_A0667
ko:K13993	cbk:CLL_A3471
ko:K03406	cbk:CLL_A1067
ko:K03406	cbk:CLL_A1972
ko:K03406	cbk:CLL_A1855
ko:K03406	cbk:CLL_A2195
ko:K06415	cbk:CLL_A3090
ko:K03406	cbk:CLL_A3277
ko:K03406	cbk:CLL_A2996
ko:K03406	cbk:CLL_A3150
ko:K09692	cbk:CLL_A3248
ko:K02414	cbk:CLL_A0845
ko:K13789	cbk:CLL_A2402
ko:K00215	cbk:CLL_A2487
ko:K06956	cbk:CLL_A1737
ko:K12373	cbk:CLL_A1445
ko:K03571	cbk:CLL_A0565
ko:K03768	cbk:CLL_A0668
ko:K02226	cbk:CLL_A2920
ko:K01176	cbk:CLL_A2370
ko:K01537	cbk:CLL_A1510
ko:K03698	cbk:CLL_A0711
ko:K00087	cbk:CLL_A0636
ko:K07038	cbk:CLL_A1686
ko:K06408	cbk:CLL_A2545
ko:K00620	cbk:CLL_A3117
ko:K02171	cbk:CLL_A2155
ko:K02172	cbk:CLL_A1970
ko:K09702	cbk:CLL_A1994
ko:K01791	cbk:CLL_A0489
ko:K05794	cbk:CLL_A2451
ko:K03436	cbk:CLL_A2298
ko:K03518	cbk:CLL_A3327
ko:K06384	cbk:CLL_A2369
ko:K07126	cbk:CLL_A1848
ko:K02191	cbk:CLL_A2934
ko:K00290	cbk:CLL_A1014
ko:K01990	cbk:CLL_A0681
ko:K00949	cbk:CLL_A1224
ko:K01934	cbk:CLL_A0346
ko:K05337	cbk:CLL_A0122
ko:K12942	cbk:CLL_A3402
ko:K07729	cbk:CLL_A2157
ko:K02315	cbk:CLL_A3560
ko:K03317	cbk:CLL_A1581
ko:K01191	cbk:CLL_A2125
ko:K01273	cbk:CLL_A1086
ko:K13820	cbk:CLL_A0857
ko:K01958	cbk:CLL_A1699
ko:K03782	cbk:CLL_A1367
ko:K03394	cbk:CLL_A2933
ko:K04028	cbk:CLL_A1460
ko:K01537	cbk:CLL_A0868
ko:K01046	cbk:CLL_A3316
ko:K01961	cbk:CLL_A1154
ko:K07343	cbk:CLL_A2674
ko:K00059	cbk:CLL_A1160
ko:K03856	cbk:CLL_A3137
ko:K03205	cbk:CLL_0005
ko:K14228	cbk:CLL_A0162
ko:K14228	cbk:CLL_A0168
ko:K14228	cbk:CLL_A0165
ko:K00086	cbk:CLL_A2098
ko:K05515	cbk:CLL_A0566
ko:K01029	cbk:CLL_A0699
ko:K02004	cbk:CLL_A1381
ko:K03406	cbk:CLL_A2652
ko:K02004	cbk:CLL_A1863
ko:K02004	cbk:CLL_A3096
ko:K02004	cbk:CLL_A3462
ko:K02004	cbk:CLL_A3463
ko:K03480	cbk:CLL_A3424
ko:K06120	cbk:CLL_A2105
ko:K02529	cbk:CLL_A0975
ko:K02663	cbk:CLL_A3298
ko:K02009	cbk:CLL_A0655
ko:K07053	cbk:CLL_A1792
ko:K03809	cbk:CLL_A2945
ko:K02004	cbk:CLL_A3519
ko:K03406	cbk:CLL_A3212
ko:K13292	cbk:CLL_A0119
ko:K00941	cbk:CLL_A3106
ko:K07979	cbk:CLL_A3307
ko:K02809	cbk:CLL_A3458
ko:K02810	cbk:CLL_A3458
ko:K14232	cbk:CLL_A0420
ko:K03624	cbk:CLL_A2119
ko:K04763	cbk:CLL_A2762
ko:K01784	cbk:CLL_A3241
ko:K06183	cbk:CLL_A3322
ko:K13922	cbk:CLL_A1748
ko:K02056	cbk:CLL_A2973
ko:K14234	cbk:CLL_A0223
ko:K14229	cbk:CLL_A3512
ko:K01271	cbk:CLL_A0144
ko:K03093	cbk:CLL_A2320
ko:K14224	cbk:CLL_A3563
ko:K14224	cbk:CLL_A3567
ko:K14224	cbk:CLL_A3571
ko:K03563	cbk:CLL_A3428
ko:K05847	cbk:CLL_A2926
ko:K08153	cbk:CLL_A1695
ko:K03491	cbk:CLL_A0395
ko:K01980	cbk:CLL_A3409
ko:K01980	cbk:CLL_A3419
ko:K01980	cbk:CLL_A3482
ko:K01980	cbk:CLL_A3486
ko:K01980	cbk:CLL_A0190
ko:K14220	cbk:CLL_A0179
ko:K14220	cbk:CLL_A0181
ko:K14220	cbk:CLL_A0180
ko:K14220	cbk:CLL_A0442
ko:K01980	cbk:CLL_A0010
ko:K01980	cbk:CLL_A3514
ko:K01980	cbk:CLL_A0441
ko:K01980	cbk:CLL_A3496
ko:K01980	cbk:CLL_A3500
ko:K01980	cbk:CLL_A3491
ko:K14228	cbk:CLL_A0426
ko:K14228	cbk:CLL_A0433
ko:K01983	cbk:CLL_A3605
ko:K14225	cbk:CLL_A0421
ko:K14225	cbk:CLL_A0428
ko:K14233	cbk:CLL_A0019
ko:K14233	cbk:CLL_A0021
ko:K11189	cbk:CLL_A1290
ko:K02004	cbk:CLL_A1121
ko:K07335	cbk:CLL_A2974
ko:K00784	cbk:CLL_A3478
ko:K00336	cbk:CLL_A2307
ko:K13626	cbk:CLL_A0810
ko:K02224	cbk:CLL_A2938
ko:K13479	cbk:CLL_A0637
ko:K04028	cbk:CLL_A1747
ko:K01515	cbk:CLL_A1314
ko:K01990	cbk:CLL_A3306
ko:K06402	cbk:CLL_A0574
ko:K00248	cbk:CLL_A1988
ko:K06518	cbk:CLL_A2634
ko:K01977	cbk:CLL_A0008
ko:K01977	cbk:CLL_A3488
ko:K01977	cbk:CLL_A3502
ko:K01977	cbk:CLL_A0186
ko:K01977	cbk:CLL_A3516
ko:K01977	cbk:CLL_A3411
ko:K01977	cbk:CLL_A3484
ko:K01977	cbk:CLL_A3493
ko:K01977	cbk:CLL_A3498
ko:K01977	cbk:CLL_A3421
ko:K01977	cbk:CLL_A0438
ko:K07474	cbk:CLL_A2745
ko:K05847	cbk:CLL_A1424
ko:K14225	cbk:CLL_A0427
ko:K14225	cbk:CLL_A0434
ko:K14229	cbk:CLL_A0429
ko:K14234	cbk:CLL_A0510
ko:K14234	cbk:CLL_A0513
ko:K14234	cbk:CLL_A3568
ko:K14234	cbk:CLL_A3564
ko:K14228	cbk:CLL_A2795
ko:K02027	cbk:CLL_A2064
ko:K14223	cbk:CLL_A0424
ko:K14223	cbk:CLL_A0431
ko:K02029	cbk:CLL_A1098
ko:K07219	cbk:CLL_A3044
ko:K14219	cbk:CLL_A0422
ko:K14219	cbk:CLL_A2596
ko:K14219	cbk:CLL_A2051
ko:K14219	cbk:CLL_A2049
ko:K14219	cbk:CLL_A0436
ko:K14233	cbk:CLL_A0020
ko:K14233	cbk:CLL_A0022
ko:K10119	cbk:CLL_A0138
ko:K10117	cbk:CLL_A0136
ko:K02342	cbk:CLL_A2570
ko:K00974	cbk:CLL_A1679
ko:K04763	cbk:CLL_A2394
ko:K05799	cbk:CLL_A0360
ko:K00248	cbk:CLL_A1365
ko:K01048	cbk:CLL_A1734
ko:K14230	cbk:CLL_A0012
ko:K14230	cbk:CLL_A3407
ko:K14225	cbk:CLL_A0435
ko:K00104	cbk:CLL_A0365
ko:K09935	cbk:CLL_A1661
ko:K03527	cbk:CLL_A1805
ko:K02945	cbk:CLL_A1805
ko:K14224	cbk:CLL_A2943
ko:K04517	cbk:CLL_A3136
ko:K00042	cbk:CLL_A1570
ko:K02304	cbk:CLL_A2908
ko:K10118	cbk:CLL_A0137
ko:K14219	cbk:CLL_A0030
ko:K14230	cbk:CLL_A0164
ko:K14230	cbk:CLL_A0167
ko:K03605	cbk:CLL_A2006
ko:K10907	cbk:CLL_A2976
ko:K14230	cbk:CLL_A0163
ko:K14230	cbk:CLL_A0166
ko:K14230	cbk:CLL_A1082
ko:K02030	cbk:CLL_A1097
ko:K07171	cbk:CLL_A3362
ko:K14222	cbk:CLL_A0193
ko:K14222	cbk:CLL_A1767
ko:K00674	cbk:CLL_A2496
ko:K14236	cbk:CLL_A0508
ko:K14236	cbk:CLL_A0514
ko:K14236	cbk:CLL_A0511
ko:K03406	cbk:CLL_A0061
ko:K02238	cbk:CLL_A0615
ko:K09779	cbk:CLL_A1291
ko:K00266	cbk:CLL_A0666
ko:K02238	cbk:CLL_A2468
ko:K10907	cbk:CLL_A2495
ko:K02238	cbk:CLL_A2554
ko:K03077	cbk:CLL_A3262
ko:K14441	cbk:CLL_A1285
ko:K00131	cbk:CLL_A2040
ko:K06919	cbk:CLL_A0034
ko:K02057	cbk:CLL_A2971
ko:K01185	cbk:CLL_A2241
ko:K01985	cbk:CLL_A3418
ko:K01985	cbk:CLL_A3490
ko:K01985	cbk:CLL_A3499
ko:K01985	cbk:CLL_A3408
ko:K01985	cbk:CLL_A0191
ko:K01985	cbk:CLL_A3485
ko:K01985	cbk:CLL_A3481
ko:K01985	cbk:CLL_A3508
ko:K01985	cbk:CLL_A3495
ko:K01985	cbk:CLL_A3513
ko:K01985	cbk:CLL_A0011
ko:K03324	cbk:CLL_A0275
ko:K14170	cbk:CLL_A3140
ko:K02794	cbk:CLL_A3359
ko:K01200	cbk:CLL_A1700
ko:K01200	cbk:CLL_A2978
ko:K12960	cbk:CLL_A1701
ko:K03307	cbk:CLL_A1307
ko:K03741	cbk:CLL_A2292
ko:K01046	cbk:CLL_A1759
ko:K14227	cbk:CLL_A0188
ko:K14227	cbk:CLL_A0439
ko:K14188	cbk:CLL_A0689
ko:K03088	cbk:CLL_A2662
ko:K14231	cbk:CLL_A0192
ko:K14231	cbk:CLL_A3382
ko:K01449	cbk:CLL_A0291
ko:K01524	cbk:CLL_A2563
ko:K14652	cbk:CLL_A1297
ko:K01183	cbk:CLL_A2471
ko:K07741	cbk:CLL_A0924
ko:K01154	cbk:CLL_A2082
ko:K14218	cbk:CLL_A0013
ko:K14218	cbk:CLL_A3406
ko:K14218	cbk:CLL_A0187
ko:K03088	cbk:CLL_A0545
ko:K02418	cbk:CLL_A0854
ko:K00104	cbk:CLL_A1364
ko:K01978	cbk:CLL_A3606
ko:K01182	cbk:CLL_A3534
ko:K14229	cbk:CLL_A0425
ko:K14229	cbk:CLL_A2050
ko:K14229	cbk:CLL_A3507
ko:K14229	cbk:CLL_A0432
ko:K14229	cbk:CLL_A2048
ko:K14221	cbk:CLL_A3565
ko:K14221	cbk:CLL_A3569
ko:K14221	cbk:CLL_A3561
ko:K14237	cbk:CLL_A0509
ko:K14237	cbk:CLL_A3570
ko:K14237	cbk:CLL_A3562
ko:K14237	cbk:CLL_A3566
