ko:K14224	cjl:PJ17_04555
ko:K02412	cjl:PJ17_00980
ko:K00764	cjl:PJ17_00985
ko:K00215	cjl:PJ17_00990
ko:K07478	cjl:PJ17_00995
ko:K03300	cjl:PJ17_01020
ko:K06153	cjl:PJ17_01030
ko:K01868	cjl:PJ17_01035
ko:K02520	cjl:PJ17_01040
ko:K07318	cjl:PJ17_01045
ko:K00145	cjl:PJ17_01080
ko:K00930	cjl:PJ17_01090
ko:K00573	cjl:PJ17_01100
ko:K00763	cjl:PJ17_01110
ko:K00762	cjl:PJ17_01125
ko:K02838	cjl:PJ17_01130
ko:K03075	cjl:PJ17_01135
ko:K01673	cjl:PJ17_01145
ko:K16052	cjl:PJ17_01150
ko:K13819	cjl:PJ17_01155
ko:K04487	cjl:PJ17_01160
ko:K01869	cjl:PJ17_05600
ko:K03074	cjl:PJ17_05605
ko:K03072	cjl:PJ17_05610
ko:K03210	cjl:PJ17_05615
ko:K03820	cjl:PJ17_05620
ko:K00789	cjl:PJ17_05625
ko:K07862	cjl:PJ17_05630
ko:K00609	cjl:PJ17_05635
ko:K08602	cjl:PJ17_05640
ko:K03657	cjl:PJ17_05650
ko:K03177	cjl:PJ17_05655
ko:K03563	cjl:PJ17_05660
ko:K00919	cjl:PJ17_05665
ko:K03664	cjl:PJ17_05670
ko:K06891	cjl:PJ17_05680
ko:K03694	cjl:PJ17_05685
ko:K00684	cjl:PJ17_05690
ko:K03406	cjl:PJ17_05695
ko:K05595	cjl:PJ17_05700
ko:K07305	cjl:PJ17_05705
ko:K17103	cjl:PJ17_05715
ko:K01613	cjl:PJ17_05720
ko:K03798	cjl:PJ17_05725
ko:K02687	cjl:PJ17_05730
ko:K03413	cjl:PJ17_05735
ko:K15912	cjl:PJ17_05745
ko:K15910	cjl:PJ17_05750
ko:K15913	cjl:PJ17_05755
ko:K15914	cjl:PJ17_05765
ko:K17251	cjl:PJ17_05770
ko:K17248	cjl:PJ17_05775
ko:K17249	cjl:PJ17_05785
ko:K01784	cjl:PJ17_05795
ko:K07501	cjl:PJ17_05800
ko:K02841	cjl:PJ17_05805
ko:K02517	cjl:PJ17_05810
ko:K08068	cjl:PJ17_05845
ko:K00404	cjl:PJ17_07795
ko:K09792	cjl:PJ17_07810
ko:K01956	cjl:PJ17_07815
ko:K09804	cjl:PJ17_07820
ko:K01939	cjl:PJ17_07835
ko:K07112	cjl:PJ17_07845
ko:K11928	cjl:PJ17_07855
ko:K13821	cjl:PJ17_07860
ko:K01008	cjl:PJ17_07865
ko:K03406	cjl:PJ17_07875
ko:K02379	cjl:PJ17_07885
ko:K00127	cjl:PJ17_07890
ko:K02863	cjl:PJ17_02360
ko:K02864	cjl:PJ17_02365
ko:K02935	cjl:PJ17_02370
ko:K03043	cjl:PJ17_02375
ko:K02950	cjl:PJ17_02385
ko:K06992	cjl:PJ17_00305
ko:K02992	cjl:PJ17_02390
ko:K02355	cjl:PJ17_02395
ko:K06940	cjl:PJ17_02415
ko:K01609	cjl:PJ17_02425
ko:K06917	cjl:PJ17_02435
ko:K03320	cjl:PJ17_02440
ko:K01772	cjl:PJ17_02445
ko:K13017	cjl:PJ17_02455
ko:K01872	cjl:PJ17_02460
ko:K06287	cjl:PJ17_02465
ko:K05366	cjl:PJ17_02470
ko:K03695	cjl:PJ17_02475
ko:K03797	cjl:PJ17_02485
ko:K01923	cjl:PJ17_02490
ko:K01952	cjl:PJ17_02495
ko:K01952	cjl:PJ17_02500
ko:K00655	cjl:PJ17_02510
ko:K06199	cjl:PJ17_02515
ko:K04079	cjl:PJ17_02520
ko:K03587	cjl:PJ17_02540
ko:K02408	cjl:PJ17_02545
ko:K02388	cjl:PJ17_02550
ko:K02387	cjl:PJ17_02555
ko:K07082	cjl:PJ17_02560
ko:K00031	cjl:PJ17_02570
ko:K00024	cjl:PJ17_02575
ko:K01903	cjl:PJ17_02580
ko:K01902	cjl:PJ17_02585
ko:K00176	cjl:PJ17_02590
ko:K00174	cjl:PJ17_02595
ko:K00175	cjl:PJ17_02600
ko:K00177	cjl:PJ17_02605
ko:K02523	cjl:PJ17_02620
ko:K02492	cjl:PJ17_02625
ko:K01881	cjl:PJ17_02630
ko:K01649	cjl:PJ17_02635
ko:K01749	cjl:PJ17_02640
ko:K03182	cjl:PJ17_02645
ko:K06603	cjl:PJ17_02650
ko:K18429	cjl:PJ17_07025
ko:K02406	cjl:PJ17_07070
ko:K02406	cjl:PJ17_07075
ko:K02456	cjl:PJ17_07095
ko:K01409	cjl:PJ17_07100
ko:K00099	cjl:PJ17_07110
ko:K00981	cjl:PJ17_07115
ko:K03752	cjl:PJ17_07130
ko:K01058	cjl:PJ17_07135
ko:K02015	cjl:PJ17_07145
ko:K02013	cjl:PJ17_07150
ko:K02016	cjl:PJ17_07155
ko:K03385	cjl:PJ17_07170
ko:K15876	cjl:PJ17_07175
ko:K00937	cjl:PJ17_07180
ko:K03407	cjl:PJ17_07200
ko:K03551	cjl:PJ17_07205
ko:K01679	cjl:PJ17_07215
ko:K00820	cjl:PJ17_07225
ko:K00990	cjl:PJ17_07230
ko:K18285	cjl:PJ17_07235
ko:K06901	cjl:PJ17_07240
ko:K00769	cjl:PJ17_07245
ko:K04754	cjl:PJ17_07250
ko:K07323	cjl:PJ17_07255
ko:K07003	cjl:PJ17_07260
ko:K02428	cjl:PJ17_07265
ko:K01042	cjl:PJ17_07280
ko:K03833	cjl:PJ17_07285
ko:K03981	cjl:PJ17_07290
ko:K03839	cjl:PJ17_07300
ko:K03781	cjl:PJ17_07315
ko:K02417	cjl:PJ17_00310
ko:K02416	cjl:PJ17_00315
ko:K02405	cjl:PJ17_00320
ko:K04562	cjl:PJ17_00330
ko:K02404	cjl:PJ17_00335
ko:K00950	cjl:PJ17_00340
ko:K03786	cjl:PJ17_00345
ko:K04773	cjl:PJ17_00355
ko:K00782	cjl:PJ17_00380
ko:K18929	cjl:PJ17_00385
ko:K18928	cjl:PJ17_00390
ko:K03303	cjl:PJ17_00395
ko:K11015	cjl:PJ17_00400
ko:K11014	cjl:PJ17_00405
ko:K11013	cjl:PJ17_00410
ko:K00425	cjl:PJ17_00420
ko:K00426	cjl:PJ17_00425
ko:K01779	cjl:PJ17_00435
ko:K03648	cjl:PJ17_00440
ko:K01744	cjl:PJ17_00445
ko:K07791	cjl:PJ17_00450
ko:K09859	cjl:PJ17_00455
ko:K07337	cjl:PJ17_00465
ko:K02888	cjl:PJ17_00480
ko:K02899	cjl:PJ17_00485
ko:K03979	cjl:PJ17_00490
ko:K00931	cjl:PJ17_00495
ko:K00604	cjl:PJ17_00500
ko:K03524	cjl:PJ17_00505
ko:K03496	cjl:PJ17_00510
ko:K03497	cjl:PJ17_00515
ko:K02109	cjl:PJ17_00520
ko:K02109	cjl:PJ17_00525
ko:K02113	cjl:PJ17_00530
ko:K02111	cjl:PJ17_00535
ko:K02115	cjl:PJ17_00540
ko:K02112	cjl:PJ17_00545
ko:K02114	cjl:PJ17_00550
ko:K03559	cjl:PJ17_00560
ko:K03832	cjl:PJ17_00565
ko:K03641	cjl:PJ17_00570
ko:K03640	cjl:PJ17_00575
ko:K03775	cjl:PJ17_00585
ko:K11891	cjl:PJ17_05085
ko:K11903	cjl:PJ17_05090
ko:K11892	cjl:PJ17_05095
ko:K11893	cjl:PJ17_05100
ko:K11906	cjl:PJ17_05105
ko:K11901	cjl:PJ17_05115
ko:K11900	cjl:PJ17_05120
ko:K11905	cjl:PJ17_05125
ko:K11896	cjl:PJ17_05130
ko:K11895	cjl:PJ17_05135
ko:K01996	cjl:PJ17_05215
ko:K01995	cjl:PJ17_05220
ko:K01998	cjl:PJ17_05225
ko:K01997	cjl:PJ17_05230
ko:K01999	cjl:PJ17_05235
ko:K01999	cjl:PJ17_05240
ko:K00133	cjl:PJ17_05260
ko:K09860	cjl:PJ17_05275
ko:K02469	cjl:PJ17_05280
ko:K02242	cjl:PJ17_05285
ko:K03596	cjl:PJ17_05295
ko:K01929	cjl:PJ17_03860
ko:K01921	cjl:PJ17_03875
ko:K03550	cjl:PJ17_03880
ko:K03980	cjl:PJ17_03890
ko:K01883	cjl:PJ17_03895
ko:K11085	cjl:PJ17_03900
ko:K00254	cjl:PJ17_03905
ko:K01714	cjl:PJ17_03915
ko:K00076	cjl:PJ17_03920
ko:K01916	cjl:PJ17_03935
ko:K00912	cjl:PJ17_03940
ko:K01733	cjl:PJ17_03945
ko:K00979	cjl:PJ17_03950
ko:K02030	cjl:PJ17_03960
ko:K02419	cjl:PJ17_03965
ko:K04042	cjl:PJ17_03970
ko:K13038	cjl:PJ17_03975
ko:K00806	cjl:PJ17_03985
ko:K02654	cjl:PJ17_03990
ko:K07091	cjl:PJ17_03995
ko:K06173	cjl:PJ17_04000
ko:K01754	cjl:PJ17_04005
ko:K06929	cjl:PJ17_04010
ko:K09943	cjl:PJ17_04015
ko:K00557	cjl:PJ17_04020
ko:K01682	cjl:PJ17_04040
ko:K00567	cjl:PJ17_04045
ko:K01772	cjl:PJ17_04050
ko:K01874	cjl:PJ17_04055
ko:K03841	cjl:PJ17_04065
ko:K03753	cjl:PJ17_04070
ko:K08309	cjl:PJ17_04080
ko:K02221	cjl:PJ17_04085
ko:K01885	cjl:PJ17_04090
ko:K07098	cjl:PJ17_04095
ko:K01613	cjl:PJ17_04100
ko:K04061	cjl:PJ17_04105
ko:K01845	cjl:PJ17_04130
ko:K11752	cjl:PJ17_08460
ko:K01752	cjl:PJ17_08470
ko:K03837	cjl:PJ17_08475
ko:K03561	cjl:PJ17_08490
ko:K03559	cjl:PJ17_08495
ko:K00566	cjl:PJ17_08515
ko:K01736	cjl:PJ17_08520
ko:K03685	cjl:PJ17_08525
ko:K03469	cjl:PJ17_08530
ko:K08973	cjl:PJ17_01755
ko:K18139	cjl:PJ17_01770
ko:K18138	cjl:PJ17_01775
ko:K03585	cjl:PJ17_01780
ko:K18992	cjl:PJ17_01785
ko:K02970	cjl:PJ17_01795
ko:K09767	cjl:PJ17_01815
ko:K17247	cjl:PJ17_01835
ko:K01591	cjl:PJ17_01850
ko:K03625	cjl:PJ17_01855
ko:K00794	cjl:PJ17_01860
ko:K01627	cjl:PJ17_01865
ko:K03977	cjl:PJ17_01875
ko:K00891	cjl:PJ17_01880
ko:K01867	cjl:PJ17_01885
ko:K01875	cjl:PJ17_01890
ko:K00873	cjl:PJ17_01905
ko:K00116	cjl:PJ17_01910
ko:K03525	cjl:PJ17_01915
ko:K02435	cjl:PJ17_01935
ko:K03558	cjl:PJ17_01940
ko:K03711	cjl:PJ17_01945
ko:K04567	cjl:PJ17_01950
ko:K00600	cjl:PJ17_01955
ko:K03749	cjl:PJ17_01965
ko:K00014	cjl:PJ17_01970
ko:K13292	cjl:PJ17_01980
ko:K00246	cjl:PJ17_01985
ko:K00244	cjl:PJ17_01990
ko:K00245	cjl:PJ17_01995
ko:K07126	cjl:PJ17_02010
ko:K06152	cjl:PJ17_02015
ko:K06151	cjl:PJ17_02020
ko:K02484	cjl:PJ17_06440
ko:K06187	cjl:PJ17_06445
ko:K03605	cjl:PJ17_06450
ko:K03620	cjl:PJ17_06455
ko:K05922	cjl:PJ17_06460
ko:K05927	cjl:PJ17_06465
ko:K15461	cjl:PJ17_06470
ko:K01448	cjl:PJ17_06475
ko:K00459	cjl:PJ17_06480
ko:K01866	cjl:PJ17_06485
ko:K03060	cjl:PJ17_06495
ko:K09903	cjl:PJ17_06500
ko:K09811	cjl:PJ17_06510
ko:K09812	cjl:PJ17_06515
ko:K03439	cjl:PJ17_06520
ko:K06180	cjl:PJ17_06530
ko:K05837	cjl:PJ17_06535
ko:K02342	cjl:PJ17_06645
ko:K01928	cjl:PJ17_08555
ko:K09747	cjl:PJ17_08560
ko:K00795	cjl:PJ17_08570
ko:K00615	cjl:PJ17_08575
ko:K02066	cjl:PJ17_08580
ko:K02065	cjl:PJ17_08585
ko:K02067	cjl:PJ17_08590
ko:K18480	cjl:PJ17_08595
ko:K01265	cjl:PJ17_08605
ko:K01776	cjl:PJ17_08610
ko:K03313	cjl:PJ17_08620
ko:K03313	cjl:PJ17_08625
ko:K07243	cjl:PJ17_08640
ko:K07230	cjl:PJ17_08645
ko:K02004	cjl:PJ17_08655
ko:K02004	cjl:PJ17_08660
ko:K02003	cjl:PJ17_08665
ko:K17250	cjl:PJ17_05780
ko:K06867	cjl:PJ17_07320
ko:K07496	cjl:PJ17_03635
ko:K14218	cjl:PJ17_00155
ko:K14218	cjl:PJ17_03600
ko:K14218	cjl:PJ17_02105
ko:K19416	cjl:PJ17_01140
ko:K18431	cjl:PJ17_07040
ko:K06867	cjl:PJ17_04035
ko:K18817	cjl:PJ17_01180
ko:K07216	cjl:PJ17_00370
ko:K07216	cjl:PJ17_00375
ko:K11910	cjl:PJ17_05110
ko:K10938	cjl:PJ17_01415
ko:K15899	cjl:PJ17_06945
ko:K19713	cjl:PJ17_04205
ko:K07147	cjl:PJ17_01840
ko:K09796	cjl:PJ17_04385
ko:K20810	cjl:PJ17_00350
ko:K01977	cjl:PJ17_00150
ko:K14227	cjl:PJ17_00160
ko:K14227	cjl:PJ17_02110
ko:K14227	cjl:PJ17_03605
ko:K01985	cjl:PJ17_00170
ko:K01985	cjl:PJ17_02120
ko:K01985	cjl:PJ17_03615
ko:K14224	cjl:PJ17_00845
ko:K14234	cjl:PJ17_02310
ko:K14234	cjl:PJ17_02325
ko:K14236	cjl:PJ17_02315
ko:K14225	cjl:PJ17_02320
ko:K14225	cjl:PJ17_04280
ko:K14225	cjl:PJ17_08440
ko:K14219	cjl:PJ17_02400
ko:K14219	cjl:PJ17_04940
ko:K14230	cjl:PJ17_02760
ko:K14230	cjl:PJ17_06540
ko:K14223	cjl:PJ17_02765
ko:K14228	cjl:PJ17_04275
ko:K14228	cjl:PJ17_04525
ko:K14228	cjl:PJ17_08445
ko:K14221	cjl:PJ17_04545
ko:K14221	cjl:PJ17_04565
ko:K14237	cjl:PJ17_04550
ko:K14237	cjl:PJ17_04570
ko:K14237	cjl:PJ17_09020
ko:K14229	cjl:PJ17_04560
ko:K14229	cjl:PJ17_04575
ko:K14220	cjl:PJ17_06260
ko:K14231	cjl:PJ17_06800
ko:K14233	cjl:PJ17_07160
ko:K14233	cjl:PJ17_08455
ko:K14233	cjl:PJ17_09010
ko:K14222	cjl:PJ17_08450
ko:K14232	cjl:PJ17_08790
ko:K14218	cjl:PJ17_09015
ko:K01980	cjl:PJ17_00165
ko:K01980	cjl:PJ17_03610
ko:K01980	cjl:PJ17_02115
ko:K14226	cjl:PJ17_08785
ko:K14219	cjl:PJ17_08780
ko:K01977	cjl:PJ17_02100
ko:K14228	cjl:PJ17_08770
ko:K14219	cjl:PJ17_08775
ko:K01977	cjl:PJ17_03595
ko:K01023	cjl:PJ17_04215
ko:K00821	cjl:PJ17_01095
ko:K10747	cjl:PJ17_08795
ko:K03553	cjl:PJ17_08815
ko:K03465	cjl:PJ17_00130
ko:K01185	cjl:PJ17_05055
ko:K02314	cjl:PJ17_02725
ko:K02316	cjl:PJ17_08540
ko:K02335	cjl:PJ17_01640
ko:K02483	cjl:PJ17_06435
ko:K02483	cjl:PJ17_01725
ko:K02483	cjl:PJ17_06270
ko:K00525	cjl:PJ17_00120
ko:K02032	cjl:PJ17_08230
ko:K02481	cjl:PJ17_05265
ko:K01139	cjl:PJ17_06490
ko:K00526	cjl:PJ17_01115
ko:K03668	cjl:PJ17_04630
ko:K21420	cjl:PJ17_05320
ko:K13695	cjl:PJ17_08615
ko:K01451	cjl:PJ17_04810
ko:K11904	cjl:PJ17_05140
ko:K10026	cjl:PJ17_00810
ko:K21600	cjl:PJ17_02480
ko:K21929	cjl:PJ17_04695
ko:K03595	cjl:PJ17_03205
ko:K14441	cjl:PJ17_07620
ko:K17758	cjl:PJ17_00945
ko:K17759	cjl:PJ17_00945
ko:K22391	cjl:PJ17_03415
ko:K22477	cjl:PJ17_01085
