ko:K07799	xor:XOC_0585
ko:K13483	xor:XOC_1518
ko:K11178	xor:XOC_1519
ko:K11177	xor:XOC_1520
ko:K07402	xor:XOC_1521
ko:K07141	xor:XOC_1522
ko:K06200	xor:XOC_1532
ko:K06911	xor:XOC_1533
ko:K09919	xor:XOC_2410
ko:K00384	xor:XOC_2411
ko:K03466	xor:XOC_2412
ko:K03634	xor:XOC_2414
ko:K07478	xor:XOC_2417
ko:K06199	xor:XOC_2419
ko:K07516	xor:XOC_2424
ko:K00940	xor:XOC_2427
ko:K06941	xor:XOC_2428
ko:K02656	xor:XOC_2429
ko:K15539	xor:XOC_2430
ko:K03977	xor:XOC_2433
ko:K03750	xor:XOC_2434
ko:K03750	xor:XOC_2448
ko:K03752	xor:XOC_2449
ko:K02304	xor:XOC_2454
ko:K03550	xor:XOC_3358
ko:K01159	xor:XOC_3359
ko:K01876	xor:XOC_3364
ko:K01114	xor:XOC_3369
ko:K06158	xor:XOC_3375
ko:K01586	xor:XOC_3391
ko:K02233	xor:XOC_3392
ko:K00768	xor:XOC_3394
ko:K02231	xor:XOC_3395
ko:K02225	xor:XOC_3396
ko:K03695	xor:XOC_3404
ko:K07461	xor:XOC_3405
ko:K03555	xor:XOC_3407
ko:K03782	xor:XOC_3410
ko:K04762	xor:XOC_3411
ko:K02884	xor:XOC_3415
ko:K00943	xor:XOC_4308
ko:K06131	xor:XOC_0205
ko:K01495	xor:XOC_0214
ko:K07090	xor:XOC_0221
ko:K09858	xor:XOC_0222
ko:K03669	xor:XOC_0678
ko:K06999	xor:XOC_0679
ko:K08082	xor:XOC_0680
ko:K08083	xor:XOC_0681
ko:K01749	xor:XOC_0682
ko:K03098	xor:XOC_0685
ko:K01354	xor:XOC_0691
ko:K09790	xor:XOC_0692
ko:K01778	xor:XOC_0694
ko:K00937	xor:XOC_1114
ko:K07636	xor:XOC_1116
ko:K01358	xor:XOC_1133
ko:K03544	xor:XOC_1134
ko:K03545	xor:XOC_1132
ko:K03525	xor:XOC_4312
ko:K03524	xor:XOC_4313
ko:K09933	xor:XOC_4315
ko:K07637	xor:XOC_4318
ko:K05539	xor:XOC_4321
ko:K03781	xor:XOC_4325
ko:K00014	xor:XOC_4333
ko:K01173	xor:XOC_4336
ko:K01698	xor:XOC_4340
ko:K00549	xor:XOC_4351
ko:K00299	xor:XOC_4353
ko:K03576	xor:XOC_4354
ko:K09765	xor:XOC_4355
ko:K00297	xor:XOC_4356
ko:K07642	xor:XOC_4358
ko:K07664	xor:XOC_4359
ko:K01433	xor:XOC_4360
ko:K01338	xor:XOC_1135
ko:K03530	xor:XOC_1136
ko:K03770	xor:XOC_1140
ko:K08307	xor:XOC_1141
ko:K03412	xor:XOC_1588
ko:K03408	xor:XOC_1591
ko:K03407	xor:XOC_1593
ko:K03723	xor:XOC_1597
ko:K07115	xor:XOC_1599
ko:K07641	xor:XOC_1600
ko:K09823	xor:XOC_1607
ko:K03088	xor:XOC_1631
ko:K05592	xor:XOC_1632
ko:K06182	xor:XOC_1634
ko:K02553	xor:XOC_1638
ko:K11897	xor:XOC_2540
ko:K11898	xor:XOC_2541
ko:K11903	xor:XOC_2542
ko:K11900	xor:XOC_2543
ko:K11901	xor:XOC_2544
ko:K07400	xor:XOC_2559
ko:K03832	xor:XOC_2561
ko:K08300	xor:XOC_2565
ko:K07146	xor:XOC_2567
ko:K07007	xor:XOC_2571
ko:K02474	xor:XOC_2570
ko:K00995	xor:XOC_2583
ko:K03703	xor:XOC_2584
ko:K00979	xor:XOC_2587
ko:K00912	xor:XOC_2588
ko:K03561	xor:XOC_2591
ko:K09808	xor:XOC_2597
ko:K06901	xor:XOC_3483
ko:K01087	xor:XOC_3487
ko:K00697	xor:XOC_3489
ko:K00117	xor:XOC_3491
ko:K05810	xor:XOC_3497
ko:K06180	xor:XOC_3498
ko:K05807	xor:XOC_3499
ko:K01950	xor:XOC_3501
ko:K01902	xor:XOC_3503
ko:K01903	xor:XOC_3504
ko:K02668	xor:XOC_3505
ko:K02667	xor:XOC_3506
ko:K04095	xor:XOC_3507
ko:K02652	xor:XOC_3508
ko:K02654	xor:XOC_3514
ko:K00859	xor:XOC_3515
ko:K03219	xor:XOC_4434
ko:K03228	xor:XOC_4435
ko:K03224	xor:XOC_4437
ko:K03223	xor:XOC_4438
ko:K03222	xor:XOC_4440
ko:K03229	xor:XOC_4443
ko:K03230	xor:XOC_4444
ko:K03225	xor:XOC_4447
ko:K03226	xor:XOC_4448
ko:K03220	xor:XOC_4451
ko:K01198	xor:XOC_4467
ko:K01209	xor:XOC_4467
ko:K08323	xor:XOC_4468
ko:K05970	xor:XOC_4469
ko:K01235	xor:XOC_4470
ko:K02529	xor:XOC_4473
ko:K14058	xor:XOC_4476
ko:K03554	xor:XOC_4477
ko:K07043	xor:XOC_4478
ko:K01772	xor:XOC_4481
ko:K03116	xor:XOC_4483
ko:K03117	xor:XOC_4484
ko:K03118	xor:XOC_4485
ko:K01951	xor:XOC_4487
ko:K01878	xor:XOC_4492
ko:K02338	xor:XOC_0003
ko:K03629	xor:XOC_0005
ko:K02470	xor:XOC_0006
ko:K03832	xor:XOC_0010
ko:K03561	xor:XOC_0011
ko:K03474	xor:XOC_0014
ko:K06131	xor:XOC_0016
ko:K00627	xor:XOC_0489
ko:K00162	xor:XOC_0491
ko:K00161	xor:XOC_0492
ko:K00453	xor:XOC_0494
ko:K13409	xor:XOC_0040
ko:K13979	xor:XOC_0048
ko:K03797	xor:XOC_0059
ko:K06076	xor:XOC_0063
ko:K09001	xor:XOC_0521
ko:K18377	xor:XOC_4430
ko:K17836	xor:XOC_3372
ko:K11741	xor:XOC_4200
ko:K00655	xor:XOC_0284
ko:K06153	xor:XOC_0292
ko:K01915	xor:XOC_0293
ko:K04751	xor:XOC_0294
ko:K03320	xor:XOC_0295
ko:K07708	xor:XOC_0296
ko:K07712	xor:XOC_0297
ko:K02498	xor:XOC_0310
ko:K02496	xor:XOC_0311
ko:K07270	xor:XOC_0313
ko:K01205	xor:XOC_0756
ko:K03710	xor:XOC_0759
ko:K02529	xor:XOC_0761
ko:K00820	xor:XOC_0762
ko:K01443	xor:XOC_0763
ko:K11937	xor:XOC_0764
ko:K11936	xor:XOC_0765
ko:K11931	xor:XOC_0766
ko:K11935	xor:XOC_0767
ko:K02168	xor:XOC_0773
ko:K03673	xor:XOC_0775
ko:K03673	xor:XOC_0776
ko:K03978	xor:XOC_0778
ko:K01126	xor:XOC_1199
ko:K03594	xor:XOC_1203
ko:K13993	xor:XOC_1206
ko:K05516	xor:XOC_1207
ko:K04088	xor:XOC_1210
ko:K04087	xor:XOC_1211
ko:K09937	xor:XOC_1212
ko:K01939	xor:XOC_1213
ko:K01256	xor:XOC_1215
ko:K01154	xor:XOC_1222
ko:K03427	xor:XOC_1223
ko:K00432	xor:XOC_1771
ko:K00012	xor:XOC_1774
ko:K03745	xor:XOC_1775
ko:K02529	xor:XOC_1778
ko:K02429	xor:XOC_1779
ko:K00847	xor:XOC_1780
ko:K12573	xor:XOC_1792
ko:K03218	xor:XOC_1794
ko:K03683	xor:XOC_1796
ko:K02039	xor:XOC_1798
ko:K02036	xor:XOC_1799
ko:K02038	xor:XOC_1801
ko:K02037	xor:XOC_1802
ko:K02040	xor:XOC_1803
ko:K02040	xor:XOC_1804
ko:K01673	xor:XOC_1807
ko:K10773	xor:XOC_1809
ko:K09164	xor:XOC_1816
ko:K14287	xor:XOC_2718
ko:K02194	xor:XOC_2720
ko:K02195	xor:XOC_2721
ko:K02197	xor:XOC_2723
ko:K02198	xor:XOC_2724
ko:K02199	xor:XOC_2725
ko:K00641	xor:XOC_2728
ko:K00425	xor:XOC_2733
ko:K00426	xor:XOC_2735
ko:K06978	xor:XOC_2737
ko:K00147	xor:XOC_2740
ko:K00931	xor:XOC_2741
ko:K01755	xor:XOC_2744
ko:K00145	xor:XOC_2745
ko:K01438	xor:XOC_2748
ko:K01940	xor:XOC_2750
ko:K01883	xor:XOC_2754
ko:K02426	xor:XOC_2755
ko:K06204	xor:XOC_2759
ko:K08998	xor:XOC_2760
ko:K01465	xor:XOC_2761
ko:K03563	xor:XOC_2769
ko:K01872	xor:XOC_2770
ko:K03565	xor:XOC_2771
ko:K03060	xor:XOC_3651
ko:K00942	xor:XOC_3652
ko:K00989	xor:XOC_3654
ko:K09895	xor:XOC_3663
ko:K09888	xor:XOC_3665
ko:K01807	xor:XOC_3668
ko:K09005	xor:XOC_3669
ko:K00788	xor:XOC_3672
ko:K01845	xor:XOC_3674
ko:K03556	xor:XOC_3678
ko:K00817	xor:XOC_3680
ko:K00817	xor:XOC_3682
ko:K07157	xor:XOC_3697
ko:K02558	xor:XOC_3698
ko:K15987	xor:XOC_3705
ko:K06222	xor:XOC_4615
ko:K06181	xor:XOC_4619
ko:K03579	xor:XOC_4621
ko:K02083	xor:XOC_4630
ko:K00631	xor:XOC_4636
ko:K02529	xor:XOC_4639
ko:K01591	xor:XOC_4643
ko:K09915	xor:XOC_4647
ko:K03656	xor:XOC_4650
ko:K03670	xor:XOC_4653
ko:K02647	xor:XOC_4671
ko:K00865	xor:XOC_4672
ko:K01792	xor:XOC_0225
ko:K05782	xor:XOC_0229
ko:K05343	xor:XOC_0250
ko:K07095	xor:XOC_0252
ko:K02529	xor:XOC_0255
ko:K09921	xor:XOC_0695
ko:K03733	xor:XOC_0696
ko:K01419	xor:XOC_0697
ko:K03667	xor:XOC_0698
ko:K03183	xor:XOC_0704
ko:K03569	xor:XOC_0711
ko:K03570	xor:XOC_0712
ko:K03571	xor:XOC_0713
ko:K05515	xor:XOC_0714
ko:K05837	xor:XOC_0715
ko:K03642	xor:XOC_0720
ko:K11211	xor:XOC_1150
ko:K03639	xor:XOC_1152
ko:K03637	xor:XOC_1154
ko:K03636	xor:XOC_1155
ko:K02343	xor:XOC_1159
ko:K09747	xor:XOC_1160
ko:K06187	xor:XOC_1161
ko:K07285	xor:XOC_1163
ko:K03924	xor:XOC_1166
ko:K06287	xor:XOC_1169
ko:K09779	xor:XOC_1662
ko:K05838	xor:XOC_1664
ko:K01869	xor:XOC_1666
ko:K03643	xor:XOC_1667
ko:K02340	xor:XOC_1668
ko:K00969	xor:XOC_1669
ko:K09710	xor:XOC_1670
ko:K00783	xor:XOC_1673
ko:K09807	xor:XOC_1676
ko:K06287	xor:XOC_1677
ko:K08301	xor:XOC_1678
ko:K03568	xor:XOC_1681
ko:K09889	xor:XOC_1682
ko:K03592	xor:XOC_1683
ko:K09940	xor:XOC_1687
ko:K00795	xor:XOC_1689
ko:K03602	xor:XOC_1690
ko:K04075	xor:XOC_1691
ko:K09159	xor:XOC_2599
ko:K00240	xor:XOC_2600
ko:K00239	xor:XOC_2602
ko:K00242	xor:XOC_2603
ko:K06980	xor:XOC_2605
ko:K00036	xor:XOC_2607
ko:K01057	xor:XOC_2609
ko:K01690	xor:XOC_2610
ko:K01625	xor:XOC_2611
ko:K13408	xor:XOC_2635
ko:K09803	xor:XOC_2639
ko:K06959	xor:XOC_2649
ko:K03821	xor:XOC_2654
ko:K00019	xor:XOC_2657
ko:K12686	xor:XOC_3543
ko:K03154	xor:XOC_3544
ko:K03149	xor:XOC_3545
ko:K03439	xor:XOC_3546
ko:K03282	xor:XOC_3552
ko:K03214	xor:XOC_3557
ko:K00955	xor:XOC_3568
ko:K00957	xor:XOC_3569
ko:K00381	xor:XOC_3571
ko:K00390	xor:XOC_3572
ko:K02302	xor:XOC_3580
ko:K01738	xor:XOC_3581
ko:K01623	xor:XOC_3585
ko:K00873	xor:XOC_3587
ko:K01091	xor:XOC_3588
ko:K00927	xor:XOC_3589
ko:K01879	xor:XOC_4494
ko:K07278	xor:XOC_4499
ko:K09800	xor:XOC_4500
ko:K03179	xor:XOC_4508
ko:K01012	xor:XOC_4511
ko:K02170	xor:XOC_4515
ko:K02169	xor:XOC_4517
ko:K01754	xor:XOC_4521
ko:K03495	xor:XOC_4523
ko:K07074	xor:XOC_4525
ko:K07178	xor:XOC_4539
ko:K02624	xor:XOC_4540
ko:K01055	xor:XOC_4542
ko:K01857	xor:XOC_4543
ko:K00448	xor:XOC_4544
ko:K03071	xor:XOC_0317
ko:K00057	xor:XOC_0318
ko:K00156	xor:XOC_0320
ko:K03216	xor:XOC_0326
ko:K06940	xor:XOC_0332
ko:K01921	xor:XOC_0337
ko:K03690	xor:XOC_0339
ko:K03688	xor:XOC_0340
ko:K01919	xor:XOC_0780
ko:K01070	xor:XOC_0797
ko:K00600	xor:XOC_0806
ko:K07738	xor:XOC_0808
ko:K01153	xor:XOC_1225
ko:K01153	xor:XOC_1229
ko:K03427	xor:XOC_1232
ko:K07341	xor:XOC_1245
ko:K01356	xor:XOC_1247
ko:K14161	xor:XOC_1249
ko:K03824	xor:XOC_1820
ko:K12297	xor:XOC_1823
ko:K00858	xor:XOC_1824
ko:K01141	xor:XOC_1829
ko:K01556	xor:XOC_1831
ko:K01673	xor:XOC_1834
ko:K07734	xor:XOC_1835
ko:K01893	xor:XOC_1839
ko:K02990	xor:XOC_1841
ko:K02963	xor:XOC_1842
ko:K02939	xor:XOC_1843
ko:K03529	xor:XOC_1844
ko:K03528	xor:XOC_1845
ko:K01972	xor:XOC_1849
ko:K00449	xor:XOC_4545
ko:K07823	xor:XOC_4546
ko:K01040	xor:XOC_4547
ko:K00864	xor:XOC_4553
ko:K08963	xor:XOC_1852
ko:K02469	xor:XOC_1853
ko:K01868	xor:XOC_1858
ko:K02520	xor:XOC_1859
ko:K02916	xor:XOC_1860
ko:K02887	xor:XOC_1861
ko:K01889	xor:XOC_1862
ko:K01890	xor:XOC_1863
ko:K04764	xor:XOC_1864
ko:K01991	xor:XOC_1867
ko:K01356	xor:XOC_2773
ko:K03688	xor:XOC_2774
ko:K03665	xor:XOC_2777
ko:K03666	xor:XOC_2778
ko:K00791	xor:XOC_2779
ko:K00796	xor:XOC_2780
ko:K03798	xor:XOC_2781
ko:K07574	xor:XOC_2783
ko:K06194	xor:XOC_2785
ko:K00573	xor:XOC_2787
ko:K03787	xor:XOC_2788
ko:K06176	xor:XOC_2790
ko:K01770	xor:XOC_2791
ko:K00991	xor:XOC_2792
ko:K05589	xor:XOC_2793
ko:K01689	xor:XOC_2794
ko:K01627	xor:XOC_2796
ko:K01937	xor:XOC_2797
ko:K02622	xor:XOC_2800
ko:K03306	xor:XOC_2804
ko:K07220	xor:XOC_2805
ko:K08369	xor:XOC_2811
ko:K02169	xor:XOC_2818
ko:K03147	xor:XOC_3712
ko:K00053	xor:XOC_3713
ko:K01652	xor:XOC_3714
ko:K11258	xor:XOC_3715
ko:K01754	xor:XOC_3716
ko:K01649	xor:XOC_3717
ko:K00052	xor:XOC_3718
ko:K01704	xor:XOC_3720
ko:K01703	xor:XOC_3721
ko:K00573	xor:XOC_3725
ko:K12340	xor:XOC_3726
ko:K02527	xor:XOC_3727
ko:K02517	xor:XOC_3728
ko:K00029	xor:XOC_3735
ko:K11103	xor:XOC_3737
ko:K03288	xor:XOC_3740
ko:K02012	xor:XOC_3746
ko:K07649	xor:XOC_3747
ko:K07774	xor:XOC_3748
ko:K03300	xor:XOC_3751
ko:K00023	xor:XOC_3753
ko:K06949	xor:XOC_3761
ko:K14260	xor:XOC_3762
ko:K07390	xor:XOC_3766
ko:K01273	xor:XOC_4675
ko:K06969	xor:XOC_4678
ko:K01126	xor:XOC_4681
ko:K09474	xor:XOC_4684
ko:K03650	xor:XOC_4685
ko:K03217	xor:XOC_4687
ko:K03536	xor:XOC_4688
ko:K02914	xor:XOC_4689
ko:K04568	xor:XOC_1850
ko:K01436	xor:XOC_0587
ko:K01815	xor:XOC_0256
ko:K01815	xor:XOC_0257
ko:K00500	xor:XOC_0260
ko:K07001	xor:XOC_0263
ko:K02013	xor:XOC_0266
ko:K05847	xor:XOC_0269
ko:K07154	xor:XOC_0274
ko:K04090	xor:XOC_0276
ko:K07088	xor:XOC_0278
ko:K09158	xor:XOC_0725
ko:K03801	xor:XOC_0726
ko:K03644	xor:XOC_0727
ko:K03797	xor:XOC_0728
ko:K00950	xor:XOC_0746
ko:K07040	xor:XOC_1170
ko:K02911	xor:XOC_1171
ko:K00648	xor:XOC_1172
ko:K00645	xor:XOC_1174
ko:K02078	xor:XOC_1176
ko:K09458	xor:XOC_1177
ko:K01657	xor:XOC_1178
ko:K07082	xor:XOC_1179
ko:K02341	xor:XOC_1180
ko:K02676	xor:XOC_1181
ko:K02688	xor:XOC_1185
ko:K03775	xor:XOC_1699
ko:K07148	xor:XOC_1700
ko:K00285	xor:XOC_1701
ko:K03664	xor:XOC_1731
ko:K09801	xor:XOC_1734
ko:K06186	xor:XOC_1735
ko:K03631	xor:XOC_1737
ko:K03705	xor:XOC_1738
ko:K03687	xor:XOC_1739
ko:K04043	xor:XOC_1740
ko:K03686	xor:XOC_1741
ko:K00868	xor:XOC_1742
ko:K04761	xor:XOC_1746
ko:K06966	xor:XOC_1750
ko:K00382	xor:XOC_1751
ko:K00658	xor:XOC_1752
ko:K00164	xor:XOC_1753
ko:K01756	xor:XOC_1758
ko:K09920	xor:XOC_2659
ko:K09773	xor:XOC_2660
ko:K13288	xor:XOC_2663
ko:K11924	xor:XOC_2665
ko:K03322	xor:XOC_2666
ko:K03717	xor:XOC_2676
ko:K05577	xor:XOC_2677
ko:K09822	xor:XOC_2678
ko:K01951	xor:XOC_2679
ko:K01491	xor:XOC_2681
ko:K09948	xor:XOC_2682
ko:K00963	xor:XOC_2687
ko:K05788	xor:XOC_2692
ko:K02945	xor:XOC_2693
ko:K00945	xor:XOC_2694
ko:K12251	xor:XOC_2698
ko:K03823	xor:XOC_2699
ko:K02529	xor:XOC_2708
ko:K05527	xor:XOC_2710
ko:K09780	xor:XOC_2711
ko:K05896	xor:XOC_2712
ko:K06024	xor:XOC_2713
ko:K06178	xor:XOC_2714
ko:K00134	xor:XOC_3592
ko:K02020	xor:XOC_3597
ko:K02018	xor:XOC_3598
ko:K00615	xor:XOC_3624
ko:K03924	xor:XOC_3635
ko:K02666	xor:XOC_3636
ko:K02662	xor:XOC_3640
ko:K05366	xor:XOC_3641
ko:K01647	xor:XOC_3645
ko:K02909	xor:XOC_3646
ko:K03655	xor:XOC_3648
ko:K00481	xor:XOC_4557
ko:K06940	xor:XOC_4567
ko:K01687	xor:XOC_4569
ko:K03098	xor:XOC_4573
ko:K08191	xor:XOC_4579
ko:K01812	xor:XOC_4583
ko:K01968	xor:XOC_4589
ko:K01969	xor:XOC_4590
ko:K07018	xor:XOC_4605
ko:K06916	xor:XOC_4606
ko:K10716	xor:XOC_3689
ko:K16011	xor:XOC_3842
ko:K09691	xor:XOC_3868
ko:K00141	xor:XOC_4559
ko:K02014	xor:XOC_1195
ko:K03307	xor:XOC_2178
ko:K05802	xor:XOC_4425
ko:K16092	xor:XOC_3401
ko:K01728	xor:XOC_3823
ko:K15923	xor:XOC_2159
ko:K14218	xor:XOC_t024
ko:K14218	xor:XOC_t026
ko:K05886	xor:XOC_4237
ko:K16091	xor:XOC_3386
ko:K02358	xor:XOC_1027
ko:K11892	xor:XOC_1338
ko:K16088	xor:XOC_0262
ko:K05710	xor:XOC_1470
ko:K16147	xor:XOC_0249
ko:K03301	xor:XOC_3237
ko:K02014	xor:XOC_3788
ko:K02014	xor:XOC_3256
ko:K10716	xor:XOC_1394
ko:K09705	xor:XOC_1879
ko:K08738	xor:XOC_2832
ko:K02200	xor:XOC_2842
ko:K01479	xor:XOC_2888
ko:K02463	xor:XOC_3795
ko:K02454	xor:XOC_3805
ko:K04763	xor:XOC_3812
ko:K07491	xor:XOC_0351
ko:K00851	xor:XOC_0354
ko:K03321	xor:XOC_0674
ko:K00059	xor:XOC_0409
ko:K00852	xor:XOC_0884
ko:K03317	xor:XOC_0885
ko:K03286	xor:XOC_1311
ko:K00135	xor:XOC_2024
ko:K03406	xor:XOC_2048
ko:K08086	xor:XOC_2957
ko:K03593	xor:XOC_2983
ko:K00799	xor:XOC_3000
ko:K00647	xor:XOC_3890
ko:K01759	xor:XOC_3896
ko:K02005	xor:XOC_3902
ko:K02004	xor:XOC_3904
ko:K02004	xor:XOC_3905
ko:K04093	xor:XOC_3912
ko:K01081	xor:XOC_0425
ko:K00647	xor:XOC_0437
ko:K02050	xor:XOC_0893
ko:K02049	xor:XOC_0895
ko:K02051	xor:XOC_0896
ko:K02004	xor:XOC_0898
ko:K01525	xor:XOC_0912
ko:K07481	xor:XOC_4090
ko:K07481	xor:XOC_0067
ko:K07481	xor:XOC_4116
ko:K07481	xor:XOC_2633
ko:K07481	xor:XOC_4405
ko:K07481	xor:XOC_1728
ko:K00564	xor:XOC_3950
ko:K07305	xor:XOC_3962
ko:K03316	xor:XOC_3977
ko:K07386	xor:XOC_3990
ko:K00799	xor:XOC_2107
ko:K01092	xor:XOC_2117
ko:K00799	xor:XOC_3018
ko:K06147	xor:XOC_3020
ko:K02014	xor:XOC_3051
ko:K01439	xor:XOC_3055
ko:K00674	xor:XOC_3059
ko:K06183	xor:XOC_3949
ko:K09471	xor:XOC_1995
ko:K02674	xor:XOC_2899
ko:K03177	xor:XOC_2918
ko:K02067	xor:XOC_3834
ko:K01113	xor:XOC_0375
ko:K01113	xor:XOC_0376
ko:K00882	xor:XOC_1974
ko:K00059	xor:XOC_0479
ko:K00666	xor:XOC_0932
ko:K05524	xor:XOC_2149
ko:K00854	xor:XOC_2160
ko:K00970	xor:XOC_2167
ko:K00547	xor:XOC_3103
ko:K08234	xor:XOC_3106
ko:K03616	xor:XOC_3110
ko:K02014	xor:XOC_4021
ko:K07052	xor:XOC_0007
ko:K07004	xor:XOC_0493
ko:K07304	xor:XOC_0953
ko:K00616	xor:XOC_0954
ko:K03386	xor:XOC_0959
ko:K01259	xor:XOC_0963
ko:K01515	xor:XOC_0965
ko:K08964	xor:XOC_2228
ko:K03294	xor:XOC_2229
ko:K03294	xor:XOC_2230
ko:K00058	xor:XOC_2232
ko:K00626	xor:XOC_3155
ko:K02004	xor:XOC_4085
ko:K07729	xor:XOC_4103
ko:K09697	xor:XOC_4105
ko:K09696	xor:XOC_4106
ko:K01278	xor:XOC_4115
ko:K09167	xor:XOC_4125
ko:K08981	xor:XOC_4126
ko:K07283	xor:XOC_0683
ko:K01322	xor:XOC_0687
ko:K07657	xor:XOC_1117
ko:K00030	xor:XOC_1121
ko:K00575	xor:XOC_1589
ko:K03406	xor:XOC_1592
ko:K01885	xor:XOC_1606
ko:K02014	xor:XOC_1616
ko:K00058	xor:XOC_0060
ko:K10563	xor:XOC_0070
ko:K02274	xor:XOC_0534
ko:K02258	xor:XOC_0536
ko:K01424	xor:XOC_0985
ko:K08483	xor:XOC_1431
ko:K11189	xor:XOC_1432
ko:K02821	xor:XOC_1433
ko:K06023	xor:XOC_1436
ko:K02806	xor:XOC_1437
ko:K00575	xor:XOC_2280
ko:K03406	xor:XOC_2282
ko:K03406	xor:XOC_2295
ko:K03406	xor:XOC_2297
ko:K01782	xor:XOC_3189
ko:K01206	xor:XOC_3203
ko:K06445	xor:XOC_3235
ko:K03747	xor:XOC_4137
ko:K01724	xor:XOC_2560
ko:K06179	xor:XOC_2564
ko:K01104	xor:XOC_2586
ko:K11085	xor:XOC_2589
ko:K02238	xor:XOC_2592
ko:K02014	xor:XOC_3486
ko:K03406	xor:XOC_3493
ko:K02653	xor:XOC_3513
ko:K05844	xor:XOC_3525
ko:K03227	xor:XOC_4449
ko:K02454	xor:XOC_4491
ko:K07019	xor:XOC_0285
ko:K06910	xor:XOC_0287
ko:K00626	xor:XOC_0306
ko:K01719	xor:XOC_0312
ko:K00974	xor:XOC_0769
ko:K02658	xor:XOC_1208
ko:K01679	xor:XOC_1763
ko:K00548	xor:XOC_1782
ko:K00548	xor:XOC_1784
ko:K07221	xor:XOC_1805
ko:K01011	xor:XOC_1815
ko:K02193	xor:XOC_2719
ko:K02200	xor:XOC_2726
ko:K02200	xor:XOC_2727
ko:K16012	xor:XOC_2731
ko:K16013	xor:XOC_2732
ko:K02428	xor:XOC_3656
ko:K01262	xor:XOC_3662
ko:K01934	xor:XOC_3666
ko:K00274	xor:XOC_3685
ko:K00939	xor:XOC_3699
ko:K01507	xor:XOC_3707
ko:K02014	xor:XOC_3709
ko:K06177	xor:XOC_4663
ko:K01426	xor:XOC_1064
ko:K03768	xor:XOC_1068
ko:K00219	xor:XOC_1083
ko:K03286	xor:XOC_1085
ko:K09702	xor:XOC_2465
ko:K02014	xor:XOC_3376
ko:K02014	xor:XOC_3378
ko:K02014	xor:XOC_3379
ko:K03455	xor:XOC_3383
ko:K02510	xor:XOC_3385
ko:K06945	xor:XOC_4307
ko:K06877	xor:XOC_0149
ko:K02014	xor:XOC_0157
ko:K07660	xor:XOC_4319
ko:K00101	xor:XOC_0160
ko:K00380	xor:XOC_4335
ko:K00700	xor:XOC_0251
ko:K02348	xor:XOC_0701
ko:K00856	xor:XOC_0710
ko:K08305	xor:XOC_0719
ko:K07258	xor:XOC_0722
ko:K03469	xor:XOC_1144
ko:K02342	xor:XOC_1145
ko:K03635	xor:XOC_1156
ko:K01077	xor:XOC_1692
ko:K00241	xor:XOC_2604
ko:K00845	xor:XOC_2608
ko:K03929	xor:XOC_3556
ko:K00380	xor:XOC_3570
ko:K02014	xor:XOC_3574
ko:K00652	xor:XOC_4512
ko:K00059	xor:XOC_4516
ko:K01607	xor:XOC_4541
ko:K01039	xor:XOC_4548
ko:K01823	xor:XOC_0076
ko:K01409	xor:XOC_0550
ko:K07025	xor:XOC_0573
ko:K00121	xor:XOC_0794
ko:K02014	xor:XOC_0805
ko:K14162	xor:XOC_1251
ko:K01081	xor:XOC_1825
ko:K00486	xor:XOC_1830
ko:K00452	xor:XOC_1833
ko:K13628	xor:XOC_1840
ko:K03743	xor:XOC_2776
ko:K02427	xor:XOC_2782
ko:K07221	xor:XOC_3738
ko:K07221	xor:XOC_3749
ko:K05341	xor:XOC_3758
ko:K02014	xor:XOC_4682
ko:K13660	xor:XOC_1878
ko:K07117	xor:XOC_1477
ko:K02014	xor:XOC_2314
ko:K07316	xor:XOC_2321
ko:K01156	xor:XOC_2322
ko:K02414	xor:XOC_2347
ko:K04765	xor:XOC_3250
ko:K01082	xor:XOC_3251
ko:K00845	xor:XOC_3255
ko:K01206	xor:XOC_3257
ko:K12373	xor:XOC_3259
ko:K01192	xor:XOC_3260
ko:K09704	xor:XOC_3270
ko:K06201	xor:XOC_3280
ko:K07114	xor:XOC_3284
ko:K10914	xor:XOC_4202
ko:K00721	xor:XOC_4227
ko:K01585	xor:XOC_4241
ko:K05522	xor:XOC_0662
ko:K00639	xor:XOC_1089
ko:K15727	xor:XOC_2473
ko:K01785	xor:XOC_3425
ko:K01209	xor:XOC_3426
ko:K00700	xor:XOC_4416
ko:K00033	xor:XOC_0738
ko:K03793	xor:XOC_0747
ko:K00059	xor:XOC_1175
ko:K00383	xor:XOC_1702
ko:K07386	xor:XOC_1726
ko:K03711	xor:XOC_1736
ko:K04517	xor:XOC_1743
ko:K06147	xor:XOC_1747
ko:K03406	xor:XOC_2669
ko:K00088	xor:XOC_2680
ko:K02025	xor:XOC_2704
ko:K02017	xor:XOC_3599
ko:K07114	xor:XOC_3631
ko:K07114	xor:XOC_3632
ko:K02665	xor:XOC_3637
ko:K01181	xor:XOC_4581
ko:K01181	xor:XOC_4582
ko:K07004	xor:XOC_4600
ko:K02067	xor:XOC_0115
ko:K03294	xor:XOC_0125
ko:K07032	xor:XOC_0580
ko:K04750	xor:XOC_0581
ko:K04063	xor:XOC_1499
ko:K03406	xor:XOC_2399
ko:K02487	xor:XOC_3303
ko:K06596	xor:XOC_3303
ko:K02660	xor:XOC_3304
ko:K02659	xor:XOC_3305
ko:K02658	xor:XOC_3306
ko:K02657	xor:XOC_3307
