ko:K18816	clq:UPTC4110_0878
ko:K02338	clq:UPTC4110_0002
ko:K02470	clq:UPTC4110_0003
ko:K14048	clq:UPTC4110_0005
ko:K01428	clq:UPTC4110_0006
ko:K03187	clq:UPTC4110_0007
ko:K03188	clq:UPTC4110_0008
ko:K03189	clq:UPTC4110_0009
ko:K00406	clq:UPTC4110_0373
ko:K03582	clq:UPTC4110_0378
ko:K02871	clq:UPTC4110_0379
ko:K02996	clq:UPTC4110_0380
ko:K03286	clq:UPTC4110_0381
ko:K01091	clq:UPTC4110_0382
ko:K03737	clq:UPTC4110_0383
ko:K02453	clq:UPTC4110_0385
ko:K02454	clq:UPTC4110_0387
ko:K02455	clq:UPTC4110_0388
ko:K07090	clq:UPTC4110_0389
ko:K02396	clq:UPTC4110_0391
ko:K02394	clq:UPTC4110_0395
ko:K00946	clq:UPTC4110_0400
ko:K06176	clq:UPTC4110_0401
ko:K03839	clq:UPTC4110_0404
ko:K03406	clq:UPTC4110_0405
ko:K09979	clq:UPTC4110_0406
ko:K05927	clq:UPTC4110_0410
ko:K01803	clq:UPTC4110_0411
ko:K00927	clq:UPTC4110_0412
ko:K00134	clq:UPTC4110_0413
ko:K00969	clq:UPTC4110_0414
ko:K09710	clq:UPTC4110_0415
ko:K01679	clq:UPTC4110_0420
ko:K00820	clq:UPTC4110_0421
ko:K03190	clq:UPTC4110_0010
ko:K09457	clq:UPTC4110_0011
ko:K06193	clq:UPTC4110_0013
ko:K01937	clq:UPTC4110_0015
ko:K07462	clq:UPTC4110_0016
ko:K01775	clq:UPTC4110_1117
ko:K07152	clq:UPTC4110_1121
ko:K02004	clq:UPTC4110_1122
ko:K09860	clq:UPTC4110_1124
ko:K02469	clq:UPTC4110_1125
ko:K02242	clq:UPTC4110_1126
ko:K14445	clq:UPTC4110_1128
ko:K00788	clq:UPTC4110_1129
ko:K03150	clq:UPTC4110_1130
ko:K03149	clq:UPTC4110_1131
ko:K03148	clq:UPTC4110_1132
ko:K03154	clq:UPTC4110_1133
ko:K01439	clq:UPTC4110_1134
ko:K06895	clq:UPTC4110_1135
ko:K12410	clq:UPTC4110_1136
ko:K07456	clq:UPTC4110_1137
ko:K01924	clq:UPTC4110_1139
ko:K03602	clq:UPTC4110_1141
ko:K00088	clq:UPTC4110_1142
ko:K02433	clq:UPTC4110_1143
ko:K01870	clq:UPTC4110_1144
ko:K03743	clq:UPTC4110_1145
ko:K02003	clq:UPTC4110_1151
ko:K02004	clq:UPTC4110_1152
ko:K02004	clq:UPTC4110_1153
ko:K07230	clq:UPTC4110_1155
ko:K07243	clq:UPTC4110_1156
ko:K11103	clq:UPTC4110_1157
ko:K00824	clq:UPTC4110_1158
ko:K00940	clq:UPTC4110_1310
ko:K02911	clq:UPTC4110_1312
ko:K03621	clq:UPTC4110_1313
ko:K00648	clq:UPTC4110_1314
ko:K02557	clq:UPTC4110_1315
ko:K02556	clq:UPTC4110_1316
ko:K08173	clq:UPTC4110_1318
ko:K01696	clq:UPTC4110_1321
ko:K03701	clq:UPTC4110_1322
ko:K00831	clq:UPTC4110_1323
ko:K03601	clq:UPTC4110_1324
ko:K03183	clq:UPTC4110_1325
ko:K09825	clq:UPTC4110_1327
ko:K01662	clq:UPTC4110_1328
ko:K02411	clq:UPTC4110_1329
ko:K02410	clq:UPTC4110_1330
ko:K02409	clq:UPTC4110_1331
ko:K00817	clq:UPTC4110_1332
ko:K14170	clq:UPTC4110_1333
ko:K02566	clq:UPTC4110_1334
ko:K01586	clq:UPTC4110_1335
ko:K11720	clq:UPTC4110_1336
ko:K01056	clq:UPTC4110_1337
ko:K02897	clq:UPTC4110_1338
ko:K00616	clq:UPTC4110_1339
ko:K01079	clq:UPTC4110_1340
ko:K03408	clq:UPTC4110_1341
ko:K03407	clq:UPTC4110_1342
ko:K03415	clq:UPTC4110_1343
ko:K03269	clq:UPTC4110_1344
ko:K03624	clq:UPTC4110_1345
ko:K00748	clq:UPTC4110_1346
ko:K01258	clq:UPTC4110_1354
ko:K01159	clq:UPTC4110_1554
ko:K02835	clq:UPTC4110_0018
ko:K02968	clq:UPTC4110_0019
ko:K06178	clq:UPTC4110_0020
ko:K12574	clq:UPTC4110_0021
ko:K02528	clq:UPTC4110_0022
ko:K06941	clq:UPTC4110_0024
ko:K06180	clq:UPTC4110_0026
ko:K01756	clq:UPTC4110_0027
ko:K06153	clq:UPTC4110_0030
ko:K01868	clq:UPTC4110_0031
ko:K02520	clq:UPTC4110_0032
ko:K07318	clq:UPTC4110_0033
ko:K02916	clq:UPTC4110_0034
ko:K02887	clq:UPTC4110_0035
ko:K09816	clq:UPTC4110_0037
ko:K09817	clq:UPTC4110_0038
ko:K09815	clq:UPTC4110_0039
ko:K01465	clq:UPTC4110_0043
ko:K00901	clq:UPTC4110_0045
ko:K03760	clq:UPTC4110_0046
ko:K01142	clq:UPTC4110_0047
ko:K04564	clq:UPTC4110_0053
ko:K01933	clq:UPTC4110_0054
ko:K00859	clq:UPTC4110_0055
ko:K01778	clq:UPTC4110_0056
ko:K03796	clq:UPTC4110_0057
ko:K07133	clq:UPTC4110_0058
ko:K02946	clq:UPTC4110_0060
ko:K02906	clq:UPTC4110_0061
ko:K02926	clq:UPTC4110_0062
ko:K02892	clq:UPTC4110_0063
ko:K02886	clq:UPTC4110_0064
ko:K02965	clq:UPTC4110_0065
ko:K02890	clq:UPTC4110_0066
ko:K02982	clq:UPTC4110_0067
ko:K02878	clq:UPTC4110_0068
ko:K03326	clq:UPTC4110_1355
ko:K05995	clq:UPTC4110_1356
ko:K03787	clq:UPTC4110_1357
ko:K03830	clq:UPTC4110_1359
ko:K02169	clq:UPTC4110_1361
ko:K09789	clq:UPTC4110_1362
ko:K00652	clq:UPTC4110_1363
ko:K07126	clq:UPTC4110_1364
ko:K00833	clq:UPTC4110_1365
ko:K01935	clq:UPTC4110_1366
ko:K18925	clq:UPTC4110_1367
ko:K18924	clq:UPTC4110_1368
ko:K03406	clq:UPTC4110_1369
ko:K13051	clq:UPTC4110_1370
ko:K01955	clq:UPTC4110_1372
ko:K03781	clq:UPTC4110_1373
ko:K03570	clq:UPTC4110_1374
ko:K03569	clq:UPTC4110_1375
ko:K03544	clq:UPTC4110_1376
ko:K00677	clq:UPTC4110_1377
ko:K02372	clq:UPTC4110_1378
ko:K09765	clq:UPTC4110_1379
ko:K03564	clq:UPTC4110_1380
ko:K01821	clq:UPTC4110_1381
ko:K00826	clq:UPTC4110_1382
ko:K00764	clq:UPTC4110_1386
ko:K00215	clq:UPTC4110_1387
ko:K00384	clq:UPTC4110_1389
ko:K03671	clq:UPTC4110_1390
ko:K07460	clq:UPTC4110_1391
ko:K00003	clq:UPTC4110_1392
ko:K14261	clq:UPTC4110_1393
ko:K03218	clq:UPTC4110_1396
ko:K07056	clq:UPTC4110_1397
ko:K02909	clq:UPTC4110_1398
ko:K09761	clq:UPTC4110_1399
ko:K00990	clq:UPTC4110_0422
ko:K18285	clq:UPTC4110_0423
ko:K06901	clq:UPTC4110_0424
ko:K00769	clq:UPTC4110_0425
ko:K07812	clq:UPTC4110_0426
ko:K03406	clq:UPTC4110_0430
ko:K09861	clq:UPTC4110_0432
ko:K02358	clq:UPTC4110_0437
ko:K02913	clq:UPTC4110_0438
ko:K03073	clq:UPTC4110_0440
ko:K02601	clq:UPTC4110_0441
ko:K02867	clq:UPTC4110_0442
ko:K02863	clq:UPTC4110_0443
ko:K02864	clq:UPTC4110_0444
ko:K02935	clq:UPTC4110_0445
ko:K03043	clq:UPTC4110_0446
ko:K02950	clq:UPTC4110_0449
ko:K02992	clq:UPTC4110_0450
ko:K02355	clq:UPTC4110_0451
ko:K17938	clq:UPTC4110_0454
ko:K11928	clq:UPTC4110_0455
ko:K00290	clq:UPTC4110_0456
ko:K02018	clq:UPTC4110_0457
ko:K01424	clq:UPTC4110_0465
ko:K03832	clq:UPTC4110_0469
ko:K03559	clq:UPTC4110_0470
ko:K03561	clq:UPTC4110_0471
ko:K16089	clq:UPTC4110_0472
ko:K02343	clq:UPTC4110_0473
ko:K03628	clq:UPTC4110_0474
ko:K17686	clq:UPTC4110_0475
ko:K02961	clq:UPTC4110_0070
ko:K02874	clq:UPTC4110_0071
ko:K02895	clq:UPTC4110_0072
ko:K02931	clq:UPTC4110_0073
ko:K02954	clq:UPTC4110_0074
ko:K02994	clq:UPTC4110_0075
ko:K02933	clq:UPTC4110_0076
ko:K02881	clq:UPTC4110_0077
ko:K02988	clq:UPTC4110_0078
ko:K02876	clq:UPTC4110_0079
ko:K03076	clq:UPTC4110_0080
ko:K01776	clq:UPTC4110_0081
ko:K01424	clq:UPTC4110_0082
ko:K03470	clq:UPTC4110_0085
ko:K03837	clq:UPTC4110_0087
ko:K01752	clq:UPTC4110_0088
ko:K01265	clq:UPTC4110_0089
ko:K03406	clq:UPTC4110_0090
ko:K00428	clq:UPTC4110_0091
ko:K02518	clq:UPTC4110_0093
ko:K02919	clq:UPTC4110_0094
ko:K02952	clq:UPTC4110_0095
ko:K02948	clq:UPTC4110_0096
ko:K02986	clq:UPTC4110_0097
ko:K03040	clq:UPTC4110_0098
ko:K02879	clq:UPTC4110_0099
ko:K00765	clq:UPTC4110_0100
ko:K00013	clq:UPTC4110_0101
ko:K01089	clq:UPTC4110_0102
ko:K02501	clq:UPTC4110_0103
ko:K01814	clq:UPTC4110_0104
ko:K02500	clq:UPTC4110_0105
ko:K11755	clq:UPTC4110_0106
ko:K02390	clq:UPTC4110_0107
ko:K02904	clq:UPTC4110_0069
ko:K07552	clq:UPTC4110_0108
ko:K01928	clq:UPTC4110_0111
ko:K09747	clq:UPTC4110_0112
ko:K00795	clq:UPTC4110_0114
ko:K00615	clq:UPTC4110_0115
ko:K02066	clq:UPTC4110_0116
ko:K02065	clq:UPTC4110_0117
ko:K02067	clq:UPTC4110_0118
ko:K18480	clq:UPTC4110_0119
ko:K18138	clq:UPTC4110_1535
ko:K18992	clq:UPTC4110_1533
ko:K00335	clq:UPTC4110_1418
ko:K03526	clq:UPTC4110_1168
ko:K06218	clq:UPTC4110_0856
ko:K12056	clq:UPTC4110_0861
ko:K03502	clq:UPTC4110_1251
ko:K03111	clq:UPTC4110_0929
ko:K00662	clq:UPTC4110_1292
ko:K04565	clq:UPTC4110_0121
ko:K03496	clq:UPTC4110_0186
ko:K03497	clq:UPTC4110_0187
ko:K11015	clq:UPTC4110_1351
ko:K07097	clq:UPTC4110_0917
ko:K15461	clq:UPTC4110_0630
ko:K00557	clq:UPTC4110_0945
ko:K00336	clq:UPTC4110_1417
ko:K17251	clq:UPTC4110_1238
ko:K17249	clq:UPTC4110_1236
ko:K15897	clq:UPTC4110_1300
ko:K19157	clq:UPTC4110_0852
ko:K15912	clq:UPTC4110_1243
ko:K15913	clq:UPTC4110_1241
ko:K15914	clq:UPTC4110_1239
ko:K19157	clq:UPTC4110_0859
ko:K00571	clq:UPTC4110_0225
ko:K00354	clq:UPTC4110_0086
ko:K18918	clq:UPTC4110_1089
ko:K01710	clq:UPTC4110_1220
ko:K00525	clq:UPTC4110_0028
ko:K09951	clq:UPTC4110_0243
ko:K22468	clq:UPTC4110_0881
ko:K15910	clq:UPTC4110_1242
ko:K04771	clq:UPTC4110_0799
ko:K15899	clq:UPTC4110_1296
ko:K03892	clq:UPTC4110_0677
ko:K15915	clq:UPTC4110_1240
ko:K14218	clq:UPTC4110_0459
ko:K14218	clq:UPTC4110_0522
ko:K14218	clq:UPTC4110_1435
ko:K19271	clq:UPTC4110_0448
ko:K06867	clq:UPTC4110_0280
ko:K19416	clq:UPTC4110_1478
ko:K06867	clq:UPTC4110_0948
ko:K07216	clq:UPTC4110_1087
ko:K07216	clq:UPTC4110_1088
ko:K10938	clq:UPTC4110_0744
ko:K07147	clq:UPTC4110_1054
ko:K21636	clq:UPTC4110_0051
ko:K09796	clq:UPTC4110_1119
ko:K20810	clq:UPTC4110_0229
ko:K14227	clq:UPTC4110_0460
ko:K14227	clq:UPTC4110_1434
ko:K14227	clq:UPTC4110_0523
ko:K01980	clq:UPTC4110_0461
ko:K01980	clq:UPTC4110_0524
ko:K01980	clq:UPTC4110_1433
ko:K01985	clq:UPTC4110_0462
ko:K01985	clq:UPTC4110_1432
ko:K01985	clq:UPTC4110_0525
ko:K14224	clq:UPTC4110_0049
ko:K14224	clq:UPTC4110_1462
ko:K14234	clq:UPTC4110_0433
ko:K14236	clq:UPTC4110_0434
ko:K14225	clq:UPTC4110_0435
ko:K14225	clq:UPTC4110_0760
ko:K14225	clq:UPTC4110_1520
ko:K14230	clq:UPTC4110_0615
ko:K14230	clq:UPTC4110_0616
ko:K14223	clq:UPTC4110_0614
ko:K14228	clq:UPTC4110_0842
ko:K14228	clq:UPTC4110_1519
ko:K14237	clq:UPTC4110_0514
ko:K14237	clq:UPTC4110_0517
ko:K14229	clq:UPTC4110_0513
ko:K14229	clq:UPTC4110_0519
ko:K14229	clq:UPTC4110_0516
ko:K14220	clq:UPTC4110_0537
ko:K14231	clq:UPTC4110_0295
ko:K14233	clq:UPTC4110_1517
ko:K15035	clq:UPTC4110_1258
ko:K14222	clq:UPTC4110_1518
ko:K14232	clq:UPTC4110_1442
ko:K14218	clq:UPTC4110_0059
ko:K14233	clq:UPTC4110_0135
ko:K14233	clq:UPTC4110_1250
ko:K14230	clq:UPTC4110_0137
ko:K14238	clq:UPTC4110_0363
ko:K14234	clq:UPTC4110_0436
ko:K14221	clq:UPTC4110_0515
ko:K14221	clq:UPTC4110_0518
ko:K14224	clq:UPTC4110_0520
ko:K14219	clq:UPTC4110_0595
ko:K14228	clq:UPTC4110_1189
ko:K14237	clq:UPTC4110_1544
ko:K14219	clq:UPTC4110_0605
ko:K01977	clq:UPTC4110_0458
ko:K01977	clq:UPTC4110_1436
ko:K01977	clq:UPTC4110_0521
ko:K14228	clq:UPTC4110_1438
ko:K07100	clq:UPTC4110_0511
ko:K01023	clq:UPTC4110_0568
ko:K02335	clq:UPTC4110_1317
ko:K02314	clq:UPTC4110_1210
ko:K02316	clq:UPTC4110_1469
ko:K03465	clq:UPTC4110_0014
ko:K00558	clq:UPTC4110_1549
ko:K10747	clq:UPTC4110_0036
ko:K04068	clq:UPTC4110_0052
ko:K03553	clq:UPTC4110_0153
ko:K00558	clq:UPTC4110_0224
ko:K02483	clq:UPTC4110_0497
ko:K02483	clq:UPTC4110_0800
ko:K02031	clq:UPTC4110_1425
ko:K02032	clq:UPTC4110_1424
ko:K02481	clq:UPTC4110_0532
ko:K01139	clq:UPTC4110_0626
ko:K00526	clq:UPTC4110_1483
ko:K21420	clq:UPTC4110_0598
ko:K02483	clq:UPTC4110_0176
ko:K01420	clq:UPTC4110_0804
ko:K10026	clq:UPTC4110_1403
ko:K07401	clq:UPTC4110_1555
ko:K21929	clq:UPTC4110_0561
ko:K03741	clq:UPTC4110_0678
ko:K03595	clq:UPTC4110_0778
ko:K14441	clq:UPTC4110_0265
ko:K22391	clq:UPTC4110_0978
ko:K17758	clq:UPTC4110_1445
ko:K17759	clq:UPTC4110_1445
