ko:K07713	sea:SeAg_B4418
ko:K03579	sea:SeAg_B0223
ko:K02014	sea:SeAg_B0227
ko:K02013	sea:SeAg_B0228
ko:K02016	sea:SeAg_B0229
ko:K02015	sea:SeAg_B0230
ko:K01845	sea:SeAg_B0239
ko:K03281	sea:SeAg_B0241
ko:K06858	sea:SeAg_B0245
ko:K01129	sea:SeAg_B0247
ko:K02647	sea:SeAg_B0249
ko:K00674	sea:SeAg_B0252
ko:K03703	sea:SeAg_B1174
ko:K00995	sea:SeAg_B1175
ko:K07039	sea:SeAg_B1183
ko:K03834	sea:SeAg_B1184
ko:K00697	sea:SeAg_B1193
ko:K02403	sea:SeAg_B1196
ko:K02402	sea:SeAg_B1197
ko:K02556	sea:SeAg_B1198
ko:K02557	sea:SeAg_B1199
ko:K03407	sea:SeAg_B1200
ko:K03408	sea:SeAg_B1201
ko:K03412	sea:SeAg_B1205
ko:K03413	sea:SeAg_B1206
ko:K03414	sea:SeAg_B1207
ko:K02400	sea:SeAg_B1209
ko:K03516	sea:SeAg_B1210
ko:K01887	sea:SeAg_B1213
ko:K09907	sea:SeAg_B1215
ko:K06201	sea:SeAg_B1216
ko:K07136	sea:SeAg_B1219
ko:K01876	sea:SeAg_B1222
ko:K08310	sea:SeAg_B1223
ko:K01159	sea:SeAg_B1225
ko:K03550	sea:SeAg_B1229
ko:K03551	sea:SeAg_B1230
ko:K09816	sea:SeAg_B1231
ko:K09817	sea:SeAg_B1232
ko:K02227	sea:SeAg_B2156
ko:K04031	sea:SeAg_B2178
ko:K04029	sea:SeAg_B2179
ko:K09802	sea:SeAg_B2182
ko:K07258	sea:SeAg_B2185
ko:K08354	sea:SeAg_B2186
ko:K01141	sea:SeAg_B2191
ko:K00765	sea:SeAg_B2196
ko:K00013	sea:SeAg_B2197
ko:K00817	sea:SeAg_B2198
ko:K02501	sea:SeAg_B2200
ko:K01814	sea:SeAg_B2201
ko:K02500	sea:SeAg_B2202
ko:K01881	sea:SeAg_B0283
ko:K06080	sea:SeAg_B0285
ko:K02073	sea:SeAg_B0286
ko:K02072	sea:SeAg_B0287
ko:K02071	sea:SeAg_B0288
ko:K08307	sea:SeAg_B0304
ko:K03469	sea:SeAg_B0307
ko:K02342	sea:SeAg_B0308
ko:K09815	sea:SeAg_B1233
ko:K02560	sea:SeAg_B1235
ko:K00873	sea:SeAg_B1236
ko:K00036	sea:SeAg_B1238
ko:K01690	sea:SeAg_B1239
ko:K08289	sea:SeAg_B1241
ko:K09918	sea:SeAg_B1242
ko:K01354	sea:SeAg_B1245
ko:K10857	sea:SeAg_B1246
ko:K02345	sea:SeAg_B1248
ko:K07156	sea:SeAg_B1249
ko:K07313	sea:SeAg_B1278
ko:K03808	sea:SeAg_B1283
ko:K03607	sea:SeAg_B1285
ko:K00012	sea:SeAg_B2205
ko:K00033	sea:SeAg_B2206
ko:K04764	sea:SeAg_B1834
ko:K01889	sea:SeAg_B1836
ko:K02887	sea:SeAg_B1837
ko:K02916	sea:SeAg_B1838
ko:K02520	sea:SeAg_B1839
ko:K01868	sea:SeAg_B1840
ko:K03598	sea:SeAg_B2748
ko:K03597	sea:SeAg_B2749
ko:K03088	sea:SeAg_B2750
ko:K00278	sea:SeAg_B2751
ko:K05590	sea:SeAg_B2753
ko:K03648	sea:SeAg_B2757
ko:K03214	sea:SeAg_B2758
ko:K03672	sea:SeAg_B2759
ko:K09181	sea:SeAg_B2761
ko:K00998	sea:SeAg_B2762
ko:K05811	sea:SeAg_B2763
ko:K03761	sea:SeAg_B2764
ko:K03695	sea:SeAg_B2772
ko:K05810	sea:SeAg_B2773
ko:K06180	sea:SeAg_B2774
ko:K05807	sea:SeAg_B2775
ko:K05809	sea:SeAg_B2776
ko:K00111	sea:SeAg_B3727
ko:K00005	sea:SeAg_B3730
ko:K01687	sea:SeAg_B3732
ko:K00688	sea:SeAg_B3735
ko:K00975	sea:SeAg_B3737
ko:K02438	sea:SeAg_B3738
ko:K00700	sea:SeAg_B3739
ko:K00133	sea:SeAg_B3740
ko:K00851	sea:SeAg_B3742
ko:K06145	sea:SeAg_B3743
ko:K06911	sea:SeAg_B3744
ko:K03825	sea:SeAg_B3747
ko:K09936	sea:SeAg_B3751
ko:K07048	sea:SeAg_B3752
ko:K00681	sea:SeAg_B3753
ko:K01126	sea:SeAg_B3755
ko:K05816	sea:SeAg_B3756
ko:K05815	sea:SeAg_B3757
ko:K05814	sea:SeAg_B3758
ko:K05813	sea:SeAg_B3759
ko:K01996	sea:SeAg_B3762
ko:K01995	sea:SeAg_B3763
ko:K01998	sea:SeAg_B3764
ko:K01997	sea:SeAg_B3765
ko:K01999	sea:SeAg_B3766
ko:K01999	sea:SeAg_B3769
ko:K03089	sea:SeAg_B3770
ko:K09811	sea:SeAg_B3771
ko:K09812	sea:SeAg_B3772
ko:K08316	sea:SeAg_B3774
ko:K08993	sea:SeAg_B3775
ko:K09125	sea:SeAg_B3781
ko:K00140	sea:SeAg_B4703
ko:K03335	sea:SeAg_B4706
ko:K03338	sea:SeAg_B4711
ko:K03336	sea:SeAg_B4714
ko:K09889	sea:SeAg_B4719
ko:K03592	sea:SeAg_B4720
ko:K01465	sea:SeAg_B4727
ko:K04068	sea:SeAg_B4733
ko:K01226	sea:SeAg_B4736
ko:K03485	sea:SeAg_B4739
ko:K01531	sea:SeAg_B4740
ko:K09022	sea:SeAg_B4742
ko:K00610	sea:SeAg_B4743
ko:K00611	sea:SeAg_B4748
ko:K00926	sea:SeAg_B4750
ko:K01478	sea:SeAg_B4751
ko:K00611	sea:SeAg_B4754
ko:K09893	sea:SeAg_B4755
ko:K06169	sea:SeAg_B4756
ko:K03828	sea:SeAg_B4759
ko:K01873	sea:SeAg_B4761
ko:K02339	sea:SeAg_B4762
ko:K01255	sea:SeAg_B4763
ko:K07091	sea:SeAg_B4764
ko:K00656	sea:SeAg_B0884
ko:K04069	sea:SeAg_B0885
ko:K03750	sea:SeAg_B0887
ko:K07258	sea:SeAg_B0899
ko:K08160	sea:SeAg_B0902
ko:K07085	sea:SeAg_B0907
ko:K03674	sea:SeAg_B0909
ko:K10678	sea:SeAg_B0911
ko:K05844	sea:SeAg_B0912
ko:K11073	sea:SeAg_B0914
ko:K11076	sea:SeAg_B0915
ko:K11075	sea:SeAg_B0916
ko:K11074	sea:SeAg_B0917
ko:K03212	sea:SeAg_B0919
ko:K03475	sea:SeAg_B0921
ko:K09996	sea:SeAg_B0924
ko:K09998	sea:SeAg_B0925
ko:K09999	sea:SeAg_B0926
ko:K07283	sea:SeAg_B1844
ko:K03781	sea:SeAg_B1853
ko:K04064	sea:SeAg_B1860
ko:K05526	sea:SeAg_B1866
ko:K00615	sea:SeAg_B3238
ko:K07387	sea:SeAg_B3239
ko:K01480	sea:SeAg_B3240
ko:K00789	sea:SeAg_B3252
ko:K02742	sea:SeAg_B3255
ko:K09761	sea:SeAg_B3257
ko:K01920	sea:SeAg_B3258
ko:K07735	sea:SeAg_B3259
ko:K07447	sea:SeAg_B3260
ko:K02669	sea:SeAg_B3262
ko:K06997	sea:SeAg_B3263
ko:K02221	sea:SeAg_B3264
ko:K09131	sea:SeAg_B3265
ko:K09923	sea:SeAg_B3272
ko:K03439	sea:SeAg_B3273
ko:K03575	sea:SeAg_B3274
ko:K08306	sea:SeAg_B3276
ko:K03289	sea:SeAg_B3277
ko:K07150	sea:SeAg_B3280
ko:K06995	sea:SeAg_B3298
ko:K09471	sea:SeAg_B3299
ko:K03690	sea:SeAg_B4202
ko:K01484	sea:SeAg_B1867
ko:K06447	sea:SeAg_B1868
ko:K00673	sea:SeAg_B1869
ko:K00840	sea:SeAg_B1871
ko:K01142	sea:SeAg_B1873
ko:K08320	sea:SeAg_B1874
ko:K03169	sea:SeAg_B1877
ko:K01008	sea:SeAg_B1878
ko:K04773	sea:SeAg_B1880
ko:K02774	sea:SeAg_B4009
ko:K02773	sea:SeAg_B4010
ko:K07784	sea:SeAg_B4013
ko:K07783	sea:SeAg_B4014
ko:K02429	sea:SeAg_B4018
ko:K00852	sea:SeAg_B4019
ko:K01653	sea:SeAg_B4021
ko:K03497	sea:SeAg_A0043
ko:K05798	sea:SeAg_B0131
ko:K01653	sea:SeAg_B0133
ko:K03435	sea:SeAg_B0135
ko:K03925	sea:SeAg_B0136
ko:K03438	sea:SeAg_B0137
ko:K03586	sea:SeAg_B0138
ko:K01928	sea:SeAg_B0140
ko:K01929	sea:SeAg_B0141
ko:K01000	sea:SeAg_B0142
ko:K01925	sea:SeAg_B0143
ko:K03588	sea:SeAg_B0144
ko:K02563	sea:SeAg_B0145
ko:K01924	sea:SeAg_B0146
ko:K01921	sea:SeAg_B0147
ko:K03589	sea:SeAg_B0148
ko:K03590	sea:SeAg_B0149
ko:K03531	sea:SeAg_B0150
ko:K02535	sea:SeAg_B0151
ko:K03070	sea:SeAg_B0153
ko:K09862	sea:SeAg_B0157
ko:K00859	sea:SeAg_B0160
ko:K00364	sea:SeAg_B0161
ko:K00767	sea:SeAg_B0165
ko:K03806	sea:SeAg_B0166
ko:K03807	sea:SeAg_B0167
ko:K00163	sea:SeAg_B0174
ko:K00627	sea:SeAg_B0175
ko:K00382	sea:SeAg_B0176
ko:K01682	sea:SeAg_B0181
ko:K09910	sea:SeAg_B0191
ko:K06950	sea:SeAg_B1126
ko:K07458	sea:SeAg_B1128
ko:K09781	sea:SeAg_B1130
ko:K07026	sea:SeAg_B1133
ko:K02421	sea:SeAg_B1138
ko:K02419	sea:SeAg_B1140
ko:K02418	sea:SeAg_B1141
ko:K02416	sea:SeAg_B1143
ko:K02415	sea:SeAg_B1144
ko:K02413	sea:SeAg_B1146
ko:K00957	sea:SeAg_B3060
ko:K00390	sea:SeAg_B3076
ko:K00381	sea:SeAg_B3077
ko:K00380	sea:SeAg_B3078
ko:K01737	sea:SeAg_B3079
ko:K06897	sea:SeAg_B3081
ko:K01689	sea:SeAg_B3085
ko:K01937	sea:SeAg_B3086
ko:K03215	sea:SeAg_B3098
ko:K07678	sea:SeAg_B3099
ko:K00865	sea:SeAg_B3100
ko:K01706	sea:SeAg_B3101
ko:K02410	sea:SeAg_B1149
ko:K02408	sea:SeAg_B1152
ko:K07112	sea:SeAg_B1155
ko:K02422	sea:SeAg_B1159
ko:K02407	sea:SeAg_B1161
ko:K02406	sea:SeAg_B1162
ko:K02405	sea:SeAg_B1164
ko:K02424	sea:SeAg_B1166
ko:K10009	sea:SeAg_B1168
ko:K10010	sea:SeAg_B1169
ko:K01241	sea:SeAg_B2112
ko:K01551	sea:SeAg_B2121
ko:K00768	sea:SeAg_B2138
ko:K02233	sea:SeAg_B2139
ko:K02231	sea:SeAg_B2140
ko:K02232	sea:SeAg_B2141
ko:K02006	sea:SeAg_B2142
ko:K02008	sea:SeAg_B2143
ko:K02773	sea:SeAg_B3445
ko:K02782	sea:SeAg_B2953
ko:K02783	sea:SeAg_B2953
ko:K02759	sea:SeAg_B1857
ko:K02566	sea:SeAg_B0728
ko:K08161	sea:SeAg_B0418
ko:K08167	sea:SeAg_B1587
ko:K07701	sea:SeAg_B4567
ko:K03228	sea:SeAg_B1753
ko:K07642	sea:SeAg_B2260
ko:K02810	sea:SeAg_B2732
ko:K03569	sea:SeAg_B3565
ko:K00027	sea:SeAg_B1599
ko:K00567	sea:SeAg_B1492
ko:K03477	sea:SeAg_B4659
ko:K06958	sea:SeAg_B3513
ko:K02619	sea:SeAg_B1988
ko:K03316	sea:SeAg_B4529
ko:K00832	sea:SeAg_B4505
ko:K11604	sea:SeAg_B2983
ko:K01840	sea:SeAg_B2229
ko:K01840	sea:SeAg_B2208
ko:K01874	sea:SeAg_B2300
ko:K07090	sea:SeAg_B2522
ko:K07090	sea:SeAg_B4251
ko:K01895	sea:SeAg_B4535
ko:K06203	sea:SeAg_B2573
ko:K00247	sea:SeAg_B4618
ko:K06149	sea:SeAg_B3794
ko:K07703	sea:SeAg_B4566
ko:K00609	sea:SeAg_B4744
ko:K01834	sea:SeAg_B0808
ko:K06212	sea:SeAg_B0979
ko:K07792	sea:SeAg_B4565
ko:K03574	sea:SeAg_B0154
ko:K11754	sea:SeAg_B2507
ko:K01625	sea:SeAg_B1240
ko:K03566	sea:SeAg_B3127
ko:K07637	sea:SeAg_B1954
ko:K07660	sea:SeAg_B1953
ko:K05802	sea:SeAg_B0519
ko:K03772	sea:SeAg_B3650
ko:K00245	sea:SeAg_B4620
ko:K03718	sea:SeAg_B4103
ko:K01644	sea:SeAg_B0067
ko:K03561	sea:SeAg_B3333
ko:K00868	sea:SeAg_B1724
ko:K02017	sea:SeAg_B0819
ko:K01466	sea:SeAg_B0569
ko:K00073	sea:SeAg_B0574
ko:K00564	sea:SeAg_B4877
ko:K02529	sea:SeAg_B4113
ko:K02529	sea:SeAg_B2337
ko:K02529	sea:SeAg_B3876
ko:K02529	sea:SeAg_B3160
ko:K02529	sea:SeAg_B1610
ko:K03466	sea:SeAg_B0965
ko:K07772	sea:SeAg_B4052
ko:K07657	sea:SeAg_B0435
ko:K00868	sea:SeAg_B2580
ko:K07647	sea:SeAg_B4054
ko:K00090	sea:SeAg_B3860
ko:K01911	sea:SeAg_B2441
ko:K07687	sea:SeAg_B2406
ko:K07677	sea:SeAg_B2407
ko:K07235	sea:SeAg_B3648
ko:K02116	sea:SeAg_B4097
ko:K01525	sea:SeAg_B0097
ko:K07659	sea:SeAg_B3703
ko:K00113	sea:SeAg_B2422
ko:K12265	sea:SeAg_B2961
ko:K07702	sea:SeAg_B0667
ko:K07702	sea:SeAg_B0059
ko:K12147	sea:SeAg_B2036
ko:K12148	sea:SeAg_B2027
ko:K12149	sea:SeAg_B2026
ko:K07304	sea:SeAg_B4687
ko:K00523	sea:SeAg_B2218
ko:K07804	sea:SeAg_B1936
ko:K07805	sea:SeAg_B1939
ko:K01079	sea:SeAg_B4902
ko:K02024	sea:SeAg_B4488
ko:K00632	sea:SeAg_B2529
ko:K12289	sea:SeAg_B3690
ko:K03279	sea:SeAg_B3935
ko:K09810	sea:SeAg_B1966
ko:K12266	sea:SeAg_B2959
ko:K11991	sea:SeAg_B2730
ko:K00703	sea:SeAg_B3736
ko:K12264	sea:SeAg_B2960
ko:K12340	sea:SeAg_B3367
ko:K07666	sea:SeAg_B3358
ko:K06282	sea:SeAg_B3323
ko:K03533	sea:SeAg_B4049
ko:K11085	sea:SeAg_B0990
ko:K07307	sea:SeAg_B0970
ko:K08325	sea:SeAg_B3339
ko:K00951	sea:SeAg_B3097
ko:K11892	sea:SeAg_B1103
ko:K11911	sea:SeAg_B1094
ko:K11911	sea:SeAg_B1098
ko:K01628	sea:SeAg_B3117
ko:K01096	sea:SeAg_B1439
ko:K01784	sea:SeAg_B0812
ko:K00575	sea:SeAg_B1204
ko:K11941	sea:SeAg_B2040
ko:K00971	sea:SeAg_B2230
ko:K01485	sea:SeAg_B3525
ko:K12152	sea:SeAg_B1949
ko:K03810	sea:SeAg_B2019
ko:K07251	sea:SeAg_B1977
ko:K01835	sea:SeAg_B0745
ko:K11742	sea:SeAg_B1690
ko:K06605	sea:SeAg_B4718
ko:K12262	sea:SeAg_B1517
ko:K04763	sea:SeAg_B3200
ko:K03733	sea:SeAg_B4177
ko:K03686	sea:SeAg_B0014
ko:K03632	sea:SeAg_B1000
ko:K03804	sea:SeAg_B0999
ko:K03329	sea:SeAg_B0399
ko:K04047	sea:SeAg_B0868
ko:K11258	sea:SeAg_B4127
ko:K02784	sea:SeAg_B2576
ko:K01652	sea:SeAg_B0132
ko:K00970	sea:SeAg_B0218
ko:K00821	sea:SeAg_B3665
ko:K01890	sea:SeAg_B1835
ko:K01673	sea:SeAg_B0203
ko:K06518	sea:SeAg_B2327
ko:K05876	sea:SeAg_B1531
ko:K03475	sea:SeAg_B2483
ko:K02100	sea:SeAg_B3166
ko:K01023	sea:SeAg_B3373
ko:K03633	sea:SeAg_B0998
ko:K03075	sea:SeAg_B3482
ko:K02774	sea:SeAg_B3446
ko:K02760	sea:SeAg_B1859
ko:K01652	sea:SeAg_B4126
ko:K01652	sea:SeAg_B4022
ko:K02818	sea:SeAg_B4737
ko:K02819	sea:SeAg_B4737
ko:K08682	sea:SeAg_B0442
ko:K05835	sea:SeAg_B4188
ko:K02822	sea:SeAg_B4662
ko:K02798	sea:SeAg_B3901
ko:K02799	sea:SeAg_B3901
ko:K02800	sea:SeAg_B3901
ko:K02806	sea:SeAg_B3512
ko:K07404	sea:SeAg_B0821
ko:K03222	sea:SeAg_B1764
ko:K07684	sea:SeAg_B1373
ko:K05596	sea:SeAg_B3225
ko:K07000	sea:SeAg_B3363
ko:K03651	sea:SeAg_B3364
ko:K09920	sea:SeAg_B3365
ko:K07238	sea:SeAg_B3371
ko:K03673	sea:SeAg_B3374
ko:K03611	sea:SeAg_B3375
ko:K02858	sea:SeAg_B3378
ko:K00982	sea:SeAg_B3387
ko:K07184	sea:SeAg_B3389
ko:K06153	sea:SeAg_B3391
ko:K01633	sea:SeAg_B3392
ko:K08591	sea:SeAg_B3393
ko:K01409	sea:SeAg_B3394
ko:K02970	sea:SeAg_B3395
ko:K02316	sea:SeAg_B3396
ko:K03086	sea:SeAg_B3397
ko:K03776	sea:SeAg_B3403
ko:K07043	sea:SeAg_B3408
ko:K07862	sea:SeAg_B3413
ko:K07393	sea:SeAg_B3421
ko:K06911	sea:SeAg_B3424
ko:K01783	sea:SeAg_B4326
ko:K01803	sea:SeAg_B4327
ko:K00528	sea:SeAg_B4330
ko:K02446	sea:SeAg_B4331
ko:K00864	sea:SeAg_B4332
ko:K02440	sea:SeAg_B4333
ko:K09892	sea:SeAg_B4334
ko:K02553	sea:SeAg_B4335
ko:K02548	sea:SeAg_B4336
ko:K03667	sea:SeAg_B4337
ko:K01419	sea:SeAg_B4338
ko:K03591	sea:SeAg_B4339
ko:K04066	sea:SeAg_B4341
ko:K02909	sea:SeAg_B4342
ko:K03230	sea:SeAg_B3018
ko:K03230	sea:SeAg_B1759
ko:K00757	sea:SeAg_B4199
ko:K03764	sea:SeAg_B4346
ko:K00005	sea:SeAg_B4356
ko:K01595	sea:SeAg_B4360
ko:K01438	sea:SeAg_B4361
ko:K00145	sea:SeAg_B4362
ko:K00930	sea:SeAg_B4363
ko:K01755	sea:SeAg_B4364
ko:K04761	sea:SeAg_B4366
ko:K00322	sea:SeAg_B4367
ko:K01776	sea:SeAg_B4373
ko:K00075	sea:SeAg_B4380
ko:K00867	sea:SeAg_B4382
ko:K04752	sea:SeAg_B0503
ko:K03320	sea:SeAg_B0504
ko:K10805	sea:SeAg_B0505
ko:K09914	sea:SeAg_B0506
ko:K07443	sea:SeAg_B0507
ko:K02909	sea:SeAg_B0510
ko:K02919	sea:SeAg_B0511
ko:K05839	sea:SeAg_B0514
ko:K03577	sea:SeAg_B0518
ko:K04067	sea:SeAg_B0522
ko:K09790	sea:SeAg_B0526
ko:K00759	sea:SeAg_B0527
ko:K02343	sea:SeAg_B0528
ko:K09747	sea:SeAg_B0530
ko:K06187	sea:SeAg_B0531
ko:K04079	sea:SeAg_B0532
ko:K00939	sea:SeAg_B0533
ko:K01772	sea:SeAg_B0535
ko:K00892	sea:SeAg_B0537
ko:K03455	sea:SeAg_B0538
ko:K08223	sea:SeAg_B0539
ko:K09973	sea:SeAg_B0543
ko:K07340	sea:SeAg_B0547
ko:K05838	sea:SeAg_B0551
ko:K02003	sea:SeAg_B0553
ko:K02073	sea:SeAg_B0557
ko:K02071	sea:SeAg_B0558
ko:K02072	sea:SeAg_B0559
ko:K06917	sea:SeAg_B0560
ko:K01483	sea:SeAg_B0562
ko:K01608	sea:SeAg_B0564
ko:K01816	sea:SeAg_B0565
ko:K05591	sea:SeAg_B1498
ko:K03737	sea:SeAg_B1505
ko:K03778	sea:SeAg_B1509
ko:K09978	sea:SeAg_B1512
ko:K01118	sea:SeAg_B1514
ko:K03578	sea:SeAg_B1515
ko:K03415	sea:SeAg_B2450
ko:K00343	sea:SeAg_B2455
ko:K00342	sea:SeAg_B2456
ko:K00341	sea:SeAg_B2457
ko:K00340	sea:SeAg_B2458
ko:K00339	sea:SeAg_B2459
ko:K00338	sea:SeAg_B2460
ko:K00337	sea:SeAg_B2461
ko:K00336	sea:SeAg_B2462
ko:K00335	sea:SeAg_B2463
ko:K00334	sea:SeAg_B2464
ko:K00331	sea:SeAg_B2466
ko:K00330	sea:SeAg_B2467
ko:K09161	sea:SeAg_B2475
ko:K09899	sea:SeAg_B2476
ko:K00925	sea:SeAg_B2478
ko:K00615	sea:SeAg_B2481
ko:K00615	sea:SeAg_B2482
ko:K02822	sea:SeAg_B2484
ko:K02821	sea:SeAg_B2485
ko:K07095	sea:SeAg_B2488
ko:K07071	sea:SeAg_B2491
ko:K10017	sea:SeAg_B2492
ko:K10015	sea:SeAg_B2493
ko:K10016	sea:SeAg_B2494
ko:K10014	sea:SeAg_B2495
ko:K07806	sea:SeAg_B2433
ko:K07774	sea:SeAg_B2897
ko:K02507	sea:SeAg_B3687
ko:K03841	sea:SeAg_B4695
ko:K08178	sea:SeAg_B0391
ko:K07316	sea:SeAg_B0392
ko:K00425	sea:SeAg_B0394
ko:K00426	sea:SeAg_B0395
ko:K02014	sea:SeAg_B0398
ko:K02688	sea:SeAg_B0401
ko:K01908	sea:SeAg_B0405
ko:K01698	sea:SeAg_B0406
ko:K01921	sea:SeAg_B0416
ko:K00286	sea:SeAg_B0422
ko:K09768	sea:SeAg_B0424
ko:K00891	sea:SeAg_B0425
ko:K09913	sea:SeAg_B0428
ko:K03554	sea:SeAg_B0429
ko:K00847	sea:SeAg_B0430
ko:K03546	sea:SeAg_B0432
ko:K03547	sea:SeAg_B0433
ko:K03311	sea:SeAg_B0438
ko:K07568	sea:SeAg_B0443
ko:K00773	sea:SeAg_B0444
ko:K00919	sea:SeAg_B1359
ko:K02494	sea:SeAg_B1360
ko:K02492	sea:SeAg_B1362
ko:K02835	sea:SeAg_B1363
ko:K02493	sea:SeAg_B1364
ko:K01627	sea:SeAg_B1367
ko:K07300	sea:SeAg_B1368
ko:K06197	sea:SeAg_B1369
ko:K06039	sea:SeAg_B1370
ko:K07673	sea:SeAg_B1374
ko:K02575	sea:SeAg_B1375
ko:K00370	sea:SeAg_B1376
ko:K00371	sea:SeAg_B1377
ko:K00373	sea:SeAg_B1378
ko:K00374	sea:SeAg_B1379
ko:K01433	sea:SeAg_B1389
ko:K09858	sea:SeAg_B1390
ko:K07001	sea:SeAg_B1391
ko:K00963	sea:SeAg_B1393
ko:K03746	sea:SeAg_B1394
ko:K00857	sea:SeAg_B1395
ko:K06131	sea:SeAg_B1406
ko:K09780	sea:SeAg_B1408
ko:K03832	sea:SeAg_B1409
ko:K10806	sea:SeAg_B1410
ko:K06190	sea:SeAg_B1411
ko:K06940	sea:SeAg_B1413
ko:K07275	sea:SeAg_B1414
ko:K07217	sea:SeAg_B1415
ko:K01695	sea:SeAg_B1419
ko:K01696	sea:SeAg_B1420
ko:K10541	sea:SeAg_B2334
ko:K10542	sea:SeAg_B2335
ko:K10540	sea:SeAg_B2336
ko:K07148	sea:SeAg_B2338
ko:K01495	sea:SeAg_B2339
ko:K01752	sea:SeAg_B2342
ko:K07783	sea:SeAg_B2344
ko:K01151	sea:SeAg_B2351
ko:K00882	sea:SeAg_B2353
ko:K03291	sea:SeAg_B2356
ko:K06940	sea:SeAg_B2359
ko:K07552	sea:SeAg_B2370
ko:K02897	sea:SeAg_B2373
ko:K06899	sea:SeAg_B2375
ko:K09904	sea:SeAg_B2376
ko:K07014	sea:SeAg_B2377
ko:K07685	sea:SeAg_B2381
ko:K02200	sea:SeAg_B2382
ko:K02199	sea:SeAg_B2383
ko:K02198	sea:SeAg_B2384
ko:K02197	sea:SeAg_B2385
ko:K02195	sea:SeAg_B2387
ko:K02194	sea:SeAg_B2388
ko:K02193	sea:SeAg_B2389
ko:K02569	sea:SeAg_B2390
ko:K02568	sea:SeAg_B2391
ko:K08191	sea:SeAg_B3306
ko:K01686	sea:SeAg_B3307
ko:K01812	sea:SeAg_B3309
ko:K02020	sea:SeAg_B3314
ko:K02016	sea:SeAg_B3315
ko:K04653	sea:SeAg_B3316
ko:K06281	sea:SeAg_B3320
ko:K03559	sea:SeAg_B3332
ko:K00655	sea:SeAg_B3354
ko:K07645	sea:SeAg_B3359
ko:K03923	sea:SeAg_B3360
ko:K02380	sea:SeAg_B4269
ko:K00127	sea:SeAg_B4270
ko:K02379	sea:SeAg_B4274
ko:K04079	sea:SeAg_B4279
ko:K00813	sea:SeAg_B1004
ko:K07309	sea:SeAg_B1673
ko:K07310	sea:SeAg_B1674
ko:K07639	sea:SeAg_B1703
ko:K01582	sea:SeAg_B0275
ko:K08722	sea:SeAg_B2472
ko:K01581	sea:SeAg_B3278
ko:K01581	sea:SeAg_B0748
ko:K07312	sea:SeAg_B1676
ko:K05796	sea:SeAg_B2963
ko:K08315	sea:SeAg_B2966
ko:K04653	sea:SeAg_B2978
ko:K04654	sea:SeAg_B2979
ko:K04655	sea:SeAg_B2980
ko:K00427	sea:SeAg_B3909
ko:K00101	sea:SeAg_B3911
ko:K03216	sea:SeAg_B3912
ko:K06145	sea:SeAg_B3914
ko:K00640	sea:SeAg_B3917
ko:K00057	sea:SeAg_B3918
ko:K03071	sea:SeAg_B3919
ko:K03719	sea:SeAg_B0964
ko:K01733	sea:SeAg_B0004
ko:K09861	sea:SeAg_B0005
ko:K03310	sea:SeAg_B0006
ko:K00616	sea:SeAg_B0007
ko:K03831	sea:SeAg_B0008
ko:K07034	sea:SeAg_B0009
ko:K04043	sea:SeAg_B0013
ko:K07347	sea:SeAg_B0026
ko:K06871	sea:SeAg_B0041
ko:K03313	sea:SeAg_B0044
ko:K03717	sea:SeAg_B0045
ko:K01811	sea:SeAg_B0046
ko:K02968	sea:SeAg_B0048
ko:K01870	sea:SeAg_B0051
ko:K00872	sea:SeAg_B0003
ko:K09997	sea:SeAg_B0927
ko:K10000	sea:SeAg_B0928
ko:K11066	sea:SeAg_B0931
ko:K01620	sea:SeAg_B0934
ko:K00156	sea:SeAg_B0935
ko:K09824	sea:SeAg_B0941
ko:K03704	sea:SeAg_B0945
ko:K06891	sea:SeAg_B0946
ko:K03694	sea:SeAg_B0947
ko:K06911	sea:SeAg_B0957
ko:K02518	sea:SeAg_B0959
ko:K00684	sea:SeAg_B0960
ko:K00384	sea:SeAg_B0963
ko:K03634	sea:SeAg_B0966
ko:K07478	sea:SeAg_B0967
ko:K01875	sea:SeAg_B0968
ko:K07308	sea:SeAg_B0971
ko:K04069	sea:SeAg_B0975
ko:K00656	sea:SeAg_B0978
ko:K09136	sea:SeAg_B0980
ko:K00831	sea:SeAg_B0982
ko:K00800	sea:SeAg_B0983
ko:K07387	sea:SeAg_B0985
ko:K00945	sea:SeAg_B0986
ko:K02945	sea:SeAg_B0987
ko:K09712	sea:SeAg_B1903
ko:K00984	sea:SeAg_B1916
ko:K02032	sea:SeAg_B1921
ko:K02031	sea:SeAg_B1922
ko:K02034	sea:SeAg_B1923
ko:K02033	sea:SeAg_B1924
ko:K02035	sea:SeAg_B1925
ko:K04080	sea:SeAg_B1930
ko:K06181	sea:SeAg_B1947
ko:K00566	sea:SeAg_B1950
ko:K07153	sea:SeAg_B1951
ko:K01756	sea:SeAg_B1952
ko:K01258	sea:SeAg_B1957
ko:K11071	sea:SeAg_B1959
ko:K11070	sea:SeAg_B1961
ko:K11069	sea:SeAg_B1962
ko:K06223	sea:SeAg_B2876
ko:K09824	sea:SeAg_B2892
ko:K07241	sea:SeAg_B2895
ko:K07649	sea:SeAg_B2896
ko:K07795	sea:SeAg_B2898
ko:K00135	sea:SeAg_B2904
ko:K00375	sea:SeAg_B2919
ko:K06191	sea:SeAg_B2922
ko:K03647	sea:SeAg_B2923
