ko:K01006	lmoa:LMOATCC19117_1885
ko:K00873	lmoa:LMOATCC19117_1581
ko:K00850	lmoa:LMOATCC19117_1582
ko:K01962	lmoa:LMOATCC19117_1583
ko:K01963	lmoa:LMOATCC19117_1584
ko:K02337	lmoa:LMOATCC19117_1585
ko:K00259	lmoa:LMOATCC19117_1590
ko:K00925	lmoa:LMOATCC19117_1592
ko:K11065	lmoa:LMOATCC19117_1594
ko:K01551	lmoa:LMOATCC19117_2262
ko:K01534	lmoa:LMOATCC19117_2270
ko:K00014	lmoa:LMOATCC19117_2299
ko:K00931	lmoa:LMOATCC19117_1269
ko:K03545	lmoa:LMOATCC19117_1276
ko:K03544	lmoa:LMOATCC19117_1277
ko:K03100	lmoa:LMOATCC19117_1278
ko:K03100	lmoa:LMOATCC19117_1279
ko:K03100	lmoa:LMOATCC19117_1280
ko:K14540	lmoa:LMOATCC19117_1281
ko:K03470	lmoa:LMOATCC19117_1282
ko:K04096	lmoa:LMOATCC19117_1283
ko:K03168	lmoa:LMOATCC19117_1284
ko:K04094	lmoa:LMOATCC19117_1285
ko:K03733	lmoa:LMOATCC19117_1286
ko:K01419	lmoa:LMOATCC19117_1287
ko:K03667	lmoa:LMOATCC19117_1288
ko:K03706	lmoa:LMOATCC19117_1289
ko:K07107	lmoa:LMOATCC19117_1290
ko:K08591	lmoa:LMOATCC19117_1293
ko:K02622	lmoa:LMOATCC19117_1295
ko:K02621	lmoa:LMOATCC19117_1296
ko:K07173	lmoa:LMOATCC19117_1297
ko:K01126	lmoa:LMOATCC19117_1300
ko:K00111	lmoa:LMOATCC19117_1301
ko:K00791	lmoa:LMOATCC19117_1302
ko:K03666	lmoa:LMOATCC19117_1303
ko:K03665	lmoa:LMOATCC19117_1304
ko:K01915	lmoa:LMOATCC19117_1307
ko:K03893	lmoa:LMOATCC19117_1308
ko:K01356	lmoa:LMOATCC19117_1310
ko:K00615	lmoa:LMOATCC19117_1313
ko:K02346	lmoa:LMOATCC19117_1987
ko:K07124	lmoa:LMOATCC19117_1988
ko:K00036	lmoa:LMOATCC19117_1990
ko:K01687	lmoa:LMOATCC19117_1995
ko:K01652	lmoa:LMOATCC19117_1996
ko:K01653	lmoa:LMOATCC19117_1997
ko:K00053	lmoa:LMOATCC19117_1998
ko:K01649	lmoa:LMOATCC19117_1999
ko:K00052	lmoa:LMOATCC19117_2000
ko:K01703	lmoa:LMOATCC19117_2001
ko:K01704	lmoa:LMOATCC19117_2002
ko:K01754	lmoa:LMOATCC19117_2003
ko:K01575	lmoa:LMOATCC19117_2004
ko:K00756	lmoa:LMOATCC19117_2005
ko:K02529	lmoa:LMOATCC19117_2006
ko:K05346	lmoa:LMOATCC19117_2008
ko:K01652	lmoa:LMOATCC19117_2018
ko:K07718	lmoa:LMOATCC19117_2023
ko:K02358	lmoa:LMOATCC19117_2662
ko:K02355	lmoa:LMOATCC19117_2663
ko:K02992	lmoa:LMOATCC19117_2664
ko:K02950	lmoa:LMOATCC19117_2665
ko:K01129	lmoa:LMOATCC19117_2666
ko:K01783	lmoa:LMOATCC19117_2669
ko:K00615	lmoa:LMOATCC19117_2670
ko:K01783	lmoa:LMOATCC19117_2671
ko:K01808	lmoa:LMOATCC19117_2672
ko:K02774	lmoa:LMOATCC19117_2676
ko:K02773	lmoa:LMOATCC19117_2677
ko:K01808	lmoa:LMOATCC19117_2684
ko:K07667	lmoa:LMOATCC19117_2688
ko:K07646	lmoa:LMOATCC19117_2689
ko:K01548	lmoa:LMOATCC19117_2690
ko:K01547	lmoa:LMOATCC19117_2691
ko:K01546	lmoa:LMOATCC19117_2692
ko:K02760	lmoa:LMOATCC19117_2693
ko:K02761	lmoa:LMOATCC19117_2694
ko:K03324	lmoa:LMOATCC19117_0846
ko:K03737	lmoa:LMOATCC19117_0847
ko:K04041	lmoa:LMOATCC19117_0848
ko:K07088	lmoa:LMOATCC19117_0849
ko:K13256	lmoa:LMOATCC19117_0854
ko:K01921	lmoa:LMOATCC19117_0873
ko:K01929	lmoa:LMOATCC19117_0874
ko:K02529	lmoa:LMOATCC19117_0876
ko:K05592	lmoa:LMOATCC19117_0885
ko:K04773	lmoa:LMOATCC19117_1596
ko:K03744	lmoa:LMOATCC19117_0983
ko:K03799	lmoa:LMOATCC19117_0984
ko:K00858	lmoa:LMOATCC19117_0989
ko:K06180	lmoa:LMOATCC19117_0990
ko:K00208	lmoa:LMOATCC19117_0991
ko:K03740	lmoa:LMOATCC19117_0992
ko:K14188	lmoa:LMOATCC19117_0993
ko:K03739	lmoa:LMOATCC19117_0994
ko:K03367	lmoa:LMOATCC19117_0995
ko:K01807	lmoa:LMOATCC19117_0997
ko:K00826	lmoa:LMOATCC19117_1000
ko:K00432	lmoa:LMOATCC19117_1005
ko:K02837	lmoa:LMOATCC19117_1010
ko:K14205	lmoa:LMOATCC19117_1710
ko:K03790	lmoa:LMOATCC19117_1713
ko:K07058	lmoa:LMOATCC19117_1722
ko:K01265	lmoa:LMOATCC19117_1725
ko:K03839	lmoa:LMOATCC19117_1726
ko:K03569	lmoa:LMOATCC19117_1729
ko:K02759	lmoa:LMOATCC19117_1734
ko:K02760	lmoa:LMOATCC19117_1735
ko:K02529	lmoa:LMOATCC19117_1742
ko:K05349	lmoa:LMOATCC19117_1744
ko:K00266	lmoa:LMOATCC19117_1748
ko:K08317	lmoa:LMOATCC19117_1752
ko:K02029	lmoa:LMOATCC19117_1755
ko:K01665	lmoa:LMOATCC19117_2377
ko:K05566	lmoa:LMOATCC19117_2387
ko:K05567	lmoa:LMOATCC19117_2388
ko:K05569	lmoa:LMOATCC19117_2390
ko:K05571	lmoa:LMOATCC19117_2392
ko:K09775	lmoa:LMOATCC19117_2394
ko:K03885	lmoa:LMOATCC19117_2399
ko:K07090	lmoa:LMOATCC19117_2413
ko:K09014	lmoa:LMOATCC19117_2418
ko:K11717	lmoa:LMOATCC19117_2420
ko:K09015	lmoa:LMOATCC19117_2421
ko:K09013	lmoa:LMOATCC19117_2422
ko:K02073	lmoa:LMOATCC19117_2424
ko:K02072	lmoa:LMOATCC19117_2425
ko:K00858	lmoa:LMOATCC19117_1597
ko:K00611	lmoa:LMOATCC19117_1598
ko:K00930	lmoa:LMOATCC19117_1600
ko:K00620	lmoa:LMOATCC19117_1601
ko:K00145	lmoa:LMOATCC19117_1602
ko:K03151	lmoa:LMOATCC19117_1603
ko:K04487	lmoa:LMOATCC19117_1604
ko:K02986	lmoa:LMOATCC19117_1607
ko:K01866	lmoa:LMOATCC19117_1608
ko:K02529	lmoa:LMOATCC19117_1609
ko:K13853	lmoa:LMOATCC19117_1610
ko:K01924	lmoa:LMOATCC19117_1616
ko:K03466	lmoa:LMOATCC19117_1617
ko:K06878	lmoa:LMOATCC19117_1618
ko:K03439	lmoa:LMOATCC19117_1627
ko:K00824	lmoa:LMOATCC19117_1631
ko:K01695	lmoa:LMOATCC19117_1639
ko:K01696	lmoa:LMOATCC19117_1640
ko:K13531	lmoa:LMOATCC19117_2305
ko:K13530	lmoa:LMOATCC19117_2306
ko:K06180	lmoa:LMOATCC19117_2307
ko:K07220	lmoa:LMOATCC19117_2311
ko:K03306	lmoa:LMOATCC19117_2312
ko:K06901	lmoa:LMOATCC19117_2317
ko:K05520	lmoa:LMOATCC19117_2319
ko:K02759	lmoa:LMOATCC19117_2321
ko:K02250	lmoa:LMOATCC19117_2332
ko:K02768	lmoa:LMOATCC19117_2334
ko:K02769	lmoa:LMOATCC19117_2334
ko:K02770	lmoa:LMOATCC19117_2334
ko:K09903	lmoa:LMOATCC19117_1320
ko:K02838	lmoa:LMOATCC19117_1321
ko:K00806	lmoa:LMOATCC19117_1322
ko:K00981	lmoa:LMOATCC19117_1323
ko:K00099	lmoa:LMOATCC19117_1324
ko:K11749	lmoa:LMOATCC19117_1325
ko:K01881	lmoa:LMOATCC19117_1326
ko:K03763	lmoa:LMOATCC19117_1327
ko:K09748	lmoa:LMOATCC19117_1328
ko:K02600	lmoa:LMOATCC19117_1329
ko:K07742	lmoa:LMOATCC19117_1330
ko:K02519	lmoa:LMOATCC19117_1332
ko:K02834	lmoa:LMOATCC19117_1334
ko:K11753	lmoa:LMOATCC19117_1336
ko:K02956	lmoa:LMOATCC19117_1337
ko:K00962	lmoa:LMOATCC19117_1338
ko:K06949	lmoa:LMOATCC19117_1339
ko:K02913	lmoa:LMOATCC19117_1342
ko:K02247	lmoa:LMOATCC19117_1350
ko:K00605	lmoa:LMOATCC19117_1355
ko:K00282	lmoa:LMOATCC19117_1356
ko:K00283	lmoa:LMOATCC19117_1357
ko:K05823	lmoa:LMOATCC19117_1034
ko:K02000	lmoa:LMOATCC19117_1036
ko:K02001	lmoa:LMOATCC19117_1037
ko:K02002	lmoa:LMOATCC19117_1038
ko:K00243	lmoa:LMOATCC19117_1041
ko:K11622	lmoa:LMOATCC19117_1042
ko:K02529	lmoa:LMOATCC19117_1052
ko:K00615	lmoa:LMOATCC19117_1054
ko:K00615	lmoa:LMOATCC19117_1055
ko:K00864	lmoa:LMOATCC19117_1056
ko:K03752	lmoa:LMOATCC19117_1060
ko:K02018	lmoa:LMOATCC19117_1062
ko:K02020	lmoa:LMOATCC19117_1063
ko:K03750	lmoa:LMOATCC19117_1064
ko:K03753	lmoa:LMOATCC19117_1065
ko:K03636	lmoa:LMOATCC19117_1067
ko:K03637	lmoa:LMOATCC19117_1068
ko:K03639	lmoa:LMOATCC19117_1069
ko:K03638	lmoa:LMOATCC19117_1070
ko:K01462	lmoa:LMOATCC19117_1073
ko:K00161	lmoa:LMOATCC19117_1074
ko:K00162	lmoa:LMOATCC19117_1075
ko:K01486	lmoa:LMOATCC19117_1757
ko:K02003	lmoa:LMOATCC19117_1762
ko:K00891	lmoa:LMOATCC19117_1764
ko:K03215	lmoa:LMOATCC19117_1766
ko:K02434	lmoa:LMOATCC19117_1769
ko:K02435	lmoa:LMOATCC19117_1771
ko:K01972	lmoa:LMOATCC19117_1773
ko:K03657	lmoa:LMOATCC19117_1774
ko:K03308	lmoa:LMOATCC19117_1776
ko:K01945	lmoa:LMOATCC19117_1779
ko:K00602	lmoa:LMOATCC19117_1780
ko:K11175	lmoa:LMOATCC19117_1781
ko:K01933	lmoa:LMOATCC19117_1782
ko:K00764	lmoa:LMOATCC19117_1783
ko:K01952	lmoa:LMOATCC19117_1784
ko:K01952	lmoa:LMOATCC19117_1785
ko:K01952	lmoa:LMOATCC19117_1786
ko:K01923	lmoa:LMOATCC19117_1787
ko:K01756	lmoa:LMOATCC19117_1788
ko:K01589	lmoa:LMOATCC19117_1789
ko:K01588	lmoa:LMOATCC19117_1790
ko:K06950	lmoa:LMOATCC19117_1792
ko:K02013	lmoa:LMOATCC19117_1793
ko:K01142	lmoa:LMOATCC19117_1797
ko:K02071	lmoa:LMOATCC19117_2426
ko:K02437	lmoa:LMOATCC19117_2433
ko:K02356	lmoa:LMOATCC19117_1362
ko:K02160	lmoa:LMOATCC19117_1363
ko:K01961	lmoa:LMOATCC19117_1364
ko:K03704	lmoa:LMOATCC19117_2028
ko:K01778	lmoa:LMOATCC19117_2030
ko:K01870	lmoa:LMOATCC19117_2031
ko:K04074	lmoa:LMOATCC19117_2032
ko:K04487	lmoa:LMOATCC19117_2034
ko:K00278	lmoa:LMOATCC19117_2035
ko:K00767	lmoa:LMOATCC19117_2036
ko:K03517	lmoa:LMOATCC19117_2037
ko:K02221	lmoa:LMOATCC19117_2049
ko:K09772	lmoa:LMOATCC19117_2050
ko:K06997	lmoa:LMOATCC19117_2051
ko:K03531	lmoa:LMOATCC19117_2052
ko:K03590	lmoa:LMOATCC19117_2053
ko:K03589	lmoa:LMOATCC19117_2054
ko:K02563	lmoa:LMOATCC19117_2055
ko:K01925	lmoa:LMOATCC19117_2056
ko:K01000	lmoa:LMOATCC19117_2057
ko:K01928	lmoa:LMOATCC19117_2058
ko:K03438	lmoa:LMOATCC19117_2061
ko:K03925	lmoa:LMOATCC19117_2062
ko:K00077	lmoa:LMOATCC19117_2065
ko:K02911	lmoa:LMOATCC19117_2067
ko:K07040	lmoa:LMOATCC19117_2068
ko:K02759	lmoa:LMOATCC19117_2695
ko:K01531	lmoa:LMOATCC19117_2698
ko:K00943	lmoa:LMOATCC19117_2702
ko:K05878	lmoa:LMOATCC19117_2704
ko:K05879	lmoa:LMOATCC19117_2705
ko:K08310	lmoa:LMOATCC19117_2709
ko:K06187	lmoa:LMOATCC19117_2712
ko:K09747	lmoa:LMOATCC19117_2713
ko:K02343	lmoa:LMOATCC19117_2714
ko:K02761	lmoa:LMOATCC19117_2718
ko:K00426	lmoa:LMOATCC19117_2728
ko:K00425	lmoa:LMOATCC19117_2729
ko:K01895	lmoa:LMOATCC19117_2731
ko:K02759	lmoa:LMOATCC19117_0893
ko:K02760	lmoa:LMOATCC19117_0894
ko:K02761	lmoa:LMOATCC19117_0895
ko:K00231	lmoa:LMOATCC19117_0903
ko:K00997	lmoa:LMOATCC19117_0904
ko:K01775	lmoa:LMOATCC19117_0905
ko:K07723	lmoa:LMOATCC19117_0906
ko:K03321	lmoa:LMOATCC19117_0917
ko:K06959	lmoa:LMOATCC19117_0918
ko:K02761	lmoa:LMOATCC19117_0923
ko:K01817	lmoa:LMOATCC19117_1641
ko:K01609	lmoa:LMOATCC19117_1642
ko:K00766	lmoa:LMOATCC19117_1643
ko:K01657	lmoa:LMOATCC19117_1645
ko:K04072	lmoa:LMOATCC19117_1646
ko:K01246	lmoa:LMOATCC19117_1651
ko:K01681	lmoa:LMOATCC19117_1653
ko:K03547	lmoa:LMOATCC19117_1658
ko:K00655	lmoa:LMOATCC19117_1659
ko:K02357	lmoa:LMOATCC19117_1669
ko:K02967	lmoa:LMOATCC19117_1670
ko:K07106	lmoa:LMOATCC19117_1673
ko:K01869	lmoa:LMOATCC19117_1675
ko:K07139	lmoa:LMOATCC19117_1676
ko:K01953	lmoa:LMOATCC19117_1678
ko:K00789	lmoa:LMOATCC19117_1679
ko:K08998	lmoa:LMOATCC19117_1685
ko:K00299	lmoa:LMOATCC19117_2350
ko:K01421	lmoa:LMOATCC19117_2359
ko:K01810	lmoa:LMOATCC19117_2366
ko:K14155	lmoa:LMOATCC19117_2369
ko:K02003	lmoa:LMOATCC19117_2371
ko:K02760	lmoa:LMOATCC19117_2372
ko:K00928	lmoa:LMOATCC19117_2373
ko:K05837	lmoa:LMOATCC19117_2435
ko:K05837	lmoa:LMOATCC19117_2436
ko:K02013	lmoa:LMOATCC19117_2437
ko:K02015	lmoa:LMOATCC19117_2438
ko:K02016	lmoa:LMOATCC19117_2439
ko:K03664	lmoa:LMOATCC19117_2457
ko:K12573	lmoa:LMOATCC19117_2458
ko:K03928	lmoa:LMOATCC19117_2459
ko:K03075	lmoa:LMOATCC19117_2460
ko:K01689	lmoa:LMOATCC19117_2464
ko:K15633	lmoa:LMOATCC19117_2465
ko:K01803	lmoa:LMOATCC19117_2466
ko:K00927	lmoa:LMOATCC19117_2467
ko:K00134	lmoa:LMOATCC19117_2468
ko:K05311	lmoa:LMOATCC19117_2469
ko:K03092	lmoa:LMOATCC19117_2470
ko:K01273	lmoa:LMOATCC19117_2471
ko:K03625	lmoa:LMOATCC19117_1366
ko:K01491	lmoa:LMOATCC19117_1367
ko:K03601	lmoa:LMOATCC19117_1368
ko:K03602	lmoa:LMOATCC19117_1369
ko:K13789	lmoa:LMOATCC19117_1370
ko:K03704	lmoa:LMOATCC19117_1371
ko:K01662	lmoa:LMOATCC19117_1372
ko:K06442	lmoa:LMOATCC19117_1373
ko:K03402	lmoa:LMOATCC19117_1374
ko:K03631	lmoa:LMOATCC19117_1375
ko:K00382	lmoa:LMOATCC19117_1378
ko:K00166	lmoa:LMOATCC19117_1379
ko:K02829	lmoa:LMOATCC19117_0019
ko:K02470	lmoa:LMOATCC19117_0006
ko:K02338	lmoa:LMOATCC19117_0002
ko:K01223	lmoa:LMOATCC19117_0021
ko:K02529	lmoa:LMOATCC19117_0039
ko:K02761	lmoa:LMOATCC19117_0042
ko:K13252	lmoa:LMOATCC19117_0044
ko:K10536	lmoa:LMOATCC19117_0046
ko:K00926	lmoa:LMOATCC19117_0047
ko:K10536	lmoa:LMOATCC19117_0048
ko:K03481	lmoa:LMOATCC19117_0049
ko:K03975	lmoa:LMOATCC19117_0050
ko:K02990	lmoa:LMOATCC19117_0052
ko:K02963	lmoa:LMOATCC19117_0054
ko:K07813	lmoa:LMOATCC19117_0056
ko:K07707	lmoa:LMOATCC19117_0059
ko:K02939	lmoa:LMOATCC19117_0061
ko:K01939	lmoa:LMOATCC19117_0064
ko:K03466	lmoa:LMOATCC19117_0071
ko:K10778	lmoa:LMOATCC19117_0091
ko:K07282	lmoa:LMOATCC19117_0020
ko:K02110	lmoa:LMOATCC19117_0102
ko:K02113	lmoa:LMOATCC19117_0103
ko:K02111	lmoa:LMOATCC19117_0104
ko:K02115	lmoa:LMOATCC19117_0105
ko:K02112	lmoa:LMOATCC19117_0106
ko:K02114	lmoa:LMOATCC19117_0107
ko:K02469	lmoa:LMOATCC19117_0007
ko:K02827	lmoa:LMOATCC19117_0017
ko:K01448	lmoa:LMOATCC19117_0145
ko:K06975	lmoa:LMOATCC19117_0150
ko:K02034	lmoa:LMOATCC19117_0153
ko:K00167	lmoa:LMOATCC19117_1380
ko:K09699	lmoa:LMOATCC19117_1381
ko:K03217	lmoa:LMOATCC19117_1387
ko:K01512	lmoa:LMOATCC19117_1389
ko:K07146	lmoa:LMOATCC19117_1392
ko:K03466	lmoa:LMOATCC19117_1394
ko:K00286	lmoa:LMOATCC19117_1395
ko:K07335	lmoa:LMOATCC19117_1397
ko:K02057	lmoa:LMOATCC19117_1399
ko:K02057	lmoa:LMOATCC19117_1400
ko:K00995	lmoa:LMOATCC19117_1405
ko:K03823	lmoa:LMOATCC19117_1409
ko:K09769	lmoa:LMOATCC19117_1410
ko:K03555	lmoa:LMOATCC19117_1412
ko:K03572	lmoa:LMOATCC19117_1413
ko:K00954	lmoa:LMOATCC19117_2072
ko:K02259	lmoa:LMOATCC19117_2078
ko:K10716	lmoa:LMOATCC19117_2079
ko:K14166	lmoa:LMOATCC19117_2082
ko:K03282	lmoa:LMOATCC19117_2084
ko:K01442	lmoa:LMOATCC19117_2087
ko:K04077	lmoa:LMOATCC19117_2088
ko:K04078	lmoa:LMOATCC19117_2089
ko:K01926	lmoa:LMOATCC19117_2093
ko:K06158	lmoa:LMOATCC19117_2094
ko:K03789	lmoa:LMOATCC19117_2097
ko:K06925	lmoa:LMOATCC19117_2099
ko:K06199	lmoa:LMOATCC19117_2102
ko:K06199	lmoa:LMOATCC19117_2103
ko:K01940	lmoa:LMOATCC19117_2111
ko:K01755	lmoa:LMOATCC19117_2112
ko:K01628	lmoa:LMOATCC19117_2115
ko:K02768	lmoa:LMOATCC19117_2744
ko:K02769	lmoa:LMOATCC19117_2744
ko:K02770	lmoa:LMOATCC19117_2744
ko:K00865	lmoa:LMOATCC19117_2747
ko:K12410	lmoa:LMOATCC19117_2750
ko:K01875	lmoa:LMOATCC19117_2758
ko:K06978	lmoa:LMOATCC19117_2767
ko:K03654	lmoa:LMOATCC19117_2769
ko:K01223	lmoa:LMOATCC19117_2774
ko:K02760	lmoa:LMOATCC19117_2775
ko:K02761	lmoa:LMOATCC19117_2776
ko:K02759	lmoa:LMOATCC19117_2778
ko:K01919	lmoa:LMOATCC19117_2784
ko:K01223	lmoa:LMOATCC19117_2785
ko:K02760	lmoa:LMOATCC19117_0936
ko:K02761	lmoa:LMOATCC19117_0937
ko:K02759	lmoa:LMOATCC19117_0938
ko:K01223	lmoa:LMOATCC19117_0939
ko:K07089	lmoa:LMOATCC19117_0943
ko:K03652	lmoa:LMOATCC19117_0950
ko:K03800	lmoa:LMOATCC19117_0953
ko:K03216	lmoa:LMOATCC19117_0957
ko:K04079	lmoa:LMOATCC19117_0963
ko:K04047	lmoa:LMOATCC19117_0964
ko:K03449	lmoa:LMOATCC19117_0968
ko:K01443	lmoa:LMOATCC19117_0977
ko:K03710	lmoa:LMOATCC19117_0979
ko:K08303	lmoa:LMOATCC19117_0982
ko:K01911	lmoa:LMOATCC19117_1687
ko:K01661	lmoa:LMOATCC19117_1688
ko:K02551	lmoa:LMOATCC19117_1690
ko:K02548	lmoa:LMOATCC19117_1692
ko:K00549	lmoa:LMOATCC19117_1696
ko:K01845	lmoa:LMOATCC19117_1700
ko:K10780	lmoa:LMOATCC19117_1703
ko:K03575	lmoa:LMOATCC19117_1704
ko:K07038	lmoa:LMOATCC19117_1705
ko:K03565	lmoa:LMOATCC19117_1708
ko:K07071	lmoa:LMOATCC19117_1709
ko:K09817	lmoa:LMOATCC19117_0167
ko:K09816	lmoa:LMOATCC19117_0168
ko:K02341	lmoa:LMOATCC19117_0175
ko:K07461	lmoa:LMOATCC19117_0179
ko:K07056	lmoa:LMOATCC19117_0180
ko:K06284	lmoa:LMOATCC19117_0181
ko:K05340	lmoa:LMOATCC19117_0182
ko:K01874	lmoa:LMOATCC19117_0186
ko:K02828	lmoa:LMOATCC19117_0018
ko:K03424	lmoa:LMOATCC19117_0194
ko:K05985	lmoa:LMOATCC19117_0196
ko:K02528	lmoa:LMOATCC19117_0197
ko:K00919	lmoa:LMOATCC19117_0199
ko:K02003	lmoa:LMOATCC19117_0203
ko:K06412	lmoa:LMOATCC19117_0205
ko:K04042	lmoa:LMOATCC19117_0206
ko:K00948	lmoa:LMOATCC19117_0207
ko:K01114	lmoa:LMOATCC19117_0213
ko:K02897	lmoa:LMOATCC19117_0218
ko:K01056	lmoa:LMOATCC19117_0220
ko:K03723	lmoa:LMOATCC19117_0221
ko:K07571	lmoa:LMOATCC19117_0225
ko:K03798	lmoa:LMOATCC19117_0227
ko:K03525	lmoa:LMOATCC19117_0228
ko:K04083	lmoa:LMOATCC19117_0229
ko:K01738	lmoa:LMOATCC19117_0230
ko:K00796	lmoa:LMOATCC19117_0232
ko:K01633	lmoa:LMOATCC19117_0233
ko:K00950	lmoa:LMOATCC19117_0234
ko:K04567	lmoa:LMOATCC19117_0236
ko:K03696	lmoa:LMOATCC19117_0240
ko:K04485	lmoa:LMOATCC19117_0241
ko:K00991	lmoa:LMOATCC19117_0243
ko:K01770	lmoa:LMOATCC19117_0244
ko:K00640	lmoa:LMOATCC19117_0246
ko:K01883	lmoa:LMOATCC19117_0247
ko:K11145	lmoa:LMOATCC19117_0248
ko:K03218	lmoa:LMOATCC19117_0249
ko:K06962	lmoa:LMOATCC19117_0250
ko:K03091	lmoa:LMOATCC19117_0251
ko:K03073	lmoa:LMOATCC19117_0252
ko:K02601	lmoa:LMOATCC19117_0253
ko:K02867	lmoa:LMOATCC19117_0255
ko:K02863	lmoa:LMOATCC19117_0256
ko:K02864	lmoa:LMOATCC19117_0257
ko:K02935	lmoa:LMOATCC19117_0258
ko:K00690	lmoa:LMOATCC19117_0266
ko:K03043	lmoa:LMOATCC19117_0268
ko:K03046	lmoa:LMOATCC19117_0269
ko:K01223	lmoa:LMOATCC19117_0271
ko:K15975	lmoa:LMOATCC19117_0283
ko:K02034	lmoa:LMOATCC19117_0285
ko:K01223	lmoa:LMOATCC19117_0288
ko:K03629	lmoa:LMOATCC19117_0005
ko:K06131	lmoa:LMOATCC19117_0008
ko:K02826	lmoa:LMOATCC19117_0016
ko:K02072	lmoa:LMOATCC19117_0301
ko:K02071	lmoa:LMOATCC19117_0302
ko:K02073	lmoa:LMOATCC19117_0303
ko:K01126	lmoa:LMOATCC19117_0646
ko:K07090	lmoa:LMOATCC19117_0651
ko:K11203	lmoa:LMOATCC19117_0663
ko:K11202	lmoa:LMOATCC19117_0664
ko:K01534	lmoa:LMOATCC19117_0673
ko:K03284	lmoa:LMOATCC19117_0680
ko:K01421	lmoa:LMOATCC19117_0682
ko:K08976	lmoa:LMOATCC19117_0688
ko:K00868	lmoa:LMOATCC19117_0697
ko:K02419	lmoa:LMOATCC19117_0712
ko:K02420	lmoa:LMOATCC19117_0713
ko:K02421	lmoa:LMOATCC19117_0714
ko:K02401	lmoa:LMOATCC19117_0715
ko:K02400	lmoa:LMOATCC19117_0716
ko:K02404	lmoa:LMOATCC19117_0717
ko:K02392	lmoa:LMOATCC19117_0718
ko:K02556	lmoa:LMOATCC19117_0721
ko:K02557	lmoa:LMOATCC19117_0722
ko:K03415	lmoa:LMOATCC19117_0725
ko:K02406	lmoa:LMOATCC19117_0726
ko:K03413	lmoa:LMOATCC19117_0727
ko:K03407	lmoa:LMOATCC19117_0728
ko:K02417	lmoa:LMOATCC19117_0729
ko:K00783	lmoa:LMOATCC19117_0311
ko:K02761	lmoa:LMOATCC19117_0316
ko:K02760	lmoa:LMOATCC19117_0317
ko:K02759	lmoa:LMOATCC19117_0319
ko:K03427	lmoa:LMOATCC19117_0320
ko:K01154	lmoa:LMOATCC19117_0321
ko:K01153	lmoa:LMOATCC19117_0322
ko:K03707	lmoa:LMOATCC19117_0331
ko:K00878	lmoa:LMOATCC19117_0332
ko:K00941	lmoa:LMOATCC19117_0333
ko:K00788	lmoa:LMOATCC19117_0334
ko:K01223	lmoa:LMOATCC19117_0338
ko:K00615	lmoa:LMOATCC19117_0367
ko:K01808	lmoa:LMOATCC19117_0370
ko:K01803	lmoa:LMOATCC19117_0371
ko:K05879	lmoa:LMOATCC19117_0372
ko:K05878	lmoa:LMOATCC19117_0373
ko:K02769	lmoa:LMOATCC19117_0385
ko:K02770	lmoa:LMOATCC19117_0385
ko:K01624	lmoa:LMOATCC19117_0386
ko:K05995	lmoa:LMOATCC19117_0388
ko:K06193	lmoa:LMOATCC19117_0392
ko:K02761	lmoa:LMOATCC19117_0395
ko:K02760	lmoa:LMOATCC19117_0396
ko:K06608	lmoa:LMOATCC19117_0400
ko:K00140	lmoa:LMOATCC19117_0401
ko:K03337	lmoa:LMOATCC19117_0402
ko:K03338	lmoa:LMOATCC19117_0403
ko:K03648	lmoa:LMOATCC19117_0408
ko:K00286	lmoa:LMOATCC19117_0414
ko:K02003	lmoa:LMOATCC19117_0422
ko:K03306	lmoa:LMOATCC19117_0433
ko:K03336	lmoa:LMOATCC19117_0404
ko:K07238	lmoa:LMOATCC19117_0442
ko:K05340	lmoa:LMOATCC19117_0449
ko:K03924	lmoa:LMOATCC19117_0490
ko:K09703	lmoa:LMOATCC19117_0493
ko:K06885	lmoa:LMOATCC19117_0504
ko:K06941	lmoa:LMOATCC19117_0509
ko:K13653	lmoa:LMOATCC19117_0510
ko:K02911	lmoa:LMOATCC19117_0516
ko:K07166	lmoa:LMOATCC19117_0563
ko:K09157	lmoa:LMOATCC19117_0564
ko:K02083	lmoa:LMOATCC19117_0567
ko:K02016	lmoa:LMOATCC19117_0571
ko:K00627	lmoa:LMOATCC19117_1076
ko:K00382	lmoa:LMOATCC19117_1077
ko:K03284	lmoa:LMOATCC19117_1082
ko:K06207	lmoa:LMOATCC19117_1085
ko:K03588	lmoa:LMOATCC19117_1089
ko:K02016	lmoa:LMOATCC19117_1092
ko:K00963	lmoa:LMOATCC19117_1101
ko:K00763	lmoa:LMOATCC19117_1108
ko:K02760	lmoa:LMOATCC19117_1111
ko:K01951	lmoa:LMOATCC19117_1112
ko:K03827	lmoa:LMOATCC19117_1123
ko:K02887	lmoa:LMOATCC19117_1798
ko:K02916	lmoa:LMOATCC19117_1799
ko:K02520	lmoa:LMOATCC19117_1800
ko:K02884	lmoa:LMOATCC19117_1803
ko:K00554	lmoa:LMOATCC19117_1808
ko:K02860	lmoa:LMOATCC19117_1809
ko:K07010	lmoa:LMOATCC19117_1811
ko:K06960	lmoa:LMOATCC19117_1812
ko:K02959	lmoa:LMOATCC19117_1813
ko:K03106	lmoa:LMOATCC19117_1817
ko:K03110	lmoa:LMOATCC19117_1819
ko:K03529	lmoa:LMOATCC19117_1820
