ko:K07696	sad:SAAV_2456
ko:K10850	sad:SAAV_2453
ko:K14230	sad:SAAV_1847
ko:K14230	sad:SAAV_1893
ko:K07052	sad:SAAV_c19
ko:K11072	sad:SAAV_1064
ko:K04757	sad:SAAV_2118
ko:K14228	sad:SAAV_2113
ko:K07052	sad:SAAV_2078
ko:K00868	sad:SAAV_0542
ko:K10851	sad:SAAV_2458
ko:K14231	sad:SAAV_1845
ko:K14231	sad:SAAV_1891
ko:K14222	sad:SAAV_1885
ko:K14230	sad:SAAV_1897
ko:K01980	sad:SAAV_1907a
ko:K01980	sad:SAAV_2225a
ko:K01980	sad:SAAV_2110a
ko:K01980	sad:SAAV_0425a
ko:K01980	sad:SAAV_0476
ko:K14445	sad:SAAV_1983
ko:K09145	sad:SAAV_0634
ko:K00128	sad:SAAV_1988
ko:K14205	sad:SAAV_1340
ko:K03324	sad:SAAV_0072
ko:K01992	sad:SAAV_2405
ko:K03293	sad:SAAV_1313
ko:K03307	sad:SAAV_0281
ko:K01985	sad:SAAV_0485a
ko:K01985	sad:SAAV_0426
ko:K01985	sad:SAAV_1907
ko:K01985	sad:SAAV_0477
ko:K01985	sad:SAAV_2225
ko:K01985	sad:SAAV_2110
ko:K13628	sad:SAAV_0901
ko:K08255	sad:SAAV_0931
ko:K09813	sad:SAAV_2425
ko:K09814	sad:SAAV_2424
ko:K00459	sad:SAAV_0881
ko:K14188	sad:SAAV_0895
ko:K14219	sad:SAAV_0471
ko:K14219	sad:SAAV_1901
ko:K14227	sad:SAAV_1909
ko:K14218	sad:SAAV_0473
ko:K14218	sad:SAAV_1908
ko:K14218	sad:SAAV_1899
ko:K01992	sad:SAAV_1855
ko:K14227	sad:SAAV_0475
ko:K14652	sad:SAAV_1778
ko:K15035	sad:SAAV_0749
ko:K01990	sad:SAAV_1856
ko:K06147	sad:SAAV_2495
ko:K14232	sad:SAAV_0472
ko:K14232	sad:SAAV_1900
ko:K07145	sad:SAAV_0133
ko:K07052	sad:SAAV_0994
ko:K03436	sad:SAAV_0660
ko:K03489	sad:SAAV_0232
ko:K07979	sad:SAAV_2001
ko:K02538	sad:SAAV_2710
ko:K08259	sad:SAAV_0244
ko:K01261	sad:SAAV_1755
ko:K07720	sad:SAAV_0188
ko:K14233	sad:SAAV_1841
ko:K14235	sad:SAAV_1888
ko:K02352	sad:SAAV_2762
ko:K14226	sad:SAAV_1844
ko:K14226	sad:SAAV_1887
ko:K02304	sad:SAAV_2686
ko:K01977	sad:SAAV_0474
ko:K01977	sad:SAAV_0425
ko:K01977	sad:SAAV_2226
ko:K01977	sad:SAAV_2111
ko:K01977	sad:SAAV_1910
ko:K11737	sad:SAAV_1686
ko:K06919	sad:SAAV_2047
ko:K06948	sad:SAAV_1588
ko:K14540	sad:SAAV_1217
ko:K11749	sad:SAAV_1237
ko:K11936	sad:SAAV_2738
ko:K00033	sad:SAAV_1502
ko:K02086	sad:SAAV_1440
ko:K01489	sad:SAAV_1560
ko:K07305	sad:SAAV_1406
ko:K07304	sad:SAAV_1407
ko:K03469	sad:SAAV_1416
ko:K03294	sad:SAAV_1421
ko:K02076	sad:SAAV_1546
ko:K05822	sad:SAAV_1380
ko:K16012	sad:SAAV_0648
ko:K02443	sad:SAAV_1272
ko:K03713	sad:SAAV_1282
ko:K09976	sad:SAAV_1324
ko:K02246	sad:SAAV_1533
ko:K02245	sad:SAAV_1534
ko:K02244	sad:SAAV_1535
ko:K02243	sad:SAAV_1536
ko:K00845	sad:SAAV_1539
ko:K02033	sad:SAAV_1364
ko:K07304	sad:SAAV_1341
ko:K09763	sad:SAAV_1486
ko:K04763	sad:SAAV_1487
ko:K03711	sad:SAAV_1488
ko:K01515	sad:SAAV_1489
ko:K00784	sad:SAAV_1494
ko:K16013	sad:SAAV_0647
ko:K01239	sad:SAAV_2346
ko:K00059	sad:SAAV_1255
ko:K01262	sad:SAAV_1522
ko:K01424	sad:SAAV_1465
ko:K05337	sad:SAAV_1471
ko:K03700	sad:SAAV_1436
ko:K01478	sad:SAAV_2704
ko:K07035	sad:SAAV_1878
ko:K07009	sad:SAAV_1956
ko:K02342	sad:SAAV_1960
ko:K02433	sad:SAAV_1966
ko:K07094	sad:SAAV_1972
ko:K07052	sad:SAAV_2009
ko:K07533	sad:SAAV_1860
ko:K03698	sad:SAAV_1861
ko:K01679	sad:SAAV_1870
ko:K09825	sad:SAAV_1911
ko:K07586	sad:SAAV_1917
ko:K09693	sad:SAAV_1921
ko:K01439	sad:SAAV_1761
ko:K12270	sad:SAAV_2720
ko:K12269	sad:SAAV_2721
ko:K12268	sad:SAAV_2723
ko:K07304	sad:SAAV_2732
ko:K00616	sad:SAAV_1791
ko:K07052	sad:SAAV_c23
ko:K02549	sad:SAAV_1805
ko:K07104	sad:SAAV_2587
ko:K07032	sad:SAAV_2641
ko:K04750	sad:SAAV_2658
ko:K00016	sad:SAAV_2668
ko:K12942	sad:SAAV_2539
ko:K03299	sad:SAAV_2570
ko:K00851	sad:SAAV_2571
ko:K00158	sad:SAAV_2605
ko:K00054	sad:SAAV_2611
ko:K01641	sad:SAAV_2612
ko:K00567	sad:SAAV_2613
ko:K04086	sad:SAAV_2614
ko:K06994	sad:SAAV_2618
ko:K00294	sad:SAAV_2620
ko:K07035	sad:SAAV_2636
ko:K03294	sad:SAAV_2669
ko:K03451	sad:SAAV_2681
ko:K00380	sad:SAAV_2687
ko:K02116	sad:SAAV_2165
ko:K02799	sad:SAAV_2210
ko:K02800	sad:SAAV_2210
ko:K03593	sad:SAAV_2227
ko:K00939	sad:SAAV_2291
ko:K01727	sad:SAAV_2263
ko:K03635	sad:SAAV_2334
ko:K02017	sad:SAAV_2340
ko:K01479	sad:SAAV_2398
ko:K01785	sad:SAAV_2403
ko:K01823	sad:SAAV_2410
ko:K00374	sad:SAAV_2459
ko:K09815	sad:SAAV_2471
ko:K03095	sad:SAAV_2114
ko:K03090	sad:SAAV_2117
ko:K07315	sad:SAAV_2120
ko:K09167	sad:SAAV_2125
ko:K08981	sad:SAAV_2126
ko:K03048	sad:SAAV_2183
ko:K09680	sad:SAAV_2185
ko:K01619	sad:SAAV_2192
ko:K03784	sad:SAAV_2193
ko:K01220	sad:SAAV_2250
ko:K02786	sad:SAAV_2252
ko:K01635	sad:SAAV_2253
ko:K00917	sad:SAAV_2254
ko:K01819	sad:SAAV_2255
ko:K02530	sad:SAAV_2257
ko:K01439	sad:SAAV_2074
ko:K07706	sad:SAAV_2086
ko:K01409	sad:SAAV_2097
ko:K07584	sad:SAAV_1639
ko:K02236	sad:SAAV_1647
ko:K07120	sad:SAAV_1652
ko:K01719	sad:SAAV_1656
ko:K00027	sad:SAAV_1711
ko:K02238	sad:SAAV_1579
ko:K01243	sad:SAAV_1590
ko:K11144	sad:SAAV_1674
ko:K03346	sad:SAAV_1675
ko:K10563	sad:SAAV_1679
ko:K07658	sad:SAAV_1683
ko:K06286	sad:SAAV_1728
ko:K00058	sad:SAAV_1734
ko:K15586	sad:SAAV_2531
ko:K15585	sad:SAAV_2532
ko:K11032	sad:SAAV_1131
ko:K10211	sad:SAAV_2629
ko:K10212	sad:SAAV_2631
ko:K00128	sad:SAAV_2177
ko:K00571	sad:SAAV_1722
ko:K03215	sad:SAAV_1963
ko:K15581	sad:SAAV_0947
ko:K15772	sad:SAAV_0182
ko:K15770	sad:SAAV_0180
ko:K15584	sad:SAAV_2533
ko:K15583	sad:SAAV_0949
ko:K15519	sad:SAAV_0519
ko:K16301	sad:SAAV_0312
ko:K00128	sad:SAAV_0135
ko:K00008	sad:SAAV_0215
ko:K01174	sad:SAAV_0761
ko:K07467	sad:SAAV_1931
ko:K06216	sad:SAAV_0238
ko:K15633	sad:SAAV_0741
ko:K15771	sad:SAAV_0181
ko:K03929	sad:SAAV_2518
ko:K10824	sad:SAAV_2529
ko:K15738	sad:SAAV_0681
ko:K05352	sad:SAAV_0220
ko:K05352	sad:SAAV_0224
ko:K15582	sad:SAAV_0948
ko:K15518	sad:SAAV_0520
ko:K10823	sad:SAAV_0950
ko:K15580	sad:SAAV_0951
ko:K03817	sad:SAAV_0310
ko:K15587	sad:SAAV_2530
ko:K02033	sad:SAAV_0955
ko:K01835	sad:SAAV_2558
ko:K15986	sad:SAAV_1986
ko:K18934	sad:SAAV_2228
ko:K15973	sad:SAAV_2585
ko:K15977	sad:SAAV_1000
ko:K15975	sad:SAAV_2584
ko:K18936	sad:SAAV_2480
ko:K18935	sad:SAAV_2230
ko:K03328	sad:SAAV_0100
ko:K03328	sad:SAAV_0451
ko:K02424	sad:SAAV_2479
ko:K10009	sad:SAAV_2478
ko:K18940	sad:SAAV_1398
ko:K21454	sad:SAAV_2422
ko:K01834	sad:SAAV_0343
ko:K01834	sad:SAAV_2482
ko:K07038	sad:SAAV_1919
ko:K16509	sad:SAAV_0958
ko:K16511	sad:SAAV_0961
ko:K11733	sad:SAAV_1670
ko:K16264	sad:SAAV_0136
ko:K06198	sad:SAAV_0962
ko:K16329	sad:SAAV_0279
ko:K16323	sad:SAAV_0607
ko:K16169	sad:SAAV_0356
ko:K11737	sad:SAAV_2504
ko:K16264	sad:SAAV_2201
ko:K05340	sad:SAAV_2318
ko:K02851	sad:SAAV_0709
ko:K10010	sad:SAAV_2477
ko:K16786	sad:SAAV_2284
ko:K16787	sad:SAAV_2283
ko:K04564	sad:SAAV_0101
ko:K16785	sad:SAAV_2282
ko:K02032	sad:SAAV_0954
ko:K02755	sad:SAAV_0233
ko:K11631	sad:SAAV_2773
ko:K02803	sad:SAAV_1736
ko:K02804	sad:SAAV_1736
ko:K16785	sad:SAAV_1040
ko:K16786	sad:SAAV_1041
ko:K16787	sad:SAAV_1041
ko:K16785	sad:SAAV_2757
ko:K16786	sad:SAAV_2758
ko:K16787	sad:SAAV_2758
ko:K02768	sad:SAAV_2711
ko:K02769	sad:SAAV_2711
ko:K02770	sad:SAAV_2711
ko:K11632	sad:SAAV_2774
ko:K16937	sad:SAAV_0669
ko:K16869	sad:SAAV_0551
ko:K11991	sad:SAAV_0521
ko:K17716	sad:SAAV_0121
ko:K16916	sad:SAAV_2592
ko:K16917	sad:SAAV_2591
ko:K16925	sad:SAAV_1042
ko:K16924	sad:SAAV_2759
ko:K16898	sad:SAAV_0928
ko:K16899	sad:SAAV_0927
ko:K11070	sad:SAAV_1066
ko:K02029	sad:SAAV_1877
ko:K02030	sad:SAAV_1877
ko:K02028	sad:SAAV_1876
ko:K17217	sad:SAAV_0403
ko:K17216	sad:SAAV_0402
ko:K17218	sad:SAAV_0036
ko:K01992	sad:SAAV_1299
ko:K01990	sad:SAAV_1298
ko:K01990	sad:SAAV_1998
ko:K17472	sad:SAAV_1619
ko:K17686	sad:SAAV_2623
ko:K01791	sad:SAAV_2166
ko:K12574	sad:SAAV_1054
ko:K12574	sad:SAAV_1250
ko:K01658	sad:SAAV_1350
ko:K11928	sad:SAAV_1968
ko:K06518	sad:SAAV_2607
ko:K00226	sad:SAAV_2655
ko:K01791	sad:SAAV_0123
ko:K19080	sad:SAAV_0624
ko:K18104	sad:SAAV_0606
ko:K02479	sad:SAAV_1867
ko:K08168	sad:SAAV_0105
ko:K02483	sad:SAAV_2426
ko:K02809	sad:SAAV_0161
ko:K02810	sad:SAAV_0161
ko:K02809	sad:SAAV_2443
ko:K02810	sad:SAAV_2443
ko:K03366	sad:SAAV_0094
ko:K07145	sad:SAAV_1102
ko:K22580	sad:SAAV_1021
ko:K21461	sad:SAAV_2739
ko:K21462	sad:SAAV_2741
ko:K21463	sad:SAAV_2421
ko:K01940	sad:SAAV_0922
ko:K01810	sad:SAAV_0923
ko:K03100	sad:SAAV_0925
ko:K03100	sad:SAAV_0926
ko:K03695	sad:SAAV_0935
ko:K06910	sad:SAAV_0941
ko:K00648	sad:SAAV_0944
ko:K09458	sad:SAAV_0945
ko:K03455	sad:SAAV_0972
ko:K00208	sad:SAAV_0973
ko:K03310	sad:SAAV_0975
ko:K05362	sad:SAAV_0980
ko:K02837	sad:SAAV_0982
ko:K02250	sad:SAAV_0990
ko:K03800	sad:SAAV_0992
ko:K02003	sad:SAAV_0997
ko:K02016	sad:SAAV_1001
ko:K02548	sad:SAAV_1005
ko:K02552	sad:SAAV_1006
ko:K02551	sad:SAAV_1007
ko:K08680	sad:SAAV_1008
ko:K01661	sad:SAAV_1009
ko:K02829	sad:SAAV_1022
ko:K02828	sad:SAAV_1023
ko:K02827	sad:SAAV_1024
ko:K02826	sad:SAAV_1025
ko:K00145	sad:SAAV_0152
ko:K03311	sad:SAAV_0154
ko:K09963	sad:SAAV_0159
ko:K07106	sad:SAAV_0160
ko:K01153	sad:SAAV_0163
ko:K02005	sad:SAAV_0165
ko:K02004	sad:SAAV_0166
ko:K02031	sad:SAAV_0171
ko:K02032	sad:SAAV_0171
ko:K02033	sad:SAAV_0172
ko:K03466	sad:SAAV_0255
ko:K03311	sad:SAAV_0273
ko:K02004	sad:SAAV_0275
ko:K02003	sad:SAAV_0276
ko:K01639	sad:SAAV_0282
ko:K01788	sad:SAAV_0285
ko:K00375	sad:SAAV_0479
ko:K06215	sad:SAAV_0480
ko:K08681	sad:SAAV_0481
ko:K11535	sad:SAAV_0482
ko:K03708	sad:SAAV_0483
ko:K03696	sad:SAAV_0486
ko:K04485	sad:SAAV_0487
ko:K09698	sad:SAAV_0489
ko:K00640	sad:SAAV_0490
ko:K01883	sad:SAAV_0491
ko:K11145	sad:SAAV_0492
ko:K03218	sad:SAAV_0493
ko:K06962	sad:SAAV_0494
ko:K03091	sad:SAAV_0495
ko:K02913	sad:SAAV_0496
ko:K03073	sad:SAAV_0497
ko:K02601	sad:SAAV_0498
ko:K02867	sad:SAAV_0499
ko:K02863	sad:SAAV_0500
ko:K02864	sad:SAAV_0502
ko:K02935	sad:SAAV_0503
ko:K03043	sad:SAAV_0505
ko:K03046	sad:SAAV_0506
ko:K07590	sad:SAAV_0507
ko:K02950	sad:SAAV_0508
ko:K02992	sad:SAAV_0509
ko:K02355	sad:SAAV_0510
ko:K02358	sad:SAAV_0511
ko:K00639	sad:SAAV_0513
ko:K05523	sad:SAAV_0514
ko:K00853	sad:SAAV_0515
ko:K00826	sad:SAAV_0517
ko:K01091	sad:SAAV_0518
ko:K05566	sad:SAAV_0587
ko:K05567	sad:SAAV_0588
ko:K10681	sad:SAAV_0667
ko:K10682	sad:SAAV_0668
ko:K10026	sad:SAAV_0672
ko:K01737	sad:SAAV_0673
ko:K06920	sad:SAAV_0674
ko:K01665	sad:SAAV_0676
ko:K02619	sad:SAAV_0677
ko:K03654	sad:SAAV_0682
ko:K05847	sad:SAAV_0683
ko:K05845	sad:SAAV_0684
ko:K05846	sad:SAAV_0684
ko:K00817	sad:SAAV_0685
ko:K03305	sad:SAAV_0688
ko:K03647	sad:SAAV_0692
ko:K02015	sad:SAAV_0695
ko:K06895	sad:SAAV_0772
ko:K03785	sad:SAAV_0775
ko:K02071	sad:SAAV_0784
ko:K02072	sad:SAAV_0785
ko:K02073	sad:SAAV_0786
ko:K07090	sad:SAAV_0883
ko:K03644	sad:SAAV_0885
ko:K03367	sad:SAAV_0893
ko:K03739	sad:SAAV_0894
ko:K03740	sad:SAAV_0896
ko:K03885	sad:SAAV_0899
ko:K02035	sad:SAAV_0952
ko:K02034	sad:SAAV_0956
ko:K01867	sad:SAAV_0957
ko:K08602	sad:SAAV_0963
ko:K06886	sad:SAAV_0965
ko:K07816	sad:SAAV_0968
ko:K00858	sad:SAAV_0969
ko:K08170	sad:SAAV_0071
ko:K10254	sad:SAAV_0073
ko:K03303	sad:SAAV_0077
ko:K02015	sad:SAAV_0081
ko:K02015	sad:SAAV_0082
ko:K02016	sad:SAAV_0083
ko:K01586	sad:SAAV_0091
ko:K03784	sad:SAAV_0104
ko:K01619	sad:SAAV_0106
ko:K01839	sad:SAAV_0107
ko:K02042	sad:SAAV_0108
ko:K02042	sad:SAAV_0109
ko:K02041	sad:SAAV_0110
ko:K02044	sad:SAAV_0111
ko:K00252	sad:SAAV_0198
ko:K03800	sad:SAAV_0295
ko:K03475	sad:SAAV_0297
ko:K02822	sad:SAAV_0298
ko:K02821	sad:SAAV_0299
ko:K02445	sad:SAAV_0304
ko:K00299	sad:SAAV_0307
ko:K00265	sad:SAAV_0414
ko:K00266	sad:SAAV_0415
ko:K02818	sad:SAAV_0417
ko:K02819	sad:SAAV_0417
ko:K01226	sad:SAAV_0418
ko:K03486	sad:SAAV_0419
ko:K02343	sad:SAAV_0422
ko:K09747	sad:SAAV_0423
ko:K06187	sad:SAAV_0424
ko:K00943	sad:SAAV_0428
ko:K02341	sad:SAAV_0430
ko:K07461	sad:SAAV_0434
ko:K07056	sad:SAAV_0435
ko:K01874	sad:SAAV_0437
ko:K03424	sad:SAAV_0438
ko:K05985	sad:SAAV_0439
ko:K02528	sad:SAAV_0440
ko:K00919	sad:SAAV_0442
ko:K09685	sad:SAAV_0443
ko:K06412	sad:SAAV_0445
ko:K04042	sad:SAAV_0446
ko:K00948	sad:SAAV_0447
ko:K02897	sad:SAAV_0448
ko:K05568	sad:SAAV_0589
ko:K05569	sad:SAAV_0590
ko:K05570	sad:SAAV_0591
ko:K05571	sad:SAAV_0592
ko:K05946	sad:SAAV_0599
ko:K09693	sad:SAAV_0600
ko:K09692	sad:SAAV_0601
ko:K07258	sad:SAAV_0605
ko:K02013	sad:SAAV_0609
ko:K02015	sad:SAAV_0610
ko:K02015	sad:SAAV_0611
ko:K05878	sad:SAAV_0612
ko:K05879	sad:SAAV_0613
ko:K07220	sad:SAAV_0625
ko:K03306	sad:SAAV_0626
ko:K06890	sad:SAAV_0628
ko:K09705	sad:SAAV_0632
ko:K09793	sad:SAAV_0637
ko:K08974	sad:SAAV_0812
ko:K09013	sad:SAAV_0813
ko:K09015	sad:SAAV_0814
ko:K11717	sad:SAAV_0815
ko:K04488	sad:SAAV_0816
ko:K09014	sad:SAAV_0817
ko:K03885	sad:SAAV_0902
ko:K01255	sad:SAAV_0903
ko:K07084	sad:SAAV_0904
ko:K05571	sad:SAAV_0907
ko:K05570	sad:SAAV_0908
ko:K05569	sad:SAAV_0909
ko:K05568	sad:SAAV_0910
ko:K05567	sad:SAAV_0911
ko:K05566	sad:SAAV_0912
ko:K02313	sad:SAAV_0001
ko:K02338	sad:SAAV_0002
ko:K03629	sad:SAAV_0004
ko:K02470	sad:SAAV_0005
ko:K02469	sad:SAAV_0006
ko:K01745	sad:SAAV_0008
ko:K01875	sad:SAAV_0010
ko:K00641	sad:SAAV_0014
ko:K02939	sad:SAAV_0017
ko:K01939	sad:SAAV_0019
ko:K07668	sad:SAAV_0022
ko:K07652	sad:SAAV_0023
ko:K07090	sad:SAAV_0032
ko:K02035	sad:SAAV_0202
ko:K05916	sad:SAAV_0205
ko:K00016	sad:SAAV_0206
ko:K02773	sad:SAAV_0211
ko:K02774	sad:SAAV_0212
ko:K02775	sad:SAAV_0214
ko:K07322	sad:SAAV_0227
ko:K07704	sad:SAAV_0228
ko:K05338	sad:SAAV_0230
ko:K05339	sad:SAAV_0231
ko:K01223	sad:SAAV_0234
ko:K00852	sad:SAAV_0236
ko:K06726	sad:SAAV_0237
ko:K02529	sad:SAAV_0239
ko:K01442	sad:SAAV_0243
ko:K01056	sad:SAAV_0449
ko:K03723	sad:SAAV_0450
ko:K02499	sad:SAAV_0452
ko:K07571	sad:SAAV_0455
ko:K04075	sad:SAAV_0456
ko:K00760	sad:SAAV_0457
ko:K03798	sad:SAAV_0458
ko:K04083	sad:SAAV_0459
ko:K01738	sad:SAAV_0460
ko:K00796	sad:SAAV_0461
ko:K01633	sad:SAAV_0462
ko:K00950	sad:SAAV_0463
ko:K04567	sad:SAAV_0465
ko:K09007	sad:SAAV_0529
ko:K02564	sad:SAAV_0532
ko:K08094	sad:SAAV_0534
ko:K03762	sad:SAAV_0536
ko:K00626	sad:SAAV_0538
ko:K03648	sad:SAAV_0543
ko:K00625	sad:SAAV_0550
ko:K00869	sad:SAAV_0552
ko:K01597	sad:SAAV_0553
ko:K00938	sad:SAAV_0554
ko:K06885	sad:SAAV_0567
ko:K02240	sad:SAAV_0712
ko:K03070	sad:SAAV_0715
ko:K02836	sad:SAAV_0717
ko:K07023	sad:SAAV_0719
ko:K03702	sad:SAAV_0721
ko:K03701	sad:SAAV_0722
ko:K06023	sad:SAAV_0723
ko:K00384	sad:SAAV_0727
ko:K09762	sad:SAAV_0731
ko:K01358	sad:SAAV_0733
ko:K07071	sad:SAAV_0734
ko:K05311	sad:SAAV_0737
ko:K00134	sad:SAAV_0738
ko:K00927	sad:SAAV_0739
ko:K01803	sad:SAAV_0740
ko:K01689	sad:SAAV_0742
ko:K03075	sad:SAAV_0744
ko:K03928	sad:SAAV_0745
ko:K12573	sad:SAAV_0746
ko:K03664	sad:SAAV_0747
ko:K03704	sad:SAAV_0762
ko:K01771	sad:SAAV_0043
ko:K02034	sad:SAAV_0173
ko:K02035	sad:SAAV_0174
ko:K00681	sad:SAAV_0175
ko:K01118	sad:SAAV_0177
ko:K10112	sad:SAAV_0179
ko:K07784	sad:SAAV_0187
ko:K02012	sad:SAAV_0190
ko:K00656	sad:SAAV_0191
ko:K03427	sad:SAAV_0374
ko:K01154	sad:SAAV_0375
ko:K05577	sad:SAAV_0395
ko:K09822	sad:SAAV_0396
ko:K03928	sad:SAAV_0400
ko:K03308	sad:SAAV_0401
ko:K02071	sad:SAAV_0404
ko:K02072	sad:SAAV_0405
ko:K02073	sad:SAAV_0406
ko:K01887	sad:SAAV_0571
ko:K07457	sad:SAAV_0572
ko:K02016	sad:SAAV_0573
ko:K02015	sad:SAAV_0574
ko:K07025	sad:SAAV_0575
ko:K09936	sad:SAAV_0582
ko:K02015	sad:SAAV_0696
ko:K02013	sad:SAAV_0697
ko:K02016	sad:SAAV_0698
ko:K00075	sad:SAAV_0700
ko:K00865	sad:SAAV_0704
ko:K01258	sad:SAAV_0705
ko:K04069	sad:SAAV_0192
ko:K01126	sad:SAAV_0193
ko:K12268	sad:SAAV_2722
ko:K06180	sad:SAAV_0970
ko:K06213	sad:SAAV_0971
ko:K01104	sad:SAAV_0119
ko:K13012	sad:SAAV_0129
ko:K01784	sad:SAAV_0130
ko:K02472	sad:SAAV_0131
ko:K01791	sad:SAAV_0132
ko:K09790	sad:SAAV_0134
ko:K02049	sad:SAAV_0139
ko:K02051	sad:SAAV_0140
ko:K02050	sad:SAAV_0141
ko:K08996	sad:SAAV_0149
ko:K00930	sad:SAAV_0150
ko:K00620	sad:SAAV_0151
ko:K07224	sad:SAAV_0311
ko:K07243	sad:SAAV_0313
ko:K03118	sad:SAAV_0314
ko:K03116	sad:SAAV_0315
ko:K07729	sad:SAAV_0317
ko:K00626	sad:SAAV_0322
ko:K00549	sad:SAAV_0324
ko:K01760	sad:SAAV_0326
ko:K06942	sad:SAAV_0331
ko:K06347	sad:SAAV_0914
ko:K03768	sad:SAAV_0915
ko:K00819	sad:SAAV_0918
ko:K00260	sad:SAAV_0919
ko:K02990	sad:SAAV_0333
ko:K02963	sad:SAAV_0335
ko:K03387	sad:SAAV_0347
ko:K03386	sad:SAAV_0348
ko:K06956	sad:SAAV_0350
ko:K03816	sad:SAAV_0355
ko:K00088	sad:SAAV_0357
ko:K01951	sad:SAAV_0358
ko:K08987	sad:SAAV_0363
ko:K06966	sad:SAAV_0643
ko:K09768	sad:SAAV_0644
ko:K06153	sad:SAAV_0646
ko:K01669	sad:SAAV_0654
ko:K06934	sad:SAAV_0656
ko:K03976	sad:SAAV_0659
ko:K00882	sad:SAAV_0661
ko:K02768	sad:SAAV_0662
ko:K02769	sad:SAAV_0662
ko:K02770	sad:SAAV_0662
ko:K01443	sad:SAAV_0663
ko:K01126	sad:SAAV_0920
ko:K01755	sad:SAAV_0921
ko:K20554	sad:SAAV_2082
ko:K18707	sad:SAAV_1568
ko:K18672	sad:SAAV_2217
ko:K18704	sad:SAAV_0221
ko:K18682	sad:SAAV_1261
ko:K18692	sad:SAAV_1550
ko:K18906	sad:SAAV_0649
ko:K09692	sad:SAAV_1920
ko:K07171	sad:SAAV_c20
ko:K07723	sad:SAAV_2122
ko:K18909	sad:SAAV_0301
ko:K18908	sad:SAAV_0302
ko:K18941	sad:SAAV_1399
ko:K07467	sad:SAAV_1705
ko:K11040	sad:SAAV_1593
ko:K07171	sad:SAAV_2121
ko:K11040	sad:SAAV_1839
ko:K11040	sad:SAAV_1840
ko:K11040	sad:SAAV_1834
ko:K11040	sad:SAAV_1835
ko:K11040	sad:SAAV_1836
ko:K11040	sad:SAAV_1837
ko:K11040	sad:SAAV_1838
ko:K03497	sad:SAAV_2780
ko:K03169	sad:SAAV_2316
ko:K03111	sad:SAAV_2152
ko:K04940	sad:SAAV_2363
ko:K07467	sad:SAAV_0061
ko:K03111	sad:SAAV_0334
ko:K03111	sad:SAAV_0835
ko:K03497	sad:SAAV_0328
ko:K03502	sad:SAAV_1344
ko:K18907	sad:SAAV_0075
ko:K07498	sad:SAAV_c17
ko:K02315	sad:SAAV_0839
ko:K03498	sad:SAAV_2075
ko:K07029	sad:SAAV_1964
ko:K18979	sad:SAAV_1875
ko:K00949	sad:SAAV_1195
ko:K01318	sad:SAAV_1817
ko:K07816	sad:SAAV_2574
ko:K19077	sad:SAAV_0622
ko:K19078	sad:SAAV_0621
ko:K19158	sad:SAAV_2472
ko:K19225	sad:SAAV_1541
ko:K02777	sad:SAAV_1405
ko:K05881	sad:SAAV_0614
ko:K19068	sad:SAAV_0122
ko:K06223	sad:SAAV_0819
ko:K19081	sad:SAAV_2692
ko:K19082	sad:SAAV_2693
ko:K19083	sad:SAAV_2691
ko:K19084	sad:SAAV_2690
ko:K19159	sad:SAAV_2473
ko:K02031	sad:SAAV_0953
ko:K02032	sad:SAAV_1361
ko:K07485	sad:SAAV_1069
ko:K07485	sad:SAAV_1130
ko:K07485	sad:SAAV_1385
ko:K07485	sad:SAAV_1661
ko:K07485	sad:SAAV_2116
ko:K07485	sad:SAAV_2707
ko:K01992	sad:SAAV_2580
ko:K19411	sad:SAAV_0484
ko:K02031	sad:SAAV_1362
ko:K19302	sad:SAAV_1400
ko:K19405	sad:SAAV_0485
ko:K07485	sad:SAAV_1879
ko:K03574	sad:SAAV_1803
ko:K03722	sad:SAAV_1442
ko:K19576	sad:SAAV_0657
ko:K06881	sad:SAAV_1713
ko:K19689	sad:SAAV_1944
ko:K01258	sad:SAAV_1503
ko:K07119	sad:SAAV_2248
ko:K00547	sad:SAAV_0325
ko:K00297	sad:SAAV_0325
ko:K21636	sad:SAAV_2683
ko:K19975	sad:SAAV_0594
ko:K19976	sad:SAAV_0595
ko:K19973	sad:SAAV_0596
ko:K20074	sad:SAAV_1191
ko:K12132	sad:SAAV_1192
ko:K20116	sad:SAAV_0158
ko:K20117	sad:SAAV_0158
ko:K20118	sad:SAAV_0158
ko:K20116	sad:SAAV_2604
ko:K20117	sad:SAAV_2604
ko:K20118	sad:SAAV_2604
ko:K20338	sad:SAAV_1773
ko:K20494	sad:SAAV_1824
ko:K21949	sad:SAAV_0084
ko:K20337	sad:SAAV_1144
ko:K20337	sad:SAAV_1145
ko:K20534	sad:SAAV_0666
ko:K21721	sad:SAAV_0085
ko:K02790	sad:SAAV_0208
ko:K02791	sad:SAAV_0208
ko:K21029	sad:SAAV_2339
ko:K21030	sad:SAAV_0219
ko:K00525	sad:SAAV_0693
ko:K21030	sad:SAAV_0223
ko:K21064	sad:SAAV_0932
ko:K08968	sad:SAAV_1729
ko:K00435	sad:SAAV_0549
ko:K00526	sad:SAAV_0694
ko:K06217	sad:SAAV_1563
ko:K00287	sad:SAAV_1409
ko:K00560	sad:SAAV_1410
ko:K02316	sad:SAAV_1554
ko:K03553	sad:SAAV_1260
ko:K03546	sad:SAAV_1327
