ko:K09796	nmx:NMA510612_1966
ko:K03427	nmx:NMA510612_1544
ko:K06158	nmx:NMA510612_1548
ko:K00003	nmx:NMA510612_1550
ko:K06153	nmx:NMA510612_2347
ko:K03673	nmx:NMA510612_2348
ko:K07391	nmx:NMA510612_2350
ko:K09806	nmx:NMA510612_2351
ko:K11928	nmx:NMA510612_2353
ko:K13821	nmx:NMA510612_2354
ko:K01142	nmx:NMA510612_2359
ko:K00767	nmx:NMA510612_2362
ko:K03517	nmx:NMA510612_2364
ko:K00278	nmx:NMA510612_2365
ko:K01838	nmx:NMA510612_2366
ko:K00691	nmx:NMA510612_2367
ko:K01785	nmx:NMA510612_2368
ko:K16211	nmx:NMA510612_2369
ko:K01095	nmx:NMA510612_2371
ko:K00946	nmx:NMA510612_2372
ko:K13634	nmx:NMA510612_2375
ko:K03306	nmx:NMA510612_2379
ko:K09001	nmx:NMA510612_2381
ko:K06179	nmx:NMA510612_0086
ko:K03101	nmx:NMA510612_0694
ko:K03527	nmx:NMA510612_0695
ko:K01091	nmx:NMA510612_0696
ko:K09952	nmx:NMA510612_0701
ko:K02337	nmx:NMA510612_0703
ko:K14761	nmx:NMA510612_0705
ko:K07053	nmx:NMA510612_0708
ko:K00835	nmx:NMA510612_0709
ko:K11752	nmx:NMA510612_0717
ko:K07738	nmx:NMA510612_0718
ko:K01735	nmx:NMA510612_0720
ko:K00891	nmx:NMA510612_0721
ko:K02666	nmx:NMA510612_0725
ko:K02665	nmx:NMA510612_0726
ko:K02662	nmx:NMA510612_0729
ko:K05366	nmx:NMA510612_0730
ko:K03978	nmx:NMA510612_0732
ko:K07399	nmx:NMA510612_0735
ko:K01409	nmx:NMA510612_0738
ko:K02517	nmx:NMA510612_0739
ko:K00789	nmx:NMA510612_0740
ko:K07259	nmx:NMA510612_0742
ko:K03530	nmx:NMA510612_1552
ko:K01338	nmx:NMA510612_1553
ko:K03581	nmx:NMA510612_1556
ko:K09810	nmx:NMA510612_1557
ko:K09808	nmx:NMA510612_1558
ko:K06187	nmx:NMA510612_1561
ko:K03770	nmx:NMA510612_1562
ko:K00974	nmx:NMA510612_1565
ko:K03551	nmx:NMA510612_1567
ko:K01783	nmx:NMA510612_1568
ko:K06923	nmx:NMA510612_1570
ko:K00793	nmx:NMA510612_1571
ko:K03752	nmx:NMA510612_1572
ko:K07673	nmx:NMA510612_1573
ko:K07684	nmx:NMA510612_1574
ko:K01933	nmx:NMA510612_1576
ko:K01497	nmx:NMA510612_1580
ko:K14652	nmx:NMA510612_1583
ko:K03427	nmx:NMA510612_1585
ko:K07478	nmx:NMA510612_1586
ko:K01733	nmx:NMA510612_1593
ko:K00528	nmx:NMA510612_1595
ko:K01533	nmx:NMA510612_1597
ko:K03665	nmx:NMA510612_1598
ko:K09765	nmx:NMA510612_1601
ko:K03630	nmx:NMA510612_1602
ko:K07461	nmx:NMA510612_2404
ko:K08218	nmx:NMA510612_2405
ko:K01915	nmx:NMA510612_2406
ko:K00014	nmx:NMA510612_2411
ko:K03814	nmx:NMA510612_2412
ko:K06861	nmx:NMA510612_2417
ko:K09774	nmx:NMA510612_2418
ko:K11719	nmx:NMA510612_2419
ko:K03270	nmx:NMA510612_2420
ko:K06041	nmx:NMA510612_2421
ko:K00616	nmx:NMA510612_2422
ko:K01894	nmx:NMA510612_2424
ko:K05539	nmx:NMA510612_2425
ko:K07560	nmx:NMA510612_2426
ko:K05527	nmx:NMA510612_2430
ko:K09780	nmx:NMA510612_2431
ko:K06190	nmx:NMA510612_2432
ko:K01759	nmx:NMA510612_2434
ko:K00826	nmx:NMA510612_2438
ko:K00208	nmx:NMA510612_2439
ko:K00674	nmx:NMA510612_2440
ko:K01810	nmx:NMA510612_2442
ko:K02653	nmx:NMA510612_2443
ko:K02654	nmx:NMA510612_2444
ko:K00859	nmx:NMA510612_2445
ko:K09862	nmx:NMA510612_2446
ko:K02652	nmx:NMA510612_2447
ko:K02523	nmx:NMA510612_2451
ko:K03300	nmx:NMA510612_0745
ko:K07645	nmx:NMA510612_0747
ko:K08301	nmx:NMA510612_0749
ko:K03071	nmx:NMA510612_0751
ko:K03655	nmx:NMA510612_0752
ko:K00145	nmx:NMA510612_0754
ko:K13408	nmx:NMA510612_0758
ko:K13408	nmx:NMA510612_0759
ko:K15125	nmx:NMA510612_0763
ko:K13409	nmx:NMA510612_0783
ko:K07058	nmx:NMA510612_0784
ko:K06920	nmx:NMA510612_0787
ko:K01737	nmx:NMA510612_0789
ko:K08987	nmx:NMA510612_0791
ko:K01207	nmx:NMA510612_0795
ko:K10773	nmx:NMA510612_0799
ko:K01919	nmx:NMA510612_1603
ko:K01703	nmx:NMA510612_1604
ko:K01704	nmx:NMA510612_1606
ko:K00052	nmx:NMA510612_1612
ko:K01744	nmx:NMA510612_1615
ko:K06980	nmx:NMA510612_1621
ko:K14058	nmx:NMA510612_1622
ko:K01156	nmx:NMA510612_1623
ko:K07316	nmx:NMA510612_1624
ko:K03767	nmx:NMA510612_1625
ko:K09823	nmx:NMA510612_1627
ko:K01104	nmx:NMA510612_1628
ko:K00865	nmx:NMA510612_1629
ko:K07213	nmx:NMA510612_1633
ko:K09795	nmx:NMA510612_1637
ko:K01897	nmx:NMA510612_1641
ko:K02168	nmx:NMA510612_1642
ko:K08305	nmx:NMA510612_1647
ko:K03723	nmx:NMA510612_1651
ko:K01579	nmx:NMA510612_1652
ko:K01627	nmx:NMA510612_1653
ko:K01689	nmx:NMA510612_1655
ko:K02888	nmx:NMA510612_2453
ko:K02899	nmx:NMA510612_2454
ko:K02913	nmx:NMA510612_2456
ko:K02902	nmx:NMA510612_2457
ko:K03446	nmx:NMA510612_2459
ko:K03543	nmx:NMA510612_2460
ko:K09457	nmx:NMA510612_2462
ko:K09125	nmx:NMA510612_2463
ko:K08973	nmx:NMA510612_2474
ko:K01626	nmx:NMA510612_2478
ko:K02237	nmx:NMA510612_2484
ko:K03106	nmx:NMA510612_2491
ko:K03673	nmx:NMA510612_2492
ko:K02014	nmx:NMA510612_2495
ko:K07078	nmx:NMA510612_2497
ko:K15977	nmx:NMA510612_2498
ko:K01669	nmx:NMA510612_2500
ko:K01756	nmx:NMA510612_2505
ko:K03455	nmx:NMA510612_0076
ko:K02429	nmx:NMA510612_0803
ko:K03315	nmx:NMA510612_0805
ko:K06189	nmx:NMA510612_0806
ko:K07042	nmx:NMA510612_0808
ko:K01749	nmx:NMA510612_0807
ko:K00813	nmx:NMA510612_0810
ko:K03303	nmx:NMA510612_0813
ko:K03269	nmx:NMA510612_0814
ko:K03529	nmx:NMA510612_0816
ko:K13953	nmx:NMA510612_0818
ko:K02655	nmx:NMA510612_0820
ko:K13888	nmx:NMA510612_0821
ko:K05685	nmx:NMA510612_0822
ko:K03981	nmx:NMA510612_0823
ko:K04066	nmx:NMA510612_0824
ko:K04043	nmx:NMA510612_0830
ko:K15724	nmx:NMA510612_0833
ko:K03688	nmx:NMA510612_0836
ko:K00640	nmx:NMA510612_0838
ko:K03687	nmx:NMA510612_0840
ko:K05952	nmx:NMA510612_0842
ko:K03734	nmx:NMA510612_0843
ko:K00351	nmx:NMA510612_0844
ko:K00350	nmx:NMA510612_0845
ko:K00349	nmx:NMA510612_0846
ko:K00348	nmx:NMA510612_0847
ko:K00347	nmx:NMA510612_0848
ko:K00346	nmx:NMA510612_0849
ko:K09790	nmx:NMA510612_0852
ko:K09941	nmx:NMA510612_0853
ko:K03719	nmx:NMA510612_0854
ko:K05589	nmx:NMA510612_1656
ko:K00655	nmx:NMA510612_1663
ko:K10563	nmx:NMA510612_1665
ko:K08307	nmx:NMA510612_1667
ko:K06183	nmx:NMA510612_1668
ko:K03308	nmx:NMA510612_1671
ko:K00945	nmx:NMA510612_1673
ko:K02945	nmx:NMA510612_1675
ko:K05788	nmx:NMA510612_1676
ko:K00121	nmx:NMA510612_1678
ko:K01070	nmx:NMA510612_1679
ko:K06916	nmx:NMA510612_1680
ko:K00940	nmx:NMA510612_1681
ko:K06941	nmx:NMA510612_1683
ko:K02656	nmx:NMA510612_1684
ko:K01358	nmx:NMA510612_1686
ko:K03545	nmx:NMA510612_1687
ko:K03466	nmx:NMA510612_1689
ko:K02824	nmx:NMA510612_1691
ko:K17103	nmx:NMA510612_1695
ko:K07090	nmx:NMA510612_1696
ko:K02939	nmx:NMA510612_1699
ko:K02963	nmx:NMA510612_1700
ko:K02686	nmx:NMA510612_1701
ko:K02990	nmx:NMA510612_1702
ko:K00384	nmx:NMA510612_1704
ko:K17686	nmx:NMA510612_1705
ko:K03703	nmx:NMA510612_1706
ko:K07126	nmx:NMA510612_1707
ko:K03439	nmx:NMA510612_1708
ko:K06966	nmx:NMA510612_2506
ko:K01147	nmx:NMA510612_2507
ko:K03771	nmx:NMA510612_2511
ko:K04744	nmx:NMA510612_2512
ko:K07102	nmx:NMA510612_2513
ko:K03673	nmx:NMA510612_2514
ko:K03980	nmx:NMA510612_2516
ko:K07019	nmx:NMA510612_2517
ko:K01609	nmx:NMA510612_2518
ko:K03654	nmx:NMA510612_2519
ko:K02170	nmx:NMA510612_2523
ko:K03216	nmx:NMA510612_2524
ko:K03642	nmx:NMA510612_2525
ko:K03550	nmx:NMA510612_2527
ko:K06949	nmx:NMA510612_2530
ko:K03602	nmx:NMA510612_2532
ko:K00795	nmx:NMA510612_2533
ko:K00343	nmx:NMA510612_2535
ko:K00342	nmx:NMA510612_2536
ko:K03616	nmx:NMA510612_0075
ko:K08300	nmx:NMA510612_0089
ko:K00605	nmx:NMA510612_0855
ko:K02437	nmx:NMA510612_0857
ko:K02492	nmx:NMA510612_0858
ko:K07218	nmx:NMA510612_0861
ko:K00311	nmx:NMA510612_0866
ko:K02077	nmx:NMA510612_0888
ko:K02075	nmx:NMA510612_0889
ko:K02074	nmx:NMA510612_0890
ko:K02884	nmx:NMA510612_0891
ko:K00554	nmx:NMA510612_0892
ko:K02860	nmx:NMA510612_0893
ko:K02959	nmx:NMA510612_0894
ko:K02484	nmx:NMA510612_0896
ko:K06287	nmx:NMA510612_0901
ko:K03118	nmx:NMA510612_0902
ko:K03117	nmx:NMA510612_0903
ko:K03116	nmx:NMA510612_0904
ko:K02503	nmx:NMA510612_0905
ko:K01523	nmx:NMA510612_0906
ko:K07491	nmx:NMA510612_1709
ko:K03702	nmx:NMA510612_1711
ko:K03797	nmx:NMA510612_1713
ko:K05805	nmx:NMA510612_1716
ko:K07735	nmx:NMA510612_1717
ko:K07447	nmx:NMA510612_1718
ko:K01881	nmx:NMA510612_1720
ko:K00163	nmx:NMA510612_1721
ko:K00627	nmx:NMA510612_1722
ko:K00382	nmx:NMA510612_1723
ko:K02014	nmx:NMA510612_1725
ko:K01092	nmx:NMA510612_1727
ko:K02533	nmx:NMA510612_1729
ko:K09977	nmx:NMA510612_1730
ko:K03500	nmx:NMA510612_1732
ko:K08324	nmx:NMA510612_1734
ko:K05595	nmx:NMA510612_1735
ko:K02435	nmx:NMA510612_1736
ko:K02433	nmx:NMA510612_1737
ko:K09824	nmx:NMA510612_1738
ko:K02434	nmx:NMA510612_1739
ko:K00523	nmx:NMA510612_1740
ko:K00275	nmx:NMA510612_1741
ko:K06178	nmx:NMA510612_1743
ko:K03601	nmx:NMA510612_1745
ko:K01916	nmx:NMA510612_1746
ko:K07322	nmx:NMA510612_1747
ko:K03671	nmx:NMA510612_1749
ko:K06969	nmx:NMA510612_1750
ko:K03544	nmx:NMA510612_1759
ko:K03495	nmx:NMA510612_0095
ko:K03501	nmx:NMA510612_0099
ko:K02838	nmx:NMA510612_0103
ko:K00004	nmx:NMA510612_0907
ko:K03210	nmx:NMA510612_0910
ko:K03072	nmx:NMA510612_0911
ko:K03074	nmx:NMA510612_0912
ko:K02956	nmx:NMA510612_0914
ko:K11076	nmx:NMA510612_0916
ko:K11075	nmx:NMA510612_0917
ko:K11074	nmx:NMA510612_0918
ko:K09471	nmx:NMA510612_0919
ko:K03320	nmx:NMA510612_0920
ko:K03628	nmx:NMA510612_0924
ko:K09773	nmx:NMA510612_0926
ko:K03634	nmx:NMA510612_0929
ko:K11073	nmx:NMA510612_0931
ko:K02837	nmx:NMA510612_0936
ko:K01496	nmx:NMA510612_0937
ko:K02500	nmx:NMA510612_0938
ko:K01814	nmx:NMA510612_0939
ko:K02501	nmx:NMA510612_0940
ko:K13788	nmx:NMA510612_0942
ko:K02010	nmx:NMA510612_0943
ko:K02011	nmx:NMA510612_0944
ko:K02012	nmx:NMA510612_0945
ko:K01755	nmx:NMA510612_0948
ko:K00963	nmx:NMA510612_0949
ko:K02428	nmx:NMA510612_0950
ko:K01507	nmx:NMA510612_0952
ko:K08310	nmx:NMA510612_0953
ko:K02834	nmx:NMA510612_1760
ko:K03177	nmx:NMA510612_1763
ko:K01156	nmx:NMA510612_1766
ko:K00101	nmx:NMA510612_1767
ko:K13643	nmx:NMA510612_1768
ko:K04487	nmx:NMA510612_1769
ko:K04488	nmx:NMA510612_1771
ko:K13628	nmx:NMA510612_1772
ko:K09890	nmx:NMA510612_1773
ko:K04082	nmx:NMA510612_1774
ko:K02469	nmx:NMA510612_1775
ko:K01810	nmx:NMA510612_1780
ko:K00845	nmx:NMA510612_1782
ko:K01057	nmx:NMA510612_1783
ko:K00036	nmx:NMA510612_1786
ko:K01690	nmx:NMA510612_1787
ko:K01625	nmx:NMA510612_1788
ko:K18369	nmx:NMA510612_1790
ko:K03575	nmx:NMA510612_1792
ko:K11004	nmx:NMA510612_1798
ko:K01256	nmx:NMA510612_1803
ko:K07501	nmx:NMA510612_1804
ko:K02517	nmx:NMA510612_1806
ko:K01159	nmx:NMA510612_1807
ko:K03557	nmx:NMA510612_1808
ko:K05540	nmx:NMA510612_1809
ko:K05540	nmx:NMA510612_1811
ko:K02470	nmx:NMA510612_0064
ko:K00134	nmx:NMA510612_0078
ko:K03470	nmx:NMA510612_0096
ko:K00806	nmx:NMA510612_0104
ko:K00981	nmx:NMA510612_0105
ko:K00099	nmx:NMA510612_0106
ko:K11749	nmx:NMA510612_0107
ko:K07277	nmx:NMA510612_0108
ko:K06142	nmx:NMA510612_0109
ko:K02536	nmx:NMA510612_0110
ko:K02372	nmx:NMA510612_0111
ko:K00677	nmx:NMA510612_0113
ko:K03310	nmx:NMA510612_0114
ko:K00285	nmx:NMA510612_0115
ko:K07238	nmx:NMA510612_0116
ko:K01873	nmx:NMA510612_0117
ko:K04761	nmx:NMA510612_0119
ko:K03608	nmx:NMA510612_0120
ko:K03609	nmx:NMA510612_0121
ko:K03610	nmx:NMA510612_0122
ko:K02879	nmx:NMA510612_0123
ko:K03040	nmx:NMA510612_0124
ko:K02986	nmx:NMA510612_0125
ko:K03076	nmx:NMA510612_0126
ko:K02907	nmx:NMA510612_0127
ko:K02933	nmx:NMA510612_0128
ko:K02931	nmx:NMA510612_0129
ko:K02895	nmx:NMA510612_0130
ko:K02904	nmx:NMA510612_0131
ko:K02982	nmx:NMA510612_0132
ko:K02890	nmx:NMA510612_0133
ko:K02965	nmx:NMA510612_0134
ko:K02886	nmx:NMA510612_0135
ko:K02892	nmx:NMA510612_0136
ko:K02926	nmx:NMA510612_0137
ko:K02906	nmx:NMA510612_0138
ko:K06946	nmx:NMA510612_0140
ko:K06946	nmx:NMA510612_0141
ko:K02946	nmx:NMA510612_0143
ko:K02358	nmx:NMA510612_0144
ko:K02355	nmx:NMA510612_0145
ko:K02992	nmx:NMA510612_0146
ko:K02950	nmx:NMA510612_0147
ko:K03046	nmx:NMA510612_0151
ko:K03043	nmx:NMA510612_0153
ko:K02935	nmx:NMA510612_0154
ko:K02864	nmx:NMA510612_0155
ko:K03498	nmx:NMA510612_0960
ko:K01525	nmx:NMA510612_0961
ko:K01972	nmx:NMA510612_0968
ko:K03806	nmx:NMA510612_0971
ko:K07082	nmx:NMA510612_0972
ko:K00943	nmx:NMA510612_0973
ko:K00029	nmx:NMA510612_0974
ko:K00912	nmx:NMA510612_0976
ko:K09924	nmx:NMA510612_0977
ko:K09791	nmx:NMA510612_0978
ko:K00979	nmx:NMA510612_0979
ko:K01695	nmx:NMA510612_0985
ko:K01963	nmx:NMA510612_0986
ko:K01465	nmx:NMA510612_0990
ko:K03625	nmx:NMA510612_0992
ko:K00794	nmx:NMA510612_0993
ko:K03685	nmx:NMA510612_0995
ko:K01817	nmx:NMA510612_0998
ko:K04760	nmx:NMA510612_0999
ko:K00764	nmx:NMA510612_1000
ko:K03558	nmx:NMA510612_1002
ko:K11754	nmx:NMA510612_1004
ko:K02028	nmx:NMA510612_1007
ko:K02528	nmx:NMA510612_1010
ko:K04567	nmx:NMA510612_1819
ko:K01262	nmx:NMA510612_1823
ko:K03624	nmx:NMA510612_1827
ko:K00800	nmx:NMA510612_1829
ko:K00782	nmx:NMA510612_1834
ko:K01588	nmx:NMA510612_1836
ko:K03572	nmx:NMA510612_1840
ko:K02343	nmx:NMA510612_1841
ko:K09747	nmx:NMA510612_1842
ko:K03785	nmx:NMA510612_1846
ko:K03656	nmx:NMA510612_1847
ko:K02346	nmx:NMA510612_1848
ko:K00528	nmx:NMA510612_1851
ko:K02342	nmx:NMA510612_1854
ko:K00459	nmx:NMA510612_1857
ko:K09926	nmx:NMA510612_1859
ko:K00615	nmx:NMA510612_1862
ko:K01679	nmx:NMA510612_1864
ko:K19339	nmx:NMA510612_0860
ko:K22132	nmx:NMA510612_1911
ko:K07171	nmx:NMA510612_0427
ko:K19239	nmx:NMA510612_0507
ko:K00526	nmx:NMA510612_1657
ko:K10747	nmx:NMA510612_0412
ko:K18893	nmx:NMA510612_2529
ko:K07724	nmx:NMA510612_2114
ko:K03497	nmx:NMA510612_0558
ko:K07467	nmx:NMA510612_0881
ko:K03111	nmx:NMA510612_1868
ko:K03496	nmx:NMA510612_0098
ko:K03526	nmx:NMA510612_1685
ko:K14742	nmx:NMA510612_0644
ko:K07215	nmx:NMA510612_2169
ko:K07481	nmx:NMA510612_1238
ko:K07481	nmx:NMA510612_0501
ko:K07481	nmx:NMA510612_0502
ko:K07481	nmx:NMA510612_1335
ko:K07481	nmx:NMA510612_1357
ko:K07481	nmx:NMA510612_1375
ko:K07481	nmx:NMA510612_1378
ko:K07481	nmx:NMA510612_0583
ko:K07481	nmx:NMA510612_1391
ko:K07481	nmx:NMA510612_1392
ko:K07481	nmx:NMA510612_0697
ko:K07481	nmx:NMA510612_0698
ko:K07481	nmx:NMA510612_1584
ko:K07481	nmx:NMA510612_0827
ko:K07481	nmx:NMA510612_1795
ko:K07481	nmx:NMA510612_1796
ko:K07481	nmx:NMA510612_1872
ko:K07481	nmx:NMA510612_0238
ko:K07481	nmx:NMA510612_1957
ko:K07481	nmx:NMA510612_1961
ko:K07481	nmx:NMA510612_1999
ko:K00336	nmx:NMA510612_0010
ko:K12690	nmx:NMA510612_1336
ko:K02663	nmx:NMA510612_0728
ko:K02664	nmx:NMA510612_0727
ko:K07486	nmx:NMA510612_2358
ko:K07481	nmx:NMA510612_0499
ko:K18991	nmx:NMA510612_2013
ko:K00335	nmx:NMA510612_0013
ko:K07486	nmx:NMA510612_1321
ko:K07486	nmx:NMA510612_0826
ko:K06992	nmx:NMA510612_0867
ko:K06992	nmx:NMA510612_0184
ko:K06992	nmx:NMA510612_1184
ko:K07172	nmx:NMA510612_0428
ko:K15342	nmx:NMA510612_0700
ko:K19168	nmx:NMA510612_1005
ko:K01710	nmx:NMA510612_0201
ko:K01710	nmx:NMA510612_0216
ko:K07319	nmx:NMA510612_1295
ko:K09951	nmx:NMA510612_0699
ko:K00020	nmx:NMA510612_1997
ko:K07488	nmx:NMA510612_0512
ko:K07288	nmx:NMA510612_2433
ko:K01802	nmx:NMA510612_0295
ko:K00557	nmx:NMA510612_2183
ko:K19342	nmx:NMA510612_0864
ko:K03722	nmx:NMA510612_2502
ko:K07497	nmx:NMA510612_2112
ko:K07497	nmx:NMA510612_2113
ko:K07497	nmx:NMA510612_1426
ko:K19337	nmx:NMA510612_1781
ko:K19416	nmx:NMA510612_0452
ko:K19340	nmx:NMA510612_0862
ko:K19341	nmx:NMA510612_0863
ko:K07280	nmx:NMA510612_2467
ko:K14225	nmx:NMA510612_2005
ko:K14225	nmx:NMA510612_2008
ko:K14225	nmx:NMA510612_2007
ko:K14225	nmx:NMA510612_2006
ko:K00992	nmx:NMA510612_0680
ko:K19784	nmx:NMA510612_0743
ko:K06132	nmx:NMA510612_1831
ko:K19804	nmx:NMA510612_2435
ko:K08992	nmx:NMA510612_2436
ko:K16066	nmx:NMA510612_1246
ko:K14230	nmx:NMA510612_2345
ko:K14233	nmx:NMA510612_1236
ko:K14233	nmx:NMA510612_1521
ko:K14224	nmx:NMA510612_2042
ko:K14219	nmx:NMA510612_1063
ko:K14219	nmx:NMA510612_1855
ko:K14218	nmx:NMA510612_0226
ko:K14218	nmx:NMA510612_0458
ko:K14218	nmx:NMA510612_2487
ko:K14218	nmx:NMA510612_2155
ko:K01977	nmx:NMA510612_0228
ko:K01977	nmx:NMA510612_2157
ko:K01977	nmx:NMA510612_0456
ko:K01977	nmx:NMA510612_2489
ko:K09788	nmx:NMA510612_2313
ko:K20455	nmx:NMA510612_2314
ko:K14221	nmx:NMA510612_0071
ko:K14221	nmx:NMA510612_0073
ko:K14237	nmx:NMA510612_0072
ko:K14237	nmx:NMA510612_0074
ko:K14237	nmx:NMA510612_1039
ko:K14234	nmx:NMA510612_0101
ko:K14234	nmx:NMA510612_0161
ko:K14234	nmx:NMA510612_1202
ko:K14234	nmx:NMA510612_1203
ko:K14235	nmx:NMA510612_0159
ko:K14225	nmx:NMA510612_0162
ko:K14236	nmx:NMA510612_0163
ko:K01985	nmx:NMA510612_0224
ko:K01985	nmx:NMA510612_2485
ko:K01985	nmx:NMA510612_2153
ko:K01985	nmx:NMA510612_0460
ko:K14227	nmx:NMA510612_0227
ko:K14227	nmx:NMA510612_2156
ko:K14227	nmx:NMA510612_0457
ko:K14227	nmx:NMA510612_2488
ko:K14229	nmx:NMA510612_0284
ko:K14229	nmx:NMA510612_0676
ko:K14232	nmx:NMA510612_0374
ko:K14232	nmx:NMA510612_0794
ko:K14232	nmx:NMA510612_0954
ko:K14219	nmx:NMA510612_0375
ko:K14219	nmx:NMA510612_2181
ko:K14219	nmx:NMA510612_2449
ko:K14226	nmx:NMA510612_0376
ko:K14230	nmx:NMA510612_0421
ko:K14230	nmx:NMA510612_2206
ko:K14228	nmx:NMA510612_0624
ko:K14228	nmx:NMA510612_1522
ko:K14228	nmx:NMA510612_1523
ko:K14228	nmx:NMA510612_1578
ko:K14228	nmx:NMA510612_1990
ko:K14228	nmx:NMA510612_2003
ko:K14233	nmx:NMA510612_0983
ko:K14233	nmx:NMA510612_1237
ko:K14224	nmx:NMA510612_1064
ko:K14224	nmx:NMA510612_1856
ko:K14223	nmx:NMA510612_1211
ko:K14223	nmx:NMA510612_1213
ko:K14223	nmx:NMA510612_1212
ko:K14220	nmx:NMA510612_1946
ko:K14220	nmx:NMA510612_2256
ko:K14222	nmx:NMA510612_2004
ko:K14218	nmx:NMA510612_2346
ko:K14231	nmx:NMA510612_2415
ko:K01980	nmx:NMA510612_0225
ko:K01980	nmx:NMA510612_0459
ko:K01980	nmx:NMA510612_2486
ko:K01980	nmx:NMA510612_2154
ko:K18133	nmx:NMA510612_0425
ko:K18132	nmx:NMA510612_1826
ko:K08968	nmx:NMA510612_0627
ko:K00821	nmx:NMA510612_1758
ko:K21029	nmx:NMA510612_0398
ko:K01520	nmx:NMA510612_1232
ko:K00558	nmx:NMA510612_0464
ko:K00560	nmx:NMA510612_2212
ko:K03676	nmx:NMA510612_0750
ko:K00558	nmx:NMA510612_1607
ko:K00558	nmx:NMA510612_1608
ko:K00558	nmx:NMA510612_1609
ko:K00287	nmx:NMA510612_2476
ko:K00558	nmx:NMA510612_1659
ko:K03553	nmx:NMA510612_1844
ko:K00558	nmx:NMA510612_0205
ko:K02316	nmx:NMA510612_1955
ko:K00558	nmx:NMA510612_1154
ko:K06217	nmx:NMA510612_1174
ko:K02314	nmx:NMA510612_1225
ko:K00525	nmx:NMA510612_1660
ko:K06020	nmx:NMA510612_2370
ko:K02335	nmx:NMA510612_0503
ko:K01139	nmx:NMA510612_2159
ko:K07741	nmx:NMA510612_1436
ko:K01420	nmx:NMA510612_2376
ko:K10026	nmx:NMA510612_0792
ko:K21929	nmx:NMA510612_0642
ko:K03595	nmx:NMA510612_0996
ko:K02650	nmx:NMA510612_0293
ko:K07488	nmx:NMA510612_0610
ko:K07488	nmx:NMA510612_0782
ko:K07488	nmx:NMA510612_2482
ko:K07488	nmx:NMA510612_1776
ko:K07488	nmx:NMA510612_1799
ko:K22292	nmx:NMA510612_0927
ko:K01947	nmx:NMA510612_0379
ko:K17758	nmx:NMA510612_1518
ko:K11206	nmx:NMA510612_2302
ko:K01007	nmx:NMA510612_0925
