ko:K12978	fpz:LA55_301
ko:K00640	fpz:LA55_204
ko:K01738	fpz:LA55_206
ko:K02967	fpz:LA55_207
ko:K02357	fpz:LA55_208
ko:K09903	fpz:LA55_209
ko:K02838	fpz:LA55_210
ko:K00806	fpz:LA55_211
ko:K00981	fpz:LA55_212
ko:K00995	fpz:LA55_214
ko:K02950	fpz:LA55_215
ko:K02992	fpz:LA55_216
ko:K02355	fpz:LA55_217
ko:K02946	fpz:LA55_218
ko:K02906	fpz:LA55_219
ko:K02926	fpz:LA55_220
ko:K02892	fpz:LA55_221
ko:K02886	fpz:LA55_222
ko:K02965	fpz:LA55_223
ko:K02890	fpz:LA55_224
ko:K02982	fpz:LA55_225
ko:K02878	fpz:LA55_226
ko:K01662	fpz:LA55_1072
ko:K01951	fpz:LA55_1073
ko:K06173	fpz:LA55_1074
ko:K06861	fpz:LA55_1077
ko:K11719	fpz:LA55_1079
ko:K03270	fpz:LA55_1080
ko:K01507	fpz:LA55_1081
ko:K07258	fpz:LA55_1082
ko:K09158	fpz:LA55_1083
ko:K03801	fpz:LA55_1084
ko:K03086	fpz:LA55_1086
ko:K09117	fpz:LA55_1088
ko:K02970	fpz:LA55_1089
ko:K07259	fpz:LA55_1090
ko:K07107	fpz:LA55_1092
ko:K14058	fpz:LA55_1093
ko:K03773	fpz:LA55_1094
ko:K02523	fpz:LA55_1095
ko:K03789	fpz:LA55_1098
ko:K06178	fpz:LA55_1100
ko:K02656	fpz:LA55_1101
ko:K06941	fpz:LA55_1102
ko:K02939	fpz:LA55_1104
ko:K02963	fpz:LA55_1105
ko:K02990	fpz:LA55_1106
ko:K00243	fpz:LA55_1107
ko:K03656	fpz:LA55_1108
ko:K06980	fpz:LA55_1109
ko:K00616	fpz:LA55_1111
ko:K01255	fpz:LA55_1112
ko:K01872	fpz:LA55_1114
ko:K03657	fpz:LA55_1116
ko:K09710	fpz:LA55_1118
ko:K18979	fpz:LA55_1119
ko:K02115	fpz:LA55_1921
ko:K02111	fpz:LA55_1922
ko:K02113	fpz:LA55_1923
ko:K02109	fpz:LA55_1924
ko:K02110	fpz:LA55_1925
ko:K02108	fpz:LA55_1926
ko:K06179	fpz:LA55_1930
ko:K06916	fpz:LA55_1931
ko:K01892	fpz:LA55_1933
ko:K02834	fpz:LA55_1934
ko:K02519	fpz:LA55_1935
ko:K02600	fpz:LA55_1936
ko:K09748	fpz:LA55_1937
ko:K01599	fpz:LA55_1939
ko:K07391	fpz:LA55_1940
ko:K07391	fpz:LA55_1954
ko:K09806	fpz:LA55_1955
ko:K00343	fpz:LA55_1956
ko:K00342	fpz:LA55_1957
ko:K00341	fpz:LA55_1958
ko:K00340	fpz:LA55_1959
ko:K00339	fpz:LA55_1960
ko:K00338	fpz:LA55_1961
ko:K00337	fpz:LA55_1962
ko:K00334	fpz:LA55_1965
ko:K00333	fpz:LA55_1966
ko:K00332	fpz:LA55_1967
ko:K00331	fpz:LA55_1968
ko:K00330	fpz:LA55_1969
ko:K03711	fpz:LA55_1970
ko:K03837	fpz:LA55_9
ko:K00609	fpz:LA55_10
ko:K01955	fpz:LA55_12
ko:K01956	fpz:LA55_13
ko:K00569	fpz:LA55_16
ko:K01465	fpz:LA55_18
ko:K09941	fpz:LA55_20
ko:K01591	fpz:LA55_24
ko:K00254	fpz:LA55_26
ko:K02904	fpz:LA55_227
ko:K02961	fpz:LA55_228
ko:K02874	fpz:LA55_229
ko:K02895	fpz:LA55_230
ko:K02931	fpz:LA55_231
ko:K02954	fpz:LA55_232
ko:K02994	fpz:LA55_233
ko:K02933	fpz:LA55_234
ko:K02881	fpz:LA55_235
ko:K02988	fpz:LA55_236
ko:K02907	fpz:LA55_237
ko:K02876	fpz:LA55_238
ko:K03076	fpz:LA55_239
ko:K02919	fpz:LA55_240
ko:K02952	fpz:LA55_241
ko:K02948	fpz:LA55_242
ko:K02986	fpz:LA55_243
ko:K03040	fpz:LA55_244
ko:K02879	fpz:LA55_245
ko:K10716	fpz:LA55_246
ko:K04079	fpz:LA55_247
ko:K00611	fpz:LA55_248
ko:K00930	fpz:LA55_249
ko:K00620	fpz:LA55_250
ko:K00145	fpz:LA55_251
ko:K00819	fpz:LA55_253
ko:K03402	fpz:LA55_252
ko:K01755	fpz:LA55_254
ko:K01940	fpz:LA55_255
ko:K01937	fpz:LA55_257
ko:K00940	fpz:LA55_258
ko:K01963	fpz:LA55_259
ko:K11754	fpz:LA55_260
ko:K06925	fpz:LA55_261
ko:K07126	fpz:LA55_262
ko:K03980	fpz:LA55_263
ko:K01919	fpz:LA55_264
ko:K02909	fpz:LA55_265
ko:K03427	fpz:LA55_270
ko:K01154	fpz:LA55_272
ko:K01153	fpz:LA55_276
ko:K12267	fpz:LA55_1123
ko:K02168	fpz:LA55_1124
ko:K03437	fpz:LA55_1126
ko:K07107	fpz:LA55_1128
ko:K01442	fpz:LA55_1130
ko:K00432	fpz:LA55_1140
ko:K03781	fpz:LA55_1142
ko:K04761	fpz:LA55_1146
ko:K00128	fpz:LA55_1150
ko:K07260	fpz:LA55_1153
ko:K02342	fpz:LA55_1154
ko:K06193	fpz:LA55_1157
ko:K03386	fpz:LA55_1159
ko:K06134	fpz:LA55_1163
ko:K00024	fpz:LA55_1166
ko:K03674	fpz:LA55_1168
ko:K06158	fpz:LA55_1172
ko:K00836	fpz:LA55_1972
ko:K13745	fpz:LA55_1973
ko:K03897	fpz:LA55_1975
ko:K02434	fpz:LA55_1982
ko:K02433	fpz:LA55_1983
ko:K02435	fpz:LA55_1984
ko:K01756	fpz:LA55_1987
ko:K01952	fpz:LA55_1992
ko:K00764	fpz:LA55_1993
ko:K01580	fpz:LA55_1994
ko:K06133	fpz:LA55_1995
ko:K12340	fpz:LA55_1996
ko:K00573	fpz:LA55_1997
ko:K08303	fpz:LA55_2001
ko:K18552	fpz:LA55_2003
ko:K02471	fpz:LA55_2004
ko:K03979	fpz:LA55_2007
ko:K07667	fpz:LA55_2009
ko:K07646	fpz:LA55_2011
ko:K01548	fpz:LA55_2012
ko:K01547	fpz:LA55_2013
ko:K01546	fpz:LA55_2014
ko:K01118	fpz:LA55_2016
ko:K07784	fpz:LA55_2018
ko:K00812	fpz:LA55_2025
ko:K01586	fpz:LA55_2026
ko:K04744	fpz:LA55_566
ko:K03771	fpz:LA55_567
ko:K02528	fpz:LA55_568
ko:K01525	fpz:LA55_569
ko:K03786	fpz:LA55_570
ko:K02160	fpz:LA55_571
ko:K01961	fpz:LA55_572
ko:K16052	fpz:LA55_574
ko:K04568	fpz:LA55_575
ko:K03524	fpz:LA55_576
ko:K07462	fpz:LA55_577
ko:K03548	fpz:LA55_578
ko:K11073	fpz:LA55_580
ko:K07052	fpz:LA55_581
ko:K06949	fpz:LA55_582
ko:K03572	fpz:LA55_585
ko:K00384	fpz:LA55_589
ko:K01091	fpz:LA55_590
ko:K10680	fpz:LA55_592
ko:K06201	fpz:LA55_594
ko:K01902	fpz:LA55_602
ko:K01903	fpz:LA55_603
ko:K05539	fpz:LA55_606
ko:K02470	fpz:LA55_608
ko:K06215	fpz:LA55_612
ko:K08681	fpz:LA55_613
ko:K10563	fpz:LA55_614
ko:K03438	fpz:LA55_616
ko:K03586	fpz:LA55_617
ko:K03587	fpz:LA55_618
ko:K02956	fpz:LA55_619
ko:K00962	fpz:LA55_620
ko:K03686	fpz:LA55_1441
ko:K04043	fpz:LA55_1442
ko:K03687	fpz:LA55_1443
ko:K08304	fpz:LA55_1444
ko:K02871	fpz:LA55_1447
ko:K02996	fpz:LA55_1448
ko:K03599	fpz:LA55_1449
ko:K03600	fpz:LA55_1450
ko:K03470	fpz:LA55_1457
ko:K02533	fpz:LA55_1458
ko:K02806	fpz:LA55_1459
ko:K05808	fpz:LA55_1460
ko:K03650	fpz:LA55_1462
ko:K01442	fpz:LA55_1465
ko:K01697	fpz:LA55_1467
ko:K11900	fpz:LA55_1492
ko:K11901	fpz:LA55_1493
ko:K09001	fpz:LA55_1495
ko:K01194	fpz:LA55_1497
ko:K01624	fpz:LA55_1498
ko:K14187	fpz:LA55_25
ko:K07560	fpz:LA55_27
ko:K01193	fpz:LA55_30
ko:K03305	fpz:LA55_31
ko:K00052	fpz:LA55_32
ko:K01704	fpz:LA55_33
ko:K01703	fpz:LA55_34
ko:K01649	fpz:LA55_35
ko:K00826	fpz:LA55_36
ko:K01006	fpz:LA55_37
ko:K13288	fpz:LA55_38
ko:K02356	fpz:LA55_39
ko:K02655	fpz:LA55_40
ko:K02517	fpz:LA55_41
ko:K02517	fpz:LA55_42
ko:K03217	fpz:LA55_43
ko:K08998	fpz:LA55_44
ko:K03536	fpz:LA55_45
ko:K02914	fpz:LA55_46
ko:K00014	fpz:LA55_48
ko:K01924	fpz:LA55_49
ko:K07056	fpz:LA55_50
ko:K07015	fpz:LA55_52
ko:K00945	fpz:LA55_905
ko:K00831	fpz:LA55_907
ko:K00228	fpz:LA55_908
ko:K07146	fpz:LA55_909
ko:K03554	fpz:LA55_911
ko:K11906	fpz:LA55_933
ko:K11893	fpz:LA55_934
ko:K11892	fpz:LA55_935
ko:K11891	fpz:LA55_936
ko:K11891	fpz:LA55_937
ko:K11901	fpz:LA55_939
ko:K11900	fpz:LA55_940
ko:K11905	fpz:LA55_941
ko:K11896	fpz:LA55_942
ko:K11895	fpz:LA55_943
ko:K07126	fpz:LA55_947
ko:K07126	fpz:LA55_948
ko:K07126	fpz:LA55_950
ko:K07126	fpz:LA55_951
ko:K11907	fpz:LA55_956
ko:K11904	fpz:LA55_958
ko:K12297	fpz:LA55_962
ko:K00567	fpz:LA55_1764
ko:K01586	fpz:LA55_1769
ko:K00262	fpz:LA55_1772
ko:K07007	fpz:LA55_1774
ko:K04077	fpz:LA55_1781
ko:K04078	fpz:LA55_1782
ko:K18552	fpz:LA55_1786
ko:K04758	fpz:LA55_1787
ko:K04759	fpz:LA55_1788
ko:K09458	fpz:LA55_1791
ko:K00059	fpz:LA55_1792
ko:K00647	fpz:LA55_1794
ko:K02078	fpz:LA55_1797
ko:K02078	fpz:LA55_1798
ko:K07107	fpz:LA55_1804
ko:K09861	fpz:LA55_1809
ko:K00783	fpz:LA55_1810
ko:K02493	fpz:LA55_1811
ko:K02835	fpz:LA55_1812
ko:K02492	fpz:LA55_1813
ko:K17713	fpz:LA55_1815
ko:K02622	fpz:LA55_1817
ko:K19147	fpz:LA55_495
ko:K07452	fpz:LA55_494
ko:K01710	fpz:LA55_1633
ko:K15897	fpz:LA55_1643
ko:K01710	fpz:LA55_1657
ko:K22468	fpz:LA55_1707
ko:K01977	fpz:LA55_461
ko:K01977	fpz:LA55_1479
ko:K01977	fpz:LA55_2024
ko:K00336	fpz:LA55_1963
ko:K01183	fpz:LA55_638
ko:K07497	fpz:LA55_1942
ko:K01992	fpz:LA55_654
ko:K00525	fpz:LA55_1167
ko:K08156	fpz:LA55_593
ko:K00928	fpz:LA55_1971
ko:K02650	fpz:LA55_1175
ko:K02650	fpz:LA55_410
ko:K02650	fpz:LA55_874
ko:K02650	fpz:LA55_877
ko:K14234	fpz:LA55_2094
ko:K14236	fpz:LA55_1850
ko:K01980	fpz:LA55_1475
ko:K01980	fpz:LA55_465
ko:K01980	fpz:LA55_2020
ko:K14218	fpz:LA55_1477
ko:K14218	fpz:LA55_463
ko:K14218	fpz:LA55_2022
ko:K14219	fpz:LA55_1728
ko:K14233	fpz:LA55_868
ko:K14233	fpz:LA55_375
ko:K14233	fpz:LA55_458
ko:K14237	fpz:LA55_459
ko:K14237	fpz:LA55_625
ko:K14228	fpz:LA55_1353
ko:K14228	fpz:LA55_1551
ko:K14228	fpz:LA55_1615
ko:K14226	fpz:LA55_1354
ko:K14222	fpz:LA55_1552
ko:K14225	fpz:LA55_1849
ko:K14230	fpz:LA55_1708
ko:K14230	fpz:LA55_1938
ko:K14221	fpz:LA55_2093
ko:K14223	fpz:LA55_124
ko:K14224	fpz:LA55_203
ko:K01985	fpz:LA55_466
ko:K01985	fpz:LA55_2019
ko:K01985	fpz:LA55_1474
ko:K01985	fpz:LA55_499
ko:K14229	fpz:LA55_675
ko:K14229	fpz:LA55_676
ko:K14234	fpz:LA55_1848
ko:K14237	fpz:LA55_961
ko:K14230	fpz:LA55_292
ko:K14228	fpz:LA55_1902
ko:K14219	fpz:LA55_1355
ko:K14231	fpz:LA55_1357
ko:K14232	fpz:LA55_1356
ko:K14225	fpz:LA55_1553
ko:K14225	fpz:LA55_1729
ko:K07666	fpz:LA55_1701
ko:K14220	fpz:LA55_1561
ko:K19802	fpz:LA55_1138
ko:K00544	fpz:LA55_102
ko:K19810	fpz:LA55_835
ko:K05770	fpz:LA55_1125
ko:K03789	fpz:LA55_127
ko:K09796	fpz:LA55_1720
ko:K20265	fpz:LA55_321
ko:K20265	fpz:LA55_1780
ko:K20265	fpz:LA55_1768
ko:K20265	fpz:LA55_1021
ko:K20265	fpz:LA55_579
ko:K00507	fpz:LA55_1696
ko:K00507	fpz:LA55_1835
ko:K03762	fpz:LA55_1306
ko:K09691	fpz:LA55_1627
ko:K13713	fpz:LA55_414
ko:K20534	fpz:LA55_1589
ko:K03271	fpz:LA55_74
ko:K01932	fpz:LA55_1351
ko:K01200	fpz:LA55_512
ko:K00632	fpz:LA55_1674
ko:K00857	fpz:LA55_1211
ko:K06217	fpz:LA55_1214
ko:K06905	fpz:LA55_1215
ko:K06906	fpz:LA55_1217
ko:K06908	fpz:LA55_1220
ko:K06907	fpz:LA55_1221
ko:K06903	fpz:LA55_1228
ko:K13522	fpz:LA55_475
ko:K00560	fpz:LA55_1410
ko:K06919	fpz:LA55_1611
ko:K03462	fpz:LA55_1678
ko:K03553	fpz:LA55_95
ko:K00287	fpz:LA55_205
ko:K01520	fpz:LA55_213
ko:K02316	fpz:LA55_1087
ko:K02314	fpz:LA55_1103
ko:K02335	fpz:LA55_1876
ko:K02483	fpz:LA55_1688
ko:K03293	fpz:LA55_402
ko:K01139	fpz:LA55_1348
ko:K01582	fpz:LA55_502
ko:K21469	fpz:LA55_1778
ko:K21600	fpz:LA55_1054
ko:K21600	fpz:LA55_1148
ko:K04103	fpz:LA55_89
ko:K15899	fpz:LA55_1644
ko:K21829	fpz:LA55_373
ko:K03741	fpz:LA55_288
ko:K22116	fpz:LA55_1350
ko:K22132	fpz:LA55_1162
ko:K03595	fpz:LA55_1204
ko:K03892	fpz:LA55_289
ko:K03892	fpz:LA55_965
ko:K07488	fpz:LA55_1929
ko:K13566	fpz:LA55_1572
ko:K00526	fpz:LA55_1169
ko:K03676	fpz:LA55_1169
