ko:K01006	pad:TIIST44_03015
ko:K03686	pad:TIIST44_10070
ko:K03705	pad:TIIST44_10075
ko:K01895	pad:TIIST44_10100
ko:K01895	pad:TIIST44_10105
ko:K01661	pad:TIIST44_10115
ko:K01911	pad:TIIST44_10120
ko:K02551	pad:TIIST44_10135
ko:K01925	pad:TIIST44_10660
ko:K01000	pad:TIIST44_10665
ko:K01929	pad:TIIST44_10670
ko:K01928	pad:TIIST44_10675
ko:K03587	pad:TIIST44_10680
ko:K03438	pad:TIIST44_10690
ko:K03925	pad:TIIST44_10695
ko:K03924	pad:TIIST44_10700
ko:K00605	pad:TIIST44_10720
ko:K02437	pad:TIIST44_10725
ko:K00281	pad:TIIST44_10730
ko:K01649	pad:TIIST44_09945
ko:K07042	pad:TIIST44_09965
ko:K06958	pad:TIIST44_10410
ko:K03703	pad:TIIST44_10415
ko:K03701	pad:TIIST44_10435
ko:K03702	pad:TIIST44_10455
ko:K02016	pad:TIIST44_10470
ko:K02015	pad:TIIST44_10475
ko:K02013	pad:TIIST44_10480
ko:K02230	pad:TIIST44_10485
ko:K00859	pad:TIIST44_10515
ko:K02013	pad:TIIST44_10530
ko:K02015	pad:TIIST44_10535
ko:K02016	pad:TIIST44_10540
ko:K02945	pad:TIIST44_10550
ko:K06199	pad:TIIST44_10580
ko:K06199	pad:TIIST44_10585
ko:K00873	pad:TIIST44_10595
ko:K06180	pad:TIIST44_10600
ko:K03101	pad:TIIST44_10605
ko:K06204	pad:TIIST44_10610
ko:K02221	pad:TIIST44_10620
ko:K09772	pad:TIIST44_10625
ko:K05810	pad:TIIST44_10630
ko:K03531	pad:TIIST44_10635
ko:K03589	pad:TIIST44_10640
ko:K01924	pad:TIIST44_10645
ko:K02563	pad:TIIST44_10650
ko:K03588	pad:TIIST44_10655
ko:K02013	pad:TIIST44_11195
ko:K02015	pad:TIIST44_11200
ko:K02016	pad:TIIST44_11205
ko:K13993	pad:TIIST44_10755
ko:K00297	pad:TIIST44_10780
ko:K01626	pad:TIIST44_10815
ko:K00655	pad:TIIST44_10825
ko:K02276	pad:TIIST44_10890
ko:K07164	pad:TIIST44_11245
ko:K02259	pad:TIIST44_11255
ko:K03117	pad:TIIST44_11285
ko:K01714	pad:TIIST44_11290
ko:K00975	pad:TIIST44_11300
ko:K03762	pad:TIIST44_11330
ko:K00613	pad:TIIST44_11340
ko:K00325	pad:TIIST44_11365
ko:K00324	pad:TIIST44_11370
ko:K03823	pad:TIIST44_11375
ko:K07101	pad:TIIST44_11380
ko:K13821	pad:TIIST44_11395
ko:K02003	pad:TIIST44_11435
ko:K02029	pad:TIIST44_11450
ko:K01897	pad:TIIST44_00970
ko:K16926	pad:TIIST44_03115
ko:K18682	pad:TIIST44_09560
ko:K05342	pad:TIIST44_09100
ko:K15771	pad:TIIST44_00760
ko:K16147	pad:TIIST44_09070
ko:K16148	pad:TIIST44_11305
ko:K16163	pad:TIIST44_10440
ko:K18955	pad:TIIST44_05800
ko:K14232	pad:TIIST44_t11736
ko:K10716	pad:TIIST44_08810
ko:K03284	pad:TIIST44_01405
ko:K14232	pad:TIIST44_t11766
ko:K13787	pad:TIIST44_10785
ko:K00845	pad:TIIST44_10835
ko:K02342	pad:TIIST44_10850
ko:K03889	pad:TIIST44_10895
ko:K03890	pad:TIIST44_10900
ko:K03891	pad:TIIST44_10905
ko:K00088	pad:TIIST44_10915
ko:K01119	pad:TIIST44_02155
ko:K00939	pad:TIIST44_01975
ko:K02035	pad:TIIST44_02000
ko:K02035	pad:TIIST44_02005
ko:K02033	pad:TIIST44_02025
ko:K01885	pad:TIIST44_02145
ko:K00567	pad:TIIST44_00115
ko:K00241	pad:TIIST44_00170
ko:K10563	pad:TIIST44_00235
ko:K02025	pad:TIIST44_00260
ko:K01191	pad:TIIST44_00280
ko:K01788	pad:TIIST44_02765
ko:K03776	pad:TIIST44_02825
ko:K02004	pad:TIIST44_02925
ko:K13640	pad:TIIST44_02960
ko:K01619	pad:TIIST44_03000
ko:K09992	pad:TIIST44_03005
ko:K11105	pad:TIIST44_03715
ko:K03307	pad:TIIST44_03795
ko:K07177	pad:TIIST44_08050
ko:K02035	pad:TIIST44_08230
ko:K02033	pad:TIIST44_08235
ko:K00058	pad:TIIST44_08255
ko:K05602	pad:TIIST44_08260
ko:K04517	pad:TIIST44_08585
ko:K07442	pad:TIIST44_08620
ko:K01835	pad:TIIST44_09115
ko:K07503	pad:TIIST44_09130
ko:K03768	pad:TIIST44_09140
ko:K01243	pad:TIIST44_09170
ko:K07305	pad:TIIST44_09295
ko:K03499	pad:TIIST44_09330
ko:K03499	pad:TIIST44_09335
ko:K02823	pad:TIIST44_09630
ko:K07114	pad:TIIST44_09750
ko:K07114	pad:TIIST44_09755
ko:K02549	pad:TIIST44_10140
ko:K05341	pad:TIIST44_10160
ko:K02238	pad:TIIST44_10180
ko:K00027	pad:TIIST44_10210
ko:K00016	pad:TIIST44_10215
ko:K03079	pad:TIIST44_10245
ko:K07048	pad:TIIST44_10255
ko:K09762	pad:TIIST44_10400
ko:K05522	pad:TIIST44_00915
ko:K00033	pad:TIIST44_00955
ko:K14162	pad:TIIST44_01060
ko:K07009	pad:TIIST44_01085
ko:K02025	pad:TIIST44_01100
ko:K03855	pad:TIIST44_03875
ko:K02619	pad:TIIST44_04110
ko:K01488	pad:TIIST44_04180
ko:K01679	pad:TIIST44_04280
ko:K02025	pad:TIIST44_04290
ko:K00970	pad:TIIST44_04325
ko:K08372	pad:TIIST44_04355
ko:K06177	pad:TIIST44_04370
ko:K10440	pad:TIIST44_04685
ko:K10439	pad:TIIST44_04690
ko:K00852	pad:TIIST44_04695
ko:K00854	pad:TIIST44_04730
ko:K02775	pad:TIIST44_04740
ko:K03491	pad:TIIST44_04760
ko:K02004	pad:TIIST44_04890
ko:K01222	pad:TIIST44_04930
ko:K01191	pad:TIIST44_04935
ko:K09704	pad:TIIST44_04950
ko:K12373	pad:TIIST44_04955
ko:K02274	pad:TIIST44_10945
ko:K02351	pad:TIIST44_11000
ko:K07245	pad:TIIST44_11000
ko:K01186	pad:TIIST44_11035
ko:K01186	pad:TIIST44_11040
ko:K13671	pad:TIIST44_11055
ko:K07214	pad:TIIST44_11060
ko:K01197	pad:TIIST44_11080
ko:K14761	pad:TIIST44_11460
ko:K07588	pad:TIIST44_11470
ko:K01847	pad:TIIST44_11475
ko:K01847	pad:TIIST44_11480
ko:K01478	pad:TIIST44_11550
ko:K12503	pad:TIIST44_11650
ko:K03783	pad:TIIST44_01430
ko:K03469	pad:TIIST44_01465
ko:K01489	pad:TIIST44_01470
ko:K02056	pad:TIIST44_01485
ko:K00088	pad:TIIST44_01655
ko:K00088	pad:TIIST44_01660
ko:K05794	pad:TIIST44_10450
ko:K03404	pad:TIIST44_10495
ko:K03405	pad:TIIST44_10500
ko:K07504	pad:TIIST44_11235
ko:K01262	pad:TIIST44_11250
ko:K03593	pad:TIIST44_11275
ko:K01439	pad:TIIST44_11320
ko:K00674	pad:TIIST44_11345
ko:K02077	pad:TIIST44_11410
ko:K02074	pad:TIIST44_11415
ko:K07386	pad:TIIST44_02330
ko:K02228	pad:TIIST44_02385
ko:K00805	pad:TIIST44_02390
ko:K02552	pad:TIIST44_02475
ko:K03177	pad:TIIST44_00375
ko:K02783	pad:TIIST44_00410
ko:K02782	pad:TIIST44_00415
ko:K02783	pad:TIIST44_00415
ko:K06976	pad:TIIST44_00520
ko:K07004	pad:TIIST44_00545
ko:K00564	pad:TIIST44_03025
ko:K01426	pad:TIIST44_03045
ko:K06147	pad:TIIST44_03105
ko:K06147	pad:TIIST44_03110
ko:K01081	pad:TIIST44_03175
ko:K01104	pad:TIIST44_03260
ko:K07669	pad:TIIST44_03270
ko:K07653	pad:TIIST44_03275
ko:K01823	pad:TIIST44_03285
ko:K00853	pad:TIIST44_04410
ko:K02443	pad:TIIST44_04445
ko:K00058	pad:TIIST44_04455
ko:K06346	pad:TIIST44_04590
ko:K00016	pad:TIIST44_04665
ko:K01784	pad:TIIST44_04970
ko:K06994	pad:TIIST44_04980
ko:K00135	pad:TIIST44_05005
ko:K00368	pad:TIIST44_05100
ko:K03405	pad:TIIST44_05140
ko:K03404	pad:TIIST44_05145
ko:K10254	pad:TIIST44_05190
ko:K11189	pad:TIIST44_05360
ko:K03436	pad:TIIST44_05375
ko:K16012	pad:TIIST44_05515
ko:K16013	pad:TIIST44_05520
ko:K06877	pad:TIIST44_05885
ko:K00274	pad:TIIST44_05945
ko:K01507	pad:TIIST44_05980
ko:K08483	pad:TIIST44_06470
ko:K11189	pad:TIIST44_06475
ko:K07776	pad:TIIST44_06510
ko:K07768	pad:TIIST44_06515
ko:K01424	pad:TIIST44_06550
ko:K09992	pad:TIIST44_06600
ko:K01727	pad:TIIST44_06625
ko:K03475	pad:TIIST44_06970
ko:K02821	pad:TIIST44_06975
ko:K00616	pad:TIIST44_07010
ko:K00010	pad:TIIST44_07100
ko:K07052	pad:TIIST44_07105
ko:K06201	pad:TIIST44_07110
ko:K10843	pad:TIIST44_07120
ko:K02564	pad:TIIST44_07135
ko:K03709	pad:TIIST44_07180
ko:K01934	pad:TIIST44_07235
ko:K09009	pad:TIIST44_07500
ko:K01515	pad:TIIST44_07590
ko:K04763	pad:TIIST44_07595
ko:K01885	pad:TIIST44_07620
ko:K03727	pad:TIIST44_07650
ko:K00758	pad:TIIST44_07695
ko:K07052	pad:TIIST44_07705
ko:K13573	pad:TIIST44_07630
ko:K01409	pad:TIIST44_01730
ko:K12583	pad:TIIST44_01770
ko:K00867	pad:TIIST44_01810
ko:K00059	pad:TIIST44_01885
ko:K12373	pad:TIIST44_01915
ko:K14335	pad:TIIST44_01930
ko:K01523	pad:TIIST44_00070
ko:K06147	pad:TIIST44_02500
ko:K02004	pad:TIIST44_02505
ko:K00016	pad:TIIST44_02555
ko:K02566	pad:TIIST44_02565
ko:K14235	pad:TIIST44_t11746
ko:K02428	pad:TIIST44_01175
ko:K01966	pad:TIIST44_01355
ko:K11263	pad:TIIST44_01415
ko:K02025	pad:TIIST44_02585
ko:K03386	pad:TIIST44_02725
ko:K00059	pad:TIIST44_00665
ko:K02348	pad:TIIST44_00695
ko:K10797	pad:TIIST44_00710
ko:K04488	pad:TIIST44_00720
ko:K08676	pad:TIIST44_00845
ko:K06221	pad:TIIST44_03375
ko:K06910	pad:TIIST44_03425
ko:K06147	pad:TIIST44_05540
ko:K03488	pad:TIIST44_06155
ko:K01719	pad:TIIST44_06215
ko:K07067	pad:TIIST44_06250
ko:K00027	pad:TIIST44_06260
ko:K06196	pad:TIIST44_06325
ko:K02025	pad:TIIST44_06740
ko:K00639	pad:TIIST44_06755
ko:K02009	pad:TIIST44_06900
ko:K00595	pad:TIIST44_06920
ko:K03635	pad:TIIST44_07270
ko:K00374	pad:TIIST44_07310
ko:K07307	pad:TIIST44_07355
ko:K03153	pad:TIIST44_07380
ko:K02428	pad:TIIST44_07480
ko:K10947	pad:TIIST44_07850
ko:K07670	pad:TIIST44_07905
ko:K07654	pad:TIIST44_07910
ko:K00721	pad:TIIST44_08510
ko:K01619	pad:TIIST44_08550
ko:K00852	pad:TIIST44_08570
ko:K01814	pad:TIIST44_08855
ko:K01817	pad:TIIST44_08855
ko:K01496	pad:TIIST44_09010
ko:K02433	pad:TIIST44_09025
ko:K00700	pad:TIIST44_09085
ko:K02755	pad:TIIST44_09095
ko:K02756	pad:TIIST44_09095
ko:K02757	pad:TIIST44_09095
ko:K06902	pad:TIIST44_09400
ko:K01192	pad:TIIST44_09455
ko:K03743	pad:TIIST44_09590
ko:K00241	pad:TIIST44_09890
ko:K03711	pad:TIIST44_09905
ko:K01259	pad:TIIST44_09995
ko:K00972	pad:TIIST44_10040
ko:K02798	pad:TIIST44_10055
ko:K02799	pad:TIIST44_10055
ko:K02800	pad:TIIST44_10055
ko:K02552	pad:TIIST44_10130
ko:K00851	pad:TIIST44_10745
ko:K03299	pad:TIIST44_10750
ko:K02018	pad:TIIST44_07300
ko:K02017	pad:TIIST44_07300
ko:K01840	pad:TIIST44_01435
ko:K14230	pad:TIIST44_t11800
ko:K01692	pad:TIIST44_02280
ko:K00008	pad:TIIST44_10060
ko:K03699	pad:TIIST44_01500
ko:K01834	pad:TIIST44_06535
ko:K01834	pad:TIIST44_10425
ko:K11733	pad:TIIST44_11510
ko:K01977	pad:TIIST44_r11826
ko:K01977	pad:TIIST44_r11828
ko:K11737	pad:TIIST44_04150
ko:K11045	pad:TIIST44_03250
ko:K14218	pad:TIIST44_t11788
ko:K00895	pad:TIIST44_09180
ko:K15772	pad:TIIST44_00765
ko:K10112	pad:TIIST44_06710
ko:K15770	pad:TIIST44_00755
ko:K10202	pad:TIIST44_05055
ko:K10242	pad:TIIST44_04910
ko:K10241	pad:TIIST44_04915
ko:K10240	pad:TIIST44_04920
ko:K16783	pad:TIIST44_07550
ko:K01985	pad:TIIST44_r11822
ko:K01985	pad:TIIST44_r11824
ko:K16784	pad:TIIST44_07545
ko:K02778	pad:TIIST44_06165
ko:K02779	pad:TIIST44_06165
ko:K02075	pad:TIIST44_11420
ko:K10201	pad:TIIST44_05050
ko:K02851	pad:TIIST44_08370
ko:K02031	pad:TIIST44_08245
ko:K01156	pad:TIIST44_07870
ko:K07012	pad:TIIST44_03600
ko:K14232	pad:TIIST44_t11804
ko:K14224	pad:TIIST44_t11796
ko:K14224	pad:TIIST44_t11756
ko:K14226	pad:TIIST44_t11740
ko:K14229	pad:TIIST44_t11742
ko:K14229	pad:TIIST44_t11754
ko:K14234	pad:TIIST44_t11750
ko:K14236	pad:TIIST44_t11752
ko:K14221	pad:TIIST44_t11758
ko:K14228	pad:TIIST44_t11764
ko:K14233	pad:TIIST44_t11768
ko:K06016	pad:TIIST44_03575
ko:K02006	pad:TIIST44_06910
ko:K02008	pad:TIIST44_06905
ko:K02030	pad:TIIST44_11445
ko:K16785	pad:TIIST44_01870
ko:K16786	pad:TIIST44_01875
ko:K16787	pad:TIIST44_01875
ko:K02768	pad:TIIST44_03975
ko:K02769	pad:TIIST44_03975
ko:K02770	pad:TIIST44_03975
ko:K14237	pad:TIIST44_t11812
ko:K14237	pad:TIIST44_t11806
ko:K14237	pad:TIIST44_t11798
ko:K14222	pad:TIIST44_t11810
ko:K14233	pad:TIIST44_t11774
ko:K14219	pad:TIIST44_t11770
ko:K16370	pad:TIIST44_05370
ko:K01190	pad:TIIST44_01320
ko:K08316	pad:TIIST44_00300
ko:K11991	pad:TIIST44_03730
ko:K14225	pad:TIIST44_t11734
ko:K14225	pad:TIIST44_t11762
ko:K02303	pad:TIIST44_06935
ko:K16925	pad:TIIST44_05435
ko:K16927	pad:TIIST44_01880
ko:K16785	pad:TIIST44_05440
ko:K16786	pad:TIIST44_05440
ko:K16787	pad:TIIST44_05440
ko:K14227	pad:TIIST44_t11776
ko:K14218	pad:TIIST44_t11778
ko:K14218	pad:TIIST44_t11818
ko:K14233	pad:TIIST44_t11780
ko:K14234	pad:TIIST44_t11782
ko:K14234	pad:TIIST44_t11784
ko:K14219	pad:TIIST44_t11786
ko:K14219	pad:TIIST44_t11802
ko:K14219	pad:TIIST44_t11738
ko:K14223	pad:TIIST44_t11790
ko:K14223	pad:TIIST44_t11794
ko:K14228	pad:TIIST44_t11792
ko:K14228	pad:TIIST44_t11820
ko:K14228	pad:TIIST44_t11732
ko:K14228	pad:TIIST44_t11744
ko:K01980	pad:TIIST44_r11829
ko:K01980	pad:TIIST44_r11830
ko:K14220	pad:TIIST44_t11816
ko:K14230	pad:TIIST44_t11814
ko:K14230	pad:TIIST44_t11748
ko:K14231	pad:TIIST44_t11760
ko:K14233	pad:TIIST44_t11772
ko:K00096	pad:TIIST44_00430
ko:K07308	pad:TIIST44_07350
ko:K01990	pad:TIIST44_07835
ko:K03457	pad:TIIST44_03870
ko:K10947	pad:TIIST44_00985
ko:K01992	pad:TIIST44_00790
ko:K01992	pad:TIIST44_06805
ko:K15581	pad:TIIST44_03500
ko:K17315	pad:TIIST44_02610
ko:K01992	pad:TIIST44_07830
ko:K01990	pad:TIIST44_01895
ko:K01992	pad:TIIST44_01890
ko:K01990	pad:TIIST44_10015
ko:K00096	pad:TIIST44_04415
ko:K02028	pad:TIIST44_11455
ko:K00040	pad:TIIST44_04485
ko:K00265	pad:TIIST44_08970
ko:K00951	pad:TIIST44_08805
ko:K01897	pad:TIIST44_03980
ko:K03574	pad:TIIST44_01725
ko:K01992	pad:TIIST44_10010
ko:K15580	pad:TIIST44_03495
ko:K14225	pad:TIIST44_t11808
ko:K03416	pad:TIIST44_02820
ko:K17489	pad:TIIST44_02815
ko:K02027	pad:TIIST44_04295
ko:K02027	pad:TIIST44_02595
ko:K17490	pad:TIIST44_02805
ko:K01186	pad:TIIST44_00800
ko:K03671	pad:TIIST44_07195
ko:K17489	pad:TIIST44_02810
ko:K02026	pad:TIIST44_04285
ko:K17686	pad:TIIST44_04010
ko:K15923	pad:TIIST44_05070
ko:K01739	pad:TIIST44_06660
ko:K17686	pad:TIIST44_11005
ko:K03292	pad:TIIST44_04500
ko:K00226	pad:TIIST44_05455
ko:K00971	pad:TIIST44_01290
ko:K03767	pad:TIIST44_10860
ko:K17828	pad:TIIST44_09625
ko:K18291	pad:TIIST44_03745
ko:K02026	pad:TIIST44_01105
ko:K02768	pad:TIIST44_03970
ko:K14337	pad:TIIST44_02285
ko:K02026	pad:TIIST44_02590
ko:K02026	pad:TIIST44_00265
ko:K02026	pad:TIIST44_06745
ko:K12574	pad:TIIST44_00320
ko:K01267	pad:TIIST44_11600
ko:K08485	pad:TIIST44_00425
ko:K02021	pad:TIIST44_05135
ko:K01187	pad:TIIST44_00960
ko:K02027	pad:TIIST44_00255
ko:K01187	pad:TIIST44_04505
ko:K02027	pad:TIIST44_06735
ko:K08221	pad:TIIST44_08450
ko:K05346	pad:TIIST44_04400
ko:K06148	pad:TIIST44_05130
ko:K02809	pad:TIIST44_08935
ko:K02810	pad:TIIST44_08935
ko:K17898	pad:TIIST44_04220
ko:K17899	pad:TIIST44_04215
ko:K01906	pad:TIIST44_02135
ko:K00652	pad:TIIST44_02135
ko:K21469	pad:TIIST44_08955
ko:K13572	pad:TIIST44_07625
ko:K03719	pad:TIIST44_08520
ko:K18118	pad:TIIST44_03040
ko:K10038	pad:TIIST44_02355
ko:K02003	pad:TIIST44_02510
ko:K02002	pad:TIIST44_02865
ko:K11737	pad:TIIST44_04240
ko:K00008	pad:TIIST44_04755
ko:K02283	pad:TIIST44_05855
ko:K01739	pad:TIIST44_06665
ko:K01652	pad:TIIST44_07665
ko:K01703	pad:TIIST44_07725
ko:K10797	pad:TIIST44_00705
ko:K01788	pad:TIIST44_06170
ko:K05895	pad:TIIST44_06940
ko:K01992	pad:TIIST44_10005
ko:K05349	pad:TIIST44_09670
ko:K03893	pad:TIIST44_09790
ko:K03402	pad:TIIST44_11535
ko:K07504	pad:TIIST44_11230
ko:K01791	pad:TIIST44_05395
ko:K03574	pad:TIIST44_06420
ko:K09820	pad:TIIST44_00510
ko:K08300	pad:TIIST44_10340
ko:K08301	pad:TIIST44_10340
ko:K18955	pad:TIIST44_01280
ko:K18955	pad:TIIST44_08300
ko:K06147	pad:TIIST44_05545
ko:K18930	pad:TIIST44_10560
ko:K18929	pad:TIIST44_05490
ko:K18928	pad:TIIST44_05485
ko:K03111	pad:TIIST44_01000
ko:K03111	pad:TIIST44_03955
ko:K03497	pad:TIIST44_04555
ko:K03496	pad:TIIST44_04560
ko:K03496	pad:TIIST44_07600
ko:K03496	pad:TIIST44_08205
ko:K03761	pad:TIIST44_03315
ko:K05991	pad:TIIST44_03240
ko:K00335	pad:TIIST44_02435
ko:K03976	pad:TIIST44_04115
ko:K00336	pad:TIIST44_02430
ko:K02483	pad:TIIST44_02990
ko:K05991	pad:TIIST44_11280
ko:K03526	pad:TIIST44_00525
ko:K02777	pad:TIIST44_06160
ko:K19221	pad:TIIST44_06925
ko:K19123	pad:TIIST44_03605
ko:K01167	pad:TIIST44_10795
ko:K19046	pad:TIIST44_03610
ko:K00798	pad:TIIST44_08430
ko:K09951	pad:TIIST44_03635
ko:K19124	pad:TIIST44_03615
ko:K19125	pad:TIIST44_03620
ko:K19126	pad:TIIST44_03625
ko:K02802	pad:TIIST44_11085
ko:K19270	pad:TIIST44_04775
ko:K19265	pad:TIIST44_09660
ko:K03722	pad:TIIST44_09520
ko:K02804	pad:TIIST44_11105
ko:K01785	pad:TIIST44_09555
ko:K01990	pad:TIIST44_03140
ko:K21400	pad:TIIST44_04210
ko:K11045	pad:TIIST44_07895
ko:K11045	pad:TIIST44_08460
ko:K11045	pad:TIIST44_08640
ko:K08744	pad:TIIST44_09235
ko:K00525	pad:TIIST44_09500
ko:K11045	pad:TIIST44_11025
ko:K09819	pad:TIIST44_00515
ko:K19710	pad:TIIST44_09245
ko:K07119	pad:TIIST44_06795
ko:K05346	pad:TIIST44_08545
ko:K12132	pad:TIIST44_05570
ko:K20074	pad:TIIST44_05585
ko:K20265	pad:TIIST44_05535
ko:K12132	pad:TIIST44_10800
ko:K02803	pad:TIIST44_11090
ko:K02803	pad:TIIST44_11095
ko:K00526	pad:TIIST44_03325
ko:K20370	pad:TIIST44_04515
ko:K02081	pad:TIIST44_09580
ko:K02438	pad:TIIST44_09065
ko:K21029	pad:TIIST44_07365
ko:K21071	pad:TIIST44_05090
ko:K00821	pad:TIIST44_07810
ko:K21636	pad:TIIST44_03420
ko:K00525	pad:TIIST44_03320
ko:K02335	pad:TIIST44_10565
ko:K02314	pad:TIIST44_04025
ko:K00287	pad:TIIST44_01165
ko:K00560	pad:TIIST44_01170
ko:K01493	pad:TIIST44_02545
ko:K04068	pad:TIIST44_03415
ko:K01520	pad:TIIST44_09350
ko:K00857	pad:TIIST44_09375
ko:K03553	pad:TIIST44_09570
ko:K06217	pad:TIIST44_09970
ko:K02316	pad:TIIST44_09855
ko:K02032	pad:TIIST44_08250
ko:K05710	pad:TIIST44_00735
ko:K01802	pad:TIIST44_03560
ko:K05364	pad:TIIST44_05575
ko:K03293	pad:TIIST44_09275
ko:K07005	pad:TIIST44_00305
ko:K03293	pad:TIIST44_02935
ko:K03293	pad:TIIST44_04075
ko:K00700	pad:TIIST44_03760
ko:K03636	pad:TIIST44_07275
ko:K21399	pad:TIIST44_04205
ko:K21401	pad:TIIST44_02465
ko:K21471	pad:TIIST44_10840
ko:K21600	pad:TIIST44_04020
ko:K21672	pad:TIIST44_04200
ko:K21739	pad:TIIST44_02685
ko:K10914	pad:TIIST44_05815
ko:K21929	pad:TIIST44_08435
ko:K21949	pad:TIIST44_08145
ko:K00936	pad:TIIST44_08295
ko:K22010	pad:TIIST44_10575
ko:K22044	pad:TIIST44_04310
ko:K00015	pad:TIIST44_04060
ko:K03595	pad:TIIST44_09955
ko:K22024	pad:TIIST44_06180
ko:K03077	pad:TIIST44_10240
ko:K03077	pad:TIIST44_04440
ko:K01046	pad:TIIST44_03235
ko:K14441	pad:TIIST44_09600
ko:K17758	pad:TIIST44_01775
ko:K17759	pad:TIIST44_01775
ko:K02257	pad:TIIST44_00805
ko:K00728	pad:TIIST44_07395
ko:K22468	pad:TIIST44_08700
ko:K07566	pad:TIIST44_08365
