ko:K11720	syy:SYNGTS_2880
ko:K06206	syy:SYNGTS_1133
ko:K01925	syy:SYNGTS_1137
ko:K00858	syy:SYNGTS_1959
ko:K04751	syy:SYNGTS_1962
ko:K01817	syy:SYNGTS_1965
ko:K01465	syy:SYNGTS_1968
ko:K02639	syy:SYNGTS_1979
ko:K14605	syy:SYNGTS_1984
ko:K02838	syy:SYNGTS_1986
ko:K09903	syy:SYNGTS_1987
ko:K03695	syy:SYNGTS_1989
ko:K02669	syy:SYNGTS_1993
ko:K01358	syy:SYNGTS_1995
ko:K01358	syy:SYNGTS_1996
ko:K02227	syy:SYNGTS_2005
ko:K02836	syy:SYNGTS_2006
ko:K06940	syy:SYNGTS_2818
ko:K00696	syy:SYNGTS_2819
ko:K03408	syy:SYNGTS_2821
ko:K00826	syy:SYNGTS_2829
ko:K02435	syy:SYNGTS_2830
ko:K09835	syy:SYNGTS_2835
ko:K05577	syy:SYNGTS_2846
ko:K03428	syy:SYNGTS_2849
ko:K00606	syy:SYNGTS_2850
ko:K06920	syy:SYNGTS_2851
ko:K01928	syy:SYNGTS_2852
ko:K08309	syy:SYNGTS_2859
ko:K14645	syy:SYNGTS_2860
ko:K01599	syy:SYNGTS_2861
ko:K03284	syy:SYNGTS_2865
ko:K00806	syy:SYNGTS_2866
ko:K01586	syy:SYNGTS_2868
ko:K02535	syy:SYNGTS_0431
ko:K03798	syy:SYNGTS_0434
ko:K07075	syy:SYNGTS_0440
ko:K02224	syy:SYNGTS_0446
ko:K02066	syy:SYNGTS_0453
ko:K03116	syy:SYNGTS_0454
ko:K02911	syy:SYNGTS_0458
ko:K00208	syy:SYNGTS_0460
ko:K02065	syy:SYNGTS_0474
ko:K00057	syy:SYNGTS_0477
ko:K03823	syy:SYNGTS_0478
ko:K01915	syy:SYNGTS_0479
ko:K13282	syy:SYNGTS_1313
ko:K03802	syy:SYNGTS_1314
ko:K03650	syy:SYNGTS_1320
ko:K11754	syy:SYNGTS_1323
ko:K02372	syy:SYNGTS_1331
ko:K05979	syy:SYNGTS_1332
ko:K01876	syy:SYNGTS_1334
ko:K08482	syy:SYNGTS_1346
ko:K01546	syy:SYNGTS_1352
ko:K01547	syy:SYNGTS_1353
ko:K01548	syy:SYNGTS_1355
ko:K07646	syy:SYNGTS_1356
ko:K07738	syy:SYNGTS_2170
ko:K02834	syy:SYNGTS_2173
ko:K01491	syy:SYNGTS_2175
ko:K01803	syy:SYNGTS_2180
ko:K02635	syy:SYNGTS_2184
ko:K03685	syy:SYNGTS_2188
ko:K04656	syy:SYNGTS_2189
ko:K03684	syy:SYNGTS_2192
ko:K03527	syy:SYNGTS_2194
ko:K02970	syy:SYNGTS_2204
ko:K01892	syy:SYNGTS_2208
ko:K03547	syy:SYNGTS_2216
ko:K03696	syy:SYNGTS_2217
ko:K00099	syy:SYNGTS_2218
ko:K01624	syy:SYNGTS_2219
ko:K01703	syy:SYNGTS_3032
ko:K01689	syy:SYNGTS_3043
ko:K01962	syy:SYNGTS_3048
ko:K08482	syy:SYNGTS_3056
ko:K02699	syy:SYNGTS_3067
ko:K02563	syy:SYNGTS_3069
ko:K07447	syy:SYNGTS_3074
ko:K01524	syy:SYNGTS_3075
ko:K01866	syy:SYNGTS_0595
ko:K03100	syy:SYNGTS_0608
ko:K00425	syy:SYNGTS_0610
ko:K00426	syy:SYNGTS_0611
ko:K03439	syy:SYNGTS_0612
ko:K00925	syy:SYNGTS_0613
ko:K01061	syy:SYNGTS_0614
ko:K01147	syy:SYNGTS_0628
ko:K03798	syy:SYNGTS_0630
ko:K04758	syy:SYNGTS_0632
ko:K04759	syy:SYNGTS_0633
ko:K09775	syy:SYNGTS_0636
ko:K06999	syy:SYNGTS_0643
ko:K06381	syy:SYNGTS_0644
ko:K07130	syy:SYNGTS_1482
ko:K01698	syy:SYNGTS_1491
ko:K01735	syy:SYNGTS_1493
ko:K03568	syy:SYNGTS_1498
ko:K02493	syy:SYNGTS_1499
ko:K01251	syy:SYNGTS_1504
ko:K02112	syy:SYNGTS_1512
ko:K02114	syy:SYNGTS_1513
ko:K09458	syy:SYNGTS_1515
ko:K03687	syy:SYNGTS_2328
ko:K02652	syy:SYNGTS_2329
ko:K07444	syy:SYNGTS_2330
ko:K11752	syy:SYNGTS_2332
ko:K01961	syy:SYNGTS_2335
ko:K00604	syy:SYNGTS_2338
ko:K02986	syy:SYNGTS_2341
ko:K00147	syy:SYNGTS_2343
ko:K03702	syy:SYNGTS_2346
ko:K11175	syy:SYNGTS_2349
ko:K03980	syy:SYNGTS_2356
ko:K01911	syy:SYNGTS_2359
ko:K01809	syy:SYNGTS_2360
ko:K00003	syy:SYNGTS_2362
ko:K06133	syy:SYNGTS_2363
ko:K01889	syy:SYNGTS_2365
ko:K03088	syy:SYNGTS_2371
ko:K02036	syy:SYNGTS_2374
ko:K02036	syy:SYNGTS_2375
ko:K02038	syy:SYNGTS_2376
ko:K02037	syy:SYNGTS_2377
ko:K02040	syy:SYNGTS_2378
ko:K02040	syy:SYNGTS_2379
ko:K12573	syy:SYNGTS_0706
ko:K01755	syy:SYNGTS_0709
ko:K02275	syy:SYNGTS_0713
ko:K02276	syy:SYNGTS_0715
ko:K03671	syy:SYNGTS_0716
ko:K04651	syy:SYNGTS_0722
ko:K01869	syy:SYNGTS_0727
ko:K03312	syy:SYNGTS_0728
ko:K00615	syy:SYNGTS_0736
ko:K09458	syy:SYNGTS_0737
ko:K02078	syy:SYNGTS_0738
ko:K03594	syy:SYNGTS_0741
ko:K02897	syy:SYNGTS_0743
ko:K01939	syy:SYNGTS_0744
ko:K02909	syy:SYNGTS_0746
ko:K02996	syy:SYNGTS_0747
ko:K02871	syy:SYNGTS_0748
ko:K06173	syy:SYNGTS_0749
ko:K02879	syy:SYNGTS_0750
ko:K03040	syy:SYNGTS_0751
ko:K02948	syy:SYNGTS_0752
ko:K02952	syy:SYNGTS_0753
ko:K02919	syy:SYNGTS_0754
ko:K02518	syy:SYNGTS_0755
ko:K03076	syy:SYNGTS_0757
ko:K02876	syy:SYNGTS_0758
ko:K06876	syy:SYNGTS_1583
ko:K02066	syy:SYNGTS_1586
ko:K01673	syy:SYNGTS_1591
ko:K00640	syy:SYNGTS_1592
ko:K01810	syy:SYNGTS_1593
ko:K10255	syy:SYNGTS_1594
ko:K01929	syy:SYNGTS_1596
ko:K02939	syy:SYNGTS_1598
ko:K04653	syy:SYNGTS_1605
ko:K02259	syy:SYNGTS_1607
ko:K14652	syy:SYNGTS_1615
ko:K02500	syy:SYNGTS_1617
ko:K02230	syy:SYNGTS_1621
ko:K03666	syy:SYNGTS_1623
ko:K00147	syy:SYNGTS_2436
ko:K01955	syy:SYNGTS_2440
ko:K02825	syy:SYNGTS_2442
ko:K01495	syy:SYNGTS_2443
ko:K07460	syy:SYNGTS_2445
ko:K01807	syy:SYNGTS_2450
ko:K02221	syy:SYNGTS_2458
ko:K02471	syy:SYNGTS_2461
ko:K08998	syy:SYNGTS_2474
ko:K03592	syy:SYNGTS_2480
ko:K03327	syy:SYNGTS_2483
ko:K01725	syy:SYNGTS_2486
ko:K03750	syy:SYNGTS_2487
ko:K03639	syy:SYNGTS_2488
ko:K01704	syy:SYNGTS_1723
ko:K01937	syy:SYNGTS_1724
ko:K10257	syy:SYNGTS_1727
ko:K00275	syy:SYNGTS_1728
ko:K05896	syy:SYNGTS_1729
ko:K03106	syy:SYNGTS_1731
ko:K02434	syy:SYNGTS_1734
ko:K02040	syy:SYNGTS_2542
ko:K02377	syy:SYNGTS_2544
ko:K02913	syy:SYNGTS_2546
ko:K02963	syy:SYNGTS_2547
ko:K01775	syy:SYNGTS_2548
ko:K03321	syy:SYNGTS_2550
ko:K02034	syy:SYNGTS_2551
ko:K03924	syy:SYNGTS_2555
ko:K02355	syy:SYNGTS_2558
ko:K01933	syy:SYNGTS_2559
ko:K03183	syy:SYNGTS_2560
ko:K01772	syy:SYNGTS_2561
ko:K05577	syy:SYNGTS_2568
ko:K00240	syy:SYNGTS_2571
ko:K00954	syy:SYNGTS_2575
ko:K03501	syy:SYNGTS_2577
ko:K09014	syy:SYNGTS_2580
ko:K09013	syy:SYNGTS_2581
ko:K09015	syy:SYNGTS_2582
ko:K11717	syy:SYNGTS_2583
ko:K03273	syy:SYNGTS_2586
ko:K03271	syy:SYNGTS_2587
ko:K01737	syy:SYNGTS_2588
ko:K14441	syy:SYNGTS_2593
ko:K05592	syy:SYNGTS_2594
ko:K00145	syy:SYNGTS_2595
ko:K02501	syy:SYNGTS_2596
ko:K02230	syy:SYNGTS_0819
ko:K03786	syy:SYNGTS_0824
ko:K06213	syy:SYNGTS_0825
ko:K03215	syy:SYNGTS_0831
ko:K01754	syy:SYNGTS_0832
ko:K09772	syy:SYNGTS_0833
ko:K01809	syy:SYNGTS_0834
ko:K09803	syy:SYNGTS_0835
ko:K04078	syy:SYNGTS_0836
ko:K04077	syy:SYNGTS_0837
ko:K01736	syy:SYNGTS_0841
ko:K02935	syy:SYNGTS_0842
ko:K02864	syy:SYNGTS_0843
ko:K02863	syy:SYNGTS_0844
ko:K02867	syy:SYNGTS_0845
ko:K02601	syy:SYNGTS_0846
ko:K03073	syy:SYNGTS_0847
ko:K02884	syy:SYNGTS_0848
ko:K02639	syy:SYNGTS_0854
ko:K03821	syy:SYNGTS_0856
ko:K05577	syy:SYNGTS_0861
ko:K02689	syy:SYNGTS_0863
ko:K02690	syy:SYNGTS_0864
ko:K07259	syy:SYNGTS_1687
ko:K03046	syy:SYNGTS_1691
ko:K00612	syy:SYNGTS_1692
ko:K03588	syy:SYNGTS_1694
ko:K02662	syy:SYNGTS_1700
ko:K02666	syy:SYNGTS_1703
ko:K04075	syy:SYNGTS_1706
ko:K01733	syy:SYNGTS_1707
ko:K05582	syy:SYNGTS_1709
ko:K05581	syy:SYNGTS_1710
ko:K11523	syy:SYNGTS_2826
ko:K11522	syy:SYNGTS_2827
ko:K05570	syy:SYNGTS_0681
ko:K02643	syy:SYNGTS_2800
ko:K11950	syy:SYNGTS_2840
ko:K11951	syy:SYNGTS_2841
ko:K11952	syy:SYNGTS_2843
ko:K11953	syy:SYNGTS_2844
ko:K02096	syy:SYNGTS_2079
ko:K11601	syy:SYNGTS_1343
ko:K11603	syy:SYNGTS_1342
ko:K11602	syy:SYNGTS_1341
ko:K02714	syy:SYNGTS_0132
ko:K03699	syy:SYNGTS_1936
ko:K00974	syy:SYNGTS_1584
ko:K11525	syy:SYNGTS_2824
ko:K02097	syy:SYNGTS_2954
ko:K07346	syy:SYNGTS_3085
ko:K02480	syy:SYNGTS_1351
ko:K01069	syy:SYNGTS_0374
ko:K00392	syy:SYNGTS_0293
ko:K02660	syy:SYNGTS_0624
ko:K02658	syy:SYNGTS_0626
ko:K02657	syy:SYNGTS_0627
ko:K11780	syy:SYNGTS_0642
ko:K00058	syy:SYNGTS_1484
ko:K05588	syy:SYNGTS_1520
ko:K03593	syy:SYNGTS_2334
ko:K02722	syy:SYNGTS_2348
ko:K03404	syy:SYNGTS_0211
ko:K07305	syy:SYNGTS_0218
ko:K00214	syy:SYNGTS_0221
ko:K08234	syy:SYNGTS_0225
ko:K03830	syy:SYNGTS_0231
ko:K00616	syy:SYNGTS_0236
ko:K07304	syy:SYNGTS_0239
ko:K04518	syy:SYNGTS_0247
ko:K11781	syy:SYNGTS_0250
ko:K01619	syy:SYNGTS_1087
ko:K02033	syy:SYNGTS_1100
ko:K02288	syy:SYNGTS_1107
ko:K03087	syy:SYNGTS_1135
ko:K07052	syy:SYNGTS_1954
ko:K02428	syy:SYNGTS_1961
ko:K02653	syy:SYNGTS_1994
ko:K01262	syy:SYNGTS_1997
ko:K00772	syy:SYNGTS_1998
ko:K06873	syy:SYNGTS_2838
ko:K05575	syy:SYNGTS_2845
ko:K10232	syy:SYNGTS_2854
ko:K10233	syy:SYNGTS_2855
ko:K10234	syy:SYNGTS_2856
ko:K00801	syy:SYNGTS_2857
ko:K02092	syy:SYNGTS_1298
ko:K02287	syy:SYNGTS_0653
ko:K08480	syy:SYNGTS_3054
ko:K05583	syy:SYNGTS_1548
ko:K02552	syy:SYNGTS_1554
ko:K06883	syy:SYNGTS_1565
ko:K05585	syy:SYNGTS_1570
ko:K03442	syy:SYNGTS_2395
ko:K02286	syy:SYNGTS_0654
ko:K02286	syy:SYNGTS_0655
ko:K02284	syy:SYNGTS_0656
ko:K02285	syy:SYNGTS_0657
ko:K07213	syy:SYNGTS_0665
ko:K06147	syy:SYNGTS_0691
ko:K02697	syy:SYNGTS_1532
ko:K01409	syy:SYNGTS_1534
ko:K05575	syy:SYNGTS_0262
ko:K02719	syy:SYNGTS_0271
ko:K06883	syy:SYNGTS_0283
ko:K09705	syy:SYNGTS_0284
ko:K03856	syy:SYNGTS_0304
ko:K11325	syy:SYNGTS_1149
ko:K02035	syy:SYNGTS_1164
ko:K03087	syy:SYNGTS_2057
ko:K01191	syy:SYNGTS_2060
ko:K06883	syy:SYNGTS_2869
ko:K03499	syy:SYNGTS_2883
ko:K01082	syy:SYNGTS_2899
ko:K05578	syy:SYNGTS_2920
ko:K07315	syy:SYNGTS_0708
ko:K03574	syy:SYNGTS_0710
ko:K02274	syy:SYNGTS_0714
ko:K02049	syy:SYNGTS_0718
ko:K02050	syy:SYNGTS_0719
ko:K02051	syy:SYNGTS_0720
ko:K04652	syy:SYNGTS_0721
ko:K01480	syy:SYNGTS_0723
ko:K00939	syy:SYNGTS_0756
ko:K13799	syy:SYNGTS_1590
ko:K09942	syy:SYNGTS_2454
ko:K03087	syy:SYNGTS_2456
ko:K12073	syy:SYNGTS_2465
ko:K01885	syy:SYNGTS_2466
ko:K07028	syy:SYNGTS_2467
ko:K00548	syy:SYNGTS_2475
ko:K00366	syy:SYNGTS_2485
ko:K01784	syy:SYNGTS_0343
ko:K01784	syy:SYNGTS_0356
ko:K09825	syy:SYNGTS_1201
ko:K02035	syy:SYNGTS_1204
ko:K07009	syy:SYNGTS_1206
ko:K02705	syy:SYNGTS_1223
ko:K00389	syy:SYNGTS_1226
ko:K07031	syy:SYNGTS_1229
ko:K01104	syy:SYNGTS_2067
ko:K00845	syy:SYNGTS_2068
ko:K05575	syy:SYNGTS_2074
ko:K02030	syy:SYNGTS_2092
ko:K00700	syy:SYNGTS_2110
ko:K00150	syy:SYNGTS_2929
ko:K01092	syy:SYNGTS_2944
ko:K06883	syy:SYNGTS_2958
ko:K08906	syy:SYNGTS_0780
ko:K01787	syy:SYNGTS_1635
ko:K02010	syy:SYNGTS_1638
ko:K02640	syy:SYNGTS_1661
ko:K06346	syy:SYNGTS_1670
ko:K01092	syy:SYNGTS_1672
ko:K03635	syy:SYNGTS_2491
ko:K00652	syy:SYNGTS_2502
ko:K03574	syy:SYNGTS_2505
ko:K02005	syy:SYNGTS_0814
ko:K02657	syy:SYNGTS_0822
ko:K05575	syy:SYNGTS_0860
ko:K06147	syy:SYNGTS_0866
ko:K06147	syy:SYNGTS_1690
ko:K07052	syy:SYNGTS_1719
ko:K01426	syy:SYNGTS_2562
ko:K09012	syy:SYNGTS_2579
ko:K03469	syy:SYNGTS_2591
ko:K07657	syy:SYNGTS_2592
ko:K02018	syy:SYNGTS_2813
ko:K02017	syy:SYNGTS_2813
ko:K07004	syy:SYNGTS_0379
ko:K06971	syy:SYNGTS_0408
ko:K01724	syy:SYNGTS_1266
ko:K07978	syy:SYNGTS_1282
ko:K02710	syy:SYNGTS_2122
ko:K00135	syy:SYNGTS_2126
ko:K07116	syy:SYNGTS_2134
ko:K01759	syy:SYNGTS_2137
ko:K00059	syy:SYNGTS_2138
ko:K00033	syy:SYNGTS_2141
ko:K04039	syy:SYNGTS_2150
ko:K03499	syy:SYNGTS_2151
ko:K01585	syy:SYNGTS_2979
ko:K06196	syy:SYNGTS_2982
ko:K03090	syy:SYNGTS_2999
ko:K06898	syy:SYNGTS_3005
ko:K02004	syy:SYNGTS_3020
ko:K02005	syy:SYNGTS_3021
ko:K04652	syy:SYNGTS_1737
ko:K01297	syy:SYNGTS_1739
ko:K09931	syy:SYNGTS_1750
ko:K03867	syy:SYNGTS_1761
ko:K03307	syy:SYNGTS_1771
ko:K08481	syy:SYNGTS_2612
ko:K02051	syy:SYNGTS_2633
ko:K01470	syy:SYNGTS_2646
ko:K00845	syy:SYNGTS_2649
ko:K01585	syy:SYNGTS_0009
ko:K02014	syy:SYNGTS_0021
ko:K02014	syy:SYNGTS_0024
ko:K08903	syy:SYNGTS_0040
ko:K02294	syy:SYNGTS_0894
ko:K04655	syy:SYNGTS_0904
ko:K15578	syy:SYNGTS_0916
ko:K15577	syy:SYNGTS_0917
ko:K15576	syy:SYNGTS_0918
ko:K05569	syy:SYNGTS_0680
ko:K05571	syy:SYNGTS_0682
ko:K02657	syy:SYNGTS_0449
ko:K02658	syy:SYNGTS_0450
ko:K02659	syy:SYNGTS_0451
ko:K02660	syy:SYNGTS_0452
ko:K03403	syy:SYNGTS_0464
ko:K02428	syy:SYNGTS_0467
ko:K00721	syy:SYNGTS_0468
ko:K02067	syy:SYNGTS_0473
ko:K00058	syy:SYNGTS_1302
ko:K00626	syy:SYNGTS_1306
ko:K08226	syy:SYNGTS_1308
ko:K00799	syy:SYNGTS_1316
ko:K06864	syy:SYNGTS_1329
ko:K00088	syy:SYNGTS_1336
ko:K08481	syy:SYNGTS_1345
ko:K03316	syy:SYNGTS_1349
ko:K02718	syy:SYNGTS_2169
ko:K03386	syy:SYNGTS_2172
ko:K02067	syy:SYNGTS_2176
ko:K00274	syy:SYNGTS_2177
ko:K08479	syy:SYNGTS_2178
ko:K02637	syy:SYNGTS_2185
ko:K02033	syy:SYNGTS_2207
ko:K02290	syy:SYNGTS_3028
ko:K04037	syy:SYNGTS_3039
ko:K04038	syy:SYNGTS_3040
ko:K01835	syy:SYNGTS_3053
ko:K08481	syy:SYNGTS_3055
ko:K02696	syy:SYNGTS_3068
ko:K00799	syy:SYNGTS_3077
ko:K07304	syy:SYNGTS_0046
ko:K09118	syy:SYNGTS_0061
ko:K00939	syy:SYNGTS_0065
ko:K01515	syy:SYNGTS_0070
ko:K03574	syy:SYNGTS_0082
ko:K00027	syy:SYNGTS_0085
ko:K01569	syy:SYNGTS_0976
ko:K00966	syy:SYNGTS_1804
ko:K01823	syy:SYNGTS_1806
ko:K02693	syy:SYNGTS_1808
ko:K10563	syy:SYNGTS_1809
ko:K00514	syy:SYNGTS_1826
ko:K03325	syy:SYNGTS_1831
ko:K11329	syy:SYNGTS_1834
ko:K01424	syy:SYNGTS_2662
ko:K07114	syy:SYNGTS_2673
ko:K00595	syy:SYNGTS_2679
ko:K10697	syy:SYNGTS_2690
ko:K02533	syy:SYNGTS_2696
ko:K01934	syy:SYNGTS_0483
ko:K01580	syy:SYNGTS_0488
ko:K02712	syy:SYNGTS_0499
ko:K02707	syy:SYNGTS_0517
ko:K02713	syy:SYNGTS_0519
ko:K02711	syy:SYNGTS_0520
ko:K03711	syy:SYNGTS_0534
ko:K09815	syy:SYNGTS_0535
ko:K07019	syy:SYNGTS_1366
ko:K01784	syy:SYNGTS_1375
ko:K02010	syy:SYNGTS_1386
ko:K15226	syy:SYNGTS_1394
ko:K02274	syy:SYNGTS_1395
ko:K06045	syy:SYNGTS_1402
ko:K01601	syy:SYNGTS_2225
ko:K01602	syy:SYNGTS_2227
ko:K01679	syy:SYNGTS_2235
ko:K14330	syy:SYNGTS_2251
ko:K14331	syy:SYNGTS_2252
ko:K02348	syy:SYNGTS_3088
ko:K03177	syy:SYNGTS_3108
ko:K07769	syy:SYNGTS_0110
ko:K07052	syy:SYNGTS_0115
ko:K01480	syy:SYNGTS_0134
ko:K03768	syy:SYNGTS_0135
ko:K03689	syy:SYNGTS_0148
ko:K06147	syy:SYNGTS_0999
ko:K02433	syy:SYNGTS_1024
ko:K07052	syy:SYNGTS_1852
ko:K00721	syy:SYNGTS_1856
ko:K01507	syy:SYNGTS_1857
ko:K05584	syy:SYNGTS_1858
ko:K09966	syy:SYNGTS_1865
ko:K09763	syy:SYNGTS_1874
ko:K02480	syy:SYNGTS_2718
ko:K07123	syy:SYNGTS_2751
ko:K14518	syy:SYNGTS_2319
ko:K02004	syy:SYNGTS_3152
ko:K03711	syy:SYNGTS_3153
ko:K01470	syy:SYNGTS_3154
ko:K07393	syy:SYNGTS_3166
ko:K02290	syy:SYNGTS_0543
ko:K02238	syy:SYNGTS_0551
ko:K06118	syy:SYNGTS_0579
ko:K11312	syy:SYNGTS_0585
ko:K00121	syy:SYNGTS_0589
ko:K03405	syy:SYNGTS_0591
ko:K03498	syy:SYNGTS_1440
ko:K07079	syy:SYNGTS_1456
ko:K02549	syy:SYNGTS_2285
ko:K00784	syy:SYNGTS_2303
ko:K00799	syy:SYNGTS_2310
ko:K09121	syy:SYNGTS_0157
ko:K02116	syy:SYNGTS_0165
ko:K13628	syy:SYNGTS_0170
ko:K08696	syy:SYNGTS_0199
ko:K08696	syy:SYNGTS_0200
ko:K07079	syy:SYNGTS_1039
ko:K00059	syy:SYNGTS_1040
ko:K02619	syy:SYNGTS_1041
ko:K01607	syy:SYNGTS_1074
ko:K07315	syy:SYNGTS_1080
ko:K01424	syy:SYNGTS_1909
ko:K03316	syy:SYNGTS_1919
ko:K00508	syy:SYNGTS_1931
ko:K02720	syy:SYNGTS_1941
ko:K01469	syy:SYNGTS_2766
ko:K07027	syy:SYNGTS_2795
ko:K05337	syy:SYNGTS_2796
ko:K05574	syy:SYNGTS_1708
ko:K02093	syy:SYNGTS_1299
ko:K02094	syy:SYNGTS_1300
ko:K02095	syy:SYNGTS_0310
ko:K05568	syy:SYNGTS_0677
ko:K00974	syy:SYNGTS_2566
ko:K02700	syy:SYNGTS_0429
ko:K15579	syy:SYNGTS_0915
ko:K14234	syy:SYNGTS_t0025
ko:K01533	syy:SYNGTS_2045
ko:K00284	syy:SYNGTS_0442
ko:K00284	syy:SYNGTS_2989
ko:K02289	syy:SYNGTS_0076
ko:K03321	syy:SYNGTS_0940
ko:K11960	syy:SYNGTS_0807
ko:K11954	syy:SYNGTS_2513
ko:K11957	syy:SYNGTS_2339
ko:K11961	syy:SYNGTS_0808
ko:K11958	syy:SYNGTS_1119
ko:K11959	syy:SYNGTS_1916
ko:K11962	syy:SYNGTS_2162
ko:K18828	syy:SYNGTS_2367
ko:K11963	syy:SYNGTS_2435
ko:K11956	syy:SYNGTS_1838
ko:K11955	syy:SYNGTS_1985
ko:K02642	syy:SYNGTS_1492
ko:K04034	syy:SYNGTS_2494
ko:K07785	syy:SYNGTS_2739
ko:K11526	syy:SYNGTS_2822
ko:K11524	syy:SYNGTS_2825
ko:K08904	syy:SYNGTS_1203
ko:K02292	syy:SYNGTS_2599
ko:K08699	syy:SYNGTS_0196
ko:K08697	syy:SYNGTS_0198
ko:K05587	syy:SYNGTS_1522
ko:K16787	syy:SYNGTS_2203
ko:K16785	syy:SYNGTS_1640
ko:K02030	syy:SYNGTS_1742
ko:K02030	syy:SYNGTS_0138
ko:K02008	syy:SYNGTS_2420
ko:K02030	syy:SYNGTS_1112
ko:K02030	syy:SYNGTS_2182
ko:K02030	syy:SYNGTS_2318
ko:K00034	syy:SYNGTS_1154
ko:K01485	syy:SYNGTS_0953
ko:K16786	syy:SYNGTS_1197
ko:K11331	syy:SYNGTS_2738
ko:K16915	syy:SYNGTS_2422
ko:K11328	syy:SYNGTS_2734
ko:K11991	syy:SYNGTS_1188
ko:K04035	syy:SYNGTS_0005
ko:K00218	syy:SYNGTS_2618
ko:K03559	syy:SYNGTS_0383
ko:K03559	syy:SYNGTS_0025
ko:K03559	syy:SYNGTS_2627
ko:K02303	syy:SYNGTS_2431
ko:K02006	syy:SYNGTS_2419
ko:K16881	syy:SYNGTS_2993
ko:K04035	syy:SYNGTS_1645
ko:K11327	syy:SYNGTS_2736
ko:K11330	syy:SYNGTS_2735
ko:K11356	syy:SYNGTS_1622
ko:K14606	syy:SYNGTS_2802
ko:K08698	syy:SYNGTS_0197
ko:K05586	syy:SYNGTS_1523
ko:K00367	syy:SYNGTS_0914
ko:K06596	syy:SYNGTS_2059
ko:K05576	syy:SYNGTS_2919
ko:K02636	syy:SYNGTS_1688
ko:K02636	syy:SYNGTS_1054
ko:K02636	syy:SYNGTS_3127
ko:K11520	syy:SYNGTS_2396
ko:K11354	syy:SYNGTS_2344
ko:K11355	syy:SYNGTS_2345
ko:K11720	syy:SYNGTS_1032
ko:K00988	syy:SYNGTS_2862
ko:K17062	syy:SYNGTS_1010
ko:K17063	syy:SYNGTS_1193
ko:K01978	syy:SYNGTS_nc0001
ko:K14228	syy:SYNGTS_t0007
ko:K17246	syy:SYNGTS_1337
ko:K17108	syy:SYNGTS_1088
ko:K17245	syy:SYNGTS_0809
ko:K01537	syy:SYNGTS_2781
ko:K01992	syy:SYNGTS_1775
ko:K01992	syy:SYNGTS_3171
ko:K01990	syy:SYNGTS_0050
ko:K01990	syy:SYNGTS_0785
ko:K01990	syy:SYNGTS_2277
ko:K14219	syy:SYNGTS_t0019
ko:K14234	syy:SYNGTS_t0038
ko:K17244	syy:SYNGTS_0781
ko:K17218	syy:SYNGTS_1022
ko:K00951	syy:SYNGTS_1503
ko:K01897	syy:SYNGTS_0448
ko:K07024	syy:SYNGTS_1845
ko:K01537	syy:SYNGTS_1563
ko:K01992	syy:SYNGTS_2191
ko:K14237	syy:SYNGTS_t0005
ko:K14232	syy:SYNGTS_t0001
ko:K14230	syy:SYNGTS_t0034
ko:K01992	syy:SYNGTS_2165
ko:K14218	syy:SYNGTS_t0028
ko:K01990	syy:SYNGTS_2608
ko:K01990	syy:SYNGTS_2166
ko:K00104	syy:SYNGTS_2292
ko:K11527	syy:SYNGTS_1510
ko:K14233	syy:SYNGTS_t0020
ko:K14220	syy:SYNGTS_t0024
ko:K14222	syy:SYNGTS_t0035
ko:K10112	syy:SYNGTS_0934
ko:K14236	syy:SYNGTS_t0037
ko:K14228	syy:SYNGTS_t0039
ko:K17686	syy:SYNGTS_0693
ko:K10112	syy:SYNGTS_3035
ko:K14232	syy:SYNGTS_t0004
ko:K14235	syy:SYNGTS_t0009
ko:K14221	syy:SYNGTS_t0013
ko:K14224	syy:SYNGTS_t0014
ko:K14232	syy:SYNGTS_t0015
ko:K14231	syy:SYNGTS_t0016
ko:K01980	syy:SYNGTS_r0002
ko:K01980	syy:SYNGTS_r0005
ko:K01985	syy:SYNGTS_r0001
ko:K01985	syy:SYNGTS_r0006
ko:K17836	syy:SYNGTS_2697
ko:K02027	syy:SYNGTS_1084
ko:K03292	syy:SYNGTS_1682
ko:K00226	syy:SYNGTS_2808
ko:K08700	syy:SYNGTS_2289
ko:K00971	syy:SYNGTS_1686
ko:K02055	syy:SYNGTS_1960
ko:K00290	syy:SYNGTS_2301
ko:K00254	syy:SYNGTS_2923
ko:K14219	syy:SYNGTS_t0008
ko:K07494	syy:SYNGTS_0351
ko:K07494	syy:SYNGTS_3112
ko:K07494	syy:SYNGTS_2779
ko:K07494	syy:SYNGTS_1325
ko:K07494	syy:SYNGTS_1405
ko:K07494	syy:SYNGTS_1576
ko:K07494	syy:SYNGTS_1733
ko:K07494	syy:SYNGTS_2027
ko:K07494	syy:SYNGTS_2262
ko:K17758	syy:SYNGTS_1736
ko:K17759	syy:SYNGTS_1736
ko:K01658	syy:SYNGTS_2316
ko:K12574	syy:SYNGTS_2908
ko:K17838	syy:SYNGTS_2726
ko:K07263	syy:SYNGTS_1514
ko:K01791	syy:SYNGTS_2664
ko:K00128	syy:SYNGTS_2602
ko:K01977	syy:SYNGTS_r0003
ko:K01977	syy:SYNGTS_r0004
ko:K04749	syy:SYNGTS_1077
ko:K07814	syy:SYNGTS_1418
ko:K18007	syy:SYNGTS_1519
ko:K13010	syy:SYNGTS_1475
