ko:K13060	yew:CH47_1045
ko:K10539	yew:CH47_1440
ko:K10538	yew:CH47_1441
ko:K02099	yew:CH47_1442
ko:K14347	yew:CH47_1444
ko:K01488	yew:CH47_1445
ko:K11895	yew:CH47_2046
ko:K09808	yew:CH47_1109
ko:K00884	yew:CH47_1110
ko:K12410	yew:CH47_1111
ko:K03778	yew:CH47_1530
ko:K07507	yew:CH47_1532
ko:K03297	yew:CH47_1533
ko:K03737	yew:CH47_1534
ko:K01223	yew:CH47_1535
ko:K02755	yew:CH47_1536
ko:K02756	yew:CH47_1536
ko:K02757	yew:CH47_1536
ko:K03488	yew:CH47_1537
ko:K14058	yew:CH47_1538
ko:K16074	yew:CH47_1539
ko:K15580	yew:CH47_1541
ko:K14054	yew:CH47_1543
ko:K11065	yew:CH47_1544
ko:K03721	yew:CH47_1545
ko:K08990	yew:CH47_1548
ko:K06918	yew:CH47_1549
ko:K03971	yew:CH47_1550
ko:K03970	yew:CH47_1552
ko:K03969	yew:CH47_1553
ko:K03639	yew:CH47_2253
ko:K03702	yew:CH47_2256
ko:K01935	yew:CH47_2258
ko:K02169	yew:CH47_2259
ko:K00652	yew:CH47_2260
ko:K01012	yew:CH47_2261
ko:K00833	yew:CH47_2262
ko:K07404	yew:CH47_2263
ko:K02017	yew:CH47_2265
ko:K02018	yew:CH47_2266
ko:K02020	yew:CH47_2267
ko:K02019	yew:CH47_2269
ko:K05776	yew:CH47_2270
ko:K07052	yew:CH47_2271
ko:K01784	yew:CH47_2272
ko:K00965	yew:CH47_2273
ko:K00849	yew:CH47_2274
ko:K01785	yew:CH47_2275
ko:K01173	yew:CH47_2279
ko:K01834	yew:CH47_2280
ko:K01626	yew:CH47_2281
ko:K16264	yew:CH47_2282
ko:K03811	yew:CH47_2283
ko:K03517	yew:CH47_2284
ko:K03640	yew:CH47_2290
ko:K03641	yew:CH47_2291
ko:K03646	yew:CH47_2292
ko:K03560	yew:CH47_2293
ko:K03562	yew:CH47_2294
ko:K07107	yew:CH47_2295
ko:K00426	yew:CH47_2298
ko:K00425	yew:CH47_2299
ko:K01119	yew:CH47_2300
ko:K01902	yew:CH47_2301
ko:K01903	yew:CH47_2302
ko:K00658	yew:CH47_2303
ko:K00164	yew:CH47_2304
ko:K00240	yew:CH47_2305
ko:K03666	yew:CH47_3095
ko:K00791	yew:CH47_3096
ko:K03572	yew:CH47_3097
ko:K01448	yew:CH47_3098
ko:K06925	yew:CH47_3099
ko:K17758	yew:CH47_3100
ko:K17759	yew:CH47_3100
ko:K18979	yew:CH47_3101
ko:K13288	yew:CH47_3105
ko:K06949	yew:CH47_3106
ko:K01613	yew:CH47_3107
ko:K04568	yew:CH47_3109
ko:K00244	yew:CH47_3110
ko:K00245	yew:CH47_3111
ko:K00246	yew:CH47_3112
ko:K00247	yew:CH47_3113
ko:K03098	yew:CH47_3114
ko:K11741	yew:CH47_3115
ko:K16348	yew:CH47_3116
ko:K02356	yew:CH47_3117
ko:K04077	yew:CH47_3120
ko:K04078	yew:CH47_3121
ko:K07113	yew:CH47_3122
ko:K01744	yew:CH47_3123
ko:K07791	yew:CH47_3124
ko:K03926	yew:CH47_3125
ko:K04084	yew:CH47_3126
ko:K00865	yew:CH47_3127
ko:K13408	yew:CH47_3130
ko:K00656	yew:CH47_3135
ko:K00932	yew:CH47_3136
ko:K03838	yew:CH47_3137
ko:K01754	yew:CH47_3138
ko:K07227	yew:CH47_3140
ko:K16087	yew:CH47_3143
ko:K07225	yew:CH47_3144
ko:K02016	yew:CH47_3145
ko:K02015	yew:CH47_3146
ko:K02013	yew:CH47_3147
ko:K03701	yew:CH47_3952
ko:K03111	yew:CH47_3953
ko:K07154	yew:CH47_3954
ko:K15773	yew:CH47_3955
ko:K00799	yew:CH47_3956
ko:K06901	yew:CH47_3957
ko:K03316	yew:CH47_3958
ko:K06518	yew:CH47_3960
ko:K09972	yew:CH47_3962
ko:K09971	yew:CH47_3963
ko:K09970	yew:CH47_3964
ko:K09969	yew:CH47_3965
ko:K12974	yew:CH47_3967
ko:K03704	yew:CH47_3971
ko:K03704	yew:CH47_3972
ko:K03557	yew:CH47_3975
ko:K05540	yew:CH47_3976
ko:K02687	yew:CH47_3977
ko:K14392	yew:CH47_3978
ko:K01961	yew:CH47_3980
ko:K02160	yew:CH47_3981
ko:K03786	yew:CH47_3982
ko:K17247	yew:CH47_3983
ko:K18765	yew:CH47_3986
ko:K03569	yew:CH47_3988
ko:K03570	yew:CH47_3989
ko:K03571	yew:CH47_3990
ko:K06287	yew:CH47_3991
ko:K08301	yew:CH47_3992
ko:K03568	yew:CH47_3995
ko:K15548	yew:CH47_3998
ko:K03468	yew:CH47_3999
ko:K00135	yew:CH47_4000
ko:K03623	yew:CH47_4002
ko:K09889	yew:CH47_4003
ko:K03592	yew:CH47_4004
ko:K15536	yew:CH47_4005
ko:K07483	yew:CH47_1234
ko:K03746	yew:CH47_1670
ko:K00012	yew:CH47_1671
ko:K07001	yew:CH47_1673
ko:K03829	yew:CH47_1674
ko:K09858	yew:CH47_1675
ko:K01433	yew:CH47_1676
ko:K01142	yew:CH47_1681
ko:K08320	yew:CH47_1682
ko:K03169	yew:CH47_1684
ko:K01008	yew:CH47_1685
ko:K04773	yew:CH47_1687
ko:K01424	yew:CH47_1688
ko:K08281	yew:CH47_1689
ko:K09916	yew:CH47_1690
ko:K07305	yew:CH47_1691
ko:K00134	yew:CH47_1692
ko:K01792	yew:CH47_1695
ko:K07180	yew:CH47_1698
ko:K09786	yew:CH47_1699
ko:K06911	yew:CH47_1703
ko:K07552	yew:CH47_1705
ko:K01775	yew:CH47_1706
ko:K00285	yew:CH47_1707
ko:K03603	yew:CH47_1709
ko:K03314	yew:CH47_1710
ko:K03611	yew:CH47_1711
ko:K00677	yew:CH47_1712
ko:K09160	yew:CH47_1719
ko:K08305	yew:CH47_1721
ko:K09902	yew:CH47_1722
ko:K09767	yew:CH47_2522
ko:K00077	yew:CH47_2523
ko:K03152	yew:CH47_2524
ko:K03151	yew:CH47_2525
ko:K03602	yew:CH47_2526
ko:K00795	yew:CH47_2527
ko:K01662	yew:CH47_2528
ko:K01095	yew:CH47_2529
ko:K00946	yew:CH47_2530
ko:K03625	yew:CH47_2531
ko:K00794	yew:CH47_2532
ko:K11752	yew:CH47_2533
ko:K07738	yew:CH47_2534
ko:K03074	yew:CH47_2535
ko:K03072	yew:CH47_2536
ko:K03210	yew:CH47_2537
ko:K00773	yew:CH47_2538
ko:K07568	yew:CH47_2540
ko:K08682	yew:CH47_2541
ko:K03386	yew:CH47_2542
ko:K00681	yew:CH47_2543
ko:K01187	yew:CH47_2545
ko:K11736	yew:CH47_2546
ko:K03311	yew:CH47_2547
ko:K02040	yew:CH47_2548
ko:K07636	yew:CH47_2549
ko:K07657	yew:CH47_2550
ko:K03547	yew:CH47_2551
ko:K00847	yew:CH47_2553
ko:K03554	yew:CH47_2554
ko:K09913	yew:CH47_2555
ko:K00891	yew:CH47_2556
ko:K02014	yew:CH47_2557
ko:K02016	yew:CH47_2558
ko:K13688	yew:CH47_2564
ko:K01232	yew:CH47_2567
ko:K02749	yew:CH47_2568
ko:K02750	yew:CH47_2568
ko:K03482	yew:CH47_2569
ko:K00147	yew:CH47_2570
ko:K00931	yew:CH47_2571
ko:K11926	yew:CH47_2572
ko:K00322	yew:CH47_3364
ko:K04761	yew:CH47_3363
ko:K00382	yew:CH47_3366
ko:K03832	yew:CH47_3368
ko:K12537	yew:CH47_3369
ko:K12536	yew:CH47_3370
ko:K16152	yew:CH47_3375
ko:K01755	yew:CH47_3376
ko:K00930	yew:CH47_3377
ko:K00145	yew:CH47_3378
ko:K01438	yew:CH47_3379
ko:K01595	yew:CH47_3381
ko:K00297	yew:CH47_3383
ko:K12525	yew:CH47_3386
ko:K01739	yew:CH47_3387
ko:K03764	yew:CH47_3388
ko:K02909	yew:CH47_3389
ko:K04066	yew:CH47_3390
ko:K05499	yew:CH47_3391
ko:K03591	yew:CH47_3392
ko:K01419	yew:CH47_3393
ko:K03667	yew:CH47_3394
ko:K02548	yew:CH47_3395
ko:K02553	yew:CH47_3396
ko:K09892	yew:CH47_3397
ko:K02440	yew:CH47_3398
ko:K00864	yew:CH47_3399
ko:K02446	yew:CH47_3400
ko:K08154	yew:CH47_3401
ko:K00528	yew:CH47_3402
ko:K01803	yew:CH47_3405
ko:K02048	yew:CH47_3406
ko:K00850	yew:CH47_3407
ko:K13283	yew:CH47_3408
ko:K06006	yew:CH47_3409
ko:K07640	yew:CH47_3411
ko:K10778	yew:CH47_3412
ko:K07491	yew:CH47_4228
ko:K08598	yew:CH47_4233
ko:K07483	yew:CH47_4236
ko:K03496	yew:CH47_4242
ko:K07790	yew:CH47_4247
ko:K03496	yew:CH47_4250
ko:K03497	yew:CH47_4251
ko:K03223	yew:CH47_4264
ko:K04054	yew:CH47_4265
ko:K03222	yew:CH47_4266
ko:K04053	yew:CH47_4267
ko:K04052	yew:CH47_4268
ko:K04051	yew:CH47_4269
ko:K03221	yew:CH47_4270
ko:K11902	yew:CH47_2047
ko:K00768	yew:CH47_2054
ko:K02226	yew:CH47_2055
ko:K02233	yew:CH47_2056
ko:K02231	yew:CH47_2057
ko:K02232	yew:CH47_2058
ko:K02006	yew:CH47_2059
ko:K02008	yew:CH47_2060
ko:K02009	yew:CH47_2061
ko:K02007	yew:CH47_2062
ko:K03394	yew:CH47_2063
ko:K02190	yew:CH47_2064
ko:K05895	yew:CH47_2065
ko:K02189	yew:CH47_2067
ko:K05936	yew:CH47_2068
ko:K02191	yew:CH47_2069
ko:K03399	yew:CH47_2070
ko:K02188	yew:CH47_2071
ko:K06042	yew:CH47_2072
ko:K02227	yew:CH47_2073
ko:K02224	yew:CH47_2074
ko:K13919	yew:CH47_2080
ko:K13920	yew:CH47_2081
ko:K13923	yew:CH47_2086
ko:K13922	yew:CH47_2090
ko:K13921	yew:CH47_2091
ko:K04031	yew:CH47_2094
ko:K04029	yew:CH47_2095
ko:K05804	yew:CH47_2884
ko:K03720	yew:CH47_2886
ko:K08309	yew:CH47_2887
ko:K06211	yew:CH47_2895
ko:K04485	yew:CH47_2897
ko:K01079	yew:CH47_2898
ko:K07186	yew:CH47_2899
ko:K03784	yew:CH47_2901
ko:K01839	yew:CH47_2902
ko:K00758	yew:CH47_2903
ko:K01619	yew:CH47_2904
ko:K03317	yew:CH47_2905
ko:K03424	yew:CH47_2906
ko:K04065	yew:CH47_2909
ko:K02837	yew:CH47_2910
ko:K03789	yew:CH47_2911
ko:K02344	yew:CH47_2912
ko:K00564	yew:CH47_2913
ko:K16091	yew:CH47_2920
ko:K02016	yew:CH47_2921
ko:K00847	yew:CH47_2922
ko:K16077	yew:CH47_2923
ko:K02809	yew:CH47_2924
ko:K02810	yew:CH47_2924
ko:K01193	yew:CH47_2925
ko:K03484	yew:CH47_2926
ko:K05880	yew:CH47_2927
ko:K01051	yew:CH47_2928
ko:K00612	yew:CH47_2933
ko:K05881	yew:CH47_2935
ko:K04760	yew:CH47_3728
ko:K06959	yew:CH47_3731
ko:K04758	yew:CH47_3732
ko:K04759	yew:CH47_3733
ko:K07490	yew:CH47_3734
ko:K02170	yew:CH47_3736
ko:K07400	yew:CH47_3738
ko:K00705	yew:CH47_3739
ko:K00688	yew:CH47_3740
ko:K03556	yew:CH47_3741
ko:K02439	yew:CH47_3742
ko:K02441	yew:CH47_3743
ko:K02444	yew:CH47_3744
ko:K01610	yew:CH47_3745
ko:K04083	yew:CH47_3746
ko:K04762	yew:CH47_3747
ko:K08312	yew:CH47_3750
ko:K05366	yew:CH47_3751
ko:K12288	yew:CH47_3752
ko:K12289	yew:CH47_3753
ko:K12290	yew:CH47_3754
ko:K12291	yew:CH47_3755
ko:K02507	yew:CH47_3756
ko:K00891	yew:CH47_3757
ko:K01735	yew:CH47_3758
ko:K03112	yew:CH47_3759
ko:K01783	yew:CH47_3761
ko:K01091	yew:CH47_3762
ko:K01867	yew:CH47_3763
ko:K02302	yew:CH47_3764
ko:K02598	yew:CH47_3765
ko:K00363	yew:CH47_3766
ko:K00362	yew:CH47_3767
ko:K01485	yew:CH47_3768
ko:K06141	yew:CH47_3769
ko:K01222	yew:CH47_3771
ko:K03767	yew:CH47_3772
ko:K06915	yew:CH47_3773
ko:K01664	yew:CH47_3774
ko:K10914	yew:CH47_3777
ko:K07397	yew:CH47_3778
ko:K00855	yew:CH47_3779
ko:K09898	yew:CH47_3780
ko:K08304	yew:CH47_240
ko:K02426	yew:CH47_242
ko:K01766	yew:CH47_243
ko:K03566	yew:CH47_245
ko:K06968	yew:CH47_247
ko:K01146	yew:CH47_248
ko:K06966	yew:CH47_249
ko:K06879	yew:CH47_250
ko:K15723	yew:CH47_251
ko:K06175	yew:CH47_253
ko:K00674	yew:CH47_256
ko:K00990	yew:CH47_257
ko:K01265	yew:CH47_258
ko:K02967	yew:CH47_259
ko:K02357	yew:CH47_260
ko:K09903	yew:CH47_261
ko:K02838	yew:CH47_262
ko:K00099	yew:CH47_263
ko:K00806	yew:CH47_264
ko:K00981	yew:CH47_265
ko:K02193	yew:CH47_679
ko:K02194	yew:CH47_680
ko:K02195	yew:CH47_681
ko:K02196	yew:CH47_682
ko:K02197	yew:CH47_683
ko:K02198	yew:CH47_684
ko:K02199	yew:CH47_685
ko:K02200	yew:CH47_686
ko:K04754	yew:CH47_688
ko:K07171	yew:CH47_690
ko:K06076	yew:CH47_691
ko:K01782	yew:CH47_694
ko:K08296	yew:CH47_695
ko:K07320	yew:CH47_698
ko:K01736	yew:CH47_699
ko:K07261	yew:CH47_700
ko:K07090	yew:CH47_701
ko:K09906	yew:CH47_702
ko:K01258	yew:CH47_1112
ko:K18850	yew:CH47_1113
ko:K07637	yew:CH47_1114
ko:K06281	yew:CH47_3
ko:K03605	yew:CH47_4
ko:K04651	yew:CH47_6
ko:K04652	yew:CH47_7
ko:K04653	yew:CH47_8
ko:K04654	yew:CH47_9
ko:K04655	yew:CH47_10
ko:K04656	yew:CH47_11
ko:K00878	yew:CH47_12
ko:K03762	yew:CH47_17
ko:K03324	yew:CH47_20
ko:K02529	yew:CH47_22
ko:K03100	yew:CH47_431
ko:K03685	yew:CH47_432
ko:K03584	yew:CH47_434
ko:K03474	yew:CH47_435
ko:K00997	yew:CH47_436
ko:K16321	yew:CH47_437
ko:K07724	yew:CH47_441
ko:K07106	yew:CH47_442
ko:K18697	yew:CH47_443
ko:K11991	yew:CH47_445
ko:K18691	yew:CH47_446
ko:K01952	yew:CH47_447
ko:K07711	yew:CH47_450
ko:K07715	yew:CH47_452
ko:K01950	yew:CH47_453
ko:K04751	yew:CH47_454
ko:K07347	yew:CH47_871
ko:K01151	yew:CH47_872
ko:K11733	yew:CH47_876
ko:K02015	yew:CH47_877
ko:K02013	yew:CH47_878
ko:K16089	yew:CH47_879
ko:K02073	yew:CH47_884
ko:K02071	yew:CH47_885
ko:K02072	yew:CH47_886
ko:K01758	yew:CH47_887
ko:K01697	yew:CH47_888
ko:K07258	yew:CH47_889
ko:K01752	yew:CH47_890
ko:K03837	yew:CH47_891
ko:K11534	yew:CH47_892
ko:K01619	yew:CH47_893
ko:K08169	yew:CH47_1309
ko:K01730	yew:CH47_1310
ko:K11066	yew:CH47_1312
ko:K06956	yew:CH47_1313
ko:K07038	yew:CH47_1314
ko:K10192	yew:CH47_1316
ko:K10195	yew:CH47_1317
ko:K10194	yew:CH47_1318
ko:K10193	yew:CH47_1319
ko:K01731	yew:CH47_1320
ko:K00065	yew:CH47_1321
ko:K01815	yew:CH47_1322
ko:K11264	yew:CH47_1328
ko:K07588	yew:CH47_1329
ko:K01847	yew:CH47_1330
ko:K11606	yew:CH47_1332
ko:K11605	yew:CH47_1333
ko:K11931	yew:CH47_1830
ko:K11935	yew:CH47_1831
ko:K13255	yew:CH47_1833
ko:K16868	yew:CH47_1836
ko:K02003	yew:CH47_1839
ko:K02004	yew:CH47_1840
ko:K02004	yew:CH47_1841
ko:K07230	yew:CH47_1843
ko:K07243	yew:CH47_1844
ko:K01425	yew:CH47_1847
ko:K07701	yew:CH47_1852
ko:K07703	yew:CH47_1853
ko:K11616	yew:CH47_1854
ko:K11738	yew:CH47_1855
ko:K10010	yew:CH47_1861
ko:K10009	yew:CH47_1862
ko:K02424	yew:CH47_1863
ko:K05396	yew:CH47_1864
ko:K02425	yew:CH47_1865
ko:K02405	yew:CH47_1866
ko:K18475	yew:CH47_1867
ko:K02406	yew:CH47_1868
ko:K02406	yew:CH47_1869
ko:K02406	yew:CH47_1870
ko:K02407	yew:CH47_1871
ko:K02422	yew:CH47_1872
ko:K02423	yew:CH47_1873
ko:K01247	yew:CH47_1876
ko:K02408	yew:CH47_1879
ko:K02409	yew:CH47_1880
ko:K02410	yew:CH47_1881
ko:K02411	yew:CH47_1882
ko:K02412	yew:CH47_1883
ko:K02355	yew:CH47_2679
ko:K09967	yew:CH47_2681
ko:K06016	yew:CH47_2682
ko:K02028	yew:CH47_2683
ko:K02029	yew:CH47_2684
ko:K02029	yew:CH47_2685
ko:K02030	yew:CH47_2686
ko:K01753	yew:CH47_2687
ko:K00817	yew:CH47_2689
ko:K00059	yew:CH47_2690
ko:K02078	yew:CH47_2691
ko:K09458	yew:CH47_2693
ko:K05685	yew:CH47_2695
ko:K13888	yew:CH47_2696
ko:K03673	yew:CH47_2699
ko:K13009	yew:CH47_2711
ko:K03555	yew:CH47_2712
ko:K03087	yew:CH47_2713
ko:K06194	yew:CH47_2714
ko:K00573	yew:CH47_2715
ko:K03787	yew:CH47_2716
ko:K06176	yew:CH47_2717
ko:K01770	yew:CH47_2718
ko:K00991	yew:CH47_2719
ko:K05589	yew:CH47_2720
ko:K00860	yew:CH47_2722
ko:K00956	yew:CH47_2723
ko:K00957	yew:CH47_2724
ko:K02302	yew:CH47_2725
ko:K09612	yew:CH47_2726
ko:K02742	yew:CH47_128
ko:K07112	yew:CH47_130
ko:K07112	yew:CH47_131
ko:K00789	yew:CH47_132
ko:K01585	yew:CH47_133
ko:K07387	yew:CH47_135
ko:K00615	yew:CH47_136
ko:K03472	yew:CH47_143
ko:K00927	yew:CH47_144
ko:K01624	yew:CH47_145
ko:K03442	yew:CH47_146
ko:K06895	yew:CH47_147
ko:K09807	yew:CH47_148
ko:K05596	yew:CH47_149
ko:K01807	yew:CH47_150
ko:K00058	yew:CH47_151
ko:K01934	yew:CH47_152
ko:K09888	yew:CH47_153
ko:K07660	yew:CH47_1115
ko:K01756	yew:CH47_1117
ko:K07153	yew:CH47_1118
ko:K00566	yew:CH47_1119
ko:K12152	yew:CH47_1120
ko:K06181	yew:CH47_1121
ko:K00031	yew:CH47_1122
ko:K03776	yew:CH47_1130
ko:K03502	yew:CH47_1132
ko:K03503	yew:CH47_1133
ko:K01740	yew:CH47_1134
ko:K03974	yew:CH47_1554
ko:K03305	yew:CH47_1565
ko:K06996	yew:CH47_1566
ko:K00799	yew:CH47_1569
ko:K00868	yew:CH47_1570
ko:K01866	yew:CH47_1571
ko:K00275	yew:CH47_1572
ko:K09001	yew:CH47_1574
ko:K06077	yew:CH47_1575
ko:K06075	yew:CH47_1576
ko:K00239	yew:CH47_2306
ko:K00242	yew:CH47_2307
ko:K00241	yew:CH47_2308
ko:K01647	yew:CH47_2309
ko:K01304	yew:CH47_2310
ko:K07160	yew:CH47_2313
ko:K01669	yew:CH47_2318
ko:K01546	yew:CH47_2321
ko:K01547	yew:CH47_2322
ko:K01548	yew:CH47_2323
ko:K07646	yew:CH47_2324
ko:K07667	yew:CH47_2325
ko:K08978	yew:CH47_2326
ko:K01835	yew:CH47_2328
ko:K03645	yew:CH47_2329
ko:K03406	yew:CH47_2333
ko:K03839	yew:CH47_2334
ko:K03711	yew:CH47_2335
ko:K12373	yew:CH47_2336
ko:K01886	yew:CH47_2339
ko:K02802	yew:CH47_2340
ko:K02803	yew:CH47_2340
ko:K02804	yew:CH47_2340
ko:K02564	yew:CH47_2341
ko:K01443	yew:CH47_2342
ko:K02565	yew:CH47_2343
ko:K02566	yew:CH47_2344
ko:K01953	yew:CH47_2345
ko:K03184	yew:CH47_2352
ko:K06168	yew:CH47_2353
ko:K07042	yew:CH47_2355
ko:K06189	yew:CH47_2356
ko:K03820	yew:CH47_2357
ko:K07006	yew:CH47_2358
ko:K10001	yew:CH47_2359
ko:K02014	yew:CH47_3150
ko:K07263	yew:CH47_3153
ko:K02471	yew:CH47_3154
ko:K07165	yew:CH47_3156
ko:K03088	yew:CH47_3157
ko:K03832	yew:CH47_3158
ko:K07112	yew:CH47_3160
ko:K14979	yew:CH47_3162
ko:K11102	yew:CH47_3163
ko:K01895	yew:CH47_3164
ko:K14393	yew:CH47_3166
ko:K00602	yew:CH47_3174
ko:K01945	yew:CH47_3175
ko:K05787	yew:CH47_3177
ko:K09891	yew:CH47_3178
ko:K05982	yew:CH47_3179
ko:K01599	yew:CH47_3180
ko:K03426	yew:CH47_3181
ko:K07740	yew:CH47_3182
ko:K03147	yew:CH47_3183
ko:K00788	yew:CH47_3184
ko:K03148	yew:CH47_3185
ko:K03154	yew:CH47_3186
ko:K03149	yew:CH47_3187
ko:K03150	yew:CH47_3188
ko:K03046	yew:CH47_3190
ko:K03043	yew:CH47_3191
ko:K02935	yew:CH47_3192
ko:K02864	yew:CH47_3193
ko:K02863	yew:CH47_3194
ko:K02867	yew:CH47_3195
ko:K02601	yew:CH47_3196
ko:K03073	yew:CH47_3197
ko:K02358	yew:CH47_3198
ko:K06140	yew:CH47_4006
ko:K01465	yew:CH47_4012
ko:K01042	yew:CH47_4013
ko:K01531	yew:CH47_4017
ko:K03485	yew:CH47_4018
ko:K02818	yew:CH47_4019
ko:K02819	yew:CH47_4019
ko:K01226	yew:CH47_4020
ko:K07395	yew:CH47_4021
ko:K09022	yew:CH47_4026
ko:K00610	yew:CH47_4027
ko:K00609	yew:CH47_4028
ko:K07483	yew:CH47_4032
ko:K08485	yew:CH47_4034
ko:K06958	yew:CH47_4035
ko:K02806	yew:CH47_4036
ko:K05808	yew:CH47_4037
ko:K03092	yew:CH47_4038
ko:K06861	yew:CH47_4039
ko:K09774	yew:CH47_4040
ko:K11719	yew:CH47_4041
ko:K03270	yew:CH47_4042
ko:K06041	yew:CH47_4043
ko:K07301	yew:CH47_4044
ko:K02065	yew:CH47_4045
ko:K02066	yew:CH47_4046
ko:K02067	yew:CH47_4047
ko:K07323	yew:CH47_4048
ko:K07122	yew:CH47_4049
ko:K00790	yew:CH47_4051
ko:K04691	yew:CH47_4052
ko:K09908	yew:CH47_4054
ko:K06916	yew:CH47_4055
ko:K02871	yew:CH47_4056
ko:K02996	yew:CH47_4057
ko:K03599	yew:CH47_4058
ko:K03600	yew:CH47_4059
ko:K07124	yew:CH47_2018
ko:K03427	yew:CH47_2960
ko:K03976	yew:CH47_2439
ko:K00390	yew:CH47_2729
ko:K02111	yew:CH47_3518
ko:K02115	yew:CH47_3519
ko:K02112	yew:CH47_3520
ko:K02114	yew:CH47_3521
ko:K04042	yew:CH47_3522
ko:K00820	yew:CH47_3523
ko:K02040	yew:CH47_3525
ko:K02037	yew:CH47_3526
ko:K02038	yew:CH47_3527
ko:K02036	yew:CH47_3528
ko:K02039	yew:CH47_3529
ko:K02030	yew:CH47_3531
ko:K02029	yew:CH47_3532
ko:K02029	yew:CH47_3534
ko:K06901	yew:CH47_3535
ko:K03406	yew:CH47_3540
ko:K02072	yew:CH47_3541
ko:K02071	yew:CH47_3542
ko:K02073	yew:CH47_3543
ko:K00209	yew:CH47_3544
ko:K03650	yew:CH47_3545
ko:K03217	yew:CH47_3546
ko:K08998	yew:CH47_3547
ko:K03536	yew:CH47_3548
ko:K02914	yew:CH47_3549
ko:K02313	yew:CH47_3550
ko:K02338	yew:CH47_3551
ko:K03629	yew:CH47_3552
ko:K02470	yew:CH47_3553
ko:K01754	yew:CH47_3556
ko:K07458	yew:CH47_3559
ko:K04080	yew:CH47_3563
ko:K04081	yew:CH47_3565
ko:K07085	yew:CH47_3566
ko:K00835	yew:CH47_3567
ko:K18324	yew:CH47_566
ko:K07685	yew:CH47_568
ko:K02572	yew:CH47_569
ko:K02570	yew:CH47_570
ko:K02567	yew:CH47_571
ko:K02568	yew:CH47_572
ko:K02569	yew:CH47_573
ko:K18923	yew:CH47_574
ko:K06218	yew:CH47_575
ko:K00029	yew:CH47_577
ko:K09768	yew:CH47_580
ko:K00228	yew:CH47_581
ko:K07223	yew:CH47_585
ko:K01639	yew:CH47_586
ko:K01788	yew:CH47_587
ko:K00885	yew:CH47_588
ko:K03290	yew:CH47_591
ko:K03633	yew:CH47_1002
ko:K03804	yew:CH47_1003
ko:K03632	yew:CH47_1004
ko:K00813	yew:CH47_1009
ko:K09476	yew:CH47_1010
ko:K01893	yew:CH47_1011
ko:K00763	yew:CH47_1012
ko:K01256	yew:CH47_1014
ko:K00254	yew:CH47_1015
ko:K18657	yew:CH47_1016
ko:K07140	yew:CH47_1017
ko:K12297	yew:CH47_1018
ko:K15738	yew:CH47_1019
ko:K03808	yew:CH47_1020
ko:K06192	yew:CH47_1021
ko:K09857	yew:CH47_1022
ko:K03812	yew:CH47_1023
ko:K09458	yew:CH47_1024
ko:K01716	yew:CH47_1026
ko:K04770	yew:CH47_1027
ko:K09911	yew:CH47_1028
ko:K14155	yew:CH47_1446
ko:K16136	yew:CH47_1449
ko:K18234	yew:CH47_1448
ko:K01809	yew:CH47_1451
ko:K01679	yew:CH47_1452
ko:K10748	yew:CH47_1454
ko:K17836	yew:CH47_1455
ko:K08224	yew:CH47_1457
ko:K15545	yew:CH47_1459
ko:K01935	yew:CH47_1460
ko:K03281	yew:CH47_1461
ko:K09771	yew:CH47_1465
ko:K16066	yew:CH47_1466
ko:K07341	yew:CH47_1469
ko:K02303	yew:CH47_2097
ko:K04720	yew:CH47_2098
ko:K16651	yew:CH47_2099
ko:K02058	yew:CH47_2102
ko:K02056	yew:CH47_2103
ko:K02057	yew:CH47_2104
ko:K02057	yew:CH47_2105
ko:K09802	yew:CH47_2106
ko:K01141	yew:CH47_2109
ko:K08317	yew:CH47_2112
ko:K02056	yew:CH47_2113
ko:K02057	yew:CH47_2114
ko:K00765	yew:CH47_2116
ko:K00013	yew:CH47_2117
ko:K00817	yew:CH47_2118
ko:K01089	yew:CH47_2119
ko:K02501	yew:CH47_2120
ko:K01814	yew:CH47_2121
ko:K02500	yew:CH47_2122
ko:K11755	yew:CH47_2123
ko:K00033	yew:CH47_2124
ko:K00963	yew:CH47_2128
ko:K00963	yew:CH47_2129
ko:K03326	yew:CH47_2131
ko:K07289	yew:CH47_2132
ko:K01494	yew:CH47_2133
ko:K00876	yew:CH47_2134
ko:K03593	yew:CH47_2135
ko:K01874	yew:CH47_2136
ko:K02058	yew:CH47_2138
ko:K06518	yew:CH47_2141
ko:K01489	yew:CH47_2143
ko:K00027	yew:CH47_2145
ko:K03748	yew:CH47_2146
ko:K04653	yew:CH47_2147
ko:K04651	yew:CH47_2148
ko:K05879	yew:CH47_2936
ko:K05878	yew:CH47_2937
ko:K00005	yew:CH47_2938
ko:K01478	yew:CH47_2942
ko:K03758	yew:CH47_2943
ko:K02849	yew:CH47_2945
ko:K11216	yew:CH47_2946
ko:K11531	yew:CH47_2947
ko:K10558	yew:CH47_2948
ko:K10556	yew:CH47_2949
ko:K10557	yew:CH47_2950
ko:K10555	yew:CH47_2951
ko:K08321	yew:CH47_2952
ko:K11530	yew:CH47_2953
ko:K07454	yew:CH47_2962
ko:K10974	yew:CH47_2963
ko:K10974	yew:CH47_2965
ko:K06218	yew:CH47_2970
ko:K18918	yew:CH47_2971
ko:K09803	yew:CH47_2972
ko:K11720	yew:CH47_2976
ko:K07091	yew:CH47_2977
ko:K01255	yew:CH47_2978
ko:K02339	yew:CH47_2979
