ko:K01006	cbj:H04402_03029
ko:K02039	cbj:H04402_02553
ko:K02036	cbj:H04402_02554
ko:K02038	cbj:H04402_02555
ko:K02037	cbj:H04402_02556
ko:K02040	cbj:H04402_02557
ko:K07636	cbj:H04402_02558
ko:K05810	cbj:H04402_02561
ko:K07738	cbj:H04402_02562
ko:K03091	cbj:H04402_02564
ko:K03091	cbj:H04402_02565
ko:K06383	cbj:H04402_02566
ko:K03531	cbj:H04402_02567
ko:K02961	cbj:H04402_03574
ko:K02904	cbj:H04402_03575
ko:K02878	cbj:H04402_03576
ko:K02982	cbj:H04402_03577
ko:K02890	cbj:H04402_03578
ko:K02965	cbj:H04402_03579
ko:K02886	cbj:H04402_03580
ko:K02892	cbj:H04402_03581
ko:K02926	cbj:H04402_03582
ko:K02906	cbj:H04402_03583
ko:K02946	cbj:H04402_03584
ko:K02358	cbj:H04402_03585
ko:K02355	cbj:H04402_03586
ko:K02992	cbj:H04402_03587
ko:K02950	cbj:H04402_03588
ko:K07590	cbj:H04402_03589
ko:K18345	cbj:H04402_01992
ko:K03088	cbj:H04402_03442
ko:K03321	cbj:H04402_03443
ko:K02759	cbj:H04402_03452
ko:K02760	cbj:H04402_03453
ko:K02761	cbj:H04402_03455
ko:K01611	cbj:H04402_03459
ko:K07057	cbj:H04402_03460
ko:K07240	cbj:H04402_03465
ko:K07240	cbj:H04402_03466
ko:K03215	cbj:H04402_03467
ko:K00873	cbj:H04402_03471
ko:K00850	cbj:H04402_03472
ko:K02337	cbj:H04402_03473
ko:K06958	cbj:H04402_03476
ko:K00075	cbj:H04402_03477
ko:K03703	cbj:H04402_03479
ko:K07038	cbj:H04402_03480
ko:K03701	cbj:H04402_03485
ko:K03702	cbj:H04402_03486
ko:K03797	cbj:H04402_03488
ko:K09811	cbj:H04402_03489
ko:K03311	cbj:H04402_00873
ko:K03311	cbj:H04402_00874
ko:K04758	cbj:H04402_00876
ko:K04759	cbj:H04402_00878
ko:K02233	cbj:H04402_00881
ko:K01737	cbj:H04402_00887
ko:K00796	cbj:H04402_00888
ko:K00950	cbj:H04402_00890
ko:K13993	cbj:H04402_00891
ko:K03088	cbj:H04402_00897
ko:K01775	cbj:H04402_01735
ko:K06901	cbj:H04402_01737
ko:K02034	cbj:H04402_01749
ko:K03704	cbj:H04402_01767
ko:K03415	cbj:H04402_01771
ko:K00243	cbj:H04402_01773
ko:K07727	cbj:H04402_00488
ko:K03547	cbj:H04402_00491
ko:K01534	cbj:H04402_00496
ko:K07175	cbj:H04402_00504
ko:K03439	cbj:H04402_00522
ko:K11065	cbj:H04402_00524
ko:K01875	cbj:H04402_00534
ko:K04041	cbj:H04402_00540
ko:K03310	cbj:H04402_01366
ko:K02654	cbj:H04402_01384
ko:K03657	cbj:H04402_01389
ko:K00806	cbj:H04402_01398
ko:K00198	cbj:H04402_01401
ko:K08302	cbj:H04402_02019
ko:K11991	cbj:H04402_00021
ko:K07979	cbj:H04402_02871
ko:K16963	cbj:H04402_01472
ko:K16961	cbj:H04402_01470
ko:K02888	cbj:H04402_03083
ko:K08301	cbj:H04402_03084
ko:K05837	cbj:H04402_03089
ko:K03608	cbj:H04402_03090
ko:K03609	cbj:H04402_03091
ko:K03610	cbj:H04402_03092
ko:K05515	cbj:H04402_03093
ko:K03571	cbj:H04402_03094
ko:K03570	cbj:H04402_03095
ko:K03569	cbj:H04402_03096
ko:K03630	cbj:H04402_03097
ko:K06287	cbj:H04402_03098
ko:K06209	cbj:H04402_03105
ko:K08309	cbj:H04402_03107
ko:K00067	cbj:H04402_02166
ko:K13653	cbj:H04402_02173
ko:K09000	cbj:H04402_02182
ko:K09127	cbj:H04402_02184
ko:K00859	cbj:H04402_03108
ko:K01736	cbj:H04402_03110
ko:K01448	cbj:H04402_03111
ko:K01876	cbj:H04402_03126
ko:K01892	cbj:H04402_03127
ko:K07560	cbj:H04402_03130
ko:K00759	cbj:H04402_03132
ko:K03074	cbj:H04402_03134
ko:K03072	cbj:H04402_03135
ko:K06871	cbj:H04402_03136
ko:K03210	cbj:H04402_03139
ko:K00773	cbj:H04402_03140
ko:K07568	cbj:H04402_03141
ko:K03551	cbj:H04402_03142
ko:K03550	cbj:H04402_03143
ko:K03665	cbj:H04402_03152
ko:K00760	cbj:H04402_03153
ko:K05366	cbj:H04402_03155
ko:K06407	cbj:H04402_03156
ko:K06406	cbj:H04402_03157
ko:K01104	cbj:H04402_00134
ko:K02851	cbj:H04402_00138
ko:K02242	cbj:H04402_00160
ko:K04720	cbj:H04402_00987
ko:K02009	cbj:H04402_00990
ko:K03399	cbj:H04402_01003
ko:K02190	cbj:H04402_01021
ko:K00385	cbj:H04402_01028
ko:K04655	cbj:H04402_01828
ko:K06281	cbj:H04402_01835
ko:K06282	cbj:H04402_01836
ko:K07258	cbj:H04402_01855
ko:K03783	cbj:H04402_01861
ko:K04763	cbj:H04402_01863
ko:K01515	cbj:H04402_01866
ko:K03711	cbj:H04402_02660
ko:K04488	cbj:H04402_02667
ko:K01439	cbj:H04402_03436
ko:K09963	cbj:H04402_03450
ko:K01222	cbj:H04402_03456
ko:K03769	cbj:H04402_00040
ko:K01297	cbj:H04402_00042
ko:K11261	cbj:H04402_01745
ko:K02035	cbj:H04402_01746
ko:K02033	cbj:H04402_01747
ko:K00882	cbj:H04402_01758
ko:K03406	cbj:H04402_01768
ko:K01424	cbj:H04402_02546
ko:K07658	cbj:H04402_02560
ko:K02049	cbj:H04402_03334
ko:K02050	cbj:H04402_03336
ko:K02051	cbj:H04402_03341
ko:K02428	cbj:H04402_03347
ko:K02035	cbj:H04402_03350
ko:K02433	cbj:H04402_03352
ko:K06183	cbj:H04402_03359
ko:K03574	cbj:H04402_00725
ko:K03488	cbj:H04402_00726
ko:K02755	cbj:H04402_00727
ko:K02756	cbj:H04402_00727
ko:K02757	cbj:H04402_00727
ko:K09155	cbj:H04402_00734
ko:K05832	cbj:H04402_00739
ko:K05833	cbj:H04402_00740
ko:K01989	cbj:H04402_00741
ko:K07343	cbj:H04402_00752
ko:K07079	cbj:H04402_01578
ko:K02025	cbj:H04402_01583
ko:K00016	cbj:H04402_01586
ko:K11041	cbj:H04402_01589
ko:K03406	cbj:H04402_01592
ko:K01759	cbj:H04402_01597
ko:K00567	cbj:H04402_01598
ko:K01537	cbj:H04402_01611
ko:K06897	cbj:H04402_02391
ko:K07729	cbj:H04402_02393
ko:K00974	cbj:H04402_02405
ko:K11189	cbj:H04402_02423
ko:K01835	cbj:H04402_03196
ko:K03499	cbj:H04402_03215
ko:K03498	cbj:H04402_03216
ko:K10823	cbj:H04402_03228
ko:K15583	cbj:H04402_03229
ko:K15582	cbj:H04402_03230
ko:K11733	cbj:H04402_00239
ko:K01478	cbj:H04402_00059
ko:K02005	cbj:H04402_00077
ko:K02004	cbj:H04402_00079
ko:K09121	cbj:H04402_00094
ko:K06864	cbj:H04402_00095
ko:K06898	cbj:H04402_00096
ko:K15976	cbj:H04402_00928
ko:K01569	cbj:H04402_00930
ko:K03488	cbj:H04402_00949
ko:K02755	cbj:H04402_00950
ko:K02756	cbj:H04402_00950
ko:K02757	cbj:H04402_00950
ko:K08978	cbj:H04402_00964
ko:K03409	cbj:H04402_01782
ko:K00666	cbj:H04402_03378
ko:K00088	cbj:H04402_03381
ko:K01958	cbj:H04402_03395
ko:K01409	cbj:H04402_03396
ko:K07078	cbj:H04402_02215
ko:K01442	cbj:H04402_02216
ko:K00198	cbj:H04402_02230
ko:K04651	cbj:H04402_02231
ko:K02557	cbj:H04402_02238
ko:K02556	cbj:H04402_02239
ko:K01620	cbj:H04402_02247
ko:K00865	cbj:H04402_02248
ko:K01599	cbj:H04402_02257
ko:K00111	cbj:H04402_02258
ko:K03091	cbj:H04402_03159
ko:K06379	cbj:H04402_03160
ko:K05946	cbj:H04402_03167
ko:K03980	cbj:H04402_03171
ko:K13015	cbj:H04402_03185
ko:K01448	cbj:H04402_03189
ko:K01448	cbj:H04402_03190
ko:K01448	cbj:H04402_03191
ko:K00963	cbj:H04402_03194
ko:K02897	cbj:H04402_03197
ko:K07456	cbj:H04402_03204
ko:K08303	cbj:H04402_03205
ko:K07105	cbj:H04402_00009
ko:K09118	cbj:H04402_00011
ko:K02004	cbj:H04402_00841
ko:K01011	cbj:H04402_00850
ko:K06147	cbj:H04402_01670
ko:K06147	cbj:H04402_01671
ko:K00845	cbj:H04402_01673
ko:K01387	cbj:H04402_01689
ko:K00548	cbj:H04402_01692
ko:K05845	cbj:H04402_01709
ko:K05846	cbj:H04402_01709
ko:K00625	cbj:H04402_02487
ko:K07030	cbj:H04402_02524
ko:K00949	cbj:H04402_02529
ko:K00626	cbj:H04402_03288
ko:K01715	cbj:H04402_03290
ko:K03698	cbj:H04402_03294
ko:K03406	cbj:H04402_03300
ko:K09825	cbj:H04402_03307
ko:K04076	cbj:H04402_03317
ko:K02823	cbj:H04402_03325
ko:K03317	cbj:H04402_00656
ko:K01243	cbj:H04402_01542
ko:K03856	cbj:H04402_01543
ko:K02824	cbj:H04402_01549
ko:K02017	cbj:H04402_01555
ko:K04763	cbj:H04402_02340
ko:K07305	cbj:H04402_02379
ko:K06147	cbj:H04402_02381
ko:K06147	cbj:H04402_02382
ko:K13019	cbj:H04402_03177
ko:K03790	cbj:H04402_00033
ko:K03088	cbj:H04402_00035
ko:K01870	cbj:H04402_00090
ko:K02529	cbj:H04402_00091
ko:K06436	cbj:H04402_00107
ko:K12410	cbj:H04402_00041
ko:K03284	cbj:H04402_00044
ko:K00943	cbj:H04402_00049
ko:K02341	cbj:H04402_00051
ko:K00878	cbj:H04402_02267
ko:K01935	cbj:H04402_02272
ko:K01012	cbj:H04402_02273
ko:K03523	cbj:H04402_02274
ko:K09888	cbj:H04402_03211
ko:K01890	cbj:H04402_03212
ko:K01889	cbj:H04402_03213
ko:K03437	cbj:H04402_03214
ko:K02887	cbj:H04402_03217
ko:K02916	cbj:H04402_03218
ko:K02520	cbj:H04402_03219
ko:K01868	cbj:H04402_03220
ko:K04083	cbj:H04402_03225
ko:K15581	cbj:H04402_03231
ko:K15580	cbj:H04402_03232
ko:K00133	cbj:H04402_03234
ko:K01714	cbj:H04402_03235
ko:K00215	cbj:H04402_03236
ko:K10907	cbj:H04402_03237
ko:K11754	cbj:H04402_03245
ko:K01873	cbj:H04402_03246
ko:K06871	cbj:H04402_03251
ko:K07056	cbj:H04402_00055
ko:K06284	cbj:H04402_00057
ko:K01770	cbj:H04402_00060
ko:K06373	cbj:H04402_00063
ko:K06374	cbj:H04402_00064
ko:K01874	cbj:H04402_00068
ko:K03424	cbj:H04402_00070
ko:K05985	cbj:H04402_00072
ko:K02528	cbj:H04402_00073
ko:K02003	cbj:H04402_00078
ko:K07507	cbj:H04402_00084
ko:K05873	cbj:H04402_00180
ko:K01624	cbj:H04402_00182
ko:K00876	cbj:H04402_00185
ko:K01449	cbj:H04402_00193
ko:K01738	cbj:H04402_00194
ko:K00640	cbj:H04402_00195
ko:K00655	cbj:H04402_00197
ko:K10773	cbj:H04402_00198
ko:K03716	cbj:H04402_00205
ko:K03216	cbj:H04402_00206
ko:K07335	cbj:H04402_00208
ko:K02057	cbj:H04402_00210
ko:K03092	cbj:H04402_00213
ko:K05311	cbj:H04402_00214
ko:K00134	cbj:H04402_00215
ko:K00927	cbj:H04402_00216
ko:K01803	cbj:H04402_00217
ko:K15633	cbj:H04402_00218
ko:K01689	cbj:H04402_00219
ko:K03075	cbj:H04402_00220
ko:K12573	cbj:H04402_00221
ko:K03787	cbj:H04402_00222
ko:K03664	cbj:H04402_00223
ko:K02057	cbj:H04402_00211
ko:K13282	cbj:H04402_00111
ko:K03802	cbj:H04402_00112
ko:K00919	cbj:H04402_00113
ko:K06310	cbj:H04402_00114
ko:K06387	cbj:H04402_00117
ko:K01937	cbj:H04402_00123
ko:K03628	cbj:H04402_00125
ko:K02909	cbj:H04402_00126
ko:K02493	cbj:H04402_00129
ko:K02835	cbj:H04402_00130
ko:K07238	cbj:H04402_00132
ko:K07566	cbj:H04402_00133
ko:K01808	cbj:H04402_00135
ko:K00761	cbj:H04402_00136
ko:K02108	cbj:H04402_00141
ko:K02110	cbj:H04402_00142
ko:K02109	cbj:H04402_00143
ko:K02113	cbj:H04402_00144
ko:K02111	cbj:H04402_00145
ko:K02115	cbj:H04402_00146
ko:K02112	cbj:H04402_00147
ko:K00790	cbj:H04402_00150
ko:K06381	cbj:H04402_00151
ko:K06283	cbj:H04402_00153
ko:K03569	cbj:H04402_00154
ko:K00789	cbj:H04402_00157
ko:K03581	cbj:H04402_00158
ko:K05808	cbj:H04402_00161
ko:K03070	cbj:H04402_00162
ko:K02836	cbj:H04402_00163
ko:K06959	cbj:H04402_00165
ko:K04061	cbj:H04402_00168
ko:K07099	cbj:H04402_00169
ko:K09766	cbj:H04402_00172
ko:K01869	cbj:H04402_00175
ko:K02114	cbj:H04402_00148
ko:K07729	cbj:H04402_00635
ko:K02004	cbj:H04402_00649
ko:K01270	cbj:H04402_01455
ko:K07304	cbj:H04402_01458
ko:K02004	cbj:H04402_01460
ko:K06179	cbj:H04402_01502
ko:K03803	cbj:H04402_03125
ko:K02313	cbj:H04402_00001
ko:K02338	cbj:H04402_00002
ko:K03629	cbj:H04402_00004
ko:K02470	cbj:H04402_00006
ko:K02469	cbj:H04402_00007
ko:K01875	cbj:H04402_00015
ko:K01613	cbj:H04402_00016
ko:K03688	cbj:H04402_00017
ko:K03721	cbj:H04402_00019
ko:K01761	cbj:H04402_00020
ko:K02343	cbj:H04402_00022
ko:K09747	cbj:H04402_00023
ko:K06187	cbj:H04402_00024
ko:K06317	cbj:H04402_00026
ko:K06206	cbj:H04402_00027
ko:K03426	cbj:H04402_00028
ko:K03406	cbj:H04402_00767
ko:K03406	cbj:H04402_00785
ko:K09705	cbj:H04402_00800
ko:K03325	cbj:H04402_00815
ko:K03406	cbj:H04402_01625
ko:K01619	cbj:H04402_01629
ko:K00852	cbj:H04402_01630
ko:K01496	cbj:H04402_01641
ko:K01523	cbj:H04402_01642
ko:K01478	cbj:H04402_01656
ko:K03177	cbj:H04402_02442
ko:K09787	cbj:H04402_02476
ko:K00674	cbj:H04402_03238
ko:K03825	cbj:H04402_03247
ko:K02051	cbj:H04402_03256
ko:K02049	cbj:H04402_03259
ko:K02050	cbj:H04402_03260
ko:K05337	cbj:H04402_03280
ko:K04030	cbj:H04402_02115
ko:K04024	cbj:H04402_02118
ko:K04029	cbj:H04402_02120
ko:K04031	cbj:H04402_02121
ko:K03449	cbj:H04402_02134
ko:K01735	cbj:H04402_02154
ko:K02003	cbj:H04402_02157
ko:K03833	cbj:H04402_03069
ko:K01042	cbj:H04402_03070
ko:K01008	cbj:H04402_03071
ko:K02237	cbj:H04402_03072
ko:K06180	cbj:H04402_03074
ko:K00969	cbj:H04402_03078
ko:K07574	cbj:H04402_03079
ko:K03979	cbj:H04402_03080
ko:K02899	cbj:H04402_03081
ko:K06284	cbj:H04402_02351
ko:K03565	cbj:H04402_03263
ko:K09913	cbj:H04402_03268
ko:K00286	cbj:H04402_03269
ko:K00656	cbj:H04402_03270
ko:K04069	cbj:H04402_03271
ko:K03924	cbj:H04402_03277
ko:K03522	cbj:H04402_03285
ko:K03521	cbj:H04402_03286
ko:K00074	cbj:H04402_03289
ko:K03703	cbj:H04402_03292
ko:K06901	cbj:H04402_03293
ko:K13292	cbj:H04402_03296
ko:K07095	cbj:H04402_03297
ko:K01126	cbj:H04402_03299
ko:K04069	cbj:H04402_03302
ko:K00656	cbj:H04402_03303
ko:K07816	cbj:H04402_00173
ko:K00027	cbj:H04402_00199
ko:K06889	cbj:H04402_00201
ko:K02056	cbj:H04402_00209
ko:K03830	cbj:H04402_01049
ko:K09702	cbj:H04402_01051
ko:K01488	cbj:H04402_01063
ko:K04763	cbj:H04402_01878
ko:K02653	cbj:H04402_01919
ko:K01934	cbj:H04402_02699
ko:K06023	cbj:H04402_02700
ko:K09931	cbj:H04402_02706
ko:K01011	cbj:H04402_02708
ko:K02446	cbj:H04402_02709
ko:K16788	cbj:H04402_02713
ko:K02120	cbj:H04402_02716
ko:K02118	cbj:H04402_02717
ko:K02117	cbj:H04402_02718
ko:K02122	cbj:H04402_02719
ko:K02119	cbj:H04402_02720
ko:K02121	cbj:H04402_02721
ko:K02124	cbj:H04402_02722
ko:K02123	cbj:H04402_02723
ko:K01537	cbj:H04402_02729
ko:K15986	cbj:H04402_02730
ko:K09762	cbj:H04402_03474
ko:K04477	cbj:H04402_03478
ko:K08314	cbj:H04402_03512
ko:K00068	cbj:H04402_03514
ko:K06897	cbj:H04402_00548
ko:K03718	cbj:H04402_00552
ko:K01537	cbj:H04402_00558
ko:K01262	cbj:H04402_00572
ko:K06889	cbj:H04402_00578
ko:K03406	cbj:H04402_00583
ko:K16789	cbj:H04402_00587
ko:K11072	cbj:H04402_00594
ko:K11071	cbj:H04402_00595
ko:K09963	cbj:H04402_01414
ko:K03406	cbj:H04402_01421
ko:K02035	cbj:H04402_01422
ko:K02033	cbj:H04402_01423
ko:K09815	cbj:H04402_01431
ko:K02051	cbj:H04402_01436
ko:K02050	cbj:H04402_01437
ko:K02049	cbj:H04402_01438
ko:K00784	cbj:H04402_01443
ko:K03294	cbj:H04402_01444
ko:K04652	cbj:H04402_02232
ko:K01270	cbj:H04402_02246
ko:K09696	cbj:H04402_02251
ko:K09697	cbj:H04402_02252
ko:K02348	cbj:H04402_02253
ko:K01262	cbj:H04402_02277
ko:K02238	cbj:H04402_03060
ko:K02238	cbj:H04402_03062
ko:K07584	cbj:H04402_03082
ko:K06402	cbj:H04402_03087
ko:K16925	cbj:H04402_01998
ko:K16962	cbj:H04402_01471
ko:K17828	cbj:H04402_03324
ko:K12574	cbj:H04402_02659
ko:K02028	cbj:H04402_02043
ko:K14080	cbj:H04402_01567
ko:K02029	cbj:H04402_02045
ko:K01990	cbj:H04402_00833
ko:K01990	cbj:H04402_01276
ko:K01990	cbj:H04402_03004
ko:K01990	cbj:H04402_00592
ko:K01990	cbj:H04402_00660
ko:K07260	cbj:H04402_00676
ko:K01760	cbj:H04402_00794
ko:K17103	cbj:H04402_00187
ko:K00951	cbj:H04402_03131
ko:K01992	cbj:H04402_00703
ko:K10947	cbj:H04402_00088
ko:K10112	cbj:H04402_01582
ko:K02189	cbj:H04402_01015
ko:K01990	cbj:H04402_00702
ko:K01990	cbj:H04402_00780
ko:K01990	cbj:H04402_00823
ko:K01990	cbj:H04402_00911
ko:K01990	cbj:H04402_01313
ko:K01990	cbj:H04402_02870
ko:K01990	cbj:H04402_03421
ko:K11069	cbj:H04402_00596
ko:K11070	cbj:H04402_00596
ko:K19309	cbj:H04402_02386
ko:K02026	cbj:H04402_01584
ko:K07576	cbj:H04402_01173
ko:K05601	cbj:H04402_02873
ko:K01992	cbj:H04402_00515
ko:K01992	cbj:H04402_00517
ko:K01992	cbj:H04402_01259
ko:K01992	cbj:H04402_01449
ko:K01992	cbj:H04402_01450
ko:K01992	cbj:H04402_03446
ko:K01515	cbj:H04402_00493
ko:K11046	cbj:H04402_00507
ko:K00059	cbj:H04402_00525
ko:K13479	cbj:H04402_01357
ko:K03518	cbj:H04402_01358
ko:K00616	cbj:H04402_01364
ko:K06147	cbj:H04402_01378
ko:K03499	cbj:H04402_01386
ko:K03498	cbj:H04402_01387
ko:K01759	cbj:H04402_02192
ko:K03294	cbj:H04402_02199
ko:K03299	cbj:H04402_02219
ko:K07052	cbj:H04402_02223
ko:K03699	cbj:H04402_02997
ko:K09764	cbj:H04402_03001
ko:K01489	cbj:H04402_03034
ko:K06346	cbj:H04402_03743
ko:K10112	cbj:H04402_01581
ko:K07770	cbj:H04402_00286
ko:K06147	cbj:H04402_00323
ko:K06897	cbj:H04402_01141
ko:K01885	cbj:H04402_01171
ko:K02055	cbj:H04402_01183
ko:K11105	cbj:H04402_02010
ko:K01226	cbj:H04402_02014
ko:K03486	cbj:H04402_02015
ko:K16370	cbj:H04402_02018
ko:K15898	cbj:H04402_02802
ko:K06603	cbj:H04402_02815
ko:K00575	cbj:H04402_02828
ko:K09749	cbj:H04402_02832
ko:K17686	cbj:H04402_01375
ko:K03307	cbj:H04402_00379
ko:K03615	cbj:H04402_00380
ko:K03614	cbj:H04402_00381
ko:K03612	cbj:H04402_00382
ko:K03613	cbj:H04402_00383
ko:K03617	cbj:H04402_00384
ko:K00805	cbj:H04402_00387
ko:K00058	cbj:H04402_01201
ko:K05020	cbj:H04402_01205
ko:K01989	cbj:H04402_01231
ko:K05832	cbj:H04402_01232
ko:K05833	cbj:H04402_01233
ko:K16328	cbj:H04402_01237
ko:K16329	cbj:H04402_01238
ko:K07069	cbj:H04402_02051
ko:K06889	cbj:H04402_02055
ko:K07729	cbj:H04402_02056
ko:K01259	cbj:H04402_02061
ko:K10254	cbj:H04402_02070
ko:K02443	cbj:H04402_02851
ko:K01784	cbj:H04402_02860
ko:K03406	cbj:H04402_02885
ko:K03406	cbj:H04402_02891
ko:K07067	cbj:H04402_03612
ko:K03708	cbj:H04402_03617
ko:K02499	cbj:H04402_03637
ko:K07533	cbj:H04402_03640
ko:K17675	cbj:H04402_01434
ko:K03406	cbj:H04402_00416
ko:K03469	cbj:H04402_00419
ko:K07009	cbj:H04402_00427
ko:K02238	cbj:H04402_00432
ko:K00030	cbj:H04402_00436
ko:K06864	cbj:H04402_01251
ko:K07706	cbj:H04402_01257
ko:K00274	cbj:H04402_01267
ko:K02004	cbj:H04402_01291
ko:K02033	cbj:H04402_01295
ko:K07129	cbj:H04402_02091
ko:K01784	cbj:H04402_02102
ko:K03406	cbj:H04402_02908
ko:K02564	cbj:H04402_02913
ko:K02793	cbj:H04402_02926
ko:K02794	cbj:H04402_02926
ko:K02793	cbj:H04402_02927
ko:K02794	cbj:H04402_02927
ko:K02795	cbj:H04402_02928
ko:K09685	cbj:H04402_03649
ko:K03768	cbj:H04402_03663
ko:K03307	cbj:H04402_03685
ko:K16899	cbj:H04402_00443
ko:K04652	cbj:H04402_00448
ko:K03406	cbj:H04402_00455
ko:K01258	cbj:H04402_00456
ko:K07729	cbj:H04402_00462
ko:K02035	cbj:H04402_01296
ko:K02004	cbj:H04402_02156
ko:K03475	cbj:H04402_02160
ko:K02822	cbj:H04402_02161
ko:K02821	cbj:H04402_02162
ko:K00616	cbj:H04402_02163
ko:K10797	cbj:H04402_02175
ko:K01270	cbj:H04402_02957
ko:K06928	cbj:H04402_02984
ko:K00059	cbj:H04402_03699
ko:K02371	cbj:H04402_03701
ko:K02342	cbj:H04402_00247
ko:K03518	cbj:H04402_00251
ko:K06196	cbj:H04402_00253
ko:K02004	cbj:H04402_00266
ko:K00230	cbj:H04402_01097
ko:K15629	cbj:H04402_01113
ko:K06147	cbj:H04402_01127
ko:K06147	cbj:H04402_01128
ko:K01580	cbj:H04402_01930
ko:K03406	cbj:H04402_01932
ko:K07304	cbj:H04402_01939
ko:K00657	cbj:H04402_01953
ko:K03750	cbj:H04402_01962
ko:K07219	cbj:H04402_01962
ko:K06857	cbj:H04402_01965
ko:K02004	cbj:H04402_01972
ko:K02414	cbj:H04402_02752
ko:K01784	cbj:H04402_02774
ko:K01854	cbj:H04402_02781
ko:K01104	cbj:H04402_02784
ko:K02782	cbj:H04402_03516
ko:K02783	cbj:H04402_03516
ko:K02783	cbj:H04402_03517
ko:K00929	cbj:H04402_03527
ko:K00929	cbj:H04402_03529
ko:K08483	cbj:H04402_03539
ko:K16787	cbj:H04402_03551
ko:K16786	cbj:H04402_03552
ko:K00939	cbj:H04402_03562
ko:K00298	cbj:H04402_00539
ko:K00971	cbj:H04402_00093
ko:K17836	cbj:H04402_00754
ko:K03292	cbj:H04402_01269
ko:K17758	cbj:H04402_03499
ko:K17759	cbj:H04402_03499
ko:K02226	cbj:H04402_00879
ko:K06518	cbj:H04402_00333
ko:K07284	cbj:H04402_02142
ko:K17722	cbj:H04402_02900
ko:K17723	cbj:H04402_02899
ko:K06972	cbj:H04402_03394
ko:K07979	cbj:H04402_03005
ko:K07705	cbj:H04402_03391
ko:K06378	cbj:H04402_03161
ko:K00661	cbj:H04402_01192
ko:K00661	cbj:H04402_02168
ko:K00128	cbj:H04402_01176
ko:K01791	cbj:H04402_00139
ko:K01183	cbj:H04402_01135
ko:K01183	cbj:H04402_01159
ko:K01183	cbj:H04402_02912
ko:K02027	cbj:H04402_01585
ko:K01187	cbj:H04402_01674
ko:K02027	cbj:H04402_00098
ko:K02031	cbj:H04402_01750
ko:K02032	cbj:H04402_01750
ko:K02171	cbj:H04402_00755
ko:K02107	cbj:H04402_02724
ko:K00196	cbj:H04402_01402
ko:K00004	cbj:H04402_02229
ko:K01485	cbj:H04402_02088
ko:K01046	cbj:H04402_00929
ko:K00104	cbj:H04402_01082
ko:K03719	cbj:H04402_00905
ko:K02116	cbj:H04402_00140
ko:K01035	cbj:H04402_02934
ko:K00008	cbj:H04402_03519
ko:K01267	cbj:H04402_03431
ko:K07076	cbj:H04402_03149
ko:K18231	cbj:H04402_00584
ko:K00335	cbj:H04402_01842
ko:K20461	cbj:H04402_00622
ko:K20459	cbj:H04402_00621
ko:K00336	cbj:H04402_01841
ko:K09770	cbj:H04402_00562
ko:K03282	cbj:H04402_00586
ko:K01992	cbj:H04402_01451
ko:K02687	cbj:H04402_03046
ko:K03705	cbj:H04402_03050
ko:K02238	cbj:H04402_03061
ko:K03657	cbj:H04402_01498
ko:K13653	cbj:H04402_00668
ko:K07052	cbj:H04402_00671
ko:K06405	cbj:H04402_03158
ko:K07343	cbj:H04402_00783
ko:K07112	cbj:H04402_01646
ko:K13653	cbj:H04402_00835
ko:K00548	cbj:H04402_01693
ko:K03088	cbj:H04402_01696
ko:K01775	cbj:H04402_01734
ko:K02033	cbj:H04402_01748
ko:K07658	cbj:H04402_02559
ko:K02227	cbj:H04402_00985
ko:K04656	cbj:H04402_01832
ko:K07258	cbj:H04402_01854
ko:K04763	cbj:H04402_01862
ko:K01448	cbj:H04402_01873
ko:K03310	cbj:H04402_02678
ko:K06390	cbj:H04402_01906
ko:K02388	cbj:H04402_02761
ko:K07257	cbj:H04402_02803
ko:K03480	cbj:H04402_02834
ko:K01881	cbj:H04402_03607
ko:K01151	cbj:H04402_02845
ko:K03734	cbj:H04402_00389
ko:K02040	cbj:H04402_00400
ko:K03737	cbj:H04402_01262
ko:K03215	cbj:H04402_02087
ko:K02795	cbj:H04402_02929
ko:K16898	cbj:H04402_00453
ko:K02004	cbj:H04402_02155
ko:K01151	cbj:H04402_02947
ko:K01151	cbj:H04402_02948
ko:K01464	cbj:H04402_02974
ko:K01875	cbj:H04402_00533
ko:K03657	cbj:H04402_01390
ko:K09000	cbj:H04402_02181
ko:K03742	cbj:H04402_00200
ko:K07496	cbj:H04402_00847
ko:K07052	cbj:H04402_00570
ko:K13820	cbj:H04402_02741
ko:K06384	cbj:H04402_01865
ko:K18672	cbj:H04402_03532
ko:K06896	cbj:H04402_01676
ko:K18707	cbj:H04402_03043
ko:K15632	cbj:H04402_02943
ko:K18682	cbj:H04402_02430
ko:K07005	cbj:H04402_00896
ko:K00132	cbj:H04402_02113
ko:K14231	cbj:tRNA-Phe-1
ko:K14231	cbj:tRNA-Phe-2
ko:K14231	cbj:tRNA-Phe-3
ko:K14234	cbj:tRNA-Thr-1
ko:K14234	cbj:tRNA-Thr-3
ko:K03790	cbj:H04402_02404
ko:K20025	cbj:H04402_02207
ko:K14230	cbj:tRNA-Met-1
ko:K14230	cbj:tRNA-Met-2
ko:K06147	cbj:H04402_01950
ko:K07171	cbj:H04402_03495
ko:K08587	cbj:H04402_01934
ko:K06147	cbj:H04402_01951
ko:K18888	cbj:H04402_01974
ko:K18887	cbj:H04402_01975
ko:K03169	cbj:H04402_01576
ko:K03111	cbj:H04402_03727
