ko:K10563	ftw:FTW_1550
ko:K01915	ftw:FTW_1895
ko:K02897	ftw:FTW_1053
ko:K06942	ftw:FTW_1049
ko:K01056	ftw:FTW_1048
ko:K02563	ftw:FTW_0608
ko:K03616	ftw:FTW_1080
ko:K03675	ftw:FTW_1079
ko:K03644	ftw:FTW_1075
ko:K03550	ftw:FTW_1070
ko:K09760	ftw:FTW_1069
ko:K03215	ftw:FTW_1538
ko:K03060	ftw:FTW_1540
ko:K03587	ftw:FTW_1546
ko:K03075	ftw:FTW_0157
ko:K09806	ftw:FTW_0120
ko:K09748	ftw:FTW_0124
ko:K06149	ftw:FTW_1846
ko:K07071	ftw:FTW_0174
ko:K05527	ftw:FTW_0725
ko:K11076	ftw:FTW_1453
ko:K01890	ftw:FTW_0910
ko:K11312	ftw:FTW_0440
ko:K01840	ftw:FTW_0452
ko:K00812	ftw:FTW_1208
ko:K00134	ftw:FTW_0523
ko:K12340	ftw:FTW_0074
ko:K12251	ftw:FTW_1638
ko:K11752	ftw:FTW_1946
ko:K00655	ftw:FTW_0024
ko:K00655	ftw:FTW_0025
ko:K11075	ftw:FTW_1454
ko:K01874	ftw:FTW_0758
ko:K11103	ftw:FTW_1503
ko:K11085	ftw:FTW_0194
ko:K11175	ftw:FTW_1284
ko:K01299	ftw:FTW_0011
ko:K00128	ftw:FTW_0988
ko:K11312	ftw:FTW_0441
ko:K04042	ftw:FTW_1687
ko:K07223	ftw:FTW_0163
ko:K01586	ftw:FTW_0102
ko:K01784	ftw:FTW_0413
ko:K04487	ftw:FTW_0720
ko:K01262	ftw:FTW_1119
ko:K00014	ftw:FTW_1662
ko:K00602	ftw:FTW_1885
ko:K11927	ftw:FTW_0850
ko:K11928	ftw:FTW_0284
ko:K02517	ftw:FTW_1858
ko:K00507	ftw:FTW_0238
ko:K00507	ftw:FTW_0375
ko:K07735	ftw:FTW_0891
ko:K12978	ftw:FTW_0280
ko:K13003	ftw:FTW_0418
ko:K13004	ftw:FTW_0414
ko:K13012	ftw:FTW_0412
ko:K01425	ftw:FTW_1896
ko:K01207	ftw:FTW_0821
ko:K01255	ftw:FTW_1400
ko:K03657	ftw:FTW_1404
ko:K01255	ftw:FTW_1484
ko:K00845	ftw:FTW_2105
ko:K02517	ftw:FTW_1857
ko:K02050	ftw:FTW_1916
ko:K17103	ftw:FTW_1351
ko:K11535	ftw:FTW_0201
ko:K12267	ftw:FTW_1414
ko:K07259	ftw:FTW_1514
ko:K03524	ftw:FTW_0828
ko:K11753	ftw:FTW_1263
ko:K11900	ftw:FTW_0039
ko:K11901	ftw:FTW_0038
ko:K11900	ftw:FTW_0536
ko:K11717	ftw:FTW_1433
ko:K03524	ftw:FTW_1593
ko:K11754	ftw:FTW_1705
ko:K11719	ftw:FTW_0933
ko:K11720	ftw:FTW_1486
ko:K07460	ftw:FTW_1281
ko:K13941	ftw:FTW_0836
ko:K01491	ftw:FTW_1287
ko:K13282	ftw:FTW_0599
ko:K13288	ftw:FTW_1861
ko:K07056	ftw:FTW_1851
ko:K01961	ftw:FTW_1597
ko:K13788	ftw:FTW_1992
ko:K12262	ftw:FTW_0029
ko:K03979	ftw:FTW_0066
ko:K03574	ftw:FTW_1363
ko:K13993	ftw:FTW_2016
ko:K13292	ftw:FTW_0718
ko:K02474	ftw:FTW_0415
ko:K12573	ftw:FTW_0374
ko:K13713	ftw:FTW_1285
ko:K14058	ftw:FTW_0951
ko:K01147	ftw:FTW_1816
ko:K12524	ftw:FTW_1648
ko:K12262	ftw:FTW_1835
ko:K03342	ftw:FTW_0839
ko:K14228	ftw:FTW_2030
ko:K07516	ftw:FTW_0401
ko:K13821	ftw:FTW_1189
ko:K14231	ftw:FTW_2052
ko:K02503	ftw:FTW_0748
ko:K13522	ftw:FTW_1688
ko:K03782	ftw:FTW_1518
ko:K14220	ftw:FTW_2036
ko:K14222	ftw:FTW_2047
ko:K14287	ftw:FTW_0471
ko:K14228	ftw:FTW_2032
ko:K14237	ftw:FTW_2057
ko:K14237	ftw:FTW_2058
ko:K01977	ftw:FTW_2069
ko:K01977	ftw:FTW_2070
ko:K01977	ftw:FTW_2071
ko:K14221	ftw:FTW_2048
ko:K01983	ftw:FTW_2077
ko:K14229	ftw:FTW_2028
ko:K14228	ftw:FTW_2031
ko:K14219	ftw:FTW_2041
ko:K13498	ftw:FTW_2017
ko:K00024	ftw:FTW_1007
ko:K00632	ftw:FTW_0400
ko:K01442	ftw:FTW_0554
ko:K14225	ftw:FTW_2049
ko:K14236	ftw:FTW_2056
ko:K14233	ftw:FTW_2039
ko:K14233	ftw:FTW_2037
ko:K01152	ftw:FTW_0033
ko:K01152	ftw:FTW_0337
ko:K01152	ftw:FTW_0380
ko:K01152	ftw:FTW_0427
ko:K01152	ftw:FTW_0454
ko:K01152	ftw:FTW_0502
ko:K01152	ftw:FTW_0530
ko:K01152	ftw:FTW_0575
ko:K01152	ftw:FTW_0713
ko:K01152	ftw:FTW_0977
ko:K01152	ftw:FTW_1177
ko:K01152	ftw:FTW_1516
ko:K01152	ftw:FTW_1551
ko:K01152	ftw:FTW_1694
ko:K01152	ftw:FTW_1730
ko:K01152	ftw:FTW_1844
ko:K01152	ftw:FTW_1948
ko:K14234	ftw:FTW_2060
ko:K14224	ftw:FTW_2033
ko:K14218	ftw:FTW_2043
ko:K14218	ftw:FTW_2045
ko:K14218	ftw:FTW_2044
ko:K14228	ftw:FTW_2029
ko:K14230	ftw:FTW_2055
ko:K14219	ftw:FTW_2040
ko:K07394	ftw:FTW_0462
ko:K14230	ftw:FTW_2054
ko:K01985	ftw:FTW_2073
ko:K01985	ftw:FTW_2075
ko:K01985	ftw:FTW_2074
ko:K01985	ftw:FTW_2076
ko:K14234	ftw:FTW_2061
ko:K14225	ftw:FTW_2050
ko:K14225	ftw:FTW_2051
ko:K14227	ftw:FTW_2063
ko:K14227	ftw:FTW_2064
ko:K14227	ftw:FTW_2065
ko:K01524	ftw:FTW_0449
ko:K14652	ftw:FTW_1944
ko:K01173	ftw:FTW_1118
ko:K15035	ftw:FTW_2078
ko:K14226	ftw:FTW_2035
ko:K14232	ftw:FTW_2062
ko:K01978	ftw:FTW_2079
ko:K14235	ftw:FTW_2046
ko:K01980	ftw:FTW_2066
ko:K01980	ftw:FTW_2068
ko:K01980	ftw:FTW_2067
ko:K14237	ftw:FTW_2059
ko:K06133	ftw:FTW_0075
ko:K03607	ftw:FTW_0273
ko:K14230	ftw:FTW_2053
ko:K13628	ftw:FTW_1432
ko:K14233	ftw:FTW_2038
ko:K14219	ftw:FTW_2042
ko:K14223	ftw:FTW_2034
ko:K14742	ftw:FTW_1210
ko:K14540	ftw:FTW_1212
ko:K01442	ftw:FTW_1419
ko:K12995	ftw:FTW_0589
ko:K16013	ftw:FTW_1501
ko:K00845	ftw:FTW_0827
ko:K07464	ftw:FTW_1423
ko:K08316	ftw:FTW_1489
ko:K17836	ftw:FTW_1047
ko:K16012	ftw:FTW_1502
ko:K03602	ftw:FTW_1238
ko:K02533	ftw:FTW_0561
ko:K03599	ftw:FTW_0565
ko:K15583	ftw:FTW_0213
ko:K02428	ftw:FTW_0367
ko:K15633	ftw:FTW_1495
ko:K06999	ftw:FTW_1817
ko:K15738	ftw:FTW_1626
ko:K15724	ftw:FTW_1543
ko:K01713	ftw:FTW_1809
ko:K00971	ftw:FTW_0453
ko:K01079	ftw:FTW_1444
ko:K00812	ftw:FTW_1295
ko:K15984	ftw:FTW_0787
ko:K18552	ftw:FTW_0071
ko:K11901	ftw:FTW_0535
ko:K19416	ftw:FTW_1084
ko:K16053	ftw:FTW_0899
ko:K16052	ftw:FTW_1595
ko:K11733	ftw:FTW_0281
ko:K19561	ftw:FTW_0835
ko:K01990	ftw:FTW_1509
ko:K15580	ftw:FTW_0207
ko:K03321	ftw:FTW_1505
ko:K07323	ftw:FTW_0323
ko:K07122	ftw:FTW_0322
ko:K02073	ftw:FTW_1158
ko:K02072	ftw:FTW_1158
ko:K02473	ftw:FTW_0416
ko:K17713	ftw:FTW_0256
ko:K01990	ftw:FTW_0437
ko:K01992	ftw:FTW_0436
ko:K03671	ftw:FTW_0880
ko:K17836	ftw:FTW_1117
ko:K00254	ftw:FTW_1974
ko:K00058	ftw:FTW_0716
ko:K18138	ftw:FTW_0190
ko:K03585	ftw:FTW_0191
ko:K01011	ftw:FTW_1986
ko:K18284	ftw:FTW_1677
ko:K07666	ftw:FTW_0370
ko:K07260	ftw:FTW_0992
ko:K03462	ftw:FTW_0395
ko:K03427	ftw:FTW_1023
ko:K07263	ftw:FTW_1487
ko:K18800	ftw:FTW_0729
ko:K00820	ftw:FTW_1130
ko:K03526	ftw:FTW_1121
ko:K12308	ftw:FTW_1645
ko:K09951	ftw:FTW_1424
ko:K22468	ftw:FTW_0363
ko:K01992	ftw:FTW_1508
ko:K01152	ftw:FTW_0004
ko:K19810	ftw:FTW_0659
ko:K05770	ftw:FTW_1415
ko:K20265	ftw:FTW_1719
ko:K20265	ftw:FTW_0771
ko:K20265	ftw:FTW_0870
ko:K20265	ftw:FTW_1590
ko:K20534	ftw:FTW_0435
ko:K01932	ftw:FTW_0602
ko:K21600	ftw:FTW_0986
ko:K21829	ftw:FTW_1335
ko:K22116	ftw:FTW_0603
ko:K22132	ftw:FTW_1003
ko:K02257	ftw:FTW_1801
ko:K13566	ftw:FTW_0467
