ko:K01006	fti:FTS_0123
ko:K00965	fti:FTS_1364
ko:K00849	fti:FTS_1365
ko:K00979	fti:FTS_1367
ko:K09791	fti:FTS_1368
ko:K02887	fti:FTS_1372
ko:K02916	fti:FTS_1373
ko:K02520	fti:FTS_1374
ko:K01868	fti:FTS_1375
ko:K02437	fti:FTS_1378
ko:K02563	fti:FTS_1379
ko:K09747	fti:FTS_1380
ko:K06187	fti:FTS_1381
ko:K03762	fti:FTS_1386
ko:K13282	fti:FTS_1393
ko:K12995	fti:FTS_1403
ko:K01783	fti:FTS_1406
ko:K06041	fti:FTS_1407
ko:K00075	fti:FTS_0403
ko:K00790	fti:FTS_0404
ko:K03977	fti:FTS_0405
ko:K01414	fti:FTS_0410
ko:K03168	fti:FTS_0417
ko:K03101	fti:FTS_0425
ko:K01870	fti:FTS_0426
ko:K11753	fti:FTS_0427
ko:K01613	fti:FTS_0451
ko:K04042	fti:FTS_0454
ko:K00820	fti:FTS_0455
ko:K02970	fti:FTS_0457
ko:K03704	fti:FTS_0458
ko:K01265	fti:FTS_0460
ko:K02621	fti:FTS_0463
ko:K09930	fti:FTS_1410
ko:K00208	fti:FTS_1414
ko:K06966	fti:FTS_1415
ko:K03703	fti:FTS_1421
ko:K03684	fti:FTS_1422
ko:K02899	fti:FTS_1425
ko:K02888	fti:FTS_1426
ko:K03070	fti:FTS_1429
ko:K03798	fti:FTS_1435
ko:K03701	fti:FTS_1439
ko:K03624	fti:FTS_1440
ko:K08084	fti:FTS_1441
ko:K01810	fti:FTS_1442
ko:K01255	fti:FTS_1445
ko:K07091	fti:FTS_1446
ko:K11720	fti:FTS_1447
ko:K06169	fti:FTS_1452
ko:K00757	fti:FTS_1453
ko:K15633	fti:FTS_1457
ko:K01875	fti:FTS_1458
ko:K00847	fti:FTS_1459
ko:K11103	fti:FTS_1465
ko:K03321	fti:FTS_1467
ko:K01129	fti:FTS_1470
ko:K03782	fti:FTS_1471
ko:K09810	fti:FTS_0477
ko:K00951	fti:FTS_0281
ko:K01980	fti:FTS_0117
ko:K01980	fti:FTS_1145
ko:K01980	fti:FTS_0444
ko:K17713	fti:FTS_1681
ko:K01582	fti:FTS_0478
ko:K01977	fti:FTS_0114
ko:K01977	fti:FTS_0441
ko:K01977	fti:FTS_1142
ko:K01897	fti:FTS_0585
ko:K01897	fti:FTS_0691
ko:K03574	fti:FTS_0315
ko:K01990	fti:FTS_0622
ko:K01992	fti:FTS_0623
ko:K08316	fti:FTS_1450
ko:K03671	fti:FTS_1200
ko:K01992	fti:FTS_1479
ko:K17836	fti:FTS_0937
ko:K00971	fti:FTS_0607
ko:K01069	fti:FTS_0656
ko:K07263	fti:FTS_1448
ko:K11928	fti:FTS_1655
ko:K01658	fti:FTS_1911
ko:K01658	fti:FTS_1233
ko:K00537	fti:FTS_0586
ko:K00537	fti:FTS_0316
ko:K17836	fti:FTS_0870
ko:K01183	fti:FTS_0083
ko:K00254	fti:FTS_0044
ko:K12978	fti:FTS_1659
ko:K01011	fti:FTS_0009
ko:K00632	fti:FTS_0582
ko:K18138	fti:FTS_1631
ko:K07645	fti:FTS_1721
ko:K06148	fti:FTS_1402
ko:K03585	fti:FTS_1630
ko:K02650	fti:FTS_0381
ko:K11312	fti:FTS_0620
ko:K18284	fti:FTS_0464
ko:K07260	fti:FTS_0982
ko:K03462	fti:FTS_0578
ko:K00681	fti:FTS_0764
ko:K03427	fti:FTS_0957
ko:K18800	fti:FTS_0727
ko:K07480	fti:FTS_0857
ko:K10716	fti:FTS_0942
ko:K03674	fti:FTS_0965
ko:K03111	fti:FTS_0013
ko:K03646	fti:FTS_0331
ko:K04565	fti:FTS_0371
ko:K03496	fti:FTS_0418
ko:K03497	fti:FTS_0419
ko:K00335	fti:FTS_1782
ko:K03526	fti:FTS_0866
ko:K02663	fti:FTS_0789
ko:K02664	fti:FTS_0790
ko:K09951	fti:FTS_1291
ko:K13004	fti:FTS_0594
ko:K13003	fti:FTS_0598
ko:K13713	fti:FTS_0385
ko:K01710	fti:FTS_0605
ko:K22468	fti:FTS_0546
ko:K00336	fti:FTS_1781
ko:K01183	fti:FTS_1485
ko:K00526	fti:FTS_0964
ko:K03676	fti:FTS_0964
ko:K08156	fti:FTS_1528
ko:K07666	fti:FTS_0553
ko:K19810	fti:FTS_1330
ko:K05770	fti:FTS_1064
ko:K20265	fti:FTS_0269
ko:K20265	fti:FTS_1208
ko:K20265	fti:FTS_1542
ko:K00507	fti:FTS_1697
ko:K20534	fti:FTS_0624
ko:K01932	fti:FTS_1385
ko:K01200	fti:FTS_0484
ko:K21053	fti:FTS_1241
ko:K00560	fti:FTS_0715
ko:K06197	fti:FTS_0803
ko:K00558	fti:FTS_1809
ko:K00558	fti:FTS_1810
ko:K00558	fti:FTS_1811
ko:K06217	fti:FTS_0876
ko:K00857	fti:FTS_0880
ko:K03553	fti:FTS_0011
ko:K02314	fti:FTS_1003
ko:K02316	fti:FTS_1027
ko:K00287	fti:FTS_0220
ko:K01520	fti:FTS_0227
ko:K13522	fti:FTS_0453
ko:K02335	fti:FTS_1625
ko:K03293	fti:FTS_0373
ko:K03271	fti:FTS_0060
ko:K00525	fti:FTS_0966
ko:K01139	fti:FTS_1382
ko:K21600	fti:FTS_0987
ko:K22116	fti:FTS_1384
ko:K03595	fti:FTS_0784
ko:K02257	fti:FTS_0191
ko:K13566	fti:FTS_0641
