ko:K18893	pfn:HZ99_25390
ko:K05834	pfn:HZ99_16625
ko:K06158	pfn:HZ99_16635
ko:K03773	pfn:HZ99_16650
ko:K07740	pfn:HZ99_16655
ko:K03611	pfn:HZ99_16660
ko:K02498	pfn:HZ99_16665
ko:K02496	pfn:HZ99_16670
ko:K01719	pfn:HZ99_16675
ko:K01749	pfn:HZ99_16680
ko:K08083	pfn:HZ99_16685
ko:K01755	pfn:HZ99_16695
ko:K00799	pfn:HZ99_16700
ko:K05851	pfn:HZ99_16715
ko:K06140	pfn:HZ99_16720
ko:K06202	pfn:HZ99_16730
ko:K01586	pfn:HZ99_16740
ko:K01778	pfn:HZ99_16745
ko:K09921	pfn:HZ99_16750
ko:K03733	pfn:HZ99_16755
ko:K03320	pfn:HZ99_16775
ko:K04752	pfn:HZ99_16780
ko:K09806	pfn:HZ99_16785
ko:K12511	pfn:HZ99_21235
ko:K12510	pfn:HZ99_21240
ko:K02283	pfn:HZ99_21245
ko:K02282	pfn:HZ99_21250
ko:K02280	pfn:HZ99_21255
ko:K02279	pfn:HZ99_21260
ko:K02651	pfn:HZ99_21265
ko:K02651	pfn:HZ99_21275
ko:K00059	pfn:HZ99_21295
ko:K00626	pfn:HZ99_21300
ko:K07178	pfn:HZ99_21305
ko:K17686	pfn:HZ99_21315
ko:K07213	pfn:HZ99_21325
ko:K07552	pfn:HZ99_21330
ko:K07300	pfn:HZ99_21360
ko:K18456	pfn:HZ99_21365
ko:K16345	pfn:HZ99_21385
ko:K00822	pfn:HZ99_21395
ko:K00140	pfn:HZ99_21400
ko:K03583	pfn:HZ99_21430
ko:K03582	pfn:HZ99_21435
ko:K03581	pfn:HZ99_21440
ko:K00140	pfn:HZ99_21465
ko:K02197	pfn:HZ99_26070
ko:K02198	pfn:HZ99_26075
ko:K02199	pfn:HZ99_26080
ko:K02200	pfn:HZ99_26085
ko:K02200	pfn:HZ99_26090
ko:K05774	pfn:HZ99_26100
ko:K02048	pfn:HZ99_26110
ko:K10716	pfn:HZ99_26115
ko:K08717	pfn:HZ99_26120
ko:K00873	pfn:HZ99_26125
ko:K01608	pfn:HZ99_26145
ko:K09781	pfn:HZ99_26165
ko:K04754	pfn:HZ99_26170
ko:K02002	pfn:HZ99_26190
ko:K14393	pfn:HZ99_26200
ko:K01647	pfn:HZ99_26205
ko:K00241	pfn:HZ99_26210
ko:K00242	pfn:HZ99_26215
ko:K00239	pfn:HZ99_26220
ko:K00240	pfn:HZ99_26225
ko:K00164	pfn:HZ99_26230
ko:K00658	pfn:HZ99_26235
ko:K00382	pfn:HZ99_26240
ko:K01903	pfn:HZ99_26245
ko:K01902	pfn:HZ99_26250
ko:K06136	pfn:HZ99_15155
ko:K06137	pfn:HZ99_15160
ko:K06138	pfn:HZ99_15165
ko:K06139	pfn:HZ99_15170
ko:K01935	pfn:HZ99_15220
ko:K02169	pfn:HZ99_15225
ko:K02170	pfn:HZ99_15230
ko:K00652	pfn:HZ99_15235
ko:K01012	pfn:HZ99_15240
ko:K02019	pfn:HZ99_15250
ko:K05786	pfn:HZ99_15260
ko:K01638	pfn:HZ99_15270
ko:K07182	pfn:HZ99_15280
ko:K02342	pfn:HZ99_15285
ko:K03088	pfn:HZ99_15290
ko:K07165	pfn:HZ99_15295
ko:K02014	pfn:HZ99_15300
ko:K06143	pfn:HZ99_15320
ko:K07641	pfn:HZ99_15325
ko:K07663	pfn:HZ99_15330
ko:K01433	pfn:HZ99_15360
ko:K00305	pfn:HZ99_15365
ko:K03216	pfn:HZ99_19795
ko:K07712	pfn:HZ99_19805
ko:K07708	pfn:HZ99_19810
ko:K01915	pfn:HZ99_19815
ko:K03151	pfn:HZ99_19820
ko:K06207	pfn:HZ99_19825
ko:K06940	pfn:HZ99_19830
ko:K00688	pfn:HZ99_19835
ko:K03841	pfn:HZ99_19850
ko:K03098	pfn:HZ99_19865
ko:K05603	pfn:HZ99_19875
ko:K05836	pfn:HZ99_19880
ko:K09975	pfn:HZ99_19885
ko:K01712	pfn:HZ99_19890
ko:K03457	pfn:HZ99_19895
ko:K02002	pfn:HZ99_19900
ko:K02001	pfn:HZ99_19905
ko:K01745	pfn:HZ99_19915
ko:K01745	pfn:HZ99_19920
ko:K16234	pfn:HZ99_19925
ko:K01468	pfn:HZ99_19930
ko:K01479	pfn:HZ99_19935
ko:K01259	pfn:HZ99_19940
ko:K07560	pfn:HZ99_19945
ko:K03670	pfn:HZ99_19950
ko:K03669	pfn:HZ99_19955
ko:K02030	pfn:HZ99_19960
ko:K02030	pfn:HZ99_19965
ko:K02029	pfn:HZ99_19970
ko:K02028	pfn:HZ99_19975
ko:K03406	pfn:HZ99_19980
ko:K03406	pfn:HZ99_19985
ko:K03118	pfn:HZ99_19995
ko:K03117	pfn:HZ99_20000
ko:K03116	pfn:HZ99_20005
ko:K01523	pfn:HZ99_20010
ko:K01496	pfn:HZ99_20015
ko:K03688	pfn:HZ99_20020
ko:K03690	pfn:HZ99_20025
ko:K03183	pfn:HZ99_20030
ko:K07347	pfn:HZ99_20055
ko:K15540	pfn:HZ99_20060
ko:K15540	pfn:HZ99_20065
ko:K07345	pfn:HZ99_20070
ko:K06991	pfn:HZ99_20080
ko:K01857	pfn:HZ99_24580
ko:K01055	pfn:HZ99_24585
ko:K01607	pfn:HZ99_24590
ko:K18139	pfn:HZ99_24605
ko:K18138	pfn:HZ99_24610
ko:K03585	pfn:HZ99_24615
ko:K03577	pfn:HZ99_24620
ko:K01426	pfn:HZ99_24700
ko:K05349	pfn:HZ99_24725
ko:K03744	pfn:HZ99_24730
ko:K06872	pfn:HZ99_24735
ko:K08988	pfn:HZ99_24740
ko:K16087	pfn:HZ99_24755
ko:K07165	pfn:HZ99_24760
ko:K03088	pfn:HZ99_24765
ko:K01714	pfn:HZ99_24770
ko:K01628	pfn:HZ99_24775
ko:K13954	pfn:HZ99_24790
ko:K01640	pfn:HZ99_24810
ko:K09936	pfn:HZ99_24820
ko:K08995	pfn:HZ99_24835
ko:K00567	pfn:HZ99_24845
ko:K06183	pfn:HZ99_24860
ko:K01941	pfn:HZ99_24875
ko:K03311	pfn:HZ99_26255
ko:K04079	pfn:HZ99_26285
ko:K06911	pfn:HZ99_26295
ko:K07397	pfn:HZ99_26300
ko:K03406	pfn:HZ99_26315
ko:K00647	pfn:HZ99_26320
ko:K01716	pfn:HZ99_26325
ko:K02014	pfn:HZ99_26340
ko:K00057	pfn:HZ99_26345
ko:K08296	pfn:HZ99_26355
ko:K07677	pfn:HZ99_03570
ko:K07677	pfn:HZ99_03580
ko:K07687	pfn:HZ99_03585
ko:K07345	pfn:HZ99_03590
ko:K07347	pfn:HZ99_03600
ko:K10012	pfn:HZ99_03615
ko:K13014	pfn:HZ99_03625
ko:K07264	pfn:HZ99_03630
ko:K12962	pfn:HZ99_03635
ko:K12963	pfn:HZ99_03640
ko:K00012	pfn:HZ99_03645
ko:K07168	pfn:HZ99_03660
ko:K00703	pfn:HZ99_03755
ko:K01236	pfn:HZ99_03760
ko:K00705	pfn:HZ99_03765
ko:K06044	pfn:HZ99_03770
ko:K00700	pfn:HZ99_03795
ko:K05343	pfn:HZ99_03800
ko:K16147	pfn:HZ99_03805
ko:K07789	pfn:HZ99_03850
ko:K07788	pfn:HZ99_03855
ko:K07799	pfn:HZ99_03860
ko:K11065	pfn:HZ99_03865
ko:K10227	pfn:HZ99_03880
ko:K02575	pfn:HZ99_08525
ko:K00362	pfn:HZ99_08535
ko:K00363	pfn:HZ99_08540
ko:K00372	pfn:HZ99_08545
ko:K02303	pfn:HZ99_08550
ko:K03286	pfn:HZ99_08555
ko:K03088	pfn:HZ99_08560
ko:K16074	pfn:HZ99_08575
ko:K02553	pfn:HZ99_08580
ko:K09773	pfn:HZ99_08600
ko:K01738	pfn:HZ99_08620
ko:K00640	pfn:HZ99_08625
ko:K01720	pfn:HZ99_08640
ko:K01659	pfn:HZ99_08655
ko:K03417	pfn:HZ99_08660
ko:K01665	pfn:HZ99_08685
ko:K02203	pfn:HZ99_08690
ko:K00390	pfn:HZ99_08695
ko:K03457	pfn:HZ99_08700
ko:K00059	pfn:HZ99_08715
ko:K07007	pfn:HZ99_13250
ko:K03719	pfn:HZ99_13265
ko:K02342	pfn:HZ99_13270
ko:K09945	pfn:HZ99_13280
ko:K02041	pfn:HZ99_13335
ko:K02044	pfn:HZ99_13340
ko:K02042	pfn:HZ99_13345
ko:K03579	pfn:HZ99_13410
ko:K03719	pfn:HZ99_13430
ko:K06181	pfn:HZ99_13440
ko:K01241	pfn:HZ99_13445
ko:K09456	pfn:HZ99_13450
ko:K00941	pfn:HZ99_13460
ko:K00788	pfn:HZ99_13465
ko:K01845	pfn:HZ99_13470
ko:K07126	pfn:HZ99_13475
ko:K06168	pfn:HZ99_13485
ko:K07042	pfn:HZ99_13495
ko:K06189	pfn:HZ99_13500
ko:K03820	pfn:HZ99_13505
ko:K01869	pfn:HZ99_13520
ko:K03643	pfn:HZ99_13525
ko:K02340	pfn:HZ99_13530
ko:K09890	pfn:HZ99_13535
ko:K08305	pfn:HZ99_13540
ko:K01297	pfn:HZ99_13545
ko:K03644	pfn:HZ99_13550
ko:K10253	pfn:HZ99_17980
ko:K00883	pfn:HZ99_17985
ko:K01631	pfn:HZ99_17990
ko:K01684	pfn:HZ99_17995
ko:K08194	pfn:HZ99_18000
ko:K01695	pfn:HZ99_18005
ko:K01696	pfn:HZ99_18010
ko:K09165	pfn:HZ99_18025
ko:K04063	pfn:HZ99_18040
ko:K01091	pfn:HZ99_18060
ko:K01414	pfn:HZ99_18070
ko:K07070	pfn:HZ99_18075
ko:K06152	pfn:HZ99_18085
ko:K06151	pfn:HZ99_18090
ko:K01673	pfn:HZ99_18105
ko:K02275	pfn:HZ99_18120
ko:K02274	pfn:HZ99_18125
ko:K02258	pfn:HZ99_18130
ko:K02276	pfn:HZ99_18135
ko:K02259	pfn:HZ99_18155
ko:K07152	pfn:HZ99_18165
ko:K02073	pfn:HZ99_18170
ko:K02072	pfn:HZ99_18175
ko:K02071	pfn:HZ99_18180
ko:K09816	pfn:HZ99_18190
ko:K09817	pfn:HZ99_18195
ko:K09823	pfn:HZ99_18200
ko:K09815	pfn:HZ99_18205
ko:K02204	pfn:HZ99_18210
ko:K03978	pfn:HZ99_18225
ko:K03673	pfn:HZ99_18240
ko:K13590	pfn:HZ99_18250
ko:K11066	pfn:HZ99_18255
ko:K11384	pfn:HZ99_18265
ko:K02492	pfn:HZ99_22805
ko:K02835	pfn:HZ99_22810
ko:K02493	pfn:HZ99_22815
ko:K01776	pfn:HZ99_22825
ko:K00574	pfn:HZ99_22840
ko:K09701	pfn:HZ99_22845
ko:K01669	pfn:HZ99_22865
ko:K06955	pfn:HZ99_22885
ko:K07071	pfn:HZ99_22890
ko:K01772	pfn:HZ99_22895
ko:K02014	pfn:HZ99_22905
ko:K04691	pfn:HZ99_22910
ko:K00957	pfn:HZ99_22920
ko:K00955	pfn:HZ99_22925
ko:K13788	pfn:HZ99_22935
ko:K03775	pfn:HZ99_22950
ko:K00432	pfn:HZ99_22955
ko:K00428	pfn:HZ99_22970
ko:K06203	pfn:HZ99_22975
ko:K09948	pfn:HZ99_22990
ko:K07589	pfn:HZ99_22995
ko:K13938	pfn:HZ99_23000
ko:K09932	pfn:HZ99_23005
ko:K06205	pfn:HZ99_23025
ko:K00451	pfn:HZ99_23070
ko:K01555	pfn:HZ99_23075
ko:K08195	pfn:HZ99_23085
ko:K03750	pfn:HZ99_27595
ko:K03415	pfn:HZ99_27620
ko:K07140	pfn:HZ99_27625
ko:K09913	pfn:HZ99_27630
ko:K13777	pfn:HZ99_27640
ko:K13779	pfn:HZ99_27645
ko:K11731	pfn:HZ99_27650
ko:K13778	pfn:HZ99_27655
ko:K13774	pfn:HZ99_27660
ko:K03088	pfn:HZ99_27685
ko:K03805	pfn:HZ99_27725
ko:K04084	pfn:HZ99_27735
ko:K00836	pfn:HZ99_27755
ko:K09816	pfn:HZ99_27770
ko:K09817	pfn:HZ99_27775
ko:K09815	pfn:HZ99_27780
ko:K04750	pfn:HZ99_27805
ko:K04091	pfn:HZ99_27825
ko:K04487	pfn:HZ99_27835
ko:K01262	pfn:HZ99_27840
ko:K11939	pfn:HZ99_27865
ko:K07729	pfn:HZ99_01390
ko:K01915	pfn:HZ99_06435
ko:K17737	pfn:HZ99_06480
ko:K01028	pfn:HZ99_06485
ko:K01029	pfn:HZ99_06490
ko:K00626	pfn:HZ99_06495
ko:K01698	pfn:HZ99_06515
ko:K07089	pfn:HZ99_06535
ko:K06917	pfn:HZ99_06540
ko:K01008	pfn:HZ99_06545
ko:K03717	pfn:HZ99_06560
ko:K07862	pfn:HZ99_06570
ko:K09983	pfn:HZ99_06575
ko:K09915	pfn:HZ99_06580
ko:K00014	pfn:HZ99_06585
ko:K08303	pfn:HZ99_06610
ko:K03406	pfn:HZ99_06615
ko:K07084	pfn:HZ99_06620
ko:K03406	pfn:HZ99_06625
ko:K07080	pfn:HZ99_06640
ko:K03555	pfn:HZ99_11265
ko:K05524	pfn:HZ99_11270
ko:K03593	pfn:HZ99_11275
ko:K01874	pfn:HZ99_11280
ko:K03617	pfn:HZ99_11285
ko:K03616	pfn:HZ99_11290
ko:K03614	pfn:HZ99_11295
ko:K03612	pfn:HZ99_11300
ko:K03613	pfn:HZ99_11305
ko:K10773	pfn:HZ99_11310
ko:K07690	pfn:HZ99_11320
ko:K01940	pfn:HZ99_11325
ko:K01465	pfn:HZ99_11335
ko:K03683	pfn:HZ99_11340
ko:K03386	pfn:HZ99_11345
ko:K02192	pfn:HZ99_11350
ko:K03594	pfn:HZ99_11355
ko:K07390	pfn:HZ99_11360
ko:K00611	pfn:HZ99_11370
ko:K02010	pfn:HZ99_11375
ko:K02440	pfn:HZ99_11385
ko:K00864	pfn:HZ99_11390
ko:K02444	pfn:HZ99_11395
ko:K00111	pfn:HZ99_11400
ko:K10001	pfn:HZ99_11405
ko:K10003	pfn:HZ99_11410
ko:K10002	pfn:HZ99_11415
ko:K10004	pfn:HZ99_11420
ko:K17060	pfn:HZ99_11425
ko:K17061	pfn:HZ99_11430
ko:K02442	pfn:HZ99_11435
ko:K03928	pfn:HZ99_11455
ko:K03576	pfn:HZ99_11500
ko:K03439	pfn:HZ99_15960
ko:K03149	pfn:HZ99_15965
ko:K03154	pfn:HZ99_15970
ko:K03814	pfn:HZ99_15980
ko:K03089	pfn:HZ99_15985
ko:K09811	pfn:HZ99_15990
ko:K09812	pfn:HZ99_15995
ko:K03110	pfn:HZ99_16000
ko:K07263	pfn:HZ99_16005
ko:K07263	pfn:HZ99_16010
ko:K08316	pfn:HZ99_16015
ko:K07019	pfn:HZ99_16020
ko:K01011	pfn:HZ99_16025
ko:K00154	pfn:HZ99_16035
ko:K00954	pfn:HZ99_16050
ko:K10563	pfn:HZ99_16060
ko:K06969	pfn:HZ99_16070
ko:K01687	pfn:HZ99_16075
ko:K06956	pfn:HZ99_16085
ko:K02012	pfn:HZ99_16115
ko:K02011	pfn:HZ99_16120
ko:K02010	pfn:HZ99_16125
ko:K01534	pfn:HZ99_16135
ko:K13292	pfn:HZ99_16150
ko:K08484	pfn:HZ99_16160
ko:K08311	pfn:HZ99_16165
ko:K01754	pfn:HZ99_16180
ko:K01807	pfn:HZ99_16185
ko:K00058	pfn:HZ99_16215
ko:K02424	pfn:HZ99_16225
ko:K03666	pfn:HZ99_20660
ko:K03665	pfn:HZ99_20665
ko:K04088	pfn:HZ99_20670
ko:K04087	pfn:HZ99_20675
ko:K02502	pfn:HZ99_20680
ko:K01939	pfn:HZ99_20685
ko:K02011	pfn:HZ99_20695
ko:K02012	pfn:HZ99_20700
ko:K12573	pfn:HZ99_20715
ko:K03218	pfn:HZ99_20720
ko:K02990	pfn:HZ99_20725
ko:K02963	pfn:HZ99_20730
ko:K02939	pfn:HZ99_20740
ko:K01916	pfn:HZ99_20785
ko:K00763	pfn:HZ99_20790
ko:K00128	pfn:HZ99_20800
ko:K01999	pfn:HZ99_20810
ko:K01997	pfn:HZ99_20815
ko:K01998	pfn:HZ99_20820
ko:K01995	pfn:HZ99_20825
ko:K01996	pfn:HZ99_20830
ko:K03192	pfn:HZ99_20850
ko:K03189	pfn:HZ99_20855
ko:K03188	pfn:HZ99_20860
ko:K03187	pfn:HZ99_20865
ko:K07290	pfn:HZ99_20885
ko:K03594	pfn:HZ99_20890
ko:K04046	pfn:HZ99_20920
ko:K05516	pfn:HZ99_20930
ko:K01428	pfn:HZ99_20940
ko:K01429	pfn:HZ99_20945
ko:K03823	pfn:HZ99_20955
ko:K03307	pfn:HZ99_25490
ko:K12255	pfn:HZ99_25495
ko:K12542	pfn:HZ99_25510
ko:K12541	pfn:HZ99_25515
ko:K12543	pfn:HZ99_25520
ko:K12339	pfn:HZ99_25530
ko:K03215	pfn:HZ99_25535
ko:K00951	pfn:HZ99_25540
ko:K04765	pfn:HZ99_25545
ko:K09912	pfn:HZ99_25550
ko:K11175	pfn:HZ99_25565
ko:K01933	pfn:HZ99_25570
ko:K09938	pfn:HZ99_25575
ko:K10763	pfn:HZ99_25585
ko:K02224	pfn:HZ99_25610
ko:K04719	pfn:HZ99_25615
ko:K02227	pfn:HZ99_25620
ko:K02225	pfn:HZ99_25625
ko:K02232	pfn:HZ99_25630
ko:K02231	pfn:HZ99_25635
ko:K00768	pfn:HZ99_25640
ko:K02226	pfn:HZ99_25645
ko:K02233	pfn:HZ99_25650
ko:K00432	pfn:HZ99_25670
ko:K06076	pfn:HZ99_25675
ko:K09760	pfn:HZ99_25700
ko:K09790	pfn:HZ99_25710
ko:K07039	pfn:HZ99_25715
ko:K03654	pfn:HZ99_25720
ko:K06075	pfn:HZ99_25725
ko:K07001	pfn:HZ99_25730
ko:K07401	pfn:HZ99_25735
ko:K00832	pfn:HZ99_25760
ko:K01724	pfn:HZ99_25765
ko:K00500	pfn:HZ99_25770
ko:K03721	pfn:HZ99_25775
ko:K01951	pfn:HZ99_02880
ko:K05549	pfn:HZ99_02905
ko:K05550	pfn:HZ99_02910
ko:K05784	pfn:HZ99_02915
ko:K05783	pfn:HZ99_02920
ko:K05548	pfn:HZ99_02925
ko:K07223	pfn:HZ99_02935
ko:K18297	pfn:HZ99_02940
ko:K01835	pfn:HZ99_02960
ko:K06911	pfn:HZ99_02965
ko:K06995	pfn:HZ99_02990
ko:K11073	pfn:HZ99_02995
ko:K01266	pfn:HZ99_03010
ko:K12536	pfn:HZ99_03025
ko:K12537	pfn:HZ99_03030
ko:K12538	pfn:HZ99_03035
ko:K12685	pfn:HZ99_03040
ko:K12685	pfn:HZ99_03045
ko:K03719	pfn:HZ99_03095
ko:K08303	pfn:HZ99_03105
ko:K11734	pfn:HZ99_03115
ko:K01799	pfn:HZ99_03120
ko:K01502	pfn:HZ99_03125
ko:K00450	pfn:HZ99_03135
ko:K01556	pfn:HZ99_03140
ko:K00453	pfn:HZ99_03145
ko:K18457	pfn:HZ99_07905
ko:K01560	pfn:HZ99_07945
ko:K00209	pfn:HZ99_07950
ko:K06966	pfn:HZ99_07955
ko:K00116	pfn:HZ99_07965
ko:K12262	pfn:HZ99_07985
ko:K05539	pfn:HZ99_07990
ko:K00616	pfn:HZ99_07995
ko:K04754	pfn:HZ99_08015
ko:K06879	pfn:HZ99_08030
ko:K07665	pfn:HZ99_08040
ko:K09808	pfn:HZ99_08050
ko:K09810	pfn:HZ99_08055
ko:K09808	pfn:HZ99_08060
ko:K01126	pfn:HZ99_08070
ko:K00322	pfn:HZ99_08075
ko:K03734	pfn:HZ99_08080
ko:K00134	pfn:HZ99_08090
ko:K03723	pfn:HZ99_08095
ko:K01207	pfn:HZ99_08110
ko:K01356	pfn:HZ99_08120
ko:K13053	pfn:HZ99_08125
ko:K03168	pfn:HZ99_08140
ko:K01825	pfn:HZ99_08155
ko:K06149	pfn:HZ99_08165
ko:K15738	pfn:HZ99_08170
ko:K08309	pfn:HZ99_08175
ko:K06147	pfn:HZ99_08180
ko:K03473	pfn:HZ99_08190
ko:K12368	pfn:HZ99_12650
ko:K12369	pfn:HZ99_12655
ko:K12370	pfn:HZ99_12660
ko:K12371	pfn:HZ99_12665
ko:K12372	pfn:HZ99_12670
ko:K02837	pfn:HZ99_12685
ko:K05846	pfn:HZ99_12690
ko:K05845	pfn:HZ99_12695
ko:K05846	pfn:HZ99_12700
ko:K05847	pfn:HZ99_12705
ko:K01581	pfn:HZ99_12710
ko:K07126	pfn:HZ99_12715
ko:K16090	pfn:HZ99_12725
ko:K00380	pfn:HZ99_12730
ko:K01113	pfn:HZ99_12735
ko:K02769	pfn:HZ99_12740
ko:K02770	pfn:HZ99_12740
ko:K00882	pfn:HZ99_12745
ko:K02768	pfn:HZ99_12750
ko:K08483	pfn:HZ99_12750
ko:K11183	pfn:HZ99_12750
ko:K03435	pfn:HZ99_12755
ko:K03424	pfn:HZ99_12760
ko:K03406	pfn:HZ99_12770
ko:K03807	pfn:HZ99_12775
ko:K03806	pfn:HZ99_12780
ko:K00767	pfn:HZ99_12790
ko:K02653	pfn:HZ99_12815
ko:K02654	pfn:HZ99_12820
ko:K00859	pfn:HZ99_12825
ko:K09862	pfn:HZ99_12830
ko:K03885	pfn:HZ99_12860
ko:K03695	pfn:HZ99_12885
ko:K05810	pfn:HZ99_12890
ko:K06180	pfn:HZ99_12895
ko:K05807	pfn:HZ99_12900
ko:K06950	pfn:HZ99_12905
ko:K03153	pfn:HZ99_12910
ko:K02655	pfn:HZ99_12915
ko:K02673	pfn:HZ99_12920
ko:K02672	pfn:HZ99_12925
ko:K02671	pfn:HZ99_12930
ko:K08084	pfn:HZ99_12935
ko:K01465	pfn:HZ99_17400
ko:K06131	pfn:HZ99_17410
ko:K00574	pfn:HZ99_17415
ko:K09930	pfn:HZ99_17425
ko:K00995	pfn:HZ99_17435
ko:K00981	pfn:HZ99_17460
ko:K00721	pfn:HZ99_17470
ko:K07787	pfn:HZ99_17530
ko:K07798	pfn:HZ99_17535
ko:K07245	pfn:HZ99_17545
ko:K07156	pfn:HZ99_17550
ko:K07644	pfn:HZ99_17555
ko:K07665	pfn:HZ99_17560
ko:K17686	pfn:HZ99_17580
ko:K02387	pfn:HZ99_17585
ko:K07233	pfn:HZ99_17605
ko:K06899	pfn:HZ99_17660
ko:K00537	pfn:HZ99_17665
ko:K03893	pfn:HZ99_17680
ko:K03798	pfn:HZ99_22210
ko:K00796	pfn:HZ99_22215
ko:K03431	pfn:HZ99_22220
ko:K01803	pfn:HZ99_22225
ko:K03075	pfn:HZ99_22230
ko:K09748	pfn:HZ99_22245
ko:K02600	pfn:HZ99_22250
ko:K02519	pfn:HZ99_22255
ko:K02834	pfn:HZ99_22260
ko:K03177	pfn:HZ99_22265
ko:K02956	pfn:HZ99_22270
ko:K00962	pfn:HZ99_22275
ko:K04065	pfn:HZ99_22280
ko:K06969	pfn:HZ99_22290
ko:K01895	pfn:HZ99_22300
ko:K01810	pfn:HZ99_22305
ko:K01918	pfn:HZ99_22310
ko:K00606	pfn:HZ99_22315
ko:K00950	pfn:HZ99_22320
ko:K00970	pfn:HZ99_22325
ko:K01894	pfn:HZ99_22345
ko:K06204	pfn:HZ99_22350
ko:K06206	pfn:HZ99_22360
ko:K02016	pfn:HZ99_22370
ko:K02015	pfn:HZ99_22375
ko:K02013	pfn:HZ99_22380
ko:K07028	pfn:HZ99_22395
ko:K05365	pfn:HZ99_22400
ko:K01652	pfn:HZ99_22415
ko:K01653	pfn:HZ99_22420
ko:K00053	pfn:HZ99_22425
ko:K17103	pfn:HZ99_22430
ko:K17247	pfn:HZ99_22440
ko:K03808	pfn:HZ99_22470
ko:K03808	pfn:HZ99_22475
ko:K01679	pfn:HZ99_26995
ko:K09924	pfn:HZ99_27000
ko:K05527	pfn:HZ99_27005
ko:K07146	pfn:HZ99_27010
ko:K07396	pfn:HZ99_27015
ko:K00568	pfn:HZ99_27050
ko:K08963	pfn:HZ99_27060
ko:K02469	pfn:HZ99_27065
ko:K00831	pfn:HZ99_27070
ko:K14170	pfn:HZ99_27075
ko:K00817	pfn:HZ99_27080
ko:K00945	pfn:HZ99_27090
ko:K02945	pfn:HZ99_27095
ko:K05788	pfn:HZ99_27100
ko:K00973	pfn:HZ99_27120
ko:K01790	pfn:HZ99_27125
ko:K12990	pfn:HZ99_27155
ko:K13007	pfn:HZ99_27170
ko:K00074	pfn:HZ99_27190
ko:K02237	pfn:HZ99_27195
ko:K01546	pfn:HZ99_27220
ko:K01547	pfn:HZ99_27225
ko:K01548	pfn:HZ99_27230
ko:K07646	pfn:HZ99_27235
ko:K07667	pfn:HZ99_27240
ko:K07001	pfn:HZ99_27245
ko:K03424	pfn:HZ99_27275
ko:K15977	pfn:HZ99_27285
ko:K01992	pfn:HZ99_27300
ko:K01990	pfn:HZ99_27305
ko:K12661	pfn:HZ99_04520
ko:K02510	pfn:HZ99_04525
ko:K07248	pfn:HZ99_04530
ko:K07046	pfn:HZ99_04535
ko:K03534	pfn:HZ99_04540
ko:K02856	pfn:HZ99_04545
ko:K18337	pfn:HZ99_04550
ko:K00675	pfn:HZ99_04575
ko:K07223	pfn:HZ99_04590
ko:K00131	pfn:HZ99_04595
ko:K02003	pfn:HZ99_04615
ko:K02004	pfn:HZ99_04620
ko:K18290	pfn:HZ99_04650
ko:K02002	pfn:HZ99_04670
ko:K00666	pfn:HZ99_04715
ko:K02433	pfn:HZ99_04720
ko:K02463	pfn:HZ99_04750
ko:K02459	pfn:HZ99_04765
ko:K02458	pfn:HZ99_04770
ko:K02457	pfn:HZ99_04775
ko:K02456	pfn:HZ99_04780
ko:K02455	pfn:HZ99_04785
ko:K02454	pfn:HZ99_04790
ko:K02453	pfn:HZ99_04795
ko:K02452	pfn:HZ99_04800
ko:K07093	pfn:HZ99_04810
ko:K02460	pfn:HZ99_04815
ko:K02390	pfn:HZ99_09455
ko:K02389	pfn:HZ99_09460
ko:K02388	pfn:HZ99_09465
ko:K02387	pfn:HZ99_09470
ko:K00575	pfn:HZ99_09475
ko:K03415	pfn:HZ99_09480
ko:K02386	pfn:HZ99_09485
ko:K02398	pfn:HZ99_09490
ko:K02399	pfn:HZ99_09495
ko:K00721	pfn:HZ99_09535
ko:K08679	pfn:HZ99_09540
ko:K02012	pfn:HZ99_09545
ko:K02011	pfn:HZ99_09550
ko:K02010	pfn:HZ99_09555
ko:K07806	pfn:HZ99_09560
ko:K10012	pfn:HZ99_09565
ko:K10011	pfn:HZ99_09570
ko:K13014	pfn:HZ99_09575
ko:K07264	pfn:HZ99_09580
ko:K12962	pfn:HZ99_09585
ko:K12963	pfn:HZ99_09590
ko:K00012	pfn:HZ99_09595
ko:K05838	pfn:HZ99_14185
ko:K02003	pfn:HZ99_14200
ko:K02004	pfn:HZ99_14205
ko:K09950	pfn:HZ99_14210
ko:K07275	pfn:HZ99_14225
ko:K00067	pfn:HZ99_14230
ko:K00598	pfn:HZ99_14250
ko:K03701	pfn:HZ99_14295
ko:K03594	pfn:HZ99_14300
ko:K03781	pfn:HZ99_14305
ko:K02879	pfn:HZ99_14310
ko:K03040	pfn:HZ99_14315
ko:K02986	pfn:HZ99_14320
ko:K02948	pfn:HZ99_14325
ko:K02952	pfn:HZ99_14330
ko:K03076	pfn:HZ99_14335
ko:K02876	pfn:HZ99_14340
ko:K02907	pfn:HZ99_14345
ko:K02988	pfn:HZ99_14350
ko:K02881	pfn:HZ99_14355
ko:K02933	pfn:HZ99_14360
ko:K02994	pfn:HZ99_14365
ko:K02954	pfn:HZ99_14370
ko:K02931	pfn:HZ99_14375
ko:K02895	pfn:HZ99_14380
ko:K02874	pfn:HZ99_14385
ko:K02961	pfn:HZ99_14390
ko:K02904	pfn:HZ99_14395
ko:K02878	pfn:HZ99_14400
