ko:K01212	ppo:PPM_0699
ko:K02034	ppo:PPM_2496
ko:K03327	ppo:PPM_2499
ko:K03781	ppo:PPM_2500
ko:K00860	ppo:PPM_2501
ko:K13653	ppo:PPM_p0082
ko:K02283	ppo:PPM_p0111
ko:K02860	ppo:PPM_1858
ko:K00554	ppo:PPM_1859
ko:K02884	ppo:PPM_1860
ko:K03100	ppo:PPM_1861
ko:K14540	ppo:PPM_1862
ko:K03470	ppo:PPM_1863
ko:K06968	ppo:PPM_2681
ko:K02013	ppo:PPM_2682
ko:K01151	ppo:PPM_2685
ko:K08967	ppo:PPM_2690
ko:K01356	ppo:PPM_2695
ko:K03088	ppo:PPM_p0279
ko:K07719	ppo:PPM_0293
ko:K07717	ppo:PPM_0294
ko:K11102	ppo:PPM_0295
ko:K08987	ppo:PPM_0297
ko:K01129	ppo:PPM_1081
ko:K01975	ppo:PPM_1085
ko:K01449	ppo:PPM_1086
ko:K00963	ppo:PPM_1093
ko:K00012	ppo:PPM_1104
ko:K02357	ppo:PPM_1919
ko:K09903	ppo:PPM_1920
ko:K02838	ppo:PPM_1921
ko:K00806	ppo:PPM_1922
ko:K00981	ppo:PPM_1923
ko:K00099	ppo:PPM_1924
ko:K11749	ppo:PPM_1925
ko:K01881	ppo:PPM_1926
ko:K03763	ppo:PPM_1927
ko:K09748	ppo:PPM_1928
ko:K02600	ppo:PPM_1929
ko:K07742	ppo:PPM_1930
ko:K02519	ppo:PPM_1932
ko:K02834	ppo:PPM_1933
ko:K11753	ppo:PPM_1936
ko:K02956	ppo:PPM_1937
ko:K00962	ppo:PPM_1938
ko:K06410	ppo:PPM_1942
ko:K06411	ppo:PPM_1943
ko:K00133	ppo:PPM_1944
ko:K00928	ppo:PPM_1945
ko:K01714	ppo:PPM_1946
ko:K03466	ppo:PPM_1950
ko:K01449	ppo:PPM_1951
ko:K09767	ppo:PPM_1959
ko:K00995	ppo:PPM_1960
ko:K03565	ppo:PPM_1963
ko:K09769	ppo:PPM_1965
ko:K06416	ppo:PPM_1966
ko:K01273	ppo:PPM_1967
ko:K06168	ppo:PPM_1970
ko:K01915	ppo:PPM_2801
ko:K03665	ppo:PPM_2804
ko:K06413	ppo:PPM_2805
ko:K03666	ppo:PPM_2809
ko:K00791	ppo:PPM_2810
ko:K03572	ppo:PPM_2812
ko:K03555	ppo:PPM_2813
ko:K06328	ppo:PPM_2815
ko:K07658	ppo:PPM_4723
ko:K02034	ppo:PPM_0937
ko:K02033	ppo:PPM_0938
ko:K18926	ppo:PPM_2493
ko:K07260	ppo:PPM_0534
ko:K01732	ppo:PPM_1351
ko:K02051	ppo:PPM_2821
ko:K02049	ppo:PPM_2820
ko:K01752	ppo:PPM_0387
ko:K01752	ppo:PPM_0388
ko:K02034	ppo:PPM_0393
ko:K14166	ppo:PPM_0413
ko:K07552	ppo:PPM_0416
ko:K03088	ppo:PPM_0417
ko:K03424	ppo:PPM_0423
ko:K03322	ppo:PPM_1215
ko:K07646	ppo:PPM_1225
ko:K02283	ppo:PPM_1227
ko:K12510	ppo:PPM_1228
ko:K12511	ppo:PPM_1229
ko:K02278	ppo:PPM_1234
ko:K07071	ppo:PPM_1236
ko:K01151	ppo:PPM_1238
ko:K01433	ppo:PPM_1239
ko:K00615	ppo:PPM_1240
ko:K09913	ppo:PPM_1241
ko:K01810	ppo:PPM_1243
ko:K02045	ppo:PPM_1247
ko:K06167	ppo:PPM_1248
ko:K03800	ppo:PPM_1252
ko:K02227	ppo:PPM_1254
ko:K02016	ppo:PPM_1256
ko:K02015	ppo:PPM_1257
ko:K02013	ppo:PPM_1258
ko:K00768	ppo:PPM_1259
ko:K02231	ppo:PPM_1260
ko:K02233	ppo:PPM_1261
ko:K02232	ppo:PPM_1262
ko:K00299	ppo:PPM_2088
ko:K02034	ppo:PPM_2103
ko:K02913	ppo:PPM_2129
ko:K02909	ppo:PPM_2130
ko:K07089	ppo:PPM_2135
ko:K03088	ppo:PPM_2921
ko:K00817	ppo:PPM_2924
ko:K01695	ppo:PPM_2925
ko:K01696	ppo:PPM_2926
ko:K01817	ppo:PPM_2927
ko:K01609	ppo:PPM_2928
ko:K00766	ppo:PPM_2929
ko:K01657	ppo:PPM_2930
ko:K06208	ppo:PPM_2931
ko:K01735	ppo:PPM_2932
ko:K01736	ppo:PPM_2933
ko:K00940	ppo:PPM_2935
ko:K03186	ppo:PPM_2938
ko:K03179	ppo:PPM_2939
ko:K03183	ppo:PPM_2940
ko:K06285	ppo:PPM_2943
ko:K03530	ppo:PPM_2945
ko:K02057	ppo:PPM_2946
ko:K06398	ppo:PPM_2949
ko:K00057	ppo:PPM_2955
ko:K08591	ppo:PPM_2956
ko:K03977	ppo:PPM_2957
ko:K02945	ppo:PPM_2958
ko:K00655	ppo:PPM_2959
ko:K00945	ppo:PPM_2960
ko:K06147	ppo:PPM_2852
ko:K01077	ppo:PPM_2871
ko:K08969	ppo:PPM_2877
ko:K08964	ppo:PPM_2883
ko:K02086	ppo:PPM_2889
ko:K00974	ppo:PPM_2905
ko:K04517	ppo:PPM_2923
ko:K02071	ppo:PPM_0435
ko:K02072	ppo:PPM_0436
ko:K03092	ppo:PPM_0441
ko:K11476	ppo:PPM_0457
ko:K01265	ppo:PPM_0458
ko:K03611	ppo:PPM_0461
ko:K14205	ppo:PPM_0463
ko:K08153	ppo:PPM_0466
ko:K07118	ppo:PPM_0471
ko:K06956	ppo:PPM_1267
ko:K09125	ppo:PPM_1268
ko:K03823	ppo:PPM_1271
ko:K01611	ppo:PPM_1278
ko:K06180	ppo:PPM_1281
ko:K03654	ppo:PPM_1282
ko:K06950	ppo:PPM_1296
ko:K02016	ppo:PPM_1297
ko:K02015	ppo:PPM_1298
ko:K02015	ppo:PPM_1299
ko:K15256	ppo:PPM_1305
ko:K02015	ppo:PPM_2137
ko:K02013	ppo:PPM_2138
ko:K02016	ppo:PPM_2139
ko:K09817	ppo:PPM_2140
ko:K09816	ppo:PPM_2141
ko:K00848	ppo:PPM_2161
ko:K00782	ppo:PPM_2165
ko:K07443	ppo:PPM_2171
ko:K02003	ppo:PPM_2175
ko:K09773	ppo:PPM_2178
ko:K03624	ppo:PPM_2186
ko:K07651	ppo:PPM_2970
ko:K07775	ppo:PPM_2971
ko:K06178	ppo:PPM_2972
ko:K06374	ppo:PPM_2973
ko:K06373	ppo:PPM_2974
ko:K00686	ppo:PPM_2976
ko:K06024	ppo:PPM_2979
ko:K05896	ppo:PPM_2980
ko:K00794	ppo:PPM_2981
ko:K14652	ppo:PPM_2982
ko:K00793	ppo:PPM_2983
ko:K00169	ppo:PPM_2985
ko:K00172	ppo:PPM_2986
ko:K01586	ppo:PPM_2988
ko:K06408	ppo:PPM_2989
ko:K06404	ppo:PPM_2990
ko:K06403	ppo:PPM_2991
ko:K03091	ppo:PPM_2992
ko:K06379	ppo:PPM_2993
ko:K03801	ppo:PPM_3006
ko:K09699	ppo:PPM_3007
ko:K00167	ppo:PPM_3008
ko:K00166	ppo:PPM_3009
ko:K00382	ppo:PPM_3010
ko:K11144	ppo:PPM_2790
ko:K03713	ppo:PPM_2802
ko:K02050	ppo:PPM_2819
ko:K05306	ppo:PPM_0474
ko:K06295	ppo:PPM_0489
ko:K10709	ppo:PPM_0493
ko:K10711	ppo:PPM_0497
ko:K03790	ppo:PPM_0500
ko:K01740	ppo:PPM_0505
ko:K03088	ppo:PPM_0518
ko:K02563	ppo:PPM_0520
ko:K03453	ppo:PPM_0522
ko:K03790	ppo:PPM_0524
ko:K00164	ppo:PPM_1321
ko:K00658	ppo:PPM_1322
ko:K01809	ppo:PPM_1325
ko:K07139	ppo:PPM_1327
ko:K03439	ppo:PPM_1329
ko:K02520	ppo:PPM_1333
ko:K02916	ppo:PPM_1334
ko:K02887	ppo:PPM_1335
ko:K07335	ppo:PPM_1336
ko:K02057	ppo:PPM_1338
ko:K02057	ppo:PPM_1339
ko:K01652	ppo:PPM_1342
ko:K01653	ppo:PPM_1343
ko:K00053	ppo:PPM_1344
ko:K01649	ppo:PPM_1345
ko:K00052	ppo:PPM_1346
ko:K01889	ppo:PPM_1353
ko:K01890	ppo:PPM_1354
ko:K07456	ppo:PPM_1357
ko:K08989	ppo:PPM_1358
ko:K08222	ppo:PPM_1360
ko:K10907	ppo:PPM_1365
ko:K06180	ppo:PPM_1369
ko:K00847	ppo:PPM_1372
ko:K04487	ppo:PPM_2188
ko:K03517	ppo:PPM_2189
ko:K03217	ppo:PPM_2192
ko:K06987	ppo:PPM_2200
ko:K02013	ppo:PPM_2205
ko:K07088	ppo:PPM_2206
ko:K07146	ppo:PPM_2207
ko:K01881	ppo:PPM_2211
ko:K01223	ppo:PPM_2221
ko:K07095	ppo:PPM_2222
ko:K10536	ppo:PPM_2223
ko:K12251	ppo:PPM_2224
ko:K02016	ppo:PPM_2229
ko:K02015	ppo:PPM_2230
ko:K06182	ppo:PPM_2236
ko:K07699	ppo:PPM_3021
ko:K06399	ppo:PPM_3022
ko:K03631	ppo:PPM_3023
ko:K03402	ppo:PPM_3024
ko:K06442	ppo:PPM_3026
ko:K01662	ppo:PPM_3027
ko:K13789	ppo:PPM_3028
ko:K03602	ppo:PPM_3029
ko:K03601	ppo:PPM_3030
ko:K01491	ppo:PPM_3031
ko:K03625	ppo:PPM_3032
ko:K01961	ppo:PPM_3036
ko:K02160	ppo:PPM_3037
ko:K06397	ppo:PPM_3038
ko:K06396	ppo:PPM_3039
ko:K06395	ppo:PPM_3040
ko:K06394	ppo:PPM_3041
ko:K06393	ppo:PPM_3042
ko:K06392	ppo:PPM_3043
ko:K06391	ppo:PPM_3044
ko:K06390	ppo:PPM_3045
ko:K00928	ppo:PPM_3046
ko:K02356	ppo:PPM_3047
ko:K02016	ppo:PPM_3050
ko:K07001	ppo:PPM_3053
ko:K03716	ppo:PPM_3056
ko:K01874	ppo:PPM_3058
ko:K08998	ppo:PPM_3059
ko:K04069	ppo:PPM_3062
ko:K00656	ppo:PPM_3063
ko:K04072	ppo:PPM_3064
ko:K14234	ppo:PPM_t023
ko:K14234	ppo:PPM_t041
ko:K14234	ppo:PPM_t007
ko:K06296	ppo:PPM_2292
ko:K00691	ppo:PPM_0285
ko:K10040	ppo:PPM_0396
ko:K18939	ppo:PPM_2492
ko:K10041	ppo:PPM_0399
ko:K14224	ppo:PPM_t018
ko:K14224	ppo:PPM_t037
ko:K14224	ppo:PPM_t054
ko:K14220	ppo:PPM_t015
ko:K14220	ppo:PPM_t035
ko:K14220	ppo:PPM_t052
ko:K14232	ppo:PPM_t032
ko:K14232	ppo:PPM_t049
ko:K14227	ppo:PPM_t002
ko:K14227	ppo:PPM_t013
ko:K10039	ppo:PPM_0398
ko:K14230	ppo:PPM_t005
ko:K14230	ppo:PPM_t016
ko:K03294	ppo:PPM_3406
ko:K16899	ppo:PPM_3418
ko:K00027	ppo:PPM_3428
ko:K00619	ppo:PPM_3437
ko:K02238	ppo:PPM_3447
ko:K09825	ppo:PPM_4204
ko:K02433	ppo:PPM_4210
ko:K03090	ppo:PPM_4229
ko:K03299	ppo:PPM_4979
ko:K00851	ppo:PPM_4981
ko:K03299	ppo:PPM_4982
ko:K01181	ppo:PPM_4985
ko:K01834	ppo:PPM_4994
ko:K14218	ppo:PPM_t060
ko:K02056	ppo:PPM_2947
ko:K06313	ppo:PPM_2962
ko:K10118	ppo:PPM_3714
ko:K03475	ppo:PPM_3720
ko:K15583	ppo:PPM_3732
ko:K00564	ppo:PPM_4463
ko:K09698	ppo:PPM_4477
ko:K07067	ppo:PPM_4482
ko:K03708	ppo:PPM_4487
ko:K07094	ppo:PPM_4491
ko:K09153	ppo:PPM_4500
ko:K01784	ppo:PPM_4503
ko:K12992	ppo:PPM_4505
ko:K00805	ppo:PPM_2941
ko:K03693	ppo:PPM_3163
ko:K01243	ppo:PPM_3166
ko:K08483	ppo:PPM_3171
ko:K00033	ppo:PPM_3176
ko:K00027	ppo:PPM_3194
ko:K03406	ppo:PPM_3196
ko:K07720	ppo:PPM_3202
ko:K01222	ppo:PPM_3953
ko:K02428	ppo:PPM_3957
ko:K00595	ppo:PPM_4704
ko:K01719	ppo:PPM_4711
ko:K03406	ppo:PPM_4719
ko:K09825	ppo:PPM_4724
ko:K10947	ppo:PPM_4736
ko:K00059	ppo:PPM_4739
ko:K02052	ppo:PPM_4745
ko:K02055	ppo:PPM_4749
ko:K03574	ppo:PPM_3326
ko:K13628	ppo:PPM_4102
ko:K00059	ppo:PPM_4107
ko:K01176	ppo:PPM_4861
ko:K10118	ppo:PPM_4869
ko:K03492	ppo:PPM_4882
ko:K01424	ppo:PPM_4898
ko:K16959	ppo:PPM_4900
ko:K16957	ppo:PPM_4901
ko:K03406	ppo:PPM_3575
ko:K05989	ppo:PPM_3594
ko:K03406	ppo:PPM_3600
ko:K01119	ppo:PPM_4338
ko:K03784	ppo:PPM_4351
ko:K01489	ppo:PPM_4354
ko:K01619	ppo:PPM_4355
ko:K01580	ppo:PPM_p0044
ko:K15312	ppo:PPM_3220
ko:K02564	ppo:PPM_4000
ko:K01990	ppo:PPM_4010
ko:K03491	ppo:PPM_4021
ko:K05350	ppo:PPM_4024
ko:K01784	ppo:PPM_4026
ko:K02443	ppo:PPM_4776
ko:K00065	ppo:PPM_4784
ko:K10118	ppo:PPM_4794
ko:K02076	ppo:PPM_3060
ko:K02099	ppo:PPM_3073
ko:K01209	ppo:PPM_3074
ko:K03810	ppo:PPM_3077
ko:K01607	ppo:PPM_3091
ko:K01607	ppo:PPM_3104
ko:K04518	ppo:PPM_3870
ko:K07584	ppo:PPM_3877
ko:K06402	ppo:PPM_3880
ko:K02116	ppo:PPM_4623
ko:K10118	ppo:PPM_4629
ko:K01823	ppo:PPM_4641
ko:K00917	ppo:PPM_4650
ko:K06948	ppo:PPM_3460
ko:K02433	ppo:PPM_3488
ko:K00575	ppo:PPM_4233
ko:K00854	ppo:PPM_4271
ko:K07652	ppo:PPM_5035
ko:K07668	ppo:PPM_5036
ko:K07052	ppo:PPM_2968
ko:K00058	ppo:PPM_2969
ko:K03768	ppo:PPM_2987
ko:K07258	ppo:PPM_2995
ko:K03783	ppo:PPM_2998
ko:K04763	ppo:PPM_2999
ko:K03711	ppo:PPM_3001
ko:K01515	ppo:PPM_3004
ko:K03406	ppo:PPM_3782
ko:K02798	ppo:PPM_3788
ko:K02799	ppo:PPM_3790
ko:K02800	ppo:PPM_3790
ko:K08483	ppo:PPM_3795
ko:K11189	ppo:PPM_3796
ko:K07192	ppo:PPM_3799
ko:K01784	ppo:PPM_3803
ko:K00657	ppo:PPM_4512
ko:K00366	ppo:PPM_4515
ko:K07069	ppo:PPM_p0272
ko:K02756	ppo:PPM_3611
ko:K02757	ppo:PPM_3611
ko:K02755	ppo:PPM_3611
ko:K03488	ppo:PPM_3612
ko:K03635	ppo:PPM_3615
ko:K00374	ppo:PPM_3621
ko:K08969	ppo:PPM_3640
ko:K00567	ppo:PPM_3644
ko:K10118	ppo:PPM_4392
ko:K01181	ppo:PPM_4395
ko:K10040	ppo:PPM_0397
ko:K02755	ppo:PPM_4156
ko:K02756	ppo:PPM_4156
ko:K02757	ppo:PPM_4156
ko:K03488	ppo:PPM_4157
ko:K02004	ppo:PPM_4170
ko:K02005	ppo:PPM_4172
ko:K03499	ppo:PPM_4181
ko:K11618	ppo:PPM_4187
ko:K08724	ppo:PPM_3362
ko:K10823	ppo:PPM_3368
ko:K15582	ppo:PPM_3369
ko:K02025	ppo:PPM_4146
ko:K07720	ppo:PPM_4149
ko:K11617	ppo:PPM_4188
ko:K08093	ppo:PPM_4826
ko:K01181	ppo:PPM_4829
ko:K01181	ppo:PPM_4830
ko:K03409	ppo:PPM_4060
ko:K07098	ppo:PPM_4068
ko:K00241	ppo:PPM_4072
ko:K03499	ppo:PPM_4074
ko:K03498	ppo:PPM_4075
ko:K11144	ppo:PPM_4080
ko:K03346	ppo:PPM_4081
ko:K01992	ppo:PPM_4083
ko:K02025	ppo:PPM_4804
ko:K01176	ppo:PPM_4819
ko:K01834	ppo:PPM_4820
ko:K01258	ppo:PPM_4823
ko:K02035	ppo:PPM_4911
ko:K01813	ppo:PPM_4915
ko:K01629	ppo:PPM_4916
ko:K00547	ppo:PPM_4919
ko:K02823	ppo:PPM_4926
ko:K00059	ppo:PPM_4930
ko:K00059	ppo:PPM_4935
ko:K07034	ppo:PPM_4940
ko:K00121	ppo:PPM_4947
ko:K07030	ppo:PPM_3121
ko:K10843	ppo:PPM_3149
ko:K04076	ppo:PPM_3907
ko:K05350	ppo:PPM_3914
ko:K03488	ppo:PPM_3932
ko:K02755	ppo:PPM_3933
ko:K02756	ppo:PPM_3933
ko:K02757	ppo:PPM_3933
ko:K00027	ppo:PPM_3945
ko:K02030	ppo:PPM_4690
ko:K02028	ppo:PPM_4691
ko:K09992	ppo:PPM_4698
ko:K07720	ppo:PPM_4839
ko:K00805	ppo:PPM_2936
ko:K14338	ppo:PPM_3514
ko:K07032	ppo:PPM_3518
ko:K00841	ppo:PPM_3519
ko:K11069	ppo:PPM_3520
ko:K11071	ppo:PPM_3522
ko:K11072	ppo:PPM_3523
ko:K05822	ppo:PPM_3525
ko:K01011	ppo:PPM_3528
ko:K05350	ppo:PPM_4291
ko:K16012	ppo:PPM_4297
ko:K16013	ppo:PPM_4298
ko:K07720	ppo:PPM_4301
ko:K02004	ppo:PPM_4321
ko:K02004	ppo:PPM_4324
ko:K02033	ppo:PPM_5051
ko:K02035	ppo:PPM_5052
ko:K06346	ppo:PPM_5068
ko:K07491	ppo:PPM_p0027
ko:K03593	ppo:PPM_4418
ko:K00939	ppo:PPM_4433
ko:K06377	ppo:PPM_3013
ko:K03406	ppo:PPM_3018
ko:K06196	ppo:PPM_3057
ko:K03406	ppo:PPM_3816
ko:K03406	ppo:PPM_3826
ko:K02824	ppo:PPM_3849
ko:K03406	ppo:PPM_3850
ko:K07692	ppo:PPM_4584
ko:K02851	ppo:PPM_4598
ko:K01835	ppo:PPM_4603
ko:K01980	ppo:PPM_r009
ko:K01980	ppo:PPM_r005
ko:K01980	ppo:PPM_r029
ko:K01980	ppo:PPM_r002
ko:K01980	ppo:PPM_r023
ko:K01980	ppo:PPM_r026
ko:K01980	ppo:PPM_r011
ko:K01980	ppo:PPM_r014
ko:K01980	ppo:PPM_r017
ko:K01980	ppo:PPM_r020
ko:K14237	ppo:PPM_t064
ko:K01218	ppo:PPM_0613
ko:K16511	ppo:PPM_2964
ko:K01838	ppo:PPM_0284
ko:K14222	ppo:PPM_t030
ko:K14233	ppo:PPM_t036
ko:K14228	ppo:PPM_t048
ko:K14228	ppo:PPM_t056
ko:K14228	ppo:PPM_t057
ko:K14234	ppo:PPM_t051
ko:K01179	ppo:PPM_2317
ko:K16188	ppo:PPM_1702
ko:K01223	ppo:PPM_1611
ko:K13955	ppo:PPM_0257
ko:K14232	ppo:PPM_t058
ko:K14229	ppo:PPM_t061
ko:K01834	ppo:PPM_0105
ko:K01977	ppo:PPM_r001
ko:K01977	ppo:PPM_r028
ko:K01977	ppo:PPM_r010
ko:K01977	ppo:PPM_r013
ko:K01977	ppo:PPM_r022
ko:K01977	ppo:PPM_r016
ko:K01977	ppo:PPM_r019
ko:K01977	ppo:PPM_r004
ko:K01977	ppo:PPM_r025
ko:K01977	ppo:PPM_r007
ko:K01985	ppo:PPM_r003
ko:K01985	ppo:PPM_r024
ko:K01985	ppo:PPM_r006
ko:K01985	ppo:PPM_r015
ko:K01985	ppo:PPM_r027
ko:K01985	ppo:PPM_r012
ko:K01985	ppo:PPM_r030
ko:K01985	ppo:PPM_r021
ko:K01985	ppo:PPM_r018
ko:K01985	ppo:PPM_r008
ko:K14233	ppo:PPM_t001
ko:K14233	ppo:PPM_t004
ko:K14233	ppo:PPM_t017
ko:K14233	ppo:PPM_t053
ko:K14218	ppo:PPM_t003
ko:K14218	ppo:PPM_t014
ko:K14218	ppo:PPM_t034
ko:K14237	ppo:PPM_t006
ko:K14237	ppo:PPM_t038
ko:K14237	ppo:PPM_t019
ko:K14221	ppo:PPM_t008
ko:K14221	ppo:PPM_t021
ko:K14221	ppo:PPM_t040
ko:K14231	ppo:PPM_t009
ko:K14231	ppo:PPM_t022
ko:K14236	ppo:PPM_t010
ko:K14236	ppo:PPM_t024
ko:K14236	ppo:PPM_t042
ko:K14229	ppo:PPM_t011
ko:K14229	ppo:PPM_t044
ko:K14229	ppo:PPM_t055
ko:K14229	ppo:PPM_t027
ko:K16137	ppo:PPM_2362
ko:K16137	ppo:PPM_1753
ko:K16137	ppo:PPM_2214
ko:K14219	ppo:PPM_t012
ko:K14219	ppo:PPM_t031
ko:K14219	ppo:PPM_t047
ko:K14230	ppo:PPM_t020
ko:K14230	ppo:PPM_t039
ko:K14226	ppo:PPM_t025
ko:K14223	ppo:PPM_t026
ko:K14223	ppo:PPM_t043
ko:K14228	ppo:PPM_t028
ko:K14228	ppo:PPM_t063
ko:K14228	ppo:PPM_t062
ko:K14228	ppo:PPM_t045
ko:K14225	ppo:PPM_t029
ko:K14225	ppo:PPM_t046
ko:K14225	ppo:PPM_t033
ko:K14225	ppo:PPM_t050
ko:K14225	ppo:PPM_t059
ko:K02794	ppo:PPM_0444
ko:K10710	ppo:PPM_0496
ko:K02035	ppo:PPM_1074
ko:K00537	ppo:PPM_1370
ko:K15328	ppo:PPM_3213
ko:K08174	ppo:PPM_2328
ko:K15329	ppo:PPM_3212
ko:K15921	ppo:PPM_2373
ko:K08174	ppo:PPM_1829
ko:K16263	ppo:PPM_2817
ko:K00284	ppo:PPM_1088
ko:K07045	ppo:PPM_3092
ko:K05340	ppo:PPM_3115
ko:K10190	ppo:PPM_0266
ko:K06296	ppo:PPM_0766
ko:K06296	ppo:PPM_0768
ko:K06296	ppo:PPM_0487
ko:K06296	ppo:PPM_2237
ko:K10189	ppo:PPM_0267
ko:K17234	ppo:PPM_0814
ko:K02026	ppo:PPM_0304
ko:K10118	ppo:PPM_0377
ko:K10119	ppo:PPM_0378
ko:K06297	ppo:PPM_0488
ko:K09681	ppo:PPM_1714
ko:K17828	ppo:PPM_4925
ko:K06297	ppo:PPM_2293
ko:K06297	ppo:PPM_0769
ko:K10810	ppo:PPM_2608
ko:K06297	ppo:PPM_2239
ko:K08168	ppo:PPM_2315
ko:K06113	ppo:PPM_0818
ko:K02025	ppo:PPM_0303
ko:K02034	ppo:PPM_1076
ko:K14228	ppo:PPM_t100
ko:K13281	ppo:PPM_0748
ko:K06378	ppo:PPM_2994
ko:K06415	ppo:PPM_1414
ko:K00971	ppo:PPM_1106
ko:K06439	ppo:PPM_0703
ko:K03429	ppo:PPM_0574
ko:K10010	ppo:PPM_0801
ko:K10117	ppo:PPM_1791
ko:K10118	ppo:PPM_2303
ko:K10119	ppo:PPM_2304
ko:K10117	ppo:PPM_2302
ko:K10188	ppo:PPM_0268
ko:K10118	ppo:PPM_0664
ko:K10119	ppo:PPM_0528
ko:K10118	ppo:PPM_0527
ko:K10117	ppo:PPM_0529
ko:K10119	ppo:PPM_0665
ko:K02026	ppo:PPM_1173
ko:K10117	ppo:PPM_0376
ko:K16937	ppo:PPM_0827
ko:K16925	ppo:PPM_0694
ko:K02030	ppo:PPM_0939
ko:K06433	ppo:PPM_0087
ko:K02028	ppo:PPM_0941
ko:K00873	ppo:PPM_0316
ko:K00355	ppo:PPM_1825
ko:K16785	ppo:PPM_0890
ko:K16786	ppo:PPM_0889
ko:K16787	ppo:PPM_0889
ko:K00355	ppo:PPM_0683
ko:K16869	ppo:PPM_0737
ko:K11991	ppo:PPM_0090
ko:K01190	ppo:PPM_0265
ko:K01420	ppo:PPM_3065
ko:K03483	ppo:PPM_3789
ko:K06113	ppo:PPM_0319
ko:K01218	ppo:PPM_0459
ko:K01426	ppo:PPM_1488
ko:K16785	ppo:PPM_0693
ko:K16786	ppo:PPM_0695
ko:K16787	ppo:PPM_0695
ko:K16925	ppo:PPM_0888
ko:K02226	ppo:PPM_1255
ko:K02809	ppo:PPM_0314
ko:K02810	ppo:PPM_0314
ko:K02809	ppo:PPM_1039
ko:K02810	ppo:PPM_1039
ko:K03188	ppo:PPM_1207
ko:K16960	ppo:PPM_2093
ko:K16959	ppo:PPM_2092
ko:K16958	ppo:PPM_2091
ko:K16957	ppo:PPM_2090
ko:K15313	ppo:PPM_3219
ko:K15311	ppo:PPM_3221
ko:K00646	ppo:PPM_3222
ko:K15337	ppo:PPM_3223
ko:K02601	ppo:PPM_3225
ko:K01738	ppo:PPM_3227
ko:K09771	ppo:PPM_3236
ko:K00005	ppo:PPM_3239
ko:K00648	ppo:PPM_3241
ko:K01449	ppo:PPM_3243
ko:K01198	ppo:PPM_3250
ko:K01051	ppo:PPM_3251
ko:K01443	ppo:PPM_4001
ko:K02759	ppo:PPM_4022
ko:K02761	ppo:PPM_4023
ko:K02760	ppo:PPM_4025
ko:K00067	ppo:PPM_4032
ko:K00973	ppo:PPM_4042
ko:K00111	ppo:PPM_4774
ko:K00864	ppo:PPM_4775
ko:K07118	ppo:PPM_4778
ko:K03449	ppo:PPM_4783
ko:K01625	ppo:PPM_4785
ko:K01815	ppo:PPM_4786
ko:K00874	ppo:PPM_4787
ko:K02525	ppo:PPM_4788
ko:K03088	ppo:PPM_4791
ko:K10119	ppo:PPM_4793
ko:K10117	ppo:PPM_4795
ko:K01060	ppo:PPM_4801
ko:K06871	ppo:PPM_3262
ko:K01613	ppo:PPM_4052
ko:K07697	ppo:PPM_4055
ko:K07124	ppo:PPM_4059
ko:K04486	ppo:PPM_4062
ko:K00240	ppo:PPM_4070
ko:K00239	ppo:PPM_4071
ko:K03703	ppo:PPM_4078
ko:K03671	ppo:PPM_4079
ko:K03885	ppo:PPM_4086
ko:K06371	ppo:PPM_4088
ko:K01524	ppo:PPM_4090
ko:K00937	ppo:PPM_4091
ko:K16213	ppo:PPM_4806
ko:K16212	ppo:PPM_4807
ko:K02529	ppo:PPM_4808
ko:K03885	ppo:PPM_4815
ko:K08094	ppo:PPM_4827
ko:K01198	ppo:PPM_4828
ko:K01209	ppo:PPM_4828
ko:K07718	ppo:PPM_4838
ko:K00362	ppo:PPM_4843
ko:K02068	ppo:PPM_4851
ko:K02069	ppo:PPM_4852
ko:K00762	ppo:PPM_3328
ko:K01591	ppo:PPM_3329
ko:K01955	ppo:PPM_3330
ko:K01956	ppo:PPM_3331
ko:K01465	ppo:PPM_3332
ko:K00609	ppo:PPM_3333
ko:K02825	ppo:PPM_3334
ko:K06180	ppo:PPM_3335
ko:K03101	ppo:PPM_3336
ko:K01870	ppo:PPM_3339
ko:K04074	ppo:PPM_3340
ko:K02221	ppo:PPM_3342
ko:K09772	ppo:PPM_3343
ko:K06997	ppo:PPM_3344
ko:K05810	ppo:PPM_3345
ko:K03091	ppo:PPM_3347
ko:K03091	ppo:PPM_3348
ko:K06383	ppo:PPM_3349
ko:K03531	ppo:PPM_3350
ko:K03590	ppo:PPM_3351
ko:K03589	ppo:PPM_3352
ko:K00790	ppo:PPM_3353
ko:K00075	ppo:PPM_3354
ko:K02563	ppo:PPM_3355
ko:K03885	ppo:PPM_4104
ko:K02073	ppo:PPM_4108
ko:K02072	ppo:PPM_4109
ko:K02071	ppo:PPM_4110
ko:K02259	ppo:PPM_4113
ko:K06409	ppo:PPM_4116
ko:K09793	ppo:PPM_4117
ko:K07476	ppo:PPM_4124
ko:K07038	ppo:PPM_4126
ko:K01867	ppo:PPM_4129
ko:K09766	ppo:PPM_4136
ko:K06886	ppo:PPM_4137
ko:K00858	ppo:PPM_4139
ko:K03644	ppo:PPM_4141
ko:K01235	ppo:PPM_4860
ko:K10117	ppo:PPM_4866
ko:K10119	ppo:PPM_4870
ko:K03100	ppo:PPM_4871
ko:K16210	ppo:PPM_4873
ko:K15532	ppo:PPM_4874
