ko:K03293	sagg:EN73_07305
ko:K02945	sagg:EN73_05925
ko:K00826	sagg:EN73_05945
ko:K02621	sagg:EN73_05950
ko:K02622	sagg:EN73_05955
ko:K08591	sagg:EN73_05960
ko:K03648	sagg:EN73_05965
ko:K01791	sagg:EN73_05985
ko:K01104	sagg:EN73_06050
ko:K03784	sagg:EN73_06070
ko:K03783	sagg:EN73_06080
ko:K03322	sagg:EN73_09685
ko:K16916	sagg:EN73_09690
ko:K16917	sagg:EN73_09695
ko:K01992	sagg:EN73_09725
ko:K01990	sagg:EN73_09730
ko:K06966	sagg:EN73_09760
ko:K00005	sagg:EN73_09785
ko:K00549	sagg:EN73_09800
ko:K01361	sagg:EN73_09815
ko:K01869	sagg:EN73_09835
ko:K02601	sagg:EN73_09860
ko:K03073	sagg:EN73_09870
ko:K12555	sagg:EN73_09875
ko:K06180	sagg:EN73_09880
ko:K01839	sagg:EN73_09890
ko:K01619	sagg:EN73_09895
ko:K03317	sagg:EN73_09900
ko:K01807	sagg:EN73_06095
ko:K01839	sagg:EN73_06090
ko:K03930	sagg:EN73_06105
ko:K12574	sagg:EN73_06110
ko:K05833	sagg:EN73_06115
ko:K05832	sagg:EN73_06120
ko:K01989	sagg:EN73_06125
ko:K01575	sagg:EN73_06135
ko:K01652	sagg:EN73_06140
ko:K03574	sagg:EN73_06160
ko:K01727	sagg:EN73_06165
ko:K01790	sagg:EN73_06175
ko:K00973	sagg:EN73_06180
ko:K06967	sagg:EN73_06195
ko:K02086	sagg:EN73_06200
ko:K00759	sagg:EN73_06205
ko:K07462	sagg:EN73_06215
ko:K07124	sagg:EN73_06220
ko:K00784	sagg:EN73_06225
ko:K03665	sagg:EN73_06235
ko:K00791	sagg:EN73_06240
ko:K11041	sagg:EN73_06250
ko:K04486	sagg:EN73_06260
ko:K01126	sagg:EN73_06280
ko:K03703	sagg:EN73_06295
ko:K09765	sagg:EN73_06300
ko:K03327	sagg:EN73_06305
ko:K04750	sagg:EN73_06310
ko:K09815	sagg:EN73_06350
ko:K00757	sagg:EN73_09905
ko:K04077	sagg:EN73_09920
ko:K04078	sagg:EN73_09925
ko:K05833	sagg:EN73_09930
ko:K05832	sagg:EN73_09935
ko:K01989	sagg:EN73_09940
ko:K07104	sagg:EN73_09950
ko:K09861	sagg:EN73_09955
ko:K03810	sagg:EN73_09970
ko:K07447	sagg:EN73_10000
ko:K03742	sagg:EN73_10020
ko:K02240	sagg:EN73_01950
ko:K02242	sagg:EN73_01955
ko:K05808	sagg:EN73_01960
ko:K00928	sagg:EN73_01990
ko:K18474	sagg:EN73_02000
ko:K00648	sagg:EN73_02010
ko:K02078	sagg:EN73_02015
ko:K02371	sagg:EN73_02020
ko:K00645	sagg:EN73_02025
ko:K00059	sagg:EN73_02030
ko:K09458	sagg:EN73_02035
ko:K02160	sagg:EN73_02040
ko:K02372	sagg:EN73_02045
ko:K01961	sagg:EN73_02050
ko:K01963	sagg:EN73_02055
ko:K01962	sagg:EN73_02060
ko:K01875	sagg:EN73_02070
ko:K02795	sagg:EN73_02090
ko:K02793	sagg:EN73_02095
ko:K02794	sagg:EN73_02095
ko:K06901	sagg:EN73_02115
ko:K06925	sagg:EN73_02120
ko:K02503	sagg:EN73_02140
ko:K01990	sagg:EN73_02155
ko:K01992	sagg:EN73_02160
ko:K03439	sagg:EN73_02170
ko:K09748	sagg:EN73_02180
ko:K02600	sagg:EN73_02185
ko:K07742	sagg:EN73_02190
ko:K02519	sagg:EN73_02200
ko:K02834	sagg:EN73_02205
ko:K17686	sagg:EN73_02220
ko:K06929	sagg:EN73_02245
ko:K07729	sagg:EN73_05815
ko:K00615	sagg:EN73_01675
ko:K01990	sagg:EN73_01685
ko:K01992	sagg:EN73_01690
ko:K00931	sagg:EN73_01700
ko:K00147	sagg:EN73_01705
ko:K03438	sagg:EN73_01710
ko:K12556	sagg:EN73_01720
ko:K01000	sagg:EN73_01725
ko:K18692	sagg:EN73_01730
ko:K03734	sagg:EN73_05580
ko:K16169	sagg:EN73_05600
ko:K02030	sagg:EN73_01735
ko:K03816	sagg:EN73_05605
ko:K02029	sagg:EN73_01740
ko:K02028	sagg:EN73_01745
ko:K00384	sagg:EN73_01755
ko:K00763	sagg:EN73_01760
ko:K01916	sagg:EN73_01765
ko:K01372	sagg:EN73_01770
ko:K05366	sagg:EN73_01775
ko:K03700	sagg:EN73_01780
ko:K07444	sagg:EN73_01795
ko:K07173	sagg:EN73_01805
ko:K18682	sagg:EN73_01810
ko:K01990	sagg:EN73_01815
ko:K07778	sagg:EN73_01820
ko:K00942	sagg:EN73_01835
ko:K00364	sagg:EN73_05610
ko:K03060	sagg:EN73_01840
ko:K04066	sagg:EN73_01845
ko:K00604	sagg:EN73_01850
ko:K03500	sagg:EN73_01855
ko:K11617	sagg:EN73_01875
ko:K11618	sagg:EN73_01880
ko:K03768	sagg:EN73_01885
ko:K07570	sagg:EN73_01890
ko:K04069	sagg:EN73_01895
ko:K03549	sagg:EN73_05625
ko:K00625	sagg:EN73_05640
ko:K06180	sagg:EN73_05645
ko:K02759	sagg:EN73_01910
ko:K00858	sagg:EN73_05650
ko:K07816	sagg:EN73_05655
ko:K00948	sagg:EN73_05665
ko:K04487	sagg:EN73_05670
ko:K01926	sagg:EN73_05680
ko:K03630	sagg:EN73_05685
ko:K01223	sagg:EN73_05695
ko:K11069	sagg:EN73_05720
ko:K11070	sagg:EN73_05725
ko:K11071	sagg:EN73_05730
ko:K02760	sagg:EN73_01915
ko:K02761	sagg:EN73_01920
ko:K00656	sagg:EN73_01925
ko:K00005	sagg:EN73_01935
ko:K01738	sagg:EN73_01940
ko:K00600	sagg:EN73_05550
ko:K07566	sagg:EN73_05555
ko:K02493	sagg:EN73_05560
ko:K02835	sagg:EN73_05565
ko:K01821	sagg:EN73_05575
ko:K09825	sagg:EN73_02250
ko:K10682	sagg:EN73_02260
ko:K10681	sagg:EN73_02265
ko:K00773	sagg:EN73_02275
ko:K03523	sagg:EN73_02285
ko:K11991	sagg:EN73_02295
ko:K01810	sagg:EN73_02305
ko:K01934	sagg:EN73_02310
ko:K07335	sagg:EN73_02320
ko:K00963	sagg:EN73_02325
ko:K00057	sagg:EN73_02330
ko:K03536	sagg:EN73_02335
ko:K03217	sagg:EN73_02340
ko:K06346	sagg:EN73_02345
ko:K07586	sagg:EN73_02405
ko:K03565	sagg:EN73_02410
ko:K02348	sagg:EN73_02425
ko:K03647	sagg:EN73_02445
ko:K07006	sagg:EN73_02460
ko:K01607	sagg:EN73_02480
ko:K16264	sagg:EN73_02505
ko:K02773	sagg:EN73_02555
ko:K00537	sagg:EN73_06085
ko:K02871	sagg:EN73_01345
ko:K02996	sagg:EN73_01350
ko:K01153	sagg:EN73_01390
ko:K03427	sagg:EN73_01395
ko:K01154	sagg:EN73_01400
ko:K01154	sagg:EN73_01410
ko:K01154	sagg:EN73_01415
ko:K03655	sagg:EN73_01420
ko:K05846	sagg:EN73_01455
ko:K05845	sagg:EN73_01460
ko:K05846	sagg:EN73_01465
ko:K03790	sagg:EN73_01560
ko:K05847	sagg:EN73_01470
ko:K03088	sagg:EN73_01575
ko:K01990	sagg:EN73_01595
ko:K10947	sagg:EN73_01605
ko:K01443	sagg:EN73_01615
ko:K01878	sagg:EN73_01625
ko:K01118	sagg:EN73_01630
ko:K01879	sagg:EN73_01635
ko:K00864	sagg:EN73_01650
ko:K00105	sagg:EN73_01655
ko:K02440	sagg:EN73_01660
ko:K07052	sagg:EN73_05295
ko:K02004	sagg:EN73_05300
ko:K02003	sagg:EN73_05305
ko:K03168	sagg:EN73_05310
ko:K04096	sagg:EN73_05315
ko:K02016	sagg:EN73_05320
ko:K02013	sagg:EN73_05325
ko:K02015	sagg:EN73_05330
ko:K02015	sagg:EN73_05335
ko:K00661	sagg:EN73_05340
ko:K03470	sagg:EN73_05345
ko:K14540	sagg:EN73_05350
ko:K07705	sagg:EN73_05365
ko:K07704	sagg:EN73_05370
ko:K00609	sagg:EN73_05415
ko:K01465	sagg:EN73_05420
ko:K00762	sagg:EN73_05425
ko:K01591	sagg:EN73_05430
ko:K00133	sagg:EN73_05450
ko:K06131	sagg:EN73_05460
ko:K01938	sagg:EN73_05465
ko:K03800	sagg:EN73_05470
ko:K01598	sagg:EN73_05510
ko:K01835	sagg:EN73_05520
ko:K06147	sagg:EN73_05530
ko:K02744	sagg:EN73_09080
ko:K00046	sagg:EN73_09085
ko:K00874	sagg:EN73_09095
ko:K01625	sagg:EN73_09100
ko:K07078	sagg:EN73_09110
ko:K03763	sagg:EN73_09120
ko:K01881	sagg:EN73_09130
ko:K11749	sagg:EN73_09135
ko:K01246	sagg:EN73_10025
ko:K03550	sagg:EN73_10030
ko:K00262	sagg:EN73_06565
ko:K08152	sagg:EN73_10035
ko:K03572	sagg:EN73_10040
ko:K03704	sagg:EN73_10045
ko:K03555	sagg:EN73_10050
ko:K03402	sagg:EN73_10055
ko:K01887	sagg:EN73_10060
ko:K01876	sagg:EN73_10080
ko:K18888	sagg:EN73_06575
ko:K01892	sagg:EN73_10085
ko:K02911	sagg:EN73_10090
ko:K02913	sagg:EN73_10095
ko:K18887	sagg:EN73_06580
ko:K02935	sagg:EN73_06405
ko:K02864	sagg:EN73_06410
ko:K04086	sagg:EN73_06415
ko:K00547	sagg:EN73_06420
ko:K16235	sagg:EN73_06425
ko:K03978	sagg:EN73_06445
ko:K03544	sagg:EN73_06450
ko:K01641	sagg:EN73_06470
ko:K00054	sagg:EN73_06475
ko:K03828	sagg:EN73_06585
ko:K11068	sagg:EN73_06485
ko:K01823	sagg:EN73_06505
ko:K00938	sagg:EN73_06510
ko:K01597	sagg:EN73_06515
ko:K00869	sagg:EN73_06520
ko:K15738	sagg:EN73_06590
ko:K01081	sagg:EN73_06555
ko:K01462	sagg:EN73_06560
ko:K00974	sagg:EN73_06595
ko:K02768	sagg:EN73_06620
ko:K02769	sagg:EN73_06620
ko:K02770	sagg:EN73_06620
ko:K00882	sagg:EN73_06625
ko:K03436	sagg:EN73_06630
ko:K12554	sagg:EN73_06635
ko:K00926	sagg:EN73_10225
ko:K00611	sagg:EN73_10230
ko:K07717	sagg:EN73_10235
ko:K07719	sagg:EN73_10240
ko:K05847	sagg:EN73_10245
ko:K05845	sagg:EN73_10250
ko:K05846	sagg:EN73_10250
ko:K14205	sagg:EN73_10255
ko:K08987	sagg:EN73_10265
ko:K01421	sagg:EN73_10270
ko:K02986	sagg:EN73_10285
ko:K02939	sagg:EN73_10300
ko:K03495	sagg:EN73_10310
ko:K05595	sagg:EN73_10315
ko:K00566	sagg:EN73_10320
ko:K01752	sagg:EN73_10325
ko:K01752	sagg:EN73_10330
ko:K16785	sagg:EN73_10345
ko:K16787	sagg:EN73_10350
ko:K16786	sagg:EN73_10355
ko:K00995	sagg:EN73_10360
ko:K03629	sagg:EN73_10380
ko:K05340	sagg:EN73_10385
ko:K00088	sagg:EN73_10395
ko:K03402	sagg:EN73_10400
ko:K01478	sagg:EN73_10415
ko:K00611	sagg:EN73_10425
ko:K03758	sagg:EN73_10430
ko:K00926	sagg:EN73_10435
ko:K01867	sagg:EN73_10440
ko:K00783	sagg:EN73_10480
ko:K07492	sagg:EN73_08975
ko:K02032	sagg:EN73_01230
ko:K02031	sagg:EN73_01225
ko:K00983	sagg:EN73_05975
ko:K01071	sagg:EN73_04895
ko:K11045	sagg:EN73_09665
ko:K03111	sagg:EN73_01180
ko:K07473	sagg:EN73_09660
ko:K00520	sagg:EN73_09675
ko:K05593	sagg:EN73_09700
ko:K03111	sagg:EN73_03330
ko:K03497	sagg:EN73_00005
ko:K03111	sagg:EN73_08400
ko:K07029	sagg:EN73_04690
ko:K19002	sagg:EN73_03995
ko:K19055	sagg:EN73_07610
ko:K18979	sagg:EN73_03045
ko:K12990	sagg:EN73_07025
ko:K13052	sagg:EN73_00055
ko:K07483	sagg:EN73_06325
ko:K07483	sagg:EN73_06390
ko:K15051	sagg:EN73_03680
ko:K19005	sagg:EN73_06865
ko:K19119	sagg:EN73_02670
ko:K11049	sagg:EN73_03755
ko:K11048	sagg:EN73_03750
ko:K19159	sagg:EN73_09545
ko:K08652	sagg:EN73_06360
ko:K02476	sagg:EN73_09170
ko:K02475	sagg:EN73_09175
ko:K08652	sagg:EN73_02430
ko:K09951	sagg:EN73_02695
ko:K11052	sagg:EN73_03780
ko:K11047	sagg:EN73_03745
ko:K19158	sagg:EN73_09540
ko:K11056	sagg:EN73_03800
ko:K11055	sagg:EN73_03795
ko:K11054	sagg:EN73_03790
ko:K01897	sagg:EN73_02800
ko:K01239	sagg:EN73_03100
ko:K01621	sagg:EN73_08815
ko:K05881	sagg:EN73_08090
ko:K01710	sagg:EN73_06170
ko:K09951	sagg:EN73_04920
ko:K19117	sagg:EN73_02675
ko:K19118	sagg:EN73_02680
ko:K19137	sagg:EN73_04925
ko:K03722	sagg:EN73_03080
ko:K01992	sagg:EN73_01590
ko:K19302	sagg:EN73_06975
ko:K04771	sagg:EN73_10485
ko:K02755	sagg:EN73_01695
ko:K02756	sagg:EN73_01695
ko:K02757	sagg:EN73_01695
ko:K06881	sagg:EN73_03140
ko:K01654	sagg:EN73_05990
ko:K00887	sagg:EN73_07395
ko:K02796	sagg:EN73_02085
ko:K02796	sagg:EN73_09310
ko:K07497	sagg:EN73_06285
ko:K11045	sagg:EN73_09775
ko:K01271	sagg:EN73_03975
ko:K00526	sagg:EN73_04525
ko:K19689	sagg:EN73_07260
ko:K01978	sagg:EN73_10490
ko:K00547	sagg:EN73_09795
ko:K00297	sagg:EN73_09795
ko:K21636	sagg:EN73_09980
ko:K11706	sagg:EN73_07540
ko:K11705	sagg:EN73_07535
ko:K20074	sagg:EN73_01860
ko:K12132	sagg:EN73_01865
ko:K20073	sagg:EN73_01800
ko:K20112	sagg:EN73_09240
ko:K02777	sagg:EN73_09360
ko:K20107	sagg:EN73_09360
ko:K20108	sagg:EN73_09360
ko:K20114	sagg:EN73_09230
ko:K20113	sagg:EN73_09235
ko:K20342	sagg:EN73_00415
ko:K20373	sagg:EN73_07350
ko:K00525	sagg:EN73_04530
ko:K00526	sagg:EN73_02440
ko:K18889	sagg:EN73_02765
ko:K18890	sagg:EN73_02770
ko:K02525	sagg:EN73_08860
ko:K01200	sagg:EN73_04695
ko:K14233	sagg:EN73_00225
ko:K14233	sagg:EN73_01515
ko:K14233	sagg:EN73_00640
ko:K01977	sagg:EN73_00085
ko:K01977	sagg:EN73_01010
ko:K01977	sagg:EN73_01965
ko:K01977	sagg:EN73_01475
ko:K01977	sagg:EN73_02350
ko:K01977	sagg:EN73_00600
ko:K01977	sagg:EN73_00150
ko:K01980	sagg:EN73_00095
ko:K01980	sagg:EN73_01020
ko:K01980	sagg:EN73_01485
ko:K01980	sagg:EN73_01975
ko:K01980	sagg:EN73_00610
ko:K01980	sagg:EN73_00160
ko:K01980	sagg:EN73_02360
ko:K21064	sagg:EN73_02100
ko:K08968	sagg:EN73_04570
ko:K14228	sagg:EN73_00790
ko:K14225	sagg:EN73_00240
ko:K14225	sagg:EN73_01500
ko:K14225	sagg:EN73_00625
ko:K14219	sagg:EN73_05920
ko:K14230	sagg:EN73_00230
ko:K14230	sagg:EN73_00645
ko:K14230	sagg:EN73_01520
ko:K14227	sagg:EN73_00630
ko:K14227	sagg:EN73_02395
ko:K14227	sagg:EN73_01505
ko:K14227	sagg:EN73_00245
ko:K14233	sagg:EN73_00250
ko:K14224	sagg:EN73_00635
ko:K14224	sagg:EN73_01510
ko:K14224	sagg:EN73_02400
ko:K14224	sagg:EN73_10470
ko:K14224	sagg:EN73_06670
ko:K14236	sagg:EN73_00655
ko:K14236	sagg:EN73_01530
ko:K14236	sagg:EN73_05935
ko:K14226	sagg:EN73_00665
ko:K14226	sagg:EN73_01540
ko:K01985	sagg:EN73_00100
ko:K01985	sagg:EN73_00165
ko:K01985	sagg:EN73_01980
ko:K01985	sagg:EN73_01490
ko:K01985	sagg:EN73_02365
ko:K01985	sagg:EN73_01025
ko:K01985	sagg:EN73_00615
ko:K00525	sagg:EN73_02450
ko:K14221	sagg:EN73_00110
ko:K14221	sagg:EN73_00175
ko:K14221	sagg:EN73_02375
ko:K14236	sagg:EN73_03405
ko:K02316	sagg:EN73_07105
ko:K02315	sagg:EN73_03295
ko:K07474	sagg:EN73_03425
ko:K06217	sagg:EN73_07420
ko:K06191	sagg:EN73_04535
ko:K01493	sagg:EN73_08360
ko:K01520	sagg:EN73_00795
ko:K01286	sagg:EN73_00975
ko:K00857	sagg:EN73_05570
ko:K06223	sagg:EN73_09490
ko:K04068	sagg:EN73_09960
ko:K03553	sagg:EN73_10015
ko:K00287	sagg:EN73_06460
ko:K00560	sagg:EN73_06465
ko:K02314	sagg:EN73_10295
ko:K14235	sagg:EN73_00660
ko:K14235	sagg:EN73_01535
ko:K02335	sagg:EN73_02240
ko:K00571	sagg:EN73_01120
ko:K14220	sagg:EN73_01030
ko:K14220	sagg:EN73_01985
ko:K14220	sagg:EN73_10465
ko:K14222	sagg:EN73_09005
ko:K14228	sagg:EN73_00120
ko:K14228	sagg:EN73_02385
ko:K14228	sagg:EN73_00185
ko:K14228	sagg:EN73_00135
ko:K14228	sagg:EN73_00200
ko:K14228	sagg:EN73_00675
ko:K14228	sagg:EN73_01550
ko:K14234	sagg:EN73_00125
ko:K14234	sagg:EN73_02390
ko:K14234	sagg:EN73_00190
ko:K14234	sagg:EN73_02530
ko:K14225	sagg:EN73_00130
ko:K14225	sagg:EN73_00195
ko:K14219	sagg:EN73_00140
ko:K14219	sagg:EN73_00205
ko:K14219	sagg:EN73_03170
ko:K14219	sagg:EN73_10475
ko:K14230	sagg:EN73_00215
ko:K14230	sagg:EN73_00220
ko:K14229	sagg:EN73_09455
ko:K14232	sagg:EN73_00145
ko:K14232	sagg:EN73_00210
ko:K14231	sagg:EN73_00235
ko:K14231	sagg:EN73_00650
ko:K14231	sagg:EN73_01525
ko:K14223	sagg:EN73_00670
ko:K14223	sagg:EN73_06675
ko:K14223	sagg:EN73_01545
ko:K14223	sagg:EN73_05930
ko:K14218	sagg:EN73_00090
ko:K14218	sagg:EN73_01970
ko:K14218	sagg:EN73_00155
ko:K14218	sagg:EN73_01480
ko:K14218	sagg:EN73_02355
ko:K14218	sagg:EN73_01015
ko:K14218	sagg:EN73_00605
ko:K14229	sagg:EN73_00115
ko:K14229	sagg:EN73_00180
ko:K14229	sagg:EN73_02380
ko:K14237	sagg:EN73_00105
ko:K14237	sagg:EN73_02370
ko:K14237	sagg:EN73_00170
ko:K14237	sagg:EN73_01495
ko:K14237	sagg:EN73_00620
ko:K14233	sagg:EN73_02175
ko:K01759	sagg:EN73_07580
ko:K01101	sagg:EN73_04900
ko:K07497	sagg:EN73_07115
ko:K07497	sagg:EN73_07200
ko:K07497	sagg:EN73_07515
ko:K21471	sagg:EN73_00255
ko:K00863	sagg:EN73_08065
ko:K21567	sagg:EN73_06655
ko:K21828	sagg:EN73_10405
ko:K08365	sagg:EN73_09680
ko:K21977	sagg:EN73_05505
ko:K22044	sagg:EN73_00765
ko:K00015	sagg:EN73_08850
ko:K03595	sagg:EN73_07390
ko:K03078	sagg:EN73_08880
ko:K22278	sagg:EN73_04555
ko:K17758	sagg:EN73_02935
ko:K03077	sagg:EN73_08870
ko:K03079	sagg:EN73_08875
ko:K22457	sagg:EN73_03085
