ko:K02495	seb:STM474_4182
ko:K10016	seb:STM474_2450
ko:K03186	seb:STM474_2454
ko:K01586	seb:STM474_2458
ko:K06714	seb:STM474_2459
ko:K00764	seb:STM474_2460
ko:K03558	seb:STM474_2461
ko:K03749	seb:STM474_2463
ko:K11754	seb:STM474_2464
ko:K01963	seb:STM474_2465
ko:K03975	seb:STM474_2466
ko:K06173	seb:STM474_2467
ko:K03473	seb:STM474_2469
ko:K11903	seb:STM474_3280
ko:K01638	seb:STM474_4372
ko:K01637	seb:STM474_4373
ko:K00906	seb:STM474_4375
ko:K03324	seb:STM474_4379
ko:K05995	seb:STM474_4380
ko:K09912	seb:STM474_4382
ko:K06182	seb:STM474_4383
ko:K03453	seb:STM474_4385
ko:K07306	seb:STM474_2632
ko:K05367	seb:STM474_2633
ko:K06894	seb:STM474_2634
ko:K07751	seb:STM474_2640
ko:K04755	seb:STM474_2642
ko:K04044	seb:STM474_2643
ko:K04082	seb:STM474_2644
ko:K04487	seb:STM474_2647
ko:K13643	seb:STM474_2648
ko:K15396	seb:STM474_2649
ko:K05820	seb:STM474_2658
ko:K00600	seb:STM474_2659
ko:K05916	seb:STM474_2661
ko:K03765	seb:STM474_2662
ko:K03305	seb:STM474_2665
ko:K04751	seb:STM474_2666
ko:K07715	seb:STM474_2667
ko:K07711	seb:STM474_2669
ko:K01952	seb:STM474_2670
ko:K11991	seb:STM474_2673
ko:K07106	seb:STM474_2676
ko:K00077	seb:STM474_2678
ko:K08177	seb:STM474_2679
ko:K00997	seb:STM474_2682
ko:K03474	seb:STM474_2683
ko:K00266	seb:STM474_3491
ko:K10974	seb:STM474_3493
ko:K00885	seb:STM474_3496
ko:K03290	seb:STM474_3498
ko:K03600	seb:STM474_3501
ko:K03599	seb:STM474_3502
ko:K02996	seb:STM474_3504
ko:K02871	seb:STM474_3505
ko:K06916	seb:STM474_3506
ko:K09908	seb:STM474_3507
ko:K04691	seb:STM474_3509
ko:K01573	seb:STM474_3513
ko:K03780	seb:STM474_3514
ko:K00024	seb:STM474_3519
ko:K03402	seb:STM474_3520
ko:K03623	seb:STM474_3523
ko:K03468	seb:STM474_3524
ko:K15548	seb:STM474_3525
ko:K03568	seb:STM474_3529
ko:K08301	seb:STM474_3531
ko:K06287	seb:STM474_3532
ko:K03571	seb:STM474_3533
ko:K03570	seb:STM474_3534
ko:K03569	seb:STM474_3535
ko:K02160	seb:STM474_3541
ko:K01961	seb:STM474_3542
ko:K07740	seb:STM474_4351
ko:K03426	seb:STM474_4352
ko:K01599	seb:STM474_4353
ko:K05982	seb:STM474_4354
ko:K09891	seb:STM474_4355
ko:K05787	seb:STM474_4356
ko:K07803	seb:STM474_4358
ko:K01945	seb:STM474_4361
ko:K00602	seb:STM474_4362
ko:K03827	seb:STM474_4370
ko:K00651	seb:STM474_4371
ko:K01494	seb:STM474_2206
ko:K00876	seb:STM474_2207
ko:K01247	seb:STM474_2210
ko:K04046	seb:STM474_2211
ko:K07799	seb:STM474_2213
ko:K07788	seb:STM474_2214
ko:K07789	seb:STM474_2215
ko:K07642	seb:STM474_2217
ko:K07664	seb:STM474_2218
ko:K08303	seb:STM474_2222
ko:K08169	seb:STM474_1866
ko:K03799	seb:STM474_1867
ko:K03797	seb:STM474_1868
ko:K03607	seb:STM474_1869
ko:K03808	seb:STM474_1871
ko:K07156	seb:STM474_1907
ko:K10857	seb:STM474_1910
ko:K01354	seb:STM474_1911
ko:K09918	seb:STM474_1914
ko:K08289	seb:STM474_1915
ko:K01625	seb:STM474_1916
ko:K01690	seb:STM474_1917
ko:K00036	seb:STM474_1918
ko:K00873	seb:STM474_1920
ko:K02560	seb:STM474_1921
ko:K09817	seb:STM474_1924
ko:K09816	seb:STM474_1925
ko:K03551	seb:STM474_1926
ko:K03550	seb:STM474_1927
ko:K01159	seb:STM474_1931
ko:K08310	seb:STM474_1933
ko:K01876	seb:STM474_1934
ko:K07136	seb:STM474_1937
ko:K15256	seb:STM474_1938
ko:K15257	seb:STM474_1939
ko:K09907	seb:STM474_1941
ko:K01887	seb:STM474_1942
ko:K05515	seb:STM474_1943
ko:K15532	seb:STM474_1944
ko:K03516	seb:STM474_1945
ko:K02400	seb:STM474_1946
ko:K02401	seb:STM474_1947
ko:K03414	seb:STM474_1948
ko:K03413	seb:STM474_1949
ko:K03412	seb:STM474_1950
ko:K03408	seb:STM474_1953
ko:K03407	seb:STM474_1954
ko:K02557	seb:STM474_1955
ko:K02556	seb:STM474_1956
ko:K02402	seb:STM474_1957
ko:K02403	seb:STM474_1958
ko:K14064	seb:STM474_1959
ko:K00697	seb:STM474_1960
ko:K01087	seb:STM474_1961
ko:K02255	seb:STM474_1964
ko:K02217	seb:STM474_1967
ko:K03834	seb:STM474_1969
ko:K07039	seb:STM474_1970
ko:K00995	seb:STM474_1977
ko:K03703	seb:STM474_1978
ko:K07689	seb:STM474_1979
ko:K10010	seb:STM474_1982
ko:K10009	seb:STM474_1983
ko:K02424	seb:STM474_1985
ko:K02425	seb:STM474_1986
ko:K02405	seb:STM474_1987
ko:K02406	seb:STM474_1990
ko:K02407	seb:STM474_1992
ko:K02422	seb:STM474_1993
ko:K02423	seb:STM474_1994
ko:K07112	seb:STM474_1997
ko:K02408	seb:STM474_1999
ko:K02409	seb:STM474_2001
ko:K02410	seb:STM474_2002
ko:K02411	seb:STM474_2003
ko:K02412	seb:STM474_2004
ko:K02413	seb:STM474_2005
ko:K02415	seb:STM474_2007
ko:K02416	seb:STM474_2008
ko:K02417	seb:STM474_2009
ko:K02418	seb:STM474_2010
ko:K02419	seb:STM474_2011
ko:K02420	seb:STM474_2012
ko:K02421	seb:STM474_2013
ko:K07781	seb:STM474_2014
ko:K07026	seb:STM474_2017
ko:K09781	seb:STM474_2020
ko:K07458	seb:STM474_2022
ko:K06950	seb:STM474_2024
ko:K03704	seb:STM474_2028
ko:K03645	seb:STM474_0718
ko:K01581	seb:STM474_0722
ko:K07667	seb:STM474_0724
ko:K07646	seb:STM474_0725
ko:K01548	seb:STM474_0726
ko:K01547	seb:STM474_0727
ko:K01546	seb:STM474_0728
ko:K01669	seb:STM474_0731
ko:K03305	seb:STM474_0732
ko:K07160	seb:STM474_0736
ko:K07357	seb:STM474_0738
ko:K01647	seb:STM474_0753
ko:K00242	seb:STM474_0756
ko:K00239	seb:STM474_0757
ko:K00240	seb:STM474_0758
ko:K00164	seb:STM474_0759
ko:K00658	seb:STM474_0760
ko:K01903	seb:STM474_0761
ko:K01902	seb:STM474_0762
ko:K00425	seb:STM474_0765
ko:K00426	seb:STM474_0766
ko:K07107	seb:STM474_0769
ko:K03562	seb:STM474_0770
ko:K03641	seb:STM474_0773
ko:K03640	seb:STM474_0774
ko:K04651	seb:STM474_1541
ko:K03618	seb:STM474_1543
ko:K03619	seb:STM474_1544
ko:K04653	seb:STM474_1545
ko:K03620	seb:STM474_1547
ko:K02529	seb:STM474_1567
ko:K03315	seb:STM474_1568
ko:K14155	seb:STM474_1569
ko:K06044	seb:STM474_1571
ko:K02972	seb:STM474_1577
ko:K08349	seb:STM474_1582
ko:K02575	seb:STM474_1589
ko:K07140	seb:STM474_1052
ko:K09933	seb:STM474_2081
ko:K01241	seb:STM474_2092
ko:K00768	seb:STM474_2101
ko:K02233	seb:STM474_2102
ko:K02231	seb:STM474_2103
ko:K02232	seb:STM474_2104
ko:K02007	seb:STM474_2108
ko:K03394	seb:STM474_2109
ko:K05895	seb:STM474_2111
ko:K02189	seb:STM474_2113
ko:K05936	seb:STM474_2114
ko:K02191	seb:STM474_2115
ko:K02188	seb:STM474_2117
ko:K06042	seb:STM474_2118
ko:K02227	seb:STM474_2119
ko:K02224	seb:STM474_2120
ko:K13919	seb:STM474_2126
ko:K13920	seb:STM474_2127
ko:K00990	seb:STM474_0223
ko:K01265	seb:STM474_0224
ko:K02967	seb:STM474_0225
ko:K02357	seb:STM474_0226
ko:K09903	seb:STM474_0227
ko:K02838	seb:STM474_0228
ko:K00099	seb:STM474_0229
ko:K00806	seb:STM474_0230
ko:K00981	seb:STM474_0231
ko:K11749	seb:STM474_0232
ko:K07277	seb:STM474_0233
ko:K06142	seb:STM474_0234
ko:K02536	seb:STM474_0235
ko:K02372	seb:STM474_0236
ko:K00677	seb:STM474_0237
ko:K00748	seb:STM474_0238
ko:K03470	seb:STM474_0239
ko:K02337	seb:STM474_0240
ko:K01962	seb:STM474_0241
ko:K04075	seb:STM474_0245
ko:K15034	seb:STM474_0249
ko:K06079	seb:STM474_0250
ko:K01881	seb:STM474_0251
ko:K06080	seb:STM474_0253
ko:K02073	seb:STM474_0254
ko:K02072	seb:STM474_0255
ko:K02071	seb:STM474_0256
ko:K03273	seb:STM474_0257
ko:K06222	seb:STM474_0266
ko:K08307	seb:STM474_0271
ko:K11902	seb:STM474_0277
ko:K11895	seb:STM474_0278
ko:K12297	seb:STM474_1053
ko:K15738	seb:STM474_1054
ko:K03808	seb:STM474_1055
ko:K06192	seb:STM474_1056
ko:K09857	seb:STM474_1057
ko:K03812	seb:STM474_1058
ko:K01716	seb:STM474_1059
ko:K04770	seb:STM474_1060
ko:K09911	seb:STM474_1061
ko:K03658	seb:STM474_1067
ko:K01734	seb:STM474_1068
ko:K06929	seb:STM474_1070
ko:K11940	seb:STM474_1071
ko:K06969	seb:STM474_1072
ko:K01512	seb:STM474_1075
ko:K07127	seb:STM474_1089
ko:K05921	seb:STM474_1093
ko:K00455	seb:STM474_1095
ko:K02509	seb:STM474_1097
ko:K02511	seb:STM474_1099
ko:K02508	seb:STM474_1100
ko:K05516	seb:STM474_1105
ko:K03517	seb:STM474_0781
ko:K03811	seb:STM474_0782
ko:K01626	seb:STM474_0785
ko:K01678	seb:STM474_0786
ko:K01677	seb:STM474_0787
ko:K01573	seb:STM474_0791
ko:K02015	seb:STM474_0795
ko:K02013	seb:STM474_0796
ko:K00849	seb:STM474_0799
ko:K00965	seb:STM474_0800
ko:K05776	seb:STM474_0803
ko:K02019	seb:STM474_0804
ko:K02020	seb:STM474_0806
ko:K02018	seb:STM474_0807
ko:K01051	seb:STM474_0811
ko:K01468	seb:STM474_0812
ko:K05836	seb:STM474_0814
ko:K01712	seb:STM474_0815
ko:K01745	seb:STM474_0816
ko:K00833	seb:STM474_0819
ko:K01012	seb:STM474_0820
ko:K02169	seb:STM474_0822
ko:K01935	seb:STM474_0823
ko:K03702	seb:STM474_0824
ko:K03639	seb:STM474_0827
ko:K03638	seb:STM474_0828
ko:K03637	seb:STM474_0829
ko:K03636	seb:STM474_0830
ko:K00675	seb:STM474_1595
ko:K11738	seb:STM474_1597
ko:K03823	seb:STM474_1603
ko:K09936	seb:STM474_1604
ko:K00137	seb:STM474_1610
ko:K08641	seb:STM474_1612
ko:K08303	seb:STM474_1616
ko:K05782	seb:STM474_1618
ko:K03304	seb:STM474_1621
ko:K03817	seb:STM474_1623
ko:K02774	seb:STM474_1625
ko:K02773	seb:STM474_1628
ko:K05876	seb:STM474_1638
ko:K12524	seb:STM474_0002
ko:K00872	seb:STM474_0003
ko:K01733	seb:STM474_0004
ko:K09861	seb:STM474_0005
ko:K03310	seb:STM474_0006
ko:K03831	seb:STM474_0008
ko:K04043	seb:STM474_0013
ko:K03686	seb:STM474_0014
ko:K07347	seb:STM474_0024
ko:K06871	seb:STM474_0039
ko:K03313	seb:STM474_0042
ko:K03717	seb:STM474_0043
ko:K01811	seb:STM474_0044
ko:K02968	seb:STM474_0046
ko:K11753	seb:STM474_0048
ko:K01870	seb:STM474_0049
ko:K03101	seb:STM474_0050
ko:K03774	seb:STM474_0051
ko:K03527	seb:STM474_0052
ko:K12700	seb:STM474_0054
ko:K07702	seb:STM474_0055
ko:K07700	seb:STM474_0056
ko:K06890	seb:STM474_0832
ko:K06890	seb:STM474_0833
ko:K01993	seb:STM474_0844
ko:K11927	seb:STM474_0846
ko:K10037	seb:STM474_0854
ko:K10036	seb:STM474_0855
ko:K04047	seb:STM474_0856
ko:K11939	seb:STM474_0857
ko:K11934	seb:STM474_0858
ko:K11924	seb:STM474_0860
ko:K00656	seb:STM474_0868
ko:K04069	seb:STM474_0869
ko:K03750	seb:STM474_0871
ko:K13051	seb:STM474_0872
ko:K13892	seb:STM474_0873
ko:K13889	seb:STM474_0874
ko:K13890	seb:STM474_0875
ko:K13891	seb:STM474_0876
ko:K14441	seb:STM474_0877
ko:K03521	seb:STM474_0881
ko:K03522	seb:STM474_0882
ko:K00311	seb:STM474_0884
ko:K02029	seb:STM474_1646
ko:K02029	seb:STM474_1648
ko:K03578	seb:STM474_1653
ko:K01118	seb:STM474_1654
ko:K09978	seb:STM474_1656
ko:K03778	seb:STM474_1659
ko:K03737	seb:STM474_1663
ko:K14058	seb:STM474_1667
ko:K05591	seb:STM474_1668
ko:K14055	seb:STM474_1674
ko:K15580	seb:STM474_1692
ko:K14054	seb:STM474_1693
ko:K11065	seb:STM474_1695
ko:K03721	seb:STM474_1696
ko:K08990	seb:STM474_1697
ko:K06918	seb:STM474_1698
ko:K03584	seb:STM474_2684
ko:K03685	seb:STM474_2686
ko:K03100	seb:STM474_2687
ko:K03596	seb:STM474_2688
ko:K14392	seb:STM474_3544
ko:K02687	seb:STM474_3545
ko:K03557	seb:STM474_3547
ko:K00014	seb:STM474_3566
ko:K07566	seb:STM474_3567
ko:K07479	seb:STM474_3568
ko:K04096	seb:STM474_3570
ko:K01462	seb:STM474_3571
ko:K00604	seb:STM474_3572
ko:K03500	seb:STM474_3573
ko:K03282	seb:STM474_3575
ko:K09890	seb:STM474_3576
ko:K02879	seb:STM474_3579
ko:K03040	seb:STM474_3580
ko:K02986	seb:STM474_3581
ko:K02948	seb:STM474_3582
ko:K02952	seb:STM474_3583
ko:K02919	seb:STM474_3584
ko:K03076	seb:STM474_3585
ko:K02876	seb:STM474_3586
ko:K02907	seb:STM474_3587
ko:K02988	seb:STM474_3588
ko:K02881	seb:STM474_3589
ko:K02933	seb:STM474_3590
ko:K02994	seb:STM474_3591
ko:K02954	seb:STM474_3592
ko:K02931	seb:STM474_3593
ko:K02895	seb:STM474_3594
ko:K02874	seb:STM474_3595
ko:K02961	seb:STM474_3596
ko:K02904	seb:STM474_3597
ko:K02878	seb:STM474_3598
ko:K00928	seb:STM474_4414
ko:K01810	seb:STM474_4415
ko:K13256	seb:STM474_4420
ko:K02024	seb:STM474_4425
ko:K05775	seb:STM474_4426
ko:K03181	seb:STM474_4427
ko:K03179	seb:STM474_4428
ko:K00631	seb:STM474_4429
ko:K00901	seb:STM474_4430
ko:K01356	seb:STM474_4431
ko:K03327	seb:STM474_4432
ko:K09823	seb:STM474_4435
ko:K05539	seb:STM474_4437
ko:K01775	seb:STM474_4441
ko:K00832	seb:STM474_4442
ko:K03788	seb:STM474_4443
ko:K03701	seb:STM474_4448
ko:K13631	seb:STM474_4460
ko:K11896	seb:STM474_0279
ko:K11897	seb:STM474_0280
ko:K11898	seb:STM474_0281
ko:K11907	seb:STM474_0283
ko:K11901	seb:STM474_0284
ko:K11900	seb:STM474_0285
ko:K11903	seb:STM474_0288
ko:K11903	seb:STM474_0291
ko:K11906	seb:STM474_0292
ko:K11893	seb:STM474_0293
ko:K11892	seb:STM474_0294
ko:K11891	seb:STM474_0297
ko:K11890	seb:STM474_0298
ko:K07347	seb:STM474_0315
ko:K03271	seb:STM474_0325
ko:K02346	seb:STM474_0328
ko:K02839	seb:STM474_0330
ko:K11750	seb:STM474_0333
ko:K11926	seb:STM474_0334
ko:K01085	seb:STM474_1110
ko:K03809	seb:STM474_1112
ko:K13821	seb:STM474_1118
ko:K12972	seb:STM474_1130
ko:K06214	seb:STM474_1134
ko:K04338	seb:STM474_1135
ko:K04337	seb:STM474_1136
ko:K04335	seb:STM474_1138
ko:K04334	seb:STM474_1139
ko:K04336	seb:STM474_1140
ko:K11941	seb:STM474_1144
ko:K03670	seb:STM474_1145
ko:K03669	seb:STM474_1146
ko:K12147	seb:STM474_1148
ko:K02517	seb:STM474_1150
ko:K07146	seb:STM474_1151
ko:K02846	seb:STM474_1156
ko:K12148	seb:STM474_1157
ko:K12149	seb:STM474_1158
ko:K01465	seb:STM474_1159
ko:K00931	seb:STM474_0337
ko:K00147	seb:STM474_0338
ko:K01704	seb:STM474_0345
ko:K07347	seb:STM474_0353
ko:K07345	seb:STM474_0355
ko:K00425	seb:STM474_0374
ko:K00426	seb:STM474_0375
ko:K03329	seb:STM474_0380
ko:K02688	seb:STM474_0382
ko:K01720	seb:STM474_0385
ko:K01908	seb:STM474_0386
ko:K01698	seb:STM474_0387
ko:K03675	seb:STM474_1161
ko:K08162	seb:STM474_1162
ko:K03790	seb:STM474_1163
ko:K09915	seb:STM474_1164
ko:K03980	seb:STM474_1166
ko:K02399	seb:STM474_1167
ko:K02398	seb:STM474_1168
ko:K02386	seb:STM474_1169
ko:K02387	seb:STM474_1170
ko:K02388	seb:STM474_1171
ko:K02389	seb:STM474_1172
ko:K02390	seb:STM474_1173
ko:K02391	seb:STM474_1174
ko:K02392	seb:STM474_1175
ko:K02393	seb:STM474_1176
ko:K02394	seb:STM474_1177
ko:K02395	seb:STM474_1178
ko:K02396	seb:STM474_1179
ko:K02397	seb:STM474_1180
ko:K08300	seb:STM474_1181
ko:K07040	seb:STM474_1186
ko:K02911	seb:STM474_1188
ko:K03621	seb:STM474_1189
ko:K00648	seb:STM474_1190
ko:K00645	seb:STM474_1191
ko:K02078	seb:STM474_1193
ko:K09458	seb:STM474_1194
ko:K07082	seb:STM474_1196
ko:K00943	seb:STM474_1197
ko:K02341	seb:STM474_1198
ko:K03424	seb:STM474_1199
ko:K07337	seb:STM474_1204
ko:K07251	seb:STM474_1205
ko:K01207	seb:STM474_1206
ko:K07000	seb:STM474_1207
ko:K03885	seb:STM474_1208
ko:K12151	seb:STM474_1211
ko:K03723	seb:STM474_1213
ko:K09808	seb:STM474_1214
ko:K01573	seb:STM474_0059
ko:K01910	seb:STM474_0061
ko:K01646	seb:STM474_0062
ko:K01644	seb:STM474_0063
ko:K01643	seb:STM474_0064
ko:K05964	seb:STM474_0065
ko:K00215	seb:STM474_0067
ko:K01956	seb:STM474_0069
ko:K01955	seb:STM474_0070
ko:K08277	seb:STM474_0071
ko:K02182	seb:STM474_0074
ko:K08297	seb:STM474_0076
ko:K05245	seb:STM474_0077
ko:K03521	seb:STM474_0079
ko:K03522	seb:STM474_0080
ko:K00313	seb:STM474_0081
ko:K08368	seb:STM474_0084
ko:K11746	seb:STM474_0089
ko:K06195	seb:STM474_0093
ko:K02528	seb:STM474_0094
ko:K00097	seb:STM474_0095
ko:K03771	seb:STM474_0096
ko:K04744	seb:STM474_0097
ko:K05801	seb:STM474_0098
ko:K03580	seb:STM474_0100
ko:K02336	seb:STM474_0101
ko:K01804	seb:STM474_0105
ko:K02063	seb:STM474_0110
ko:K02064	seb:STM474_0111
ko:K11534	seb:STM474_0890
ko:K08160	seb:STM474_0892
ko:K07085	seb:STM474_0896
ko:K11073	seb:STM474_0902
ko:K11076	seb:STM474_0903
ko:K11075	seb:STM474_0904
ko:K11074	seb:STM474_0905
ko:K03212	seb:STM474_0907
ko:K09996	seb:STM474_0911
ko:K09999	seb:STM474_0913
ko:K09997	seb:STM474_0914
ko:K11066	seb:STM474_0918
ko:K01620	seb:STM474_0921
ko:K00156	seb:STM474_0922
ko:K11933	seb:STM474_0923
ko:K09824	seb:STM474_0927
ko:K13888	seb:STM474_0928
ko:K05685	seb:STM474_0929
ko:K03704	seb:STM474_0930
ko:K06891	seb:STM474_0931
ko:K03694	seb:STM474_0932
ko:K03971	seb:STM474_1700
ko:K03970	seb:STM474_1702
ko:K03969	seb:STM474_1703
ko:K03974	seb:STM474_1704
ko:K00208	seb:STM474_1714
ko:K01147	seb:STM474_1716
ko:K14051	seb:STM474_1717
ko:K04062	seb:STM474_1720
ko:K03113	seb:STM474_1721
ko:K01591	seb:STM474_1722
ko:K01681	seb:STM474_1727
ko:K13634	seb:STM474_1730
ko:K03168	seb:STM474_1731
ko:K06178	seb:STM474_1736
ko:K07053	seb:STM474_1738
ko:K01657	seb:STM474_1740
ko:K13497	seb:STM474_1741
ko:K13498	seb:STM474_1742
ko:K01696	seb:STM474_1743
ko:K01695	seb:STM474_1744
ko:K07217	seb:STM474_1748
ko:K07275	seb:STM474_1749
ko:K06940	seb:STM474_1750
ko:K06190	seb:STM474_1752
ko:K10806	seb:STM474_1753
ko:K11925	seb:STM474_0113
ko:K01704	seb:STM474_0116
ko:K01703	seb:STM474_0117
ko:K00052	seb:STM474_0118
ko:K01649	seb:STM474_0119
ko:K05798	seb:STM474_0121
ko:K01652	seb:STM474_0122
ko:K01653	seb:STM474_0123
ko:K03435	seb:STM474_0124
ko:K03925	seb:STM474_0125
ko:K03438	seb:STM474_0126
ko:K03586	seb:STM474_0127
ko:K03587	seb:STM474_0128
ko:K01928	seb:STM474_0129
ko:K01929	seb:STM474_0130
ko:K01000	seb:STM474_0131
ko:K01925	seb:STM474_0132
ko:K03588	seb:STM474_0133
ko:K02563	seb:STM474_0134
ko:K01924	seb:STM474_0135
ko:K01921	seb:STM474_0136
ko:K03589	seb:STM474_0137
ko:K03590	seb:STM474_0138
ko:K03531	seb:STM474_0139
ko:K02535	seb:STM474_0140
ko:K13301	seb:STM474_0141
ko:K03070	seb:STM474_0142
ko:K09862	seb:STM474_0145
ko:K00859	seb:STM474_0147
ko:K00364	seb:STM474_0149
ko:K02505	seb:STM474_0150
ko:K02504	seb:STM474_0151
ko:K02682	seb:STM474_0152
ko:K00767	seb:STM474_0153
ko:K03806	seb:STM474_0154
ko:K03807	seb:STM474_0155
ko:K11734	seb:STM474_0158
ko:K00163	seb:STM474_0160
ko:K00627	seb:STM474_0161
ko:K00382	seb:STM474_0162
ko:K01682	seb:STM474_0167
ko:K06911	seb:STM474_0938
ko:K02518	seb:STM474_0940
ko:K00684	seb:STM474_0942
ko:K00384	seb:STM474_0945
ko:K03466	seb:STM474_0947
ko:K03634	seb:STM474_0948
ko:K07478	seb:STM474_0949
ko:K01875	seb:STM474_0950
ko:K07306	seb:STM474_0951
ko:K08219	seb:STM474_0954
ko:K04069	seb:STM474_0956
ko:K00656	seb:STM474_0959
ko:K09136	seb:STM474_0961
ko:K00831	seb:STM474_0963
ko:K00800	seb:STM474_0964
ko:K07387	seb:STM474_0965
ko:K00945	seb:STM474_0966
ko:K02945	seb:STM474_0967
ko:K05788	seb:STM474_0968
ko:K00912	seb:STM474_0971
ko:K09927	seb:STM474_0972
ko:K09791	seb:STM474_0973
ko:K00979	seb:STM474_0974
ko:K06219	seb:STM474_0977
ko:K03633	seb:STM474_0978
ko:K03804	seb:STM474_0979
ko:K03632	seb:STM474_0980
ko:K01893	seb:STM474_0987
ko:K01751	seb:STM474_0989
ko:K03310	seb:STM474_0990
ko:K00763	seb:STM474_0991
ko:K03832	seb:STM474_1754
ko:K09780	seb:STM474_1755
ko:K06131	seb:STM474_1757
ko:K09901	seb:STM474_1758
ko:K15581	seb:STM474_1763
ko:K15580	seb:STM474_1764
ko:K04072	seb:STM474_1766
ko:K01921	seb:STM474_0395
ko:K00286	seb:STM474_0402
ko:K09768	seb:STM474_0404
ko:K00891	seb:STM474_0405
ko:K14591	seb:STM474_0407
ko:K09913	seb:STM474_0408
ko:K03554	seb:STM474_0409
ko:K00847	seb:STM474_0410
ko:K03547	seb:STM474_0413
ko:K07636	seb:STM474_0416
ko:K03311	seb:STM474_0418
ko:K11736	seb:STM474_0419
ko:K08682	seb:STM474_0422
ko:K07568	seb:STM474_0423
ko:K00773	seb:STM474_0424
ko:K03210	seb:STM474_0425
ko:K03072	seb:STM474_0426
ko:K03074	seb:STM474_0427
ko:K06996	seb:STM474_0428
ko:K05517	seb:STM474_0432
ko:K07738	seb:STM474_0435
ko:K11752	seb:STM474_0436
ko:K00794	seb:STM474_0437
ko:K03625	seb:STM474_0438
ko:K00946	seb:STM474_0439
ko:K01095	seb:STM474_0440
ko:K01662	seb:STM474_0442
ko:K00795	seb:STM474_0443
ko:K03602	seb:STM474_0444
ko:K03151	seb:STM474_0445
ko:K11082	seb:STM474_0446
ko:K11083	seb:STM474_0447
ko:K11084	seb:STM474_0448
ko:K09808	seb:STM474_1216
ko:K12410	seb:STM474_1218
ko:K07637	seb:STM474_1228
ko:K01756	seb:STM474_1230
ko:K07153	seb:STM474_1231
ko:K00566	seb:STM474_1232
ko:K12152	seb:STM474_1233
ko:K06181	seb:STM474_1235
ko:K00031	seb:STM474_1236
ko:K03704	seb:STM474_1241
ko:K07804	seb:STM474_1244
ko:K04080	seb:STM474_1251
ko:K02034	seb:STM474_1257
ko:K11250	seb:STM474_1271
ko:K07001	seb:STM474_1771
ko:K09858	seb:STM474_1772
ko:K01433	seb:STM474_1773
ko:K00373	seb:STM474_1779
ko:K00371	seb:STM474_1780
ko:K00370	seb:STM474_1781
ko:K02575	seb:STM474_1782
ko:K07673	seb:STM474_1783
ko:K07300	seb:STM474_1788
ko:K01627	seb:STM474_1789
ko:K02493	seb:STM474_1792
ko:K02835	seb:STM474_1793
ko:K02492	seb:STM474_1794
ko:K02494	seb:STM474_1796
ko:K00919	seb:STM474_1797
ko:K00948	seb:STM474_1799
ko:K03321	seb:STM474_1800
ko:K01056	seb:STM474_1802
ko:K06942	seb:STM474_1803
ko:K00963	seb:STM474_1769
ko:K03598	seb:STM474_2751
ko:K03597	seb:STM474_2752
ko:K03088	seb:STM474_2753
ko:K00278	seb:STM474_2754
ko:K05590	seb:STM474_2756
ko:K11249	seb:STM474_2758
ko:K03648	seb:STM474_2760
ko:K03214	seb:STM474_2761
ko:K03672	seb:STM474_2762
ko:K00998	seb:STM474_2765
ko:K05811	seb:STM474_2766
ko:K03695	seb:STM474_2773
ko:K05810	seb:STM474_2774
ko:K06180	seb:STM474_2775
ko:K05807	seb:STM474_2776
ko:K05809	seb:STM474_2778
ko:K14170	seb:STM474_2780
ko:K14187	seb:STM474_2782
ko:K01626	seb:STM474_2783
ko:K02982	seb:STM474_3599
ko:K02890	seb:STM474_3600
ko:K02965	seb:STM474_3601
ko:K02886	seb:STM474_3602
ko:K02892	seb:STM474_3603
ko:K02926	seb:STM474_3604
ko:K02906	seb:STM474_3605
ko:K02946	seb:STM474_3606
ko:K03594	seb:STM474_3608
ko:K02192	seb:STM474_3609
ko:K02358	seb:STM474_3610
ko:K02355	seb:STM474_3612
ko:K02992	seb:STM474_3613
ko:K02950	seb:STM474_3614
ko:K07237	seb:STM474_3615
ko:K07236	seb:STM474_3616
ko:K07235	seb:STM474_3617
ko:K03745	seb:STM474_3620
ko:K03775	seb:STM474_3621
ko:K07070	seb:STM474_3622
ko:K06158	seb:STM474_3625
ko:K00855	seb:STM474_3631
ko:K07397	seb:STM474_3632
ko:K04095	seb:STM474_3637
ko:K06141	seb:STM474_3640
ko:K00362	seb:STM474_3641
ko:K00363	seb:STM474_3642
ko:K02598	seb:STM474_3643
ko:K02302	seb:STM474_3644
ko:K01867	seb:STM474_3648
ko:K01091	seb:STM474_3649
ko:K01783	seb:STM474_3650
ko:K13639	seb:STM474_4461
ko:K06901	seb:STM474_4464
ko:K14393	seb:STM474_4469
ko:K01895	seb:STM474_4471
ko:K03385	seb:STM474_4473
ko:K04013	seb:STM474_4474
ko:K04016	seb:STM474_4477
ko:K11102	seb:STM474_4479
ko:K09994	seb:STM474_4483
ko:K06193	seb:STM474_4485
ko:K03762	seb:STM474_4486
ko:K07643	seb:STM474_4487
ko:K03760	seb:STM474_4489
ko:K03759	seb:STM474_4490
ko:K03755	seb:STM474_4491
ko:K01584	seb:STM474_4492
ko:K07406	seb:STM474_4494
ko:K01676	seb:STM474_4496
ko:K07703	seb:STM474_4499
ko:K07701	seb:STM474_4500
ko:K07306	seb:STM474_4501
ko:K11081	seb:STM474_0449
