ko:K02495	senj:CFSAN001992_13695
ko:K00631	senj:CFSAN001992_12700
ko:K03179	senj:CFSAN001992_12705
ko:K03181	senj:CFSAN001992_12710
ko:K05775	senj:CFSAN001992_12715
ko:K02024	senj:CFSAN001992_12720
ko:K10111	senj:CFSAN001992_12725
ko:K10108	senj:CFSAN001992_12730
ko:K10109	senj:CFSAN001992_12735
ko:K10110	senj:CFSAN001992_12740
ko:K08138	senj:CFSAN001992_12750
ko:K13256	senj:CFSAN001992_12755
ko:K01810	senj:CFSAN001992_12780
ko:K00928	senj:CFSAN001992_12785
ko:K06182	senj:CFSAN001992_12815
ko:K05995	senj:CFSAN001992_12830
ko:K03324	senj:CFSAN001992_12835
ko:K00906	senj:CFSAN001992_12855
ko:K01637	senj:CFSAN001992_12860
ko:K01638	senj:CFSAN001992_12865
ko:K00651	senj:CFSAN001992_12870
ko:K03827	senj:CFSAN001992_12875
ko:K00602	senj:CFSAN001992_12880
ko:K01945	senj:CFSAN001992_12885
ko:K02952	senj:CFSAN001992_16485
ko:K02948	senj:CFSAN001992_16490
ko:K02986	senj:CFSAN001992_16495
ko:K03040	senj:CFSAN001992_16500
ko:K02879	senj:CFSAN001992_16505
ko:K09890	senj:CFSAN001992_16520
ko:K03282	senj:CFSAN001992_16525
ko:K03500	senj:CFSAN001992_16535
ko:K00604	senj:CFSAN001992_16540
ko:K01462	senj:CFSAN001992_16545
ko:K04096	senj:CFSAN001992_16550
ko:K07479	senj:CFSAN001992_16560
ko:K07566	senj:CFSAN001992_16565
ko:K00014	senj:CFSAN001992_16570
ko:K03557	senj:CFSAN001992_16625
ko:K02687	senj:CFSAN001992_16635
ko:K14392	senj:CFSAN001992_16640
ko:K01961	senj:CFSAN001992_16650
ko:K02160	senj:CFSAN001992_16655
ko:K03569	senj:CFSAN001992_16680
ko:K03570	senj:CFSAN001992_16685
ko:K03571	senj:CFSAN001992_16690
ko:K06287	senj:CFSAN001992_16695
ko:K03695	senj:CFSAN001992_20365
ko:K05811	senj:CFSAN001992_20380
ko:K00998	senj:CFSAN001992_20385
ko:K03672	senj:CFSAN001992_20400
ko:K03214	senj:CFSAN001992_20405
ko:K03648	senj:CFSAN001992_20410
ko:K11249	senj:CFSAN001992_20420
ko:K05590	senj:CFSAN001992_20430
ko:K00278	senj:CFSAN001992_20440
ko:K03088	senj:CFSAN001992_20445
ko:K03597	senj:CFSAN001992_20450
ko:K03598	senj:CFSAN001992_20455
ko:K08326	senj:CFSAN001992_21555
ko:K08483	senj:CFSAN001992_21565
ko:K11189	senj:CFSAN001992_21565
ko:K11201	senj:CFSAN001992_21565
ko:K14261	senj:CFSAN001992_21575
ko:K12974	senj:CFSAN001992_21580
ko:K03288	senj:CFSAN001992_07950
ko:K01886	senj:CFSAN001992_07965
ko:K02802	senj:CFSAN001992_07970
ko:K02803	senj:CFSAN001992_07970
ko:K02804	senj:CFSAN001992_07970
ko:K01443	senj:CFSAN001992_07980
ko:K02565	senj:CFSAN001992_07985
ko:K01953	senj:CFSAN001992_07995
ko:K03184	senj:CFSAN001992_08000
ko:K06168	senj:CFSAN001992_08005
ko:K07042	senj:CFSAN001992_08015
ko:K06189	senj:CFSAN001992_08020
ko:K03820	senj:CFSAN001992_08025
ko:K10001	senj:CFSAN001992_08030
ko:K10003	senj:CFSAN001992_08035
ko:K10002	senj:CFSAN001992_08040
ko:K10004	senj:CFSAN001992_08045
ko:K16850	senj:CFSAN001992_08075
ko:K16849	senj:CFSAN001992_08080
ko:K01869	senj:CFSAN001992_08085
ko:K03643	senj:CFSAN001992_08090
ko:K02340	senj:CFSAN001992_08095
ko:K00969	senj:CFSAN001992_08100
ko:K02818	senj:CFSAN001992_11700
ko:K02819	senj:CFSAN001992_11700
ko:K01042	senj:CFSAN001992_11740
ko:K01465	senj:CFSAN001992_11745
ko:K15536	senj:CFSAN001992_11780
ko:K03592	senj:CFSAN001992_11785
ko:K09889	senj:CFSAN001992_11790
ko:K02558	senj:CFSAN001992_11795
ko:K03841	senj:CFSAN001992_11800
ko:K09800	senj:CFSAN001992_11830
ko:K07278	senj:CFSAN001992_11835
ko:K07109	senj:CFSAN001992_11855
ko:K07322	senj:CFSAN001992_11885
ko:K11737	senj:CFSAN001992_11890
ko:K03773	senj:CFSAN001992_11895
ko:K07269	senj:CFSAN001992_11900
ko:K02939	senj:CFSAN001992_11910
ko:K02963	senj:CFSAN001992_11915
ko:K02686	senj:CFSAN001992_11920
ko:K02990	senj:CFSAN001992_11925
ko:K08996	senj:CFSAN001992_11935
ko:K12372	senj:CFSAN001992_15495
ko:K00694	senj:CFSAN001992_15540
ko:K11103	senj:CFSAN001992_15565
ko:K00874	senj:CFSAN001992_15575
ko:K07290	senj:CFSAN001992_15585
ko:K01194	senj:CFSAN001992_15625
ko:K03710	senj:CFSAN001992_15630
ko:K07115	senj:CFSAN001992_15660
ko:K01414	senj:CFSAN001992_15670
ko:K15984	senj:CFSAN001992_15675
ko:K03305	senj:CFSAN001992_15680
ko:K06144	senj:CFSAN001992_15690
ko:K16322	senj:CFSAN001992_15695
ko:K07007	senj:CFSAN001992_15700
ko:K01993	senj:CFSAN001992_15705
ko:K13926	senj:CFSAN001992_15710
ko:K07722	senj:CFSAN001992_15720
ko:K06133	senj:CFSAN001992_15725
ko:K09125	senj:CFSAN001992_15745
ko:K03565	senj:CFSAN001992_19400
ko:K01872	senj:CFSAN001992_19405
ko:K03563	senj:CFSAN001992_19410
ko:K01919	senj:CFSAN001992_19425
ko:K07173	senj:CFSAN001992_19430
ko:K03446	senj:CFSAN001992_19440
ko:K03543	senj:CFSAN001992_19445
ko:K15974	senj:CFSAN001992_19450
ko:K02002	senj:CFSAN001992_19460
ko:K02001	senj:CFSAN001992_19465
ko:K02000	senj:CFSAN001992_19470
ko:K00375	senj:CFSAN001992_19500
ko:K15735	senj:CFSAN001992_19550
ko:K11735	senj:CFSAN001992_19555
ko:K15736	senj:CFSAN001992_19570
ko:K15737	senj:CFSAN001992_19575
ko:K01752	senj:CFSAN001992_02340
ko:K01665	senj:CFSAN001992_02350
ko:K09917	senj:CFSAN001992_02355
ko:K07285	senj:CFSAN001992_02375
ko:K03684	senj:CFSAN001992_02385
ko:K03608	senj:CFSAN001992_02390
ko:K03609	senj:CFSAN001992_02395
ko:K03610	senj:CFSAN001992_02400
ko:K09902	senj:CFSAN001992_02405
ko:K09160	senj:CFSAN001992_02415
ko:K03611	senj:CFSAN001992_02435
ko:K03314	senj:CFSAN001992_02440
ko:K03603	senj:CFSAN001992_02445
ko:K00285	senj:CFSAN001992_02455
ko:K01775	senj:CFSAN001992_02460
ko:K08308	senj:CFSAN001992_02475
ko:K01194	senj:CFSAN001992_02490
ko:K00261	senj:CFSAN001992_02495
ko:K00426	senj:CFSAN001992_02505
ko:K00425	senj:CFSAN001992_02510
ko:K03618	senj:CFSAN001992_02515
ko:K02007	senj:CFSAN001992_01320
ko:K02232	senj:CFSAN001992_01340
ko:K02231	senj:CFSAN001992_01345
ko:K02233	senj:CFSAN001992_01350
ko:K00768	senj:CFSAN001992_01355
ko:K00134	senj:CFSAN001992_01385
ko:K01551	senj:CFSAN001992_01420
ko:K01241	senj:CFSAN001992_01450
ko:K09933	senj:CFSAN001992_01465
ko:K03704	senj:CFSAN001992_01480
ko:K06950	senj:CFSAN001992_01495
ko:K07458	senj:CFSAN001992_01505
ko:K09781	senj:CFSAN001992_01515
ko:K07026	senj:CFSAN001992_01530
ko:K07781	senj:CFSAN001992_01545
ko:K02421	senj:CFSAN001992_01550
ko:K02420	senj:CFSAN001992_01555
ko:K02419	senj:CFSAN001992_01560
ko:K02418	senj:CFSAN001992_01565
ko:K02034	senj:CFSAN001992_05305
ko:K04080	senj:CFSAN001992_05335
ko:K07804	senj:CFSAN001992_05355
ko:K03704	senj:CFSAN001992_05365
ko:K00031	senj:CFSAN001992_05415
ko:K06181	senj:CFSAN001992_05420
ko:K03619	senj:CFSAN001992_02520
ko:K03620	senj:CFSAN001992_02530
ko:K06942	senj:CFSAN001992_02550
ko:K01056	senj:CFSAN001992_02555
ko:K03579	senj:CFSAN001992_10015
ko:K01975	senj:CFSAN001992_10020
ko:K06206	senj:CFSAN001992_10025
ko:K06204	senj:CFSAN001992_10030
ko:K01894	senj:CFSAN001992_10035
ko:K00950	senj:CFSAN001992_10045
ko:K15540	senj:CFSAN001992_10055
ko:K07347	senj:CFSAN001992_10060
ko:K00606	senj:CFSAN001992_10085
ko:K01918	senj:CFSAN001992_10090
ko:K01579	senj:CFSAN001992_10095
ko:K07347	senj:CFSAN001992_10120
ko:K01673	senj:CFSAN001992_10140
ko:K00760	senj:CFSAN001992_10145
ko:K00117	senj:CFSAN001992_10150
ko:K14588	senj:CFSAN001992_10155
ko:K00797	senj:CFSAN001992_10165
ko:K01611	senj:CFSAN001992_10170
ko:K02526	senj:CFSAN001992_10190
ko:K09910	senj:CFSAN001992_10195
ko:K01682	senj:CFSAN001992_10200
ko:K00382	senj:CFSAN001992_10220
ko:K00627	senj:CFSAN001992_10225
ko:K00163	senj:CFSAN001992_10230
ko:K11734	senj:CFSAN001992_10245
ko:K03116	senj:CFSAN001992_13815
ko:K03688	senj:CFSAN001992_13820
ko:K03690	senj:CFSAN001992_13825
ko:K03183	senj:CFSAN001992_13830
ko:K09760	senj:CFSAN001992_13835
ko:K00757	senj:CFSAN001992_13840
ko:K01061	senj:CFSAN001992_13845
ko:K06871	senj:CFSAN001992_13850
ko:K00549	senj:CFSAN001992_13860
ko:K03576	senj:CFSAN001992_13865
ko:K05834	senj:CFSAN001992_13885
ko:K05835	senj:CFSAN001992_13890
ko:K03654	senj:CFSAN001992_13895
ko:K01058	senj:CFSAN001992_13900
ko:K05786	senj:CFSAN001992_13910
ko:K03284	senj:CFSAN001992_13925
ko:K03657	senj:CFSAN001992_13930
ko:K03733	senj:CFSAN001992_13940
ko:K09921	senj:CFSAN001992_13945
ko:K01778	senj:CFSAN001992_13950
ko:K06202	senj:CFSAN001992_13970
ko:K05851	senj:CFSAN001992_13985
ko:K01749	senj:CFSAN001992_13990
ko:K02496	senj:CFSAN001992_14000
ko:K02498	senj:CFSAN001992_14005
ko:K02853	senj:CFSAN001992_14020
ko:K12582	senj:CFSAN001992_14025
ko:K16693	senj:CFSAN001992_14030
ko:K02621	senj:CFSAN001992_17660
ko:K00655	senj:CFSAN001992_17665
ko:K03319	senj:CFSAN001992_17715
ko:K08325	senj:CFSAN001992_17725
ko:K03561	senj:CFSAN001992_17750
ko:K04651	senj:CFSAN001992_17825
ko:K04653	senj:CFSAN001992_17830
ko:K02016	senj:CFSAN001992_17835
ko:K02020	senj:CFSAN001992_17840
ko:K01460	senj:CFSAN001992_17850
ko:K01812	senj:CFSAN001992_17865
ko:K01686	senj:CFSAN001992_17875
ko:K08191	senj:CFSAN001992_17880
ko:K16140	senj:CFSAN001992_17885
ko:K16139	senj:CFSAN001992_17890
ko:K01195	senj:CFSAN001992_17895
ko:K16138	senj:CFSAN001992_17900
ko:K11382	senj:CFSAN001992_21595
ko:K04754	senj:CFSAN001992_21625
ko:K06076	senj:CFSAN001992_21630
ko:K08296	senj:CFSAN001992_21650
ko:K07320	senj:CFSAN001992_21660
ko:K01736	senj:CFSAN001992_21665
ko:K07261	senj:CFSAN001992_21670
ko:K07090	senj:CFSAN001992_21675
ko:K09906	senj:CFSAN001992_21680
ko:K15461	senj:CFSAN001992_21695
ko:K03473	senj:CFSAN001992_21730
ko:K06173	senj:CFSAN001992_21740
ko:K03975	senj:CFSAN001992_21745
ko:K01963	senj:CFSAN001992_21750
ko:K11754	senj:CFSAN001992_21755
ko:K03749	senj:CFSAN001992_21760
ko:K03558	senj:CFSAN001992_21765
ko:K00764	senj:CFSAN001992_21770
ko:K06714	senj:CFSAN001992_21775
ko:K01586	senj:CFSAN001992_21780
ko:K03186	senj:CFSAN001992_21800
ko:K10013	senj:CFSAN001992_21805
ko:K10016	senj:CFSAN001992_21815
ko:K10015	senj:CFSAN001992_21820
ko:K03291	senj:CFSAN001992_00320
ko:K02768	senj:CFSAN001992_00330
ko:K11183	senj:CFSAN001992_00330
ko:K02769	senj:CFSAN001992_00340
ko:K02770	senj:CFSAN001992_00340
ko:K01151	senj:CFSAN001992_00345
ko:K11733	senj:CFSAN001992_00360
ko:K16089	senj:CFSAN001992_00365
ko:K07783	senj:CFSAN001992_00370
ko:K01752	senj:CFSAN001992_00380
ko:K01070	senj:CFSAN001992_00390
ko:K01495	senj:CFSAN001992_00395
ko:K07148	senj:CFSAN001992_00400
ko:K02529	senj:CFSAN001992_00405
ko:K10542	senj:CFSAN001992_00415
ko:K08195	senj:CFSAN001992_00465
ko:K00450	senj:CFSAN001992_00470
ko:K16165	senj:CFSAN001992_00475
ko:K05541	senj:CFSAN001992_00490
ko:K07262	senj:CFSAN001992_00520
ko:K03777	senj:CFSAN001992_00525
ko:K05349	senj:CFSAN001992_00530
ko:K05845	senj:CFSAN001992_00535
ko:K05846	senj:CFSAN001992_00540
ko:K05847	senj:CFSAN001992_00545
ko:K05846	senj:CFSAN001992_00550
ko:K10773	senj:CFSAN001992_04325
ko:K03305	senj:CFSAN001992_04330
ko:K00868	senj:CFSAN001992_04340
ko:K01866	senj:CFSAN001992_04345
ko:K00275	senj:CFSAN001992_04350
ko:K09001	senj:CFSAN001992_04360
ko:K06077	senj:CFSAN001992_04365
ko:K06938	senj:CFSAN001992_04400
ko:K16137	senj:CFSAN001992_04405
ko:K10680	senj:CFSAN001992_04410
ko:K03683	senj:CFSAN001992_04420
ko:K07390	senj:CFSAN001992_04425
ko:K04564	senj:CFSAN001992_04440
ko:K00574	senj:CFSAN001992_04465
ko:K00793	senj:CFSAN001992_04470
ko:K03327	senj:CFSAN001992_04475
ko:K03229	senj:CFSAN001992_04480
ko:K03228	senj:CFSAN001992_04485
ko:K03226	senj:CFSAN001992_04495
ko:K03225	senj:CFSAN001992_04500
ko:K03224	senj:CFSAN001992_04515
ko:K03230	senj:CFSAN001992_04520
ko:K09710	senj:CFSAN001992_08120
ko:K00783	senj:CFSAN001992_08125
ko:K05515	senj:CFSAN001992_08130
ko:K05837	senj:CFSAN001992_08135
ko:K03642	senj:CFSAN001992_08140
ko:K09158	senj:CFSAN001992_08150
ko:K03801	senj:CFSAN001992_08155
ko:K03644	senj:CFSAN001992_08165
ko:K03425	senj:CFSAN001992_08170
ko:K06199	senj:CFSAN001992_08180
ko:K03704	senj:CFSAN001992_08185
ko:K12973	senj:CFSAN001992_08190
ko:K07702	senj:CFSAN001992_08200
ko:K07700	senj:CFSAN001992_08205
ko:K01910	senj:CFSAN001992_08210
ko:K01646	senj:CFSAN001992_08215
ko:K01644	senj:CFSAN001992_08220
ko:K12152	senj:CFSAN001992_05430
ko:K00566	senj:CFSAN001992_05435
ko:K07153	senj:CFSAN001992_05440
ko:K01756	senj:CFSAN001992_05445
ko:K07637	senj:CFSAN001992_05455
ko:K12410	senj:CFSAN001992_05500
ko:K01095	senj:CFSAN001992_09095
ko:K00946	senj:CFSAN001992_09100
ko:K03625	senj:CFSAN001992_09105
ko:K00794	senj:CFSAN001992_09110
ko:K11752	senj:CFSAN001992_09115
ko:K07738	senj:CFSAN001992_09120
ko:K05517	senj:CFSAN001992_09130
ko:K03074	senj:CFSAN001992_09145
ko:K03072	senj:CFSAN001992_09150
ko:K03210	senj:CFSAN001992_09155
ko:K00773	senj:CFSAN001992_09160
ko:K07568	senj:CFSAN001992_09165
ko:K08682	senj:CFSAN001992_09170
ko:K11736	senj:CFSAN001992_09185
ko:K03311	senj:CFSAN001992_09190
ko:K07636	senj:CFSAN001992_09195
ko:K03547	senj:CFSAN001992_09210
ko:K00847	senj:CFSAN001992_09230
ko:K03554	senj:CFSAN001992_09235
ko:K09913	senj:CFSAN001992_09240
ko:K14591	senj:CFSAN001992_09245
ko:K00891	senj:CFSAN001992_09255
ko:K09768	senj:CFSAN001992_09260
ko:K00286	senj:CFSAN001992_09265
ko:K01921	senj:CFSAN001992_09295
ko:K07803	senj:CFSAN001992_12900
ko:K05787	senj:CFSAN001992_12910
ko:K09891	senj:CFSAN001992_12915
ko:K05982	senj:CFSAN001992_12920
ko:K01599	senj:CFSAN001992_12925
ko:K03426	senj:CFSAN001992_12930
ko:K07740	senj:CFSAN001992_12935
ko:K03147	senj:CFSAN001992_12940
ko:K00788	senj:CFSAN001992_12945
ko:K03154	senj:CFSAN001992_12955
ko:K03149	senj:CFSAN001992_12960
ko:K03150	senj:CFSAN001992_12965
ko:K03046	senj:CFSAN001992_12980
ko:K03043	senj:CFSAN001992_12985
ko:K02935	senj:CFSAN001992_12990
ko:K02864	senj:CFSAN001992_12995
ko:K02863	senj:CFSAN001992_13000
ko:K02867	senj:CFSAN001992_13005
ko:K02601	senj:CFSAN001992_13010
ko:K03073	senj:CFSAN001992_13015
ko:K02358	senj:CFSAN001992_13020
ko:K03524	senj:CFSAN001992_13030
ko:K00075	senj:CFSAN001992_13035
ko:K01776	senj:CFSAN001992_13040
ko:K16092	senj:CFSAN001992_13045
ko:K00322	senj:CFSAN001992_13065
ko:K04761	senj:CFSAN001992_13070
ko:K01755	senj:CFSAN001992_13075
ko:K00930	senj:CFSAN001992_13080
ko:K08301	senj:CFSAN001992_16700
ko:K03568	senj:CFSAN001992_16710
ko:K15548	senj:CFSAN001992_16725
ko:K03468	senj:CFSAN001992_16730
ko:K03623	senj:CFSAN001992_16735
ko:K03402	senj:CFSAN001992_16750
ko:K00024	senj:CFSAN001992_16755
ko:K03780	senj:CFSAN001992_16780
ko:K01573	senj:CFSAN001992_16785
ko:K04691	senj:CFSAN001992_16805
ko:K09908	senj:CFSAN001992_16815
ko:K06916	senj:CFSAN001992_16820
ko:K02871	senj:CFSAN001992_16825
ko:K02996	senj:CFSAN001992_16830
ko:K03599	senj:CFSAN001992_16840
ko:K03600	senj:CFSAN001992_16845
ko:K03290	senj:CFSAN001992_16860
ko:K00885	senj:CFSAN001992_16870
ko:K10974	senj:CFSAN001992_16885
ko:K00266	senj:CFSAN001992_16895
ko:K07139	senj:CFSAN001992_16910
ko:K07648	senj:CFSAN001992_16915
ko:K03814	senj:CFSAN001992_16925
ko:K06958	senj:CFSAN001992_16940
ko:K03596	senj:CFSAN001992_20625
ko:K03100	senj:CFSAN001992_20630
ko:K03685	senj:CFSAN001992_20635
ko:K03584	senj:CFSAN001992_20645
ko:K03474	senj:CFSAN001992_20650
ko:K00997	senj:CFSAN001992_20655
ko:K08177	senj:CFSAN001992_20670
ko:K00077	senj:CFSAN001992_20675
ko:K07106	senj:CFSAN001992_20685
ko:K11991	senj:CFSAN001992_20700
ko:K01952	senj:CFSAN001992_20710
ko:K07711	senj:CFSAN001992_20715
ko:K07715	senj:CFSAN001992_20725
ko:K04751	senj:CFSAN001992_20730
ko:K03305	senj:CFSAN001992_20735
ko:K03765	senj:CFSAN001992_20750
ko:K05916	senj:CFSAN001992_20755
ko:K00600	senj:CFSAN001992_20765
ko:K05820	senj:CFSAN001992_20770
ko:K15396	senj:CFSAN001992_20815
ko:K13643	senj:CFSAN001992_20820
ko:K04082	senj:CFSAN001992_20845
ko:K04044	senj:CFSAN001992_20850
ko:K04755	senj:CFSAN001992_20855
ko:K01643	senj:CFSAN001992_08225
ko:K05964	senj:CFSAN001992_08230
ko:K01169	senj:CFSAN001992_08245
ko:K06140	senj:CFSAN001992_08250
ko:K11932	senj:CFSAN001992_08260
ko:K03387	senj:CFSAN001992_08285
ko:K03805	senj:CFSAN001992_08295
ko:K14287	senj:CFSAN001992_08315
ko:K08317	senj:CFSAN001992_08320
ko:K06200	senj:CFSAN001992_08330
ko:K00216	senj:CFSAN001992_08340
ko:K01252	senj:CFSAN001992_08345
ko:K02363	senj:CFSAN001992_08350
ko:K02361	senj:CFSAN001992_08355
ko:K03078	senj:CFSAN001992_11950
ko:K03477	senj:CFSAN001992_11975
ko:K09456	senj:CFSAN001992_11995
ko:K08989	senj:CFSAN001992_12010
ko:K09980	senj:CFSAN001992_12025
ko:K03218	senj:CFSAN001992_12030
ko:K12573	senj:CFSAN001992_12035
ko:K13771	senj:CFSAN001992_12040
ko:K01939	senj:CFSAN001992_12045
ko:K09937	senj:CFSAN001992_12050
ko:K04087	senj:CFSAN001992_12055
ko:K04088	senj:CFSAN001992_12060
ko:K03665	senj:CFSAN001992_12065
ko:K03666	senj:CFSAN001992_12070
ko:K00791	senj:CFSAN001992_12075
ko:K03572	senj:CFSAN001992_12080
ko:K01448	senj:CFSAN001992_12085
ko:K06925	senj:CFSAN001992_12090
ko:K09996	senj:CFSAN001992_12105
ko:K13288	senj:CFSAN001992_12110
ko:K06949	senj:CFSAN001992_12115
ko:K01613	senj:CFSAN001992_12120
ko:K04568	senj:CFSAN001992_12135
ko:K00246	senj:CFSAN001992_12150
ko:K03098	senj:CFSAN001992_12160
ko:K01534	senj:CFSAN001992_15760
ko:K08993	senj:CFSAN001992_15775
ko:K03110	senj:CFSAN001992_15785
ko:K09812	senj:CFSAN001992_15790
ko:K09811	senj:CFSAN001992_15795
ko:K03089	senj:CFSAN001992_15800
ko:K01999	senj:CFSAN001992_15805
ko:K01999	senj:CFSAN001992_15815
ko:K01997	senj:CFSAN001992_15820
ko:K01998	senj:CFSAN001992_15825
ko:K01995	senj:CFSAN001992_15830
ko:K01996	senj:CFSAN001992_15835
ko:K05813	senj:CFSAN001992_15845
ko:K01126	senj:CFSAN001992_15865
ko:K09936	senj:CFSAN001992_15885
ko:K06911	senj:CFSAN001992_15915
ko:K06145	senj:CFSAN001992_15920
ko:K06156	senj:CFSAN001992_15930
ko:K00133	senj:CFSAN001992_15935
ko:K00975	senj:CFSAN001992_15950
ko:K00703	senj:CFSAN001992_15955
ko:K00688	senj:CFSAN001992_15960
ko:K02040	senj:CFSAN001992_15970
ko:K00111	senj:CFSAN001992_15985
ko:K02439	senj:CFSAN001992_15990
ko:K07795	senj:CFSAN001992_19590
ko:K07774	senj:CFSAN001992_19595
ko:K07241	senj:CFSAN001992_19610
ko:K09824	senj:CFSAN001992_19625
ko:K02406	senj:CFSAN001992_19680
ko:K07733	senj:CFSAN001992_19710
ko:K06915	senj:CFSAN001992_19730
ko:K02778	senj:CFSAN001992_05595
ko:K02779	senj:CFSAN001992_05595
ko:K03321	senj:CFSAN001992_02565
ko:K00948	senj:CFSAN001992_02570
ko:K00919	senj:CFSAN001992_02575
ko:K02494	senj:CFSAN001992_02580
ko:K02492	senj:CFSAN001992_02590
ko:K02835	senj:CFSAN001992_02595
ko:K02493	senj:CFSAN001992_02600
ko:K01627	senj:CFSAN001992_02615
ko:K07300	senj:CFSAN001992_02620
ko:K07673	senj:CFSAN001992_02645
ko:K02575	senj:CFSAN001992_02650
ko:K00370	senj:CFSAN001992_02655
ko:K00371	senj:CFSAN001992_02660
ko:K00373	senj:CFSAN001992_02665
ko:K01433	senj:CFSAN001992_02680
ko:K09858	senj:CFSAN001992_02685
ko:K07001	senj:CFSAN001992_02690
ko:K00963	senj:CFSAN001992_02700
ko:K04072	senj:CFSAN001992_02715
ko:K15580	senj:CFSAN001992_02725
ko:K15581	senj:CFSAN001992_02730
ko:K10716	senj:CFSAN001992_02750
ko:K09901	senj:CFSAN001992_02755
ko:K06131	senj:CFSAN001992_02760
ko:K09780	senj:CFSAN001992_02770
ko:K03832	senj:CFSAN001992_02775
ko:K10806	senj:CFSAN001992_02780
ko:K06190	senj:CFSAN001992_02785
ko:K06940	senj:CFSAN001992_02795
ko:K06899	senj:CFSAN001992_06500
ko:K01512	senj:CFSAN001992_06515
ko:K06969	senj:CFSAN001992_06530
ko:K11940	senj:CFSAN001992_06535
ko:K06929	senj:CFSAN001992_06540
ko:K01734	senj:CFSAN001992_06550
ko:K03658	senj:CFSAN001992_06555
ko:K09911	senj:CFSAN001992_06585
ko:K04770	senj:CFSAN001992_06590
ko:K01716	senj:CFSAN001992_06595
ko:K03812	senj:CFSAN001992_06600
ko:K09857	senj:CFSAN001992_06605
ko:K06192	senj:CFSAN001992_06610
ko:K03808	senj:CFSAN001992_06615
ko:K15738	senj:CFSAN001992_06620
ko:K12297	senj:CFSAN001992_06625
ko:K07140	senj:CFSAN001992_06630
ko:K01256	senj:CFSAN001992_06645
ko:K00763	senj:CFSAN001992_06650
ko:K01893	senj:CFSAN001992_06655
ko:K03632	senj:CFSAN001992_06685
ko:K03804	senj:CFSAN001992_06690
ko:K03633	senj:CFSAN001992_06695
ko:K06219	senj:CFSAN001992_06700
ko:K00979	senj:CFSAN001992_06715
ko:K09791	senj:CFSAN001992_06720
ko:K09927	senj:CFSAN001992_06725
ko:K00912	senj:CFSAN001992_06730
ko:K03807	senj:CFSAN001992_10260
ko:K03806	senj:CFSAN001992_10265
ko:K00767	senj:CFSAN001992_10270
ko:K02682	senj:CFSAN001992_10275
ko:K02504	senj:CFSAN001992_10280
ko:K02505	senj:CFSAN001992_10285
ko:K00364	senj:CFSAN001992_10290
ko:K00859	senj:CFSAN001992_10295
ko:K09862	senj:CFSAN001992_10305
ko:K03070	senj:CFSAN001992_10325
ko:K13301	senj:CFSAN001992_10330
ko:K02535	senj:CFSAN001992_10335
ko:K03531	senj:CFSAN001992_10340
ko:K03590	senj:CFSAN001992_10345
ko:K03589	senj:CFSAN001992_10350
ko:K01921	senj:CFSAN001992_10355
ko:K01924	senj:CFSAN001992_10360
ko:K02563	senj:CFSAN001992_10365
ko:K03588	senj:CFSAN001992_10370
ko:K01925	senj:CFSAN001992_10375
ko:K01000	senj:CFSAN001992_10380
ko:K02417	senj:CFSAN001992_01570
ko:K02416	senj:CFSAN001992_01575
ko:K02415	senj:CFSAN001992_01580
ko:K02413	senj:CFSAN001992_01590
ko:K02412	senj:CFSAN001992_01595
ko:K02411	senj:CFSAN001992_01600
ko:K02410	senj:CFSAN001992_01605
ko:K02409	senj:CFSAN001992_01610
ko:K02408	senj:CFSAN001992_01615
ko:K07112	senj:CFSAN001992_01630
ko:K02423	senj:CFSAN001992_01645
ko:K02422	senj:CFSAN001992_01650
ko:K02407	senj:CFSAN001992_01655
ko:K02406	senj:CFSAN001992_01660
ko:K02405	senj:CFSAN001992_01670
ko:K02425	senj:CFSAN001992_01675
ko:K02424	senj:CFSAN001992_01680
ko:K10009	senj:CFSAN001992_01690
ko:K10010	senj:CFSAN001992_01695
ko:K07689	senj:CFSAN001992_01715
ko:K03703	senj:CFSAN001992_01720
ko:K00995	senj:CFSAN001992_01725
ko:K07039	senj:CFSAN001992_01745
ko:K03834	senj:CFSAN001992_01750
ko:K02217	senj:CFSAN001992_01760
ko:K02255	senj:CFSAN001992_01775
ko:K01087	senj:CFSAN001992_01790
ko:K00697	senj:CFSAN001992_01795
ko:K14064	senj:CFSAN001992_01800
ko:K02403	senj:CFSAN001992_01805
ko:K09808	senj:CFSAN001992_05510
ko:K09810	senj:CFSAN001992_05515
ko:K09808	senj:CFSAN001992_05520
ko:K03723	senj:CFSAN001992_05525
ko:K12151	senj:CFSAN001992_05535
ko:K03885	senj:CFSAN001992_05555
ko:K07000	senj:CFSAN001992_05560
ko:K01207	senj:CFSAN001992_05565
ko:K07251	senj:CFSAN001992_05570
ko:K07337	senj:CFSAN001992_05575
ko:K16088	senj:CFSAN001992_05590
ko:K03424	senj:CFSAN001992_05600
ko:K02341	senj:CFSAN001992_05605
ko:K00943	senj:CFSAN001992_05610
ko:K07082	senj:CFSAN001992_05615
ko:K07345	senj:CFSAN001992_05625
ko:K07347	senj:CFSAN001992_05635
ko:K07349	senj:CFSAN001992_05645
ko:K07349	senj:CFSAN001992_05650
ko:K09458	senj:CFSAN001992_05655
ko:K02078	senj:CFSAN001992_05660
ko:K00645	senj:CFSAN001992_05670
ko:K00648	senj:CFSAN001992_05675
ko:K03621	senj:CFSAN001992_05680
