ko:K18929	cjeu:N565_00068
ko:K00891	cjeu:N565_00420
ko:K01867	cjeu:N565_00421
ko:K01875	cjeu:N565_00422
ko:K02108	cjeu:N565_01209
ko:K04485	cjeu:N565_01210
ko:K03110	cjeu:N565_01211
ko:K07058	cjeu:N565_01216
ko:K05810	cjeu:N565_01221
ko:K00793	cjeu:N565_01222
ko:K04078	cjeu:N565_01224
ko:K04077	cjeu:N565_01225
ko:K05516	cjeu:N565_01234
ko:K01091	cjeu:N565_01238
ko:K01879	cjeu:N565_01239
ko:K01524	cjeu:N565_01242
ko:K03474	cjeu:N565_01243
ko:K00097	cjeu:N565_01244
ko:K01599	cjeu:N565_01248
ko:K03703	cjeu:N565_01251
ko:K01951	cjeu:N565_01253
ko:K01945	cjeu:N565_01255
ko:K04744	cjeu:N565_01257
ko:K00962	cjeu:N565_01258
ko:K01821	cjeu:N565_01260
ko:K03640	cjeu:N565_00105
ko:K03775	cjeu:N565_00107
ko:K00645	cjeu:N565_00108
ko:K07042	cjeu:N565_00113
ko:K06204	cjeu:N565_00117
ko:K00783	cjeu:N565_00118
ko:K01963	cjeu:N565_00119
ko:K07277	cjeu:N565_00121
ko:K02535	cjeu:N565_00124
ko:K00872	cjeu:N565_00126
ko:K02519	cjeu:N565_00127
ko:K02834	cjeu:N565_00128
ko:K09748	cjeu:N565_00129
ko:K09816	cjeu:N565_00132
ko:K09817	cjeu:N565_00133
ko:K07093	cjeu:N565_00135
ko:K00384	cjeu:N565_00136
ko:K03671	cjeu:N565_00137
ko:K07460	cjeu:N565_00138
ko:K00003	cjeu:N565_00139
ko:K14261	cjeu:N565_00140
ko:K03218	cjeu:N565_00143
ko:K07056	cjeu:N565_00144
ko:K02909	cjeu:N565_00145
ko:K09761	cjeu:N565_00146
ko:K01737	cjeu:N565_00148
ko:K03639	cjeu:N565_00150
ko:K03179	cjeu:N565_00153
ko:K00791	cjeu:N565_00154
ko:K02029	cjeu:N565_00958
ko:K03070	cjeu:N565_00960
ko:K03634	cjeu:N565_00961
ko:K12251	cjeu:N565_00965
ko:K00602	cjeu:N565_00971
ko:K05801	cjeu:N565_00972
ko:K01952	cjeu:N565_00973
ko:K03650	cjeu:N565_00974
ko:K03217	cjeu:N565_00976
ko:K03536	cjeu:N565_00977
ko:K02914	cjeu:N565_00978
ko:K07107	cjeu:N565_00982
ko:K15257	cjeu:N565_00990
ko:K09861	cjeu:N565_00998
ko:K00611	cjeu:N565_01006
ko:K01698	cjeu:N565_01007
ko:K03501	cjeu:N565_01009
ko:K00873	cjeu:N565_00425
ko:K00116	cjeu:N565_00426
ko:K03525	cjeu:N565_00427
ko:K02435	cjeu:N565_00430
ko:K03558	cjeu:N565_00431
ko:K04567	cjeu:N565_00433
ko:K00600	cjeu:N565_00434
ko:K03749	cjeu:N565_00436
ko:K00014	cjeu:N565_00437
ko:K13292	cjeu:N565_00439
ko:K00246	cjeu:N565_00440
ko:K06152	cjeu:N565_00446
ko:K06151	cjeu:N565_00447
ko:K01000	cjeu:N565_00465
ko:K15633	cjeu:N565_00466
ko:K00239	cjeu:N565_00469
ko:K00240	cjeu:N565_00470
ko:K03707	cjeu:N565_00472
ko:K02078	cjeu:N565_00473
ko:K09458	cjeu:N565_00474
ko:K01962	cjeu:N565_00475
ko:K03686	cjeu:N565_01265
ko:K06187	cjeu:N565_01268
ko:K03620	cjeu:N565_01270
ko:K01448	cjeu:N565_01274
ko:K00459	cjeu:N565_01275
ko:K01866	cjeu:N565_01276
ko:K03060	cjeu:N565_01278
ko:K09903	cjeu:N565_01279
ko:K09811	cjeu:N565_01281
ko:K09812	cjeu:N565_01282
ko:K03439	cjeu:N565_01283
ko:K06180	cjeu:N565_01285
ko:K05837	cjeu:N565_01286
ko:K01173	cjeu:N565_01305
ko:K04564	cjeu:N565_00158
ko:K02011	cjeu:N565_00162
ko:K02012	cjeu:N565_00163
ko:K16087	cjeu:N565_00165
ko:K03561	cjeu:N565_00166
ko:K03832	cjeu:N565_00168
ko:K06193	cjeu:N565_00172
ko:K11175	cjeu:N565_00174
ko:K07391	cjeu:N565_00177
ko:K01462	cjeu:N565_00178
ko:K01358	cjeu:N565_00179
ko:K03545	cjeu:N565_00180
ko:K01495	cjeu:N565_00181
ko:K02412	cjeu:N565_00182
ko:K00764	cjeu:N565_00183
ko:K00215	cjeu:N565_00184
ko:K07478	cjeu:N565_00185
ko:K03300	cjeu:N565_00190
ko:K06153	cjeu:N565_00192
ko:K01868	cjeu:N565_00193
ko:K02520	cjeu:N565_00194
ko:K00145	cjeu:N565_00205
ko:K00930	cjeu:N565_00207
ko:K00573	cjeu:N565_00209
ko:K03086	cjeu:N565_01013
ko:K08296	cjeu:N565_01014
ko:K01735	cjeu:N565_01020
ko:K09944	cjeu:N565_01021
ko:K00773	cjeu:N565_01022
ko:K01996	cjeu:N565_01027
ko:K01995	cjeu:N565_01028
ko:K01998	cjeu:N565_01029
ko:K01997	cjeu:N565_01030
ko:K01999	cjeu:N565_01031
ko:K01999	cjeu:N565_01032
ko:K00133	cjeu:N565_01036
ko:K09860	cjeu:N565_01039
ko:K02469	cjeu:N565_01040
ko:K03596	cjeu:N565_01043
ko:K03686	cjeu:N565_01047
ko:K03588	cjeu:N565_01051
ko:K02563	cjeu:N565_01052
ko:K03449	cjeu:N565_01053
ko:K00788	cjeu:N565_01056
ko:K03150	cjeu:N565_01057
ko:K03149	cjeu:N565_01058
ko:K03154	cjeu:N565_01060
ko:K09794	cjeu:N565_00481
ko:K02902	cjeu:N565_00482
ko:K01783	cjeu:N565_00483
ko:K03147	cjeu:N565_00485
ko:K09778	cjeu:N565_00489
ko:K06168	cjeu:N565_00490
ko:K02600	cjeu:N565_00493
ko:K03655	cjeu:N565_00497
ko:K06886	cjeu:N565_00498
ko:K02029	cjeu:N565_00500
ko:K02029	cjeu:N565_00501
ko:K02358	cjeu:N565_00507
ko:K02601	cjeu:N565_00509
ko:K02867	cjeu:N565_00510
ko:K02863	cjeu:N565_00511
ko:K02864	cjeu:N565_00512
ko:K02935	cjeu:N565_00513
ko:K03043	cjeu:N565_00514
ko:K01714	cjeu:N565_00517
ko:K16849	cjeu:N565_00518
ko:K16850	cjeu:N565_00519
ko:K02429	cjeu:N565_00522
ko:K03534	cjeu:N565_00524
ko:K07248	cjeu:N565_00525
ko:K02950	cjeu:N565_00526
ko:K02992	cjeu:N565_00527
ko:K02355	cjeu:N565_00528
ko:K06940	cjeu:N565_00531
ko:K01609	cjeu:N565_00533
ko:K00761	cjeu:N565_01341
ko:K00029	cjeu:N565_01342
ko:K01961	cjeu:N565_01345
ko:K02160	cjeu:N565_01346
ko:K01494	cjeu:N565_01347
ko:K15894	cjeu:N565_01348
ko:K15895	cjeu:N565_01349
ko:K00648	cjeu:N565_01358
ko:K14238	cjeu:N565_01529
ko:K14222	cjeu:N565_01646
ko:K14226	cjeu:N565_01695
ko:K14232	cjeu:N565_01696
ko:K14237	cjeu:N565_01745
ko:K14218	cjeu:N565_00462
ko:K14219	cjeu:N565_00529
ko:K14233	cjeu:N565_01392
ko:K01977	cjeu:N565_00461
ko:K14227	cjeu:N565_00463
ko:K14225	cjeu:N565_00505
ko:K14235	cjeu:N565_00508
ko:K14219	cjeu:N565_01693
ko:K14219	cjeu:N565_01694
ko:K14230	cjeu:N565_00604
ko:K14230	cjeu:N565_01287
ko:K08173	cjeu:N565_00374
ko:K11928	cjeu:N565_01532
ko:K05540	cjeu:N565_00115
ko:K14221	cjeu:N565_00951
ko:K14237	cjeu:N565_00952
ko:K14230	cjeu:N565_01742
ko:K14223	cjeu:N565_00605
ko:K14228	cjeu:N565_00898
ko:K14228	cjeu:N565_00947
ko:K14228	cjeu:N565_01645
ko:K14229	cjeu:N565_00953
ko:K14229	cjeu:N565_00957
ko:K14220	cjeu:N565_01230
ko:K14231	cjeu:N565_01337
ko:K14224	cjeu:N565_00956
ko:K07318	cjeu:N565_00195
ko:K00290	cjeu:N565_00160
ko:K14224	cjeu:N565_00156
ko:K14234	cjeu:N565_00503
ko:K14234	cjeu:N565_00506
ko:K14236	cjeu:N565_00504
ko:K14218	cjeu:N565_01744
ko:K01497	cjeu:N565_01008
ko:K14225	cjeu:N565_00899
ko:K14225	cjeu:N565_01644
ko:K14233	cjeu:N565_01647
ko:K14233	cjeu:N565_01743
ko:K00254	cjeu:N565_00827
ko:K17938	cjeu:N565_00169
ko:K05922	cjeu:N565_01271
ko:K05927	cjeu:N565_01272
ko:K05927	cjeu:N565_01436
ko:K07812	cjeu:N565_00245
ko:K00104	cjeu:N565_01217
ko:K07003	cjeu:N565_01409
ko:K03605	cjeu:N565_01269
ko:K05366	cjeu:N565_00543
ko:K01533	cjeu:N565_01167
ko:K15912	cjeu:N565_01131
ko:K15913	cjeu:N565_01134
ko:K18284	cjeu:N565_00109
ko:K17248	cjeu:N565_01138
ko:K11013	cjeu:N565_00073
ko:K11784	cjeu:N565_00495
ko:K11785	cjeu:N565_01702
ko:K18333	cjeu:N565_00521
ko:K07171	cjeu:N565_01332
ko:K18285	cjeu:N565_01404
ko:K08068	cjeu:N565_01151
ko:K15910	cjeu:N565_01132
ko:K02482	cjeu:N565_00816
ko:K01174	cjeu:N565_00993
ko:K00983	cjeu:N565_01152
ko:K04753	cjeu:N565_01546
ko:K06148	cjeu:N565_01141
ko:K07216	cjeu:N565_01228
ko:K03673	cjeu:N565_00882
ko:K03406	cjeu:N565_00969
ko:K02073	cjeu:N565_01206
ko:K03326	cjeu:N565_01425
ko:K03326	cjeu:N565_01426
ko:K02073	cjeu:N565_00793
ko:K02073	cjeu:N565_00794
ko:K03743	cjeu:N565_01074
ko:K18480	cjeu:N565_01674
ko:K00241	cjeu:N565_00471
ko:K06218	cjeu:N565_01328
ko:K18925	cjeu:N565_00344
ko:K10747	cjeu:N565_01697
ko:K18930	cjeu:N565_01607
ko:K00662	cjeu:N565_01353
ko:K09797	cjeu:N565_00032
ko:K03496	cjeu:N565_00092
ko:K03497	cjeu:N565_00093
ko:K03111	cjeu:N565_01084
ko:K18992	cjeu:N565_00401
ko:K00335	cjeu:N565_01596
ko:K03526	cjeu:N565_00714
ko:K11014	cjeu:N565_00072
ko:K07452	cjeu:N565_00130
ko:K07097	cjeu:N565_00892
ko:K06992	cjeu:N565_00054
ko:K15461	cjeu:N565_01273
ko:K00557	cjeu:N565_00852
ko:K00336	cjeu:N565_01595
ko:K11015	cjeu:N565_00071
ko:K17251	cjeu:N565_01137
ko:K19147	cjeu:N565_00131
ko:K17249	cjeu:N565_01140
ko:K15897	cjeu:N565_01369
ko:K15914	cjeu:N565_01136
ko:K15915	cjeu:N565_01135
ko:K00571	cjeu:N565_01290
ko:K17250	cjeu:N565_01139
ko:K01654	cjeu:N565_01150
ko:K09951	cjeu:N565_01550
ko:K15342	cjeu:N565_01551
ko:K04771	cjeu:N565_01233
ko:K19210	cjeu:N565_00334
ko:K15899	cjeu:N565_01368
ko:K00265	cjeu:N565_00007
ko:K03892	cjeu:N565_01585
ko:K06867	cjeu:N565_01422
ko:K07496	cjeu:N565_00777
ko:K14218	cjeu:N565_02100
ko:K14218	cjeu:N565_01770
ko:K19416	cjeu:N565_00217
ko:K06867	cjeu:N565_00854
ko:K07216	cjeu:N565_00065
ko:K07216	cjeu:N565_00066
ko:K10938	cjeu:N565_00269
ko:K19713	cjeu:N565_00889
ko:K07147	cjeu:N565_00412
ko:K01925	cjeu:N565_01975
ko:K02913	cjeu:N565_01990
ko:K03073	cjeu:N565_01995
ko:K03406	cjeu:N565_01845
ko:K03406	cjeu:N565_01900
ko:K01546	cjeu:N565_02050
ko:K01546	cjeu:N565_00703
ko:K13626	cjeu:N565_02230
ko:K01934	cjeu:N565_02265
ko:K00662	cjeu:N565_02305
ko:K18430	cjeu:N565_02345
ko:K18429	cjeu:N565_02350
ko:K02406	cjeu:N565_02395
ko:K02406	cjeu:N565_02400
ko:K15669	cjeu:N565_02430
ko:K00817	cjeu:N565_02460
ko:K03406	cjeu:N565_02500
ko:K03313	cjeu:N565_02520
ko:K03319	cjeu:N565_01805
ko:K03786	cjeu:N565_01820
ko:K09796	cjeu:N565_00919
ko:K20810	cjeu:N565_01825
ko:K14227	cjeu:N565_02105
ko:K14227	cjeu:N565_01775
ko:K01980	cjeu:N565_01780
ko:K01980	cjeu:N565_02110
ko:K01980	cjeu:N565_01965
ko:K01985	cjeu:N565_01785
ko:K01985	cjeu:N565_02115
ko:K01985	cjeu:N565_01970
ko:K14221	cjeu:N565_02185
ko:K14237	cjeu:N565_02190
ko:K18431	cjeu:N565_02365
ko:K00821	cjeu:N565_00208
ko:K01023	cjeu:N565_02155
ko:K02316	cjeu:N565_01663
ko:K02335	cjeu:N565_00373
ko:K03465	cjeu:N565_00025
ko:K02314	cjeu:N565_00596
ko:K06905	cjeu:N565_00297
ko:K06906	cjeu:N565_00299
ko:K06903	cjeu:N565_00314
ko:K06907	cjeu:N565_00321
ko:K06908	cjeu:N565_00322
ko:K06223	cjeu:N565_00327
ko:K03553	cjeu:N565_01701
ko:K02483	cjeu:N565_01266
ko:K02483	cjeu:N565_00389
ko:K02483	cjeu:N565_01232
ko:K00525	cjeu:N565_00023
ko:K02032	cjeu:N565_01602
ko:K02481	cjeu:N565_01037
ko:K01139	cjeu:N565_01277
ko:K00526	cjeu:N565_00212
ko:K10938	cjeu:N565_00801
ko:K03668	cjeu:N565_00968
ko:K13695	cjeu:N565_02515
ko:K21420	cjeu:N565_01048
ko:K01451	cjeu:N565_00999
ko:K10026	cjeu:N565_00149
ko:K21600	cjeu:N565_00545
ko:K21929	cjeu:N565_00980
ko:K03595	cjeu:N565_00693
ko:K14441	cjeu:N565_01486
ko:K17758	cjeu:N565_00175
ko:K17759	cjeu:N565_00175
ko:K22391	cjeu:N565_00734
ko:K22424	cjeu:N565_01455
ko:K22477	cjeu:N565_00206
