ko:K08744	mtl:CCDC5180_1659
ko:K01265	mtl:CCDC5180_0671
ko:K03088	mtl:CCDC5180_0672
ko:K00140	mtl:CCDC5180_0688
ko:K03921	mtl:CCDC5180_0753
ko:K08641	mtl:CCDC5180_0767
ko:K00161	mtl:CCDC5180_0771
ko:K01738	mtl:CCDC5180_0776
ko:K14267	mtl:CCDC5180_0786
ko:K03637	mtl:CCDC5180_0791
ko:K03639	mtl:CCDC5180_0795
ko:K03704	mtl:CCDC5180_0797
ko:K03790	mtl:CCDC5180_0911
ko:K07056	mtl:CCDC5180_0919
ko:K01665	mtl:CCDC5180_0921
ko:K01874	mtl:CCDC5180_0923
ko:K03424	mtl:CCDC5180_0924
ko:K02528	mtl:CCDC5180_0926
ko:K00919	mtl:CCDC5180_0927
ko:K01056	mtl:CCDC5180_0929
ko:K02897	mtl:CCDC5180_0930
ko:K00948	mtl:CCDC5180_0932
ko:K04042	mtl:CCDC5180_0933
ko:K03723	mtl:CCDC5180_0935
ko:K01689	mtl:CCDC5180_0938
ko:K01524	mtl:CCDC5180_0941
ko:K07667	mtl:CCDC5180_0942
ko:K07646	mtl:CCDC5180_0943
ko:K01546	mtl:CCDC5180_0944
ko:K01547	mtl:CCDC5180_0945
ko:K01548	mtl:CCDC5180_0946
ko:K00318	mtl:CCDC5180_1092
ko:K03088	mtl:CCDC5180_1093
ko:K06966	mtl:CCDC5180_1106
ko:K00796	mtl:CCDC5180_1108
ko:K01246	mtl:CCDC5180_1111
ko:K00975	mtl:CCDC5180_1113
ko:K06978	mtl:CCDC5180_1115
ko:K03088	mtl:CCDC5180_1121
ko:K03117	mtl:CCDC5180_1124
ko:K18851	mtl:CCDC5180_0113
ko:K01666	mtl:CCDC5180_3227
ko:K03218	mtl:CCDC5180_3272
ko:K01883	mtl:CCDC5180_3273
ko:K01770	mtl:CCDC5180_3274
ko:K00991	mtl:CCDC5180_3275
ko:K07736	mtl:CCDC5180_3276
ko:K04485	mtl:CCDC5180_3278
ko:K01673	mtl:CCDC5180_3281
ko:K03575	mtl:CCDC5180_3282
ko:K03696	mtl:CCDC5180_3289
ko:K04567	mtl:CCDC5180_3291
ko:K03525	mtl:CCDC5180_3292
ko:K01579	mtl:CCDC5180_3293
ko:K01918	mtl:CCDC5180_3294
ko:K00950	mtl:CCDC5180_3298
ko:K01633	mtl:CCDC5180_3299
ko:K00796	mtl:CCDC5180_3300
ko:K01495	mtl:CCDC5180_3301
ko:K03798	mtl:CCDC5180_3302
ko:K09807	mtl:CCDC5180_3310
ko:K00760	mtl:CCDC5180_3311
ko:K04075	mtl:CCDC5180_3312
ko:K07259	mtl:CCDC5180_3314
ko:K09799	mtl:CCDC5180_3316
ko:K04095	mtl:CCDC5180_3328
ko:K02341	mtl:CCDC5180_3329
ko:K03168	mtl:CCDC5180_3331
ko:K12510	mtl:CCDC5180_3338
ko:K02283	mtl:CCDC5180_3339
ko:K01895	mtl:CCDC5180_3347
ko:K10773	mtl:CCDC5180_3354
ko:K01738	mtl:CCDC5180_3365
ko:K09117	mtl:CCDC5180_3369
ko:K03924	mtl:CCDC5180_3373
ko:K00864	mtl:CCDC5180_3378
ko:K07008	mtl:CCDC5180_3384
ko:K01919	mtl:CCDC5180_3386
ko:K00133	mtl:CCDC5180_3391
ko:K00928	mtl:CCDC5180_3392
ko:K01649	mtl:CCDC5180_3393
ko:K06187	mtl:CCDC5180_3398
ko:K09747	mtl:CCDC5180_3399
ko:K01448	mtl:CCDC5180_3400
ko:K00574	mtl:CCDC5180_3403
ko:K02343	mtl:CCDC5180_3404
ko:K07001	mtl:CCDC5180_3411
ko:K06937	mtl:CCDC5180_3412
ko:K11737	mtl:CCDC5180_1564
ko:K03321	mtl:CCDC5180_1567
ko:K05896	mtl:CCDC5180_1569
ko:K06024	mtl:CCDC5180_1570
ko:K06178	mtl:CCDC5180_1571
ko:K00945	mtl:CCDC5180_1572
ko:K03977	mtl:CCDC5180_1573
ko:K00074	mtl:CCDC5180_1575
ko:K02575	mtl:CCDC5180_1595
ko:K07560	mtl:CCDC5180_1730
ko:K08972	mtl:CCDC5180_1736
ko:K03782	mtl:CCDC5180_1741
ko:K01637	mtl:CCDC5180_1748
ko:K09166	mtl:CCDC5180_1758
ko:K09129	mtl:CCDC5180_3418
ko:K09957	mtl:CCDC5180_3435
ko:K05846	mtl:CCDC5180_3436
ko:K05846	mtl:CCDC5180_3437
ko:K05847	mtl:CCDC5180_3438
ko:K05845	mtl:CCDC5180_3439
ko:K00817	mtl:CCDC5180_3450
ko:K01875	mtl:CCDC5180_3512
ko:K01126	mtl:CCDC5180_3520
ko:K04564	mtl:CCDC5180_3524
ko:K02553	mtl:CCDC5180_3530
ko:K00266	mtl:CCDC5180_3534
ko:K14652	mtl:CCDC5180_1770
ko:K03118	mtl:CCDC5180_1912
ko:K03116	mtl:CCDC5180_1913
ko:K03432	mtl:CCDC5180_1925
ko:K03433	mtl:CCDC5180_1926
ko:K00765	mtl:CCDC5180_1935
ko:K11738	mtl:CCDC5180_1941
ko:K02276	mtl:CCDC5180_2001
ko:K02275	mtl:CCDC5180_2008
ko:K01953	mtl:CCDC5180_2009
ko:K00865	mtl:CCDC5180_2013
ko:K00768	mtl:CCDC5180_2015
ko:K02233	mtl:CCDC5180_2016
ko:K00826	mtl:CCDC5180_2018
ko:K00605	mtl:CCDC5180_2019
ko:K01255	mtl:CCDC5180_2021
ko:K00658	mtl:CCDC5180_2023
ko:K07071	mtl:CCDC5180_2024
ko:K03801	mtl:CCDC5180_2025
ko:K03644	mtl:CCDC5180_2026
ko:K01915	mtl:CCDC5180_2029
ko:K00982	mtl:CCDC5180_2030
ko:K01915	mtl:CCDC5180_2031
ko:K00606	mtl:CCDC5180_2034
ko:K09990	mtl:CCDC5180_2036
ko:K07164	mtl:CCDC5180_2039
ko:K00817	mtl:CCDC5180_2041
ko:K02227	mtl:CCDC5180_2045
ko:K00163	mtl:CCDC5180_2050
ko:K00645	mtl:CCDC5180_2052
ko:K03568	mtl:CCDC5180_2112
ko:K02575	mtl:CCDC5180_2126
ko:K01738	mtl:CCDC5180_2131
ko:K00640	mtl:CCDC5180_2132
ko:K01129	mtl:CCDC5180_2140
ko:K01114	mtl:CCDC5180_2143
ko:K01114	mtl:CCDC5180_2144
ko:K01114	mtl:CCDC5180_2145
ko:K01880	mtl:CCDC5180_2151
ko:K03584	mtl:CCDC5180_2156
ko:K03595	mtl:CCDC5180_2158
ko:K00147	mtl:CCDC5180_2214
ko:K04756	mtl:CCDC5180_2216
ko:K01950	mtl:CCDC5180_2222
ko:K00931	mtl:CCDC5180_2223
ko:K03979	mtl:CCDC5180_2224
ko:K02888	mtl:CCDC5180_2225
ko:K00940	mtl:CCDC5180_2228
ko:K11754	mtl:CCDC5180_2230
ko:K01873	mtl:CCDC5180_2231
ko:K03752	mtl:CCDC5180_2234
ko:K00175	mtl:CCDC5180_2235
ko:K00174	mtl:CCDC5180_2236
ko:K03544	mtl:CCDC5180_2238
ko:K01358	mtl:CCDC5180_2241
ko:K01358	mtl:CCDC5180_2242
ko:K03545	mtl:CCDC5180_2243
ko:K01808	mtl:CCDC5180_2246
ko:K01256	mtl:CCDC5180_2248
ko:K06886	mtl:CCDC5180_2251
ko:K07107	mtl:CCDC5180_2255
ko:K15371	mtl:CCDC5180_2256
ko:K00631	mtl:CCDC5180_2259
ko:K00797	mtl:CCDC5180_2370
ko:K08681	mtl:CCDC5180_2373
ko:K10805	mtl:CCDC5180_2374
ko:K06215	mtl:CCDC5180_2375
ko:K00275	mtl:CCDC5180_2376
ko:K01868	mtl:CCDC5180_2382
ko:K14415	mtl:CCDC5180_2398
ko:K09771	mtl:CCDC5180_2404
ko:K06978	mtl:CCDC5180_2539
ko:K05813	mtl:CCDC5180_2562
ko:K02834	mtl:CCDC5180_2567
ko:K02519	mtl:CCDC5180_2568
ko:K02600	mtl:CCDC5180_2570
ko:K09748	mtl:CCDC5180_2571
ko:K01881	mtl:CCDC5180_2574
ko:K02302	mtl:CCDC5180_2576
ko:K02959	mtl:CCDC5180_2634
ko:K03106	mtl:CCDC5180_2641
ko:K00990	mtl:CCDC5180_2643
ko:K04751	mtl:CCDC5180_2644
ko:K03320	mtl:CCDC5180_2645
ko:K03110	mtl:CCDC5180_2646
ko:K03529	mtl:CCDC5180_2647
ko:K03685	mtl:CCDC5180_2650
ko:K07040	mtl:CCDC5180_2651
ko:K07089	mtl:CCDC5180_2685
ko:K01433	mtl:CCDC5180_2686
ko:K06199	mtl:CCDC5180_2791
ko:K01644	mtl:CCDC5180_2796
ko:K03664	mtl:CCDC5180_2820
ko:K09811	mtl:CCDC5180_2821
ko:K09812	mtl:CCDC5180_2822
ko:K02836	mtl:CCDC5180_2825
ko:K00528	mtl:CCDC5180_2826
ko:K03639	mtl:CCDC5180_2828
ko:K03637	mtl:CCDC5180_2829
ko:K10716	mtl:CCDC5180_2914
ko:K16045	mtl:CCDC5180_1014
ko:K16046	mtl:CCDC5180_3211
ko:K05898	mtl:CCDC5180_3230
ko:K16048	mtl:CCDC5180_3260
ko:K16047	mtl:CCDC5180_3263
ko:K16049	mtl:CCDC5180_3261
ko:K16050	mtl:CCDC5180_3262
ko:K14232	mtl:CCDC5180_22720
ko:K07045	mtl:CCDC5180_3203
ko:K18955	mtl:CCDC5180_2971
ko:K07654	mtl:CCDC5180_2958
ko:K07670	mtl:CCDC5180_2959
ko:K03294	mtl:CCDC5180_2964
ko:K11212	mtl:CCDC5180_2972
ko:K12234	mtl:CCDC5180_2973
ko:K01966	mtl:CCDC5180_2990
ko:K01011	mtl:CCDC5180_2992
ko:K11263	mtl:CCDC5180_2994
ko:K03090	mtl:CCDC5180_2995
ko:K03918	mtl:CCDC5180_2999
ko:K05522	mtl:CCDC5180_3006
ko:K03932	mtl:CCDC5180_3007
ko:K06177	mtl:CCDC5180_3009
ko:K03783	mtl:CCDC5180_3016
ko:K01488	mtl:CCDC5180_3023
ko:K00758	mtl:CCDC5180_3024
ko:K01489	mtl:CCDC5180_3025
ko:K00241	mtl:CCDC5180_3026
ko:K07258	mtl:CCDC5180_3039
ko:K06945	mtl:CCDC5180_3064
ko:K07131	mtl:CCDC5180_3066
ko:K14162	mtl:CCDC5180_3072
ko:K01692	mtl:CCDC5180_3075
ko:K07025	mtl:CCDC5180_3077
ko:K13787	mtl:CCDC5180_3081
ko:K13787	mtl:CCDC5180_3097
ko:K03333	mtl:CCDC5180_3107
ko:K00088	mtl:CCDC5180_3108
ko:K14232	mtl:CCDC5180_34080
ko:K01692	mtl:CCDC5180_2761
ko:K02274	mtl:CCDC5180_2765
ko:K03647	mtl:CCDC5180_2774
ko:K01835	mtl:CCDC5180_2789
ko:K09118	mtl:CCDC5180_2907
ko:K07177	mtl:CCDC5180_2908
ko:K00508	mtl:CCDC5180_2942
ko:K03455	mtl:CCDC5180_2948
ko:K00088	mtl:CCDC5180_3109
ko:K01409	mtl:CCDC5180_3118
ko:K01580	mtl:CCDC5180_3132
ko:K14743	mtl:CCDC5180_3148
ko:K02067	mtl:CCDC5180_3185
ko:K02067	mtl:CCDC5180_3186
ko:K02067	mtl:CCDC5180_3188
ko:K02067	mtl:CCDC5180_3189
ko:K00059	mtl:CCDC5180_3193
ko:K00666	mtl:CCDC5180_3196
ko:K01692	mtl:CCDC5180_3209
ko:K00626	mtl:CCDC5180_3216
ko:K15982	mtl:CCDC5180_3219
ko:K14235	mtl:CCDC5180_05950
ko:K02067	mtl:CCDC5180_0546
ko:K10563	mtl:CCDC5180_0863
ko:K03405	mtl:CCDC5180_0875
ko:K01692	mtl:CCDC5180_0887
ko:K01965	mtl:CCDC5180_0889
ko:K07669	mtl:CCDC5180_0897
ko:K07653	mtl:CCDC5180_0898
ko:K08372	mtl:CCDC5180_0899
ko:K02004	mtl:CCDC5180_0903
ko:K00805	mtl:CCDC5180_0905
ko:K00033	mtl:CCDC5180_1026
ko:K07052	mtl:CCDC5180_1046
ko:K01692	mtl:CCDC5180_1047
ko:K01692	mtl:CCDC5180_1048
ko:K01796	mtl:CCDC5180_1049
ko:K06994	mtl:CCDC5180_1051
ko:K00374	mtl:CCDC5180_1069
ko:K00567	mtl:CCDC5180_1209
ko:K07503	mtl:CCDC5180_1215
ko:K00626	mtl:CCDC5180_1217
ko:K00700	mtl:CCDC5180_1220
ko:K12444	mtl:CCDC5180_2659
ko:K12443	mtl:CCDC5180_2658
ko:K12951	mtl:CCDC5180_1357
ko:K12423	mtl:CCDC5180_1089
ko:K02067	mtl:CCDC5180_1787
ko:K16168	mtl:CCDC5180_1045
ko:K00616	mtl:CCDC5180_1335
ko:K06994	mtl:CCDC5180_1406
ko:K01424	mtl:CCDC5180_1422
ko:K00244	mtl:CCDC5180_1436
ko:K00245	mtl:CCDC5180_1437
ko:K00247	mtl:CCDC5180_1439
ko:K06994	mtl:CCDC5180_1441
ko:K00088	mtl:CCDC5180_1679
ko:K00033	mtl:CCDC5180_1680
ko:K02017	mtl:CCDC5180_1694
ko:K13953	mtl:CCDC5180_1697
ko:K07052	mtl:CCDC5180_1698
ko:K00626	mtl:CCDC5180_1702
ko:K00101	mtl:CCDC5180_1707
ko:K04093	mtl:CCDC5180_1720
ko:K02025	mtl:CCDC5180_1864
ko:K03929	mtl:CCDC5180_1869
ko:K02077	mtl:CCDC5180_1881
ko:K13540	mtl:CCDC5180_1887
ko:K06910	mtl:CCDC5180_1952
ko:K13787	mtl:CCDC5180_1982
ko:K13671	mtl:CCDC5180_1990
ko:K13668	mtl:CCDC5180_1997
ko:K14954	mtl:CCDC5180_1299
ko:K11609	mtl:CCDC5180_2054
ko:K11609	mtl:CCDC5180_2055
ko:K00803	mtl:CCDC5180_2061
ko:K00153	mtl:CCDC5180_2068
ko:K00389	mtl:CCDC5180_2078
ko:K03316	mtl:CCDC5180_2089
ko:K01011	mtl:CCDC5180_2091
ko:K06889	mtl:CCDC5180_2104
ko:K04788	mtl:CCDC5180_2174
ko:K00784	mtl:CCDC5180_2197
ko:K02238	mtl:CCDC5180_2202
ko:K07161	mtl:CCDC5180_2212
ko:K02004	mtl:CCDC5180_2332
ko:K07054	mtl:CCDC5180_2344
ko:K03768	mtl:CCDC5180_2351
ko:K02035	mtl:CCDC5180_2354
ko:K09762	mtl:CCDC5180_1311
ko:K10533	mtl:CCDC5180_2484
ko:K00619	mtl:CCDC5180_2491
ko:K07655	mtl:CCDC5180_0825
ko:K10215	mtl:CCDC5180_3531
ko:K01664	mtl:CCDC5180_0014
ko:K07776	mtl:CCDC5180_0453
ko:K01784	mtl:CCDC5180_0464
ko:K02351	mtl:CCDC5180_0090
ko:K07245	mtl:CCDC5180_0090
ko:K07031	mtl:CCDC5180_0100
ko:K06994	mtl:CCDC5180_0470
ko:K02067	mtl:CCDC5180_0549
ko:K02067	mtl:CCDC5180_0551
ko:K02067	mtl:CCDC5180_0552
ko:K01692	mtl:CCDC5180_0582
ko:K00058	mtl:CCDC5180_0665
ko:K00854	mtl:CCDC5180_0666
ko:K00939	mtl:CCDC5180_0670
ko:K00121	mtl:CCDC5180_0696
ko:K01259	mtl:CCDC5180_0769
ko:K01796	mtl:CCDC5180_0783
ko:K00626	mtl:CCDC5180_0787
ko:K01782	mtl:CCDC5180_0788
ko:K01577	mtl:CCDC5180_0103
ko:K10843	mtl:CCDC5180_0789
ko:K03635	mtl:CCDC5180_0793
ko:K01478	mtl:CCDC5180_0917
ko:K07304	mtl:CCDC5180_0122
ko:K01104	mtl:CCDC5180_0137
ko:K00666	mtl:CCDC5180_0928
ko:K02428	mtl:CCDC5180_0936
ko:K09009	mtl:CCDC5180_0940
ko:K15525	mtl:CCDC5180_1075
ko:K11779	mtl:CCDC5180_1078
ko:K00219	mtl:CCDC5180_1080
ko:K06994	mtl:CCDC5180_1087
ko:K00294	mtl:CCDC5180_1091
ko:K00674	mtl:CCDC5180_1102
ko:K01439	mtl:CCDC5180_1103
ko:K14743	mtl:CCDC5180_0269
ko:K00598	mtl:CCDC5180_0272
ko:K00666	mtl:CCDC5180_1107
ko:K13693	mtl:CCDC5180_1109
ko:K08981	mtl:CCDC5180_1126
ko:K09167	mtl:CCDC5180_1127
ko:K01692	mtl:CCDC5180_0422
ko:K01322	mtl:CCDC5180_0423
ko:K01619	mtl:CCDC5180_0440
ko:K15521	mtl:CCDC5180_0448
ko:K07768	mtl:CCDC5180_0452
ko:K04073	mtl:CCDC5180_3228
ko:K15981	mtl:CCDC5180_3238
ko:K00626	mtl:CCDC5180_3239
ko:K01692	mtl:CCDC5180_3243
ko:K00626	mtl:CCDC5180_3249
ko:K00059	mtl:CCDC5180_3252
ko:K15983	mtl:CCDC5180_3264
ko:K07067	mtl:CCDC5180_3279
ko:K14733	mtl:CCDC5180_3308
ko:K01507	mtl:CCDC5180_3315
ko:K09153	mtl:CCDC5180_3319
ko:K01784	mtl:CCDC5180_3321
ko:K07009	mtl:CCDC5180_3396
ko:K04517	mtl:CCDC5180_3434
ko:K06877	mtl:CCDC5180_3333
ko:K14953	mtl:CCDC5180_3442
ko:K01692	mtl:CCDC5180_3452
ko:K13686	mtl:CCDC5180_3470
ko:K12437	mtl:CCDC5180_3478
ko:K12428	mtl:CCDC5180_3479
ko:K13687	mtl:CCDC5180_3483
ko:K14136	mtl:CCDC5180_3484
ko:K01854	mtl:CCDC5180_3487
ko:K02342	mtl:CCDC5180_3394
ko:K14952	mtl:CCDC5180_3497
ko:K06994	mtl:CCDC5180_3502
ko:K04518	mtl:CCDC5180_3516
ko:K04477	mtl:CCDC5180_3533
ko:K01840	mtl:CCDC5180_3017
ko:K01692	mtl:CCDC5180_2263
ko:K11263	mtl:CCDC5180_2277
ko:K00666	mtl:CCDC5180_2281
ko:K06902	mtl:CCDC5180_2284
ko:K07305	mtl:CCDC5180_2427
ko:K01692	mtl:CCDC5180_2432
ko:K03499	mtl:CCDC5180_2444
ko:K03499	mtl:CCDC5180_2445
ko:K01092	mtl:CCDC5180_2452
ko:K03087	mtl:CCDC5180_2458
ko:K03709	mtl:CCDC5180_2459
ko:K05794	mtl:CCDC5180_2469
ko:K04652	mtl:CCDC5180_2587
ko:K06976	mtl:CCDC5180_2596
ko:K01958	mtl:CCDC5180_2689
ko:K07030	mtl:CCDC5180_2696
ko:K14941	mtl:CCDC5180_2704
ko:K01885	mtl:CCDC5180_2713
ko:K00058	mtl:CCDC5180_2716
ko:K02433	mtl:CCDC5180_2731
ko:K05602	mtl:CCDC5180_2853
ko:K00274	mtl:CCDC5180_2886
ko:K12434	mtl:CCDC5180_1525
ko:K12435	mtl:CCDC5180_1526
ko:K12439	mtl:CCDC5180_1527
ko:K00666	mtl:CCDC5180_0150
ko:K02067	mtl:CCDC5180_0154
ko:K02067	mtl:CCDC5180_0157
ko:K02067	mtl:CCDC5180_0158
ko:K07386	mtl:CCDC5180_0181
ko:K06860	mtl:CCDC5180_0190
ko:K01596	mtl:CCDC5180_0194
ko:K13640	mtl:CCDC5180_0326
ko:K07161	mtl:CCDC5180_0341
ko:K03518	mtl:CCDC5180_0347
ko:K03519	mtl:CCDC5180_0348
ko:K06196	mtl:CCDC5180_0488
ko:K00772	mtl:CCDC5180_0495
ko:K09931	mtl:CCDC5180_0500
ko:K00666	mtl:CCDC5180_0509
ko:K02549	mtl:CCDC5180_0511
ko:K12583	mtl:CCDC5180_0515
ko:K00805	mtl:CCDC5180_0520
ko:K00845	mtl:CCDC5180_0600
ko:K07052	mtl:CCDC5180_0606
ko:K03932	mtl:CCDC5180_0614
ko:K01692	mtl:CCDC5180_0616
ko:K01692	mtl:CCDC5180_0618
ko:K06994	mtl:CCDC5180_0619
ko:K00101	mtl:CCDC5180_0636
ko:K05917	mtl:CCDC5180_0698
ko:K01607	mtl:CCDC5180_0705
ko:K06986	mtl:CCDC5180_0717
ko:K07077	mtl:CCDC5180_0718
ko:K07052	mtl:CCDC5180_0736
ko:K02619	mtl:CCDC5180_0742
ko:K01011	mtl:CCDC5180_0744
ko:K15520	mtl:CCDC5180_0748
ko:K04750	mtl:CCDC5180_0811
ko:K01962	mtl:CCDC5180_0827
ko:K01963	mtl:CCDC5180_0827
ko:K01692	mtl:CCDC5180_0828
ko:K11159	mtl:CCDC5180_0835
ko:K00626	mtl:CCDC5180_0836
ko:K00076	mtl:CCDC5180_0847
ko:K00666	mtl:CCDC5180_0968
ko:K01692	mtl:CCDC5180_0980
ko:K01692	mtl:CCDC5180_0981
ko:K00626	mtl:CCDC5180_0984
ko:K12503	mtl:CCDC5180_0995
ko:K00867	mtl:CCDC5180_1000
ko:K01679	mtl:CCDC5180_1006
ko:K02446	mtl:CCDC5180_1007
ko:K03593	mtl:CCDC5180_1129
ko:K02025	mtl:CCDC5180_1135
ko:K01616	mtl:CCDC5180_1144
ko:K06147	mtl:CCDC5180_1167
ko:K06147	mtl:CCDC5180_1168
ko:K02035	mtl:CCDC5180_1175
ko:K02033	mtl:CCDC5180_1178
ko:K02428	mtl:CCDC5180_1233
ko:K01909	mtl:CCDC5180_1236
ko:K00059	mtl:CCDC5180_1241
ko:K14339	mtl:CCDC5180_1345
ko:K04488	mtl:CCDC5180_1351
ko:K01692	mtl:CCDC5180_1360
ko:K07114	mtl:CCDC5180_1369
ko:K11610	mtl:CCDC5180_1371
ko:K11611	mtl:CCDC5180_1372
ko:K01847	mtl:CCDC5180_1380
ko:K01847	mtl:CCDC5180_1381
ko:K07588	mtl:CCDC5180_1383
ko:K00652	mtl:CCDC5180_1451
ko:K01814	mtl:CCDC5180_1468
ko:K01817	mtl:CCDC5180_1468
ko:K01092	mtl:CCDC5180_1469
ko:K01496	mtl:CCDC5180_1471
ko:K16012	mtl:CCDC5180_1485
ko:K16013	mtl:CCDC5180_1486
ko:K09146	mtl:CCDC5180_1497
ko:K14340	mtl:CCDC5180_1500
ko:K14743	mtl:CCDC5180_1633
ko:K02067	mtl:CCDC5180_1788
ko:K02067	mtl:CCDC5180_1789
ko:K02067	mtl:CCDC5180_1790
ko:K02067	mtl:CCDC5180_1791
ko:K02067	mtl:CCDC5180_1792
ko:K03294	mtl:CCDC5180_1821
ko:K00038	mtl:CCDC5180_1824
ko:K14743	mtl:CCDC5180_3557
ko:K14743	mtl:CCDC5180_3560
ko:K00970	mtl:CCDC5180_3577
ko:K06346	mtl:CCDC5180_3590
ko:K07028	mtl:CCDC5180_1826
ko:K07068	mtl:CCDC5180_1493
ko:K00652	mtl:CCDC5180_0031
ko:K09118	mtl:CCDC5180_0058
ko:K01243	mtl:CCDC5180_0082
ko:K01692	mtl:CCDC5180_0205
ko:K07048	mtl:CCDC5180_0213
ko:K00135	mtl:CCDC5180_0217
ko:K00059	mtl:CCDC5180_0224
ko:K00626	mtl:CCDC5180_0225
ko:K01719	mtl:CCDC5180_0241
ko:K01469	mtl:CCDC5180_0247
ko:K00666	mtl:CCDC5180_0250
ko:K06994	mtl:CCDC5180_0372
ko:K14949	mtl:CCDC5180_0379
ko:K03153	mtl:CCDC5180_0384
ko:K06994	mtl:CCDC5180_0416
ko:K00666	mtl:CCDC5180_1605
ko:K08178	mtl:CCDC5180_1735
ko:K06910	mtl:CCDC5180_1743
ko:K01515	mtl:CCDC5180_1560
ko:K06910	mtl:CCDC5180_1744
ko:K00666	mtl:CCDC5180_1756
ko:K01692	mtl:CCDC5180_1765
ko:K00595	mtl:CCDC5180_1892
ko:K03727	mtl:CCDC5180_1911
ko:K13573	mtl:CCDC5180_1914
ko:K13571	mtl:CCDC5180_1916
ko:K13527	mtl:CCDC5180_1930
ko:K07442	mtl:CCDC5180_1932
ko:K00548	mtl:CCDC5180_1938
ko:K15526	mtl:CCDC5180_1943
ko:K04763	mtl:CCDC5180_1561
ko:K00545	mtl:CCDC5180_1563
ko:K01082	mtl:CCDC5180_1944
ko:K02342	mtl:CCDC5180_2000
ko:K03889	mtl:CCDC5180_2002
ko:K03890	mtl:CCDC5180_2003
ko:K03891	mtl:CCDC5180_2004
ko:K00856	mtl:CCDC5180_2010
ko:K01104	mtl:CCDC5180_2043
ko:K03386	mtl:CCDC5180_2047
ko:K02025	mtl:CCDC5180_2113
ko:K00819	mtl:CCDC5180_2118
ko:K00819	mtl:CCDC5180_2119
ko:K00027	mtl:CCDC5180_2129
ko:K06994	mtl:CCDC5180_2136
ko:K03711	mtl:CCDC5180_2153
ko:K03386	mtl:CCDC5180_2215
ko:K00852	mtl:CCDC5180_2221
ko:K00547	mtl:CCDC5180_2239
ko:K01823	mtl:CCDC5180_1600
ko:K05522	mtl:CCDC5180_2245
ko:K15781	mtl:CCDC5180_2260
ko:K08256	mtl:CCDC5180_2379
ko:K03709	mtl:CCDC5180_2527
ko:K03177	mtl:CCDC5180_2532
ko:K09002	mtl:CCDC5180_2551
ko:K01692	mtl:CCDC5180_2560
ko:K05816	mtl:CCDC5180_2561
ko:K05815	mtl:CCDC5180_2563
ko:K05814	mtl:CCDC5180_2564
ko:K03404	mtl:CCDC5180_2579
ko:K02348	mtl:CCDC5180_2580
ko:K07258	mtl:CCDC5180_2636
ko:K10563	mtl:CCDC5180_2649
ko:K06994	mtl:CCDC5180_2666
ko:K00121	mtl:CCDC5180_2807
ko:K00803	mtl:CCDC5180_2827
ko:K07672	mtl:CCDC5180_0948
ko:K14698	mtl:CCDC5180_1239
ko:K02067	mtl:CCDC5180_0153
ko:K02067	mtl:CCDC5180_0155
ko:K02067	mtl:CCDC5180_0550
ko:K02067	mtl:CCDC5180_3190
ko:K02067	mtl:CCDC5180_3187
ko:K01840	mtl:CCDC5180_2968
ko:K16167	mtl:CCDC5180_1529
ko:K16167	mtl:CCDC5180_1524
ko:K01834	mtl:CCDC5180_0451
ko:K02480	mtl:CCDC5180_0773
ko:K01179	mtl:CCDC5180_0056
ko:K01179	mtl:CCDC5180_0998
ko:K01207	mtl:CCDC5180_0220
ko:K01977	mtl:CCDC5180_12270
ko:K07671	mtl:CCDC5180_0826
ko:K16191	mtl:CCDC5180_0823
ko:K16193	mtl:CCDC5180_0824
ko:K00622	mtl:CCDC5180_3259
ko:K09144	mtl:CCDC5180_2556
ko:K07482	mtl:CCDC5180_2905
ko:K16370	mtl:CCDC5180_1853
ko:K14218	mtl:CCDC5180_09270
ko:K11735	mtl:CCDC5180_0483
ko:K16233	mtl:CCDC5180_1263
ko:K14222	mtl:CCDC5180_24440
ko:K00392	mtl:CCDC5180_2182
ko:K03893	mtl:CCDC5180_3271
ko:K16653	mtl:CCDC5180_3468
ko:K12433	mtl:CCDC5180_1412
ko:K07682	mtl:CCDC5180_2848
ko:K12422	mtl:CCDC5180_0088
ko:K12427	mtl:CCDC5180_2665
ko:K12441	mtl:CCDC5180_2656
ko:K12950	mtl:CCDC5180_2980
ko:K03520	mtl:CCDC5180_0346
ko:K07448	mtl:CCDC5180_2301
ko:K16645	mtl:CCDC5180_0439
ko:K12440	mtl:CCDC5180_2655
ko:K13419	mtl:CCDC5180_2801
ko:K14699	mtl:CCDC5180_1240
ko:K12430	mtl:CCDC5180_2670
ko:K12430	mtl:CCDC5180_2671
ko:K12953	mtl:CCDC5180_1819
ko:K12426	mtl:CCDC5180_2654
ko:K12955	mtl:CCDC5180_0094
ko:K11385	mtl:CCDC5180_3472
ko:K12421	mtl:CCDC5180_2359
ko:K11386	mtl:CCDC5180_3473
ko:K13669	mtl:CCDC5180_1064
ko:K04793	mtl:CCDC5180_2169
ko:K12949	mtl:CCDC5180_0083
ko:K12949	mtl:CCDC5180_0091
ko:K13572	mtl:CCDC5180_1915
ko:K02554	mtl:CCDC5180_3229
ko:K07684	mtl:CCDC5180_0772
ko:K12954	mtl:CCDC5180_1814
ko:K02067	mtl:CCDC5180_0548
ko:K02484	mtl:CCDC5180_0693
ko:K02484	mtl:CCDC5180_3443
ko:K07250	mtl:CCDC5180_2358
