ko:K01006	paz:TIA2EST2_09955
ko:K05878	paz:TIA2EST2_09480
ko:K05879	paz:TIA2EST2_09485
ko:K05881	paz:TIA2EST2_09490
ko:K01933	paz:TIA2EST2_09580
ko:K00764	paz:TIA2EST2_09585
ko:K04561	paz:TIA2EST2_09610
ko:K13950	paz:TIA2EST2_09615
ko:K01952	paz:TIA2EST2_09620
ko:K01256	paz:TIA2EST2_09630
ko:K01952	paz:TIA2EST2_09665
ko:K01923	paz:TIA2EST2_09670
ko:K03387	paz:TIA2EST2_09680
ko:K04761	paz:TIA2EST2_09685
ko:K01756	paz:TIA2EST2_09690
ko:K01945	paz:TIA2EST2_09695
ko:K01939	paz:TIA2EST2_09700
ko:K01714	paz:TIA2EST2_09720
ko:K03290	paz:TIA2EST2_09730
ko:K09858	paz:TIA2EST2_09815
ko:K03695	paz:TIA2EST2_09825
ko:K03311	paz:TIA2EST2_09830
ko:K01623	paz:TIA2EST2_09840
ko:K03322	paz:TIA2EST2_09850
ko:K02003	paz:TIA2EST2_09865
ko:K07085	paz:TIA2EST2_09885
ko:K03686	paz:TIA2EST2_09905
ko:K03687	paz:TIA2EST2_09910
ko:K04043	paz:TIA2EST2_09920
ko:K03306	paz:TIA2EST2_09930
ko:K09773	paz:TIA2EST2_09960
ko:K01079	paz:TIA2EST2_09970
ko:K01792	paz:TIA2EST2_09975
ko:K00627	paz:TIA2EST2_10105
ko:K00162	paz:TIA2EST2_10110
ko:K00161	paz:TIA2EST2_10115
ko:K00231	paz:TIA2EST2_10120
ko:K13051	paz:TIA2EST2_10230
ko:K13051	paz:TIA2EST2_10235
ko:K09780	paz:TIA2EST2_10250
ko:K01950	paz:TIA2EST2_11015
ko:K00850	paz:TIA2EST2_11020
ko:K00259	paz:TIA2EST2_11025
ko:K00864	paz:TIA2EST2_11215
ko:K02440	paz:TIA2EST2_11220
ko:K00384	paz:TIA2EST2_11240
ko:K03671	paz:TIA2EST2_11265
ko:K00057	paz:TIA2EST2_11270
ko:K00615	paz:TIA2EST2_11285
ko:K02575	paz:TIA2EST2_02470
ko:K01647	paz:TIA2EST2_11055
ko:K11737	paz:TIA2EST2_11115
ko:K11737	paz:TIA2EST2_11120
ko:K01775	paz:TIA2EST2_11125
ko:K00849	paz:TIA2EST2_11135
ko:K00973	paz:TIA2EST2_11140
ko:K00865	paz:TIA2EST2_11190
ko:K01808	paz:TIA2EST2_11315
ko:K01686	paz:TIA2EST2_11330
ko:K01812	paz:TIA2EST2_11340
ko:K02529	paz:TIA2EST2_11345
ko:K01195	paz:TIA2EST2_11360
ko:K01921	paz:TIA2EST2_11380
ko:K03501	paz:TIA2EST2_11410
ko:K03217	paz:TIA2EST2_11440
ko:K03536	paz:TIA2EST2_11445
ko:K02914	paz:TIA2EST2_11450
ko:K03629	paz:TIA2EST2_00020
ko:K01809	paz:TIA2EST2_00050
ko:K02470	paz:TIA2EST2_00055
ko:K02469	paz:TIA2EST2_00060
ko:K02529	paz:TIA2EST2_00075
ko:K10441	paz:TIA2EST2_00080
ko:K06726	paz:TIA2EST2_00100
ko:K02773	paz:TIA2EST2_00105
ko:K02774	paz:TIA2EST2_00115
ko:K02003	paz:TIA2EST2_00350
ko:K02016	paz:TIA2EST2_00360
ko:K02015	paz:TIA2EST2_00365
ko:K02013	paz:TIA2EST2_00370
ko:K00688	paz:TIA2EST2_00385
ko:K01548	paz:TIA2EST2_00580
ko:K07646	paz:TIA2EST2_00585
ko:K07667	paz:TIA2EST2_00590
ko:K00426	paz:TIA2EST2_00865
ko:K00425	paz:TIA2EST2_00870
ko:K04567	paz:TIA2EST2_00900
ko:K03168	paz:TIA2EST2_01170
ko:K00943	paz:TIA2EST2_01180
ko:K02341	paz:TIA2EST2_01185
ko:K03575	paz:TIA2EST2_01435
ko:K01845	paz:TIA2EST2_01440
ko:K01698	paz:TIA2EST2_01445
ko:K01749	paz:TIA2EST2_01455
ko:K00231	paz:TIA2EST2_01460
ko:K01599	paz:TIA2EST2_01465
ko:K07693	paz:TIA2EST2_01970
ko:K06605	paz:TIA2EST2_02225
ko:K07736	paz:TIA2EST2_01715
ko:K02039	paz:TIA2EST2_01735
ko:K02773	paz:TIA2EST2_01755
ko:K02774	paz:TIA2EST2_01760
ko:K11738	paz:TIA2EST2_01770
ko:K00600	paz:TIA2EST2_01775
ko:K00874	paz:TIA2EST2_01780
ko:K01625	paz:TIA2EST2_01785
ko:K03218	paz:TIA2EST2_01810
ko:K01883	paz:TIA2EST2_01815
ko:K03088	paz:TIA2EST2_01855
ko:K01752	paz:TIA2EST2_01875
ko:K00060	paz:TIA2EST2_01900
ko:K05845	paz:TIA2EST2_01910
ko:K05846	paz:TIA2EST2_01915
ko:K05846	paz:TIA2EST2_01920
ko:K05847	paz:TIA2EST2_01925
ko:K02429	paz:TIA2EST2_05945
ko:K10947	paz:TIA2EST2_07950
ko:K03855	paz:TIA2EST2_10735
ko:K06221	paz:TIA2EST2_10320
ko:K06910	paz:TIA2EST2_10365
ko:K11105	paz:TIA2EST2_10570
ko:K03307	paz:TIA2EST2_10645
ko:K08483	paz:TIA2EST2_01685
ko:K11189	paz:TIA2EST2_01690
ko:K02564	paz:TIA2EST2_02290
ko:K03709	paz:TIA2EST2_02335
ko:K01934	paz:TIA2EST2_02380
ko:K03635	paz:TIA2EST2_02415
ko:K00374	paz:TIA2EST2_02450
ko:K07307	paz:TIA2EST2_02495
ko:K03153	paz:TIA2EST2_02520
ko:K02428	paz:TIA2EST2_02640
ko:K09009	paz:TIA2EST2_02660
ko:K07304	paz:TIA2EST2_02710
ko:K12503	paz:TIA2EST2_02755
ko:K01478	paz:TIA2EST2_02845
ko:K01847	paz:TIA2EST2_02920
ko:K01847	paz:TIA2EST2_02925
ko:K07588	paz:TIA2EST2_02930
ko:K14761	paz:TIA2EST2_02940
ko:K02074	paz:TIA2EST2_03030
ko:K02077	paz:TIA2EST2_03035
ko:K00010	paz:TIA2EST2_02255
ko:K07052	paz:TIA2EST2_02260
ko:K06201	paz:TIA2EST2_02265
ko:K00674	paz:TIA2EST2_03105
ko:K01439	paz:TIA2EST2_03130
ko:K03593	paz:TIA2EST2_03175
ko:K01262	paz:TIA2EST2_03200
ko:K13671	paz:TIA2EST2_03360
ko:K01186	paz:TIA2EST2_03385
ko:K10843	paz:TIA2EST2_02275
ko:K02351	paz:TIA2EST2_03415
ko:K07245	paz:TIA2EST2_03415
ko:K02274	paz:TIA2EST2_03470
ko:K02342	paz:TIA2EST2_03570
ko:K00845	paz:TIA2EST2_03580
ko:K13787	paz:TIA2EST2_03630
ko:K03299	paz:TIA2EST2_03660
ko:K03405	paz:TIA2EST2_03900
ko:K03404	paz:TIA2EST2_03905
ko:K05794	paz:TIA2EST2_03970
ko:K02238	paz:TIA2EST2_04375
ko:K05341	paz:TIA2EST2_04395
ko:K02549	paz:TIA2EST2_04405
ko:K02552	paz:TIA2EST2_04415
ko:K02004	paz:TIA2EST2_00245
ko:K01222	paz:TIA2EST2_00285
ko:K01191	paz:TIA2EST2_00290
ko:K00241	paz:TIA2EST2_04645
ko:K03405	paz:TIA2EST2_00490
ko:K03404	paz:TIA2EST2_00495
ko:K10254	paz:TIA2EST2_00535
ko:K03743	paz:TIA2EST2_04920
ko:K11189	paz:TIA2EST2_00710
ko:K03436	paz:TIA2EST2_00725
ko:K03499	paz:TIA2EST2_05170
ko:K03499	paz:TIA2EST2_05175
ko:K07305	paz:TIA2EST2_05210
ko:K02755	paz:TIA2EST2_05420
ko:K02757	paz:TIA2EST2_05420
ko:K00700	paz:TIA2EST2_05430
ko:K02433	paz:TIA2EST2_05490
ko:K00274	paz:TIA2EST2_01215
ko:K02756	paz:TIA2EST2_05420
ko:K01507	paz:TIA2EST2_01240
ko:K03488	paz:TIA2EST2_01410
ko:K07067	paz:TIA2EST2_01490
ko:K00027	paz:TIA2EST2_01500
ko:K06196	paz:TIA2EST2_01560
ko:K02009	paz:TIA2EST2_02050
ko:K00595	paz:TIA2EST2_02070
ko:K03475	paz:TIA2EST2_02120
ko:K02821	paz:TIA2EST2_02125
ko:K00616	paz:TIA2EST2_02165
ko:K07654	paz:TIA2EST2_06555
ko:K07670	paz:TIA2EST2_06560
ko:K07052	paz:TIA2EST2_06720
ko:K00758	paz:TIA2EST2_06730
ko:K03727	paz:TIA2EST2_06780
ko:K13573	paz:TIA2EST2_06800
ko:K01885	paz:TIA2EST2_06810
ko:K04763	paz:TIA2EST2_06835
ko:K01515	paz:TIA2EST2_06840
ko:K01206	paz:TIA2EST2_02985
ko:K01523	paz:TIA2EST2_06975
ko:K00567	paz:TIA2EST2_07025
ko:K00241	paz:TIA2EST2_07080
ko:K10563	paz:TIA2EST2_07150
ko:K01191	paz:TIA2EST2_07190
ko:K02033	paz:TIA2EST2_07205
ko:K02035	paz:TIA2EST2_07235
ko:K03177	paz:TIA2EST2_07325
ko:K02783	paz:TIA2EST2_07350
ko:K02782	paz:TIA2EST2_07355
ko:K02783	paz:TIA2EST2_07355
ko:K00088	paz:TIA2EST2_03505
ko:K03890	paz:TIA2EST2_03520
ko:K03889	paz:TIA2EST2_03525
ko:K06976	paz:TIA2EST2_07460
ko:K00059	paz:TIA2EST2_07605
ko:K02348	paz:TIA2EST2_07635
ko:K10797	paz:TIA2EST2_07645
ko:K08676	paz:TIA2EST2_07780
ko:K09762	paz:TIA2EST2_04020
ko:K14162	paz:TIA2EST2_08020
ko:K07009	paz:TIA2EST2_08040
ko:K02025	paz:TIA2EST2_08050
ko:K07048	paz:TIA2EST2_04300
ko:K03891	paz:TIA2EST2_03515
ko:K03079	paz:TIA2EST2_04310
ko:K00016	paz:TIA2EST2_04340
ko:K00027	paz:TIA2EST2_04345
ko:K01966	paz:TIA2EST2_08310
ko:K02798	paz:TIA2EST2_04495
ko:K02799	paz:TIA2EST2_04495
ko:K02800	paz:TIA2EST2_04495
ko:K00972	paz:TIA2EST2_04510
ko:K01259	paz:TIA2EST2_04555
ko:K03711	paz:TIA2EST2_04630
ko:K07114	paz:TIA2EST2_04770
ko:K07114	paz:TIA2EST2_04775
ko:K02823	paz:TIA2EST2_04885
ko:K00867	paz:TIA2EST2_08755
ko:K00059	paz:TIA2EST2_08835
ko:K01192	paz:TIA2EST2_05045
ko:K06902	paz:TIA2EST2_05105
ko:K01885	paz:TIA2EST2_09085
ko:K01243	paz:TIA2EST2_05335
ko:K03768	paz:TIA2EST2_05375
ko:K07503	paz:TIA2EST2_05385
ko:K01835	paz:TIA2EST2_05400
ko:K07386	paz:TIA2EST2_09280
ko:K02228	paz:TIA2EST2_09330
ko:K00805	paz:TIA2EST2_09335
ko:K01496	paz:TIA2EST2_05505
ko:K01814	paz:TIA2EST2_05650
ko:K01817	paz:TIA2EST2_05650
ko:K00016	paz:TIA2EST2_09505
ko:K02566	paz:TIA2EST2_09515
ko:K02025	paz:TIA2EST2_09535
ko:K07442	paz:TIA2EST2_05885
ko:K04517	paz:TIA2EST2_05920
ko:K00852	paz:TIA2EST2_05935
ko:K03776	paz:TIA2EST2_09770
ko:K00721	paz:TIA2EST2_05990
ko:K05602	paz:TIA2EST2_06235
ko:K00058	paz:TIA2EST2_06240
ko:K02033	paz:TIA2EST2_06260
ko:K02035	paz:TIA2EST2_06265
ko:K07177	paz:TIA2EST2_06420
ko:K04488	paz:TIA2EST2_07655
ko:K00033	paz:TIA2EST2_07915
ko:K02428	paz:TIA2EST2_08130
ko:K02025	paz:TIA2EST2_07175
ko:K11263	paz:TIA2EST2_08365
ko:K03783	paz:TIA2EST2_08380
ko:K03469	paz:TIA2EST2_08415
ko:K01489	paz:TIA2EST2_08420
ko:K02056	paz:TIA2EST2_08435
ko:K00088	paz:TIA2EST2_08600
ko:K00088	paz:TIA2EST2_08605
ko:K01409	paz:TIA2EST2_08680
ko:K12583	paz:TIA2EST2_08720
ko:K14335	paz:TIA2EST2_08890
ko:K00939	paz:TIA2EST2_08935
ko:K02035	paz:TIA2EST2_08960
ko:K02552	paz:TIA2EST2_09420
ko:K06147	paz:TIA2EST2_09450
ko:K07776	paz:TIA2EST2_01725
ko:K07768	paz:TIA2EST2_01730
ko:K01424	paz:TIA2EST2_01765
ko:K01727	paz:TIA2EST2_01795
ko:K02025	paz:TIA2EST2_01890
ko:K03386	paz:TIA2EST2_09675
ko:K01788	paz:TIA2EST2_09715
ko:K02004	paz:TIA2EST2_09870
ko:K13640	paz:TIA2EST2_09900
ko:K01619	paz:TIA2EST2_09940
ko:K02004	paz:TIA2EST2_09455
ko:K09992	paz:TIA2EST2_09945
ko:K00564	paz:TIA2EST2_09965
ko:K06147	paz:TIA2EST2_10060
ko:K01081	paz:TIA2EST2_10130
ko:K01104	paz:TIA2EST2_10210
ko:K07669	paz:TIA2EST2_10220
ko:K07653	paz:TIA2EST2_10225
ko:K01823	paz:TIA2EST2_10240
ko:K00016	paz:TIA2EST2_00070
ko:K10440	paz:TIA2EST2_00085
ko:K10439	paz:TIA2EST2_00090
ko:K00852	paz:TIA2EST2_00095
ko:K02775	paz:TIA2EST2_00110
ko:K03491	paz:TIA2EST2_00125
ko:K09704	paz:TIA2EST2_00305
ko:K12373	paz:TIA2EST2_00310
ko:K01784	paz:TIA2EST2_00325
ko:K06994	paz:TIA2EST2_00335
ko:K00135	paz:TIA2EST2_00375
ko:K10200	paz:TIA2EST2_00415
ko:K06147	paz:TIA2EST2_00880
ko:K06877	paz:TIA2EST2_01155
ko:K01719	paz:TIA2EST2_01450
ko:K02619	paz:TIA2EST2_10990
ko:K08372	paz:TIA2EST2_11230
ko:K01209	paz:TIA2EST2_11235
ko:K06177	paz:TIA2EST2_11245
ko:K00853	paz:TIA2EST2_11290
ko:K01488	paz:TIA2EST2_11060
ko:K01679	paz:TIA2EST2_11155
ko:K02025	paz:TIA2EST2_11165
ko:K00970	paz:TIA2EST2_11200
ko:K06346	paz:TIA2EST2_11435
ko:K01619	paz:TIA2EST2_05950
ko:K00639	paz:TIA2EST2_01905
ko:K02919	paz:TIA2EST2_10300
ko:K01887	paz:TIA2EST2_10315
ko:K01940	paz:TIA2EST2_10675
ko:K00313	paz:TIA2EST2_10740
ko:K03522	paz:TIA2EST2_10745
ko:K03521	paz:TIA2EST2_10750
ko:K01875	paz:TIA2EST2_10780
ko:K00684	paz:TIA2EST2_10795
ko:K06153	paz:TIA2EST2_10815
ko:K02217	paz:TIA2EST2_10820
ko:K02939	paz:TIA2EST2_10830
ko:K02963	paz:TIA2EST2_10835
ko:K02990	paz:TIA2EST2_10845
ko:K01151	paz:TIA2EST2_10870
ko:K07124	paz:TIA2EST2_10875
ko:K00655	paz:TIA2EST2_10880
ko:K03652	paz:TIA2EST2_10925
ko:K00113	paz:TIA2EST2_10930
ko:K00112	paz:TIA2EST2_10935
ko:K00111	paz:TIA2EST2_10940
ko:K03281	paz:TIA2EST2_10955
ko:K01810	paz:TIA2EST2_10330
ko:K01625	paz:TIA2EST2_10340
ko:K04047	paz:TIA2EST2_10345
ko:K07089	paz:TIA2EST2_10405
ko:K03980	paz:TIA2EST2_10415
ko:K00928	paz:TIA2EST2_10420
ko:K05520	paz:TIA2EST2_10435
ko:K02909	paz:TIA2EST2_10465
ko:K02902	paz:TIA2EST2_10470
ko:K02913	paz:TIA2EST2_10475
ko:K02954	paz:TIA2EST2_10480
ko:K02911	paz:TIA2EST2_10485
ko:K01207	paz:TIA2EST2_10495
ko:K01712	paz:TIA2EST2_10500
ko:K01468	paz:TIA2EST2_10515
ko:K01745	paz:TIA2EST2_10520
ko:K12410	paz:TIA2EST2_10535
ko:K00761	paz:TIA2EST2_10595
ko:K03549	paz:TIA2EST2_10615
ko:K00849	paz:TIA2EST2_10640
ko:K18682	paz:TIA2EST2_04950
ko:K05342	paz:TIA2EST2_05415
ko:K15771	paz:TIA2EST2_07695
ko:K16147	paz:TIA2EST2_05445
ko:K16148	paz:TIA2EST2_03145
ko:K02032	paz:TIA2EST2_07230
ko:K00259	paz:TIA2EST2_11065
ko:K02031	paz:TIA2EST2_07225
ko:K16163	paz:TIA2EST2_03980
ko:K14232	paz:TIA2EST2_t11507
ko:K03284	paz:TIA2EST2_08355
ko:K14232	paz:TIA2EST2_t11537
ko:K14235	paz:TIA2EST2_t11517
ko:K02018	paz:TIA2EST2_02440
ko:K02017	paz:TIA2EST2_02440
ko:K01840	paz:TIA2EST2_08385
ko:K14230	paz:TIA2EST2_t11495
ko:K01692	paz:TIA2EST2_09225
ko:K00008	paz:TIA2EST2_04490
ko:K03699	paz:TIA2EST2_08450
ko:K01834	paz:TIA2EST2_01750
ko:K01834	paz:TIA2EST2_03995
ko:K11733	paz:TIA2EST2_02885
ko:K01977	paz:TIA2EST2_r11553
ko:K01977	paz:TIA2EST2_r11557
ko:K01977	paz:TIA2EST2_r11555
ko:K11737	paz:TIA2EST2_11030
ko:K11045	paz:TIA2EST2_10200
ko:K00895	paz:TIA2EST2_05325
ko:K10112	paz:TIA2EST2_01870
ko:K15770	paz:TIA2EST2_07690
ko:K03457	paz:TIA2EST2_10730
ko:K10202	paz:TIA2EST2_00425
ko:K10242	paz:TIA2EST2_00265
ko:K10241	paz:TIA2EST2_00270
ko:K10240	paz:TIA2EST2_00275
ko:K16783	paz:TIA2EST2_06880
ko:K01985	paz:TIA2EST2_r11547
ko:K01985	paz:TIA2EST2_r11551
ko:K01985	paz:TIA2EST2_r11549
ko:K16784	paz:TIA2EST2_06885
ko:K02778	paz:TIA2EST2_01420
ko:K02779	paz:TIA2EST2_01420
ko:K02075	paz:TIA2EST2_03025
ko:K10201	paz:TIA2EST2_00420
ko:K02851	paz:TIA2EST2_06125
ko:K02031	paz:TIA2EST2_06250
ko:K14232	paz:TIA2EST2_t11491
ko:K14224	paz:TIA2EST2_t11499
ko:K14224	paz:TIA2EST2_t11527
ko:K14226	paz:TIA2EST2_t11511
ko:K14229	paz:TIA2EST2_t11513
ko:K14229	paz:TIA2EST2_t11525
ko:K14234	paz:TIA2EST2_t11521
ko:K14236	paz:TIA2EST2_t11523
ko:K14221	paz:TIA2EST2_t11529
ko:K14228	paz:TIA2EST2_t11535
ko:K14233	paz:TIA2EST2_t11539
ko:K06016	paz:TIA2EST2_10505
ko:K02006	paz:TIA2EST2_02060
ko:K02008	paz:TIA2EST2_02055
ko:K16785	paz:TIA2EST2_08820
ko:K16786	paz:TIA2EST2_08825
ko:K16787	paz:TIA2EST2_08825
ko:K02768	paz:TIA2EST2_10860
ko:K02769	paz:TIA2EST2_10860
ko:K02770	paz:TIA2EST2_10860
ko:K14218	paz:TIA2EST2_t11469
ko:K14237	paz:TIA2EST2_t11483
ko:K14237	paz:TIA2EST2_t11489
ko:K14237	paz:TIA2EST2_t11497
ko:K14222	paz:TIA2EST2_t11485
ko:K14233	paz:TIA2EST2_t11545
ko:K14219	paz:TIA2EST2_t11541
ko:K16370	paz:TIA2EST2_00720
ko:K11991	paz:TIA2EST2_10585
ko:K08316	paz:TIA2EST2_07255
ko:K14225	paz:TIA2EST2_t11505
ko:K14225	paz:TIA2EST2_t11533
ko:K02303	paz:TIA2EST2_02085
ko:K16925	paz:TIA2EST2_00780
ko:K16927	paz:TIA2EST2_08830
ko:K16785	paz:TIA2EST2_00785
ko:K16786	paz:TIA2EST2_00785
ko:K16787	paz:TIA2EST2_00785
ko:K14227	paz:TIA2EST2_t11457
ko:K14218	paz:TIA2EST2_t11459
ko:K14218	paz:TIA2EST2_t11477
ko:K14233	paz:TIA2EST2_t11461
ko:K14234	paz:TIA2EST2_t11463
ko:K14234	paz:TIA2EST2_t11465
ko:K14219	paz:TIA2EST2_t11467
ko:K14219	paz:TIA2EST2_t11493
ko:K14219	paz:TIA2EST2_t11509
ko:K14223	paz:TIA2EST2_t11471
ko:K14223	paz:TIA2EST2_t11501
ko:K14228	paz:TIA2EST2_t11473
ko:K14228	paz:TIA2EST2_t11475
ko:K14228	paz:TIA2EST2_t11503
ko:K14228	paz:TIA2EST2_t11515
ko:K01980	paz:TIA2EST2_r11559
ko:K01980	paz:TIA2EST2_r11563
ko:K01980	paz:TIA2EST2_r11561
ko:K14220	paz:TIA2EST2_t11479
ko:K14230	paz:TIA2EST2_t11481
ko:K14230	paz:TIA2EST2_t11519
ko:K14231	paz:TIA2EST2_t11531
ko:K14233	paz:TIA2EST2_t11543
ko:K00096	paz:TIA2EST2_07370
ko:K07308	paz:TIA2EST2_02490
ko:K17317	paz:TIA2EST2_09555
ko:K17316	paz:TIA2EST2_09560
ko:K01992	paz:TIA2EST2_01960
ko:K01992	paz:TIA2EST2_07725
ko:K01992	paz:TIA2EST2_10710
ko:K15581	paz:TIA2EST2_10445
ko:K17315	paz:TIA2EST2_09565
ko:K01990	paz:TIA2EST2_08845
ko:K01992	paz:TIA2EST2_08840
ko:K01990	paz:TIA2EST2_04540
ko:K01990	paz:TIA2EST2_09305
ko:K00096	paz:TIA2EST2_11295
ko:K15583	paz:TIA2EST2_10455
ko:K02028	paz:TIA2EST2_02945
ko:K01897	paz:TIA2EST2_10865
ko:K03574	paz:TIA2EST2_08675
ko:K01992	paz:TIA2EST2_04545
ko:K15580	paz:TIA2EST2_10440
ko:K14225	paz:TIA2EST2_t11487
ko:K03416	paz:TIA2EST2_09765
ko:K17489	paz:TIA2EST2_09760
ko:K02027	paz:TIA2EST2_11170
ko:K02027	paz:TIA2EST2_09545
ko:K17490	paz:TIA2EST2_09750
ko:K01186	paz:TIA2EST2_07735
ko:K03671	paz:TIA2EST2_02345
ko:K17489	paz:TIA2EST2_09755
ko:K02026	paz:TIA2EST2_11160
ko:K17686	paz:TIA2EST2_10895
ko:K15923	paz:TIA2EST2_00435
ko:K17686	paz:TIA2EST2_03410
ko:K03292	paz:TIA2EST2_11350
ko:K00226	paz:TIA2EST2_00800
ko:K00971	paz:TIA2EST2_08245
ko:K02768	paz:TIA2EST2_10855
ko:K02026	paz:TIA2EST2_01895
ko:K02026	paz:TIA2EST2_02980
ko:K02026	paz:TIA2EST2_08055
ko:K02026	paz:TIA2EST2_09540
ko:K02026	paz:TIA2EST2_07180
ko:K14337	paz:TIA2EST2_09230
ko:K03767	paz:TIA2EST2_03560
ko:K01267	paz:TIA2EST2_02800
ko:K08485	paz:TIA2EST2_07365
ko:K02021	paz:TIA2EST2_00485
ko:K17828	paz:TIA2EST2_04890
ko:K12574	paz:TIA2EST2_07275
ko:K01187	paz:TIA2EST2_11355
ko:K02027	paz:TIA2EST2_01885
ko:K02027	paz:TIA2EST2_07170
ko:K02027	paz:TIA2EST2_08045
ko:K01187	paz:TIA2EST2_07920
ko:K08221	paz:TIA2EST2_06045
ko:K06148	paz:TIA2EST2_00480
ko:K17883	paz:TIA2EST2_01595
ko:K02809	paz:TIA2EST2_05580
ko:K02810	paz:TIA2EST2_05580
ko:K17898	paz:TIA2EST2_11100
ko:K17899	paz:TIA2EST2_11095
ko:K01906	paz:TIA2EST2_09075
ko:K00652	paz:TIA2EST2_09075
ko:K21469	paz:TIA2EST2_05560
ko:K13572	paz:TIA2EST2_06805
ko:K03719	paz:TIA2EST2_05980
ko:K18118	paz:TIA2EST2_09980
ko:K03402	paz:TIA2EST2_02860
ko:K02003	paz:TIA2EST2_03940
ko:K01895	paz:TIA2EST2_04440
ko:K01895	paz:TIA2EST2_04445
ko:K07173	paz:TIA2EST2_02130
ko:K00052	paz:TIA2EST2_06740
ko:K10038	paz:TIA2EST2_09290
ko:K02003	paz:TIA2EST2_09460
ko:K02002	paz:TIA2EST2_09810
ko:K01788	paz:TIA2EST2_01425
ko:K01791	paz:TIA2EST2_00745
ko:K03574	paz:TIA2EST2_01640
ko:K09820	paz:TIA2EST2_07450
ko:K08300	paz:TIA2EST2_04075
ko:K08301	paz:TIA2EST2_04075
ko:K18955	paz:TIA2EST2_08235
ko:K18955	paz:TIA2EST2_06195
ko:K06147	paz:TIA2EST2_00885
ko:K18929	paz:TIA2EST2_00835
ko:K18928	paz:TIA2EST2_00830
ko:K03497	paz:TIA2EST2_11395
ko:K03496	paz:TIA2EST2_11400
ko:K03496	paz:TIA2EST2_06830
ko:K03496	paz:TIA2EST2_06285
ko:K03111	paz:TIA2EST2_07965
ko:K03111	paz:TIA2EST2_10840
ko:K03761	paz:TIA2EST2_10265
ko:K05991	paz:TIA2EST2_10190
ko:K00335	paz:TIA2EST2_09380
ko:K03976	paz:TIA2EST2_10995
ko:K00336	paz:TIA2EST2_09375
ko:K02483	paz:TIA2EST2_09935
ko:K05991	paz:TIA2EST2_03170
ko:K03526	paz:TIA2EST2_07465
ko:K19221	paz:TIA2EST2_02075
ko:K01167	paz:TIA2EST2_03620
ko:K00798	paz:TIA2EST2_06065
ko:K02777	paz:TIA2EST2_01415
ko:K09951	paz:TIA2EST2_10530
ko:K02802	paz:TIA2EST2_03350
ko:K19265	paz:TIA2EST2_04855
ko:K01066	paz:TIA2EST2_11255
ko:K19270	paz:TIA2EST2_00140
ko:K03722	paz:TIA2EST2_04990
ko:K02804	paz:TIA2EST2_03330
ko:K01785	paz:TIA2EST2_04955
ko:K01990	paz:TIA2EST2_10100
ko:K21400	paz:TIA2EST2_11090
ko:K11045	paz:TIA2EST2_06570
ko:K11045	paz:TIA2EST2_05870
ko:K11045	paz:TIA2EST2_06035
ko:K08744	paz:TIA2EST2_05270
ko:K11045	paz:TIA2EST2_03395
ko:K09819	paz:TIA2EST2_07455
ko:K19710	paz:TIA2EST2_05260
ko:K05346	paz:TIA2EST2_05955
ko:K12132	paz:TIA2EST2_00915
ko:K20074	paz:TIA2EST2_00930
ko:K20265	paz:TIA2EST2_00875
ko:K12132	paz:TIA2EST2_03615
ko:K02803	paz:TIA2EST2_03340
ko:K02803	paz:TIA2EST2_03345
ko:K00525	paz:TIA2EST2_05010
ko:K00526	paz:TIA2EST2_10275
ko:K20370	paz:TIA2EST2_11365
ko:K02081	paz:TIA2EST2_04930
ko:K02438	paz:TIA2EST2_05450
ko:K21029	paz:TIA2EST2_02505
ko:K21071	paz:TIA2EST2_00440
ko:K00821	paz:TIA2EST2_06625
ko:K21636	paz:TIA2EST2_10360
ko:K00525	paz:TIA2EST2_10270
ko:K02335	paz:TIA2EST2_03835
ko:K02314	paz:TIA2EST2_10910
ko:K04068	paz:TIA2EST2_10355
ko:K02316	paz:TIA2EST2_04680
ko:K03553	paz:TIA2EST2_04940
ko:K07451	paz:TIA2EST2_06595
ko:K06217	paz:TIA2EST2_04570
ko:K00857	paz:TIA2EST2_05130
ko:K01520	paz:TIA2EST2_05155
ko:K00287	paz:TIA2EST2_08120
ko:K00560	paz:TIA2EST2_08125
ko:K01493	paz:TIA2EST2_09495
ko:K02032	paz:TIA2EST2_06245
ko:K05710	paz:TIA2EST2_07670
ko:K01802	paz:TIA2EST2_10490
ko:K05364	paz:TIA2EST2_00920
ko:K03293	paz:TIA2EST2_05230
ko:K07005	paz:TIA2EST2_07260
ko:K03293	paz:TIA2EST2_09880
ko:K03293	paz:TIA2EST2_10960
ko:K03636	paz:TIA2EST2_02420
ko:K21399	paz:TIA2EST2_11085
ko:K21401	paz:TIA2EST2_09410
ko:K21471	paz:TIA2EST2_03575
ko:K21600	paz:TIA2EST2_10905
ko:K21672	paz:TIA2EST2_11080
ko:K21739	paz:TIA2EST2_09640
ko:K10914	paz:TIA2EST2_01075
ko:K21929	paz:TIA2EST2_06060
ko:K21949	paz:TIA2EST2_06335
ko:K00936	paz:TIA2EST2_06200
ko:K22010	paz:TIA2EST2_03825
ko:K22044	paz:TIA2EST2_11185
ko:K00015	paz:TIA2EST2_10945
ko:K03595	paz:TIA2EST2_04585
ko:K03077	paz:TIA2EST2_04315
ko:K03077	paz:TIA2EST2_11320
ko:K01046	paz:TIA2EST2_10185
ko:K14441	paz:TIA2EST2_04910
ko:K17758	paz:TIA2EST2_08725
ko:K17759	paz:TIA2EST2_08725
