ko:K18137	abaj:BJAB0868_02239
ko:K00012	abaj:BJAB0868_00107
ko:K01810	abaj:BJAB0868_00108
ko:K00427	abaj:BJAB0868_00112
ko:K14348	abaj:BJAB0868_00113
ko:K03777	abaj:BJAB0868_00116
ko:K00832	abaj:BJAB0868_00117
ko:K01950	abaj:BJAB0868_00869
ko:K06911	abaj:BJAB0868_00871
ko:K08973	abaj:BJAB0868_00872
ko:K02950	abaj:BJAB0868_00875
ko:K02992	abaj:BJAB0868_00876
ko:K02355	abaj:BJAB0868_00877
ko:K02358	abaj:BJAB0868_00878
ko:K07044	abaj:BJAB0868_00879
ko:K07044	abaj:BJAB0868_00880
ko:K03789	abaj:BJAB0868_00881
ko:K00684	abaj:BJAB0868_00883
ko:K00384	abaj:BJAB0868_00884
ko:K03466	abaj:BJAB0868_00885
ko:K03608	abaj:BJAB0868_00889
ko:K03609	abaj:BJAB0868_00890
ko:K03610	abaj:BJAB0868_00891
ko:K03656	abaj:BJAB0868_00895
ko:K15778	abaj:BJAB0868_00897
ko:K00930	abaj:BJAB0868_00898
ko:K09801	abaj:BJAB0868_00903
ko:K06186	abaj:BJAB0868_00904
ko:K02670	abaj:BJAB0868_00906
ko:K02669	abaj:BJAB0868_00907
ko:K06997	abaj:BJAB0868_00908
ko:K03547	abaj:BJAB0868_00910
ko:K06996	abaj:BJAB0868_00912
ko:K07071	abaj:BJAB0868_00914
ko:K01698	abaj:BJAB0868_00916
ko:K03543	abaj:BJAB0868_00918
ko:K03446	abaj:BJAB0868_00919
ko:K00789	abaj:BJAB0868_01683
ko:K00615	abaj:BJAB0868_01685
ko:K07397	abaj:BJAB0868_01686
ko:K13821	abaj:BJAB0868_01693
ko:K12410	abaj:BJAB0868_01697
ko:K02437	abaj:BJAB0868_01698
ko:K09912	abaj:BJAB0868_01702
ko:K07862	abaj:BJAB0868_01704
ko:K00927	abaj:BJAB0868_01713
ko:K01624	abaj:BJAB0868_01715
ko:K03771	abaj:BJAB0868_01716
ko:K04744	abaj:BJAB0868_01717
ko:K07102	abaj:BJAB0868_01718
ko:K03501	abaj:BJAB0868_01720
ko:K03561	abaj:BJAB0868_01723
ko:K00912	abaj:BJAB0868_01726
ko:K00979	abaj:BJAB0868_01727
ko:K02341	abaj:BJAB0868_01728
ko:K02676	abaj:BJAB0868_01729
ko:K03424	abaj:BJAB0868_01730
ko:K02456	abaj:BJAB0868_01732
ko:K11735	abaj:BJAB0868_02476
ko:K00140	abaj:BJAB0868_02477
ko:K00822	abaj:BJAB0868_02478
ko:K06923	abaj:BJAB0868_02482
ko:K02970	abaj:BJAB0868_02485
ko:K09117	abaj:BJAB0868_02486
ko:K00764	abaj:BJAB0868_02491
ko:K03558	abaj:BJAB0868_02492
ko:K02462	abaj:BJAB0868_02494
ko:K02461	abaj:BJAB0868_02495
ko:K08296	abaj:BJAB0868_02496
ko:K00057	abaj:BJAB0868_02497
ko:K03732	abaj:BJAB0868_02500
ko:K03704	abaj:BJAB0868_02501
ko:K03089	abaj:BJAB0868_02503
ko:K03154	abaj:BJAB0868_02505
ko:K03149	abaj:BJAB0868_02506
ko:K09861	abaj:BJAB0868_02508
ko:K07018	abaj:BJAB0868_02509
ko:K14170	abaj:BJAB0868_02514
ko:K11103	abaj:BJAB0868_02517
ko:K09916	abaj:BJAB0868_02519
ko:K00858	abaj:BJAB0868_02520
ko:K03600	abaj:BJAB0868_03247
ko:K13777	abaj:BJAB0868_03249
ko:K13779	abaj:BJAB0868_03250
ko:K11731	abaj:BJAB0868_03251
ko:K13778	abaj:BJAB0868_03252
ko:K13774	abaj:BJAB0868_03253
ko:K17103	abaj:BJAB0868_03262
ko:K07115	abaj:BJAB0868_03263
ko:K07394	abaj:BJAB0868_03264
ko:K00024	abaj:BJAB0868_03267
ko:K01166	abaj:BJAB0868_03268
ko:K08309	abaj:BJAB0868_03269
ko:K06168	abaj:BJAB0868_03270
ko:K07042	abaj:BJAB0868_03272
ko:K03832	abaj:BJAB0868_03273
ko:K03816	abaj:BJAB0868_03276
ko:K03809	abaj:BJAB0868_03277
ko:K07058	abaj:BJAB0868_03278
ko:K07078	abaj:BJAB0868_03283
ko:K12573	abaj:BJAB0868_03287
ko:K01414	abaj:BJAB0868_03288
ko:K07070	abaj:BJAB0868_03289
ko:K08369	abaj:BJAB0868_00234
ko:K02621	abaj:BJAB0868_00235
ko:K01714	abaj:BJAB0868_00243
ko:K01628	abaj:BJAB0868_00244
ko:K00375	abaj:BJAB0868_00245
ko:K03321	abaj:BJAB0868_00263
ko:K03733	abaj:BJAB0868_00269
ko:K03758	abaj:BJAB0868_01032
ko:K00116	abaj:BJAB0868_01035
ko:K02167	abaj:BJAB0868_01038
ko:K02168	abaj:BJAB0868_01039
ko:K02168	abaj:BJAB0868_01040
ko:K11103	abaj:BJAB0868_01045
ko:K11931	abaj:BJAB0868_01048
ko:K11936	abaj:BJAB0868_01049
ko:K03811	abaj:BJAB0868_01052
ko:K06989	abaj:BJAB0868_01065
ko:K01652	abaj:BJAB0868_01067
ko:K01462	abaj:BJAB0868_01071
ko:K01425	abaj:BJAB0868_01072
ko:K08223	abaj:BJAB0868_01074
ko:K00615	abaj:BJAB0868_01080
ko:K10764	abaj:BJAB0868_01839
ko:K09747	abaj:BJAB0868_01841
ko:K06187	abaj:BJAB0868_01842
ko:K03684	abaj:BJAB0868_01843
ko:K09902	abaj:BJAB0868_01847
ko:K09989	abaj:BJAB0868_01850
ko:K06001	abaj:BJAB0868_01851
ko:K07320	abaj:BJAB0868_01852
ko:K01736	abaj:BJAB0868_01853
ko:K03644	abaj:BJAB0868_01857
ko:K00627	abaj:BJAB0868_01860
ko:K00382	abaj:BJAB0868_01861
ko:K17218	abaj:BJAB0868_01867
ko:K07090	abaj:BJAB0868_01868
ko:K00003	abaj:BJAB0868_01869
ko:K01118	abaj:BJAB0868_01873
ko:K07240	abaj:BJAB0868_01874
ko:K03710	abaj:BJAB0868_01875
ko:K01590	abaj:BJAB0868_02616
ko:K01252	abaj:BJAB0868_02617
ko:K02363	abaj:BJAB0868_02618
ko:K03897	abaj:BJAB0868_02620
ko:K02016	abaj:BJAB0868_02622
ko:K02013	abaj:BJAB0868_02623
ko:K02015	abaj:BJAB0868_02624
ko:K02015	abaj:BJAB0868_02625
ko:K06911	abaj:BJAB0868_02633
ko:K08368	abaj:BJAB0868_02640
ko:K04030	abaj:BJAB0868_02646
ko:K05297	abaj:BJAB0868_02648
ko:K11735	abaj:BJAB0868_02654
ko:K00140	abaj:BJAB0868_02655
ko:K06995	abaj:BJAB0868_02656
ko:K08160	abaj:BJAB0868_03393
ko:K03923	abaj:BJAB0868_03395
ko:K11939	abaj:BJAB0868_03400
ko:K11939	abaj:BJAB0868_03401
ko:K07090	abaj:BJAB0868_03403
ko:K02884	abaj:BJAB0868_03407
ko:K00554	abaj:BJAB0868_03408
ko:K02860	abaj:BJAB0868_03409
ko:K02959	abaj:BJAB0868_03410
ko:K02655	abaj:BJAB0868_03411
ko:K02655	abaj:BJAB0868_03412
ko:K02672	abaj:BJAB0868_03415
ko:K02671	abaj:BJAB0868_03416
ko:K08084	abaj:BJAB0868_03417
ko:K03527	abaj:BJAB0868_03418
ko:K00942	abaj:BJAB0868_03419
ko:K03060	abaj:BJAB0868_03420
ko:K02192	abaj:BJAB0868_03423
ko:K03594	abaj:BJAB0868_03424
ko:K06872	abaj:BJAB0868_03429
ko:K03744	abaj:BJAB0868_03430
ko:K07044	abaj:BJAB0868_03431
ko:K00266	abaj:BJAB0868_03432
ko:K01735	abaj:BJAB0868_03435
ko:K00891	abaj:BJAB0868_03436
ko:K02666	abaj:BJAB0868_03437
ko:K02048	abaj:BJAB0868_02776
ko:K07002	abaj:BJAB0868_02777
ko:K02046	abaj:BJAB0868_02779
ko:K02047	abaj:BJAB0868_02780
ko:K02045	abaj:BJAB0868_02781
ko:K13635	abaj:BJAB0868_02782
ko:K10026	abaj:BJAB0868_02785
ko:K06920	abaj:BJAB0868_02786
ko:K03564	abaj:BJAB0868_02789
ko:K07552	abaj:BJAB0868_02796
ko:K01952	abaj:BJAB0868_02797
ko:K01129	abaj:BJAB0868_02798
ko:K03550	abaj:BJAB0868_02799
ko:K03551	abaj:BJAB0868_02800
ko:K07107	abaj:BJAB0868_02802
ko:K03562	abaj:BJAB0868_02803
ko:K03641	abaj:BJAB0868_02806
ko:K03640	abaj:BJAB0868_02807
ko:K09799	abaj:BJAB0868_03532
ko:K03707	abaj:BJAB0868_03533
ko:K02442	abaj:BJAB0868_03534
ko:K08987	abaj:BJAB0868_03535
ko:K16137	abaj:BJAB0868_03537
ko:K03701	abaj:BJAB0868_03538
ko:K02168	abaj:BJAB0868_03542
ko:K14393	abaj:BJAB0868_03544
ko:K00299	abaj:BJAB0868_03549
ko:K17228	abaj:BJAB0868_03550
ko:K01895	abaj:BJAB0868_03553
ko:K02527	abaj:BJAB0868_03558
ko:K02836	abaj:BJAB0868_03562
ko:K07462	abaj:BJAB0868_03564
ko:K00275	abaj:BJAB0868_03565
ko:K03431	abaj:BJAB0868_03566
ko:K06940	abaj:BJAB0868_03568
ko:K00627	abaj:BJAB0868_03573
ko:K00163	abaj:BJAB0868_03574
ko:K02535	abaj:BJAB0868_03577
ko:K03531	abaj:BJAB0868_03578
ko:K03590	abaj:BJAB0868_03579
ko:K03589	abaj:BJAB0868_03580
ko:K07267	abaj:BJAB0868_02130
ko:K03785	abaj:BJAB0868_02132
ko:K00448	abaj:BJAB0868_02133
ko:K00449	abaj:BJAB0868_02134
ko:K08195	abaj:BJAB0868_02136
ko:K01055	abaj:BJAB0868_02137
ko:K01857	abaj:BJAB0868_02138
ko:K01032	abaj:BJAB0868_02140
ko:K01031	abaj:BJAB0868_02141
ko:K00991	abaj:BJAB0868_02142
ko:K05589	abaj:BJAB0868_02143
ko:K01689	abaj:BJAB0868_02145
ko:K01627	abaj:BJAB0868_02146
ko:K01937	abaj:BJAB0868_02147
ko:K07044	abaj:BJAB0868_02149
ko:K01626	abaj:BJAB0868_02156
ko:K09771	abaj:BJAB0868_02157
ko:K03694	abaj:BJAB0868_02158
ko:K06891	abaj:BJAB0868_02159
ko:K00145	abaj:BJAB0868_02161
ko:K07043	abaj:BJAB0868_02164
ko:K01807	abaj:BJAB0868_02165
ko:K01754	abaj:BJAB0868_02166
ko:K01058	abaj:BJAB0868_02169
ko:K16090	abaj:BJAB0868_02171
ko:K00425	abaj:BJAB0868_02175
ko:K00426	abaj:BJAB0868_02176
ko:K01956	abaj:BJAB0868_02904
ko:K01955	abaj:BJAB0868_02905
ko:K03624	abaj:BJAB0868_02906
ko:K07443	abaj:BJAB0868_02909
ko:K09781	abaj:BJAB0868_02917
ko:K01867	abaj:BJAB0868_02918
ko:K01902	abaj:BJAB0868_02919
ko:K01903	abaj:BJAB0868_02920
ko:K00382	abaj:BJAB0868_02921
ko:K00658	abaj:BJAB0868_02922
ko:K00164	abaj:BJAB0868_02923
ko:K00240	abaj:BJAB0868_02925
ko:K00239	abaj:BJAB0868_02926
ko:K00242	abaj:BJAB0868_02927
ko:K01647	abaj:BJAB0868_02929
ko:K06938	abaj:BJAB0868_02930
ko:K07146	abaj:BJAB0868_02931
ko:K07039	abaj:BJAB0868_02933
ko:K03086	abaj:BJAB0868_02935
ko:K09158	abaj:BJAB0868_02936
ko:K03801	abaj:BJAB0868_02937
ko:K03216	abaj:BJAB0868_02943
ko:K02302	abaj:BJAB0868_02944
ko:K01875	abaj:BJAB0868_02945
ko:K03634	abaj:BJAB0868_02947
ko:K02899	abaj:BJAB0868_02948
ko:K02888	abaj:BJAB0868_02949
ko:K02523	abaj:BJAB0868_02950
ko:K01246	abaj:BJAB0868_03682
ko:K12957	abaj:BJAB0868_03683
ko:K06222	abaj:BJAB0868_03688
ko:K00215	abaj:BJAB0868_03691
ko:K03686	abaj:BJAB0868_03693
ko:K01595	abaj:BJAB0868_03698
ko:K07090	abaj:BJAB0868_03701
ko:K01687	abaj:BJAB0868_03703
ko:K00604	abaj:BJAB0868_03704
ko:K03500	abaj:BJAB0868_03705
ko:K03308	abaj:BJAB0868_03707
ko:K09803	abaj:BJAB0868_p0008
ko:K13639	abaj:BJAB0868_01435
ko:K09712	abaj:BJAB0868_01436
ko:K07078	abaj:BJAB0868_02180
ko:K03110	abaj:BJAB0868_02181
ko:K07390	abaj:BJAB0868_02189
ko:K01265	abaj:BJAB0868_02192
ko:K03311	abaj:BJAB0868_02193
ko:K02769	abaj:BJAB0868_02200
ko:K02770	abaj:BJAB0868_02200
ko:K00117	abaj:BJAB0868_02207
ko:K03321	abaj:BJAB0868_02209
ko:K01556	abaj:BJAB0868_02213
ko:K04762	abaj:BJAB0868_02220
ko:K03565	abaj:BJAB0868_02222
ko:K00677	abaj:BJAB0868_02224
ko:K02372	abaj:BJAB0868_02225
ko:K02536	abaj:BJAB0868_02226
ko:K03585	abaj:BJAB0868_02953
ko:K01873	abaj:BJAB0868_02961
ko:K07088	abaj:BJAB0868_02964
ko:K03320	abaj:BJAB0868_02966
ko:K03760	abaj:BJAB0868_02970
ko:K07001	abaj:BJAB0868_02975
ko:K07340	abaj:BJAB0868_02976
ko:K00795	abaj:BJAB0868_02979
ko:K03981	abaj:BJAB0868_p0061
ko:K05516	abaj:BJAB0868_00424
ko:K04083	abaj:BJAB0868_00426
ko:K04066	abaj:BJAB0868_00428
ko:K02455	abaj:BJAB0868_00429
ko:K02456	abaj:BJAB0868_00430
ko:K06878	abaj:BJAB0868_00432
ko:K03820	abaj:BJAB0868_00433
ko:K06189	abaj:BJAB0868_00434
ko:K00311	abaj:BJAB0868_00436
ko:K09986	abaj:BJAB0868_00437
ko:K01776	abaj:BJAB0868_00438
ko:K01772	abaj:BJAB0868_00440
ko:K09862	abaj:BJAB0868_00442
ko:K07007	abaj:BJAB0868_00444
ko:K06199	abaj:BJAB0868_00446
ko:K02909	abaj:BJAB0868_00448
ko:K03327	abaj:BJAB0868_00452
ko:K09936	abaj:BJAB0868_00453
ko:K13776	abaj:BJAB0868_00457
ko:K08300	abaj:BJAB0868_00458
ko:K01091	abaj:BJAB0868_00460
ko:K05817	abaj:BJAB0868_00464
ko:K03782	abaj:BJAB0868_00466
ko:K08484	abaj:BJAB0868_00467
ko:K08311	abaj:BJAB0868_00468
ko:K14052	abaj:BJAB0868_01253
ko:K00840	abaj:BJAB0868_01259
ko:K00673	abaj:BJAB0868_01260
ko:K03563	abaj:BJAB0868_01268
ko:K00928	abaj:BJAB0868_01269
ko:K01872	abaj:BJAB0868_01270
ko:K00134	abaj:BJAB0868_01271
ko:K02502	abaj:BJAB0868_01272
ko:K01939	abaj:BJAB0868_01273
ko:K07397	abaj:BJAB0868_01280
ko:K03695	abaj:BJAB0868_01283
ko:K09936	abaj:BJAB0868_02036
ko:K09936	abaj:BJAB0868_02037
ko:K03710	abaj:BJAB0868_02041
ko:K15125	abaj:BJAB0868_02048
ko:K01866	abaj:BJAB0868_00003
ko:K09001	abaj:BJAB0868_00004
ko:K15724	abaj:BJAB0868_00006
ko:K06158	abaj:BJAB0868_00010
ko:K15536	abaj:BJAB0868_00012
ko:K02470	abaj:BJAB0868_00013
ko:K03629	abaj:BJAB0868_00014
ko:K02338	abaj:BJAB0868_00015
ko:K02313	abaj:BJAB0868_00016
ko:K02914	abaj:BJAB0868_00017
ko:K03536	abaj:BJAB0868_00018
ko:K08998	abaj:BJAB0868_00019
ko:K03217	abaj:BJAB0868_00020
ko:K03650	abaj:BJAB0868_00021
ko:K03981	abaj:BJAB0868_00024
ko:K00760	abaj:BJAB0868_00026
ko:K00337	abaj:BJAB0868_00773
ko:K00338	abaj:BJAB0868_00774
ko:K00339	abaj:BJAB0868_00775
ko:K00340	abaj:BJAB0868_00776
ko:K00341	abaj:BJAB0868_00777
ko:K00342	abaj:BJAB0868_00778
ko:K00343	abaj:BJAB0868_00779
ko:K00761	abaj:BJAB0868_00780
ko:K00528	abaj:BJAB0868_00783
ko:K07007	abaj:BJAB0868_00788
ko:K01874	abaj:BJAB0868_00795
ko:K09928	abaj:BJAB0868_00799
ko:K01494	abaj:BJAB0868_00801
ko:K05541	abaj:BJAB0868_00807
ko:K03106	abaj:BJAB0868_00809
ko:K03525	abaj:BJAB0868_00810
ko:K03524	abaj:BJAB0868_00811
ko:K03529	abaj:BJAB0868_00815
ko:K03528	abaj:BJAB0868_00816
ko:K01972	abaj:BJAB0868_00817
ko:K03594	abaj:BJAB0868_00818
ko:K00697	abaj:BJAB0868_00820
ko:K01087	abaj:BJAB0868_00821
ko:K02170	abaj:BJAB0868_00822
ko:K00426	abaj:BJAB0868_01587
ko:K00425	abaj:BJAB0868_01588
ko:K15551	abaj:BJAB0868_01597
ko:K15552	abaj:BJAB0868_01599
ko:K03119	abaj:BJAB0868_01600
ko:K16841	abaj:BJAB0868_01601
ko:K03457	abaj:BJAB0868_01602
ko:K07240	abaj:BJAB0868_01612
ko:K07240	abaj:BJAB0868_01613
ko:K03387	abaj:BJAB0868_01614
ko:K00640	abaj:BJAB0868_01617
ko:K15396	abaj:BJAB0868_01618
ko:K02337	abaj:BJAB0868_01619
ko:K05597	abaj:BJAB0868_01620
ko:K14260	abaj:BJAB0868_01622
ko:K00432	abaj:BJAB0868_01624
ko:K14267	abaj:BJAB0868_01627
ko:K00990	abaj:BJAB0868_01628
ko:K08289	abaj:BJAB0868_01629
ko:K07667	abaj:BJAB0868_02376
ko:K07646	abaj:BJAB0868_02377
ko:K01548	abaj:BJAB0868_02378
ko:K01547	abaj:BJAB0868_02379
ko:K01546	abaj:BJAB0868_02380
ko:K00950	abaj:BJAB0868_02381
ko:K01633	abaj:BJAB0868_02382
ko:K01895	abaj:BJAB0868_02386
ko:K15553	abaj:BJAB0868_02390
ko:K15554	abaj:BJAB0868_02391
ko:K02493	abaj:BJAB0868_02392
ko:K02835	abaj:BJAB0868_02393
ko:K11936	abaj:BJAB0868_02402
ko:K09773	abaj:BJAB0868_02405
ko:K02297	abaj:BJAB0868_02408
ko:K02298	abaj:BJAB0868_02409
ko:K02299	abaj:BJAB0868_02410
ko:K02300	abaj:BJAB0868_02411
ko:K02990	abaj:BJAB0868_02413
ko:K02963	abaj:BJAB0868_02414
ko:K02939	abaj:BJAB0868_02415
ko:K01775	abaj:BJAB0868_02417
ko:K07395	abaj:BJAB0868_02418
ko:K11068	abaj:BJAB0868_03154
ko:K03070	abaj:BJAB0868_03157
ko:K11754	abaj:BJAB0868_03162
ko:K01963	abaj:BJAB0868_03163
ko:K01695	abaj:BJAB0868_03164
ko:K07044	abaj:BJAB0868_03167
ko:K01696	abaj:BJAB0868_03170
ko:K01817	abaj:BJAB0868_03171
ko:K16092	abaj:BJAB0868_03172
ko:K00798	abaj:BJAB0868_03173
ko:K01126	abaj:BJAB0868_03174
ko:K07664	abaj:BJAB0868_03178
ko:K07642	abaj:BJAB0868_03179
ko:K01876	abaj:BJAB0868_03191
ko:K00285	abaj:BJAB0868_00138
ko:K01775	abaj:BJAB0868_00139
ko:K11737	abaj:BJAB0868_00141
ko:K11737	abaj:BJAB0868_00142
ko:K00140	abaj:BJAB0868_00145
ko:K01895	abaj:BJAB0868_00147
ko:K06133	abaj:BJAB0868_00163
ko:K05527	abaj:BJAB0868_00164
ko:K03975	abaj:BJAB0868_00169
ko:K15977	abaj:BJAB0868_00170
ko:K01951	abaj:BJAB0868_00172
ko:K06911	abaj:BJAB0868_00176
ko:K07397	abaj:BJAB0868_00177
ko:K10857	abaj:BJAB0868_00925
ko:K02458	abaj:BJAB0868_01733
ko:K02459	abaj:BJAB0868_01734
ko:K02460	abaj:BJAB0868_01735
ko:K01737	abaj:BJAB0868_01736
ko:K03648	abaj:BJAB0868_01737
ko:K00945	abaj:BJAB0868_01741
ko:K02945	abaj:BJAB0868_01742
ko:K05788	abaj:BJAB0868_01743
ko:K01591	abaj:BJAB0868_01745
ko:K06916	abaj:BJAB0868_01749
ko:K01638	abaj:BJAB0868_01750
ko:K03561	abaj:BJAB0868_01754
ko:K03832	abaj:BJAB0868_01755
ko:K02034	abaj:BJAB0868_01761
ko:K02968	abaj:BJAB0868_01767
ko:K02553	abaj:BJAB0868_01769
ko:K07223	abaj:BJAB0868_01771
ko:K03723	abaj:BJAB0868_01773
ko:K04755	abaj:BJAB0868_01776
ko:K04044	abaj:BJAB0868_01777
ko:K04082	abaj:BJAB0868_01778
ko:K04487	abaj:BJAB0868_01781
ko:K13643	abaj:BJAB0868_01782
ko:K05365	abaj:BJAB0868_02521
ko:K00528	abaj:BJAB0868_02531
ko:K08303	abaj:BJAB0868_02534
ko:K10017	abaj:BJAB0868_02537
ko:K10015	abaj:BJAB0868_02538
ko:K10016	abaj:BJAB0868_02539
ko:K00600	abaj:BJAB0868_02546
ko:K10857	abaj:BJAB0868_02549
ko:K06879	abaj:BJAB0868_02553
ko:K05837	abaj:BJAB0868_02555
ko:K03642	abaj:BJAB0868_02557
ko:K02357	abaj:BJAB0868_02563
ko:K02967	abaj:BJAB0868_02564
ko:K01265	abaj:BJAB0868_02565
ko:K02575	abaj:BJAB0868_02567
ko:K09159	abaj:BJAB0868_03295
ko:K02879	abaj:BJAB0868_03298
ko:K03040	abaj:BJAB0868_03299
ko:K02986	abaj:BJAB0868_03300
ko:K02948	abaj:BJAB0868_03301
ko:K02952	abaj:BJAB0868_03302
ko:K02919	abaj:BJAB0868_03303
ko:K03076	abaj:BJAB0868_03304
ko:K02876	abaj:BJAB0868_03305
ko:K02907	abaj:BJAB0868_03306
ko:K02988	abaj:BJAB0868_03307
ko:K02881	abaj:BJAB0868_03308
ko:K02933	abaj:BJAB0868_03309
ko:K02994	abaj:BJAB0868_03310
ko:K02954	abaj:BJAB0868_03311
ko:K02931	abaj:BJAB0868_03312
ko:K02895	abaj:BJAB0868_03313
ko:K02874	abaj:BJAB0868_03314
ko:K02961	abaj:BJAB0868_03315
ko:K02904	abaj:BJAB0868_03316
ko:K02878	abaj:BJAB0868_03317
ko:K03321	abaj:BJAB0868_00279
ko:K07391	abaj:BJAB0868_00288
ko:K04752	abaj:BJAB0868_00290
ko:K03320	abaj:BJAB0868_00291
ko:K07738	abaj:BJAB0868_00292
ko:K11752	abaj:BJAB0868_00293
ko:K00793	abaj:BJAB0868_00295
ko:K02339	abaj:BJAB0868_00298
ko:K01255	abaj:BJAB0868_00299
ko:K07091	abaj:BJAB0868_00300
ko:K11720	abaj:BJAB0868_00301
ko:K15633	abaj:BJAB0868_00302
ko:K03797	abaj:BJAB0868_00303
ko:K02667	abaj:BJAB0868_00304
ko:K02668	abaj:BJAB0868_00305
ko:K07262	abaj:BJAB0868_00307
ko:K01733	abaj:BJAB0868_00308
ko:K00003	abaj:BJAB0868_00309
ko:K03981	abaj:BJAB0868_00310
ko:K04758	abaj:BJAB0868_00312
ko:K04759	abaj:BJAB0868_00313
ko:K01925	abaj:BJAB0868_00315
ko:K03588	abaj:BJAB0868_00316
ko:K01894	abaj:BJAB0868_00317
ko:K06204	abaj:BJAB0868_00318
ko:K03651	abaj:BJAB0868_00319
ko:K03147	abaj:BJAB0868_00321
ko:K12340	abaj:BJAB0868_00325
ko:K02039	abaj:BJAB0868_00326
ko:K00615	abaj:BJAB0868_01081
ko:K03306	abaj:BJAB0868_01084
ko:K01753	abaj:BJAB0868_01085
ko:K07400	abaj:BJAB0868_01092
ko:K01673	abaj:BJAB0868_01096
ko:K10804	abaj:BJAB0868_01097
ko:K02003	abaj:BJAB0868_01098
ko:K03814	abaj:BJAB0868_01101
ko:K00937	abaj:BJAB0868_01102
ko:K04761	abaj:BJAB0868_01104
ko:K05297	abaj:BJAB0868_01106
ko:K04567	abaj:BJAB0868_01110
ko:K00957	abaj:BJAB0868_01113
ko:K09965	abaj:BJAB0868_01115
ko:K03300	abaj:BJAB0868_01117
ko:K01637	abaj:BJAB0868_01122
ko:K03190	abaj:BJAB0868_01126
ko:K01430	abaj:BJAB0868_01127
ko:K01429	abaj:BJAB0868_01128
ko:K01428	abaj:BJAB0868_01129
ko:K03187	abaj:BJAB0868_01130
ko:K01744	abaj:BJAB0868_01885
ko:K02106	abaj:BJAB0868_01891
ko:K01029	abaj:BJAB0868_01892
ko:K01028	abaj:BJAB0868_01893
ko:K00019	abaj:BJAB0868_01899
ko:K01061	abaj:BJAB0868_01904
ko:K02019	abaj:BJAB0868_01913
ko:K02020	abaj:BJAB0868_01914
ko:K02018	abaj:BJAB0868_01915
ko:K00216	abaj:BJAB0868_01917
ko:K00937	abaj:BJAB0868_01921
ko:K06136	abaj:BJAB0868_01923
ko:K06137	abaj:BJAB0868_01924
ko:K06138	abaj:BJAB0868_01925
ko:K06139	abaj:BJAB0868_01926
ko:K01273	abaj:BJAB0868_01927
ko:K06200	abaj:BJAB0868_02666
ko:K02356	abaj:BJAB0868_02667
ko:K02909	abaj:BJAB0868_02671
ko:K14347	abaj:BJAB0868_02672
ko:K08218	abaj:BJAB0868_02674
ko:K06194	abaj:BJAB0868_02677
ko:K03787	abaj:BJAB0868_02678
ko:K00566	abaj:BJAB0868_02684
ko:K07153	abaj:BJAB0868_02685
ko:K01756	abaj:BJAB0868_02686
ko:K08984	abaj:BJAB0868_02687
ko:K02036	abaj:BJAB0868_02690
ko:K02038	abaj:BJAB0868_02691
ko:K02037	abaj:BJAB0868_02692
ko:K02040	abaj:BJAB0868_02693
ko:K11734	abaj:BJAB0868_02694
ko:K13745	abaj:BJAB0868_02698
ko:K00836	abaj:BJAB0868_02699
ko:K03580	abaj:BJAB0868_02707
ko:K02662	abaj:BJAB0868_03441
ko:K05366	abaj:BJAB0868_03442
ko:K00563	abaj:BJAB0868_03443
ko:K01000	abaj:BJAB0868_03445
ko:K01929	abaj:BJAB0868_03446
ko:K01928	abaj:BJAB0868_03447
ko:K03587	abaj:BJAB0868_03448
ko:K03586	abaj:BJAB0868_03449
ko:K03438	abaj:BJAB0868_03450
ko:K02048	abaj:BJAB0868_03451
ko:K16264	abaj:BJAB0868_03458
ko:K15726	abaj:BJAB0868_03459
ko:K01740	abaj:BJAB0868_03470
ko:K01673	abaj:BJAB0868_03472
ko:K06959	abaj:BJAB0868_03473
ko:K07659	abaj:BJAB0868_03474
ko:K07638	abaj:BJAB0868_03475
ko:K01693	abaj:BJAB0868_03479
ko:K02501	abaj:BJAB0868_03480
ko:K01814	abaj:BJAB0868_03483
ko:K03885	abaj:BJAB0868_02062
ko:K03781	abaj:BJAB0868_02073
ko:K00154	abaj:BJAB0868_02076
ko:K14393	abaj:BJAB0868_02078
ko:K03841	abaj:BJAB0868_02809
ko:K03437	abaj:BJAB0868_02810
ko:K03088	abaj:BJAB0868_02811
ko:K10763	abaj:BJAB0868_02816
ko:K01933	abaj:BJAB0868_02818
ko:K11175	abaj:BJAB0868_02819
ko:K04773	abaj:BJAB0868_02821
ko:K02517	abaj:BJAB0868_02822
ko:K09810	abaj:BJAB0868_02824
ko:K09808	abaj:BJAB0868_02825
ko:K09768	abaj:BJAB0868_02827
ko:K00831	abaj:BJAB0868_02830
ko:K01993	abaj:BJAB0868_02833
ko:K02469	abaj:BJAB0868_02840
ko:K03522	abaj:BJAB0868_02841
ko:K03521	abaj:BJAB0868_02842
ko:K03733	abaj:BJAB0868_02843
ko:K01778	abaj:BJAB0868_02845
ko:K01586	abaj:BJAB0868_02846
ko:K11737	abaj:BJAB0868_02848
ko:K04485	abaj:BJAB0868_02850
ko:K04568	abaj:BJAB0868_02852
ko:K03473	abaj:BJAB0868_02853
ko:K02379	abaj:BJAB0868_02855
ko:K01921	abaj:BJAB0868_03581
ko:K01924	abaj:BJAB0868_03582
ko:K02563	abaj:BJAB0868_03583
ko:K01920	abaj:BJAB0868_03584
ko:K00762	abaj:BJAB0868_03587
ko:K01142	abaj:BJAB0868_03588
