ko:K10747	pstt:CH92_14500
ko:K02415	pstt:CH92_14250
ko:K02414	pstt:CH92_14255
ko:K02413	pstt:CH92_14275
ko:K02412	pstt:CH92_14280
ko:K02411	pstt:CH92_14285
ko:K02410	pstt:CH92_14290
ko:K02409	pstt:CH92_14295
ko:K02408	pstt:CH92_14300
ko:K05782	pstt:CH92_14305
ko:K01591	pstt:CH92_14320
ko:K03522	pstt:CH92_14360
ko:K03521	pstt:CH92_14365
ko:K00311	pstt:CH92_14370
ko:K03704	pstt:CH92_14375
ko:K00631	pstt:CH92_14395
ko:K11068	pstt:CH92_14415
ko:K07644	pstt:CH92_14430
ko:K07665	pstt:CH92_14435
ko:K04023	pstt:CH92_14760
ko:K06995	pstt:CH92_14770
ko:K16089	pstt:CH92_14825
ko:K13688	pstt:CH92_14845
ko:K02014	pstt:CH92_14855
ko:K08303	pstt:CH92_14860
ko:K01713	pstt:CH92_14880
ko:K02014	pstt:CH92_14885
ko:K03642	pstt:CH92_14890
ko:K03406	pstt:CH92_14895
ko:K08159	pstt:CH92_14905
ko:K03543	pstt:CH92_14940
ko:K03446	pstt:CH92_14945
ko:K17675	pstt:CH92_14950
ko:K10716	pstt:CH92_14955
ko:K02440	pstt:CH92_14975
ko:K00864	pstt:CH92_14980
ko:K02444	pstt:CH92_14985
ko:K00111	pstt:CH92_14990
ko:K14683	pstt:CH92_14995
ko:K02040	pstt:CH92_15005
ko:K03769	pstt:CH92_15015
ko:K07090	pstt:CH92_15030
ko:K01092	pstt:CH92_15050
ko:K15984	pstt:CH92_15070
ko:K03977	pstt:CH92_15370
ko:K17713	pstt:CH92_15375
ko:K01892	pstt:CH92_15385
ko:K15539	pstt:CH92_15395
ko:K02656	pstt:CH92_15400
ko:K06941	pstt:CH92_15405
ko:K00940	pstt:CH92_15410
ko:K04755	pstt:CH92_15420
ko:K04044	pstt:CH92_15425
ko:K04082	pstt:CH92_15430
ko:K13628	pstt:CH92_15435
ko:K04488	pstt:CH92_15440
ko:K04487	pstt:CH92_15445
ko:K13643	pstt:CH92_15450
ko:K00640	pstt:CH92_15455
ko:K15396	pstt:CH92_15460
ko:K01092	pstt:CH92_15465
ko:K03074	pstt:CH92_15475
ko:K03072	pstt:CH92_15480
ko:K03210	pstt:CH92_15485
ko:K00773	pstt:CH92_15490
ko:K07568	pstt:CH92_15495
ko:K03704	pstt:CH92_15505
ko:K11720	pstt:CH92_15515
ko:K07091	pstt:CH92_15520
ko:K01255	pstt:CH92_15525
ko:K02339	pstt:CH92_15530
ko:K01873	pstt:CH92_15540
ko:K06970	pstt:CH92_15560
ko:K06899	pstt:CH92_15585
ko:K06153	pstt:CH92_15590
ko:K07461	pstt:CH92_15600
ko:K18691	pstt:CH92_15605
ko:K00549	pstt:CH92_15615
ko:K03576	pstt:CH92_15625
ko:K09919	pstt:CH92_15630
ko:K16872	pstt:CH92_15640
ko:K09954	pstt:CH92_15650
ko:K04046	pstt:CH92_15965
ko:K02044	pstt:CH92_16000
ko:K02041	pstt:CH92_16005
ko:K02042	pstt:CH92_16010
ko:K02042	pstt:CH92_16015
ko:K01999	pstt:CH92_16025
ko:K01997	pstt:CH92_16030
ko:K01998	pstt:CH92_16035
ko:K01995	pstt:CH92_16040
ko:K01996	pstt:CH92_16045
ko:K18456	pstt:CH92_16050
ko:K13481	pstt:CH92_16055
ko:K13482	pstt:CH92_16060
ko:K07402	pstt:CH92_16065
ko:K01487	pstt:CH92_16075
ko:K02077	pstt:CH92_16080
ko:K02075	pstt:CH92_16085
ko:K02074	pstt:CH92_16090
ko:K06901	pstt:CH92_16100
ko:K07127	pstt:CH92_16110
ko:K01477	pstt:CH92_16125
ko:K01483	pstt:CH92_16130
ko:K16345	pstt:CH92_16150
ko:K03406	pstt:CH92_16160
ko:K03744	pstt:CH92_16200
ko:K07231	pstt:CH92_16205
ko:K07338	pstt:CH92_16215
ko:K09947	pstt:CH92_16220
ko:K03406	pstt:CH92_16225
ko:K03585	pstt:CH92_16230
ko:K18138	pstt:CH92_16235
ko:K01755	pstt:CH92_16555
ko:K11103	pstt:CH92_16560
ko:K01673	pstt:CH92_16580
ko:K00697	pstt:CH92_16585
ko:K01087	pstt:CH92_16590
ko:K03789	pstt:CH92_16600
ko:K01649	pstt:CH92_16610
ko:K17247	pstt:CH92_16660
ko:K17103	pstt:CH92_16670
ko:K00053	pstt:CH92_16675
ko:K01653	pstt:CH92_16680
ko:K01652	pstt:CH92_16685
ko:K05365	pstt:CH92_16705
ko:K07028	pstt:CH92_16710
ko:K07343	pstt:CH92_16720
ko:K04084	pstt:CH92_16755
ko:K03786	pstt:CH92_16760
ko:K02160	pstt:CH92_16765
ko:K01961	pstt:CH92_16770
ko:K02687	pstt:CH92_16775
ko:K05540	pstt:CH92_16785
ko:K03557	pstt:CH92_16790
ko:K00602	pstt:CH92_16795
ko:K01945	pstt:CH92_16800
ko:K15629	pstt:CH92_16810
ko:K07027	pstt:CH92_16815
ko:K07088	pstt:CH92_16825
ko:K07323	pstt:CH92_17100
ko:K03547	pstt:CH92_17400
ko:K04564	pstt:CH92_17410
ko:K01725	pstt:CH92_17425
ko:K03781	pstt:CH92_17435
ko:K06193	pstt:CH92_17455
ko:K00117	pstt:CH92_17460
ko:K02769	pstt:CH92_17465
ko:K02770	pstt:CH92_17465
ko:K00882	pstt:CH92_17470
ko:K02768	pstt:CH92_17475
ko:K08483	pstt:CH92_17475
ko:K11183	pstt:CH92_17475
ko:K03435	pstt:CH92_17480
ko:K06219	pstt:CH92_17490
ko:K03327	pstt:CH92_17520
ko:K08983	pstt:CH92_17525
ko:K11475	pstt:CH92_17540
ko:K08234	pstt:CH92_17555
ko:K03623	pstt:CH92_17585
ko:K06204	pstt:CH92_17660
ko:K07552	pstt:CH92_17700
ko:K01939	pstt:CH92_18005
ko:K02502	pstt:CH92_18010
ko:K04087	pstt:CH92_18015
ko:K04088	pstt:CH92_18020
ko:K03665	pstt:CH92_18025
ko:K03666	pstt:CH92_18030
ko:K00791	pstt:CH92_18035
ko:K03572	pstt:CH92_18040
ko:K01448	pstt:CH92_18045
ko:K06925	pstt:CH92_18050
ko:K17758	pstt:CH92_18055
ko:K17759	pstt:CH92_18055
ko:K03186	pstt:CH92_18070
ko:K02558	pstt:CH92_18075
ko:K00138	pstt:CH92_18080
ko:K03735	pstt:CH92_18090
ko:K03736	pstt:CH92_18095
ko:K09933	pstt:CH92_18110
ko:K01507	pstt:CH92_18115
ko:K08195	pstt:CH92_18125
ko:K16516	pstt:CH92_18140
ko:K16515	pstt:CH92_18145
ko:K10218	pstt:CH92_18150
ko:K16514	pstt:CH92_18155
ko:K02016	pstt:CH92_18170
ko:K02015	pstt:CH92_18180
ko:K02013	pstt:CH92_18185
ko:K07217	pstt:CH92_18215
ko:K07090	pstt:CH92_18250
ko:K03602	pstt:CH92_18255
ko:K13789	pstt:CH92_18260
ko:K01662	pstt:CH92_18265
ko:K16092	pstt:CH92_18275
ko:K01497	pstt:CH92_18290
ko:K03187	pstt:CH92_18600
ko:K03188	pstt:CH92_18605
ko:K03189	pstt:CH92_18610
ko:K03192	pstt:CH92_18615
ko:K01241	pstt:CH92_18620
ko:K01754	pstt:CH92_18630
ko:K09456	pstt:CH92_18635
ko:K00939	pstt:CH92_15100
ko:K01595	pstt:CH92_15105
ko:K12972	pstt:CH92_15135
ko:K00666	pstt:CH92_15145
ko:K03787	pstt:CH92_15150
ko:K04567	pstt:CH92_15195
ko:K02836	pstt:CH92_15200
ko:K07462	pstt:CH92_15220
ko:K07160	pstt:CH92_15230
ko:K02192	pstt:CH92_15255
ko:K03594	pstt:CH92_15260
ko:K07390	pstt:CH92_15265
ko:K00611	pstt:CH92_15270
ko:K02010	pstt:CH92_15275
ko:K01951	pstt:CH92_15295
ko:K00088	pstt:CH92_15300
ko:K03601	pstt:CH92_15310
ko:K16053	pstt:CH92_15325
ko:K01649	pstt:CH92_15330
ko:K13979	pstt:CH92_15335
ko:K01150	pstt:CH92_15345
ko:K08984	pstt:CH92_15350
ko:K14287	pstt:CH92_15365
ko:K06889	pstt:CH92_15675
ko:K01295	pstt:CH92_15735
ko:K03299	pstt:CH92_15740
ko:K03088	pstt:CH92_15755
ko:K04750	pstt:CH92_15770
ko:K09122	pstt:CH92_15785
ko:K07090	pstt:CH92_15790
ko:K00784	pstt:CH92_15795
ko:K03809	pstt:CH92_15805
ko:K01061	pstt:CH92_15830
ko:K03578	pstt:CH92_15835
ko:K01897	pstt:CH92_15845
ko:K01897	pstt:CH92_15850
ko:K03406	pstt:CH92_15860
ko:K03580	pstt:CH92_15885
ko:K03724	pstt:CH92_15890
ko:K03767	pstt:CH92_15950
ko:K04077	pstt:CH92_16245
ko:K04078	pstt:CH92_16250
ko:K07113	pstt:CH92_16260
ko:K07226	pstt:CH92_16265
ko:K00059	pstt:CH92_16270
ko:K07443	pstt:CH92_16280
ko:K08218	pstt:CH92_16285
ko:K03442	pstt:CH92_16290
ko:K09767	pstt:CH92_16295
ko:K00077	pstt:CH92_16305
ko:K00798	pstt:CH92_16315
ko:K06889	pstt:CH92_16325
ko:K03387	pstt:CH92_16335
ko:K03386	pstt:CH92_16340
ko:K03574	pstt:CH92_16345
ko:K00620	pstt:CH92_16350
ko:K03070	pstt:CH92_16355
ko:K09918	pstt:CH92_16370
ko:K00760	pstt:CH92_16395
ko:K00761	pstt:CH92_16400
ko:K02824	pstt:CH92_16405
ko:K01776	pstt:CH92_16420
ko:K02493	pstt:CH92_16430
ko:K02835	pstt:CH92_16435
ko:K02492	pstt:CH92_16440
ko:K02494	pstt:CH92_16450
ko:K00919	pstt:CH92_16455
ko:K00948	pstt:CH92_16470
ko:K02897	pstt:CH92_16475
ko:K01056	pstt:CH92_16480
ko:K06942	pstt:CH92_16485
ko:K03652	pstt:CH92_16490
ko:K07098	pstt:CH92_16495
ko:K06222	pstt:CH92_16515
ko:K00067	pstt:CH92_16830
ko:K03594	pstt:CH92_16845
ko:K02535	pstt:CH92_16850
ko:K03531	pstt:CH92_16855
ko:K03590	pstt:CH92_16860
ko:K03589	pstt:CH92_16865
ko:K01921	pstt:CH92_16870
ko:K01924	pstt:CH92_16875
ko:K02563	pstt:CH92_16880
ko:K03588	pstt:CH92_16885
ko:K01925	pstt:CH92_16890
ko:K01000	pstt:CH92_16895
ko:K01929	pstt:CH92_16900
ko:K01928	pstt:CH92_16905
ko:K03587	pstt:CH92_16910
ko:K03586	pstt:CH92_16915
ko:K03438	pstt:CH92_16920
ko:K03925	pstt:CH92_16925
ko:K07056	pstt:CH92_16930
ko:K07121	pstt:CH92_16935
ko:K07460	pstt:CH92_16940
ko:K03271	pstt:CH92_16945
ko:K03600	pstt:CH92_16955
ko:K03599	pstt:CH92_16960
ko:K00413	pstt:CH92_16965
ko:K00412	pstt:CH92_16970
ko:K00411	pstt:CH92_16975
ko:K02996	pstt:CH92_16980
ko:K02871	pstt:CH92_16985
ko:K09862	pstt:CH92_17000
ko:K00859	pstt:CH92_17005
ko:K02654	pstt:CH92_17010
ko:K02653	pstt:CH92_17015
ko:K02652	pstt:CH92_17020
ko:K00955	pstt:CH92_17045
ko:K00957	pstt:CH92_17050
ko:K04691	pstt:CH92_17060
ko:K00817	pstt:CH92_17065
ko:K00013	pstt:CH92_17070
ko:K00765	pstt:CH92_17075
ko:K00790	pstt:CH92_17080
ko:K07122	pstt:CH92_17095
ko:K00941	pstt:CH92_18650
ko:K00788	pstt:CH92_18655
ko:K01845	pstt:CH92_18660
ko:K07126	pstt:CH92_18670
ko:K06168	pstt:CH92_18680
ko:K07042	pstt:CH92_18690
ko:K06189	pstt:CH92_18695
ko:K03820	pstt:CH92_18700
ko:K01869	pstt:CH92_18715
ko:K03643	pstt:CH92_18720
ko:K02340	pstt:CH92_18725
ko:K08305	pstt:CH92_18735
ko:K03644	pstt:CH92_18750
ko:K03801	pstt:CH92_18755
ko:K09158	pstt:CH92_18760
ko:K07258	pstt:CH92_18765
ko:K03642	pstt:CH92_18770
ko:K08305	pstt:CH92_18775
ko:K05837	pstt:CH92_18780
ko:K05515	pstt:CH92_18785
ko:K00783	pstt:CH92_18790
ko:K09710	pstt:CH92_18795
ko:K00969	pstt:CH92_18800
ko:K00147	pstt:CH92_18805
ko:K07157	pstt:CH92_18815
ko:K13288	pstt:CH92_18845
ko:K06949	pstt:CH92_18855
ko:K02557	pstt:CH92_18860
ko:K02556	pstt:CH92_18865
ko:K01011	pstt:CH92_18875
ko:K01613	pstt:CH92_18880
ko:K02169	pstt:CH92_19160
ko:K02170	pstt:CH92_19165
ko:K00652	pstt:CH92_19170
ko:K01012	pstt:CH92_19175
ko:K07115	pstt:CH92_19190
ko:K00459	pstt:CH92_19195
ko:K15746	pstt:CH92_19200
ko:K02291	pstt:CH92_19205
ko:K10027	pstt:CH92_19210
ko:K06443	pstt:CH92_19215
ko:K13789	pstt:CH92_19230
ko:K11105	pstt:CH92_19240
ko:K05802	pstt:CH92_19245
ko:K11903	pstt:CH92_19255
ko:K11904	pstt:CH92_19260
ko:K02055	pstt:CH92_19335
ko:K02054	pstt:CH92_19345
ko:K02053	pstt:CH92_19350
ko:K02052	pstt:CH92_19355
ko:K03412	pstt:CH92_19370
ko:K00575	pstt:CH92_19375
ko:K07403	pstt:CH92_19400
ko:K01194	pstt:CH92_19415
ko:K00034	pstt:CH92_19420
ko:K05786	pstt:CH92_19425
ko:K01638	pstt:CH92_19435
ko:K03406	pstt:CH92_19440
ko:K07182	pstt:CH92_19455
ko:K02342	pstt:CH92_19460
ko:K02067	pstt:CH92_17105
ko:K02066	pstt:CH92_17110
ko:K02065	pstt:CH92_17115
ko:K06041	pstt:CH92_17120
ko:K03270	pstt:CH92_17125
ko:K11719	pstt:CH92_17130
ko:K09774	pstt:CH92_17135
ko:K06861	pstt:CH92_17140
ko:K03092	pstt:CH92_17145
ko:K05808	pstt:CH92_17150
ko:K02806	pstt:CH92_17155
ko:K06958	pstt:CH92_17160
ko:K11189	pstt:CH92_17165
ko:K03592	pstt:CH92_17170
ko:K09889	pstt:CH92_17175
ko:K03568	pstt:CH92_17180
ko:K08301	pstt:CH92_17195
ko:K06287	pstt:CH92_17200
ko:K03571	pstt:CH92_17205
ko:K03570	pstt:CH92_17210
ko:K03569	pstt:CH92_17215
ko:K02435	pstt:CH92_17220
ko:K02433	pstt:CH92_17225
ko:K02434	pstt:CH92_17230
ko:K03642	pstt:CH92_17235
ko:K07301	pstt:CH92_17240
ko:K07301	pstt:CH92_17245
ko:K07088	pstt:CH92_17265
ko:K15012	pstt:CH92_17275
ko:K15011	pstt:CH92_17280
ko:K09939	pstt:CH92_17290
ko:K00380	pstt:CH92_17305
ko:K16090	pstt:CH92_17310
ko:K07126	pstt:CH92_17320
ko:K01581	pstt:CH92_17325
ko:K02837	pstt:CH92_17330
ko:K06177	pstt:CH92_17335
ko:K00156	pstt:CH92_17345
ko:K07213	pstt:CH92_17710
ko:K17686	pstt:CH92_17715
ko:K03594	pstt:CH92_17730
ko:K07178	pstt:CH92_17750
ko:K10778	pstt:CH92_17755
ko:K03424	pstt:CH92_17765
ko:K03406	pstt:CH92_17780
ko:K03807	pstt:CH92_17785
ko:K03806	pstt:CH92_17790
ko:K05982	pstt:CH92_17795
ko:K06916	pstt:CH92_17805
ko:K01867	pstt:CH92_17810
ko:K07018	pstt:CH92_17815
ko:K09908	pstt:CH92_17820
ko:K00767	pstt:CH92_17825
ko:K03885	pstt:CH92_17840
ko:K03695	pstt:CH92_17860
ko:K05810	pstt:CH92_17865
ko:K06180	pstt:CH92_17870
ko:K05807	pstt:CH92_17875
ko:K06950	pstt:CH92_17880
ko:K02668	pstt:CH92_17885
ko:K02667	pstt:CH92_17890
ko:K01775	pstt:CH92_17940
ko:K02939	pstt:CH92_17960
ko:K02963	pstt:CH92_17970
ko:K02990	pstt:CH92_17975
ko:K03218	pstt:CH92_17985
ko:K12573	pstt:CH92_17990
ko:K06985	pstt:CH92_18295
ko:K00946	pstt:CH92_18305
ko:K03625	pstt:CH92_18310
ko:K00794	pstt:CH92_18315
ko:K14652	pstt:CH92_18320
ko:K00793	pstt:CH92_18325
ko:K11752	pstt:CH92_18335
ko:K07738	pstt:CH92_18340
ko:K01975	pstt:CH92_18355
ko:K05838	pstt:CH92_18360
ko:K10805	pstt:CH92_18370
ko:K07007	pstt:CH92_18385
ko:K02030	pstt:CH92_18430
ko:K03579	pstt:CH92_18435
ko:K03719	pstt:CH92_18455
ko:K06181	pstt:CH92_18465
ko:K11959	pstt:CH92_18475
ko:K11960	pstt:CH92_18480
ko:K11961	pstt:CH92_18485
ko:K11962	pstt:CH92_18490
ko:K11963	pstt:CH92_18495
ko:K01999	pstt:CH92_18505
ko:K01996	pstt:CH92_18510
ko:K01995	pstt:CH92_18515
ko:K01998	pstt:CH92_18520
ko:K01997	pstt:CH92_18525
ko:K03190	pstt:CH92_18530
ko:K01430	pstt:CH92_18535
ko:K03823	pstt:CH92_18540
ko:K01429	pstt:CH92_18545
ko:K01428	pstt:CH92_18550
ko:K03457	pstt:CH92_18555
ko:K01079	pstt:CH92_18895
ko:K09857	pstt:CH92_18905
ko:K02621	pstt:CH92_18910
ko:K06985	pstt:CH92_18915
ko:K02622	pstt:CH92_18925
ko:K07000	pstt:CH92_18930
ko:K03651	pstt:CH92_18935
ko:K09920	pstt:CH92_18940
ko:K01515	pstt:CH92_18945
ko:K03147	pstt:CH92_18960
ko:K12340	pstt:CH92_18965
ko:K02527	pstt:CH92_18970
ko:K03272	pstt:CH92_18995
ko:K11085	pstt:CH92_19010
ko:K12981	pstt:CH92_19020
ko:K00979	pstt:CH92_19035
ko:K01666	pstt:CH92_19040
ko:K00612	pstt:CH92_19060
ko:K02848	pstt:CH92_19075
ko:K02844	pstt:CH92_19080
ko:K02841	pstt:CH92_19085
ko:K02843	pstt:CH92_19090
ko:K00826	pstt:CH92_19095
ko:K00982	pstt:CH92_19100
ko:K00163	pstt:CH92_19105
ko:K00627	pstt:CH92_19110
ko:K07304	pstt:CH92_19125
ko:K01935	pstt:CH92_19155
ko:K03088	pstt:CH92_19465
ko:K02014	pstt:CH92_19475
ko:K14393	pstt:CH92_19495
ko:K05591	pstt:CH92_19510
ko:K07093	pstt:CH92_19515
ko:K07007	pstt:CH92_19525
ko:K01624	pstt:CH92_19560
ko:K00927	pstt:CH92_19575
ko:K03472	pstt:CH92_19580
ko:K00615	pstt:CH92_19585
ko:K00789	pstt:CH92_19610
ko:K01992	pstt:CH92_19620
ko:K01990	pstt:CH92_19625
ko:K01972	pstt:CH92_19630
ko:K03316	pstt:CH92_19650
ko:K01251	pstt:CH92_19655
ko:K00297	pstt:CH92_19660
ko:K18139	pstt:CH92_19670
ko:K18138	pstt:CH92_19675
ko:K03585	pstt:CH92_19680
ko:K12262	pstt:CH92_19690
ko:K00833	pstt:CH92_19695
ko:K09761	pstt:CH92_19700
ko:K06598	pstt:CH92_19705
ko:K06597	pstt:CH92_19710
ko:K02487	pstt:CH92_19715
ko:K06596	pstt:CH92_19715
ko:K02660	pstt:CH92_19725
ko:K02659	pstt:CH92_19730
ko:K02658	pstt:CH92_19735
ko:K02657	pstt:CH92_19740
ko:K01920	pstt:CH92_19745
ko:K03832	pstt:CH92_19750
ko:K07735	pstt:CH92_19755
ko:K07447	pstt:CH92_19760
ko:K02825	pstt:CH92_19765
ko:K00609	pstt:CH92_19770
ko:K01465	pstt:CH92_19775
ko:K02670	pstt:CH92_19795
ko:K02669	pstt:CH92_19800
ko:K06997	pstt:CH92_19805
ko:K00286	pstt:CH92_19810
ko:K02221	pstt:CH92_19815
ko:K00641	pstt:CH92_19825
ko:K02428	pstt:CH92_19840
ko:K03439	pstt:CH92_19860
ko:K03149	pstt:CH92_19865
ko:K03154	pstt:CH92_19870
ko:K03814	pstt:CH92_19880
ko:K03089	pstt:CH92_19890
ko:K09811	pstt:CH92_19895
ko:K09812	pstt:CH92_19900
ko:K03110	pstt:CH92_19905
ko:K07263	pstt:CH92_19910
ko:K07263	pstt:CH92_19915
ko:K08316	pstt:CH92_19920
ko:K07019	pstt:CH92_19925
ko:K00954	pstt:CH92_19930
ko:K10563	pstt:CH92_19945
ko:K05520	pstt:CH92_19955
ko:K06969	pstt:CH92_19960
ko:K13652	pstt:CH92_19970
ko:K01687	pstt:CH92_19990
ko:K16345	pstt:CH92_20010
ko:K07095	pstt:CH92_20020
ko:K01126	pstt:CH92_20035
ko:K07794	pstt:CH92_20050
ko:K07793	pstt:CH92_20055
ko:K02039	pstt:CH92_20085
ko:K02036	pstt:CH92_20090
ko:K02038	pstt:CH92_20095
ko:K02037	pstt:CH92_20100
ko:K02040	pstt:CH92_20105
ko:K10806	pstt:CH92_20110
ko:K07088	pstt:CH92_20120
ko:K02030	pstt:CH92_20125
ko:K03581	pstt:CH92_20135
ko:K03324	pstt:CH92_20150
ko:K07080	pstt:CH92_20160
ko:K07649	pstt:CH92_20170
ko:K07774	pstt:CH92_20175
ko:K07795	pstt:CH92_20185
ko:K07794	pstt:CH92_20190
ko:K07793	pstt:CH92_20195
ko:K11384	pstt:CH92_20225
ko:K11066	pstt:CH92_20240
ko:K13590	pstt:CH92_20245
ko:K03673	pstt:CH92_20255
ko:K03978	pstt:CH92_20265
ko:K00281	pstt:CH92_20270
ko:K02437	pstt:CH92_20275
ko:K00605	pstt:CH92_20280
ko:K02011	pstt:CH92_20285
ko:K02012	pstt:CH92_20295
ko:K03185	pstt:CH92_20305
ko:K01262	pstt:CH92_20310
ko:K09895	pstt:CH92_20315
ko:K09888	pstt:CH92_20325
ko:K01934	pstt:CH92_20330
ko:K02415	pstt:CH92_20345
ko:K03071	pstt:CH92_20355
ko:K15633	pstt:CH92_20370
ko:K03797	pstt:CH92_20380
ko:K09798	pstt:CH92_20385
ko:K02500	pstt:CH92_20400
ko:K01814	pstt:CH92_20405
ko:K02501	pstt:CH92_20415
ko:K01693	pstt:CH92_20420
ko:K07289	pstt:CH92_20430
ko:K03575	pstt:CH92_20435
ko:K03427	pstt:CH92_20450
ko:K01154	pstt:CH92_20455
ko:K01153	pstt:CH92_20465
ko:K02030	pstt:CH92_20470
ko:K02168	pstt:CH92_20475
ko:K02028	pstt:CH92_20480
ko:K02030	pstt:CH92_20485
ko:K02029	pstt:CH92_20490
ko:K02029	pstt:CH92_20495
ko:K01792	pstt:CH92_20500
ko:K09950	pstt:CH92_20515
ko:K01589	pstt:CH92_20525
ko:K01588	pstt:CH92_20530
ko:K01744	pstt:CH92_20545
ko:K03310	pstt:CH92_20560
ko:K01424	pstt:CH92_20565
ko:K01082	pstt:CH92_20575
ko:K08312	pstt:CH92_20580
ko:K02379	pstt:CH92_20595
ko:K00126	pstt:CH92_20600
ko:K00123	pstt:CH92_20605
ko:K00124	pstt:CH92_20610
ko:K00127	pstt:CH92_20615
ko:K07107	pstt:CH92_20635
ko:K03704	pstt:CH92_20660
ko:K03301	pstt:CH92_20685
ko:K03406	pstt:CH92_20700
ko:K03654	pstt:CH92_20705
ko:K01610	pstt:CH92_20730
ko:K04083	pstt:CH92_20735
ko:K00012	pstt:CH92_20740
ko:K08679	pstt:CH92_20745
ko:K01991	pstt:CH92_20760
ko:K04762	pstt:CH92_20820
ko:K05844	pstt:CH92_20830
ko:K07638	pstt:CH92_20835
ko:K07659	pstt:CH92_20840
ko:K06959	pstt:CH92_20845
ko:K02614	pstt:CH92_20850
ko:K01919	pstt:CH92_20855
ko:K14682	pstt:CH92_20865
ko:K01438	pstt:CH92_20870
ko:K03306	pstt:CH92_20875
ko:K07220	pstt:CH92_20880
ko:K02454	pstt:CH92_20890
ko:K04063	pstt:CH92_20915
ko:K09990	pstt:CH92_20955
ko:K15408	pstt:CH92_20995
ko:K02275	pstt:CH92_21000
ko:K08984	pstt:CH92_21005
ko:K02066	pstt:CH92_21015
ko:K02065	pstt:CH92_21020
ko:K02067	pstt:CH92_21025
ko:K18480	pstt:CH92_21030
ko:K00973	pstt:CH92_21045
ko:K01790	pstt:CH92_21050
ko:K00067	pstt:CH92_21055
ko:K10125	pstt:CH92_21060
ko:K10126	pstt:CH92_21065
ko:K11688	pstt:CH92_21070
ko:K11689	pstt:CH92_21075
ko:K07394	pstt:CH92_21085
ko:K11074	pstt:CH92_21105
ko:K11075	pstt:CH92_21110
ko:K11076	pstt:CH92_21115
ko:K11073	pstt:CH92_21120
ko:K11073	pstt:CH92_21125
ko:K12256	pstt:CH92_21130
ko:K01915	pstt:CH92_21135
ko:K07010	pstt:CH92_21140
ko:K01915	pstt:CH92_21145
ko:K12251	pstt:CH92_21165
ko:K10536	pstt:CH92_21170
ko:K12254	pstt:CH92_21230
ko:K00822	pstt:CH92_21235
ko:K02913	pstt:CH92_21240
ko:K02902	pstt:CH92_21245
ko:K07516	pstt:CH92_21275
ko:K00135	pstt:CH92_21280
ko:K01644	pstt:CH92_21305
ko:K10974	pstt:CH92_21360
ko:K01485	pstt:CH92_21370
ko:K02057	pstt:CH92_21375
ko:K02057	pstt:CH92_21380
ko:K02056	pstt:CH92_21385
ko:K09018	pstt:CH92_21415
ko:K09020	pstt:CH92_21420
ko:K09021	pstt:CH92_21425
ko:K09023	pstt:CH92_21430
ko:K09019	pstt:CH92_21435
ko:K09024	pstt:CH92_21440
ko:K07032	pstt:CH92_21450
ko:K11477	pstt:CH92_21455
ko:K00101	pstt:CH92_21460
ko:K01714	pstt:CH92_21470
ko:K07793	pstt:CH92_21475
ko:K02529	pstt:CH92_21495
ko:K01687	pstt:CH92_21500
ko:K16165	pstt:CH92_21505
ko:K01467	pstt:CH92_21510
ko:K13928	pstt:CH92_21520
ko:K13935	pstt:CH92_21540
ko:K13934	pstt:CH92_21545
ko:K13933	pstt:CH92_21550
ko:K13932	pstt:CH92_21555
ko:K13931	pstt:CH92_21560
ko:K13930	pstt:CH92_21565
ko:K13929	pstt:CH92_21570
ko:K07080	pstt:CH92_21590
ko:K02014	pstt:CH92_21610
ko:K07165	pstt:CH92_21615
ko:K03088	pstt:CH92_21620
ko:K00955	pstt:CH92_21690
ko:K07017	pstt:CH92_21695
ko:K02014	pstt:CH92_21700
ko:K03088	pstt:CH92_21710
ko:K02313	pstt:CH92_00005
ko:K02338	pstt:CH92_00010
ko:K03629	pstt:CH92_00015
ko:K02470	pstt:CH92_00020
ko:K03387	pstt:CH92_00025
ko:K00655	pstt:CH92_00030
ko:K03273	pstt:CH92_00035
ko:K01879	pstt:CH92_00040
ko:K01878	pstt:CH92_00045
ko:K01246	pstt:CH92_00050
ko:K02517	pstt:CH92_00055
ko:K02028	pstt:CH92_00070
ko:K02029	pstt:CH92_00075
ko:K02029	pstt:CH92_00080
ko:K02030	pstt:CH92_00085
ko:K01754	pstt:CH92_00095
ko:K15783	pstt:CH92_00105
ko:K15784	pstt:CH92_00110
ko:K15782	pstt:CH92_00115
ko:K09125	pstt:CH92_00120
ko:K15786	pstt:CH92_00125
ko:K15785	pstt:CH92_00130
ko:K03499	pstt:CH92_00135
ko:K03500	pstt:CH92_00140
ko:K00604	pstt:CH92_00145
ko:K01462	pstt:CH92_00150
ko:K07566	pstt:CH92_00165
ko:K00228	pstt:CH92_00175
ko:K00014	pstt:CH92_00180
ko:K07262	pstt:CH92_00195
ko:K07225	pstt:CH92_00565
ko:K02016	pstt:CH92_00570
ko:K02015	pstt:CH92_00575
ko:K02013	pstt:CH92_00580
ko:K02073	pstt:CH92_00605
ko:K02072	pstt:CH92_00610
ko:K02071	pstt:CH92_00615
ko:K03781	pstt:CH92_00620
ko:K07043	pstt:CH92_00625
ko:K09816	pstt:CH92_00630
ko:K09817	pstt:CH92_00635
ko:K09823	pstt:CH92_00640
ko:K09815	pstt:CH92_00645
ko:K06966	pstt:CH92_00660
ko:K02204	pstt:CH92_00665
