ko:K19079	saum:BN843_6620
ko:K00175	saum:BN843_11980
ko:K06168	saum:BN843_12000
ko:K03555	saum:BN843_12030
ko:K03572	saum:BN843_12040
ko:K02440	saum:BN843_12060
ko:K00864	saum:BN843_12070
ko:K00111	saum:BN843_12080
ko:K00791	saum:BN843_12100
ko:K03666	saum:BN843_12110
ko:K00432	saum:BN843_12120
ko:K03665	saum:BN843_12140
ko:K07651	saum:BN843_14960
ko:K07775	saum:BN843_14970
ko:K06178	saum:BN843_14980
ko:K06024	saum:BN843_14990
ko:K05896	saum:BN843_15000
ko:K07124	saum:BN843_15070
ko:K00286	saum:BN843_15080
ko:K00036	saum:BN843_15100
ko:K09699	saum:BN843_15210
ko:K00167	saum:BN843_15220
ko:K00166	saum:BN843_15230
ko:K00382	saum:BN843_15240
ko:K03631	saum:BN843_15250
ko:K03402	saum:BN843_15260
ko:K13789	saum:BN843_15270
ko:K03602	saum:BN843_15280
ko:K03601	saum:BN843_15290
ko:K03625	saum:BN843_15300
ko:K01961	saum:BN843_15320
ko:K02160	saum:BN843_15330
ko:K02356	saum:BN843_15340
ko:K03800	saum:BN843_15380
ko:K02881	saum:BN843_22720
ko:K02933	saum:BN843_22730
ko:K02994	saum:BN843_22740
ko:K02954	saum:BN843_22750
ko:K02931	saum:BN843_22760
ko:K02895	saum:BN843_22770
ko:K02874	saum:BN843_22780
ko:K02961	saum:BN843_22790
ko:K02904	saum:BN843_22800
ko:K02878	saum:BN843_22810
ko:K02982	saum:BN843_22820
ko:K02890	saum:BN843_22830
ko:K02965	saum:BN843_22840
ko:K02886	saum:BN843_22850
ko:K02892	saum:BN843_22860
ko:K02926	saum:BN843_22870
ko:K02906	saum:BN843_22880
ko:K02946	saum:BN843_22890
ko:K06901	saum:BN843_22910
ko:K05340	saum:BN843_22940
ko:K07088	saum:BN843_22960
ko:K11693	saum:BN843_23000
ko:K03639	saum:BN843_23060
ko:K03752	saum:BN843_23070
ko:K03636	saum:BN843_23080
ko:K03753	saum:BN843_23100
ko:K03750	saum:BN843_23110
ko:K03637	saum:BN843_23120
ko:K03638	saum:BN843_23130
ko:K01126	saum:BN843_610
ko:K03655	saum:BN843_750
ko:K07090	saum:BN843_840
ko:K01755	saum:BN843_8650
ko:K01940	saum:BN843_8660
ko:K01810	saum:BN843_8670
ko:K03100	saum:BN843_8690
ko:K03100	saum:BN843_8700
ko:K16898	saum:BN843_8720
ko:K03695	saum:BN843_8790
ko:K00648	saum:BN843_8870
ko:K09458	saum:BN843_8880
ko:K15581	saum:BN843_8900
ko:K15580	saum:BN843_8940
ko:K02034	saum:BN843_8990
ko:K01867	saum:BN843_9000
ko:K16511	saum:BN843_9020
ko:K08602	saum:BN843_9050
ko:K06886	saum:BN843_9070
ko:K00858	saum:BN843_9110
ko:K06180	saum:BN843_9120
ko:K06213	saum:BN843_9130
ko:K00208	saum:BN843_9150
ko:K02018	saum:BN843_23160
ko:K02020	saum:BN843_23170
ko:K02379	saum:BN843_23180
ko:K03523	saum:BN843_23200
ko:K03483	saum:BN843_21910
ko:K07705	saum:BN843_2600
ko:K08987	saum:BN843_4010
ko:K11042	saum:BN843_4030
ko:K01154	saum:BN843_4170
ko:K05577	saum:BN843_4350
ko:K09822	saum:BN843_4360
ko:K03928	saum:BN843_4400
ko:K03308	saum:BN843_4410
ko:K02071	saum:BN843_4440
ko:K02072	saum:BN843_4450
ko:K02073	saum:BN843_4460
ko:K01915	saum:BN843_12170
ko:K01620	saum:BN843_12320
ko:K06131	saum:BN843_12340
ko:K07778	saum:BN843_12370
ko:K00928	saum:BN843_12430
ko:K00003	saum:BN843_12440
ko:K01733	saum:BN843_12450
ko:K00872	saum:BN843_12460
ko:K03781	saum:BN843_12500
ko:K02913	saum:BN843_12510
ko:K02954	saum:BN843_12520
ko:K00364	saum:BN843_12530
ko:K01356	saum:BN843_12550
ko:K00615	saum:BN843_12580
ko:K03547	saum:BN843_12610
ko:K03282	saum:BN843_12630
ko:K01681	saum:BN843_12650
ko:K07107	saum:BN843_12660
ko:K08591	saum:BN843_12680
ko:K02622	saum:BN843_12690
ko:K02338	saum:BN843_1
ko:K17716	saum:BN843_1590
ko:K10026	saum:BN843_7110
ko:K01737	saum:BN843_7120
ko:K06920	saum:BN843_7130
ko:K01665	saum:BN843_7150
ko:K15738	saum:BN843_7200
ko:K03654	saum:BN843_7210
ko:K05847	saum:BN843_7220
ko:K00817	saum:BN843_7240
ko:K03305	saum:BN843_7270
ko:K09457	saum:BN843_7280
ko:K02015	saum:BN843_7330
ko:K02015	saum:BN843_7340
ko:K02013	saum:BN843_7350
ko:K02016	saum:BN843_7360
ko:K00075	saum:BN843_7380
ko:K00865	saum:BN843_7420
ko:K03070	saum:BN843_7530
ko:K02836	saum:BN843_7540
ko:K07023	saum:BN843_7560
ko:K03702	saum:BN843_7580
ko:K03701	saum:BN843_7590
ko:K07220	saum:BN843_6640
ko:K03306	saum:BN843_6650
ko:K06890	saum:BN843_6670
ko:K09793	saum:BN843_6760
ko:K06966	saum:BN843_6820
ko:K09768	saum:BN843_6830
ko:K06153	saum:BN843_6850
ko:K01669	saum:BN843_6930
ko:K02768	saum:BN843_7010
ko:K02769	saum:BN843_7010
ko:K02770	saum:BN843_7010
ko:K01443	saum:BN843_7020
ko:K10681	saum:BN843_7060
ko:K10682	saum:BN843_7070
ko:K16937	saum:BN843_7080
ko:K03893	saum:BN843_17750
ko:K06199	saum:BN843_17850
ko:K06199	saum:BN843_17860
ko:K00789	saum:BN843_17920
ko:K01610	saum:BN843_17930
ko:K08998	saum:BN843_17970
ko:K01911	saum:BN843_17990
ko:K01154	saum:BN843_18130
ko:K03427	saum:BN843_18140
ko:K01752	saum:BN843_25670
ko:K07107	saum:BN843_25720
ko:K04759	saum:BN843_25860
ko:K04758	saum:BN843_25870
ko:K03778	saum:BN843_25960
ko:K10208	saum:BN843_25990
ko:K10211	saum:BN843_26000
ko:K10210	saum:BN843_26010
ko:K11070	saum:BN843_10060
ko:K00122	saum:BN843_1820
ko:K01977	saum:BN843_r20970
ko:K14232	saum:BN843_t18890
ko:K14232	saum:BN843_t5090
ko:K01990	saum:BN843_18480
ko:K02029	saum:BN843_18690
ko:K02030	saum:BN843_18690
ko:K01992	saum:BN843_23810
ko:K07483	saum:BN843_3990
ko:K07284	saum:BN843_25640
ko:K01990	saum:BN843_2770
ko:K01990	saum:BN843_25500
ko:K01990	saum:BN843_23820
ko:K01990	saum:BN843_3570
ko:K01990	saum:BN843_19730
ko:K01664	saum:BN843_7140
ko:K01992	saum:BN843_18470
ko:K01992	saum:BN843_19700
ko:K01992	saum:BN843_2780
ko:K01992	saum:BN843_2790
ko:K00265	saum:BN843_4540
ko:K00951	saum:BN843_16350
ko:K02028	saum:BN843_18680
ko:K17216	saum:BN843_4420
ko:K01980	saum:BN843_r20960
ko:K17217	saum:BN843_4430
ko:K03574	saum:BN843_25280
ko:K17218	saum:BN843_880
ko:K01897	saum:BN843_2320
ko:K14230	saum:BN843_t18410
ko:K14230	saum:BN843_t18820
ko:K09692	saum:BN843_6400
ko:K13953	saum:BN843_6090
ko:K07457	saum:BN843_6120
ko:K07025	saum:BN843_6150
ko:K05565	saum:BN843_6250
ko:K05568	saum:BN843_6280
ko:K05570	saum:BN843_6300
ko:K03316	saum:BN843_6320
ko:K03709	saum:BN843_6360
ko:K09693	saum:BN843_6390
ko:K07258	saum:BN843_6440
ko:K01424	saum:BN843_14140
ko:K05337	saum:BN843_14190
ko:K01261	saum:BN843_17480
ko:K01439	saum:BN843_17540
ko:K06183	saum:BN843_17560
ko:K01835	saum:BN843_25290
ko:K03299	saum:BN843_25390
ko:K00851	saum:BN843_25400
ko:K03535	saum:BN843_25460
ko:K07104	saum:BN843_25580
ko:K10254	saum:BN843_1080
ko:K01784	saum:BN843_1310
ko:K03784	saum:BN843_1390
ko:K01619	saum:BN843_1410
ko:K05362	saum:BN843_9230
ko:K07052	saum:BN843_9360
ko:K02552	saum:BN843_9490
ko:K08680	saum:BN843_9510
ko:K00841	saum:BN843_9560
ko:K01439	saum:BN843_20550
ko:K07052	saum:BN843_20640
ko:K07706	saum:BN843_20710
ko:K01992	saum:BN843_12360
ko:K01104	saum:BN843_1560
ko:K01784	saum:BN843_1680
ko:K02049	saum:BN843_1770
ko:K02051	saum:BN843_1780
ko:K02050	saum:BN843_1790
ko:K00819	saum:BN843_1900
ko:K09963	saum:BN843_1950
ko:K11189	saum:BN843_9880
ko:K08483	saum:BN843_9890
ko:K03499	saum:BN843_9930
ko:K11072	saum:BN843_10040
ko:K11071	saum:BN843_10050
ko:K11069	saum:BN843_10070
ko:K01409	saum:BN843_20820
ko:K03095	saum:BN843_21000
ko:K03090	saum:BN843_21020
ko:K07315	saum:BN843_21050
ko:K09167	saum:BN843_21100
ko:K08981	saum:BN843_21110
ko:K14222	saum:BN843_t18740
ko:K02033	saum:BN843_2050
ko:K02035	saum:BN843_2070
ko:K10112	saum:BN843_2120
ko:K15770	saum:BN843_2130
ko:K07784	saum:BN843_2200
ko:K07720	saum:BN843_2210
ko:K02035	saum:BN843_2350
ko:K00016	saum:BN843_2390
ko:K02775	saum:BN843_2460
ko:K01092	saum:BN843_10120
ko:K01958	saum:BN843_10190
ko:K03471	saum:BN843_10440
ko:K00241	saum:BN843_10510
ko:K02428	saum:BN843_10550
ko:K02116	saum:BN843_21470
ko:K01104	saum:BN843_21520
ko:K03048	saum:BN843_21650
ko:K09680	saum:BN843_21670
ko:K01619	saum:BN843_21740
ko:K03784	saum:BN843_21750
ko:K00852	saum:BN843_2670
ko:K06216	saum:BN843_2690
ko:K11041	saum:BN843_10770
ko:K07025	saum:BN843_10820
ko:K07104	saum:BN843_11010
ko:K02824	saum:BN843_11060
ko:K02799	saum:BN843_21900
ko:K02800	saum:BN843_21900
ko:K02798	saum:BN843_21920
ko:K03593	saum:BN843_22060
ko:K01985	saum:BN843_r20950
ko:K01985	saum:BN843_r5020
ko:K09705	saum:BN843_6710
ko:K16013	saum:BN843_6860
ko:K16012	saum:BN843_6870
ko:K06934	saum:BN843_6950
ko:K03976	saum:BN843_6980
ko:K03436	saum:BN843_6990
ko:K00882	saum:BN843_7000
ko:K02004	saum:BN843_3140
ko:K16329	saum:BN843_3180
ko:K03307	saum:BN843_3200
ko:K01639	saum:BN843_3210
ko:K01788	saum:BN843_3240
ko:K03475	saum:BN843_3350
ko:K02822	saum:BN843_3360
ko:K02821	saum:BN843_3370
ko:K07030	saum:BN843_11340
ko:K00059	saum:BN843_11390
ko:K09787	saum:BN843_11440
ko:K02342	saum:BN843_14890
ko:K01220	saum:BN843_22310
ko:K02786	saum:BN843_22330
ko:K01635	saum:BN843_22340
ko:K00917	saum:BN843_22350
ko:K01819	saum:BN843_22360
ko:K01819	saum:BN843_22370
ko:K02530	saum:BN843_22380
ko:K01727	saum:BN843_22440
ko:K16787	saum:BN843_22590
ko:K16786	saum:BN843_22600
ko:K00939	saum:BN843_22670
ko:K01990	saum:BN843_12350
ko:K01990	saum:BN843_19710
ko:K07052	saum:BN843_17820
ko:K00616	saum:BN843_17830
ko:K07491	saum:BN843_17940
ko:K02549	saum:BN843_17980
ko:K00158	saum:BN843_25740
ko:K00054	saum:BN843_25810
ko:K01641	saum:BN843_25820
ko:K00567	saum:BN843_25830
ko:K04086	saum:BN843_25840
ko:K06994	saum:BN843_25880
ko:K00294	saum:BN843_25910
ko:K07213	saum:BN843_25950
ko:K10209	saum:BN843_25980
ko:K07035	saum:BN843_26070
ko:K07032	saum:BN843_26120
ko:K07729	saum:BN843_3550
ko:K00626	saum:BN843_3600
ko:K01760	saum:BN843_3640
ko:K01834	saum:BN843_3820
ko:K03386	saum:BN843_3870
ko:K00088	saum:BN843_3950
ko:K03177	saum:BN843_11790
ko:K00059	saum:BN843_11880
ko:K02443	saum:BN843_12050
ko:K09763	saum:BN843_15010
ko:K04763	saum:BN843_15020
ko:K03711	saum:BN843_15030
ko:K01515	saum:BN843_15040
ko:K00784	saum:BN843_15090
ko:K00033	saum:BN843_15160
ko:K03635	saum:BN843_23090
ko:K02017	saum:BN843_23150
ko:K02619	saum:BN843_7160
ko:K05845	saum:BN843_7230
ko:K05846	saum:BN843_7230
ko:K03647	saum:BN843_7300
ko:K01258	saum:BN843_7430
ko:K02851	saum:BN843_7470
ko:K02240	saum:BN843_7500
ko:K02242	saum:BN843_7510
ko:K07533	saum:BN843_18520
ko:K03698	saum:BN843_18530
ko:K01679	saum:BN843_18620
ko:K07035	saum:BN843_18700
ko:K04750	saum:BN843_26300
ko:K00016	saum:BN843_26380
ko:K03294	saum:BN843_26390
ko:K03451	saum:BN843_26510
ko:K00380	saum:BN843_26560
ko:K03713	saum:BN843_12160
ko:K09976	saum:BN843_12590
ko:K05020	saum:BN843_12640
ko:K02246	saum:BN843_15460
ko:K02245	saum:BN843_15470
ko:K02244	saum:BN843_15480
ko:K02243	saum:BN843_15490
ko:K00845	saum:BN843_15520
ko:K02076	saum:BN843_15580
ko:K01489	saum:BN843_15720
ko:K07052	saum:BN843_23510
ko:K01226	saum:BN843_4580
ko:K03486	saum:BN843_4590
ko:K09685	saum:BN843_4790
ko:K02499	saum:BN843_4890
ko:K06023	saum:BN843_7600
ko:K09762	saum:BN843_7670
ko:K09825	saum:BN843_18980
ko:K11085	saum:BN843_19030
ko:K07586	saum:BN843_19040
ko:K09693	saum:BN843_19080
ko:K01104	saum:BN843_19180
ko:K07694	saum:BN843_19210
ko:K07009	saum:BN843_19280
ko:K01077	saum:BN843_26640
ko:K01478	saum:BN843_26730
ko:K01401	saum:BN843_26750
ko:K12270	saum:BN843_26880
ko:K12269	saum:BN843_26890
ko:K12268	saum:BN843_26900
ko:K07304	saum:BN843_26980
ko:K01104	saum:BN843_27000
ko:K07304	saum:BN843_12750
ko:K04517	saum:BN843_12790
ko:K02033	saum:BN843_12950
ko:K05822	saum:BN843_13110
ko:K02238	saum:BN843_15910
ko:K06948	saum:BN843_16000
ko:K01243	saum:BN843_16020
ko:K01479	saum:BN843_23730
ko:K01785	saum:BN843_23790
ko:K01823	saum:BN843_23860
ko:K07094	saum:BN843_19450
ko:K01916	saum:BN843_19520
ko:K04518	saum:BN843_19550
ko:K15986	saum:BN843_19590
ko:K16924	saum:BN843_27230
ko:K02352	saum:BN843_27260
ko:K10947	saum:BN843_27320
ko:K07668	saum:BN843_180
ko:K07652	saum:BN843_190
ko:K00657	saum:BN843_280
ko:K01478	saum:BN843_470
ko:K08974	saum:BN843_8170
ko:K04488	saum:BN843_8210
ko:K13628	saum:BN843_8450
ko:K05570	saum:BN843_8520
ko:K05568	saum:BN843_8540
ko:K05565	saum:BN843_8570
ko:K03768	saum:BN843_8590
ko:K00819	saum:BN843_8620
ko:K02342	saum:BN843_19310
ko:K02433	saum:BN843_19380
ko:K03708	saum:BN843_5150
ko:K09698	saum:BN843_5210
ko:K00639	saum:BN843_5430
ko:K00853	saum:BN843_5450
ko:K07491	saum:BN843_13330
ko:K07305	saum:BN843_13400
ko:K07304	saum:BN843_13410
ko:K03469	saum:BN843_13510
ko:K07584	saum:BN843_16470
ko:K04763	saum:BN843_16600
ko:K02236	saum:BN843_16620
ko:K07120	saum:BN843_16660
ko:K01719	saum:BN843_16700
ko:K00374	saum:BN843_24350
ko:K02303	saum:BN843_24390
ko:K09815	saum:BN843_24470
ko:K01834	saum:BN843_24570
ko:K00652	saum:BN843_24660
ko:K00712	saum:BN843_5580
ko:K00712	saum:BN843_5590
ko:K02564	saum:BN843_5630
ko:K08093	saum:BN843_5640
ko:K00626	saum:BN843_5690
ko:K00625	saum:BN843_5810
ko:K00869	saum:BN843_5830
ko:K01597	saum:BN843_5840
ko:K07052	saum:BN843_540
ko:K01771	saum:BN843_990
ko:K16899	saum:BN843_8710
ko:K06910	saum:BN843_8840
ko:K15582	saum:BN843_8910
ko:K15583	saum:BN843_8920
ko:K10823	saum:BN843_8930
ko:K02035	saum:BN843_8950
ko:K02033	saum:BN843_8980
ko:K16509	saum:BN843_9010
ko:K06198	saum:BN843_9040
ko:K07816	saum:BN843_9100
ko:K03455	saum:BN843_9140
ko:K00938	saum:BN843_5850
ko:K03294	saum:BN843_13710
ko:K03700	saum:BN843_13840
ko:K02086	saum:BN843_13880
ko:K00974	saum:BN843_13920
ko:K00805	saum:BN843_14050
ko:K11144	saum:BN843_16840
ko:K03346	saum:BN843_16850
ko:K10563	saum:BN843_16890
ko:K07658	saum:BN843_16930
ko:K00027	saum:BN843_17050
ko:K06286	saum:BN843_17210
ko:K00058	saum:BN843_17270
ko:K06147	saum:BN843_24700
ko:K06147	saum:BN843_24710
ko:K03929	saum:BN843_24920
ko:K12942	saum:BN843_25130
ko:K17472	saum:BN843_16280
ko:K14228	saum:BN843_t18910
ko:K14228	saum:BN843_t5070
ko:K14233	saum:BN843_t18340
ko:K14221	saum:BN843_t170
ko:K14221	saum:BN843_t18810
ko:K14221	saum:BN843_t18840
ko:K14221	saum:BN843_t18400
ko:K14233	saum:BN843_t9300
ko:K14223	saum:BN843_t18750
ko:K14223	saum:BN843_t22010
ko:K14236	saum:BN843_t18780
ko:K14236	saum:BN843_t22020
ko:K14219	saum:BN843_t7680
ko:K14225	saum:BN843_t18730
ko:K14228	saum:BN843_t18930
ko:K17686	saum:BN843_25940
ko:K01739	saum:BN843_3650
ko:K14224	saum:BN843_t160
ko:K14224	saum:BN843_t18350
ko:K14224	saum:BN843_t22040
ko:K14219	saum:BN843_t10790
ko:K14219	saum:BN843_t18900
ko:K14219	saum:BN843_t5080
ko:K14225	saum:BN843_t18920
ko:K14225	saum:BN843_t5060
ko:K14226	saum:BN843_t18380
ko:K14226	saum:BN843_t18760
ko:K14231	saum:BN843_t18390
ko:K14231	saum:BN843_t18800
ko:K14230	saum:BN843_t18860
ko:K14228	saum:BN843_t18720
ko:K14218	saum:BN843_t18880
ko:K14218	saum:BN843_t5100
ko:K14229	saum:BN843_t18940
ko:K14229	saum:BN843_t22000
ko:K14229	saum:BN843_t5050
ko:K14237	saum:BN843_t18960
ko:K14237	saum:BN843_t5030
ko:K14237	saum:BN843_t22030
ko:K01791	saum:BN843_1610
ko:K01791	saum:BN843_1700
ko:K02547	saum:BN843_640
ko:K01791	saum:BN843_21480
ko:K11928	saum:BN843_19400
ko:K01658	saum:BN843_12820
ko:K06518	saum:BN843_25760
ko:K02171	saum:BN843_p70
ko:K00226	saum:BN843_26270
ko:K07979	saum:BN843_19740
ko:K10212	saum:BN843_26020
ko:K14233	saum:BN843_t18850
ko:K14233	saum:BN843_t4560
ko:K14233	saum:BN843_t18830
ko:K14234	saum:BN843_t18790
ko:K14234	saum:BN843_t18950
ko:K14234	saum:BN843_t5040
ko:K14220	saum:BN843_t18360
ko:K14220	saum:BN843_t9310
ko:K14220	saum:BN843_t22050
ko:K14235	saum:BN843_t18770
ko:K14230	saum:BN843_t18870
ko:K14228	saum:BN843_t20990
ko:K01187	saum:BN843_15130
ko:K19080	saum:BN843_6630
ko:K00561	saum:BN843_16560
ko:K18104	saum:BN843_6450
ko:K02479	saum:BN843_18590
ko:K08168	saum:BN843_1400
ko:K02483	saum:BN843_24020
ko:K14204	saum:BN843_19780
ko:K03293	saum:BN843_12490
ko:K07741	saum:BN843_20430
ko:K02031	saum:BN843_2040
ko:K02032	saum:BN843_2040
ko:K02809	saum:BN843_1970
ko:K02810	saum:BN843_1970
ko:K00130	saum:BN843_26480
ko:K02809	saum:BN843_24190
ko:K02810	saum:BN843_24190
ko:K03366	saum:BN843_1290
ko:K00008	saum:BN843_2490
ko:K07145	saum:BN843_10400
ko:K01046	saum:BN843_27080
ko:K00108	saum:BN843_26470
ko:K22580	saum:BN843_9630
ko:K00632	saum:BN843_2290
ko:K01046	saum:BN843_3260
ko:K02172	saum:BN843_p80
ko:K21461	saum:BN843_27050
ko:K21462	saum:BN843_27070
ko:K21463	saum:BN843_23960
ko:K00008	saum:BN843_2470
ko:K05352	saum:BN843_2550
ko:K14192	saum:BN843_26670
ko:K03657	saum:BN843_19430
ko:K07491	saum:BN843_27290
ko:K07491	saum:BN843_27300
ko:K00459	saum:BN843_570
ko:K06198	saum:BN843_9030
ko:K07491	saum:BN843_1520
ko:K03427	saum:BN843_4140
ko:K03427	saum:BN843_4150
ko:K08255	saum:BN843_8750
ko:K00681	saum:BN843_2080
ko:K04749	saum:BN843_21040
ko:K18707	saum:BN843_15800
ko:K18766	saum:BN843_p90
ko:K18672	saum:BN843_21970
ko:K18704	saum:BN843_2520
ko:K18682	saum:BN843_11940
ko:K18692	saum:BN843_15620
ko:K18906	saum:BN843_6880
ko:K09692	saum:BN843_19070
ko:K07723	saum:BN843_21070
ko:K18908	saum:BN843_3400
ko:K18909	saum:BN843_3390
ko:K18941	saum:BN843_13310
ko:K07171	saum:BN843_21060
ko:K04940	saum:BN843_23380
ko:K07483	saum:BN843_18100
ko:K18907	saum:BN843_1100
ko:K14201	saum:BN843_7880
ko:K03497	saum:BN843_27510
ko:K11040	saum:BN843_19880
ko:K11040	saum:BN843_p1
ko:K11040	saum:BN843_p10
ko:K11040	saum:BN843_p280
ko:K03111	saum:BN843_21340
ko:K03497	saum:BN843_3660
ko:K03111	saum:BN843_3720
ko:K03169	saum:BN843_22920
ko:K03502	saum:BN843_12780
ko:K11040	saum:BN843_16040
ko:K07467	saum:BN843_13650
ko:K07029	saum:BN843_19350
ko:K03741	saum:BN843_17760
ko:K02315	saum:BN843_20310
ko:K01271	saum:BN843_17110
ko:K03498	saum:BN843_20580
ko:K09145	saum:BN843_6730
ko:K13052	saum:BN843_4910
ko:K18979	saum:BN843_18670
ko:K00949	saum:BN843_11310
ko:K01318	saum:BN843_18150
ko:K01318	saum:BN843_9550
ko:K07816	saum:BN843_25430
ko:K07498	saum:BN843_590
ko:K03429	saum:BN843_9220
ko:K07498	saum:BN843_520
ko:K03293	saum:BN843_23540
ko:K19077	saum:BN843_6610
ko:K01174	saum:BN843_12400
ko:K14203	saum:BN843_10600
ko:K11039	saum:BN843_20680
ko:K01239	saum:BN843_23210
ko:K19078	saum:BN843_6600
ko:K19158	saum:BN843_24480
ko:K19225	saum:BN843_15530
ko:K02777	saum:BN843_13390
ko:K02755	saum:BN843_2640
ko:K14198	saum:BN843_19840
ko:K19068	saum:BN843_1600
ko:K19081	saum:BN843_26610
ko:K19082	saum:BN843_26620
ko:K19083	saum:BN843_26600
ko:K19084	saum:BN843_26590
ko:K08259	saum:BN843_2760
ko:K19159	saum:BN843_24490
ko:K02031	saum:BN843_8960
ko:K02032	saum:BN843_12920
ko:K11442	saum:BN843_22110
ko:K03722	saum:BN843_13900
ko:K01992	saum:BN843_25510
ko:K19411	saum:BN843_5160
ko:K19302	saum:BN843_13340
ko:K19405	saum:BN843_5170
ko:K07485	saum:BN843_18710
ko:K03574	saum:BN843_17960
ko:K02031	saum:BN843_12930
ko:K19279	saum:BN843_16570
ko:K19576	saum:BN843_6960
ko:K06881	saum:BN843_17070
ko:K21721	saum:BN843_1190
ko:K19689	saum:BN843_19160
ko:K01258	saum:BN843_15170
ko:K20483	saum:BN843_18280
ko:K20482	saum:BN843_18290
ko:K07119	saum:BN843_22290
ko:K00547	saum:BN843_3630
ko:K00297	saum:BN843_3630
ko:K02538	saum:BN843_26780
ko:K21636	saum:BN843_26530
ko:K19976	saum:BN843_6340
ko:K20074	saum:BN843_11270
ko:K12132	saum:BN843_11280
ko:K20116	saum:BN843_1940
ko:K20117	saum:BN843_1940
ko:K20118	saum:BN843_1940
ko:K20116	saum:BN843_25730
ko:K20117	saum:BN843_25730
ko:K20118	saum:BN843_25730
ko:K20338	saum:BN843_17650
ko:K20491	saum:BN843_18230
ko:K20494	saum:BN843_18220
ko:K20484	saum:BN843_18270
ko:K20486	saum:BN843_18250
ko:K20490	saum:BN843_18240
ko:K20337	saum:BN843_10800
ko:K20337	saum:BN843_10810
ko:K20534	saum:BN843_7050
ko:K02790	saum:BN843_2410
ko:K02791	saum:BN843_2410
ko:K21029	saum:BN843_23140
ko:K21030	saum:BN843_2500
ko:K00525	saum:BN843_7310
ko:K21030	saum:BN843_2540
ko:K21064	saum:BN843_8760
ko:K08968	saum:BN843_17220
ko:K00435	saum:BN843_5800
ko:K00526	saum:BN843_7320
ko:K11038	saum:BN843_18300
ko:K11038	saum:BN843_18310
ko:K04068	saum:BN843_26520
ko:K01174	saum:BN843_7920
ko:K02314	saum:BN843_140
ko:K07451	saum:BN843_790
ko:K14199	saum:BN843_19820
ko:K06904	saum:BN843_20040
ko:K11038	saum:BN843_20530
ko:K11038	saum:BN843_20540
ko:K07474	saum:BN843_20610
ko:K14199	saum:BN843_2270
ko:K00857	saum:BN843_21560
ko:K14199	saum:BN843_10630
ko:K03553	saum:BN843_11930
ko:K03546	saum:BN843_12620
ko:K02316	saum:BN843_15660
ko:K06217	saum:BN843_15750
ko:K01493	saum:BN843_15920
ko:K00287	saum:BN843_13430
ko:K00560	saum:BN843_13440
ko:K11038	saum:BN843_24600
ko:K11038	saum:BN843_24620
ko:K11038	saum:BN843_24630
ko:K06958	saum:BN843_7650
ko:K05020	saum:BN843_22270
ko:K13714	saum:BN843_9590
ko:K02335	saum:BN843_16900
ko:K21285	saum:BN843_6410
ko:K02032	saum:BN843_8970
ko:K03296	saum:BN843_22990
ko:K22044	saum:BN843_3670
ko:K21453	saum:BN843_27030
ko:K21478	saum:BN843_27060
ko:K21567	saum:BN843_24130
ko:K21591	saum:BN843_2530
ko:K21600	saum:BN843_21240
ko:K18704	saum:BN843_2560
ko:K21828	saum:BN843_450
ko:K21828	saum:BN843_26690
ko:K21949	saum:BN843_1180
ko:K02334	saum:BN843_14760
ko:K22043	saum:BN843_21820
ko:K22136	saum:BN843_10840
ko:K00754	saum:BN843_13930
ko:K22135	saum:BN843_5610
ko:K03595	saum:BN843_15710
ko:K22132	saum:BN843_16300
ko:K22109	saum:BN843_26490
ko:K03547	saum:BN843_18550
ko:K17758	saum:BN843_50
ko:K02257	saum:BN843_10210
ko:K22409	saum:BN843_4470
ko:K13566	saum:BN843_20670
ko:K22441	saum:BN843_24100
