ko:K01006	ftg:FTU_0233
ko:K04518	ftg:FTU_0620
ko:K13628	ftg:FTU_0624
ko:K03469	ftg:FTU_0634
ko:K01424	ftg:FTU_0635
ko:K01262	ftg:FTU_0653
ko:K00567	ftg:FTU_1534
ko:K03177	ftg:FTU_1567
ko:K01104	ftg:FTU_0679
ko:K03616	ftg:FTU_0693
ko:K03455	ftg:FTU_0712
ko:K02428	ftg:FTU_1573
ko:K01156	ftg:FTU_1592
ko:K02067	ftg:FTU_1618
ko:K02433	ftg:FTU_0018
ko:K03711	ftg:FTU_0027
ko:K07305	ftg:FTU_0917
ko:K02427	ftg:FTU_0951
ko:K00027	ftg:FTU_0956
ko:K07304	ftg:FTU_1794
ko:K00974	ftg:FTU_0100
ko:K11085	ftg:FTU_0101
ko:K01619	ftg:FTU_0106
ko:K07126	ftg:FTU_0426
ko:K02533	ftg:FTU_1306
ko:K02806	ftg:FTU_1307
ko:K00845	ftg:FTU_1322
ko:K00949	ftg:FTU_1342
ko:K00088	ftg:FTU_1343
ko:K07114	ftg:FTU_0273
ko:K00101	ftg:FTU_0283
ko:K01679	ftg:FTU_0286
ko:K01885	ftg:FTU_0287
ko:K18552	ftg:FTU_1730
ko:K03560	ftg:FTU_0876
ko:K05524	ftg:FTU_1765
ko:K03317	ftg:FTU_0107
ko:K03442	ftg:FTU_0126
ko:K01409	ftg:FTU_0138
ko:K04763	ftg:FTU_0145
ko:K03574	ftg:FTU_1024
ko:K03593	ftg:FTU_1034
ko:K01507	ftg:FTU_1068
ko:K07258	ftg:FTU_1069
ko:K02665	ftg:FTU_1190
ko:K00939	ftg:FTU_1194
ko:K07386	ftg:FTU_1242
ko:K01759	ftg:FTU_1244
ko:K00700	ftg:FTU_0467
ko:K01835	ftg:FTU_0468
ko:K01585	ftg:FTU_0485
ko:K01489	ftg:FTU_1353
ko:K00059	ftg:FTU_1399
ko:K00122	ftg:FTU_1702
ko:K00426	ftg:FTU_0341
ko:K00425	ftg:FTU_0342
ko:K02297	ftg:FTU_0344
ko:K02298	ftg:FTU_0345
ko:K02299	ftg:FTU_0346
ko:K02300	ftg:FTU_0347
ko:K02536	ftg:FTU_0349
ko:K00868	ftg:FTU_0351
ko:K03924	ftg:FTU_0353
ko:K07114	ftg:FTU_0356
ko:K01304	ftg:FTU_0359
ko:K02339	ftg:FTU_0361
ko:K01873	ftg:FTU_0362
ko:K00101	ftg:FTU_0366
ko:K10679	ftg:FTU_0367
ko:K01679	ftg:FTU_0369
ko:K01885	ftg:FTU_0370
ko:K02967	ftg:FTU_0375
ko:K02357	ftg:FTU_0376
ko:K09903	ftg:FTU_0377
ko:K02838	ftg:FTU_0378
ko:K00806	ftg:FTU_0379
ko:K00981	ftg:FTU_0380
ko:K00995	ftg:FTU_0382
ko:K02950	ftg:FTU_0383
ko:K02992	ftg:FTU_0384
ko:K02355	ftg:FTU_0385
ko:K02946	ftg:FTU_0386
ko:K02906	ftg:FTU_0387
ko:K02926	ftg:FTU_0388
ko:K02892	ftg:FTU_0389
ko:K02886	ftg:FTU_0390
ko:K02965	ftg:FTU_0391
ko:K02890	ftg:FTU_0392
ko:K02982	ftg:FTU_0393
ko:K02878	ftg:FTU_0394
ko:K02961	ftg:FTU_0395
ko:K02874	ftg:FTU_0396
ko:K02895	ftg:FTU_0397
ko:K02931	ftg:FTU_0398
ko:K02954	ftg:FTU_0399
ko:K02994	ftg:FTU_0400
ko:K02933	ftg:FTU_0401
ko:K02881	ftg:FTU_0402
ko:K02988	ftg:FTU_0403
ko:K02907	ftg:FTU_0404
ko:K02876	ftg:FTU_0405
ko:K03076	ftg:FTU_0406
ko:K02919	ftg:FTU_0407
ko:K02952	ftg:FTU_0408
ko:K02948	ftg:FTU_0409
ko:K02986	ftg:FTU_0410
ko:K03040	ftg:FTU_0411
ko:K02879	ftg:FTU_0412
ko:K04079	ftg:FTU_0415
ko:K11900	ftg:FTU_1717
ko:K11901	ftg:FTU_1718
ko:K19416	ftg:FTU_0689
ko:K07645	ftg:FTU_0090
ko:K14232	ftg:FTU_t13
ko:K16053	ftg:FTU_1032
ko:K14219	ftg:FTU_t14
ko:K16052	ftg:FTU_0526
ko:K14235	ftg:FTU_t06
ko:K01183	ftg:FTU_1769
ko:K14223	ftg:FTU_t07
ko:K14218	ftg:FTU_t19
ko:K14218	ftg:FTU_t24
ko:K14218	ftg:FTU_t36
ko:K14230	ftg:FTU_t34
ko:K14234	ftg:FTU_t39
ko:K15583	ftg:FTU_0117
ko:K07394	ftg:FTU_1443
ko:K00956	ftg:FTU_1090
ko:K01840	ftg:FTU_1466
ko:K11733	ftg:FTU_1639
ko:K01069	ftg:FTU_1427
ko:K19561	ftg:FTU_0979
ko:K01990	ftg:FTU_0769
ko:K12262	ftg:FTU_1759
ko:K14219	ftg:FTU_t35
ko:K01980	ftg:FTU_r03
ko:K01980	ftg:FTU_r09
ko:K01980	ftg:FTU_r06
ko:K14230	ftg:FTU_t01
ko:K14228	ftg:FTU_t02
ko:K14236	ftg:FTU_t03
ko:K14225	ftg:FTU_t04
ko:K14234	ftg:FTU_t05
ko:K14224	ftg:FTU_t08
ko:K14224	ftg:FTU_t09
ko:K01985	ftg:FTU_r01
ko:K14237	ftg:FTU_t10
ko:K14237	ftg:FTU_t21
ko:K14233	ftg:FTU_t11
ko:K14231	ftg:FTU_t12
ko:K14226	ftg:FTU_t15
ko:K14228	ftg:FTU_t16
ko:K14233	ftg:FTU_t17
ko:K14237	ftg:FTU_t18
ko:K01985	ftg:FTU_r02
ko:K01985	ftg:FTU_r05
ko:K01985	ftg:FTU_r08
ko:K14227	ftg:FTU_t20
ko:K14227	ftg:FTU_t37
ko:K14227	ftg:FTU_t25
ko:K01977	ftg:FTU_r04
ko:K01977	ftg:FTU_r07
ko:K01977	ftg:FTU_r10
ko:K14228	ftg:FTU_t26
ko:K14222	ftg:FTU_t27
ko:K14225	ftg:FTU_t28
ko:K14225	ftg:FTU_t32
ko:K14220	ftg:FTU_t29
ko:K14228	ftg:FTU_t30
ko:K14219	ftg:FTU_t31
ko:K14230	ftg:FTU_t33
ko:K14233	ftg:FTU_t22
ko:K14229	ftg:FTU_t23
ko:K14221	ftg:FTU_t38
ko:K00568	ftg:FTU_1601
ko:K10823	ftg:FTU_0118
ko:K03321	ftg:FTU_1365
ko:K07323	ftg:FTU_1619
ko:K07122	ftg:FTU_1620
ko:K00971	ftg:FTU_1467
ko:K02073	ftg:FTU_1159
ko:K02072	ftg:FTU_1159
ko:K02075	ftg:FTU_0194
ko:K02473	ftg:FTU_1477
ko:K09810	ftg:FTU_0459
ko:K00951	ftg:FTU_1523
ko:K17713	ftg:FTU_0155
ko:K01582	ftg:FTU_0460
ko:K01897	ftg:FTU_1284
ko:K01897	ftg:FTU_1543
ko:K03574	ftg:FTU_0861
ko:K01990	ftg:FTU_1456
ko:K01992	ftg:FTU_1455
ko:K08316	ftg:FTU_1349
ko:K03671	ftg:FTU_1016
ko:K17836	ftg:FTU_0724
ko:K07263	ftg:FTU_1347
ko:K11928	ftg:FTU_1636
ko:K00537	ftg:FTU_0862
ko:K00537	ftg:FTU_1542
ko:K01658	ftg:FTU_0984
ko:K00128	ftg:FTU_0599
ko:K17836	ftg:FTU_0655
ko:K00254	ftg:FTU_1652
ko:K12978	ftg:FTU_1640
ko:K01011	ftg:FTU_1750
ko:K00632	ftg:FTU_1546
ko:K18138	ftg:FTU_0097
ko:K06148	ftg:FTU_0833
ko:K03585	ftg:FTU_0098
ko:K02650	ftg:FTU_0929
ko:K18284	ftg:FTU_0452
ko:K07666	ftg:FTU_1570
ko:K04744	ftg:FTU_0781
ko:K01299	ftg:FTU_1775
ko:K07260	ftg:FTU_0596
ko:K03462	ftg:FTU_1549
ko:K00681	ftg:FTU_1213
ko:K03427	ftg:FTU_0571
ko:K18800	ftg:FTU_1249
ko:K12308	ftg:FTU_0482
ko:K03427	ftg:FTU_0572
ko:K03646	ftg:FTU_0877
ko:K03111	ftg:FTU_1754
ko:K04565	ftg:FTU_0918
ko:K03496	ftg:FTU_0946
ko:K03497	ftg:FTU_0947
ko:K03674	ftg:FTU_0580
ko:K07480	ftg:FTU_0646
ko:K00335	ftg:FTU_0033
ko:K03526	ftg:FTU_0651
ko:K02663	ftg:FTU_1192
ko:K02664	ftg:FTU_1191
ko:K13004	ftg:FTU_1479
ko:K13003	ftg:FTU_1475
ko:K13713	ftg:FTU_0933
ko:K01710	ftg:FTU_1468
ko:K22468	ftg:FTU_1577
ko:K00336	ftg:FTU_0034
ko:K01183	ftg:FTU_0757
ko:K00020	ftg:FTU_1671
ko:K01992	ftg:FTU_0770
ko:K00526	ftg:FTU_0579
ko:K03676	ftg:FTU_0579
ko:K03271	ftg:FTU_1685
ko:K19810	ftg:FTU_0792
ko:K05770	ftg:FTU_1142
ko:K20265	ftg:FTU_0336
ko:K20265	ftg:FTU_1536
ko:K20265	ftg:FTU_1008
ko:K20265	ftg:FTU_0531
ko:K20265	ftg:FTU_0419
ko:K00507	ftg:FTU_0139
ko:K00507	ftg:FTU_1565
ko:K20534	ftg:FTU_1454
ko:K01932	ftg:FTU_0845
ko:K01200	ftg:FTU_0466
ko:K21053	ftg:FTU_0977
ko:K03553	ftg:FTU_1752
ko:K02316	ftg:FTU_1076
ko:K02314	ftg:FTU_1097
ko:K06197	ftg:FTU_1178
ko:K00287	ftg:FTU_0291
ko:K01520	ftg:FTU_0298
ko:K00287	ftg:FTU_0374
ko:K00560	ftg:FTU_1261
ko:K01520	ftg:FTU_0381
ko:K13522	ftg:FTU_0441
ko:K06217	ftg:FTU_0661
ko:K00857	ftg:FTU_0665
ko:K02335	ftg:FTU_0103
ko:K02483	ftg:FTU_1557
ko:K03293	ftg:FTU_0920
ko:K00525	ftg:FTU_0581
ko:K01139	ftg:FTU_0848
ko:K21600	ftg:FTU_0601
ko:K04103	ftg:FTU_1746
ko:K21829	ftg:FTU_0888
ko:K22116	ftg:FTU_0846
ko:K03595	ftg:FTU_1197
ko:K02257	ftg:FTU_0265
ko:K02257	ftg:FTU_0348
ko:K13566	ftg:FTU_1438
