ko:K22350	pput:L483_17555
ko:K03832	pput:L483_31680
ko:K04761	pput:L483_31685
ko:K03655	pput:L483_31690
ko:K05787	pput:L483_31705
ko:K05297	pput:L483_31710
ko:K03181	pput:L483_31720
ko:K03179	pput:L483_31725
ko:K07636	pput:L483_31740
ko:K02039	pput:L483_31760
ko:K02036	pput:L483_31765
ko:K02038	pput:L483_31770
ko:K02037	pput:L483_31775
ko:K02040	pput:L483_31780
ko:K10806	pput:L483_31790
ko:K01792	pput:L483_31795
ko:K09950	pput:L483_31800
ko:K01589	pput:L483_31810
ko:K01588	pput:L483_31815
ko:K01744	pput:L483_31825
ko:K11073	pput:L483_31840
ko:K00375	pput:L483_31845
ko:K07734	pput:L483_31850
ko:K01960	pput:L483_31865
ko:K00036	pput:L483_31885
ko:K03657	pput:L483_31895
ko:K03789	pput:L483_03540
ko:K08223	pput:L483_03570
ko:K03088	pput:L483_03590
ko:K01247	pput:L483_03595
ko:K10778	pput:L483_03600
ko:K06942	pput:L483_03645
ko:K01056	pput:L483_03650
ko:K02897	pput:L483_03655
ko:K00948	pput:L483_03660
ko:K00919	pput:L483_03670
ko:K02494	pput:L483_03675
ko:K07010	pput:L483_03690
ko:K02492	pput:L483_03715
ko:K02835	pput:L483_03720
ko:K02493	pput:L483_03725
ko:K01776	pput:L483_03735
ko:K01669	pput:L483_03750
ko:K06955	pput:L483_03765
ko:K07071	pput:L483_03770
ko:K01772	pput:L483_03775
ko:K00761	pput:L483_03785
ko:K00760	pput:L483_03790
ko:K00116	pput:L483_03805
ko:K07286	pput:L483_03815
ko:K05539	pput:L483_08090
ko:K03269	pput:L483_12685
ko:K01886	pput:L483_12695
ko:K01883	pput:L483_12700
ko:K15268	pput:L483_12705
ko:K15735	pput:L483_12725
ko:K15737	pput:L483_12730
ko:K15736	pput:L483_12735
ko:K11735	pput:L483_12740
ko:K07178	pput:L483_12745
ko:K01698	pput:L483_12750
ko:K03762	pput:L483_12755
ko:K00793	pput:L483_12765
ko:K07160	pput:L483_12780
ko:K11892	pput:L483_12795
ko:K08679	pput:L483_12850
ko:K00012	pput:L483_12855
ko:K13747	pput:L483_12870
ko:K02618	pput:L483_17315
ko:K06048	pput:L483_17410
ko:K03301	pput:L483_17435
ko:K07223	pput:L483_17445
ko:K03453	pput:L483_17450
ko:K15746	pput:L483_17455
ko:K07507	pput:L483_17460
ko:K08995	pput:L483_17470
ko:K01754	pput:L483_17520
ko:K10974	pput:L483_17540
ko:K03707	pput:L483_17545
ko:K03707	pput:L483_17550
ko:K00865	pput:L483_17585
ko:K02647	pput:L483_17590
ko:K01031	pput:L483_21830
ko:K01032	pput:L483_21835
ko:K03449	pput:L483_21910
ko:K08688	pput:L483_21915
ko:K11735	pput:L483_21950
ko:K02168	pput:L483_22030
ko:K07733	pput:L483_22060
ko:K07649	pput:L483_26335
ko:K07774	pput:L483_26340
ko:K07795	pput:L483_26350
ko:K03648	pput:L483_26375
ko:K08988	pput:L483_26430
ko:K05349	pput:L483_26435
ko:K10125	pput:L483_26440
ko:K10126	pput:L483_26445
ko:K01652	pput:L483_26485
ko:K07118	pput:L483_26495
ko:K03577	pput:L483_26520
ko:K03585	pput:L483_26525
ko:K01055	pput:L483_26560
ko:K01857	pput:L483_26565
ko:K07823	pput:L483_26575
ko:K08195	pput:L483_26580
ko:K02624	pput:L483_26585
ko:K16322	pput:L483_26600
ko:K06915	pput:L483_26605
ko:K02012	pput:L483_30810
ko:K02011	pput:L483_30815
ko:K01534	pput:L483_30830
ko:K13292	pput:L483_30845
ko:K07090	pput:L483_30850
ko:K08484	pput:L483_30860
ko:K08311	pput:L483_30865
ko:K01754	pput:L483_30880
ko:K01807	pput:L483_30885
ko:K07394	pput:L483_30930
ko:K01434	pput:L483_30955
ko:K02029	pput:L483_30970
ko:K02029	pput:L483_30975
ko:K02073	pput:L483_30980
ko:K07002	pput:L483_30990
ko:K03561	pput:L483_31000
ko:K03832	pput:L483_31005
ko:K02045	pput:L483_31010
ko:K02047	pput:L483_31015
ko:K02046	pput:L483_31020
ko:K02048	pput:L483_31025
ko:K11074	pput:L483_31055
ko:K11075	pput:L483_31060
ko:K11076	pput:L483_31065
ko:K01733	pput:L483_05235
ko:K07462	pput:L483_05265
ko:K00137	pput:L483_05275
ko:K02053	pput:L483_05280
ko:K02054	pput:L483_05285
ko:K13487	pput:L483_05305
ko:K13488	pput:L483_05310
ko:K13486	pput:L483_05315
ko:K13489	pput:L483_05320
ko:K13490	pput:L483_05325
ko:K13491	pput:L483_05330
ko:K11444	pput:L483_05335
ko:K02836	pput:L483_05340
ko:K04567	pput:L483_05345
ko:K01595	pput:L483_05390
ko:K15984	pput:L483_05430
ko:K09914	pput:L483_05455
ko:K00631	pput:L483_05460
ko:K03704	pput:L483_05465
ko:K00563	pput:L483_05475
ko:K02426	pput:L483_05495
ko:K01766	pput:L483_05500
ko:K02013	pput:L483_09845
ko:K02015	pput:L483_09850
ko:K02016	pput:L483_09855
ko:K01975	pput:L483_09890
ko:K16088	pput:L483_09895
ko:K03088	pput:L483_09905
ko:K00355	pput:L483_09910
ko:K13979	pput:L483_09925
ko:K08159	pput:L483_09935
ko:K10679	pput:L483_09955
ko:K06016	pput:L483_09980
ko:K11735	pput:L483_09990
ko:K00457	pput:L483_10045
ko:K15554	pput:L483_10060
ko:K15554	pput:L483_10065
ko:K00163	pput:L483_14410
ko:K00163	pput:L483_14420
ko:K01996	pput:L483_14505
ko:K01995	pput:L483_14510
ko:K01998	pput:L483_14510
ko:K01997	pput:L483_14515
ko:K01999	pput:L483_14520
ko:K02529	pput:L483_14525
ko:K00014	pput:L483_14540
ko:K07478	pput:L483_14665
ko:K03701	pput:L483_14675
ko:K07303	pput:L483_18965
ko:K07402	pput:L483_18975
ko:K07184	pput:L483_19020
ko:K00145	pput:L483_19035
ko:K03885	pput:L483_19095
ko:K03457	pput:L483_19105
ko:K03457	pput:L483_19170
ko:K01915	pput:L483_19190
ko:K06966	pput:L483_19220
ko:K00998	pput:L483_19230
ko:K03762	pput:L483_19240
ko:K08688	pput:L483_19245
ko:K04084	pput:L483_23505
ko:K03805	pput:L483_23515
ko:K03088	pput:L483_23550
ko:K09913	pput:L483_23570
ko:K07020	pput:L483_23575
ko:K00404	pput:L483_23580
ko:K00405	pput:L483_23585
ko:K00407	pput:L483_23590
ko:K00406	pput:L483_23595
ko:K00404	pput:L483_23600
ko:K00405	pput:L483_23605
ko:K00407	pput:L483_23610
ko:K00406	pput:L483_23615
ko:K09926	pput:L483_23625
ko:K09792	pput:L483_23640
ko:K00759	pput:L483_23655
ko:K06187	pput:L483_23660
ko:K09747	pput:L483_23665
ko:K02343	pput:L483_23670
ko:K01972	pput:L483_23685
ko:K03528	pput:L483_23690
ko:K03529	pput:L483_23695
ko:K13481	pput:L483_23705
ko:K13482	pput:L483_23710
ko:K07402	pput:L483_23715
ko:K06188	pput:L483_23725
ko:K06901	pput:L483_23735
ko:K07127	pput:L483_23740
ko:K01483	pput:L483_23755
ko:K09781	pput:L483_23785
ko:K06204	pput:L483_28015
ko:K01894	pput:L483_28020
ko:K00950	pput:L483_28045
ko:K00606	pput:L483_28050
ko:K01918	pput:L483_28055
ko:K01810	pput:L483_28060
ko:K01895	pput:L483_28065
ko:K00962	pput:L483_28095
ko:K02956	pput:L483_28100
ko:K02834	pput:L483_28110
ko:K02519	pput:L483_28115
ko:K02600	pput:L483_28120
ko:K09748	pput:L483_28125
ko:K03075	pput:L483_28140
ko:K17713	pput:L483_04330
ko:K01803	pput:L483_28145
ko:K03431	pput:L483_28150
ko:K00796	pput:L483_28155
ko:K03798	pput:L483_28160
ko:K07574	pput:L483_28170
ko:K03624	pput:L483_28180
ko:K01955	pput:L483_28185
ko:K01956	pput:L483_28190
ko:K00215	pput:L483_28195
ko:K03686	pput:L483_28200
ko:K04043	pput:L483_28205
ko:K03687	pput:L483_28210
ko:K03631	pput:L483_28215
ko:K06186	pput:L483_28225
ko:K03664	pput:L483_28235
ko:K03303	pput:L483_28245
ko:K15555	pput:L483_00940
ko:K03113	pput:L483_02965
ko:K03327	pput:L483_02980
ko:K06894	pput:L483_02985
ko:K05367	pput:L483_02995
ko:K02278	pput:L483_03010
ko:K06219	pput:L483_03025
ko:K07552	pput:L483_03080
ko:K00822	pput:L483_03115
ko:K00140	pput:L483_03120
ko:K03808	pput:L483_03150
ko:K03808	pput:L483_03155
ko:K02968	pput:L483_03165
ko:K03980	pput:L483_03170
ko:K11753	pput:L483_03175
ko:K01870	pput:L483_03180
ko:K03101	pput:L483_03185
ko:K03774	pput:L483_03190
ko:K03527	pput:L483_03195
ko:K08084	pput:L483_03200
ko:K02671	pput:L483_03205
ko:K02672	pput:L483_03210
ko:K02673	pput:L483_03215
ko:K02655	pput:L483_03220
ko:K06950	pput:L483_03230
ko:K05807	pput:L483_03235
ko:K06180	pput:L483_03240
ko:K01628	pput:L483_07515
ko:K03300	pput:L483_07550
ko:K13639	pput:L483_07565
ko:K03543	pput:L483_07590
ko:K03827	pput:L483_07610
ko:K16088	pput:L483_07615
ko:K03088	pput:L483_07625
ko:K01586	pput:L483_07630
ko:K15371	pput:L483_07645
ko:K09773	pput:L483_07650
ko:K02553	pput:L483_07665
ko:K16074	pput:L483_07670
ko:K03088	pput:L483_07685
ko:K02575	pput:L483_07705
ko:K12297	pput:L483_07725
ko:K07259	pput:L483_07735
ko:K09923	pput:L483_07740
ko:K07679	pput:L483_07745
ko:K07690	pput:L483_07750
ko:K01129	pput:L483_07755
ko:K03320	pput:L483_07775
ko:K03190	pput:L483_12125
ko:K01430	pput:L483_12130
ko:K01429	pput:L483_12135
ko:K01428	pput:L483_12140
ko:K03187	pput:L483_12145
ko:K03192	pput:L483_12150
ko:K03188	pput:L483_12155
ko:K03189	pput:L483_12160
ko:K03811	pput:L483_12210
ko:K06153	pput:L483_12220
ko:K03658	pput:L483_12300
ko:K01640	pput:L483_16760
ko:K01704	pput:L483_16765
ko:K01703	pput:L483_16770
ko:K01799	pput:L483_16805
ko:K03724	pput:L483_16860
ko:K12410	pput:L483_16875
ko:K03320	pput:L483_16925
ko:K01915	pput:L483_16945
ko:K01433	pput:L483_16955
ko:K01491	pput:L483_16960
ko:K00303	pput:L483_16965
ko:K00305	pput:L483_16980
ko:K05597	pput:L483_21245
ko:K01150	pput:L483_21260
ko:K03717	pput:L483_21385
ko:K07862	pput:L483_21390
ko:K09915	pput:L483_21395
ko:K03387	pput:L483_21405
ko:K00963	pput:L483_21425
ko:K00459	pput:L483_21455
ko:K02020	pput:L483_21460
ko:K02018	pput:L483_21465
ko:K03168	pput:L483_21475
ko:K03563	pput:L483_21480
ko:K08482	pput:L483_21490
ko:K15977	pput:L483_21510
ko:K01995	pput:L483_25755
ko:K01996	pput:L483_25760
ko:K08985	pput:L483_25765
ko:K07137	pput:L483_25770
ko:K03313	pput:L483_25775
ko:K06077	pput:L483_25780
ko:K00275	pput:L483_25790
ko:K08993	pput:L483_25825
ko:K09858	pput:L483_25885
ko:K00640	pput:L483_25915
ko:K06987	pput:L483_25940
ko:K03724	pput:L483_25945
ko:K01494	pput:L483_25960
ko:K03704	pput:L483_25965
ko:K01874	pput:L483_25975
ko:K10773	pput:L483_26000
ko:K07690	pput:L483_26010
ko:K01940	pput:L483_26020
ko:K01465	pput:L483_26030
ko:K03118	pput:L483_30245
ko:K02029	pput:L483_30270
ko:K03669	pput:L483_30280
ko:K03670	pput:L483_30285
ko:K07560	pput:L483_30290
ko:K01468	pput:L483_30310
ko:K01745	pput:L483_30320
ko:K01712	pput:L483_30325
ko:K09975	pput:L483_30330
ko:K05836	pput:L483_30335
ko:K03098	pput:L483_30345
ko:K03841	pput:L483_30360
ko:K00688	pput:L483_30365
ko:K06940	pput:L483_30370
ko:K06207	pput:L483_30375
ko:K03151	pput:L483_30380
ko:K01915	pput:L483_30385
ko:K07708	pput:L483_30390
ko:K07712	pput:L483_30395
ko:K03216	pput:L483_30405
ko:K03071	pput:L483_30410
ko:K15633	pput:L483_30425
ko:K03797	pput:L483_30435
ko:K09798	pput:L483_30440
ko:K02168	pput:L483_30445
ko:K02167	pput:L483_30450
ko:K05802	pput:L483_30475
ko:K03672	pput:L483_30485
ko:K08224	pput:L483_30505
ko:K01599	pput:L483_30515
ko:K00266	pput:L483_30520
ko:K14230	pput:L483_01965
ko:K02054	pput:L483_02105
ko:K02053	pput:L483_02110
ko:K01783	pput:L483_02115
ko:K01091	pput:L483_02120
ko:K01657	pput:L483_02125
ko:K12686	pput:L483_02130
ko:K00766	pput:L483_02140
ko:K01609	pput:L483_02145
ko:K07397	pput:L483_02160
ko:K06134	pput:L483_02170
ko:K02503	pput:L483_02175
ko:K07124	pput:L483_02180
ko:K00459	pput:L483_02185
ko:K08973	pput:L483_02190
ko:K00145	pput:L483_02195
ko:K09001	pput:L483_02205
ko:K01866	pput:L483_02215
ko:K03524	pput:L483_02235
ko:K03525	pput:L483_02240
ko:K02358	pput:L483_02265
ko:K03073	pput:L483_02275
ko:K02601	pput:L483_02280
ko:K02867	pput:L483_02285
ko:K02863	pput:L483_02290
ko:K02864	pput:L483_02295
ko:K02935	pput:L483_02300
ko:K03043	pput:L483_02305
ko:K03046	pput:L483_02310
ko:K02950	pput:L483_02315
ko:K02992	pput:L483_02320
ko:K02355	pput:L483_02325
ko:K02358	pput:L483_02330
ko:K02946	pput:L483_02335
ko:K02906	pput:L483_02340
ko:K02926	pput:L483_02345
ko:K02892	pput:L483_02350
ko:K02886	pput:L483_02355
ko:K02965	pput:L483_02360
ko:K02890	pput:L483_02365
ko:K02982	pput:L483_02370
ko:K02878	pput:L483_02375
ko:K02904	pput:L483_02380
ko:K01495	pput:L483_06645
ko:K07320	pput:L483_06665
ko:K01736	pput:L483_06680
ko:K05820	pput:L483_06685
ko:K08967	pput:L483_06690
ko:K07238	pput:L483_06710
ko:K03284	pput:L483_06745
ko:K00655	pput:L483_06750
ko:K02356	pput:L483_06810
ko:K07090	pput:L483_06830
ko:K01626	pput:L483_06845
ko:K05592	pput:L483_06855
ko:K03799	pput:L483_06870
ko:K14260	pput:L483_06875
ko:K00432	pput:L483_06885
ko:K06923	pput:L483_06895
ko:K12262	pput:L483_11300
ko:K14475	pput:L483_26220
ko:K07240	pput:L483_11305
ko:K06876	pput:L483_11330
ko:K09701	pput:L483_11340
ko:K15922	pput:L483_11425
ko:K06152	pput:L483_11460
ko:K06151	pput:L483_11465
ko:K07507	pput:L483_11480
ko:K13924	pput:L483_11485
ko:K08995	pput:L483_11495
ko:K06048	pput:L483_11515
ko:K10979	pput:L483_11525
ko:K03823	pput:L483_15930
ko:K00134	pput:L483_15980
ko:K15726	pput:L483_16020
ko:K01534	pput:L483_16030
ko:K07644	pput:L483_16075
ko:K16264	pput:L483_16095
ko:K03760	pput:L483_16105
ko:K06995	pput:L483_16120
ko:K00243	pput:L483_24910
ko:K00906	pput:L483_24920
ko:K01738	pput:L483_24950
ko:K09989	pput:L483_24965
ko:K07160	pput:L483_24980
ko:K01354	pput:L483_25010
ko:K09160	pput:L483_25040
ko:K09902	pput:L483_25055
ko:K03684	pput:L483_25060
ko:K03760	pput:L483_25065
ko:K09794	pput:L483_25070
ko:K05800	pput:L483_25080
ko:K03639	pput:L483_25090
ko:K03638	pput:L483_25105
ko:K12658	pput:L483_25125
ko:K00116	pput:L483_25155
ko:K03088	pput:L483_25160
ko:K04064	pput:L483_29425
ko:K03594	pput:L483_29430
ko:K07290	pput:L483_29435
ko:K01996	pput:L483_29460
ko:K01995	pput:L483_29465
ko:K01998	pput:L483_29470
ko:K01997	pput:L483_29475
ko:K01999	pput:L483_29480
ko:K00763	pput:L483_29485
ko:K06966	pput:L483_29505
ko:K09136	pput:L483_29520
ko:K02939	pput:L483_29540
ko:K02963	pput:L483_29550
ko:K02990	pput:L483_29555
ko:K03218	pput:L483_29560
ko:K12573	pput:L483_29565
ko:K02012	pput:L483_29580
ko:K02011	pput:L483_29585
ko:K01939	pput:L483_29595
ko:K02502	pput:L483_29600
ko:K04087	pput:L483_29605
ko:K04088	pput:L483_29610
ko:K03665	pput:L483_29615
ko:K03666	pput:L483_29620
ko:K00791	pput:L483_29625
ko:K03572	pput:L483_29630
ko:K01448	pput:L483_29635
ko:K06925	pput:L483_29640
ko:K13288	pput:L483_29660
ko:K06949	pput:L483_29665
ko:K02557	pput:L483_29670
ko:K02556	pput:L483_29675
ko:K01613	pput:L483_29690
ko:K05810	pput:L483_03245
ko:K03695	pput:L483_03250
ko:K03885	pput:L483_03280
ko:K09862	pput:L483_03305
ko:K00859	pput:L483_03310
ko:K02654	pput:L483_03315
ko:K00024	pput:L483_03370
ko:K02029	pput:L483_03375
ko:K00600	pput:L483_03410
ko:K00262	pput:L483_03430
ko:K03773	pput:L483_03475
ko:K06193	pput:L483_03485
ko:K02523	pput:L483_03490
ko:K02888	pput:L483_03495
ko:K02899	pput:L483_03500
ko:K03979	pput:L483_03505
ko:K00931	pput:L483_03510
ko:K05805	pput:L483_03515
ko:K01681	pput:L483_07805
ko:K06968	pput:L483_07810
ko:K03473	pput:L483_07825
ko:K03638	pput:L483_07855
ko:K03750	pput:L483_07860
ko:K03415	pput:L483_07890
ko:K07140	pput:L483_07895
ko:K08309	pput:L483_07900
ko:K15738	pput:L483_07905
ko:K01825	pput:L483_07920
ko:K03168	pput:L483_07935
ko:K01356	pput:L483_07955
ko:K01207	pput:L483_07970
ko:K03723	pput:L483_07985
ko:K00134	pput:L483_07990
ko:K00322	pput:L483_08000
ko:K01126	pput:L483_08005
ko:K09808	pput:L483_08015
ko:K09810	pput:L483_08020
ko:K09808	pput:L483_08025
ko:K07644	pput:L483_08030
ko:K06879	pput:L483_08045
ko:K04754	pput:L483_08060
ko:K01118	pput:L483_12515
ko:K15268	pput:L483_12540
ko:K14347	pput:L483_12570
ko:K03781	pput:L483_12615
ko:K03088	pput:L483_12620
ko:K01142	pput:L483_12630
ko:K07278	pput:L483_12640
ko:K09800	pput:L483_12645
ko:K12262	pput:L483_17105
ko:K12262	pput:L483_17125
ko:K07552	pput:L483_17135
ko:K03809	pput:L483_17140
ko:K06911	pput:L483_17145
ko:K03274	pput:L483_17205
ko:K07154	pput:L483_17215
ko:K02616	pput:L483_17230
ko:K02617	pput:L483_17235
ko:K15866	pput:L483_17250
ko:K00074	pput:L483_17255
ko:K01912	pput:L483_17270
ko:K02609	pput:L483_17275
ko:K02610	pput:L483_17280
ko:K02611	pput:L483_17285
ko:K02612	pput:L483_17290
ko:K02613	pput:L483_17295
ko:K14393	pput:L483_17305
ko:K07090	pput:L483_21660
ko:K01799	pput:L483_21700
ko:K15357	pput:L483_21705
ko:K14974	pput:L483_21710
ko:K02034	pput:L483_21765
ko:K02192	pput:L483_26050
ko:K03594	pput:L483_26055
ko:K07390	pput:L483_26060
ko:K00611	pput:L483_26070
ko:K02440	pput:L483_26085
ko:K00864	pput:L483_26090
ko:K02444	pput:L483_26095
ko:K00111	pput:L483_26100
ko:K10001	pput:L483_26110
ko:K10003	pput:L483_26115
ko:K10002	pput:L483_26120
ko:K10004	pput:L483_26125
ko:K17060	pput:L483_26130
ko:K17061	pput:L483_26135
ko:K02442	pput:L483_26140
ko:K03576	pput:L483_26150
ko:K03724	pput:L483_26160
ko:K07267	pput:L483_26205
ko:K00117	pput:L483_26210
ko:K01338	pput:L483_26215
ko:K15256	pput:L483_26235
ko:K15257	pput:L483_26240
ko:K07644	pput:L483_26255
ko:K03474	pput:L483_26260
ko:K03584	pput:L483_26265
ko:K03685	pput:L483_26275
ko:K03100	pput:L483_26280
ko:K03596	pput:L483_26285
ko:K03598	pput:L483_26295
ko:K03597	pput:L483_26300
ko:K03088	pput:L483_26305
ko:K00278	pput:L483_26310
ko:K09159	pput:L483_26320
ko:K06980	pput:L483_26325
ko:K03112	pput:L483_30530
ko:K01735	pput:L483_30535
ko:K00891	pput:L483_30540
ko:K02666	pput:L483_30545
ko:K02662	pput:L483_30560
ko:K05366	pput:L483_30565
ko:K00029	pput:L483_30570
ko:K02909	pput:L483_30580
ko:K04066	pput:L483_30585
ko:K01887	pput:L483_30590
ko:K02669	pput:L483_30610
ko:K06997	pput:L483_30615
ko:K00286	pput:L483_30620
ko:K02221	pput:L483_30625
ko:K00641	pput:L483_30630
ko:K03439	pput:L483_30660
ko:K03149	pput:L483_30665
ko:K03154	pput:L483_30670
ko:K03814	pput:L483_30680
ko:K03089	pput:L483_30685
ko:K09811	pput:L483_30690
ko:K09812	pput:L483_30695
ko:K03110	pput:L483_30700
ko:K00154	pput:L483_30745
ko:K00954	pput:L483_30750
ko:K06969	pput:L483_30770
ko:K01687	pput:L483_30780
ko:K06956	pput:L483_30790
ko:K03809	pput:L483_05795
ko:K03778	pput:L483_05820
ko:K07678	pput:L483_05825
ko:K12339	pput:L483_05840
ko:K03215	pput:L483_05845
ko:K09912	pput:L483_05860
ko:K11175	pput:L483_05875
ko:K01933	pput:L483_05880
ko:K09938	pput:L483_05885
ko:K10763	pput:L483_05895
ko:K02224	pput:L483_05920
ko:K04719	pput:L483_05925
ko:K02227	pput:L483_05930
ko:K02225	pput:L483_05935
ko:K02232	pput:L483_05940
ko:K02231	pput:L483_05945
ko:K00768	pput:L483_05950
ko:K02233	pput:L483_05960
ko:K00432	pput:L483_05985
ko:K06076	pput:L483_06005
ko:K09760	pput:L483_06025
ko:K03453	pput:L483_06050
ko:K03554	pput:L483_06055
ko:K02042	pput:L483_10430
ko:K02041	pput:L483_10435
ko:K02044	pput:L483_10440
ko:K08191	pput:L483_10495
ko:K11891	pput:L483_10535
ko:K00014	pput:L483_10555
ko:K02624	pput:L483_10560
ko:K01714	pput:L483_10570
ko:K03088	pput:L483_10600
ko:K16088	pput:L483_10610
ko:K00375	pput:L483_10635
ko:K01531	pput:L483_10655
ko:K03981	pput:L483_15070
ko:K03554	pput:L483_15100
ko:K03673	pput:L483_15200
ko:K00812	pput:L483_19525
ko:K00299	pput:L483_19550
ko:K00286	pput:L483_19580
ko:K11474	pput:L483_19590
ko:K11472	pput:L483_19600
ko:K11473	pput:L483_19605
ko:K11477	pput:L483_19610
ko:K01638	pput:L483_19615
ko:K00375	pput:L483_19625
ko:K03449	pput:L483_19630
ko:K00074	pput:L483_19650
ko:K03412	pput:L483_19670
ko:K00014	pput:L483_19715
ko:K07262	pput:L483_19780
ko:K02416	pput:L483_24075
ko:K02415	pput:L483_24080
ko:K02413	pput:L483_24105
ko:K02412	pput:L483_24110
ko:K02411	pput:L483_24115
ko:K02410	pput:L483_24120
ko:K02409	pput:L483_24125
ko:K02408	pput:L483_24130
ko:K01091	pput:L483_24180
ko:K01652	pput:L483_24185
ko:K12452	pput:L483_24195
ko:K01709	pput:L483_24200
ko:K00978	pput:L483_24205
ko:K10941	pput:L483_24210
ko:K02422	pput:L483_24220
ko:K02407	pput:L483_24225
ko:K02406	pput:L483_24235
ko:K00648	pput:L483_24240
ko:K02397	pput:L483_24245
ko:K02396	pput:L483_24250
ko:K02395	pput:L483_24255
ko:K02394	pput:L483_24260
ko:K02393	pput:L483_24265
ko:K02392	pput:L483_24270
ko:K02391	pput:L483_24275
ko:K02390	pput:L483_24285
ko:K02389	pput:L483_24290
ko:K02388	pput:L483_24295
ko:K02387	pput:L483_24300
ko:K03415	pput:L483_24310
ko:K02386	pput:L483_24315
ko:K02398	pput:L483_24320
ko:K02399	pput:L483_24325
ko:K10439	pput:L483_21240
ko:K09384	pput:L483_28595
ko:K02029	pput:L483_28610
ko:K02029	pput:L483_28615
ko:K02961	pput:L483_02385
ko:K02874	pput:L483_02390
ko:K02895	pput:L483_02395
ko:K02931	pput:L483_02400
ko:K02954	pput:L483_02405
ko:K02994	pput:L483_02410
ko:K02933	pput:L483_02415
ko:K02881	pput:L483_02420
ko:K02988	pput:L483_02425
ko:K02907	pput:L483_02430
ko:K02876	pput:L483_02435
ko:K03076	pput:L483_02440
ko:K02919	pput:L483_02445
ko:K02952	pput:L483_02450
ko:K02948	pput:L483_02455
ko:K02986	pput:L483_02460
ko:K03040	pput:L483_02465
ko:K02879	pput:L483_02470
ko:K03781	pput:L483_02475
ko:K03594	pput:L483_02480
ko:K03701	pput:L483_02485
ko:K07090	pput:L483_02560
ko:K16066	pput:L483_02565
ko:K00123	pput:L483_02570
ko:K00123	pput:L483_02575
ko:K02380	pput:L483_02590
ko:K01042	pput:L483_02595
ko:K03833	pput:L483_02600
ko:K03310	pput:L483_02615
ko:K07090	pput:L483_02625
ko:K07275	pput:L483_02655
ko:K09950	pput:L483_02660
ko:K02003	pput:L483_02670
ko:K07345	pput:L483_06965
ko:K09928	pput:L483_07000
ko:K03561	pput:L483_07010
ko:K00912	pput:L483_07020
ko:K09791	pput:L483_07025
ko:K00979	pput:L483_07030
ko:K00075	pput:L483_07040
ko:K08300	pput:L483_07045
ko:K01091	pput:L483_07055
ko:K04773	pput:L483_07060
ko:K02911	pput:L483_07075
ko:K03621	pput:L483_07080
ko:K00645	pput:L483_07085
ko:K02078	pput:L483_07095
ko:K09458	pput:L483_07100
ko:K07082	pput:L483_07110
ko:K00943	pput:L483_07115
ko:K02341	pput:L483_07120
ko:K03424	pput:L483_07125
ko:K03639	pput:L483_07135
ko:K09986	pput:L483_07145
ko:K00832	pput:L483_07160
ko:K03702	pput:L483_07165
ko:K03446	pput:L483_07170
ko:K03543	pput:L483_07175
ko:K07107	pput:L483_07220
ko:K05541	pput:L483_07225
ko:K16088	pput:L483_11595
ko:K03088	pput:L483_11605
ko:K05520	pput:L483_11610
ko:K11177	pput:L483_11655
ko:K11178	pput:L483_11660
ko:K13483	pput:L483_11665
ko:K00156	pput:L483_11670
ko:K07240	pput:L483_11685
ko:K06915	pput:L483_11780
ko:K07644	pput:L483_16285
ko:K03657	pput:L483_16325
ko:K09930	pput:L483_16345
ko:K07233	pput:L483_16370
ko:K07787	pput:L483_16395
ko:K07798	pput:L483_16400
ko:K03630	pput:L483_20930
ko:K01923	pput:L483_25220
ko:K07287	pput:L483_25230
ko:K01714	pput:L483_25235
ko:K03567	pput:L483_25240
ko:K03564	pput:L483_25245
ko:K03517	pput:L483_25265
ko:K14052	pput:L483_25275
ko:K06920	pput:L483_25295
ko:K10026	pput:L483_25300
ko:K03640	pput:L483_25310
ko:K03641	pput:L483_25315
ko:K03562	pput:L483_25330
ko:K01075	pput:L483_25335
ko:K03551	pput:L483_25340
ko:K03550	pput:L483_25345
ko:K01159	pput:L483_25350
ko:K01876	pput:L483_25360
ko:K04047	pput:L483_25375
ko:K03704	pput:L483_25380
ko:K03745	pput:L483_25385
ko:K01881	pput:L483_25400
ko:K02346	pput:L483_25410
ko:K14205	pput:L483_25430
ko:K03549	pput:L483_25440
ko:K14441	pput:L483_25445
ko:K01079	pput:L483_29695
ko:K09857	pput:L483_29705
ko:K02621	pput:L483_29710
ko:K06985	pput:L483_29715
ko:K02622	pput:L483_29725
ko:K07000	pput:L483_29730
ko:K03651	pput:L483_29735
ko:K09920	pput:L483_29740
ko:K03147	pput:L483_29760
ko:K12340	pput:L483_29765
ko:K02527	pput:L483_29770
ko:K03272	pput:L483_29805
ko:K00612	pput:L483_29855
ko:K07115	pput:L483_29860
ko:K13821	pput:L483_29875
ko:K05591	pput:L483_29910
ko:K07007	pput:L483_29915
ko:K07043	pput:L483_29940
ko:K01624	pput:L483_29950
ko:K00927	pput:L483_29965
ko:K01265	pput:L483_06070
ko:K00362	pput:L483_06080
ko:K14218	pput:L483_03135
ko:K14218	pput:L483_27910
ko:K14218	pput:L483_09000
ko:K14219	pput:L483_00720
ko:K14228	pput:L483_28135
ko:K14234	pput:L483_03330
ko:K14224	pput:L483_06910
ko:K14224	pput:L483_07205
ko:K14224	pput:L483_07195
ko:K14223	pput:L483_03665
ko:K14223	pput:L483_09520
