ko:K19416	amao:I634_10555
ko:K02106	amao:I634_12275
ko:K09906	amao:I634_12305
ko:K07107	amao:I634_12315
ko:K01354	amao:I634_12390
ko:K03603	amao:I634_12395
ko:K03314	amao:I634_12400
ko:K03611	amao:I634_12405
ko:K09160	amao:I634_12420
ko:K09902	amao:I634_12435
ko:K03684	amao:I634_12440
ko:K03457	amao:I634_16540
ko:K00140	amao:I634_16550
ko:K09024	amao:I634_16555
ko:K09019	amao:I634_16560
ko:K09023	amao:I634_16565
ko:K09021	amao:I634_16570
ko:K09018	amao:I634_16580
ko:K02346	amao:I634_16615
ko:K07154	amao:I634_16625
ko:K05952	amao:I634_16630
ko:K03734	amao:I634_16635
ko:K00351	amao:I634_16640
ko:K00350	amao:I634_16645
ko:K00349	amao:I634_16650
ko:K00348	amao:I634_16655
ko:K00347	amao:I634_16660
ko:K00346	amao:I634_16665
ko:K00209	amao:I634_16670
ko:K03773	amao:I634_16675
ko:K01595	amao:I634_16680
ko:K03782	amao:I634_16685
ko:K00024	amao:I634_16695
ko:K03402	amao:I634_16700
ko:K00876	amao:I634_16725
ko:K14393	amao:I634_16765
ko:K06958	amao:I634_04150
ko:K05808	amao:I634_04160
ko:K03092	amao:I634_04165
ko:K06861	amao:I634_04170
ko:K09774	amao:I634_04175
ko:K11719	amao:I634_04180
ko:K03270	amao:I634_04185
ko:K06041	amao:I634_04190
ko:K07301	amao:I634_04195
ko:K02065	amao:I634_04200
ko:K02066	amao:I634_04205
ko:K07323	amao:I634_04215
ko:K07122	amao:I634_04220
ko:K00790	amao:I634_04230
ko:K04691	amao:I634_04235
ko:K09908	amao:I634_04245
ko:K06916	amao:I634_04250
ko:K06886	amao:I634_04260
ko:K12257	amao:I634_04275
ko:K01999	amao:I634_04305
ko:K00789	amao:I634_04320
ko:K00615	amao:I634_04325
ko:K03472	amao:I634_04330
ko:K00927	amao:I634_04335
ko:K01623	amao:I634_04340
ko:K03585	amao:I634_04350
ko:K01524	amao:I634_04375
ko:K00937	amao:I634_04380
ko:K02037	amao:I634_04390
ko:K02038	amao:I634_04395
ko:K02036	amao:I634_04400
ko:K02039	amao:I634_04405
ko:K03306	amao:I634_04410
ko:K04761	amao:I634_04420
ko:K11068	amao:I634_04430
ko:K09748	amao:I634_08555
ko:K02600	amao:I634_08560
ko:K02519	amao:I634_08565
ko:K02834	amao:I634_08570
ko:K02956	amao:I634_08585
ko:K06182	amao:I634_08590
ko:K07394	amao:I634_08610
ko:K03387	amao:I634_08645
ko:K06134	amao:I634_08665
ko:K05777	amao:I634_08715
ko:K05778	amao:I634_08720
ko:K05779	amao:I634_08725
ko:K03664	amao:I634_08785
ko:K09801	amao:I634_08795
ko:K02168	amao:I634_08805
ko:K02680	amao:I634_12980
ko:K02655	amao:I634_12995
ko:K02673	amao:I634_13005
ko:K02672	amao:I634_13010
ko:K02671	amao:I634_13015
ko:K03527	amao:I634_13020
ko:K03774	amao:I634_13025
ko:K03101	amao:I634_13030
ko:K01870	amao:I634_13035
ko:K11753	amao:I634_13040
ko:K03980	amao:I634_13045
ko:K02968	amao:I634_13050
ko:K03453	amao:I634_13070
ko:K03770	amao:I634_13100
ko:K03530	amao:I634_13105
ko:K01338	amao:I634_13110
ko:K03544	amao:I634_13115
ko:K01358	amao:I634_13120
ko:K03545	amao:I634_13125
ko:K01491	amao:I634_13130
ko:K09941	amao:I634_13135
ko:K01881	amao:I634_13145
ko:K01058	amao:I634_13155
ko:K01951	amao:I634_13180
ko:K03601	amao:I634_13190
ko:K00021	amao:I634_17350
ko:K13408	amao:I634_17355
ko:K13409	amao:I634_17360
ko:K03667	amao:I634_17390
ko:K01419	amao:I634_17395
ko:K04066	amao:I634_17405
ko:K02909	amao:I634_17410
ko:K00029	amao:I634_17420
ko:K03764	amao:I634_17425
ko:K00297	amao:I634_17430
ko:K07058	amao:I634_17435
ko:K07560	amao:I634_17455
ko:K03089	amao:I634_17465
ko:K09811	amao:I634_17480
ko:K09812	amao:I634_17485
ko:K09891	amao:I634_17505
ko:K07751	amao:I634_17520
ko:K06206	amao:I634_17525
ko:K06204	amao:I634_17530
ko:K01894	amao:I634_17535
ko:K00950	amao:I634_17545
ko:K00606	amao:I634_17550
ko:K01918	amao:I634_17555
ko:K02395	amao:I634_05255
ko:K02396	amao:I634_05260
ko:K02397	amao:I634_05265
ko:K02406	amao:I634_05275
ko:K02406	amao:I634_05280
ko:K02406	amao:I634_05285
ko:K02407	amao:I634_05295
ko:K03088	amao:I634_09435
ko:K05803	amao:I634_09450
ko:K06203	amao:I634_09460
ko:K03529	amao:I634_09465
ko:K03528	amao:I634_09470
ko:K01972	amao:I634_09475
ko:K09928	amao:I634_09480
ko:K00912	amao:I634_09500
ko:K09791	amao:I634_09505
ko:K00979	amao:I634_09510
ko:K14441	amao:I634_09520
ko:K06911	amao:I634_09545
ko:K01647	amao:I634_09560
ko:K00242	amao:I634_09570
ko:K00239	amao:I634_09575
ko:K00240	amao:I634_09580
ko:K00164	amao:I634_09585
ko:K00658	amao:I634_09590
ko:K01903	amao:I634_09595
ko:K01902	amao:I634_09600
ko:K16211	amao:I634_09655
ko:K14540	amao:I634_13760
ko:K03437	amao:I634_13765
ko:K13639	amao:I634_13810
ko:K02616	amao:I634_13835
ko:K09456	amao:I634_13840
ko:K05851	amao:I634_13880
ko:K13483	amao:I634_13915
ko:K11178	amao:I634_13920
ko:K11177	amao:I634_13925
ko:K05520	amao:I634_13955
ko:K07058	amao:I634_13960
ko:K03291	amao:I634_14000
ko:K03654	amao:I634_14015
ko:K15034	amao:I634_18180
ko:K12262	amao:I634_18205
ko:K03885	amao:I634_18215
ko:K06076	amao:I634_18235
ko:K00820	amao:I634_18270
ko:K04042	amao:I634_18285
ko:K13529	amao:I634_18305
ko:K00325	amao:I634_18325
ko:K00324	amao:I634_18330
ko:K00324	amao:I634_18335
ko:K03088	amao:I634_18365
ko:K02300	amao:I634_18390
ko:K02299	amao:I634_18395
ko:K02298	amao:I634_18400
ko:K02297	amao:I634_18405
ko:K03427	amao:I634_19150
ko:K01154	amao:I634_19155
ko:K02529	amao:I634_19210
ko:K07443	amao:I634_19230
ko:K01867	amao:I634_02480
ko:K01783	amao:I634_02485
ko:K03112	amao:I634_02510
ko:K01735	amao:I634_02515
ko:K00891	amao:I634_02520
ko:K02666	amao:I634_02525
ko:K02662	amao:I634_02545
ko:K05366	amao:I634_02550
ko:K03781	amao:I634_02580
ko:K14682	amao:I634_02600
ko:K01755	amao:I634_02605
ko:K01940	amao:I634_02610
ko:K00611	amao:I634_02615
ko:K00930	amao:I634_02620
ko:K00145	amao:I634_02625
ko:K01734	amao:I634_02630
ko:K03216	amao:I634_02655
ko:K00057	amao:I634_02665
ko:K03071	amao:I634_02670
ko:K09798	amao:I634_02690
ko:K01126	amao:I634_02700
ko:K01613	amao:I634_02710
ko:K06949	amao:I634_02715
ko:K13288	amao:I634_02720
ko:K06938	amao:I634_06915
ko:K05541	amao:I634_06920
ko:K10804	amao:I634_06935
ko:K02003	amao:I634_06940
ko:K07071	amao:I634_06950
ko:K07589	amao:I634_06955
ko:K07637	amao:I634_06965
ko:K09780	amao:I634_06985
ko:K01695	amao:I634_06990
ko:K01696	amao:I634_06995
ko:K13498	amao:I634_07000
ko:K00766	amao:I634_07005
ko:K01657	amao:I634_07015
ko:K07053	amao:I634_07020
ko:K05896	amao:I634_07030
ko:K06024	amao:I634_07035
ko:K06178	amao:I634_07040
ko:K06222	amao:I634_07045
ko:K06186	amao:I634_07070
ko:K03631	amao:I634_07075
ko:K04047	amao:I634_07080
ko:K00858	amao:I634_07085
ko:K00019	amao:I634_07095
ko:K00641	amao:I634_07105
ko:K03687	amao:I634_07130
ko:K04043	amao:I634_07135
ko:K03686	amao:I634_07140
ko:K01908	amao:I634_07155
ko:K00215	amao:I634_07165
ko:K02018	amao:I634_11355
ko:K02020	amao:I634_11360
ko:K03636	amao:I634_11370
ko:K03637	amao:I634_11375
ko:K03638	amao:I634_11380
ko:K06987	amao:I634_11390
ko:K00817	amao:I634_11425
ko:K00549	amao:I634_11440
ko:K11939	amao:I634_11455
ko:K03581	amao:I634_11470
ko:K03582	amao:I634_11475
ko:K03583	amao:I634_11480
ko:K09897	amao:I634_11530
ko:K07226	amao:I634_15690
ko:K02013	amao:I634_15695
ko:K02015	amao:I634_15700
ko:K02016	amao:I634_15705
ko:K16089	amao:I634_15715
ko:K02440	amao:I634_15725
ko:K03324	amao:I634_15765
ko:K01251	amao:I634_15780
ko:K06136	amao:I634_15850
ko:K06137	amao:I634_15855
ko:K06139	amao:I634_15865
ko:K07675	amao:I634_15920
ko:K00140	amao:I634_15935
ko:K14219	amao:I634_t19475
ko:K07798	amao:I634_01615
ko:K07787	amao:I634_01620
ko:K07156	amao:I634_01635
ko:K02305	amao:I634_01680
ko:K03618	amao:I634_01725
ko:K04653	amao:I634_01745
ko:K04651	amao:I634_01750
ko:K04654	amao:I634_01760
ko:K04656	amao:I634_01765
ko:K15726	amao:I634_01850
ko:K16264	amao:I634_01855
ko:K07233	amao:I634_01870
ko:K03702	amao:I634_06140
ko:K06920	amao:I634_06150
ko:K10026	amao:I634_06155
ko:K01953	amao:I634_06165
ko:K00860	amao:I634_06205
ko:K00957	amao:I634_06210
ko:K03088	amao:I634_06230
ko:K03924	amao:I634_06265
ko:K01468	amao:I634_06325
ko:K05836	amao:I634_06330
ko:K01712	amao:I634_06335
ko:K09975	amao:I634_06340
ko:K05836	amao:I634_06355
ko:K00995	amao:I634_10500
ko:K03703	amao:I634_10505
ko:K07689	amao:I634_10510
ko:K15977	amao:I634_10535
ko:K07235	amao:I634_10560
ko:K07023	amao:I634_03575
ko:K03673	amao:I634_03580
ko:K16092	amao:I634_03585
ko:K03086	amao:I634_03665
ko:K09117	amao:I634_03675
ko:K07089	amao:I634_03695
ko:K06200	amao:I634_03700
ko:K09973	amao:I634_03715
ko:K02970	amao:I634_03730
ko:K08591	amao:I634_03745
ko:K01633	amao:I634_03750
ko:K00950	amao:I634_03755
ko:K06153	amao:I634_03760
ko:K02503	amao:I634_03765
ko:K05782	amao:I634_03780
ko:K03554	amao:I634_03790
ko:K07636	amao:I634_03805
ko:K02040	amao:I634_03810
ko:K03561	amao:I634_03835
ko:K03561	amao:I634_03840
ko:K03832	amao:I634_03850
ko:K01434	amao:I634_07975
ko:K01207	amao:I634_07980
ko:K03723	amao:I634_07995
ko:K09808	amao:I634_08005
ko:K07101	amao:I634_08010
ko:K01142	amao:I634_08030
ko:K02426	amao:I634_08045
ko:K00975	amao:I634_08075
ko:K01640	amao:I634_08100
ko:K01968	amao:I634_08105
ko:K13766	amao:I634_08110
ko:K01969	amao:I634_08115
ko:K00253	amao:I634_08120
ko:K01556	amao:I634_08140
ko:K01141	amao:I634_08155
ko:K13051	amao:I634_08165
ko:K01083	amao:I634_08175
ko:K03578	amao:I634_08210
ko:K06969	amao:I634_08225
ko:K07285	amao:I634_12455
ko:K16089	amao:I634_12520
ko:K00765	amao:I634_12530
ko:K00013	amao:I634_12535
ko:K00817	amao:I634_12540
ko:K01089	amao:I634_12545
ko:K02501	amao:I634_12550
ko:K01814	amao:I634_12555
ko:K02500	amao:I634_12560
ko:K11755	amao:I634_12565
ko:K03100	amao:I634_12590
ko:K07136	amao:I634_12600
ko:K04079	amao:I634_12610
ko:K06187	amao:I634_12615
ko:K09747	amao:I634_12630
ko:K00759	amao:I634_12645
ko:K09929	amao:I634_12650
ko:K09930	amao:I634_12655
ko:K17103	amao:I634_12680
ko:K03777	amao:I634_12700
ko:K03695	amao:I634_12705
ko:K06987	amao:I634_16790
ko:K01895	amao:I634_16810
ko:K03525	amao:I634_16835
ko:K03524	amao:I634_16840
ko:K00075	amao:I634_16845
ko:K03717	amao:I634_16880
ko:K00012	amao:I634_16900
ko:K00067	amao:I634_16915
ko:K01790	amao:I634_16920
ko:K00973	amao:I634_16925
ko:K02406	amao:I634_16995
ko:K02879	amao:I634_17010
ko:K02313	amao:I634_00005
ko:K02338	amao:I634_00010
ko:K03629	amao:I634_00015
ko:K02470	amao:I634_00020
ko:K01879	amao:I634_00030
ko:K01878	amao:I634_00035
ko:K01246	amao:I634_00040
ko:K09894	amao:I634_00050
ko:K03978	amao:I634_00065
ko:K03500	amao:I634_00090
ko:K00604	amao:I634_00095
ko:K01462	amao:I634_00100
ko:K04096	amao:I634_00110
ko:K07479	amao:I634_00120
ko:K07566	amao:I634_00125
ko:K00228	amao:I634_00130
ko:K07275	amao:I634_00135
ko:K06886	amao:I634_00140
ko:K00014	amao:I634_00145
ko:K14161	amao:I634_00180
ko:K03547	amao:I634_04465
ko:K07862	amao:I634_04480
ko:K01468	amao:I634_04490
ko:K05836	amao:I634_04495
ko:K01712	amao:I634_04500
ko:K01745	amao:I634_04505
ko:K05805	amao:I634_04510
ko:K07552	amao:I634_04570
ko:K05590	amao:I634_04680
ko:K02451	amao:I634_04695
ko:K01704	amao:I634_04705
ko:K01703	amao:I634_04710
ko:K00052	amao:I634_04715
ko:K01649	amao:I634_04720
ko:K01689	amao:I634_04730
ko:K09773	amao:I634_08825
ko:K07303	amao:I634_08840
ko:K07302	amao:I634_08845
ko:K01756	amao:I634_08880
ko:K07153	amao:I634_08885
ko:K00566	amao:I634_08890
ko:K06181	amao:I634_08895
ko:K00031	amao:I634_08900
ko:K03704	amao:I634_08905
ko:K06891	amao:I634_08910
ko:K03694	amao:I634_08915
ko:K02518	amao:I634_08920
ko:K00684	amao:I634_08930
ko:K00384	amao:I634_08935
ko:K09899	amao:I634_08940
ko:K02742	amao:I634_08945
ko:K04773	amao:I634_08950
ko:K03644	amao:I634_08980
ko:K03801	amao:I634_08985
ko:K09158	amao:I634_08990
ko:K03642	amao:I634_09000
ko:K05837	amao:I634_09005
ko:K05515	amao:I634_09010
ko:K00783	amao:I634_09015
ko:K09710	amao:I634_09020
ko:K00969	amao:I634_09025
ko:K02340	amao:I634_09030
ko:K03643	amao:I634_09035
ko:K01869	amao:I634_09040
ko:K07574	amao:I634_09075
ko:K03977	amao:I634_13205
ko:K01892	amao:I634_13220
ko:K15539	amao:I634_13230
ko:K02656	amao:I634_13235
ko:K06941	amao:I634_13240
ko:K00940	amao:I634_13245
ko:K02426	amao:I634_13250
ko:K11717	amao:I634_13265
ko:K09015	amao:I634_13270
ko:K16264	amao:I634_00785
ko:K15726	amao:I634_00845
ko:K05596	amao:I634_00900
ko:K06895	amao:I634_00905
ko:K03585	amao:I634_00925
ko:K03654	amao:I634_00995
ko:K06213	amao:I634_01000
ko:K05786	amao:I634_01005
ko:K03657	amao:I634_01015
ko:K00640	amao:I634_01020
ko:K03733	amao:I634_01030
ko:K09921	amao:I634_01035
ko:K01778	amao:I634_01040
ko:K01586	amao:I634_01045
ko:K02422	amao:I634_05300
ko:K15894	amao:I634_05345
ko:K02406	amao:I634_05350
ko:K10941	amao:I634_05355
ko:K02408	amao:I634_05370
ko:K02409	amao:I634_05375
ko:K02410	amao:I634_05380
ko:K02411	amao:I634_05385
ko:K02412	amao:I634_05390
ko:K02413	amao:I634_05395
ko:K02415	amao:I634_05405
ko:K02416	amao:I634_05410
ko:K02417	amao:I634_05415
ko:K02418	amao:I634_05420
ko:K02419	amao:I634_05425
ko:K02420	amao:I634_05430
ko:K02421	amao:I634_05435
ko:K02401	amao:I634_05440
ko:K02400	amao:I634_05445
ko:K02404	amao:I634_05450
ko:K04562	amao:I634_05455
ko:K02405	amao:I634_05460
ko:K03413	amao:I634_05465
ko:K03414	amao:I634_05470
ko:K03407	amao:I634_05475
ko:K03412	amao:I634_05480
ko:K03408	amao:I634_05490
ko:K03408	amao:I634_05495
ko:K00651	amao:I634_05505
ko:K09913	amao:I634_05525
ko:K03576	amao:I634_05530
ko:K04761	amao:I634_05535
ko:K01673	amao:I634_05540
ko:K03321	amao:I634_05545
ko:K02167	amao:I634_05555
ko:K09919	amao:I634_05565
ko:K03565	amao:I634_05570
ko:K01872	amao:I634_05575
ko:K01886	amao:I634_09670
ko:K06219	amao:I634_09710
ko:K03778	amao:I634_09715
ko:K00432	amao:I634_09720
ko:K00563	amao:I634_09750
ko:K07014	amao:I634_09760
ko:K09904	amao:I634_09765
ko:K06899	amao:I634_09770
ko:K00850	amao:I634_09810
ko:K02609	amao:I634_09845
ko:K07043	amao:I634_09895
ko:K03189	amao:I634_14070
ko:K03188	amao:I634_14075
ko:K03187	amao:I634_14080
ko:K01428	amao:I634_14085
ko:K01429	amao:I634_14090
ko:K01430	amao:I634_14095
ko:K03190	amao:I634_14100
ko:K11963	amao:I634_14105
ko:K11962	amao:I634_14110
ko:K11961	amao:I634_14115
ko:K11960	amao:I634_14120
ko:K11959	amao:I634_14125
ko:K04077	amao:I634_18440
ko:K04078	amao:I634_18445
ko:K07113	amao:I634_18450
ko:K03926	amao:I634_18455
ko:K04084	amao:I634_18460
ko:K03786	amao:I634_18470
ko:K02160	amao:I634_18475
ko:K01961	amao:I634_18480
ko:K02687	amao:I634_18535
ko:K03557	amao:I634_18545
ko:K00602	amao:I634_18550
ko:K01945	amao:I634_18560
ko:K10716	amao:I634_18575
ko:K00855	amao:I634_18580
ko:K07659	amao:I634_18590
ko:K07638	amao:I634_18600
ko:K01610	amao:I634_18615
ko:K04083	amao:I634_18620
ko:K04762	amao:I634_18625
ko:K02452	amao:I634_18630
ko:K02453	amao:I634_18635
ko:K02455	amao:I634_18645
ko:K02456	amao:I634_18650
ko:K02457	amao:I634_18655
ko:K02458	amao:I634_18660
ko:K02459	amao:I634_18665
ko:K02460	amao:I634_18670
ko:K02461	amao:I634_18675
ko:K02462	amao:I634_18680
ko:K07236	amao:I634_10565
ko:K01875	amao:I634_10605
ko:K06199	amao:I634_10610
ko:K07478	amao:I634_10615
ko:K03634	amao:I634_10620
ko:K03466	amao:I634_10625
ko:K00259	amao:I634_10635
ko:K01591	amao:I634_10640
ko:K05788	amao:I634_10660
ko:K02945	amao:I634_10665
ko:K00945	amao:I634_10670
ko:K00800	amao:I634_10675
ko:K00831	amao:I634_10680
ko:K02469	amao:I634_10685
ko:K11107	amao:I634_10705
ko:K01923	amao:I634_10735
ko:K07287	amao:I634_10740
ko:K01714	amao:I634_10745
ko:K03567	amao:I634_10750
ko:K03564	amao:I634_10755
ko:K02670	amao:I634_14825
ko:K02669	amao:I634_14830
ko:K06997	amao:I634_14835
ko:K00286	amao:I634_14840
ko:K02221	amao:I634_14845
ko:K09861	amao:I634_14920
ko:K01810	amao:I634_14935
ko:K03648	amao:I634_14945
ko:K01733	amao:I634_14950
ko:K00872	amao:I634_14955
ko:K12524	amao:I634_14960
ko:K03701	amao:I634_14965
ko:K00906	amao:I634_15010
ko:K13747	amao:I634_15075
ko:K07056	amao:I634_15085
ko:K07121	amao:I634_15090
ko:K02114	amao:I634_19250
ko:K02112	amao:I634_19255
ko:K02115	amao:I634_19260
ko:K02111	amao:I634_19265
ko:K02113	amao:I634_19270
ko:K02109	amao:I634_19275
ko:K02110	amao:I634_19280
ko:K02108	amao:I634_19285
ko:K03501	amao:I634_19305
ko:K03495	amao:I634_19310
ko:K06205	amao:I634_19325
ko:K03650	amao:I634_19330
ko:K09767	amao:I634_19335
ko:K03217	amao:I634_19340
ko:K08998	amao:I634_19345
ko:K03536	amao:I634_19350
ko:K02914	amao:I634_19355
ko:K01990	amao:I634_15835
ko:K01990	amao:I634_17580
ko:K14221	amao:I634_t19439
ko:K14221	amao:I634_t19443
ko:K14221	amao:I634_t19441
ko:K14221	amao:I634_t19445
ko:K14218	amao:I634_t19367
ko:K14218	amao:I634_t19491
ko:K01980	amao:I634_r19513
ko:K01985	amao:I634_r19493
ko:K01985	amao:I634_r19495
ko:K01985	amao:I634_r19501
ko:K01985	amao:I634_r19497
ko:K01985	amao:I634_r19499
ko:K14219	amao:I634_t19371
ko:K14225	amao:I634_t19455
ko:K14234	amao:I634_t19377
ko:K14234	amao:I634_t19487
ko:K01980	amao:I634_r19515
ko:K01980	amao:I634_r19517
ko:K14225	amao:I634_t19381
ko:K14225	amao:I634_t19483
ko:K01992	amao:I634_00550
ko:K01992	amao:I634_15840
ko:K01992	amao:I634_17575
ko:K07245	amao:I634_01640
ko:K14231	amao:I634_t19373
ko:K14230	amao:I634_t19385
ko:K14219	amao:I634_t19387
ko:K14233	amao:I634_t19389
ko:K14219	amao:I634_t19391
ko:K14235	amao:I634_t19395
ko:K14220	amao:I634_t19397
ko:K14220	amao:I634_t19399
ko:K14229	amao:I634_t19401
ko:K14229	amao:I634_t19403
ko:K14229	amao:I634_t19405
ko:K14233	amao:I634_t19407
ko:K14237	amao:I634_t19409
ko:K14237	amao:I634_t19411
ko:K14237	amao:I634_t19413
ko:K14218	amao:I634_t19417
ko:K14228	amao:I634_t19431
ko:K14228	amao:I634_t19471
ko:K14228	amao:I634_t19465
ko:K14237	amao:I634_t19437
ko:K14228	amao:I634_t19449
ko:K14228	amao:I634_t19451
ko:K14222	amao:I634_t19453
ko:K14232	amao:I634_t19459
ko:K14226	amao:I634_t19467
ko:K14226	amao:I634_t19473
ko:K14232	amao:I634_t19463
ko:K14232	amao:I634_t19469
ko:K14232	amao:I634_t19477
ko:K14228	amao:I634_t19479
ko:K14234	amao:I634_t19383
ko:K14234	amao:I634_t19481
ko:K14236	amao:I634_t19379
ko:K14236	amao:I634_t19485
ko:K01977	amao:I634_r19507
ko:K01977	amao:I634_r19511
ko:K01977	amao:I634_r19509
ko:K01977	amao:I634_r19505
ko:K01977	amao:I634_r19503
ko:K01980	amao:I634_r19519
ko:K01980	amao:I634_r19521
ko:K08316	amao:I634_17500
ko:K07576	amao:I634_15760
ko:K00666	amao:I634_16180
ko:K03451	amao:I634_00510
ko:K01719	amao:I634_00640
ko:K02010	amao:I634_00720
ko:K03442	amao:I634_00725
ko:K03455	amao:I634_05070
ko:K00575	amao:I634_05210
ko:K06603	amao:I634_05290
ko:K01489	amao:I634_09445
ko:K02238	amao:I634_09490
ko:K11085	amao:I634_09495
ko:K07393	amao:I634_09540
ko:K00241	amao:I634_09565
ko:K02014	amao:I634_09605
ko:K01692	amao:I634_13770
ko:K06970	amao:I634_13805
ko:K01759	amao:I634_13905
ko:K02014	amao:I634_13935
ko:K00567	amao:I634_18300
ko:K01585	amao:I634_18315
ko:K03769	amao:I634_18380
ko:K14227	amao:I634_t19369
ko:K14227	amao:I634_t19489
ko:K14224	amao:I634_t19419
ko:K14224	amao:I634_t19421
ko:K14224	amao:I634_t19423
ko:K15727	amao:I634_00850
ko:K15725	amao:I634_00855
ko:K03406	amao:I634_00960
ko:K00799	amao:I634_00990
ko:K10942	amao:I634_05360
ko:K10943	amao:I634_05365
ko:K02414	amao:I634_05400
ko:K00548	amao:I634_05515
ko:K07386	amao:I634_05560
ko:K07116	amao:I634_09685
ko:K04774	amao:I634_09690
ko:K07126	amao:I634_09905
ko:K02342	amao:I634_18500
ko:K01426	amao:I634_18525
ko:K02454	amao:I634_18640
ko:K02463	amao:I634_18685
ko:K03087	amao:I634_03185
ko:K03406	amao:I634_03230
ko:K01835	amao:I634_07460
ko:K01439	amao:I634_07505
ko:K03455	amao:I634_07610
ko:K07004	amao:I634_11905
ko:K03593	amao:I634_11970
ko:K03442	amao:I634_11980
ko:K03768	amao:I634_12025
ko:K01077	amao:I634_12035
ko:K01077	amao:I634_12040
ko:K00380	amao:I634_16245
ko:K07304	amao:I634_16385
ko:K15460	amao:I634_16455
ko:K01278	amao:I634_16465
ko:K01507	amao:I634_01095
ko:K06889	amao:I634_01145
ko:K01785	amao:I634_01160
ko:K03307	amao:I634_01175
ko:K12279	amao:I634_01240
ko:K12280	amao:I634_01250
ko:K12281	amao:I634_01255
ko:K12282	amao:I634_01260
ko:K12283	amao:I634_01265
ko:K12284	amao:I634_01270
ko:K12276	amao:I634_01275
ko:K12278	amao:I634_01280
ko:K10925	amao:I634_01290
ko:K10924	amao:I634_01295
ko:K10926	amao:I634_01300
ko:K10927	amao:I634_01305
ko:K12285	amao:I634_01310
ko:K12286	amao:I634_01315
ko:K12287	amao:I634_01320
ko:K01571	amao:I634_05595
ko:K01572	amao:I634_05600
ko:K00830	amao:I634_10075
ko:K01262	amao:I634_14435
ko:K00852	amao:I634_14445
ko:K01934	amao:I634_14460
ko:K00058	amao:I634_14470
ko:K00135	amao:I634_18695
ko:K01082	amao:I634_18715
ko:K09898	amao:I634_18740
ko:K07019	amao:I634_18745
ko:K02258	amao:I634_18905
ko:K02274	amao:I634_18910
ko:K06177	amao:I634_03320
ko:K01515	amao:I634_03380
ko:K02014	amao:I634_03450
ko:K02014	amao:I634_03465
ko:K02303	amao:I634_03540
ko:K03406	amao:I634_03550
ko:K15576	amao:I634_03555
ko:K15577	amao:I634_03560
ko:K15578	amao:I634_03565
ko:K02014	amao:I634_07730
ko:K03793	amao:I634_07800
ko:K03606	amao:I634_07835
ko:K01104	amao:I634_07855
ko:K00647	amao:I634_12200
ko:K00657	amao:I634_12240
ko:K00219	amao:I634_12330
ko:K01692	amao:I634_12335
ko:K08305	amao:I634_12430
ko:K02014	amao:I634_16545
ko:K09020	amao:I634_16575
ko:K03317	amao:I634_16730
ko:K02342	amao:I634_16755
ko:K07182	amao:I634_16760
ko:K00564	amao:I634_01400
ko:K00808	amao:I634_01455
ko:K07665	amao:I634_01595
ko:K06177	amao:I634_05950
ko:K07263	amao:I634_05960
ko:K02014	amao:I634_06035
ko:K03386	amao:I634_06060
ko:K01759	amao:I634_06080
ko:K03613	amao:I634_06105
ko:K03612	amao:I634_06110
ko:K03614	amao:I634_06115
ko:K03615	amao:I634_06120
ko:K06149	amao:I634_10285
ko:K03796	amao:I634_10385
ko:K01011	amao:I634_10405
ko:K05812	amao:I634_10415
ko:K02653	amao:I634_14565
ko:K03574	amao:I634_14595
ko:K03442	amao:I634_14795
ko:K04085	amao:I634_19085
ko:K01409	amao:I634_03735
ko:K07657	amao:I634_03800
ko:K00626	amao:I634_08130
ko:K09749	amao:I634_08150
ko:K03469	amao:I634_08235
ko:K02342	amao:I634_08240
ko:K07017	amao:I634_12575
ko:K07263	amao:I634_12585
ko:K00939	amao:I634_12605
ko:K05844	amao:I634_16785
ko:K14683	amao:I634_16820
ko:K01243	amao:I634_03895
ko:K03406	amao:I634_03925
ko:K01525	amao:I634_03930
ko:K04763	amao:I634_03965
ko:K04765	amao:I634_04015
ko:K02348	amao:I634_08325
ko:K06179	amao:I634_08345
ko:K00059	amao:I634_08385
ko:K02619	amao:I634_08400
ko:K00626	amao:I634_08470
ko:K00045	amao:I634_08505
ko:K07167	amao:I634_12725
ko:K03803	amao:I634_12900
ko:K01916	amao:I634_12960
ko:K01113	amao:I634_17140
ko:K06282	amao:I634_01730
ko:K06281	amao:I634_01735
ko:K04652	amao:I634_01755
ko:K04655	amao:I634_01770
ko:K15725	amao:I634_01840
ko:K03616	amao:I634_06125
ko:K03617	amao:I634_06130
ko:K01082	amao:I634_06200
ko:K03307	amao:I634_06215
ko:K07114	amao:I634_06245
ko:K07114	amao:I634_06250
ko:K01782	amao:I634_06275
ko:K00124	amao:I634_06300
ko:K02014	amao:I634_06360
ko:K00127	amao:I634_06365
ko:K00124	amao:I634_06370
ko:K11179	amao:I634_10575
ko:K08992	amao:I634_10650
ko:K00568	amao:I634_10690
ko:K00219	amao:I634_14855
ko:K00799	amao:I634_14870
ko:K04063	amao:I634_14880
ko:K07304	amao:I634_14885
ko:K00616	amao:I634_14930
ko:K00121	amao:I634_14975
ko:K03325	amao:I634_15000
ko:K00799	amao:I634_19240
ko:K02116	amao:I634_19290
ko:K01664	amao:I634_02475
ko:K02665	amao:I634_02530
ko:K00027	amao:I634_02555
ko:K11209	amao:I634_02570
ko:K07640	amao:I634_02645
ko:K01048	amao:I634_02650
ko:K02004	amao:I634_06945
