ko:K19296	ppuh:B479_22200
ko:K03735	ppuh:B479_03220
ko:K02558	ppuh:B479_03240
ko:K03186	ppuh:B479_03245
ko:K00627	ppuh:B479_03275
ko:K07090	ppuh:B479_07250
ko:K01626	ppuh:B479_07265
ko:K05592	ppuh:B479_07275
ko:K03799	ppuh:B479_07290
ko:K14260	ppuh:B479_07295
ko:K00432	ppuh:B479_07305
ko:K06923	ppuh:B479_07315
ko:K07347	ppuh:B479_07335
ko:K07345	ppuh:B479_07355
ko:K09928	ppuh:B479_07390
ko:K03561	ppuh:B479_07400
ko:K00912	ppuh:B479_07410
ko:K09791	ppuh:B479_07415
ko:K00979	ppuh:B479_07420
ko:K00075	ppuh:B479_07430
ko:K08300	ppuh:B479_07435
ko:K01091	ppuh:B479_07445
ko:K04773	ppuh:B479_07450
ko:K07040	ppuh:B479_07460
ko:K02911	ppuh:B479_07465
ko:K03621	ppuh:B479_07470
ko:K00645	ppuh:B479_07475
ko:K02078	ppuh:B479_07485
ko:K08984	ppuh:B479_11630
ko:K11735	ppuh:B479_11660
ko:K08688	ppuh:B479_11675
ko:K00134	ppuh:B479_11705
ko:K13794	ppuh:B479_11725
ko:K13796	ppuh:B479_11730
ko:K13795	ppuh:B479_11735
ko:K03300	ppuh:B479_11755
ko:K03088	ppuh:B479_11785
ko:K01649	ppuh:B479_11805
ko:K13633	ppuh:B479_11815
ko:K00077	ppuh:B479_11840
ko:K00014	ppuh:B479_11860
ko:K07395	ppuh:B479_11865
ko:K11477	ppuh:B479_15990
ko:K01638	ppuh:B479_15995
ko:K00375	ppuh:B479_16005
ko:K03449	ppuh:B479_16010
ko:K00074	ppuh:B479_16035
ko:K03412	ppuh:B479_16055
ko:K00014	ppuh:B479_16100
ko:K07262	ppuh:B479_16150
ko:K09817	ppuh:B479_16190
ko:K09816	ppuh:B479_16195
ko:K01433	ppuh:B479_16230
ko:K01491	ppuh:B479_16235
ko:K00303	ppuh:B479_16240
ko:K00305	ppuh:B479_16255
ko:K03640	ppuh:B479_20275
ko:K03641	ppuh:B479_20280
ko:K03562	ppuh:B479_20295
ko:K01075	ppuh:B479_20300
ko:K03551	ppuh:B479_20305
ko:K03550	ppuh:B479_20310
ko:K01159	ppuh:B479_20315
ko:K01876	ppuh:B479_20325
ko:K04047	ppuh:B479_20340
ko:K03704	ppuh:B479_20345
ko:K03745	ppuh:B479_20350
ko:K01881	ppuh:B479_20365
ko:K02346	ppuh:B479_20375
ko:K14205	ppuh:B479_20380
ko:K03549	ppuh:B479_20390
ko:K14441	ppuh:B479_20395
ko:K03827	ppuh:B479_20420
ko:K06182	ppuh:B479_20425
ko:K11103	ppuh:B479_20440
ko:K07637	ppuh:B479_20445
ko:K02362	ppuh:B479_20465
ko:K07639	ppuh:B479_20470
ko:K07661	ppuh:B479_20475
ko:K07006	ppuh:B479_20520
ko:K07039	ppuh:B479_20530
ko:K07039	ppuh:B479_20535
ko:K03183	ppuh:B479_24515
ko:K03690	ppuh:B479_24520
ko:K03688	ppuh:B479_24525
ko:K03116	ppuh:B479_24540
ko:K03117	ppuh:B479_24545
ko:K03118	ppuh:B479_24550
ko:K03669	ppuh:B479_24585
ko:K03670	ppuh:B479_24590
ko:K07560	ppuh:B479_24595
ko:K01468	ppuh:B479_24615
ko:K01745	ppuh:B479_24625
ko:K01712	ppuh:B479_24630
ko:K09975	ppuh:B479_24635
ko:K05836	ppuh:B479_24640
ko:K03098	ppuh:B479_24650
ko:K03841	ppuh:B479_24665
ko:K00688	ppuh:B479_24670
ko:K06940	ppuh:B479_24675
ko:K06207	ppuh:B479_24700
ko:K03151	ppuh:B479_24705
ko:K01915	ppuh:B479_24710
ko:K07708	ppuh:B479_24720
ko:K07712	ppuh:B479_24725
ko:K03216	ppuh:B479_24735
ko:K03071	ppuh:B479_24740
ko:K15633	ppuh:B479_24755
ko:K01870	ppuh:B479_03540
ko:K03101	ppuh:B479_03545
ko:K03774	ppuh:B479_03550
ko:K03527	ppuh:B479_03555
ko:K08084	ppuh:B479_03560
ko:K02671	ppuh:B479_03565
ko:K02672	ppuh:B479_03570
ko:K02673	ppuh:B479_03575
ko:K02655	ppuh:B479_03580
ko:K06950	ppuh:B479_03590
ko:K05807	ppuh:B479_03595
ko:K06180	ppuh:B479_03600
ko:K05810	ppuh:B479_03605
ko:K03695	ppuh:B479_03610
ko:K03885	ppuh:B479_03615
ko:K09862	ppuh:B479_03640
ko:K00859	ppuh:B479_03645
ko:K02654	ppuh:B479_03650
ko:K03893	ppuh:B479_03700
ko:K00024	ppuh:B479_03725
ko:K02029	ppuh:B479_03730
ko:K01733	ppuh:B479_03760
ko:K00003	ppuh:B479_03770
ko:K12262	ppuh:B479_07725
ko:K09977	ppuh:B479_07730
ko:K00858	ppuh:B479_07735
ko:K09916	ppuh:B479_07750
ko:K01256	ppuh:B479_07760
ko:K03547	ppuh:B479_07795
ko:K03924	ppuh:B479_07855
ko:K05782	ppuh:B479_07870
ko:K00375	ppuh:B479_07875
ko:K01714	ppuh:B479_07880
ko:K01628	ppuh:B479_07885
ko:K07107	ppuh:B479_07955
ko:K13639	ppuh:B479_07975
ko:K03827	ppuh:B479_07995
ko:K01586	ppuh:B479_08000
ko:K03188	ppuh:B479_12170
ko:K03189	ppuh:B479_12175
ko:K03811	ppuh:B479_12225
ko:K06153	ppuh:B479_12235
ko:K01118	ppuh:B479_12255
ko:K03885	ppuh:B479_12260
ko:K15268	ppuh:B479_12285
ko:K14347	ppuh:B479_12315
ko:K03781	ppuh:B479_12355
ko:K03088	ppuh:B479_12360
ko:K07090	ppuh:B479_16685
ko:K06987	ppuh:B479_20805
ko:K03724	ppuh:B479_20810
ko:K01494	ppuh:B479_20825
ko:K03704	ppuh:B479_20830
ko:K01874	ppuh:B479_20840
ko:K10773	ppuh:B479_20865
ko:K07690	ppuh:B479_20875
ko:K01940	ppuh:B479_20885
ko:K01465	ppuh:B479_20895
ko:K03683	ppuh:B479_20900
ko:K02192	ppuh:B479_20915
ko:K03594	ppuh:B479_20920
ko:K07390	ppuh:B479_20925
ko:K00611	ppuh:B479_20935
ko:K02440	ppuh:B479_20950
ko:K00864	ppuh:B479_20955
ko:K02444	ppuh:B479_20960
ko:K00111	ppuh:B479_20965
ko:K10001	ppuh:B479_20975
ko:K10003	ppuh:B479_20980
ko:K10002	ppuh:B479_20985
ko:K10004	ppuh:B479_20990
ko:K03760	ppuh:B479_00445
ko:K16264	ppuh:B479_00450
ko:K07644	ppuh:B479_00470
ko:K01534	ppuh:B479_00520
ko:K15726	ppuh:B479_00530
ko:K07090	ppuh:B479_00600
ko:K00655	ppuh:B479_00620
ko:K03273	ppuh:B479_00625
ko:K01879	ppuh:B479_00630
ko:K01878	ppuh:B479_00635
ko:K01246	ppuh:B479_00640
ko:K02517	ppuh:B479_00645
ko:K03500	ppuh:B479_00660
ko:K00604	ppuh:B479_00665
ko:K01008	ppuh:B479_04600
ko:K02044	ppuh:B479_04605
ko:K02041	ppuh:B479_04610
ko:K02042	ppuh:B479_04615
ko:K02042	ppuh:B479_04620
ko:K00285	ppuh:B479_04645
ko:K02442	ppuh:B479_21005
ko:K03576	ppuh:B479_21015
ko:K03724	ppuh:B479_21025
ko:K07267	ppuh:B479_21070
ko:K00154	ppuh:B479_25070
ko:K00954	ppuh:B479_25085
ko:K05520	ppuh:B479_25105
ko:K06969	ppuh:B479_25110
ko:K01687	ppuh:B479_25115
ko:K01118	ppuh:B479_25125
ko:K06956	ppuh:B479_25135
ko:K02012	ppuh:B479_25160
ko:K02011	ppuh:B479_25165
ko:K01534	ppuh:B479_25180
ko:K13292	ppuh:B479_25195
ko:K08484	ppuh:B479_25210
ko:K08311	ppuh:B479_25215
ko:K01754	ppuh:B479_25230
ko:K01807	ppuh:B479_25235
ko:K07394	ppuh:B479_25280
ko:K06942	ppuh:B479_04100
ko:K01056	ppuh:B479_04105
ko:K02897	ppuh:B479_04110
ko:K00948	ppuh:B479_04115
ko:K00919	ppuh:B479_04120
ko:K02494	ppuh:B479_04125
ko:K02492	ppuh:B479_04155
ko:K02835	ppuh:B479_04160
ko:K02493	ppuh:B479_04165
ko:K01776	ppuh:B479_04175
ko:K01669	ppuh:B479_04190
ko:K06955	ppuh:B479_04205
ko:K07071	ppuh:B479_04210
ko:K01772	ppuh:B479_04215
ko:K00761	ppuh:B479_04225
ko:K00760	ppuh:B479_04230
ko:K00116	ppuh:B479_04250
ko:K07286	ppuh:B479_04260
ko:K03556	ppuh:B479_04325
ko:K08309	ppuh:B479_08280
ko:K15738	ppuh:B479_08285
ko:K01825	ppuh:B479_08300
ko:K03168	ppuh:B479_08315
ko:K01356	ppuh:B479_08330
ko:K01207	ppuh:B479_08345
ko:K03723	ppuh:B479_08365
ko:K00134	ppuh:B479_08370
ko:K03734	ppuh:B479_08375
ko:K00322	ppuh:B479_08380
ko:K01126	ppuh:B479_08385
ko:K09808	ppuh:B479_08395
ko:K09808	ppuh:B479_08405
ko:K07644	ppuh:B479_08410
ko:K06879	ppuh:B479_08420
ko:K04754	ppuh:B479_08435
ko:K05539	ppuh:B479_08465
ko:K10857	ppuh:B479_08510
ko:K00019	ppuh:B479_12720
ko:K13895	ppuh:B479_12740
ko:K13894	ppuh:B479_12745
ko:K13893	ppuh:B479_12750
ko:K01626	ppuh:B479_12760
ko:K01150	ppuh:B479_12775
ko:K01652	ppuh:B479_12795
ko:K07112	ppuh:B479_12825
ko:K07112	ppuh:B479_12830
ko:K07001	ppuh:B479_12840
ko:K14189	ppuh:B479_12895
ko:K07124	ppuh:B479_12900
ko:K15034	ppuh:B479_12965
ko:K03426	ppuh:B479_17085
ko:K03314	ppuh:B479_17095
ko:K03098	ppuh:B479_17105
ko:K01464	ppuh:B479_17135
ko:K00036	ppuh:B479_17160
ko:K00703	ppuh:B479_17175
ko:K01236	ppuh:B479_17180
ko:K00705	ppuh:B479_17185
ko:K06044	ppuh:B479_17190
ko:K05343	ppuh:B479_17220
ko:K16147	ppuh:B479_17225
ko:K01969	ppuh:B479_17245
ko:K13766	ppuh:B479_17250
ko:K01968	ppuh:B479_17255
ko:K00615	ppuh:B479_17300
ko:K00615	ppuh:B479_17305
ko:K02029	ppuh:B479_17315
ko:K02029	ppuh:B479_17320
ko:K11891	ppuh:B479_17350
ko:K08988	ppuh:B479_21360
ko:K05349	ppuh:B479_21365
ko:K10125	ppuh:B479_21370
ko:K10126	ppuh:B479_21375
ko:K01652	ppuh:B479_21415
ko:K07118	ppuh:B479_21425
ko:K03577	ppuh:B479_21450
ko:K03585	ppuh:B479_21455
ko:K01055	ppuh:B479_21490
ko:K01857	ppuh:B479_21495
ko:K07823	ppuh:B479_21505
ko:K01040	ppuh:B479_21510
ko:K08195	ppuh:B479_21520
ko:K02624	ppuh:B479_21525
ko:K16322	ppuh:B479_21535
ko:K06915	ppuh:B479_21540
ko:K01433	ppuh:B479_21565
ko:K01141	ppuh:B479_21575
ko:K00873	ppuh:B479_21590
ko:K01676	ppuh:B479_21600
ko:K01993	ppuh:B479_25570
ko:K13926	ppuh:B479_25575
ko:K02415	ppuh:B479_25590
ko:K03182	ppuh:B479_25610
ko:K03628	ppuh:B479_25615
ko:K03671	ppuh:B479_25620
ko:K01524	ppuh:B479_25625
ko:K00937	ppuh:B479_25630
ko:K09768	ppuh:B479_25650
ko:K05851	ppuh:B479_25655
ko:K06140	ppuh:B479_25660
ko:K06202	ppuh:B479_25670
ko:K01586	ppuh:B479_25680
ko:K01778	ppuh:B479_25685
ko:K09921	ppuh:B479_25690
ko:K03733	ppuh:B479_25695
ko:K03320	ppuh:B479_25710
ko:K04752	ppuh:B479_25715
ko:K07391	ppuh:B479_25730
ko:K07568	ppuh:B479_04655
ko:K00773	ppuh:B479_04660
ko:K03210	ppuh:B479_04665
ko:K03072	ppuh:B479_04670
ko:K03074	ppuh:B479_04675
ko:K15396	ppuh:B479_04690
ko:K00640	ppuh:B479_04695
ko:K13643	ppuh:B479_04700
ko:K04487	ppuh:B479_04705
ko:K04082	ppuh:B479_04720
ko:K04044	ppuh:B479_04725
ko:K04755	ppuh:B479_04730
ko:K00940	ppuh:B479_04740
ko:K06941	ppuh:B479_04745
ko:K02656	ppuh:B479_04750
ko:K15539	ppuh:B479_04755
ko:K01892	ppuh:B479_04765
ko:K03977	ppuh:B479_04780
ko:K14287	ppuh:B479_04790
ko:K16090	ppuh:B479_04805
ko:K01581	ppuh:B479_04820
ko:K03088	ppuh:B479_04825
ko:K16091	ppuh:B479_04835
ko:K05847	ppuh:B479_04840
ko:K05846	ppuh:B479_04845
ko:K05845	ppuh:B479_04850
ko:K05846	ppuh:B479_04855
ko:K00123	ppuh:B479_08870
ko:K00126	ppuh:B479_08875
ko:K06169	ppuh:B479_08885
ko:K06916	ppuh:B479_08940
ko:K08303	ppuh:B479_08975
ko:K05306	ppuh:B479_08985
ko:K03430	ppuh:B479_08990
ko:K01895	ppuh:B479_09015
ko:K06204	ppuh:B479_09050
ko:K05564	ppuh:B479_09075
ko:K05563	ppuh:B479_09080
ko:K05562	ppuh:B479_09085
ko:K05561	ppuh:B479_09090
ko:K05560	ppuh:B479_09095
ko:K05559	ppuh:B479_09100
ko:K11939	ppuh:B479_09155
ko:K06048	ppuh:B479_13280
ko:K03301	ppuh:B479_13305
ko:K07223	ppuh:B479_13315
ko:K03453	ppuh:B479_13320
ko:K15746	ppuh:B479_13325
ko:K08995	ppuh:B479_13340
ko:K03707	ppuh:B479_13360
ko:K03707	ppuh:B479_13365
ko:K00865	ppuh:B479_13395
ko:K02647	ppuh:B479_13400
ko:K07038	ppuh:B479_13435
ko:K05782	ppuh:B479_13445
ko:K03381	ppuh:B479_13450
ko:K05548	ppuh:B479_13455
ko:K05783	ppuh:B479_13460
ko:K05784	ppuh:B479_13465
ko:K05550	ppuh:B479_13470
ko:K05549	ppuh:B479_13475
ko:K08324	ppuh:B479_13530
ko:K08307	ppuh:B479_17640
ko:K13893	ppuh:B479_17645
ko:K13893	ppuh:B479_17650
ko:K13894	ppuh:B479_17655
ko:K13895	ppuh:B479_17660
ko:K13896	ppuh:B479_17665
ko:K07667	ppuh:B479_17710
ko:K07646	ppuh:B479_17715
ko:K01548	ppuh:B479_17720
ko:K01547	ppuh:B479_17725
ko:K01546	ppuh:B479_17730
ko:K08296	ppuh:B479_17760
ko:K00057	ppuh:B479_17770
ko:K01716	ppuh:B479_17790
ko:K06911	ppuh:B479_17805
ko:K04079	ppuh:B479_17815
ko:K03311	ppuh:B479_17840
ko:K01902	ppuh:B479_17845
ko:K01903	ppuh:B479_17850
ko:K00382	ppuh:B479_17855
ko:K00658	ppuh:B479_17860
ko:K00164	ppuh:B479_17865
ko:K00240	ppuh:B479_17870
ko:K00239	ppuh:B479_17875
ko:K03531	ppuh:B479_21885
ko:K03590	ppuh:B479_21890
ko:K03589	ppuh:B479_21895
ko:K01921	ppuh:B479_21900
ko:K01924	ppuh:B479_21905
ko:K02563	ppuh:B479_21910
ko:K03588	ppuh:B479_21915
ko:K01925	ppuh:B479_21920
ko:K01000	ppuh:B479_21925
ko:K01929	ppuh:B479_21930
ko:K01928	ppuh:B479_21935
ko:K03587	ppuh:B479_21940
ko:K03586	ppuh:B479_21945
ko:K03438	ppuh:B479_21950
ko:K03925	ppuh:B479_21955
ko:K07056	ppuh:B479_21960
ko:K07121	ppuh:B479_21965
ko:K07460	ppuh:B479_21970
ko:K03271	ppuh:B479_21975
ko:K03600	ppuh:B479_21990
ko:K03599	ppuh:B479_21995
ko:K00413	ppuh:B479_22000
ko:K00412	ppuh:B479_22005
ko:K00411	ppuh:B479_22010
ko:K02996	ppuh:B479_22015
ko:K02871	ppuh:B479_22020
ko:K06916	ppuh:B479_22035
ko:K01867	ppuh:B479_22040
ko:K07018	ppuh:B479_22045
ko:K09908	ppuh:B479_22050
ko:K01761	ppuh:B479_22055
ko:K00955	ppuh:B479_22075
ko:K00957	ppuh:B479_22080
ko:K04691	ppuh:B479_22090
ko:K09972	ppuh:B479_22095
ko:K09971	ppuh:B479_22100
ko:K09970	ppuh:B479_22105
ko:K09969	ppuh:B479_22110
ko:K06999	ppuh:B479_22115
ko:K03636	ppuh:B479_22125
ko:K03637	ppuh:B479_22130
ko:K06940	ppuh:B479_26105
ko:K06995	ppuh:B479_26145
ko:K02913	ppuh:B479_26150
ko:K02902	ppuh:B479_26155
ko:K03630	ppuh:B479_26165
ko:K13038	ppuh:B479_26170
ko:K15778	ppuh:B479_26180
ko:K00930	ppuh:B479_26185
ko:K00762	ppuh:B479_26190
ko:K01142	ppuh:B479_26195
ko:K09940	ppuh:B479_26200
ko:K00989	ppuh:B479_26205
ko:K00942	ppuh:B479_26215
ko:K07010	ppuh:B479_26225
ko:K01915	ppuh:B479_26230
ko:K03060	ppuh:B479_26240
ko:K03561	ppuh:B479_26265
ko:K03832	ppuh:B479_26275
ko:K04761	ppuh:B479_26280
ko:K03655	ppuh:B479_26285
ko:K05787	ppuh:B479_26300
ko:K05297	ppuh:B479_26305
ko:K03181	ppuh:B479_26315
ko:K03179	ppuh:B479_26320
ko:K07636	ppuh:B479_26335
ko:K02039	ppuh:B479_26355
ko:K02036	ppuh:B479_26360
ko:K02038	ppuh:B479_26365
ko:K02037	ppuh:B479_26370
ko:K02040	ppuh:B479_26375
ko:K11720	ppuh:B479_05210
ko:K03704	ppuh:B479_05220
ko:K00605	ppuh:B479_05225
ko:K01752	ppuh:B479_05230
ko:K00281	ppuh:B479_05235
ko:K02437	ppuh:B479_05240
ko:K03312	ppuh:B479_05260
ko:K00926	ppuh:B479_05275
ko:K00611	ppuh:B479_05280
ko:K03758	ppuh:B479_05290
ko:K03758	ppuh:B479_05295
ko:K09790	ppuh:B479_05300
ko:K16087	ppuh:B479_05310
ko:K00134	ppuh:B479_05325
ko:K01690	ppuh:B479_05330
ko:K07267	ppuh:B479_05375
ko:K15977	ppuh:B479_09385
ko:K04760	ppuh:B479_09395
ko:K02003	ppuh:B479_09405
ko:K10804	ppuh:B479_09410
ko:K06975	ppuh:B479_09430
ko:K01626	ppuh:B479_09435
ko:K00077	ppuh:B479_09440
ko:K13634	ppuh:B479_09450
ko:K00390	ppuh:B479_09455
ko:K01665	ppuh:B479_09460
ko:K01720	ppuh:B479_09505
ko:K01682	ppuh:B479_09510
ko:K06938	ppuh:B479_09515
ko:K01737	ppuh:B479_09520
ko:K07168	ppuh:B479_09550
ko:K01908	ppuh:B479_09560
ko:K06916	ppuh:B479_09565
ko:K09794	ppuh:B479_09575
ko:K07347	ppuh:B479_09620
ko:K08223	ppuh:B479_09640
ko:K13954	ppuh:B479_13860
ko:K00137	ppuh:B479_13870
ko:K00836	ppuh:B479_13875
ko:K14393	ppuh:B479_13890
ko:K02688	ppuh:B479_13925
ko:K13928	ppuh:B479_13995
ko:K11901	ppuh:B479_14090
ko:K00406	ppuh:B479_18145
ko:K09926	ppuh:B479_18155
ko:K09792	ppuh:B479_18170
ko:K00759	ppuh:B479_18185
ko:K06187	ppuh:B479_18190
ko:K09747	ppuh:B479_18195
ko:K02343	ppuh:B479_18200
ko:K01972	ppuh:B479_18235
ko:K03528	ppuh:B479_18240
ko:K03529	ppuh:B479_18245
ko:K13481	ppuh:B479_18255
ko:K13482	ppuh:B479_18260
ko:K07402	ppuh:B479_18265
ko:K06188	ppuh:B479_18275
ko:K06901	ppuh:B479_18285
ko:K07127	ppuh:B479_18295
ko:K01483	ppuh:B479_18310
ko:K09781	ppuh:B479_18335
ko:K01608	ppuh:B479_18350
ko:K00873	ppuh:B479_18370
ko:K08717	ppuh:B479_18375
ko:K10716	ppuh:B479_18385
ko:K02048	ppuh:B479_18390
ko:K06969	ppuh:B479_18395
ko:K09932	ppuh:B479_22420
ko:K13938	ppuh:B479_22425
ko:K09948	ppuh:B479_22430
ko:K00209	ppuh:B479_22445
ko:K00549	ppuh:B479_22465
ko:K00297	ppuh:B479_22470
ko:K06200	ppuh:B479_22485
ko:K04485	ppuh:B479_22500
ko:K03282	ppuh:B479_22505
ko:K00528	ppuh:B479_22510
ko:K00426	ppuh:B479_22530
ko:K00425	ppuh:B479_22535
ko:K06901	ppuh:B479_22545
ko:K00448	ppuh:B479_22555
ko:K00449	ppuh:B479_22560
ko:K03923	ppuh:B479_22585
ko:K07090	ppuh:B479_22595
ko:K00995	ppuh:B479_22605
ko:K00981	ppuh:B479_22630
ko:K06995	ppuh:B479_22645
ko:K00140	ppuh:B479_22670
ko:K08312	ppuh:B479_01735
ko:K10126	ppuh:B479_01750
ko:K10125	ppuh:B479_01755
ko:K01790	ppuh:B479_01760
ko:K10536	ppuh:B479_01765
ko:K02029	ppuh:B479_01820
ko:K02029	ppuh:B479_01825
ko:K11735	ppuh:B479_01840
ko:K03575	ppuh:B479_01865
ko:K07289	ppuh:B479_01870
ko:K01693	ppuh:B479_01880
ko:K02501	ppuh:B479_01885
ko:K01814	ppuh:B479_01895
ko:K02500	ppuh:B479_01900
ko:K02000	ppuh:B479_01905
ko:K02001	ppuh:B479_01910
ko:K02002	ppuh:B479_01915
ko:K01752	ppuh:B479_01920
ko:K07107	ppuh:B479_01935
ko:K02002	ppuh:B479_01950
ko:K00631	ppuh:B479_05930
ko:K03704	ppuh:B479_05935
ko:K00563	ppuh:B479_05945
ko:K02426	ppuh:B479_05965
ko:K01766	ppuh:B479_05970
ko:K07726	ppuh:B479_05985
ko:K14267	ppuh:B479_05995
ko:K00990	ppuh:B479_06000
ko:K01265	ppuh:B479_06005
ko:K02967	ppuh:B479_06010
ko:K02357	ppuh:B479_06015
ko:K09903	ppuh:B479_06020
ko:K02838	ppuh:B479_06025
ko:K00806	ppuh:B479_06030
ko:K00981	ppuh:B479_06035
ko:K00099	ppuh:B479_06040
ko:K11749	ppuh:B479_06045
ko:K07277	ppuh:B479_06050
ko:K06142	ppuh:B479_06055
ko:K13788	ppuh:B479_04360
ko:K03775	ppuh:B479_04370
ko:K00432	ppuh:B479_04375
ko:K06203	ppuh:B479_04400
ko:K00767	ppuh:B479_04410
ko:K03806	ppuh:B479_04420
ko:K03807	ppuh:B479_04425
ko:K03424	ppuh:B479_04430
ko:K03435	ppuh:B479_04435
ko:K02769	ppuh:B479_04450
ko:K02770	ppuh:B479_04450
ko:K09954	ppuh:B479_04455
ko:K07644	ppuh:B479_04480
ko:K03415	ppuh:B479_04510
ko:K12266	ppuh:B479_04515
ko:K05916	ppuh:B479_04520
ko:K03611	ppuh:B479_04525
ko:K02297	ppuh:B479_04530
ko:K02298	ppuh:B479_04535
ko:K02299	ppuh:B479_04540
ko:K02300	ppuh:B479_04545
ko:K14261	ppuh:B479_04555
ko:K06940	ppuh:B479_04565
ko:K06917	ppuh:B479_04595
ko:K13652	ppuh:B479_08780
ko:K09962	ppuh:B479_08825
ko:K07516	ppuh:B479_13010
ko:K01053	ppuh:B479_13050
ko:K02616	ppuh:B479_13090
ko:K02617	ppuh:B479_13095
ko:K15866	ppuh:B479_13105
ko:K00074	ppuh:B479_13110
ko:K01912	ppuh:B479_13125
ko:K02609	ppuh:B479_13130
ko:K02610	ppuh:B479_13135
ko:K02611	ppuh:B479_13140
ko:K02612	ppuh:B479_13145
ko:K02613	ppuh:B479_13150
ko:K14393	ppuh:B479_13160
ko:K02618	ppuh:B479_13170
ko:K13924	ppuh:B479_13185
ko:K10979	ppuh:B479_13265
ko:K11910	ppuh:B479_17355
ko:K11909	ppuh:B479_17360
ko:K11901	ppuh:B479_17365
ko:K11900	ppuh:B479_17370
ko:K11892	ppuh:B479_17380
ko:K03703	ppuh:B479_17410
ko:K03306	ppuh:B479_17435
ko:K01462	ppuh:B479_00670
ko:K04096	ppuh:B479_00675
ko:K07566	ppuh:B479_00680
ko:K00228	ppuh:B479_00695
ko:K00014	ppuh:B479_00700
ko:K03321	ppuh:B479_00705
ko:K02002	ppuh:B479_00710
ko:K10253	ppuh:B479_00735
ko:K01695	ppuh:B479_00740
ko:K01696	ppuh:B479_00745
ko:K09165	ppuh:B479_00760
ko:K01091	ppuh:B479_00800
ko:K01414	ppuh:B479_00810
ko:K07070	ppuh:B479_00815
ko:K01673	ppuh:B479_00830
ko:K02275	ppuh:B479_00840
ko:K02276	ppuh:B479_00855
ko:K02259	ppuh:B479_00875
ko:K07152	ppuh:B479_00885
ko:K02073	ppuh:B479_00890
ko:K02072	ppuh:B479_00895
ko:K02071	ppuh:B479_00900
ko:K03781	ppuh:B479_00905
ko:K09816	ppuh:B479_00915
ko:K09817	ppuh:B479_00920
ko:K09823	ppuh:B479_00925
ko:K02204	ppuh:B479_00935
ko:K02837	ppuh:B479_04860
ko:K11073	ppuh:B479_04865
ko:K06995	ppuh:B479_04870
ko:K12372	ppuh:B479_04885
ko:K12371	ppuh:B479_04890
ko:K12370	ppuh:B479_04895
ko:K12369	ppuh:B479_04900
ko:K12368	ppuh:B479_04915
ko:K12368	ppuh:B479_04920
ko:K15011	ppuh:B479_04930
ko:K15012	ppuh:B479_04935
ko:K07088	ppuh:B479_04940
ko:K11734	ppuh:B479_04945
ko:K07301	ppuh:B479_04955
ko:K03642	ppuh:B479_04960
ko:K02434	ppuh:B479_04965
ko:K02435	ppuh:B479_04975
ko:K03569	ppuh:B479_04980
ko:K03570	ppuh:B479_04985
ko:K03571	ppuh:B479_04990
ko:K06287	ppuh:B479_04995
ko:K08301	ppuh:B479_05000
ko:K03568	ppuh:B479_05015
ko:K09889	ppuh:B479_05020
ko:K03592	ppuh:B479_05025
ko:K04564	ppuh:B479_05040
ko:K06958	ppuh:B479_05050
ko:K05808	ppuh:B479_05060
ko:K03092	ppuh:B479_05065
ko:K06861	ppuh:B479_05070
ko:K09774	ppuh:B479_05075
ko:K11719	ppuh:B479_05080
ko:K03270	ppuh:B479_05085
ko:K06041	ppuh:B479_05090
ko:K02065	ppuh:B479_05095
ko:K02066	ppuh:B479_05100
ko:K07323	ppuh:B479_05110
ko:K07122	ppuh:B479_05115
ko:K02471	ppuh:B479_09160
ko:K07090	ppuh:B479_09180
ko:K11103	ppuh:B479_09235
ko:K01491	ppuh:B479_09295
ko:K03545	ppuh:B479_09315
ko:K01358	ppuh:B479_09320
ko:K03544	ppuh:B479_09325
ko:K01338	ppuh:B479_09330
ko:K03530	ppuh:B479_09335
ko:K03770	ppuh:B479_09340
ko:K07001	ppuh:B479_09345
ko:K03424	ppuh:B479_09375
ko:K01915	ppuh:B479_13545
ko:K07726	ppuh:B479_13560
ko:K01752	ppuh:B479_13570
ko:K00640	ppuh:B479_13610
ko:K01991	ppuh:B479_13665
ko:K02106	ppuh:B479_13680
ko:K01029	ppuh:B479_13685
ko:K01028	ppuh:B479_13690
ko:K14161	ppuh:B479_13710
ko:K01356	ppuh:B479_13720
ko:K03657	ppuh:B479_13735
ko:K00242	ppuh:B479_17880
ko:K01647	ppuh:B479_17890
ko:K03522	ppuh:B479_17925
ko:K03521	ppuh:B479_17930
ko:K00311	ppuh:B479_17935
ko:K03088	ppuh:B479_17950
ko:K13888	ppuh:B479_17955
ko:K05685	ppuh:B479_17960
ko:K00836	ppuh:B479_17995
ko:K07141	ppuh:B479_18025
ko:K07402	ppuh:B479_18030
ko:K04084	ppuh:B479_18050
ko:K03805	ppuh:B479_18060
ko:K03088	ppuh:B479_18080
ko:K09913	ppuh:B479_18100
ko:K07020	ppuh:B479_18105
ko:K00404	ppuh:B479_18110
ko:K00405	ppuh:B479_18115
ko:K00407	ppuh:B479_18120
ko:K00406	ppuh:B479_18125
ko:K00404	ppuh:B479_18130
ko:K00405	ppuh:B479_18135
ko:K00407	ppuh:B479_18140
ko:K07175	ppuh:B479_22135
ko:K09861	ppuh:B479_22145
ko:K03543	ppuh:B479_22230
ko:K03088	ppuh:B479_22305
ko:K09918	ppuh:B479_22340
ko:K00263	ppuh:B479_22345
