ko:K19744	psg:G655_05385
ko:K02469	psg:G655_09005
ko:K00831	psg:G655_09010
ko:K14170	psg:G655_09015
ko:K00817	psg:G655_09020
ko:K00800	psg:G655_09025
ko:K00945	psg:G655_09030
ko:K02945	psg:G655_09035
ko:K05788	psg:G655_09040
ko:K05789	psg:G655_09045
ko:K13007	psg:G655_09085
ko:K02237	psg:G655_09095
ko:K00832	psg:G655_09100
ko:K03702	psg:G655_09105
ko:K03446	psg:G655_09110
ko:K03543	psg:G655_09115
ko:K01625	psg:G655_09140
ko:K07107	psg:G655_09145
ko:K05541	psg:G655_09150
ko:K04080	psg:G655_09165
ko:K01703	psg:G655_09190
ko:K01704	psg:G655_09195
ko:K00052	psg:G655_09205
ko:K00133	psg:G655_09210
ko:K06173	psg:G655_09225
ko:K02003	psg:G655_04365
ko:K05838	psg:G655_04380
ko:K07738	psg:G655_04395
ko:K11752	psg:G655_04400
ko:K00793	psg:G655_04405
ko:K14652	psg:G655_04410
ko:K00794	psg:G655_04415
ko:K03625	psg:G655_04420
ko:K00946	psg:G655_04425
ko:K01095	psg:G655_04430
ko:K06985	psg:G655_04440
ko:K01662	psg:G655_04460
ko:K13789	psg:G655_04465
ko:K03602	psg:G655_04470
ko:K06188	psg:G655_04510
ko:K09933	psg:G655_04530
ko:K03975	psg:G655_04535
ko:K03736	psg:G655_04555
ko:K03735	psg:G655_04560
ko:K02558	psg:G655_04580
ko:K03186	psg:G655_04585
ko:K07157	psg:G655_04620
ko:K03652	psg:G655_04630
ko:K00147	psg:G655_04645
ko:K01817	psg:G655_09230
ko:K01963	psg:G655_09235
ko:K11754	psg:G655_09240
ko:K03749	psg:G655_09245
ko:K03558	psg:G655_09250
ko:K00764	psg:G655_09255
ko:K10764	psg:G655_09260
ko:K02453	psg:G655_09270
ko:K02452	psg:G655_09275
ko:K02455	psg:G655_09285
ko:K02456	psg:G655_09290
ko:K02457	psg:G655_09295
ko:K02458	psg:G655_09300
ko:K02459	psg:G655_09305
ko:K02460	psg:G655_09310
ko:K02461	psg:G655_09315
ko:K02462	psg:G655_09320
ko:K09977	psg:G655_09350
ko:K00858	psg:G655_09355
ko:K09916	psg:G655_09370
ko:K01256	psg:G655_09380
ko:K03924	psg:G655_09450
ko:K15371	psg:G655_09460
ko:K00969	psg:G655_04650
ko:K09710	psg:G655_04655
ko:K00783	psg:G655_04660
ko:K05515	psg:G655_04665
ko:K05837	psg:G655_04670
ko:K03642	psg:G655_04680
ko:K09158	psg:G655_04690
ko:K03801	psg:G655_04695
ko:K03644	psg:G655_04700
ko:K09890	psg:G655_04725
ko:K02340	psg:G655_04730
ko:K03643	psg:G655_04735
ko:K01869	psg:G655_04740
ko:K03820	psg:G655_04755
ko:K06189	psg:G655_04760
ko:K07042	psg:G655_04765
ko:K06168	psg:G655_04775
ko:K01845	psg:G655_04790
ko:K00788	psg:G655_04795
ko:K00941	psg:G655_04800
ko:K09456	psg:G655_04815
ko:K01241	psg:G655_04825
ko:K06181	psg:G655_04840
ko:K03579	psg:G655_04875
ko:K09945	psg:G655_04920
ko:K03812	psg:G655_09540
ko:K12297	psg:G655_09545
ko:K07259	psg:G655_09550
ko:K09923	psg:G655_09555
ko:K07690	psg:G655_09560
ko:K01129	psg:G655_09570
ko:K03320	psg:G655_09590
ko:K07006	psg:G655_09605
ko:K03752	psg:G655_09635
ko:K03638	psg:G655_09640
ko:K03750	psg:G655_09645
ko:K00111	psg:G655_09660
ko:K07140	psg:G655_09675
ko:K08309	psg:G655_09685
ko:K15738	psg:G655_09690
ko:K01825	psg:G655_09715
ko:K03168	psg:G655_09730
ko:K01356	psg:G655_09750
ko:K01207	psg:G655_09760
ko:K03723	psg:G655_09775
ko:K00134	psg:G655_09780
ko:K01673	psg:G655_00525
ko:K02275	psg:G655_00535
ko:K02276	psg:G655_00550
ko:K02259	psg:G655_00570
ko:K07152	psg:G655_00580
ko:K11103	psg:G655_00605
ko:K06193	psg:G655_00650
ko:K11735	psg:G655_00655
ko:K00140	psg:G655_00660
ko:K00822	psg:G655_00670
ko:K02057	psg:G655_00690
ko:K02057	psg:G655_00695
ko:K07007	psg:G655_04935
ko:K07690	psg:G655_04940
ko:K07679	psg:G655_04950
ko:K10805	psg:G655_04970
ko:K03530	psg:G655_04980
ko:K15551	psg:G655_04990
ko:K15552	psg:G655_05000
ko:K03119	psg:G655_05005
ko:K02168	psg:G655_05015
ko:K02073	psg:G655_05025
ko:K00425	psg:G655_05030
ko:K00426	psg:G655_05035
ko:K03556	psg:G655_05075
ko:K07175	psg:G655_05085
ko:K03637	psg:G655_05105
ko:K03636	psg:G655_05110
ko:K03638	psg:G655_05120
ko:K00067	psg:G655_27170
ko:K00973	psg:G655_27175
ko:K01790	psg:G655_27180
ko:K10125	psg:G655_27185
ko:K10126	psg:G655_27190
ko:K03758	psg:G655_27210
ko:K00611	psg:G655_27220
ko:K00926	psg:G655_27225
ko:K08312	psg:G655_27250
ko:K03750	psg:G655_05125
ko:K08303	psg:G655_05130
ko:K02837	psg:G655_05180
ko:K16091	psg:G655_05190
ko:K03088	psg:G655_05200
ko:K01465	psg:G655_07165
ko:K01940	psg:G655_07175
ko:K01756	psg:G655_07215
ko:K01756	psg:G655_07220
ko:K10773	psg:G655_07235
ko:K01874	psg:G655_07305
ko:K01494	psg:G655_07315
ko:K01713	psg:G655_07340
ko:K05786	psg:G655_07350
ko:K16053	psg:G655_07375
ko:K08369	psg:G655_07380
ko:K01953	psg:G655_07420
ko:K07090	psg:G655_07430
ko:K15461	psg:G655_07435
ko:K09915	psg:G655_07450
ko:K03387	psg:G655_00705
ko:K05517	psg:G655_00725
ko:K03088	psg:G655_00755
ko:K02623	psg:G655_00775
ko:K00449	psg:G655_00780
ko:K00448	psg:G655_00785
ko:K02624	psg:G655_00790
ko:K16345	psg:G655_00840
ko:K03412	psg:G655_00875
ko:K03411	psg:G655_00880
ko:K03408	psg:G655_00895
ko:K03407	psg:G655_00900
ko:K03413	psg:G655_00905
ko:K15554	psg:G655_00935
ko:K15553	psg:G655_00945
ko:K00324	psg:G655_00980
ko:K00324	psg:G655_00985
ko:K05847	psg:G655_05245
ko:K05846	psg:G655_05250
ko:K05845	psg:G655_05255
ko:K05846	psg:G655_05260
ko:K07673	psg:G655_05315
ko:K02575	psg:G655_05320
ko:K02575	psg:G655_05325
ko:K00370	psg:G655_05330
ko:K00371	psg:G655_05335
ko:K00373	psg:G655_05340
ko:K03639	psg:G655_05355
ko:K10022	psg:G655_05370
ko:K03732	psg:G655_05390
ko:K06999	psg:G655_05400
ko:K09969	psg:G655_05405
ko:K01004	psg:G655_05410
ko:K07461	psg:G655_05425
ko:K06899	psg:G655_05450
ko:K00116	psg:G655_07455
ko:K15553	psg:G655_07470
ko:K15554	psg:G655_07475
ko:K00299	psg:G655_07485
ko:K15553	psg:G655_07490
ko:K15554	psg:G655_07500
ko:K09948	psg:G655_07520
ko:K07589	psg:G655_07525
ko:K01495	psg:G655_07530
ko:K13938	psg:G655_07535
ko:K09932	psg:G655_07540
ko:K06205	psg:G655_07545
ko:K06995	psg:G655_07590
ko:K00263	psg:G655_07625
ko:K00161	psg:G655_07630
ko:K00162	psg:G655_07635
ko:K00627	psg:G655_07640
ko:K09918	psg:G655_07655
ko:K03088	psg:G655_07670
ko:K16152	psg:G655_07680
ko:K12536	psg:G655_07690
ko:K12537	psg:G655_07695
ko:K01993	psg:G655_07715
ko:K00325	psg:G655_00990
ko:K03832	psg:G655_00995
ko:K03561	psg:G655_01000
ko:K07002	psg:G655_01020
ko:K13929	psg:G655_01025
ko:K13930	psg:G655_01030
ko:K13931	psg:G655_01035
ko:K13932	psg:G655_01040
ko:K13933	psg:G655_01045
ko:K13934	psg:G655_01050
ko:K13935	psg:G655_01055
ko:K13928	psg:G655_01070
ko:K01714	psg:G655_01100
ko:K01628	psg:G655_01105
ko:K01040	psg:G655_01120
ko:K07823	psg:G655_01125
ko:K01857	psg:G655_01135
ko:K01055	psg:G655_01140
ko:K08195	psg:G655_01160
ko:K08191	psg:G655_01190
ko:K00457	psg:G655_01200
ko:K00014	psg:G655_01210
ko:K03786	psg:G655_01215
ko:K00481	psg:G655_01225
ko:K03827	psg:G655_01235
ko:K03182	psg:G655_01260
ko:K01873	psg:G655_05535
ko:K02339	psg:G655_05545
ko:K01255	psg:G655_05550
ko:K07091	psg:G655_05565
ko:K11720	psg:G655_05570
ko:K07568	psg:G655_05585
ko:K00773	psg:G655_05590
ko:K03210	psg:G655_05595
ko:K03072	psg:G655_05600
ko:K03074	psg:G655_05605
ko:K15396	psg:G655_05620
ko:K00640	psg:G655_05625
ko:K13643	psg:G655_05630
ko:K04487	psg:G655_05635
ko:K04082	psg:G655_05650
ko:K04044	psg:G655_05655
ko:K04755	psg:G655_05660
ko:K00940	psg:G655_05670
ko:K06941	psg:G655_05675
ko:K02656	psg:G655_05680
ko:K15539	psg:G655_05685
ko:K01892	psg:G655_05695
ko:K03977	psg:G655_05710
ko:K14287	psg:G655_05715
ko:K01649	psg:G655_05745
ko:K00528	psg:G655_07740
ko:K07218	psg:G655_07760
ko:K00376	psg:G655_07765
ko:K02041	psg:G655_07805
ko:K02044	psg:G655_07810
ko:K02042	psg:G655_07815
ko:K02043	psg:G655_07820
ko:K06166	psg:G655_07825
ko:K06165	psg:G655_07830
ko:K06164	psg:G655_07835
ko:K06163	psg:G655_07840
ko:K05781	psg:G655_07845
ko:K05780	psg:G655_07850
ko:K06162	psg:G655_07855
ko:K05774	psg:G655_07860
ko:K06167	psg:G655_07865
ko:K01999	psg:G655_07940
ko:K01753	psg:G655_07975
ko:K01915	psg:G655_07980
ko:K02399	psg:G655_08000
ko:K02398	psg:G655_08005
ko:K02386	psg:G655_08010
ko:K07458	psg:G655_01285
ko:K14268	psg:G655_01340
ko:K00375	psg:G655_01350
ko:K03449	psg:G655_01375
ko:K07387	psg:G655_01395
ko:K07090	psg:G655_01400
ko:K02045	psg:G655_01410
ko:K02047	psg:G655_01415
ko:K02046	psg:G655_01420
ko:K02048	psg:G655_01425
ko:K10536	psg:G655_01470
ko:K12251	psg:G655_01475
ko:K01915	psg:G655_01490
ko:K07010	psg:G655_01495
ko:K01915	psg:G655_01500
ko:K12256	psg:G655_01505
ko:K11073	psg:G655_01510
ko:K11073	psg:G655_01515
ko:K11076	psg:G655_01520
ko:K11075	psg:G655_01525
ko:K11074	psg:G655_01530
ko:K01434	psg:G655_01535
ko:K08641	psg:G655_05800
ko:K03601	psg:G655_05825
ko:K07090	psg:G655_05835
ko:K02379	psg:G655_27270
ko:K07107	psg:G655_27300
ko:K01610	psg:G655_27335
ko:K04083	psg:G655_27340
ko:K04762	psg:G655_27350
ko:K07638	psg:G655_27370
ko:K07659	psg:G655_27375
ko:K06959	psg:G655_27380
ko:K01919	psg:G655_27390
ko:K14682	psg:G655_27395
ko:K01438	psg:G655_27405
ko:K03306	psg:G655_27410
ko:K07220	psg:G655_27415
ko:K07340	psg:G655_27430
ko:K00281	psg:G655_27440
ko:K01951	psg:G655_05865
ko:K07733	psg:G655_05875
ko:K09965	psg:G655_05960
ko:K01952	psg:G655_05970
ko:K02803	psg:G655_05985
ko:K02804	psg:G655_05985
ko:K00820	psg:G655_05995
ko:K01443	psg:G655_06000
ko:K03710	psg:G655_06005
ko:K06938	psg:G655_06030
ko:K08289	psg:G655_06035
ko:K03415	psg:G655_08015
ko:K03654	psg:G655_08040
ko:K07001	psg:G655_08065
ko:K07401	psg:G655_08070
ko:K03274	psg:G655_08075
ko:K02078	psg:G655_08090
ko:K00648	psg:G655_08095
ko:K01358	psg:G655_08130
ko:K07044	psg:G655_08135
ko:K09936	psg:G655_08160
ko:K01114	psg:G655_08165
ko:K02042	psg:G655_08180
ko:K02042	psg:G655_08185
ko:K02041	psg:G655_08190
ko:K02044	psg:G655_08195
ko:K03760	psg:G655_08210
ko:K03580	psg:G655_08220
ko:K03578	psg:G655_08290
ko:K07394	psg:G655_01565
ko:K10009	psg:G655_01580
ko:K02424	psg:G655_01585
ko:K09946	psg:G655_01665
ko:K01807	psg:G655_01670
ko:K01754	psg:G655_01675
ko:K08311	psg:G655_01705
ko:K08484	psg:G655_01710
ko:K07090	psg:G655_01725
ko:K13292	psg:G655_01730
ko:K01126	psg:G655_01760
ko:K07095	psg:G655_01780
ko:K16345	psg:G655_01785
ko:K01687	psg:G655_01790
ko:K06969	psg:G655_01795
ko:K05520	psg:G655_01800
ko:K00954	psg:G655_01845
ko:K03106	psg:G655_06060
ko:K02959	psg:G655_06065
ko:K02860	psg:G655_06070
ko:K00554	psg:G655_06075
ko:K02884	psg:G655_06080
ko:K03981	psg:G655_06105
ko:K00003	psg:G655_06110
ko:K01733	psg:G655_06115
ko:K09980	psg:G655_06135
ko:K07462	psg:G655_06170
ko:K07687	psg:G655_06225
ko:K00316	psg:G655_06230
ko:K13487	psg:G655_06255
ko:K13488	psg:G655_06260
ko:K13486	psg:G655_06265
ko:K13489	psg:G655_06270
ko:K13490	psg:G655_06275
ko:K13491	psg:G655_06280
ko:K11444	psg:G655_06285
ko:K02836	psg:G655_06290
ko:K04567	psg:G655_06295
ko:K01534	psg:G655_06345
ko:K02503	psg:G655_08300
ko:K16872	psg:G655_08355
ko:K03088	psg:G655_08360
ko:K09930	psg:G655_08375
ko:K09929	psg:G655_08380
ko:K09771	psg:G655_08415
ko:K03724	psg:G655_08430
ko:K16091	psg:G655_08450
ko:K03704	psg:G655_08460
ko:K03453	psg:G655_08470
ko:K03554	psg:G655_08475
ko:K03773	psg:G655_08480
ko:K03797	psg:G655_08515
ko:K02053	psg:G655_08535
ko:K02054	psg:G655_08540
ko:K03817	psg:G655_08560
ko:K00154	psg:G655_01860
ko:K03110	psg:G655_01900
ko:K09812	psg:G655_01905
ko:K09811	psg:G655_01910
ko:K03089	psg:G655_01915
ko:K03814	psg:G655_01925
ko:K03154	psg:G655_01935
ko:K03149	psg:G655_01940
ko:K03439	psg:G655_01945
ko:K00641	psg:G655_01985
ko:K09131	psg:G655_01995
ko:K02221	psg:G655_02000
ko:K00286	psg:G655_02005
ko:K06997	psg:G655_02010
ko:K02669	psg:G655_02015
ko:K02670	psg:G655_02020
ko:K16264	psg:G655_02025
ko:K01697	psg:G655_02035
ko:K01465	psg:G655_02045
ko:K00609	psg:G655_02050
ko:K02825	psg:G655_02055
ko:K07447	psg:G655_02060
ko:K07735	psg:G655_02065
ko:K03832	psg:G655_02070
ko:K01920	psg:G655_02075
ko:K06597	psg:G655_02110
ko:K06598	psg:G655_02115
ko:K01595	psg:G655_06360
ko:K15984	psg:G655_06395
ko:K09914	psg:G655_06425
ko:K00631	psg:G655_06430
ko:K02426	psg:G655_06455
ko:K01766	psg:G655_06460
ko:K06940	psg:G655_06480
ko:K14267	psg:G655_06500
ko:K00990	psg:G655_06505
ko:K01265	psg:G655_06510
ko:K02967	psg:G655_06515
ko:K02357	psg:G655_06520
ko:K09903	psg:G655_06525
ko:K02838	psg:G655_06530
ko:K00806	psg:G655_06535
ko:K00981	psg:G655_06540
ko:K00099	psg:G655_06545
ko:K11749	psg:G655_06550
ko:K07277	psg:G655_06555
ko:K06142	psg:G655_06560
ko:K02536	psg:G655_06565
ko:K02372	psg:G655_06570
ko:K00677	psg:G655_06575
ko:K00748	psg:G655_06580
ko:K03470	psg:G655_06585
ko:K03310	psg:G655_06590
ko:K02337	psg:G655_06595
ko:K01962	psg:G655_06600
ko:K04075	psg:G655_06605
ko:K01937	psg:G655_06610
ko:K01627	psg:G655_06615
ko:K01689	psg:G655_06620
ko:K03608	psg:G655_08575
ko:K03609	psg:G655_08580
ko:K03610	psg:G655_08585
ko:K02517	psg:G655_08590
ko:K07001	psg:G655_08595
ko:K06911	psg:G655_08600
ko:K04754	psg:G655_08605
ko:K02002	psg:G655_08620
ko:K14393	psg:G655_08630
ko:K09919	psg:G655_08650
ko:K01118	psg:G655_08685
ko:K07396	psg:G655_08690
ko:K02437	psg:G655_08695
ko:K09761	psg:G655_02135
ko:K00833	psg:G655_02140
ko:K03585	psg:G655_02165
ko:K11927	psg:G655_02180
ko:K00297	psg:G655_02190
ko:K01251	psg:G655_02200
ko:K10974	psg:G655_02230
ko:K01464	psg:G655_02245
ko:K06016	psg:G655_02255
ko:K00252	psg:G655_02265
ko:K03306	psg:G655_02280
ko:K07403	psg:G655_02285
ko:K05591	psg:G655_02305
ko:K03704	psg:G655_02310
ko:K03696	psg:G655_02325
ko:K07663	psg:G655_02345
ko:K07641	psg:G655_02350
ko:K06143	psg:G655_02355
ko:K03088	psg:G655_02395
ko:K05589	psg:G655_06625
ko:K00991	psg:G655_06630
ko:K07112	psg:G655_06640
ko:K01070	psg:G655_06655
ko:K01770	psg:G655_06660
ko:K06176	psg:G655_06665
ko:K03787	psg:G655_06670
ko:K00573	psg:G655_06675
ko:K06194	psg:G655_06680
ko:K03555	psg:G655_06695
ko:K03565	psg:G655_06715
ko:K06966	psg:G655_06720
ko:K09007	psg:G655_29110
ko:K01465	psg:G655_29120
ko:K07080	psg:G655_29140
ko:K00574	psg:G655_29145
ko:K00820	psg:G655_29160
ko:K04042	psg:G655_29175
ko:K02114	psg:G655_29180
ko:K02112	psg:G655_29185
ko:K02115	psg:G655_29190
ko:K02111	psg:G655_29195
ko:K02113	psg:G655_29200
ko:K02109	psg:G655_29205
ko:K02110	psg:G655_29210
ko:K02108	psg:G655_29215
ko:K03501	psg:G655_29235
ko:K03495	psg:G655_29240
ko:K03650	psg:G655_29250
ko:K03217	psg:G655_29255
ko:K03536	psg:G655_29260
ko:K02914	psg:G655_29265
ko:K01992	psg:G655_04490
ko:K09954	psg:G655_06735
ko:K00901	psg:G655_06780
ko:K02909	psg:G655_06790
ko:K02919	psg:G655_06795
ko:K10778	psg:G655_06815
ko:K00074	psg:G655_06845
ko:K03576	psg:G655_06860
ko:K02442	psg:G655_06870
ko:K00111	psg:G655_06875
ko:K02444	psg:G655_06880
ko:K00864	psg:G655_06885
ko:K02440	psg:G655_06890
ko:K03088	psg:G655_11375
ko:K11073	psg:G655_11430
ko:K01738	psg:G655_11440
ko:K09989	psg:G655_11460
ko:K03671	psg:G655_11515
ko:K03885	psg:G655_11530
ko:K01061	psg:G655_11580
ko:K02455	psg:G655_11610
ko:K02456	psg:G655_11615
ko:K02456	psg:G655_11620
ko:K02458	psg:G655_11625
ko:K02459	psg:G655_11630
ko:K03634	psg:G655_11930
ko:K07478	psg:G655_11935
ko:K01875	psg:G655_11940
ko:K02302	psg:G655_11945
ko:K07237	psg:G655_11965
ko:K07236	psg:G655_11970
ko:K07235	psg:G655_11975
ko:K15553	psg:G655_12020
ko:K15553	psg:G655_12025
ko:K15553	psg:G655_12030
ko:K11073	psg:G655_12040
ko:K03703	psg:G655_12075
ko:K03607	psg:G655_12095
ko:K03923	psg:G655_12105
ko:K00453	psg:G655_12110
ko:K07078	psg:G655_12130
ko:K00496	psg:G655_12135
ko:K02437	psg:G655_12810
ko:K00281	psg:G655_12815
ko:K00600	psg:G655_12820
ko:K01752	psg:G655_12825
ko:K00605	psg:G655_12830
ko:K04087	psg:G655_12850
ko:K03088	psg:G655_12915
ko:K06911	psg:G655_12960
ko:K01194	psg:G655_12970
ko:K00836	psg:G655_12985
ko:K09816	psg:G655_13005
ko:K09817	psg:G655_13010
ko:K16088	psg:G655_13055
ko:K06160	psg:G655_13060
ko:K13954	psg:G655_13985
ko:K00137	psg:G655_13995
ko:K00836	psg:G655_14000
ko:K14393	psg:G655_14010
ko:K02688	psg:G655_14045
ko:K03808	psg:G655_14060
ko:K00097	psg:G655_14090
ko:K02029	psg:G655_14135
ko:K02029	psg:G655_14140
ko:K16137	psg:G655_14170
ko:K02529	psg:G655_15365
ko:K10441	psg:G655_15375
ko:K11177	psg:G655_15440
ko:K11178	psg:G655_15445
ko:K13483	psg:G655_15450
ko:K03790	psg:G655_15465
ko:K00549	psg:G655_15470
ko:K09136	psg:G655_15475
ko:K02230	psg:G655_15490
ko:K16089	psg:G655_15495
ko:K06995	psg:G655_15525
ko:K03088	psg:G655_15550
ko:K13063	psg:G655_15600
ko:K03228	psg:G655_16725
ko:K03229	psg:G655_16730
ko:K00797	psg:G655_16745
ko:K01247	psg:G655_16750
ko:K09880	psg:G655_16760
ko:K08967	psg:G655_16765
ko:K05820	psg:G655_16775
ko:K01736	psg:G655_16780
ko:K07320	psg:G655_16795
ko:K01495	psg:G655_16815
ko:K06996	psg:G655_16825
ko:K11915	psg:G655_16835
ko:K11891	psg:G655_16840
ko:K11892	psg:G655_16845
ko:K11893	psg:G655_16850
ko:K11906	psg:G655_16855
ko:K11907	psg:G655_16875
ko:K11895	psg:G655_16880
ko:K11896	psg:G655_16885
ko:K11905	psg:G655_16890
ko:K11900	psg:G655_16895
ko:K11901	psg:G655_16900
ko:K11910	psg:G655_16905
ko:K11903	psg:G655_16910
ko:K05782	psg:G655_16950
ko:K03453	psg:G655_16955
ko:K06917	psg:G655_16995
ko:K01008	psg:G655_17000
ko:K04061	psg:G655_17855
ko:K05810	psg:G655_17870
ko:K03408	psg:G655_17895
ko:K03408	psg:G655_17900
ko:K02557	psg:G655_17910
ko:K02556	psg:G655_17915
ko:K03412	psg:G655_17920
ko:K03407	psg:G655_17925
ko:K03414	psg:G655_17930
ko:K03413	psg:G655_17935
ko:K02405	psg:G655_17940
ko:K04562	psg:G655_17945
ko:K02404	psg:G655_17950
ko:K02400	psg:G655_17955
ko:K06872	psg:G655_17960
ko:K06872	psg:G655_17965
ko:K02401	psg:G655_17970
ko:K02421	psg:G655_17975
ko:K02420	psg:G655_17980
ko:K02419	psg:G655_17985
ko:K02418	psg:G655_17990
ko:K02437	psg:G655_27445
ko:K00605	psg:G655_27450
ko:K02011	psg:G655_27455
ko:K02012	psg:G655_27460
ko:K03185	psg:G655_27490
ko:K09895	psg:G655_27500
ko:K09888	psg:G655_27510
ko:K13926	psg:G655_27535
ko:K01993	psg:G655_27540
ko:K02415	psg:G655_27545
ko:K02445	psg:G655_27555
ko:K03182	psg:G655_27565
ko:K03628	psg:G655_27575
ko:K03671	psg:G655_27580
ko:K01524	psg:G655_27585
ko:K00937	psg:G655_27590
ko:K01698	psg:G655_27595
ko:K09768	psg:G655_27615
ko:K07243	psg:G655_27620
ko:K05834	psg:G655_27625
ko:K06158	psg:G655_27640
ko:K03773	psg:G655_27655
ko:K07740	psg:G655_27660
ko:K03611	psg:G655_27665
ko:K02498	psg:G655_27670
ko:K02496	psg:G655_27675
ko:K01749	psg:G655_27685
ko:K08083	psg:G655_27690
ko:K08082	psg:G655_27695
ko:K01755	psg:G655_27700
ko:K02417	psg:G655_17995
ko:K02416	psg:G655_18000
ko:K02415	psg:G655_18005
ko:K07039	psg:G655_18015
ko:K09790	psg:G655_18020
ko:K07644	psg:G655_18025
ko:K03827	psg:G655_18075
ko:K03543	psg:G655_18990
ko:K00355	psg:G655_19050
ko:K10536	psg:G655_19055
ko:K12251	psg:G655_19065
ko:K10536	psg:G655_19070
ko:K08304	psg:G655_19085
ko:K01649	psg:G655_19110
ko:K06911	psg:G655_19145
ko:K06911	psg:G655_19170
ko:K07397	psg:G655_19180
ko:K12410	psg:G655_19210
ko:K06714	psg:G655_19215
ko:K03758	psg:G655_19225
ko:K14058	psg:G655_19235
ko:K07240	psg:G655_22060
ko:K16322	psg:G655_22075
ko:K02278	psg:G655_22090
ko:K12511	psg:G655_22115
ko:K12510	psg:G655_22120
ko:K02283	psg:G655_22125
ko:K02282	psg:G655_22130
ko:K02280	psg:G655_22135
ko:K02279	psg:G655_22140
ko:K02651	psg:G655_22145
ko:K06915	psg:G655_22155
ko:K01433	psg:G655_22190
ko:K01141	psg:G655_22200
ko:K03924	psg:G655_22230
ko:K14055	psg:G655_22260
ko:K00873	psg:G655_22265
ko:K01676	psg:G655_22285
ko:K03322	psg:G655_22290
ko:K05520	psg:G655_22300
ko:K01737	psg:G655_11660
ko:K07507	psg:G655_12225
ko:K01895	psg:G655_12240
ko:K02040	psg:G655_12280
ko:K01142	psg:G655_12295
ko:K07278	psg:G655_12305
ko:K09800	psg:G655_12310
ko:K00995	psg:G655_12315
ko:K00981	psg:G655_12340
ko:K03310	psg:G655_12355
ko:K11065	psg:G655_12360
ko:K00817	psg:G655_12365
ko:K07799	psg:G655_12380
ko:K07788	psg:G655_12385
ko:K07789	psg:G655_12390
ko:K07644	psg:G655_12405
ko:K15726	psg:G655_12425
ko:K05549	psg:G655_12435
ko:K05550	psg:G655_12440
ko:K05784	psg:G655_12445
ko:K05783	psg:G655_12450
ko:K05685	psg:G655_13095
ko:K13888	psg:G655_13100
ko:K03088	psg:G655_13110
ko:K07302	psg:G655_13150
ko:K07303	psg:G655_13155
ko:K11907	psg:G655_13195
ko:K11895	psg:G655_13200
ko:K11896	psg:G655_13205
ko:K11903	psg:G655_13215
ko:K11900	psg:G655_13220
ko:K11901	psg:G655_13225
ko:K11893	psg:G655_13235
ko:K11892	psg:G655_13240
ko:K11891	psg:G655_13245
ko:K11902	psg:G655_13250
ko:K00299	psg:G655_13265
ko:K06916	psg:G655_13285
ko:K01126	psg:G655_13290
ko:K02072	psg:G655_13295
ko:K02071	psg:G655_13300
ko:K02073	psg:G655_13305
ko:K00847	psg:G655_13330
ko:K06048	psg:G655_14205
ko:K00703	psg:G655_14290
ko:K01236	psg:G655_14295
ko:K00705	psg:G655_14300
ko:K06044	psg:G655_14305
ko:K05343	psg:G655_14355
ko:K16147	psg:G655_14360
ko:K10979	psg:G655_14365
ko:K07507	psg:G655_14375
ko:K03781	psg:G655_14380
ko:K00688	psg:G655_14395
ko:K08995	psg:G655_14455
ko:K07347	psg:G655_14475
ko:K01626	psg:G655_15610
ko:K01434	psg:G655_15650
ko:K02336	psg:G655_15690
ko:K00330	psg:G655_15705
ko:K07302	psg:G655_15715
ko:K07303	psg:G655_15720
ko:K07023	psg:G655_15730
ko:K12542	psg:G655_15735
ko:K12541	psg:G655_15740
ko:K12543	psg:G655_15745
ko:K16074	psg:G655_15770
ko:K02453	psg:G655_15795
ko:K02452	psg:G655_15800
ko:K02020	psg:G655_15825
ko:K02018	psg:G655_15830
ko:K09781	psg:G655_15860
ko:K00404	psg:G655_15865
ko:K07168	psg:G655_15875
ko:K09984	psg:G655_15900
ko:K07400	psg:G655_15910
ko:K07001	psg:G655_17010
ko:K01425	psg:G655_17020
ko:K07667	psg:G655_17025
ko:K07646	psg:G655_17030
ko:K01548	psg:G655_17035
ko:K01547	psg:G655_17040
ko:K01546	psg:G655_17045
ko:K06446	psg:G655_17055
ko:K00074	psg:G655_17070
ko:K03449	psg:G655_17080
ko:K08296	psg:G655_17130
ko:K00057	psg:G655_17140
ko:K01716	psg:G655_17160
ko:K00606	psg:G655_17220
ko:K04079	psg:G655_17230
ko:K03311	psg:G655_17260
ko:K01902	psg:G655_17265
ko:K01903	psg:G655_17270
ko:K00382	psg:G655_17275
ko:K01652	psg:G655_18130
ko:K11073	psg:G655_18165
ko:K06969	psg:G655_18180
ko:K00906	psg:G655_18300
ko:K03473	psg:G655_18305
ko:K09458	psg:G655_18315
ko:K03088	psg:G655_18350
ko:K03327	psg:G655_18360
ko:K11939	psg:G655_18365
ko:K02742	psg:G655_19300
ko:K11103	psg:G655_19335
ko:K07637	psg:G655_19350
ko:K02572	psg:G655_19370
ko:K02570	psg:G655_19375
ko:K02567	psg:G655_19380
ko:K02568	psg:G655_19385
ko:K02362	psg:G655_19425
ko:K00563	psg:G655_19445
ko:K03704	psg:G655_19455
ko:K07639	psg:G655_19460
ko:K07661	psg:G655_19465
ko:K14977	psg:G655_19540
ko:K01576	psg:G655_25845
ko:K11475	psg:G655_25870
ko:K01996	psg:G655_25885
ko:K01995	psg:G655_25890
ko:K01998	psg:G655_25895
ko:K01997	psg:G655_25900
