ko:K01006	lmx:LMOSLCC2372_1933
ko:K03337	lmx:LMOSLCC2372_0388
ko:K03338	lmx:LMOSLCC2372_0389
ko:K03336	lmx:LMOSLCC2372_0390
ko:K03648	lmx:LMOSLCC2372_0394
ko:K00286	lmx:LMOSLCC2372_0400
ko:K03306	lmx:LMOSLCC2372_0409
ko:K07238	lmx:LMOSLCC2372_0417
ko:K03088	lmx:LMOSLCC2372_0426
ko:K01845	lmx:LMOSLCC2372_1751
ko:K10780	lmx:LMOSLCC2372_1754
ko:K03575	lmx:LMOSLCC2372_1755
ko:K07038	lmx:LMOSLCC2372_1756
ko:K03565	lmx:LMOSLCC2372_1759
ko:K07071	lmx:LMOSLCC2372_1760
ko:K14205	lmx:LMOSLCC2372_1761
ko:K03790	lmx:LMOSLCC2372_1764
ko:K07058	lmx:LMOSLCC2372_1772
ko:K01265	lmx:LMOSLCC2372_1775
ko:K03839	lmx:LMOSLCC2372_1776
ko:K03569	lmx:LMOSLCC2372_1779
ko:K02759	lmx:LMOSLCC2372_1785
ko:K02760	lmx:LMOSLCC2372_1786
ko:K07090	lmx:LMOSLCC2372_2467
ko:K09014	lmx:LMOSLCC2372_2474
ko:K11717	lmx:LMOSLCC2372_2476
ko:K09015	lmx:LMOSLCC2372_2477
ko:K09013	lmx:LMOSLCC2372_2478
ko:K02073	lmx:LMOSLCC2372_2480
ko:K02072	lmx:LMOSLCC2372_2481
ko:K02071	lmx:LMOSLCC2372_2482
ko:K02437	lmx:LMOSLCC2372_2487
ko:K05837	lmx:LMOSLCC2372_2489
ko:K05837	lmx:LMOSLCC2372_2490
ko:K02013	lmx:LMOSLCC2372_2491
ko:K02015	lmx:LMOSLCC2372_2492
ko:K02016	lmx:LMOSLCC2372_2493
ko:K03664	lmx:LMOSLCC2372_2510
ko:K12573	lmx:LMOSLCC2372_2511
ko:K03928	lmx:LMOSLCC2372_2512
ko:K03075	lmx:LMOSLCC2372_2513
ko:K01421	lmx:LMOSLCC2372_0448
ko:K01442	lmx:LMOSLCC2372_0450
ko:K03924	lmx:LMOSLCC2372_0459
ko:K09703	lmx:LMOSLCC2372_0462
ko:K06885	lmx:LMOSLCC2372_0482
ko:K06941	lmx:LMOSLCC2372_0490
ko:K13653	lmx:LMOSLCC2372_0491
ko:K02529	lmx:LMOSLCC2372_1793
ko:K05349	lmx:LMOSLCC2372_1795
ko:K00266	lmx:LMOSLCC2372_1799
ko:K08317	lmx:LMOSLCC2372_1803
ko:K02029	lmx:LMOSLCC2372_1806
ko:K01486	lmx:LMOSLCC2372_1808
ko:K02003	lmx:LMOSLCC2372_1813
ko:K00891	lmx:LMOSLCC2372_1815
ko:K03215	lmx:LMOSLCC2372_1817
ko:K02434	lmx:LMOSLCC2372_1820
ko:K02435	lmx:LMOSLCC2372_1822
ko:K01972	lmx:LMOSLCC2372_1824
ko:K03657	lmx:LMOSLCC2372_1825
ko:K03308	lmx:LMOSLCC2372_1827
ko:K01945	lmx:LMOSLCC2372_1830
ko:K00602	lmx:LMOSLCC2372_1831
ko:K11175	lmx:LMOSLCC2372_1832
ko:K01933	lmx:LMOSLCC2372_1833
ko:K00764	lmx:LMOSLCC2372_1834
ko:K01689	lmx:LMOSLCC2372_2517
ko:K15633	lmx:LMOSLCC2372_2518
ko:K01803	lmx:LMOSLCC2372_2519
ko:K00927	lmx:LMOSLCC2372_2520
ko:K00134	lmx:LMOSLCC2372_2521
ko:K05311	lmx:LMOSLCC2372_2522
ko:K03092	lmx:LMOSLCC2372_2523
ko:K01273	lmx:LMOSLCC2372_2524
ko:K01358	lmx:LMOSLCC2372_2530
ko:K06958	lmx:LMOSLCC2372_2536
ko:K00384	lmx:LMOSLCC2372_2540
ko:K06019	lmx:LMOSLCC2372_2543
ko:K13292	lmx:LMOSLCC2372_2544
ko:K08972	lmx:LMOSLCC2372_2546
ko:K03701	lmx:LMOSLCC2372_2550
ko:K03702	lmx:LMOSLCC2372_2551
ko:K07023	lmx:LMOSLCC2372_2553
ko:K02039	lmx:LMOSLCC2372_2556
ko:K02036	lmx:LMOSLCC2372_2557
ko:K02036	lmx:LMOSLCC2372_2558
ko:K02038	lmx:LMOSLCC2372_2559
ko:K02037	lmx:LMOSLCC2372_2560
ko:K02911	lmx:LMOSLCC2372_0494
ko:K00014	lmx:LMOSLCC2372_0498
ko:K03785	lmx:LMOSLCC2372_0499
ko:K06978	lmx:LMOSLCC2372_0501
ko:K01808	lmx:LMOSLCC2372_0506
ko:K01783	lmx:LMOSLCC2372_0507
ko:K02773	lmx:LMOSLCC2372_0511
ko:K01783	lmx:LMOSLCC2372_0513
ko:K02774	lmx:LMOSLCC2372_0515
ko:K00948	lmx:LMOSLCC2372_0517
ko:K07282	lmx:LMOSLCC2372_0525
ko:K08987	lmx:LMOSLCC2372_0527
ko:K07166	lmx:LMOSLCC2372_0542
ko:K09157	lmx:LMOSLCC2372_0543
ko:K01952	lmx:LMOSLCC2372_1835
ko:K01952	lmx:LMOSLCC2372_1836
ko:K01952	lmx:LMOSLCC2372_1837
ko:K01923	lmx:LMOSLCC2372_1838
ko:K01756	lmx:LMOSLCC2372_1839
ko:K01589	lmx:LMOSLCC2372_1840
ko:K01588	lmx:LMOSLCC2372_1841
ko:K06950	lmx:LMOSLCC2372_1843
ko:K02013	lmx:LMOSLCC2372_1844
ko:K01142	lmx:LMOSLCC2372_1848
ko:K02887	lmx:LMOSLCC2372_1849
ko:K02916	lmx:LMOSLCC2372_1850
ko:K02520	lmx:LMOSLCC2372_1851
ko:K02884	lmx:LMOSLCC2372_1853
ko:K00554	lmx:LMOSLCC2372_1858
ko:K02860	lmx:LMOSLCC2372_1859
ko:K07010	lmx:LMOSLCC2372_1861
ko:K06960	lmx:LMOSLCC2372_1862
ko:K02959	lmx:LMOSLCC2372_1863
ko:K03106	lmx:LMOSLCC2372_1867
ko:K03110	lmx:LMOSLCC2372_1869
ko:K03529	lmx:LMOSLCC2372_1870
ko:K03685	lmx:LMOSLCC2372_1871
ko:K02078	lmx:LMOSLCC2372_1872
ko:K00645	lmx:LMOSLCC2372_1874
ko:K03621	lmx:LMOSLCC2372_1875
ko:K03655	lmx:LMOSLCC2372_1877
ko:K02040	lmx:LMOSLCC2372_2561
ko:K07636	lmx:LMOSLCC2372_2562
ko:K06131	lmx:LMOSLCC2372_2565
ko:K09811	lmx:LMOSLCC2372_2568
ko:K09812	lmx:LMOSLCC2372_2569
ko:K02836	lmx:LMOSLCC2372_2571
ko:K03070	lmx:LMOSLCC2372_2573
ko:K05946	lmx:LMOSLCC2372_2584
ko:K02372	lmx:LMOSLCC2372_2587
ko:K03569	lmx:LMOSLCC2372_2588
ko:K00790	lmx:LMOSLCC2372_2589
ko:K02114	lmx:LMOSLCC2372_2591
ko:K02112	lmx:LMOSLCC2372_2592
ko:K02115	lmx:LMOSLCC2372_2593
ko:K02111	lmx:LMOSLCC2372_2594
ko:K02113	lmx:LMOSLCC2372_2595
ko:K02109	lmx:LMOSLCC2372_2596
ko:K02110	lmx:LMOSLCC2372_2597
ko:K02108	lmx:LMOSLCC2372_2598
ko:K00761	lmx:LMOSLCC2372_2601
ko:K00600	lmx:LMOSLCC2372_2602
ko:K07566	lmx:LMOSLCC2372_2604
ko:K02493	lmx:LMOSLCC2372_2606
ko:K02083	lmx:LMOSLCC2372_0546
ko:K02016	lmx:LMOSLCC2372_0550
ko:K02781	lmx:LMOSLCC2372_0551
ko:K08325	lmx:LMOSLCC2372_0563
ko:K03305	lmx:LMOSLCC2372_0564
ko:K00262	lmx:LMOSLCC2372_0569
ko:K02500	lmx:LMOSLCC2372_0572
ko:K01814	lmx:LMOSLCC2372_0573
ko:K02501	lmx:LMOSLCC2372_0574
ko:K01693	lmx:LMOSLCC2372_0575
ko:K00013	lmx:LMOSLCC2372_0576
ko:K00765	lmx:LMOSLCC2372_0577
ko:K02502	lmx:LMOSLCC2372_0578
ko:K04486	lmx:LMOSLCC2372_0579
ko:K07443	lmx:LMOSLCC2372_0580
ko:K06901	lmx:LMOSLCC2372_0582
ko:K01223	lmx:LMOSLCC2372_0583
ko:K06999	lmx:LMOSLCC2372_0589
ko:K06969	lmx:LMOSLCC2372_0590
ko:K03736	lmx:LMOSLCC2372_1173
ko:K04026	lmx:LMOSLCC2372_1174
ko:K04032	lmx:LMOSLCC2372_1178
ko:K04023	lmx:LMOSLCC2372_1183
ko:K04030	lmx:LMOSLCC2372_1184
ko:K01752	lmx:LMOSLCC2372_1878
ko:K01752	lmx:LMOSLCC2372_1879
ko:K02902	lmx:LMOSLCC2372_1882
ko:K01783	lmx:LMOSLCC2372_1884
ko:K06949	lmx:LMOSLCC2372_1885
ko:K03500	lmx:LMOSLCC2372_1888
ko:K00604	lmx:LMOSLCC2372_1889
ko:K04066	lmx:LMOSLCC2372_1890
ko:K13038	lmx:LMOSLCC2372_1891
ko:K03060	lmx:LMOSLCC2372_1892
ko:K00942	lmx:LMOSLCC2372_1893
ko:K00762	lmx:LMOSLCC2372_1897
ko:K01591	lmx:LMOSLCC2372_1898
ko:K01955	lmx:LMOSLCC2372_1901
ko:K01956	lmx:LMOSLCC2372_1902
ko:K01465	lmx:LMOSLCC2372_1903
ko:K00609	lmx:LMOSLCC2372_1904
ko:K02825	lmx:LMOSLCC2372_1906
ko:K06180	lmx:LMOSLCC2372_1909
ko:K03101	lmx:LMOSLCC2372_1910
ko:K06901	lmx:LMOSLCC2372_1911
ko:K03327	lmx:LMOSLCC2372_1912
ko:K03797	lmx:LMOSLCC2372_1917
ko:K02835	lmx:LMOSLCC2372_2607
ko:K00872	lmx:LMOSLCC2372_2609
ko:K01733	lmx:LMOSLCC2372_2610
ko:K00003	lmx:LMOSLCC2372_2611
ko:K02909	lmx:LMOSLCC2372_2612
ko:K03628	lmx:LMOSLCC2372_2615
ko:K00790	lmx:LMOSLCC2372_2616
ko:K13678	lmx:LMOSLCC2372_2618
ko:K01937	lmx:LMOSLCC2372_2623
ko:K01887	lmx:LMOSLCC2372_2625
ko:K01821	lmx:LMOSLCC2372_2628
ko:K06885	lmx:LMOSLCC2372_2629
ko:K08281	lmx:LMOSLCC2372_2635
ko:K16264	lmx:LMOSLCC2372_2639
ko:K02003	lmx:LMOSLCC2372_2645
ko:K02379	lmx:LMOSLCC2372_2649
ko:K00123	lmx:LMOSLCC2372_2651
ko:K03070	lmx:LMOSLCC2372_0592
ko:K01669	lmx:LMOSLCC2372_0597
ko:K00641	lmx:LMOSLCC2372_0603
ko:K01740	lmx:LMOSLCC2372_0604
ko:K03523	lmx:LMOSLCC2372_0607
ko:K01118	lmx:LMOSLCC2372_0620
ko:K01126	lmx:LMOSLCC2372_0625
ko:K07090	lmx:LMOSLCC2372_0630
ko:K11203	lmx:LMOSLCC2372_0641
ko:K11202	lmx:LMOSLCC2372_0642
ko:K02224	lmx:LMOSLCC2372_1188
ko:K02227	lmx:LMOSLCC2372_1189
ko:K06042	lmx:LMOSLCC2372_1190
ko:K02188	lmx:LMOSLCC2372_1191
ko:K02191	lmx:LMOSLCC2372_1193
ko:K05936	lmx:LMOSLCC2372_1194
ko:K05895	lmx:LMOSLCC2372_1196
ko:K13542	lmx:LMOSLCC2372_1197
ko:K03394	lmx:LMOSLCC2372_1199
ko:K02007	lmx:LMOSLCC2372_1200
ko:K02232	lmx:LMOSLCC2372_1204
ko:K09936	lmx:LMOSLCC2372_1206
ko:K09936	lmx:LMOSLCC2372_1207
ko:K03437	lmx:LMOSLCC2372_1214
ko:K01889	lmx:LMOSLCC2372_1217
ko:K01890	lmx:LMOSLCC2372_1218
ko:K02003	lmx:LMOSLCC2372_1219
ko:K03648	lmx:LMOSLCC2372_1223
ko:K09888	lmx:LMOSLCC2372_1225
ko:K02347	lmx:LMOSLCC2372_1227
ko:K07456	lmx:LMOSLCC2372_1228
ko:K03671	lmx:LMOSLCC2372_1229
ko:K03703	lmx:LMOSLCC2372_1230
ko:K00928	lmx:LMOSLCC2372_1231
ko:K01776	lmx:LMOSLCC2372_1233
ko:K00989	lmx:LMOSLCC2372_1234
ko:K07095	lmx:LMOSLCC2372_1236
ko:K11068	lmx:LMOSLCC2372_1930
ko:K09773	lmx:LMOSLCC2372_1932
ko:K00563	lmx:LMOSLCC2372_1938
ko:K00563	lmx:LMOSLCC2372_1939
ko:K15738	lmx:LMOSLCC2372_1942
ko:K01938	lmx:LMOSLCC2372_1943
ko:K03704	lmx:LMOSLCC2372_1945
ko:K02954	lmx:LMOSLCC2372_1948
ko:K16169	lmx:LMOSLCC2372_1950
ko:K03816	lmx:LMOSLCC2372_1951
ko:K01299	lmx:LMOSLCC2372_1952
ko:K07444	lmx:LMOSLCC2372_1953
ko:K05366	lmx:LMOSLCC2372_1958
ko:K10773	lmx:LMOSLCC2372_1960
ko:K01893	lmx:LMOSLCC2372_1962
ko:K00812	lmx:LMOSLCC2372_1963
ko:K01579	lmx:LMOSLCC2372_1966
ko:K01918	lmx:LMOSLCC2372_1967
ko:K00606	lmx:LMOSLCC2372_1968
ko:K02996	lmx:LMOSLCC2372_2662
ko:K02871	lmx:LMOSLCC2372_2663
ko:K06173	lmx:LMOSLCC2372_2664
ko:K07507	lmx:LMOSLCC2372_2668
ko:K02879	lmx:LMOSLCC2372_2671
ko:K03040	lmx:LMOSLCC2372_2672
ko:K02948	lmx:LMOSLCC2372_2673
ko:K02952	lmx:LMOSLCC2372_2674
ko:K02919	lmx:LMOSLCC2372_2675
ko:K02518	lmx:LMOSLCC2372_2676
ko:K03076	lmx:LMOSLCC2372_2678
ko:K02876	lmx:LMOSLCC2372_2679
ko:K02907	lmx:LMOSLCC2372_2680
ko:K02988	lmx:LMOSLCC2372_2681
ko:K02881	lmx:LMOSLCC2372_2682
ko:K02933	lmx:LMOSLCC2372_2683
ko:K02994	lmx:LMOSLCC2372_2684
ko:K02954	lmx:LMOSLCC2372_2685
ko:K02931	lmx:LMOSLCC2372_2686
ko:K02895	lmx:LMOSLCC2372_2687
ko:K02874	lmx:LMOSLCC2372_2688
ko:K02961	lmx:LMOSLCC2372_2689
ko:K02904	lmx:LMOSLCC2372_2690
ko:K02878	lmx:LMOSLCC2372_2691
ko:K02982	lmx:LMOSLCC2372_2692
ko:K02890	lmx:LMOSLCC2372_2693
ko:K02965	lmx:LMOSLCC2372_2694
ko:K02886	lmx:LMOSLCC2372_2695
ko:K01534	lmx:LMOSLCC2372_0650
ko:K03284	lmx:LMOSLCC2372_0658
ko:K01421	lmx:LMOSLCC2372_0660
ko:K08976	lmx:LMOSLCC2372_0666
ko:K00868	lmx:LMOSLCC2372_0672
ko:K02419	lmx:LMOSLCC2372_0688
ko:K02420	lmx:LMOSLCC2372_0689
ko:K02421	lmx:LMOSLCC2372_0690
ko:K02401	lmx:LMOSLCC2372_0691
ko:K02400	lmx:LMOSLCC2372_0692
ko:K02404	lmx:LMOSLCC2372_0693
ko:K03524	lmx:LMOSLCC2372_1970
ko:K01734	lmx:LMOSLCC2372_1972
ko:K00215	lmx:LMOSLCC2372_1973
ko:K00656	lmx:LMOSLCC2372_1983
ko:K07007	lmx:LMOSLCC2372_1984
ko:K06973	lmx:LMOSLCC2372_1985
ko:K00800	lmx:LMOSLCC2372_1989
ko:K00817	lmx:LMOSLCC2372_1991
ko:K06208	lmx:LMOSLCC2372_1992
ko:K01735	lmx:LMOSLCC2372_1993
ko:K01736	lmx:LMOSLCC2372_1994
ko:K00940	lmx:LMOSLCC2372_1995
ko:K03183	lmx:LMOSLCC2372_1997
ko:K01495	lmx:LMOSLCC2372_1999
ko:K03530	lmx:LMOSLCC2372_2000
ko:K00057	lmx:LMOSLCC2372_2003
ko:K03977	lmx:LMOSLCC2372_2004
ko:K02945	lmx:LMOSLCC2372_2005
ko:K00945	lmx:LMOSLCC2372_2006
ko:K03654	lmx:LMOSLCC2372_2009
ko:K07651	lmx:LMOSLCC2372_2013
ko:K07775	lmx:LMOSLCC2372_2014
ko:K02892	lmx:LMOSLCC2372_2696
ko:K02926	lmx:LMOSLCC2372_2697
ko:K02906	lmx:LMOSLCC2372_2698
ko:K02946	lmx:LMOSLCC2372_2699
ko:K03734	lmx:LMOSLCC2372_2702
ko:K03885	lmx:LMOSLCC2372_2704
ko:K02358	lmx:LMOSLCC2372_2719
ko:K02355	lmx:LMOSLCC2372_2720
ko:K02992	lmx:LMOSLCC2372_2721
ko:K02950	lmx:LMOSLCC2372_2722
ko:K01129	lmx:LMOSLCC2372_2723
ko:K01783	lmx:LMOSLCC2372_2725
ko:K00615	lmx:LMOSLCC2372_2726
ko:K01783	lmx:LMOSLCC2372_2727
ko:K01808	lmx:LMOSLCC2372_2728
ko:K02774	lmx:LMOSLCC2372_2732
ko:K02773	lmx:LMOSLCC2372_2733
ko:K01808	lmx:LMOSLCC2372_2740
ko:K02392	lmx:LMOSLCC2372_0694
ko:K02556	lmx:LMOSLCC2372_0697
ko:K02557	lmx:LMOSLCC2372_0698
ko:K03415	lmx:LMOSLCC2372_0701
ko:K02406	lmx:LMOSLCC2372_0702
ko:K03413	lmx:LMOSLCC2372_0703
ko:K03407	lmx:LMOSLCC2372_0704
ko:K02417	lmx:LMOSLCC2372_0705
ko:K02389	lmx:LMOSLCC2372_0708
ko:K02390	lmx:LMOSLCC2372_0709
ko:K02417	lmx:LMOSLCC2372_0710
ko:K02416	lmx:LMOSLCC2372_0711
ko:K02417	lmx:LMOSLCC2372_0712
ko:K09770	lmx:LMOSLCC2372_0715
ko:K02396	lmx:LMOSLCC2372_0717
ko:K02397	lmx:LMOSLCC2372_0718
ko:K02407	lmx:LMOSLCC2372_0719
ko:K02422	lmx:LMOSLCC2372_0720
ko:K02387	lmx:LMOSLCC2372_0722
ko:K02388	lmx:LMOSLCC2372_0723
ko:K02408	lmx:LMOSLCC2372_0724
ko:K02409	lmx:LMOSLCC2372_0725
ko:K02410	lmx:LMOSLCC2372_0726
ko:K02411	lmx:LMOSLCC2372_0727
ko:K02412	lmx:LMOSLCC2372_0728
ko:K00820	lmx:LMOSLCC2372_0738
ko:K07726	lmx:LMOSLCC2372_0744
ko:K02529	lmx:LMOSLCC2372_0745
ko:K02818	lmx:LMOSLCC2372_1316
ko:K02819	lmx:LMOSLCC2372_1316
ko:K00147	lmx:LMOSLCC2372_1320
ko:K00931	lmx:LMOSLCC2372_1321
ko:K03545	lmx:LMOSLCC2372_1328
ko:K03544	lmx:LMOSLCC2372_1329
ko:K03100	lmx:LMOSLCC2372_1330
ko:K03100	lmx:LMOSLCC2372_1331
ko:K03100	lmx:LMOSLCC2372_1332
ko:K14540	lmx:LMOSLCC2372_1333
ko:K03470	lmx:LMOSLCC2372_1334
ko:K04096	lmx:LMOSLCC2372_1335
ko:K03168	lmx:LMOSLCC2372_1336
ko:K04094	lmx:LMOSLCC2372_1337
ko:K03733	lmx:LMOSLCC2372_1338
ko:K01419	lmx:LMOSLCC2372_1339
ko:K03667	lmx:LMOSLCC2372_1340
ko:K03706	lmx:LMOSLCC2372_1341
ko:K07107	lmx:LMOSLCC2372_1342
ko:K06178	lmx:LMOSLCC2372_2015
ko:K06024	lmx:LMOSLCC2372_2016
ko:K05896	lmx:LMOSLCC2372_2017
ko:K01586	lmx:LMOSLCC2372_2018
ko:K01839	lmx:LMOSLCC2372_2020
ko:K02015	lmx:LMOSLCC2372_2023
ko:K02015	lmx:LMOSLCC2372_2024
ko:K02016	lmx:LMOSLCC2372_2025
ko:K02013	lmx:LMOSLCC2372_2026
ko:K01625	lmx:LMOSLCC2372_2035
ko:K03710	lmx:LMOSLCC2372_2040
ko:K02346	lmx:LMOSLCC2372_2041
ko:K07124	lmx:LMOSLCC2372_2042
ko:K00036	lmx:LMOSLCC2372_2044
ko:K01687	lmx:LMOSLCC2372_2049
ko:K01652	lmx:LMOSLCC2372_2050
ko:K01653	lmx:LMOSLCC2372_2051
ko:K00053	lmx:LMOSLCC2372_2052
ko:K01649	lmx:LMOSLCC2372_2053
ko:K00052	lmx:LMOSLCC2372_2054
ko:K01703	lmx:LMOSLCC2372_2055
ko:K01704	lmx:LMOSLCC2372_2056
ko:K01754	lmx:LMOSLCC2372_2057
ko:K01575	lmx:LMOSLCC2372_2058
ko:K00756	lmx:LMOSLCC2372_2059
ko:K01551	lmx:LMOSLCC2372_2751
ko:K07667	lmx:LMOSLCC2372_2755
ko:K07646	lmx:LMOSLCC2372_2756
ko:K01548	lmx:LMOSLCC2372_2757
ko:K01547	lmx:LMOSLCC2372_2758
ko:K01546	lmx:LMOSLCC2372_2759
ko:K02760	lmx:LMOSLCC2372_2760
ko:K02761	lmx:LMOSLCC2372_2761
ko:K02759	lmx:LMOSLCC2372_2762
ko:K01531	lmx:LMOSLCC2372_2767
ko:K00943	lmx:LMOSLCC2372_2771
ko:K05878	lmx:LMOSLCC2372_2773
ko:K05879	lmx:LMOSLCC2372_2774
ko:K06187	lmx:LMOSLCC2372_2781
ko:K09747	lmx:LMOSLCC2372_2782
ko:K02343	lmx:LMOSLCC2372_2783
ko:K02761	lmx:LMOSLCC2372_2787
ko:K01783	lmx:LMOSLCC2372_0746
ko:K01808	lmx:LMOSLCC2372_0747
ko:K01223	lmx:LMOSLCC2372_0750
ko:K15975	lmx:LMOSLCC2372_0769
ko:K06999	lmx:LMOSLCC2372_0770
ko:K03665	lmx:LMOSLCC2372_0772
ko:K03800	lmx:LMOSLCC2372_0774
ko:K08591	lmx:LMOSLCC2372_1345
ko:K02622	lmx:LMOSLCC2372_1347
ko:K02621	lmx:LMOSLCC2372_1348
ko:K07173	lmx:LMOSLCC2372_1349
ko:K01126	lmx:LMOSLCC2372_1353
ko:K00111	lmx:LMOSLCC2372_1354
ko:K00791	lmx:LMOSLCC2372_1355
ko:K03666	lmx:LMOSLCC2372_1356
ko:K03665	lmx:LMOSLCC2372_1357
ko:K05340	lmx:LMOSLCC2372_0170
ko:K05340	lmx:LMOSLCC2372_0427
ko:K02851	lmx:LMOSLCC2372_0972
ko:K07045	lmx:LMOSLCC2372_0881
ko:K16644	lmx:LMOSLCC2372_0205
ko:K15770	lmx:LMOSLCC2372_2193
ko:K07483	lmx:LMOSLCC2372_0670
ko:K01985	lmx:LMOSLCC2372rRNA03
ko:K13730	lmx:LMOSLCC2372_0437
ko:K13731	lmx:LMOSLCC2372_0438
ko:K15772	lmx:LMOSLCC2372_2191
ko:K15771	lmx:LMOSLCC2372_2192
ko:K16786	lmx:LMOSLCC2372_2667
ko:K02768	lmx:LMOSLCC2372_0429
ko:K02025	lmx:LMOSLCC2372_0776
ko:K02026	lmx:LMOSLCC2372_0181
ko:K16787	lmx:LMOSLCC2372_2666
ko:K16785	lmx:LMOSLCC2372_2665
ko:K09681	lmx:LMOSLCC2372_1801
ko:K00980	lmx:LMOSLCC2372_1103
ko:K16789	lmx:LMOSLCC2372_1490
ko:K01838	lmx:LMOSLCC2372_2911
ko:K00564	lmx:LMOSLCC2372_0257
ko:K01439	lmx:LMOSLCC2372_0266
ko:K08969	lmx:LMOSLCC2372_0288
ko:K07668	lmx:LMOSLCC2372_0289
ko:K07652	lmx:LMOSLCC2372_0290
ko:K03491	lmx:LMOSLCC2372_0299
ko:K06147	lmx:LMOSLCC2372_0617
ko:K03492	lmx:LMOSLCC2372_0584
ko:K07030	lmx:LMOSLCC2372_0599
ko:K06147	lmx:LMOSLCC2372_0616
ko:K00657	lmx:LMOSLCC2372_0009
ko:K00869	lmx:LMOSLCC2372_0011
ko:K00938	lmx:LMOSLCC2372_0012
ko:K02793	lmx:LMOSLCC2372_0021
ko:K02795	lmx:LMOSLCC2372_0023
ko:K06201	lmx:LMOSLCC2372_0026
ko:K02755	lmx:LMOSLCC2372_0027
ko:K02756	lmx:LMOSLCC2372_0027
ko:K02757	lmx:LMOSLCC2372_0027
ko:K01478	lmx:LMOSLCC2372_0043
ko:K07706	lmx:LMOSLCC2372_0050
ko:K02768	lmx:LMOSLCC2372_0402
ko:K02768	lmx:LMOSLCC2372_2205
ko:K02768	lmx:LMOSLCC2372_0640
ko:K02025	lmx:LMOSLCC2372_0180
ko:K02793	lmx:LMOSLCC2372_0095
ko:K02794	lmx:LMOSLCC2372_0095
ko:K02795	lmx:LMOSLCC2372_0096
ko:K06147	lmx:LMOSLCC2372_0106
ko:K06147	lmx:LMOSLCC2372_0107
ko:K07025	lmx:LMOSLCC2372_0644
ko:K03294	lmx:LMOSLCC2372_0655
ko:K07104	lmx:LMOSLCC2372_0656
ko:K07457	lmx:LMOSLCC2372_0668
ko:K01081	lmx:LMOSLCC2372_0129
ko:K00088	lmx:LMOSLCC2372_0132
ko:K02035	lmx:LMOSLCC2372_0135
ko:K02033	lmx:LMOSLCC2372_0136
ko:K02035	lmx:LMOSLCC2372_0153
ko:K09815	lmx:LMOSLCC2372_0154
ko:K13052	lmx:LMOSLCC2372_0218
ko:K05937	lmx:LMOSLCC2372_0391
ko:K15524	lmx:LMOSLCC2372_0405
ko:K01759	lmx:LMOSLCC2372_0410
ko:K00575	lmx:LMOSLCC2372_0695
ko:K01182	lmx:LMOSLCC2372_0185
ko:K03478	lmx:LMOSLCC2372_0192
ko:K09685	lmx:LMOSLCC2372_0193
ko:K02005	lmx:LMOSLCC2372_0194
ko:K02004	lmx:LMOSLCC2372_0196
ko:K01771	lmx:LMOSLCC2372_0202
ko:K11031	lmx:LMOSLCC2372_0203
ko:K00016	lmx:LMOSLCC2372_0211
ko:K03328	lmx:LMOSLCC2372_0216
ko:K10947	lmx:LMOSLCC2372_0608
ko:K01990	lmx:LMOSLCC2372_0753
ko:K07483	lmx:LMOSLCC2372_0842
ko:K01426	lmx:LMOSLCC2372_0859
ko:K04757	lmx:LMOSLCC2372_0906
ko:K07284	lmx:LMOSLCC2372_0942
ko:K10947	lmx:LMOSLCC2372_0731
ko:K03574	lmx:LMOSLCC2372_1306
ko:K00634	lmx:LMOSLCC2372_1430
ko:K01271	lmx:LMOSLCC2372_1642
ko:K03574	lmx:LMOSLCC2372_1686
ko:K07729	lmx:LMOSLCC2372_0419
ko:K01580	lmx:LMOSLCC2372_0451
ko:K16785	lmx:LMOSLCC2372_2700
ko:K01990	lmx:LMOSLCC2372_1790
ko:K03574	lmx:LMOSLCC2372_2431
ko:K10254	lmx:LMOSLCC2372_0489
ko:K02775	lmx:LMOSLCC2372_0516
ko:K02795	lmx:LMOSLCC2372_0792
ko:K02793	lmx:LMOSLCC2372_0794
ko:K03976	lmx:LMOSLCC2372_0800
ko:K03316	lmx:LMOSLCC2372_0813
ko:K11072	lmx:LMOSLCC2372_0817
ko:K11071	lmx:LMOSLCC2372_0818
ko:K11069	lmx:LMOSLCC2372_0820
ko:K01674	lmx:LMOSLCC2372_0821
ko:K02371	lmx:LMOSLCC2372_0824
ko:K00054	lmx:LMOSLCC2372_0835
ko:K06147	lmx:LMOSLCC2372_0847
ko:K07784	lmx:LMOSLCC2372_0848
ko:K02025	lmx:LMOSLCC2372_0871
ko:K01226	lmx:LMOSLCC2372_0873
ko:K02768	lmx:LMOSLCC2372_0359
ko:K03708	lmx:LMOSLCC2372_0231
ko:K09698	lmx:LMOSLCC2372_0239
ko:K11050	lmx:LMOSLCC2372_1000
ko:K00158	lmx:LMOSLCC2372_0734
ko:K03406	lmx:LMOSLCC2372_0735
ko:K02755	lmx:LMOSLCC2372_0749
ko:K02756	lmx:LMOSLCC2372_0749
ko:K02757	lmx:LMOSLCC2372_0749
ko:K07729	lmx:LMOSLCC2372_0759
ko:K07098	lmx:LMOSLCC2372_0773
ko:K09704	lmx:LMOSLCC2372_0775
ko:K01222	lmx:LMOSLCC2372_0530
ko:K01222	lmx:LMOSLCC2372_0545
ko:K01635	lmx:LMOSLCC2372_0548
ko:K02782	lmx:LMOSLCC2372_0552
ko:K02783	lmx:LMOSLCC2372_0552
ko:K02783	lmx:LMOSLCC2372_0553
