ko:K19272	kpc:KPNIH10_26765
ko:K09936	kpc:KPNIH10_13550
ko:K09936	kpc:KPNIH10_13555
ko:K01951	kpc:KPNIH10_13580
ko:K01118	kpc:KPNIH10_13590
ko:K07090	kpc:KPNIH10_13620
ko:K16842	kpc:KPNIH10_13625
ko:K16841	kpc:KPNIH10_13630
ko:K03457	kpc:KPNIH10_13640
ko:K01487	kpc:KPNIH10_13645
ko:K02529	kpc:KPNIH10_13655
ko:K03335	kpc:KPNIH10_13660
ko:K03707	kpc:KPNIH10_13680
ko:K15600	kpc:KPNIH10_13685
ko:K02031	kpc:KPNIH10_13980
ko:K02032	kpc:KPNIH10_13980
ko:K08350	kpc:KPNIH10_14015
ko:K08349	kpc:KPNIH10_14020
ko:K05783	kpc:KPNIH10_14040
ko:K05784	kpc:KPNIH10_14045
ko:K05550	kpc:KPNIH10_14050
ko:K05549	kpc:KPNIH10_14055
ko:K03381	kpc:KPNIH10_14060
ko:K03464	kpc:KPNIH10_14065
ko:K01856	kpc:KPNIH10_14070
ko:K02624	kpc:KPNIH10_14075
ko:K08167	kpc:KPNIH10_14080
ko:K02575	kpc:KPNIH10_14090
ko:K00370	kpc:KPNIH10_14095
ko:K00371	kpc:KPNIH10_14100
ko:K00373	kpc:KPNIH10_14105
ko:K00374	kpc:KPNIH10_14110
ko:K00675	kpc:KPNIH10_14115
ko:K02011	kpc:KPNIH10_14120
ko:K02012	kpc:KPNIH10_14125
ko:K02010	kpc:KPNIH10_14130
ko:K02855	kpc:KPNIH10_14140
ko:K16077	kpc:KPNIH10_14155
ko:K01821	kpc:KPNIH10_14160
ko:K11208	kpc:KPNIH10_14165
ko:K02030	kpc:KPNIH10_14170
ko:K02028	kpc:KPNIH10_14175
ko:K02029	kpc:KPNIH10_14180
ko:K02030	kpc:KPNIH10_14190
ko:K11738	kpc:KPNIH10_14220
ko:K02014	kpc:KPNIH10_14235
ko:K07007	kpc:KPNIH10_24945
ko:K16322	kpc:KPNIH10_24950
ko:K06144	kpc:KPNIH10_24955
ko:K06149	kpc:KPNIH10_24960
ko:K03305	kpc:KPNIH10_24965
ko:K15984	kpc:KPNIH10_24970
ko:K01414	kpc:KPNIH10_24975
ko:K07115	kpc:KPNIH10_24985
ko:K00383	kpc:KPNIH10_24990
ko:K00799	kpc:KPNIH10_24995
ko:K01194	kpc:KPNIH10_25005
ko:K07058	kpc:KPNIH10_25025
ko:K07085	kpc:KPNIH10_08820
ko:K03674	kpc:KPNIH10_08830
ko:K05844	kpc:KPNIH10_08845
ko:K11073	kpc:KPNIH10_08855
ko:K11076	kpc:KPNIH10_08860
ko:K11075	kpc:KPNIH10_08865
ko:K11074	kpc:KPNIH10_08870
ko:K03212	kpc:KPNIH10_08880
ko:K08161	kpc:KPNIH10_09720
ko:K02517	kpc:KPNIH10_09725
ko:K07146	kpc:KPNIH10_09730
ko:K02846	kpc:KPNIH10_09740
ko:K12148	kpc:KPNIH10_09745
ko:K12149	kpc:KPNIH10_09750
ko:K01465	kpc:KPNIH10_09755
ko:K08162	kpc:KPNIH10_09765
ko:K03790	kpc:KPNIH10_09770
ko:K09915	kpc:KPNIH10_09775
ko:K03810	kpc:KPNIH10_09780
ko:K03980	kpc:KPNIH10_09785
ko:K08300	kpc:KPNIH10_09800
ko:K06179	kpc:KPNIH10_09805
ko:K07040	kpc:KPNIH10_09815
ko:K02911	kpc:KPNIH10_09820
ko:K03621	kpc:KPNIH10_09825
ko:K00648	kpc:KPNIH10_09830
ko:K00645	kpc:KPNIH10_09835
ko:K00059	kpc:KPNIH10_09840
ko:K02078	kpc:KPNIH10_09845
ko:K09458	kpc:KPNIH10_09850
ko:K02619	kpc:KPNIH10_09855
ko:K07082	kpc:KPNIH10_09860
ko:K00943	kpc:KPNIH10_09865
ko:K02341	kpc:KPNIH10_09870
ko:K03424	kpc:KPNIH10_09875
ko:K02778	kpc:KPNIH10_09880
ko:K02779	kpc:KPNIH10_09880
ko:K02503	kpc:KPNIH10_09885
ko:K07337	kpc:KPNIH10_09895
ko:K07251	kpc:KPNIH10_09900
ko:K01207	kpc:KPNIH10_09905
ko:K07000	kpc:KPNIH10_09910
ko:K03885	kpc:KPNIH10_09915
ko:K02014	kpc:KPNIH10_09925
ko:K12151	kpc:KPNIH10_09935
ko:K19236	kpc:KPNIH10_09940
ko:K03723	kpc:KPNIH10_09945
ko:K09808	kpc:KPNIH10_09950
ko:K09810	kpc:KPNIH10_09955
ko:K09808	kpc:KPNIH10_09960
ko:K00884	kpc:KPNIH10_09965
ko:K12410	kpc:KPNIH10_09970
ko:K11069	kpc:KPNIH10_09990
ko:K07290	kpc:KPNIH10_25035
ko:K00874	kpc:KPNIH10_25040
ko:K11103	kpc:KPNIH10_25050
ko:K00694	kpc:KPNIH10_25075
ko:K00694	kpc:KPNIH10_25125
ko:K12372	kpc:KPNIH10_25140
ko:K12371	kpc:KPNIH10_25145
ko:K12370	kpc:KPNIH10_25150
ko:K12369	kpc:KPNIH10_25155
ko:K12368	kpc:KPNIH10_25160
ko:K07483	kpc:KPNIH10_25175
ko:K12975	kpc:KPNIH10_25190
ko:K08177	kpc:KPNIH10_25195
ko:K01246	kpc:KPNIH10_25205
ko:K03826	kpc:KPNIH10_25210
ko:K08351	kpc:KPNIH10_25215
ko:K02525	kpc:KPNIH10_25225
ko:K00874	kpc:KPNIH10_25235
ko:K00090	kpc:KPNIH10_25245
ko:K08195	kpc:KPNIH10_25255
ko:K07726	kpc:KPNIH10_25260
ko:K03704	kpc:KPNIH10_25265
ko:K18920	kpc:KPNIH10_25275
ko:K01879	kpc:KPNIH10_25285
ko:K01878	kpc:KPNIH10_25290
ko:K00854	kpc:KPNIH10_25315
ko:K01805	kpc:KPNIH10_25320
ko:K10543	kpc:KPNIH10_25325
ko:K10545	kpc:KPNIH10_25330
ko:K10544	kpc:KPNIH10_25335
ko:K02529	kpc:KPNIH10_25340
ko:K03796	kpc:KPNIH10_25345
ko:K01176	kpc:KPNIH10_25350
ko:K00835	kpc:KPNIH10_25355
ko:K05796	kpc:KPNIH10_25360
ko:K03833	kpc:KPNIH10_25365
ko:K01042	kpc:KPNIH10_25370
ko:K02798	kpc:KPNIH10_25390
ko:K02799	kpc:KPNIH10_25390
ko:K02800	kpc:KPNIH10_25390
ko:K00009	kpc:KPNIH10_25395
ko:K02562	kpc:KPNIH10_25400
ko:K14762	kpc:KPNIH10_25410
ko:K00427	kpc:KPNIH10_25420
ko:K14348	kpc:KPNIH10_25425
ko:K00101	kpc:KPNIH10_25430
ko:K03216	kpc:KPNIH10_25435
ko:K00640	kpc:KPNIH10_25440
ko:K00057	kpc:KPNIH10_25445
ko:K03071	kpc:KPNIH10_25450
ko:K15633	kpc:KPNIH10_25465
ko:K09798	kpc:KPNIH10_25475
ko:K00060	kpc:KPNIH10_25485
ko:K00639	kpc:KPNIH10_25490
ko:K03274	kpc:KPNIH10_25495
ko:K02843	kpc:KPNIH10_25500
ko:K02841	kpc:KPNIH10_25505
ko:K02849	kpc:KPNIH10_25530
ko:K02844	kpc:KPNIH10_25535
ko:K02527	kpc:KPNIH10_25550
ko:K12984	kpc:KPNIH10_25555
ko:K00954	kpc:KPNIH10_25560
ko:K10563	kpc:KPNIH10_25565
ko:K02913	kpc:KPNIH10_25570
ko:K02902	kpc:KPNIH10_25575
ko:K03630	kpc:KPNIH10_25580
ko:K13038	kpc:KPNIH10_25585
ko:K05501	kpc:KPNIH10_25595
ko:K00762	kpc:KPNIH10_25600
ko:K00989	kpc:KPNIH10_25605
ko:K01993	kpc:KPNIH10_25620
ko:K07481	kpc:KPNIH10_25630
ko:K10778	kpc:KPNIH10_25645
ko:K01972	kpc:KPNIH10_25660
ko:K00942	kpc:KPNIH10_25665
ko:K03060	kpc:KPNIH10_25670
ko:K00556	kpc:KPNIH10_25680
ko:K03655	kpc:KPNIH10_25685
ko:K02446	kpc:KPNIH10_25690
ko:K00528	kpc:KPNIH10_25695
ko:K01803	kpc:KPNIH10_25710
ko:K01521	kpc:KPNIH10_25720
ko:K02048	kpc:KPNIH10_25725
ko:K09892	kpc:KPNIH10_25730
ko:K02440	kpc:KPNIH10_25735
ko:K00864	kpc:KPNIH10_25740
ko:K03312	kpc:KPNIH10_25745
ko:K16345	kpc:KPNIH10_25750
ko:K02749	kpc:KPNIH10_25760
ko:K02750	kpc:KPNIH10_25760
ko:K01222	kpc:KPNIH10_25765
ko:K01811	kpc:KPNIH10_25775
ko:K03292	kpc:KPNIH10_25780
ko:K13979	kpc:KPNIH10_25810
ko:K02073	kpc:KPNIH10_25835
ko:K18991	kpc:KPNIH10_25840
ko:K09958	kpc:KPNIH10_25850
ko:K07006	kpc:KPNIH10_25855
ko:K03585	kpc:KPNIH10_25880
ko:K18138	kpc:KPNIH10_25885
ko:K18139	kpc:KPNIH10_25890
ko:K07552	kpc:KPNIH10_25895
ko:K07106	kpc:KPNIH10_25900
ko:K11191	kpc:KPNIH10_25905
ko:K11192	kpc:KPNIH10_25905
ko:K16514	kpc:KPNIH10_25925
ko:K10218	kpc:KPNIH10_25930
ko:K16515	kpc:KPNIH10_25935
ko:K16516	kpc:KPNIH10_25940
ko:K04099	kpc:KPNIH10_25945
ko:K02760	kpc:KPNIH10_25960
ko:K02761	kpc:KPNIH10_25965
ko:K02759	kpc:KPNIH10_25970
ko:K02024	kpc:KPNIH10_25975
ko:K11083	kpc:KPNIH10_25985
ko:K11084	kpc:KPNIH10_25990
ko:K11081	kpc:KPNIH10_25995
ko:K03430	kpc:KPNIH10_26005
ko:K05306	kpc:KPNIH10_26010
ko:K07726	kpc:KPNIH10_26025
ko:K07784	kpc:KPNIH10_26035
ko:K07783	kpc:KPNIH10_26040
ko:K07675	kpc:KPNIH10_26045
ko:K01653	kpc:KPNIH10_26055
ko:K01652	kpc:KPNIH10_26060
ko:K08154	kpc:KPNIH10_26080
ko:K13636	kpc:KPNIH10_26085
ko:K13629	kpc:KPNIH10_26090
ko:K01753	kpc:KPNIH10_26095
ko:K06871	kpc:KPNIH10_26100
ko:K00389	kpc:KPNIH10_26110
ko:K01232	kpc:KPNIH10_26115
ko:K02749	kpc:KPNIH10_26120
ko:K02750	kpc:KPNIH10_26120
ko:K03482	kpc:KPNIH10_26125
ko:K07085	kpc:KPNIH10_26130
ko:K04081	kpc:KPNIH10_26140
ko:K04080	kpc:KPNIH10_26145
ko:K08194	kpc:KPNIH10_26160
ko:K01684	kpc:KPNIH10_26165
ko:K01631	kpc:KPNIH10_26170
ko:K00883	kpc:KPNIH10_26175
ko:K02470	kpc:KPNIH10_26200
ko:K03629	kpc:KPNIH10_26205
ko:K02338	kpc:KPNIH10_26210
ko:K02313	kpc:KPNIH10_26215
ko:K02914	kpc:KPNIH10_26220
ko:K08998	kpc:KPNIH10_26230
ko:K03217	kpc:KPNIH10_26235
ko:K03650	kpc:KPNIH10_26240
ko:K08163	kpc:KPNIH10_26250
ko:K06901	kpc:KPNIH10_26270
ko:K07214	kpc:KPNIH10_26285
ko:K10124	kpc:KPNIH10_26290
ko:K02039	kpc:KPNIH10_26295
ko:K02036	kpc:KPNIH10_26300
ko:K02038	kpc:KPNIH10_26305
ko:K02037	kpc:KPNIH10_26310
ko:K02040	kpc:KPNIH10_26315
ko:K00820	kpc:KPNIH10_26320
ko:K04042	kpc:KPNIH10_26325
ko:K02114	kpc:KPNIH10_26330
ko:K02112	kpc:KPNIH10_26335
ko:K02115	kpc:KPNIH10_26340
ko:K02111	kpc:KPNIH10_26345
ko:K02113	kpc:KPNIH10_26350
ko:K02109	kpc:KPNIH10_26355
ko:K02110	kpc:KPNIH10_26360
ko:K02108	kpc:KPNIH10_26365
ko:K02116	kpc:KPNIH10_26370
ko:K03501	kpc:KPNIH10_26375
ko:K03495	kpc:KPNIH10_26380
ko:K18320	kpc:KPNIH10_26430
ko:K03724	kpc:KPNIH10_26495
ko:K02532	kpc:KPNIH10_26515
ko:K01190	kpc:KPNIH10_26520
ko:K02013	kpc:KPNIH10_26550
ko:K02015	kpc:KPNIH10_26555
ko:K02015	kpc:KPNIH10_26560
ko:K02016	kpc:KPNIH10_26565
ko:K16091	kpc:KPNIH10_26570
ko:K15828	kpc:KPNIH10_20595
ko:K15827	kpc:KPNIH10_20600
ko:K15833	kpc:KPNIH10_20605
ko:K04651	kpc:KPNIH10_20610
ko:K04652	kpc:KPNIH10_20615
ko:K04653	kpc:KPNIH10_20620
ko:K04654	kpc:KPNIH10_20625
ko:K04655	kpc:KPNIH10_20630
ko:K15836	kpc:KPNIH10_20635
ko:K01223	kpc:KPNIH10_20640
ko:K16077	kpc:KPNIH10_20650
ko:K02761	kpc:KPNIH10_20655
ko:K02760	kpc:KPNIH10_20660
ko:K02761	kpc:KPNIH10_20665
ko:K02759	kpc:KPNIH10_20670
ko:K00847	kpc:KPNIH10_20675
ko:K11604	kpc:KPNIH10_20685
ko:K11607	kpc:KPNIH10_20690
ko:K11605	kpc:KPNIH10_20695
ko:K11606	kpc:KPNIH10_20700
ko:K07088	kpc:KPNIH10_20715
ko:K01652	kpc:KPNIH10_20720
ko:K07401	kpc:KPNIH10_20725
ko:K16087	kpc:KPNIH10_20730
ko:K07225	kpc:KPNIH10_20735
ko:K02016	kpc:KPNIH10_20740
ko:K02015	kpc:KPNIH10_20745
ko:K02013	kpc:KPNIH10_20750
ko:K11903	kpc:KPNIH10_20755
ko:K03555	kpc:KPNIH10_20765
ko:K18922	kpc:KPNIH10_20770
ko:K03186	kpc:KPNIH10_20785
ko:K03087	kpc:KPNIH10_20810
ko:K06194	kpc:KPNIH10_20815
ko:K00573	kpc:KPNIH10_20820
ko:K03787	kpc:KPNIH10_20825
ko:K06176	kpc:KPNIH10_20830
ko:K01770	kpc:KPNIH10_20835
ko:K00991	kpc:KPNIH10_20840
ko:K05589	kpc:KPNIH10_20845
ko:K00860	kpc:KPNIH10_20855
ko:K08304	kpc:KPNIH10_21125
ko:K00768	kpc:KPNIH10_21145
ko:K02231	kpc:KPNIH10_21150
ko:K02232	kpc:KPNIH10_21155
ko:K02006	kpc:KPNIH10_21160
ko:K02008	kpc:KPNIH10_21165
ko:K02009	kpc:KPNIH10_21170
ko:K02007	kpc:KPNIH10_21175
ko:K03394	kpc:KPNIH10_21180
ko:K02190	kpc:KPNIH10_21185
ko:K05895	kpc:KPNIH10_21190
ko:K02189	kpc:KPNIH10_21200
ko:K05936	kpc:KPNIH10_21205
ko:K02191	kpc:KPNIH10_21210
ko:K03399	kpc:KPNIH10_21215
ko:K02188	kpc:KPNIH10_21220
ko:K06042	kpc:KPNIH10_21225
ko:K02227	kpc:KPNIH10_21230
ko:K02224	kpc:KPNIH10_21235
ko:K07481	kpc:KPNIH10_21240
ko:K01699	kpc:KPNIH10_21265
ko:K13919	kpc:KPNIH10_21270
ko:K13920	kpc:KPNIH10_21275
ko:K13923	kpc:KPNIH10_21300
ko:K13922	kpc:KPNIH10_21320
ko:K13921	kpc:KPNIH10_21325
ko:K04031	kpc:KPNIH10_21340
ko:K04029	kpc:KPNIH10_21345
ko:K16651	kpc:KPNIH10_21355
ko:K04720	kpc:KPNIH10_21360
ko:K01448	kpc:KPNIH10_21365
ko:K14682	kpc:KPNIH10_21370
ko:K15269	kpc:KPNIH10_21660
ko:K07357	kpc:KPNIH10_21680
ko:K07358	kpc:KPNIH10_21685
ko:K07345	kpc:KPNIH10_21690
ko:K07351	kpc:KPNIH10_21695
ko:K07346	kpc:KPNIH10_21700
ko:K07347	kpc:KPNIH10_21705
ko:K07348	kpc:KPNIH10_21710
ko:K07349	kpc:KPNIH10_21715
ko:K07350	kpc:KPNIH10_21720
ko:K06975	kpc:KPNIH10_21730
ko:K15549	kpc:KPNIH10_21745
ko:K15547	kpc:KPNIH10_21750
ko:K15550	kpc:KPNIH10_21755
ko:K03305	kpc:KPNIH10_21765
ko:K00537	kpc:KPNIH10_21770
ko:K03893	kpc:KPNIH10_21775
ko:K09702	kpc:KPNIH10_21790
ko:K01607	kpc:KPNIH10_21815
ko:K08169	kpc:KPNIH10_21825
ko:K12943	kpc:KPNIH10_21835
ko:K01823	kpc:KPNIH10_21840
ko:K04567	kpc:KPNIH10_21845
ko:K02836	kpc:KPNIH10_21850
ko:K07462	kpc:KPNIH10_21855
ko:K03981	kpc:KPNIH10_21860
ko:K04763	kpc:KPNIH10_21865
ko:K03840	kpc:KPNIH10_21870
ko:K19168	kpc:KPNIH10_21875
ko:K09159	kpc:KPNIH10_21880
ko:K06980	kpc:KPNIH10_21885
ko:K11068	kpc:KPNIH10_21890
ko:K09900	kpc:KPNIH10_21895
ko:K01223	kpc:KPNIH10_21905
ko:K08344	kpc:KPNIH10_21920
ko:K09923	kpc:KPNIH10_22215
ko:K03439	kpc:KPNIH10_22220
ko:K03575	kpc:KPNIH10_22225
ko:K08306	kpc:KPNIH10_22235
ko:K03289	kpc:KPNIH10_22240
ko:K01581	kpc:KPNIH10_22245
ko:K07150	kpc:KPNIH10_22250
ko:K07481	kpc:KPNIH10_22320
ko:K07724	kpc:KPNIH10_22335
ko:K03704	kpc:KPNIH10_22340
ko:K07724	kpc:KPNIH10_22350
ko:K19048	kpc:KPNIH10_22395
ko:K01250	kpc:KPNIH10_14250
ko:K03823	kpc:KPNIH10_14265
ko:K09936	kpc:KPNIH10_14270
ko:K00137	kpc:KPNIH10_14325
ko:K02053	kpc:KPNIH10_14330
ko:K02054	kpc:KPNIH10_14335
ko:K02052	kpc:KPNIH10_14340
ko:K02055	kpc:KPNIH10_14345
ko:K00425	kpc:KPNIH10_14360
ko:K00426	kpc:KPNIH10_14365
ko:K08303	kpc:KPNIH10_14385
ko:K05782	kpc:KPNIH10_14395
ko:K07506	kpc:KPNIH10_14400
ko:K16868	kpc:KPNIH10_14415
ko:K03304	kpc:KPNIH10_14420
ko:K03817	kpc:KPNIH10_14430
ko:K00055	kpc:KPNIH10_14440
ko:K03929	kpc:KPNIH10_14445
ko:K00449	kpc:KPNIH10_14455
ko:K00448	kpc:KPNIH10_14460
ko:K05358	kpc:KPNIH10_14470
ko:K00121	kpc:KPNIH10_14475
ko:K12262	kpc:KPNIH10_14485
ko:K01488	kpc:KPNIH10_14510
ko:K01223	kpc:KPNIH10_14520
ko:K03617	kpc:KPNIH10_14535
ko:K03616	kpc:KPNIH10_14540
ko:K03615	kpc:KPNIH10_14545
ko:K03614	kpc:KPNIH10_14550
ko:K03612	kpc:KPNIH10_14555
ko:K03613	kpc:KPNIH10_14560
ko:K10773	kpc:KPNIH10_14565
ko:K03305	kpc:KPNIH10_14570
ko:K00799	kpc:KPNIH10_14575
ko:K00868	kpc:KPNIH10_14580
ko:K01866	kpc:KPNIH10_14585
ko:K00275	kpc:KPNIH10_14590
ko:K09001	kpc:KPNIH10_14600
ko:K06077	kpc:KPNIH10_14605
ko:K06075	kpc:KPNIH10_14615
ko:K04565	kpc:KPNIH10_14635
ko:K06938	kpc:KPNIH10_14645
ko:K16137	kpc:KPNIH10_14650
ko:K10680	kpc:KPNIH10_14655
ko:K01759	kpc:KPNIH10_14660
ko:K03683	kpc:KPNIH10_14665
ko:K07390	kpc:KPNIH10_14670
ko:K13631	kpc:KPNIH10_14680
ko:K04564	kpc:KPNIH10_14685
ko:K03604	kpc:KPNIH10_14700
ko:K00574	kpc:KPNIH10_14715
ko:K00793	kpc:KPNIH10_14720
ko:K03327	kpc:KPNIH10_14725
ko:K06966	kpc:KPNIH10_14740
ko:K01673	kpc:KPNIH10_14805
ko:K01759	kpc:KPNIH10_14820
ko:K02035	kpc:KPNIH10_14830
ko:K02033	kpc:KPNIH10_14835
ko:K02034	kpc:KPNIH10_14840
ko:K02193	kpc:KPNIH10_15120
ko:K06151	kpc:KPNIH10_15130
ko:K06152	kpc:KPNIH10_15135
ko:K02010	kpc:KPNIH10_15145
ko:K02011	kpc:KPNIH10_15150
ko:K02012	kpc:KPNIH10_15155
ko:K13574	kpc:KPNIH10_15160
ko:K02028	kpc:KPNIH10_15200
ko:K02029	kpc:KPNIH10_15205
ko:K02030	kpc:KPNIH10_15210
ko:K02016	kpc:KPNIH10_15220
ko:K02015	kpc:KPNIH10_15225
ko:K02015	kpc:KPNIH10_15230
ko:K02013	kpc:KPNIH10_15235
ko:K02014	kpc:KPNIH10_15240
ko:K02049	kpc:KPNIH10_15245
ko:K02050	kpc:KPNIH10_15250
ko:K02051	kpc:KPNIH10_15255
ko:K15553	kpc:KPNIH10_15260
ko:K04091	kpc:KPNIH10_15270
ko:K05810	kpc:KPNIH10_15290
ko:K05819	kpc:KPNIH10_15295
ko:K01666	kpc:KPNIH10_15300
ko:K04073	kpc:KPNIH10_15305
ko:K02554	kpc:KPNIH10_15310
ko:K05713	kpc:KPNIH10_15320
ko:K05712	kpc:KPNIH10_15325
ko:K05818	kpc:KPNIH10_15330
ko:K02016	kpc:KPNIH10_15335
ko:K02015	kpc:KPNIH10_15340
ko:K02013	kpc:KPNIH10_15345
ko:K02020	kpc:KPNIH10_15350
ko:K00014	kpc:KPNIH10_15355
ko:K08194	kpc:KPNIH10_15360
ko:K00457	kpc:KPNIH10_15365
ko:K00873	kpc:KPNIH10_15380
ko:K03832	kpc:KPNIH10_15665
ko:K09780	kpc:KPNIH10_15670
ko:K06131	kpc:KPNIH10_15685
ko:K09901	kpc:KPNIH10_15690
ko:K10716	kpc:KPNIH10_15695
ko:K10823	kpc:KPNIH10_15700
ko:K15583	kpc:KPNIH10_15705
ko:K15582	kpc:KPNIH10_15710
ko:K15581	kpc:KPNIH10_15715
ko:K15580	kpc:KPNIH10_15720
ko:K04072	kpc:KPNIH10_15730
ko:K03746	kpc:KPNIH10_15740
ko:K00963	kpc:KPNIH10_15745
ko:K07001	kpc:KPNIH10_15755
ko:K09858	kpc:KPNIH10_15760
ko:K01433	kpc:KPNIH10_15765
ko:K03719	kpc:KPNIH10_15780
ko:K00374	kpc:KPNIH10_15790
ko:K00373	kpc:KPNIH10_15795
ko:K00371	kpc:KPNIH10_15800
ko:K00370	kpc:KPNIH10_15805
ko:K02575	kpc:KPNIH10_15810
ko:K07673	kpc:KPNIH10_15815
ko:K07684	kpc:KPNIH10_15820
ko:K00372	kpc:KPNIH10_15830
ko:K00362	kpc:KPNIH10_15835
ko:K15578	kpc:KPNIH10_15840
ko:K15577	kpc:KPNIH10_15845
ko:K06039	kpc:KPNIH10_15860
ko:K07232	kpc:KPNIH10_15870
ko:K07300	kpc:KPNIH10_15880
ko:K01627	kpc:KPNIH10_15885
ko:K02493	kpc:KPNIH10_15900
ko:K02835	kpc:KPNIH10_15905
ko:K02492	kpc:KPNIH10_15910
ko:K02494	kpc:KPNIH10_15915
ko:K00919	kpc:KPNIH10_15920
ko:K00948	kpc:KPNIH10_15925
ko:K00656	kpc:KPNIH10_16210
ko:K00932	kpc:KPNIH10_16215
ko:K03838	kpc:KPNIH10_16220
ko:K01754	kpc:KPNIH10_16225
ko:K07592	kpc:KPNIH10_16230
ko:K07395	kpc:KPNIH10_16250
ko:K01194	kpc:KPNIH10_16275
ko:K02014	kpc:KPNIH10_16280
ko:K08308	kpc:KPNIH10_16285
ko:K01297	kpc:KPNIH10_16290
ko:K11105	kpc:KPNIH10_16295
ko:K01775	kpc:KPNIH10_16300
ko:K00285	kpc:KPNIH10_16305
ko:K03603	kpc:KPNIH10_16315
ko:K03314	kpc:KPNIH10_16325
ko:K03611	kpc:KPNIH10_16330
ko:K09160	kpc:KPNIH10_16340
ko:K09902	kpc:KPNIH10_16350
ko:K03610	kpc:KPNIH10_16355
ko:K03609	kpc:KPNIH10_16360
ko:K03608	kpc:KPNIH10_16365
ko:K03684	kpc:KPNIH10_16370
ko:K01897	kpc:KPNIH10_16375
ko:K07285	kpc:KPNIH10_16380
ko:K14742	kpc:KPNIH10_16385
ko:K09917	kpc:KPNIH10_16400
ko:K01665	kpc:KPNIH10_16405
ko:K01752	kpc:KPNIH10_16415
ko:K02793	kpc:KPNIH10_16430
ko:K02794	kpc:KPNIH10_16430
ko:K02795	kpc:KPNIH10_16435
ko:K00563	kpc:KPNIH10_16455
ko:K03587	kpc:KPNIH10_16460
ko:K03704	kpc:KPNIH10_16465
ko:K08169	kpc:KPNIH10_16485
ko:K01626	kpc:KPNIH10_19780
ko:K02884	kpc:KPNIH10_19810
ko:K00554	kpc:KPNIH10_19815
ko:K02860	kpc:KPNIH10_19820
ko:K02959	kpc:KPNIH10_19825
ko:K03106	kpc:KPNIH10_19830
ko:K03687	kpc:KPNIH10_19845
ko:K00858	kpc:KPNIH10_19850
ko:K03631	kpc:KPNIH10_19855
ko:K06186	kpc:KPNIH10_19860
ko:K09801	kpc:KPNIH10_19865
ko:K03664	kpc:KPNIH10_19875
ko:K18900	kpc:KPNIH10_20110
ko:K05804	kpc:KPNIH10_20125
ko:K12255	kpc:KPNIH10_20150
ko:K02030	kpc:KPNIH10_20165
ko:K02028	kpc:KPNIH10_20170
ko:K02029	kpc:KPNIH10_20170
ko:K12972	kpc:KPNIH10_20180
ko:K01713	kpc:KPNIH10_20195
ko:K07345	kpc:KPNIH10_20205
ko:K07347	kpc:KPNIH10_20215
ko:K07347	kpc:KPNIH10_20230
ko:K07345	kpc:KPNIH10_20240
ko:K00138	kpc:KPNIH10_20245
ko:K01118	kpc:KPNIH10_20260
ko:K11685	kpc:KPNIH10_20285
ko:K00375	kpc:KPNIH10_20305
ko:K03647	kpc:KPNIH10_20320
ko:K02000	kpc:KPNIH10_20335
ko:K11071	kpc:KPNIH10_10000
ko:K11072	kpc:KPNIH10_10005
ko:K01977	kpc:KPNIH10_04725
ko:K14222	kpc:KPNIH10_16810
ko:K14219	kpc:KPNIH10_18530
ko:K14223	kpc:KPNIH10_07615
ko:K14223	kpc:KPNIH10_07620
ko:K19270	kpc:KPNIH10_18305
ko:K19265	kpc:KPNIH10_18590
ko:K14233	kpc:KPNIH10_20430
ko:K14234	kpc:KPNIH10_05090
ko:K14223	kpc:KPNIH10_07630
ko:K14223	kpc:KPNIH10_07635
ko:K14228	kpc:KPNIH10_16805
ko:K14228	kpc:KPNIH10_03455
ko:K14228	kpc:KPNIH10_03465
ko:K14228	kpc:KPNIH10_03460
ko:K14228	kpc:KPNIH10_00775
ko:K14228	kpc:KPNIH10_02770
ko:K14237	kpc:KPNIH10_07935
ko:K14237	kpc:KPNIH10_18640
ko:K14237	kpc:KPNIH10_18645
ko:K14237	kpc:KPNIH10_18650
ko:K14237	kpc:KPNIH10_07945
ko:K01992	kpc:KPNIH10_03040
ko:K01992	kpc:KPNIH10_08265
ko:K01992	kpc:KPNIH10_08270
ko:K00839	kpc:KPNIH10_13465
ko:K01066	kpc:KPNIH10_00185
ko:K14237	kpc:KPNIH10_14755
ko:K01992	kpc:KPNIH10_25610
ko:K01980	kpc:KPNIH10_00580
ko:K01980	kpc:KPNIH10_19725
ko:K03722	kpc:KPNIH10_16390
ko:K19416	kpc:KPNIH10_09415
ko:K14235	kpc:KPNIH10_00595
ko:K14226	kpc:KPNIH10_00770
ko:K00020	kpc:KPNIH10_13070
ko:K07497	kpc:KPNIH10_22575
ko:K07497	kpc:KPNIH10_25170
ko:K07497	kpc:KPNIH10_10425
ko:K07497	kpc:KPNIH10_01835
ko:K07497	kpc:KPNIH10_01900
ko:K07497	kpc:KPNIH10_02840
ko:K07497	kpc:KPNIH10_02850
ko:K07497	kpc:KPNIH10_06985
ko:K07497	kpc:KPNIH10_17285
ko:K07497	kpc:KPNIH10_27135
ko:K07497	kpc:KPNIH10_27960
ko:K11645	kpc:KPNIH10_17630
ko:K11745	kpc:KPNIH10_03840
ko:K19335	kpc:KPNIH10_11640
ko:K03722	kpc:KPNIH10_08320
ko:K00529	kpc:KPNIH10_22080
ko:K19267	kpc:KPNIH10_02330
ko:K01978	kpc:KPNIH10_26400
