ko:K18929	cjs:CJS3_0074
ko:K02557	cjs:CJS3_0323
ko:K02556	cjs:CJS3_0324
ko:K03701	cjs:CJS3_0333
ko:K07090	cjs:CJS3_0334
ko:K01657	cjs:CJS3_0336
ko:K13497	cjs:CJS3_0337
ko:K01817	cjs:CJS3_0338
ko:K01696	cjs:CJS3_0339
ko:K01695	cjs:CJS3_0340
ko:K02417	cjs:CJS3_0342
ko:K01524	cjs:CJS3_0344
ko:K01633	cjs:CJS3_0347
ko:K08591	cjs:CJS3_0348
ko:K00428	cjs:CJS3_0349
ko:K03431	cjs:CJS3_0350
ko:K03101	cjs:CJS3_0351
ko:K08973	cjs:CJS3_0352
ko:K03585	cjs:CJS3_0357
ko:K02970	cjs:CJS3_0360
ko:K09767	cjs:CJS3_0364
ko:K01591	cjs:CJS3_0371
ko:K03625	cjs:CJS3_0372
ko:K00794	cjs:CJS3_0373
ko:K01627	cjs:CJS3_0374
ko:K03977	cjs:CJS3_0376
ko:K00609	cjs:CJS3_1145
ko:K08602	cjs:CJS3_1146
ko:K03657	cjs:CJS3_1148
ko:K03563	cjs:CJS3_1150
ko:K00919	cjs:CJS3_1151
ko:K03664	cjs:CJS3_1152
ko:K06891	cjs:CJS3_1154
ko:K03694	cjs:CJS3_1155
ko:K00684	cjs:CJS3_1156
ko:K01613	cjs:CJS3_1162
ko:K03798	cjs:CJS3_1163
ko:K02687	cjs:CJS3_1164
ko:K03413	cjs:CJS3_1165
ko:K07501	cjs:CJS3_1178
ko:K02841	cjs:CJS3_1179
ko:K02517	cjs:CJS3_1180
ko:K03271	cjs:CJS3_1191
ko:K03272	cjs:CJS3_1192
ko:K03274	cjs:CJS3_1193
ko:K03273	cjs:CJS3_1194
ko:K02573	cjs:CJS3_0829
ko:K00891	cjs:CJS3_0377
ko:K01867	cjs:CJS3_0378
ko:K01875	cjs:CJS3_0379
ko:K00873	cjs:CJS3_0382
ko:K00116	cjs:CJS3_0383
ko:K03525	cjs:CJS3_0384
ko:K02435	cjs:CJS3_0388
ko:K03558	cjs:CJS3_0389
ko:K04567	cjs:CJS3_0391
ko:K00600	cjs:CJS3_0392
ko:K03749	cjs:CJS3_0394
ko:K00014	cjs:CJS3_0395
ko:K13292	cjs:CJS3_0397
ko:K00246	cjs:CJS3_0398
ko:K06152	cjs:CJS3_0404
ko:K06151	cjs:CJS3_0405
ko:K01925	cjs:CJS3_0421
ko:K01000	cjs:CJS3_0422
ko:K15633	cjs:CJS3_0423
ko:K00239	cjs:CJS3_0426
ko:K00240	cjs:CJS3_0427
ko:K03628	cjs:CJS3_1198
ko:K02343	cjs:CJS3_1199
ko:K11743	cjs:CJS3_1215
ko:K11742	cjs:CJS3_1216
ko:K01887	cjs:CJS3_1217
ko:K03116	cjs:CJS3_1218
ko:K00942	cjs:CJS3_1219
ko:K02421	cjs:CJS3_1221
ko:K02357	cjs:CJS3_1223
ko:K02967	cjs:CJS3_1224
ko:K00574	cjs:CJS3_1225
ko:K00413	cjs:CJS3_1226
ko:K00412	cjs:CJS3_1227
ko:K00411	cjs:CJS3_1228
ko:K03893	cjs:CJS3_1229
ko:K03495	cjs:CJS3_1230
ko:K11103	cjs:CJS3_1234
ko:K03306	cjs:CJS3_1236
ko:K01465	cjs:CJS3_1237
ko:K00057	cjs:CJS3_1238
ko:K02434	cjs:CJS3_1239
ko:K07173	cjs:CJS3_1240
ko:K00549	cjs:CJS3_1243
ko:K00297	cjs:CJS3_1244
ko:K12097	cjs:CJS3_pTet0018
ko:K18138	cjs:CJS3_0356
ko:K14234	cjs:CJS3_1819
ko:K14228	cjs:CJS3_1849
ko:K14228	cjs:CJS3_1852
ko:K14219	cjs:CJS3_1853
ko:K14219	cjs:CJS3_1854
ko:K14226	cjs:CJS3_1855
ko:K14230	cjs:CJS3_1857
ko:K14218	cjs:CJS3_1859
ko:K14237	cjs:CJS3_1860
ko:K14222	cjs:CJS3_1850
ko:K14224	cjs:CJS3_1813
ko:K14236	cjs:CJS3_1820
ko:K14234	cjs:CJS3_1822
ko:K14219	cjs:CJS3_1824
ko:K14230	cjs:CJS3_1825
ko:K14223	cjs:CJS3_1826
ko:K01980	cjs:CJS3_1811
ko:K01980	cjs:CJS3_1830
ko:K01980	cjs:CJS3_1817
ko:K01985	cjs:CJS3_1812
ko:K01985	cjs:CJS3_1831
ko:K01985	cjs:CJS3_1818
ko:K14233	cjs:CJS3_1846
ko:K01977	cjs:CJS3_1808
ko:K01977	cjs:CJS3_1814
ko:K01977	cjs:CJS3_1827
ko:K14233	cjs:CJS3_1858
ko:K16089	cjs:CJS3_0804
ko:K10041	cjs:CJS3_0964
ko:K14227	cjs:CJS3_1810
ko:K14227	cjs:CJS3_1816
ko:K14227	cjs:CJS3_1829
ko:K14225	cjs:CJS3_1848
ko:K14225	cjs:CJS3_1833
ko:K14228	cjs:CJS3_1834
ko:K14221	cjs:CJS3_1835
ko:K14221	cjs:CJS3_1839
ko:K14237	cjs:CJS3_1836
ko:K14237	cjs:CJS3_1840
ko:K14224	cjs:CJS3_1837
ko:K14229	cjs:CJS3_1838
ko:K14229	cjs:CJS3_1841
ko:K14219	cjs:CJS3_1842
ko:K14220	cjs:CJS3_1843
ko:K14231	cjs:CJS3_1845
ko:K14238	cjs:CJS3_1847
ko:K14225	cjs:CJS3_1821
ko:K14228	cjs:CJS3_1832
ko:K14233	cjs:CJS3_1851
ko:K10039	cjs:CJS3_0963
ko:K16087	cjs:CJS3_0174
ko:K02029	cjs:CJS3_0460
ko:K02028	cjs:CJS3_0461
ko:K02030	cjs:CJS3_1032
ko:K01885	cjs:CJS3_0889
ko:K07098	cjs:CJS3_0890
ko:K03342	cjs:CJS3_0906
ko:K04763	cjs:CJS3_0907
ko:K00058	cjs:CJS3_0932
ko:K00674	cjs:CJS3_1686
ko:K03593	cjs:CJS3_1687
ko:K02014	cjs:CJS3_1695
ko:K03469	cjs:CJS3_1718
ko:K08077	cjs:CJS3_0439
ko:K02342	cjs:CJS3_0444
ko:K01934	cjs:CJS3_1251
ko:K02238	cjs:CJS3_1254
ko:K13640	cjs:CJS3_1273
ko:K06603	cjs:CJS3_0537
ko:K01104	cjs:CJS3_1303
ko:K02342	cjs:CJS3_1349
ko:K01092	cjs:CJS3_0127
ko:K04517	cjs:CJS3_0129
ko:K09815	cjs:CJS3_0142
ko:K00575	cjs:CJS3_0965
ko:K02004	cjs:CJS3_0983
ko:K02067	cjs:CJS3_1730
ko:K02004	cjs:CJS3_1743
ko:K02004	cjs:CJS3_1744
ko:K01082	cjs:CJS3_1760
ko:K02010	cjs:CJS3_0169
ko:K06346	cjs:CJS3_1001
ko:K03498	cjs:CJS3_1380
ko:K03499	cjs:CJS3_1381
ko:K01885	cjs:CJS3_1385
ko:K04652	cjs:CJS3_0613
ko:K04655	cjs:CJS3_0616
ko:K07304	cjs:CJS3_0627
ko:K01507	cjs:CJS3_0628
ko:K00939	cjs:CJS3_0629
ko:K01262	cjs:CJS3_0643
ko:K15898	cjs:CJS3_1417
ko:K01409	cjs:CJS3_1438
ko:K01679	cjs:CJS3_1462
ko:K03406	cjs:CJS3_0253
ko:K03406	cjs:CJS3_0255
ko:K02242	cjs:CJS3_1077
ko:K06078	cjs:CJS3_pTet0042
ko:K00616	cjs:CJS3_0270
ko:K02017	cjs:CJS3_0286
ko:K00652	cjs:CJS3_0292
ko:K02566	cjs:CJS3_0301
ko:K09825	cjs:CJS3_0308
ko:K03386	cjs:CJS3_0320
ko:K03148	cjs:CJS3_1095
ko:K01439	cjs:CJS3_1097
ko:K00088	cjs:CJS3_1106
ko:K02433	cjs:CJS3_1107
ko:K01719	cjs:CJS3_1127
ko:K07457	cjs:CJS3_1130
ko:K07792	cjs:CJS3_0662
ko:K00769	cjs:CJS3_1468
ko:K02428	cjs:CJS3_1472
ko:K01760	cjs:CJS3_1488
ko:K07031	cjs:CJS3_1518
ko:K03177	cjs:CJS3_1149
ko:K03406	cjs:CJS3_1157
ko:K05595	cjs:CJS3_1158
ko:K07305	cjs:CJS3_1159
ko:K01784	cjs:CJS3_1177
ko:K02055	cjs:CJS3_0778
ko:K01585	cjs:CJS3_0812
ko:K03406	cjs:CJS3_1585
ko:K00127	cjs:CJS3_1588
ko:K00124	cjs:CJS3_1589
ko:K03635	cjs:CJS3_1598
ko:K03796	cjs:CJS3_1610
ko:K06857	cjs:CJS3_1616
ko:K06013	cjs:CJS3_0774
ko:K02454	cjs:CJS3_1551
ko:K03286	cjs:CJS3_1558
ko:K02843	cjs:CJS3_1189
ko:K03406	cjs:CJS3_0019
ko:K01424	cjs:CJS3_0029
ko:K02574	cjs:CJS3_0830
ko:K00974	cjs:CJS3_0837
ko:K11085	cjs:CJS3_0851
ko:K00076	cjs:CJS3_0855
ko:K01916	cjs:CJS3_0858
ko:K00567	cjs:CJS3_0880
ko:K01607	cjs:CJS3_1633
ko:K03325	cjs:CJS3_1642
ko:K03406	cjs:CJS3_1644
ko:K02033	cjs:CJS3_1663
ko:K02035	cjs:CJS3_1664
ko:K03711	cjs:CJS3_0390
ko:K00244	cjs:CJS3_0399
ko:K00245	cjs:CJS3_0400
ko:K07126	cjs:CJS3_0403
ko:K00059	cjs:CJS3_0424
ko:K09981	cjs:CJS3_1206
ko:K00016	cjs:CJS3_1209
ko:K03768	cjs:CJS3_1213
ko:K14235	cjs:CJS3_1823
ko:K14232	cjs:CJS3_1856
ko:K16052	cjs:CJS3_0227
ko:K14230	cjs:CJS3_1844
ko:K14218	cjs:CJS3_1809
ko:K14218	cjs:CJS3_1828
ko:K14218	cjs:CJS3_1815
ko:K10040	cjs:CJS3_0962
ko:K01270	cjs:CJS3_1030
ko:K18682	cjs:CJS3_1252
ko:K15910	cjs:CJS3_1168
ko:K16264	cjs:CJS3_1205
ko:K02054	cjs:CJS3_0781
ko:K08996	cjs:CJS3_0014
ko:K15913	cjs:CJS3_1169
ko:K11014	cjs:CJS3_0078
ko:K11015	cjs:CJS3_0077
ko:K15912	cjs:CJS3_1167
ko:K15914	cjs:CJS3_1171
ko:K02031	cjs:CJS3_1661
ko:K13017	cjs:CJS3_0498
ko:K15899	cjs:CJS3_1411
ko:K15915	cjs:CJS3_1170
ko:K11013	cjs:CJS3_0079
ko:K01959	cjs:CJS3_1086
ko:K16849	cjs:CJS3_0474
ko:K11382	cjs:CJS3_0279
ko:K11782	cjs:CJS3_1382
ko:K16850	cjs:CJS3_0475
ko:K03559	cjs:CJS3_1710
ko:K03559	cjs:CJS3_0109
ko:K03559	cjs:CJS3_0176
ko:K15897	cjs:CJS3_1412
ko:K02003	cjs:CJS3_1222
ko:K15895	cjs:CJS3_1391
ko:K15896	cjs:CJS3_1413
ko:K09951	cjs:CJS3_1601
ko:K17103	cjs:CJS3_1161
ko:K02028	cjs:CJS3_0943
ko:K02030	cjs:CJS3_0786
ko:K02030	cjs:CJS3_0863
ko:K17247	cjs:CJS3_0368
ko:K17248	cjs:CJS3_1173
ko:K17249	cjs:CJS3_1175
ko:K17250	cjs:CJS3_1174
ko:K17251	cjs:CJS3_1172
ko:K01664	cjs:CJS3_0905
ko:K08738	cjs:CJS3_1195
ko:K02484	cjs:CJS3_1265
ko:K02484	cjs:CJS3_1269
ko:K02484	cjs:CJS3_1307
ko:K02029	cjs:CJS3_0942
ko:K02029	cjs:CJS3_0982
ko:K17686	cjs:CJS3_1197
ko:K05540	cjs:CJS3_0122
ko:K11928	cjs:CJS3_1581
ko:K08173	cjs:CJS3_0326
ko:K01156	cjs:CJS3_0619
ko:K07318	cjs:CJS3_0204
ko:K00290	cjs:CJS3_0168
ko:K01497	cjs:CJS3_1045
ko:K00254	cjs:CJS3_0852
ko:K07003	cjs:CJS3_1471
ko:K18220	cjs:CJS3_pTet0010
ko:K17938	cjs:CJS3_0178
ko:K05922	cjs:CJS3_1311
ko:K05927	cjs:CJS3_1494
ko:K05927	cjs:CJS3_1312
ko:K15669	cjs:CJS3_1516
ko:K00104	cjs:CJS3_1256
ko:K03605	cjs:CJS3_1309
ko:K05366	cjs:CJS3_0501
ko:K01533	cjs:CJS3_1203
ko:K18284	cjs:CJS3_0116
ko:K02073	cjs:CJS3_0818
ko:K02073	cjs:CJS3_0819
ko:K03406	cjs:CJS3_0143
ko:K02073	cjs:CJS3_1242
ko:K03320	cjs:CJS3_0493
ko:K03305	cjs:CJS3_0646
ko:K03305	cjs:CJS3_0649
ko:K18429	cjs:CJS3_1422
ko:K18430	cjs:CJS3_1421
ko:K18431	cjs:CJS3_1425
ko:K11784	cjs:CJS3_0454
ko:K11785	cjs:CJS3_1756
ko:K18333	cjs:CJS3_0477
ko:K18285	cjs:CJS3_1466
ko:K02482	cjs:CJS3_0841
ko:K01174	cjs:CJS3_1029
ko:K04753	cjs:CJS3_1596
ko:K06148	cjs:CJS3_1176
ko:K07216	cjs:CJS3_1267
ko:K03743	cjs:CJS3_1110
ko:K18480	cjs:CJS3_1731
ko:K00241	cjs:CJS3_0428
ko:K07316	cjs:CJS3_0618
ko:K07171	cjs:CJS3_1375
ko:K18924	cjs:CJS3_0296
ko:K18925	cjs:CJS3_0295
ko:K03789	cjs:CJS3_1402
ko:K10747	cjs:CJS3_1751
ko:K18930	cjs:CJS3_1665
ko:K09797	cjs:CJS3_0034
ko:K03496	cjs:CJS3_0099
ko:K03497	cjs:CJS3_0100
ko:K03169	cjs:CJS3_pTet0013
ko:K03205	cjs:CJS3_pTet0019
ko:K03196	cjs:CJS3_pTet0020
ko:K03204	cjs:CJS3_pTet0022
ko:K03203	cjs:CJS3_pTet0023
ko:K03201	cjs:CJS3_pTet0025
ko:K03111	cjs:CJS3_pTet0028
ko:K03111	cjs:CJS3_1118
ko:K00662	cjs:CJS3_1394
ko:K00662	cjs:CJS3_1408
ko:K18992	cjs:CJS3_0358
ko:K00335	cjs:CJS3_1654
ko:K03526	cjs:CJS3_0737
ko:K06992	cjs:CJS3_0058
ko:K07452	cjs:CJS3_0138
ko:K07097	cjs:CJS3_0923
ko:K15461	cjs:CJS3_1313
ko:K00557	cjs:CJS3_0875
ko:K00336	cjs:CJS3_1653
ko:K03761	cjs:CJS3_1700
ko:K19147	cjs:CJS3_0139
ko:K00571	cjs:CJS3_1330
ko:K22468	cjs:CJS3_0594
ko:K15342	cjs:CJS3_1602
ko:K04771	cjs:CJS3_1271
ko:K19210	cjs:CJS3_0285
ko:K03892	cjs:CJS3_1640
ko:K00265	cjs:CJS3_0007
ko:K06867	cjs:CJS3_1483
ko:K07496	cjs:CJS3_0802
ko:K19416	cjs:CJS3_0225
ko:K06867	cjs:CJS3_0878
ko:K07216	cjs:CJS3_0071
ko:K07216	cjs:CJS3_0072
ko:K10938	cjs:CJS3_0278
ko:K19713	cjs:CJS3_0918
ko:K19713	cjs:CJS3_0919
ko:K07147	cjs:CJS3_0369
ko:K09796	cjs:CJS3_0950
ko:K10938	cjs:CJS3_0826
ko:K07741	cjs:CJS3_1343
ko:K20810	cjs:CJS3_0067
ko:K03200	cjs:CJS3_pTet0026
ko:K03197	cjs:CJS3_pTet0032
ko:K03195	cjs:CJS3_pTet0021
ko:K03199	cjs:CJS3_pTet0031
ko:K00821	cjs:CJS3_0216
ko:K02335	cjs:CJS3_0325
ko:K03465	cjs:CJS3_0026
ko:K02316	cjs:CJS3_1720
ko:K03553	cjs:CJS3_1755
ko:K06919	cjs:CJS3_pTet0043
ko:K02314	cjs:CJS3_0553
ko:K06903	cjs:CJS3_0716
ko:K06907	cjs:CJS3_0723
ko:K06908	cjs:CJS3_0724
ko:K06906	cjs:CJS3_0729
ko:K06905	cjs:CJS3_0731
ko:K06223	cjs:CJS3_0732
ko:K02483	cjs:CJS3_1306
ko:K02483	cjs:CJS3_0346
ko:K02483	cjs:CJS3_1270
ko:K00525	cjs:CJS3_0024
ko:K02032	cjs:CJS3_1660
ko:K02481	cjs:CJS3_1073
ko:K01139	cjs:CJS3_1317
ko:K00526	cjs:CJS3_0220
ko:K13695	cjs:CJS3_1735
ko:K21420	cjs:CJS3_1084
ko:K01451	cjs:CJS3_1036
ko:K10026	cjs:CJS3_0159
ko:K21600	cjs:CJS3_0503
ko:K21929	cjs:CJS3_1007
ko:K03741	cjs:CJS3_1641
ko:K03595	cjs:CJS3_0652
ko:K14441	cjs:CJS3_1535
ko:K17758	cjs:CJS3_0184
ko:K17759	cjs:CJS3_0184
ko:K22391	cjs:CJS3_0756
ko:K22477	cjs:CJS3_0214
