ko:K19272	kpne:KU54_00025
ko:K09781	kpne:KU54_009165
ko:K07781	kpne:KU54_009185
ko:K01176	kpne:KU54_009195
ko:K02424	kpne:KU54_009200
ko:K05396	kpne:KU54_009205
ko:K10009	kpne:KU54_009210
ko:K10010	kpne:KU54_009215
ko:K07782	kpne:KU54_009220
ko:K07689	kpne:KU54_009230
ko:K03703	kpne:KU54_009235
ko:K00995	kpne:KU54_009240
ko:K01714	kpne:KU54_009260
ko:K07039	kpne:KU54_009265
ko:K03834	kpne:KU54_009270
ko:K02217	kpne:KU54_009280
ko:K16210	kpne:KU54_009305
ko:K02255	kpne:KU54_009315
ko:K10537	kpne:KU54_009320
ko:K11963	kpne:KU54_013515
ko:K11962	kpne:KU54_013520
ko:K11961	kpne:KU54_013525
ko:K11960	kpne:KU54_013530
ko:K11959	kpne:KU54_013535
ko:K00549	kpne:KU54_013540
ko:K13633	kpne:KU54_013550
ko:K01190	kpne:KU54_013570
ko:K02532	kpne:KU54_013575
ko:K18699	kpne:KU54_013590
ko:K03299	kpne:KU54_013620
ko:K07481	kpne:KU54_013630
ko:K04080	kpne:KU54_013655
ko:K01284	kpne:KU54_013700
ko:K16066	kpne:KU54_013705
ko:K11932	kpne:KU54_013715
ko:K00040	kpne:KU54_013720
ko:K09771	kpne:KU54_013730
ko:K00657	kpne:KU54_013740
ko:K07309	kpne:KU54_013755
ko:K07307	kpne:KU54_013760
ko:K07312	kpne:KU54_013765
ko:K03281	kpne:KU54_013775
ko:K01935	kpne:KU54_013780
ko:K14441	kpne:KU54_017910
ko:K13891	kpne:KU54_017915
ko:K13890	kpne:KU54_017920
ko:K13889	kpne:KU54_017925
ko:K13892	kpne:KU54_017930
ko:K13051	kpne:KU54_017935
ko:K03750	kpne:KU54_017940
ko:K04069	kpne:KU54_017950
ko:K00656	kpne:KU54_017955
ko:K07757	kpne:KU54_017960
ko:K08191	kpne:KU54_017975
ko:K01187	kpne:KU54_017980
ko:K19235	kpne:KU54_018000
ko:K03492	kpne:KU54_018005
ko:K01223	kpne:KU54_018010
ko:K11924	kpne:KU54_018020
ko:K11934	kpne:KU54_018035
ko:K11939	kpne:KU54_018045
ko:K04047	kpne:KU54_018050
ko:K10036	kpne:KU54_018055
ko:K10037	kpne:KU54_018060
ko:K10038	kpne:KU54_018065
ko:K06970	kpne:KU54_018075
ko:K13650	kpne:KU54_018085
ko:K11927	kpne:KU54_018110
ko:K00615	kpne:KU54_018115
ko:K00615	kpne:KU54_018120
ko:K01993	kpne:KU54_018150
ko:K05714	kpne:KU54_010825
ko:K04772	kpne:KU54_002545
ko:K03445	kpne:KU54_000210
ko:K03273	kpne:KU54_021775
ko:K02071	kpne:KU54_021780
ko:K02072	kpne:KU54_021785
ko:K02073	kpne:KU54_021790
ko:K06080	kpne:KU54_021795
ko:K01881	kpne:KU54_021805
ko:K06079	kpne:KU54_021815
ko:K15034	kpne:KU54_021820
ko:K19000	kpne:KU54_021835
ko:K04075	kpne:KU54_021840
ko:K08234	kpne:KU54_021845
ko:K01962	kpne:KU54_021855
ko:K03470	kpne:KU54_021865
ko:K00748	kpne:KU54_021870
ko:K00677	kpne:KU54_021875
ko:K02372	kpne:KU54_021880
ko:K02536	kpne:KU54_021885
ko:K06142	kpne:KU54_021890
ko:K07277	kpne:KU54_021895
ko:K11749	kpne:KU54_021900
ko:K00981	kpne:KU54_021905
ko:K00806	kpne:KU54_021910
ko:K00099	kpne:KU54_021915
ko:K02838	kpne:KU54_021920
ko:K09903	kpne:KU54_021925
ko:K02357	kpne:KU54_021930
ko:K02967	kpne:KU54_021935
ko:K01265	kpne:KU54_021940
ko:K00990	kpne:KU54_021945
ko:K00674	kpne:KU54_021950
ko:K02647	kpne:KU54_021960
ko:K01129	kpne:KU54_021970
ko:K01243	kpne:KU54_021975
ko:K06858	kpne:KU54_021980
ko:K15724	kpne:KU54_021990
ko:K00455	kpne:KU54_023340
ko:K01826	kpne:KU54_023345
ko:K02509	kpne:KU54_023350
ko:K02510	kpne:KU54_023355
ko:K02511	kpne:KU54_023360
ko:K02508	kpne:KU54_023365
ko:K00483	kpne:KU54_023370
ko:K00484	kpne:KU54_023375
ko:K00135	kpne:KU54_023410
ko:K00355	kpne:KU54_023495
ko:K02057	kpne:KU54_023500
ko:K02057	kpne:KU54_023505
ko:K02056	kpne:KU54_023510
ko:K02058	kpne:KU54_023515
ko:K01867	kpne:KU54_023520
ko:K01993	kpne:KU54_023525
ko:K13926	kpne:KU54_023530
ko:K18850	kpne:KU54_023570
ko:K07644	kpne:KU54_023585
ko:K07665	kpne:KU54_023590
ko:K07796	kpne:KU54_023600
ko:K07810	kpne:KU54_023605
ko:K07798	kpne:KU54_023610
ko:K06861	kpne:KU54_002660
ko:K09774	kpne:KU54_002665
ko:K11719	kpne:KU54_002670
ko:K03270	kpne:KU54_002675
ko:K06041	kpne:KU54_002680
ko:K07301	kpne:KU54_002685
ko:K02065	kpne:KU54_002690
ko:K02066	kpne:KU54_002695
ko:K02067	kpne:KU54_002700
ko:K07323	kpne:KU54_002705
ko:K07122	kpne:KU54_002710
ko:K00790	kpne:KU54_002720
ko:K07724	kpne:KU54_002725
ko:K02523	kpne:KU54_002730
ko:K02888	kpne:KU54_002735
ko:K02899	kpne:KU54_002740
ko:K03979	kpne:KU54_002750
ko:K07259	kpne:KU54_002755
ko:K03624	kpne:KU54_002760
ko:K07574	kpne:KU54_002765
ko:K02427	kpne:KU54_002770
ko:K03798	kpne:KU54_002775
ko:K00796	kpne:KU54_002780
ko:K03431	kpne:KU54_002785
ko:K03075	kpne:KU54_002790
ko:K01940	kpne:KU54_002815
ko:K09748	kpne:KU54_002830
ko:K02600	kpne:KU54_002835
ko:K02519	kpne:KU54_002840
ko:K02834	kpne:KU54_002845
ko:K03177	kpne:KU54_002850
ko:K02956	kpne:KU54_002855
ko:K00962	kpne:KU54_002865
ko:K05803	kpne:KU54_002870
ko:K05592	kpne:KU54_002875
ko:K03835	kpne:KU54_002880
ko:K08303	kpne:KU54_002895
ko:K03824	kpne:KU54_002905
ko:K07461	kpne:KU54_002910
ko:K09979	kpne:KU54_002915
ko:K05520	kpne:KU54_002920
ko:K07089	kpne:KU54_002930
ko:K04026	kpne:KU54_007120
ko:K04025	kpne:KU54_007125
ko:K04033	kpne:KU54_007130
ko:K00228	kpne:KU54_007135
ko:K01448	kpne:KU54_007140
ko:K07223	kpne:KU54_007160
ko:K02048	kpne:KU54_007175
ko:K02046	kpne:KU54_007180
ko:K02047	kpne:KU54_007185
ko:K02045	kpne:KU54_007190
ko:K12339	kpne:KU54_007195
ko:K00868	kpne:KU54_007210
ko:K02777	kpne:KU54_007220
ko:K08483	kpne:KU54_007225
ko:K02784	kpne:KU54_007230
ko:K01738	kpne:KU54_007240
ko:K06203	kpne:KU54_007245
ko:K03528	kpne:KU54_007255
ko:K01972	kpne:KU54_007260
ko:K09954	kpne:KU54_007265
ko:K14347	kpne:KU54_007270
ko:K01885	kpne:KU54_007300
ko:K11535	kpne:KU54_007330
ko:K03322	kpne:KU54_007335
ko:K00845	kpne:KU54_007360
ko:K02477	kpne:KU54_007365
ko:K02478	kpne:KU54_007370
ko:K14261	kpne:KU54_007385
ko:K03449	kpne:KU54_007390
ko:K00275	kpne:KU54_011560
ko:K01866	kpne:KU54_011565
ko:K00868	kpne:KU54_011570
ko:K00799	kpne:KU54_011575
ko:K03305	kpne:KU54_011580
ko:K10773	kpne:KU54_011590
ko:K03613	kpne:KU54_011595
ko:K03612	kpne:KU54_011600
ko:K03614	kpne:KU54_011605
ko:K03615	kpne:KU54_011610
ko:K03616	kpne:KU54_011615
ko:K03617	kpne:KU54_011620
ko:K01223	kpne:KU54_011635
ko:K01488	kpne:KU54_011645
ko:K12262	kpne:KU54_011670
ko:K00121	kpne:KU54_011680
ko:K05358	kpne:KU54_011685
ko:K00448	kpne:KU54_011695
ko:K00449	kpne:KU54_011700
ko:K03929	kpne:KU54_011710
ko:K00055	kpne:KU54_011715
ko:K03817	kpne:KU54_011725
ko:K03304	kpne:KU54_011735
ko:K16868	kpne:KU54_011740
ko:K07506	kpne:KU54_011755
ko:K05782	kpne:KU54_011760
ko:K08303	kpne:KU54_011775
ko:K00426	kpne:KU54_011795
ko:K02055	kpne:KU54_011810
ko:K02052	kpne:KU54_011815
ko:K02054	kpne:KU54_011820
ko:K00426	kpne:KU54_016000
ko:K00425	kpne:KU54_016005
ko:K07217	kpne:KU54_016010
ko:K09984	kpne:KU54_016040
ko:K00031	kpne:KU54_016065
ko:K06181	kpne:KU54_016070
ko:K12152	kpne:KU54_016075
ko:K00566	kpne:KU54_016080
ko:K07153	kpne:KU54_016085
ko:K01756	kpne:KU54_016090
ko:K07660	kpne:KU54_016105
ko:K07637	kpne:KU54_016110
ko:K18850	kpne:KU54_016115
ko:K01258	kpne:KU54_016120
ko:K11072	kpne:KU54_016125
ko:K11071	kpne:KU54_016130
ko:K11070	kpne:KU54_016135
ko:K11069	kpne:KU54_016140
ko:K12410	kpne:KU54_016160
ko:K00884	kpne:KU54_016165
ko:K09808	kpne:KU54_016170
ko:K09810	kpne:KU54_016175
ko:K09808	kpne:KU54_016180
ko:K03723	kpne:KU54_016190
ko:K19236	kpne:KU54_016195
ko:K12151	kpne:KU54_016200
ko:K02014	kpne:KU54_016220
ko:K03885	kpne:KU54_016230
ko:K07000	kpne:KU54_016235
ko:K01207	kpne:KU54_016240
ko:K07251	kpne:KU54_016245
ko:K07337	kpne:KU54_016250
ko:K13979	kpne:KU54_000435
ko:K03292	kpne:KU54_000465
ko:K01811	kpne:KU54_000470
ko:K01222	kpne:KU54_000480
ko:K02749	kpne:KU54_000485
ko:K02750	kpne:KU54_000485
ko:K16345	kpne:KU54_000495
ko:K03312	kpne:KU54_000505
ko:K00864	kpne:KU54_000510
ko:K02440	kpne:KU54_000515
ko:K09892	kpne:KU54_000520
ko:K02048	kpne:KU54_000525
ko:K01521	kpne:KU54_000530
ko:K01803	kpne:KU54_000540
ko:K00528	kpne:KU54_000555
ko:K02446	kpne:KU54_000560
ko:K03655	kpne:KU54_000565
ko:K00556	kpne:KU54_000570
ko:K03060	kpne:KU54_000580
ko:K00942	kpne:KU54_000585
ko:K01972	kpne:KU54_000590
ko:K10778	kpne:KU54_000605
ko:K01993	kpne:KU54_000635
ko:K00989	kpne:KU54_000650
ko:K00762	kpne:KU54_000655
ko:K05501	kpne:KU54_000660
ko:K13038	kpne:KU54_000670
ko:K03630	kpne:KU54_000675
ko:K02902	kpne:KU54_000680
ko:K02913	kpne:KU54_000685
ko:K10563	kpne:KU54_000690
ko:K03573	kpne:KU54_004920
ko:K08311	kpne:KU54_004930
ko:K08484	kpne:KU54_004935
ko:K13292	kpne:KU54_004940
ko:K02679	kpne:KU54_004950
ko:K02680	kpne:KU54_004955
ko:K02681	kpne:KU54_004965
ko:K03583	kpne:KU54_004970
ko:K01407	kpne:KU54_004975
ko:K03582	kpne:KU54_004980
ko:K03581	kpne:KU54_004985
ko:K14682	kpne:KU54_004995
ko:K01448	kpne:KU54_005000
ko:K04720	kpne:KU54_005005
ko:K16651	kpne:KU54_005010
ko:K04029	kpne:KU54_005020
ko:K04031	kpne:KU54_005025
ko:K13921	kpne:KU54_005040
ko:K13922	kpne:KU54_005045
ko:K13923	kpne:KU54_005065
ko:K13920	kpne:KU54_005090
ko:K13919	kpne:KU54_005095
ko:K01699	kpne:KU54_005100
ko:K03704	kpne:KU54_004005
ko:K19278	kpne:KU54_00850
ko:K03281	kpne:KU54_021995
ko:K01845	kpne:KU54_022000
ko:K02015	kpne:KU54_022005
ko:K05851	kpne:KU54_025985
ko:K06202	kpne:KU54_025990
ko:K01778	kpne:KU54_026000
ko:K09921	kpne:KU54_026005
ko:K03733	kpne:KU54_026010
ko:K03657	kpne:KU54_026020
ko:K03284	kpne:KU54_026030
ko:K05786	kpne:KU54_026035
ko:K01058	kpne:KU54_026045
ko:K03654	kpne:KU54_026050
ko:K05835	kpne:KU54_026055
ko:K05834	kpne:KU54_026065
ko:K01048	kpne:KU54_026070
ko:K03576	kpne:KU54_026085
ko:K00549	kpne:KU54_026090
ko:K01061	kpne:KU54_026095
ko:K00757	kpne:KU54_026100
ko:K09760	kpne:KU54_026105
ko:K03183	kpne:KU54_026110
ko:K03690	kpne:KU54_026115
ko:K03688	kpne:KU54_026120
ko:K03116	kpne:KU54_026125
ko:K03117	kpne:KU54_026130
ko:K03118	kpne:KU54_026135
ko:K03424	kpne:KU54_026140
ko:K05785	kpne:KU54_026145
ko:K03182	kpne:KU54_026155
ko:K05368	kpne:KU54_026160
ko:K01825	kpne:KU54_026170
ko:K03498	kpne:KU54_026185
ko:K00230	kpne:KU54_026190
ko:K00075	kpne:KU54_026220
ko:K01776	kpne:KU54_026230
ko:K16092	kpne:KU54_026235
ko:K00557	kpne:KU54_026240
ko:K12068	kpne:KU54_00665
ko:K12067	kpne:KU54_00670
ko:K12066	kpne:KU54_00675
ko:K12065	kpne:KU54_00680
ko:K12064	kpne:KU54_00690
ko:K12062	kpne:KU54_00730
ko:K12061	kpne:KU54_00735
ko:K12060	kpne:KU54_00740
ko:K12059	kpne:KU54_00745
ko:K12058	kpne:KU54_00750
ko:K12057	kpne:KU54_00770
ko:K12072	kpne:KU54_00790
ko:K12056	kpne:KU54_00795
ko:K18320	kpne:KU54_00860
ko:K03724	kpne:KU54_00905
ko:K02532	kpne:KU54_00925
ko:K01190	kpne:KU54_00930
ko:K02224	kpne:KU54_005125
ko:K02227	kpne:KU54_005130
ko:K06042	kpne:KU54_005135
ko:K02188	kpne:KU54_005140
ko:K03399	kpne:KU54_005145
ko:K02191	kpne:KU54_005150
ko:K05936	kpne:KU54_005155
ko:K02189	kpne:KU54_005160
ko:K05895	kpne:KU54_005170
ko:K02190	kpne:KU54_005175
ko:K03394	kpne:KU54_005180
ko:K02007	kpne:KU54_005185
ko:K10539	kpne:KU54_009325
ko:K10538	kpne:KU54_009330
ko:K01087	kpne:KU54_009335
ko:K00697	kpne:KU54_009340
ko:K14064	kpne:KU54_009345
ko:K16210	kpne:KU54_009350
ko:K15532	kpne:KU54_009355
ko:K01887	kpne:KU54_009360
ko:K09907	kpne:KU54_009365
ko:K06201	kpne:KU54_009370
ko:K15257	kpne:KU54_009375
ko:K15256	kpne:KU54_009380
ko:K07136	kpne:KU54_009385
ko:K01876	kpne:KU54_009400
ko:K08310	kpne:KU54_009405
ko:K01159	kpne:KU54_009415
ko:K03550	kpne:KU54_009420
ko:K03551	kpne:KU54_009425
ko:K09816	kpne:KU54_009430
ko:K09817	kpne:KU54_009435
ko:K09815	kpne:KU54_009440
ko:K02560	kpne:KU54_009450
ko:K00873	kpne:KU54_009455
ko:K00036	kpne:KU54_009470
ko:K01690	kpne:KU54_009475
ko:K01625	kpne:KU54_009480
ko:K08289	kpne:KU54_009485
ko:K09918	kpne:KU54_009490
ko:K01354	kpne:KU54_009500
ko:K10857	kpne:KU54_009505
ko:K02345	kpne:KU54_009510
ko:K07156	kpne:KU54_009515
ko:K07245	kpne:KU54_009520
ko:K09824	kpne:KU54_009535
ko:K11392	kpne:KU54_009555
ko:K03808	kpne:KU54_009565
ko:K03607	kpne:KU54_009575
ko:K03797	kpne:KU54_009580
ko:K03799	kpne:KU54_009585
ko:K08169	kpne:KU54_009590
ko:K15545	kpne:KU54_013785
ko:K08224	kpne:KU54_013795
ko:K01299	kpne:KU54_013800
ko:K04775	kpne:KU54_013820
ko:K11742	kpne:KU54_013830
ko:K11743	kpne:KU54_013835
ko:K11744	kpne:KU54_013840
ko:K13929	kpne:KU54_013845
ko:K13930	kpne:KU54_013850
ko:K13931	kpne:KU54_013855
ko:K13932	kpne:KU54_013860
ko:K13933	kpne:KU54_013865
ko:K13936	kpne:KU54_013870
ko:K13934	kpne:KU54_013875
ko:K13935	kpne:KU54_013880
ko:K13928	kpne:KU54_013885
ko:K00116	kpne:KU54_013890
ko:K07106	kpne:KU54_013895
ko:K07701	kpne:KU54_013905
ko:K07703	kpne:KU54_013910
ko:K03734	kpne:KU54_013915
ko:K00244	kpne:KU54_013920
ko:K11106	kpne:KU54_013930
ko:K01676	kpne:KU54_013935
ko:K01607	kpne:KU54_013945
ko:K01055	kpne:KU54_013950
ko:K01857	kpne:KU54_013955
ko:K01032	kpne:KU54_013965
ko:K01031	kpne:KU54_013970
ko:K02624	kpne:KU54_013975
ko:K14057	kpne:KU54_013985
ko:K12940	kpne:KU54_013990
ko:K12942	kpne:KU54_014000
ko:K00567	kpne:KU54_014010
ko:K14055	kpne:KU54_014020
ko:K00325	kpne:KU54_014030
ko:K00324	kpne:KU54_014035
ko:K07027	kpne:KU54_018185
ko:K06890	kpne:KU54_018190
ko:K03635	kpne:KU54_018195
ko:K03636	kpne:KU54_018200
ko:K03637	kpne:KU54_018205
ko:K03638	kpne:KU54_018210
ko:K03639	kpne:KU54_018215
ko:K03760	kpne:KU54_018225
ko:K07771	kpne:KU54_018230
ko:K07643	kpne:KU54_018235
ko:K03702	kpne:KU54_018240
ko:K01935	kpne:KU54_018255
ko:K02169	kpne:KU54_018260
ko:K00652	kpne:KU54_018265
ko:K01012	kpne:KU54_018270
ko:K00833	kpne:KU54_018275
ko:K06910	kpne:KU54_018280
ko:K16234	kpne:KU54_018285
ko:K01745	kpne:KU54_018290
ko:K01712	kpne:KU54_018295
ko:K05836	kpne:KU54_018300
ko:K01479	kpne:KU54_018305
ko:K01468	kpne:KU54_018310
ko:K01051	kpne:KU54_018315
ko:K07404	kpne:KU54_018375
ko:K02017	kpne:KU54_018385
ko:K02018	kpne:KU54_018390
ko:K02020	kpne:KU54_018395
ko:K02019	kpne:KU54_018405
ko:K05776	kpne:KU54_018410
ko:K01784	kpne:KU54_018420
ko:K00965	kpne:KU54_018425
ko:K00849	kpne:KU54_018430
ko:K01785	kpne:KU54_018435
ko:K01834	kpne:KU54_018440
ko:K12961	kpne:KU54_002940
ko:K07460	kpne:KU54_002945
ko:K07121	kpne:KU54_002950
ko:K07056	kpne:KU54_002955
ko:K02436	kpne:KU54_002965
ko:K00094	kpne:KU54_002970
ko:K02775	kpne:KU54_002975
ko:K02774	kpne:KU54_002980
ko:K02773	kpne:KU54_002985
ko:K16371	kpne:KU54_002990
ko:K11189	kpne:KU54_002995
ko:K02769	kpne:KU54_003000
ko:K02770	kpne:KU54_003000
ko:K16370	kpne:KU54_003005
ko:K08302	kpne:KU54_003010
ko:K01708	kpne:KU54_003030
ko:K12299	kpne:KU54_003040
ko:K01630	kpne:KU54_003045
ko:K00865	kpne:KU54_003055
ko:K06911	kpne:KU54_003080
ko:K07393	kpne:KU54_003095
ko:K15977	kpne:KU54_003100
ko:K08191	kpne:KU54_003140
ko:K01812	kpne:KU54_003145
ko:K01685	kpne:KU54_003150
ko:K07862	kpne:KU54_003160
ko:K07043	kpne:KU54_003175
ko:K11391	kpne:KU54_003190
ko:K00219	kpne:KU54_003195
ko:K11216	kpne:KU54_003200
ko:K11531	kpne:KU54_003205
ko:K11921	kpne:KU54_007400
ko:K04754	kpne:KU54_007425
ko:K06076	kpne:KU54_007430
ko:K01782	kpne:KU54_007445
ko:K08296	kpne:KU54_007450
ko:K07320	kpne:KU54_007460
ko:K01736	kpne:KU54_007465
ko:K07261	kpne:KU54_007470
ko:K07090	kpne:KU54_007475
ko:K09906	kpne:KU54_007480
ko:K15461	kpne:KU54_007490
ko:K00647	kpne:KU54_007495
ko:K03473	kpne:KU54_007510
ko:K06173	kpne:KU54_007520
ko:K03975	kpne:KU54_007525
ko:K01963	kpne:KU54_007530
ko:K11754	kpne:KU54_007535
ko:K03749	kpne:KU54_007540
ko:K03558	kpne:KU54_007545
ko:K00764	kpne:KU54_007550
ko:K03186	kpne:KU54_007555
ko:K10013	kpne:KU54_007565
ko:K10014	kpne:KU54_007570
ko:K10016	kpne:KU54_007575
ko:K10015	kpne:KU54_007580
ko:K10017	kpne:KU54_007585
ko:K07071	kpne:KU54_007600
ko:K07589	kpne:KU54_007605
ko:K07095	kpne:KU54_007620
ko:K13788	kpne:KU54_007630
ko:K00925	kpne:KU54_007635
ko:K09899	kpne:KU54_007640
ko:K09161	kpne:KU54_007645
ko:K08722	kpne:KU54_007660
ko:K14260	kpne:KU54_007665
ko:K02053	kpne:KU54_011825
ko:K09936	kpne:KU54_011880
ko:K03823	kpne:KU54_011885
ko:K01250	kpne:KU54_011900
ko:K02014	kpne:KU54_011920
ko:K11738	kpne:KU54_011935
ko:K02030	kpne:KU54_011965
ko:K02029	kpne:KU54_011975
ko:K02028	kpne:KU54_011980
ko:K02030	kpne:KU54_011985
ko:K11208	kpne:KU54_011990
ko:K01821	kpne:KU54_011995
ko:K16077	kpne:KU54_012000
ko:K02855	kpne:KU54_012015
ko:K02010	kpne:KU54_012025
ko:K02012	kpne:KU54_012030
ko:K02011	kpne:KU54_012035
ko:K00675	kpne:KU54_012040
ko:K00374	kpne:KU54_012045
ko:K00373	kpne:KU54_012050
ko:K00371	kpne:KU54_012055
ko:K00370	kpne:KU54_012060
ko:K02575	kpne:KU54_012065
ko:K08167	kpne:KU54_012075
ko:K02624	kpne:KU54_012080
ko:K01856	kpne:KU54_012085
ko:K03464	kpne:KU54_012090
ko:K03381	kpne:KU54_012095
ko:K05549	kpne:KU54_012100
ko:K02503	kpne:KU54_016260
ko:K02778	kpne:KU54_016265
ko:K02779	kpne:KU54_016265
ko:K03424	kpne:KU54_016270
ko:K02341	kpne:KU54_016275
ko:K00943	kpne:KU54_016280
ko:K07082	kpne:KU54_016285
ko:K02619	kpne:KU54_016290
ko:K09458	kpne:KU54_016295
ko:K02078	kpne:KU54_016300
ko:K00059	kpne:KU54_016305
ko:K00645	kpne:KU54_016310
ko:K00648	kpne:KU54_016315
ko:K03621	kpne:KU54_016320
ko:K02911	kpne:KU54_016325
ko:K07040	kpne:KU54_016330
ko:K06179	kpne:KU54_016340
ko:K08300	kpne:KU54_016345
ko:K03980	kpne:KU54_016360
ko:K03810	kpne:KU54_016365
ko:K09915	kpne:KU54_016370
ko:K03790	kpne:KU54_016375
ko:K08162	kpne:KU54_016380
ko:K01465	kpne:KU54_016390
ko:K12149	kpne:KU54_016395
ko:K12148	kpne:KU54_016400
ko:K02846	kpne:KU54_016405
ko:K07146	kpne:KU54_016415
ko:K00954	kpne:KU54_000695
ko:K12984	kpne:KU54_000700
ko:K02527	kpne:KU54_000705
ko:K02016	kpne:KU54_022010
ko:K02013	kpne:KU54_022015
ko:K02014	kpne:KU54_022020
ko:K05365	kpne:KU54_022025
ko:K02465	kpne:KU54_022040
ko:K02451	kpne:KU54_022045
ko:K02452	kpne:KU54_022060
ko:K02453	kpne:KU54_022065
ko:K02454	kpne:KU54_022070
ko:K02455	kpne:KU54_022075
ko:K02456	kpne:KU54_022080
ko:K02457	kpne:KU54_022085
ko:K02458	kpne:KU54_022090
ko:K02459	kpne:KU54_022095
ko:K02460	kpne:KU54_022100
ko:K02461	kpne:KU54_022105
ko:K02462	kpne:KU54_022110
ko:K02463	kpne:KU54_022115
ko:K03579	kpne:KU54_022125
ko:K01975	kpne:KU54_022130
ko:K06206	kpne:KU54_022135
ko:K06204	kpne:KU54_022140
ko:K00970	kpne:KU54_022150
ko:K00950	kpne:KU54_022155
ko:K00606	kpne:KU54_022160
ko:K01918	kpne:KU54_022165
ko:K01579	kpne:KU54_022170
ko:K01992	kpne:KU54_022185
ko:K01990	kpne:KU54_022190
ko:K01673	kpne:KU54_022195
ko:K00760	kpne:KU54_022200
ko:K00117	kpne:KU54_022210
ko:K14588	kpne:KU54_022215
ko:K07483	kpne:KU54_022235
ko:K00797	kpne:KU54_022250
ko:K01611	kpne:KU54_022255
ko:K09910	kpne:KU54_022260
ko:K01682	kpne:KU54_022265
ko:K07787	kpne:KU54_023615
ko:K03098	kpne:KU54_023625
ko:K09701	kpne:KU54_023650
ko:K00574	kpne:KU54_023655
ko:K02024	kpne:KU54_023680
ko:K01805	kpne:KU54_023690
ko:K03292	kpne:KU54_023695
ko:K01198	kpne:KU54_023700
ko:K07454	kpne:KU54_023710
ko:K11903	kpne:KU54_023735
ko:K07733	kpne:KU54_023780
ko:K01673	kpne:KU54_023825
ko:K12957	kpne:KU54_023835
ko:K05814	kpne:KU54_023840
ko:K05815	kpne:KU54_023845
ko:K05816	kpne:KU54_023855
ko:K05813	kpne:KU54_023860
ko:K03335	kpne:KU54_023865
ko:K06605	kpne:KU54_023870
ko:K00010	kpne:KU54_023875
ko:K03336	kpne:KU54_023880
ko:K03338	kpne:KU54_023890
ko:K02013	kpne:KU54_00955
ko:K02015	kpne:KU54_00960
ko:K18552	kpne:KU54_01025
ko:K07481	kpne:KU54_01045
ko:K08217	kpne:KU54_01065
ko:K18320	kpne:KU54_01070
ko:K18768	kpne:KU54_01135
ko:K18320	kpne:KU54_01175
ko:K18698	kpne:KU54_01195
ko:K18320	kpne:KU54_01200
ko:K19059	kpne:KU54_01215
ko:K19057	kpne:KU54_01220
ko:K00520	kpne:KU54_01225
ko:K02517	kpne:KU54_016425
ko:K08161	kpne:KU54_016430
ko:K12147	kpne:KU54_016435
ko:K03669	kpne:KU54_016445
ko:K03670	kpne:KU54_016450
ko:K11941	kpne:KU54_016455
ko:K04477	kpne:KU54_016480
ko:K12972	kpne:KU54_016485
ko:K06911	kpne:KU54_016500
ko:K03673	kpne:KU54_016515
ko:K16301	kpne:KU54_016525
ko:K02844	kpne:KU54_000720
ko:K02849	kpne:KU54_000725
ko:K02841	kpne:KU54_000750
ko:K02843	kpne:KU54_000755
ko:K03274	kpne:KU54_000760
ko:K00639	kpne:KU54_000765
ko:K00060	kpne:KU54_000770
ko:K09798	kpne:KU54_000780
ko:K15633	kpne:KU54_000790
ko:K03071	kpne:KU54_000805
ko:K00057	kpne:KU54_000810
ko:K00640	kpne:KU54_000815
ko:K03216	kpne:KU54_000820
ko:K00101	kpne:KU54_000825
ko:K14348	kpne:KU54_000830
ko:K00427	kpne:KU54_000835
ko:K14762	kpne:KU54_000840
ko:K02562	kpne:KU54_000850
ko:K00009	kpne:KU54_000855
ko:K02798	kpne:KU54_000860
ko:K02799	kpne:KU54_000860
ko:K02800	kpne:KU54_000860
ko:K01042	kpne:KU54_000880
ko:K03833	kpne:KU54_000885
ko:K05796	kpne:KU54_000890
ko:K00835	kpne:KU54_000895
ko:K01176	kpne:KU54_000900
ko:K03796	kpne:KU54_000905
ko:K02529	kpne:KU54_000910
ko:K10544	kpne:KU54_000915
ko:K10545	kpne:KU54_000920
ko:K10543	kpne:KU54_000925
ko:K01805	kpne:KU54_000930
ko:K00854	kpne:KU54_000935
ko:K01878	kpne:KU54_000960
ko:K01879	kpne:KU54_000965
ko:K02009	kpne:KU54_005190
ko:K02008	kpne:KU54_005195
ko:K02006	kpne:KU54_005200
ko:K02231	kpne:KU54_005210
ko:K00768	kpne:KU54_005215
ko:K08304	kpne:KU54_005235
ko:K02426	kpne:KU54_005245
ko:K01766	kpne:KU54_005250
ko:K03566	kpne:KU54_005260
ko:K06968	kpne:KU54_005270
ko:K02430	kpne:KU54_005275
ko:K02431	kpne:KU54_005280
ko:K00879	kpne:KU54_005285
ko:K01818	kpne:KU54_005290
ko:K02429	kpne:KU54_005295
ko:K01628	kpne:KU54_005305
ko:K00048	kpne:KU54_005310
ko:K01146	kpne:KU54_005315
ko:K04091	kpne:KU54_005330
ko:K15553	kpne:KU54_005370
ko:K01752	kpne:KU54_005375
ko:K03837	kpne:KU54_005380
ko:K06966	kpne:KU54_005385
ko:K06879	kpne:KU54_005390
ko:K15723	kpne:KU54_005395
ko:K06175	kpne:KU54_005405
ko:K03535	kpne:KU54_005415
ko:K13918	kpne:KU54_005420
ko:K01706	kpne:KU54_005425
ko:K00865	kpne:KU54_005430
