ko:K03741	fpq:IB65_07935
ko:K06187	fpq:IB65_06135
ko:K06929	fpq:IB65_06145
ko:K01647	fpq:IB65_06170
ko:K01689	fpq:IB65_06180
ko:K01956	fpq:IB65_06190
ko:K02879	fpq:IB65_06195
ko:K03040	fpq:IB65_06200
ko:K02986	fpq:IB65_06205
ko:K02948	fpq:IB65_06210
ko:K02952	fpq:IB65_06215
ko:K02518	fpq:IB65_06220
ko:K03076	fpq:IB65_06225
ko:K02876	fpq:IB65_06230
ko:K02907	fpq:IB65_06235
ko:K02988	fpq:IB65_06240
ko:K02881	fpq:IB65_06245
ko:K02933	fpq:IB65_06250
ko:K02994	fpq:IB65_06255
ko:K02954	fpq:IB65_06260
ko:K02931	fpq:IB65_06265
ko:K02895	fpq:IB65_06270
ko:K02874	fpq:IB65_06275
ko:K02961	fpq:IB65_06280
ko:K02904	fpq:IB65_06285
ko:K02878	fpq:IB65_06290
ko:K02982	fpq:IB65_06295
ko:K02890	fpq:IB65_06300
ko:K02965	fpq:IB65_06305
ko:K02886	fpq:IB65_06310
ko:K02892	fpq:IB65_06315
ko:K02926	fpq:IB65_06320
ko:K02906	fpq:IB65_06325
ko:K02946	fpq:IB65_06330
ko:K02355	fpq:IB65_06335
ko:K02992	fpq:IB65_06340
ko:K02950	fpq:IB65_06345
ko:K03218	fpq:IB65_06365
ko:K07478	fpq:IB65_06375
ko:K07025	fpq:IB65_06385
ko:K03630	fpq:IB65_06390
ko:K02558	fpq:IB65_06395
ko:K03979	fpq:IB65_06415
ko:K03699	fpq:IB65_06425
ko:K00939	fpq:IB65_06430
ko:K00760	fpq:IB65_06435
ko:K01589	fpq:IB65_06445
ko:K01588	fpq:IB65_06450
ko:K01284	fpq:IB65_06455
ko:K00281	fpq:IB65_06490
ko:K06886	fpq:IB65_06495
ko:K00648	fpq:IB65_06500
ko:K02066	fpq:IB65_06520
ko:K02065	fpq:IB65_06525
ko:K00971	fpq:IB65_06535
ko:K00627	fpq:IB65_06550
ko:K00161	fpq:IB65_06555
ko:K01489	fpq:IB65_06560
ko:K01929	fpq:IB65_06580
ko:K02968	fpq:IB65_06590
ko:K01881	fpq:IB65_06605
ko:K14441	fpq:IB65_06620
ko:K07636	fpq:IB65_06640
ko:K00940	fpq:IB65_06660
ko:K00432	fpq:IB65_06705
ko:K03270	fpq:IB65_06720
ko:K03179	fpq:IB65_06725
ko:K06287	fpq:IB65_06730
ko:K06173	fpq:IB65_06735
ko:K00796	fpq:IB65_06745
ko:K01803	fpq:IB65_06765
ko:K03110	fpq:IB65_06770
ko:K02913	fpq:IB65_06780
ko:K02902	fpq:IB65_06785
ko:K03742	fpq:IB65_06790
ko:K02342	fpq:IB65_06810
ko:K04762	fpq:IB65_06820
ko:K02825	fpq:IB65_06830
ko:K00891	fpq:IB65_06835
ko:K06443	fpq:IB65_06855
ko:K10027	fpq:IB65_06865
ko:K15746	fpq:IB65_06875
ko:K03088	fpq:IB65_06895
ko:K02014	fpq:IB65_06905
ko:K02226	fpq:IB65_06910
ko:K02233	fpq:IB65_06915
ko:K00768	fpq:IB65_06920
ko:K02231	fpq:IB65_06925
ko:K02016	fpq:IB65_06935
ko:K02015	fpq:IB65_06940
ko:K03088	fpq:IB65_06950
ko:K03832	fpq:IB65_06955
ko:K03644	fpq:IB65_06965
ko:K00134	fpq:IB65_06970
ko:K03783	fpq:IB65_06980
ko:K00912	fpq:IB65_06985
ko:K06147	fpq:IB65_09385
ko:K06871	fpq:IB65_09395
ko:K01284	fpq:IB65_09420
ko:K03664	fpq:IB65_09425
ko:K01951	fpq:IB65_09475
ko:K09954	fpq:IB65_09495
ko:K01937	fpq:IB65_09500
ko:K03217	fpq:IB65_09505
ko:K01939	fpq:IB65_09515
ko:K03711	fpq:IB65_09520
ko:K00573	fpq:IB65_09550
ko:K00074	fpq:IB65_09560
ko:K06997	fpq:IB65_09575
ko:K02342	fpq:IB65_09585
ko:K00791	fpq:IB65_09590
ko:K01258	fpq:IB65_09605
ko:K02835	fpq:IB65_09615
ko:K02014	fpq:IB65_09620
ko:K09939	fpq:IB65_09625
ko:K09001	fpq:IB65_09645
ko:K01270	fpq:IB65_09655
ko:K03885	fpq:IB65_09665
ko:K03088	fpq:IB65_09670
ko:K16089	fpq:IB65_07100
ko:K01887	fpq:IB65_07115
ko:K00648	fpq:IB65_07130
ko:K07090	fpq:IB65_07135
ko:K04079	fpq:IB65_07170
ko:K02477	fpq:IB65_07205
ko:K15342	fpq:IB65_07220
ko:K10254	fpq:IB65_04590
ko:K00074	fpq:IB65_04595
ko:K10254	fpq:IB65_04600
ko:K03306	fpq:IB65_04610
ko:K07220	fpq:IB65_04615
ko:K06910	fpq:IB65_04640
ko:K01256	fpq:IB65_04650
ko:K03655	fpq:IB65_04660
ko:K01669	fpq:IB65_04680
ko:K08303	fpq:IB65_04755
ko:K11381	fpq:IB65_04760
ko:K03113	fpq:IB65_04775
ko:K00757	fpq:IB65_04780
ko:K03648	fpq:IB65_04810
ko:K07456	fpq:IB65_04815
ko:K01890	fpq:IB65_04825
ko:K06937	fpq:IB65_04840
ko:K00616	fpq:IB65_04860
ko:K02340	fpq:IB65_04890
ko:K01486	fpq:IB65_04920
ko:K07056	fpq:IB65_04930
ko:K01775	fpq:IB65_04945
ko:K03282	fpq:IB65_04950
ko:K06925	fpq:IB65_04960
ko:K00259	fpq:IB65_04965
ko:K01923	fpq:IB65_05005
ko:K01992	fpq:IB65_05055
ko:K02338	fpq:IB65_05065
ko:K11927	fpq:IB65_05070
ko:K01465	fpq:IB65_05080
ko:K06999	fpq:IB65_05090
ko:K06167	fpq:IB65_05100
ko:K03564	fpq:IB65_05110
ko:K10773	fpq:IB65_05115
ko:K03088	fpq:IB65_05140
ko:K03701	fpq:IB65_05145
ko:K01424	fpq:IB65_05155
ko:K13282	fpq:IB65_05160
ko:K03802	fpq:IB65_05165
ko:K01278	fpq:IB65_05170
ko:K00876	fpq:IB65_05205
ko:K01847	fpq:IB65_05215
ko:K01847	fpq:IB65_05225
ko:K03100	fpq:IB65_05240
ko:K00215	fpq:IB65_05245
ko:K18707	fpq:IB65_05275
ko:K02909	fpq:IB65_05285
ko:K11085	fpq:IB65_05305
ko:K09888	fpq:IB65_05335
ko:K18682	fpq:IB65_05340
ko:K03572	fpq:IB65_05345
ko:K17686	fpq:IB65_05380
ko:K03921	fpq:IB65_05390
ko:K15862	fpq:IB65_05395
ko:K00406	fpq:IB65_05405
ko:K09792	fpq:IB65_05420
ko:K09794	fpq:IB65_05425
ko:K01681	fpq:IB65_05435
ko:K03924	fpq:IB65_05450
ko:K03771	fpq:IB65_05460
ko:K03771	fpq:IB65_05465
ko:K02837	fpq:IB65_05485
ko:K03046	fpq:IB65_05495
ko:K03043	fpq:IB65_05500
ko:K02935	fpq:IB65_05505
ko:K03118	fpq:IB65_05805
ko:K06861	fpq:IB65_05815
ko:K07273	fpq:IB65_05820
ko:K17103	fpq:IB65_05825
ko:K00640	fpq:IB65_05875
ko:K00640	fpq:IB65_05900
ko:K08068	fpq:IB65_05910
ko:K01991	fpq:IB65_06010
ko:K00648	fpq:IB65_06035
ko:K00648	fpq:IB65_06045
ko:K01791	fpq:IB65_06060
ko:K17716	fpq:IB65_06075
ko:K00973	fpq:IB65_06100
ko:K09858	fpq:IB65_04265
ko:K01491	fpq:IB65_06995
ko:K03106	fpq:IB65_07000
ko:K03734	fpq:IB65_07045
ko:K16091	fpq:IB65_07070
ko:K07316	fpq:IB65_10930
ko:K14219	fpq:IB65_10315
ko:K14230	fpq:IB65_10070
ko:K03790	fpq:IB65_09435
ko:K14220	fpq:IB65_00330
ko:K14228	fpq:IB65_00670
ko:K14230	fpq:IB65_01080
ko:K14223	fpq:IB65_01360
ko:K14228	fpq:IB65_01840
ko:K14225	fpq:IB65_01845
ko:K14227	fpq:IB65_02260
ko:K14218	fpq:IB65_02265
ko:K14225	fpq:IB65_10740
ko:K18831	fpq:IB65_05765
ko:K14230	fpq:IB65_09840
ko:K14230	fpq:IB65_09845
ko:K14234	fpq:IB65_05555
ko:K14234	fpq:IB65_08895
ko:K14233	fpq:IB65_07880
ko:K14219	fpq:IB65_03395
ko:K14226	fpq:IB65_03195
ko:K14224	fpq:IB65_06595
ko:K14224	fpq:IB65_06600
ko:K14229	fpq:IB65_06840
ko:K14229	fpq:IB65_06845
ko:K14228	fpq:IB65_06850
ko:K14235	fpq:IB65_05535
ko:K14234	fpq:IB65_05545
ko:K14236	fpq:IB65_05550
ko:K14233	fpq:IB65_11565
ko:K14218	fpq:IB65_12130
ko:K14231	fpq:IB65_12305
ko:K14222	fpq:IB65_12605
ko:K01980	fpq:IB65_02270
ko:K03790	fpq:IB65_02400
ko:K03502	fpq:IB65_01820
ko:K03503	fpq:IB65_01825
ko:K03111	fpq:IB65_08265
ko:K03497	fpq:IB65_05255
ko:K03496	fpq:IB65_05260
ko:K00335	fpq:IB65_11235
ko:K14742	fpq:IB65_10600
ko:K18979	fpq:IB65_10700
ko:K04565	fpq:IB65_08640
ko:K08151	fpq:IB65_12180
ko:K11991	fpq:IB65_01245
ko:K19048	fpq:IB65_07425
ko:K01978	fpq:IB65_12725
ko:K19166	fpq:IB65_05760
ko:K19159	fpq:IB65_12365
ko:K19158	fpq:IB65_12360
ko:K01985	fpq:IB65_02275
ko:K01710	fpq:IB65_06105
ko:K01710	fpq:IB65_12520
ko:K09951	fpq:IB65_07225
ko:K01654	fpq:IB65_05915
ko:K19068	fpq:IB65_06065
ko:K00798	fpq:IB65_02850
ko:K00336	fpq:IB65_11225
ko:K19302	fpq:IB65_10480
ko:K01990	fpq:IB65_08240
ko:K01990	fpq:IB65_11465
ko:K01992	fpq:IB65_01340
ko:K19294	fpq:IB65_06680
ko:K06867	fpq:IB65_07020
ko:K09690	fpq:IB65_05980
ko:K06881	fpq:IB65_09470
ko:K10206	fpq:IB65_01155
ko:K05770	fpq:IB65_01420
ko:K09691	fpq:IB65_05975
ko:K14228	fpq:IB65_00675
ko:K20534	fpq:IB65_08110
ko:K18890	fpq:IB65_06740
ko:K18889	fpq:IB65_02580
ko:K20866	fpq:IB65_10185
ko:K08968	fpq:IB65_10240
ko:K00632	fpq:IB65_08585
ko:K07313	fpq:IB65_00620
ko:K14623	fpq:IB65_01130
ko:K00287	fpq:IB65_01510
ko:K00560	fpq:IB65_01535
ko:K02316	fpq:IB65_10430
ko:K00558	fpq:IB65_10810
ko:K02314	fpq:IB65_03005
ko:K00558	fpq:IB65_03615
ko:K00558	fpq:IB65_03915
ko:K01493	fpq:IB65_02210
ko:K00857	fpq:IB65_04940
ko:K06217	fpq:IB65_05015
ko:K03553	fpq:IB65_11330
ko:K00558	fpq:IB65_11475
ko:K01520	fpq:IB65_12380
ko:K02335	fpq:IB65_01320
ko:K00525	fpq:IB65_02175
ko:K02481	fpq:IB65_08420
ko:K00526	fpq:IB65_02180
ko:K21470	fpq:IB65_10750
ko:K01420	fpq:IB65_04245
ko:K10026	fpq:IB65_11090
ko:K00754	fpq:IB65_03745
ko:K01463	fpq:IB65_03200
ko:K17758	fpq:IB65_03805
ko:K22132	fpq:IB65_08685
ko:K22136	fpq:IB65_06655
ko:K03595	fpq:IB65_09835
ko:K08994	fpq:IB65_03030
ko:K22252	fpq:IB65_08150
ko:K02257	fpq:IB65_10605
ko:K01505	fpq:IB65_05655
ko:K22491	fpq:IB65_06860
ko:K09516	fpq:IB65_11510
