ko:K18929	her:C695_00680
ko:K01658	her:C695_06630
ko:K11928	her:C695_00260
ko:K05540	her:C695_03745
ko:K00290	her:C695_07825
ko:K01497	her:C695_04115
ko:K12574	her:C695_07405
ko:K00254	her:C695_05240
ko:K06148	her:C695_06255
ko:K05922	her:C695_03275
ko:K05927	her:C695_03270
ko:K07812	her:C695_02070
ko:K03605	her:C695_03285
ko:K00104	her:C695_02615
ko:K05366	her:C695_03090
ko:K12051	her:C695_02350
ko:K13797	her:C695_06205
ko:K09477	her:C695_00705
ko:K02419	her:C695_03530
ko:K00925	her:C695_04640
ko:K14445	her:C695_01080
ko:K15848	her:C695_03720
ko:K11749	her:C695_05055
ko:K12097	her:C695_02750
ko:K15845	her:C695_01600
ko:K15847	her:C695_01605
ko:K11784	her:C695_03395
ko:K11785	her:C695_00760
ko:K18284	her:C695_00435
ko:K18285	her:C695_03385
ko:K16235	her:C695_05270
ko:K18480	her:C695_07595
ko:K03203	her:C695_02230
ko:K03111	her:C695_06445
ko:K03497	her:C695_05875
ko:K03496	her:C695_05880
ko:K03196	her:C695_02705
ko:K18930	her:C695_06320
ko:K03761	her:C695_05640
ko:K00335	her:C695_06550
ko:K02483	her:C695_00820
ko:K03526	her:C695_03240
ko:K00571	her:C695_00450
ko:K02483	her:C695_07055
ko:K03296	her:C695_03145
ko:K07496	her:C695_05110
ko:K00336	her:C695_06555
ko:K07448	her:C695_05585
ko:K19157	her:C695_05195
ko:K19157	her:C695_04595
ko:K00571	her:C695_00230
ko:K00571	her:C695_01325
ko:K00571	her:C695_07065
ko:K00525	her:C695_03510
ko:K07317	her:C695_04690
ko:K07496	her:C695_02225
ko:K04771	her:C695_05275
ko:K07496	her:C695_07970
ko:K01992	her:C695_07715
ko:K07496	her:C695_02100
ko:K07496	her:C695_02105
ko:K19416	her:C695_04740
ko:K07316	her:C695_07080
ko:K20151	her:C695_01925
ko:K20810	her:C695_01345
ko:K20151	her:C695_03370
ko:K03199	her:C695_02240
ko:K07100	her:C695_06290
ko:K02335	her:C695_05295
ko:K02335	her:C695_07630
ko:K06223	her:C695_02465
ko:K06223	her:C695_02470
ko:K00558	her:C695_02485
ko:K01520	her:C695_04440
ko:K02314	her:C695_07040
ko:K02316	her:C695_00055
ko:K00558	her:C695_00235
ko:K00558	her:C695_00255
ko:K03465	her:C695_07960
ko:K03553	her:C695_00765
ko:K00558	her:C695_05790
ko:K12089	her:C695_02695
ko:K12106	her:C695_02795
ko:K01185	her:C695_01720
ko:K00526	her:C695_01845
ko:K02481	her:C695_03630
ko:K01139	her:C695_03985
ko:K07097	her:C695_05395
ko:K02483	her:C695_05400
ko:K10026	her:C695_04805
ko:K21929	her:C695_03365
ko:K03595	her:C695_02660
ko:K22278	her:C695_01560
ko:K14441	her:C695_03775
ko:K22391	her:C695_04940
ko:K17758	her:C695_07045
ko:K17759	her:C695_07045
ko:K00590	her:C695_07070
ko:K00571	her:C695_06985
ko:K01007	her:C695_00595
