ko:K01006	pach:PAGK_1960
ko:K00338	pach:PAGK_1816
ko:K00332	pach:PAGK_1817
ko:K00174	pach:PAGK_1819
ko:K00175	pach:PAGK_1820
ko:K01644	pach:PAGK_1834
ko:K00343	pach:PAGK_1837
ko:K00342	pach:PAGK_1838
ko:K00341	pach:PAGK_1839
ko:K00340	pach:PAGK_1840
ko:K01874	pach:PAGK_1657
ko:K02057	pach:PAGK_1660
ko:K02057	pach:PAGK_1661
ko:K07335	pach:PAGK_1663
ko:K00031	pach:PAGK_1667
ko:K01433	pach:PAGK_1668
ko:K00024	pach:PAGK_1669
ko:K13922	pach:PAGK_1670
ko:K01491	pach:PAGK_1672
ko:K00602	pach:PAGK_1676
ko:K11175	pach:PAGK_1677
ko:K00794	pach:PAGK_1678
ko:K14652	pach:PAGK_1679
ko:K00793	pach:PAGK_1680
ko:K11752	pach:PAGK_1681
ko:K01902	pach:PAGK_1683
ko:K01903	pach:PAGK_1684
ko:K03657	pach:PAGK_1685
ko:K02073	pach:PAGK_1687
ko:K02071	pach:PAGK_1688
ko:K02072	pach:PAGK_1689
ko:K06131	pach:PAGK_1690
ko:K01951	pach:PAGK_1693
ko:K00640	pach:PAGK_1694
ko:K04092	pach:PAGK_1695
ko:K03310	pach:PAGK_1699
ko:K04077	pach:PAGK_1701
ko:K04078	pach:PAGK_1702
ko:K02013	pach:PAGK_1707
ko:K02015	pach:PAGK_1708
ko:K02016	pach:PAGK_1709
ko:K03789	pach:PAGK_1712
ko:K06925	pach:PAGK_1714
ko:K02003	pach:PAGK_1718
ko:K00997	pach:PAGK_1721
ko:K00820	pach:PAGK_1722
ko:K03431	pach:PAGK_1727
ko:K02996	pach:PAGK_1728
ko:K02871	pach:PAGK_1729
ko:K03439	pach:PAGK_1733
ko:K06173	pach:PAGK_1734
ko:K16785	pach:PAGK_1736
ko:K16786	pach:PAGK_1737
ko:K16787	pach:PAGK_1737
ko:K16927	pach:PAGK_1738
ko:K04564	pach:PAGK_1743
ko:K08368	pach:PAGK_1745
ko:K02879	pach:PAGK_1748
ko:K03040	pach:PAGK_1749
ko:K02986	pach:PAGK_1750
ko:K02948	pach:PAGK_1751
ko:K02952	pach:PAGK_1752
ko:K02919	pach:PAGK_1753
ko:K02518	pach:PAGK_1754
ko:K01265	pach:PAGK_1755
ko:K03076	pach:PAGK_1757
ko:K02876	pach:PAGK_1764
ko:K02907	pach:PAGK_1765
ko:K02988	pach:PAGK_1766
ko:K02881	pach:PAGK_1767
ko:K02994	pach:PAGK_1769
ko:K02954	pach:PAGK_1770
ko:K02931	pach:PAGK_1771
ko:K02895	pach:PAGK_1772
ko:K02874	pach:PAGK_1773
ko:K02961	pach:PAGK_1774
ko:K02904	pach:PAGK_1775
ko:K02878	pach:PAGK_1776
ko:K02982	pach:PAGK_1777
ko:K02890	pach:PAGK_1778
ko:K02965	pach:PAGK_1779
ko:K02886	pach:PAGK_1780
ko:K02892	pach:PAGK_1781
ko:K02926	pach:PAGK_1782
ko:K02906	pach:PAGK_1783
ko:K02946	pach:PAGK_1784
ko:K01886	pach:PAGK_1789
ko:K02933	pach:PAGK_1768
ko:K03086	pach:PAGK_1121
ko:K10805	pach:PAGK_1123
ko:K03578	pach:PAGK_1124
ko:K07738	pach:PAGK_1128
ko:K01661	pach:PAGK_1244
ko:K01911	pach:PAGK_1245
ko:K02551	pach:PAGK_1248
ko:K03596	pach:PAGK_1250
ko:K02968	pach:PAGK_1252
ko:K02340	pach:PAGK_1253
ko:K02237	pach:PAGK_1256
ko:K01869	pach:PAGK_1257
ko:K00788	pach:PAGK_1263
ko:K00878	pach:PAGK_1264
ko:K08369	pach:PAGK_1265
ko:K00874	pach:PAGK_1266
ko:K03078	pach:PAGK_1269
ko:K02003	pach:PAGK_1282
ko:K09710	pach:PAGK_1298
ko:K00969	pach:PAGK_1299
ko:K00147	pach:PAGK_1300
ko:K00931	pach:PAGK_1301
ko:K03979	pach:PAGK_1302
ko:K02899	pach:PAGK_1306
ko:K02888	pach:PAGK_1307
ko:K00940	pach:PAGK_1311
ko:K11754	pach:PAGK_1313
ko:K03075	pach:PAGK_1315
ko:K01803	pach:PAGK_1316
ko:K00927	pach:PAGK_1317
ko:K00134	pach:PAGK_1318
ko:K06958	pach:PAGK_1321
ko:K03703	pach:PAGK_1322
ko:K03701	pach:PAGK_1326
ko:K03702	pach:PAGK_1330
ko:K02016	pach:PAGK_1337
ko:K02015	pach:PAGK_1338
ko:K02013	pach:PAGK_1339
ko:K02230	pach:PAGK_1340
ko:K00859	pach:PAGK_1345
ko:K02013	pach:PAGK_1348
ko:K02015	pach:PAGK_1349
ko:K02016	pach:PAGK_1350
ko:K02945	pach:PAGK_1352
ko:K06199	pach:PAGK_1358
ko:K00873	pach:PAGK_1359
ko:K06180	pach:PAGK_1360
ko:K03101	pach:PAGK_1361
ko:K06204	pach:PAGK_1362
ko:K02221	pach:PAGK_1364
ko:K09772	pach:PAGK_1365
ko:K05810	pach:PAGK_1366
ko:K03531	pach:PAGK_1367
ko:K03589	pach:PAGK_1368
ko:K01924	pach:PAGK_1369
ko:K02563	pach:PAGK_1370
ko:K03588	pach:PAGK_1371
ko:K01925	pach:PAGK_1372
ko:K01000	pach:PAGK_1373
ko:K01929	pach:PAGK_1374
ko:K01928	pach:PAGK_1375
ko:K03587	pach:PAGK_1376
ko:K03438	pach:PAGK_1378
ko:K03925	pach:PAGK_1379
ko:K03924	pach:PAGK_1380
ko:K00605	pach:PAGK_1384
ko:K02437	pach:PAGK_1385
ko:K00281	pach:PAGK_1386
ko:K13993	pach:PAGK_1390
ko:K00297	pach:PAGK_1394
ko:K01626	pach:PAGK_1401
ko:K00655	pach:PAGK_1403
ko:K02276	pach:PAGK_1415
ko:K02003	pach:PAGK_1424
ko:K02275	pach:PAGK_1428
ko:K03969	pach:PAGK_1431
ko:K01255	pach:PAGK_1435
ko:K00658	pach:PAGK_1436
ko:K03801	pach:PAGK_1437
ko:K03644	pach:PAGK_1440
ko:K03290	pach:PAGK_1442
ko:K08996	pach:PAGK_1448
ko:K03710	pach:PAGK_1452
ko:K01915	pach:PAGK_1457
ko:K00982	pach:PAGK_1462
ko:K01915	pach:PAGK_1464
ko:K01265	pach:PAGK_1467
ko:K06200	pach:PAGK_1468
ko:K02013	pach:PAGK_1471
ko:K02015	pach:PAGK_1472
ko:K02016	pach:PAGK_1473
ko:K07164	pach:PAGK_1477
ko:K02259	pach:PAGK_1480
ko:K03117	pach:PAGK_1486
ko:K01714	pach:PAGK_1487
ko:K00339	pach:PAGK_1841
ko:K00338	pach:PAGK_1842
ko:K00337	pach:PAGK_1843
ko:K00334	pach:PAGK_1846
ko:K00333	pach:PAGK_1847
ko:K00332	pach:PAGK_1848
ko:K00331	pach:PAGK_1849
ko:K00330	pach:PAGK_1850
ko:K03183	pach:PAGK_1856
ko:K02548	pach:PAGK_1861
ko:K05878	pach:PAGK_1863
ko:K05879	pach:PAGK_1864
ko:K05881	pach:PAGK_1865
ko:K01933	pach:PAGK_1883
ko:K00764	pach:PAGK_1884
ko:K04561	pach:PAGK_1889
ko:K13950	pach:PAGK_1890
ko:K01952	pach:PAGK_1891
ko:K01256	pach:PAGK_1893
ko:K01952	pach:PAGK_1900
ko:K01923	pach:PAGK_1901
ko:K03387	pach:PAGK_1903
ko:K04761	pach:PAGK_1904
ko:K01756	pach:PAGK_1905
ko:K01945	pach:PAGK_1906
ko:K01939	pach:PAGK_1907
ko:K01714	pach:PAGK_1911
ko:K03290	pach:PAGK_1913
ko:K06207	pach:PAGK_1916
ko:K01624	pach:PAGK_1924
ko:K03975	pach:PAGK_1927
ko:K09858	pach:PAGK_1931
ko:K03695	pach:PAGK_1933
ko:K03311	pach:PAGK_1934
ko:K01623	pach:PAGK_1936
ko:K03322	pach:PAGK_1938
ko:K02003	pach:PAGK_1941
ko:K07085	pach:PAGK_1945
ko:K02909	pach:PAGK_2056
ko:K02902	pach:PAGK_2057
ko:K02913	pach:PAGK_2058
ko:K02954	pach:PAGK_2059
ko:K02911	pach:PAGK_2060
ko:K01207	pach:PAGK_2062
ko:K01712	pach:PAGK_2063
ko:K06016	pach:PAGK_2064
ko:K01468	pach:PAGK_2066
ko:K01745	pach:PAGK_2067
ko:K12410	pach:PAGK_2070
ko:K11991	pach:PAGK_2080
ko:K00761	pach:PAGK_2082
ko:K03549	pach:PAGK_2086
ko:K00849	pach:PAGK_2091
ko:K01940	pach:PAGK_2098
ko:K01950	pach:PAGK_2170
ko:K00850	pach:PAGK_2171
ko:K00259	pach:PAGK_2172
ko:K11737	pach:PAGK_2173
ko:K01647	pach:PAGK_2181
ko:K00259	pach:PAGK_2183
ko:K11737	pach:PAGK_2192
ko:K11737	pach:PAGK_2193
ko:K01775	pach:PAGK_2194
ko:K00849	pach:PAGK_2196
ko:K00973	pach:PAGK_2197
ko:K00865	pach:PAGK_2208
ko:K00864	pach:PAGK_2213
ko:K02440	pach:PAGK_2214
ko:K00384	pach:PAGK_2218
ko:K02654	pach:PAGK_2347
ko:K06966	pach:PAGK_2375
ko:K00313	pach:PAGK_2112
ko:K03522	pach:PAGK_2113
ko:K03521	pach:PAGK_2114
ko:K01875	pach:PAGK_2119
ko:K00684	pach:PAGK_2123
ko:K06153	pach:PAGK_2127
ko:K02217	pach:PAGK_2128
ko:K02939	pach:PAGK_2131
ko:K02963	pach:PAGK_2132
ko:K02990	pach:PAGK_2134
ko:K02768	pach:PAGK_2137
ko:K02769	pach:PAGK_2137
ko:K02770	pach:PAGK_2137
ko:K01151	pach:PAGK_2140
ko:K07124	pach:PAGK_2141
ko:K00655	pach:PAGK_2142
ko:K03652	pach:PAGK_2151
ko:K00113	pach:PAGK_2152
ko:K00112	pach:PAGK_2153
ko:K00111	pach:PAGK_2154
ko:K03281	pach:PAGK_2157
ko:K03671	pach:PAGK_2223
ko:K00057	pach:PAGK_2224
ko:K00615	pach:PAGK_2226
ko:K01808	pach:PAGK_2232
ko:K01686	pach:PAGK_2235
ko:K01812	pach:PAGK_2237
ko:K02529	pach:PAGK_2238
ko:K01195	pach:PAGK_2241
ko:K01921	pach:PAGK_2246
ko:K03501	pach:PAGK_2255
ko:K03217	pach:PAGK_2261
ko:K08998	pach:PAGK_2262
ko:K03536	pach:PAGK_2263
ko:K01190	pach:PAGK_1629
ko:K08316	pach:PAGK_0713
ko:K01977	pach:PAGK_2301
ko:K00096	pach:PAGK_0690
ko:K14234	pach:PAGK_2268
ko:K07308	pach:PAGK_0533
ko:K17317	pach:PAGK_1878
ko:K17316	pach:PAGK_1879
ko:K10947	pach:PAGK_0584
ko:K01992	pach:PAGK_0177
ko:K01992	pach:PAGK_0428
ko:K01992	pach:PAGK_0623
ko:K01992	pach:PAGK_2106
ko:K15581	pach:PAGK_2052
ko:K17315	pach:PAGK_1880
ko:K14220	pach:PAGK_2296
ko:K01990	pach:PAGK_1741
ko:K01992	pach:PAGK_1740
ko:K01990	pach:PAGK_1225
ko:K01990	pach:PAGK_1830
ko:K01985	pach:PAGK_2276
ko:K01985	pach:PAGK_2284
ko:K01985	pach:PAGK_2299
ko:K00096	pach:PAGK_2228
ko:K05342	pach:PAGK_1045
ko:K15583	pach:PAGK_2054
ko:K02028	pach:PAGK_1528
ko:K00265	pach:PAGK_1019
ko:K00951	pach:PAGK_0987
ko:K01897	pach:PAGK_0587
ko:K00040	pach:PAGK_2236
ko:K01897	pach:PAGK_2139
ko:K03574	pach:PAGK_1710
ko:K01980	pach:PAGK_2275
ko:K01980	pach:PAGK_2283
ko:K01980	pach:PAGK_2300
ko:K01992	pach:PAGK_1224
ko:K14228	pach:PAGK_2273
ko:K15580	pach:PAGK_2051
ko:K14225	pach:PAGK_2292
ko:K03416	pach:PAGK_1921
ko:K17489	pach:PAGK_1920
ko:K02027	pach:PAGK_2204
ko:K02027	pach:PAGK_1876
ko:K17490	pach:PAGK_1918
ko:K14218	pach:PAGK_2297
ko:K14230	pach:PAGK_2295
ko:K14230	pach:PAGK_2288
ko:K14224	pach:PAGK_2286
ko:K14229	pach:PAGK_2302
ko:K01186	pach:PAGK_0621
ko:K03671	pach:PAGK_0504
ko:K17489	pach:PAGK_1919
ko:K14233	pach:PAGK_2267
ko:K14237	pach:PAGK_2287
ko:K14222	pach:PAGK_2293
ko:K02026	pach:PAGK_2202
ko:K17686	pach:PAGK_2145
ko:K14227	pach:PAGK_2265
ko:K14218	pach:PAGK_2271
ko:K14219	pach:PAGK_2270
ko:K14219	pach:PAGK_2289
ko:K14219	pach:PAGK_2278
ko:K14223	pach:PAGK_2272
ko:K14230	pach:PAGK_2305
ko:K14237	pach:PAGK_2294
ko:K14237	pach:PAGK_2291
ko:K14232	pach:PAGK_2290
ko:K14224	pach:PAGK_2309
ko:K14225	pach:PAGK_2280
ko:K14234	pach:PAGK_2306
ko:K14236	pach:PAGK_2307
ko:K14229	pach:PAGK_2308
ko:K14221	pach:PAGK_2310
ko:K14228	pach:PAGK_2313
ko:K14233	pach:PAGK_2315
ko:K14233	pach:PAGK_2317
ko:K14219	pach:PAGK_2316
ko:K14218	pach:PAGK_2266
ko:K14234	pach:PAGK_2269
ko:K14226	pach:PAGK_2277
ko:K14232	pach:PAGK_2279
ko:K14232	pach:PAGK_2314
ko:K14228	pach:PAGK_2281
ko:K14228	pach:PAGK_2298
ko:K14228	pach:PAGK_2303
ko:K14223	pach:PAGK_2285
ko:K14231	pach:PAGK_2311
ko:K14225	pach:PAGK_2312
ko:K01977	pach:PAGK_2274
ko:K01977	pach:PAGK_2282
ko:K17686	pach:PAGK_1439
ko:K00226	pach:PAGK_0189
ko:K03292	pach:PAGK_2239
ko:K00971	pach:PAGK_1624
ko:K17828	pach:PAGK_1151
ko:K02026	pach:PAGK_0416
ko:K02026	pach:PAGK_0725
ko:K02026	pach:PAGK_1522
ko:K14337	pach:PAGK_1815
ko:K01840	pach:PAGK_1652
ko:K02026	pach:PAGK_1875
ko:K02768	pach:PAGK_2136
ko:K03767	pach:PAGK_1409
ko:K01267	pach:PAGK_1556
ko:K08485	pach:PAGK_0691
ko:K02021	pach:PAGK_0099
ko:K12574	pach:PAGK_0710
ko:K02027	pach:PAGK_0414
ko:K02027	pach:PAGK_0727
ko:K02027	pach:PAGK_1585
ko:K01187	pach:PAGK_2240
ko:K03496	pach:PAGK_2332
ko:K08221	pach:PAGK_0921
ko:K06148	pach:PAGK_0098
ko:K17883	pach:PAGK_0354
ko:K02809	pach:PAGK_1012
ko:K02810	pach:PAGK_1012
ko:K17899	pach:PAGK_2188
ko:K01906	pach:PAGK_1785
ko:K00652	pach:PAGK_1785
ko:K21469	pach:PAGK_1016
ko:K13572	pach:PAGK_0799
ko:K03719	pach:PAGK_0933
ko:K18230	pach:PAGK_0122
ko:K18118	pach:PAGK_1965
ko:K03629	pach:PAGK_0004
ko:K07173	pach:PAGK_0464
ko:K05895	pach:PAGK_0455
ko:K01788	pach:PAGK_0322
ko:K03579	pach:PAGK_0183
ko:K02003	pach:PAGK_1860
ko:K02002	pach:PAGK_1930
ko:K10038	pach:PAGK_1827
ko:K02003	pach:PAGK_1336
ko:K01791	pach:PAGK_0153
ko:K03574	pach:PAGK_0363
ko:K09820	pach:PAGK_0675
ko:K02470	pach:PAGK_0008
ko:K01809	pach:PAGK_0007
ko:K06218	pach:PAGK_2322
ko:K08300	pach:PAGK_1308
ko:K08301	pach:PAGK_1308
ko:K18955	pach:PAGK_1622
ko:K18955	pach:PAGK_0891
ko:K06147	pach:PAGK_0207
ko:K18929	pach:PAGK_0196
ko:K18928	pach:PAGK_0195
ko:K03496	pach:PAGK_2380
ko:K06886	pach:PAGK_1968
ko:K03111	pach:PAGK_2133
ko:K03497	pach:PAGK_2249
ko:K03496	pach:PAGK_2250
ko:K03496	pach:PAGK_2326
ko:K03111	pach:PAGK_0582
ko:K03496	pach:PAGK_0794
ko:K03761	pach:PAGK_2014
ko:K00335	pach:PAGK_1845
ko:K05991	pach:PAGK_2000
ko:K03976	pach:PAGK_2166
ko:K00336	pach:PAGK_1844
ko:K02483	pach:PAGK_1955
ko:K16785	pach:PAGK_0185
ko:K16786	pach:PAGK_0185
ko:K16787	pach:PAGK_0185
ko:K05991	pach:PAGK_1485
ko:K03526	pach:PAGK_0672
ko:K19221	pach:PAGK_0452
ko:K01167	pach:PAGK_1397
ko:K00798	pach:PAGK_0917
ko:K02777	pach:PAGK_0320
ko:K02802	pach:PAGK_1449
ko:K19270	pach:PAGK_0027
ko:K03722	pach:PAGK_1131
ko:K02804	pach:PAGK_1453
ko:K01785	pach:PAGK_1138
ko:K01990	pach:PAGK_1984
ko:K21400	pach:PAGK_2187
ko:K11045	pach:PAGK_0843
ko:K11045	pach:PAGK_0923
ko:K11045	pach:PAGK_0954
ko:K08744	pach:PAGK_1074
ko:K11045	pach:PAGK_2002
ko:K11045	pach:PAGK_1441
ko:K09819	pach:PAGK_0674
ko:K19710	pach:PAGK_1076
ko:K07119	pach:PAGK_0426
ko:K05346	pach:PAGK_0937
ko:K12132	pach:PAGK_0212
ko:K20074	pach:PAGK_0215
ko:K20265	pach:PAGK_0205
ko:K12132	pach:PAGK_1398
ko:K02803	pach:PAGK_1450
ko:K02803	pach:PAGK_1451
ko:K00525	pach:PAGK_1127
ko:K00526	pach:PAGK_2016
ko:K20370	pach:PAGK_2242
ko:K02081	pach:PAGK_1143
ko:K02438	pach:PAGK_1038
ko:K21029	pach:PAGK_0536
ko:K21071	pach:PAGK_0090
ko:K00821	pach:PAGK_0834
ko:K21636	pach:PAGK_2036
ko:K00525	pach:PAGK_2015
ko:K02335	pach:PAGK_1355
ko:K00287	pach:PAGK_1600
ko:K00560	pach:PAGK_1601
ko:K03553	pach:PAGK_1141
ko:K02316	pach:PAGK_1197
ko:K06217	pach:PAGK_1219
ko:K01520	pach:PAGK_1097
ko:K00857	pach:PAGK_1102
ko:K01493	pach:PAGK_1866
ko:K04068	pach:PAGK_2035
ko:K02314	pach:PAGK_2148
ko:K02221	pach:PAGK_0295
ko:K02031	pach:PAGK_0880
ko:K02032	pach:PAGK_0881
ko:K05710	pach:PAGK_0633
ko:K01802	pach:PAGK_2061
ko:K05364	pach:PAGK_0213
ko:K03293	pach:PAGK_1082
ko:K07005	pach:PAGK_0712
ko:K03293	pach:PAGK_1944
ko:K03293	pach:PAGK_2158
ko:K16783	pach:PAGK_0783
ko:K03636	pach:PAGK_0519
ko:K21399	pach:PAGK_2186
ko:K21401	pach:PAGK_1851
ko:K21471	pach:PAGK_1406
ko:K21600	pach:PAGK_2147
ko:K21672	pach:PAGK_2185
ko:K10914	pach:PAGK_0254
ko:K21929	pach:PAGK_0918
ko:K00936	pach:PAGK_0890
ko:K22010	pach:PAGK_1357
ko:K22044	pach:PAGK_2207
ko:K00015	pach:PAGK_2155
ko:K03595	pach:PAGK_1216
ko:K03077	pach:PAGK_1267
ko:K03077	pach:PAGK_2233
ko:K01046	pach:PAGK_1999
ko:K14441	pach:PAGK_1147
ko:K17758	pach:PAGK_1720
ko:K17759	pach:PAGK_1720
ko:K02257	pach:PAGK_0620
ko:K22306	pach:PAGK_1297
ko:K00728	pach:PAGK_0542
ko:K22468	pach:PAGK_0966
ko:K07566	pach:PAGK_0904
