ko:K02495	sene:IA1_19455
ko:K03402	sene:IA1_16280
ko:K03623	sene:IA1_16300
ko:K03468	sene:IA1_16305
ko:K15548	sene:IA1_16310
ko:K03568	sene:IA1_16325
ko:K08301	sene:IA1_16335
ko:K06287	sene:IA1_16340
ko:K03571	sene:IA1_16345
ko:K03570	sene:IA1_16350
ko:K03569	sene:IA1_16355
ko:K17247	sene:IA1_16375
ko:K02160	sene:IA1_16380
ko:K01961	sene:IA1_16385
ko:K14392	sene:IA1_16395
ko:K02687	sene:IA1_16400
ko:K03557	sene:IA1_16410
ko:K00014	sene:IA1_16495
ko:K07566	sene:IA1_16500
ko:K07479	sene:IA1_16505
ko:K03747	sene:IA1_16510
ko:K01462	sene:IA1_16520
ko:K00604	sene:IA1_16525
ko:K03500	sene:IA1_16530
ko:K13631	sene:IA1_20760
ko:K13639	sene:IA1_20765
ko:K00799	sene:IA1_20770
ko:K06901	sene:IA1_20775
ko:K03316	sene:IA1_20785
ko:K14393	sene:IA1_20805
ko:K01895	sene:IA1_20815
ko:K03385	sene:IA1_20820
ko:K04013	sene:IA1_20825
ko:K04014	sene:IA1_20830
ko:K04015	sene:IA1_20835
ko:K04016	sene:IA1_20840
ko:K04017	sene:IA1_20845
ko:K04018	sene:IA1_20850
ko:K11102	sene:IA1_20855
ko:K07126	sene:IA1_20860
ko:K09994	sene:IA1_20880
ko:K04750	sene:IA1_20885
ko:K06193	sene:IA1_20890
ko:K03762	sene:IA1_20895
ko:K07643	sene:IA1_20905
ko:K07771	sene:IA1_20910
ko:K03760	sene:IA1_20915
ko:K03759	sene:IA1_20920
ko:K03755	sene:IA1_20925
ko:K01584	sene:IA1_20935
ko:K07406	sene:IA1_20945
ko:K11104	sene:IA1_20950
ko:K01676	sene:IA1_20955
ko:K07792	sene:IA1_20960
ko:K07703	sene:IA1_20965
ko:K07701	sene:IA1_20970
ko:K07306	sene:IA1_20975
ko:K07307	sene:IA1_20980
ko:K07308	sene:IA1_20985
ko:K07052	sene:IA1_11860
ko:K07347	sene:IA1_01640
ko:K06445	sene:IA1_01685
ko:K03271	sene:IA1_01690
ko:K02346	sene:IA1_01705
ko:K02839	sene:IA1_01715
ko:K01270	sene:IA1_01720
ko:K00769	sene:IA1_01725
ko:K11750	sene:IA1_01730
ko:K11926	sene:IA1_01735
ko:K11929	sene:IA1_01740
ko:K00931	sene:IA1_01745
ko:K00147	sene:IA1_01750
ko:K01703	sene:IA1_01790
ko:K01704	sene:IA1_01795
ko:K01561	sene:IA1_01805
ko:K07347	sene:IA1_01835
ko:K07345	sene:IA1_01845
ko:K04080	sene:IA1_06170
ko:K02035	sene:IA1_06190
ko:K02033	sene:IA1_06195
ko:K02034	sene:IA1_06200
ko:K04093	sene:IA1_06255
ko:K11250	sene:IA1_06260
ko:K09712	sene:IA1_06285
ko:K03449	sene:IA1_06300
ko:K09786	sene:IA1_06330
ko:K07180	sene:IA1_06335
ko:K06871	sene:IA1_06345
ko:K01792	sene:IA1_06355
ko:K00134	sene:IA1_06365
ko:K07305	sene:IA1_06370
ko:K09916	sene:IA1_06375
ko:K08281	sene:IA1_06380
ko:K01424	sene:IA1_06385
ko:K04773	sene:IA1_06390
ko:K01008	sene:IA1_06400
ko:K00262	sene:IA1_06410
ko:K08320	sene:IA1_06420
ko:K01142	sene:IA1_06425
ko:K00840	sene:IA1_06430
ko:K00673	sene:IA1_06435
ko:K06447	sene:IA1_06440
ko:K01484	sene:IA1_06445
ko:K05526	sene:IA1_06450
ko:K08303	sene:IA1_10695
ko:K00941	sene:IA1_10730
ko:K00878	sene:IA1_10735
ko:K07347	sene:IA1_10750
ko:K02982	sene:IA1_16650
ko:K02890	sene:IA1_16655
ko:K02965	sene:IA1_16660
ko:K02886	sene:IA1_16665
ko:K02892	sene:IA1_16670
ko:K02926	sene:IA1_16675
ko:K02906	sene:IA1_16680
ko:K02946	sene:IA1_16685
ko:K02506	sene:IA1_16690
ko:K03594	sene:IA1_16695
ko:K02192	sene:IA1_16700
ko:K02358	sene:IA1_16705
ko:K02355	sene:IA1_16710
ko:K02992	sene:IA1_16715
ko:K02950	sene:IA1_16720
ko:K07237	sene:IA1_16725
ko:K07236	sene:IA1_16730
ko:K07235	sene:IA1_16735
ko:K03745	sene:IA1_16750
ko:K03775	sene:IA1_16755
ko:K07070	sene:IA1_16760
ko:K06158	sene:IA1_16775
ko:K07019	sene:IA1_16790
ko:K09898	sene:IA1_16795
ko:K00855	sene:IA1_16800
ko:K07397	sene:IA1_16805
ko:K09474	sene:IA1_21050
ko:K04084	sene:IA1_21070
ko:K03926	sene:IA1_21075
ko:K07791	sene:IA1_21080
ko:K01744	sene:IA1_21085
ko:K07113	sene:IA1_21090
ko:K16263	sene:IA1_21095
ko:K04078	sene:IA1_21100
ko:K04077	sene:IA1_21105
ko:K02356	sene:IA1_21125
ko:K16347	sene:IA1_21130
ko:K16348	sene:IA1_21135
ko:K03098	sene:IA1_21150
ko:K00247	sene:IA1_21155
ko:K00246	sene:IA1_21160
ko:K00245	sene:IA1_21165
ko:K00244	sene:IA1_21170
ko:K04568	sene:IA1_21175
ko:K01613	sene:IA1_21195
ko:K06949	sene:IA1_21200
ko:K13288	sene:IA1_21205
ko:K09996	sene:IA1_21210
ko:K06925	sene:IA1_21235
ko:K01448	sene:IA1_21240
ko:K03572	sene:IA1_21245
ko:K00791	sene:IA1_21250
ko:K03666	sene:IA1_21255
ko:K03665	sene:IA1_21260
ko:K04088	sene:IA1_21265
ko:K04087	sene:IA1_21270
ko:K09937	sene:IA1_21275
ko:K01939	sene:IA1_21280
ko:K13771	sene:IA1_21285
ko:K02878	sene:IA1_16645
ko:K03781	sene:IA1_06505
ko:K15722	sene:IA1_06510
ko:K06956	sene:IA1_06515
ko:K07038	sene:IA1_06520
ko:K16370	sene:IA1_06545
ko:K07283	sene:IA1_06550
ko:K09953	sene:IA1_06555
ko:K01173	sene:IA1_06565
ko:K01868	sene:IA1_06570
ko:K02520	sene:IA1_06575
ko:K02916	sene:IA1_06580
ko:K02887	sene:IA1_06585
ko:K01889	sene:IA1_06590
ko:K01890	sene:IA1_06595
ko:K04764	sene:IA1_06600
ko:K06073	sene:IA1_06605
ko:K00432	sene:IA1_06610
ko:K06074	sene:IA1_06615
ko:K08997	sene:IA1_06630
ko:K01626	sene:IA1_06640
ko:K09773	sene:IA1_06645
ko:K12507	sene:IA1_06660
ko:K00313	sene:IA1_06670
ko:K03785	sene:IA1_06700
ko:K05887	sene:IA1_06705
ko:K02529	sene:IA1_10960
ko:K07148	sene:IA1_10970
ko:K01495	sene:IA1_10975
ko:K01752	sene:IA1_10990
ko:K07783	sene:IA1_11000
ko:K16089	sene:IA1_11005
ko:K11733	sene:IA1_11010
ko:K01151	sene:IA1_11025
ko:K02769	sene:IA1_11030
ko:K02770	sene:IA1_11030
ko:K00882	sene:IA1_11035
ko:K02768	sene:IA1_11040
ko:K11183	sene:IA1_11040
ko:K03291	sene:IA1_11050
ko:K02356	sene:IA1_11060
ko:K13694	sene:IA1_11075
ko:K13893	sene:IA1_11085
ko:K13894	sene:IA1_11090
ko:K13895	sene:IA1_11095
ko:K13896	sene:IA1_11100
ko:K07552	sene:IA1_11110
ko:K06183	sene:IA1_11115
ko:K02897	sene:IA1_11125
ko:K06899	sene:IA1_11135
ko:K09904	sene:IA1_11140
ko:K07014	sene:IA1_11145
ko:K07685	sene:IA1_11190
ko:K02200	sene:IA1_11195
ko:K02199	sene:IA1_11200
ko:K02198	sene:IA1_11205
ko:K02197	sene:IA1_11210
ko:K02196	sene:IA1_11215
ko:K02195	sene:IA1_11220
ko:K02194	sene:IA1_11225
ko:K02193	sene:IA1_11230
ko:K02569	sene:IA1_11235
ko:K02568	sene:IA1_11240
ko:K02574	sene:IA1_11245
ko:K02573	sene:IA1_11250
ko:K07238	sene:IA1_15420
ko:K03673	sene:IA1_15435
ko:K03611	sene:IA1_15440
ko:K02858	sene:IA1_15445
ko:K09806	sene:IA1_15450
ko:K03272	sene:IA1_15470
ko:K00982	sene:IA1_15475
ko:K07184	sene:IA1_15485
ko:K00974	sene:IA1_15490
ko:K06153	sene:IA1_15495
ko:K01633	sene:IA1_15500
ko:K08591	sene:IA1_15505
ko:K01409	sene:IA1_15515
ko:K02970	sene:IA1_15520
ko:K03086	sene:IA1_15530
ko:K03649	sene:IA1_15535
ko:K07229	sene:IA1_15545
ko:K03776	sene:IA1_15560
ko:K09251	sene:IA1_15565
ko:K00219	sene:IA1_15570
ko:K11391	sene:IA1_15575
ko:K02478	sene:IA1_10800
ko:K05846	sene:IA1_10815
ko:K05847	sene:IA1_10820
ko:K05846	sene:IA1_10825
ko:K05845	sene:IA1_10830
ko:K05349	sene:IA1_10835
ko:K03777	sene:IA1_10840
ko:K07262	sene:IA1_10845
ko:K05541	sene:IA1_10875
ko:K16165	sene:IA1_10890
ko:K00450	sene:IA1_10895
ko:K08195	sene:IA1_10900
ko:K01489	sene:IA1_10920
ko:K03748	sene:IA1_10925
ko:K10541	sene:IA1_10945
ko:K10542	sene:IA1_10950
ko:K10540	sene:IA1_10955
ko:K08191	sene:IA1_15135
ko:K01686	sene:IA1_15140
ko:K00040	sene:IA1_15145
ko:K01812	sene:IA1_15150
ko:K01460	sene:IA1_15160
ko:K11209	sene:IA1_15165
ko:K02020	sene:IA1_15170
ko:K02016	sene:IA1_15175
ko:K04653	sene:IA1_15180
ko:K04651	sene:IA1_15185
ko:K06281	sene:IA1_15200
ko:K06282	sene:IA1_15215
ko:K03406	sene:IA1_15225
ko:K03559	sene:IA1_15255
ko:K03561	sene:IA1_15260
ko:K01760	sene:IA1_15270
ko:K08325	sene:IA1_15285
ko:K06221	sene:IA1_15290
ko:K00655	sene:IA1_15335
ko:K02621	sene:IA1_15340
ko:K13652	sene:IA1_15345
ko:K07666	sene:IA1_15355
ko:K03923	sene:IA1_15365
ko:K02622	sene:IA1_15375
ko:K07000	sene:IA1_15380
ko:K03651	sene:IA1_15385
ko:K09920	sene:IA1_15390
ko:K01515	sene:IA1_15395
ko:K12340	sene:IA1_15400
ko:K02380	sene:IA1_19610
ko:K00127	sene:IA1_19615
ko:K00124	sene:IA1_19620
ko:K00123	sene:IA1_19625
ko:K03593	sene:IA1_10770
ko:K02379	sene:IA1_19635
ko:K03534	sene:IA1_19665
ko:K01629	sene:IA1_19675
ko:K01813	sene:IA1_19680
ko:K00848	sene:IA1_19685
ko:K02855	sene:IA1_19690
ko:K02854	sene:IA1_19695
ko:K02856	sene:IA1_19700
ko:K04564	sene:IA1_19730
ko:K07640	sene:IA1_19745
ko:K06006	sene:IA1_19755
ko:K13283	sene:IA1_19760
ko:K00850	sene:IA1_19765
ko:K02048	sene:IA1_19770
ko:K01521	sene:IA1_19775
ko:K00847	sene:IA1_19785
ko:K11216	sene:IA1_19815
ko:K11531	sene:IA1_19820
ko:K10558	sene:IA1_19825
ko:K10556	sene:IA1_19830
ko:K10555	sene:IA1_19835
ko:K08321	sene:IA1_19840
ko:K11530	sene:IA1_19845
ko:K01783	sene:IA1_19850
ko:K01803	sene:IA1_19855
ko:K00528	sene:IA1_19870
ko:K01874	sene:IA1_10775
ko:K07862	sene:IA1_15600
ko:K15977	sene:IA1_15635
ko:K07393	sene:IA1_15640
ko:K06911	sene:IA1_15655
ko:K01752	sene:IA1_15675
ko:K00656	sene:IA1_15680
ko:K00932	sene:IA1_15685
ko:K03838	sene:IA1_15690
ko:K02446	sene:IA1_19875
ko:K00864	sene:IA1_19880
ko:K02440	sene:IA1_19885
ko:K09892	sene:IA1_19890
ko:K02553	sene:IA1_19895
ko:K02548	sene:IA1_19900
ko:K03667	sene:IA1_19905
ko:K01419	sene:IA1_19910
ko:K03591	sene:IA1_19915
ko:K05499	sene:IA1_19920
ko:K04066	sene:IA1_19925
ko:K02909	sene:IA1_19930
ko:K03764	sene:IA1_19945
ko:K12525	sene:IA1_19955
ko:K00297	sene:IA1_19980
ko:K03782	sene:IA1_19985
ko:K09974	sene:IA1_19990
ko:K00005	sene:IA1_19995
ko:K08314	sene:IA1_20000
ko:K08483	sene:IA1_20005
ko:K11189	sene:IA1_20005
ko:K11201	sene:IA1_20005
ko:K11203	sene:IA1_20010
ko:K11202	sene:IA1_20015
ko:K00656	sene:IA1_20020
ko:K04069	sene:IA1_20025
ko:K11202	sene:IA1_20030
ko:K01595	sene:IA1_20045
ko:K01438	sene:IA1_20050
ko:K00145	sene:IA1_20055
ko:K00930	sene:IA1_20060
ko:K01755	sene:IA1_20065
ko:K04761	sene:IA1_20070
ko:K00322	sene:IA1_20075
ko:K16092	sene:IA1_20095
ko:K01776	sene:IA1_20100
ko:K00075	sene:IA1_20130
ko:K03524	sene:IA1_20135
ko:K00867	sene:IA1_20140
ko:K07043	sene:IA1_15580
ko:K14227	sene:IA1_01340
ko:K14227	sene:IA1_20110
ko:K14227	sene:IA1_19385
ko:K01977	sene:IA1_01335
ko:K19697	sene:IA1_10265
ko:K01626	sene:IA1_03870
ko:K01678	sene:IA1_03875
ko:K01677	sene:IA1_03880
ko:K01573	sene:IA1_03900
ko:K01571	sene:IA1_03905
ko:K01572	sene:IA1_03910
ko:K02015	sene:IA1_03920
ko:K02013	sene:IA1_03925
ko:K01834	sene:IA1_03930
ko:K01785	sene:IA1_03935
ko:K00849	sene:IA1_03940
ko:K00965	sene:IA1_03945
ko:K01784	sene:IA1_03950
ko:K05776	sene:IA1_03960
ko:K01579	sene:IA1_00990
ko:K01918	sene:IA1_00995
ko:K00606	sene:IA1_01000
ko:K00950	sene:IA1_01005
ko:K00970	sene:IA1_01010
ko:K01894	sene:IA1_01015
ko:K06204	sene:IA1_01020
ko:K06206	sene:IA1_01025
ko:K01975	sene:IA1_01030
ko:K03579	sene:IA1_01035
ko:K05365	sene:IA1_01040
ko:K02014	sene:IA1_01045
ko:K02013	sene:IA1_01050
ko:K02016	sene:IA1_01055
ko:K02015	sene:IA1_01060
ko:K01845	sene:IA1_01100
ko:K03281	sene:IA1_01105
ko:K15724	sene:IA1_01110
ko:K06858	sene:IA1_01120
ko:K01243	sene:IA1_01125
ko:K01129	sene:IA1_01130
ko:K02647	sene:IA1_01140
ko:K00674	sene:IA1_01155
ko:K00990	sene:IA1_01160
ko:K01265	sene:IA1_01165
ko:K02967	sene:IA1_01170
ko:K02357	sene:IA1_01175
ko:K09903	sene:IA1_01180
ko:K02838	sene:IA1_01185
ko:K00099	sene:IA1_01190
ko:K00806	sene:IA1_01195
ko:K00981	sene:IA1_01200
ko:K11749	sene:IA1_01205
ko:K07277	sene:IA1_01210
ko:K06142	sene:IA1_01215
ko:K02536	sene:IA1_01220
ko:K02372	sene:IA1_01225
ko:K00677	sene:IA1_01230
ko:K00748	sene:IA1_01235
ko:K03470	sene:IA1_01240
ko:K02337	sene:IA1_01245
ko:K01962	sene:IA1_01250
ko:K04477	sene:IA1_05595
ko:K06214	sene:IA1_05610
ko:K04338	sene:IA1_05615
ko:K04337	sene:IA1_05620
ko:K04335	sene:IA1_05630
ko:K04334	sene:IA1_05635
ko:K04336	sene:IA1_05640
ko:K11941	sene:IA1_05660
ko:K03670	sene:IA1_05665
ko:K03669	sene:IA1_05670
ko:K12147	sene:IA1_05680
ko:K08161	sene:IA1_05685
ko:K02517	sene:IA1_05690
ko:K07146	sene:IA1_05695
ko:K02846	sene:IA1_05715
ko:K12148	sene:IA1_05720
ko:K12149	sene:IA1_05725
ko:K01465	sene:IA1_05730
ko:K03675	sene:IA1_05740
ko:K08162	sene:IA1_05745
ko:K03790	sene:IA1_05750
ko:K09915	sene:IA1_05755
ko:K03810	sene:IA1_05760
ko:K03980	sene:IA1_05765
ko:K02399	sene:IA1_05770
ko:K02398	sene:IA1_05775
ko:K02386	sene:IA1_05780
ko:K02387	sene:IA1_05785
ko:K02388	sene:IA1_05790
ko:K02389	sene:IA1_05795
ko:K02390	sene:IA1_05800
ko:K02391	sene:IA1_05805
ko:K02392	sene:IA1_05810
ko:K02393	sene:IA1_05815
ko:K02394	sene:IA1_05820
ko:K02395	sene:IA1_05825
ko:K02396	sene:IA1_05830
ko:K02397	sene:IA1_05835
ko:K08300	sene:IA1_05840
ko:K06179	sene:IA1_05845
ko:K07040	sene:IA1_05865
ko:K02911	sene:IA1_05870
ko:K03621	sene:IA1_05875
ko:K03399	sene:IA1_10135
ko:K02188	sene:IA1_10140
ko:K06042	sene:IA1_10145
ko:K02227	sene:IA1_10150
ko:K02224	sene:IA1_10155
ko:K13919	sene:IA1_10185
ko:K13920	sene:IA1_10190
ko:K13923	sene:IA1_10215
ko:K13922	sene:IA1_10235
ko:K13921	sene:IA1_10240
ko:K04031	sene:IA1_10255
ko:K04029	sene:IA1_10260
ko:K16651	sene:IA1_10270
ko:K09802	sene:IA1_10275
ko:K07258	sene:IA1_10290
ko:K08354	sene:IA1_10295
ko:K08353	sene:IA1_10300
ko:K08352	sene:IA1_10305
ko:K01141	sene:IA1_10315
ko:K00765	sene:IA1_10335
ko:K00013	sene:IA1_10340
ko:K00817	sene:IA1_10345
ko:K01089	sene:IA1_10350
ko:K02501	sene:IA1_10355
ko:K01814	sene:IA1_10360
ko:K02500	sene:IA1_10365
ko:K11755	sene:IA1_10370
ko:K05789	sene:IA1_10375
ko:K00012	sene:IA1_10380
ko:K00033	sene:IA1_10390
ko:K12943	sene:IA1_14640
ko:K01823	sene:IA1_14645
ko:K04567	sene:IA1_14650
ko:K02836	sene:IA1_14655
ko:K07462	sene:IA1_14660
ko:K03981	sene:IA1_14665
ko:K04763	sene:IA1_14670
ko:K03840	sene:IA1_14675
ko:K09159	sene:IA1_14685
ko:K06980	sene:IA1_14695
ko:K11068	sene:IA1_14700
ko:K09900	sene:IA1_14705
ko:K01223	sene:IA1_14710
ko:K00281	sene:IA1_14720
ko:K02437	sene:IA1_14725
ko:K00605	sene:IA1_14730
ko:K03185	sene:IA1_14740
ko:K01262	sene:IA1_14745
ko:K09895	sene:IA1_14750
ko:K09888	sene:IA1_14755
ko:K01934	sene:IA1_14760
ko:K00058	sene:IA1_14765
ko:K01807	sene:IA1_14770
ko:K05596	sene:IA1_14775
ko:K09807	sene:IA1_14780
ko:K06895	sene:IA1_14785
ko:K03442	sene:IA1_14790
ko:K01624	sene:IA1_14795
ko:K00927	sene:IA1_14800
ko:K03472	sene:IA1_14805
ko:K06934	sene:IA1_14810
ko:K16923	sene:IA1_14815
ko:K16785	sene:IA1_14820
ko:K16786	sene:IA1_14825
ko:K16787	sene:IA1_14830
ko:K03732	sene:IA1_19025
ko:K03671	sene:IA1_19030
ko:K03628	sene:IA1_19035
ko:K02851	sene:IA1_19045
ko:K05790	sene:IA1_19050
ko:K02472	sene:IA1_19060
ko:K00973	sene:IA1_19070
ko:K16704	sene:IA1_19075
ko:K02805	sene:IA1_19080
ko:K16693	sene:IA1_19085
ko:K12582	sene:IA1_19090
ko:K02853	sene:IA1_19095
ko:K02852	sene:IA1_19100
ko:K02498	sene:IA1_19130
ko:K02496	sene:IA1_19135
ko:K01719	sene:IA1_19140
ko:K01749	sene:IA1_19145
ko:K05851	sene:IA1_19150
ko:K06202	sene:IA1_19155
ko:K01778	sene:IA1_19175
ko:K09921	sene:IA1_19180
ko:K03733	sene:IA1_19185
ko:K03657	sene:IA1_19195
ko:K03284	sene:IA1_19200
ko:K05786	sene:IA1_19215
ko:K01058	sene:IA1_19225
ko:K03654	sene:IA1_19230
ko:K05835	sene:IA1_19235
ko:K05834	sene:IA1_19240
ko:K01048	sene:IA1_19245
ko:K03576	sene:IA1_19260
ko:K00549	sene:IA1_19265
ko:K06871	sene:IA1_19275
ko:K01061	sene:IA1_19280
ko:K00757	sene:IA1_19285
ko:K09760	sene:IA1_19290
ko:K03183	sene:IA1_19295
ko:K03690	sene:IA1_19300
ko:K03688	sene:IA1_19305
ko:K07470	sene:IA1_10285
ko:K18139	sene:IA1_01895
ko:K01525	sene:IA1_00445
ko:K06195	sene:IA1_00450
ko:K02528	sene:IA1_00455
ko:K00097	sene:IA1_00460
ko:K03771	sene:IA1_00465
ko:K04744	sene:IA1_00470
ko:K05801	sene:IA1_00475
ko:K06177	sene:IA1_00480
ko:K03580	sene:IA1_00485
ko:K02336	sene:IA1_00490
ko:K01804	sene:IA1_00510
ko:K00853	sene:IA1_00515
ko:K02099	sene:IA1_00520
ko:K02062	sene:IA1_00530
ko:K02063	sene:IA1_00535
ko:K02064	sene:IA1_00540
ko:K11925	sene:IA1_00545
ko:K01704	sene:IA1_00560
ko:K01703	sene:IA1_00565
ko:K00052	sene:IA1_00570
ko:K01649	sene:IA1_00575
ko:K05798	sene:IA1_00580
ko:K01652	sene:IA1_00585
ko:K01653	sene:IA1_00590
ko:K03435	sene:IA1_00595
ko:K03925	sene:IA1_00600
ko:K03438	sene:IA1_00605
ko:K03586	sene:IA1_00610
ko:K03587	sene:IA1_00615
ko:K01928	sene:IA1_00620
ko:K01929	sene:IA1_00625
ko:K01000	sene:IA1_00630
ko:K01925	sene:IA1_00635
ko:K03588	sene:IA1_00640
ko:K02563	sene:IA1_00645
ko:K01924	sene:IA1_00650
ko:K01921	sene:IA1_00655
ko:K03589	sene:IA1_00660
ko:K03590	sene:IA1_00665
ko:K03531	sene:IA1_00670
ko:K02535	sene:IA1_00675
ko:K13301	sene:IA1_00680
ko:K03070	sene:IA1_00685
ko:K03574	sene:IA1_00690
ko:K01256	sene:IA1_05205
ko:K07140	sene:IA1_05220
ko:K12297	sene:IA1_05225
ko:K15738	sene:IA1_05230
ko:K03808	sene:IA1_05235
ko:K06192	sene:IA1_05240
ko:K09857	sene:IA1_05245
ko:K01716	sene:IA1_05250
ko:K04770	sene:IA1_05255
ko:K09911	sene:IA1_05260
ko:K03286	sene:IA1_05265
ko:K07343	sene:IA1_05275
ko:K03658	sene:IA1_05290
ko:K01734	sene:IA1_05295
ko:K09909	sene:IA1_05300
ko:K06929	sene:IA1_05305
ko:K11940	sene:IA1_05310
ko:K02402	sene:IA1_09570
ko:K02403	sene:IA1_09575
ko:K14064	sene:IA1_09580
ko:K00697	sene:IA1_09585
ko:K01087	sene:IA1_09590
ko:K02255	sene:IA1_09605
ko:K02217	sene:IA1_09620
ko:K03834	sene:IA1_09630
ko:K07039	sene:IA1_09635
ko:K00995	sene:IA1_09665
ko:K03703	sene:IA1_09670
ko:K07689	sene:IA1_09675
ko:K10010	sene:IA1_09695
ko:K10009	sene:IA1_09700
ko:K02424	sene:IA1_09710
ko:K02425	sene:IA1_09715
ko:K02405	sene:IA1_09720
ko:K02406	sene:IA1_09730
ko:K02407	sene:IA1_09735
ko:K02422	sene:IA1_09740
ko:K08234	sene:IA1_01265
ko:K04075	sene:IA1_01270
ko:K15034	sene:IA1_01290
ko:K06079	sene:IA1_01295
ko:K01881	sene:IA1_01300
ko:K06080	sene:IA1_01310
ko:K02073	sene:IA1_01315
ko:K02072	sene:IA1_01320
ko:K02071	sene:IA1_01325
ko:K03273	sene:IA1_01330
ko:K06222	sene:IA1_01365
ko:K08307	sene:IA1_01390
ko:K03469	sene:IA1_01405
ko:K02342	sene:IA1_01410
ko:K11902	sene:IA1_01420
ko:K11895	sene:IA1_01425
ko:K11896	sene:IA1_01430
ko:K11897	sene:IA1_01435
ko:K11898	sene:IA1_01440
ko:K11907	sene:IA1_01450
ko:K11901	sene:IA1_01455
ko:K11900	sene:IA1_01460
ko:K11903	sene:IA1_01465
ko:K11903	sene:IA1_01480
ko:K11906	sene:IA1_01485
ko:K11893	sene:IA1_01490
ko:K11892	sene:IA1_01495
ko:K11891	sene:IA1_01510
ko:K11890	sene:IA1_01515
ko:K00648	sene:IA1_05880
ko:K00645	sene:IA1_05885
ko:K00059	sene:IA1_05890
ko:K02078	sene:IA1_05895
ko:K09458	sene:IA1_05900
ko:K02619	sene:IA1_05905
ko:K07082	sene:IA1_05910
ko:K00943	sene:IA1_05915
ko:K02341	sene:IA1_05920
ko:K03424	sene:IA1_05925
ko:K02778	sene:IA1_05930
ko:K02779	sene:IA1_05930
ko:K12524	sene:IA1_00005
ko:K00872	sene:IA1_00010
ko:K01733	sene:IA1_00015
ko:K02423	sene:IA1_09745
ko:K01176	sene:IA1_09750
ko:K07112	sene:IA1_09760
ko:K02408	sene:IA1_09775
ko:K02409	sene:IA1_09780
ko:K02410	sene:IA1_09785
ko:K02411	sene:IA1_09790
ko:K02412	sene:IA1_09795
ko:K02413	sene:IA1_09800
ko:K02414	sene:IA1_09805
ko:K02415	sene:IA1_09810
ko:K02416	sene:IA1_09815
ko:K02417	sene:IA1_09820
ko:K02418	sene:IA1_09825
ko:K02419	sene:IA1_09830
ko:K02420	sene:IA1_09835
ko:K02421	sene:IA1_09840
ko:K07781	sene:IA1_09845
ko:K03087	sene:IA1_14010
ko:K06194	sene:IA1_14015
ko:K00573	sene:IA1_14020
ko:K03787	sene:IA1_14025
ko:K06176	sene:IA1_14030
ko:K01770	sene:IA1_14035
ko:K00991	sene:IA1_14040
ko:K05589	sene:IA1_14045
ko:K00860	sene:IA1_14055
ko:K00957	sene:IA1_14065
ko:K09612	sene:IA1_14070
ko:K15342	sene:IA1_14080
ko:K00390	sene:IA1_14120
ko:K00381	sene:IA1_14125
ko:K00380	sene:IA1_14130
ko:K01737	sene:IA1_14135
ko:K06897	sene:IA1_14140
ko:K10026	sene:IA1_14150
ko:K01689	sene:IA1_14155
ko:K01937	sene:IA1_14160
ko:K04765	sene:IA1_14165
ko:K00951	sene:IA1_14225
ko:K03215	sene:IA1_14230
ko:K07678	sene:IA1_14235
ko:K00865	sene:IA1_14240
ko:K01706	sene:IA1_14245
ko:K13918	sene:IA1_14250
ko:K03535	sene:IA1_14255
ko:K06175	sene:IA1_14265
ko:K08154	sene:IA1_18470
ko:K13636	sene:IA1_18480
ko:K13629	sene:IA1_18485
ko:K01753	sene:IA1_18490
ko:K06871	sene:IA1_18495
ko:K00389	sene:IA1_18505
ko:K07085	sene:IA1_18520
ko:K04081	sene:IA1_18525
ko:K04080	sene:IA1_18530
ko:K02200	sene:IA1_18545
ko:K02199	sene:IA1_18550
ko:K02197	sene:IA1_18555
ko:K02196	sene:IA1_18560
ko:K02195	sene:IA1_18565
ko:K02194	sene:IA1_18570
ko:K02193	sene:IA1_18575
ko:K00428	sene:IA1_18580
ko:K03533	sene:IA1_18585
ko:K07811	sene:IA1_18590
ko:K03532	sene:IA1_18595
ko:K07772	sene:IA1_18600
ko:K11930	sene:IA1_18605
ko:K07647	sene:IA1_18610
ko:K01684	sene:IA1_18620
ko:K01631	sene:IA1_18625
ko:K00883	sene:IA1_18630
ko:K02470	sene:IA1_18660
ko:K03629	sene:IA1_18665
ko:K02338	sene:IA1_18670
ko:K02313	sene:IA1_18675
ko:K03536	sene:IA1_18680
ko:K03217	sene:IA1_18685
ko:K03650	sene:IA1_18690
ko:K08163	sene:IA1_18695
ko:K06901	sene:IA1_18715
ko:K02039	sene:IA1_18725
ko:K02036	sene:IA1_18730
ko:K02038	sene:IA1_18735
ko:K02037	sene:IA1_18740
ko:K16088	sene:IA1_05935
ko:K02503	sene:IA1_05940
ko:K07337	sene:IA1_05950
ko:K07251	sene:IA1_05955
ko:K01207	sene:IA1_05960
ko:K07000	sene:IA1_05965
ko:K03885	sene:IA1_05970
ko:K03723	sene:IA1_05995
ko:K09808	sene:IA1_06000
ko:K09810	sene:IA1_06005
ko:K09808	sene:IA1_06010
ko:K12410	sene:IA1_06020
ko:K11069	sene:IA1_06025
ko:K11070	sene:IA1_06030
ko:K11071	sene:IA1_06045
ko:K11072	sene:IA1_06050
ko:K01258	sene:IA1_06055
ko:K07637	sene:IA1_06070
ko:K07660	sene:IA1_06075
ko:K01756	sene:IA1_06080
ko:K07153	sene:IA1_06085
ko:K00566	sene:IA1_06090
ko:K12152	sene:IA1_06095
