ko:K19079	sauq:SAI4T8_1005110
ko:K01665	sauq:SAI4T8_1005520
ko:K02619	sauq:SAI4T8_1005530
ko:K15738	sauq:SAI4T8_1005570
ko:K03654	sauq:SAI4T8_1005580
ko:K05847	sauq:SAI4T8_1005590
ko:K05845	sauq:SAI4T8_1005600
ko:K05846	sauq:SAI4T8_1005600
ko:K00817	sauq:SAI4T8_1005610
ko:K03305	sauq:SAI4T8_1005640
ko:K09457	sauq:SAI4T8_1005650
ko:K02015	sauq:SAI4T8_1005690
ko:K02015	sauq:SAI4T8_1005700
ko:K02013	sauq:SAI4T8_1005710
ko:K02016	sauq:SAI4T8_1005720
ko:K00075	sauq:SAI4T8_1005730
ko:K00865	sauq:SAI4T8_1005760
ko:K01258	sauq:SAI4T8_1005770
ko:K01866	sauq:SAI4T8_1012670
ko:K12551	sauq:SAI4T8_1012680
ko:K01938	sauq:SAI4T8_1012700
ko:K01895	sauq:SAI4T8_1012710
ko:K04766	sauq:SAI4T8_1012720
ko:K04768	sauq:SAI4T8_1012730
ko:K02529	sauq:SAI4T8_1012740
ko:K13853	sauq:SAI4T8_1012750
ko:K01924	sauq:SAI4T8_1012780
ko:K03466	sauq:SAI4T8_1012790
ko:K06878	sauq:SAI4T8_1012800
ko:K01261	sauq:SAI4T8_1012820
ko:K03439	sauq:SAI4T8_1012840
ko:K00824	sauq:SAI4T8_1012860
ko:K01439	sauq:SAI4T8_1012870
ko:K06183	sauq:SAI4T8_1012880
ko:K07007	sauq:SAI4T8_1012900
ko:K01869	sauq:SAI4T8_1012920
ko:K07139	sauq:SAI4T8_1012940
ko:K00318	sauq:SAI4T8_1012980
ko:K14652	sauq:SAI4T8_1012990
ko:K00793	sauq:SAI4T8_1013000
ko:K11752	sauq:SAI4T8_1013010
ko:K03893	sauq:SAI4T8_1013030
ko:K07052	sauq:SAI4T8_1013070
ko:K00616	sauq:SAI4T8_1013080
ko:K00789	sauq:SAI4T8_1013120
ko:K01610	sauq:SAI4T8_1013130
ko:K02549	sauq:SAI4T8_1013160
ko:K00123	sauq:SAI4T8_1017050
ko:K07052	sauq:SAI4T8_1017090
ko:K03453	sauq:SAI4T8_1017140
ko:K02749	sauq:SAI4T8_1017160
ko:K02750	sauq:SAI4T8_1017160
ko:K03481	sauq:SAI4T8_1017170
ko:K01468	sauq:SAI4T8_1017240
ko:K01712	sauq:SAI4T8_1017250
ko:K11210	sauq:SAI4T8_1017270
ko:K01479	sauq:SAI4T8_1017280
ko:K01807	sauq:SAI4T8_1017300
ko:K01785	sauq:SAI4T8_1017320
ko:K01992	sauq:SAI4T8_1017330
ko:K01990	sauq:SAI4T8_1017340
ko:K03652	sauq:SAI4T8_1017360
ko:K03312	sauq:SAI4T8_1017370
ko:K01823	sauq:SAI4T8_1017380
ko:K03284	sauq:SAI4T8_1017390
ko:K07107	sauq:SAI4T8_1017400
ko:K07552	sauq:SAI4T8_1017460
ko:K09814	sauq:SAI4T8_1017490
ko:K09813	sauq:SAI4T8_1017500
ko:K00116	sauq:SAI4T8_1017540
ko:K03303	sauq:SAI4T8_1017550
ko:K02809	sauq:SAI4T8_1017640
ko:K02810	sauq:SAI4T8_1017640
ko:K11102	sauq:SAI4T8_1017670
ko:K10850	sauq:SAI4T8_1017690
ko:K07696	sauq:SAI4T8_1017720
ko:K07683	sauq:SAI4T8_1017730
ko:K00374	sauq:SAI4T8_1017740
ko:K00373	sauq:SAI4T8_1017750
ko:K00371	sauq:SAI4T8_1017760
ko:K00370	sauq:SAI4T8_1017770
ko:K02303	sauq:SAI4T8_1017780
ko:K00362	sauq:SAI4T8_1017790
ko:K09815	sauq:SAI4T8_1017840
ko:K10010	sauq:SAI4T8_1017880
ko:K10009	sauq:SAI4T8_1017890
ko:K02424	sauq:SAI4T8_1017900
ko:K01834	sauq:SAI4T8_1017920
ko:K14197	sauq:SAI4T8_1017940
ko:K01911	sauq:SAI4T8_1013170
ko:K01154	sauq:SAI4T8_1013250
ko:K01154	sauq:SAI4T8_1013260
ko:K03427	sauq:SAI4T8_1013270
ko:K03466	sauq:SAI4T8_1002220
ko:K03311	sauq:SAI4T8_1002320
ko:K02004	sauq:SAI4T8_1002340
ko:K02003	sauq:SAI4T8_1002350
ko:K16329	sauq:SAI4T8_1002380
ko:K03307	sauq:SAI4T8_1002400
ko:K01639	sauq:SAI4T8_1002410
ko:K01788	sauq:SAI4T8_1002440
ko:K03800	sauq:SAI4T8_1002520
ko:K03475	sauq:SAI4T8_1002540
ko:K02445	sauq:SAI4T8_1002570
ko:K00299	sauq:SAI4T8_1002600
ko:K03817	sauq:SAI4T8_1002630
ko:K07224	sauq:SAI4T8_1002640
ko:K16301	sauq:SAI4T8_1002650
ko:K07243	sauq:SAI4T8_1002660
ko:K03118	sauq:SAI4T8_1002670
ko:K01990	sauq:SAI4T8_1002690
ko:K01657	sauq:SAI4T8_1009830
ko:K01658	sauq:SAI4T8_1009840
ko:K00766	sauq:SAI4T8_1009850
ko:K01609	sauq:SAI4T8_1009860
ko:K01696	sauq:SAI4T8_1009870
ko:K01695	sauq:SAI4T8_1009880
ko:K11694	sauq:SAI4T8_1009890
ko:K11695	sauq:SAI4T8_1009900
ko:K02034	sauq:SAI4T8_1009960
ko:K02033	sauq:SAI4T8_1009970
ko:K02039	sauq:SAI4T8_1009990
ko:K02036	sauq:SAI4T8_1010000
ko:K02038	sauq:SAI4T8_1010010
ko:K02037	sauq:SAI4T8_1010020
ko:K02040	sauq:SAI4T8_1010030
ko:K00243	sauq:SAI4T8_1010040
ko:K00928	sauq:SAI4T8_1010060
ko:K00133	sauq:SAI4T8_1010070
ko:K01714	sauq:SAI4T8_1010080
ko:K00215	sauq:SAI4T8_1010090
ko:K05822	sauq:SAI4T8_1010100
ko:K01775	sauq:SAI4T8_1010120
ko:K01586	sauq:SAI4T8_1010130
ko:K03311	sauq:SAI4T8_1010160
ko:K00658	sauq:SAI4T8_1010200
ko:K00164	sauq:SAI4T8_1010210
ko:K02563	sauq:SAI4T8_1010250
ko:K03797	sauq:SAI4T8_1010270
ko:K07002	sauq:SAI4T8_1013530
ko:K00231	sauq:SAI4T8_1013540
ko:K01772	sauq:SAI4T8_1013550
ko:K01599	sauq:SAI4T8_1013560
ko:K01992	sauq:SAI4T8_1013580
ko:K01990	sauq:SAI4T8_1013590
ko:K07533	sauq:SAI4T8_1013610
ko:K03698	sauq:SAI4T8_1013620
ko:K06180	sauq:SAI4T8_1013700
ko:K01679	sauq:SAI4T8_1013710
ko:K03216	sauq:SAI4T8_1013730
ko:K02028	sauq:SAI4T8_1013750
ko:K02029	sauq:SAI4T8_1013760
ko:K02030	sauq:SAI4T8_1013760
ko:K07035	sauq:SAI4T8_1013770
ko:K03564	sauq:SAI4T8_1014100
ko:K01845	sauq:SAI4T8_1014110
ko:K11085	sauq:SAI4T8_1014130
ko:K07586	sauq:SAI4T8_1014140
ko:K03575	sauq:SAI4T8_1014150
ko:K07038	sauq:SAI4T8_1014160
ko:K09693	sauq:SAI4T8_1014180
ko:K03565	sauq:SAI4T8_1014190
ko:K04478	sauq:SAI4T8_1014200
ko:K05520	sauq:SAI4T8_1014210
ko:K01104	sauq:SAI4T8_1014250
ko:K07058	sauq:SAI4T8_1014260
ko:K07694	sauq:SAI4T8_1014270
ko:K07681	sauq:SAI4T8_1014280
ko:K01265	sauq:SAI4T8_1014300
ko:K07009	sauq:SAI4T8_1014330
ko:K02217	sauq:SAI4T8_1014350
ko:K02342	sauq:SAI4T8_1014360
ko:K02346	sauq:SAI4T8_1014370
ko:K03215	sauq:SAI4T8_1014390
ko:K02434	sauq:SAI4T8_1014410
ko:K02433	sauq:SAI4T8_1014420
ko:K11928	sauq:SAI4T8_1014430
ko:K01972	sauq:SAI4T8_1014450
ko:K03657	sauq:SAI4T8_1014460
ko:K07094	sauq:SAI4T8_1014470
ko:K01756	sauq:SAI4T8_1014480
ko:K08258	sauq:SAI4T8_1014490
ko:K01916	sauq:SAI4T8_1014510
ko:K00763	sauq:SAI4T8_1014520
ko:K00491	sauq:SAI4T8_1014530
ko:K04518	sauq:SAI4T8_1014540
ko:K14445	sauq:SAI4T8_1014550
ko:K15986	sauq:SAI4T8_1014580
ko:K00128	sauq:SAI4T8_1014590
ko:K01992	sauq:SAI4T8_1014660
ko:K01990	sauq:SAI4T8_1014670
ko:K01990	sauq:SAI4T8_1014690
ko:K04077	sauq:SAI4T8_1014900
ko:K07052	sauq:SAI4T8_1014910
ko:K07078	sauq:SAI4T8_1014930
ko:K07813	sauq:SAI4T8_1014950
ko:K07706	sauq:SAI4T8_1014960
ko:K07707	sauq:SAI4T8_1014970
ko:K00847	sauq:SAI4T8_1014980
ko:K01193	sauq:SAI4T8_1014990
ko:K03484	sauq:SAI4T8_1015000
ko:K03320	sauq:SAI4T8_1015010
ko:K07112	sauq:SAI4T8_1015020
ko:K01926	sauq:SAI4T8_1015030
ko:K06158	sauq:SAI4T8_1015040
ko:K01409	sauq:SAI4T8_1015060
ko:K06925	sauq:SAI4T8_1015080
ko:K01687	sauq:SAI4T8_1015090
ko:K01652	sauq:SAI4T8_1015100
ko:K00053	sauq:SAI4T8_1015110
ko:K01649	sauq:SAI4T8_1015120
ko:K00052	sauq:SAI4T8_1015130
ko:K01703	sauq:SAI4T8_1015140
ko:K01704	sauq:SAI4T8_1015150
ko:K01754	sauq:SAI4T8_1015160
ko:K06959	sauq:SAI4T8_1015210
ko:K03090	sauq:SAI4T8_1015220
ko:K04757	sauq:SAI4T8_1015230
ko:K07315	sauq:SAI4T8_1015240
ko:K01775	sauq:SAI4T8_1015250
ko:K09167	sauq:SAI4T8_1015260
ko:K08981	sauq:SAI4T8_1015270
ko:K01548	sauq:SAI4T8_1015290
ko:K01547	sauq:SAI4T8_1015300
ko:K01546	sauq:SAI4T8_1015310
ko:K07646	sauq:SAI4T8_1015320
ko:K07667	sauq:SAI4T8_1015330
ko:K01929	sauq:SAI4T8_1015360
ko:K01921	sauq:SAI4T8_1015370
ko:K05837	sauq:SAI4T8_1015380
ko:K06131	sauq:SAI4T8_1015390
ko:K06950	sauq:SAI4T8_1015400
ko:K03217	sauq:SAI4T8_1015410
ko:K00788	sauq:SAI4T8_1015420
ko:K00878	sauq:SAI4T8_1015430
ko:K00941	sauq:SAI4T8_1015440
ko:K03707	sauq:SAI4T8_1015450
ko:K00790	sauq:SAI4T8_1015480
ko:K02112	sauq:SAI4T8_1015490
ko:K02115	sauq:SAI4T8_1015500
ko:K02111	sauq:SAI4T8_1015510
ko:K02113	sauq:SAI4T8_1015520
ko:K02109	sauq:SAI4T8_1015530
ko:K02108	sauq:SAI4T8_1015540
ko:K01791	sauq:SAI4T8_1015550
ko:K00761	sauq:SAI4T8_1015560
ko:K00600	sauq:SAI4T8_1015570
ko:K07566	sauq:SAI4T8_1015590
ko:K02493	sauq:SAI4T8_1015600
ko:K02835	sauq:SAI4T8_1015610
ko:K03628	sauq:SAI4T8_1015630
ko:K00128	sauq:SAI4T8_1015640
ko:K00790	sauq:SAI4T8_1015650
ko:K01624	sauq:SAI4T8_1015660
ko:K01937	sauq:SAI4T8_1015680
ko:K03048	sauq:SAI4T8_1015690
ko:K09680	sauq:SAI4T8_1015710
ko:K07173	sauq:SAI4T8_1015750
ko:K00756	sauq:SAI4T8_1015760
ko:K01619	sauq:SAI4T8_1015770
ko:K03784	sauq:SAI4T8_1015780
ko:K01809	sauq:SAI4T8_1015800
ko:K16264	sauq:SAI4T8_1015820
ko:K04763	sauq:SAI4T8_1015880
ko:K02013	sauq:SAI4T8_1015910
ko:K00820	sauq:SAI4T8_1015920
ko:K02799	sauq:SAI4T8_1015930
ko:K02800	sauq:SAI4T8_1015930
ko:K00009	sauq:SAI4T8_1015950
ko:K03431	sauq:SAI4T8_1015970
ko:K01476	sauq:SAI4T8_1016000
ko:K03593	sauq:SAI4T8_1016090
ko:K11068	sauq:SAI4T8_1016140
ko:K07038	sauq:SAI4T8_1016160
ko:K02015	sauq:SAI4T8_1016180
ko:K02015	sauq:SAI4T8_1016190
ko:K02016	sauq:SAI4T8_1016200
ko:K01220	sauq:SAI4T8_1016310
ko:K02787	sauq:SAI4T8_1016320
ko:K02788	sauq:SAI4T8_1016320
ko:K01635	sauq:SAI4T8_1016330
ko:K00917	sauq:SAI4T8_1016340
ko:K01819	sauq:SAI4T8_1016350
ko:K02530	sauq:SAI4T8_1016360
ko:K12410	sauq:SAI4T8_1016370
ko:K01727	sauq:SAI4T8_1016400
ko:K01575	sauq:SAI4T8_1016430
ko:K01652	sauq:SAI4T8_1016440
ko:K06173	sauq:SAI4T8_1016500
ko:K16785	sauq:SAI4T8_1016510
ko:K16787	sauq:SAI4T8_1016520
ko:K16786	sauq:SAI4T8_1016530
ko:K03040	sauq:SAI4T8_1016540
ko:K00939	sauq:SAI4T8_1016550
ko:K03076	sauq:SAI4T8_1016560
ko:K02988	sauq:SAI4T8_1016570
ko:K02933	sauq:SAI4T8_1016580
ko:K02931	sauq:SAI4T8_1016590
ko:K02982	sauq:SAI4T8_1016610
ko:K02886	sauq:SAI4T8_1016620
ko:K02926	sauq:SAI4T8_1016630
ko:K02906	sauq:SAI4T8_1016640
ko:K06901	sauq:SAI4T8_1016650
ko:K05340	sauq:SAI4T8_1016680
ko:K07088	sauq:SAI4T8_1016690
ko:K11693	sauq:SAI4T8_1016710
ko:K03639	sauq:SAI4T8_1016740
ko:K03752	sauq:SAI4T8_1016750
ko:K03753	sauq:SAI4T8_1016760
ko:K03750	sauq:SAI4T8_1016770
ko:K03637	sauq:SAI4T8_1016780
ko:K03638	sauq:SAI4T8_1016790
ko:K02017	sauq:SAI4T8_1016810
ko:K02018	sauq:SAI4T8_1016820
ko:K02020	sauq:SAI4T8_1016830
ko:K02379	sauq:SAI4T8_1016840
ko:K03523	sauq:SAI4T8_1016860
ko:K02016	sauq:SAI4T8_1016880
ko:K08717	sauq:SAI4T8_1016900
ko:K01428	sauq:SAI4T8_1016910
ko:K03188	sauq:SAI4T8_1016930
ko:K03189	sauq:SAI4T8_1016940
ko:K03190	sauq:SAI4T8_1016950
ko:K03315	sauq:SAI4T8_1016990
ko:K00626	sauq:SAI4T8_1002720
ko:K00549	sauq:SAI4T8_1002740
ko:K01760	sauq:SAI4T8_1002760
ko:K01739	sauq:SAI4T8_1002770
ko:K06942	sauq:SAI4T8_1002800
ko:K01834	sauq:SAI4T8_1002850
ko:K03387	sauq:SAI4T8_1002870
ko:K03386	sauq:SAI4T8_1002880
ko:K06956	sauq:SAI4T8_1002900
ko:K03816	sauq:SAI4T8_1002950
ko:K16169	sauq:SAI4T8_1002960
ko:K00088	sauq:SAI4T8_1002970
ko:K01951	sauq:SAI4T8_1002980
ko:K11042	sauq:SAI4T8_1003020
ko:K03427	sauq:SAI4T8_1003120
ko:K01154	sauq:SAI4T8_1003130
ko:K07304	sauq:SAI4T8_1010290
ko:K09125	sauq:SAI4T8_1010340
ko:K08170	sauq:SAI4T8_1010370
ko:K03294	sauq:SAI4T8_1010380
ko:K01754	sauq:SAI4T8_1010390
ko:K00259	sauq:SAI4T8_1010400
ko:K07444	sauq:SAI4T8_1010440
ko:K03700	sauq:SAI4T8_1010460
ko:K05366	sauq:SAI4T8_1010470
ko:K10773	sauq:SAI4T8_1010480
ko:K02086	sauq:SAI4T8_1010490
ko:K01893	sauq:SAI4T8_1010500
ko:K03524	sauq:SAI4T8_1010520
ko:K00974	sauq:SAI4T8_1010530
ko:K06973	sauq:SAI4T8_1010550
ko:K00800	sauq:SAI4T8_1010590
ko:K01735	sauq:SAI4T8_1010600
ko:K01736	sauq:SAI4T8_1010610
ko:K00940	sauq:SAI4T8_1010620
ko:K00805	sauq:SAI4T8_1010630
ko:K03183	sauq:SAI4T8_1010640
ko:K00057	sauq:SAI4T8_1010660
ko:K03977	sauq:SAI4T8_1010670
ko:K02945	sauq:SAI4T8_1010680
ko:K00945	sauq:SAI4T8_1010690
ko:K01424	sauq:SAI4T8_1010700
ko:K03654	sauq:SAI4T8_1010730
ko:K07304	sauq:SAI4T8_1019950
ko:K01104	sauq:SAI4T8_1019970
ko:K11936	sauq:SAI4T8_1020010
ko:K11755	sauq:SAI4T8_1020050
ko:K02500	sauq:SAI4T8_1020060
ko:K01814	sauq:SAI4T8_1020070
ko:K02501	sauq:SAI4T8_1020080
ko:K01693	sauq:SAI4T8_1020090
ko:K00817	sauq:SAI4T8_1020100
ko:K00013	sauq:SAI4T8_1020110
ko:K00765	sauq:SAI4T8_1020120
ko:K16785	sauq:SAI4T8_1020160
ko:K16786	sauq:SAI4T8_1020170
ko:K16787	sauq:SAI4T8_1020170
ko:K16924	sauq:SAI4T8_1020180
ko:K02352	sauq:SAI4T8_1020210
ko:K07146	sauq:SAI4T8_1020220
ko:K01304	sauq:SAI4T8_1020230
ko:K03319	sauq:SAI4T8_1020260
ko:K05786	sauq:SAI4T8_1020270
ko:K07241	sauq:SAI4T8_1020290
ko:K11631	sauq:SAI4T8_1020320
ko:K11632	sauq:SAI4T8_1020330
ko:K03501	sauq:SAI4T8_1020360
ko:K03495	sauq:SAI4T8_1020370
ko:K03650	sauq:SAI4T8_1020380
ko:K01534	sauq:SAI4T8_20020
ko:K02851	sauq:SAI4T8_1005810
ko:K02240	sauq:SAI4T8_1005840
ko:K02242	sauq:SAI4T8_1005850
ko:K03070	sauq:SAI4T8_1005870
ko:K02836	sauq:SAI4T8_1005880
ko:K07023	sauq:SAI4T8_1005900
ko:K03702	sauq:SAI4T8_1005910
ko:K03701	sauq:SAI4T8_1005920
ko:K06023	sauq:SAI4T8_1005930
ko:K13292	sauq:SAI4T8_1005940
ko:K00384	sauq:SAI4T8_1005970
ko:K09762	sauq:SAI4T8_1006000
ko:K01358	sauq:SAI4T8_1006020
ko:K07071	sauq:SAI4T8_1006030
ko:K05311	sauq:SAI4T8_1006050
ko:K00134	sauq:SAI4T8_1006060
ko:K00927	sauq:SAI4T8_1006070
ko:K01803	sauq:SAI4T8_1006080
ko:K15633	sauq:SAI4T8_1006090
ko:K01689	sauq:SAI4T8_1006100
ko:K03928	sauq:SAI4T8_1006120
ko:K12573	sauq:SAI4T8_1006130
ko:K06895	sauq:SAI4T8_1006250
ko:K03785	sauq:SAI4T8_1006270
ko:K04763	sauq:SAI4T8_1006300
ko:K05577	sauq:SAI4T8_1003290
ko:K09822	sauq:SAI4T8_1003300
ko:K03928	sauq:SAI4T8_1003330
ko:K03308	sauq:SAI4T8_1003340
ko:K17216	sauq:SAI4T8_1003350
ko:K17217	sauq:SAI4T8_1003360
ko:K02071	sauq:SAI4T8_1003370
ko:K02072	sauq:SAI4T8_1003380
ko:K02073	sauq:SAI4T8_1003390
ko:K00265	sauq:SAI4T8_1003450
ko:K00266	sauq:SAI4T8_1003460
ko:K02818	sauq:SAI4T8_1003480
ko:K02819	sauq:SAI4T8_1003480
ko:K01226	sauq:SAI4T8_1003490
ko:K03486	sauq:SAI4T8_1003500
ko:K02343	sauq:SAI4T8_1003520
ko:K06187	sauq:SAI4T8_1003530
ko:K00943	sauq:SAI4T8_1003590
ko:K02341	sauq:SAI4T8_1003600
ko:K07056	sauq:SAI4T8_1003630
ko:K01874	sauq:SAI4T8_1003640
ko:K03424	sauq:SAI4T8_1003650
ko:K05985	sauq:SAI4T8_1003660
ko:K02528	sauq:SAI4T8_1003670
ko:K00919	sauq:SAI4T8_1003680
ko:K09685	sauq:SAI4T8_1003690
ko:K04042	sauq:SAI4T8_1003700
ko:K00948	sauq:SAI4T8_1003710
ko:K02897	sauq:SAI4T8_1003720
ko:K01056	sauq:SAI4T8_1003730
ko:K03723	sauq:SAI4T8_1003740
ko:K07651	sauq:SAI4T8_1010820
ko:K07775	sauq:SAI4T8_1010830
ko:K06178	sauq:SAI4T8_1010840
ko:K06024	sauq:SAI4T8_1010850
ko:K05896	sauq:SAI4T8_1010860
ko:K09763	sauq:SAI4T8_1010870
ko:K04763	sauq:SAI4T8_1010880
ko:K01515	sauq:SAI4T8_1010890
ko:K07124	sauq:SAI4T8_1010910
ko:K00286	sauq:SAI4T8_1010920
ko:K00784	sauq:SAI4T8_1010930
ko:K00036	sauq:SAI4T8_1010940
ko:K01187	sauq:SAI4T8_1010960
ko:K00033	sauq:SAI4T8_1010990
ko:K09699	sauq:SAI4T8_1011020
ko:K00167	sauq:SAI4T8_1011030
ko:K00166	sauq:SAI4T8_1011040
ko:K00382	sauq:SAI4T8_1011050
ko:K03631	sauq:SAI4T8_1011060
ko:K13789	sauq:SAI4T8_1011070
ko:K03601	sauq:SAI4T8_1011080
ko:K01961	sauq:SAI4T8_1011090
ko:K02160	sauq:SAI4T8_1011100
ko:K02356	sauq:SAI4T8_1011110
ko:K01262	sauq:SAI4T8_1011120
ko:K03800	sauq:SAI4T8_1011140
ko:K00283	sauq:SAI4T8_1011150
ko:K00282	sauq:SAI4T8_1011160
ko:K00605	sauq:SAI4T8_1011170
ko:K00891	sauq:SAI4T8_1011180
ko:K02244	sauq:SAI4T8_1011200
ko:K02243	sauq:SAI4T8_1011210
ko:K00845	sauq:SAI4T8_1011230
ko:K08167	sauq:SAI4T8_20080
ko:K00383	sauq:SAI4T8_20220
ko:K00652	sauq:SAI4T8_1018000
ko:K01012	sauq:SAI4T8_1018010
ko:K00833	sauq:SAI4T8_1018020
ko:K01935	sauq:SAI4T8_1018030
ko:K06147	sauq:SAI4T8_1018040
ko:K06147	sauq:SAI4T8_1018050
ko:K00865	sauq:SAI4T8_1018060
ko:K11737	sauq:SAI4T8_1018120
ko:K00077	sauq:SAI4T8_1018170
ko:K08170	sauq:SAI4T8_1018180
ko:K05846	sauq:SAI4T8_1018190
ko:K05845	sauq:SAI4T8_1018200
ko:K05846	sauq:SAI4T8_1018210
ko:K05847	sauq:SAI4T8_1018220
ko:K03929	sauq:SAI4T8_1018250
ko:K02069	sauq:SAI4T8_1018270
ko:K02068	sauq:SAI4T8_1018280
ko:K10824	sauq:SAI4T8_1018340
ko:K15587	sauq:SAI4T8_1018350
ko:K15586	sauq:SAI4T8_1018360
ko:K15585	sauq:SAI4T8_1018370
ko:K15584	sauq:SAI4T8_1018380
ko:K12942	sauq:SAI4T8_1018440
ko:K01835	sauq:SAI4T8_1018560
ko:K00963	sauq:SAI4T8_1018610
ko:K13732	sauq:SAI4T8_1018620
ko:K03299	sauq:SAI4T8_1018630
ko:K00851	sauq:SAI4T8_1018640
ko:K11476	sauq:SAI4T8_1018650
ko:K03535	sauq:SAI4T8_1018700
ko:K01990	sauq:SAI4T8_1018720
ko:K04041	sauq:SAI4T8_1018740
ko:K06999	sauq:SAI4T8_1018760
ko:K15975	sauq:SAI4T8_1018770
ko:K07104	sauq:SAI4T8_1018780
ko:K03778	sauq:SAI4T8_1018800
ko:K16917	sauq:SAI4T8_1018820
ko:K16916	sauq:SAI4T8_1018830
ko:K07284	sauq:SAI4T8_1018840
ko:K03823	sauq:SAI4T8_1018850
ko:K01752	sauq:SAI4T8_1018860
ko:K01752	sauq:SAI4T8_1018870
ko:K00158	sauq:SAI4T8_1018920
ko:K00054	sauq:SAI4T8_1018950
ko:K01641	sauq:SAI4T8_1018960
ko:K00681	sauq:SAI4T8_1001560
ko:K14221	sauq:SAI4T8_1000160
ko:K14221	sauq:SAI4T8_1013890
ko:K14221	sauq:SAI4T8_1013510
ko:K14221	sauq:SAI4T8_1013920
ko:K14233	sauq:SAI4T8_1003470
ko:K14233	sauq:SAI4T8_1013930
ko:K14233	sauq:SAI4T8_1013910
ko:K14233	sauq:SAI4T8_1007260
ko:K14233	sauq:SAI4T8_1013450
ko:K14227	sauq:SAI4T8_1003550
ko:K14227	sauq:SAI4T8_1014070
ko:K14227	sauq:SAI4T8_1003930
ko:K14218	sauq:SAI4T8_1003560
ko:K14218	sauq:SAI4T8_1013960
ko:K14218	sauq:SAI4T8_1014060
ko:K14218	sauq:SAI4T8_1003910
ko:K14237	sauq:SAI4T8_1003840
ko:K14237	sauq:SAI4T8_1016040
ko:K14237	sauq:SAI4T8_1014040
ko:K14234	sauq:SAI4T8_1003850
ko:K14234	sauq:SAI4T8_1014030
ko:K14234	sauq:SAI4T8_1013870
ko:K14225	sauq:SAI4T8_1003870
ko:K14225	sauq:SAI4T8_1014000
ko:K14224	sauq:SAI4T8_1000150
ko:K14224	sauq:SAI4T8_1016050
ko:K14224	sauq:SAI4T8_1013460
ko:K14225	sauq:SAI4T8_1013800
ko:K14225	sauq:SAI4T8_1013810
ko:K14228	sauq:SAI4T8_1013790
ko:K14219	sauq:SAI4T8_1003890
ko:K14219	sauq:SAI4T8_1013980
ko:K14219	sauq:SAI4T8_1006010
ko:K14219	sauq:SAI4T8_1008330
ko:K14220	sauq:SAI4T8_1007270
ko:K14220	sauq:SAI4T8_1013470
ko:K14220	sauq:SAI4T8_1016060
ko:K14225	sauq:SAI4T8_1013480
ko:K14225	sauq:SAI4T8_1015190
ko:K14235	sauq:SAI4T8_1013850
ko:K14236	sauq:SAI4T8_1013860
ko:K14236	sauq:SAI4T8_1016030
ko:K14228	sauq:SAI4T8_1014010
ko:K01980	sauq:SAI4T8_1016070
ko:K07705	sauq:SAI4T8_1002020
ko:K14232	sauq:SAI4T8_1003900
ko:K14232	sauq:SAI4T8_1013970
ko:K14228	sauq:SAI4T8_1003880
ko:K14228	sauq:SAI4T8_1013990
ko:K14231	sauq:SAI4T8_1013500
ko:K14231	sauq:SAI4T8_1013880
ko:K14230	sauq:SAI4T8_1013520
ko:K14230	sauq:SAI4T8_1013900
ko:K14230	sauq:SAI4T8_1013950
ko:K14222	sauq:SAI4T8_1013820
ko:K14230	sauq:SAI4T8_1013940
ko:K14223	sauq:SAI4T8_1013830
ko:K14223	sauq:SAI4T8_1016020
ko:K01977	sauq:SAI4T8_1003920
ko:K01977	sauq:SAI4T8_1016080
ko:K01977	sauq:SAI4T8_1014080
ko:K01977	sauq:SAI4T8_1015180
ko:K01977	sauq:SAI4T8_1003540
ko:K14229	sauq:SAI4T8_1003860
ko:K14229	sauq:SAI4T8_1014020
ko:K14229	sauq:SAI4T8_1016010
ko:K14226	sauq:SAI4T8_1013490
ko:K14226	sauq:SAI4T8_1013840
ko:K14228	sauq:SAI4T8_1015200
ko:K01980	sauq:SAI4T8_1014050
ko:K01980	sauq:SAI4T8_1003940
ko:K01980	sauq:SAI4T8_1003570
ko:K01980	sauq:SAI4T8_1015170
ko:K18707	sauq:SAI4T8_1011450
ko:K02547	sauq:SAI4T8_1000280
ko:K18766	sauq:SAI4T8_20030
ko:K05592	sauq:SAI4T8_1015350
ko:K18672	sauq:SAI4T8_1015990
ko:K18704	sauq:SAI4T8_1001940
ko:K18682	sauq:SAI4T8_1009250
ko:K18692	sauq:SAI4T8_1011310
ko:K09692	sauq:SAI4T8_1004920
ko:K19279	sauq:SAI4T8_1012010
ko:K19279	sauq:SAI4T8_1015860
ko:K19279	sauq:SAI4T8_1019360
ko:K09692	sauq:SAI4T8_1014170
ko:K18941	sauq:SAI4T8_1010230
ko:K18908	sauq:SAI4T8_1002560
ko:K04940	sauq:SAI4T8_1017000
ko:K18907	sauq:SAI4T8_1000640
ko:K11040	sauq:SAI4T8_1013400
ko:K11040	sauq:SAI4T8_1013410
ko:K11040	sauq:SAI4T8_1013420
ko:K11040	sauq:SAI4T8_1013430
ko:K11040	sauq:SAI4T8_1013440
ko:K11040	sauq:SAI4T8_1014740
ko:K03169	sauq:SAI4T8_1016660
ko:K14201	sauq:SAI4T8_1006180
ko:K03502	sauq:SAI4T8_1009800
ko:K03497	sauq:SAI4T8_1002780
ko:K03111	sauq:SAI4T8_1002810
ko:K03497	sauq:SAI4T8_1020350
ko:K02172	sauq:SAI4T8_20040
ko:K00520	sauq:SAI4T8_20190
ko:K09145	sauq:SAI4T8_1005200
