ko:K18929	heo:C694_00680
ko:K14231	heo:C694_t08327
ko:K14225	heo:C694_t08299
ko:K14233	heo:C694_t08269
ko:K14233	heo:C694_t08309
ko:K14233	heo:C694_t08305
ko:K14218	heo:C694_t08277
ko:K14223	heo:C694_t08297
ko:K14219	heo:C694_t08293
ko:K14219	heo:C694_t08289
ko:K14232	heo:C694_t08307
ko:K01155	heo:C694_00445
ko:K02424	heo:C694_04840
ko:K02030	heo:C694_06055
ko:K07318	heo:C694_06255
ko:K09477	heo:C694_00710
ko:K03559	heo:C694_06915
ko:K03559	heo:C694_05825
ko:K12049	heo:C694_00185
ko:K13689	heo:C694_01095
ko:K12977	heo:C694_00100
ko:K12048	heo:C694_00190
ko:K12052	heo:C694_00175
ko:K12050	heo:C694_00180
ko:K03191	heo:C694_00340
ko:K13797	heo:C694_06195
ko:K15895	heo:C694_01855
ko:K15896	heo:C694_01655
ko:K02003	heo:C694_00890
ko:K14218	heo:C694_t08273
ko:K14226	heo:C694_t08285
ko:K14219	heo:C694_t08287
ko:K01980	heo:C694_r08337
ko:K01980	heo:C694_r08339
ko:K14230	heo:C694_t08291
ko:K14222	heo:C694_t08303
ko:K01977	heo:C694_r08333
ko:K01977	heo:C694_r08335
ko:K11782	heo:C694_03995
ko:K01738	heo:C694_00530
ko:K01760	heo:C694_00525
ko:K14234	heo:C694_t08315
ko:K07316	heo:C694_07880
ko:K02028	heo:C694_06050
ko:K01990	heo:C694_06300
ko:K17103	heo:C694_05535
ko:K03559	heo:C694_07490
ko:K02484	heo:C694_00815
ko:K02484	heo:C694_07040
ko:K02847	heo:C694_05375
ko:K01992	heo:C694_07700
ko:K12053	heo:C694_00080
ko:K12053	heo:C694_02345
ko:K17686	heo:C694_07785
ko:K17686	heo:C694_05540
ko:K01155	heo:C694_01325
ko:K00971	heo:C694_00195
ko:K05540	heo:C694_03740
ko:K01658	heo:C694_06620
ko:K11928	heo:C694_00260
ko:K12574	heo:C694_07395
ko:K00290	heo:C694_07805
ko:K01497	heo:C694_04110
ko:K00254	heo:C694_05235
ko:K06148	heo:C694_06245
ko:K05922	heo:C694_03270
ko:K05927	heo:C694_03265
ko:K07812	heo:C694_02070
ko:K00104	heo:C694_02615
ko:K03605	heo:C694_03280
ko:K05366	heo:C694_03085
ko:K12051	heo:C694_02350
ko:K12097	heo:C694_02750
ko:K01119	heo:C694_00510
ko:K09477	heo:C694_00705
ko:K02419	heo:C694_03530
ko:K14445	heo:C694_01080
ko:K15848	heo:C694_03715
ko:K00925	heo:C694_04635
ko:K11749	heo:C694_05050
ko:K11784	heo:C694_03390
ko:K11785	heo:C694_00760
ko:K18284	heo:C694_00435
ko:K18285	heo:C694_03380
ko:K16235	heo:C694_05265
ko:K18480	heo:C694_07575
ko:K00681	heo:C694_05770
ko:K18930	heo:C694_06310
ko:K03203	heo:C694_02230
ko:K03196	heo:C694_02705
ko:K03111	heo:C694_06435
ko:K03497	heo:C694_05870
ko:K03496	heo:C694_05875
ko:K03761	heo:C694_05635
ko:K00335	heo:C694_06540
ko:K02483	heo:C694_00820
ko:K03526	heo:C694_03235
ko:K00571	heo:C694_00450
ko:K02483	heo:C694_07045
ko:K03296	heo:C694_03140
ko:K07496	heo:C694_05105
ko:K00336	heo:C694_06545
ko:K07448	heo:C694_05580
ko:K19157	heo:C694_04590
ko:K00571	heo:C694_00230
ko:K00571	heo:C694_01330
ko:K00571	heo:C694_07055
ko:K07317	heo:C694_04685
ko:K07496	heo:C694_02225
ko:K04771	heo:C694_05270
ko:K07496	heo:C694_05145
ko:K07496	heo:C694_05650
ko:K07496	heo:C694_07950
ko:K01992	heo:C694_07695
ko:K07496	heo:C694_02100
ko:K07496	heo:C694_02105
ko:K00525	heo:C694_03505
ko:K19416	heo:C694_04735
ko:K07316	heo:C694_07070
ko:K20151	heo:C694_01925
ko:K20810	heo:C694_01350
ko:K20151	heo:C694_03365
ko:K03199	heo:C694_02240
ko:K07100	heo:C694_06280
ko:K06223	heo:C694_02465
ko:K06223	heo:C694_02470
ko:K00558	heo:C694_02485
ko:K03553	heo:C694_00765
ko:K01520	heo:C694_04430
ko:K00558	heo:C694_00235
ko:K01185	heo:C694_01720
ko:K03465	heo:C694_07940
ko:K02314	heo:C694_07030
ko:K00558	heo:C694_00255
ko:K00558	heo:C694_05785
ko:K02335	heo:C694_05290
ko:K02335	heo:C694_07610
ko:K02316	heo:C694_00055
ko:K02481	heo:C694_03625
ko:K01139	heo:C694_03980
ko:K07097	heo:C694_05390
ko:K00526	heo:C694_01845
ko:K02483	heo:C694_05395
ko:K10026	heo:C694_04805
ko:K21929	heo:C694_03360
ko:K03595	heo:C694_02660
ko:K22278	heo:C694_01565
ko:K14441	heo:C694_03770
ko:K17758	heo:C694_07035
ko:K22391	heo:C694_04940
ko:K17759	heo:C694_07035
ko:K00590	heo:C694_07060
ko:K00571	heo:C694_06975
ko:K01007	heo:C694_00600
