ko:K03293	sagn:W903_1493
ko:K01919	sagn:W903_1811
ko:K04083	sagn:W903_1814
ko:K03823	sagn:W903_1817
ko:K03696	sagn:W903_1818
ko:K03708	sagn:W903_1819
ko:K02357	sagn:W903_1821
ko:K02967	sagn:W903_1822
ko:K03386	sagn:W903_1823
ko:K03387	sagn:W903_1824
ko:K03316	sagn:W903_1826
ko:K07386	sagn:W903_1829
ko:K01462	sagn:W903_1833
ko:K02747	sagn:W903_1836
ko:K02746	sagn:W903_1837
ko:K02745	sagn:W903_1838
ko:K18581	sagn:W903_1839
ko:K02744	sagn:W903_1840
ko:K09962	sagn:W903_0146
ko:K12296	sagn:W903_0148
ko:K07260	sagn:W903_0150
ko:K03705	sagn:W903_0152
ko:K03687	sagn:W903_0153
ko:K04043	sagn:W903_0154
ko:K03686	sagn:W903_0156
ko:K06173	sagn:W903_0158
ko:K00868	sagn:W903_0159
ko:K03545	sagn:W903_0163
ko:K03048	sagn:W903_0164
ko:K01937	sagn:W903_0165
ko:K06889	sagn:W903_0166
ko:K04485	sagn:W903_0169
ko:K01673	sagn:W903_0170
ko:K09698	sagn:W903_0172
ko:K10439	sagn:W903_0173
ko:K10440	sagn:W903_0174
ko:K10441	sagn:W903_0175
ko:K06726	sagn:W903_0176
ko:K00852	sagn:W903_0177
ko:K02529	sagn:W903_0178
ko:K02004	sagn:W903_0179
ko:K02003	sagn:W903_0180
ko:K01940	sagn:W903_0183
ko:K01755	sagn:W903_0184
ko:K01624	sagn:W903_0185
ko:K00016	sagn:W903_0186
ko:K02902	sagn:W903_0187
ko:K00226	sagn:W903_0684
ko:K12554	sagn:W903_0685
ko:K05363	sagn:W903_0686
ko:K05363	sagn:W903_0687
ko:K07052	sagn:W903_1074
ko:K02004	sagn:W903_1075
ko:K02003	sagn:W903_1076
ko:K03168	sagn:W903_1077
ko:K04096	sagn:W903_1078
ko:K02016	sagn:W903_1079
ko:K02013	sagn:W903_1080
ko:K02015	sagn:W903_1081
ko:K02015	sagn:W903_1082
ko:K00661	sagn:W903_1083
ko:K03470	sagn:W903_1084
ko:K14540	sagn:W903_1085
ko:K14988	sagn:W903_1091
ko:K02004	sagn:W903_1092
ko:K02003	sagn:W903_1093
ko:K07705	sagn:W903_1103
ko:K07704	sagn:W903_1104
ko:K03466	sagn:W903_1122
ko:K06183	sagn:W903_1488
ko:K01759	sagn:W903_1491
ko:K12999	sagn:W903_1492
ko:K03664	sagn:W903_1494
ko:K12573	sagn:W903_1495
ko:K03075	sagn:W903_1496
ko:K01990	sagn:W903_1499
ko:K00859	sagn:W903_1500
ko:K10563	sagn:W903_1501
ko:K07042	sagn:W903_1510
ko:K10254	sagn:W903_1515
ko:K07304	sagn:W903_1517
ko:K00243	sagn:W903_1518
ko:K02838	sagn:W903_1519
ko:K09903	sagn:W903_1520
ko:K10824	sagn:W903_1521
ko:K15587	sagn:W903_1522
ko:K15586	sagn:W903_1523
ko:K15585	sagn:W903_1524
ko:K15584	sagn:W903_1525
ko:K02863	sagn:W903_1526
ko:K02867	sagn:W903_1527
ko:K08170	sagn:W903_1528
ko:K03342	sagn:W903_1532
ko:K03466	sagn:W903_1533
ko:K03767	sagn:W903_1534
ko:K00046	sagn:W903_1841
ko:K00874	sagn:W903_1843
ko:K01625	sagn:W903_1844
ko:K07078	sagn:W903_1845
ko:K03763	sagn:W903_1847
ko:K01881	sagn:W903_1849
ko:K11749	sagn:W903_1850
ko:K00981	sagn:W903_1851
ko:K00806	sagn:W903_1852
ko:K03210	sagn:W903_1853
ko:K00027	sagn:W903_1855
ko:K01784	sagn:W903_1859
ko:K10112	sagn:W903_1861
ko:K01635	sagn:W903_1864
ko:K00917	sagn:W903_1865
ko:K01819	sagn:W903_1866
ko:K01819	sagn:W903_1867
ko:K01186	sagn:W903_1868
ko:K02530	sagn:W903_1872
ko:K09815	sagn:W903_1874
ko:K07560	sagn:W903_1875
ko:K00951	sagn:W903_1876
ko:K01119	sagn:W903_1877
ko:K03647	sagn:W903_1878
ko:K02012	sagn:W903_1882
ko:K07720	sagn:W903_1883
ko:K02795	sagn:W903_1886
ko:K02794	sagn:W903_1887
ko:K02793	sagn:W903_1888
ko:K07030	sagn:W903_0189
ko:K17076	sagn:W903_0193
ko:K17073	sagn:W903_0194
ko:K17074	sagn:W903_0194
ko:K06153	sagn:W903_0196
ko:K16511	sagn:W903_0197
ko:K02851	sagn:W903_0198
ko:K09013	sagn:W903_0199
ko:K09015	sagn:W903_0200
ko:K11717	sagn:W903_0201
ko:K04488	sagn:W903_0202
ko:K09014	sagn:W903_0203
ko:K07258	sagn:W903_0205
ko:K15580	sagn:W903_0206
ko:K15581	sagn:W903_0207
ko:K15582	sagn:W903_0208
ko:K15583	sagn:W903_0209
ko:K10823	sagn:W903_0210
ko:K00919	sagn:W903_0216
ko:K09817	sagn:W903_0218
ko:K09816	sagn:W903_0219
ko:K15051	sagn:W903_0220
ko:K01866	sagn:W903_0221
ko:K03693	sagn:W903_0222
ko:K03043	sagn:W903_0223
ko:K03046	sagn:W903_0224
ko:K02243	sagn:W903_0227
ko:K02244	sagn:W903_0228
ko:K02245	sagn:W903_0229
ko:K02246	sagn:W903_0230
ko:K02248	sagn:W903_0232
ko:K00925	sagn:W903_0235
ko:K07729	sagn:W903_0236
ko:K07052	sagn:W903_0238
ko:K00286	sagn:W903_0239
ko:K01261	sagn:W903_0240
ko:K06885	sagn:W903_0689
ko:K01537	sagn:W903_0691
ko:K04041	sagn:W903_0693
ko:K02836	sagn:W903_0695
ko:K09812	sagn:W903_0696
ko:K09811	sagn:W903_0697
ko:K03366	sagn:W903_0700
ko:K01893	sagn:W903_0703
ko:K16923	sagn:W903_0704
ko:K06958	sagn:W903_0707
ko:K09762	sagn:W903_0709
ko:K08659	sagn:W903_0710
ko:K09815	sagn:W903_0711
ko:K02909	sagn:W903_0712
ko:K01488	sagn:W903_0714
ko:K04516	sagn:W903_0716
ko:K02884	sagn:W903_0718
ko:K02004	sagn:W903_0725
ko:K02003	sagn:W903_0726
ko:K02004	sagn:W903_0727
ko:K05837	sagn:W903_0733
ko:K02470	sagn:W903_0735
ko:K06286	sagn:W903_0736
ko:K01079	sagn:W903_0737
ko:K01689	sagn:W903_0740
ko:K15051	sagn:W903_0741
ko:K00800	sagn:W903_0742
ko:K00891	sagn:W903_0743
ko:K01955	sagn:W903_1131
ko:K01956	sagn:W903_1132
ko:K00609	sagn:W903_1133
ko:K01465	sagn:W903_1134
ko:K00762	sagn:W903_1135
ko:K01591	sagn:W903_1136
ko:K00133	sagn:W903_1140
ko:K06131	sagn:W903_1142
ko:K01938	sagn:W903_1143
ko:K03800	sagn:W903_1144
ko:K01598	sagn:W903_1152
ko:K01835	sagn:W903_1154
ko:K06147	sagn:W903_1155
ko:K00600	sagn:W903_1159
ko:K07566	sagn:W903_1160
ko:K02493	sagn:W903_1161
ko:K02835	sagn:W903_1162
ko:K01821	sagn:W903_1164
ko:K03734	sagn:W903_1165
ko:K16169	sagn:W903_1169
ko:K03816	sagn:W903_1170
ko:K00364	sagn:W903_1171
ko:K03549	sagn:W903_1174
ko:K00625	sagn:W903_1176
ko:K03709	sagn:W903_1538
ko:K01243	sagn:W903_1539
ko:K01515	sagn:W903_1541
ko:K04042	sagn:W903_1542
ko:K04750	sagn:W903_1543
ko:K00059	sagn:W903_1548
ko:K03311	sagn:W903_1557
ko:K01874	sagn:W903_1558
ko:K16868	sagn:W903_1559
ko:K01142	sagn:W903_1563
ko:K00567	sagn:W903_1565
ko:K00058	sagn:W903_1566
ko:K00831	sagn:W903_1568
ko:K06201	sagn:W903_1569
ko:K07056	sagn:W903_1570
ko:K02341	sagn:W903_1572
ko:K00943	sagn:W903_1573
ko:K04767	sagn:W903_1574
ko:K01996	sagn:W903_1575
ko:K01995	sagn:W903_1576
ko:K01998	sagn:W903_1577
ko:K01997	sagn:W903_1578
ko:K01999	sagn:W903_1579
ko:K01358	sagn:W903_1581
ko:K00761	sagn:W903_1582
ko:K14155	sagn:W903_1583
ko:K03216	sagn:W903_1584
ko:K03294	sagn:W903_1585
ko:K07706	sagn:W903_1893
ko:K07707	sagn:W903_1894
ko:K06896	sagn:W903_1895
ko:K07636	sagn:W903_1897
ko:K07658	sagn:W903_1898
ko:K02039	sagn:W903_1899
ko:K02036	sagn:W903_1900
ko:K02038	sagn:W903_1901
ko:K02037	sagn:W903_1902
ko:K02040	sagn:W903_1903
ko:K09761	sagn:W903_1906
ko:K02687	sagn:W903_1907
ko:K07729	sagn:W903_1911
ko:K07478	sagn:W903_1913
ko:K16916	sagn:W903_1930
ko:K16917	sagn:W903_1931
ko:K01834	sagn:W903_1935
ko:K01992	sagn:W903_1938
ko:K01990	sagn:W903_1939
ko:K01071	sagn:W903_0982
ko:K03205	sagn:W903_0461
ko:K03111	sagn:W903_1702
ko:K03497	sagn:W903_2081
ko:K07473	sagn:W903_1927
ko:K05593	sagn:W903_1932
ko:K03111	sagn:W903_0246
ko:K07029	sagn:W903_0941
ko:K19002	sagn:W903_0796
ko:K19055	sagn:W903_1550
ko:K18979	sagn:W903_0694
ko:K13052	sagn:W903_0010
ko:K07483	sagn:W903_1313
ko:K19005	sagn:W903_1397
ko:K11054	sagn:W903_0763
ko:K11049	sagn:W903_0756
ko:K11048	sagn:W903_0755
ko:K02476	sagn:W903_1857
ko:K02475	sagn:W903_1858
ko:K08652	sagn:W903_0519
ko:K11052	sagn:W903_0761
ko:K14989	sagn:W903_1090
ko:K11056	sagn:W903_0765
ko:K11055	sagn:W903_0764
ko:K01621	sagn:W903_1789
ko:K01897	sagn:W903_0590
ko:K01239	sagn:W903_0705
ko:K05881	sagn:W903_1643
ko:K01710	sagn:W903_1282
ko:K09951	sagn:W903_0987
ko:K19137	sagn:W903_0988
ko:K03722	sagn:W903_0701
ko:K01992	sagn:W903_0317
ko:K19302	sagn:W903_1418
ko:K04771	sagn:W903_2080
ko:K21977	sagn:W903_1151
ko:K00983	sagn:W903_1241
ko:K06881	sagn:W903_0713
ko:K01654	sagn:W903_1244
ko:K00887	sagn:W903_1509
ko:K02796	sagn:W903_0417
ko:K02796	sagn:W903_1885
ko:K11045	sagn:W903_1948
ko:K01271	sagn:W903_0792
ko:K00526	sagn:W903_0909
ko:K19689	sagn:W903_1485
ko:K07052	sagn:W903_1946
ko:K00547	sagn:W903_1954
ko:K00297	sagn:W903_1954
ko:K21636	sagn:W903_1990
ko:K00329	sagn:W903_0840
ko:K00356	sagn:W903_0840
ko:K11706	sagn:W903_1536
ko:K11705	sagn:W903_1535
ko:K20074	sagn:W903_0372
ko:K12132	sagn:W903_0373
ko:K20073	sagn:W903_0359
ko:K20112	sagn:W903_1871
ko:K02777	sagn:W903_1896
ko:K20107	sagn:W903_1896
ko:K20108	sagn:W903_1896
ko:K20114	sagn:W903_1869
ko:K20113	sagn:W903_1870
ko:K20342	sagn:W903_0084
ko:K20373	sagn:W903_1502
ko:K00525	sagn:W903_0910
ko:K00526	sagn:W903_0521
ko:K18889	sagn:W903_0583
ko:K18890	sagn:W903_0584
ko:K02525	sagn:W903_1798
ko:K01200	sagn:W903_0942
ko:K14233	sagn:W903_0044
ko:K14233	sagn:W903_0300
ko:K14233	sagn:W903_0133
ko:K01977	sagn:W903_0016
ko:K01977	sagn:W903_0211
ko:K01977	sagn:W903_0506
ko:K01977	sagn:W903_0292
ko:K01977	sagn:W903_0029
ko:K01977	sagn:W903_0122
ko:K01977	sagn:W903_0393
ko:K01980	sagn:W903_0018
ko:K01980	sagn:W903_0395
ko:K01980	sagn:W903_0124
ko:K01980	sagn:W903_0031
ko:K01980	sagn:W903_0294
ko:K01980	sagn:W903_0213
ko:K01980	sagn:W903_0508
ko:K21064	sagn:W903_0420
ko:K08968	sagn:W903_0918
ko:K14228	sagn:W903_0167
ko:K14225	sagn:W903_0047
ko:K14225	sagn:W903_0297
ko:K14225	sagn:W903_0511
ko:K14219	sagn:W903_1230
ko:K14230	sagn:W903_0045
ko:K14230	sagn:W903_0134
ko:K14230	sagn:W903_0301
ko:K14227	sagn:W903_0131
ko:K14227	sagn:W903_0512
ko:K14227	sagn:W903_0298
ko:K14227	sagn:W903_0048
ko:K14233	sagn:W903_0049
ko:K14224	sagn:W903_0132
ko:K14224	sagn:W903_2077
ko:K14224	sagn:W903_1370
ko:K14224	sagn:W903_0299
ko:K14224	sagn:W903_0513
ko:K14236	sagn:W903_0136
ko:K14236	sagn:W903_0303
ko:K14236	sagn:W903_1233
ko:K07474	sagn:W903_0654
ko:K06909	sagn:W903_0655
ko:K06217	sagn:W903_1514
ko:K01286	sagn:W903_0204
ko:K00857	sagn:W903_1163
ko:K04068	sagn:W903_1986
ko:K03553	sagn:W903_1997
ko:K02314	sagn:W903_2042
ko:K00525	sagn:W903_0523
ko:K14221	sagn:W903_0021
ko:K14221	sagn:W903_0034
ko:K14221	sagn:W903_0127
ko:K06191	sagn:W903_0911
ko:K00287	sagn:W903_1327
ko:K00560	sagn:W903_1328
ko:K01493	sagn:W903_1693
ko:K02316	sagn:W903_1443
ko:K01520	sagn:W903_0168
ko:K14235	sagn:W903_0137
ko:K14235	sagn:W903_0304
ko:K02335	sagn:W903_0483
ko:K00571	sagn:W903_0234
ko:K14220	sagn:W903_0215
ko:K14220	sagn:W903_0397
ko:K14220	sagn:W903_2076
ko:K14222	sagn:W903_1825
ko:K14228	sagn:W903_0023
ko:K14228	sagn:W903_0036
ko:K14228	sagn:W903_0129
ko:K14228	sagn:W903_0026
ko:K14228	sagn:W903_0039
ko:K14228	sagn:W903_0141
ko:K14228	sagn:W903_0308
ko:K14234	sagn:W903_0024
ko:K14234	sagn:W903_0130
ko:K14234	sagn:W903_0037
ko:K14234	sagn:W903_0538
ko:K14225	sagn:W903_0025
ko:K14225	sagn:W903_0038
ko:K14219	sagn:W903_0027
ko:K14219	sagn:W903_0040
ko:K14219	sagn:W903_0719
ko:K14219	sagn:W903_2078
ko:K14230	sagn:W903_0042
ko:K14230	sagn:W903_0043
ko:K14229	sagn:W903_1914
ko:K14232	sagn:W903_0028
ko:K14232	sagn:W903_0041
ko:K14231	sagn:W903_0046
ko:K14231	sagn:W903_0302
ko:K14231	sagn:W903_0135
ko:K14223	sagn:W903_0140
ko:K14223	sagn:W903_1232
ko:K14223	sagn:W903_1371
ko:K14223	sagn:W903_0307
ko:K14229	sagn:W903_0022
ko:K14229	sagn:W903_0035
ko:K14229	sagn:W903_0128
ko:K14237	sagn:W903_0020
ko:K14237	sagn:W903_0296
ko:K14237	sagn:W903_0510
ko:K14237	sagn:W903_0126
ko:K14237	sagn:W903_0033
ko:K01985	sagn:W903_0214
ko:K01985	sagn:W903_0396
ko:K01985	sagn:W903_0125
ko:K01985	sagn:W903_0509
ko:K01985	sagn:W903_0032
ko:K01985	sagn:W903_0019
ko:K01985	sagn:W903_0295
ko:K14218	sagn:W903_0017
ko:K14218	sagn:W903_0394
ko:K14218	sagn:W903_0507
ko:K14218	sagn:W903_0030
ko:K14218	sagn:W903_0123
ko:K14218	sagn:W903_0293
ko:K14218	sagn:W903_0212
ko:K14226	sagn:W903_0306
ko:K14226	sagn:W903_0139
ko:K14233	sagn:W903_0434
ko:K01101	sagn:W903_0983
ko:K01759	sagn:W903_1544
ko:K21471	sagn:W903_0050
ko:K00863	sagn:W903_1639
ko:K21567	sagn:W903_1367
ko:K21828	sagn:W903_2064
ko:K22044	sagn:W903_0162
ko:K00015	sagn:W903_1796
ko:K03595	sagn:W903_1508
ko:K03078	sagn:W903_1802
ko:K22278	sagn:W903_0915
ko:K17758	sagn:W903_0616
ko:K03077	sagn:W903_1800
ko:K03079	sagn:W903_1801
ko:K22441	sagn:W903_0960
ko:K22457	sagn:W903_0702
