ko:K19744	paes:SCV20265_1135
ko:K07221	paes:SCV20265_1773
ko:K07221	paes:SCV20265_1775
ko:K09771	paes:SCV20265_1779
ko:K03724	paes:SCV20265_1782
ko:K16091	paes:SCV20265_1786
ko:K03704	paes:SCV20265_1788
ko:K03453	paes:SCV20265_1790
ko:K03554	paes:SCV20265_1791
ko:K03773	paes:SCV20265_1792
ko:K01738	paes:SCV20265_2539
ko:K09989	paes:SCV20265_2543
ko:K03671	paes:SCV20265_2555
ko:K03885	paes:SCV20265_2558
ko:K07017	paes:SCV20265_2559
ko:K01061	paes:SCV20265_2567
ko:K02454	paes:SCV20265_2572
ko:K02455	paes:SCV20265_2573
ko:K02456	paes:SCV20265_2576
ko:K02456	paes:SCV20265_2577
ko:K02458	paes:SCV20265_2578
ko:K02459	paes:SCV20265_2579
ko:K01737	paes:SCV20265_2585
ko:K12266	paes:SCV20265_2586
ko:K05916	paes:SCV20265_2587
ko:K07234	paes:SCV20265_2589
ko:K08998	paes:SCV20265_3344
ko:K06177	paes:SCV20265_3347
ko:K07862	paes:SCV20265_3348
ko:K14052	paes:SCV20265_3350
ko:K01915	paes:SCV20265_3351
ko:K01652	paes:SCV20265_3354
ko:K15256	paes:SCV20265_3355
ko:K05800	paes:SCV20265_3362
ko:K14347	paes:SCV20265_3364
ko:K00963	paes:SCV20265_3368
ko:K00012	paes:SCV20265_3369
ko:K00253	paes:SCV20265_3377
ko:K01969	paes:SCV20265_3378
ko:K13766	paes:SCV20265_3379
ko:K01968	paes:SCV20265_3380
ko:K01640	paes:SCV20265_3381
ko:K00451	paes:SCV20265_3383
ko:K01555	paes:SCV20265_3384
ko:K08195	paes:SCV20265_3386
ko:K00019	paes:SCV20265_3389
ko:K02106	paes:SCV20265_3390
ko:K00626	paes:SCV20265_3391
ko:K01029	paes:SCV20265_3392
ko:K08167	paes:SCV20265_4131
ko:K02233	paes:SCV20265_4132
ko:K02226	paes:SCV20265_4133
ko:K00768	paes:SCV20265_4134
ko:K02231	paes:SCV20265_4135
ko:K02232	paes:SCV20265_4136
ko:K02225	paes:SCV20265_4137
ko:K02227	paes:SCV20265_4138
ko:K04719	paes:SCV20265_4139
ko:K02224	paes:SCV20265_4140
ko:K16092	paes:SCV20265_4142
ko:K12658	paes:SCV20265_4145
ko:K02030	paes:SCV20265_4154
ko:K02029	paes:SCV20265_4156
ko:K02029	paes:SCV20265_4157
ko:K02028	paes:SCV20265_4158
ko:K03406	paes:SCV20265_4163
ko:K12537	paes:SCV20265_4169
ko:K12536	paes:SCV20265_4170
ko:K12511	paes:SCV20265_4869
ko:K12510	paes:SCV20265_4870
ko:K02283	paes:SCV20265_4871
ko:K02282	paes:SCV20265_4872
ko:K02280	paes:SCV20265_4873
ko:K02279	paes:SCV20265_4874
ko:K02651	paes:SCV20265_4876
ko:K03406	paes:SCV20265_4877
ko:K06915	paes:SCV20265_4878
ko:K03406	paes:SCV20265_4880
ko:K03406	paes:SCV20265_4881
ko:K14335	paes:SCV20265_4883
ko:K06986	paes:SCV20265_4884
ko:K01433	paes:SCV20265_4887
ko:K01141	paes:SCV20265_4889
ko:K03924	paes:SCV20265_4895
ko:K14055	paes:SCV20265_4901
ko:K00873	paes:SCV20265_4902
ko:K01676	paes:SCV20265_4906
ko:K03322	paes:SCV20265_4907
ko:K05520	paes:SCV20265_4909
ko:K01426	paes:SCV20265_4915
ko:K15866	paes:SCV20265_5643
ko:K02205	paes:SCV20265_5645
ko:K02030	paes:SCV20265_5647
ko:K02055	paes:SCV20265_5650
ko:K02527	paes:SCV20265_5655
ko:K03272	paes:SCV20265_5663
ko:K11085	paes:SCV20265_5664
ko:K00612	paes:SCV20265_5673
ko:K02848	paes:SCV20265_5677
ko:K02844	paes:SCV20265_5678
ko:K02841	paes:SCV20265_5679
ko:K02843	paes:SCV20265_5680
ko:K00826	paes:SCV20265_5681
ko:K00982	paes:SCV20265_5682
ko:K00163	paes:SCV20265_5683
ko:K00627	paes:SCV20265_5685
ko:K07304	paes:SCV20265_5688
ko:K07115	paes:SCV20265_5689
ko:K02904	paes:SCV20265_0706
ko:K02961	paes:SCV20265_0707
ko:K02874	paes:SCV20265_0708
ko:K02895	paes:SCV20265_0709
ko:K02931	paes:SCV20265_0710
ko:K02954	paes:SCV20265_0711
ko:K02994	paes:SCV20265_0712
ko:K02933	paes:SCV20265_0713
ko:K02881	paes:SCV20265_0714
ko:K02988	paes:SCV20265_0715
ko:K02907	paes:SCV20265_0716
ko:K02876	paes:SCV20265_0717
ko:K03076	paes:SCV20265_0718
ko:K02919	paes:SCV20265_0719
ko:K02952	paes:SCV20265_0720
ko:K02948	paes:SCV20265_0721
ko:K02986	paes:SCV20265_0722
ko:K03040	paes:SCV20265_0723
ko:K02879	paes:SCV20265_0724
ko:K03781	paes:SCV20265_0725
ko:K03594	paes:SCV20265_0726
ko:K03701	paes:SCV20265_0727
ko:K04782	paes:SCV20265_0731
ko:K12243	paes:SCV20265_0734
ko:K06147	paes:SCV20265_0739
ko:K16088	paes:SCV20265_0740
ko:K13063	paes:SCV20265_0747
ko:K01626	paes:SCV20265_0749
ko:K03435	paes:SCV20265_1499
ko:K00882	paes:SCV20265_1501
ko:K02769	paes:SCV20265_1502
ko:K02770	paes:SCV20265_1502
ko:K00012	paes:SCV20265_1503
ko:K12963	paes:SCV20265_1504
ko:K12962	paes:SCV20265_1505
ko:K07264	paes:SCV20265_1506
ko:K13014	paes:SCV20265_1507
ko:K10011	paes:SCV20265_1508
ko:K10012	paes:SCV20265_1509
ko:K07806	paes:SCV20265_1510
ko:K16081	paes:SCV20265_1519
ko:K00066	paes:SCV20265_1523
ko:K09861	paes:SCV20265_1524
ko:K02010	paes:SCV20265_1525
ko:K00611	paes:SCV20265_1526
ko:K12685	paes:SCV20265_1528
ko:K07390	paes:SCV20265_1530
ko:K03594	paes:SCV20265_1532
ko:K02192	paes:SCV20265_1533
ko:K03386	paes:SCV20265_1534
ko:K03683	paes:SCV20265_1535
ko:K01465	paes:SCV20265_1536
ko:K01940	paes:SCV20265_1538
ko:K01759	paes:SCV20265_1539
ko:K07213	paes:SCV20265_1543
ko:K00432	paes:SCV20265_2284
ko:K06923	paes:SCV20265_2287
ko:K07245	paes:SCV20265_2302
ko:K07156	paes:SCV20265_2303
ko:K17686	paes:SCV20265_2304
ko:K07233	paes:SCV20265_2307
ko:K07644	paes:SCV20265_2311
ko:K03325	paes:SCV20265_2315
ko:K00537	paes:SCV20265_2316
ko:K07240	paes:SCV20265_2318
ko:K03824	paes:SCV20265_2319
ko:K03630	paes:SCV20265_2333
ko:K12992	paes:SCV20265_3094
ko:K07798	paes:SCV20265_3121
ko:K07787	paes:SCV20265_3122
ko:K00808	paes:SCV20265_3124
ko:K09925	paes:SCV20265_3881
ko:K06187	paes:SCV20265_3883
ko:K09747	paes:SCV20265_3884
ko:K02343	paes:SCV20265_3885
ko:K01972	paes:SCV20265_3888
ko:K03528	paes:SCV20265_3889
ko:K03529	paes:SCV20265_3890
ko:K00496	paes:SCV20265_3892
ko:K13481	paes:SCV20265_3894
ko:K13482	paes:SCV20265_3895
ko:K07402	paes:SCV20265_3896
ko:K06901	paes:SCV20265_3900
ko:K07127	paes:SCV20265_3901
ko:K01477	paes:SCV20265_3904
ko:K01483	paes:SCV20265_3905
ko:K11903	paes:SCV20265_3907
ko:K03639	paes:SCV20265_3916
ko:K01608	paes:SCV20265_3919
ko:K00873	paes:SCV20265_3923
ko:K08717	paes:SCV20265_3924
ko:K10716	paes:SCV20265_3925
ko:K02048	paes:SCV20265_3928
ko:K04023	paes:SCV20265_3930
ko:K01484	paes:SCV20265_4625
ko:K06447	paes:SCV20265_4626
ko:K00673	paes:SCV20265_4627
ko:K00673	paes:SCV20265_4628
ko:K10025	paes:SCV20265_4632
ko:K06987	paes:SCV20265_4633
ko:K10023	paes:SCV20265_4634
ko:K10022	paes:SCV20265_4636
ko:K01895	paes:SCV20265_4637
ko:K11689	paes:SCV20265_4639
ko:K11688	paes:SCV20265_4640
ko:K03721	paes:SCV20265_4652
ko:K00500	paes:SCV20265_4653
ko:K01724	paes:SCV20265_4654
ko:K00832	paes:SCV20265_4655
ko:K07262	paes:SCV20265_4656
ko:K15034	paes:SCV20265_4657
ko:K11734	paes:SCV20265_4659
ko:K00457	paes:SCV20265_4660
ko:K07396	paes:SCV20265_4669
ko:K07146	paes:SCV20265_4670
ko:K01803	paes:SCV20265_5402
ko:K03431	paes:SCV20265_5403
ko:K00796	paes:SCV20265_5404
ko:K03798	paes:SCV20265_5405
ko:K02427	paes:SCV20265_5406
ko:K07574	paes:SCV20265_5407
ko:K03624	paes:SCV20265_5409
ko:K01955	paes:SCV20265_5410
ko:K11250	paes:SCV20265_5411
ko:K01956	paes:SCV20265_5412
ko:K00215	paes:SCV20265_5413
ko:K03686	paes:SCV20265_5414
ko:K04043	paes:SCV20265_5415
ko:K03687	paes:SCV20265_5416
ko:K03631	paes:SCV20265_5418
ko:K03711	paes:SCV20265_5419
ko:K06186	paes:SCV20265_5420
ko:K09801	paes:SCV20265_5421
ko:K03664	paes:SCV20265_5423
ko:K03303	paes:SCV20265_5425
ko:K00101	paes:SCV20265_5426
ko:K01611	paes:SCV20265_5428
ko:K00797	paes:SCV20265_5429
ko:K09962	paes:SCV20265_5434
ko:K15268	paes:SCV20265_5435
ko:K07178	paes:SCV20265_5436
ko:K00626	paes:SCV20265_5441
ko:K00059	paes:SCV20265_5442
ko:K06219	paes:SCV20265_5446
ko:K12995	paes:SCV20265_6180
ko:K01711	paes:SCV20265_6186
ko:K07088	paes:SCV20265_6199
ko:K03300	paes:SCV20265_6201
ko:K02839	paes:SCV20265_6203
ko:K03324	paes:SCV20265_6206
ko:K11102	paes:SCV20265_6214
ko:K11384	paes:SCV20265_6217
ko:K11066	paes:SCV20265_6219
ko:K13590	paes:SCV20265_6221
ko:K03673	paes:SCV20265_6223
ko:K03978	paes:SCV20265_6226
ko:K02204	paes:SCV20265_6229
ko:K02768	paes:SCV20265_1500
ko:K08483	paes:SCV20265_1500
ko:K11183	paes:SCV20265_1500
ko:K00248	paes:SCV20265_5690
ko:K00459	paes:SCV20265_0760
ko:K01921	paes:SCV20265_0761
ko:K00666	paes:SCV20265_0764
ko:K02030	paes:SCV20265_0767
ko:K02029	paes:SCV20265_0768
ko:K02029	paes:SCV20265_0769
ko:K02028	paes:SCV20265_0770
ko:K01714	paes:SCV20265_0774
ko:K08368	paes:SCV20265_0775
ko:K07734	paes:SCV20265_0780
ko:K01652	paes:SCV20265_0783
ko:K03769	paes:SCV20265_0788
ko:K01142	paes:SCV20265_0793
ko:K05520	paes:SCV20265_0794
ko:K16088	paes:SCV20265_0797
ko:K06222	paes:SCV20265_0798
ko:K00375	paes:SCV20265_0800
ko:K01426	paes:SCV20265_0802
ko:K02015	paes:SCV20265_0804
ko:K01756	paes:SCV20265_1546
ko:K01756	paes:SCV20265_1547
ko:K10773	paes:SCV20265_1550
ko:K03613	paes:SCV20265_1551
ko:K03612	paes:SCV20265_1552
ko:K03614	paes:SCV20265_1553
ko:K03615	paes:SCV20265_1554
ko:K03616	paes:SCV20265_1555
ko:K03617	paes:SCV20265_1556
ko:K01874	paes:SCV20265_1560
ko:K03593	paes:SCV20265_1561
ko:K01494	paes:SCV20265_1562
ko:K01713	paes:SCV20265_1567
ko:K05786	paes:SCV20265_1569
ko:K00027	paes:SCV20265_1572
ko:K16053	paes:SCV20265_1575
ko:K08369	paes:SCV20265_1576
ko:K09898	paes:SCV20265_1580
ko:K01953	paes:SCV20265_1584
ko:K07090	paes:SCV20265_1586
ko:K15461	paes:SCV20265_1587
ko:K09915	paes:SCV20265_1591
ko:K00116	paes:SCV20265_1592
ko:K03101	paes:SCV20265_2384
ko:K01534	paes:SCV20265_2385
ko:K13954	paes:SCV20265_3141
ko:K00137	paes:SCV20265_3143
ko:K00836	paes:SCV20265_3144
ko:K14393	paes:SCV20265_3146
ko:K00666	paes:SCV20265_3148
ko:K02688	paes:SCV20265_3153
ko:K03808	paes:SCV20265_3156
ko:K00097	paes:SCV20265_3162
ko:K08194	paes:SCV20265_3164
ko:K02030	paes:SCV20265_3170
ko:K02029	paes:SCV20265_3171
ko:K02029	paes:SCV20265_3172
ko:K16137	paes:SCV20265_3178
ko:K02444	paes:SCV20265_3931
ko:K00111	paes:SCV20265_3932
ko:K00864	paes:SCV20265_3934
ko:K01266	paes:SCV20265_3935
ko:K02200	paes:SCV20265_3939
ko:K02200	paes:SCV20265_3940
ko:K02199	paes:SCV20265_3941
ko:K02198	paes:SCV20265_3942
ko:K02197	paes:SCV20265_3943
ko:K02196	paes:SCV20265_3944
ko:K02195	paes:SCV20265_3945
ko:K02194	paes:SCV20265_3946
ko:K02193	paes:SCV20265_3947
ko:K04061	paes:SCV20265_3949
ko:K00059	paes:SCV20265_3952
ko:K05810	paes:SCV20265_3953
ko:K00799	paes:SCV20265_3956
ko:K03408	paes:SCV20265_3958
ko:K03408	paes:SCV20265_3959
ko:K02557	paes:SCV20265_3961
ko:K02556	paes:SCV20265_3962
ko:K03412	paes:SCV20265_3963
ko:K03407	paes:SCV20265_3964
ko:K03414	paes:SCV20265_3965
ko:K03413	paes:SCV20265_3966
ko:K02405	paes:SCV20265_3967
ko:K04562	paes:SCV20265_3968
ko:K02404	paes:SCV20265_3969
ko:K02400	paes:SCV20265_3970
ko:K06872	paes:SCV20265_3971
ko:K06872	paes:SCV20265_3972
ko:K02401	paes:SCV20265_3973
ko:K02421	paes:SCV20265_3974
ko:K02420	paes:SCV20265_3975
ko:K02419	paes:SCV20265_3976
ko:K02418	paes:SCV20265_3977
ko:K05527	paes:SCV20265_4671
ko:K09924	paes:SCV20265_4672
ko:K01679	paes:SCV20265_4674
ko:K01754	paes:SCV20265_4677
ko:K03386	paes:SCV20265_4680
ko:K06203	paes:SCV20265_4682
ko:K01114	paes:SCV20265_4684
ko:K16137	paes:SCV20265_4689
ko:K00432	paes:SCV20265_4690
ko:K03775	paes:SCV20265_4691
ko:K00925	paes:SCV20265_4693
ko:K13788	paes:SCV20265_4694
ko:K07044	paes:SCV20265_4699
ko:K06991	paes:SCV20265_4706
ko:K01560	paes:SCV20265_4713
ko:K03322	paes:SCV20265_4714
ko:K01126	paes:SCV20265_5448
ko:K03833	paes:SCV20265_5463
ko:K01042	paes:SCV20265_5464
ko:K02380	paes:SCV20265_5465
ko:K00127	paes:SCV20265_5466
ko:K00124	paes:SCV20265_5467
ko:K00123	paes:SCV20265_5468
ko:K00219	paes:SCV20265_5471
ko:K09936	paes:SCV20265_5472
ko:K06940	paes:SCV20265_5474
ko:K03327	paes:SCV20265_5478
ko:K03324	paes:SCV20265_5480
ko:K01531	paes:SCV20265_5483
ko:K00675	paes:SCV20265_5485
ko:K08983	paes:SCV20265_5486
ko:K00382	paes:SCV20265_5487
ko:K07124	paes:SCV20265_5490
ko:K11068	paes:SCV20265_5491
ko:K02014	paes:SCV20265_5495
ko:K09815	paes:SCV20265_6232
ko:K09823	paes:SCV20265_6233
ko:K09817	paes:SCV20265_6234
ko:K09816	paes:SCV20265_6235
ko:K02071	paes:SCV20265_6237
ko:K02072	paes:SCV20265_6238
ko:K02073	paes:SCV20265_6239
ko:K01915	paes:SCV20265_6242
ko:K10126	paes:SCV20265_6245
ko:K10125	paes:SCV20265_6246
ko:K00868	paes:SCV20265_6250
ko:K03455	paes:SCV20265_6252
ko:K01915	paes:SCV20265_6256
ko:K01845	paes:SCV20265_6257
ko:K00059	paes:SCV20265_6258
ko:K03455	paes:SCV20265_6263
ko:K03832	paes:SCV20265_6265
ko:K06204	paes:SCV20265_6270
ko:K01448	paes:SCV20265_6272
ko:K09007	paes:SCV20265_6273
ko:K01465	paes:SCV20265_6275
ko:K07080	paes:SCV20265_6279
ko:K02313	paes:SCV20265_0001
ko:K02338	paes:SCV20265_0002
ko:K03629	paes:SCV20265_0003
ko:K02470	paes:SCV20265_0004
ko:K00655	paes:SCV20265_0005
ko:K03273	paes:SCV20265_0006
ko:K01879	paes:SCV20265_0008
ko:K01878	paes:SCV20265_0009
ko:K01246	paes:SCV20265_0010
ko:K02517	paes:SCV20265_0011
ko:K09125	paes:SCV20265_0013
ko:K03499	paes:SCV20265_0015
ko:K03500	paes:SCV20265_0016
ko:K00604	paes:SCV20265_0017
ko:K01462	paes:SCV20265_0018
ko:K04096	paes:SCV20265_0020
ko:K07566	paes:SCV20265_0021
ko:K00228	paes:SCV20265_0023
ko:K00014	paes:SCV20265_0024
ko:K03321	paes:SCV20265_0028
ko:K02002	paes:SCV20265_0029
ko:K10253	paes:SCV20265_0032
ko:K07690	paes:SCV20265_0034
ko:K01695	paes:SCV20265_0035
ko:K01696	paes:SCV20265_0036
ko:K09165	paes:SCV20265_0038
ko:K15125	paes:SCV20265_0041
ko:K02015	paes:SCV20265_0805
ko:K02016	paes:SCV20265_0806
ko:K02013	paes:SCV20265_0807
ko:K07184	paes:SCV20265_0811
ko:K00627	paes:SCV20265_0813
ko:K12340	paes:SCV20265_0822
ko:K13409	paes:SCV20265_0823
ko:K13408	paes:SCV20265_0824
ko:K01866	paes:SCV20265_0828
ko:K07552	paes:SCV20265_0830
ko:K00404	paes:SCV20265_0834
ko:K00381	paes:SCV20265_0837
ko:K02510	paes:SCV20265_0839
ko:K02509	paes:SCV20265_0840
ko:K01826	paes:SCV20265_0842
ko:K00455	paes:SCV20265_0843
ko:K00151	paes:SCV20265_0844
ko:K05921	paes:SCV20265_0845
ko:K05921	paes:SCV20265_0846
ko:K02508	paes:SCV20265_0847
ko:K15553	paes:SCV20265_1595
ko:K15554	paes:SCV20265_1596
ko:K15555	paes:SCV20265_1597
ko:K00299	paes:SCV20265_1598
ko:K15553	paes:SCV20265_1599
ko:K04091	paes:SCV20265_1600
ko:K15554	paes:SCV20265_1601
ko:K15555	paes:SCV20265_1602
ko:K09948	paes:SCV20265_1605
ko:K07589	paes:SCV20265_1606
ko:K01495	paes:SCV20265_1607
ko:K13938	paes:SCV20265_1608
ko:K09932	paes:SCV20265_1609
ko:K06205	paes:SCV20265_1610
ko:K06518	paes:SCV20265_1612
ko:K01692	paes:SCV20265_1618
ko:K06995	paes:SCV20265_1619
ko:K00263	paes:SCV20265_1626
ko:K00161	paes:SCV20265_1627
ko:K00162	paes:SCV20265_1628
ko:K00627	paes:SCV20265_1629
ko:K09918	paes:SCV20265_1632
ko:K03088	paes:SCV20265_1635
ko:K16152	paes:SCV20265_1637
ko:K12536	paes:SCV20265_1639
ko:K12537	paes:SCV20265_1640
ko:K12055	paes:SCV20265_2396
ko:K07733	paes:SCV20265_2397
ko:K03088	paes:SCV20265_2406
ko:K06445	paes:SCV20265_2410
ko:K01990	paes:SCV20265_2413
ko:K01992	paes:SCV20265_2414
ko:K07644	paes:SCV20265_2415
ko:K06879	paes:SCV20265_2419
ko:K07107	paes:SCV20265_2424
ko:K04754	paes:SCV20265_2425
ko:K00616	paes:SCV20265_2429
ko:K05539	paes:SCV20265_2430
ko:K07217	paes:SCV20265_3190
ko:K06048	paes:SCV20265_3194
ko:K06889	paes:SCV20265_3210
ko:K00703	paes:SCV20265_3214
ko:K01236	paes:SCV20265_3215
ko:K00705	paes:SCV20265_3216
ko:K06044	paes:SCV20265_3217
ko:K07027	paes:SCV20265_3226
ko:K00700	paes:SCV20265_3227
ko:K05343	paes:SCV20265_3228
ko:K16147	paes:SCV20265_3229
ko:K10979	paes:SCV20265_3230
ko:K07507	paes:SCV20265_3232
ko:K03781	paes:SCV20265_3234
ko:K00688	paes:SCV20265_3237
ko:K02417	paes:SCV20265_3978
ko:K02416	paes:SCV20265_3979
ko:K02415	paes:SCV20265_3980
ko:K02414	paes:SCV20265_3981
ko:K07039	paes:SCV20265_3983
ko:K09790	paes:SCV20265_3984
ko:K07644	paes:SCV20265_3985
ko:K07665	paes:SCV20265_3986
ko:K03827	paes:SCV20265_3996
ko:K03406	paes:SCV20265_4001
ko:K12255	paes:SCV20265_4003
ko:K03307	paes:SCV20265_4006
ko:K07002	paes:SCV20265_0208
ko:K13929	paes:SCV20265_0209
ko:K13930	paes:SCV20265_0210
ko:K13931	paes:SCV20265_0211
ko:K13932	paes:SCV20265_0212
ko:K13933	paes:SCV20265_0213
ko:K13934	paes:SCV20265_0215
ko:K13935	paes:SCV20265_0216
ko:K13928	paes:SCV20265_0219
ko:K02055	paes:SCV20265_0226
ko:K01714	paes:SCV20265_0227
ko:K01628	paes:SCV20265_0228
ko:K01039	paes:SCV20265_0230
ko:K01040	paes:SCV20265_0231
ko:K07823	paes:SCV20265_0232
ko:K01857	paes:SCV20265_0234
ko:K01055	paes:SCV20265_0235
ko:K01607	paes:SCV20265_0236
ko:K08195	paes:SCV20265_0239
ko:K08191	paes:SCV20265_0245
ko:K00457	paes:SCV20265_0246
ko:K00014	paes:SCV20265_0248
ko:K03786	paes:SCV20265_0249
ko:K00481	paes:SCV20265_0251
ko:K03827	paes:SCV20265_0253
ko:K00941	paes:SCV20265_1001
ko:K09456	paes:SCV20265_1004
ko:K01241	paes:SCV20265_1006
ko:K06181	paes:SCV20265_1010
ko:K03579	paes:SCV20265_1017
ko:K02042	paes:SCV20265_1025
ko:K02044	paes:SCV20265_1026
ko:K02041	paes:SCV20265_1027
ko:K17228	paes:SCV20265_1038
ko:K09945	paes:SCV20265_1040
ko:K07007	paes:SCV20265_1043
ko:K07690	paes:SCV20265_1044
ko:K07679	paes:SCV20265_1047
ko:K10805	paes:SCV20265_1051
ko:K03797	paes:SCV20265_1799
ko:K02052	paes:SCV20265_1802
ko:K02053	paes:SCV20265_1803
ko:K02054	paes:SCV20265_1804
ko:K02055	paes:SCV20265_1806
ko:K03817	paes:SCV20265_1808
ko:K06177	paes:SCV20265_1810
ko:K03608	paes:SCV20265_1811
ko:K03609	paes:SCV20265_1812
ko:K03610	paes:SCV20265_1813
ko:K02517	paes:SCV20265_1814
ko:K07001	paes:SCV20265_1815
ko:K06911	paes:SCV20265_1816
ko:K04754	paes:SCV20265_1817
ko:K02002	paes:SCV20265_1820
ko:K14393	paes:SCV20265_1822
ko:K07182	paes:SCV20265_1823
ko:K02342	paes:SCV20265_1824
ko:K09919	paes:SCV20265_1826
ko:K03767	paes:SCV20265_1829
ko:K01118	paes:SCV20265_1833
ko:K06878	paes:SCV20265_1835
ko:K03406	paes:SCV20265_2598
ko:K07084	paes:SCV20265_2599
ko:K03406	paes:SCV20265_2600
ko:K00343	paes:SCV20265_2603
ko:K00342	paes:SCV20265_2604
ko:K00341	paes:SCV20265_2605
ko:K00340	paes:SCV20265_2606
ko:K00339	paes:SCV20265_2607
ko:K00338	paes:SCV20265_2608
ko:K00337	paes:SCV20265_2609
ko:K00334	paes:SCV20265_2613
ko:K13378	paes:SCV20265_2614
ko:K00331	paes:SCV20265_2615
ko:K00330	paes:SCV20265_2616
ko:K07093	paes:SCV20265_2618
ko:K01637	paes:SCV20265_2619
ko:K01756	paes:SCV20265_2624
ko:K07153	paes:SCV20265_2626
ko:K00566	paes:SCV20265_2627
ko:K00031	paes:SCV20265_2629
ko:K00031	paes:SCV20265_2630
ko:K03704	paes:SCV20265_2631
ko:K06891	paes:SCV20265_2632
ko:K03694	paes:SCV20265_2633
ko:K02518	paes:SCV20265_2634
ko:K00684	paes:SCV20265_2636
ko:K00384	paes:SCV20265_2637
ko:K01028	paes:SCV20265_3393
ko:K17737	paes:SCV20265_3394
ko:K01907	paes:SCV20265_3395
ko:K03769	paes:SCV20265_3396
ko:K09957	paes:SCV20265_3398
ko:K06139	paes:SCV20265_3403
ko:K06138	paes:SCV20265_3404
ko:K06137	paes:SCV20265_3405
ko:K06136	paes:SCV20265_3406
ko:K03760	paes:SCV20265_3421
ko:K03311	paes:SCV20265_3422
ko:K01826	paes:SCV20265_3427
ko:K01118	paes:SCV20265_3431
ko:K06153	paes:SCV20265_3434
ko:K03811	paes:SCV20265_3436
ko:K03543	paes:SCV20265_4180
ko:K00355	paes:SCV20265_4192
ko:K10536	paes:SCV20265_4193
ko:K12251	paes:SCV20265_4195
ko:K10536	paes:SCV20265_4196
ko:K08304	paes:SCV20265_4200
ko:K01649	paes:SCV20265_4205
ko:K06911	paes:SCV20265_4212
ko:K06911	paes:SCV20265_4217
ko:K07397	paes:SCV20265_4219
ko:K12410	paes:SCV20265_4225
ko:K07490	paes:SCV20265_4930
ko:K01652	paes:SCV20265_4007
ko:K11073	paes:SCV20265_4014
ko:K06969	paes:SCV20265_4018
ko:K03417	paes:SCV20265_4727
ko:K01720	paes:SCV20265_4731
ko:K07090	paes:SCV20265_4733
ko:K01118	paes:SCV20265_4740
ko:K11928	paes:SCV20265_4742
ko:K13821	paes:SCV20265_4743
ko:K02014	paes:SCV20265_4744
ko:K01338	paes:SCV20265_4746
ko:K14475	paes:SCV20265_4747
ko:K02030	paes:SCV20265_4748
ko:K15256	paes:SCV20265_4750
ko:K15257	paes:SCV20265_4751
ko:K03474	paes:SCV20265_4752
ko:K03584	paes:SCV20265_4753
ko:K03685	paes:SCV20265_4755
ko:K03100	paes:SCV20265_4757
ko:K03596	paes:SCV20265_4758
ko:K03803	paes:SCV20265_4760
ko:K03598	paes:SCV20265_4761
ko:K03088	paes:SCV20265_4764
ko:K00278	paes:SCV20265_4765
ko:K09159	paes:SCV20265_4767
ko:K06980	paes:SCV20265_4768
ko:K07649	paes:SCV20265_4770
ko:K07774	paes:SCV20265_4771
ko:K01585	paes:SCV20265_5497
ko:K03113	paes:SCV20265_5498
ko:K04084	paes:SCV20265_5504
ko:K03786	paes:SCV20265_5505
ko:K02160	paes:SCV20265_5506
ko:K01961	paes:SCV20265_5507
ko:K02687	paes:SCV20265_5509
ko:K05540	paes:SCV20265_5511
ko:K03557	paes:SCV20265_5512
ko:K00602	paes:SCV20265_5513
ko:K01945	paes:SCV20265_5514
ko:K05595	paes:SCV20265_5516
ko:K11959	paes:SCV20265_5518
ko:K11960	paes:SCV20265_5519
ko:K11961	paes:SCV20265_5520
ko:K11962	paes:SCV20265_5521
ko:K11963	paes:SCV20265_5522
ko:K03190	paes:SCV20265_5524
ko:K01430	paes:SCV20265_5525
ko:K03823	paes:SCV20265_5526
ko:K01429	paes:SCV20265_5527
ko:K01428	paes:SCV20265_5528
ko:K04046	paes:SCV20265_5533
ko:K04064	paes:SCV20265_5536
ko:K07290	paes:SCV20265_5539
ko:K03594	paes:SCV20265_5540
ko:K07665	paes:SCV20265_5545
ko:K07644	paes:SCV20265_5546
ko:K00574	paes:SCV20265_6280
ko:K00820	paes:SCV20265_6290
ko:K04042	paes:SCV20265_6293
ko:K02114	paes:SCV20265_6294
ko:K02112	paes:SCV20265_6295
ko:K02115	paes:SCV20265_6296
ko:K02111	paes:SCV20265_6297
ko:K02113	paes:SCV20265_6298
ko:K02109	paes:SCV20265_6299
ko:K02110	paes:SCV20265_6300
ko:K02108	paes:SCV20265_6301
ko:K02116	paes:SCV20265_6302
ko:K03501	paes:SCV20265_6305
ko:K03495	paes:SCV20265_6306
ko:K03650	paes:SCV20265_6308
ko:K03217	paes:SCV20265_6309
ko:K03536	paes:SCV20265_6310
ko:K02914	paes:SCV20265_6311
ko:K04759	paes:SCV20265_4931
ko:K04758	paes:SCV20265_4932
ko:K05596	paes:SCV20265_4937
ko:K09964	paes:SCV20265_4938
ko:K06895	paes:SCV20265_4939
ko:K04564	paes:SCV20265_4940
ko:K03744	paes:SCV20265_4943
ko:K07231	paes:SCV20265_4944
ko:K07338	paes:SCV20265_4946
ko:K09947	paes:SCV20265_4947
ko:K00763	paes:SCV20265_4950
ko:K06199	paes:SCV20265_4957
ko:K04077	paes:SCV20265_4959
ko:K04078	paes:SCV20265_4960
ko:K07113	paes:SCV20265_4961
ko:K07226	paes:SCV20265_4962
