ko:K01699	lmoe:BN418_1353
ko:K06158	lmoe:BN418_2491
ko:K03789	lmoe:BN418_2494
ko:K06925	lmoe:BN418_2496
ko:K06199	lmoe:BN418_2500
ko:K01755	lmoe:BN418_2515
ko:K02774	lmoe:BN418_2522
ko:K02773	lmoe:BN418_2523
ko:K06215	lmoe:BN418_2528
ko:K08681	lmoe:BN418_2529
ko:K04758	lmoe:BN418_2532
ko:K04759	lmoe:BN418_2533
ko:K01443	lmoe:BN418_2538
ko:K01809	lmoe:BN418_2540
ko:K02003	lmoe:BN418_2545
ko:K02982	lmoe:BN418_3107
ko:K02890	lmoe:BN418_3108
ko:K02965	lmoe:BN418_3109
ko:K02886	lmoe:BN418_3110
ko:K02892	lmoe:BN418_3111
ko:K02926	lmoe:BN418_3112
ko:K02769	lmoe:BN418_0400
ko:K02770	lmoe:BN418_0400
ko:K01624	lmoe:BN418_0401
ko:K05995	lmoe:BN418_0406
ko:K07243	lmoe:BN418_0408
ko:K07243	lmoe:BN418_0409
ko:K07224	lmoe:BN418_0412
ko:K06193	lmoe:BN418_0419
ko:K02761	lmoe:BN418_0423
ko:K02760	lmoe:BN418_0424
ko:K00140	lmoe:BN418_0434
ko:K03337	lmoe:BN418_0435
ko:K03338	lmoe:BN418_0436
ko:K03336	lmoe:BN418_0438
ko:K03648	lmoe:BN418_0442
ko:K00286	lmoe:BN418_0448
ko:K02304	lmoe:BN418_1341
ko:K04031	lmoe:BN418_1344
ko:K04029	lmoe:BN418_1345
ko:K02231	lmoe:BN418_1347
ko:K02233	lmoe:BN418_1348
ko:K13919	lmoe:BN418_1354
ko:K13920	lmoe:BN418_1355
ko:K04024	lmoe:BN418_1362
ko:K13922	lmoe:BN418_1367
ko:K02440	lmoe:BN418_1370
ko:K00925	lmoe:BN418_1371
ko:K16651	lmoe:BN418_1373
ko:K04019	lmoe:BN418_1378
ko:K03735	lmoe:BN418_1379
ko:K03736	lmoe:BN418_1380
ko:K04026	lmoe:BN418_1381
ko:K04027	lmoe:BN418_1384
ko:K04032	lmoe:BN418_1385
ko:K04023	lmoe:BN418_1390
ko:K04030	lmoe:BN418_1391
ko:K03327	lmoe:BN418_2221
ko:K03797	lmoe:BN418_2227
ko:K11068	lmoe:BN418_2243
ko:K09773	lmoe:BN418_2245
ko:K00563	lmoe:BN418_2253
ko:K15738	lmoe:BN418_2256
ko:K01938	lmoe:BN418_2258
ko:K03704	lmoe:BN418_2260
ko:K02954	lmoe:BN418_2263
ko:K16169	lmoe:BN418_2265
ko:K03816	lmoe:BN418_2266
ko:K01299	lmoe:BN418_2267
ko:K07444	lmoe:BN418_2268
ko:K05366	lmoe:BN418_2274
ko:K02906	lmoe:BN418_3113
ko:K02946	lmoe:BN418_3114
ko:K16785	lmoe:BN418_3115
ko:K03734	lmoe:BN418_3117
ko:K03885	lmoe:BN418_3119
ko:K02358	lmoe:BN418_3135
ko:K02355	lmoe:BN418_3136
ko:K02992	lmoe:BN418_3137
ko:K02950	lmoe:BN418_3138
ko:K01129	lmoe:BN418_3139
ko:K01783	lmoe:BN418_3141
ko:K00615	lmoe:BN418_3142
ko:K01808	lmoe:BN418_3145
ko:K02774	lmoe:BN418_3149
ko:K02773	lmoe:BN418_3150
ko:K01808	lmoe:BN418_3158
ko:K07667	lmoe:BN418_3161
ko:K07646	lmoe:BN418_3162
ko:K01548	lmoe:BN418_3163
ko:K03284	lmoe:BN418_0750
ko:K01421	lmoe:BN418_0752
ko:K08976	lmoe:BN418_0758
ko:K00868	lmoe:BN418_0764
ko:K02420	lmoe:BN418_0783
ko:K02421	lmoe:BN418_0784
ko:K02401	lmoe:BN418_0785
ko:K02400	lmoe:BN418_0787
ko:K02404	lmoe:BN418_0788
ko:K02392	lmoe:BN418_0789
ko:K02556	lmoe:BN418_0793
ko:K02557	lmoe:BN418_0794
ko:K03415	lmoe:BN418_0798
ko:K02406	lmoe:BN418_0799
ko:K03413	lmoe:BN418_0800
ko:K03407	lmoe:BN418_0801
ko:K02417	lmoe:BN418_0802
ko:K02389	lmoe:BN418_0805
ko:K02390	lmoe:BN418_0807
ko:K02417	lmoe:BN418_0808
ko:K02416	lmoe:BN418_0809
ko:K01714	lmoe:BN418_1684
ko:K00928	lmoe:BN418_1685
ko:K00133	lmoe:BN418_1686
ko:K04564	lmoe:BN418_1688
ko:K09816	lmoe:BN418_1695
ko:K01151	lmoe:BN418_1702
ko:K03527	lmoe:BN418_1704
ko:K06967	lmoe:BN418_1706
ko:K03086	lmoe:BN418_1707
ko:K09768	lmoe:BN418_1710
ko:K09773	lmoe:BN418_1711
ko:K01879	lmoe:BN418_1713
ko:K01878	lmoe:BN418_1714
ko:K01878	lmoe:BN418_1715
ko:K03584	lmoe:BN418_1716
ko:K03595	lmoe:BN418_1718
ko:K07042	lmoe:BN418_1721
ko:K07037	lmoe:BN418_1722
ko:K09117	lmoe:BN418_1724
ko:K02970	lmoe:BN418_1725
ko:K09761	lmoe:BN418_1726
ko:K02687	lmoe:BN418_1728
ko:K03686	lmoe:BN418_1729
ko:K04043	lmoe:BN418_1731
ko:K03687	lmoe:BN418_1732
ko:K03431	lmoe:BN418_2549
ko:K15772	lmoe:BN418_2555
ko:K15771	lmoe:BN418_2557
ko:K01624	lmoe:BN418_2571
ko:K01624	lmoe:BN418_2572
ko:K03710	lmoe:BN418_2582
ko:K03671	lmoe:BN418_2590
ko:K07238	lmoe:BN418_0473
ko:K03088	lmoe:BN418_0483
ko:K02224	lmoe:BN418_1397
ko:K02227	lmoe:BN418_1399
ko:K06042	lmoe:BN418_1401
ko:K02188	lmoe:BN418_1402
ko:K02191	lmoe:BN418_1404
ko:K05936	lmoe:BN418_1405
ko:K02189	lmoe:BN418_1406
ko:K02189	lmoe:BN418_1407
ko:K05895	lmoe:BN418_1411
ko:K13542	lmoe:BN418_1412
ko:K03394	lmoe:BN418_1414
ko:K02007	lmoe:BN418_1415
ko:K02008	lmoe:BN418_1417
ko:K02006	lmoe:BN418_1418
ko:K02232	lmoe:BN418_1420
ko:K02232	lmoe:BN418_1421
ko:K09936	lmoe:BN418_1424
ko:K03437	lmoe:BN418_1435
ko:K01889	lmoe:BN418_1439
ko:K01890	lmoe:BN418_1440
ko:K01890	lmoe:BN418_1441
ko:K02003	lmoe:BN418_1442
ko:K03648	lmoe:BN418_1448
ko:K09888	lmoe:BN418_1450
ko:K02347	lmoe:BN418_1452
ko:K10773	lmoe:BN418_2276
ko:K01893	lmoe:BN418_2278
ko:K00812	lmoe:BN418_2279
ko:K01579	lmoe:BN418_2282
ko:K01918	lmoe:BN418_2283
ko:K00606	lmoe:BN418_2284
ko:K03524	lmoe:BN418_2286
ko:K01734	lmoe:BN418_2288
ko:K00215	lmoe:BN418_2289
ko:K00656	lmoe:BN418_2302
ko:K07007	lmoe:BN418_2303
ko:K06973	lmoe:BN418_2304
ko:K00800	lmoe:BN418_2309
ko:K00817	lmoe:BN418_2311
ko:K06208	lmoe:BN418_2312
ko:K01735	lmoe:BN418_2314
ko:K01736	lmoe:BN418_2316
ko:K00940	lmoe:BN418_2317
ko:K02417	lmoe:BN418_0811
ko:K09770	lmoe:BN418_0816
ko:K02396	lmoe:BN418_0818
ko:K02397	lmoe:BN418_0819
ko:K02407	lmoe:BN418_0820
ko:K02422	lmoe:BN418_0821
ko:K02387	lmoe:BN418_0822
ko:K02388	lmoe:BN418_0823
ko:K02408	lmoe:BN418_0824
ko:K02409	lmoe:BN418_0825
ko:K02411	lmoe:BN418_0828
ko:K07726	lmoe:BN418_0847
ko:K02529	lmoe:BN418_0848
ko:K01783	lmoe:BN418_0849
ko:K01808	lmoe:BN418_0850
ko:K01223	lmoe:BN418_0853
ko:K03705	lmoe:BN418_1733
ko:K03596	lmoe:BN418_1739
ko:K02968	lmoe:BN418_1740
ko:K02340	lmoe:BN418_1741
ko:K02237	lmoe:BN418_1745
ko:K09710	lmoe:BN418_1747
ko:K00969	lmoe:BN418_1749
ko:K07574	lmoe:BN418_1750
ko:K00014	lmoe:BN418_1751
ko:K07015	lmoe:BN418_1753
ko:K03624	lmoe:BN418_1758
ko:K00876	lmoe:BN418_1759
ko:K07082	lmoe:BN418_1761
ko:K07447	lmoe:BN418_1764
ko:K01872	lmoe:BN418_1766
ko:K02003	lmoe:BN418_1767
ko:K03581	lmoe:BN418_1771
ko:K00566	lmoe:BN418_1774
ko:K04487	lmoe:BN418_1775
ko:K07478	lmoe:BN418_1776
ko:K03320	lmoe:BN418_1778
ko:K04751	lmoe:BN418_1779
ko:K01876	lmoe:BN418_1781
ko:K01892	lmoe:BN418_1782
ko:K01448	lmoe:BN418_1783
ko:K08177	lmoe:BN418_2616
ko:K08600	lmoe:BN418_2631
ko:K02013	lmoe:BN418_2632
ko:K02015	lmoe:BN418_2633
ko:K02016	lmoe:BN418_2634
ko:K08602	lmoe:BN418_2638
ko:K16511	lmoe:BN418_2640
ko:K15581	lmoe:BN418_2645
ko:K15580	lmoe:BN418_2646
ko:K01867	lmoe:BN418_2648
ko:K09458	lmoe:BN418_2651
ko:K00648	lmoe:BN418_2652
ko:K03695	lmoe:BN418_2656
ko:K06890	lmoe:BN418_2657
ko:K03183	lmoe:BN418_2320
ko:K01495	lmoe:BN418_2322
ko:K03530	lmoe:BN418_2323
ko:K00057	lmoe:BN418_2325
ko:K03977	lmoe:BN418_2326
ko:K02945	lmoe:BN418_2327
ko:K01547	lmoe:BN418_3164
ko:K01546	lmoe:BN418_3165
ko:K02761	lmoe:BN418_3168
ko:K02759	lmoe:BN418_3169
ko:K01531	lmoe:BN418_3176
ko:K00943	lmoe:BN418_3183
ko:K05878	lmoe:BN418_3185
ko:K05879	lmoe:BN418_3188
ko:K06187	lmoe:BN418_3195
ko:K09747	lmoe:BN418_3196
ko:K02343	lmoe:BN418_3197
ko:K02343	lmoe:BN418_3198
ko:K00426	lmoe:BN418_3211
ko:K00425	lmoe:BN418_3212
ko:K01895	lmoe:BN418_3217
ko:K14221	lmoe:BN418_1095
ko:K16959	lmoe:BN418_2773
ko:K16958	lmoe:BN418_2774
ko:K16957	lmoe:BN418_2775
ko:K10027	lmoe:BN418_1211
ko:K11070	lmoe:BN418_0943
ko:K01977	lmoe:BN418_2810
ko:K01977	lmoe:BN418_3070
ko:K01977	lmoe:BN418_2015
ko:K01977	lmoe:BN418_2135
ko:K14218	lmoe:BN418_0252
ko:K14228	lmoe:BN418_0247
ko:K01992	lmoe:BN418_2677
ko:K14232	lmoe:BN418_0251
ko:K01990	lmoe:BN418_2678
ko:K02029	lmoe:BN418_1014
ko:K02030	lmoe:BN418_1014
ko:K17319	lmoe:BN418_2411
ko:K17318	lmoe:BN418_2409
ko:K14219	lmoe:BN418_2050
ko:K14229	lmoe:BN418_0246
ko:K14229	lmoe:BN418_2568
ko:K02775	lmoe:BN418_0581
ko:K01222	lmoe:BN418_0595
ko:K01222	lmoe:BN418_0613
ko:K02782	lmoe:BN418_0621
ko:K02783	lmoe:BN418_0621
ko:K02783	lmoe:BN418_0622
ko:K03713	lmoe:BN418_1534
ko:K09976	lmoe:BN418_1542
ko:K09764	lmoe:BN418_1564
ko:K03177	lmoe:BN418_1566
ko:K01619	lmoe:BN418_2395
ko:K02793	lmoe:BN418_2398
ko:K07720	lmoe:BN418_2412
ko:K09704	lmoe:BN418_2416
ko:K01191	lmoe:BN418_2417
ko:K07105	lmoe:BN418_2433
ko:K02755	lmoe:BN418_3287
ko:K02756	lmoe:BN418_3287
ko:K02757	lmoe:BN418_3287
ko:K03488	lmoe:BN418_3288
ko:K03491	lmoe:BN418_3300
ko:K02755	lmoe:BN418_3303
ko:K02756	lmoe:BN418_3303
ko:K02757	lmoe:BN418_3303
ko:K03488	lmoe:BN418_3304
ko:K02798	lmoe:BN418_3313
ko:K02799	lmoe:BN418_3317
ko:K02800	lmoe:BN418_3317
ko:K01788	lmoe:BN418_3320
ko:K01478	lmoe:BN418_0045
ko:K07706	lmoe:BN418_0053
ko:K07784	lmoe:BN418_0989
ko:K01426	lmoe:BN418_1018
ko:K01226	lmoe:BN418_1039
ko:K01439	lmoe:BN418_1909
ko:K03574	lmoe:BN418_1910
ko:K02564	lmoe:BN418_2785
ko:K03574	lmoe:BN418_2813
ko:K07570	lmoe:BN418_2814
ko:K02004	lmoe:BN418_2816
ko:K03768	lmoe:BN418_2821
ko:K05565	lmoe:BN418_2824
ko:K05565	lmoe:BN418_2825
ko:K05568	lmoe:BN418_2828
ko:K05570	lmoe:BN418_2830
ko:K02793	lmoe:BN418_0098
ko:K14220	lmoe:BN418_2805
ko:K14220	lmoe:BN418_3065
ko:K14220	lmoe:BN418_1994
ko:K14228	lmoe:BN418_2792
ko:K07404	lmoe:BN418_0640
ko:K01523	lmoe:BN418_0643
ko:K01496	lmoe:BN418_0644
ko:K03492	lmoe:BN418_0664
ko:K07030	lmoe:BN418_0688
ko:K01934	lmoe:BN418_1575
ko:K00845	lmoe:BN418_1578
ko:K02249	lmoe:BN418_1580
ko:K02248	lmoe:BN418_1581
ko:K02246	lmoe:BN418_1583
ko:K02245	lmoe:BN418_1584
ko:K02244	lmoe:BN418_1585
ko:K02243	lmoe:BN418_1586
ko:K01262	lmoe:BN418_1593
ko:K00929	lmoe:BN418_1609
ko:K00033	lmoe:BN418_1619
ko:K01823	lmoe:BN418_1627
ko:K08724	lmoe:BN418_2453
ko:K08152	lmoe:BN418_2457
ko:K07177	lmoe:BN418_2467
ko:K07052	lmoe:BN418_2488
ko:K00058	lmoe:BN418_3348
ko:K04844	lmoe:BN418_3358
ko:K02025	lmoe:BN418_3366
ko:K01629	lmoe:BN418_3376
ko:K01813	lmoe:BN418_3377
ko:K06610	lmoe:BN418_3380
ko:K06346	lmoe:BN418_3383
ko:K02794	lmoe:BN418_0098
ko:K02795	lmoe:BN418_0099
ko:K06147	lmoe:BN418_0109
ko:K06147	lmoe:BN418_0110
ko:K01081	lmoe:BN418_0136
ko:K00088	lmoe:BN418_0141
ko:K02035	lmoe:BN418_0143
ko:K02033	lmoe:BN418_0144
ko:K09167	lmoe:BN418_1065
ko:K08981	lmoe:BN418_1066
ko:K07315	lmoe:BN418_1079
ko:K03090	lmoe:BN418_1082
ko:K05518	lmoe:BN418_1083
ko:K03095	lmoe:BN418_1087
ko:K03492	lmoe:BN418_1093
ko:K00383	lmoe:BN418_1099
ko:K00016	lmoe:BN418_1973
ko:K09815	lmoe:BN418_1977
ko:K08680	lmoe:BN418_1981
ko:K02552	lmoe:BN418_1985
ko:K01760	lmoe:BN418_1988
ko:K00657	lmoe:BN418_2848
ko:K04488	lmoe:BN418_2857
ko:K01580	lmoe:BN418_2881
ko:K03488	lmoe:BN418_2883
ko:K07032	lmoe:BN418_2884
ko:K02028	lmoe:BN418_2089
ko:K01977	lmoe:BN418_0241
ko:K01977	lmoe:BN418_0253
ko:K10947	lmoe:BN418_0697
ko:K06147	lmoe:BN418_0705
ko:K06147	lmoe:BN418_0707
ko:K07025	lmoe:BN418_0734
ko:K02056	lmoe:BN418_1634
ko:K02025	lmoe:BN418_0186
ko:K01182	lmoe:BN418_0193
ko:K03478	lmoe:BN418_0200
ko:K09685	lmoe:BN418_0201
ko:K02005	lmoe:BN418_0202
ko:K02004	lmoe:BN418_0205
ko:K01771	lmoe:BN418_0211
ko:K00135	lmoe:BN418_1109
ko:K03491	lmoe:BN418_1116
ko:K00867	lmoe:BN418_1122
ko:K01990	lmoe:BN418_1123
ko:K02564	lmoe:BN418_1163
ko:K02851	lmoe:BN418_1165
ko:K09825	lmoe:BN418_2016
ko:K07586	lmoe:BN418_2020
ko:K09963	lmoe:BN418_2051
ko:K06994	lmoe:BN418_2915
ko:K09762	lmoe:BN418_2928
ko:K01835	lmoe:BN418_2931
ko:K01785	lmoe:BN418_2933
ko:K01784	lmoe:BN418_2934
ko:K06023	lmoe:BN418_2940
ko:K13923	lmoe:BN418_1361
ko:K01990	lmoe:BN418_0856
ko:K01990	lmoe:BN418_2577
ko:K00564	lmoe:BN418_0286
ko:K01439	lmoe:BN418_0298
ko:K08969	lmoe:BN418_0324
ko:K08969	lmoe:BN418_0325
ko:K07668	lmoe:BN418_0326
ko:K07652	lmoe:BN418_0327
ko:K07652	lmoe:BN418_0328
ko:K11617	lmoe:BN418_1234
ko:K11618	lmoe:BN418_1235
ko:K03499	lmoe:BN418_1236
ko:K02755	lmoe:BN418_1248
ko:K02756	lmoe:BN418_1248
ko:K02757	lmoe:BN418_1248
ko:K02017	lmoe:BN418_1253
ko:K03635	lmoe:BN418_1259
ko:K03635	lmoe:BN418_1260
ko:K07094	lmoe:BN418_2114
ko:K01104	lmoe:BN418_2164
ko:K09787	lmoe:BN418_2166
ko:K07027	lmoe:BN418_3020
ko:K03048	lmoe:BN418_3028
ko:K02004	lmoe:BN418_3052
ko:K00059	lmoe:BN418_1639
ko:K02443	lmoe:BN418_1651
ko:K00626	lmoe:BN418_1660
ko:K01641	lmoe:BN418_1661
ko:K06902	lmoe:BN418_1663
ko:K05845	lmoe:BN418_1669
ko:K05846	lmoe:BN418_1669
ko:K16789	lmoe:BN418_1678
ko:K06889	lmoe:BN418_2492
ko:K01409	lmoe:BN418_2493
ko:K05020	lmoe:BN418_2516
ko:K00882	lmoe:BN418_2519
ko:K02775	lmoe:BN418_2521
ko:K00625	lmoe:BN418_2530
ko:K02004	lmoe:BN418_2546
ko:K01990	lmoe:BN418_2058
ko:K03294	lmoe:BN418_0747
ko:K07104	lmoe:BN418_0748
ko:K07457	lmoe:BN418_0760
ko:K00575	lmoe:BN418_0791
ko:K00383	lmoe:BN418_1682
ko:K07533	lmoe:BN418_1693
ko:K02076	lmoe:BN418_1694
ko:K15986	lmoe:BN418_1701
ko:K01489	lmoe:BN418_1719
ko:K00691	lmoe:BN418_2552
ko:K15770	lmoe:BN418_2558
ko:K07052	lmoe:BN418_2560
ko:K07035	lmoe:BN418_2583
ko:K11031	lmoe:BN418_0212
ko:K00016	lmoe:BN418_0221
ko:K03708	lmoe:BN418_0256
ko:K09698	lmoe:BN418_0264
ko:K07816	lmoe:BN418_1173
ko:K00567	lmoe:BN418_1207
ko:K03697	lmoe:BN418_1208
ko:K07052	lmoe:BN418_1209
ko:K11189	lmoe:BN418_1213
ko:K08483	lmoe:BN418_1214
ko:K00841	lmoe:BN418_1217
ko:K05822	lmoe:BN418_1222
ko:K02025	lmoe:BN418_2071
ko:K02004	lmoe:BN418_2097
ko:K02433	lmoe:BN418_2106
ko:K07658	lmoe:BN418_2960
ko:K02242	lmoe:BN418_2972
ko:K02240	lmoe:BN418_2973
ko:K07692	lmoe:BN418_2975
ko:K02851	lmoe:BN418_2979
ko:K02549	lmoe:BN418_2980
ko:K14228	lmoe:BN418_2503
ko:K03491	lmoe:BN418_0338
ko:K01507	lmoe:BN418_0379
ko:K00616	lmoe:BN418_0384
ko:K02004	lmoe:BN418_1280
ko:K01092	lmoe:BN418_1284
ko:K01958	lmoe:BN418_1290
ko:K09693	lmoe:BN418_1293
ko:K01916	lmoe:BN418_1313
ko:K06889	lmoe:BN418_1327
ko:K00059	lmoe:BN418_2172
ko:K07030	lmoe:BN418_2183
ko:K00949	lmoe:BN418_2186
ko:K02823	lmoe:BN418_2206
ko:K02824	lmoe:BN418_2213
ko:K03593	lmoe:BN418_3071
ko:K16787	lmoe:BN418_3081
ko:K16786	lmoe:BN418_3082
ko:K01426	lmoe:BN418_3084
ko:K00939	lmoe:BN418_3092
ko:K00244	lmoe:BN418_0397
ko:K05350	lmoe:BN418_0421
ko:K05937	lmoe:BN418_0439
ko:K13921	lmoe:BN418_1368
ko:K04720	lmoe:BN418_1372
ko:K07213	lmoe:BN418_2228
ko:K03784	lmoe:BN418_2233
ko:K03810	lmoe:BN418_2235
ko:K07305	lmoe:BN418_2236
ko:K07304	lmoe:BN418_2238
ko:K01006	lmoe:BN418_2246
ko:K03469	lmoe:BN418_2261
ko:K03700	lmoe:BN418_2273
ko:K00805	lmoe:BN418_3121
ko:K00805	lmoe:BN418_3122
ko:K01470	lmoe:BN418_3128
ko:K07048	lmoe:BN418_3129
ko:K03475	lmoe:BN418_3130
ko:K02822	lmoe:BN418_3131
ko:K02775	lmoe:BN418_3148
ko:K10947	lmoe:BN418_0833
ko:K15524	lmoe:BN418_0455
ko:K01759	lmoe:BN418_0464
ko:K07729	lmoe:BN418_0475
ko:K03399	lmoe:BN418_1403
ko:K02190	lmoe:BN418_1413
ko:K02009	lmoe:BN418_1416
ko:K02004	lmoe:BN418_1443
ko:K06994	lmoe:BN418_1445
ko:K03471	lmoe:BN418_1449
ko:K02086	lmoe:BN418_2277
ko:K00974	lmoe:BN418_2287
ko:K00027	lmoe:BN418_2299
ko:K03342	lmoe:BN418_3257
ko:K04517	lmoe:BN418_2310
ko:K00805	lmoe:BN418_2321
ko:K01104	lmoe:BN418_2324
ko:K16012	lmoe:BN418_3208
ko:K16013	lmoe:BN418_3209
ko:K04750	lmoe:BN418_3222
ko:K10254	lmoe:BN418_0547
ko:K02428	lmoe:BN418_1464
ko:K04750	lmoe:BN418_1469
ko:K03486	lmoe:BN418_1485
ko:K01226	lmoe:BN418_1487
ko:K01424	lmoe:BN418_2329
ko:K05337	lmoe:BN418_2333
ko:K03783	lmoe:BN418_2343
ko:K04763	lmoe:BN418_2345
ko:K03711	lmoe:BN418_2346
ko:K01515	lmoe:BN418_2356
ko:K07048	lmoe:BN418_2361
ko:K03475	lmoe:BN418_2362
ko:K02822	lmoe:BN418_2363
ko:K02821	lmoe:BN418_2364
ko:K00784	lmoe:BN418_2369
ko:K01191	lmoe:BN418_3235
ko:K03699	lmoe:BN418_3241
ko:K08161	lmoe:BN418_3245
ko:K07343	lmoe:BN418_3251
ko:K07258	lmoe:BN418_3261
ko:K00088	lmoe:BN418_3266
ko:K03406	lmoe:BN418_0837
ko:K02755	lmoe:BN418_0852
ko:K02756	lmoe:BN418_0852
ko:K02757	lmoe:BN418_0852
ko:K07729	lmoe:BN418_0864
ko:K02238	lmoe:BN418_1742
ko:K06948	lmoe:BN418_1752
ko:K01243	lmoe:BN418_1755
ko:K02004	lmoe:BN418_1768
ko:K01759	lmoe:BN418_2613
ko:K01026	lmoe:BN418_2618
ko:K06198	lmoe:BN418_2639
ko:K16509	lmoe:BN418_2641
ko:K10823	lmoe:BN418_2642
ko:K15583	lmoe:BN418_2643
ko:K15582	lmoe:BN418_2644
ko:K01834	lmoe:BN418_2655
ko:K06976	lmoe:BN418_2659
ko:K00158	lmoe:BN418_0836
ko:K07098	lmoe:BN418_0881
ko:K09704	lmoe:BN418_0883
ko:K02025	lmoe:BN418_0886
ko:K02795	lmoe:BN418_0903
ko:K02793	lmoe:BN418_0905
ko:K03976	lmoe:BN418_0913
ko:K00016	lmoe:BN418_1797
ko:K04518	lmoe:BN418_1799
ko:K07584	lmoe:BN418_1804
ko:K02236	lmoe:BN418_1813
ko:K01719	lmoe:BN418_1818
ko:K11144	lmoe:BN418_1823
ko:K11144	lmoe:BN418_1824
ko:K03346	lmoe:BN418_1826
ko:K10563	lmoe:BN418_1829
ko:K01990	lmoe:BN418_2665
ko:K07533	lmoe:BN418_2670
ko:K03698	lmoe:BN418_2671
ko:K01679	lmoe:BN418_2676
ko:K06889	lmoe:BN418_2716
ko:K00657	lmoe:BN418_0009
ko:K00869	lmoe:BN418_0010
ko:K01597	lmoe:BN418_0011
ko:K00938	lmoe:BN418_0012
ko:K02793	lmoe:BN418_0023
ko:K02795	lmoe:BN418_0025
ko:K06201	lmoe:BN418_0028
ko:K02755	lmoe:BN418_0029
ko:K02756	lmoe:BN418_0029
ko:K11069	lmoe:BN418_0944
ko:K01674	lmoe:BN418_0946
ko:K02371	lmoe:BN418_0951
ko:K00054	lmoe:BN418_0971
ko:K06147	lmoe:BN418_0988
ko:K06286	lmoe:BN418_1871
ko:K16899	lmoe:BN418_2722
ko:K00882	lmoe:BN418_2761
ko:K03436	lmoe:BN418_2762
ko:K01372	lmoe:BN418_2763
ko:K02757	lmoe:BN418_0029
ko:K16329	lmoe:BN418_2765
ko:K11072	lmoe:BN418_0939
ko:K11071	lmoe:BN418_0941
ko:K01992	lmoe:BN418_2354
ko:K01992	lmoe:BN418_2578
ko:K01985	lmoe:BN418_2013
ko:K01985	lmoe:BN418_2133
ko:K01985	lmoe:BN418_2806
ko:K01985	lmoe:BN418_3066
ko:K01980	lmoe:BN418_0242
ko:K01980	lmoe:BN418_0254
ko:K02028	lmoe:BN418_2706
ko:K17320	lmoe:BN418_2410
ko:K08986	lmoe:BN418_1121
ko:K00951	lmoe:BN418_1785
ko:K00265	lmoe:BN418_2078
ko:K00265	lmoe:BN418_2081
ko:K01992	lmoe:BN418_2664
ko:K01980	lmoe:BN418_2807
ko:K01980	lmoe:BN418_3067
ko:K01980	lmoe:BN418_2134
ko:K01980	lmoe:BN418_2014
ko:K09692	lmoe:BN418_1292
ko:K17472	lmoe:BN418_1777
ko:K01992	lmoe:BN418_0773
ko:K01992	lmoe:BN418_0875
ko:K01992	lmoe:BN418_1189
ko:K01992	lmoe:BN418_2692
ko:K14233	lmoe:BN418_2804
ko:K10112	lmoe:BN418_0314
ko:K14224	lmoe:BN418_1094
ko:K14224	lmoe:BN418_2564
ko:K14224	lmoe:BN418_1992
ko:K14224	lmoe:BN418_2803
ko:K14221	lmoe:BN418_1999
ko:K14221	lmoe:BN418_2800
ko:K14227	lmoe:BN418_1995
ko:K14227	lmoe:BN418_2809
ko:K14227	lmoe:BN418_3069
ko:K14230	lmoe:BN418_2000
ko:K14230	lmoe:BN418_2801
ko:K14233	lmoe:BN418_0739
ko:K14233	lmoe:BN418_1089
ko:K14233	lmoe:BN418_1993
ko:K14223	lmoe:BN418_2795
ko:K14218	lmoe:BN418_2808
ko:K14218	lmoe:BN418_3068
ko:K14218	lmoe:BN418_2004
ko:K17686	lmoe:BN418_2230
ko:K01990	lmoe:BN418_0771
ko:K01990	lmoe:BN418_1188
ko:K01990	lmoe:BN418_2355
ko:K01990	lmoe:BN418_3284
ko:K17686	lmoe:BN418_2229
ko:K14237	lmoe:BN418_0244
ko:K14237	lmoe:BN418_2802
ko:K14237	lmoe:BN418_2012
ko:K14234	lmoe:BN418_0245
ko:K14234	lmoe:BN418_2011
ko:K14229	lmoe:BN418_2010
ko:K14228	lmoe:BN418_2009
ko:K14225	lmoe:BN418_2008
ko:K14225	lmoe:BN418_0248
ko:K14225	lmoe:BN418_2794
ko:K14225	lmoe:BN418_1136
ko:K14225	lmoe:BN418_1996
ko:K14228	lmoe:BN418_0249
ko:K14228	lmoe:BN418_2007
ko:K14219	lmoe:BN418_2006
ko:K14219	lmoe:BN418_1466
ko:K14232	lmoe:BN418_2005
ko:K14233	lmoe:BN418_2001
ko:K14220	lmoe:BN418_1088
ko:K14226	lmoe:BN418_1997
ko:K14226	lmoe:BN418_2796
ko:K14231	lmoe:BN418_1998
ko:K14231	lmoe:BN418_2799
ko:K14230	lmoe:BN418_2002
ko:K14230	lmoe:BN418_2003
ko:K14234	lmoe:BN418_2565
ko:K14234	lmoe:BN418_3064
ko:K14236	lmoe:BN418_2566
ko:K14236	lmoe:BN418_2798
ko:K14223	lmoe:BN418_2567
ko:K14222	lmoe:BN418_2793
ko:K14235	lmoe:BN418_2797
ko:K14219	lmoe:BN418_2919
ko:K14237	lmoe:BN418_3370
ko:K14229	lmoe:BN418_0082
ko:K07260	lmoe:BN418_2232
ko:K01739	lmoe:BN418_1989
ko:K01791	lmoe:BN418_3002
ko:K01840	lmoe:BN418_1042
ko:K17752	lmoe:BN418_1078
ko:K02027	lmoe:BN418_0188
ko:K01658	lmoe:BN418_1923
ko:K02026	lmoe:BN418_3365
ko:K02768	lmoe:BN418_0730
ko:K02768	lmoe:BN418_2575
ko:K02026	lmoe:BN418_0887
