ko:K07799	xff:XFLM_01165
ko:K07285	xff:XFLM_11030
ko:K06187	xff:XFLM_11040
ko:K09747	xff:XFLM_11045
ko:K02343	xff:XFLM_11050
ko:K00057	xff:XFLM_11090
ko:K03071	xff:XFLM_11095
ko:K02496	xff:XFLM_11115
ko:K02498	xff:XFLM_11120
ko:K03524	xff:XFLM_11125
ko:K03525	xff:XFLM_11130
ko:K00800	xff:XFLM_00895
ko:K14170	xff:XFLM_00905
ko:K00831	xff:XFLM_00910
ko:K03832	xff:XFLM_00915
ko:K13292	xff:XFLM_00945
ko:K00901	xff:XFLM_00950
ko:K04043	xff:XFLM_00980
ko:K03687	xff:XFLM_00985
ko:K03705	xff:XFLM_00990
ko:K03631	xff:XFLM_00995
ko:K06186	xff:XFLM_01005
ko:K09801	xff:XFLM_01010
ko:K03664	xff:XFLM_01020
ko:K03704	xff:XFLM_01030
ko:K00760	xff:XFLM_01040
ko:K03215	xff:XFLM_01060
ko:K01991	xff:XFLM_01125
ko:K00052	xff:XFLM_01130
ko:K01704	xff:XFLM_01135
ko:K01703	xff:XFLM_01140
ko:K07574	xff:XFLM_05620
ko:K01687	xff:XFLM_05630
ko:K02517	xff:XFLM_05650
ko:K02527	xff:XFLM_05655
ko:K02959	xff:XFLM_05665
ko:K02860	xff:XFLM_05670
ko:K00554	xff:XFLM_05675
ko:K02884	xff:XFLM_05680
ko:K01265	xff:XFLM_05685
ko:K01953	xff:XFLM_05715
ko:K01356	xff:XFLM_05735
ko:K01872	xff:XFLM_05745
ko:K03563	xff:XFLM_05750
ko:K01414	xff:XFLM_05755
ko:K01738	xff:XFLM_05760
ko:K07233	xff:XFLM_05775
ko:K01873	xff:XFLM_05780
ko:K02339	xff:XFLM_05790
ko:K01255	xff:XFLM_05800
ko:K07091	xff:XFLM_05805
ko:K11720	xff:XFLM_05810
ko:K00820	xff:XFLM_05820
ko:K00797	xff:XFLM_05830
ko:K01887	xff:XFLM_05860
ko:K03630	xff:XFLM_05865
ko:K13038	xff:XFLM_05870
ko:K15778	xff:XFLM_05885
ko:K00528	xff:XFLM_10235
ko:K03147	xff:XFLM_10240
ko:K06920	xff:XFLM_10315
ko:K01876	xff:XFLM_10320
ko:K01676	xff:XFLM_10325
ko:K07075	xff:XFLM_02900
ko:K03702	xff:XFLM_03010
ko:K08084	xff:XFLM_03015
ko:K01714	xff:XFLM_03025
ko:K03567	xff:XFLM_03030
ko:K07175	xff:XFLM_03055
ko:K00946	xff:XFLM_03070
ko:K03625	xff:XFLM_03075
ko:K00794	xff:XFLM_03080
ko:K14652	xff:XFLM_03085
ko:K00793	xff:XFLM_03090
ko:K11752	xff:XFLM_03095
ko:K07738	xff:XFLM_03100
ko:K00600	xff:XFLM_03115
ko:K00116	xff:XFLM_03125
ko:K05810	xff:XFLM_03140
ko:K06180	xff:XFLM_03145
ko:K05807	xff:XFLM_03150
ko:K04759	xff:XFLM_03160
ko:K04758	xff:XFLM_03165
ko:K03500	xff:XFLM_03175
ko:K00604	xff:XFLM_03180
ko:K01462	xff:XFLM_03185
ko:K04096	xff:XFLM_03195
ko:K02946	xff:XFLM_07595
ko:K02906	xff:XFLM_07600
ko:K02926	xff:XFLM_07605
ko:K02892	xff:XFLM_07610
ko:K02886	xff:XFLM_07615
ko:K02965	xff:XFLM_07620
ko:K02890	xff:XFLM_07625
ko:K02982	xff:XFLM_07630
ko:K02878	xff:XFLM_07635
ko:K02904	xff:XFLM_07640
ko:K02961	xff:XFLM_07645
ko:K02874	xff:XFLM_07650
ko:K02895	xff:XFLM_07655
ko:K02931	xff:XFLM_07660
ko:K02954	xff:XFLM_07665
ko:K02994	xff:XFLM_07670
ko:K02933	xff:XFLM_07675
ko:K02881	xff:XFLM_07680
ko:K02988	xff:XFLM_07685
ko:K02907	xff:XFLM_07690
ko:K02876	xff:XFLM_07695
ko:K03076	xff:XFLM_07700
ko:K02952	xff:XFLM_07705
ko:K02948	xff:XFLM_07710
ko:K02986	xff:XFLM_07715
ko:K03040	xff:XFLM_07720
ko:K02879	xff:XFLM_07725
ko:K07391	xff:XFLM_07735
ko:K03545	xff:XFLM_07770
ko:K01358	xff:XFLM_07775
ko:K03544	xff:XFLM_07780
ko:K01338	xff:XFLM_07785
ko:K03530	xff:XFLM_07790
ko:K03770	xff:XFLM_07795
ko:K09799	xff:XFLM_07800
ko:K03671	xff:XFLM_07825
ko:K09941	xff:XFLM_07840
ko:K02902	xff:XFLM_07845
ko:K02913	xff:XFLM_07850
ko:K06131	xff:XFLM_07855
ko:K00024	xff:XFLM_07870
ko:K14230	xff:XFLM_t11851
ko:K13660	xff:XFLM_01070
ko:K14232	xff:XFLM_t11843
ko:K14232	xff:XFLM_t11829
ko:K16053	xff:XFLM_02475
ko:K07305	xff:XFLM_03565
ko:K12373	xff:XFLM_03575
ko:K01192	xff:XFLM_03580
ko:K01885	xff:XFLM_03700
ko:K02067	xff:XFLM_08240
ko:K06201	xff:XFLM_08425
ko:K02014	xff:XFLM_00010
ko:K02014	xff:XFLM_00020
ko:K03455	xff:XFLM_00025
ko:K01525	xff:XFLM_00070
ko:K02342	xff:XFLM_00105
ko:K03469	xff:XFLM_00110
ko:K06910	xff:XFLM_00140
ko:K01507	xff:XFLM_00145
ko:K08305	xff:XFLM_00195
ko:K01206	xff:XFLM_04845
ko:K10914	xff:XFLM_09370
ko:K01679	xff:XFLM_09435
ko:K03316	xff:XFLM_09605
ko:K01934	xff:XFLM_09625
ko:K01262	xff:XFLM_09645
ko:K01515	xff:XFLM_09650
ko:K13628	xff:XFLM_04230
ko:K06147	xff:XFLM_04305
ko:K07657	xff:XFLM_04345
ko:K00030	xff:XFLM_04360
ko:K00567	xff:XFLM_04375
ko:K05524	xff:XFLM_04385
ko:K01724	xff:XFLM_04400
ko:K06179	xff:XFLM_04410
ko:K04763	xff:XFLM_08820
ko:K03793	xff:XFLM_08970
ko:K00845	xff:XFLM_08985
ko:K03768	xff:XFLM_07875
ko:K02674	xff:XFLM_07925
ko:K07117	xff:XFLM_09070
ko:K02014	xff:XFLM_09150
ko:K00380	xff:XFLM_09175
ko:K02428	xff:XFLM_09210
ko:K01259	xff:XFLM_09230
ko:K02454	xff:XFLM_09255
ko:K02463	xff:XFLM_09305
ko:K03386	xff:XFLM_09320
ko:K05844	xff:XFLM_04070
ko:K02653	xff:XFLM_04095
ko:K00652	xff:XFLM_08505
ko:K00974	xff:XFLM_08530
ko:K08086	xff:XFLM_08585
ko:K01759	xff:XFLM_08695
ko:K08483	xff:XFLM_08715
ko:K11189	xff:XFLM_08720
ko:K02821	xff:XFLM_08725
ko:K06023	xff:XFLM_08735
ko:K14235	xff:XFLM_t11833
ko:K02658	xff:XFLM_02430
ko:K01409	xff:XFLM_02485
ko:K02067	xff:XFLM_02570
ko:K02049	xff:XFLM_02605
ko:K02050	xff:XFLM_02610
ko:K00845	xff:XFLM_07100
ko:K00241	xff:XFLM_07125
ko:K02238	xff:XFLM_07165
ko:K03294	xff:XFLM_02625
ko:K05794	xff:XFLM_02635
ko:K07660	xff:XFLM_02685
ko:K02014	xff:XFLM_02700
ko:K02665	xff:XFLM_02750
ko:K00852	xff:XFLM_02780
ko:K03286	xff:XFLM_02840
ko:K02014	xff:XFLM_02860
ko:K01424	xff:XFLM_07335
ko:K04093	xff:XFLM_07540
ko:K07386	xff:XFLM_02070
ko:K03616	xff:XFLM_02195
ko:K02674	xff:XFLM_02315
ko:K00647	xff:XFLM_11500
ko:K07283	xff:XFLM_11545
ko:K09696	xff:XFLM_00920
ko:K09697	xff:XFLM_00925
ko:K04517	xff:XFLM_00965
ko:K03711	xff:XFLM_01000
ko:K01206	xff:XFLM_05660
ko:K00674	xff:XFLM_05695
ko:K01439	xff:XFLM_05705
ko:K01585	xff:XFLM_05840
ko:K02025	xff:XFLM_01520
ko:K02193	xff:XFLM_01575
ko:K02200	xff:XFLM_01610
ko:K02200	xff:XFLM_01615
ko:K01092	xff:XFLM_01670
ko:K00059	xff:XFLM_01715
ko:K00970	xff:XFLM_06210
ko:K03177	xff:XFLM_06260
ko:K00939	xff:XFLM_06425
ko:K01719	xff:XFLM_11110
ko:K00058	xff:XFLM_00335
ko:K03294	xff:XFLM_00340
ko:K03294	xff:XFLM_00345
ko:K08964	xff:XFLM_00350
ko:K07258	xff:XFLM_00445
ko:K02657	xff:XFLM_09910
ko:K02659	xff:XFLM_09915
ko:K02660	xff:XFLM_09920
ko:K02487	xff:XFLM_09925
ko:K06596	xff:XFLM_09925
ko:K01271	xff:XFLM_06175
ko:K01077	xff:XFLM_01780
ko:K07221	xff:XFLM_06680
ko:K07221	xff:XFLM_06715
ko:K03747	xff:XFLM_03200
ko:K09806	xff:XFLM_07730
ko:K06183	xff:XFLM_07830
ko:K00799	xff:XFLM_07865
ko:K00721	xff:XFLM_00660
ko:K03593	xff:XFLM_00785
ko:K01104	xff:XFLM_00795
ko:K02674	xff:XFLM_05350
ko:K10563	xff:XFLM_05505
ko:K03743	xff:XFLM_05575
ko:K02427	xff:XFLM_05615
ko:K07304	xff:XFLM_09985
ko:K03560	xff:XFLM_10185
ko:K00088	xff:XFLM_01430
ko:K00059	xff:XFLM_05985
ko:K04765	xff:XFLM_06050
ko:K01082	xff:XFLM_06055
ko:K12982	xff:XFLM_00090
ko:K01977	xff:XFLM_r11909
ko:K01977	xff:XFLM_r11911
ko:K14234	xff:XFLM_t11811
ko:K01139	xff:XFLM_02820
ko:K01980	xff:XFLM_r11913
ko:K01980	xff:XFLM_r11915
ko:K00209	xff:XFLM_10900
ko:K01834	xff:XFLM_10215
ko:K03699	xff:XFLM_08150
ko:K01179	xff:XFLM_04820
ko:K01179	xff:XFLM_03715
ko:K01069	xff:XFLM_00120
ko:K11003	xff:XFLM_01230
ko:K01992	xff:XFLM_11670
ko:K12262	xff:XFLM_08365
ko:K01990	xff:XFLM_11665
ko:K00568	xff:XFLM_01645
ko:K16264	xff:XFLM_03490
ko:K14233	xff:XFLM_t11859
ko:K14225	xff:XFLM_t11809
ko:K14225	xff:XFLM_t11901
ko:K14225	xff:XFLM_t11827
ko:K14225	xff:XFLM_t11837
ko:K14237	xff:XFLM_t11813
ko:K14237	xff:XFLM_t11823
ko:K14220	xff:XFLM_t11817
ko:K14230	xff:XFLM_t11819
ko:K14230	xff:XFLM_t11869
ko:K14229	xff:XFLM_t11849
ko:K14229	xff:XFLM_t11891
ko:K14229	xff:XFLM_t11895
ko:K14218	xff:XFLM_t11855
ko:K14218	xff:XFLM_t11861
ko:K14218	xff:XFLM_t11879
ko:K14227	xff:XFLM_t11857
ko:K14227	xff:XFLM_t11863
ko:K01985	xff:XFLM_r11905
ko:K01985	xff:XFLM_r11907
ko:K14218	xff:XFLM_t11865
ko:K14224	xff:XFLM_t11867
ko:K14224	xff:XFLM_t11877
ko:K14231	xff:XFLM_t11871
ko:K14228	xff:XFLM_t11873
ko:K14228	xff:XFLM_t11875
ko:K14228	xff:XFLM_t11881
ko:K14228	xff:XFLM_t11883
ko:K14228	xff:XFLM_t11885
ko:K14237	xff:XFLM_t11887
ko:K14221	xff:XFLM_t11889
ko:K14222	xff:XFLM_t11893
ko:K14233	xff:XFLM_t11897
ko:K14219	xff:XFLM_t11903
ko:K10112	xff:XFLM_07110
ko:K14223	xff:XFLM_t11821
ko:K14232	xff:XFLM_t11825
ko:K14219	xff:XFLM_t11831
ko:K14219	xff:XFLM_t11845
ko:K14219	xff:XFLM_t11853
ko:K14234	xff:XFLM_t11835
ko:K14234	xff:XFLM_t11899
ko:K14236	xff:XFLM_t11839
ko:K14226	xff:XFLM_t11847
ko:K14223	xff:XFLM_t11841
ko:K18918	xff:XFLM_11730
ko:K13659	xff:XFLM_01075
ko:K13657	xff:XFLM_01095
ko:K13663	xff:XFLM_01100
ko:K09810	xff:XFLM_07160
ko:K03559	xff:XFLM_05280
ko:K03559	xff:XFLM_05285
ko:K03559	xff:XFLM_07180
ko:K00265	xff:XFLM_04830
ko:K01467	xff:XFLM_11580
ko:K13662	xff:XFLM_01105
ko:K13661	xff:XFLM_01120
ko:K13815	xff:XFLM_07420
ko:K10715	xff:XFLM_07425
ko:K02196	xff:XFLM_01590
ko:K01897	xff:XFLM_06485
ko:K03417	xff:XFLM_07960
ko:K08316	xff:XFLM_06735
ko:K01802	xff:XFLM_01840
ko:K17103	xff:XFLM_02455
ko:K06218	xff:XFLM_11735
ko:K03574	xff:XFLM_07450
ko:K03574	xff:XFLM_08090
ko:K00951	xff:XFLM_08305
ko:K17713	xff:XFLM_02370
ko:K01990	xff:XFLM_07920
ko:K01992	xff:XFLM_07915
ko:K17758	xff:XFLM_03970
ko:K17759	xff:XFLM_03970
ko:K01658	xff:XFLM_10095
ko:K01658	xff:XFLM_06145
ko:K02027	xff:XFLM_01525
ko:K00254	xff:XFLM_04260
ko:K01497	xff:XFLM_09735
ko:K01046	xff:XFLM_07745
ko:K01768	xff:XFLM_01055
ko:K01007	xff:XFLM_08075
ko:K03772	xff:XFLM_11650
ko:K00423	xff:XFLM_04690
ko:K14742	xff:XFLM_09335
ko:K01184	xff:XFLM_01630
ko:K21449	xff:XFLM_09775
ko:K18240	xff:XFLM_03915
ko:K07467	xff:XFLM_10300
ko:K01154	xff:XFLM_06530
ko:K07789	xff:XFLM_01175
ko:K06207	xff:XFLM_07880
ko:K01657	xff:XFLM_10105
ko:K03559	xff:XFLM_07175
ko:K05889	xff:XFLM_00585
ko:K12979	xff:XFLM_09515
ko:K07260	xff:XFLM_03420
ko:K18480	xff:XFLM_08235
ko:K09691	xff:XFLM_04245
ko:K02664	xff:XFLM_02755
ko:K02663	xff:XFLM_02760
ko:K02650	xff:XFLM_04100
ko:K18697	xff:XFLM_06160
ko:K02847	xff:XFLM_09715
ko:K18842	xff:XFLM_12085
ko:K07171	xff:XFLM_12050
ko:K07316	xff:XFLM_09850
ko:K18841	xff:XFLM_12090
ko:K09892	xff:XFLM_09635
ko:K18850	xff:XFLM_09425
ko:K03111	xff:XFLM_08675
ko:K03497	xff:XFLM_00670
ko:K03496	xff:XFLM_00675
ko:K03497	xff:XFLM_05455
ko:K03646	xff:XFLM_10190
ko:K03111	xff:XFLM_10805
ko:K03169	xff:XFLM_10840
ko:K07473	xff:XFLM_11270
ko:K03111	xff:XFLM_02265
ko:K03746	xff:XFLM_02440
ko:K03496	xff:XFLM_07310
ko:K03205	xff:XFLM_11920
ko:K03196	xff:XFLM_11925
ko:K03204	xff:XFLM_11935
ko:K03203	xff:XFLM_11940
ko:K06218	xff:XFLM_12020
ko:K03761	xff:XFLM_05580
ko:K19033	xff:XFLM_02710
ko:K00335	xff:XFLM_06615
ko:K03526	xff:XFLM_04280
ko:K19157	xff:XFLM_11275
ko:K09065	xff:XFLM_06825
ko:K00571	xff:XFLM_00720
ko:K00571	xff:XFLM_00800
ko:K08678	xff:XFLM_01930
ko:K01710	xff:XFLM_06340
ko:K07448	xff:XFLM_12015
ko:K00336	xff:XFLM_06620
ko:K07496	xff:XFLM_11765
ko:K19267	xff:XFLM_06280
ko:K19302	xff:XFLM_04275
ko:K04771	xff:XFLM_00510
ko:K06867	xff:XFLM_11495
ko:K09690	xff:XFLM_04240
ko:K02650	xff:XFLM_11165
ko:K02650	xff:XFLM_04110
ko:K20074	xff:XFLM_00100
ko:K00992	xff:XFLM_02020
ko:K12960	xff:XFLM_01650
ko:K22292	xff:XFLM_01640
ko:K08992	xff:XFLM_01460
ko:K19804	xff:XFLM_01455
ko:K21420	xff:XFLM_06930
ko:K15125	xff:XFLM_00285
ko:K04771	xff:XFLM_06475
ko:K20455	xff:XFLM_08005
ko:K09788	xff:XFLM_08010
ko:K20455	xff:XFLM_08000
ko:K03200	xff:XFLM_11965
ko:K03198	xff:XFLM_11980
ko:K20534	xff:XFLM_06000
ko:K20628	xff:XFLM_03740
ko:K07344	xff:XFLM_00850
ko:K15778	xff:XFLM_05880
ko:K22132	xff:XFLM_09390
ko:K03195	xff:XFLM_11930
ko:K21071	xff:XFLM_06420
ko:K00821	xff:XFLM_08830
ko:K21025	xff:XFLM_04475
ko:K08968	xff:XFLM_07945
ko:K00526	xff:XFLM_07815
ko:K02335	xff:XFLM_07370
ko:K06217	xff:XFLM_03285
ko:K00558	xff:XFLM_08380
ko:K03676	xff:XFLM_04355
ko:K06919	xff:XFLM_09580
ko:K01185	xff:XFLM_00715
ko:K00287	xff:XFLM_00935
ko:K00560	xff:XFLM_00940
ko:K03553	xff:XFLM_05740
ko:K01520	xff:XFLM_05875
ko:K09960	xff:XFLM_10530
ko:K09961	xff:XFLM_10550
ko:K01185	xff:XFLM_10655
ko:K14623	xff:XFLM_11065
ko:K06223	xff:XFLM_11080
ko:K06905	xff:XFLM_11215
ko:K06906	xff:XFLM_11225
ko:K06908	xff:XFLM_11240
ko:K06907	xff:XFLM_11245
ko:K06903	xff:XFLM_11265
ko:K01185	xff:XFLM_11350
ko:K06919	xff:XFLM_11360
ko:K02316	xff:XFLM_02510
ko:K06905	xff:XFLM_07200
ko:K06903	xff:XFLM_07220
ko:K02314	xff:XFLM_02790
ko:K00525	xff:XFLM_07810
ko:K05710	xff:XFLM_09040
ko:K21449	xff:XFLM_09315
ko:K21498	xff:XFLM_07230
ko:K07334	xff:XFLM_00805
ko:K07334	xff:XFLM_07225
ko:K21498	xff:XFLM_00810
ko:K02334	xff:XFLM_00710
ko:K02334	xff:XFLM_02970
ko:K02334	xff:XFLM_11455
ko:K02334	xff:XFLM_11785
ko:K03442	xff:XFLM_08070
ko:K22318	xff:XFLM_09860
ko:K03595	xff:XFLM_00540
ko:K22252	xff:XFLM_01935
ko:K22319	xff:XFLM_00650
ko:K02257	xff:XFLM_08515
ko:K22317	xff:XFLM_09840
ko:K22320	xff:XFLM_10955
ko:K13566	xff:XFLM_01565
ko:K22478	xff:XFLM_06840
