ko:K02495	ecoi:ECOPMV1_04229
ko:K07560	ecoi:ECOPMV1_04245
ko:K02380	ecoi:ECOPMV1_04253
ko:K02379	ecoi:ECOPMV1_04257
ko:K03534	ecoi:ECOPMV1_04261
ko:K00848	ecoi:ECOPMV1_04264
ko:K02854	ecoi:ECOPMV1_04266
ko:K02856	ecoi:ECOPMV1_04267
ko:K04564	ecoi:ECOPMV1_04268
ko:K02526	ecoi:ECOPMV1_04269
ko:K06006	ecoi:ECOPMV1_04273
ko:K02167	ecoi:ECOPMV1_00316
ko:K02168	ecoi:ECOPMV1_00317
ko:K13244	ecoi:ECOPMV1_00318
ko:K00926	ecoi:ECOPMV1_00325
ko:K02057	ecoi:ECOPMV1_00330
ko:K02057	ecoi:ECOPMV1_00331
ko:K13979	ecoi:ECOPMV1_00332
ko:K03329	ecoi:ECOPMV1_00334
ko:K02688	ecoi:ECOPMV1_00336
ko:K01720	ecoi:ECOPMV1_00340
ko:K01908	ecoi:ECOPMV1_00341
ko:K10974	ecoi:ECOPMV1_00342
ko:K02532	ecoi:ECOPMV1_00345
ko:K09912	ecoi:ECOPMV1_00348
ko:K01070	ecoi:ECOPMV1_00349
ko:K15551	ecoi:ECOPMV1_00356
ko:K15552	ecoi:ECOPMV1_00358
ko:K03119	ecoi:ECOPMV1_00359
ko:K01698	ecoi:ECOPMV1_00360
ko:K04334	ecoi:ECOPMV1_01121
ko:K04336	ecoi:ECOPMV1_01122
ko:K11941	ecoi:ECOPMV1_01126
ko:K03670	ecoi:ECOPMV1_01127
ko:K03669	ecoi:ECOPMV1_01128
ko:K12147	ecoi:ECOPMV1_01130
ko:K02517	ecoi:ECOPMV1_01132
ko:K07146	ecoi:ECOPMV1_01133
ko:K02846	ecoi:ECOPMV1_01137
ko:K12148	ecoi:ECOPMV1_01138
ko:K12149	ecoi:ECOPMV1_01139
ko:K01465	ecoi:ECOPMV1_01140
ko:K03675	ecoi:ECOPMV1_01142
ko:K08162	ecoi:ECOPMV1_01144
ko:K03790	ecoi:ECOPMV1_01145
ko:K09915	ecoi:ECOPMV1_01146
ko:K03980	ecoi:ECOPMV1_01148
ko:K02399	ecoi:ECOPMV1_01149
ko:K02398	ecoi:ECOPMV1_01150
ko:K02386	ecoi:ECOPMV1_01151
ko:K02387	ecoi:ECOPMV1_01152
ko:K02388	ecoi:ECOPMV1_01153
ko:K02389	ecoi:ECOPMV1_01154
ko:K02390	ecoi:ECOPMV1_01155
ko:K02391	ecoi:ECOPMV1_01156
ko:K02392	ecoi:ECOPMV1_01157
ko:K02393	ecoi:ECOPMV1_01158
ko:K02394	ecoi:ECOPMV1_01159
ko:K02395	ecoi:ECOPMV1_01160
ko:K02396	ecoi:ECOPMV1_01161
ko:K02397	ecoi:ECOPMV1_01162
ko:K08300	ecoi:ECOPMV1_01163
ko:K07040	ecoi:ECOPMV1_01167
ko:K02911	ecoi:ECOPMV1_01168
ko:K03621	ecoi:ECOPMV1_01169
ko:K00648	ecoi:ECOPMV1_01170
ko:K03607	ecoi:ECOPMV1_01922
ko:K03808	ecoi:ECOPMV1_01924
ko:K07156	ecoi:ECOPMV1_01934
ko:K10857	ecoi:ECOPMV1_01937
ko:K01354	ecoi:ECOPMV1_01938
ko:K09918	ecoi:ECOPMV1_01941
ko:K08289	ecoi:ECOPMV1_01942
ko:K01625	ecoi:ECOPMV1_01943
ko:K01690	ecoi:ECOPMV1_01944
ko:K00036	ecoi:ECOPMV1_01945
ko:K00873	ecoi:ECOPMV1_01947
ko:K02560	ecoi:ECOPMV1_01948
ko:K09817	ecoi:ECOPMV1_01951
ko:K09816	ecoi:ECOPMV1_01952
ko:K03551	ecoi:ECOPMV1_01953
ko:K03550	ecoi:ECOPMV1_01954
ko:K01159	ecoi:ECOPMV1_01956
ko:K08310	ecoi:ECOPMV1_01958
ko:K01876	ecoi:ECOPMV1_01959
ko:K07136	ecoi:ECOPMV1_01962
ko:K15256	ecoi:ECOPMV1_01963
ko:K15257	ecoi:ECOPMV1_01964
ko:K07821	ecoi:ECOPMV1_01966
ko:K09907	ecoi:ECOPMV1_01968
ko:K01887	ecoi:ECOPMV1_01969
ko:K06894	ecoi:ECOPMV1_02705
ko:K07751	ecoi:ECOPMV1_02708
ko:K04755	ecoi:ECOPMV1_02710
ko:K04044	ecoi:ECOPMV1_02711
ko:K04082	ecoi:ECOPMV1_02712
ko:K04487	ecoi:ECOPMV1_02715
ko:K13643	ecoi:ECOPMV1_02717
ko:K15396	ecoi:ECOPMV1_02718
ko:K05820	ecoi:ECOPMV1_02722
ko:K15977	ecoi:ECOPMV1_02723
ko:K02057	ecoi:ECOPMV1_02726
ko:K00600	ecoi:ECOPMV1_02731
ko:K05916	ecoi:ECOPMV1_02732
ko:K04751	ecoi:ECOPMV1_02733
ko:K07715	ecoi:ECOPMV1_02734
ko:K07711	ecoi:ECOPMV1_02736
ko:K01952	ecoi:ECOPMV1_02739
ko:K11991	ecoi:ECOPMV1_02741
ko:K00997	ecoi:ECOPMV1_02745
ko:K03474	ecoi:ECOPMV1_02746
ko:K03584	ecoi:ECOPMV1_02747
ko:K03100	ecoi:ECOPMV1_02750
ko:K03596	ecoi:ECOPMV1_02751
ko:K02523	ecoi:ECOPMV1_03498
ko:K00790	ecoi:ECOPMV1_03500
ko:K07122	ecoi:ECOPMV1_03502
ko:K07323	ecoi:ECOPMV1_03503
ko:K02066	ecoi:ECOPMV1_03505
ko:K02065	ecoi:ECOPMV1_03506
ko:K07301	ecoi:ECOPMV1_03507
ko:K06041	ecoi:ECOPMV1_03508
ko:K03270	ecoi:ECOPMV1_03509
ko:K11719	ecoi:ECOPMV1_03510
ko:K14230	ecoi:ECOPMV1_00675
ko:K14223	ecoi:ECOPMV1_00673
ko:K14223	ecoi:ECOPMV1_00674
ko:K14227	ecoi:ECOPMV1_00209
ko:K14227	ecoi:ECOPMV1_04210
ko:K14227	ecoi:ECOPMV1_04378
ko:K14219	ecoi:ECOPMV1_00519
ko:K14230	ecoi:ECOPMV1_00679
ko:K14233	ecoi:ECOPMV1_01001
ko:K14234	ecoi:ECOPMV1_00275
ko:K11739	ecoi:ECOPMV1_00584
ko:K11740	ecoi:ECOPMV1_00585
ko:K07644	ecoi:ECOPMV1_00586
ko:K07798	ecoi:ECOPMV1_00590
ko:K07787	ecoi:ECOPMV1_00591
ko:K11732	ecoi:ECOPMV1_00592
ko:K16053	ecoi:ECOPMV1_00593
ko:K10679	ecoi:ECOPMV1_00594
ko:K06048	ecoi:ECOPMV1_00597
ko:K02362	ecoi:ECOPMV1_00600
ko:K02364	ecoi:ECOPMV1_00604
ko:K02013	ecoi:ECOPMV1_00606
ko:K02015	ecoi:ECOPMV1_00607
ko:K02015	ecoi:ECOPMV1_00608
ko:K02016	ecoi:ECOPMV1_00610
ko:K02361	ecoi:ECOPMV1_00611
ko:K02363	ecoi:ECOPMV1_00612
ko:K01252	ecoi:ECOPMV1_00613
ko:K00216	ecoi:ECOPMV1_00614
ko:K06200	ecoi:ECOPMV1_00616
ko:K08317	ecoi:ECOPMV1_00618
ko:K14287	ecoi:ECOPMV1_00619
ko:K04072	ecoi:ECOPMV1_01372
ko:K15580	ecoi:ECOPMV1_01376
ko:K15581	ecoi:ECOPMV1_01377
ko:K09774	ecoi:ECOPMV1_03511
ko:K06861	ecoi:ECOPMV1_03512
ko:K03092	ecoi:ECOPMV1_03513
ko:K05808	ecoi:ECOPMV1_03514
ko:K06958	ecoi:ECOPMV1_03516
ko:K03814	ecoi:ECOPMV1_03519
ko:K07648	ecoi:ECOPMV1_03522
ko:K07139	ecoi:ECOPMV1_03523
ko:K00266	ecoi:ECOPMV1_03525
ko:K00885	ecoi:ECOPMV1_03527
ko:K03290	ecoi:ECOPMV1_03529
ko:K03600	ecoi:ECOPMV1_03532
ko:K03599	ecoi:ECOPMV1_03533
ko:K02996	ecoi:ECOPMV1_03534
ko:K02871	ecoi:ECOPMV1_03535
ko:K06916	ecoi:ECOPMV1_03536
ko:K09908	ecoi:ECOPMV1_03537
ko:K04691	ecoi:ECOPMV1_03539
ko:K00024	ecoi:ECOPMV1_03540
ko:K03402	ecoi:ECOPMV1_03541
ko:K03623	ecoi:ECOPMV1_03543
ko:K03468	ecoi:ECOPMV1_03544
ko:K00850	ecoi:ECOPMV1_04315
ko:K02048	ecoi:ECOPMV1_04316
ko:K01521	ecoi:ECOPMV1_04317
ko:K01803	ecoi:ECOPMV1_04318
ko:K14065	ecoi:ECOPMV1_04322
ko:K00528	ecoi:ECOPMV1_04323
ko:K00864	ecoi:ECOPMV1_04325
ko:K02440	ecoi:ECOPMV1_04326
ko:K09892	ecoi:ECOPMV1_04327
ko:K02553	ecoi:ECOPMV1_04328
ko:K02548	ecoi:ECOPMV1_04329
ko:K03667	ecoi:ECOPMV1_04330
ko:K01419	ecoi:ECOPMV1_04331
ko:K03591	ecoi:ECOPMV1_04332
ko:K04066	ecoi:ECOPMV1_04334
ko:K02909	ecoi:ECOPMV1_04335
ko:K03764	ecoi:ECOPMV1_04337
ko:K12525	ecoi:ECOPMV1_04339
ko:K01980	ecoi:ECOPMV1_00212
ko:K01980	ecoi:ECOPMV1_03586
ko:K01980	ecoi:ECOPMV1_02777
ko:K01980	ecoi:ECOPMV1_02819
ko:K01980	ecoi:ECOPMV1_04381
ko:K01980	ecoi:ECOPMV1_04213
ko:K01980	ecoi:ECOPMV1_04097
ko:K14230	ecoi:ECOPMV1_03072
ko:K14236	ecoi:ECOPMV1_01362
ko:K14236	ecoi:ECOPMV1_01363
ko:K14236	ecoi:ECOPMV1_02813
ko:K14234	ecoi:ECOPMV1_02814
ko:K14237	ecoi:ECOPMV1_01760
ko:K14237	ecoi:ECOPMV1_01761
ko:K14228	ecoi:ECOPMV1_01999
ko:K14222	ecoi:ECOPMV1_02000
ko:K14225	ecoi:ECOPMV1_02001
ko:K14225	ecoi:ECOPMV1_04626
ko:K14225	ecoi:ECOPMV1_04627
ko:K14225	ecoi:ECOPMV1_04628
ko:K14219	ecoi:ECOPMV1_02505
ko:K14218	ecoi:ECOPMV1_02598
ko:K14218	ecoi:ECOPMV1_02599
ko:K14224	ecoi:ECOPMV1_02779
ko:K14224	ecoi:ECOPMV1_02821
ko:K14224	ecoi:ECOPMV1_03588
ko:K14224	ecoi:ECOPMV1_04095
ko:K14219	ecoi:ECOPMV1_02948
ko:K14219	ecoi:ECOPMV1_02949
ko:K14219	ecoi:ECOPMV1_02950
ko:K14234	ecoi:ECOPMV1_03584
ko:K14228	ecoi:ECOPMV1_04738
ko:K03101	ecoi:ECOPMV1_00025
ko:K09901	ecoi:ECOPMV1_01381
ko:K06131	ecoi:ECOPMV1_01382
ko:K10716	ecoi:ECOPMV1_01383
ko:K09780	ecoi:ECOPMV1_01384
ko:K03832	ecoi:ECOPMV1_01385
ko:K10806	ecoi:ECOPMV1_01386
ko:K06190	ecoi:ECOPMV1_01387
ko:K07275	ecoi:ECOPMV1_01389
ko:K00765	ecoi:ECOPMV1_02174
ko:K00013	ecoi:ECOPMV1_02175
ko:K00817	ecoi:ECOPMV1_02176
ko:K01089	ecoi:ECOPMV1_02177
ko:K02501	ecoi:ECOPMV1_02178
ko:K01814	ecoi:ECOPMV1_02179
ko:K02500	ecoi:ECOPMV1_02180
ko:K11755	ecoi:ECOPMV1_02181
ko:K05789	ecoi:ECOPMV1_02182
ko:K00012	ecoi:ECOPMV1_02183
ko:K01790	ecoi:ECOPMV1_02192
ko:K00973	ecoi:ECOPMV1_02193
ko:K00067	ecoi:ECOPMV1_02194
ko:K00963	ecoi:ECOPMV1_02197
ko:K16703	ecoi:ECOPMV1_02199
ko:K16710	ecoi:ECOPMV1_02200
ko:K16695	ecoi:ECOPMV1_02201
ko:K03208	ecoi:ECOPMV1_02205
ko:K03207	ecoi:ECOPMV1_02206
ko:K02377	ecoi:ECOPMV1_02207
ko:K01711	ecoi:ECOPMV1_02208
ko:K03818	ecoi:ECOPMV1_02209
ko:K13683	ecoi:ECOPMV1_02210
ko:K13620	ecoi:ECOPMV1_02211
ko:K13684	ecoi:ECOPMV1_02212
ko:K03819	ecoi:ECOPMV1_02213
ko:K16692	ecoi:ECOPMV1_02215
ko:K02781	ecoi:ECOPMV1_02960
ko:K02468	ecoi:ECOPMV1_02963
ko:K02467	ecoi:ECOPMV1_02964
ko:K12266	ecoi:ECOPMV1_02965
ko:K12264	ecoi:ECOPMV1_02966
ko:K12265	ecoi:ECOPMV1_02967
ko:K04656	ecoi:ECOPMV1_02968
ko:K05796	ecoi:ECOPMV1_02969
ko:K03487	ecoi:ECOPMV1_02970
ko:K02752	ecoi:ECOPMV1_02971
ko:K02753	ecoi:ECOPMV1_02971
ko:K01223	ecoi:ECOPMV1_02972
ko:K08315	ecoi:ECOPMV1_02974
ko:K15834	ecoi:ECOPMV1_02975
ko:K15832	ecoi:ECOPMV1_02976
ko:K15831	ecoi:ECOPMV1_02977
ko:K15830	ecoi:ECOPMV1_02978
ko:K15829	ecoi:ECOPMV1_02979
ko:K15828	ecoi:ECOPMV1_02980
ko:K15827	ecoi:ECOPMV1_02981
ko:K15833	ecoi:ECOPMV1_02982
ko:K04651	ecoi:ECOPMV1_02983
ko:K04653	ecoi:ECOPMV1_02985
ko:K04654	ecoi:ECOPMV1_02986
ko:K15836	ecoi:ECOPMV1_02988
ko:K03555	ecoi:ECOPMV1_02991
ko:K07314	ecoi:ECOPMV1_02992
ko:K06194	ecoi:ECOPMV1_03002
ko:K00573	ecoi:ECOPMV1_03003
ko:K03787	ecoi:ECOPMV1_03004
ko:K06176	ecoi:ECOPMV1_03005
ko:K00688	ecoi:ECOPMV1_03744
ko:K00703	ecoi:ECOPMV1_03745
ko:K00975	ecoi:ECOPMV1_03746
ko:K00133	ecoi:ECOPMV1_03749
ko:K06156	ecoi:ECOPMV1_03751
ko:K06145	ecoi:ECOPMV1_03753
ko:K06911	ecoi:ECOPMV1_03754
ko:K01126	ecoi:ECOPMV1_03763
ko:K05813	ecoi:ECOPMV1_03767
ko:K01996	ecoi:ECOPMV1_03768
ko:K01995	ecoi:ECOPMV1_03769
ko:K01998	ecoi:ECOPMV1_03770
ko:K01997	ecoi:ECOPMV1_03771
ko:K01999	ecoi:ECOPMV1_03772
ko:K01999	ecoi:ECOPMV1_03774
ko:K17465	ecoi:ECOPMV1_03776
ko:K17466	ecoi:ECOPMV1_03777
ko:K17467	ecoi:ECOPMV1_03778
ko:K01714	ecoi:ECOPMV1_03780
ko:K03089	ecoi:ECOPMV1_03781
ko:K09811	ecoi:ECOPMV1_03782
ko:K09812	ecoi:ECOPMV1_03783
ko:K03110	ecoi:ECOPMV1_03784
ko:K08993	ecoi:ECOPMV1_03786
ko:K01534	ecoi:ECOPMV1_03789
ko:K15547	ecoi:ECOPMV1_04540
ko:K15549	ecoi:ECOPMV1_04541
ko:K00881	ecoi:ECOPMV1_04544
ko:K17195	ecoi:ECOPMV1_04545
ko:K10550	ecoi:ECOPMV1_04546
ko:K10551	ecoi:ECOPMV1_04548
ko:K10549	ecoi:ECOPMV1_04549
ko:K01808	ecoi:ECOPMV1_04551
ko:K06167	ecoi:ECOPMV1_04553
ko:K09994	ecoi:ECOPMV1_04554
ko:K05774	ecoi:ECOPMV1_04555
ko:K06162	ecoi:ECOPMV1_04556
ko:K05780	ecoi:ECOPMV1_04557
ko:K05781	ecoi:ECOPMV1_04558
ko:K06163	ecoi:ECOPMV1_04559
ko:K06164	ecoi:ECOPMV1_04560
ko:K06165	ecoi:ECOPMV1_04561
ko:K06166	ecoi:ECOPMV1_04562
ko:K02043	ecoi:ECOPMV1_04563
ko:K02042	ecoi:ECOPMV1_04564
ko:K02044	ecoi:ECOPMV1_04565
ko:K02041	ecoi:ECOPMV1_04566
ko:K06193	ecoi:ECOPMV1_04568
ko:K03762	ecoi:ECOPMV1_04571
ko:K07771	ecoi:ECOPMV1_04573
ko:K03760	ecoi:ECOPMV1_04574
ko:K03759	ecoi:ECOPMV1_04575
ko:K03755	ecoi:ECOPMV1_04576
ko:K01584	ecoi:ECOPMV1_04577
ko:K07406	ecoi:ECOPMV1_04579
ko:K08984	ecoi:ECOPMV1_04580
ko:K01676	ecoi:ECOPMV1_04581
ko:K07703	ecoi:ECOPMV1_04583
ko:K07701	ecoi:ECOPMV1_04584
ko:K06975	ecoi:ECOPMV1_04586
ko:K04087	ecoi:ECOPMV1_04639
ko:K09937	ecoi:ECOPMV1_04640
ko:K01939	ecoi:ECOPMV1_04641
ko:K13771	ecoi:ECOPMV1_04642
ko:K12573	ecoi:ECOPMV1_04643
ko:K03218	ecoi:ECOPMV1_04644
ko:K09980	ecoi:ECOPMV1_04645
ko:K08989	ecoi:ECOPMV1_04648
ko:K09456	ecoi:ECOPMV1_04651
ko:K03477	ecoi:ECOPMV1_04655
ko:K03078	ecoi:ECOPMV1_04660
ko:K02990	ecoi:ECOPMV1_04664
ko:K02686	ecoi:ECOPMV1_04665
ko:K02963	ecoi:ECOPMV1_04666
ko:K02939	ecoi:ECOPMV1_04667
ko:K07154	ecoi:ECOPMV1_04670
ko:K08191	ecoi:ECOPMV1_04671
ko:K07269	ecoi:ECOPMV1_04678
ko:K03773	ecoi:ECOPMV1_04679
ko:K11737	ecoi:ECOPMV1_04680
ko:K07322	ecoi:ECOPMV1_04681
ko:K00098	ecoi:ECOPMV1_04735
ko:K12957	ecoi:ECOPMV1_04737
ko:K07733	ecoi:ECOPMV1_04744
ko:K07454	ecoi:ECOPMV1_04754
ko:K07357	ecoi:ECOPMV1_04758
ko:K07345	ecoi:ECOPMV1_04760
ko:K07351	ecoi:ECOPMV1_04761
ko:K07347	ecoi:ECOPMV1_04763
ko:K07348	ecoi:ECOPMV1_04764
ko:K07349	ecoi:ECOPMV1_04765
ko:K07350	ecoi:ECOPMV1_04766
ko:K01686	ecoi:ECOPMV1_04768
ko:K05879	ecoi:ECOPMV1_04773
ko:K05878	ecoi:ECOPMV1_04774
ko:K00005	ecoi:ECOPMV1_04775
ko:K01608	ecoi:ECOPMV1_04783
ko:K02182	ecoi:ECOPMV1_00038
ko:K08298	ecoi:ECOPMV1_00039
ko:K08297	ecoi:ECOPMV1_00040
ko:K05245	ecoi:ECOPMV1_00041
ko:K03521	ecoi:ECOPMV1_00042
ko:K03522	ecoi:ECOPMV1_00043
ko:K00313	ecoi:ECOPMV1_00044
ko:K08368	ecoi:ECOPMV1_00046
ko:K11746	ecoi:ECOPMV1_00047
ko:K06195	ecoi:ECOPMV1_00053
ko:K02528	ecoi:ECOPMV1_00054
ko:K00097	ecoi:ECOPMV1_00055
ko:K03771	ecoi:ECOPMV1_00056
ko:K04744	ecoi:ECOPMV1_00057
ko:K05801	ecoi:ECOPMV1_00058
ko:K03580	ecoi:ECOPMV1_00060
ko:K02336	ecoi:ECOPMV1_00061
ko:K11924	ecoi:ECOPMV1_00820
ko:K00656	ecoi:ECOPMV1_00825
ko:K04069	ecoi:ECOPMV1_00826
ko:K03750	ecoi:ECOPMV1_00829
ko:K13051	ecoi:ECOPMV1_00830
ko:K13892	ecoi:ECOPMV1_00831
ko:K13889	ecoi:ECOPMV1_00832
ko:K13890	ecoi:ECOPMV1_00833
ko:K13891	ecoi:ECOPMV1_00834
ko:K14441	ecoi:ECOPMV1_00837
ko:K11534	ecoi:ECOPMV1_00842
ko:K08160	ecoi:ECOPMV1_00844
ko:K07085	ecoi:ECOPMV1_00850
ko:K11073	ecoi:ECOPMV1_00857
ko:K11076	ecoi:ECOPMV1_00858
ko:K11075	ecoi:ECOPMV1_00859
ko:K11074	ecoi:ECOPMV1_00860
ko:K03212	ecoi:ECOPMV1_00862
ko:K09996	ecoi:ECOPMV1_00863
ko:K09999	ecoi:ECOPMV1_00865
ko:K02471	ecoi:ECOPMV1_01629
ko:K06871	ecoi:ECOPMV1_01630
ko:K07347	ecoi:ECOPMV1_01638
ko:K07345	ecoi:ECOPMV1_01640
ko:K07154	ecoi:ECOPMV1_01643
ko:K00041	ecoi:ECOPMV1_01647
ko:K01425	ecoi:ECOPMV1_01651
ko:K08324	ecoi:ECOPMV1_01652
ko:K08159	ecoi:ECOPMV1_01654
ko:K03712	ecoi:ECOPMV1_01656
ko:K13632	ecoi:ECOPMV1_01657
ko:K13630	ecoi:ECOPMV1_01658
ko:K01223	ecoi:ECOPMV1_01659
ko:K10124	ecoi:ECOPMV1_01660
ko:K02759	ecoi:ECOPMV1_01661
ko:K02761	ecoi:ECOPMV1_01662
ko:K02760	ecoi:ECOPMV1_01663
ko:K03482	ecoi:ECOPMV1_01664
ko:K15268	ecoi:ECOPMV1_01665
ko:K01284	ecoi:ECOPMV1_01669
ko:K16066	ecoi:ECOPMV1_01670
ko:K07806	ecoi:ECOPMV1_02414
ko:K10012	ecoi:ECOPMV1_02415
ko:K10011	ecoi:ECOPMV1_02416
ko:K13014	ecoi:ECOPMV1_02417
ko:K07264	ecoi:ECOPMV1_02418
ko:K12962	ecoi:ECOPMV1_02419
ko:K12963	ecoi:ECOPMV1_02420
ko:K01911	ecoi:ECOPMV1_02422
ko:K01661	ecoi:ECOPMV1_02424
ko:K02551	ecoi:ECOPMV1_02426
ko:K05594	ecoi:ECOPMV1_02428
ko:K00343	ecoi:ECOPMV1_02434
ko:K00342	ecoi:ECOPMV1_02435
ko:K00341	ecoi:ECOPMV1_02436
ko:K00340	ecoi:ECOPMV1_02437
ko:K00339	ecoi:ECOPMV1_02438
ko:K00338	ecoi:ECOPMV1_02439
ko:K00337	ecoi:ECOPMV1_02440
ko:K00334	ecoi:ECOPMV1_02443
ko:K13378	ecoi:ECOPMV1_02444
ko:K00331	ecoi:ECOPMV1_02445
ko:K00330	ecoi:ECOPMV1_02446
ko:K14260	ecoi:ECOPMV1_02449
ko:K09161	ecoi:ECOPMV1_02453
ko:K09899	ecoi:ECOPMV1_02454
ko:K00925	ecoi:ECOPMV1_02455
ko:K13788	ecoi:ECOPMV1_02456
ko:K00615	ecoi:ECOPMV1_03209
ko:K07387	ecoi:ECOPMV1_03210
ko:K00789	ecoi:ECOPMV1_03215
ko:K08137	ecoi:ECOPMV1_03216
ko:K02742	ecoi:ECOPMV1_03217
ko:K01150	ecoi:ECOPMV1_03218
ko:K09761	ecoi:ECOPMV1_03219
ko:K01920	ecoi:ECOPMV1_03220
ko:K07735	ecoi:ECOPMV1_03221
ko:K07447	ecoi:ECOPMV1_03222
ko:K02669	ecoi:ECOPMV1_03223
ko:K06997	ecoi:ECOPMV1_03224
ko:K02221	ecoi:ECOPMV1_03225
ko:K09131	ecoi:ECOPMV1_03226
ko:K09923	ecoi:ECOPMV1_03232
ko:K03439	ecoi:ECOPMV1_03233
ko:K03575	ecoi:ECOPMV1_03234
ko:K08306	ecoi:ECOPMV1_03236
ko:K01581	ecoi:ECOPMV1_03238
ko:K07150	ecoi:ECOPMV1_03239
ko:K06041	ecoi:ECOPMV1_03242
ko:K10107	ecoi:ECOPMV1_03243
ko:K00979	ecoi:ECOPMV1_03245
ko:K07266	ecoi:ECOPMV1_03246
ko:K07265	ecoi:ECOPMV1_03247
ko:K03312	ecoi:ECOPMV1_03987
ko:K16345	ecoi:ECOPMV1_03988
ko:K09988	ecoi:ECOPMV1_03990
ko:K00847	ecoi:ECOPMV1_03991
ko:K01624	ecoi:ECOPMV1_03992
ko:K01624	ecoi:ECOPMV1_03993
ko:K01811	ecoi:ECOPMV1_03998
ko:K02073	ecoi:ECOPMV1_04004
ko:K06901	ecoi:ECOPMV1_04008
ko:K01486	ecoi:ECOPMV1_04009
ko:K07783	ecoi:ECOPMV1_04011
ko:K07675	ecoi:ECOPMV1_04012
ko:K01653	ecoi:ECOPMV1_04014
ko:K01652	ecoi:ECOPMV1_04015
ko:K08154	ecoi:ECOPMV1_04016
ko:K06871	ecoi:ECOPMV1_04017
ko:K07085	ecoi:ECOPMV1_04024
ko:K04081	ecoi:ECOPMV1_04025
ko:K01684	ecoi:ECOPMV1_04031
ko:K01631	ecoi:ECOPMV1_04032
ko:K00883	ecoi:ECOPMV1_04033
ko:K01921	ecoi:ECOPMV1_00368
ko:K00286	ecoi:ECOPMV1_00373
ko:K09768	ecoi:ECOPMV1_00374
ko:K00891	ecoi:ECOPMV1_00375
ko:K14591	ecoi:ECOPMV1_00377
ko:K09913	ecoi:ECOPMV1_00378
ko:K03554	ecoi:ECOPMV1_00380
ko:K00847	ecoi:ECOPMV1_00381
ko:K03547	ecoi:ECOPMV1_00384
ko:K07636	ecoi:ECOPMV1_00386
ko:K03311	ecoi:ECOPMV1_00387
ko:K11736	ecoi:ECOPMV1_00388
ko:K08682	ecoi:ECOPMV1_00390
ko:K07568	ecoi:ECOPMV1_00391
ko:K00773	ecoi:ECOPMV1_00392
ko:K03210	ecoi:ECOPMV1_00393
ko:K03072	ecoi:ECOPMV1_00394
ko:K03074	ecoi:ECOPMV1_00395
ko:K05517	ecoi:ECOPMV1_00397
ko:K07738	ecoi:ECOPMV1_00399
ko:K11752	ecoi:ECOPMV1_00400
ko:K00794	ecoi:ECOPMV1_00401
ko:K03625	ecoi:ECOPMV1_00402
ko:K00946	ecoi:ECOPMV1_00403
ko:K01095	ecoi:ECOPMV1_00404
ko:K01662	ecoi:ECOPMV1_00406
ko:K00795	ecoi:ECOPMV1_00407
ko:K03602	ecoi:ECOPMV1_00408
ko:K03151	ecoi:ECOPMV1_00409
ko:K03152	ecoi:ECOPMV1_00410
ko:K00077	ecoi:ECOPMV1_00411
ko:K09767	ecoi:ECOPMV1_00412
ko:K00645	ecoi:ECOPMV1_01171
ko:K02078	ecoi:ECOPMV1_01173
ko:K09458	ecoi:ECOPMV1_01174
ko:K07082	ecoi:ECOPMV1_01176
ko:K00943	ecoi:ECOPMV1_01177
ko:K02341	ecoi:ECOPMV1_01178
ko:K03424	ecoi:ECOPMV1_01179
ko:K16088	ecoi:ECOPMV1_01181
ko:K02503	ecoi:ECOPMV1_01182
ko:K07337	ecoi:ECOPMV1_01184
ko:K07251	ecoi:ECOPMV1_01185
ko:K01207	ecoi:ECOPMV1_01186
ko:K07000	ecoi:ECOPMV1_01187
ko:K03885	ecoi:ECOPMV1_01188
ko:K12151	ecoi:ECOPMV1_01191
ko:K03723	ecoi:ECOPMV1_01193
ko:K09808	ecoi:ECOPMV1_01195
ko:K09810	ecoi:ECOPMV1_01196
ko:K09808	ecoi:ECOPMV1_01197
ko:K12410	ecoi:ECOPMV1_01199
ko:K17686	ecoi:ECOPMV1_00474
ko:K01955	ecoi:ECOPMV1_00032
ko:K00215	ecoi:ECOPMV1_00030
ko:K01956	ecoi:ECOPMV1_00031
ko:K03774	ecoi:ECOPMV1_00026
ko:K03527	ecoi:ECOPMV1_00027
ko:K12700	ecoi:ECOPMV1_00028
ko:K07733	ecoi:ECOPMV1_p00039
ko:K07637	ecoi:ECOPMV1_01208
ko:K01756	ecoi:ECOPMV1_01210
ko:K07153	ecoi:ECOPMV1_01211
ko:K00566	ecoi:ECOPMV1_01212
ko:K12152	ecoi:ECOPMV1_01213
ko:K06181	ecoi:ECOPMV1_01214
ko:K00031	ecoi:ECOPMV1_01215
ko:K03516	ecoi:ECOPMV1_01970
ko:K02400	ecoi:ECOPMV1_01971
ko:K02401	ecoi:ECOPMV1_01972
ko:K03414	ecoi:ECOPMV1_01973
ko:K03413	ecoi:ECOPMV1_01974
ko:K03412	ecoi:ECOPMV1_01975
ko:K03408	ecoi:ECOPMV1_01980
ko:K03407	ecoi:ECOPMV1_01981
ko:K02557	ecoi:ECOPMV1_01982
ko:K02556	ecoi:ECOPMV1_01983
ko:K02402	ecoi:ECOPMV1_01984
ko:K02403	ecoi:ECOPMV1_01985
ko:K14064	ecoi:ECOPMV1_01986
ko:K00697	ecoi:ECOPMV1_01987
ko:K01087	ecoi:ECOPMV1_01988
