ko:K00001	bll:BLJ_0603
ko:K02003	bll:BLJ_0992
ko:K07133	bll:BLJ_1858
ko:K00761	bll:BLJ_1859
ko:K00783	bll:BLJ_1860
ko:K01885	bll:BLJ_1862
ko:K03695	bll:BLJ_1863
ko:K01745	bll:BLJ_1864
ko:K01854	bll:BLJ_1871
ko:K01710	bll:BLJ_1872
ko:K00012	bll:BLJ_1891
ko:K06950	bll:BLJ_1897
ko:K03549	bll:BLJ_1899
ko:K03424	bll:BLJ_1900
ko:K03424	bll:BLJ_1908
ko:K09955	bll:BLJ_1915
ko:K01805	bll:BLJ_1607
ko:K01462	bll:BLJ_1612
ko:K10547	bll:BLJ_1617
ko:K10548	bll:BLJ_1618
ko:K10546	bll:BLJ_1619
ko:K00845	bll:BLJ_1622
ko:K10805	bll:BLJ_1626
ko:K00796	bll:BLJ_1629
ko:K02004	bll:BLJ_0801
ko:K02004	bll:BLJ_0858
ko:K02004	bll:BLJ_1967
ko:K02004	bll:BLJ_1079
ko:K02004	bll:BLJ_1222
ko:K02004	bll:BLJ_0406
ko:K02004	bll:BLJ_0407
ko:K02030	bll:BLJ_0507
ko:K01897	bll:BLJ_1549
ko:K02004	bll:BLJ_0202
ko:K02004	bll:BLJ_0203
ko:K02004	bll:BLJ_0771
ko:K02077	bll:BLJ_0714
ko:K02077	bll:BLJ_0563
ko:K01664	bll:BLJ_0050
ko:K00951	bll:BLJ_1163
ko:K00633	bll:BLJ_0620
ko:K02483	bll:BLJ_1474
ko:K14221	bll:BLJ_1623
ko:K14221	bll:BLJ_1643
ko:K13940	bll:BLJ_1628
ko:K13787	bll:BLJ_1176
ko:K03719	bll:BLJ_0010
ko:K02003	bll:BLJ_0554
ko:K01209	bll:BLJ_1719
ko:K02619	bll:BLJ_0359
ko:K07407	bll:BLJ_2003
ko:K01792	bll:BLJ_0166
ko:K10118	bll:BLJ_2000
ko:K14232	bll:BLJ_1671
ko:K02054	bll:BLJ_0289
ko:K03767	bll:BLJ_1161
ko:K05794	bll:BLJ_0719
ko:K05343	bll:BLJ_0111
ko:K02057	bll:BLJ_1438
ko:K02057	bll:BLJ_1439
ko:K01802	bll:BLJ_0691
ko:K14225	bll:BLJ_1804
ko:K14233	bll:BLJ_1720
ko:K14230	bll:BLJ_1775
ko:K03649	bll:BLJ_0088
ko:K14225	bll:BLJ_0300
ko:K14225	bll:BLJ_1053
ko:K14225	bll:BLJ_1049
ko:K00655	bll:BLJ_1179
ko:K10006	bll:BLJ_1452
ko:K02031	bll:BLJ_0530
ko:K01997	bll:BLJ_1393
ko:K01998	bll:BLJ_1393
ko:K04092	bll:BLJ_0255
ko:K01990	bll:BLJ_0662
ko:K14219	bll:BLJ_0283
ko:K11189	bll:BLJ_0238
ko:K14219	bll:BLJ_0789
ko:K14232	bll:BLJ_1033
ko:K14220	bll:BLJ_1111
ko:K02027	bll:BLJ_0414
ko:K02027	bll:BLJ_0522
ko:K02027	bll:BLJ_0523
ko:K02027	bll:BLJ_0524
ko:K02027	bll:BLJ_1320
ko:K02027	bll:BLJ_1964
ko:K02027	bll:BLJ_1994
ko:K14220	bll:BLJ_1128
ko:K14220	bll:BLJ_1127
ko:K03762	bll:BLJ_1461
ko:K02053	bll:BLJ_0290
ko:K14233	bll:BLJ_0197
ko:K01739	bll:BLJ_0533
ko:K02052	bll:BLJ_0291
ko:K01195	bll:BLJ_0623
ko:K14260	bll:BLJ_1063
ko:K02028	bll:BLJ_0510
ko:K14231	bll:BLJ_1642
ko:K14237	bll:BLJ_0302
ko:K14237	bll:BLJ_1050
ko:K01992	bll:BLJ_1635
ko:K14234	bll:BLJ_0387
ko:K14224	bll:BLJ_0175
ko:K14233	bll:BLJ_1766
ko:K01990	bll:BLJ_1636
ko:K14228	bll:BLJ_0688
ko:K01934	bll:BLJ_1783
ko:K02075	bll:BLJ_0712
ko:K06921	bll:BLJ_1927
ko:K14223	bll:BLJ_0176
ko:K14234	bll:BLJ_1776
ko:K14228	bll:BLJ_0886
ko:K02074	bll:BLJ_0713
ko:K02056	bll:BLJ_1440
ko:K10117	bll:BLJ_2001
ko:K10119	bll:BLJ_1999
ko:K14226	bll:BLJ_0589
ko:K06921	bll:BLJ_1971
ko:K00965	bll:BLJ_0453
ko:K03574	bll:BLJ_0074
ko:K00941	bll:BLJ_1353
ko:K00674	bll:BLJ_1564
ko:K14228	bll:BLJ_0078
ko:K07154	bll:BLJ_0981
ko:K08177	bll:BLJ_0028
ko:K01421	bll:BLJ_0208
ko:K02027	bll:BLJ_0321
ko:K02959	bll:BLJ_0360
ko:K06212	bll:BLJ_0678
ko:K14228	bll:BLJ_0722
ko:K04096	bll:BLJ_0795
ko:K02484	bll:BLJ_1473
ko:K02029	bll:BLJ_0509
ko:K04517	bll:BLJ_1216
ko:K01985	bll:BLJ_1333
ko:K01985	bll:BLJ_1816
ko:K01985	bll:BLJ_1984
ko:K03655	bll:BLJ_0841
ko:K01187	bll:BLJ_0108
ko:K01980	bll:BLJ_1334
ko:K01980	bll:BLJ_1817
ko:K01980	bll:BLJ_1985
ko:K01187	bll:BLJ_1991
ko:K01977	bll:BLJ_1335
ko:K01977	bll:BLJ_1818
ko:K01977	bll:BLJ_1986
ko:K14235	bll:BLJ_1292
ko:K14218	bll:BLJ_1948
ko:K14228	bll:BLJ_0392
ko:K07473	bll:BLJ_0812
ko:K01814	bll:BLJ_1325
ko:K01817	bll:BLJ_1325
ko:K14237	bll:BLJ_0301
ko:K14237	bll:BLJ_1051
ko:K14225	bll:BLJ_0085
ko:K14224	bll:BLJ_1646
ko:K01897	bll:BLJ_0893
ko:K07496	bll:BLJ_0356
ko:K03293	bll:BLJ_1957
ko:K03293	bll:BLJ_1970
ko:K01524	bll:BLJ_1555
ko:K07768	bll:BLJ_0343
ko:K02529	bll:BLJ_1605
ko:K01077	bll:BLJ_0122
ko:K07483	bll:BLJ_1966
ko:K05364	bll:BLJ_0053
ko:K14237	bll:BLJ_1374
ko:K14223	bll:BLJ_0762
ko:K14218	bll:BLJ_0015
ko:K14233	bll:BLJ_1696
ko:K14230	bll:BLJ_0267
ko:K00949	bll:BLJ_1236
ko:K01760	bll:BLJ_1400
ko:K14155	bll:BLJ_1513
ko:K06330	bll:BLJ_1528
ko:K01784	bll:BLJ_1533
ko:K01784	bll:BLJ_1644
ko:K01784	bll:BLJ_1680
ko:K14155	bll:BLJ_1846
ko:K03980	bll:BLJ_2036
ko:K18333	bll:BLJ_0323
ko:K00965	bll:BLJ_1681
ko:K07284	bll:BLJ_0146
ko:K14218	bll:BLJ_0757
ko:K14218	bll:BLJ_0758
ko:K14234	bll:BLJ_0393
ko:K14227	bll:BLJ_0016
ko:K14219	bll:BLJ_1553
ko:K14219	bll:BLJ_0553
ko:K14235	bll:BLJ_1823
ko:K01802	bll:BLJ_0278
ko:K14232	bll:BLJ_0746
ko:K01470	bll:BLJ_1460
ko:K14236	bll:BLJ_1777
ko:K14234	bll:BLJ_2028
ko:K14230	bll:BLJ_1584
ko:K14229	bll:BLJ_0237
ko:K14222	bll:BLJ_1052
ko:K01210	bll:BLJ_1536
ko:K02058	bll:BLJ_1441
ko:K11068	bll:BLJ_0076
ko:K07133	bll:BLJ_0500
ko:K02025	bll:BLJ_0319
ko:K02026	bll:BLJ_0320
ko:K02529	bll:BLJ_1360
ko:K02529	bll:BLJ_1836
ko:K01200	bll:BLJ_0115
ko:K02031	bll:BLJ_1938
ko:K02032	bll:BLJ_1938
ko:K06921	bll:BLJ_0008
ko:K10008	bll:BLJ_1454
ko:K01081	bll:BLJ_1449
ko:K06147	bll:BLJ_1952
ko:K06147	bll:BLJ_1925
ko:K06147	bll:BLJ_1926
ko:K07005	bll:BLJ_0070
ko:K01190	bll:BLJ_0749
ko:K00128	bll:BLJ_0565
ko:K01182	bll:BLJ_1989
ko:K01048	bll:BLJ_0059
ko:K02055	bll:BLJ_0288
ko:K02027	bll:BLJ_1686
ko:K02004	bll:BLJ_0991
ko:K07496	bll:BLJ_0340
ko:K12554	bll:BLJ_0390
ko:K07133	bll:BLJ_0604
ko:K00997	bll:BLJ_1806
ko:K14652	bll:BLJ_0364
ko:K01198	bll:BLJ_1601
ko:K11939	bll:BLJ_0987
ko:K06177	bll:BLJ_0512
ko:K06999	bll:BLJ_1399
ko:K08281	bll:BLJ_0849
ko:K01436	bll:BLJ_1391
ko:K07133	bll:BLJ_0614
ko:K14229	bll:BLJ_0215
ko:K00970	bll:BLJ_2033
ko:K06147	bll:BLJ_1951
ko:K06147	bll:BLJ_1523
ko:K02031	bll:BLJ_1210
ko:K02032	bll:BLJ_1210
ko:K02031	bll:BLJ_1266
ko:K02032	bll:BLJ_1266
ko:K01897	bll:BLJ_1105
ko:K01209	bll:BLJ_0521
ko:K01897	bll:BLJ_0409
ko:K01485	bll:BLJ_1464
ko:K01524	bll:BLJ_0687
ko:K08316	bll:BLJ_0328
ko:K01834	bll:BLJ_1668
ko:K03929	bll:BLJ_1598
ko:K15533	bll:BLJ_1683
ko:K12510	bll:BLJ_0137
ko:K13059	bll:BLJ_1682
ko:K14170	bll:BLJ_1217
ko:K11939	bll:BLJ_1767
ko:K16147	bll:BLJ_0264
ko:K16148	bll:BLJ_0922
ko:K18955	bll:BLJ_0697
ko:K18955	bll:BLJ_0701
ko:K02424	bll:BLJ_1388
ko:K10009	bll:BLJ_1387
ko:K10716	bll:BLJ_2024
ko:K16209	bll:BLJ_0750
ko:K16209	bll:BLJ_0751
ko:K16264	bll:BLJ_1310
ko:K10907	bll:BLJ_0011
ko:K07473	bll:BLJ_0865
ko:K03306	bll:BLJ_0610
ko:K02005	bll:BLJ_0769
ko:K03699	bll:BLJ_0022
ko:K16235	bll:BLJ_0974
ko:K15772	bll:BLJ_0114
ko:K02851	bll:BLJ_1578
ko:K15770	bll:BLJ_0112
ko:K15771	bll:BLJ_0113
ko:K10117	bll:BLJ_1604
ko:K10118	bll:BLJ_1603
ko:K10119	bll:BLJ_1602
ko:K10118	bll:BLJ_0128
ko:K10118	bll:BLJ_1993
ko:K10119	bll:BLJ_1992
ko:K10117	bll:BLJ_1996
ko:K10119	bll:BLJ_0129
ko:K10119	bll:BLJ_1974
ko:K10118	bll:BLJ_1975
ko:K10117	bll:BLJ_1977
ko:K10118	bll:BLJ_1931
ko:K10117	bll:BLJ_1932
ko:K10117	bll:BLJ_0131
ko:K10119	bll:BLJ_1930
ko:K16784	bll:BLJ_1427
ko:K16786	bll:BLJ_1432
ko:K16787	bll:BLJ_1432
ko:K11991	bll:BLJ_2004
ko:K16785	bll:BLJ_0631
ko:K16925	bll:BLJ_0629
ko:K16786	bll:BLJ_0630
ko:K16787	bll:BLJ_0630
ko:K02028	bll:BLJ_1389
ko:K17318	bll:BLJ_0455
ko:K17318	bll:BLJ_1922
ko:K17319	bll:BLJ_0456
ko:K17319	bll:BLJ_1921
ko:K15582	bll:BLJ_1211
ko:K15581	bll:BLJ_1212
ko:K17329	bll:BLJ_1420
ko:K17330	bll:BLJ_1419
ko:K17331	bll:BLJ_1418
ko:K17320	bll:BLJ_0457
ko:K17320	bll:BLJ_1920
ko:K15580	bll:BLJ_1213
ko:K03671	bll:BLJ_0439
ko:K10112	bll:BLJ_2016
ko:K17836	bll:BLJ_0695
ko:K17828	bll:BLJ_0955
ko:K18220	bll:BLJ_1245
ko:K00991	bll:BLJ_0332
ko:K16235	bll:BLJ_1011
ko:K03574	bll:BLJ_1856
ko:K18334	bll:BLJ_1837
ko:K18334	bll:BLJ_0322
ko:K01214	bll:BLJ_0727
ko:K07171	bll:BLJ_0811
ko:K03976	bll:BLJ_1239
ko:K03526	bll:BLJ_1371
ko:K07816	bll:BLJ_1194
ko:K19157	bll:BLJ_0989
ko:K01621	bll:BLJ_0768
ko:K19265	bll:BLJ_0381
ko:K01785	bll:BLJ_1256
ko:K01990	bll:BLJ_0838
ko:K12952	bll:BLJ_1204
ko:K08217	bll:BLJ_0819
ko:K02025	bll:BLJ_0415
ko:K08156	bll:BLJ_1672
ko:K20459	bll:BLJ_1119
ko:K19710	bll:BLJ_1047
ko:K08744	bll:BLJ_1019
ko:K21672	bll:BLJ_0914
ko:K12132	bll:BLJ_0052
ko:K12132	bll:BLJ_0051
ko:K20074	bll:BLJ_0055
ko:K20461	bll:BLJ_1117
ko:K20460	bll:BLJ_1118
ko:K01214	bll:BLJ_1758
ko:K20814	bll:BLJ_1497
ko:K21011	bll:BLJ_1530
ko:K21012	bll:BLJ_1529
ko:K00821	bll:BLJ_0639
ko:K21636	bll:BLJ_1544
ko:K21397	bll:BLJ_0024
ko:K18333	bll:BLJ_1835
ko:K21471	bll:BLJ_0505
ko:K21495	bll:BLJ_0372
ko:K21600	bll:BLJ_0242
ko:K10914	bll:BLJ_0448
ko:K00936	bll:BLJ_0696
ko:K22010	bll:BLJ_0723
ko:K03077	bll:BLJ_0402
ko:K22306	bll:BLJ_0759
ko:K22397	bll:BLJ_0324
ko:K22397	bll:BLJ_1832
ko:K08300	bll:BLJ_1829
ko:K08301	bll:BLJ_1829
